context: I am Son Goku's Son!! Gohan Returns to the Battlefield response:	Kaio-sama!
context: Shen Long...\Father, hang in there!\This is terrible! In three minutes, this planet will undergo a giant explosion!\Full power!!\What!?\l- It can't be!\Is something the matter?\Father-Father's Ki has disappeared! response:	What did you say!?
context: Father, hang in there!\This is terrible! In three minutes, this planet will undergo a giant explosion!\Full power!!\What!?\l- It can't be!\Is something the matter?\Father-Father's Ki has disappeared!\What did you say!? response:	How could Father lose?
context: This is terrible! In three minutes, this planet will undergo a giant explosion!\Full power!!\What!?\l- It can't be!\Is something the matter?\Father-Father's Ki has disappeared!\What did you say!?\How could Father lose? response:	Then Son-kun is...?
context: Full power!!\What!?\l- It can't be!\Is something the matter?\Father-Father's Ki has disappeared!\What did you say!?\How could Father lose?\Then Son-kun is...? response:	Did you see that? My 1 00 percent power!?
context: What!?\l- It can't be!\Is something the matter?\Father-Father's Ki has disappeared!\What did you say!?\How could Father lose?\Then Son-kun is...?\Did you see that? My 1 00 percent power!? response:	How about that!? That's what you get!
context: l- It can't be!\Is something the matter?\Father-Father's Ki has disappeared!\What did you say!?\How could Father lose?\Then Son-kun is...?\Did you see that? My 1 00 percent power!?\How about that!? That's what you get! response:	There was no way someone like you could have beaten Freeza!
context: Is something the matter?\Father-Father's Ki has disappeared!\What did you say!?\How could Father lose?\Then Son-kun is...?\Did you see that? My 1 00 percent power!?\How about that!? That's what you get!\There was no way someone like you could have beaten Freeza! response:	There's nothing else we can do! You realize that, don't you Gohan-kun?
context: Father-Father's Ki has disappeared!\What did you say!?\How could Father lose?\Then Son-kun is...?\Did you see that? My 1 00 percent power!?\How about that!? That's what you get!\There was no way someone like you could have beaten Freeza!\There's nothing else we can do! You realize that, don't you Gohan-kun? response:	If we don't escape from here right now...
context: What did you say!?\How could Father lose?\Then Son-kun is...?\Did you see that? My 1 00 percent power!?\How about that!? That's what you get!\There was no way someone like you could have beaten Freeza!\There's nothing else we can do! You realize that, don't you Gohan-kun?\If we don't escape from here right now... response:	Gohan-kun!
context: How could Father lose?\Then Son-kun is...?\Did you see that? My 1 00 percent power!?\How about that!? That's what you get!\There was no way someone like you could have beaten Freeza!\There's nothing else we can do! You realize that, don't you Gohan-kun?\If we don't escape from here right now...\Gohan-kun! response:	Bulma-san,
context: Then Son-kun is...?\Did you see that? My 1 00 percent power!?\How about that!? That's what you get!\There was no way someone like you could have beaten Freeza!\There's nothing else we can do! You realize that, don't you Gohan-kun?\If we don't escape from here right now...\Gohan-kun!\Bulma-san, response:	take Piccolo-san and return to Earth ahead of us.
context: Did you see that? My 1 00 percent power!?\How about that!? That's what you get!\There was no way someone like you could have beaten Freeza!\There's nothing else we can do! You realize that, don't you Gohan-kun?\If we don't escape from here right now...\Gohan-kun!\Bulma-san,\take Piccolo-san and return to Earth ahead of us. response:	What are you saying, Gohan-kun!?
context: How about that!? That's what you get!\There was no way someone like you could have beaten Freeza!\There's nothing else we can do! You realize that, don't you Gohan-kun?\If we don't escape from here right now...\Gohan-kun!\Bulma-san,\take Piccolo-san and return to Earth ahead of us.\What are you saying, Gohan-kun!? response:	Freeza intends to wipe out all Saiyans. That means if I return to Earth, then Freeza will go to Earth next!
context: There was no way someone like you could have beaten Freeza!\There's nothing else we can do! You realize that, don't you Gohan-kun?\If we don't escape from here right now...\Gohan-kun!\Bulma-san,\take Piccolo-san and return to Earth ahead of us.\What are you saying, Gohan-kun!?\Freeza intends to wipe out all Saiyans. That means if I return to Earth, then Freeza will go to Earth next! response:	You're not, by any chance...
context: There's nothing else we can do! You realize that, don't you Gohan-kun?\If we don't escape from here right now...\Gohan-kun!\Bulma-san,\take Piccolo-san and return to Earth ahead of us.\What are you saying, Gohan-kun!?\Freeza intends to wipe out all Saiyans. That means if I return to Earth, then Freeza will go to Earth next!\You're not, by any chance... response:	H- Hold on! Wait!
context: If we don't escape from here right now...\Gohan-kun!\Bulma-san,\take Piccolo-san and return to Earth ahead of us.\What are you saying, Gohan-kun!?\Freeza intends to wipe out all Saiyans. That means if I return to Earth, then Freeza will go to Earth next!\You're not, by any chance...\H- Hold on! Wait! response:	Gohan-kun!
context: Gohan-kun!\Bulma-san,\take Piccolo-san and return to Earth ahead of us.\What are you saying, Gohan-kun!?\Freeza intends to wipe out all Saiyans. That means if I return to Earth, then Freeza will go to Earth next!\You're not, by any chance...\H- Hold on! Wait!\Gohan-kun! response:	I am my father's-Son Goku's son! And now I... I will take on Freeza!
context: Bulma-san,\take Piccolo-san and return to Earth ahead of us.\What are you saying, Gohan-kun!?\Freeza intends to wipe out all Saiyans. That means if I return to Earth, then Freeza will go to Earth next!\You're not, by any chance...\H- Hold on! Wait!\Gohan-kun!\I am my father's-Son Goku's son! And now I... I will take on Freeza! response:	You can't! There's no way you can win!
context: take Piccolo-san and return to Earth ahead of us.\What are you saying, Gohan-kun!?\Freeza intends to wipe out all Saiyans. That means if I return to Earth, then Freeza will go to Earth next!\You're not, by any chance...\H- Hold on! Wait!\Gohan-kun!\I am my father's-Son Goku's son! And now I... I will take on Freeza!\You can't! There's no way you can win! response:	I'm sure Piccolo-san would say the same thing.
context: What are you saying, Gohan-kun!?\Freeza intends to wipe out all Saiyans. That means if I return to Earth, then Freeza will go to Earth next!\You're not, by any chance...\H- Hold on! Wait!\Gohan-kun!\I am my father's-Son Goku's son! And now I... I will take on Freeza!\You can't! There's no way you can win!\I'm sure Piccolo-san would say the same thing. response:	Bulma-san, take care!
context: Freeza intends to wipe out all Saiyans. That means if I return to Earth, then Freeza will go to Earth next!\You're not, by any chance...\H- Hold on! Wait!\Gohan-kun!\I am my father's-Son Goku's son! And now I... I will take on Freeza!\You can't! There's no way you can win!\I'm sure Piccolo-san would say the same thing.\Bulma-san, take care! response:	Gohan-kun!
context: You're not, by any chance...\H- Hold on! Wait!\Gohan-kun!\I am my father's-Son Goku's son! And now I... I will take on Freeza!\You can't! There's no way you can win!\I'm sure Piccolo-san would say the same thing.\Bulma-san, take care!\Gohan-kun! response:	Gohan-chan! Gohan-chan!
context: H- Hold on! Wait!\Gohan-kun!\I am my father's-Son Goku's son! And now I... I will take on Freeza!\You can't! There's no way you can win!\I'm sure Piccolo-san would say the same thing.\Bulma-san, take care!\Gohan-kun!\Gohan-chan! Gohan-chan! response:	Chichi-san, our Goku can't possibly be beaten! He's must surely be winning against Freeza!
context: Gohan-kun!\I am my father's-Son Goku's son! And now I... I will take on Freeza!\You can't! There's no way you can win!\I'm sure Piccolo-san would say the same thing.\Bulma-san, take care!\Gohan-kun!\Gohan-chan! Gohan-chan!\Chichi-san, our Goku can't possibly be beaten! He's must surely be winning against Freeza! response:	He's right, he's right!
context: I am my father's-Son Goku's son! And now I... I will take on Freeza!\You can't! There's no way you can win!\I'm sure Piccolo-san would say the same thing.\Bulma-san, take care!\Gohan-kun!\Gohan-chan! Gohan-chan!\Chichi-san, our Goku can't possibly be beaten! He's must surely be winning against Freeza!\He's right, he's right! response:	On the other hand, don't matter how bad Goku may be thrashin' on what's-his-mug,
context: You can't! There's no way you can win!\I'm sure Piccolo-san would say the same thing.\Bulma-san, take care!\Gohan-kun!\Gohan-chan! Gohan-chan!\Chichi-san, our Goku can't possibly be beaten! He's must surely be winning against Freeza!\He's right, he's right!\On the other hand, don't matter how bad Goku may be thrashin' on what's-his-mug, response:	once the whole planet blows up, he ain't...
context: I'm sure Piccolo-san would say the same thing.\Bulma-san, take care!\Gohan-kun!\Gohan-chan! Gohan-chan!\Chichi-san, our Goku can't possibly be beaten! He's must surely be winning against Freeza!\He's right, he's right!\On the other hand, don't matter how bad Goku may be thrashin' on what's-his-mug,\once the whole planet blows up, he ain't... response:	Enough of that!
context: Bulma-san, take care!\Gohan-kun!\Gohan-chan! Gohan-chan!\Chichi-san, our Goku can't possibly be beaten! He's must surely be winning against Freeza!\He's right, he's right!\On the other hand, don't matter how bad Goku may be thrashin' on what's-his-mug,\once the whole planet blows up, he ain't...\Enough of that! response:	I'll thank you not to be sayin' such ill-fated things! My Goku-sa won't be dyin' so easily!
context: Gohan-kun!\Gohan-chan! Gohan-chan!\Chichi-san, our Goku can't possibly be beaten! He's must surely be winning against Freeza!\He's right, he's right!\On the other hand, don't matter how bad Goku may be thrashin' on what's-his-mug,\once the whole planet blows up, he ain't...\Enough of that!\I'll thank you not to be sayin' such ill-fated things! My Goku-sa won't be dyin' so easily! response:	I'm sure he's comin' home in good shape!
context: Gohan-chan! Gohan-chan!\Chichi-san, our Goku can't possibly be beaten! He's must surely be winning against Freeza!\He's right, he's right!\On the other hand, don't matter how bad Goku may be thrashin' on what's-his-mug,\once the whole planet blows up, he ain't...\Enough of that!\I'll thank you not to be sayin' such ill-fated things! My Goku-sa won't be dyin' so easily!\I'm sure he's comin' home in good shape! response:	I'm sure... I'm sure he's comin' home!
context: Chichi-san, our Goku can't possibly be beaten! He's must surely be winning against Freeza!\He's right, he's right!\On the other hand, don't matter how bad Goku may be thrashin' on what's-his-mug,\once the whole planet blows up, he ain't...\Enough of that!\I'll thank you not to be sayin' such ill-fated things! My Goku-sa won't be dyin' so easily!\I'm sure he's comin' home in good shape!\I'm sure... I'm sure he's comin' home! response:	Oh? Sorry about that.
context: He's right, he's right!\On the other hand, don't matter how bad Goku may be thrashin' on what's-his-mug,\once the whole planet blows up, he ain't...\Enough of that!\I'll thank you not to be sayin' such ill-fated things! My Goku-sa won't be dyin' so easily!\I'm sure he's comin' home in good shape!\I'm sure... I'm sure he's comin' home!\Oh? Sorry about that. response:	What is the meaning of this?
context: On the other hand, don't matter how bad Goku may be thrashin' on what's-his-mug,\once the whole planet blows up, he ain't...\Enough of that!\I'll thank you not to be sayin' such ill-fated things! My Goku-sa won't be dyin' so easily!\I'm sure he's comin' home in good shape!\I'm sure... I'm sure he's comin' home!\Oh? Sorry about that.\What is the meaning of this? response:	Have we returned to life?
context: once the whole planet blows up, he ain't...\Enough of that!\I'll thank you not to be sayin' such ill-fated things! My Goku-sa won't be dyin' so easily!\I'm sure he's comin' home in good shape!\I'm sure... I'm sure he's comin' home!\Oh? Sorry about that.\What is the meaning of this?\Have we returned to life? response:	There's something strange about this! What's with the ground shaking?
context: Enough of that!\I'll thank you not to be sayin' such ill-fated things! My Goku-sa won't be dyin' so easily!\I'm sure he's comin' home in good shape!\I'm sure... I'm sure he's comin' home!\Oh? Sorry about that.\What is the meaning of this?\Have we returned to life?\There's something strange about this! What's with the ground shaking? response:	Not to mention the sky being dark. What in the world is going on?
context: I'll thank you not to be sayin' such ill-fated things! My Goku-sa won't be dyin' so easily!\I'm sure he's comin' home in good shape!\I'm sure... I'm sure he's comin' home!\Oh? Sorry about that.\What is the meaning of this?\Have we returned to life?\There's something strange about this! What's with the ground shaking?\Not to mention the sky being dark. What in the world is going on? response:	W- Where am I? Am I alive again?
context: I'm sure he's comin' home in good shape!\I'm sure... I'm sure he's comin' home!\Oh? Sorry about that.\What is the meaning of this?\Have we returned to life?\There's something strange about this! What's with the ground shaking?\Not to mention the sky being dark. What in the world is going on?\W- Where am I? Am I alive again? response:	Hurry, Shen Long! There's no time!
context: I'm sure... I'm sure he's comin' home!\Oh? Sorry about that.\What is the meaning of this?\Have we returned to life?\There's something strange about this! What's with the ground shaking?\Not to mention the sky being dark. What in the world is going on?\W- Where am I? Am I alive again?\Hurry, Shen Long! There's no time! response:	The sky! What's this?
context: Oh? Sorry about that.\What is the meaning of this?\Have we returned to life?\There's something strange about this! What's with the ground shaking?\Not to mention the sky being dark. What in the world is going on?\W- Where am I? Am I alive again?\Hurry, Shen Long! There's no time!\The sky! What's this? response:	Is this an indication that the planet is just about to explode?
context: What is the meaning of this?\Have we returned to life?\There's something strange about this! What's with the ground shaking?\Not to mention the sky being dark. What in the world is going on?\W- Where am I? Am I alive again?\Hurry, Shen Long! There's no time!\The sky! What's this?\Is this an indication that the planet is just about to explode? response:	It looks as though it would be best for me to get away from this planet.
context: Have we returned to life?\There's something strange about this! What's with the ground shaking?\Not to mention the sky being dark. What in the world is going on?\W- Where am I? Am I alive again?\Hurry, Shen Long! There's no time!\The sky! What's this?\Is this an indication that the planet is just about to explode?\It looks as though it would be best for me to get away from this planet. response:	If I get caught in the blast, I'll lose even more power sharply.
context: There's something strange about this! What's with the ground shaking?\Not to mention the sky being dark. What in the world is going on?\W- Where am I? Am I alive again?\Hurry, Shen Long! There's no time!\The sky! What's this?\Is this an indication that the planet is just about to explode?\It looks as though it would be best for me to get away from this planet.\If I get caught in the blast, I'll lose even more power sharply. response:	T- This can't be!
context: Not to mention the sky being dark. What in the world is going on?\W- Where am I? Am I alive again?\Hurry, Shen Long! There's no time!\The sky! What's this?\Is this an indication that the planet is just about to explode?\It looks as though it would be best for me to get away from this planet.\If I get caught in the blast, I'll lose even more power sharply.\T- This can't be! response:	Now, you'll have to face me!
context: W- Where am I? Am I alive again?\Hurry, Shen Long! There's no time!\The sky! What's this?\Is this an indication that the planet is just about to explode?\It looks as though it would be best for me to get away from this planet.\If I get caught in the blast, I'll lose even more power sharply.\T- This can't be!\Now, you'll have to face me! response:	You surprise me! To think you still had the power to fly so fast.
context: Hurry, Shen Long! There's no time!\The sky! What's this?\Is this an indication that the planet is just about to explode?\It looks as though it would be best for me to get away from this planet.\If I get caught in the blast, I'll lose even more power sharply.\T- This can't be!\Now, you'll have to face me!\You surprise me! To think you still had the power to fly so fast. response:	Just what you'd expect of a Saiyan brat!
context: The sky! What's this?\Is this an indication that the planet is just about to explode?\It looks as though it would be best for me to get away from this planet.\If I get caught in the blast, I'll lose even more power sharply.\T- This can't be!\Now, you'll have to face me!\You surprise me! To think you still had the power to fly so fast.\Just what you'd expect of a Saiyan brat! response:	You... I'm going to defeat you!
context: Is this an indication that the planet is just about to explode?\It looks as though it would be best for me to get away from this planet.\If I get caught in the blast, I'll lose even more power sharply.\T- This can't be!\Now, you'll have to face me!\You surprise me! To think you still had the power to fly so fast.\Just what you'd expect of a Saiyan brat!\You... I'm going to defeat you! response:	You're going to defeat me, you say?
context: It looks as though it would be best for me to get away from this planet.\If I get caught in the blast, I'll lose even more power sharply.\T- This can't be!\Now, you'll have to face me!\You surprise me! To think you still had the power to fly so fast.\Just what you'd expect of a Saiyan brat!\You... I'm going to defeat you!\You're going to defeat me, you say? response:	Are you thinking of fighting me, Freeza, in your exhausted condition?
context: If I get caught in the blast, I'll lose even more power sharply.\T- This can't be!\Now, you'll have to face me!\You surprise me! To think you still had the power to fly so fast.\Just what you'd expect of a Saiyan brat!\You... I'm going to defeat you!\You're going to defeat me, you say?\Are you thinking of fighting me, Freeza, in your exhausted condition? response:	You for one are aware of my overwhelming power, aren't you?
context: T- This can't be!\Now, you'll have to face me!\You surprise me! To think you still had the power to fly so fast.\Just what you'd expect of a Saiyan brat!\You... I'm going to defeat you!\You're going to defeat me, you say?\Are you thinking of fighting me, Freeza, in your exhausted condition?\You for one are aware of my overwhelming power, aren't you? response:	You're so miserable, you Saiyans. Even when outclassed, you still can't keep yourselves from fighting.
context: Now, you'll have to face me!\You surprise me! To think you still had the power to fly so fast.\Just what you'd expect of a Saiyan brat!\You... I'm going to defeat you!\You're going to defeat me, you say?\Are you thinking of fighting me, Freeza, in your exhausted condition?\You for one are aware of my overwhelming power, aren't you?\You're so miserable, you Saiyans. Even when outclassed, you still can't keep yourselves from fighting. response:	It's fine with me. This saves me the trouble of going to Earth.
context: You surprise me! To think you still had the power to fly so fast.\Just what you'd expect of a Saiyan brat!\You... I'm going to defeat you!\You're going to defeat me, you say?\Are you thinking of fighting me, Freeza, in your exhausted condition?\You for one are aware of my overwhelming power, aren't you?\You're so miserable, you Saiyans. Even when outclassed, you still can't keep yourselves from fighting.\It's fine with me. This saves me the trouble of going to Earth. response:	So then, last of the Saiyans, come at me!
context: Just what you'd expect of a Saiyan brat!\You... I'm going to defeat you!\You're going to defeat me, you say?\Are you thinking of fighting me, Freeza, in your exhausted condition?\You for one are aware of my overwhelming power, aren't you?\You're so miserable, you Saiyans. Even when outclassed, you still can't keep yourselves from fighting.\It's fine with me. This saves me the trouble of going to Earth.\So then, last of the Saiyans, come at me! response:	What do you think you're doing? Weren't you going to defeat me?
context: You... I'm going to defeat you!\You're going to defeat me, you say?\Are you thinking of fighting me, Freeza, in your exhausted condition?\You for one are aware of my overwhelming power, aren't you?\You're so miserable, you Saiyans. Even when outclassed, you still can't keep yourselves from fighting.\It's fine with me. This saves me the trouble of going to Earth.\So then, last of the Saiyans, come at me!\What do you think you're doing? Weren't you going to defeat me? response:	Or is it that before my overwhelming power, the only thing you could do was run?
context: You're going to defeat me, you say?\Are you thinking of fighting me, Freeza, in your exhausted condition?\You for one are aware of my overwhelming power, aren't you?\You're so miserable, you Saiyans. Even when outclassed, you still can't keep yourselves from fighting.\It's fine with me. This saves me the trouble of going to Earth.\So then, last of the Saiyans, come at me!\What do you think you're doing? Weren't you going to defeat me?\Or is it that before my overwhelming power, the only thing you could do was run? response:	Why, you...!
context: Are you thinking of fighting me, Freeza, in your exhausted condition?\You for one are aware of my overwhelming power, aren't you?\You're so miserable, you Saiyans. Even when outclassed, you still can't keep yourselves from fighting.\It's fine with me. This saves me the trouble of going to Earth.\So then, last of the Saiyans, come at me!\What do you think you're doing? Weren't you going to defeat me?\Or is it that before my overwhelming power, the only thing you could do was run?\Why, you...! response:	Now then, what manner of death do you desire?
context: You for one are aware of my overwhelming power, aren't you?\You're so miserable, you Saiyans. Even when outclassed, you still can't keep yourselves from fighting.\It's fine with me. This saves me the trouble of going to Earth.\So then, last of the Saiyans, come at me!\What do you think you're doing? Weren't you going to defeat me?\Or is it that before my overwhelming power, the only thing you could do was run?\Why, you...!\Now then, what manner of death do you desire? response:	J- Just a little longer. If I can detain Freeza for two minutes, he'll be gone, together with the planet...
context: You're so miserable, you Saiyans. Even when outclassed, you still can't keep yourselves from fighting.\It's fine with me. This saves me the trouble of going to Earth.\So then, last of the Saiyans, come at me!\What do you think you're doing? Weren't you going to defeat me?\Or is it that before my overwhelming power, the only thing you could do was run?\Why, you...!\Now then, what manner of death do you desire?\J- Just a little longer. If I can detain Freeza for two minutes, he'll be gone, together with the planet... response:	I have succeeded. Whosoever was killed by Freeza and his ring on Planet Namek have been returned to life.
context: It's fine with me. This saves me the trouble of going to Earth.\So then, last of the Saiyans, come at me!\What do you think you're doing? Weren't you going to defeat me?\Or is it that before my overwhelming power, the only thing you could do was run?\Why, you...!\Now then, what manner of death do you desire?\J- Just a little longer. If I can detain Freeza for two minutes, he'll be gone, together with the planet...\I have succeeded. Whosoever was killed by Freeza and his ring on Planet Namek have been returned to life. response:	Thank you for service.
context: So then, last of the Saiyans, come at me!\What do you think you're doing? Weren't you going to defeat me?\Or is it that before my overwhelming power, the only thing you could do was run?\Why, you...!\Now then, what manner of death do you desire?\J- Just a little longer. If I can detain Freeza for two minutes, he'll be gone, together with the planet...\I have succeeded. Whosoever was killed by Freeza and his ring on Planet Namek have been returned to life.\Thank you for service. response:	So then, farewell.
context: What do you think you're doing? Weren't you going to defeat me?\Or is it that before my overwhelming power, the only thing you could do was run?\Why, you...!\Now then, what manner of death do you desire?\J- Just a little longer. If I can detain Freeza for two minutes, he'll be gone, together with the planet...\I have succeeded. Whosoever was killed by Freeza and his ring on Planet Namek have been returned to life.\Thank you for service.\So then, farewell. response:	He did it!
context: Or is it that before my overwhelming power, the only thing you could do was run?\Why, you...!\Now then, what manner of death do you desire?\J- Just a little longer. If I can detain Freeza for two minutes, he'll be gone, together with the planet...\I have succeeded. Whosoever was killed by Freeza and his ring on Planet Namek have been returned to life.\Thank you for service.\So then, farewell.\He did it! response:	He did it! Everyone has been restored to life!
context: Why, you...!\Now then, what manner of death do you desire?\J- Just a little longer. If I can detain Freeza for two minutes, he'll be gone, together with the planet...\I have succeeded. Whosoever was killed by Freeza and his ring on Planet Namek have been returned to life.\Thank you for service.\So then, farewell.\He did it!\He did it! Everyone has been restored to life! response:	What about the all-important Grand Elder? How is Planet Namek's Super Shen Long?
context: Now then, what manner of death do you desire?\J- Just a little longer. If I can detain Freeza for two minutes, he'll be gone, together with the planet...\I have succeeded. Whosoever was killed by Freeza and his ring on Planet Namek have been returned to life.\Thank you for service.\So then, farewell.\He did it!\He did it! Everyone has been restored to life!\What about the all-important Grand Elder? How is Planet Namek's Super Shen Long? response:	They're all right. They should be all right. The sky is dark.
context: J- Just a little longer. If I can detain Freeza for two minutes, he'll be gone, together with the planet...\I have succeeded. Whosoever was killed by Freeza and his ring on Planet Namek have been returned to life.\Thank you for service.\So then, farewell.\He did it!\He did it! Everyone has been restored to life!\What about the all-important Grand Elder? How is Planet Namek's Super Shen Long?\They're all right. They should be all right. The sky is dark. response:	That's proof that Super Shen Long and the Grand Elder are back alive. I'll verify it now.
context: I have succeeded. Whosoever was killed by Freeza and his ring on Planet Namek have been returned to life.\Thank you for service.\So then, farewell.\He did it!\He did it! Everyone has been restored to life!\What about the all-important Grand Elder? How is Planet Namek's Super Shen Long?\They're all right. They should be all right. The sky is dark.\That's proof that Super Shen Long and the Grand Elder are back alive. I'll verify it now. response:	How is this so? Why... why am I in the mortal world?
context: Thank you for service.\So then, farewell.\He did it!\He did it! Everyone has been restored to life!\What about the all-important Grand Elder? How is Planet Namek's Super Shen Long?\They're all right. They should be all right. The sky is dark.\That's proof that Super Shen Long and the Grand Elder are back alive. I'll verify it now.\How is this so? Why... why am I in the mortal world? response:	Great! It's just as I figured!
context: So then, farewell.\He did it!\He did it! Everyone has been restored to life!\What about the all-important Grand Elder? How is Planet Namek's Super Shen Long?\They're all right. They should be all right. The sky is dark.\That's proof that Super Shen Long and the Grand Elder are back alive. I'll verify it now.\How is this so? Why... why am I in the mortal world?\Great! It's just as I figured! response:	All right!
context: He did it!\He did it! Everyone has been restored to life!\What about the all-important Grand Elder? How is Planet Namek's Super Shen Long?\They're all right. They should be all right. The sky is dark.\That's proof that Super Shen Long and the Grand Elder are back alive. I'll verify it now.\How is this so? Why... why am I in the mortal world?\Great! It's just as I figured!\All right! response:	Kaio-sama, hurry! You have hurry and to tell him your intentions, or he'll...!
context: He did it! Everyone has been restored to life!\What about the all-important Grand Elder? How is Planet Namek's Super Shen Long?\They're all right. They should be all right. The sky is dark.\That's proof that Super Shen Long and the Grand Elder are back alive. I'll verify it now.\How is this so? Why... why am I in the mortal world?\Great! It's just as I figured!\All right!\Kaio-sama, hurry! You have hurry and to tell him your intentions, or he'll...! response:	That's right! The Grand Elder's measure of life will once again...!
context: What about the all-important Grand Elder? How is Planet Namek's Super Shen Long?\They're all right. They should be all right. The sky is dark.\That's proof that Super Shen Long and the Grand Elder are back alive. I'll verify it now.\How is this so? Why... why am I in the mortal world?\Great! It's just as I figured!\All right!\Kaio-sama, hurry! You have hurry and to tell him your intentions, or he'll...!\That's right! The Grand Elder's measure of life will once again...! response:	I know!
context: They're all right. They should be all right. The sky is dark.\That's proof that Super Shen Long and the Grand Elder are back alive. I'll verify it now.\How is this so? Why... why am I in the mortal world?\Great! It's just as I figured!\All right!\Kaio-sama, hurry! You have hurry and to tell him your intentions, or he'll...!\That's right! The Grand Elder's measure of life will once again...!\I know! response:	Grand Elder of Planet Namek! I am the Kaio over the Northern Galaxy.
context: That's proof that Super Shen Long and the Grand Elder are back alive. I'll verify it now.\How is this so? Why... why am I in the mortal world?\Great! It's just as I figured!\All right!\Kaio-sama, hurry! You have hurry and to tell him your intentions, or he'll...!\That's right! The Grand Elder's measure of life will once again...!\I know!\Grand Elder of Planet Namek! I am the Kaio over the Northern Galaxy. response:	Kaio-sama...
context: How is this so? Why... why am I in the mortal world?\Great! It's just as I figured!\All right!\Kaio-sama, hurry! You have hurry and to tell him your intentions, or he'll...!\That's right! The Grand Elder's measure of life will once again...!\I know!\Grand Elder of Planet Namek! I am the Kaio over the Northern Galaxy.\Kaio-sama... response:	I want you to listen closely to what I'm about to say.
