context: This is the Sea of Mist I heard tell of. response:	Is it true that nobody's ever come back alive from it?
context: All stop!\Alright, boss of the tin can, you're on!\I'm going to begin aggressive maneuvers.\Hideauze colony drawing near.\They've got overwhelming numbers.\Affirmative. Conjecture: On the other hand, in the area of fighting power, I am superior.\Suggestion: Carry out an independent mission.\That was the idea! response:	Alright!
context: Alright, boss of the tin can, you're on!\I'm going to begin aggressive maneuvers.\Hideauze colony drawing near.\They've got overwhelming numbers.\Affirmative. Conjecture: On the other hand, in the area of fighting power, I am superior.\Suggestion: Carry out an independent mission.\That was the idea!\Alright! response:	Preparing fusillade.
context: I'm going to begin aggressive maneuvers.\Hideauze colony drawing near.\They've got overwhelming numbers.\Affirmative. Conjecture: On the other hand, in the area of fighting power, I am superior.\Suggestion: Carry out an independent mission.\That was the idea!\Alright!\Preparing fusillade. response:	That'll save us some effort.
context: Hideauze colony drawing near.\They've got overwhelming numbers.\Affirmative. Conjecture: On the other hand, in the area of fighting power, I am superior.\Suggestion: Carry out an independent mission.\That was the idea!\Alright!\Preparing fusillade.\That'll save us some effort. response:	Too slow!
context: They've got overwhelming numbers.\Affirmative. Conjecture: On the other hand, in the area of fighting power, I am superior.\Suggestion: Carry out an independent mission.\That was the idea!\Alright!\Preparing fusillade.\That'll save us some effort.\Too slow! response:	At this rate, I can take out any number of them.
context: Affirmative. Conjecture: On the other hand, in the area of fighting power, I am superior.\Suggestion: Carry out an independent mission.\That was the idea!\Alright!\Preparing fusillade.\That'll save us some effort.\Too slow!\At this rate, I can take out any number of them. response:	Affirmative.
context: Suggestion: Carry out an independent mission.\That was the idea!\Alright!\Preparing fusillade.\That'll save us some effort.\Too slow!\At this rate, I can take out any number of them.\Affirmative. response:	It appears the Earth-type Hideauze are much weaker than the ones we've encountered.
context: That was the idea!\Alright!\Preparing fusillade.\That'll save us some effort.\Too slow!\At this rate, I can take out any number of them.\Affirmative.\It appears the Earth-type Hideauze are much weaker than the ones we've encountered. response:	Their combat efficiency is 1/120th of mine.
context: Alright!\Preparing fusillade.\That'll save us some effort.\Too slow!\At this rate, I can take out any number of them.\Affirmative.\It appears the Earth-type Hideauze are much weaker than the ones we've encountered.\Their combat efficiency is 1/120th of mine. response:	With current armaments, it is possible to continue attacking and drive them away.
context: Preparing fusillade.\That'll save us some effort.\Too slow!\At this rate, I can take out any number of them.\Affirmative.\It appears the Earth-type Hideauze are much weaker than the ones we've encountered.\Their combat efficiency is 1/120th of mine.\With current armaments, it is possible to continue attacking and drive them away. response:	No, I'm going to massacre the whole lot of them.
context: That'll save us some effort.\Too slow!\At this rate, I can take out any number of them.\Affirmative.\It appears the Earth-type Hideauze are much weaker than the ones we've encountered.\Their combat efficiency is 1/120th of mine.\With current armaments, it is possible to continue attacking and drive them away.\No, I'm going to massacre the whole lot of them. response:	Deep Sea Secret
context: Too slow!\At this rate, I can take out any number of them.\Affirmative.\It appears the Earth-type Hideauze are much weaker than the ones we've encountered.\Their combat efficiency is 1/120th of mine.\With current armaments, it is possible to continue attacking and drive them away.\No, I'm going to massacre the whole lot of them.\Deep Sea Secret response:	Alright, maintain current course. Watch the depth gauge.
context: At this rate, I can take out any number of them.\Affirmative.\It appears the Earth-type Hideauze are much weaker than the ones we've encountered.\Their combat efficiency is 1/120th of mine.\With current armaments, it is possible to continue attacking and drive them away.\No, I'm going to massacre the whole lot of them.\Deep Sea Secret\Alright, maintain current course. Watch the depth gauge. response:	He's sure it's this way?
context: Affirmative.\It appears the Earth-type Hideauze are much weaker than the ones we've encountered.\Their combat efficiency is 1/120th of mine.\With current armaments, it is possible to continue attacking and drive them away.\No, I'm going to massacre the whole lot of them.\Deep Sea Secret\Alright, maintain current course. Watch the depth gauge.\He's sure it's this way? response:	I don't wanna get lost in the middle of a bunch of whalesquid.
context: It appears the Earth-type Hideauze are much weaker than the ones we've encountered.\Their combat efficiency is 1/120th of mine.\With current armaments, it is possible to continue attacking and drive them away.\No, I'm going to massacre the whole lot of them.\Deep Sea Secret\Alright, maintain current course. Watch the depth gauge.\He's sure it's this way?\I don't wanna get lost in the middle of a bunch of whalesquid. response:	They're supposed to be cursed, too.
context: Their combat efficiency is 1/120th of mine.\With current armaments, it is possible to continue attacking and drive them away.\No, I'm going to massacre the whole lot of them.\Deep Sea Secret\Alright, maintain current course. Watch the depth gauge.\He's sure it's this way?\I don't wanna get lost in the middle of a bunch of whalesquid.\They're supposed to be cursed, too. response:	Cut it out!
context: With current armaments, it is possible to continue attacking and drive them away.\No, I'm going to massacre the whole lot of them.\Deep Sea Secret\Alright, maintain current course. Watch the depth gauge.\He's sure it's this way?\I don't wanna get lost in the middle of a bunch of whalesquid.\They're supposed to be cursed, too.\Cut it out! response:	Leave it to me!
context: No, I'm going to massacre the whole lot of them.\Deep Sea Secret\Alright, maintain current course. Watch the depth gauge.\He's sure it's this way?\I don't wanna get lost in the middle of a bunch of whalesquid.\They're supposed to be cursed, too.\Cut it out!\Leave it to me! response:	If we do everything according to plan, there's nothin' to worry about!
context: Deep Sea Secret\Alright, maintain current course. Watch the depth gauge.\He's sure it's this way?\I don't wanna get lost in the middle of a bunch of whalesquid.\They're supposed to be cursed, too.\Cut it out!\Leave it to me!\If we do everything according to plan, there's nothin' to worry about! response:	I won't panic again.
context: Alright, maintain current course. Watch the depth gauge.\He's sure it's this way?\I don't wanna get lost in the middle of a bunch of whalesquid.\They're supposed to be cursed, too.\Cut it out!\Leave it to me!\If we do everything according to plan, there's nothin' to worry about!\I won't panic again. response:	Bro, we're in deep shit here. I've never seen this many whalesquid at once.
context: He's sure it's this way?\I don't wanna get lost in the middle of a bunch of whalesquid.\They're supposed to be cursed, too.\Cut it out!\Leave it to me!\If we do everything according to plan, there's nothin' to worry about!\I won't panic again.\Bro, we're in deep shit here. I've never seen this many whalesquid at once. response:	Keep your cool. As long as we don't agitate them, we'll be fine.
context: I don't wanna get lost in the middle of a bunch of whalesquid.\They're supposed to be cursed, too.\Cut it out!\Leave it to me!\If we do everything according to plan, there's nothin' to worry about!\I won't panic again.\Bro, we're in deep shit here. I've never seen this many whalesquid at once.\Keep your cool. As long as we don't agitate them, we'll be fine. response:	We're taking a roundabout route, towards 10 o'clock.
context: They're supposed to be cursed, too.\Cut it out!\Leave it to me!\If we do everything according to plan, there's nothin' to worry about!\I won't panic again.\Bro, we're in deep shit here. I've never seen this many whalesquid at once.\Keep your cool. As long as we don't agitate them, we'll be fine.\We're taking a roundabout route, towards 10 o'clock. response:	10 o'clock! Roger!
context: Cut it out!\Leave it to me!\If we do everything according to plan, there's nothin' to worry about!\I won't panic again.\Bro, we're in deep shit here. I've never seen this many whalesquid at once.\Keep your cool. As long as we don't agitate them, we'll be fine.\We're taking a roundabout route, towards 10 o'clock.\10 o'clock! Roger! response:	Bro! That's...
context: Leave it to me!\If we do everything according to plan, there's nothin' to worry about!\I won't panic again.\Bro, we're in deep shit here. I've never seen this many whalesquid at once.\Keep your cool. As long as we don't agitate them, we'll be fine.\We're taking a roundabout route, towards 10 o'clock.\10 o'clock! Roger!\Bro! That's... response:	Yeah. Like we thought. A genuine treasure island.
context: If we do everything according to plan, there's nothin' to worry about!\I won't panic again.\Bro, we're in deep shit here. I've never seen this many whalesquid at once.\Keep your cool. As long as we don't agitate them, we'll be fine.\We're taking a roundabout route, towards 10 o'clock.\10 o'clock! Roger!\Bro! That's...\Yeah. Like we thought. A genuine treasure island. response:	Did humans really create something as incredible as this?
context: I won't panic again.\Bro, we're in deep shit here. I've never seen this many whalesquid at once.\Keep your cool. As long as we don't agitate them, we'll be fine.\We're taking a roundabout route, towards 10 o'clock.\10 o'clock! Roger!\Bro! That's...\Yeah. Like we thought. A genuine treasure island.\Did humans really create something as incredible as this? response:	I'll check it out. You stay here and keep watch.
context: Bro, we're in deep shit here. I've never seen this many whalesquid at once.\Keep your cool. As long as we don't agitate them, we'll be fine.\We're taking a roundabout route, towards 10 o'clock.\10 o'clock! Roger!\Bro! That's...\Yeah. Like we thought. A genuine treasure island.\Did humans really create something as incredible as this?\I'll check it out. You stay here and keep watch. response:	Be careful, Bro!
context: Keep your cool. As long as we don't agitate them, we'll be fine.\We're taking a roundabout route, towards 10 o'clock.\10 o'clock! Roger!\Bro! That's...\Yeah. Like we thought. A genuine treasure island.\Did humans really create something as incredible as this?\I'll check it out. You stay here and keep watch.\Be careful, Bro! response:	Worrywart. I'll be right back.
context: We're taking a roundabout route, towards 10 o'clock.\10 o'clock! Roger!\Bro! That's...\Yeah. Like we thought. A genuine treasure island.\Did humans really create something as incredible as this?\I'll check it out. You stay here and keep watch.\Be careful, Bro!\Worrywart. I'll be right back. response:	I'm inside. There are gigantic machines around.
context: 10 o'clock! Roger!\Bro! That's...\Yeah. Like we thought. A genuine treasure island.\Did humans really create something as incredible as this?\I'll check it out. You stay here and keep watch.\Be careful, Bro!\Worrywart. I'll be right back.\I'm inside. There are gigantic machines around. response:	This place isn't just accommodations. It's an industrial facility.
context: Bro! That's...\Yeah. Like we thought. A genuine treasure island.\Did humans really create something as incredible as this?\I'll check it out. You stay here and keep watch.\Be careful, Bro!\Worrywart. I'll be right back.\I'm inside. There are gigantic machines around.\This place isn't just accommodations. It's an industrial facility. response:	Whalesquid!
context: Yeah. Like we thought. A genuine treasure island.\Did humans really create something as incredible as this?\I'll check it out. You stay here and keep watch.\Be careful, Bro!\Worrywart. I'll be right back.\I'm inside. There are gigantic machines around.\This place isn't just accommodations. It's an industrial facility.\Whalesquid! response:	This is amazing!
context: Did humans really create something as incredible as this?\I'll check it out. You stay here and keep watch.\Be careful, Bro!\Worrywart. I'll be right back.\I'm inside. There are gigantic machines around.\This place isn't just accommodations. It's an industrial facility.\Whalesquid!\This is amazing! response:	I'm not talking lousy spare parts, but genuine remains of the past civilization!
context: I'll check it out. You stay here and keep watch.\Be careful, Bro!\Worrywart. I'll be right back.\I'm inside. There are gigantic machines around.\This place isn't just accommodations. It's an industrial facility.\Whalesquid!\This is amazing!\I'm not talking lousy spare parts, but genuine remains of the past civilization! response:	Bro, you've seen enough.
context: Be careful, Bro!\Worrywart. I'll be right back.\I'm inside. There are gigantic machines around.\This place isn't just accommodations. It's an industrial facility.\Whalesquid!\This is amazing!\I'm not talking lousy spare parts, but genuine remains of the past civilization!\Bro, you've seen enough. response:	Either way, the two of us can't bring it up alone.
context: Worrywart. I'll be right back.\I'm inside. There are gigantic machines around.\This place isn't just accommodations. It's an industrial facility.\Whalesquid!\This is amazing!\I'm not talking lousy spare parts, but genuine remains of the past civilization!\Bro, you've seen enough.\Either way, the two of us can't bring it up alone. response:	Even if we do come back, first I need to get a rough idea of the area.
context: I'm inside. There are gigantic machines around.\This place isn't just accommodations. It's an industrial facility.\Whalesquid!\This is amazing!\I'm not talking lousy spare parts, but genuine remains of the past civilization!\Bro, you've seen enough.\Either way, the two of us can't bring it up alone.\Even if we do come back, first I need to get a rough idea of the area. response:	Right now, I'm heading for the door.
context: This place isn't just accommodations. It's an industrial facility.\Whalesquid!\This is amazing!\I'm not talking lousy spare parts, but genuine remains of the past civilization!\Bro, you've seen enough.\Either way, the two of us can't bring it up alone.\Even if we do come back, first I need to get a rough idea of the area.\Right now, I'm heading for the door. response:	What's this huge one?
context: Whalesquid!\This is amazing!\I'm not talking lousy spare parts, but genuine remains of the past civilization!\Bro, you've seen enough.\Either way, the two of us can't bring it up alone.\Even if we do come back, first I need to get a rough idea of the area.\Right now, I'm heading for the door.\What's this huge one? response:	Oh, no! This is a whalesquid nest!
context: This is amazing!\I'm not talking lousy spare parts, but genuine remains of the past civilization!\Bro, you've seen enough.\Either way, the two of us can't bring it up alone.\Even if we do come back, first I need to get a rough idea of the area.\Right now, I'm heading for the door.\What's this huge one?\Oh, no! This is a whalesquid nest! response:	Bro!
context: I'm not talking lousy spare parts, but genuine remains of the past civilization!\Bro, you've seen enough.\Either way, the two of us can't bring it up alone.\Even if we do come back, first I need to get a rough idea of the area.\Right now, I'm heading for the door.\What's this huge one?\Oh, no! This is a whalesquid nest!\Bro! response:	Goddammit! You bastards!
context: Bro, you've seen enough.\Either way, the two of us can't bring it up alone.\Even if we do come back, first I need to get a rough idea of the area.\Right now, I'm heading for the door.\What's this huge one?\Oh, no! This is a whalesquid nest!\Bro!\Goddammit! You bastards! response:	Pinion! Get away!
context: Either way, the two of us can't bring it up alone.\Even if we do come back, first I need to get a rough idea of the area.\Right now, I'm heading for the door.\What's this huge one?\Oh, no! This is a whalesquid nest!\Bro!\Goddammit! You bastards!\Pinion! Get away! response:	Bro!
context: Even if we do come back, first I need to get a rough idea of the area.\Right now, I'm heading for the door.\What's this huge one?\Oh, no! This is a whalesquid nest!\Bro!\Goddammit! You bastards!\Pinion! Get away!\Bro! response:	Bro. I'm back...
context: Right now, I'm heading for the door.\What's this huge one?\Oh, no! This is a whalesquid nest!\Bro!\Goddammit! You bastards!\Pinion! Get away!\Bro!\Bro. I'm back... response:	Warning: Due to current maximizing, 23 of my energy has been consumed.
context: What's this huge one?\Oh, no! This is a whalesquid nest!\Bro!\Goddammit! You bastards!\Pinion! Get away!\Bro!\Bro. I'm back...\Warning: Due to current maximizing, 23 of my energy has been consumed. response:	Operating underwater is inefficient.
context: Oh, no! This is a whalesquid nest!\Bro!\Goddammit! You bastards!\Pinion! Get away!\Bro!\Bro. I'm back...\Warning: Due to current maximizing, 23 of my energy has been consumed.\Operating underwater is inefficient. response:	I know. That's why I've got the handheld weapon.
context: Bro!\Goddammit! You bastards!\Pinion! Get away!\Bro!\Bro. I'm back...\Warning: Due to current maximizing, 23 of my energy has been consumed.\Operating underwater is inefficient.\I know. That's why I've got the handheld weapon. response:	What the...?!
context: Goddammit! You bastards!\Pinion! Get away!\Bro!\Bro. I'm back...\Warning: Due to current maximizing, 23 of my energy has been consumed.\Operating underwater is inefficient.\I know. That's why I've got the handheld weapon.\What the...?! response:	The main force?!
context: Pinion! Get away!\Bro!\Bro. I'm back...\Warning: Due to current maximizing, 23 of my energy has been consumed.\Operating underwater is inefficient.\I know. That's why I've got the handheld weapon.\What the...?!\The main force?! response:	Firing proximity fuse.
context: Bro!\Bro. I'm back...\Warning: Due to current maximizing, 23 of my energy has been consumed.\Operating underwater is inefficient.\I know. That's why I've got the handheld weapon.\What the...?!\The main force?!\Firing proximity fuse. response:	Roger!
context: Bro. I'm back...\Warning: Due to current maximizing, 23 of my energy has been consumed.\Operating underwater is inefficient.\I know. That's why I've got the handheld weapon.\What the...?!\The main force?!\Firing proximity fuse.\Roger! response:	The hell... So they can be killed...
context: Warning: Due to current maximizing, 23 of my energy has been consumed.\Operating underwater is inefficient.\I know. That's why I've got the handheld weapon.\What the...?!\The main force?!\Firing proximity fuse.\Roger!\The hell... So they can be killed... response:	They're not demons or anything like that!
context: Operating underwater is inefficient.\I know. That's why I've got the handheld weapon.\What the...?!\The main force?!\Firing proximity fuse.\Roger!\The hell... So they can be killed...\They're not demons or anything like that! response:	What'd I tell you?
context: I know. That's why I've got the handheld weapon.\What the...?!\The main force?!\Firing proximity fuse.\Roger!\The hell... So they can be killed...\They're not demons or anything like that!\What'd I tell you? response:	Ledo, how you doin' down there?
context: What the...?!\The main force?!\Firing proximity fuse.\Roger!\The hell... So they can be killed...\They're not demons or anything like that!\What'd I tell you?\Ledo, how you doin' down there? response:	No problem.
context: The main force?!\Firing proximity fuse.\Roger!\The hell... So they can be killed...\They're not demons or anything like that!\What'd I tell you?\Ledo, how you doin' down there?\No problem. response:	Alright! Just keep it up. Lure those bastards out of their nest.
context: Firing proximity fuse.\Roger!\The hell... So they can be killed...\They're not demons or anything like that!\What'd I tell you?\Ledo, how you doin' down there?\No problem.\Alright! Just keep it up. Lure those bastards out of their nest. response:	In another five minutes, we're gonna be ready to go.
context: Roger!\The hell... So they can be killed...\They're not demons or anything like that!\What'd I tell you?\Ledo, how you doin' down there?\No problem.\Alright! Just keep it up. Lure those bastards out of their nest.\In another five minutes, we're gonna be ready to go. response:	Understood.
context: The hell... So they can be killed...\They're not demons or anything like that!\What'd I tell you?\Ledo, how you doin' down there?\No problem.\Alright! Just keep it up. Lure those bastards out of their nest.\In another five minutes, we're gonna be ready to go.\Understood. response:	Right up ahead...
context: They're not demons or anything like that!\What'd I tell you?\Ledo, how you doin' down there?\No problem.\Alright! Just keep it up. Lure those bastards out of their nest.\In another five minutes, we're gonna be ready to go.\Understood.\Right up ahead... response:	Warning: Density of enemy signs increasing.
context: What'd I tell you?\Ledo, how you doin' down there?\No problem.\Alright! Just keep it up. Lure those bastards out of their nest.\In another five minutes, we're gonna be ready to go.\Understood.\Right up ahead...\Warning: Density of enemy signs increasing. response:	Number of simultaneous targets is excessive. Recommendation: Retreat.
context: Ledo, how you doin' down there?\No problem.\Alright! Just keep it up. Lure those bastards out of their nest.\In another five minutes, we're gonna be ready to go.\Understood.\Right up ahead...\Warning: Density of enemy signs increasing.\Number of simultaneous targets is excessive. Recommendation: Retreat. response:	We're ready up here! Just say the word!
context: No problem.\Alright! Just keep it up. Lure those bastards out of their nest.\In another five minutes, we're gonna be ready to go.\Understood.\Right up ahead...\Warning: Density of enemy signs increasing.\Number of simultaneous targets is excessive. Recommendation: Retreat.\We're ready up here! Just say the word! response:	Understood!
context: Alright! Just keep it up. Lure those bastards out of their nest.\In another five minutes, we're gonna be ready to go.\Understood.\Right up ahead...\Warning: Density of enemy signs increasing.\Number of simultaneous targets is excessive. Recommendation: Retreat.\We're ready up here! Just say the word!\Understood! response:	Alright! Now!
context: In another five minutes, we're gonna be ready to go.\Understood.\Right up ahead...\Warning: Density of enemy signs increasing.\Number of simultaneous targets is excessive. Recommendation: Retreat.\We're ready up here! Just say the word!\Understood!\Alright! Now! response:	Okay!
context: Understood.\Right up ahead...\Warning: Density of enemy signs increasing.\Number of simultaneous targets is excessive. Recommendation: Retreat.\We're ready up here! Just say the word!\Understood!\Alright! Now!\Okay! response:	Drop'em!
context: Right up ahead...\Warning: Density of enemy signs increasing.\Number of simultaneous targets is excessive. Recommendation: Retreat.\We're ready up here! Just say the word!\Understood!\Alright! Now!\Okay!\Drop'em! response:	Anti-shock barrier.
context: Warning: Density of enemy signs increasing.\Number of simultaneous targets is excessive. Recommendation: Retreat.\We're ready up here! Just say the word!\Understood!\Alright! Now!\Okay!\Drop'em!\Anti-shock barrier. response:	No damage incurred. Turning off shelter mode.
context: Number of simultaneous targets is excessive. Recommendation: Retreat.\We're ready up here! Just say the word!\Understood!\Alright! Now!\Okay!\Drop'em!\Anti-shock barrier.\No damage incurred. Turning off shelter mode. response:	Situation report?
context: We're ready up here! Just say the word!\Understood!\Alright! Now!\Okay!\Drop'em!\Anti-shock barrier.\No damage incurred. Turning off shelter mode.\Situation report? response:	Currently, 67 of the enemy's offensive capability has been eliminated.
context: Understood!\Alright! Now!\Okay!\Drop'em!\Anti-shock barrier.\No damage incurred. Turning off shelter mode.\Situation report?\Currently, 67 of the enemy's offensive capability has been eliminated. response:	It continues to decrease.
context: Alright! Now!\Okay!\Drop'em!\Anti-shock barrier.\No damage incurred. Turning off shelter mode.\Situation report?\Currently, 67 of the enemy's offensive capability has been eliminated.\It continues to decrease. response:	Good.
context: Okay!\Drop'em!\Anti-shock barrier.\No damage incurred. Turning off shelter mode.\Situation report?\Currently, 67 of the enemy's offensive capability has been eliminated.\It continues to decrease.\Good. response:	I see. Once you're done there, move on to the next spot as per the plan.
context: Drop'em!\Anti-shock barrier.\No damage incurred. Turning off shelter mode.\Situation report?\Currently, 67 of the enemy's offensive capability has been eliminated.\It continues to decrease.\Good.\I see. Once you're done there, move on to the next spot as per the plan. response:	It's workin' perfectly! Keep tossin' em!
context: Anti-shock barrier.\No damage incurred. Turning off shelter mode.\Situation report?\Currently, 67 of the enemy's offensive capability has been eliminated.\It continues to decrease.\Good.\I see. Once you're done there, move on to the next spot as per the plan.\It's workin' perfectly! Keep tossin' em! response:	Yeah!
context: No damage incurred. Turning off shelter mode.\Situation report?\Currently, 67 of the enemy's offensive capability has been eliminated.\It continues to decrease.\Good.\I see. Once you're done there, move on to the next spot as per the plan.\It's workin' perfectly! Keep tossin' em!\Yeah! response:	Fine, but is that Yunboro gonna be okay?
context: Situation report?\Currently, 67 of the enemy's offensive capability has been eliminated.\It continues to decrease.\Good.\I see. Once you're done there, move on to the next spot as per the plan.\It's workin' perfectly! Keep tossin' em!\Yeah!\Fine, but is that Yunboro gonna be okay? response:	It's fine. That tin can ain't your average Yunboro.
context: Currently, 67 of the enemy's offensive capability has been eliminated.\It continues to decrease.\Good.\I see. Once you're done there, move on to the next spot as per the plan.\It's workin' perfectly! Keep tossin' em!\Yeah!\Fine, but is that Yunboro gonna be okay?\It's fine. That tin can ain't your average Yunboro. response:	Then I won't hold back!
context: It continues to decrease.\Good.\I see. Once you're done there, move on to the next spot as per the plan.\It's workin' perfectly! Keep tossin' em!\Yeah!\Fine, but is that Yunboro gonna be okay?\It's fine. That tin can ain't your average Yunboro.\Then I won't hold back! response:	Look at all those lightbugs! That spray of water was glowing!
context: Good.\I see. Once you're done there, move on to the next spot as per the plan.\It's workin' perfectly! Keep tossin' em!\Yeah!\Fine, but is that Yunboro gonna be okay?\It's fine. That tin can ain't your average Yunboro.\Then I won't hold back!\Look at all those lightbugs! That spray of water was glowing! response:	Even though fish can't live here, there are whalesquid, huh?
context: I see. Once you're done there, move on to the next spot as per the plan.\It's workin' perfectly! Keep tossin' em!\Yeah!\Fine, but is that Yunboro gonna be okay?\It's fine. That tin can ain't your average Yunboro.\Then I won't hold back!\Look at all those lightbugs! That spray of water was glowing!\Even though fish can't live here, there are whalesquid, huh? response:	Where to next?
context: It's workin' perfectly! Keep tossin' em!\Yeah!\Fine, but is that Yunboro gonna be okay?\It's fine. That tin can ain't your average Yunboro.\Then I won't hold back!\Look at all those lightbugs! That spray of water was glowing!\Even though fish can't live here, there are whalesquid, huh?\Where to next? response:	Inference: It appears the enemy force has retreated, likely to defend their base.
context: Yeah!\Fine, but is that Yunboro gonna be okay?\It's fine. That tin can ain't your average Yunboro.\Then I won't hold back!\Look at all those lightbugs! That spray of water was glowing!\Even though fish can't live here, there are whalesquid, huh?\Where to next?\Inference: It appears the enemy force has retreated, likely to defend their base. response:	Their base... Is that the nest Pinion was talking about?
context: Fine, but is that Yunboro gonna be okay?\It's fine. That tin can ain't your average Yunboro.\Then I won't hold back!\Look at all those lightbugs! That spray of water was glowing!\Even though fish can't live here, there are whalesquid, huh?\Where to next?\Inference: It appears the enemy force has retreated, likely to defend their base.\Their base... Is that the nest Pinion was talking about? response:	Echolocation analysis complete. Now displaying.
context: It's fine. That tin can ain't your average Yunboro.\Then I won't hold back!\Look at all those lightbugs! That spray of water was glowing!\Even though fish can't live here, there are whalesquid, huh?\Where to next?\Inference: It appears the enemy force has retreated, likely to defend their base.\Their base... Is that the nest Pinion was talking about?\Echolocation analysis complete. Now displaying. response:	That...
context: Then I won't hold back!\Look at all those lightbugs! That spray of water was glowing!\Even though fish can't live here, there are whalesquid, huh?\Where to next?\Inference: It appears the enemy force has retreated, likely to defend their base.\Their base... Is that the nest Pinion was talking about?\Echolocation analysis complete. Now displaying.\That... response:	What is this?!
context: Look at all those lightbugs! That spray of water was glowing!\Even though fish can't live here, there are whalesquid, huh?\Where to next?\Inference: It appears the enemy force has retreated, likely to defend their base.\Their base... Is that the nest Pinion was talking about?\Echolocation analysis complete. Now displaying.\That...\What is this?! response:	Warning: Overall level of fatigue near the limit.
context: Even though fish can't live here, there are whalesquid, huh?\Where to next?\Inference: It appears the enemy force has retreated, likely to defend their base.\Their base... Is that the nest Pinion was talking about?\Echolocation analysis complete. Now displaying.\That...\What is this?!\Warning: Overall level of fatigue near the limit. response:	Recommendation: Temporarily retreat and then attack again later at full power.
context: Where to next?\Inference: It appears the enemy force has retreated, likely to defend their base.\Their base... Is that the nest Pinion was talking about?\Echolocation analysis complete. Now displaying.\That...\What is this?!\Warning: Overall level of fatigue near the limit.\Recommendation: Temporarily retreat and then attack again later at full power. response:	I'd be a fool to let this chance get away.
context: Inference: It appears the enemy force has retreated, likely to defend their base.\Their base... Is that the nest Pinion was talking about?\Echolocation analysis complete. Now displaying.\That...\What is this?!\Warning: Overall level of fatigue near the limit.\Recommendation: Temporarily retreat and then attack again later at full power.\I'd be a fool to let this chance get away. response:	Roger. Continuing the mission.
context: Their base... Is that the nest Pinion was talking about?\Echolocation analysis complete. Now displaying.\That...\What is this?!\Warning: Overall level of fatigue near the limit.\Recommendation: Temporarily retreat and then attack again later at full power.\I'd be a fool to let this chance get away.\Roger. Continuing the mission. response:	Ion concentration rising. Electrolysis reaction in progress.
context: Echolocation analysis complete. Now displaying.\That...\What is this?!\Warning: Overall level of fatigue near the limit.\Recommendation: Temporarily retreat and then attack again later at full power.\I'd be a fool to let this chance get away.\Roger. Continuing the mission.\Ion concentration rising. Electrolysis reaction in progress. response:	Confirmed: Discharge of strong electromagnetic field in the target range.
context: That...\What is this?!\Warning: Overall level of fatigue near the limit.\Recommendation: Temporarily retreat and then attack again later at full power.\I'd be a fool to let this chance get away.\Roger. Continuing the mission.\Ion concentration rising. Electrolysis reaction in progress.\Confirmed: Discharge of strong electromagnetic field in the target range. response:	What?!
context: What is this?!\Warning: Overall level of fatigue near the limit.\Recommendation: Temporarily retreat and then attack again later at full power.\I'd be a fool to let this chance get away.\Roger. Continuing the mission.\Ion concentration rising. Electrolysis reaction in progress.\Confirmed: Discharge of strong electromagnetic field in the target range.\What?! response:	Anti-shock barrier.
