context: eyecatch response:	Yuujirou-san, I'm sorry for being so cocky up until now.
context: And now becoming the number one author in Jack really isn't just a dream!\It's not just a dream?\For the early report of chapter three, you're third!\Chapter three was better?\It was different from how we read it.\I don't regret it though.\We made chapter five more interesting and got him to do meetings and names.\Yay! I'm going to be the most popular mangaka! response:	I was glad that Eiji was drawing names now, too.
context: It's not just a dream?\For the early report of chapter three, you're third!\Chapter three was better?\It was different from how we read it.\I don't regret it though.\We made chapter five more interesting and got him to do meetings and names.\Yay! I'm going to be the most popular mangaka!\I was glad that Eiji was drawing names now, too. response:	But I came here for Shuujin's sake.
context: For the early report of chapter three, you're third!\Chapter three was better?\It was different from how we read it.\I don't regret it though.\We made chapter five more interesting and got him to do meetings and names.\Yay! I'm going to be the most popular mangaka!\I was glad that Eiji was drawing names now, too.\But I came here for Shuujin's sake. response:	I've got to bring something back...
context: Chapter three was better?\It was different from how we read it.\I don't regret it though.\We made chapter five more interesting and got him to do meetings and names.\Yay! I'm going to be the most popular mangaka!\I was glad that Eiji was drawing names now, too.\But I came here for Shuujin's sake.\I've got to bring something back... response:	Crow!
context: It was different from how we read it.\I don't regret it though.\We made chapter five more interesting and got him to do meetings and names.\Yay! I'm going to be the most popular mangaka!\I was glad that Eiji was drawing names now, too.\But I came here for Shuujin's sake.\I've got to bring something back...\Crow! response:	Crow!
context: I don't regret it though.\We made chapter five more interesting and got him to do meetings and names.\Yay! I'm going to be the most popular mangaka!\I was glad that Eiji was drawing names now, too.\But I came here for Shuujin's sake.\I've got to bring something back...\Crow!\Crow! response:	Crow True-Fist!
context: We made chapter five more interesting and got him to do meetings and names.\Yay! I'm going to be the most popular mangaka!\I was glad that Eiji was drawing names now, too.\But I came here for Shuujin's sake.\I've got to bring something back...\Crow!\Crow!\Crow True-Fist! response:	Crow!
context: Yay! I'm going to be the most popular mangaka!\I was glad that Eiji was drawing names now, too.\But I came here for Shuujin's sake.\I've got to bring something back...\Crow!\Crow!\Crow True-Fist!\Crow! response:	The most popular mangaka, huh?
context: I was glad that Eiji was drawing names now, too.\But I came here for Shuujin's sake.\I've got to bring something back...\Crow!\Crow!\Crow True-Fist!\Crow!\The most popular mangaka, huh? response:	If I become the number one most popular author in Jack,
context: But I came here for Shuujin's sake.\I've got to bring something back...\Crow!\Crow!\Crow True-Fist!\Crow!\The most popular mangaka, huh?\If I become the number one most popular author in Jack, response:	please give me the power to end one manga that I hate.
context: I've got to bring something back...\Crow!\Crow!\Crow True-Fist!\Crow!\The most popular mangaka, huh?\If I become the number one most popular author in Jack,\please give me the power to end one manga that I hate. response:	Making Niizuma Eiji number one is my job.
context: Crow!\Crow!\Crow True-Fist!\Crow!\The most popular mangaka, huh?\If I become the number one most popular author in Jack,\please give me the power to end one manga that I hate.\Making Niizuma Eiji number one is my job. response:	Well, if he becomes number one, we'll deal with that then.
context: Crow!\Crow True-Fist!\Crow!\The most popular mangaka, huh?\If I become the number one most popular author in Jack,\please give me the power to end one manga that I hate.\Making Niizuma Eiji number one is my job.\Well, if he becomes number one, we'll deal with that then. response:	Last two!
context: Crow True-Fist!\Crow!\The most popular mangaka, huh?\If I become the number one most popular author in Jack,\please give me the power to end one manga that I hate.\Making Niizuma Eiji number one is my job.\Well, if he becomes number one, we'll deal with that then.\Last two! response:	Okay, then...
context: Crow!\The most popular mangaka, huh?\If I become the number one most popular author in Jack,\please give me the power to end one manga that I hate.\Making Niizuma Eiji number one is my job.\Well, if he becomes number one, we'll deal with that then.\Last two!\Okay, then... response:	Okay, then I'll be here at 5 PM tomorrow to pick up chapter five.
context: The most popular mangaka, huh?\If I become the number one most popular author in Jack,\please give me the power to end one manga that I hate.\Making Niizuma Eiji number one is my job.\Well, if he becomes number one, we'll deal with that then.\Last two!\Okay, then...\Okay, then I'll be here at 5 PM tomorrow to pick up chapter five. response:	We can have a meeting after that, okay?
context: If I become the number one most popular author in Jack,\please give me the power to end one manga that I hate.\Making Niizuma Eiji number one is my job.\Well, if he becomes number one, we'll deal with that then.\Last two!\Okay, then...\Okay, then I'll be here at 5 PM tomorrow to pick up chapter five.\We can have a meeting after that, okay? response:	Roger.
context: please give me the power to end one manga that I hate.\Making Niizuma Eiji number one is my job.\Well, if he becomes number one, we'll deal with that then.\Last two!\Okay, then...\Okay, then I'll be here at 5 PM tomorrow to pick up chapter five.\We can have a meeting after that, okay?\Roger. response:	You'll have it done by 5 PM, right?
context: Making Niizuma Eiji number one is my job.\Well, if he becomes number one, we'll deal with that then.\Last two!\Okay, then...\Okay, then I'll be here at 5 PM tomorrow to pick up chapter five.\We can have a meeting after that, okay?\Roger.\You'll have it done by 5 PM, right? response:	Ah, yes. Sensei only has two pages left.
context: Well, if he becomes number one, we'll deal with that then.\Last two!\Okay, then...\Okay, then I'll be here at 5 PM tomorrow to pick up chapter five.\We can have a meeting after that, okay?\Roger.\You'll have it done by 5 PM, right?\Ah, yes. Sensei only has two pages left. response:	Okay, I'll leave you guys to it.
context: Last two!\Okay, then...\Okay, then I'll be here at 5 PM tomorrow to pick up chapter five.\We can have a meeting after that, okay?\Roger.\You'll have it done by 5 PM, right?\Ah, yes. Sensei only has two pages left.\Okay, I'll leave you guys to it. response:	Yuujirou-san, there's something I've been meaning to ask you.
context: Okay, then...\Okay, then I'll be here at 5 PM tomorrow to pick up chapter five.\We can have a meeting after that, okay?\Roger.\You'll have it done by 5 PM, right?\Ah, yes. Sensei only has two pages left.\Okay, I'll leave you guys to it.\Yuujirou-san, there's something I've been meaning to ask you. response:	What?
context: Okay, then I'll be here at 5 PM tomorrow to pick up chapter five.\We can have a meeting after that, okay?\Roger.\You'll have it done by 5 PM, right?\Ah, yes. Sensei only has two pages left.\Okay, I'll leave you guys to it.\Yuujirou-san, there's something I've been meaning to ask you.\What? response:	Mangas appear in Jack by order of popularity, right?
context: We can have a meeting after that, okay?\Roger.\You'll have it done by 5 PM, right?\Ah, yes. Sensei only has two pages left.\Okay, I'll leave you guys to it.\Yuujirou-san, there's something I've been meaning to ask you.\What?\Mangas appear in Jack by order of popularity, right? response:	It isn't entirely in order by popularity,
context: Roger.\You'll have it done by 5 PM, right?\Ah, yes. Sensei only has two pages left.\Okay, I'll leave you guys to it.\Yuujirou-san, there's something I've been meaning to ask you.\What?\Mangas appear in Jack by order of popularity, right?\It isn't entirely in order by popularity, response:	but if you exclude gag manga,
context: You'll have it done by 5 PM, right?\Ah, yes. Sensei only has two pages left.\Okay, I'll leave you guys to it.\Yuujirou-san, there's something I've been meaning to ask you.\What?\Mangas appear in Jack by order of popularity, right?\It isn't entirely in order by popularity,\but if you exclude gag manga, response:	well, I guess you could say the more popular mangas are farther forward
context: Ah, yes. Sensei only has two pages left.\Okay, I'll leave you guys to it.\Yuujirou-san, there's something I've been meaning to ask you.\What?\Mangas appear in Jack by order of popularity, right?\It isn't entirely in order by popularity,\but if you exclude gag manga,\well, I guess you could say the more popular mangas are farther forward response:	and the less popular mangas are more towards the back.
context: Okay, I'll leave you guys to it.\Yuujirou-san, there's something I've been meaning to ask you.\What?\Mangas appear in Jack by order of popularity, right?\It isn't entirely in order by popularity,\but if you exclude gag manga,\well, I guess you could say the more popular mangas are farther forward\and the less popular mangas are more towards the back. response:	Why do they do that?
context: Yuujirou-san, there's something I've been meaning to ask you.\What?\Mangas appear in Jack by order of popularity, right?\It isn't entirely in order by popularity,\but if you exclude gag manga,\well, I guess you could say the more popular mangas are farther forward\and the less popular mangas are more towards the back.\Why do they do that? response:	Why? Even most other magazines do that.
context: What?\Mangas appear in Jack by order of popularity, right?\It isn't entirely in order by popularity,\but if you exclude gag manga,\well, I guess you could say the more popular mangas are farther forward\and the less popular mangas are more towards the back.\Why do they do that?\Why? Even most other magazines do that. response:	I just think it's unfair.
context: Mangas appear in Jack by order of popularity, right?\It isn't entirely in order by popularity,\but if you exclude gag manga,\well, I guess you could say the more popular mangas are farther forward\and the less popular mangas are more towards the back.\Why do they do that?\Why? Even most other magazines do that.\I just think it's unfair. response:	The print order gives the readers a preconception that some mangas are popular and some aren't.
context: It isn't entirely in order by popularity,\but if you exclude gag manga,\well, I guess you could say the more popular mangas are farther forward\and the less popular mangas are more towards the back.\Why do they do that?\Why? Even most other magazines do that.\I just think it's unfair.\The print order gives the readers a preconception that some mangas are popular and some aren't. response:	There must be a lot of kids who feel they have to read the same mangas as everyone else.
context: but if you exclude gag manga,\well, I guess you could say the more popular mangas are farther forward\and the less popular mangas are more towards the back.\Why do they do that?\Why? Even most other magazines do that.\I just think it's unfair.\The print order gives the readers a preconception that some mangas are popular and some aren't.\There must be a lot of kids who feel they have to read the same mangas as everyone else. response:	I think making the order a rotation would be more fair.
context: well, I guess you could say the more popular mangas are farther forward\and the less popular mangas are more towards the back.\Why do they do that?\Why? Even most other magazines do that.\I just think it's unfair.\The print order gives the readers a preconception that some mangas are popular and some aren't.\There must be a lot of kids who feel they have to read the same mangas as everyone else.\I think making the order a rotation would be more fair. response:	What're you saying, Fukuda-san?
context: and the less popular mangas are more towards the back.\Why do they do that?\Why? Even most other magazines do that.\I just think it's unfair.\The print order gives the readers a preconception that some mangas are popular and some aren't.\There must be a lot of kids who feel they have to read the same mangas as everyone else.\I think making the order a rotation would be more fair.\What're you saying, Fukuda-san? response:	That way, you can be sure the questionnaire results will subtly change.
context: Why do they do that?\Why? Even most other magazines do that.\I just think it's unfair.\The print order gives the readers a preconception that some mangas are popular and some aren't.\There must be a lot of kids who feel they have to read the same mangas as everyone else.\I think making the order a rotation would be more fair.\What're you saying, Fukuda-san?\That way, you can be sure the questionnaire results will subtly change. response:	Appearance order creates a disparity in the manga.
context: Why? Even most other magazines do that.\I just think it's unfair.\The print order gives the readers a preconception that some mangas are popular and some aren't.\There must be a lot of kids who feel they have to read the same mangas as everyone else.\I think making the order a rotation would be more fair.\What're you saying, Fukuda-san?\That way, you can be sure the questionnaire results will subtly change.\Appearance order creates a disparity in the manga. response:	Tell you what...
context: I just think it's unfair.\The print order gives the readers a preconception that some mangas are popular and some aren't.\There must be a lot of kids who feel they have to read the same mangas as everyone else.\I think making the order a rotation would be more fair.\What're you saying, Fukuda-san?\That way, you can be sure the questionnaire results will subtly change.\Appearance order creates a disparity in the manga.\Tell you what... response:	you can say all the self-righteous things you want once you've been serialized and taken the world by storm!
context: The print order gives the readers a preconception that some mangas are popular and some aren't.\There must be a lot of kids who feel they have to read the same mangas as everyone else.\I think making the order a rotation would be more fair.\What're you saying, Fukuda-san?\That way, you can be sure the questionnaire results will subtly change.\Appearance order creates a disparity in the manga.\Tell you what...\you can say all the self-righteous things you want once you've been serialized and taken the world by storm! response:	Please just calm down and listen to me.
context: There must be a lot of kids who feel they have to read the same mangas as everyone else.\I think making the order a rotation would be more fair.\What're you saying, Fukuda-san?\That way, you can be sure the questionnaire results will subtly change.\Appearance order creates a disparity in the manga.\Tell you what...\you can say all the self-righteous things you want once you've been serialized and taken the world by storm!\Please just calm down and listen to me. response:	I'm only giving you an opinion.
context: I think making the order a rotation would be more fair.\What're you saying, Fukuda-san?\That way, you can be sure the questionnaire results will subtly change.\Appearance order creates a disparity in the manga.\Tell you what...\you can say all the self-righteous things you want once you've been serialized and taken the world by storm!\Please just calm down and listen to me.\I'm only giving you an opinion. response:	What's more, I'm not happy about how it's just the questionnaire results
context: What're you saying, Fukuda-san?\That way, you can be sure the questionnaire results will subtly change.\Appearance order creates a disparity in the manga.\Tell you what...\you can say all the self-righteous things you want once you've been serialized and taken the world by storm!\Please just calm down and listen to me.\I'm only giving you an opinion.\What's more, I'm not happy about how it's just the questionnaire results response:	that determine which mangas are popular and which get canceled.
context: That way, you can be sure the questionnaire results will subtly change.\Appearance order creates a disparity in the manga.\Tell you what...\you can say all the self-righteous things you want once you've been serialized and taken the world by storm!\Please just calm down and listen to me.\I'm only giving you an opinion.\What's more, I'm not happy about how it's just the questionnaire results\that determine which mangas are popular and which get canceled. response:	The editorial department should decide which mangas are popular and which aren't themselves.
context: Appearance order creates a disparity in the manga.\Tell you what...\you can say all the self-righteous things you want once you've been serialized and taken the world by storm!\Please just calm down and listen to me.\I'm only giving you an opinion.\What's more, I'm not happy about how it's just the questionnaire results\that determine which mangas are popular and which get canceled.\The editorial department should decide which mangas are popular and which aren't themselves. response:	Doing it this way is like saying you have no ability to do it yourselves.
context: Tell you what...\you can say all the self-righteous things you want once you've been serialized and taken the world by storm!\Please just calm down and listen to me.\I'm only giving you an opinion.\What's more, I'm not happy about how it's just the questionnaire results\that determine which mangas are popular and which get canceled.\The editorial department should decide which mangas are popular and which aren't themselves.\Doing it this way is like saying you have no ability to do it yourselves. response:	FuFukuda-kun, you'd better make sure not to say things like that at the editorial department.
context: you can say all the self-righteous things you want once you've been serialized and taken the world by storm!\Please just calm down and listen to me.\I'm only giving you an opinion.\What's more, I'm not happy about how it's just the questionnaire results\that determine which mangas are popular and which get canceled.\The editorial department should decide which mangas are popular and which aren't themselves.\Doing it this way is like saying you have no ability to do it yourselves.\FuFukuda-kun, you'd better make sure not to say things like that at the editorial department. response:	Well, I think everyone has potential, so I'll hear you out, but...
context: Please just calm down and listen to me.\I'm only giving you an opinion.\What's more, I'm not happy about how it's just the questionnaire results\that determine which mangas are popular and which get canceled.\The editorial department should decide which mangas are popular and which aren't themselves.\Doing it this way is like saying you have no ability to do it yourselves.\FuFukuda-kun, you'd better make sure not to say things like that at the editorial department.\Well, I think everyone has potential, so I'll hear you out, but... response:	Then listen up.
context: I'm only giving you an opinion.\What's more, I'm not happy about how it's just the questionnaire results\that determine which mangas are popular and which get canceled.\The editorial department should decide which mangas are popular and which aren't themselves.\Doing it this way is like saying you have no ability to do it yourselves.\FuFukuda-kun, you'd better make sure not to say things like that at the editorial department.\Well, I think everyone has potential, so I'll hear you out, but...\Then listen up. response:	If a manga doesn't get flashy from the start, particularly if it doesn't reach a climax in chapter one,
context: What's more, I'm not happy about how it's just the questionnaire results\that determine which mangas are popular and which get canceled.\The editorial department should decide which mangas are popular and which aren't themselves.\Doing it this way is like saying you have no ability to do it yourselves.\FuFukuda-kun, you'd better make sure not to say things like that at the editorial department.\Well, I think everyone has potential, so I'll hear you out, but...\Then listen up.\If a manga doesn't get flashy from the start, particularly if it doesn't reach a climax in chapter one, response:	then it ends up on the course to cancellation.
context: that determine which mangas are popular and which get canceled.\The editorial department should decide which mangas are popular and which aren't themselves.\Doing it this way is like saying you have no ability to do it yourselves.\FuFukuda-kun, you'd better make sure not to say things like that at the editorial department.\Well, I think everyone has potential, so I'll hear you out, but...\Then listen up.\If a manga doesn't get flashy from the start, particularly if it doesn't reach a climax in chapter one,\then it ends up on the course to cancellation. response:	That's because cancellation could already be decided as soon as chapter three.
context: The editorial department should decide which mangas are popular and which aren't themselves.\Doing it this way is like saying you have no ability to do it yourselves.\FuFukuda-kun, you'd better make sure not to say things like that at the editorial department.\Well, I think everyone has potential, so I'll hear you out, but...\Then listen up.\If a manga doesn't get flashy from the start, particularly if it doesn't reach a climax in chapter one,\then it ends up on the course to cancellation.\That's because cancellation could already be decided as soon as chapter three. response:	Therefore, everyone is too scared to draw a manga that starts out subdued and gradually gets more interesting.
context: Doing it this way is like saying you have no ability to do it yourselves.\FuFukuda-kun, you'd better make sure not to say things like that at the editorial department.\Well, I think everyone has potential, so I'll hear you out, but...\Then listen up.\If a manga doesn't get flashy from the start, particularly if it doesn't reach a climax in chapter one,\then it ends up on the course to cancellation.\That's because cancellation could already be decided as soon as chapter three.\Therefore, everyone is too scared to draw a manga that starts out subdued and gradually gets more interesting. response:	That results in every work having somewhat the same flavor as all the others.
context: FuFukuda-kun, you'd better make sure not to say things like that at the editorial department.\Well, I think everyone has potential, so I'll hear you out, but...\Then listen up.\If a manga doesn't get flashy from the start, particularly if it doesn't reach a climax in chapter one,\then it ends up on the course to cancellation.\That's because cancellation could already be decided as soon as chapter three.\Therefore, everyone is too scared to draw a manga that starts out subdued and gradually gets more interesting.\That results in every work having somewhat the same flavor as all the others. response:	If the editorial department had enough confidence in it to start it as a new series,
context: Well, I think everyone has potential, so I'll hear you out, but...\Then listen up.\If a manga doesn't get flashy from the start, particularly if it doesn't reach a climax in chapter one,\then it ends up on the course to cancellation.\That's because cancellation could already be decided as soon as chapter three.\Therefore, everyone is too scared to draw a manga that starts out subdued and gradually gets more interesting.\That results in every work having somewhat the same flavor as all the others.\If the editorial department had enough confidence in it to start it as a new series, response:	then don't you think they should at least watch over it until there's a collected volume of it out?
context: Then listen up.\If a manga doesn't get flashy from the start, particularly if it doesn't reach a climax in chapter one,\then it ends up on the course to cancellation.\That's because cancellation could already be decided as soon as chapter three.\Therefore, everyone is too scared to draw a manga that starts out subdued and gradually gets more interesting.\That results in every work having somewhat the same flavor as all the others.\If the editorial department had enough confidence in it to start it as a new series,\then don't you think they should at least watch over it until there's a collected volume of it out? response:	If we gave that sort of leeway to every new series, no more than five new series would start per year.
context: If a manga doesn't get flashy from the start, particularly if it doesn't reach a climax in chapter one,\then it ends up on the course to cancellation.\That's because cancellation could already be decided as soon as chapter three.\Therefore, everyone is too scared to draw a manga that starts out subdued and gradually gets more interesting.\That results in every work having somewhat the same flavor as all the others.\If the editorial department had enough confidence in it to start it as a new series,\then don't you think they should at least watch over it until there's a collected volume of it out?\If we gave that sort of leeway to every new series, no more than five new series would start per year. response:	But I think there are ones like that;
context: then it ends up on the course to cancellation.\That's because cancellation could already be decided as soon as chapter three.\Therefore, everyone is too scared to draw a manga that starts out subdued and gradually gets more interesting.\That results in every work having somewhat the same flavor as all the others.\If the editorial department had enough confidence in it to start it as a new series,\then don't you think they should at least watch over it until there's a collected volume of it out?\If we gave that sort of leeway to every new series, no more than five new series would start per year.\But I think there are ones like that; response:	mangas that start out subdued, but get gradually more interesting.
context: That's because cancellation could already be decided as soon as chapter three.\Therefore, everyone is too scared to draw a manga that starts out subdued and gradually gets more interesting.\That results in every work having somewhat the same flavor as all the others.\If the editorial department had enough confidence in it to start it as a new series,\then don't you think they should at least watch over it until there's a collected volume of it out?\If we gave that sort of leeway to every new series, no more than five new series would start per year.\But I think there are ones like that;\mangas that start out subdued, but get gradually more interesting. response:	Like where the protagonist starts out completely unskilled but works really hard.
context: Therefore, everyone is too scared to draw a manga that starts out subdued and gradually gets more interesting.\That results in every work having somewhat the same flavor as all the others.\If the editorial department had enough confidence in it to start it as a new series,\then don't you think they should at least watch over it until there's a collected volume of it out?\If we gave that sort of leeway to every new series, no more than five new series would start per year.\But I think there are ones like that;\mangas that start out subdued, but get gradually more interesting.\Like where the protagonist starts out completely unskilled but works really hard. response:	With the current system, you can't get popular by starting out that way.
context: That results in every work having somewhat the same flavor as all the others.\If the editorial department had enough confidence in it to start it as a new series,\then don't you think they should at least watch over it until there's a collected volume of it out?\If we gave that sort of leeway to every new series, no more than five new series would start per year.\But I think there are ones like that;\mangas that start out subdued, but get gradually more interesting.\Like where the protagonist starts out completely unskilled but works really hard.\With the current system, you can't get popular by starting out that way. response:	Yeah, well even in that type of manga,
context: If the editorial department had enough confidence in it to start it as a new series,\then don't you think they should at least watch over it until there's a collected volume of it out?\If we gave that sort of leeway to every new series, no more than five new series would start per year.\But I think there are ones like that;\mangas that start out subdued, but get gradually more interesting.\Like where the protagonist starts out completely unskilled but works really hard.\With the current system, you can't get popular by starting out that way.\Yeah, well even in that type of manga, response:	you need to come up with something to interesting before it gets canceled.
context: then don't you think they should at least watch over it until there's a collected volume of it out?\If we gave that sort of leeway to every new series, no more than five new series would start per year.\But I think there are ones like that;\mangas that start out subdued, but get gradually more interesting.\Like where the protagonist starts out completely unskilled but works really hard.\With the current system, you can't get popular by starting out that way.\Yeah, well even in that type of manga,\you need to come up with something to interesting before it gets canceled. response:	Say, Fukuda-kun, are you drawing one like that now?
context: If we gave that sort of leeway to every new series, no more than five new series would start per year.\But I think there are ones like that;\mangas that start out subdued, but get gradually more interesting.\Like where the protagonist starts out completely unskilled but works really hard.\With the current system, you can't get popular by starting out that way.\Yeah, well even in that type of manga,\you need to come up with something to interesting before it gets canceled.\Say, Fukuda-kun, are you drawing one like that now? response:	Ah,no.
context: But I think there are ones like that;\mangas that start out subdued, but get gradually more interesting.\Like where the protagonist starts out completely unskilled but works really hard.\With the current system, you can't get popular by starting out that way.\Yeah, well even in that type of manga,\you need to come up with something to interesting before it gets canceled.\Say, Fukuda-kun, are you drawing one like that now?\Ah,no. response:	I'm writing a name in which the protagonist wins right from chapter one, but...
context: mangas that start out subdued, but get gradually more interesting.\Like where the protagonist starts out completely unskilled but works really hard.\With the current system, you can't get popular by starting out that way.\Yeah, well even in that type of manga,\you need to come up with something to interesting before it gets canceled.\Say, Fukuda-kun, are you drawing one like that now?\Ah,no.\I'm writing a name in which the protagonist wins right from chapter one, but... response:	Then all you're saying is if you get serialized, you'd like us to be patient with you.
context: Like where the protagonist starts out completely unskilled but works really hard.\With the current system, you can't get popular by starting out that way.\Yeah, well even in that type of manga,\you need to come up with something to interesting before it gets canceled.\Say, Fukuda-kun, are you drawing one like that now?\Ah,no.\I'm writing a name in which the protagonist wins right from chapter one, but...\Then all you're saying is if you get serialized, you'd like us to be patient with you. response:	I won't say that looking objectively at how the magazine does things is bad,
context: With the current system, you can't get popular by starting out that way.\Yeah, well even in that type of manga,\you need to come up with something to interesting before it gets canceled.\Say, Fukuda-kun, are you drawing one like that now?\Ah,no.\I'm writing a name in which the protagonist wins right from chapter one, but...\Then all you're saying is if you get serialized, you'd like us to be patient with you.\I won't say that looking objectively at how the magazine does things is bad, response:	but that's the editorial department's job.
context: Yeah, well even in that type of manga,\you need to come up with something to interesting before it gets canceled.\Say, Fukuda-kun, are you drawing one like that now?\Ah,no.\I'm writing a name in which the protagonist wins right from chapter one, but...\Then all you're saying is if you get serialized, you'd like us to be patient with you.\I won't say that looking objectively at how the magazine does things is bad,\but that's the editorial department's job. response:	You should be concentrating on your own work first and foremost.
context: you need to come up with something to interesting before it gets canceled.\Say, Fukuda-kun, are you drawing one like that now?\Ah,no.\I'm writing a name in which the protagonist wins right from chapter one, but...\Then all you're saying is if you get serialized, you'd like us to be patient with you.\I won't say that looking objectively at how the magazine does things is bad,\but that's the editorial department's job.\You should be concentrating on your own work first and foremost. response:	So long.
context: Say, Fukuda-kun, are you drawing one like that now?\Ah,no.\I'm writing a name in which the protagonist wins right from chapter one, but...\Then all you're saying is if you get serialized, you'd like us to be patient with you.\I won't say that looking objectively at how the magazine does things is bad,\but that's the editorial department's job.\You should be concentrating on your own work first and foremost.\So long. response:	Fukuda-sensei!
context: Ah,no.\I'm writing a name in which the protagonist wins right from chapter one, but...\Then all you're saying is if you get serialized, you'd like us to be patient with you.\I won't say that looking objectively at how the magazine does things is bad,\but that's the editorial department's job.\You should be concentrating on your own work first and foremost.\So long.\Fukuda-sensei! response:	You've moved me!
context: I'm writing a name in which the protagonist wins right from chapter one, but...\Then all you're saying is if you get serialized, you'd like us to be patient with you.\I won't say that looking objectively at how the magazine does things is bad,\but that's the editorial department's job.\You should be concentrating on your own work first and foremost.\So long.\Fukuda-sensei!\You've moved me! response:	Especially the order rotation!
context: Then all you're saying is if you get serialized, you'd like us to be patient with you.\I won't say that looking objectively at how the magazine does things is bad,\but that's the editorial department's job.\You should be concentrating on your own work first and foremost.\So long.\Fukuda-sensei!\You've moved me!\Especially the order rotation! response:	It's good!
context: I won't say that looking objectively at how the magazine does things is bad,\but that's the editorial department's job.\You should be concentrating on your own work first and foremost.\So long.\Fukuda-sensei!\You've moved me!\Especially the order rotation!\It's good! response:	It's fair!
context: but that's the editorial department's job.\You should be concentrating on your own work first and foremost.\So long.\Fukuda-sensei!\You've moved me!\Especially the order rotation!\It's good!\It's fair! response:	I never would have thought of something like that!
context: You should be concentrating on your own work first and foremost.\So long.\Fukuda-sensei!\You've moved me!\Especially the order rotation!\It's good!\It's fair!\I never would have thought of something like that! response:	It kind of sounds like everyone's only concerned with doing well in the questionnaires.
context: So long.\Fukuda-sensei!\You've moved me!\Especially the order rotation!\It's good!\It's fair!\I never would have thought of something like that!\It kind of sounds like everyone's only concerned with doing well in the questionnaires. response:	That's not good for manga.
context: Fukuda-sensei!\You've moved me!\Especially the order rotation!\It's good!\It's fair!\I never would have thought of something like that!\It kind of sounds like everyone's only concerned with doing well in the questionnaires.\That's not good for manga. response:	If you draw manga only for the sake of questionnaire results, your manga will end.
context: You've moved me!\Especially the order rotation!\It's good!\It's fair!\I never would have thought of something like that!\It kind of sounds like everyone's only concerned with doing well in the questionnaires.\That's not good for manga.\If you draw manga only for the sake of questionnaire results, your manga will end. response:	I know, right?
