context: Here he comes! response:	The one we've been waiting for!
context: Begin!\Lightning Big Wheel Double Ax Kick!\The reason I sought strength...\was so I could glide through life easily.\Sorry I'm the stronger one.\The Uprising of the Monsters\D-Did you see that, Charanko?!\Did you see Suiryu's kick?! response:	Yeah, why?
context: Lightning Big Wheel Double Ax Kick!\The reason I sought strength...\was so I could glide through life easily.\Sorry I'm the stronger one.\The Uprising of the Monsters\D-Did you see that, Charanko?!\Did you see Suiryu's kick?!\Yeah, why? response:	How are you so calm right now?
context: The reason I sought strength...\was so I could glide through life easily.\Sorry I'm the stronger one.\The Uprising of the Monsters\D-Did you see that, Charanko?!\Did you see Suiryu's kick?!\Yeah, why?\How are you so calm right now? response:	Oh, it must be because he's an amateur.
context: was so I could glide through life easily.\Sorry I'm the stronger one.\The Uprising of the Monsters\D-Did you see that, Charanko?!\Did you see Suiryu's kick?!\Yeah, why?\How are you so calm right now?\Oh, it must be because he's an amateur. response:	He took down a Class A hero in a single blow.
context: Sorry I'm the stronger one.\The Uprising of the Monsters\D-Did you see that, Charanko?!\Did you see Suiryu's kick?!\Yeah, why?\How are you so calm right now?\Oh, it must be because he's an amateur.\He took down a Class A hero in a single blow. response:	I guess there's a surprising number of civilians
context: The Uprising of the Monsters\D-Did you see that, Charanko?!\Did you see Suiryu's kick?!\Yeah, why?\How are you so calm right now?\Oh, it must be because he's an amateur.\He took down a Class A hero in a single blow.\I guess there's a surprising number of civilians response:	who are stronger than pro heroes.
context: D-Did you see that, Charanko?!\Did you see Suiryu's kick?!\Yeah, why?\How are you so calm right now?\Oh, it must be because he's an amateur.\He took down a Class A hero in a single blow.\I guess there's a surprising number of civilians\who are stronger than pro heroes. response:	I guess that's to be expected.
context: Did you see Suiryu's kick?!\Yeah, why?\How are you so calm right now?\Oh, it must be because he's an amateur.\He took down a Class A hero in a single blow.\I guess there's a surprising number of civilians\who are stronger than pro heroes.\I guess that's to be expected. response:	Master Saitama was also doing hero work as a hobby.
context: Yeah, why?\How are you so calm right now?\Oh, it must be because he's an amateur.\He took down a Class A hero in a single blow.\I guess there's a surprising number of civilians\who are stronger than pro heroes.\I guess that's to be expected.\Master Saitama was also doing hero work as a hobby. response:	It makes sense that there could be other powerful people like him.
context: How are you so calm right now?\Oh, it must be because he's an amateur.\He took down a Class A hero in a single blow.\I guess there's a surprising number of civilians\who are stronger than pro heroes.\I guess that's to be expected.\Master Saitama was also doing hero work as a hobby.\It makes sense that there could be other powerful people like him. response:	I'm sure none of them are on Master's level, though.
context: Oh, it must be because he's an amateur.\He took down a Class A hero in a single blow.\I guess there's a surprising number of civilians\who are stronger than pro heroes.\I guess that's to be expected.\Master Saitama was also doing hero work as a hobby.\It makes sense that there could be other powerful people like him.\I'm sure none of them are on Master's level, though. response:	But that man might be able to satisfy Master's desire to experience martial arts.
context: He took down a Class A hero in a single blow.\I guess there's a surprising number of civilians\who are stronger than pro heroes.\I guess that's to be expected.\Master Saitama was also doing hero work as a hobby.\It makes sense that there could be other powerful people like him.\I'm sure none of them are on Master's level, though.\But that man might be able to satisfy Master's desire to experience martial arts. response:	This is...
context: I guess there's a surprising number of civilians\who are stronger than pro heroes.\I guess that's to be expected.\Master Saitama was also doing hero work as a hobby.\It makes sense that there could be other powerful people like him.\I'm sure none of them are on Master's level, though.\But that man might be able to satisfy Master's desire to experience martial arts.\This is... response:	Ladies and gentlemen, I'm sure you're even more fired up now,
context: who are stronger than pro heroes.\I guess that's to be expected.\Master Saitama was also doing hero work as a hobby.\It makes sense that there could be other powerful people like him.\I'm sure none of them are on Master's level, though.\But that man might be able to satisfy Master's desire to experience martial arts.\This is...\Ladies and gentlemen, I'm sure you're even more fired up now, response:	but next up,
context: I guess that's to be expected.\Master Saitama was also doing hero work as a hobby.\It makes sense that there could be other powerful people like him.\I'm sure none of them are on Master's level, though.\But that man might be able to satisfy Master's desire to experience martial arts.\This is...\Ladies and gentlemen, I'm sure you're even more fired up now,\but next up, response:	we have Benpats from Bad Roads Martial Arts and Snek from Snakebite Fist!
context: Master Saitama was also doing hero work as a hobby.\It makes sense that there could be other powerful people like him.\I'm sure none of them are on Master's level, though.\But that man might be able to satisfy Master's desire to experience martial arts.\This is...\Ladies and gentlemen, I'm sure you're even more fired up now,\but next up,\we have Benpats from Bad Roads Martial Arts and Snek from Snakebite Fist! response:	Whoever wins this fight will face off against Suiryu in the second round!
context: It makes sense that there could be other powerful people like him.\I'm sure none of them are on Master's level, though.\But that man might be able to satisfy Master's desire to experience martial arts.\This is...\Ladies and gentlemen, I'm sure you're even more fired up now,\but next up,\we have Benpats from Bad Roads Martial Arts and Snek from Snakebite Fist!\Whoever wins this fight will face off against Suiryu in the second round! response:	You're a Class A hero?
context: I'm sure none of them are on Master's level, though.\But that man might be able to satisfy Master's desire to experience martial arts.\This is...\Ladies and gentlemen, I'm sure you're even more fired up now,\but next up,\we have Benpats from Bad Roads Martial Arts and Snek from Snakebite Fist!\Whoever wins this fight will face off against Suiryu in the second round!\You're a Class A hero? response:	You don't look very strong.
context: But that man might be able to satisfy Master's desire to experience martial arts.\This is...\Ladies and gentlemen, I'm sure you're even more fired up now,\but next up,\we have Benpats from Bad Roads Martial Arts and Snek from Snakebite Fist!\Whoever wins this fight will face off against Suiryu in the second round!\You're a Class A hero?\You don't look very strong. response:	If I can defeat Suiryu, who defeated Lightning Max,
context: This is...\Ladies and gentlemen, I'm sure you're even more fired up now,\but next up,\we have Benpats from Bad Roads Martial Arts and Snek from Snakebite Fist!\Whoever wins this fight will face off against Suiryu in the second round!\You're a Class A hero?\You don't look very strong.\If I can defeat Suiryu, who defeated Lightning Max, response:	it might have a positive effect on my rank.
context: Ladies and gentlemen, I'm sure you're even more fired up now,\but next up,\we have Benpats from Bad Roads Martial Arts and Snek from Snakebite Fist!\Whoever wins this fight will face off against Suiryu in the second round!\You're a Class A hero?\You don't look very strong.\If I can defeat Suiryu, who defeated Lightning Max,\it might have a positive effect on my rank. response:	All right.
context: but next up,\we have Benpats from Bad Roads Martial Arts and Snek from Snakebite Fist!\Whoever wins this fight will face off against Suiryu in the second round!\You're a Class A hero?\You don't look very strong.\If I can defeat Suiryu, who defeated Lightning Max,\it might have a positive effect on my rank.\All right. response:	Snakebite Fist.
context: we have Benpats from Bad Roads Martial Arts and Snek from Snakebite Fist!\Whoever wins this fight will face off against Suiryu in the second round!\You're a Class A hero?\You don't look very strong.\If I can defeat Suiryu, who defeated Lightning Max,\it might have a positive effect on my rank.\All right.\Snakebite Fist. response:	Like anyone would fall for a fake stance like that nowadays.
context: Whoever wins this fight will face off against Suiryu in the second round!\You're a Class A hero?\You don't look very strong.\If I can defeat Suiryu, who defeated Lightning Max,\it might have a positive effect on my rank.\All right.\Snakebite Fist.\Like anyone would fall for a fake stance like that nowadays. response:	You lowest-ranking hero jerk!
context: You're a Class A hero?\You don't look very strong.\If I can defeat Suiryu, who defeated Lightning Max,\it might have a positive effect on my rank.\All right.\Snakebite Fist.\Like anyone would fall for a fake stance like that nowadays.\You lowest-ranking hero jerk! response:	I'm not the lowest ranking.
context: You don't look very strong.\If I can defeat Suiryu, who defeated Lightning Max,\it might have a positive effect on my rank.\All right.\Snakebite Fist.\Like anyone would fall for a fake stance like that nowadays.\You lowest-ranking hero jerk!\I'm not the lowest ranking. response:	I'm the lowest-ranking Class A hero!
context: If I can defeat Suiryu, who defeated Lightning Max,\it might have a positive effect on my rank.\All right.\Snakebite Fist.\Like anyone would fall for a fake stance like that nowadays.\You lowest-ranking hero jerk!\I'm not the lowest ranking.\I'm the lowest-ranking Class A hero! response:	Commentators' Booth
context: it might have a positive effect on my rank.\All right.\Snakebite Fist.\Like anyone would fall for a fake stance like that nowadays.\You lowest-ranking hero jerk!\I'm not the lowest ranking.\I'm the lowest-ranking Class A hero!\Commentators' Booth response:	There's trouble!
context: All right.\Snakebite Fist.\Like anyone would fall for a fake stance like that nowadays.\You lowest-ranking hero jerk!\I'm not the lowest ranking.\I'm the lowest-ranking Class A hero!\Commentators' Booth\There's trouble! response:	An extremely violent monster has appeared nearby!
context: Snakebite Fist.\Like anyone would fall for a fake stance like that nowadays.\You lowest-ranking hero jerk!\I'm not the lowest ranking.\I'm the lowest-ranking Class A hero!\Commentators' Booth\There's trouble!\An extremely violent monster has appeared nearby! response:	We need to evacuate everyone immediately!
context: Like anyone would fall for a fake stance like that nowadays.\You lowest-ranking hero jerk!\I'm not the lowest ranking.\I'm the lowest-ranking Class A hero!\Commentators' Booth\There's trouble!\An extremely violent monster has appeared nearby!\We need to evacuate everyone immediately! response:	Seriously? Hurry up and make the announcement
context: You lowest-ranking hero jerk!\I'm not the lowest ranking.\I'm the lowest-ranking Class A hero!\Commentators' Booth\There's trouble!\An extremely violent monster has appeared nearby!\We need to evacuate everyone immediately!\Seriously? Hurry up and make the announcement response:	There's no need.
context: I'm not the lowest ranking.\I'm the lowest-ranking Class A hero!\Commentators' Booth\There's trouble!\An extremely violent monster has appeared nearby!\We need to evacuate everyone immediately!\Seriously? Hurry up and make the announcement\There's no need. response:	Huh? Bakuzan!
context: I'm the lowest-ranking Class A hero!\Commentators' Booth\There's trouble!\An extremely violent monster has appeared nearby!\We need to evacuate everyone immediately!\Seriously? Hurry up and make the announcement\There's no need.\Huh? Bakuzan! response:	That'll just cause people to panic.
context: Commentators' Booth\There's trouble!\An extremely violent monster has appeared nearby!\We need to evacuate everyone immediately!\Seriously? Hurry up and make the announcement\There's no need.\Huh? Bakuzan!\That'll just cause people to panic. response:	But if a monster shows up at this venue...
context: There's trouble!\An extremely violent monster has appeared nearby!\We need to evacuate everyone immediately!\Seriously? Hurry up and make the announcement\There's no need.\Huh? Bakuzan!\That'll just cause people to panic.\But if a monster shows up at this venue... response:	Look at how many martial arts masters we have here.
context: An extremely violent monster has appeared nearby!\We need to evacuate everyone immediately!\Seriously? Hurry up and make the announcement\There's no need.\Huh? Bakuzan!\That'll just cause people to panic.\But if a monster shows up at this venue...\Look at how many martial arts masters we have here. response:	No place could be safer.
context: We need to evacuate everyone immediately!\Seriously? Hurry up and make the announcement\There's no need.\Huh? Bakuzan!\That'll just cause people to panic.\But if a monster shows up at this venue...\Look at how many martial arts masters we have here.\No place could be safer. response:	True...
context: Seriously? Hurry up and make the announcement\There's no need.\Huh? Bakuzan!\That'll just cause people to panic.\But if a monster shows up at this venue...\Look at how many martial arts masters we have here.\No place could be safer.\True... response:	Don't worry. If any monsters infiltrate the venue,
context: There's no need.\Huh? Bakuzan!\That'll just cause people to panic.\But if a monster shows up at this venue...\Look at how many martial arts masters we have here.\No place could be safer.\True...\Don't worry. If any monsters infiltrate the venue, response:	I'll take care of them myself.
context: Huh? Bakuzan!\That'll just cause people to panic.\But if a monster shows up at this venue...\Look at how many martial arts masters we have here.\No place could be safer.\True...\Don't worry. If any monsters infiltrate the venue,\I'll take care of them myself. response:	Monsters have appeared, huh?
context: That'll just cause people to panic.\But if a monster shows up at this venue...\Look at how many martial arts masters we have here.\No place could be safer.\True...\Don't worry. If any monsters infiltrate the venue,\I'll take care of them myself.\Monsters have appeared, huh? response:	That's way too many.
context: But if a monster shows up at this venue...\Look at how many martial arts masters we have here.\No place could be safer.\True...\Don't worry. If any monsters infiltrate the venue,\I'll take care of them myself.\Monsters have appeared, huh?\That's way too many. response:	City C... There's one in this city, too.
context: Look at how many martial arts masters we have here.\No place could be safer.\True...\Don't worry. If any monsters infiltrate the venue,\I'll take care of them myself.\Monsters have appeared, huh?\That's way too many.\City C... There's one in this city, too. response:	Should I let Master know?
context: No place could be safer.\True...\Don't worry. If any monsters infiltrate the venue,\I'll take care of them myself.\Monsters have appeared, huh?\That's way too many.\City C... There's one in this city, too.\Should I let Master know? response:	No, I can just go take care of it myself.
context: True...\Don't worry. If any monsters infiltrate the venue,\I'll take care of them myself.\Monsters have appeared, huh?\That's way too many.\City C... There's one in this city, too.\Should I let Master know?\No, I can just go take care of it myself. response:	I won't let it interfere with this tournament.
context: Don't worry. If any monsters infiltrate the venue,\I'll take care of them myself.\Monsters have appeared, huh?\That's way too many.\City C... There's one in this city, too.\Should I let Master know?\No, I can just go take care of it myself.\I won't let it interfere with this tournament. response:	No matter how many small fry there are, I'll dispose of them immediately.
context: I'll take care of them myself.\Monsters have appeared, huh?\That's way too many.\City C... There's one in this city, too.\Should I let Master know?\No, I can just go take care of it myself.\I won't let it interfere with this tournament.\No matter how many small fry there are, I'll dispose of them immediately. response:	Wh-What the hell?
context: Monsters have appeared, huh?\That's way too many.\City C... There's one in this city, too.\Should I let Master know?\No, I can just go take care of it myself.\I won't let it interfere with this tournament.\No matter how many small fry there are, I'll dispose of them immediately.\Wh-What the hell? response:	You aren't weak at all...
context: That's way too many.\City C... There's one in this city, too.\Should I let Master know?\No, I can just go take care of it myself.\I won't let it interfere with this tournament.\No matter how many small fry there are, I'll dispose of them immediately.\Wh-What the hell?\You aren't weak at all... response:	The winner is Snek!
context: City C... There's one in this city, too.\Should I let Master know?\No, I can just go take care of it myself.\I won't let it interfere with this tournament.\No matter how many small fry there are, I'll dispose of them immediately.\Wh-What the hell?\You aren't weak at all...\The winner is Snek! response:	I want to believe that I rank among the strongest myself.
context: Should I let Master know?\No, I can just go take care of it myself.\I won't let it interfere with this tournament.\No matter how many small fry there are, I'll dispose of them immediately.\Wh-What the hell?\You aren't weak at all...\The winner is Snek!\I want to believe that I rank among the strongest myself. response:	But you get sick of the reality pretty quick.
context: No, I can just go take care of it myself.\I won't let it interfere with this tournament.\No matter how many small fry there are, I'll dispose of them immediately.\Wh-What the hell?\You aren't weak at all...\The winner is Snek!\I want to believe that I rank among the strongest myself.\But you get sick of the reality pretty quick. response:	The battlefield of top heroes is filled with nothing but monsters.
context: I won't let it interfere with this tournament.\No matter how many small fry there are, I'll dispose of them immediately.\Wh-What the hell?\You aren't weak at all...\The winner is Snek!\I want to believe that I rank among the strongest myself.\But you get sick of the reality pretty quick.\The battlefield of top heroes is filled with nothing but monsters. response:	Incinerate.
context: No matter how many small fry there are, I'll dispose of them immediately.\Wh-What the hell?\You aren't weak at all...\The winner is Snek!\I want to believe that I rank among the strongest myself.\But you get sick of the reality pretty quick.\The battlefield of top heroes is filled with nothing but monsters.\Incinerate. response:	It's the Demon Cyborg!
context: Wh-What the hell?\You aren't weak at all...\The winner is Snek!\I want to believe that I rank among the strongest myself.\But you get sick of the reality pretty quick.\The battlefield of top heroes is filled with nothing but monsters.\Incinerate.\It's the Demon Cyborg! response:	That was some blow!
context: You aren't weak at all...\The winner is Snek!\I want to believe that I rank among the strongest myself.\But you get sick of the reality pretty quick.\The battlefield of top heroes is filled with nothing but monsters.\Incinerate.\It's the Demon Cyborg!\That was some blow! response:	We're saved!
context: The winner is Snek!\I want to believe that I rank among the strongest myself.\But you get sick of the reality pretty quick.\The battlefield of top heroes is filled with nothing but monsters.\Incinerate.\It's the Demon Cyborg!\That was some blow!\We're saved! response:	I'm currently in City C near the stadium. What's the situation?
context: I want to believe that I rank among the strongest myself.\But you get sick of the reality pretty quick.\The battlefield of top heroes is filled with nothing but monsters.\Incinerate.\It's the Demon Cyborg!\That was some blow!\We're saved!\I'm currently in City C near the stadium. What's the situation? response:	Multiple monsters have appeared simultaneously in several cities.
context: But you get sick of the reality pretty quick.\The battlefield of top heroes is filled with nothing but monsters.\Incinerate.\It's the Demon Cyborg!\That was some blow!\We're saved!\I'm currently in City C near the stadium. What's the situation?\Multiple monsters have appeared simultaneously in several cities. response:	We've confirmed that there are currently five in City C.
context: The battlefield of top heroes is filled with nothing but monsters.\Incinerate.\It's the Demon Cyborg!\That was some blow!\We're saved!\I'm currently in City C near the stadium. What's the situation?\Multiple monsters have appeared simultaneously in several cities.\We've confirmed that there are currently five in City C. response:	Mr. Demon Cyborg, there's another monster over there.
context: Incinerate.\It's the Demon Cyborg!\That was some blow!\We're saved!\I'm currently in City C near the stadium. What's the situation?\Multiple monsters have appeared simultaneously in several cities.\We've confirmed that there are currently five in City C.\Mr. Demon Cyborg, there's another monster over there. response:	There's one over there, too!
context: It's the Demon Cyborg!\That was some blow!\We're saved!\I'm currently in City C near the stadium. What's the situation?\Multiple monsters have appeared simultaneously in several cities.\We've confirmed that there are currently five in City C.\Mr. Demon Cyborg, there's another monster over there.\There's one over there, too! response:	I got rid of one.
context: That was some blow!\We're saved!\I'm currently in City C near the stadium. What's the situation?\Multiple monsters have appeared simultaneously in several cities.\We've confirmed that there are currently five in City C.\Mr. Demon Cyborg, there's another monster over there.\There's one over there, too!\I got rid of one. response:	Where are the other four?
context: We're saved!\I'm currently in City C near the stadium. What's the situation?\Multiple monsters have appeared simultaneously in several cities.\We've confirmed that there are currently five in City C.\Mr. Demon Cyborg, there's another monster over there.\There's one over there, too!\I got rid of one.\Where are the other four? response:	I'll guide you to them.
context: I'm currently in City C near the stadium. What's the situation?\Multiple monsters have appeared simultaneously in several cities.\We've confirmed that there are currently five in City C.\Mr. Demon Cyborg, there's another monster over there.\There's one over there, too!\I got rid of one.\Where are the other four?\I'll guide you to them. response:	A blow charged with electricity!
context: Multiple monsters have appeared simultaneously in several cities.\We've confirmed that there are currently five in City C.\Mr. Demon Cyborg, there's another monster over there.\There's one over there, too!\I got rid of one.\Where are the other four?\I'll guide you to them.\A blow charged with electricity! response:	Bazuzu VS Boltane
context: We've confirmed that there are currently five in City C.\Mr. Demon Cyborg, there's another monster over there.\There's one over there, too!\I got rid of one.\Where are the other four?\I'll guide you to them.\A blow charged with electricity!\Bazuzu VS Boltane response:	The winner is Boltane!
context: Mr. Demon Cyborg, there's another monster over there.\There's one over there, too!\I got rid of one.\Where are the other four?\I'll guide you to them.\A blow charged with electricity!\Bazuzu VS Boltane\The winner is Boltane! response:	Winner: Boltane
context: There's one over there, too!\I got rid of one.\Where are the other four?\I'll guide you to them.\A blow charged with electricity!\Bazuzu VS Boltane\The winner is Boltane!\Winner: Boltane response:	Gatling's super fast punches have finally taken down Hamukichi.
context: I got rid of one.\Where are the other four?\I'll guide you to them.\A blow charged with electricity!\Bazuzu VS Boltane\The winner is Boltane!\Winner: Boltane\Gatling's super fast punches have finally taken down Hamukichi. response:	He can no longer stand!
context: Where are the other four?\I'll guide you to them.\A blow charged with electricity!\Bazuzu VS Boltane\The winner is Boltane!\Winner: Boltane\Gatling's super fast punches have finally taken down Hamukichi.\He can no longer stand! response:	Winner: Gatling
context: I'll guide you to them.\A blow charged with electricity!\Bazuzu VS Boltane\The winner is Boltane!\Winner: Boltane\Gatling's super fast punches have finally taken down Hamukichi.\He can no longer stand!\Winner: Gatling response:	Dave immediately opened the match with an explosive body press!
context: A blow charged with electricity!\Bazuzu VS Boltane\The winner is Boltane!\Winner: Boltane\Gatling's super fast punches have finally taken down Hamukichi.\He can no longer stand!\Winner: Gatling\Dave immediately opened the match with an explosive body press! response:	Winner: Dave
context: Bazuzu VS Boltane\The winner is Boltane!\Winner: Boltane\Gatling's super fast punches have finally taken down Hamukichi.\He can no longer stand!\Winner: Gatling\Dave immediately opened the match with an explosive body press!\Winner: Dave response:	Rosie was taken down in mere seconds!
context: The winner is Boltane!\Winner: Boltane\Gatling's super fast punches have finally taken down Hamukichi.\He can no longer stand!\Winner: Gatling\Dave immediately opened the match with an explosive body press!\Winner: Dave\Rosie was taken down in mere seconds! response:	And the referee had to interfere!
context: Winner: Boltane\Gatling's super fast punches have finally taken down Hamukichi.\He can no longer stand!\Winner: Gatling\Dave immediately opened the match with an explosive body press!\Winner: Dave\Rosie was taken down in mere seconds!\And the referee had to interfere! response:	Choze is strong!
context: Gatling's super fast punches have finally taken down Hamukichi.\He can no longer stand!\Winner: Gatling\Dave immediately opened the match with an explosive body press!\Winner: Dave\Rosie was taken down in mere seconds!\And the referee had to interfere!\Choze is strong! response:	Mentai didn't stand a chance!
context: He can no longer stand!\Winner: Gatling\Dave immediately opened the match with an explosive body press!\Winner: Dave\Rosie was taken down in mere seconds!\And the referee had to interfere!\Choze is strong!\Mentai didn't stand a chance! response:	Winner: Choze
context: Winner: Gatling\Dave immediately opened the match with an explosive body press!\Winner: Dave\Rosie was taken down in mere seconds!\And the referee had to interfere!\Choze is strong!\Mentai didn't stand a chance!\Winner: Choze response:	Rocket Stomp!
context: Dave immediately opened the match with an explosive body press!\Winner: Dave\Rosie was taken down in mere seconds!\And the referee had to interfere!\Choze is strong!\Mentai didn't stand a chance!\Winner: Choze\Rocket Stomp! response:	I know there's another one of you in the area.
context: Winner: Dave\Rosie was taken down in mere seconds!\And the referee had to interfere!\Choze is strong!\Mentai didn't stand a chance!\Winner: Choze\Rocket Stomp!\I know there's another one of you in the area. response:	Tell me where they are or continue to suffer until you die.
context: Rosie was taken down in mere seconds!\And the referee had to interfere!\Choze is strong!\Mentai didn't stand a chance!\Winner: Choze\Rocket Stomp!\I know there's another one of you in the area.\Tell me where they are or continue to suffer until you die. response:	Choose one.
context: And the referee had to interfere!\Choze is strong!\Mentai didn't stand a chance!\Winner: Choze\Rocket Stomp!\I know there's another one of you in the area.\Tell me where they are or continue to suffer until you die.\Choose one. response:	Next up, we have Jakumen from Giga Pro Wrestling
context: Choze is strong!\Mentai didn't stand a chance!\Winner: Choze\Rocket Stomp!\I know there's another one of you in the area.\Tell me where they are or continue to suffer until you die.\Choose one.\Next up, we have Jakumen from Giga Pro Wrestling response:	versus Sourface from Sourface-Style Kenpo!
context: Mentai didn't stand a chance!\Winner: Choze\Rocket Stomp!\I know there's another one of you in the area.\Tell me where they are or continue to suffer until you die.\Choose one.\Next up, we have Jakumen from Giga Pro Wrestling\versus Sourface from Sourface-Style Kenpo! response:	They are both competing here for the first time!
context: Winner: Choze\Rocket Stomp!\I know there's another one of you in the area.\Tell me where they are or continue to suffer until you die.\Choose one.\Next up, we have Jakumen from Giga Pro Wrestling\versus Sourface from Sourface-Style Kenpo!\They are both competing here for the first time! response:	Do your best out there, Sourface!
