context: May BLAST have their professional debut response:	May BLAST have their professional debut Back then, the one thing I had plenty of was my countless number of wishes.
context: A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's response:	You're the only one I can see
context: The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see response:	Baby my wish on a wing
context: Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing response:	This sky is torn
context: Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn response:	By a single overflowing word
context: It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word response:	It's the 7th of July?
context: Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\It's the 7th of July? response:	A bad omen.
context: Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\It's the 7th of July?\A bad omen. response:	What is?
context: Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\It's the 7th of July?\A bad omen.\What is? response:	Actually, Nana hasn't talked like that lately, has she?
context: You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\It's the 7th of July?\A bad omen.\What is?\Actually, Nana hasn't talked like that lately, has she? response:	Before, she would blame everything on the Demon Lord.
context: Baby my wish on a wing\This sky is torn\By a single overflowing word\It's the 7th of July?\A bad omen.\What is?\Actually, Nana hasn't talked like that lately, has she?\Before, she would blame everything on the Demon Lord. response:	Perhaps she's becoming more of an adult.
context: This sky is torn\By a single overflowing word\It's the 7th of July?\A bad omen.\What is?\Actually, Nana hasn't talked like that lately, has she?\Before, she would blame everything on the Demon Lord.\Perhaps she's becoming more of an adult. response:	That would be nice.
context: By a single overflowing word\It's the 7th of July?\A bad omen.\What is?\Actually, Nana hasn't talked like that lately, has she?\Before, she would blame everything on the Demon Lord.\Perhaps she's becoming more of an adult.\That would be nice. response:	Kyosuke, do you want your eggs sunny-side up or scrambled?
context: It's the 7th of July?\A bad omen.\What is?\Actually, Nana hasn't talked like that lately, has she?\Before, she would blame everything on the Demon Lord.\Perhaps she's becoming more of an adult.\That would be nice.\Kyosuke, do you want your eggs sunny-side up or scrambled? response:	Sunny-side up.
context: A bad omen.\What is?\Actually, Nana hasn't talked like that lately, has she?\Before, she would blame everything on the Demon Lord.\Perhaps she's becoming more of an adult.\That would be nice.\Kyosuke, do you want your eggs sunny-side up or scrambled?\Sunny-side up. response:	Come to think of it...
context: What is?\Actually, Nana hasn't talked like that lately, has she?\Before, she would blame everything on the Demon Lord.\Perhaps she's becoming more of an adult.\That would be nice.\Kyosuke, do you want your eggs sunny-side up or scrambled?\Sunny-side up.\Come to think of it... response:	Nana doesn't come by our place as often as she used to.
context: Actually, Nana hasn't talked like that lately, has she?\Before, she would blame everything on the Demon Lord.\Perhaps she's becoming more of an adult.\That would be nice.\Kyosuke, do you want your eggs sunny-side up or scrambled?\Sunny-side up.\Come to think of it...\Nana doesn't come by our place as often as she used to. response:	I don't think I've seen her in quite some time. How's she doing?
context: Before, she would blame everything on the Demon Lord.\Perhaps she's becoming more of an adult.\That would be nice.\Kyosuke, do you want your eggs sunny-side up or scrambled?\Sunny-side up.\Come to think of it...\Nana doesn't come by our place as often as she used to.\I don't think I've seen her in quite some time. How's she doing? response:	Oh, right. You couldn't make it to her roommate's live concert either
context: Perhaps she's becoming more of an adult.\That would be nice.\Kyosuke, do you want your eggs sunny-side up or scrambled?\Sunny-side up.\Come to think of it...\Nana doesn't come by our place as often as she used to.\I don't think I've seen her in quite some time. How's she doing?\Oh, right. You couldn't make it to her roommate's live concert either response:	because of work.
context: That would be nice.\Kyosuke, do you want your eggs sunny-side up or scrambled?\Sunny-side up.\Come to think of it...\Nana doesn't come by our place as often as she used to.\I don't think I've seen her in quite some time. How's she doing?\Oh, right. You couldn't make it to her roommate's live concert either\because of work. response:	Well, she's doing okay, but there was something odd about her.
context: Kyosuke, do you want your eggs sunny-side up or scrambled?\Sunny-side up.\Come to think of it...\Nana doesn't come by our place as often as she used to.\I don't think I've seen her in quite some time. How's she doing?\Oh, right. You couldn't make it to her roommate's live concert either\because of work.\Well, she's doing okay, but there was something odd about her. response:	Yeah. You mean that scent of a new guy in her life?
context: Sunny-side up.\Come to think of it...\Nana doesn't come by our place as often as she used to.\I don't think I've seen her in quite some time. How's she doing?\Oh, right. You couldn't make it to her roommate's live concert either\because of work.\Well, she's doing okay, but there was something odd about her.\Yeah. You mean that scent of a new guy in her life? response:	Although she denies it.
context: Come to think of it...\Nana doesn't come by our place as often as she used to.\I don't think I've seen her in quite some time. How's she doing?\Oh, right. You couldn't make it to her roommate's live concert either\because of work.\Well, she's doing okay, but there was something odd about her.\Yeah. You mean that scent of a new guy in her life?\Although she denies it. response:	Has she found a job?
context: Nana doesn't come by our place as often as she used to.\I don't think I've seen her in quite some time. How's she doing?\Oh, right. You couldn't make it to her roommate's live concert either\because of work.\Well, she's doing okay, but there was something odd about her.\Yeah. You mean that scent of a new guy in her life?\Although she denies it.\Has she found a job? response:	Ouch!
context: I don't think I've seen her in quite some time. How's she doing?\Oh, right. You couldn't make it to her roommate's live concert either\because of work.\Well, she's doing okay, but there was something odd about her.\Yeah. You mean that scent of a new guy in her life?\Although she denies it.\Has she found a job?\Ouch! response:	Judging by the fact she's said nothing about it, I doubt it.
context: Oh, right. You couldn't make it to her roommate's live concert either\because of work.\Well, she's doing okay, but there was something odd about her.\Yeah. You mean that scent of a new guy in her life?\Although she denies it.\Has she found a job?\Ouch!\Judging by the fact she's said nothing about it, I doubt it. response:	She said something about wanting to work in sales at a fashionable shop.
context: because of work.\Well, she's doing okay, but there was something odd about her.\Yeah. You mean that scent of a new guy in her life?\Although she denies it.\Has she found a job?\Ouch!\Judging by the fact she's said nothing about it, I doubt it.\She said something about wanting to work in sales at a fashionable shop. response:	But it's been at least a month
context: Well, she's doing okay, but there was something odd about her.\Yeah. You mean that scent of a new guy in her life?\Although she denies it.\Has she found a job?\Ouch!\Judging by the fact she's said nothing about it, I doubt it.\She said something about wanting to work in sales at a fashionable shop.\But it's been at least a month response:	since she was fired from her previous job, right?
context: Yeah. You mean that scent of a new guy in her life?\Although she denies it.\Has she found a job?\Ouch!\Judging by the fact she's said nothing about it, I doubt it.\She said something about wanting to work in sales at a fashionable shop.\But it's been at least a month\since she was fired from her previous job, right? response:	How's she getting by?
context: Although she denies it.\Has she found a job?\Ouch!\Judging by the fact she's said nothing about it, I doubt it.\She said something about wanting to work in sales at a fashionable shop.\But it's been at least a month\since she was fired from her previous job, right?\How's she getting by? response:	She seems to be managing.
context: Has she found a job?\Ouch!\Judging by the fact she's said nothing about it, I doubt it.\She said something about wanting to work in sales at a fashionable shop.\But it's been at least a month\since she was fired from her previous job, right?\How's she getting by?\She seems to be managing. response:	She said she's been taking on temporary jobs to get by.
context: Ouch!\Judging by the fact she's said nothing about it, I doubt it.\She said something about wanting to work in sales at a fashionable shop.\But it's been at least a month\since she was fired from her previous job, right?\How's she getting by?\She seems to be managing.\She said she's been taking on temporary jobs to get by. response:	But it's not like there are that many temporary jobs.
context: Judging by the fact she's said nothing about it, I doubt it.\She said something about wanting to work in sales at a fashionable shop.\But it's been at least a month\since she was fired from her previous job, right?\How's she getting by?\She seems to be managing.\She said she's been taking on temporary jobs to get by.\But it's not like there are that many temporary jobs. response:	Hmm... She's registered at a personnel agency
context: She said something about wanting to work in sales at a fashionable shop.\But it's been at least a month\since she was fired from her previous job, right?\How's she getting by?\She seems to be managing.\She said she's been taking on temporary jobs to get by.\But it's not like there are that many temporary jobs.\Hmm... She's registered at a personnel agency response:	specializing in demonstrators.
context: But it's been at least a month\since she was fired from her previous job, right?\How's she getting by?\She seems to be managing.\She said she's been taking on temporary jobs to get by.\But it's not like there are that many temporary jobs.\Hmm... She's registered at a personnel agency\specializing in demonstrators. response:	What exactly does this demonstrator do?
context: since she was fired from her previous job, right?\How's she getting by?\She seems to be managing.\She said she's been taking on temporary jobs to get by.\But it's not like there are that many temporary jobs.\Hmm... She's registered at a personnel agency\specializing in demonstrators.\What exactly does this demonstrator do? response:	This is the new product, Raffine Beer. Please give it a try.
context: How's she getting by?\She seems to be managing.\She said she's been taking on temporary jobs to get by.\But it's not like there are that many temporary jobs.\Hmm... She's registered at a personnel agency\specializing in demonstrators.\What exactly does this demonstrator do?\This is the new product, Raffine Beer. Please give it a try. response:	This demonstrator takes part in
context: She seems to be managing.\She said she's been taking on temporary jobs to get by.\But it's not like there are that many temporary jobs.\Hmm... She's registered at a personnel agency\specializing in demonstrators.\What exactly does this demonstrator do?\This is the new product, Raffine Beer. Please give it a try.\This demonstrator takes part in response:	campaigns to promote food items newly on the market.
context: She said she's been taking on temporary jobs to get by.\But it's not like there are that many temporary jobs.\Hmm... She's registered at a personnel agency\specializing in demonstrators.\What exactly does this demonstrator do?\This is the new product, Raffine Beer. Please give it a try.\This demonstrator takes part in\campaigns to promote food items newly on the market. response:	You'll find them in the food section of department store basements,
context: But it's not like there are that many temporary jobs.\Hmm... She's registered at a personnel agency\specializing in demonstrators.\What exactly does this demonstrator do?\This is the new product, Raffine Beer. Please give it a try.\This demonstrator takes part in\campaigns to promote food items newly on the market.\You'll find them in the food section of department store basements, response:	preparing anything from sausages to sliced fruits.
context: Hmm... She's registered at a personnel agency\specializing in demonstrators.\What exactly does this demonstrator do?\This is the new product, Raffine Beer. Please give it a try.\This demonstrator takes part in\campaigns to promote food items newly on the market.\You'll find them in the food section of department store basements,\preparing anything from sausages to sliced fruits. response:	In other words, I'm a food saleswoman offering food samples.
context: specializing in demonstrators.\What exactly does this demonstrator do?\This is the new product, Raffine Beer. Please give it a try.\This demonstrator takes part in\campaigns to promote food items newly on the market.\You'll find them in the food section of department store basements,\preparing anything from sausages to sliced fruits.\In other words, I'm a food saleswoman offering food samples. response:	I get called for a sales blitz that lasts for two, three days.
context: What exactly does this demonstrator do?\This is the new product, Raffine Beer. Please give it a try.\This demonstrator takes part in\campaigns to promote food items newly on the market.\You'll find them in the food section of department store basements,\preparing anything from sausages to sliced fruits.\In other words, I'm a food saleswoman offering food samples.\I get called for a sales blitz that lasts for two, three days. response:	I get paid over ten thousand yen a day,
context: This is the new product, Raffine Beer. Please give it a try.\This demonstrator takes part in\campaigns to promote food items newly on the market.\You'll find them in the food section of department store basements,\preparing anything from sausages to sliced fruits.\In other words, I'm a food saleswoman offering food samples.\I get called for a sales blitz that lasts for two, three days.\I get paid over ten thousand yen a day, response:	so I took the job to help me out with living expenses for the time being.
context: This demonstrator takes part in\campaigns to promote food items newly on the market.\You'll find them in the food section of department store basements,\preparing anything from sausages to sliced fruits.\In other words, I'm a food saleswoman offering food samples.\I get called for a sales blitz that lasts for two, three days.\I get paid over ten thousand yen a day,\so I took the job to help me out with living expenses for the time being. response:	But it's actually a lot more fun than I expected.
context: campaigns to promote food items newly on the market.\You'll find them in the food section of department store basements,\preparing anything from sausages to sliced fruits.\In other words, I'm a food saleswoman offering food samples.\I get called for a sales blitz that lasts for two, three days.\I get paid over ten thousand yen a day,\so I took the job to help me out with living expenses for the time being.\But it's actually a lot more fun than I expected. response:	Anything involving food would seem fun to you, Hachiko.
context: You'll find them in the food section of department store basements,\preparing anything from sausages to sliced fruits.\In other words, I'm a food saleswoman offering food samples.\I get called for a sales blitz that lasts for two, three days.\I get paid over ten thousand yen a day,\so I took the job to help me out with living expenses for the time being.\But it's actually a lot more fun than I expected.\Anything involving food would seem fun to you, Hachiko. response:	N-No way! That's not why.
context: preparing anything from sausages to sliced fruits.\In other words, I'm a food saleswoman offering food samples.\I get called for a sales blitz that lasts for two, three days.\I get paid over ten thousand yen a day,\so I took the job to help me out with living expenses for the time being.\But it's actually a lot more fun than I expected.\Anything involving food would seem fun to you, Hachiko.\N-No way! That's not why. response:	How should I put it... the interaction with the customers...
context: In other words, I'm a food saleswoman offering food samples.\I get called for a sales blitz that lasts for two, three days.\I get paid over ten thousand yen a day,\so I took the job to help me out with living expenses for the time being.\But it's actually a lot more fun than I expected.\Anything involving food would seem fun to you, Hachiko.\N-No way! That's not why.\How should I put it... the interaction with the customers... response:	- Hey, Nobu, about this part... - Listen to me!
context: I get called for a sales blitz that lasts for two, three days.\I get paid over ten thousand yen a day,\so I took the job to help me out with living expenses for the time being.\But it's actually a lot more fun than I expected.\Anything involving food would seem fun to you, Hachiko.\N-No way! That's not why.\How should I put it... the interaction with the customers...\- Hey, Nobu, about this part... - Listen to me! response:	What is it?
context: I get paid over ten thousand yen a day,\so I took the job to help me out with living expenses for the time being.\But it's actually a lot more fun than I expected.\Anything involving food would seem fun to you, Hachiko.\N-No way! That's not why.\How should I put it... the interaction with the customers...\- Hey, Nobu, about this part... - Listen to me!\What is it? response:	I'm convinced that working in sales really suits me.
context: so I took the job to help me out with living expenses for the time being.\But it's actually a lot more fun than I expected.\Anything involving food would seem fun to you, Hachiko.\N-No way! That's not why.\How should I put it... the interaction with the customers...\- Hey, Nobu, about this part... - Listen to me!\What is it?\I'm convinced that working in sales really suits me. response:	For instance, I'm really good at that smiles are free deal.
context: But it's actually a lot more fun than I expected.\Anything involving food would seem fun to you, Hachiko.\N-No way! That's not why.\How should I put it... the interaction with the customers...\- Hey, Nobu, about this part... - Listen to me!\What is it?\I'm convinced that working in sales really suits me.\For instance, I'm really good at that smiles are free deal. response:	Then you should find a job at a fast food joint.
context: Anything involving food would seem fun to you, Hachiko.\N-No way! That's not why.\How should I put it... the interaction with the customers...\- Hey, Nobu, about this part... - Listen to me!\What is it?\I'm convinced that working in sales really suits me.\For instance, I'm really good at that smiles are free deal.\Then you should find a job at a fast food joint. response:	If the uniform's cute, then I'd love that.
context: N-No way! That's not why.\How should I put it... the interaction with the customers...\- Hey, Nobu, about this part... - Listen to me!\What is it?\I'm convinced that working in sales really suits me.\For instance, I'm really good at that smiles are free deal.\Then you should find a job at a fast food joint.\If the uniform's cute, then I'd love that. response:	This latest gig from the beer company
context: How should I put it... the interaction with the customers...\- Hey, Nobu, about this part... - Listen to me!\What is it?\I'm convinced that working in sales really suits me.\For instance, I'm really good at that smiles are free deal.\Then you should find a job at a fast food joint.\If the uniform's cute, then I'd love that.\This latest gig from the beer company response:	requires me to wear a campaign girl-type mini-skirt outfit.
context: - Hey, Nobu, about this part... - Listen to me!\What is it?\I'm convinced that working in sales really suits me.\For instance, I'm really good at that smiles are free deal.\Then you should find a job at a fast food joint.\If the uniform's cute, then I'd love that.\This latest gig from the beer company\requires me to wear a campaign girl-type mini-skirt outfit. response:	I think I look great in it.
context: What is it?\I'm convinced that working in sales really suits me.\For instance, I'm really good at that smiles are free deal.\Then you should find a job at a fast food joint.\If the uniform's cute, then I'd love that.\This latest gig from the beer company\requires me to wear a campaign girl-type mini-skirt outfit.\I think I look great in it. response:	I would've loved to see that.
context: I'm convinced that working in sales really suits me.\For instance, I'm really good at that smiles are free deal.\Then you should find a job at a fast food joint.\If the uniform's cute, then I'd love that.\This latest gig from the beer company\requires me to wear a campaign girl-type mini-skirt outfit.\I think I look great in it.\I would've loved to see that. response:	That old pervert's saying something.
context: For instance, I'm really good at that smiles are free deal.\Then you should find a job at a fast food joint.\If the uniform's cute, then I'd love that.\This latest gig from the beer company\requires me to wear a campaign girl-type mini-skirt outfit.\I think I look great in it.\I would've loved to see that.\That old pervert's saying something. response:	The Milky Way's not visible.
context: Then you should find a job at a fast food joint.\If the uniform's cute, then I'd love that.\This latest gig from the beer company\requires me to wear a campaign girl-type mini-skirt outfit.\I think I look great in it.\I would've loved to see that.\That old pervert's saying something.\The Milky Way's not visible. response:	I was so looking forward to seeing it.
context: If the uniform's cute, then I'd love that.\This latest gig from the beer company\requires me to wear a campaign girl-type mini-skirt outfit.\I think I look great in it.\I would've loved to see that.\That old pervert's saying something.\The Milky Way's not visible.\I was so looking forward to seeing it. response:	Hey, Nobu!
context: This latest gig from the beer company\requires me to wear a campaign girl-type mini-skirt outfit.\I think I look great in it.\I would've loved to see that.\That old pervert's saying something.\The Milky Way's not visible.\I was so looking forward to seeing it.\Hey, Nobu! response:	About meeting tomorrow! Yasu's asking if we could meet there!
context: requires me to wear a campaign girl-type mini-skirt outfit.\I think I look great in it.\I would've loved to see that.\That old pervert's saying something.\The Milky Way's not visible.\I was so looking forward to seeing it.\Hey, Nobu!\About meeting tomorrow! Yasu's asking if we could meet there! response:	Sure! Since I'll get off work just in time for the opening anyway!
context: I think I look great in it.\I would've loved to see that.\That old pervert's saying something.\The Milky Way's not visible.\I was so looking forward to seeing it.\Hey, Nobu!\About meeting tomorrow! Yasu's asking if we could meet there!\Sure! Since I'll get off work just in time for the opening anyway! response:	Tomorrow...
context: I would've loved to see that.\That old pervert's saying something.\The Milky Way's not visible.\I was so looking forward to seeing it.\Hey, Nobu!\About meeting tomorrow! Yasu's asking if we could meet there!\Sure! Since I'll get off work just in time for the opening anyway!\Tomorrow... response:	July 8th?
context: That old pervert's saying something.\The Milky Way's not visible.\I was so looking forward to seeing it.\Hey, Nobu!\About meeting tomorrow! Yasu's asking if we could meet there!\Sure! Since I'll get off work just in time for the opening anyway!\Tomorrow...\July 8th? response:	He says it's okay!
context: The Milky Way's not visible.\I was so looking forward to seeing it.\Hey, Nobu!\About meeting tomorrow! Yasu's asking if we could meet there!\Sure! Since I'll get off work just in time for the opening anyway!\Tomorrow...\July 8th?\He says it's okay! response:	That's right. Tomorrow is Trapnest's last performance.
context: I was so looking forward to seeing it.\Hey, Nobu!\About meeting tomorrow! Yasu's asking if we could meet there!\Sure! Since I'll get off work just in time for the opening anyway!\Tomorrow...\July 8th?\He says it's okay!\That's right. Tomorrow is Trapnest's last performance. response:	The three of you are going, right?
context: Hey, Nobu!\About meeting tomorrow! Yasu's asking if we could meet there!\Sure! Since I'll get off work just in time for the opening anyway!\Tomorrow...\July 8th?\He says it's okay!\That's right. Tomorrow is Trapnest's last performance.\The three of you are going, right? response:	Mhm.
context: About meeting tomorrow! Yasu's asking if we could meet there!\Sure! Since I'll get off work just in time for the opening anyway!\Tomorrow...\July 8th?\He says it's okay!\That's right. Tomorrow is Trapnest's last performance.\The three of you are going, right?\Mhm. response:	Those VIP seats. Are they in a special section?
context: Sure! Since I'll get off work just in time for the opening anyway!\Tomorrow...\July 8th?\He says it's okay!\That's right. Tomorrow is Trapnest's last performance.\The three of you are going, right?\Mhm.\Those VIP seats. Are they in a special section? response:	Not really. They're center seats on the second floor balcony.
context: Tomorrow...\July 8th?\He says it's okay!\That's right. Tomorrow is Trapnest's last performance.\The three of you are going, right?\Mhm.\Those VIP seats. Are they in a special section?\Not really. They're center seats on the second floor balcony. response:	I hear you get a great view,
context: July 8th?\He says it's okay!\That's right. Tomorrow is Trapnest's last performance.\The three of you are going, right?\Mhm.\Those VIP seats. Are they in a special section?\Not really. They're center seats on the second floor balcony.\I hear you get a great view, response:	but since you're surrounded by those associated with the band,
context: He says it's okay!\That's right. Tomorrow is Trapnest's last performance.\The three of you are going, right?\Mhm.\Those VIP seats. Are they in a special section?\Not really. They're center seats on the second floor balcony.\I hear you get a great view,\but since you're surrounded by those associated with the band, response:	and journalists, the section is pretty much dead.
context: That's right. Tomorrow is Trapnest's last performance.\The three of you are going, right?\Mhm.\Those VIP seats. Are they in a special section?\Not really. They're center seats on the second floor balcony.\I hear you get a great view,\but since you're surrounded by those associated with the band,\and journalists, the section is pretty much dead. response:	What's that? Sounds so boring.
context: The three of you are going, right?\Mhm.\Those VIP seats. Are they in a special section?\Not really. They're center seats on the second floor balcony.\I hear you get a great view,\but since you're surrounded by those associated with the band,\and journalists, the section is pretty much dead.\What's that? Sounds so boring. response:	But we're not exactly fans,
context: Mhm.\Those VIP seats. Are they in a special section?\Not really. They're center seats on the second floor balcony.\I hear you get a great view,\but since you're surrounded by those associated with the band,\and journalists, the section is pretty much dead.\What's that? Sounds so boring.\But we're not exactly fans, response:	so I'm rather thankful that I won't be sitting between screaming voices.
context: Those VIP seats. Are they in a special section?\Not really. They're center seats on the second floor balcony.\I hear you get a great view,\but since you're surrounded by those associated with the band,\and journalists, the section is pretty much dead.\What's that? Sounds so boring.\But we're not exactly fans,\so I'm rather thankful that I won't be sitting between screaming voices. response:	You should've had Ren get you a seat too, Hachi.
context: Not really. They're center seats on the second floor balcony.\I hear you get a great view,\but since you're surrounded by those associated with the band,\and journalists, the section is pretty much dead.\What's that? Sounds so boring.\But we're not exactly fans,\so I'm rather thankful that I won't be sitting between screaming voices.\You should've had Ren get you a seat too, Hachi. response:	It might not be too late. Why don't I ask him to make arrangements?
context: I hear you get a great view,\but since you're surrounded by those associated with the band,\and journalists, the section is pretty much dead.\What's that? Sounds so boring.\But we're not exactly fans,\so I'm rather thankful that I won't be sitting between screaming voices.\You should've had Ren get you a seat too, Hachi.\It might not be too late. Why don't I ask him to make arrangements? response:	No, I already saw them back home, so never mind.
context: but since you're surrounded by those associated with the band,\and journalists, the section is pretty much dead.\What's that? Sounds so boring.\But we're not exactly fans,\so I'm rather thankful that I won't be sitting between screaming voices.\You should've had Ren get you a seat too, Hachi.\It might not be too late. Why don't I ask him to make arrangements?\No, I already saw them back home, so never mind. response:	Besides, I'm a bit busy tomorrow anyway.
context: and journalists, the section is pretty much dead.\What's that? Sounds so boring.\But we're not exactly fans,\so I'm rather thankful that I won't be sitting between screaming voices.\You should've had Ren get you a seat too, Hachi.\It might not be too late. Why don't I ask him to make arrangements?\No, I already saw them back home, so never mind.\Besides, I'm a bit busy tomorrow anyway. response:	You've got it wrong!
context: What's that? Sounds so boring.\But we're not exactly fans,\so I'm rather thankful that I won't be sitting between screaming voices.\You should've had Ren get you a seat too, Hachi.\It might not be too late. Why don't I ask him to make arrangements?\No, I already saw them back home, so never mind.\Besides, I'm a bit busy tomorrow anyway.\You've got it wrong! response:	You hafta write a wish and hang it from a bamboo branch.
context: But we're not exactly fans,\so I'm rather thankful that I won't be sitting between screaming voices.\You should've had Ren get you a seat too, Hachi.\It might not be too late. Why don't I ask him to make arrangements?\No, I already saw them back home, so never mind.\Besides, I'm a bit busy tomorrow anyway.\You've got it wrong!\You hafta write a wish and hang it from a bamboo branch. response:	A wish?
context: so I'm rather thankful that I won't be sitting between screaming voices.\You should've had Ren get you a seat too, Hachi.\It might not be too late. Why don't I ask him to make arrangements?\No, I already saw them back home, so never mind.\Besides, I'm a bit busy tomorrow anyway.\You've got it wrong!\You hafta write a wish and hang it from a bamboo branch.\A wish? response:	Do you seriously not know?
context: You should've had Ren get you a seat too, Hachi.\It might not be too late. Why don't I ask him to make arrangements?\No, I already saw them back home, so never mind.\Besides, I'm a bit busy tomorrow anyway.\You've got it wrong!\You hafta write a wish and hang it from a bamboo branch.\A wish?\Do you seriously not know? response:	- What? - What's the matter?
context: It might not be too late. Why don't I ask him to make arrangements?\No, I already saw them back home, so never mind.\Besides, I'm a bit busy tomorrow anyway.\You've got it wrong!\You hafta write a wish and hang it from a bamboo branch.\A wish?\Do you seriously not know?\- What? - What's the matter? response:	Well, Shin says he's never seen Tanabata decorations.
context: No, I already saw them back home, so never mind.\Besides, I'm a bit busy tomorrow anyway.\You've got it wrong!\You hafta write a wish and hang it from a bamboo branch.\A wish?\Do you seriously not know?\- What? - What's the matter?\Well, Shin says he's never seen Tanabata decorations. response:	Can you believe it? He just asked me, What is a tanzaku?
context: Besides, I'm a bit busy tomorrow anyway.\You've got it wrong!\You hafta write a wish and hang it from a bamboo branch.\A wish?\Do you seriously not know?\- What? - What's the matter?\Well, Shin says he's never seen Tanabata decorations.\Can you believe it? He just asked me, What is a tanzaku? response:	Like I asked before, what kind of life have you been living?
context: You've got it wrong!\You hafta write a wish and hang it from a bamboo branch.\A wish?\Do you seriously not know?\- What? - What's the matter?\Well, Shin says he's never seen Tanabata decorations.\Can you believe it? He just asked me, What is a tanzaku?\Like I asked before, what kind of life have you been living? response:	Didn't you do stuff back in kindergarten?
context: You hafta write a wish and hang it from a bamboo branch.\A wish?\Do you seriously not know?\- What? - What's the matter?\Well, Shin says he's never seen Tanabata decorations.\Can you believe it? He just asked me, What is a tanzaku?\Like I asked before, what kind of life have you been living?\Didn't you do stuff back in kindergarten? response:	I wanna write a wish on a tanzaku too.
context: A wish?\Do you seriously not know?\- What? - What's the matter?\Well, Shin says he's never seen Tanabata decorations.\Can you believe it? He just asked me, What is a tanzaku?\Like I asked before, what kind of life have you been living?\Didn't you do stuff back in kindergarten?\I wanna write a wish on a tanzaku too. response:	Then should we go to our place to write some?
