context: The passionate voices cheering from the third base bleachers have not died down. response:	There's Suzuki, they need him to do his best, don't they, Mr. Kiru?
context: It just somehow felt that way.\After all, you never know how a match is going to turn out. They still have hope. It just somehow felt that way.\After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\Right. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\Next, stepping up to the batter's box we have number four, Kashima, a senior. But I kind of ended up rooting for the losing side. response:	Next, stepping up to the batter's box we have number four, Kashima, a senior.
context: After all, you never know how a match is going to turn out. They still have hope. It just somehow felt that way.\After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\Right. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\Next, stepping up to the batter's box we have number four, Kashima, a senior. But I kind of ended up rooting for the losing side.\Next, stepping up to the batter's box we have number four, Kashima, a senior. response:	Next, stepping up to the batter's box we have number four, Kashima, a senior. Once I did, I kind of got the feeling that Haruhi was going to start something.
context: After all, you never know how a match is going to turn out. They still have hope.\After all, you never know how a match is going to turn out. They still have hope. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\Right. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\Next, stepping up to the batter's box we have number four, Kashima, a senior. But I kind of ended up rooting for the losing side.\Next, stepping up to the batter's box we have number four, Kashima, a senior.\Next, stepping up to the batter's box we have number four, Kashima, a senior. Once I did, I kind of got the feeling that Haruhi was going to start something. response:	Once I did, I kind of got the feeling that Haruhi was going to start something.
context: After all, you never know how a match is going to turn out. They still have hope. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\Right. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\Next, stepping up to the batter's box we have number four, Kashima, a senior. But I kind of ended up rooting for the losing side.\Next, stepping up to the batter's box we have number four, Kashima, a senior.\Next, stepping up to the batter's box we have number four, Kashima, a senior. Once I did, I kind of got the feeling that Haruhi was going to start something.\Once I did, I kind of got the feeling that Haruhi was going to start something. response:	After last year's summer tournament, he was chosen for the team that went to Cuba. Once I did, I kind of got the feeling that Haruhi was going to start something.
context: I had absolutely no interest in the prefectural baseball game on TV,\Right. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\Next, stepping up to the batter's box we have number four, Kashima, a senior. But I kind of ended up rooting for the losing side.\Next, stepping up to the batter's box we have number four, Kashima, a senior.\Next, stepping up to the batter's box we have number four, Kashima, a senior. Once I did, I kind of got the feeling that Haruhi was going to start something.\Once I did, I kind of got the feeling that Haruhi was going to start something.\After last year's summer tournament, he was chosen for the team that went to Cuba. Once I did, I kind of got the feeling that Haruhi was going to start something. response:	After last year's summer tournament, he was chosen for the team that went to Cuba.
context: Right. I had absolutely no interest in the prefectural baseball game on TV,\I had absolutely no interest in the prefectural baseball game on TV,\Next, stepping up to the batter's box we have number four, Kashima, a senior. But I kind of ended up rooting for the losing side.\Next, stepping up to the batter's box we have number four, Kashima, a senior.\Next, stepping up to the batter's box we have number four, Kashima, a senior. Once I did, I kind of got the feeling that Haruhi was going to start something.\Once I did, I kind of got the feeling that Haruhi was going to start something.\After last year's summer tournament, he was chosen for the team that went to Cuba. Once I did, I kind of got the feeling that Haruhi was going to start something.\After last year's summer tournament, he was chosen for the team that went to Cuba. response:	In the fourth inning, he hit a three-run home run.
context: I had absolutely no interest in the prefectural baseball game on TV,\Next, stepping up to the batter's box we have number four, Kashima, a senior. But I kind of ended up rooting for the losing side.\Next, stepping up to the batter's box we have number four, Kashima, a senior.\Next, stepping up to the batter's box we have number four, Kashima, a senior. Once I did, I kind of got the feeling that Haruhi was going to start something.\Once I did, I kind of got the feeling that Haruhi was going to start something.\After last year's summer tournament, he was chosen for the team that went to Cuba. Once I did, I kind of got the feeling that Haruhi was going to start something.\After last year's summer tournament, he was chosen for the team that went to Cuba.\In the fourth inning, he hit a three-run home run. response:	In the fourth inning, he hit a three-run home run. Incoming call: Haruhi Suzumiya
context: Next, stepping up to the batter's box we have number four, Kashima, a senior. But I kind of ended up rooting for the losing side.\Next, stepping up to the batter's box we have number four, Kashima, a senior.\Next, stepping up to the batter's box we have number four, Kashima, a senior. Once I did, I kind of got the feeling that Haruhi was going to start something.\Once I did, I kind of got the feeling that Haruhi was going to start something.\After last year's summer tournament, he was chosen for the team that went to Cuba. Once I did, I kind of got the feeling that Haruhi was going to start something.\After last year's summer tournament, he was chosen for the team that went to Cuba.\In the fourth inning, he hit a three-run home run.\In the fourth inning, he hit a three-run home run. Incoming call: Haruhi Suzumiya response:	In the fourth inning, he hit a three-run home run.
context: Next, stepping up to the batter's box we have number four, Kashima, a senior.\Next, stepping up to the batter's box we have number four, Kashima, a senior. Once I did, I kind of got the feeling that Haruhi was going to start something.\Once I did, I kind of got the feeling that Haruhi was going to start something.\After last year's summer tournament, he was chosen for the team that went to Cuba. Once I did, I kind of got the feeling that Haruhi was going to start something.\After last year's summer tournament, he was chosen for the team that went to Cuba.\In the fourth inning, he hit a three-run home run.\In the fourth inning, he hit a three-run home run. Incoming call: Haruhi Suzumiya\In the fourth inning, he hit a three-run home run. response:	What does she want?
context: Next, stepping up to the batter's box we have number four, Kashima, a senior. Once I did, I kind of got the feeling that Haruhi was going to start something.\Once I did, I kind of got the feeling that Haruhi was going to start something.\After last year's summer tournament, he was chosen for the team that went to Cuba. Once I did, I kind of got the feeling that Haruhi was going to start something.\After last year's summer tournament, he was chosen for the team that went to Cuba.\In the fourth inning, he hit a three-run home run.\In the fourth inning, he hit a three-run home run. Incoming call: Haruhi Suzumiya\In the fourth inning, he hit a three-run home run.\What does she want? response:	Kyon, the phone's ringing.
context: Once I did, I kind of got the feeling that Haruhi was going to start something.\After last year's summer tournament, he was chosen for the team that went to Cuba. Once I did, I kind of got the feeling that Haruhi was going to start something.\After last year's summer tournament, he was chosen for the team that went to Cuba.\In the fourth inning, he hit a three-run home run.\In the fourth inning, he hit a three-run home run. Incoming call: Haruhi Suzumiya\In the fourth inning, he hit a three-run home run.\What does she want?\Kyon, the phone's ringing. response:	I know, you don't have to tell me.
context: After last year's summer tournament, he was chosen for the team that went to Cuba. Once I did, I kind of got the feeling that Haruhi was going to start something.\After last year's summer tournament, he was chosen for the team that went to Cuba.\In the fourth inning, he hit a three-run home run.\In the fourth inning, he hit a three-run home run. Incoming call: Haruhi Suzumiya\In the fourth inning, he hit a three-run home run.\What does she want?\Kyon, the phone's ringing.\I know, you don't have to tell me. response:	You're not doing anything today, right?
context: After last year's summer tournament, he was chosen for the team that went to Cuba.\In the fourth inning, he hit a three-run home run.\In the fourth inning, he hit a three-run home run. Incoming call: Haruhi Suzumiya\In the fourth inning, he hit a three-run home run.\What does she want?\Kyon, the phone's ringing.\I know, you don't have to tell me.\You're not doing anything today, right? response:	And there's Suzuki with a big windup... We're all meeting at exactly two o'clock in front of the station.
context: In the fourth inning, he hit a three-run home run.\In the fourth inning, he hit a three-run home run. Incoming call: Haruhi Suzumiya\In the fourth inning, he hit a three-run home run.\What does she want?\Kyon, the phone's ringing.\I know, you don't have to tell me.\You're not doing anything today, right?\And there's Suzuki with a big windup... We're all meeting at exactly two o'clock in front of the station. response:	Be sure to show up.
context: In the fourth inning, he hit a three-run home run. Incoming call: Haruhi Suzumiya\In the fourth inning, he hit a three-run home run.\What does she want?\Kyon, the phone's ringing.\I know, you don't have to tell me.\You're not doing anything today, right?\And there's Suzuki with a big windup... We're all meeting at exactly two o'clock in front of the station.\Be sure to show up. response:	And the first pitch is a strike. No problems there. Be sure to show up.
context: In the fourth inning, he hit a three-run home run.\What does she want?\Kyon, the phone's ringing.\I know, you don't have to tell me.\You're not doing anything today, right?\And there's Suzuki with a big windup... We're all meeting at exactly two o'clock in front of the station.\Be sure to show up.\And the first pitch is a strike. No problems there. Be sure to show up. response:	And the first pitch is a strike. No problems there.
context: What does she want?\Kyon, the phone's ringing.\I know, you don't have to tell me.\You're not doing anything today, right?\And there's Suzuki with a big windup... We're all meeting at exactly two o'clock in front of the station.\Be sure to show up.\And the first pitch is a strike. No problems there. Be sure to show up.\And the first pitch is a strike. No problems there. response:	And the first pitch is a strike. No problems there. I didn't even say anything...
context: Kyon, the phone's ringing.\I know, you don't have to tell me.\You're not doing anything today, right?\And there's Suzuki with a big windup... We're all meeting at exactly two o'clock in front of the station.\Be sure to show up.\And the first pitch is a strike. No problems there. Be sure to show up.\And the first pitch is a strike. No problems there.\And the first pitch is a strike. No problems there. I didn't even say anything... response:	I didn't even say anything...
context: I know, you don't have to tell me.\You're not doing anything today, right?\And there's Suzuki with a big windup... We're all meeting at exactly two o'clock in front of the station.\Be sure to show up.\And the first pitch is a strike. No problems there. Be sure to show up.\And the first pitch is a strike. No problems there.\And the first pitch is a strike. No problems there. I didn't even say anything...\I didn't even say anything... response:	That was a good pitch.
context: You're not doing anything today, right?\And there's Suzuki with a big windup... We're all meeting at exactly two o'clock in front of the station.\Be sure to show up.\And the first pitch is a strike. No problems there. Be sure to show up.\And the first pitch is a strike. No problems there.\And the first pitch is a strike. No problems there. I didn't even say anything...\I didn't even say anything...\That was a good pitch. response:	That was a strong, straight pitch, thrown a little high and inside.
context: And there's Suzuki with a big windup... We're all meeting at exactly two o'clock in front of the station.\Be sure to show up.\And the first pitch is a strike. No problems there. Be sure to show up.\And the first pitch is a strike. No problems there.\And the first pitch is a strike. No problems there. I didn't even say anything...\I didn't even say anything...\That was a good pitch.\That was a strong, straight pitch, thrown a little high and inside. response:	That was a strong, straight pitch, thrown a little high and inside. What?
context: Be sure to show up.\And the first pitch is a strike. No problems there. Be sure to show up.\And the first pitch is a strike. No problems there.\And the first pitch is a strike. No problems there. I didn't even say anything...\I didn't even say anything...\That was a good pitch.\That was a strong, straight pitch, thrown a little high and inside.\That was a strong, straight pitch, thrown a little high and inside. What? response:	That was a strong, straight pitch, thrown a little high and inside.
context: And the first pitch is a strike. No problems there. Be sure to show up.\And the first pitch is a strike. No problems there.\And the first pitch is a strike. No problems there. I didn't even say anything...\I didn't even say anything...\That was a good pitch.\That was a strong, straight pitch, thrown a little high and inside.\That was a strong, straight pitch, thrown a little high and inside. What?\That was a strong, straight pitch, thrown a little high and inside. response:	That was a strong, straight pitch, thrown a little high and inside. I forgot to mention this - bring a swimsuit and plenty of money.
context: And the first pitch is a strike. No problems there.\And the first pitch is a strike. No problems there. I didn't even say anything...\I didn't even say anything...\That was a good pitch.\That was a strong, straight pitch, thrown a little high and inside.\That was a strong, straight pitch, thrown a little high and inside. What?\That was a strong, straight pitch, thrown a little high and inside.\That was a strong, straight pitch, thrown a little high and inside. I forgot to mention this - bring a swimsuit and plenty of money. response:	Perhaps he feels like he's got nothing left to lose. I forgot to mention this - bring a swimsuit and plenty of money.
context: And the first pitch is a strike. No problems there. I didn't even say anything...\I didn't even say anything...\That was a good pitch.\That was a strong, straight pitch, thrown a little high and inside.\That was a strong, straight pitch, thrown a little high and inside. What?\That was a strong, straight pitch, thrown a little high and inside.\That was a strong, straight pitch, thrown a little high and inside. I forgot to mention this - bring a swimsuit and plenty of money.\Perhaps he feels like he's got nothing left to lose. I forgot to mention this - bring a swimsuit and plenty of money. response:	I forgot to mention this - bring a swimsuit and plenty of money.
context: I didn't even say anything...\That was a good pitch.\That was a strong, straight pitch, thrown a little high and inside.\That was a strong, straight pitch, thrown a little high and inside. What?\That was a strong, straight pitch, thrown a little high and inside.\That was a strong, straight pitch, thrown a little high and inside. I forgot to mention this - bring a swimsuit and plenty of money.\Perhaps he feels like he's got nothing left to lose. I forgot to mention this - bring a swimsuit and plenty of money.\I forgot to mention this - bring a swimsuit and plenty of money. response:	We don't know that yet. And be sure to bring your bike. That's all, over and out!
context: That was a good pitch.\That was a strong, straight pitch, thrown a little high and inside.\That was a strong, straight pitch, thrown a little high and inside. What?\That was a strong, straight pitch, thrown a little high and inside.\That was a strong, straight pitch, thrown a little high and inside. I forgot to mention this - bring a swimsuit and plenty of money.\Perhaps he feels like he's got nothing left to lose. I forgot to mention this - bring a swimsuit and plenty of money.\I forgot to mention this - bring a swimsuit and plenty of money.\We don't know that yet. And be sure to bring your bike. That's all, over and out! response:	I had the feeling that I knew what Haruhi was going to say.
context: That was a strong, straight pitch, thrown a little high and inside.\That was a strong, straight pitch, thrown a little high and inside. What?\That was a strong, straight pitch, thrown a little high and inside.\That was a strong, straight pitch, thrown a little high and inside. I forgot to mention this - bring a swimsuit and plenty of money.\Perhaps he feels like he's got nothing left to lose. I forgot to mention this - bring a swimsuit and plenty of money.\I forgot to mention this - bring a swimsuit and plenty of money.\We don't know that yet. And be sure to bring your bike. That's all, over and out!\I had the feeling that I knew what Haruhi was going to say. response:	He winds up for the second pitch... I had the feeling that I knew what Haruhi was going to say.
context: That was a strong, straight pitch, thrown a little high and inside. What?\That was a strong, straight pitch, thrown a little high and inside.\That was a strong, straight pitch, thrown a little high and inside. I forgot to mention this - bring a swimsuit and plenty of money.\Perhaps he feels like he's got nothing left to lose. I forgot to mention this - bring a swimsuit and plenty of money.\I forgot to mention this - bring a swimsuit and plenty of money.\We don't know that yet. And be sure to bring your bike. That's all, over and out!\I had the feeling that I knew what Haruhi was going to say.\He winds up for the second pitch... I had the feeling that I knew what Haruhi was going to say. response:	I had the feeling that I knew what Haruhi was going to say.
context: That was a strong, straight pitch, thrown a little high and inside.\That was a strong, straight pitch, thrown a little high and inside. I forgot to mention this - bring a swimsuit and plenty of money.\Perhaps he feels like he's got nothing left to lose. I forgot to mention this - bring a swimsuit and plenty of money.\I forgot to mention this - bring a swimsuit and plenty of money.\We don't know that yet. And be sure to bring your bike. That's all, over and out!\I had the feeling that I knew what Haruhi was going to say.\He winds up for the second pitch... I had the feeling that I knew what Haruhi was going to say.\I had the feeling that I knew what Haruhi was going to say. response:	It's a hit! And it's a big one! It's headed for left field... I had the feeling that I knew what Haruhi was going to say.
context: That was a strong, straight pitch, thrown a little high and inside. I forgot to mention this - bring a swimsuit and plenty of money.\Perhaps he feels like he's got nothing left to lose. I forgot to mention this - bring a swimsuit and plenty of money.\I forgot to mention this - bring a swimsuit and plenty of money.\We don't know that yet. And be sure to bring your bike. That's all, over and out!\I had the feeling that I knew what Haruhi was going to say.\He winds up for the second pitch... I had the feeling that I knew what Haruhi was going to say.\I had the feeling that I knew what Haruhi was going to say.\It's a hit! And it's a big one! It's headed for left field... I had the feeling that I knew what Haruhi was going to say. response:	It's a hit! And it's a big one! It's headed for left field...
context: Perhaps he feels like he's got nothing left to lose. I forgot to mention this - bring a swimsuit and plenty of money.\I forgot to mention this - bring a swimsuit and plenty of money.\We don't know that yet. And be sure to bring your bike. That's all, over and out!\I had the feeling that I knew what Haruhi was going to say.\He winds up for the second pitch... I had the feeling that I knew what Haruhi was going to say.\I had the feeling that I knew what Haruhi was going to say.\It's a hit! And it's a big one! It's headed for left field... I had the feeling that I knew what Haruhi was going to say.\It's a hit! And it's a big one! It's headed for left field... response:	It's a hit! And it's a big one! It's headed for left field... No, not quite.
context: I forgot to mention this - bring a swimsuit and plenty of money.\We don't know that yet. And be sure to bring your bike. That's all, over and out!\I had the feeling that I knew what Haruhi was going to say.\He winds up for the second pitch... I had the feeling that I knew what Haruhi was going to say.\I had the feeling that I knew what Haruhi was going to say.\It's a hit! And it's a big one! It's headed for left field... I had the feeling that I knew what Haruhi was going to say.\It's a hit! And it's a big one! It's headed for left field...\It's a hit! And it's a big one! It's headed for left field... No, not quite. response:	It's a hit! And it's a big one! It's headed for left field...
context: We don't know that yet. And be sure to bring your bike. That's all, over and out!\I had the feeling that I knew what Haruhi was going to say.\He winds up for the second pitch... I had the feeling that I knew what Haruhi was going to say.\I had the feeling that I knew what Haruhi was going to say.\It's a hit! And it's a big one! It's headed for left field... I had the feeling that I knew what Haruhi was going to say.\It's a hit! And it's a big one! It's headed for left field...\It's a hit! And it's a big one! It's headed for left field... No, not quite.\It's a hit! And it's a big one! It's headed for left field... response:	It's a hit! And it's a big one! It's headed for left field... To be precise, it felt like this exact same conversation had happened before.
context: I had the feeling that I knew what Haruhi was going to say.\He winds up for the second pitch... I had the feeling that I knew what Haruhi was going to say.\I had the feeling that I knew what Haruhi was going to say.\It's a hit! And it's a big one! It's headed for left field... I had the feeling that I knew what Haruhi was going to say.\It's a hit! And it's a big one! It's headed for left field...\It's a hit! And it's a big one! It's headed for left field... No, not quite.\It's a hit! And it's a big one! It's headed for left field...\It's a hit! And it's a big one! It's headed for left field... To be precise, it felt like this exact same conversation had happened before. response:	To be precise, it felt like this exact same conversation had happened before.
context: He winds up for the second pitch... I had the feeling that I knew what Haruhi was going to say.\I had the feeling that I knew what Haruhi was going to say.\It's a hit! And it's a big one! It's headed for left field... I had the feeling that I knew what Haruhi was going to say.\It's a hit! And it's a big one! It's headed for left field...\It's a hit! And it's a big one! It's headed for left field... No, not quite.\It's a hit! And it's a big one! It's headed for left field...\It's a hit! And it's a big one! It's headed for left field... To be precise, it felt like this exact same conversation had happened before.\To be precise, it felt like this exact same conversation had happened before. response:	And it's good! It's a single-run home run! To be precise, it felt like this exact same conversation had happened before.
context: I had the feeling that I knew what Haruhi was going to say.\It's a hit! And it's a big one! It's headed for left field... I had the feeling that I knew what Haruhi was going to say.\It's a hit! And it's a big one! It's headed for left field...\It's a hit! And it's a big one! It's headed for left field... No, not quite.\It's a hit! And it's a big one! It's headed for left field...\It's a hit! And it's a big one! It's headed for left field... To be precise, it felt like this exact same conversation had happened before.\To be precise, it felt like this exact same conversation had happened before.\And it's good! It's a single-run home run! To be precise, it felt like this exact same conversation had happened before. response:	And it's good! It's a single-run home run!
context: It's a hit! And it's a big one! It's headed for left field... I had the feeling that I knew what Haruhi was going to say.\It's a hit! And it's a big one! It's headed for left field...\It's a hit! And it's a big one! It's headed for left field... No, not quite.\It's a hit! And it's a big one! It's headed for left field...\It's a hit! And it's a big one! It's headed for left field... To be precise, it felt like this exact same conversation had happened before.\To be precise, it felt like this exact same conversation had happened before.\And it's good! It's a single-run home run! To be precise, it felt like this exact same conversation had happened before.\And it's good! It's a single-run home run! response:	And it's good! It's a single-run home run! I guess it's what you would call deja vu.
context: It's a hit! And it's a big one! It's headed for left field...\It's a hit! And it's a big one! It's headed for left field... No, not quite.\It's a hit! And it's a big one! It's headed for left field...\It's a hit! And it's a big one! It's headed for left field... To be precise, it felt like this exact same conversation had happened before.\To be precise, it felt like this exact same conversation had happened before.\And it's good! It's a single-run home run! To be precise, it felt like this exact same conversation had happened before.\And it's good! It's a single-run home run!\And it's good! It's a single-run home run! I guess it's what you would call deja vu. response:	Jyonan has gotten their eighth run! This gives them yet another point. I guess it's what you would call deja vu.
context: It's a hit! And it's a big one! It's headed for left field... No, not quite.\It's a hit! And it's a big one! It's headed for left field...\It's a hit! And it's a big one! It's headed for left field... To be precise, it felt like this exact same conversation had happened before.\To be precise, it felt like this exact same conversation had happened before.\And it's good! It's a single-run home run! To be precise, it felt like this exact same conversation had happened before.\And it's good! It's a single-run home run!\And it's good! It's a single-run home run! I guess it's what you would call deja vu.\Jyonan has gotten their eighth run! This gives them yet another point. I guess it's what you would call deja vu. response:	Jyonan has gotten their eighth run! This gives them yet another point.
context: It's a hit! And it's a big one! It's headed for left field...\It's a hit! And it's a big one! It's headed for left field... To be precise, it felt like this exact same conversation had happened before.\To be precise, it felt like this exact same conversation had happened before.\And it's good! It's a single-run home run! To be precise, it felt like this exact same conversation had happened before.\And it's good! It's a single-run home run!\And it's good! It's a single-run home run! I guess it's what you would call deja vu.\Jyonan has gotten their eighth run! This gives them yet another point. I guess it's what you would call deja vu.\Jyonan has gotten their eighth run! This gives them yet another point. response:	Kashima is slowly rounding third base. Summer's almost over.
context: It's a hit! And it's a big one! It's headed for left field... To be precise, it felt like this exact same conversation had happened before.\To be precise, it felt like this exact same conversation had happened before.\And it's good! It's a single-run home run! To be precise, it felt like this exact same conversation had happened before.\And it's good! It's a single-run home run!\And it's good! It's a single-run home run! I guess it's what you would call deja vu.\Jyonan has gotten their eighth run! This gives them yet another point. I guess it's what you would call deja vu.\Jyonan has gotten their eighth run! This gives them yet another point.\Kashima is slowly rounding third base. Summer's almost over. response:	DAY BY DAY unzari dayone dakara Day by day, everything's just so dull
context: To be precise, it felt like this exact same conversation had happened before.\And it's good! It's a single-run home run! To be precise, it felt like this exact same conversation had happened before.\And it's good! It's a single-run home run!\And it's good! It's a single-run home run! I guess it's what you would call deja vu.\Jyonan has gotten their eighth run! This gives them yet another point. I guess it's what you would call deja vu.\Jyonan has gotten their eighth run! This gives them yet another point.\Kashima is slowly rounding third base. Summer's almost over.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull response:	Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all
context: And it's good! It's a single-run home run! To be precise, it felt like this exact same conversation had happened before.\And it's good! It's a single-run home run!\And it's good! It's a single-run home run! I guess it's what you would call deja vu.\Jyonan has gotten their eighth run! This gives them yet another point. I guess it's what you would call deja vu.\Jyonan has gotten their eighth run! This gives them yet another point.\Kashima is slowly rounding third base. Summer's almost over.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all response:	OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive
context: And it's good! It's a single-run home run!\And it's good! It's a single-run home run! I guess it's what you would call deja vu.\Jyonan has gotten their eighth run! This gives them yet another point. I guess it's what you would call deja vu.\Jyonan has gotten their eighth run! This gives them yet another point.\Kashima is slowly rounding third base. Summer's almost over.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive response:	Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world
context: And it's good! It's a single-run home run! I guess it's what you would call deja vu.\Jyonan has gotten their eighth run! This gives them yet another point. I guess it's what you would call deja vu.\Jyonan has gotten their eighth run! This gives them yet another point.\Kashima is slowly rounding third base. Summer's almost over.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world response:	Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me
context: Jyonan has gotten their eighth run! This gives them yet another point. I guess it's what you would call deja vu.\Jyonan has gotten their eighth run! This gives them yet another point.\Kashima is slowly rounding third base. Summer's almost over.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me response:	Kudaranai yarikara kette Kick away the boring ways of doing things,
context: Jyonan has gotten their eighth run! This gives them yet another point.\Kashima is slowly rounding third base. Summer's almost over.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikara kette Kick away the boring ways of doing things, response:	subete wa atashi ga kimeru I'm going to decide everything
