context: Once, there was a Hero King response:	who brought peace to the world.
context: demons and dangerous wild animals.\The people lived in hiding to\Recollection: The Story of the Hero and the Princess\escape these natural threats.\the princess of Pastillage, back when it was still a monarchy.\the Hero Princess Clarifier.\Fi!\But the Hero who she summoned was a noble girl response:	who'd been locked up in a corner of the French countryside,
context: The people lived in hiding to\Recollection: The Story of the Hero and the Princess\escape these natural threats.\the princess of Pastillage, back when it was still a monarchy.\the Hero Princess Clarifier.\Fi!\But the Hero who she summoned was a noble girl\who'd been locked up in a corner of the French countryside, response:	with problems of her own.
context: Recollection: The Story of the Hero and the Princess\escape these natural threats.\the princess of Pastillage, back when it was still a monarchy.\the Hero Princess Clarifier.\Fi!\But the Hero who she summoned was a noble girl\who'd been locked up in a corner of the French countryside,\with problems of her own. response:	Well, that was me.
context: escape these natural threats.\the princess of Pastillage, back when it was still a monarchy.\the Hero Princess Clarifier.\Fi!\But the Hero who she summoned was a noble girl\who'd been locked up in a corner of the French countryside,\with problems of her own.\Well, that was me. response:	I was surprised, and uncertain, but...
context: the princess of Pastillage, back when it was still a monarchy.\the Hero Princess Clarifier.\Fi!\But the Hero who she summoned was a noble girl\who'd been locked up in a corner of the French countryside,\with problems of her own.\Well, that was me.\I was surprised, and uncertain, but... response:	You're the Hero Adelaide-sama, yes?
context: the Hero Princess Clarifier.\Fi!\But the Hero who she summoned was a noble girl\who'd been locked up in a corner of the French countryside,\with problems of her own.\Well, that was me.\I was surprised, and uncertain, but...\You're the Hero Adelaide-sama, yes? response:	Thank you for coming.
context: Fi!\But the Hero who she summoned was a noble girl\who'd been locked up in a corner of the French countryside,\with problems of her own.\Well, that was me.\I was surprised, and uncertain, but...\You're the Hero Adelaide-sama, yes?\Thank you for coming. response:	I am the ruler of the Kingdom of Pastillage,
context: But the Hero who she summoned was a noble girl\who'd been locked up in a corner of the French countryside,\with problems of her own.\Well, that was me.\I was surprised, and uncertain, but...\You're the Hero Adelaide-sama, yes?\Thank you for coming.\I am the ruler of the Kingdom of Pastillage, response:	Clarifier.
context: who'd been locked up in a corner of the French countryside,\with problems of her own.\Well, that was me.\I was surprised, and uncertain, but...\You're the Hero Adelaide-sama, yes?\Thank you for coming.\I am the ruler of the Kingdom of Pastillage,\Clarifier. response:	And so I was taken to the castle.
context: with problems of her own.\Well, that was me.\I was surprised, and uncertain, but...\You're the Hero Adelaide-sama, yes?\Thank you for coming.\I am the ruler of the Kingdom of Pastillage,\Clarifier.\And so I was taken to the castle. response:	There are many dangerous demons in the world,
context: Well, that was me.\I was surprised, and uncertain, but...\You're the Hero Adelaide-sama, yes?\Thank you for coming.\I am the ruler of the Kingdom of Pastillage,\Clarifier.\And so I was taken to the castle.\There are many dangerous demons in the world, response:	and the people cannot live their lives in safety.
context: I was surprised, and uncertain, but...\You're the Hero Adelaide-sama, yes?\Thank you for coming.\I am the ruler of the Kingdom of Pastillage,\Clarifier.\And so I was taken to the castle.\There are many dangerous demons in the world,\and the people cannot live their lives in safety. response:	It's dangerous even to travel on the roads,
context: You're the Hero Adelaide-sama, yes?\Thank you for coming.\I am the ruler of the Kingdom of Pastillage,\Clarifier.\And so I was taken to the castle.\There are many dangerous demons in the world,\and the people cannot live their lives in safety.\It's dangerous even to travel on the roads, response:	so the different countries
context: Thank you for coming.\I am the ruler of the Kingdom of Pastillage,\Clarifier.\And so I was taken to the castle.\There are many dangerous demons in the world,\and the people cannot live their lives in safety.\It's dangerous even to travel on the roads,\so the different countries response:	don't interact that much.
context: I am the ruler of the Kingdom of Pastillage,\Clarifier.\And so I was taken to the castle.\There are many dangerous demons in the world,\and the people cannot live their lives in safety.\It's dangerous even to travel on the roads,\so the different countries\don't interact that much. response:	I want to make this a
context: Clarifier.\And so I was taken to the castle.\There are many dangerous demons in the world,\and the people cannot live their lives in safety.\It's dangerous even to travel on the roads,\so the different countries\don't interact that much.\I want to make this a response:	better world for people to live in!
context: And so I was taken to the castle.\There are many dangerous demons in the world,\and the people cannot live their lives in safety.\It's dangerous even to travel on the roads,\so the different countries\don't interact that much.\I want to make this a\better world for people to live in! response:	I want to exterminate a lot of
context: There are many dangerous demons in the world,\and the people cannot live their lives in safety.\It's dangerous even to travel on the roads,\so the different countries\don't interact that much.\I want to make this a\better world for people to live in!\I want to exterminate a lot of response:	the demons to make our world bigger!
context: and the people cannot live their lives in safety.\It's dangerous even to travel on the roads,\so the different countries\don't interact that much.\I want to make this a\better world for people to live in!\I want to exterminate a lot of\the demons to make our world bigger! response:	Of course, I can't force the people and soldiers to do that.
context: It's dangerous even to travel on the roads,\so the different countries\don't interact that much.\I want to make this a\better world for people to live in!\I want to exterminate a lot of\the demons to make our world bigger!\Of course, I can't force the people and soldiers to do that. response:	And I don't think I should.
context: so the different countries\don't interact that much.\I want to make this a\better world for people to live in!\I want to exterminate a lot of\the demons to make our world bigger!\Of course, I can't force the people and soldiers to do that.\And I don't think I should. response:	So I'm planning on going on a trip to kill the demons!
context: don't interact that much.\I want to make this a\better world for people to live in!\I want to exterminate a lot of\the demons to make our world bigger!\Of course, I can't force the people and soldiers to do that.\And I don't think I should.\So I'm planning on going on a trip to kill the demons! response:	You, personally?
context: I want to make this a\better world for people to live in!\I want to exterminate a lot of\the demons to make our world bigger!\Of course, I can't force the people and soldiers to do that.\And I don't think I should.\So I'm planning on going on a trip to kill the demons!\You, personally? response:	That's right!
context: better world for people to live in!\I want to exterminate a lot of\the demons to make our world bigger!\Of course, I can't force the people and soldiers to do that.\And I don't think I should.\So I'm planning on going on a trip to kill the demons!\You, personally?\That's right! response:	I want you to come with me, Hero.
context: I want to exterminate a lot of\the demons to make our world bigger!\Of course, I can't force the people and soldiers to do that.\And I don't think I should.\So I'm planning on going on a trip to kill the demons!\You, personally?\That's right!\I want you to come with me, Hero. response:	I've never fought any demons,
context: the demons to make our world bigger!\Of course, I can't force the people and soldiers to do that.\And I don't think I should.\So I'm planning on going on a trip to kill the demons!\You, personally?\That's right!\I want you to come with me, Hero.\I've never fought any demons, response:	so I don't know if I can help.
context: Of course, I can't force the people and soldiers to do that.\And I don't think I should.\So I'm planning on going on a trip to kill the demons!\You, personally?\That's right!\I want you to come with me, Hero.\I've never fought any demons,\so I don't know if I can help. response:	It'll be fine!
context: And I don't think I should.\So I'm planning on going on a trip to kill the demons!\You, personally?\That's right!\I want you to come with me, Hero.\I've never fought any demons,\so I don't know if I can help.\It'll be fine! response:	Pastillage has a divine weapon passed down through the generations, Gran Mars.
context: So I'm planning on going on a trip to kill the demons!\You, personally?\That's right!\I want you to come with me, Hero.\I've never fought any demons,\so I don't know if I can help.\It'll be fine!\Pastillage has a divine weapon passed down through the generations, Gran Mars. response:	You're the Hero, so you should be able to use it.
context: You, personally?\That's right!\I want you to come with me, Hero.\I've never fought any demons,\so I don't know if I can help.\It'll be fine!\Pastillage has a divine weapon passed down through the generations, Gran Mars.\You're the Hero, so you should be able to use it. response:	I'm not sure I understand how it works,
context: That's right!\I want you to come with me, Hero.\I've never fought any demons,\so I don't know if I can help.\It'll be fine!\Pastillage has a divine weapon passed down through the generations, Gran Mars.\You're the Hero, so you should be able to use it.\I'm not sure I understand how it works, response:	but this gun is amazing.
context: I want you to come with me, Hero.\I've never fought any demons,\so I don't know if I can help.\It'll be fine!\Pastillage has a divine weapon passed down through the generations, Gran Mars.\You're the Hero, so you should be able to use it.\I'm not sure I understand how it works,\but this gun is amazing. response:	Let's get our guardian equipment ready to go, too!
context: I've never fought any demons,\so I don't know if I can help.\It'll be fine!\Pastillage has a divine weapon passed down through the generations, Gran Mars.\You're the Hero, so you should be able to use it.\I'm not sure I understand how it works,\but this gun is amazing.\Let's get our guardian equipment ready to go, too! response:	R-Right!
context: so I don't know if I can help.\It'll be fine!\Pastillage has a divine weapon passed down through the generations, Gran Mars.\You're the Hero, so you should be able to use it.\I'm not sure I understand how it works,\but this gun is amazing.\Let's get our guardian equipment ready to go, too!\R-Right! response:	With this equipment
context: It'll be fine!\Pastillage has a divine weapon passed down through the generations, Gran Mars.\You're the Hero, so you should be able to use it.\I'm not sure I understand how it works,\but this gun is amazing.\Let's get our guardian equipment ready to go, too!\R-Right!\With this equipment response:	you won't be hurt that easily.
context: Pastillage has a divine weapon passed down through the generations, Gran Mars.\You're the Hero, so you should be able to use it.\I'm not sure I understand how it works,\but this gun is amazing.\Let's get our guardian equipment ready to go, too!\R-Right!\With this equipment\you won't be hurt that easily. response:	Th-This looks kind of cool, maybe.
context: You're the Hero, so you should be able to use it.\I'm not sure I understand how it works,\but this gun is amazing.\Let's get our guardian equipment ready to go, too!\R-Right!\With this equipment\you won't be hurt that easily.\Th-This looks kind of cool, maybe. response:	Let's start going through the area around the castle, little by little.
context: I'm not sure I understand how it works,\but this gun is amazing.\Let's get our guardian equipment ready to go, too!\R-Right!\With this equipment\you won't be hurt that easily.\Th-This looks kind of cool, maybe.\Let's start going through the area around the castle, little by little. response:	Fi, are you really going?
context: but this gun is amazing.\Let's get our guardian equipment ready to go, too!\R-Right!\With this equipment\you won't be hurt that easily.\Th-This looks kind of cool, maybe.\Let's start going through the area around the castle, little by little.\Fi, are you really going? response:	Valerie...
context: Let's get our guardian equipment ready to go, too!\R-Right!\With this equipment\you won't be hurt that easily.\Th-This looks kind of cool, maybe.\Let's start going through the area around the castle, little by little.\Fi, are you really going?\Valerie... response:	Yes, I am!
context: R-Right!\With this equipment\you won't be hurt that easily.\Th-This looks kind of cool, maybe.\Let's start going through the area around the castle, little by little.\Fi, are you really going?\Valerie...\Yes, I am! response:	I've tried to stop you a lot of times already.
context: With this equipment\you won't be hurt that easily.\Th-This looks kind of cool, maybe.\Let's start going through the area around the castle, little by little.\Fi, are you really going?\Valerie...\Yes, I am!\I've tried to stop you a lot of times already. response:	I've told you to give up on fighting the demons.
context: you won't be hurt that easily.\Th-This looks kind of cool, maybe.\Let's start going through the area around the castle, little by little.\Fi, are you really going?\Valerie...\Yes, I am!\I've tried to stop you a lot of times already.\I've told you to give up on fighting the demons. response:	I know.
context: Th-This looks kind of cool, maybe.\Let's start going through the area around the castle, little by little.\Fi, are you really going?\Valerie...\Yes, I am!\I've tried to stop you a lot of times already.\I've told you to give up on fighting the demons.\I know. response:	But even so, this is what I want to do.
context: Let's start going through the area around the castle, little by little.\Fi, are you really going?\Valerie...\Yes, I am!\I've tried to stop you a lot of times already.\I've told you to give up on fighting the demons.\I know.\But even so, this is what I want to do. response:	Hero, do you know Valerie?
context: Fi, are you really going?\Valerie...\Yes, I am!\I've tried to stop you a lot of times already.\I've told you to give up on fighting the demons.\I know.\But even so, this is what I want to do.\Hero, do you know Valerie? response:	The first day I came here, he peeked on me when I was in the bath!
context: Valerie...\Yes, I am!\I've tried to stop you a lot of times already.\I've told you to give up on fighting the demons.\I know.\But even so, this is what I want to do.\Hero, do you know Valerie?\The first day I came here, he peeked on me when I was in the bath! response:	That's not how it happened!
context: Yes, I am!\I've tried to stop you a lot of times already.\I've told you to give up on fighting the demons.\I know.\But even so, this is what I want to do.\Hero, do you know Valerie?\The first day I came here, he peeked on me when I was in the bath!\That's not how it happened! response:	You just happened to be in there during my bath time!
context: I've tried to stop you a lot of times already.\I've told you to give up on fighting the demons.\I know.\But even so, this is what I want to do.\Hero, do you know Valerie?\The first day I came here, he peeked on me when I was in the bath!\That's not how it happened!\You just happened to be in there during my bath time! response:	Who is this guy?
context: I've told you to give up on fighting the demons.\I know.\But even so, this is what I want to do.\Hero, do you know Valerie?\The first day I came here, he peeked on me when I was in the bath!\That's not how it happened!\You just happened to be in there during my bath time!\Who is this guy? response:	My little brother,
context: I know.\But even so, this is what I want to do.\Hero, do you know Valerie?\The first day I came here, he peeked on me when I was in the bath!\That's not how it happened!\You just happened to be in there during my bath time!\Who is this guy?\My little brother, response:	the crown prince.
context: But even so, this is what I want to do.\Hero, do you know Valerie?\The first day I came here, he peeked on me when I was in the bath!\That's not how it happened!\You just happened to be in there during my bath time!\Who is this guy?\My little brother,\the crown prince. response:	Valerie, this is the Hero!
context: Hero, do you know Valerie?\The first day I came here, he peeked on me when I was in the bath!\That's not how it happened!\You just happened to be in there during my bath time!\Who is this guy?\My little brother,\the crown prince.\Valerie, this is the Hero! response:	So she's the Hero, huh?
context: The first day I came here, he peeked on me when I was in the bath!\That's not how it happened!\You just happened to be in there during my bath time!\Who is this guy?\My little brother,\the crown prince.\Valerie, this is the Hero!\So she's the Hero, huh? response:	Well, take good care of my sister.
context: That's not how it happened!\You just happened to be in there during my bath time!\Who is this guy?\My little brother,\the crown prince.\Valerie, this is the Hero!\So she's the Hero, huh?\Well, take good care of my sister. response:	If it gets dangerous, make sure you stop.
context: You just happened to be in there during my bath time!\Who is this guy?\My little brother,\the crown prince.\Valerie, this is the Hero!\So she's the Hero, huh?\Well, take good care of my sister.\If it gets dangerous, make sure you stop. response:	And so their adventure began.
context: Who is this guy?\My little brother,\the crown prince.\Valerie, this is the Hero!\So she's the Hero, huh?\Well, take good care of my sister.\If it gets dangerous, make sure you stop.\And so their adventure began. response:	The Hero Adel and Fi-sama
context: My little brother,\the crown prince.\Valerie, this is the Hero!\So she's the Hero, huh?\Well, take good care of my sister.\If it gets dangerous, make sure you stop.\And so their adventure began.\The Hero Adel and Fi-sama response:	set off all ready to go, but...
context: the crown prince.\Valerie, this is the Hero!\So she's the Hero, huh?\Well, take good care of my sister.\If it gets dangerous, make sure you stop.\And so their adventure began.\The Hero Adel and Fi-sama\set off all ready to go, but... response:	That's them! The demons!
context: Valerie, this is the Hero!\So she's the Hero, huh?\Well, take good care of my sister.\If it gets dangerous, make sure you stop.\And so their adventure began.\The Hero Adel and Fi-sama\set off all ready to go, but...\That's them! The demons! response:	Oh my, they're cute!
context: So she's the Hero, huh?\Well, take good care of my sister.\If it gets dangerous, make sure you stop.\And so their adventure began.\The Hero Adel and Fi-sama\set off all ready to go, but...\That's them! The demons!\Oh my, they're cute! response:	My clothes!
context: Well, take good care of my sister.\If it gets dangerous, make sure you stop.\And so their adventure began.\The Hero Adel and Fi-sama\set off all ready to go, but...\That's them! The demons!\Oh my, they're cute!\My clothes! response:	The guardian equipment protected us!
context: If it gets dangerous, make sure you stop.\And so their adventure began.\The Hero Adel and Fi-sama\set off all ready to go, but...\That's them! The demons!\Oh my, they're cute!\My clothes!\The guardian equipment protected us! response:	Once it's all gone, we're in danger!
context: And so their adventure began.\The Hero Adel and Fi-sama\set off all ready to go, but...\That's them! The demons!\Oh my, they're cute!\My clothes!\The guardian equipment protected us!\Once it's all gone, we're in danger! response:	Attack!
context: The Hero Adel and Fi-sama\set off all ready to go, but...\That's them! The demons!\Oh my, they're cute!\My clothes!\The guardian equipment protected us!\Once it's all gone, we're in danger!\Attack! response:	Spirit Magic: Ruby Flare!
context: set off all ready to go, but...\That's them! The demons!\Oh my, they're cute!\My clothes!\The guardian equipment protected us!\Once it's all gone, we're in danger!\Attack!\Spirit Magic: Ruby Flare! response:	We did it!
context: That's them! The demons!\Oh my, they're cute!\My clothes!\The guardian equipment protected us!\Once it's all gone, we're in danger!\Attack!\Spirit Magic: Ruby Flare!\We did it! response:	Okay, we fixed our equipment, now let's fight the demons on the north side!
context: Oh my, they're cute!\My clothes!\The guardian equipment protected us!\Once it's all gone, we're in danger!\Attack!\Spirit Magic: Ruby Flare!\We did it!\Okay, we fixed our equipment, now let's fight the demons on the north side! response:	Okay, Princess!
context: My clothes!\The guardian equipment protected us!\Once it's all gone, we're in danger!\Attack!\Spirit Magic: Ruby Flare!\We did it!\Okay, we fixed our equipment, now let's fight the demons on the north side!\Okay, Princess! response:	H-Hey!
context: The guardian equipment protected us!\Once it's all gone, we're in danger!\Attack!\Spirit Magic: Ruby Flare!\We did it!\Okay, we fixed our equipment, now let's fight the demons on the north side!\Okay, Princess!\H-Hey! response:	We won!
context: Once it's all gone, we're in danger!\Attack!\Spirit Magic: Ruby Flare!\We did it!\Okay, we fixed our equipment, now let's fight the demons on the north side!\Okay, Princess!\H-Hey!\We won! response:	Yeah!
context: Attack!\Spirit Magic: Ruby Flare!\We did it!\Okay, we fixed our equipment, now let's fight the demons on the north side!\Okay, Princess!\H-Hey!\We won!\Yeah! response:	And so, while it was hard at first,
context: Spirit Magic: Ruby Flare!\We did it!\Okay, we fixed our equipment, now let's fight the demons on the north side!\Okay, Princess!\H-Hey!\We won!\Yeah!\And so, while it was hard at first, response:	as we kept going, we got used to fighting the demons
context: We did it!\Okay, we fixed our equipment, now let's fight the demons on the north side!\Okay, Princess!\H-Hey!\We won!\Yeah!\And so, while it was hard at first,\as we kept going, we got used to fighting the demons response:	and we started being able to fight powerful demons, but...
context: Okay, we fixed our equipment, now let's fight the demons on the north side!\Okay, Princess!\H-Hey!\We won!\Yeah!\And so, while it was hard at first,\as we kept going, we got used to fighting the demons\and we started being able to fight powerful demons, but... response:	This demon is strong.
context: Okay, Princess!\H-Hey!\We won!\Yeah!\And so, while it was hard at first,\as we kept going, we got used to fighting the demons\and we started being able to fight powerful demons, but...\This demon is strong. response:	But we can't lose here!
context: H-Hey!\We won!\Yeah!\And so, while it was hard at first,\as we kept going, we got used to fighting the demons\and we started being able to fight powerful demons, but...\This demon is strong.\But we can't lose here! response:	Hina, I'll let you handle this!
context: We won!\Yeah!\And so, while it was hard at first,\as we kept going, we got used to fighting the demons\and we started being able to fight powerful demons, but...\This demon is strong.\But we can't lose here!\Hina, I'll let you handle this! response:	Roger, brother!
context: Yeah!\And so, while it was hard at first,\as we kept going, we got used to fighting the demons\and we started being able to fight powerful demons, but...\This demon is strong.\But we can't lose here!\Hina, I'll let you handle this!\Roger, brother! response:	Tenma Fuumetsu!
context: And so, while it was hard at first,\as we kept going, we got used to fighting the demons\and we started being able to fight powerful demons, but...\This demon is strong.\But we can't lose here!\Hina, I'll let you handle this!\Roger, brother!\Tenma Fuumetsu! response:	Good job, Hina. Well done.
context: as we kept going, we got used to fighting the demons\and we started being able to fight powerful demons, but...\This demon is strong.\But we can't lose here!\Hina, I'll let you handle this!\Roger, brother!\Tenma Fuumetsu!\Good job, Hina. Well done. response:	Yeah.
context: and we started being able to fight powerful demons, but...\This demon is strong.\But we can't lose here!\Hina, I'll let you handle this!\Roger, brother!\Tenma Fuumetsu!\Good job, Hina. Well done.\Yeah. response:	You girls okay?
context: This demon is strong.\But we can't lose here!\Hina, I'll let you handle this!\Roger, brother!\Tenma Fuumetsu!\Good job, Hina. Well done.\Yeah.\You girls okay? response:	Who are you?
context: But we can't lose here!\Hina, I'll let you handle this!\Roger, brother!\Tenma Fuumetsu!\Good job, Hina. Well done.\Yeah.\You girls okay?\Who are you? response:	We just happened to be passing by.
context: Hina, I'll let you handle this!\Roger, brother!\Tenma Fuumetsu!\Good job, Hina. Well done.\Yeah.\You girls okay?\Who are you?\We just happened to be passing by. response:	And we just happen to be very strong.
context: Roger, brother!\Tenma Fuumetsu!\Good job, Hina. Well done.\Yeah.\You girls okay?\Who are you?\We just happened to be passing by.\And we just happen to be very strong. response:	We're on a journey looking for certain katanas.
context: Tenma Fuumetsu!\Good job, Hina. Well done.\Yeah.\You girls okay?\Who are you?\We just happened to be passing by.\And we just happen to be very strong.\We're on a journey looking for certain katanas. response:	You saw one back there, right?
context: Good job, Hina. Well done.\Yeah.\You girls okay?\Who are you?\We just happened to be passing by.\And we just happen to be very strong.\We're on a journey looking for certain katanas.\You saw one back there, right? response:	The thing that was sticking out of that local mole god is called a cursed blade.
context: Yeah.\You girls okay?\Who are you?\We just happened to be passing by.\And we just happen to be very strong.\We're on a journey looking for certain katanas.\You saw one back there, right?\The thing that was sticking out of that local mole god is called a cursed blade. response:	Creatures and local gods that touch a cursed blade transform into demons.
context: You girls okay?\Who are you?\We just happened to be passing by.\And we just happen to be very strong.\We're on a journey looking for certain katanas.\You saw one back there, right?\The thing that was sticking out of that local mole god is called a cursed blade.\Creatures and local gods that touch a cursed blade transform into demons. response:	The goal of our journey is
context: Who are you?\We just happened to be passing by.\And we just happen to be very strong.\We're on a journey looking for certain katanas.\You saw one back there, right?\The thing that was sticking out of that local mole god is called a cursed blade.\Creatures and local gods that touch a cursed blade transform into demons.\The goal of our journey is response:	to find them and seal them away.
context: We just happened to be passing by.\And we just happen to be very strong.\We're on a journey looking for certain katanas.\You saw one back there, right?\The thing that was sticking out of that local mole god is called a cursed blade.\Creatures and local gods that touch a cursed blade transform into demons.\The goal of our journey is\to find them and seal them away. response:	And part of that job is saving the creatures and local gods
context: And we just happen to be very strong.\We're on a journey looking for certain katanas.\You saw one back there, right?\The thing that was sticking out of that local mole god is called a cursed blade.\Creatures and local gods that touch a cursed blade transform into demons.\The goal of our journey is\to find them and seal them away.\And part of that job is saving the creatures and local gods response:	who touched them and turned into demons.
context: We're on a journey looking for certain katanas.\You saw one back there, right?\The thing that was sticking out of that local mole god is called a cursed blade.\Creatures and local gods that touch a cursed blade transform into demons.\The goal of our journey is\to find them and seal them away.\And part of that job is saving the creatures and local gods\who touched them and turned into demons. response:	Um, would the two of you
context: You saw one back there, right?\The thing that was sticking out of that local mole god is called a cursed blade.\Creatures and local gods that touch a cursed blade transform into demons.\The goal of our journey is\to find them and seal them away.\And part of that job is saving the creatures and local gods\who touched them and turned into demons.\Um, would the two of you response:	please meet my little brother?
context: The thing that was sticking out of that local mole god is called a cursed blade.\Creatures and local gods that touch a cursed blade transform into demons.\The goal of our journey is\to find them and seal them away.\And part of that job is saving the creatures and local gods\who touched them and turned into demons.\Um, would the two of you\please meet my little brother? response:	Cursed blades, huh?
context: Creatures and local gods that touch a cursed blade transform into demons.\The goal of our journey is\to find them and seal them away.\And part of that job is saving the creatures and local gods\who touched them and turned into demons.\Um, would the two of you\please meet my little brother?\Cursed blades, huh? response:	I know them.
context: The goal of our journey is\to find them and seal them away.\And part of that job is saving the creatures and local gods\who touched them and turned into demons.\Um, would the two of you\please meet my little brother?\Cursed blades, huh?\I know them. response:	And I know where they are, mostly.
context: to find them and seal them away.\And part of that job is saving the creatures and local gods\who touched them and turned into demons.\Um, would the two of you\please meet my little brother?\Cursed blades, huh?\I know them.\And I know where they are, mostly. response:	That's good to hear.
context: And part of that job is saving the creatures and local gods\who touched them and turned into demons.\Um, would the two of you\please meet my little brother?\Cursed blades, huh?\I know them.\And I know where they are, mostly.\That's good to hear. response:	I research the history of the demons and this world.
context: who touched them and turned into demons.\Um, would the two of you\please meet my little brother?\Cursed blades, huh?\I know them.\And I know where they are, mostly.\That's good to hear.\I research the history of the demons and this world. response:	Are you trying to wipe out the demons?
context: Um, would the two of you\please meet my little brother?\Cursed blades, huh?\I know them.\And I know where they are, mostly.\That's good to hear.\I research the history of the demons and this world.\Are you trying to wipe out the demons? response:	I just want to
context: please meet my little brother?\Cursed blades, huh?\I know them.\And I know where they are, mostly.\That's good to hear.\I research the history of the demons and this world.\Are you trying to wipe out the demons?\I just want to response:	find all the cursed blades.
context: Cursed blades, huh?\I know them.\And I know where they are, mostly.\That's good to hear.\I research the history of the demons and this world.\Are you trying to wipe out the demons?\I just want to\find all the cursed blades. response:	There are people having trouble because of the demons all over right now.
context: I know them.\And I know where they are, mostly.\That's good to hear.\I research the history of the demons and this world.\Are you trying to wipe out the demons?\I just want to\find all the cursed blades.\There are people having trouble because of the demons all over right now. response:	I want to save them.
context: And I know where they are, mostly.\That's good to hear.\I research the history of the demons and this world.\Are you trying to wipe out the demons?\I just want to\find all the cursed blades.\There are people having trouble because of the demons all over right now.\I want to save them. response:	This is just a hypothetical, but...
context: That's good to hear.\I research the history of the demons and this world.\Are you trying to wipe out the demons?\I just want to\find all the cursed blades.\There are people having trouble because of the demons all over right now.\I want to save them.\This is just a hypothetical, but... response:	Right now the demons are a big threat,
context: I research the history of the demons and this world.\Are you trying to wipe out the demons?\I just want to\find all the cursed blades.\There are people having trouble because of the demons all over right now.\I want to save them.\This is just a hypothetical, but...\Right now the demons are a big threat, response:	and the different countries don't really come into contact with each other.
context: Are you trying to wipe out the demons?\I just want to\find all the cursed blades.\There are people having trouble because of the demons all over right now.\I want to save them.\This is just a hypothetical, but...\Right now the demons are a big threat,\and the different countries don't really come into contact with each other. response:	Right now, there's neither the opportunity nor the time for humans to fight each other.
context: I just want to\find all the cursed blades.\There are people having trouble because of the demons all over right now.\I want to save them.\This is just a hypothetical, but...\Right now the demons are a big threat,\and the different countries don't really come into contact with each other.\Right now, there's neither the opportunity nor the time for humans to fight each other. response:	But if the demons were wiped out and the world
context: find all the cursed blades.\There are people having trouble because of the demons all over right now.\I want to save them.\This is just a hypothetical, but...\Right now the demons are a big threat,\and the different countries don't really come into contact with each other.\Right now, there's neither the opportunity nor the time for humans to fight each other.\But if the demons were wiped out and the world response:	was at peace, what do you think would happen?
context: There are people having trouble because of the demons all over right now.\I want to save them.\This is just a hypothetical, but...\Right now the demons are a big threat,\and the different countries don't really come into contact with each other.\Right now, there's neither the opportunity nor the time for humans to fight each other.\But if the demons were wiped out and the world\was at peace, what do you think would happen? response:	Then humans would start fighting each other.
