context: Elementary school response:	Middle school
context: She really does.\Before I knew it, I was the psychic aura girl.”\And then, when I came to high school...\I heard that Sadako has a psychic aura.\And if you lock eyes with her for 3 seconds, a week later...\One rumor led to another, I guess.\Come to think of it, maybe I was fortunate.\I got a bit depressed at times, but I don't think I was ever really upset. response:	Oh yeah, remember that rumor about Sadako?
context: Before I knew it, I was the psychic aura girl.”\And then, when I came to high school...\I heard that Sadako has a psychic aura.\And if you lock eyes with her for 3 seconds, a week later...\One rumor led to another, I guess.\Come to think of it, maybe I was fortunate.\I got a bit depressed at times, but I don't think I was ever really upset.\Oh yeah, remember that rumor about Sadako? response:	About Yano and Yoshida backing her up?
context: And then, when I came to high school...\I heard that Sadako has a psychic aura.\And if you lock eyes with her for 3 seconds, a week later...\One rumor led to another, I guess.\Come to think of it, maybe I was fortunate.\I got a bit depressed at times, but I don't think I was ever really upset.\Oh yeah, remember that rumor about Sadako?\About Yano and Yoshida backing her up? response:	T-That's a mistake.
context: I heard that Sadako has a psychic aura.\And if you lock eyes with her for 3 seconds, a week later...\One rumor led to another, I guess.\Come to think of it, maybe I was fortunate.\I got a bit depressed at times, but I don't think I was ever really upset.\Oh yeah, remember that rumor about Sadako?\About Yano and Yoshida backing her up?\T-That's a mistake. response:	Yano-san and Yoshida-san aren't backing me up.
context: And if you lock eyes with her for 3 seconds, a week later...\One rumor led to another, I guess.\Come to think of it, maybe I was fortunate.\I got a bit depressed at times, but I don't think I was ever really upset.\Oh yeah, remember that rumor about Sadako?\About Yano and Yoshida backing her up?\T-That's a mistake.\Yano-san and Yoshida-san aren't backing me up. response:	Shut up, dammit.
context: One rumor led to another, I guess.\Come to think of it, maybe I was fortunate.\I got a bit depressed at times, but I don't think I was ever really upset.\Oh yeah, remember that rumor about Sadako?\About Yano and Yoshida backing her up?\T-That's a mistake.\Yano-san and Yoshida-san aren't backing me up.\Shut up, dammit. response:	I know, right?
context: Come to think of it, maybe I was fortunate.\I got a bit depressed at times, but I don't think I was ever really upset.\Oh yeah, remember that rumor about Sadako?\About Yano and Yoshida backing her up?\T-That's a mistake.\Yano-san and Yoshida-san aren't backing me up.\Shut up, dammit.\I know, right? response:	The criminal and the slut.
context: I got a bit depressed at times, but I don't think I was ever really upset.\Oh yeah, remember that rumor about Sadako?\About Yano and Yoshida backing her up?\T-That's a mistake.\Yano-san and Yoshida-san aren't backing me up.\Shut up, dammit.\I know, right?\The criminal and the slut. response:	Morning, Kazehaya.
context: Oh yeah, remember that rumor about Sadako?\About Yano and Yoshida backing her up?\T-That's a mistake.\Yano-san and Yoshida-san aren't backing me up.\Shut up, dammit.\I know, right?\The criminal and the slut.\Morning, Kazehaya. response:	Morning.
context: About Yano and Yoshida backing her up?\T-That's a mistake.\Yano-san and Yoshida-san aren't backing me up.\Shut up, dammit.\I know, right?\The criminal and the slut.\Morning, Kazehaya.\Morning. response:	Morning, Ryu.
context: T-That's a mistake.\Yano-san and Yoshida-san aren't backing me up.\Shut up, dammit.\I know, right?\The criminal and the slut.\Morning, Kazehaya.\Morning.\Morning, Ryu. response:	Morning.
context: Yano-san and Yoshida-san aren't backing me up.\Shut up, dammit.\I know, right?\The criminal and the slut.\Morning, Kazehaya.\Morning.\Morning, Ryu.\Morning. response:	What's going on?
context: Shut up, dammit.\I know, right?\The criminal and the slut.\Morning, Kazehaya.\Morning.\Morning, Ryu.\Morning.\What's going on? response:	The girls' washroom.
context: I know, right?\The criminal and the slut.\Morning, Kazehaya.\Morning.\Morning, Ryu.\Morning.\What's going on?\The girls' washroom. response:	Did something happen?
context: The criminal and the slut.\Morning, Kazehaya.\Morning.\Morning, Ryu.\Morning.\What's going on?\The girls' washroom.\Did something happen? response:	Hey, Kazehaya.
context: Morning, Kazehaya.\Morning.\Morning, Ryu.\Morning.\What's going on?\The girls' washroom.\Did something happen?\Hey, Kazehaya. response:	There's a fight in the washroom.
context: Morning.\Morning, Ryu.\Morning.\What's going on?\The girls' washroom.\Did something happen?\Hey, Kazehaya.\There's a fight in the washroom. response:	A fight?
context: Morning, Ryu.\Morning.\What's going on?\The girls' washroom.\Did something happen?\Hey, Kazehaya.\There's a fight in the washroom.\A fight? response:	Guess who?
context: Morning.\What's going on?\The girls' washroom.\Did something happen?\Hey, Kazehaya.\There's a fight in the washroom.\A fight?\Guess who? response:	Sadako and the girls from Class A.
context: What's going on?\The girls' washroom.\Did something happen?\Hey, Kazehaya.\There's a fight in the washroom.\A fight?\Guess who?\Sadako and the girls from Class A. response:	Kuronuma? Why?
context: The girls' washroom.\Did something happen?\Hey, Kazehaya.\There's a fight in the washroom.\A fight?\Guess who?\Sadako and the girls from Class A.\Kuronuma? Why? response:	We were inside earlier.
context: Did something happen?\Hey, Kazehaya.\There's a fight in the washroom.\A fight?\Guess who?\Sadako and the girls from Class A.\Kuronuma? Why?\We were inside earlier. response:	I think Sadako started it.
context: Hey, Kazehaya.\There's a fight in the washroom.\A fight?\Guess who?\Sadako and the girls from Class A.\Kuronuma? Why?\We were inside earlier.\I think Sadako started it. response:	Something about the rumors about Chizu and Yano-chin.
context: There's a fight in the washroom.\A fight?\Guess who?\Sadako and the girls from Class A.\Kuronuma? Why?\We were inside earlier.\I think Sadako started it.\Something about the rumors about Chizu and Yano-chin. response:	Rumors?
context: A fight?\Guess who?\Sadako and the girls from Class A.\Kuronuma? Why?\We were inside earlier.\I think Sadako started it.\Something about the rumors about Chizu and Yano-chin.\Rumors? response:	That stuff about Chizu-san being covered in blood and doing a hundred guys, right?
context: Guess who?\Sadako and the girls from Class A.\Kuronuma? Why?\We were inside earlier.\I think Sadako started it.\Something about the rumors about Chizu and Yano-chin.\Rumors?\That stuff about Chizu-san being covered in blood and doing a hundred guys, right? response:	They say Sadako's spreading the rumors.
context: Sadako and the girls from Class A.\Kuronuma? Why?\We were inside earlier.\I think Sadako started it.\Something about the rumors about Chizu and Yano-chin.\Rumors?\That stuff about Chizu-san being covered in blood and doing a hundred guys, right?\They say Sadako's spreading the rumors. response:	No, I'm going to try my best to be their friend.
context: Kuronuma? Why?\We were inside earlier.\I think Sadako started it.\Something about the rumors about Chizu and Yano-chin.\Rumors?\That stuff about Chizu-san being covered in blood and doing a hundred guys, right?\They say Sadako's spreading the rumors.\No, I'm going to try my best to be their friend. response:	Kuronuma wouldn't do such a thing.
context: We were inside earlier.\I think Sadako started it.\Something about the rumors about Chizu and Yano-chin.\Rumors?\That stuff about Chizu-san being covered in blood and doing a hundred guys, right?\They say Sadako's spreading the rumors.\No, I'm going to try my best to be their friend.\Kuronuma wouldn't do such a thing. response:	What's with the yelling?
context: I think Sadako started it.\Something about the rumors about Chizu and Yano-chin.\Rumors?\That stuff about Chizu-san being covered in blood and doing a hundred guys, right?\They say Sadako's spreading the rumors.\No, I'm going to try my best to be their friend.\Kuronuma wouldn't do such a thing.\What's with the yelling? response:	What's going on?
context: Something about the rumors about Chizu and Yano-chin.\Rumors?\That stuff about Chizu-san being covered in blood and doing a hundred guys, right?\They say Sadako's spreading the rumors.\No, I'm going to try my best to be their friend.\Kuronuma wouldn't do such a thing.\What's with the yelling?\What's going on? response:	Kuronuma's trying to do something
context: Rumors?\That stuff about Chizu-san being covered in blood and doing a hundred guys, right?\They say Sadako's spreading the rumors.\No, I'm going to try my best to be their friend.\Kuronuma wouldn't do such a thing.\What's with the yelling?\What's going on?\Kuronuma's trying to do something response:	about those rumors about you two.
context: That stuff about Chizu-san being covered in blood and doing a hundred guys, right?\They say Sadako's spreading the rumors.\No, I'm going to try my best to be their friend.\Kuronuma wouldn't do such a thing.\What's with the yelling?\What's going on?\Kuronuma's trying to do something\about those rumors about you two. response:	Let me through.
context: They say Sadako's spreading the rumors.\No, I'm going to try my best to be their friend.\Kuronuma wouldn't do such a thing.\What's with the yelling?\What's going on?\Kuronuma's trying to do something\about those rumors about you two.\Let me through. response:	Move!
context: No, I'm going to try my best to be their friend.\Kuronuma wouldn't do such a thing.\What's with the yelling?\What's going on?\Kuronuma's trying to do something\about those rumors about you two.\Let me through.\Move! response:	Are you holding something in?
context: Kuronuma wouldn't do such a thing.\What's with the yelling?\What's going on?\Kuronuma's trying to do something\about those rumors about you two.\Let me through.\Move!\Are you holding something in? response:	Of course I am.
context: What's with the yelling?\What's going on?\Kuronuma's trying to do something\about those rumors about you two.\Let me through.\Move!\Are you holding something in?\Of course I am. response:	But I can't do anything about it.
context: What's going on?\Kuronuma's trying to do something\about those rumors about you two.\Let me through.\Move!\Are you holding something in?\Of course I am.\But I can't do anything about it. response:	They have to do it.
context: Kuronuma's trying to do something\about those rumors about you two.\Let me through.\Move!\Are you holding something in?\Of course I am.\But I can't do anything about it.\They have to do it. response:	Go for it, Kuronuma.
context: about those rumors about you two.\Let me through.\Move!\Are you holding something in?\Of course I am.\But I can't do anything about it.\They have to do it.\Go for it, Kuronuma. response:	Go for it.
context: Let me through.\Move!\Are you holding something in?\Of course I am.\But I can't do anything about it.\They have to do it.\Go for it, Kuronuma.\Go for it. response:	Go for it!
context: Move!\Are you holding something in?\Of course I am.\But I can't do anything about it.\They have to do it.\Go for it, Kuronuma.\Go for it.\Go for it! response:	What you said earlier...
context: Are you holding something in?\Of course I am.\But I can't do anything about it.\They have to do it.\Go for it, Kuronuma.\Go for it.\Go for it!\What you said earlier... response:	take it back.
context: Of course I am.\But I can't do anything about it.\They have to do it.\Go for it, Kuronuma.\Go for it.\Go for it!\What you said earlier...\take it back. response:	What's with your hand?
context: But I can't do anything about it.\They have to do it.\Go for it, Kuronuma.\Go for it.\Go for it!\What you said earlier...\take it back.\What's with your hand? response:	Let go.
context: They have to do it.\Go for it, Kuronuma.\Go for it.\Go for it!\What you said earlier...\take it back.\What's with your hand?\Let go. response:	It's a misunderstanding.
context: Go for it, Kuronuma.\Go for it.\Go for it!\What you said earlier...\take it back.\What's with your hand?\Let go.\It's a misunderstanding. response:	You're making a mistake!
context: Go for it.\Go for it!\What you said earlier...\take it back.\What's with your hand?\Let go.\It's a misunderstanding.\You're making a mistake! response:	Did you just hear that?
context: Go for it!\What you said earlier...\take it back.\What's with your hand?\Let go.\It's a misunderstanding.\You're making a mistake!\Did you just hear that? response:	Yano-san and Yoshida-san aren't like that.
context: What you said earlier...\take it back.\What's with your hand?\Let go.\It's a misunderstanding.\You're making a mistake!\Did you just hear that?\Yano-san and Yoshida-san aren't like that. response:	You're going to hurt them.
context: take it back.\What's with your hand?\Let go.\It's a misunderstanding.\You're making a mistake!\Did you just hear that?\Yano-san and Yoshida-san aren't like that.\You're going to hurt them. response:	Look who's talking!
context: What's with your hand?\Let go.\It's a misunderstanding.\You're making a mistake!\Did you just hear that?\Yano-san and Yoshida-san aren't like that.\You're going to hurt them.\Look who's talking! response:	They're nice? They're going to get hurt?
context: Let go.\It's a misunderstanding.\You're making a mistake!\Did you just hear that?\Yano-san and Yoshida-san aren't like that.\You're going to hurt them.\Look who's talking!\They're nice? They're going to get hurt? response:	Bullshit.
context: It's a misunderstanding.\You're making a mistake!\Did you just hear that?\Yano-san and Yoshida-san aren't like that.\You're going to hurt them.\Look who's talking!\They're nice? They're going to get hurt?\Bullshit. response:	You're the one who said all that stuff,
context: You're making a mistake!\Did you just hear that?\Yano-san and Yoshida-san aren't like that.\You're going to hurt them.\Look who's talking!\They're nice? They're going to get hurt?\Bullshit.\You're the one who said all that stuff, response:	about Yoshida being a delinquent and Yano being a slut.
context: Did you just hear that?\Yano-san and Yoshida-san aren't like that.\You're going to hurt them.\Look who's talking!\They're nice? They're going to get hurt?\Bullshit.\You're the one who said all that stuff,\about Yoshida being a delinquent and Yano being a slut. response:	Me? What?
context: Yano-san and Yoshida-san aren't like that.\You're going to hurt them.\Look who's talking!\They're nice? They're going to get hurt?\Bullshit.\You're the one who said all that stuff,\about Yoshida being a delinquent and Yano being a slut.\Me? What? response:	You're the one spreading rumors about Yoshida and Yano, Sadako.
context: You're going to hurt them.\Look who's talking!\They're nice? They're going to get hurt?\Bullshit.\You're the one who said all that stuff,\about Yoshida being a delinquent and Yano being a slut.\Me? What?\You're the one spreading rumors about Yoshida and Yano, Sadako. response:	Me?
context: Look who's talking!\They're nice? They're going to get hurt?\Bullshit.\You're the one who said all that stuff,\about Yoshida being a delinquent and Yano being a slut.\Me? What?\You're the one spreading rumors about Yoshida and Yano, Sadako.\Me? response:	I think she got shoved down.
context: They're nice? They're going to get hurt?\Bullshit.\You're the one who said all that stuff,\about Yoshida being a delinquent and Yano being a slut.\Me? What?\You're the one spreading rumors about Yoshida and Yano, Sadako.\Me?\I think she got shoved down. response:	Maybe we should go stop them.
context: Bullshit.\You're the one who said all that stuff,\about Yoshida being a delinquent and Yano being a slut.\Me? What?\You're the one spreading rumors about Yoshida and Yano, Sadako.\Me?\I think she got shoved down.\Maybe we should go stop them. response:	Leave it to us.
context: You're the one who said all that stuff,\about Yoshida being a delinquent and Yano being a slut.\Me? What?\You're the one spreading rumors about Yoshida and Yano, Sadako.\Me?\I think she got shoved down.\Maybe we should go stop them.\Leave it to us. response:	Why would I say that about them?
context: about Yoshida being a delinquent and Yano being a slut.\Me? What?\You're the one spreading rumors about Yoshida and Yano, Sadako.\Me?\I think she got shoved down.\Maybe we should go stop them.\Leave it to us.\Why would I say that about them? response:	That's a mistake.
context: Me? What?\You're the one spreading rumors about Yoshida and Yano, Sadako.\Me?\I think she got shoved down.\Maybe we should go stop them.\Leave it to us.\Why would I say that about them?\That's a mistake. response:	In fact, they're really kind to me.
context: You're the one spreading rumors about Yoshida and Yano, Sadako.\Me?\I think she got shoved down.\Maybe we should go stop them.\Leave it to us.\Why would I say that about them?\That's a mistake.\In fact, they're really kind to me. response:	I don't give a shit.
context: Me?\I think she got shoved down.\Maybe we should go stop them.\Leave it to us.\Why would I say that about them?\That's a mistake.\In fact, they're really kind to me.\I don't give a shit. response:	There's something we want to talk to you about.
context: I think she got shoved down.\Maybe we should go stop them.\Leave it to us.\Why would I say that about them?\That's a mistake.\In fact, they're really kind to me.\I don't give a shit.\There's something we want to talk to you about. response:	They were probably just hanging out with you for the hell of it, anyway.
context: Maybe we should go stop them.\Leave it to us.\Why would I say that about them?\That's a mistake.\In fact, they're really kind to me.\I don't give a shit.\There's something we want to talk to you about.\They were probably just hanging out with you for the hell of it, anyway. response:	They're probably sick of you by now.
context: Leave it to us.\Why would I say that about them?\That's a mistake.\In fact, they're really kind to me.\I don't give a shit.\There's something we want to talk to you about.\They were probably just hanging out with you for the hell of it, anyway.\They're probably sick of you by now. response:	Aren't you the same?
context: Why would I say that about them?\That's a mistake.\In fact, they're really kind to me.\I don't give a shit.\There's something we want to talk to you about.\They were probably just hanging out with you for the hell of it, anyway.\They're probably sick of you by now.\Aren't you the same? response:	You just started hanging out with them to get close to Kazehaya.
context: That's a mistake.\In fact, they're really kind to me.\I don't give a shit.\There's something we want to talk to you about.\They were probably just hanging out with you for the hell of it, anyway.\They're probably sick of you by now.\Aren't you the same?\You just started hanging out with them to get close to Kazehaya. response:	And now they're in the way, right?
context: In fact, they're really kind to me.\I don't give a shit.\There's something we want to talk to you about.\They were probably just hanging out with you for the hell of it, anyway.\They're probably sick of you by now.\Aren't you the same?\You just started hanging out with them to get close to Kazehaya.\And now they're in the way, right? response:	You're a pest.
context: I don't give a shit.\There's something we want to talk to you about.\They were probably just hanging out with you for the hell of it, anyway.\They're probably sick of you by now.\Aren't you the same?\You just started hanging out with them to get close to Kazehaya.\And now they're in the way, right?\You're a pest. response:	Get lost. Be by yourself.
context: There's something we want to talk to you about.\They were probably just hanging out with you for the hell of it, anyway.\They're probably sick of you by now.\Aren't you the same?\You just started hanging out with them to get close to Kazehaya.\And now they're in the way, right?\You're a pest.\Get lost. Be by yourself. response:	Then we'll get off your
context: They were probably just hanging out with you for the hell of it, anyway.\They're probably sick of you by now.\Aren't you the same?\You just started hanging out with them to get close to Kazehaya.\And now they're in the way, right?\You're a pest.\Get lost. Be by yourself.\Then we'll get off your response:	No.
context: They're probably sick of you by now.\Aren't you the same?\You just started hanging out with them to get close to Kazehaya.\And now they're in the way, right?\You're a pest.\Get lost. Be by yourself.\Then we'll get off your\No. response:	You don't need to get off my back.
context: Aren't you the same?\You just started hanging out with them to get close to Kazehaya.\And now they're in the way, right?\You're a pest.\Get lost. Be by yourself.\Then we'll get off your\No.\You don't need to get off my back. response:	Just take it back.
context: You just started hanging out with them to get close to Kazehaya.\And now they're in the way, right?\You're a pest.\Get lost. Be by yourself.\Then we'll get off your\No.\You don't need to get off my back.\Just take it back. response:	Huh? What the hell
context: And now they're in the way, right?\You're a pest.\Get lost. Be by yourself.\Then we'll get off your\No.\You don't need to get off my back.\Just take it back.\Huh? What the hell response:	All of it.
context: You're a pest.\Get lost. Be by yourself.\Then we'll get off your\No.\You don't need to get off my back.\Just take it back.\Huh? What the hell\All of it. response:	It's all wrong.
context: Get lost. Be by yourself.\Then we'll get off your\No.\You don't need to get off my back.\Just take it back.\Huh? What the hell\All of it.\It's all wrong. response:	You people don't get it.
context: Then we'll get off your\No.\You don't need to get off my back.\Just take it back.\Huh? What the hell\All of it.\It's all wrong.\You people don't get it. response:	You don't know anything.
context: No.\You don't need to get off my back.\Just take it back.\Huh? What the hell\All of it.\It's all wrong.\You people don't get it.\You don't know anything. response:	You're in luck.
context: You don't need to get off my back.\Just take it back.\Huh? What the hell\All of it.\It's all wrong.\You people don't get it.\You don't know anything.\You're in luck. response:	Everyone was avoiding me.
context: Just take it back.\Huh? What the hell\All of it.\It's all wrong.\You people don't get it.\You don't know anything.\You're in luck.\Everyone was avoiding me. response:	Snack time. Drink up.
context: Huh? What the hell\All of it.\It's all wrong.\You people don't get it.\You don't know anything.\You're in luck.\Everyone was avoiding me.\Snack time. Drink up. response:	They weren't afraid of me.
context: All of it.\It's all wrong.\You people don't get it.\You don't know anything.\You're in luck.\Everyone was avoiding me.\Snack time. Drink up.\They weren't afraid of me. response:	They didn't avoid me.
context: It's all wrong.\You people don't get it.\You don't know anything.\You're in luck.\Everyone was avoiding me.\Snack time. Drink up.\They weren't afraid of me.\They didn't avoid me. response:	It's soaked.
context: You people don't get it.\You don't know anything.\You're in luck.\Everyone was avoiding me.\Snack time. Drink up.\They weren't afraid of me.\They didn't avoid me.\It's soaked. response:	Here, my jersey.
context: You don't know anything.\You're in luck.\Everyone was avoiding me.\Snack time. Drink up.\They weren't afraid of me.\They didn't avoid me.\It's soaked.\Here, my jersey. response:	You don't know how kind they were to me.
context: You're in luck.\Everyone was avoiding me.\Snack time. Drink up.\They weren't afraid of me.\They didn't avoid me.\It's soaked.\Here, my jersey.\You don't know how kind they were to me. response:	You don't know anything.
context: Everyone was avoiding me.\Snack time. Drink up.\They weren't afraid of me.\They didn't avoid me.\It's soaked.\Here, my jersey.\You don't know how kind they were to me.\You don't know anything. response:	How I more than just like them... I love them.
context: Snack time. Drink up.\They weren't afraid of me.\They didn't avoid me.\It's soaked.\Here, my jersey.\You don't know how kind they were to me.\You don't know anything.\How I more than just like them... I love them. response:	Do you like us?
context: They weren't afraid of me.\They didn't avoid me.\It's soaked.\Here, my jersey.\You don't know how kind they were to me.\You don't know anything.\How I more than just like them... I love them.\Do you like us? response:	W-Well
context: They didn't avoid me.\It's soaked.\Here, my jersey.\You don't know how kind they were to me.\You don't know anything.\How I more than just like them... I love them.\Do you like us?\W-Well response:	More like...
context: It's soaked.\Here, my jersey.\You don't know how kind they were to me.\You don't know anything.\How I more than just like them... I love them.\Do you like us?\W-Well\More like... response:	I love you.
context: Here, my jersey.\You don't know how kind they were to me.\You don't know anything.\How I more than just like them... I love them.\Do you like us?\W-Well\More like...\I love you. response:	So...
context: You don't know how kind they were to me.\You don't know anything.\How I more than just like them... I love them.\Do you like us?\W-Well\More like...\I love you.\So... response:	Y-Yoshida.
context: You don't know anything.\How I more than just like them... I love them.\Do you like us?\W-Well\More like...\I love you.\So...\Y-Yoshida. response:	You're still sticking up for her,
context: How I more than just like them... I love them.\Do you like us?\W-Well\More like...\I love you.\So...\Y-Yoshida.\You're still sticking up for her, response:	after all those rumors she spread?
context: Do you like us?\W-Well\More like...\I love you.\So...\Y-Yoshida.\You're still sticking up for her,\after all those rumors she spread? response:	It wasn't Sadako.
context: W-Well\More like...\I love you.\So...\Y-Yoshida.\You're still sticking up for her,\after all those rumors she spread?\It wasn't Sadako. response:	She wouldn't do that.
context: More like...\I love you.\So...\Y-Yoshida.\You're still sticking up for her,\after all those rumors she spread?\It wasn't Sadako.\She wouldn't do that. response:	What are you
context: I love you.\So...\Y-Yoshida.\You're still sticking up for her,\after all those rumors she spread?\It wasn't Sadako.\She wouldn't do that.\What are you response:	It's our problem, so piss off.
context: So...\Y-Yoshida.\You're still sticking up for her,\after all those rumors she spread?\It wasn't Sadako.\She wouldn't do that.\What are you\It's our problem, so piss off. response:	Get lost already.
context: Y-Yoshida.\You're still sticking up for her,\after all those rumors she spread?\It wasn't Sadako.\She wouldn't do that.\What are you\It's our problem, so piss off.\Get lost already. response:	W-What? This isn't your problem.
context: You're still sticking up for her,\after all those rumors she spread?\It wasn't Sadako.\She wouldn't do that.\What are you\It's our problem, so piss off.\Get lost already.\W-What? This isn't your problem. response:	I was talking to Sadako.
context: after all those rumors she spread?\It wasn't Sadako.\She wouldn't do that.\What are you\It's our problem, so piss off.\Get lost already.\W-What? This isn't your problem.\I was talking to Sadako. response:	You think you can beat me up?
context: It wasn't Sadako.\She wouldn't do that.\What are you\It's our problem, so piss off.\Get lost already.\W-What? This isn't your problem.\I was talking to Sadako.\You think you can beat me up? response:	You were in my middle school, so you must know me.
context: She wouldn't do that.\What are you\It's our problem, so piss off.\Get lost already.\W-What? This isn't your problem.\I was talking to Sadako.\You think you can beat me up?\You were in my middle school, so you must know me. response:	About my 99 consecutive victories dueling against guys.
context: What are you\It's our problem, so piss off.\Get lost already.\W-What? This isn't your problem.\I was talking to Sadako.\You think you can beat me up?\You were in my middle school, so you must know me.\About my 99 consecutive victories dueling against guys. response:	The hell are you talking about?
context: It's our problem, so piss off.\Get lost already.\W-What? This isn't your problem.\I was talking to Sadako.\You think you can beat me up?\You were in my middle school, so you must know me.\About my 99 consecutive victories dueling against guys.\The hell are you talking about? response:	Mess with Sadako again and I'll mess you up.
