context: Yeah, it's finished. response:	I'll mail it within the week, so make sure you get it.
context: Her certainly talks like it is.\Rather than producing the same beautiful writing as someone else,\I want Handa-kun to master calligraphy that only he could write.\Art that instantly brings him to mind when you see it.\Who can say?\Personally, I'd like to have him back sooner,\but it seems he doesn't intend to return until he gets results at an exhibition.\Does he feel remorseful about hitting me? response:	I can't really say.
context: Rather than producing the same beautiful writing as someone else,\I want Handa-kun to master calligraphy that only he could write.\Art that instantly brings him to mind when you see it.\Who can say?\Personally, I'd like to have him back sooner,\but it seems he doesn't intend to return until he gets results at an exhibition.\Does he feel remorseful about hitting me?\I can't really say. response:	If my forgiveness will persuade him to return,
context: I want Handa-kun to master calligraphy that only he could write.\Art that instantly brings him to mind when you see it.\Who can say?\Personally, I'd like to have him back sooner,\but it seems he doesn't intend to return until he gets results at an exhibition.\Does he feel remorseful about hitting me?\I can't really say.\If my forgiveness will persuade him to return, response:	then maybe it's time we have him come back.
context: Art that instantly brings him to mind when you see it.\Who can say?\Personally, I'd like to have him back sooner,\but it seems he doesn't intend to return until he gets results at an exhibition.\Does he feel remorseful about hitting me?\I can't really say.\If my forgiveness will persuade him to return,\then maybe it's time we have him come back. response:	Barakamon
context: Who can say?\Personally, I'd like to have him back sooner,\but it seems he doesn't intend to return until he gets results at an exhibition.\Does he feel remorseful about hitting me?\I can't really say.\If my forgiveness will persuade him to return,\then maybe it's time we have him come back.\Barakamon response:	Dacchi Ikode
context: Personally, I'd like to have him back sooner,\but it seems he doesn't intend to return until he gets results at an exhibition.\Does he feel remorseful about hitting me?\I can't really say.\If my forgiveness will persuade him to return,\then maybe it's time we have him come back.\Barakamon\Dacchi Ikode response:	Translation: Let's All Go Together
context: but it seems he doesn't intend to return until he gets results at an exhibition.\Does he feel remorseful about hitting me?\I can't really say.\If my forgiveness will persuade him to return,\then maybe it's time we have him come back.\Barakamon\Dacchi Ikode\Translation: Let's All Go Together response:	Darn that Kawafuji!
context: Does he feel remorseful about hitting me?\I can't really say.\If my forgiveness will persuade him to return,\then maybe it's time we have him come back.\Barakamon\Dacchi Ikode\Translation: Let's All Go Together\Darn that Kawafuji! response:	Doesn't he even care to listen to me?
context: I can't really say.\If my forgiveness will persuade him to return,\then maybe it's time we have him come back.\Barakamon\Dacchi Ikode\Translation: Let's All Go Together\Darn that Kawafuji!\Doesn't he even care to listen to me? response:	I was talking big to Kawafuji,
context: If my forgiveness will persuade him to return,\then maybe it's time we have him come back.\Barakamon\Dacchi Ikode\Translation: Let's All Go Together\Darn that Kawafuji!\Doesn't he even care to listen to me?\I was talking big to Kawafuji, response:	Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts
context: then maybe it's time we have him come back.\Barakamon\Dacchi Ikode\Translation: Let's All Go Together\Darn that Kawafuji!\Doesn't he even care to listen to me?\I was talking big to Kawafuji,\Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts response:	but is this really the one I should submit?
context: Barakamon\Dacchi Ikode\Translation: Let's All Go Together\Darn that Kawafuji!\Doesn't he even care to listen to me?\I was talking big to Kawafuji,\Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts\but is this really the one I should submit? response:	I think it's good calligraphy,
context: Dacchi Ikode\Translation: Let's All Go Together\Darn that Kawafuji!\Doesn't he even care to listen to me?\I was talking big to Kawafuji,\Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts\but is this really the one I should submit?\I think it's good calligraphy, response:	but on the whole, it feels like it was done on a whim.
context: Translation: Let's All Go Together\Darn that Kawafuji!\Doesn't he even care to listen to me?\I was talking big to Kawafuji,\Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts\but is this really the one I should submit?\I think it's good calligraphy,\but on the whole, it feels like it was done on a whim. response:	Can I really call this calligraphy mine?
context: Darn that Kawafuji!\Doesn't he even care to listen to me?\I was talking big to Kawafuji,\Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts\but is this really the one I should submit?\I think it's good calligraphy,\but on the whole, it feels like it was done on a whim.\Can I really call this calligraphy mine? response:	If it's calligraphy I could only write because I came to the island,
context: Doesn't he even care to listen to me?\I was talking big to Kawafuji,\Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts\but is this really the one I should submit?\I think it's good calligraphy,\but on the whole, it feels like it was done on a whim.\Can I really call this calligraphy mine?\If it's calligraphy I could only write because I came to the island, response:	I don't know for sure if I could write the same way in Tokyo.
context: I was talking big to Kawafuji,\Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts\but is this really the one I should submit?\I think it's good calligraphy,\but on the whole, it feels like it was done on a whim.\Can I really call this calligraphy mine?\If it's calligraphy I could only write because I came to the island,\I don't know for sure if I could write the same way in Tokyo. response:	Crap... now I'm worried.
context: Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts\but is this really the one I should submit?\I think it's good calligraphy,\but on the whole, it feels like it was done on a whim.\Can I really call this calligraphy mine?\If it's calligraphy I could only write because I came to the island,\I don't know for sure if I could write the same way in Tokyo.\Crap... now I'm worried. response:	Even though it's an exhibition that won't reject my work,
context: but is this really the one I should submit?\I think it's good calligraphy,\but on the whole, it feels like it was done on a whim.\Can I really call this calligraphy mine?\If it's calligraphy I could only write because I came to the island,\I don't know for sure if I could write the same way in Tokyo.\Crap... now I'm worried.\Even though it's an exhibition that won't reject my work, response:	should I really submit a piece I wrote on a whim?
context: I think it's good calligraphy,\but on the whole, it feels like it was done on a whim.\Can I really call this calligraphy mine?\If it's calligraphy I could only write because I came to the island,\I don't know for sure if I could write the same way in Tokyo.\Crap... now I'm worried.\Even though it's an exhibition that won't reject my work,\should I really submit a piece I wrote on a whim? response:	Think positive, positive!
context: but on the whole, it feels like it was done on a whim.\Can I really call this calligraphy mine?\If it's calligraphy I could only write because I came to the island,\I don't know for sure if I could write the same way in Tokyo.\Crap... now I'm worried.\Even though it's an exhibition that won't reject my work,\should I really submit a piece I wrote on a whim?\Think positive, positive! response:	It won't do any good to brood over it now.
context: Can I really call this calligraphy mine?\If it's calligraphy I could only write because I came to the island,\I don't know for sure if I could write the same way in Tokyo.\Crap... now I'm worried.\Even though it's an exhibition that won't reject my work,\should I really submit a piece I wrote on a whim?\Think positive, positive!\It won't do any good to brood over it now. response:	Right now, my only weapon is the inspiration of nature.
context: If it's calligraphy I could only write because I came to the island,\I don't know for sure if I could write the same way in Tokyo.\Crap... now I'm worried.\Even though it's an exhibition that won't reject my work,\should I really submit a piece I wrote on a whim?\Think positive, positive!\It won't do any good to brood over it now.\Right now, my only weapon is the inspiration of nature. response:	If I anguish over whether it's my calligraphy, the deadline will...
context: I don't know for sure if I could write the same way in Tokyo.\Crap... now I'm worried.\Even though it's an exhibition that won't reject my work,\should I really submit a piece I wrote on a whim?\Think positive, positive!\It won't do any good to brood over it now.\Right now, my only weapon is the inspiration of nature.\If I anguish over whether it's my calligraphy, the deadline will... response:	Naru, what do you think?
context: Crap... now I'm worried.\Even though it's an exhibition that won't reject my work,\should I really submit a piece I wrote on a whim?\Think positive, positive!\It won't do any good to brood over it now.\Right now, my only weapon is the inspiration of nature.\If I anguish over whether it's my calligraphy, the deadline will...\Naru, what do you think? response:	Huh?'Bout what?
context: Even though it's an exhibition that won't reject my work,\should I really submit a piece I wrote on a whim?\Think positive, positive!\It won't do any good to brood over it now.\Right now, my only weapon is the inspiration of nature.\If I anguish over whether it's my calligraphy, the deadline will...\Naru, what do you think?\Huh?'Bout what? response:	Let's talk about what to play instead!
context: should I really submit a piece I wrote on a whim?\Think positive, positive!\It won't do any good to brood over it now.\Right now, my only weapon is the inspiration of nature.\If I anguish over whether it's my calligraphy, the deadline will...\Naru, what do you think?\Huh?'Bout what?\Let's talk about what to play instead! response:	Instead?
context: Think positive, positive!\It won't do any good to brood over it now.\Right now, my only weapon is the inspiration of nature.\If I anguish over whether it's my calligraphy, the deadline will...\Naru, what do you think?\Huh?'Bout what?\Let's talk about what to play instead!\Instead? response:	I'm not playing with you.
context: It won't do any good to brood over it now.\Right now, my only weapon is the inspiration of nature.\If I anguish over whether it's my calligraphy, the deadline will...\Naru, what do you think?\Huh?'Bout what?\Let's talk about what to play instead!\Instead?\I'm not playing with you. response:	I'm a proud guy, and I'm asking for your opinion.
context: Right now, my only weapon is the inspiration of nature.\If I anguish over whether it's my calligraphy, the deadline will...\Naru, what do you think?\Huh?'Bout what?\Let's talk about what to play instead!\Instead?\I'm not playing with you.\I'm a proud guy, and I'm asking for your opinion. response:	Ya sure ya wanna say that?
context: If I anguish over whether it's my calligraphy, the deadline will...\Naru, what do you think?\Huh?'Bout what?\Let's talk about what to play instead!\Instead?\I'm not playing with you.\I'm a proud guy, and I'm asking for your opinion.\Ya sure ya wanna say that? response:	Flash.
context: Naru, what do you think?\Huh?'Bout what?\Let's talk about what to play instead!\Instead?\I'm not playing with you.\I'm a proud guy, and I'm asking for your opinion.\Ya sure ya wanna say that?\Flash. response:	Ticket to do anything you say. One time.
context: Huh?'Bout what?\Let's talk about what to play instead!\Instead?\I'm not playing with you.\I'm a proud guy, and I'm asking for your opinion.\Ya sure ya wanna say that?\Flash.\Ticket to do anything you say. One time. response:	Shoot!
context: Let's talk about what to play instead!\Instead?\I'm not playing with you.\I'm a proud guy, and I'm asking for your opinion.\Ya sure ya wanna say that?\Flash.\Ticket to do anything you say. One time.\Shoot! response:	I should've given her a ticket for a shoulder massage instead.
context: Instead?\I'm not playing with you.\I'm a proud guy, and I'm asking for your opinion.\Ya sure ya wanna say that?\Flash.\Ticket to do anything you say. One time.\Shoot!\I should've given her a ticket for a shoulder massage instead. response:	So long as I have this, ya hafta do what I say!
context: I'm not playing with you.\I'm a proud guy, and I'm asking for your opinion.\Ya sure ya wanna say that?\Flash.\Ticket to do anything you say. One time.\Shoot!\I should've given her a ticket for a shoulder massage instead.\So long as I have this, ya hafta do what I say! response:	No, I wrote one time on it.
context: I'm a proud guy, and I'm asking for your opinion.\Ya sure ya wanna say that?\Flash.\Ticket to do anything you say. One time.\Shoot!\I should've given her a ticket for a shoulder massage instead.\So long as I have this, ya hafta do what I say!\No, I wrote one time on it. response:	Grampa!
context: Ya sure ya wanna say that?\Flash.\Ticket to do anything you say. One time.\Shoot!\I should've given her a ticket for a shoulder massage instead.\So long as I have this, ya hafta do what I say!\No, I wrote one time on it.\Grampa! response:	Naru!
context: Flash.\Ticket to do anything you say. One time.\Shoot!\I should've given her a ticket for a shoulder massage instead.\So long as I have this, ya hafta do what I say!\No, I wrote one time on it.\Grampa!\Naru! response:	What are they doing?
context: Ticket to do anything you say. One time.\Shoot!\I should've given her a ticket for a shoulder massage instead.\So long as I have this, ya hafta do what I say!\No, I wrote one time on it.\Grampa!\Naru!\What are they doing? response:	We're pilin' up stones to make a wall.
context: Shoot!\I should've given her a ticket for a shoulder massage instead.\So long as I have this, ya hafta do what I say!\No, I wrote one time on it.\Grampa!\Naru!\What are they doing?\We're pilin' up stones to make a wall. response:	It's a typhoon barrier.
context: I should've given her a ticket for a shoulder massage instead.\So long as I have this, ya hafta do what I say!\No, I wrote one time on it.\Grampa!\Naru!\What are they doing?\We're pilin' up stones to make a wall.\It's a typhoon barrier. response:	Ya gotta fit the stones together just right, or it'll fall apart.
context: So long as I have this, ya hafta do what I say!\No, I wrote one time on it.\Grampa!\Naru!\What are they doing?\We're pilin' up stones to make a wall.\It's a typhoon barrier.\Ya gotta fit the stones together just right, or it'll fall apart. response:	So it's like a puzzle!
context: No, I wrote one time on it.\Grampa!\Naru!\What are they doing?\We're pilin' up stones to make a wall.\It's a typhoon barrier.\Ya gotta fit the stones together just right, or it'll fall apart.\So it's like a puzzle! response:	Okay, try placin' a stone.
context: Grampa!\Naru!\What are they doing?\We're pilin' up stones to make a wall.\It's a typhoon barrier.\Ya gotta fit the stones together just right, or it'll fall apart.\So it's like a puzzle!\Okay, try placin' a stone. response:	Is he trying to casually talk me into helping?!
context: Naru!\What are they doing?\We're pilin' up stones to make a wall.\It's a typhoon barrier.\Ya gotta fit the stones together just right, or it'll fall apart.\So it's like a puzzle!\Okay, try placin' a stone.\Is he trying to casually talk me into helping?! response:	Sensei's huntin' for toads with me!
context: What are they doing?\We're pilin' up stones to make a wall.\It's a typhoon barrier.\Ya gotta fit the stones together just right, or it'll fall apart.\So it's like a puzzle!\Okay, try placin' a stone.\Is he trying to casually talk me into helping?!\Sensei's huntin' for toads with me! response:	I'm usin' this!
context: We're pilin' up stones to make a wall.\It's a typhoon barrier.\Ya gotta fit the stones together just right, or it'll fall apart.\So it's like a puzzle!\Okay, try placin' a stone.\Is he trying to casually talk me into helping?!\Sensei's huntin' for toads with me!\I'm usin' this! response:	Toads?!
context: It's a typhoon barrier.\Ya gotta fit the stones together just right, or it'll fall apart.\So it's like a puzzle!\Okay, try placin' a stone.\Is he trying to casually talk me into helping?!\Sensei's huntin' for toads with me!\I'm usin' this!\Toads?! response:	Ticket to do anything you say. One time.
context: Ya gotta fit the stones together just right, or it'll fall apart.\So it's like a puzzle!\Okay, try placin' a stone.\Is he trying to casually talk me into helping?!\Sensei's huntin' for toads with me!\I'm usin' this!\Toads?!\Ticket to do anything you say. One time. response:	In that case...
context: So it's like a puzzle!\Okay, try placin' a stone.\Is he trying to casually talk me into helping?!\Sensei's huntin' for toads with me!\I'm usin' this!\Toads?!\Ticket to do anything you say. One time.\In that case... response:	I'll use this to get him to help me all day.
context: Okay, try placin' a stone.\Is he trying to casually talk me into helping?!\Sensei's huntin' for toads with me!\I'm usin' this!\Toads?!\Ticket to do anything you say. One time.\In that case...\I'll use this to get him to help me all day. response:	Sure, that I can do.
context: Is he trying to casually talk me into helping?!\Sensei's huntin' for toads with me!\I'm usin' this!\Toads?!\Ticket to do anything you say. One time.\In that case...\I'll use this to get him to help me all day.\Sure, that I can do. response:	Hey, that was mine!
context: Sensei's huntin' for toads with me!\I'm usin' this!\Toads?!\Ticket to do anything you say. One time.\In that case...\I'll use this to get him to help me all day.\Sure, that I can do.\Hey, that was mine! response:	I'll give ya somethin' nicer, Naru.
context: I'm usin' this!\Toads?!\Ticket to do anything you say. One time.\In that case...\I'll use this to get him to help me all day.\Sure, that I can do.\Hey, that was mine!\I'll give ya somethin' nicer, Naru. response:	Somethin' nicer?!
context: Toads?!\Ticket to do anything you say. One time.\In that case...\I'll use this to get him to help me all day.\Sure, that I can do.\Hey, that was mine!\I'll give ya somethin' nicer, Naru.\Somethin' nicer?! response:	What d'ya mean?!
context: Ticket to do anything you say. One time.\In that case...\I'll use this to get him to help me all day.\Sure, that I can do.\Hey, that was mine!\I'll give ya somethin' nicer, Naru.\Somethin' nicer?!\What d'ya mean?! response:	Here.
context: In that case...\I'll use this to get him to help me all day.\Sure, that I can do.\Hey, that was mine!\I'll give ya somethin' nicer, Naru.\Somethin' nicer?!\What d'ya mean?!\Here. response:	What's this?
context: I'll use this to get him to help me all day.\Sure, that I can do.\Hey, that was mine!\I'll give ya somethin' nicer, Naru.\Somethin' nicer?!\What d'ya mean?!\Here.\What's this? response:	It's a perfect skippin' stone!
context: Sure, that I can do.\Hey, that was mine!\I'll give ya somethin' nicer, Naru.\Somethin' nicer?!\What d'ya mean?!\Here.\What's this?\It's a perfect skippin' stone! response:	Isn't that nice, Naru?
context: Hey, that was mine!\I'll give ya somethin' nicer, Naru.\Somethin' nicer?!\What d'ya mean?!\Here.\What's this?\It's a perfect skippin' stone!\Isn't that nice, Naru? response:	Forget it!
context: I'll give ya somethin' nicer, Naru.\Somethin' nicer?!\What d'ya mean?!\Here.\What's this?\It's a perfect skippin' stone!\Isn't that nice, Naru?\Forget it! response:	Good one...
context: Somethin' nicer?!\What d'ya mean?!\Here.\What's this?\It's a perfect skippin' stone!\Isn't that nice, Naru?\Forget it!\Good one... response:	C'mon and help, Sensei.
context: What d'ya mean?!\Here.\What's this?\It's a perfect skippin' stone!\Isn't that nice, Naru?\Forget it!\Good one...\C'mon and help, Sensei. response:	It's... heavy...
context: Here.\What's this?\It's a perfect skippin' stone!\Isn't that nice, Naru?\Forget it!\Good one...\C'mon and help, Sensei.\It's... heavy... response:	Take'er over there.
context: What's this?\It's a perfect skippin' stone!\Isn't that nice, Naru?\Forget it!\Good one...\C'mon and help, Sensei.\It's... heavy...\Take'er over there. response:	Tch!
context: It's a perfect skippin' stone!\Isn't that nice, Naru?\Forget it!\Good one...\C'mon and help, Sensei.\It's... heavy...\Take'er over there.\Tch! response:	Let's see, I'll set this...
context: Isn't that nice, Naru?\Forget it!\Good one...\C'mon and help, Sensei.\It's... heavy...\Take'er over there.\Tch!\Let's see, I'll set this... response:	Like so...
context: Forget it!\Good one...\C'mon and help, Sensei.\It's... heavy...\Take'er over there.\Tch!\Let's see, I'll set this...\Like so... response:	It's a real thrill when it fits perfectly.
context: Good one...\C'mon and help, Sensei.\It's... heavy...\Take'er over there.\Tch!\Let's see, I'll set this...\Like so...\It's a real thrill when it fits perfectly. response:	Yeah, ain't it?
context: C'mon and help, Sensei.\It's... heavy...\Take'er over there.\Tch!\Let's see, I'll set this...\Like so...\It's a real thrill when it fits perfectly.\Yeah, ain't it? response:	Yer real good at this.
context: It's... heavy...\Take'er over there.\Tch!\Let's see, I'll set this...\Like so...\It's a real thrill when it fits perfectly.\Yeah, ain't it?\Yer real good at this. response:	I just may be suited for this kind of precise task.
context: Take'er over there.\Tch!\Let's see, I'll set this...\Like so...\It's a real thrill when it fits perfectly.\Yeah, ain't it?\Yer real good at this.\I just may be suited for this kind of precise task. response:	The ones we piled up look a right mess,
context: Tch!\Let's see, I'll set this...\Like so...\It's a real thrill when it fits perfectly.\Yeah, ain't it?\Yer real good at this.\I just may be suited for this kind of precise task.\The ones we piled up look a right mess, response:	an' I thought we'd done good.
context: Let's see, I'll set this...\Like so...\It's a real thrill when it fits perfectly.\Yeah, ain't it?\Yer real good at this.\I just may be suited for this kind of precise task.\The ones we piled up look a right mess,\an' I thought we'd done good. response:	Yer real bad at this, Grampa!
context: Like so...\It's a real thrill when it fits perfectly.\Yeah, ain't it?\Yer real good at this.\I just may be suited for this kind of precise task.\The ones we piled up look a right mess,\an' I thought we'd done good.\Yer real bad at this, Grampa! response:	And yer too honest!
context: It's a real thrill when it fits perfectly.\Yeah, ain't it?\Yer real good at this.\I just may be suited for this kind of precise task.\The ones we piled up look a right mess,\an' I thought we'd done good.\Yer real bad at this, Grampa!\And yer too honest! response:	While we're at it, how'bout we have Sensei handle that thing at the shrine?
context: Yeah, ain't it?\Yer real good at this.\I just may be suited for this kind of precise task.\The ones we piled up look a right mess,\an' I thought we'd done good.\Yer real bad at this, Grampa!\And yer too honest!\While we're at it, how'bout we have Sensei handle that thing at the shrine? response:	Oh, right, that.
context: Yer real good at this.\I just may be suited for this kind of precise task.\The ones we piled up look a right mess,\an' I thought we'd done good.\Yer real bad at this, Grampa!\And yer too honest!\While we're at it, how'bout we have Sensei handle that thing at the shrine?\Oh, right, that. response:	What thing?
context: I just may be suited for this kind of precise task.\The ones we piled up look a right mess,\an' I thought we'd done good.\Yer real bad at this, Grampa!\And yer too honest!\While we're at it, how'bout we have Sensei handle that thing at the shrine?\Oh, right, that.\What thing? response:	C'mon in.
context: The ones we piled up look a right mess,\an' I thought we'd done good.\Yer real bad at this, Grampa!\And yer too honest!\While we're at it, how'bout we have Sensei handle that thing at the shrine?\Oh, right, that.\What thing?\C'mon in. response:	Pardon the intrusion.
context: an' I thought we'd done good.\Yer real bad at this, Grampa!\And yer too honest!\While we're at it, how'bout we have Sensei handle that thing at the shrine?\Oh, right, that.\What thing?\C'mon in.\Pardon the intrusion. response:	What am I supposed to do here at the shrine?
context: Yer real bad at this, Grampa!\And yer too honest!\While we're at it, how'bout we have Sensei handle that thing at the shrine?\Oh, right, that.\What thing?\C'mon in.\Pardon the intrusion.\What am I supposed to do here at the shrine? response:	Purification?
context: And yer too honest!\While we're at it, how'bout we have Sensei handle that thing at the shrine?\Oh, right, that.\What thing?\C'mon in.\Pardon the intrusion.\What am I supposed to do here at the shrine?\Purification? response:	Here, look at this.
context: While we're at it, how'bout we have Sensei handle that thing at the shrine?\Oh, right, that.\What thing?\C'mon in.\Pardon the intrusion.\What am I supposed to do here at the shrine?\Purification?\Here, look at this. response:	These're the names of ev'ryone who donated when the shrine was built.
context: Oh, right, that.\What thing?\C'mon in.\Pardon the intrusion.\What am I supposed to do here at the shrine?\Purification?\Here, look at this.\These're the names of ev'ryone who donated when the shrine was built. response:	It's pretty much all the villagers from back then.
context: What thing?\C'mon in.\Pardon the intrusion.\What am I supposed to do here at the shrine?\Purification?\Here, look at this.\These're the names of ev'ryone who donated when the shrine was built.\It's pretty much all the villagers from back then. response:	I was thinkin' it was'bout time we got it rewritten.
context: C'mon in.\Pardon the intrusion.\What am I supposed to do here at the shrine?\Purification?\Here, look at this.\These're the names of ev'ryone who donated when the shrine was built.\It's pretty much all the villagers from back then.\I was thinkin' it was'bout time we got it rewritten. response:	Here, take this.
context: Pardon the intrusion.\What am I supposed to do here at the shrine?\Purification?\Here, look at this.\These're the names of ev'ryone who donated when the shrine was built.\It's pretty much all the villagers from back then.\I was thinkin' it was'bout time we got it rewritten.\Here, take this. response:	It's the village register.
context: What am I supposed to do here at the shrine?\Purification?\Here, look at this.\These're the names of ev'ryone who donated when the shrine was built.\It's pretty much all the villagers from back then.\I was thinkin' it was'bout time we got it rewritten.\Here, take this.\It's the village register. response:	I'd thought of askin' someone in town to handle the job,
context: Purification?\Here, look at this.\These're the names of ev'ryone who donated when the shrine was built.\It's pretty much all the villagers from back then.\I was thinkin' it was'bout time we got it rewritten.\Here, take this.\It's the village register.\I'd thought of askin' someone in town to handle the job, response:	but you'd do it better, right?
context: Here, look at this.\These're the names of ev'ryone who donated when the shrine was built.\It's pretty much all the villagers from back then.\I was thinkin' it was'bout time we got it rewritten.\Here, take this.\It's the village register.\I'd thought of askin' someone in town to handle the job,\but you'd do it better, right? response:	Take this.
context: These're the names of ev'ryone who donated when the shrine was built.\It's pretty much all the villagers from back then.\I was thinkin' it was'bout time we got it rewritten.\Here, take this.\It's the village register.\I'd thought of askin' someone in town to handle the job,\but you'd do it better, right?\Take this. response:	Wow, this is amazing.
