context: Die. response:	My brain trembles...
context: The fog is coming closer.\It looks like a troublesome one has been drawn here.\Gluttony...\Oh, I suppose they call it the White Whale now.\You called it here, let Lia die,\and now, you die yourself.\You really are useless.\I've heard this laugh before. response:	The voice of a man I hated to death.
context: It looks like a troublesome one has been drawn here.\Gluttony...\Oh, I suppose they call it the White Whale now.\You called it here, let Lia die,\and now, you die yourself.\You really are useless.\I've heard this laugh before.\The voice of a man I hated to death. response:	No... It's me.
context: Gluttony...\Oh, I suppose they call it the White Whale now.\You called it here, let Lia die,\and now, you die yourself.\You really are useless.\I've heard this laugh before.\The voice of a man I hated to death.\No... It's me. response:	I'm laughing at myself.
context: Oh, I suppose they call it the White Whale now.\You called it here, let Lia die,\and now, you die yourself.\You really are useless.\I've heard this laugh before.\The voice of a man I hated to death.\No... It's me.\I'm laughing at myself. response:	I let Rem die, killed Emilia,
context: You called it here, let Lia die,\and now, you die yourself.\You really are useless.\I've heard this laugh before.\The voice of a man I hated to death.\No... It's me.\I'm laughing at myself.\I let Rem die, killed Emilia, response:	and now, I'm going to die in vain.
context: and now, you die yourself.\You really are useless.\I've heard this laugh before.\The voice of a man I hated to death.\No... It's me.\I'm laughing at myself.\I let Rem die, killed Emilia,\and now, I'm going to die in vain. response:	I really am so...
context: You really are useless.\I've heard this laugh before.\The voice of a man I hated to death.\No... It's me.\I'm laughing at myself.\I let Rem die, killed Emilia,\and now, I'm going to die in vain.\I really am so... response:	You truly are slothful, Subaru.
context: I've heard this laugh before.\The voice of a man I hated to death.\No... It's me.\I'm laughing at myself.\I let Rem die, killed Emilia,\and now, I'm going to die in vain.\I really am so...\You truly are slothful, Subaru. response:	Subaru-kun?
context: The voice of a man I hated to death.\No... It's me.\I'm laughing at myself.\I let Rem die, killed Emilia,\and now, I'm going to die in vain.\I really am so...\You truly are slothful, Subaru.\Subaru-kun? response:	What's the matter?
context: No... It's me.\I'm laughing at myself.\I let Rem die, killed Emilia,\and now, I'm going to die in vain.\I really am so...\You truly are slothful, Subaru.\Subaru-kun?\What's the matter? response:	Rem...
context: I'm laughing at myself.\I let Rem die, killed Emilia,\and now, I'm going to die in vain.\I really am so...\You truly are slothful, Subaru.\Subaru-kun?\What's the matter?\Rem... response:	Yes, I'm your Rem.
context: I let Rem die, killed Emilia,\and now, I'm going to die in vain.\I really am so...\You truly are slothful, Subaru.\Subaru-kun?\What's the matter?\Rem...\Yes, I'm your Rem. response:	I'm sorry I didn't notice...
context: and now, I'm going to die in vain.\I really am so...\You truly are slothful, Subaru.\Subaru-kun?\What's the matter?\Rem...\Yes, I'm your Rem.\I'm sorry I didn't notice... response:	This crowd is tiring you, isn't it?
context: I really am so...\You truly are slothful, Subaru.\Subaru-kun?\What's the matter?\Rem...\Yes, I'm your Rem.\I'm sorry I didn't notice...\This crowd is tiring you, isn't it? response:	Tired.
context: You truly are slothful, Subaru.\Subaru-kun?\What's the matter?\Rem...\Yes, I'm your Rem.\I'm sorry I didn't notice...\This crowd is tiring you, isn't it?\Tired. response:	Yeah, that's right...
context: Subaru-kun?\What's the matter?\Rem...\Yes, I'm your Rem.\I'm sorry I didn't notice...\This crowd is tiring you, isn't it?\Tired.\Yeah, that's right... response:	I'm out of energy, worn down...
context: What's the matter?\Rem...\Yes, I'm your Rem.\I'm sorry I didn't notice...\This crowd is tiring you, isn't it?\Tired.\Yeah, that's right...\I'm out of energy, worn down... response:	I'm tired.
context: Rem...\Yes, I'm your Rem.\I'm sorry I didn't notice...\This crowd is tiring you, isn't it?\Tired.\Yeah, that's right...\I'm out of energy, worn down...\I'm tired. response:	Subaru-kun!
context: Yes, I'm your Rem.\I'm sorry I didn't notice...\This crowd is tiring you, isn't it?\Tired.\Yeah, that's right...\I'm out of energy, worn down...\I'm tired.\Subaru-kun! response:	Sorry about that...
context: I'm sorry I didn't notice...\This crowd is tiring you, isn't it?\Tired.\Yeah, that's right...\I'm out of energy, worn down...\I'm tired.\Subaru-kun!\Sorry about that... response:	I was feeling kind of stressed,
context: This crowd is tiring you, isn't it?\Tired.\Yeah, that's right...\I'm out of energy, worn down...\I'm tired.\Subaru-kun!\Sorry about that...\I was feeling kind of stressed, response:	so I skipped out on explaining.
context: Tired.\Yeah, that's right...\I'm out of energy, worn down...\I'm tired.\Subaru-kun!\Sorry about that...\I was feeling kind of stressed,\so I skipped out on explaining. response:	Sorry.
context: Yeah, that's right...\I'm out of energy, worn down...\I'm tired.\Subaru-kun!\Sorry about that...\I was feeling kind of stressed,\so I skipped out on explaining.\Sorry. response:	Really, you mustn't do that...
context: I'm out of energy, worn down...\I'm tired.\Subaru-kun!\Sorry about that...\I was feeling kind of stressed,\so I skipped out on explaining.\Sorry.\Really, you mustn't do that... response:	I realize that you are giving a great deal of thought to our situation.
context: I'm tired.\Subaru-kun!\Sorry about that...\I was feeling kind of stressed,\so I skipped out on explaining.\Sorry.\Really, you mustn't do that...\I realize that you are giving a great deal of thought to our situation. response:	But I don't dislike it when you are so forceful.
context: Subaru-kun!\Sorry about that...\I was feeling kind of stressed,\so I skipped out on explaining.\Sorry.\Really, you mustn't do that...\I realize that you are giving a great deal of thought to our situation.\But I don't dislike it when you are so forceful. response:	Sorry that I worried you.
context: Sorry about that...\I was feeling kind of stressed,\so I skipped out on explaining.\Sorry.\Really, you mustn't do that...\I realize that you are giving a great deal of thought to our situation.\But I don't dislike it when you are so forceful.\Sorry that I worried you. response:	I'm fine now.
context: I was feeling kind of stressed,\so I skipped out on explaining.\Sorry.\Really, you mustn't do that...\I realize that you are giving a great deal of thought to our situation.\But I don't dislike it when you are so forceful.\Sorry that I worried you.\I'm fine now. response:	I guess you've seen me just being pathetic, depressed all the time...
context: so I skipped out on explaining.\Sorry.\Really, you mustn't do that...\I realize that you are giving a great deal of thought to our situation.\But I don't dislike it when you are so forceful.\Sorry that I worried you.\I'm fine now.\I guess you've seen me just being pathetic, depressed all the time... response:	But I get it now.
context: Sorry.\Really, you mustn't do that...\I realize that you are giving a great deal of thought to our situation.\But I don't dislike it when you are so forceful.\Sorry that I worried you.\I'm fine now.\I guess you've seen me just being pathetic, depressed all the time...\But I get it now. response:	You get it now?
context: Really, you mustn't do that...\I realize that you are giving a great deal of thought to our situation.\But I don't dislike it when you are so forceful.\Sorry that I worried you.\I'm fine now.\I guess you've seen me just being pathetic, depressed all the time...\But I get it now.\You get it now? response:	I've bothered a lot of people
context: I realize that you are giving a great deal of thought to our situation.\But I don't dislike it when you are so forceful.\Sorry that I worried you.\I'm fine now.\I guess you've seen me just being pathetic, depressed all the time...\But I get it now.\You get it now?\I've bothered a lot of people response:	with all my contemplating and agonizing,
context: But I don't dislike it when you are so forceful.\Sorry that I worried you.\I'm fine now.\I guess you've seen me just being pathetic, depressed all the time...\But I get it now.\You get it now?\I've bothered a lot of people\with all my contemplating and agonizing, response:	but I finally figured out how to take care of everything.
context: Sorry that I worried you.\I'm fine now.\I guess you've seen me just being pathetic, depressed all the time...\But I get it now.\You get it now?\I've bothered a lot of people\with all my contemplating and agonizing,\but I finally figured out how to take care of everything. response:	Or, when I really think about it,
context: I'm fine now.\I guess you've seen me just being pathetic, depressed all the time...\But I get it now.\You get it now?\I've bothered a lot of people\with all my contemplating and agonizing,\but I finally figured out how to take care of everything.\Or, when I really think about it, response:	I was told what to do from the very start.
context: I guess you've seen me just being pathetic, depressed all the time...\But I get it now.\You get it now?\I've bothered a lot of people\with all my contemplating and agonizing,\but I finally figured out how to take care of everything.\Or, when I really think about it,\I was told what to do from the very start. response:	But I don't know when to give up...
context: But I get it now.\You get it now?\I've bothered a lot of people\with all my contemplating and agonizing,\but I finally figured out how to take care of everything.\Or, when I really think about it,\I was told what to do from the very start.\But I don't know when to give up... response:	But I think that is what's so wonderful about you.
context: You get it now?\I've bothered a lot of people\with all my contemplating and agonizing,\but I finally figured out how to take care of everything.\Or, when I really think about it,\I was told what to do from the very start.\But I don't know when to give up...\But I think that is what's so wonderful about you. response:	Things I've realized and been forced to realize...
context: I've bothered a lot of people\with all my contemplating and agonizing,\but I finally figured out how to take care of everything.\Or, when I really think about it,\I was told what to do from the very start.\But I don't know when to give up...\But I think that is what's so wonderful about you.\Things I've realized and been forced to realize... response:	All kinds of experiences have brought me here,
context: with all my contemplating and agonizing,\but I finally figured out how to take care of everything.\Or, when I really think about it,\I was told what to do from the very start.\But I don't know when to give up...\But I think that is what's so wonderful about you.\Things I've realized and been forced to realize...\All kinds of experiences have brought me here, response:	but I've actually had the answer for a long time...
context: but I finally figured out how to take care of everything.\Or, when I really think about it,\I was told what to do from the very start.\But I don't know when to give up...\But I think that is what's so wonderful about you.\Things I've realized and been forced to realize...\All kinds of experiences have brought me here,\but I've actually had the answer for a long time... response:	I've decided, Rem.
context: Or, when I really think about it,\I was told what to do from the very start.\But I don't know when to give up...\But I think that is what's so wonderful about you.\Things I've realized and been forced to realize...\All kinds of experiences have brought me here,\but I've actually had the answer for a long time...\I've decided, Rem. response:	Yes?
context: I was told what to do from the very start.\But I don't know when to give up...\But I think that is what's so wonderful about you.\Things I've realized and been forced to realize...\All kinds of experiences have brought me here,\but I've actually had the answer for a long time...\I've decided, Rem.\Yes? response:	Run away with me.
context: But I don't know when to give up...\But I think that is what's so wonderful about you.\Things I've realized and been forced to realize...\All kinds of experiences have brought me here,\but I've actually had the answer for a long time...\I've decided, Rem.\Yes?\Run away with me. response:	As far as we can go.
context: But I think that is what's so wonderful about you.\Things I've realized and been forced to realize...\All kinds of experiences have brought me here,\but I've actually had the answer for a long time...\I've decided, Rem.\Yes?\Run away with me.\As far as we can go. response:	Huh?
context: Things I've realized and been forced to realize...\All kinds of experiences have brought me here,\but I've actually had the answer for a long time...\I've decided, Rem.\Yes?\Run away with me.\As far as we can go.\Huh? response:	I'm going to leave the capital, to head far west.
context: All kinds of experiences have brought me here,\but I've actually had the answer for a long time...\I've decided, Rem.\Yes?\Run away with me.\As far as we can go.\Huh?\I'm going to leave the capital, to head far west. response:	Or maybe north.
context: but I've actually had the answer for a long time...\I've decided, Rem.\Yes?\Run away with me.\As far as we can go.\Huh?\I'm going to leave the capital, to head far west.\Or maybe north. response:	Um...
context: I've decided, Rem.\Yes?\Run away with me.\As far as we can go.\Huh?\I'm going to leave the capital, to head far west.\Or maybe north.\Um... response:	I heard no one can enter the southern kingdom,
context: Yes?\Run away with me.\As far as we can go.\Huh?\I'm going to leave the capital, to head far west.\Or maybe north.\Um...\I heard no one can enter the southern kingdom, response:	so one of those two.
context: Run away with me.\As far as we can go.\Huh?\I'm going to leave the capital, to head far west.\Or maybe north.\Um...\I heard no one can enter the southern kingdom,\so one of those two. response:	I don't like cold weather,
context: As far as we can go.\Huh?\I'm going to leave the capital, to head far west.\Or maybe north.\Um...\I heard no one can enter the southern kingdom,\so one of those two.\I don't like cold weather, response:	so I'd personally recommend west.
context: Huh?\I'm going to leave the capital, to head far west.\Or maybe north.\Um...\I heard no one can enter the southern kingdom,\so one of those two.\I don't like cold weather,\so I'd personally recommend west. response:	Ah, um...
context: I'm going to leave the capital, to head far west.\Or maybe north.\Um...\I heard no one can enter the southern kingdom,\so one of those two.\I don't like cold weather,\so I'd personally recommend west.\Ah, um... response:	Honestly, it could be a long journey,
context: Or maybe north.\Um...\I heard no one can enter the southern kingdom,\so one of those two.\I don't like cold weather,\so I'd personally recommend west.\Ah, um...\Honestly, it could be a long journey, response:	and I know this is a snap decision,
context: Um...\I heard no one can enter the southern kingdom,\so one of those two.\I don't like cold weather,\so I'd personally recommend west.\Ah, um...\Honestly, it could be a long journey,\and I know this is a snap decision, response:	so it won't be easy
context: I heard no one can enter the southern kingdom,\so one of those two.\I don't like cold weather,\so I'd personally recommend west.\Ah, um...\Honestly, it could be a long journey,\and I know this is a snap decision,\so it won't be easy response:	P-Please wait!
context: so one of those two.\I don't like cold weather,\so I'd personally recommend west.\Ah, um...\Honestly, it could be a long journey,\and I know this is a snap decision,\so it won't be easy\P-Please wait! response:	The way you said that makes it sound as if
context: I don't like cold weather,\so I'd personally recommend west.\Ah, um...\Honestly, it could be a long journey,\and I know this is a snap decision,\so it won't be easy\P-Please wait!\The way you said that makes it sound as if response:	you plan to go to some other country that isn't Lugunica...
context: so I'd personally recommend west.\Ah, um...\Honestly, it could be a long journey,\and I know this is a snap decision,\so it won't be easy\P-Please wait!\The way you said that makes it sound as if\you plan to go to some other country that isn't Lugunica... response:	Oh!
context: Ah, um...\Honestly, it could be a long journey,\and I know this is a snap decision,\so it won't be easy\P-Please wait!\The way you said that makes it sound as if\you plan to go to some other country that isn't Lugunica...\Oh! response:	Knowing you, it must be because you've had another great idea!
context: Honestly, it could be a long journey,\and I know this is a snap decision,\so it won't be easy\P-Please wait!\The way you said that makes it sound as if\you plan to go to some other country that isn't Lugunica...\Oh!\Knowing you, it must be because you've had another great idea! response:	Something that will help Emilia-sama and Roswaal-sama!
context: and I know this is a snap decision,\so it won't be easy\P-Please wait!\The way you said that makes it sound as if\you plan to go to some other country that isn't Lugunica...\Oh!\Knowing you, it must be because you've had another great idea!\Something that will help Emilia-sama and Roswaal-sama! response:	That's not what this is, Rem.
context: so it won't be easy\P-Please wait!\The way you said that makes it sound as if\you plan to go to some other country that isn't Lugunica...\Oh!\Knowing you, it must be because you've had another great idea!\Something that will help Emilia-sama and Roswaal-sama!\That's not what this is, Rem. response:	There's nothing I can do in the capital.
context: P-Please wait!\The way you said that makes it sound as if\you plan to go to some other country that isn't Lugunica...\Oh!\Knowing you, it must be because you've had another great idea!\Something that will help Emilia-sama and Roswaal-sama!\That's not what this is, Rem.\There's nothing I can do in the capital. response:	But I'd be just as powerless if I went back to the mansion.
context: The way you said that makes it sound as if\you plan to go to some other country that isn't Lugunica...\Oh!\Knowing you, it must be because you've had another great idea!\Something that will help Emilia-sama and Roswaal-sama!\That's not what this is, Rem.\There's nothing I can do in the capital.\But I'd be just as powerless if I went back to the mansion. response:	That's what I figured out.
context: you plan to go to some other country that isn't Lugunica...\Oh!\Knowing you, it must be because you've had another great idea!\Something that will help Emilia-sama and Roswaal-sama!\That's not what this is, Rem.\There's nothing I can do in the capital.\But I'd be just as powerless if I went back to the mansion.\That's what I figured out. response:	So run away with me, Rem.
context: Oh!\Knowing you, it must be because you've had another great idea!\Something that will help Emilia-sama and Roswaal-sama!\That's not what this is, Rem.\There's nothing I can do in the capital.\But I'd be just as powerless if I went back to the mansion.\That's what I figured out.\So run away with me, Rem. response:	We can't stay here.
context: Knowing you, it must be because you've had another great idea!\Something that will help Emilia-sama and Roswaal-sama!\That's not what this is, Rem.\There's nothing I can do in the capital.\But I'd be just as powerless if I went back to the mansion.\That's what I figured out.\So run away with me, Rem.\We can't stay here. response:	That's what everyone has been telling me.
context: Something that will help Emilia-sama and Roswaal-sama!\That's not what this is, Rem.\There's nothing I can do in the capital.\But I'd be just as powerless if I went back to the mansion.\That's what I figured out.\So run away with me, Rem.\We can't stay here.\That's what everyone has been telling me. response:	I didn't want to believe it,
context: That's not what this is, Rem.\There's nothing I can do in the capital.\But I'd be just as powerless if I went back to the mansion.\That's what I figured out.\So run away with me, Rem.\We can't stay here.\That's what everyone has been telling me.\I didn't want to believe it, response:	so I've denied it with all my might, but...
context: There's nothing I can do in the capital.\But I'd be just as powerless if I went back to the mansion.\That's what I figured out.\So run away with me, Rem.\We can't stay here.\That's what everyone has been telling me.\I didn't want to believe it,\so I've denied it with all my might, but... response:	Yeah, they're right.
context: But I'd be just as powerless if I went back to the mansion.\That's what I figured out.\So run away with me, Rem.\We can't stay here.\That's what everyone has been telling me.\I didn't want to believe it,\so I've denied it with all my might, but...\Yeah, they're right. response:	No one ever needed me.
context: That's what I figured out.\So run away with me, Rem.\We can't stay here.\That's what everyone has been telling me.\I didn't want to believe it,\so I've denied it with all my might, but...\Yeah, they're right.\No one ever needed me. response:	That's not
context: So run away with me, Rem.\We can't stay here.\That's what everyone has been telling me.\I didn't want to believe it,\so I've denied it with all my might, but...\Yeah, they're right.\No one ever needed me.\That's not response:	It is true!
