context: Is everything my fault? response:	Then what should I have done?
context: From: Hinata Title: To Kiriyama Good work today! We're having curry tonight, so come over!! We'll be waiting See you! (o)/ *Hinata*\Rei is here!\I bet you're tired. Dinner's ready!\Rei, hurry up! I'm hungry!\Rei, did you get ice cream?\Hey, Momo!\This is the Kawamoto Family.\It's a house of three sisters who live in Sangatsu block. response:	The oldest sister is Akari, the middle sister is Hina, and the youngest is Momo.
context: Rei is here!\I bet you're tired. Dinner's ready!\Rei, hurry up! I'm hungry!\Rei, did you get ice cream?\Hey, Momo!\This is the Kawamoto Family.\It's a house of three sisters who live in Sangatsu block.\The oldest sister is Akari, the middle sister is Hina, and the youngest is Momo. response:	Mikazuki-Dou
context: I bet you're tired. Dinner's ready!\Rei, hurry up! I'm hungry!\Rei, did you get ice cream?\Hey, Momo!\This is the Kawamoto Family.\It's a house of three sisters who live in Sangatsu block.\The oldest sister is Akari, the middle sister is Hina, and the youngest is Momo.\Mikazuki-Dou response:	And lastly, the owner of the Mikazuki-Dou Sweet Shop, is the grandfather Someji.
context: Rei, hurry up! I'm hungry!\Rei, did you get ice cream?\Hey, Momo!\This is the Kawamoto Family.\It's a house of three sisters who live in Sangatsu block.\The oldest sister is Akari, the middle sister is Hina, and the youngest is Momo.\Mikazuki-Dou\And lastly, the owner of the Mikazuki-Dou Sweet Shop, is the grandfather Someji. response:	We don't have any special connections or anything,
context: Rei, did you get ice cream?\Hey, Momo!\This is the Kawamoto Family.\It's a house of three sisters who live in Sangatsu block.\The oldest sister is Akari, the middle sister is Hina, and the youngest is Momo.\Mikazuki-Dou\And lastly, the owner of the Mikazuki-Dou Sweet Shop, is the grandfather Someji.\We don't have any special connections or anything, response:	but still, these sisters invited someone like me into their house.
context: Hey, Momo!\This is the Kawamoto Family.\It's a house of three sisters who live in Sangatsu block.\The oldest sister is Akari, the middle sister is Hina, and the youngest is Momo.\Mikazuki-Dou\And lastly, the owner of the Mikazuki-Dou Sweet Shop, is the grandfather Someji.\We don't have any special connections or anything,\but still, these sisters invited someone like me into their house. response:	It was the same as that time.
context: This is the Kawamoto Family.\It's a house of three sisters who live in Sangatsu block.\The oldest sister is Akari, the middle sister is Hina, and the youngest is Momo.\Mikazuki-Dou\And lastly, the owner of the Mikazuki-Dou Sweet Shop, is the grandfather Someji.\We don't have any special connections or anything,\but still, these sisters invited someone like me into their house.\It was the same as that time. response:	A senpai shogi player forced me to go with him.
context: It's a house of three sisters who live in Sangatsu block.\The oldest sister is Akari, the middle sister is Hina, and the youngest is Momo.\Mikazuki-Dou\And lastly, the owner of the Mikazuki-Dou Sweet Shop, is the grandfather Someji.\We don't have any special connections or anything,\but still, these sisters invited someone like me into their house.\It was the same as that time.\A senpai shogi player forced me to go with him. response:	She found me passed out on the sidewalk.
context: The oldest sister is Akari, the middle sister is Hina, and the youngest is Momo.\Mikazuki-Dou\And lastly, the owner of the Mikazuki-Dou Sweet Shop, is the grandfather Someji.\We don't have any special connections or anything,\but still, these sisters invited someone like me into their house.\It was the same as that time.\A senpai shogi player forced me to go with him.\She found me passed out on the sidewalk. response:	Are you okay? Where are the people you were with?
context: Mikazuki-Dou\And lastly, the owner of the Mikazuki-Dou Sweet Shop, is the grandfather Someji.\We don't have any special connections or anything,\but still, these sisters invited someone like me into their house.\It was the same as that time.\A senpai shogi player forced me to go with him.\She found me passed out on the sidewalk.\Are you okay? Where are the people you were with? response:	Where do you live?
context: And lastly, the owner of the Mikazuki-Dou Sweet Shop, is the grandfather Someji.\We don't have any special connections or anything,\but still, these sisters invited someone like me into their house.\It was the same as that time.\A senpai shogi player forced me to go with him.\She found me passed out on the sidewalk.\Are you okay? Where are the people you were with?\Where do you live? response:	R-Rokugatsu block.
context: We don't have any special connections or anything,\but still, these sisters invited someone like me into their house.\It was the same as that time.\A senpai shogi player forced me to go with him.\She found me passed out on the sidewalk.\Are you okay? Where are the people you were with?\Where do you live?\R-Rokugatsu block. response:	Oh, that's near my neighborhood. I live in Sangatsu block.
context: but still, these sisters invited someone like me into their house.\It was the same as that time.\A senpai shogi player forced me to go with him.\She found me passed out on the sidewalk.\Are you okay? Where are the people you were with?\Where do you live?\R-Rokugatsu block.\Oh, that's near my neighborhood. I live in Sangatsu block. response:	Can you walk?
context: It was the same as that time.\A senpai shogi player forced me to go with him.\She found me passed out on the sidewalk.\Are you okay? Where are the people you were with?\Where do you live?\R-Rokugatsu block.\Oh, that's near my neighborhood. I live in Sangatsu block.\Can you walk? response:	Goodness, you're just skin and bones.
context: A senpai shogi player forced me to go with him.\She found me passed out on the sidewalk.\Are you okay? Where are the people you were with?\Where do you live?\R-Rokugatsu block.\Oh, that's near my neighborhood. I live in Sangatsu block.\Can you walk?\Goodness, you're just skin and bones. response:	Sis will pick up any kind of stray.
context: She found me passed out on the sidewalk.\Are you okay? Where are the people you were with?\Where do you live?\R-Rokugatsu block.\Oh, that's near my neighborhood. I live in Sangatsu block.\Can you walk?\Goodness, you're just skin and bones.\Sis will pick up any kind of stray. response:	But I was surprised when she brought a person home.
context: Are you okay? Where are the people you were with?\Where do you live?\R-Rokugatsu block.\Oh, that's near my neighborhood. I live in Sangatsu block.\Can you walk?\Goodness, you're just skin and bones.\Sis will pick up any kind of stray.\But I was surprised when she brought a person home. response:	GONG GONG WHIRL WHIRL
context: Where do you live?\R-Rokugatsu block.\Oh, that's near my neighborhood. I live in Sangatsu block.\Can you walk?\Goodness, you're just skin and bones.\Sis will pick up any kind of stray.\But I was surprised when she brought a person home.\GONG GONG WHIRL WHIRL response:	Sis, he woke up!
context: R-Rokugatsu block.\Oh, that's near my neighborhood. I live in Sangatsu block.\Can you walk?\Goodness, you're just skin and bones.\Sis will pick up any kind of stray.\But I was surprised when she brought a person home.\GONG GONG WHIRL WHIRL\Sis, he woke up! response:	He woke up!
context: Oh, that's near my neighborhood. I live in Sangatsu block.\Can you walk?\Goodness, you're just skin and bones.\Sis will pick up any kind of stray.\But I was surprised when she brought a person home.\GONG GONG WHIRL WHIRL\Sis, he woke up!\He woke up! response:	You're awake, huh?
context: Can you walk?\Goodness, you're just skin and bones.\Sis will pick up any kind of stray.\But I was surprised when she brought a person home.\GONG GONG WHIRL WHIRL\Sis, he woke up!\He woke up!\You're awake, huh? response:	Want some miso soup?
context: Goodness, you're just skin and bones.\Sis will pick up any kind of stray.\But I was surprised when she brought a person home.\GONG GONG WHIRL WHIRL\Sis, he woke up!\He woke up!\You're awake, huh?\Want some miso soup? response:	It was my first time there,
context: Sis will pick up any kind of stray.\But I was surprised when she brought a person home.\GONG GONG WHIRL WHIRL\Sis, he woke up!\He woke up!\You're awake, huh?\Want some miso soup?\It was my first time there, response:	but for some reason, that old house made me feel nostalgic.
context: But I was surprised when she brought a person home.\GONG GONG WHIRL WHIRL\Sis, he woke up!\He woke up!\You're awake, huh?\Want some miso soup?\It was my first time there,\but for some reason, that old house made me feel nostalgic. response:	This was my first time meeting the three sisters.
context: GONG GONG WHIRL WHIRL\Sis, he woke up!\He woke up!\You're awake, huh?\Want some miso soup?\It was my first time there,\but for some reason, that old house made me feel nostalgic.\This was my first time meeting the three sisters. response:	Akari, Hina, and Momo.
context: Sis, he woke up!\He woke up!\You're awake, huh?\Want some miso soup?\It was my first time there,\but for some reason, that old house made me feel nostalgic.\This was my first time meeting the three sisters.\Akari, Hina, and Momo. response:	They told me to come over anytime,
context: He woke up!\You're awake, huh?\Want some miso soup?\It was my first time there,\but for some reason, that old house made me feel nostalgic.\This was my first time meeting the three sisters.\Akari, Hina, and Momo.\They told me to come over anytime, response:	but did they mean it?
context: You're awake, huh?\Want some miso soup?\It was my first time there,\but for some reason, that old house made me feel nostalgic.\This was my first time meeting the three sisters.\Akari, Hina, and Momo.\They told me to come over anytime,\but did they mean it? response:	Still, just having a place where I was told to come over...
context: Want some miso soup?\It was my first time there,\but for some reason, that old house made me feel nostalgic.\This was my first time meeting the three sisters.\Akari, Hina, and Momo.\They told me to come over anytime,\but did they mean it?\Still, just having a place where I was told to come over... response:	The words alone made me happy, and my stomach felt full.
context: It was my first time there,\but for some reason, that old house made me feel nostalgic.\This was my first time meeting the three sisters.\Akari, Hina, and Momo.\They told me to come over anytime,\but did they mean it?\Still, just having a place where I was told to come over...\The words alone made me happy, and my stomach felt full. response:	That alone felt enough.
context: but for some reason, that old house made me feel nostalgic.\This was my first time meeting the three sisters.\Akari, Hina, and Momo.\They told me to come over anytime,\but did they mean it?\Still, just having a place where I was told to come over...\The words alone made me happy, and my stomach felt full.\That alone felt enough. response:	I began living on my own, and started attending high school.
context: This was my first time meeting the three sisters.\Akari, Hina, and Momo.\They told me to come over anytime,\but did they mean it?\Still, just having a place where I was told to come over...\The words alone made me happy, and my stomach felt full.\That alone felt enough.\I began living on my own, and started attending high school. response:	But I was one year behind, so I couldn't really fit in.
context: Akari, Hina, and Momo.\They told me to come over anytime,\but did they mean it?\Still, just having a place where I was told to come over...\The words alone made me happy, and my stomach felt full.\That alone felt enough.\I began living on my own, and started attending high school.\But I was one year behind, so I couldn't really fit in. response:	That's a huge rice ball.
context: They told me to come over anytime,\but did they mean it?\Still, just having a place where I was told to come over...\The words alone made me happy, and my stomach felt full.\That alone felt enough.\I began living on my own, and started attending high school.\But I was one year behind, so I couldn't really fit in.\That's a huge rice ball. response:	My homeroom teacher, Mr. Hayashida, was a shogi fan, and often worried about my situation.
context: but did they mean it?\Still, just having a place where I was told to come over...\The words alone made me happy, and my stomach felt full.\That alone felt enough.\I began living on my own, and started attending high school.\But I was one year behind, so I couldn't really fit in.\That's a huge rice ball.\My homeroom teacher, Mr. Hayashida, was a shogi fan, and often worried about my situation. response:	Even though he became a professional during middle school and considered a genius,
context: Still, just having a place where I was told to come over...\The words alone made me happy, and my stomach felt full.\That alone felt enough.\I began living on my own, and started attending high school.\But I was one year behind, so I couldn't really fit in.\That's a huge rice ball.\My homeroom teacher, Mr. Hayashida, was a shogi fan, and often worried about my situation.\Even though he became a professional during middle school and considered a genius, response:	here, he's just a 17-year-old with issues like anyone else.
context: The words alone made me happy, and my stomach felt full.\That alone felt enough.\I began living on my own, and started attending high school.\But I was one year behind, so I couldn't really fit in.\That's a huge rice ball.\My homeroom teacher, Mr. Hayashida, was a shogi fan, and often worried about my situation.\Even though he became a professional during middle school and considered a genius,\here, he's just a 17-year-old with issues like anyone else. response:	I wonder what he's thinking about.
context: That alone felt enough.\I began living on my own, and started attending high school.\But I was one year behind, so I couldn't really fit in.\That's a huge rice ball.\My homeroom teacher, Mr. Hayashida, was a shogi fan, and often worried about my situation.\Even though he became a professional during middle school and considered a genius,\here, he's just a 17-year-old with issues like anyone else.\I wonder what he's thinking about. response:	It still hasn't come.
context: I began living on my own, and started attending high school.\But I was one year behind, so I couldn't really fit in.\That's a huge rice ball.\My homeroom teacher, Mr. Hayashida, was a shogi fan, and often worried about my situation.\Even though he became a professional during middle school and considered a genius,\here, he's just a 17-year-old with issues like anyone else.\I wonder what he's thinking about.\It still hasn't come. response:	Is this what you're looking for...
context: But I was one year behind, so I couldn't really fit in.\That's a huge rice ball.\My homeroom teacher, Mr. Hayashida, was a shogi fan, and often worried about my situation.\Even though he became a professional during middle school and considered a genius,\here, he's just a 17-year-old with issues like anyone else.\I wonder what he's thinking about.\It still hasn't come.\Is this what you're looking for... response:	Mr. Rei Kiriyama MATCH NOTIFICATION
context: That's a huge rice ball.\My homeroom teacher, Mr. Hayashida, was a shogi fan, and often worried about my situation.\Even though he became a professional during middle school and considered a genius,\here, he's just a 17-year-old with issues like anyone else.\I wonder what he's thinking about.\It still hasn't come.\Is this what you're looking for...\Mr. Rei Kiriyama MATCH NOTIFICATION response:	CHUB
context: My homeroom teacher, Mr. Hayashida, was a shogi fan, and often worried about my situation.\Even though he became a professional during middle school and considered a genius,\here, he's just a 17-year-old with issues like anyone else.\I wonder what he's thinking about.\It still hasn't come.\Is this what you're looking for...\Mr. Rei Kiriyama MATCH NOTIFICATION\CHUB response:	Bastard!
context: Even though he became a professional during middle school and considered a genius,\here, he's just a 17-year-old with issues like anyone else.\I wonder what he's thinking about.\It still hasn't come.\Is this what you're looking for...\Mr. Rei Kiriyama MATCH NOTIFICATION\CHUB\Bastard! response:	Don't put me off like that, Kiriyama! We're friends, aren't we?
context: here, he's just a 17-year-old with issues like anyone else.\I wonder what he's thinking about.\It still hasn't come.\Is this what you're looking for...\Mr. Rei Kiriyama MATCH NOTIFICATION\CHUB\Bastard!\Don't put me off like that, Kiriyama! We're friends, aren't we? response:	Friends?
context: I wonder what he's thinking about.\It still hasn't come.\Is this what you're looking for...\Mr. Rei Kiriyama MATCH NOTIFICATION\CHUB\Bastard!\Don't put me off like that, Kiriyama! We're friends, aren't we?\Friends? response:	Starting with a guy who always calls me best friend to rival, Harunobu Nikaidou,
context: It still hasn't come.\Is this what you're looking for...\Mr. Rei Kiriyama MATCH NOTIFICATION\CHUB\Bastard!\Don't put me off like that, Kiriyama! We're friends, aren't we?\Friends?\Starting with a guy who always calls me best friend to rival, Harunobu Nikaidou, response:	the professional shogi players around me all have a strong uniqueness to them.
context: Is this what you're looking for...\Mr. Rei Kiriyama MATCH NOTIFICATION\CHUB\Bastard!\Don't put me off like that, Kiriyama! We're friends, aren't we?\Friends?\Starting with a guy who always calls me best friend to rival, Harunobu Nikaidou,\the professional shogi players around me all have a strong uniqueness to them. response:	His name is Issa Matsumoto.
context: Mr. Rei Kiriyama MATCH NOTIFICATION\CHUB\Bastard!\Don't put me off like that, Kiriyama! We're friends, aren't we?\Friends?\Starting with a guy who always calls me best friend to rival, Harunobu Nikaidou,\the professional shogi players around me all have a strong uniqueness to them.\His name is Issa Matsumoto. response:	His playing style is aggressive.
context: CHUB\Bastard!\Don't put me off like that, Kiriyama! We're friends, aren't we?\Friends?\Starting with a guy who always calls me best friend to rival, Harunobu Nikaidou,\the professional shogi players around me all have a strong uniqueness to them.\His name is Issa Matsumoto.\His playing style is aggressive. response:	In fact, all he does is attack.
context: Bastard!\Don't put me off like that, Kiriyama! We're friends, aren't we?\Friends?\Starting with a guy who always calls me best friend to rival, Harunobu Nikaidou,\the professional shogi players around me all have a strong uniqueness to them.\His name is Issa Matsumoto.\His playing style is aggressive.\In fact, all he does is attack. response:	Hey. Knock it off, Issa.
context: Don't put me off like that, Kiriyama! We're friends, aren't we?\Friends?\Starting with a guy who always calls me best friend to rival, Harunobu Nikaidou,\the professional shogi players around me all have a strong uniqueness to them.\His name is Issa Matsumoto.\His playing style is aggressive.\In fact, all he does is attack.\Hey. Knock it off, Issa. response:	You'll scare me.
context: Friends?\Starting with a guy who always calls me best friend to rival, Harunobu Nikaidou,\the professional shogi players around me all have a strong uniqueness to them.\His name is Issa Matsumoto.\His playing style is aggressive.\In fact, all he does is attack.\Hey. Knock it off, Issa.\You'll scare me. response:	This is Smith.
context: Starting with a guy who always calls me best friend to rival, Harunobu Nikaidou,\the professional shogi players around me all have a strong uniqueness to them.\His name is Issa Matsumoto.\His playing style is aggressive.\In fact, all he does is attack.\Hey. Knock it off, Issa.\You'll scare me.\This is Smith. response:	180 cm Kendo Club (almost never attends)
context: the professional shogi players around me all have a strong uniqueness to them.\His name is Issa Matsumoto.\His playing style is aggressive.\In fact, all he does is attack.\Hey. Knock it off, Issa.\You'll scare me.\This is Smith.\180 cm Kendo Club (almost never attends) response:	181 cm Volleyball Club (never attends)
context: His name is Issa Matsumoto.\His playing style is aggressive.\In fact, all he does is attack.\Hey. Knock it off, Issa.\You'll scare me.\This is Smith.\180 cm Kendo Club (almost never attends)\181 cm Volleyball Club (never attends) response:	It seems they get along well because they're both tall.
context: His playing style is aggressive.\In fact, all he does is attack.\Hey. Knock it off, Issa.\You'll scare me.\This is Smith.\180 cm Kendo Club (almost never attends)\181 cm Volleyball Club (never attends)\It seems they get along well because they're both tall. response:	During a match, various emotions run towards me.
context: In fact, all he does is attack.\Hey. Knock it off, Issa.\You'll scare me.\This is Smith.\180 cm Kendo Club (almost never attends)\181 cm Volleyball Club (never attends)\It seems they get along well because they're both tall.\During a match, various emotions run towards me. response:	Shall we begin?
context: Hey. Knock it off, Issa.\You'll scare me.\This is Smith.\180 cm Kendo Club (almost never attends)\181 cm Volleyball Club (never attends)\It seems they get along well because they're both tall.\During a match, various emotions run towards me.\Shall we begin? response:	I want to win. I don't want to lose. But, how do I feel about that?
context: You'll scare me.\This is Smith.\180 cm Kendo Club (almost never attends)\181 cm Volleyball Club (never attends)\It seems they get along well because they're both tall.\During a match, various emotions run towards me.\Shall we begin?\I want to win. I don't want to lose. But, how do I feel about that? response:	Have I changed at all? Ever since that time?
context: This is Smith.\180 cm Kendo Club (almost never attends)\181 cm Volleyball Club (never attends)\It seems they get along well because they're both tall.\During a match, various emotions run towards me.\Shall we begin?\I want to win. I don't want to lose. But, how do I feel about that?\Have I changed at all? Ever since that time? response:	You don't play like a child.
context: 180 cm Kendo Club (almost never attends)\181 cm Volleyball Club (never attends)\It seems they get along well because they're both tall.\During a match, various emotions run towards me.\Shall we begin?\I want to win. I don't want to lose. But, how do I feel about that?\Have I changed at all? Ever since that time?\You don't play like a child. response:	You came to checkmate me.
context: 181 cm Volleyball Club (never attends)\It seems they get along well because they're both tall.\During a match, various emotions run towards me.\Shall we begin?\I want to win. I don't want to lose. But, how do I feel about that?\Have I changed at all? Ever since that time?\You don't play like a child.\You came to checkmate me. response:	Even though he was my father's friend, every time he came over,
context: It seems they get along well because they're both tall.\During a match, various emotions run towards me.\Shall we begin?\I want to win. I don't want to lose. But, how do I feel about that?\Have I changed at all? Ever since that time?\You don't play like a child.\You came to checkmate me.\Even though he was my father's friend, every time he came over, response:	I would get happy and restless.
context: During a match, various emotions run towards me.\Shall we begin?\I want to win. I don't want to lose. But, how do I feel about that?\Have I changed at all? Ever since that time?\You don't play like a child.\You came to checkmate me.\Even though he was my father's friend, every time he came over,\I would get happy and restless. response:	Kouda, sorry I'm late.
context: Shall we begin?\I want to win. I don't want to lose. But, how do I feel about that?\Have I changed at all? Ever since that time?\You don't play like a child.\You came to checkmate me.\Even though he was my father's friend, every time he came over,\I would get happy and restless.\Kouda, sorry I'm late. response:	An emergency came up.
context: I want to win. I don't want to lose. But, how do I feel about that?\Have I changed at all? Ever since that time?\You don't play like a child.\You came to checkmate me.\Even though he was my father's friend, every time he came over,\I would get happy and restless.\Kouda, sorry I'm late.\An emergency came up. response:	Oh, good work.
context: Have I changed at all? Ever since that time?\You don't play like a child.\You came to checkmate me.\Even though he was my father's friend, every time he came over,\I would get happy and restless.\Kouda, sorry I'm late.\An emergency came up.\Oh, good work. response:	Shogi wasn't my favorite, but it was precious time that I could spend with my busy father.
context: You don't play like a child.\You came to checkmate me.\Even though he was my father's friend, every time he came over,\I would get happy and restless.\Kouda, sorry I'm late.\An emergency came up.\Oh, good work.\Shogi wasn't my favorite, but it was precious time that I could spend with my busy father. response:	So I did my best.
context: You came to checkmate me.\Even though he was my father's friend, every time he came over,\I would get happy and restless.\Kouda, sorry I'm late.\An emergency came up.\Oh, good work.\Shogi wasn't my favorite, but it was precious time that I could spend with my busy father.\So I did my best. response:	In the neighborhood and at school, I got bullied a lot.
context: Even though he was my father's friend, every time he came over,\I would get happy and restless.\Kouda, sorry I'm late.\An emergency came up.\Oh, good work.\Shogi wasn't my favorite, but it was precious time that I could spend with my busy father.\So I did my best.\In the neighborhood and at school, I got bullied a lot. response:	I just couldn't seem to make any friends.
context: I would get happy and restless.\Kouda, sorry I'm late.\An emergency came up.\Oh, good work.\Shogi wasn't my favorite, but it was precious time that I could spend with my busy father.\So I did my best.\In the neighborhood and at school, I got bullied a lot.\I just couldn't seem to make any friends. response:	And yet, the words he said while on the other side of the shogi board
