context: Science Fell in Love, So I Tried to Prove It response:	Proof 10 Science-types Fell in Love, So They Tried Giving Presentations.
context: Total 7,655 persons\Staff Faculty 2,101 persons\Campus Footprint hhhhhhhhhAbove ground 1,213,161 m2 hhhhhhhhBasement floors 141,196 m2\Total 1,354,357 m2\I did have this feeling yesterday, but...\I knew it.\Times I wanted to snuggle close to Yukimura-kun\My emotion counter. response:	My I want to snuggle close to Yukimura-kun count...
context: Staff Faculty 2,101 persons\Campus Footprint hhhhhhhhhAbove ground 1,213,161 m2 hhhhhhhhBasement floors 141,196 m2\Total 1,354,357 m2\I did have this feeling yesterday, but...\I knew it.\Times I wanted to snuggle close to Yukimura-kun\My emotion counter.\My I want to snuggle close to Yukimura-kun count... response:	showed a rapid increase starting at 8:13 AM yesterday.
context: Campus Footprint hhhhhhhhhAbove ground 1,213,161 m2 hhhhhhhhBasement floors 141,196 m2\Total 1,354,357 m2\I did have this feeling yesterday, but...\I knew it.\Times I wanted to snuggle close to Yukimura-kun\My emotion counter.\My I want to snuggle close to Yukimura-kun count...\showed a rapid increase starting at 8:13 AM yesterday. response:	At that time,
context: Total 1,354,357 m2\I did have this feeling yesterday, but...\I knew it.\Times I wanted to snuggle close to Yukimura-kun\My emotion counter.\My I want to snuggle close to Yukimura-kun count...\showed a rapid increase starting at 8:13 AM yesterday.\At that time, response:	we were on the plane, and I forbade any physical contact in front of others.
context: I did have this feeling yesterday, but...\I knew it.\Times I wanted to snuggle close to Yukimura-kun\My emotion counter.\My I want to snuggle close to Yukimura-kun count...\showed a rapid increase starting at 8:13 AM yesterday.\At that time,\we were on the plane, and I forbade any physical contact in front of others. response:	Which means that this...
context: I knew it.\Times I wanted to snuggle close to Yukimura-kun\My emotion counter.\My I want to snuggle close to Yukimura-kun count...\showed a rapid increase starting at 8:13 AM yesterday.\At that time,\we were on the plane, and I forbade any physical contact in front of others.\Which means that this... response:	Psychological reactance.
context: Times I wanted to snuggle close to Yukimura-kun\My emotion counter.\My I want to snuggle close to Yukimura-kun count...\showed a rapid increase starting at 8:13 AM yesterday.\At that time,\we were on the plane, and I forbade any physical contact in front of others.\Which means that this...\Psychological reactance. response:	When you're told to study, it makes you not want to study...
context: My emotion counter.\My I want to snuggle close to Yukimura-kun count...\showed a rapid increase starting at 8:13 AM yesterday.\At that time,\we were on the plane, and I forbade any physical contact in front of others.\Which means that this...\Psychological reactance.\When you're told to study, it makes you not want to study... response:	When you're told, don't ever look, it makes you want to look...
context: My I want to snuggle close to Yukimura-kun count...\showed a rapid increase starting at 8:13 AM yesterday.\At that time,\we were on the plane, and I forbade any physical contact in front of others.\Which means that this...\Psychological reactance.\When you're told to study, it makes you not want to study...\When you're told, don't ever look, it makes you want to look... response:	It's the state in which being told not to do something,
context: showed a rapid increase starting at 8:13 AM yesterday.\At that time,\we were on the plane, and I forbade any physical contact in front of others.\Which means that this...\Psychological reactance.\When you're told to study, it makes you not want to study...\When you're told, don't ever look, it makes you want to look...\It's the state in which being told not to do something, response:	makes you want to do it even more.
context: At that time,\we were on the plane, and I forbade any physical contact in front of others.\Which means that this...\Psychological reactance.\When you're told to study, it makes you not want to study...\When you're told, don't ever look, it makes you want to look...\It's the state in which being told not to do something,\makes you want to do it even more. response:	For any human, it is a natural impulse.
context: we were on the plane, and I forbade any physical contact in front of others.\Which means that this...\Psychological reactance.\When you're told to study, it makes you not want to study...\When you're told, don't ever look, it makes you want to look...\It's the state in which being told not to do something,\makes you want to do it even more.\For any human, it is a natural impulse. response:	Which means...
context: Which means that this...\Psychological reactance.\When you're told to study, it makes you not want to study...\When you're told, don't ever look, it makes you want to look...\It's the state in which being told not to do something,\makes you want to do it even more.\For any human, it is a natural impulse.\Which means... response:	My desire to nuzzle my forehead into Yukimura-kun's chest,
context: Psychological reactance.\When you're told to study, it makes you not want to study...\When you're told, don't ever look, it makes you want to look...\It's the state in which being told not to do something,\makes you want to do it even more.\For any human, it is a natural impulse.\Which means...\My desire to nuzzle my forehead into Yukimura-kun's chest, response:	is not, necessarily, because I love him.
context: When you're told to study, it makes you not want to study...\When you're told, don't ever look, it makes you want to look...\It's the state in which being told not to do something,\makes you want to do it even more.\For any human, it is a natural impulse.\Which means...\My desire to nuzzle my forehead into Yukimura-kun's chest,\is not, necessarily, because I love him. response:	I nearly based my decision on supposition.
context: When you're told, don't ever look, it makes you want to look...\It's the state in which being told not to do something,\makes you want to do it even more.\For any human, it is a natural impulse.\Which means...\My desire to nuzzle my forehead into Yukimura-kun's chest,\is not, necessarily, because I love him.\I nearly based my decision on supposition. response:	That would make me a failure as a science-type.
context: It's the state in which being told not to do something,\makes you want to do it even more.\For any human, it is a natural impulse.\Which means...\My desire to nuzzle my forehead into Yukimura-kun's chest,\is not, necessarily, because I love him.\I nearly based my decision on supposition.\That would make me a failure as a science-type. response:	When these presentations come to an end, we will have free time.
context: makes you want to do it even more.\For any human, it is a natural impulse.\Which means...\My desire to nuzzle my forehead into Yukimura-kun's chest,\is not, necessarily, because I love him.\I nearly based my decision on supposition.\That would make me a failure as a science-type.\When these presentations come to an end, we will have free time. response:	We will have plenty of opportunities for physical contact.
context: For any human, it is a natural impulse.\Which means...\My desire to nuzzle my forehead into Yukimura-kun's chest,\is not, necessarily, because I love him.\I nearly based my decision on supposition.\That would make me a failure as a science-type.\When these presentations come to an end, we will have free time.\We will have plenty of opportunities for physical contact. response:	I just have to hold on until then.
context: Which means...\My desire to nuzzle my forehead into Yukimura-kun's chest,\is not, necessarily, because I love him.\I nearly based my decision on supposition.\That would make me a failure as a science-type.\When these presentations come to an end, we will have free time.\We will have plenty of opportunities for physical contact.\I just have to hold on until then. response:	Right now, the first thing I need to do is watch over the underclassmen's presentations.
context: My desire to nuzzle my forehead into Yukimura-kun's chest,\is not, necessarily, because I love him.\I nearly based my decision on supposition.\That would make me a failure as a science-type.\When these presentations come to an end, we will have free time.\We will have plenty of opportunities for physical contact.\I just have to hold on until then.\Right now, the first thing I need to do is watch over the underclassmen's presentations. response:	We came all the way to Okinawa and we're stuck here.
context: is not, necessarily, because I love him.\I nearly based my decision on supposition.\That would make me a failure as a science-type.\When these presentations come to an end, we will have free time.\We will have plenty of opportunities for physical contact.\I just have to hold on until then.\Right now, the first thing I need to do is watch over the underclassmen's presentations.\We came all the way to Okinawa and we're stuck here. response:	Um... Himuro-senpai...
context: I nearly based my decision on supposition.\That would make me a failure as a science-type.\When these presentations come to an end, we will have free time.\We will have plenty of opportunities for physical contact.\I just have to hold on until then.\Right now, the first thing I need to do is watch over the underclassmen's presentations.\We came all the way to Okinawa and we're stuck here.\Um... Himuro-senpai... response:	D-Do I have to present in front of all these people?
context: That would make me a failure as a science-type.\When these presentations come to an end, we will have free time.\We will have plenty of opportunities for physical contact.\I just have to hold on until then.\Right now, the first thing I need to do is watch over the underclassmen's presentations.\We came all the way to Okinawa and we're stuck here.\Um... Himuro-senpai...\D-Do I have to present in front of all these people? response:	I'm really not good at talking in front of big crowds...
context: When these presentations come to an end, we will have free time.\We will have plenty of opportunities for physical contact.\I just have to hold on until then.\Right now, the first thing I need to do is watch over the underclassmen's presentations.\We came all the way to Okinawa and we're stuck here.\Um... Himuro-senpai...\D-Do I have to present in front of all these people?\I'm really not good at talking in front of big crowds... response:	Today, we have a total of seven people presenting, I see.
context: We will have plenty of opportunities for physical contact.\I just have to hold on until then.\Right now, the first thing I need to do is watch over the underclassmen's presentations.\We came all the way to Okinawa and we're stuck here.\Um... Himuro-senpai...\D-Do I have to present in front of all these people?\I'm really not good at talking in front of big crowds...\Today, we have a total of seven people presenting, I see. response:	Now, if the first person would like to proceed...
context: I just have to hold on until then.\Right now, the first thing I need to do is watch over the underclassmen's presentations.\We came all the way to Okinawa and we're stuck here.\Um... Himuro-senpai...\D-Do I have to present in front of all these people?\I'm really not good at talking in front of big crowds...\Today, we have a total of seven people presenting, I see.\Now, if the first person would like to proceed... response:	Huh?
context: Right now, the first thing I need to do is watch over the underclassmen's presentations.\We came all the way to Okinawa and we're stuck here.\Um... Himuro-senpai...\D-Do I have to present in front of all these people?\I'm really not good at talking in front of big crowds...\Today, we have a total of seven people presenting, I see.\Now, if the first person would like to proceed...\Huh? response:	Kanade-chan, isn't that...
context: We came all the way to Okinawa and we're stuck here.\Um... Himuro-senpai...\D-Do I have to present in front of all these people?\I'm really not good at talking in front of big crowds...\Today, we have a total of seven people presenting, I see.\Now, if the first person would like to proceed...\Huh?\Kanade-chan, isn't that... response:	He's someone who talked to us on the beach yesterday, right?
context: Um... Himuro-senpai...\D-Do I have to present in front of all these people?\I'm really not good at talking in front of big crowds...\Today, we have a total of seven people presenting, I see.\Now, if the first person would like to proceed...\Huh?\Kanade-chan, isn't that...\He's someone who talked to us on the beach yesterday, right? response:	So he's here for the lab training camp, too...
context: D-Do I have to present in front of all these people?\I'm really not good at talking in front of big crowds...\Today, we have a total of seven people presenting, I see.\Now, if the first person would like to proceed...\Huh?\Kanade-chan, isn't that...\He's someone who talked to us on the beach yesterday, right?\So he's here for the lab training camp, too... response:	Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People Through Implementation of Tabu Search Principles Tokyo University of Science Technology, department of mathematical information science and engineering, Kanou lab Shikijou Naoya
context: I'm really not good at talking in front of big crowds...\Today, we have a total of seven people presenting, I see.\Now, if the first person would like to proceed...\Huh?\Kanade-chan, isn't that...\He's someone who talked to us on the beach yesterday, right?\So he's here for the lab training camp, too...\Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People Through Implementation of Tabu Search Principles Tokyo University of Science Technology, department of mathematical information science and engineering, Kanou lab Shikijou Naoya response:	So...
context: Today, we have a total of seven people presenting, I see.\Now, if the first person would like to proceed...\Huh?\Kanade-chan, isn't that...\He's someone who talked to us on the beach yesterday, right?\So he's here for the lab training camp, too...\Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People Through Implementation of Tabu Search Principles Tokyo University of Science Technology, department of mathematical information science and engineering, Kanou lab Shikijou Naoya\So... response:	Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People
context: Now, if the first person would like to proceed...\Huh?\Kanade-chan, isn't that...\He's someone who talked to us on the beach yesterday, right?\So he's here for the lab training camp, too...\Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People Through Implementation of Tabu Search Principles Tokyo University of Science Technology, department of mathematical information science and engineering, Kanou lab Shikijou Naoya\So...\Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People response:	Through Implementation of Tabu Search Principles...
context: Huh?\Kanade-chan, isn't that...\He's someone who talked to us on the beach yesterday, right?\So he's here for the lab training camp, too...\Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People Through Implementation of Tabu Search Principles Tokyo University of Science Technology, department of mathematical information science and engineering, Kanou lab Shikijou Naoya\So...\Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People\Through Implementation of Tabu Search Principles... response:	is the title.
context: Kanade-chan, isn't that...\He's someone who talked to us on the beach yesterday, right?\So he's here for the lab training camp, too...\Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People Through Implementation of Tabu Search Principles Tokyo University of Science Technology, department of mathematical information science and engineering, Kanou lab Shikijou Naoya\So...\Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People\Through Implementation of Tabu Search Principles...\is the title. response:	I'm from the Tokyo University of Science and Technology.
context: He's someone who talked to us on the beach yesterday, right?\So he's here for the lab training camp, too...\Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People Through Implementation of Tabu Search Principles Tokyo University of Science Technology, department of mathematical information science and engineering, Kanou lab Shikijou Naoya\So...\Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People\Through Implementation of Tabu Search Principles...\is the title.\I'm from the Tokyo University of Science and Technology. response:	My name is Shikijou Naoya, and I'll be giving this presentation.
context: So he's here for the lab training camp, too...\Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People Through Implementation of Tabu Search Principles Tokyo University of Science Technology, department of mathematical information science and engineering, Kanou lab Shikijou Naoya\So...\Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People\Through Implementation of Tabu Search Principles...\is the title.\I'm from the Tokyo University of Science and Technology.\My name is Shikijou Naoya, and I'll be giving this presentation. response:	Yikes! I don't even understand the title!
context: Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People Through Implementation of Tabu Search Principles Tokyo University of Science Technology, department of mathematical information science and engineering, Kanou lab Shikijou Naoya\So...\Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People\Through Implementation of Tabu Search Principles...\is the title.\I'm from the Tokyo University of Science and Technology.\My name is Shikijou Naoya, and I'll be giving this presentation.\Yikes! I don't even understand the title! response:	First, I'll start by explaining Nash equilibrium.
context: So...\Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People\Through Implementation of Tabu Search Principles...\is the title.\I'm from the Tokyo University of Science and Technology.\My name is Shikijou Naoya, and I'll be giving this presentation.\Yikes! I don't even understand the title!\First, I'll start by explaining Nash equilibrium. response:	When the number of players in a non-cooperative game is n,
context: Seeking Nash Equilibrium in Non-Cooperative Games Comprised of Large Numbers of People\Through Implementation of Tabu Search Principles...\is the title.\I'm from the Tokyo University of Science and Technology.\My name is Shikijou Naoya, and I'll be giving this presentation.\Yikes! I don't even understand the title!\First, I'll start by explaining Nash equilibrium.\When the number of players in a non-cooperative game is n, response:	we will call player 1's strategy P.
context: Through Implementation of Tabu Search Principles...\is the title.\I'm from the Tokyo University of Science and Technology.\My name is Shikijou Naoya, and I'll be giving this presentation.\Yikes! I don't even understand the title!\First, I'll start by explaining Nash equilibrium.\When the number of players in a non-cooperative game is n,\we will call player 1's strategy P. response:	At this point, there are many ways to construct strategy P.
context: is the title.\I'm from the Tokyo University of Science and Technology.\My name is Shikijou Naoya, and I'll be giving this presentation.\Yikes! I don't even understand the title!\First, I'll start by explaining Nash equilibrium.\When the number of players in a non-cooperative game is n,\we will call player 1's strategy P.\At this point, there are many ways to construct strategy P. response:	The probability of any given action is p1, p2...
context: I'm from the Tokyo University of Science and Technology.\My name is Shikijou Naoya, and I'll be giving this presentation.\Yikes! I don't even understand the title!\First, I'll start by explaining Nash equilibrium.\When the number of players in a non-cooperative game is n,\we will call player 1's strategy P.\At this point, there are many ways to construct strategy P.\The probability of any given action is p1, p2... response:	Nash Equilibrium
context: My name is Shikijou Naoya, and I'll be giving this presentation.\Yikes! I don't even understand the title!\First, I'll start by explaining Nash equilibrium.\When the number of players in a non-cooperative game is n,\we will call player 1's strategy P.\At this point, there are many ways to construct strategy P.\The probability of any given action is p1, p2...\Nash Equilibrium response:	When the number of players in a non-cooperative game is n,
