context: Piccolo's Self-Confidence!'I Will Be the One to Defeat Freeza' response:	I'll do this by myself. You guys stay out of it.
context: If Piccolo is beaten, Kami-sama will also die.\If that happens, our chance at resurrection will probably be forever lost.\Piccolo, you have to stick it out until Goku has recovered!\That is the issue, isn't it?\Leave this to me, he says. He doesn't understand how terrifying Freeza is!\He'll realize it soon enough.\Piccolo-san isn't the kind of person who doesn't know his opponent's strength.\But Gohan, Piccolo hasn't... response:	I'm sure of it! Piccolo-san has a chance of winning!
context: If that happens, our chance at resurrection will probably be forever lost.\Piccolo, you have to stick it out until Goku has recovered!\That is the issue, isn't it?\Leave this to me, he says. He doesn't understand how terrifying Freeza is!\He'll realize it soon enough.\Piccolo-san isn't the kind of person who doesn't know his opponent's strength.\But Gohan, Piccolo hasn't...\I'm sure of it! Piccolo-san has a chance of winning! response:	A chance of winning?
context: Piccolo, you have to stick it out until Goku has recovered!\That is the issue, isn't it?\Leave this to me, he says. He doesn't understand how terrifying Freeza is!\He'll realize it soon enough.\Piccolo-san isn't the kind of person who doesn't know his opponent's strength.\But Gohan, Piccolo hasn't...\I'm sure of it! Piccolo-san has a chance of winning!\A chance of winning? response:	There's no way he can win! Even though he may have shown up, our situation hasn't changed a bit.
context: That is the issue, isn't it?\Leave this to me, he says. He doesn't understand how terrifying Freeza is!\He'll realize it soon enough.\Piccolo-san isn't the kind of person who doesn't know his opponent's strength.\But Gohan, Piccolo hasn't...\I'm sure of it! Piccolo-san has a chance of winning!\A chance of winning?\There's no way he can win! Even though he may have shown up, our situation hasn't changed a bit. response:	But Piccolo-san is...
context: Leave this to me, he says. He doesn't understand how terrifying Freeza is!\He'll realize it soon enough.\Piccolo-san isn't the kind of person who doesn't know his opponent's strength.\But Gohan, Piccolo hasn't...\I'm sure of it! Piccolo-san has a chance of winning!\A chance of winning?\There's no way he can win! Even though he may have shown up, our situation hasn't changed a bit.\But Piccolo-san is... response:	This Ki is Piccolo's. Piccolo has been resurrected! But this time his Ki is different, more incredible than ever!
context: He'll realize it soon enough.\Piccolo-san isn't the kind of person who doesn't know his opponent's strength.\But Gohan, Piccolo hasn't...\I'm sure of it! Piccolo-san has a chance of winning!\A chance of winning?\There's no way he can win! Even though he may have shown up, our situation hasn't changed a bit.\But Piccolo-san is...\This Ki is Piccolo's. Piccolo has been resurrected! But this time his Ki is different, more incredible than ever! response:	H- He looks just like Nail-san, but is this Piccolo fellow also a Fighter-type Namekian?
context: Piccolo-san isn't the kind of person who doesn't know his opponent's strength.\But Gohan, Piccolo hasn't...\I'm sure of it! Piccolo-san has a chance of winning!\A chance of winning?\There's no way he can win! Even though he may have shown up, our situation hasn't changed a bit.\But Piccolo-san is...\This Ki is Piccolo's. Piccolo has been resurrected! But this time his Ki is different, more incredible than ever!\H- He looks just like Nail-san, but is this Piccolo fellow also a Fighter-type Namekian? response:	You appear to be quite sure of yourself. But soon enough,
context: But Gohan, Piccolo hasn't...\I'm sure of it! Piccolo-san has a chance of winning!\A chance of winning?\There's no way he can win! Even though he may have shown up, our situation hasn't changed a bit.\But Piccolo-san is...\This Ki is Piccolo's. Piccolo has been resurrected! But this time his Ki is different, more incredible than ever!\H- He looks just like Nail-san, but is this Piccolo fellow also a Fighter-type Namekian?\You appear to be quite sure of yourself. But soon enough, response:	that surety will shatter and give way and turn to your begging for your life from me.
context: I'm sure of it! Piccolo-san has a chance of winning!\A chance of winning?\There's no way he can win! Even though he may have shown up, our situation hasn't changed a bit.\But Piccolo-san is...\This Ki is Piccolo's. Piccolo has been resurrected! But this time his Ki is different, more incredible than ever!\H- He looks just like Nail-san, but is this Piccolo fellow also a Fighter-type Namekian?\You appear to be quite sure of yourself. But soon enough,\that surety will shatter and give way and turn to your begging for your life from me. response:	Enough from you.
context: A chance of winning?\There's no way he can win! Even though he may have shown up, our situation hasn't changed a bit.\But Piccolo-san is...\This Ki is Piccolo's. Piccolo has been resurrected! But this time his Ki is different, more incredible than ever!\H- He looks just like Nail-san, but is this Piccolo fellow also a Fighter-type Namekian?\You appear to be quite sure of yourself. But soon enough,\that surety will shatter and give way and turn to your begging for your life from me.\Enough from you. response:	Take this!
context: There's no way he can win! Even though he may have shown up, our situation hasn't changed a bit.\But Piccolo-san is...\This Ki is Piccolo's. Piccolo has been resurrected! But this time his Ki is different, more incredible than ever!\H- He looks just like Nail-san, but is this Piccolo fellow also a Fighter-type Namekian?\You appear to be quite sure of yourself. But soon enough,\that surety will shatter and give way and turn to your begging for your life from me.\Enough from you.\Take this! response:	He did it!
context: But Piccolo-san is...\This Ki is Piccolo's. Piccolo has been resurrected! But this time his Ki is different, more incredible than ever!\H- He looks just like Nail-san, but is this Piccolo fellow also a Fighter-type Namekian?\You appear to be quite sure of yourself. But soon enough,\that surety will shatter and give way and turn to your begging for your life from me.\Enough from you.\Take this!\He did it! response:	Way to go, Piccolo!
context: This Ki is Piccolo's. Piccolo has been resurrected! But this time his Ki is different, more incredible than ever!\H- He looks just like Nail-san, but is this Piccolo fellow also a Fighter-type Namekian?\You appear to be quite sure of yourself. But soon enough,\that surety will shatter and give way and turn to your begging for your life from me.\Enough from you.\Take this!\He did it!\Way to go, Piccolo! response:	Struggle though he might, there's no way he can win.
context: H- He looks just like Nail-san, but is this Piccolo fellow also a Fighter-type Namekian?\You appear to be quite sure of yourself. But soon enough,\that surety will shatter and give way and turn to your begging for your life from me.\Enough from you.\Take this!\He did it!\Way to go, Piccolo!\Struggle though he might, there's no way he can win. response:	I hate to admit it, but all I can do is escape and wait for another chance.
context: You appear to be quite sure of yourself. But soon enough,\that surety will shatter and give way and turn to your begging for your life from me.\Enough from you.\Take this!\He did it!\Way to go, Piccolo!\Struggle though he might, there's no way he can win.\I hate to admit it, but all I can do is escape and wait for another chance. response:	I'm not stupid enough to just wait around to be killed by Freeza.
context: that surety will shatter and give way and turn to your begging for your life from me.\Enough from you.\Take this!\He did it!\Way to go, Piccolo!\Struggle though he might, there's no way he can win.\I hate to admit it, but all I can do is escape and wait for another chance.\I'm not stupid enough to just wait around to be killed by Freeza. response:	Well, come on out! You've got greater power than that, haven't you?
context: Enough from you.\Take this!\He did it!\Way to go, Piccolo!\Struggle though he might, there's no way he can win.\I hate to admit it, but all I can do is escape and wait for another chance.\I'm not stupid enough to just wait around to be killed by Freeza.\Well, come on out! You've got greater power than that, haven't you? response:	Piccolo-san!
context: Take this!\He did it!\Way to go, Piccolo!\Struggle though he might, there's no way he can win.\I hate to admit it, but all I can do is escape and wait for another chance.\I'm not stupid enough to just wait around to be killed by Freeza.\Well, come on out! You've got greater power than that, haven't you?\Piccolo-san! response:	You're not that bad. I mean, you were able to dodge that from close range by a hair's breadth.
context: He did it!\Way to go, Piccolo!\Struggle though he might, there's no way he can win.\I hate to admit it, but all I can do is escape and wait for another chance.\I'm not stupid enough to just wait around to be killed by Freeza.\Well, come on out! You've got greater power than that, haven't you?\Piccolo-san!\You're not that bad. I mean, you were able to dodge that from close range by a hair's breadth. response:	Vegeta!
context: Way to go, Piccolo!\Struggle though he might, there's no way he can win.\I hate to admit it, but all I can do is escape and wait for another chance.\I'm not stupid enough to just wait around to be killed by Freeza.\Well, come on out! You've got greater power than that, haven't you?\Piccolo-san!\You're not that bad. I mean, you were able to dodge that from close range by a hair's breadth.\Vegeta! response:	Where are you going? Don't tell me you need to go pee, now.
context: Struggle though he might, there's no way he can win.\I hate to admit it, but all I can do is escape and wait for another chance.\I'm not stupid enough to just wait around to be killed by Freeza.\Well, come on out! You've got greater power than that, haven't you?\Piccolo-san!\You're not that bad. I mean, you were able to dodge that from close range by a hair's breadth.\Vegeta!\Where are you going? Don't tell me you need to go pee, now. response:	Dammit!
context: I hate to admit it, but all I can do is escape and wait for another chance.\I'm not stupid enough to just wait around to be killed by Freeza.\Well, come on out! You've got greater power than that, haven't you?\Piccolo-san!\You're not that bad. I mean, you were able to dodge that from close range by a hair's breadth.\Vegeta!\Where are you going? Don't tell me you need to go pee, now.\Dammit! response:	Vegeta...
context: I'm not stupid enough to just wait around to be killed by Freeza.\Well, come on out! You've got greater power than that, haven't you?\Piccolo-san!\You're not that bad. I mean, you were able to dodge that from close range by a hair's breadth.\Vegeta!\Where are you going? Don't tell me you need to go pee, now.\Dammit!\Vegeta... response:	It won't do to have the prince of the warrior race Saiyans sneaking away with his tail tucked between his legs.
context: Well, come on out! You've got greater power than that, haven't you?\Piccolo-san!\You're not that bad. I mean, you were able to dodge that from close range by a hair's breadth.\Vegeta!\Where are you going? Don't tell me you need to go pee, now.\Dammit!\Vegeta...\It won't do to have the prince of the warrior race Saiyans sneaking away with his tail tucked between his legs. response:	However...
context: Piccolo-san!\You're not that bad. I mean, you were able to dodge that from close range by a hair's breadth.\Vegeta!\Where are you going? Don't tell me you need to go pee, now.\Dammit!\Vegeta...\It won't do to have the prince of the warrior race Saiyans sneaking away with his tail tucked between his legs.\However... response:	No matter what you may try, your destiny is to be killed by me.
context: You're not that bad. I mean, you were able to dodge that from close range by a hair's breadth.\Vegeta!\Where are you going? Don't tell me you need to go pee, now.\Dammit!\Vegeta...\It won't do to have the prince of the warrior race Saiyans sneaking away with his tail tucked between his legs.\However...\No matter what you may try, your destiny is to be killed by me. response:	You just sit still and wait for it.
context: Vegeta!\Where are you going? Don't tell me you need to go pee, now.\Dammit!\Vegeta...\It won't do to have the prince of the warrior race Saiyans sneaking away with his tail tucked between his legs.\However...\No matter what you may try, your destiny is to be killed by me.\You just sit still and wait for it. response:	Once I kill the Namekian, your turn comes next.
context: Where are you going? Don't tell me you need to go pee, now.\Dammit!\Vegeta...\It won't do to have the prince of the warrior race Saiyans sneaking away with his tail tucked between his legs.\However...\No matter what you may try, your destiny is to be killed by me.\You just sit still and wait for it.\Once I kill the Namekian, your turn comes next. response:	Sorry for the delay. Now, show me the power of that onfidence you hold.
context: Dammit!\Vegeta...\It won't do to have the prince of the warrior race Saiyans sneaking away with his tail tucked between his legs.\However...\No matter what you may try, your destiny is to be killed by me.\You just sit still and wait for it.\Once I kill the Namekian, your turn comes next.\Sorry for the delay. Now, show me the power of that onfidence you hold. response:	You are a fool not to feel my terror!
context: Vegeta...\It won't do to have the prince of the warrior race Saiyans sneaking away with his tail tucked between his legs.\However...\No matter what you may try, your destiny is to be killed by me.\You just sit still and wait for it.\Once I kill the Namekian, your turn comes next.\Sorry for the delay. Now, show me the power of that onfidence you hold.\You are a fool not to feel my terror! response:	Gohan! Piccolo has greater power than we can imagine! We may be able to hope for something here.
context: It won't do to have the prince of the warrior race Saiyans sneaking away with his tail tucked between his legs.\However...\No matter what you may try, your destiny is to be killed by me.\You just sit still and wait for it.\Once I kill the Namekian, your turn comes next.\Sorry for the delay. Now, show me the power of that onfidence you hold.\You are a fool not to feel my terror!\Gohan! Piccolo has greater power than we can imagine! We may be able to hope for something here. response:	Right! Piccolo-san will do it!
context: However...\No matter what you may try, your destiny is to be killed by me.\You just sit still and wait for it.\Once I kill the Namekian, your turn comes next.\Sorry for the delay. Now, show me the power of that onfidence you hold.\You are a fool not to feel my terror!\Gohan! Piccolo has greater power than we can imagine! We may be able to hope for something here.\Right! Piccolo-san will do it! response:	He's your sensei, after all, right?
context: No matter what you may try, your destiny is to be killed by me.\You just sit still and wait for it.\Once I kill the Namekian, your turn comes next.\Sorry for the delay. Now, show me the power of that onfidence you hold.\You are a fool not to feel my terror!\Gohan! Piccolo has greater power than we can imagine! We may be able to hope for something here.\Right! Piccolo-san will do it!\He's your sensei, after all, right? response:	Right!
context: You just sit still and wait for it.\Once I kill the Namekian, your turn comes next.\Sorry for the delay. Now, show me the power of that onfidence you hold.\You are a fool not to feel my terror!\Gohan! Piccolo has greater power than we can imagine! We may be able to hope for something here.\Right! Piccolo-san will do it!\He's your sensei, after all, right?\Right! response:	N- Nail-san!
context: Once I kill the Namekian, your turn comes next.\Sorry for the delay. Now, show me the power of that onfidence you hold.\You are a fool not to feel my terror!\Gohan! Piccolo has greater power than we can imagine! We may be able to hope for something here.\Right! Piccolo-san will do it!\He's your sensei, after all, right?\Right!\N- Nail-san! response:	Could it be?
context: Sorry for the delay. Now, show me the power of that onfidence you hold.\You are a fool not to feel my terror!\Gohan! Piccolo has greater power than we can imagine! We may be able to hope for something here.\Right! Piccolo-san will do it!\He's your sensei, after all, right?\Right!\N- Nail-san!\Could it be? response:	Piccolo-san...
context: You are a fool not to feel my terror!\Gohan! Piccolo has greater power than we can imagine! We may be able to hope for something here.\Right! Piccolo-san will do it!\He's your sensei, after all, right?\Right!\N- Nail-san!\Could it be?\Piccolo-san... response:	Piccolo-san!
context: Gohan! Piccolo has greater power than we can imagine! We may be able to hope for something here.\Right! Piccolo-san will do it!\He's your sensei, after all, right?\Right!\N- Nail-san!\Could it be?\Piccolo-san...\Piccolo-san! response:	Do not be upset.
context: Right! Piccolo-san will do it!\He's your sensei, after all, right?\Right!\N- Nail-san!\Could it be?\Piccolo-san...\Piccolo-san!\Do not be upset. response:	It will take more than that to kill him.
context: He's your sensei, after all, right?\Right!\N- Nail-san!\Could it be?\Piccolo-san...\Piccolo-san!\Do not be upset.\It will take more than that to kill him. response:	But I will show you how I'll take him apart!
context: Right!\N- Nail-san!\Could it be?\Piccolo-san...\Piccolo-san!\Do not be upset.\It will take more than that to kill him.\But I will show you how I'll take him apart! response:	You fought well, for a Namekian. I'll give you credit for that. But it's over. The fun stops now.
context: N- Nail-san!\Could it be?\Piccolo-san...\Piccolo-san!\Do not be upset.\It will take more than that to kill him.\But I will show you how I'll take him apart!\You fought well, for a Namekian. I'll give you credit for that. But it's over. The fun stops now. response:	Damn.
context: Could it be?\Piccolo-san...\Piccolo-san!\Do not be upset.\It will take more than that to kill him.\But I will show you how I'll take him apart!\You fought well, for a Namekian. I'll give you credit for that. But it's over. The fun stops now.\Damn. response:	Piccolo-san!
context: Piccolo-san...\Piccolo-san!\Do not be upset.\It will take more than that to kill him.\But I will show you how I'll take him apart!\You fought well, for a Namekian. I'll give you credit for that. But it's over. The fun stops now.\Damn.\Piccolo-san! response:	We are now completely out of Namekians.
context: Piccolo-san!\Do not be upset.\It will take more than that to kill him.\But I will show you how I'll take him apart!\You fought well, for a Namekian. I'll give you credit for that. But it's over. The fun stops now.\Damn.\Piccolo-san!\We are now completely out of Namekians. response:	What!?
context: Do not be upset.\It will take more than that to kill him.\But I will show you how I'll take him apart!\You fought well, for a Namekian. I'll give you credit for that. But it's over. The fun stops now.\Damn.\Piccolo-san!\We are now completely out of Namekians.\What!? response:	Piccolo-san!
context: It will take more than that to kill him.\But I will show you how I'll take him apart!\You fought well, for a Namekian. I'll give you credit for that. But it's over. The fun stops now.\Damn.\Piccolo-san!\We are now completely out of Namekians.\What!?\Piccolo-san! response:	Don't take me so lightly.
context: But I will show you how I'll take him apart!\You fought well, for a Namekian. I'll give you credit for that. But it's over. The fun stops now.\Damn.\Piccolo-san!\We are now completely out of Namekians.\What!?\Piccolo-san!\Don't take me so lightly. response:	G- Gohan! We might be able to win!
context: You fought well, for a Namekian. I'll give you credit for that. But it's over. The fun stops now.\Damn.\Piccolo-san!\We are now completely out of Namekians.\What!?\Piccolo-san!\Don't take me so lightly.\G- Gohan! We might be able to win! response:	You could be right.
context: Damn.\Piccolo-san!\We are now completely out of Namekians.\What!?\Piccolo-san!\Don't take me so lightly.\G- Gohan! We might be able to win!\You could be right. response:	With Piccolo and the three of us, this could turn out all right after all!
context: Piccolo-san!\We are now completely out of Namekians.\What!?\Piccolo-san!\Don't take me so lightly.\G- Gohan! We might be able to win!\You could be right.\With Piccolo and the three of us, this could turn out all right after all! response:	Okay then, it's decided!
context: We are now completely out of Namekians.\What!?\Piccolo-san!\Don't take me so lightly.\G- Gohan! We might be able to win!\You could be right.\With Piccolo and the three of us, this could turn out all right after all!\Okay then, it's decided! response:	Stay out of this!
context: What!?\Piccolo-san!\Don't take me so lightly.\G- Gohan! We might be able to win!\You could be right.\With Piccolo and the three of us, this could turn out all right after all!\Okay then, it's decided!\Stay out of this! response:	I thought I told you I'd do this by myself.
context: Piccolo-san!\Don't take me so lightly.\G- Gohan! We might be able to win!\You could be right.\With Piccolo and the three of us, this could turn out all right after all!\Okay then, it's decided!\Stay out of this!\I thought I told you I'd do this by myself. response:	But...
context: Don't take me so lightly.\G- Gohan! We might be able to win!\You could be right.\With Piccolo and the three of us, this could turn out all right after all!\Okay then, it's decided!\Stay out of this!\I thought I told you I'd do this by myself.\But... response:	We can contribute at least something.
context: G- Gohan! We might be able to win!\You could be right.\With Piccolo and the three of us, this could turn out all right after all!\Okay then, it's decided!\Stay out of this!\I thought I told you I'd do this by myself.\But...\We can contribute at least something. response:	Leave this to me.
context: You could be right.\With Piccolo and the three of us, this could turn out all right after all!\Okay then, it's decided!\Stay out of this!\I thought I told you I'd do this by myself.\But...\We can contribute at least something.\Leave this to me. response:	That fool! This is our one chance to defeat Freeza!
context: With Piccolo and the three of us, this could turn out all right after all!\Okay then, it's decided!\Stay out of this!\I thought I told you I'd do this by myself.\But...\We can contribute at least something.\Leave this to me.\That fool! This is our one chance to defeat Freeza! response:	He's no match for Freeza's power just by himself!
context: Okay then, it's decided!\Stay out of this!\I thought I told you I'd do this by myself.\But...\We can contribute at least something.\Leave this to me.\That fool! This is our one chance to defeat Freeza!\He's no match for Freeza's power just by himself! response:	You filthy maggot!
context: Stay out of this!\I thought I told you I'd do this by myself.\But...\We can contribute at least something.\Leave this to me.\That fool! This is our one chance to defeat Freeza!\He's no match for Freeza's power just by himself!\You filthy maggot! response:	Haven't you realized it yet? We can see through your every move!
context: I thought I told you I'd do this by myself.\But...\We can contribute at least something.\Leave this to me.\That fool! This is our one chance to defeat Freeza!\He's no match for Freeza's power just by himself!\You filthy maggot!\Haven't you realized it yet? We can see through your every move! response:	What!? What do you mean we?
context: But...\We can contribute at least something.\Leave this to me.\That fool! This is our one chance to defeat Freeza!\He's no match for Freeza's power just by himself!\You filthy maggot!\Haven't you realized it yet? We can see through your every move!\What!? What do you mean we? response:	What does this mean?
context: We can contribute at least something.\Leave this to me.\That fool! This is our one chance to defeat Freeza!\He's no match for Freeza's power just by himself!\You filthy maggot!\Haven't you realized it yet? We can see through your every move!\What!? What do you mean we?\What does this mean? response:	Piccolo!
context: Leave this to me.\That fool! This is our one chance to defeat Freeza!\He's no match for Freeza's power just by himself!\You filthy maggot!\Haven't you realized it yet? We can see through your every move!\What!? What do you mean we?\What does this mean?\Piccolo! response:	Piccolo...
context: That fool! This is our one chance to defeat Freeza!\He's no match for Freeza's power just by himself!\You filthy maggot!\Haven't you realized it yet? We can see through your every move!\What!? What do you mean we?\What does this mean?\Piccolo!\Piccolo... response:	Piccolo's Ki has surged yet again.
context: He's no match for Freeza's power just by himself!\You filthy maggot!\Haven't you realized it yet? We can see through your every move!\What!? What do you mean we?\What does this mean?\Piccolo!\Piccolo...\Piccolo's Ki has surged yet again. response:	What's happening!?
context: You filthy maggot!\Haven't you realized it yet? We can see through your every move!\What!? What do you mean we?\What does this mean?\Piccolo!\Piccolo...\Piccolo's Ki has surged yet again.\What's happening!? response:	You've become a giant, and you're using both hands, yet this is the best you've got?
context: Haven't you realized it yet? We can see through your every move!\What!? What do you mean we?\What does this mean?\Piccolo!\Piccolo...\Piccolo's Ki has surged yet again.\What's happening!?\You've become a giant, and you're using both hands, yet this is the best you've got? response:	That voice...
context: What!? What do you mean we?\What does this mean?\Piccolo!\Piccolo...\Piccolo's Ki has surged yet again.\What's happening!?\You've become a giant, and you're using both hands, yet this is the best you've got?\That voice... response:	I know! What if I were to fight using only my left hand for you?
context: What does this mean?\Piccolo!\Piccolo...\Piccolo's Ki has surged yet again.\What's happening!?\You've become a giant, and you're using both hands, yet this is the best you've got?\That voice...\I know! What if I were to fight using only my left hand for you? response:	Something like that cannot possibly work against me, can it?
context: Piccolo!\Piccolo...\Piccolo's Ki has surged yet again.\What's happening!?\You've become a giant, and you're using both hands, yet this is the best you've got?\That voice...\I know! What if I were to fight using only my left hand for you?\Something like that cannot possibly work against me, can it? response:	Surely you see there is no way you can win.
context: Piccolo...\Piccolo's Ki has surged yet again.\What's happening!?\You've become a giant, and you're using both hands, yet this is the best you've got?\That voice...\I know! What if I were to fight using only my left hand for you?\Something like that cannot possibly work against me, can it?\Surely you see there is no way you can win. response:	I have merged with Piccolo.
context: Piccolo's Ki has surged yet again.\What's happening!?\You've become a giant, and you're using both hands, yet this is the best you've got?\That voice...\I know! What if I were to fight using only my left hand for you?\Something like that cannot possibly work against me, can it?\Surely you see there is no way you can win.\I have merged with Piccolo. response:	What!?
context: What's happening!?\You've become a giant, and you're using both hands, yet this is the best you've got?\That voice...\I know! What if I were to fight using only my left hand for you?\Something like that cannot possibly work against me, can it?\Surely you see there is no way you can win.\I have merged with Piccolo.\What!? response:	l- I knew it!
context: You've become a giant, and you're using both hands, yet this is the best you've got?\That voice...\I know! What if I were to fight using only my left hand for you?\Something like that cannot possibly work against me, can it?\Surely you see there is no way you can win.\I have merged with Piccolo.\What!?\l- I knew it! response:	By doing so, my power has increased several times over.
context: That voice...\I know! What if I were to fight using only my left hand for you?\Something like that cannot possibly work against me, can it?\Surely you see there is no way you can win.\I have merged with Piccolo.\What!?\l- I knew it!\By doing so, my power has increased several times over. response:	Unite with me.
context: I know! What if I were to fight using only my left hand for you?\Something like that cannot possibly work against me, can it?\Surely you see there is no way you can win.\I have merged with Piccolo.\What!?\l- I knew it!\By doing so, my power has increased several times over.\Unite with me. response:	I am the... last Warrior-Type Namekian left on my world.
context: Something like that cannot possibly work against me, can it?\Surely you see there is no way you can win.\I have merged with Piccolo.\What!?\l- I knew it!\By doing so, my power has increased several times over.\Unite with me.\I am the... last Warrior-Type Namekian left on my world. response:	What? Unite with you?
context: Surely you see there is no way you can win.\I have merged with Piccolo.\What!?\l- I knew it!\By doing so, my power has increased several times over.\Unite with me.\I am the... last Warrior-Type Namekian left on my world.\What? Unite with you? response:	That's right. If you do, your current power will be increased several times over.
context: I have merged with Piccolo.\What!?\l- I knew it!\By doing so, my power has increased several times over.\Unite with me.\I am the... last Warrior-Type Namekian left on my world.\What? Unite with you?\That's right. If you do, your current power will be increased several times over. response:	What incredible power! What an unbelievably fearsome power this is!
context: What!?\l- I knew it!\By doing so, my power has increased several times over.\Unite with me.\I am the... last Warrior-Type Namekian left on my world.\What? Unite with you?\That's right. If you do, your current power will be increased several times over.\What incredible power! What an unbelievably fearsome power this is! response:	Is this what uniting with someone is like!?
context: l- I knew it!\By doing so, my power has increased several times over.\Unite with me.\I am the... last Warrior-Type Namekian left on my world.\What? Unite with you?\That's right. If you do, your current power will be increased several times over.\What incredible power! What an unbelievably fearsome power this is!\Is this what uniting with someone is like!? response:	Awesome!
context: By doing so, my power has increased several times over.\Unite with me.\I am the... last Warrior-Type Namekian left on my world.\What? Unite with you?\That's right. If you do, your current power will be increased several times over.\What incredible power! What an unbelievably fearsome power this is!\Is this what uniting with someone is like!?\Awesome! response:	Impossible! I don't believe it!
