context: Here we come! response:	It's the start of Inuyasha!
context: We're on a journey in search of Naraku who has disappeared.\Together, we've managed to overcome many hardships,\but a dark shadow will cast over the hearts of my friends.\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\Well, Inuyasha? response:	Have you found the way out?
context: Together, we've managed to overcome many hardships,\but a dark shadow will cast over the hearts of my friends.\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\Well, Inuyasha?\Have you found the way out? response:	Shaddup! I'm trying to concentrate!
context: but a dark shadow will cast over the hearts of my friends.\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\Well, Inuyasha?\Have you found the way out?\Shaddup! I'm trying to concentrate! response:	You've been at it since morning and it's getting dark.
context: Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha!\Well, Inuyasha?\Have you found the way out?\Shaddup! I'm trying to concentrate!\You've been at it since morning and it's getting dark. response:	Why're you shaking?
context: travel back in time!\To a Feudal Fairytale!\Inuyasha!\Well, Inuyasha?\Have you found the way out?\Shaddup! I'm trying to concentrate!\You've been at it since morning and it's getting dark.\Why're you shaking? response:	Miroku, this forest must be...
context: To a Feudal Fairytale!\Inuyasha!\Well, Inuyasha?\Have you found the way out?\Shaddup! I'm trying to concentrate!\You've been at it since morning and it's getting dark.\Why're you shaking?\Miroku, this forest must be... response:	Yes, there's no doubt about it.
context: Inuyasha!\Well, Inuyasha?\Have you found the way out?\Shaddup! I'm trying to concentrate!\You've been at it since morning and it's getting dark.\Why're you shaking?\Miroku, this forest must be...\Yes, there's no doubt about it. response:	This is a demon's nest.
context: Well, Inuyasha?\Have you found the way out?\Shaddup! I'm trying to concentrate!\You've been at it since morning and it's getting dark.\Why're you shaking?\Miroku, this forest must be...\Yes, there's no doubt about it.\This is a demon's nest. response:	Shucks! Did it again!
context: Have you found the way out?\Shaddup! I'm trying to concentrate!\You've been at it since morning and it's getting dark.\Why're you shaking?\Miroku, this forest must be...\Yes, there's no doubt about it.\This is a demon's nest.\Shucks! Did it again! response:	Damn! Get rid of a useless thing like that!
context: Shaddup! I'm trying to concentrate!\You've been at it since morning and it's getting dark.\Why're you shaking?\Miroku, this forest must be...\Yes, there's no doubt about it.\This is a demon's nest.\Shucks! Did it again!\Damn! Get rid of a useless thing like that! response:	No way! My motherbought it forme.
context: You've been at it since morning and it's getting dark.\Why're you shaking?\Miroku, this forest must be...\Yes, there's no doubt about it.\This is a demon's nest.\Shucks! Did it again!\Damn! Get rid of a useless thing like that!\No way! My motherbought it forme. response:	It's coming... something evil.
context: Why're you shaking?\Miroku, this forest must be...\Yes, there's no doubt about it.\This is a demon's nest.\Shucks! Did it again!\Damn! Get rid of a useless thing like that!\No way! My motherbought it forme.\It's coming... something evil. response:	At last! The master of this forest makes his appearance.
context: Miroku, this forest must be...\Yes, there's no doubt about it.\This is a demon's nest.\Shucks! Did it again!\Damn! Get rid of a useless thing like that!\No way! My motherbought it forme.\It's coming... something evil.\At last! The master of this forest makes his appearance. response:	Ademon or an apparition?
context: Yes, there's no doubt about it.\This is a demon's nest.\Shucks! Did it again!\Damn! Get rid of a useless thing like that!\No way! My motherbought it forme.\It's coming... something evil.\At last! The master of this forest makes his appearance.\Ademon or an apparition? response:	Quit stalling and show yourself!
context: This is a demon's nest.\Shucks! Did it again!\Damn! Get rid of a useless thing like that!\No way! My motherbought it forme.\It's coming... something evil.\At last! The master of this forest makes his appearance.\Ademon or an apparition?\Quit stalling and show yourself! response:	T-That's!
context: Shucks! Did it again!\Damn! Get rid of a useless thing like that!\No way! My motherbought it forme.\It's coming... something evil.\At last! The master of this forest makes his appearance.\Ademon or an apparition?\Quit stalling and show yourself!\T-That's! response:	Kagome, that demon is!
context: Damn! Get rid of a useless thing like that!\No way! My motherbought it forme.\It's coming... something evil.\At last! The master of this forest makes his appearance.\Ademon or an apparition?\Quit stalling and show yourself!\T-That's!\Kagome, that demon is! response:	Yes, it's Gatenmaru.
context: No way! My motherbought it forme.\It's coming... something evil.\At last! The master of this forest makes his appearance.\Ademon or an apparition?\Quit stalling and show yourself!\T-That's!\Kagome, that demon is!\Yes, it's Gatenmaru. response:	Oh? You know Gatenmaru?
context: It's coming... something evil.\At last! The master of this forest makes his appearance.\Ademon or an apparition?\Quit stalling and show yourself!\T-That's!\Kagome, that demon is!\Yes, it's Gatenmaru.\Oh? You know Gatenmaru? response:	He's the bane of my tribe.
context: At last! The master of this forest makes his appearance.\Ademon or an apparition?\Quit stalling and show yourself!\T-That's!\Kagome, that demon is!\Yes, it's Gatenmaru.\Oh? You know Gatenmaru?\He's the bane of my tribe. response:	I hearhe banded togetherwith lowly humans,
context: Ademon or an apparition?\Quit stalling and show yourself!\T-That's!\Kagome, that demon is!\Yes, it's Gatenmaru.\Oh? You know Gatenmaru?\He's the bane of my tribe.\I hearhe banded togetherwith lowly humans, response:	then got himself killed by a half-demon.
context: Quit stalling and show yourself!\T-That's!\Kagome, that demon is!\Yes, it's Gatenmaru.\Oh? You know Gatenmaru?\He's the bane of my tribe.\I hearhe banded togetherwith lowly humans,\then got himself killed by a half-demon. response:	Now that's a sharp sword.
context: T-That's!\Kagome, that demon is!\Yes, it's Gatenmaru.\Oh? You know Gatenmaru?\He's the bane of my tribe.\I hearhe banded togetherwith lowly humans,\then got himself killed by a half-demon.\Now that's a sharp sword. response:	That half-demon... was me.
context: Kagome, that demon is!\Yes, it's Gatenmaru.\Oh? You know Gatenmaru?\He's the bane of my tribe.\I hearhe banded togetherwith lowly humans,\then got himself killed by a half-demon.\Now that's a sharp sword.\That half-demon... was me. response:	That was such a stupid ending to the fight.
context: Yes, it's Gatenmaru.\Oh? You know Gatenmaru?\He's the bane of my tribe.\I hearhe banded togetherwith lowly humans,\then got himself killed by a half-demon.\Now that's a sharp sword.\That half-demon... was me.\That was such a stupid ending to the fight. response:	Why? The smell of demon blood?
context: Oh? You know Gatenmaru?\He's the bane of my tribe.\I hearhe banded togetherwith lowly humans,\then got himself killed by a half-demon.\Now that's a sharp sword.\That half-demon... was me.\That was such a stupid ending to the fight.\Why? The smell of demon blood? response:	You pesky moth!
context: He's the bane of my tribe.\I hearhe banded togetherwith lowly humans,\then got himself killed by a half-demon.\Now that's a sharp sword.\That half-demon... was me.\That was such a stupid ending to the fight.\Why? The smell of demon blood?\You pesky moth! response:	If you wanna avenge Gatenmaru's death, I'll gladly take you on!
context: I hearhe banded togetherwith lowly humans,\then got himself killed by a half-demon.\Now that's a sharp sword.\That half-demon... was me.\That was such a stupid ending to the fight.\Why? The smell of demon blood?\You pesky moth!\If you wanna avenge Gatenmaru's death, I'll gladly take you on! response:	Avenge?
context: then got himself killed by a half-demon.\Now that's a sharp sword.\That half-demon... was me.\That was such a stupid ending to the fight.\Why? The smell of demon blood?\You pesky moth!\If you wanna avenge Gatenmaru's death, I'll gladly take you on!\Avenge? response:	Whateverfor? He deserved to die!
context: Now that's a sharp sword.\That half-demon... was me.\That was such a stupid ending to the fight.\Why? The smell of demon blood?\You pesky moth!\If you wanna avenge Gatenmaru's death, I'll gladly take you on!\Avenge?\Whateverfor? He deserved to die! response:	I could care less about him.
context: That half-demon... was me.\That was such a stupid ending to the fight.\Why? The smell of demon blood?\You pesky moth!\If you wanna avenge Gatenmaru's death, I'll gladly take you on!\Avenge?\Whateverfor? He deserved to die!\I could care less about him. response:	Whatever!
context: That was such a stupid ending to the fight.\Why? The smell of demon blood?\You pesky moth!\If you wanna avenge Gatenmaru's death, I'll gladly take you on!\Avenge?\Whateverfor? He deserved to die!\I could care less about him.\Whatever! response:	I hate moth demons like you and him!
context: Why? The smell of demon blood?\You pesky moth!\If you wanna avenge Gatenmaru's death, I'll gladly take you on!\Avenge?\Whateverfor? He deserved to die!\I could care less about him.\Whatever!\I hate moth demons like you and him! response:	Inuyasha!
context: You pesky moth!\If you wanna avenge Gatenmaru's death, I'll gladly take you on!\Avenge?\Whateverfor? He deserved to die!\I could care less about him.\Whatever!\I hate moth demons like you and him!\Inuyasha! response:	W-What?!
context: If you wanna avenge Gatenmaru's death, I'll gladly take you on!\Avenge?\Whateverfor? He deserved to die!\I could care less about him.\Whatever!\I hate moth demons like you and him!\Inuyasha!\W-What?! response:	What is this?!
context: Avenge?\Whateverfor? He deserved to die!\I could care less about him.\Whatever!\I hate moth demons like you and him!\Inuyasha!\W-What?!\What is this?! response:	I was careless!
context: Whateverfor? He deserved to die!\I could care less about him.\Whatever!\I hate moth demons like you and him!\Inuyasha!\W-What?!\What is this?!\I was careless! response:	It won't come off!
context: I could care less about him.\Whatever!\I hate moth demons like you and him!\Inuyasha!\W-What?!\What is this?!\I was careless!\It won't come off! response:	It's entering my body!
context: Whatever!\I hate moth demons like you and him!\Inuyasha!\W-What?!\What is this?!\I was careless!\It won't come off!\It's entering my body! response:	My power...
context: I hate moth demons like you and him!\Inuyasha!\W-What?!\What is this?!\I was careless!\It won't come off!\It's entering my body!\My power... response:	Damn!
context: Inuyasha!\W-What?!\What is this?!\I was careless!\It won't come off!\It's entering my body!\My power...\Damn! response:	Kagome!
context: W-What?!\What is this?!\I was careless!\It won't come off!\It's entering my body!\My power...\Damn!\Kagome! response:	Kagome!
context: What is this?!\I was careless!\It won't come off!\It's entering my body!\My power...\Damn!\Kagome!\Kagome! response:	Tetsusaiga isn't working!
context: I was careless!\It won't come off!\It's entering my body!\My power...\Damn!\Kagome!\Kagome!\Tetsusaiga isn't working! response:	It's so uncouth to suck out human blood...
context: It won't come off!\It's entering my body!\My power...\Damn!\Kagome!\Kagome!\Tetsusaiga isn't working!\It's so uncouth to suck out human blood... response:	These days, my tribe likes to devour
context: It's entering my body!\My power...\Damn!\Kagome!\Kagome!\Tetsusaiga isn't working!\It's so uncouth to suck out human blood...\These days, my tribe likes to devour response:	the heart and soul, shaking in fear and despair.
context: My power...\Damn!\Kagome!\Kagome!\Tetsusaiga isn't working!\It's so uncouth to suck out human blood...\These days, my tribe likes to devour\the heart and soul, shaking in fear and despair. response:	Dammit!
context: Damn!\Kagome!\Kagome!\Tetsusaiga isn't working!\It's so uncouth to suck out human blood...\These days, my tribe likes to devour\the heart and soul, shaking in fear and despair.\Dammit! response:	Miroku!
context: Kagome!\Kagome!\Tetsusaiga isn't working!\It's so uncouth to suck out human blood...\These days, my tribe likes to devour\the heart and soul, shaking in fear and despair.\Dammit!\Miroku! response:	Hey! Don't be so weak! Hey Miroku!
context: Kagome!\Tetsusaiga isn't working!\It's so uncouth to suck out human blood...\These days, my tribe likes to devour\the heart and soul, shaking in fear and despair.\Dammit!\Miroku!\Hey! Don't be so weak! Hey Miroku! response:	Sango!
context: Tetsusaiga isn't working!\It's so uncouth to suck out human blood...\These days, my tribe likes to devour\the heart and soul, shaking in fear and despair.\Dammit!\Miroku!\Hey! Don't be so weak! Hey Miroku!\Sango! response:	Hang in there!
context: It's so uncouth to suck out human blood...\These days, my tribe likes to devour\the heart and soul, shaking in fear and despair.\Dammit!\Miroku!\Hey! Don't be so weak! Hey Miroku!\Sango!\Hang in there! response:	Whateveryou shout, they cannot hear anymore.
context: These days, my tribe likes to devour\the heart and soul, shaking in fear and despair.\Dammit!\Miroku!\Hey! Don't be so weak! Hey Miroku!\Sango!\Hang in there!\Whateveryou shout, they cannot hear anymore. response:	Shippo!
context: the heart and soul, shaking in fear and despair.\Dammit!\Miroku!\Hey! Don't be so weak! Hey Miroku!\Sango!\Hang in there!\Whateveryou shout, they cannot hear anymore.\Shippo! response:	Hey! Answerme!
context: Dammit!\Miroku!\Hey! Don't be so weak! Hey Miroku!\Sango!\Hang in there!\Whateveryou shout, they cannot hear anymore.\Shippo!\Hey! Answerme! response:	Shippo!
context: Miroku!\Hey! Don't be so weak! Hey Miroku!\Sango!\Hang in there!\Whateveryou shout, they cannot hear anymore.\Shippo!\Hey! Answerme!\Shippo! response:	By morning, a part of me shall take hold of theirhearts and bodies.
context: Hey! Don't be so weak! Hey Miroku!\Sango!\Hang in there!\Whateveryou shout, they cannot hear anymore.\Shippo!\Hey! Answerme!\Shippo!\By morning, a part of me shall take hold of theirhearts and bodies. response:	Wind Scar!
context: Sango!\Hang in there!\Whateveryou shout, they cannot hear anymore.\Shippo!\Hey! Answerme!\Shippo!\By morning, a part of me shall take hold of theirhearts and bodies.\Wind Scar! response:	Shall I test it?
context: Hang in there!\Whateveryou shout, they cannot hear anymore.\Shippo!\Hey! Answerme!\Shippo!\By morning, a part of me shall take hold of theirhearts and bodies.\Wind Scar!\Shall I test it? response:	It's useless!
context: Whateveryou shout, they cannot hear anymore.\Shippo!\Hey! Answerme!\Shippo!\By morning, a part of me shall take hold of theirhearts and bodies.\Wind Scar!\Shall I test it?\It's useless! response:	The only way to break this curse is to defeat him!
context: Shippo!\Hey! Answerme!\Shippo!\By morning, a part of me shall take hold of theirhearts and bodies.\Wind Scar!\Shall I test it?\It's useless!\The only way to break this curse is to defeat him! response:	Now then...
context: Hey! Answerme!\Shippo!\By morning, a part of me shall take hold of theirhearts and bodies.\Wind Scar!\Shall I test it?\It's useless!\The only way to break this curse is to defeat him!\Now then... response:	I shall create nightmares foryou...
context: Shippo!\By morning, a part of me shall take hold of theirhearts and bodies.\Wind Scar!\Shall I test it?\It's useless!\The only way to break this curse is to defeat him!\Now then...\I shall create nightmares foryou... response:	And you shall pour out your ultimate fear and despairforme!
context: By morning, a part of me shall take hold of theirhearts and bodies.\Wind Scar!\Shall I test it?\It's useless!\The only way to break this curse is to defeat him!\Now then...\I shall create nightmares foryou...\And you shall pour out your ultimate fear and despairforme! response:	Hey! K-Kirara!
context: Wind Scar!\Shall I test it?\It's useless!\The only way to break this curse is to defeat him!\Now then...\I shall create nightmares foryou...\And you shall pour out your ultimate fear and despairforme!\Hey! K-Kirara! response:	Are you all right, Kohaku?
context: Shall I test it?\It's useless!\The only way to break this curse is to defeat him!\Now then...\I shall create nightmares foryou...\And you shall pour out your ultimate fear and despairforme!\Hey! K-Kirara!\Are you all right, Kohaku? response:	If Kirara can handle him like that,
context: It's useless!\The only way to break this curse is to defeat him!\Now then...\I shall create nightmares foryou...\And you shall pour out your ultimate fear and despairforme!\Hey! K-Kirara!\Are you all right, Kohaku?\If Kirara can handle him like that, response:	maybe it's too early forhim to face battle.
context: The only way to break this curse is to defeat him!\Now then...\I shall create nightmares foryou...\And you shall pour out your ultimate fear and despairforme!\Hey! K-Kirara!\Are you all right, Kohaku?\If Kirara can handle him like that,\maybe it's too early forhim to face battle. response:	No such thing, Father.
context: Now then...\I shall create nightmares foryou...\And you shall pour out your ultimate fear and despairforme!\Hey! K-Kirara!\Are you all right, Kohaku?\If Kirara can handle him like that,\maybe it's too early forhim to face battle.\No such thing, Father. response:	Kohaku is very skilled with his sickle and chain.
context: I shall create nightmares foryou...\And you shall pour out your ultimate fear and despairforme!\Hey! K-Kirara!\Are you all right, Kohaku?\If Kirara can handle him like that,\maybe it's too early forhim to face battle.\No such thing, Father.\Kohaku is very skilled with his sickle and chain. response:	If you say so...
context: And you shall pour out your ultimate fear and despairforme!\Hey! K-Kirara!\Are you all right, Kohaku?\If Kirara can handle him like that,\maybe it's too early forhim to face battle.\No such thing, Father.\Kohaku is very skilled with his sickle and chain.\If you say so... response:	He'll be fine!
context: Hey! K-Kirara!\Are you all right, Kohaku?\If Kirara can handle him like that,\maybe it's too early forhim to face battle.\No such thing, Father.\Kohaku is very skilled with his sickle and chain.\If you say so...\He'll be fine! response:	And if anything should happen, I'll be with him.
context: Are you all right, Kohaku?\If Kirara can handle him like that,\maybe it's too early forhim to face battle.\No such thing, Father.\Kohaku is very skilled with his sickle and chain.\If you say so...\He'll be fine!\And if anything should happen, I'll be with him. response:	Kohaku!
context: If Kirara can handle him like that,\maybe it's too early forhim to face battle.\No such thing, Father.\Kohaku is very skilled with his sickle and chain.\If you say so...\He'll be fine!\And if anything should happen, I'll be with him.\Kohaku! response:	K-Kohaku!
context: maybe it's too early forhim to face battle.\No such thing, Father.\Kohaku is very skilled with his sickle and chain.\If you say so...\He'll be fine!\And if anything should happen, I'll be with him.\Kohaku!\K-Kohaku! response:	S-Sister!
context: No such thing, Father.\Kohaku is very skilled with his sickle and chain.\If you say so...\He'll be fine!\And if anything should happen, I'll be with him.\Kohaku!\K-Kohaku!\S-Sister! response:	I'm scared...
context: Kohaku is very skilled with his sickle and chain.\If you say so...\He'll be fine!\And if anything should happen, I'll be with him.\Kohaku!\K-Kohaku!\S-Sister!\I'm scared... response:	It's okay. I'm with you!
context: If you say so...\He'll be fine!\And if anything should happen, I'll be with him.\Kohaku!\K-Kohaku!\S-Sister!\I'm scared...\It's okay. I'm with you! response:	Kohaku...
context: He'll be fine!\And if anything should happen, I'll be with him.\Kohaku!\K-Kohaku!\S-Sister!\I'm scared...\It's okay. I'm with you!\Kohaku... response:	How fun! How fun!
context: And if anything should happen, I'll be with him.\Kohaku!\K-Kohaku!\S-Sister!\I'm scared...\It's okay. I'm with you!\Kohaku...\How fun! How fun! response:	Well, Miroku?
context: Kohaku!\K-Kohaku!\S-Sister!\I'm scared...\It's okay. I'm with you!\Kohaku...\How fun! How fun!\Well, Miroku? response:	Don't you forget all your cares when you're here?
context: K-Kohaku!\S-Sister!\I'm scared...\It's okay. I'm with you!\Kohaku...\How fun! How fun!\Well, Miroku?\Don't you forget all your cares when you're here? response:	MasterMushin, why isn't my fatherhere?
context: S-Sister!\I'm scared...\It's okay. I'm with you!\Kohaku...\How fun! How fun!\Well, Miroku?\Don't you forget all your cares when you're here?\MasterMushin, why isn't my fatherhere? response:	MasterMushin?
context: I'm scared...\It's okay. I'm with you!\Kohaku...\How fun! How fun!\Well, Miroku?\Don't you forget all your cares when you're here?\MasterMushin, why isn't my fatherhere?\MasterMushin? response:	Yourfatherdid not want you to see him part from this life.
context: It's okay. I'm with you!\Kohaku...\How fun! How fun!\Well, Miroku?\Don't you forget all your cares when you're here?\MasterMushin, why isn't my fatherhere?\MasterMushin?\Yourfatherdid not want you to see him part from this life. response:	Part from this life?
context: Kohaku...\How fun! How fun!\Well, Miroku?\Don't you forget all your cares when you're here?\MasterMushin, why isn't my fatherhere?\MasterMushin?\Yourfatherdid not want you to see him part from this life.\Part from this life? response:	By now...
context: How fun! How fun!\Well, Miroku?\Don't you forget all your cares when you're here?\MasterMushin, why isn't my fatherhere?\MasterMushin?\Yourfatherdid not want you to see him part from this life.\Part from this life?\By now... response:	Father!
context: Well, Miroku?\Don't you forget all your cares when you're here?\MasterMushin, why isn't my fatherhere?\MasterMushin?\Yourfatherdid not want you to see him part from this life.\Part from this life?\By now...\Father! response:	F-Father...
context: Don't you forget all your cares when you're here?\MasterMushin, why isn't my fatherhere?\MasterMushin?\Yourfatherdid not want you to see him part from this life.\Part from this life?\By now...\Father!\F-Father... response:	Look, Pa!
context: MasterMushin, why isn't my fatherhere?\MasterMushin?\Yourfatherdid not want you to see him part from this life.\Part from this life?\By now...\Father!\F-Father...\Look, Pa! response:	See?
context: MasterMushin?\Yourfatherdid not want you to see him part from this life.\Part from this life?\By now...\Father!\F-Father...\Look, Pa!\See? response:	So many acorns.
context: Yourfatherdid not want you to see him part from this life.\Part from this life?\By now...\Father!\F-Father...\Look, Pa!\See?\So many acorns. response:	What's the matter, Sota?
context: Part from this life?\By now...\Father!\F-Father...\Look, Pa!\See?\So many acorns.\What's the matter, Sota? response:	Buyo went in here.
context: By now...\Father!\F-Father...\Look, Pa!\See?\So many acorns.\What's the matter, Sota?\Buyo went in here. response:	This place is creepy.
context: Father!\F-Father...\Look, Pa!\See?\So many acorns.\What's the matter, Sota?\Buyo went in here.\This place is creepy. response:	It's too late to say that.
context: F-Father...\Look, Pa!\See?\So many acorns.\What's the matter, Sota?\Buyo went in here.\This place is creepy.\It's too late to say that. response:	Sis!
context: Look, Pa!\See?\So many acorns.\What's the matter, Sota?\Buyo went in here.\This place is creepy.\It's too late to say that.\Sis! response:	This miasma...
context: See?\So many acorns.\What's the matter, Sota?\Buyo went in here.\This place is creepy.\It's too late to say that.\Sis!\This miasma... response:	No! No way!
context: So many acorns.\What's the matter, Sota?\Buyo went in here.\This place is creepy.\It's too late to say that.\Sis!\This miasma...\No! No way! response:	Sota, run! Hurry!
context: What's the matter, Sota?\Buyo went in here.\This place is creepy.\It's too late to say that.\Sis!\This miasma...\No! No way!\Sota, run! Hurry! response:	Sota! Snap out of it!
context: Buyo went in here.\This place is creepy.\It's too late to say that.\Sis!\This miasma...\No! No way!\Sota, run! Hurry!\Sota! Snap out of it! response:	What's the matter, Kagome?
context: This place is creepy.\It's too late to say that.\Sis!\This miasma...\No! No way!\Sota, run! Hurry!\Sota! Snap out of it!\What's the matter, Kagome? response:	What's all the fuss?
context: It's too late to say that.\Sis!\This miasma...\No! No way!\Sota, run! Hurry!\Sota! Snap out of it!\What's the matter, Kagome?\What's all the fuss? response:	Don't come!
context: Sis!\This miasma...\No! No way!\Sota, run! Hurry!\Sota! Snap out of it!\What's the matter, Kagome?\What's all the fuss?\Don't come! response:	Suffer!
context: This miasma...\No! No way!\Sota, run! Hurry!\Sota! Snap out of it!\What's the matter, Kagome?\What's all the fuss?\Don't come!\Suffer! response:	Beyond that suffering awaits unfathomable despair.
context: No! No way!\Sota, run! Hurry!\Sota! Snap out of it!\What's the matter, Kagome?\What's all the fuss?\Don't come!\Suffer!\Beyond that suffering awaits unfathomable despair. response:	I shall get an ample taste of yourfear and hopelessness.
context: Sota, run! Hurry!\Sota! Snap out of it!\What's the matter, Kagome?\What's all the fuss?\Don't come!\Suffer!\Beyond that suffering awaits unfathomable despair.\I shall get an ample taste of yourfear and hopelessness. response:	What'd you do to those guys?!
context: Sota! Snap out of it!\What's the matter, Kagome?\What's all the fuss?\Don't come!\Suffer!\Beyond that suffering awaits unfathomable despair.\I shall get an ample taste of yourfear and hopelessness.\What'd you do to those guys?! response:	Just letting them dream.
context: What's the matter, Kagome?\What's all the fuss?\Don't come!\Suffer!\Beyond that suffering awaits unfathomable despair.\I shall get an ample taste of yourfear and hopelessness.\What'd you do to those guys?!\Just letting them dream. response:	Dream?!
context: What's all the fuss?\Don't come!\Suffer!\Beyond that suffering awaits unfathomable despair.\I shall get an ample taste of yourfear and hopelessness.\What'd you do to those guys?!\Just letting them dream.\Dream?! response:	Humans and demons alike...
context: Don't come!\Suffer!\Beyond that suffering awaits unfathomable despair.\I shall get an ample taste of yourfear and hopelessness.\What'd you do to those guys?!\Just letting them dream.\Dream?!\Humans and demons alike... response:	all have fears that they suppress deep down in theirhearts
context: Suffer!\Beyond that suffering awaits unfathomable despair.\I shall get an ample taste of yourfear and hopelessness.\What'd you do to those guys?!\Just letting them dream.\Dream?!\Humans and demons alike...\all have fears that they suppress deep down in theirhearts response:	which dreams can release.
context: Beyond that suffering awaits unfathomable despair.\I shall get an ample taste of yourfear and hopelessness.\What'd you do to those guys?!\Just letting them dream.\Dream?!\Humans and demons alike...\all have fears that they suppress deep down in theirhearts\which dreams can release. response:	We feed on that.
context: I shall get an ample taste of yourfear and hopelessness.\What'd you do to those guys?!\Just letting them dream.\Dream?!\Humans and demons alike...\all have fears that they suppress deep down in theirhearts\which dreams can release.\We feed on that. response:	You bastard!
context: What'd you do to those guys?!\Just letting them dream.\Dream?!\Humans and demons alike...\all have fears that they suppress deep down in theirhearts\which dreams can release.\We feed on that.\You bastard! response:	Release Kagome and the others now!
context: Just letting them dream.\Dream?!\Humans and demons alike...\all have fears that they suppress deep down in theirhearts\which dreams can release.\We feed on that.\You bastard!\Release Kagome and the others now! response:	Ahalf-demon!
context: Dream?!\Humans and demons alike...\all have fears that they suppress deep down in theirhearts\which dreams can release.\We feed on that.\You bastard!\Release Kagome and the others now!\Ahalf-demon! response:	I can see yourfear so clearly.
context: Humans and demons alike...\all have fears that they suppress deep down in theirhearts\which dreams can release.\We feed on that.\You bastard!\Release Kagome and the others now!\Ahalf-demon!\I can see yourfear so clearly. response:	What?!
context: all have fears that they suppress deep down in theirhearts\which dreams can release.\We feed on that.\You bastard!\Release Kagome and the others now!\Ahalf-demon!\I can see yourfear so clearly.\What?! response:	Without your comrades,
context: which dreams can release.\We feed on that.\You bastard!\Release Kagome and the others now!\Ahalf-demon!\I can see yourfear so clearly.\What?!\Without your comrades, response:	you're so lonely, you can't bearit.
context: We feed on that.\You bastard!\Release Kagome and the others now!\Ahalf-demon!\I can see yourfear so clearly.\What?!\Without your comrades,\you're so lonely, you can't bearit. response:	Shaddup!
context: You bastard!\Release Kagome and the others now!\Ahalf-demon!\I can see yourfear so clearly.\What?!\Without your comrades,\you're so lonely, you can't bearit.\Shaddup! response:	I can fight alone!
context: Release Kagome and the others now!\Ahalf-demon!\I can see yourfear so clearly.\What?!\Without your comrades,\you're so lonely, you can't bearit.\Shaddup!\I can fight alone! response:	However...
context: Ahalf-demon!\I can see yourfear so clearly.\What?!\Without your comrades,\you're so lonely, you can't bearit.\Shaddup!\I can fight alone!\However... response:	ljust don't like you making my friends yourfodder!
context: I can see yourfear so clearly.\What?!\Without your comrades,\you're so lonely, you can't bearit.\Shaddup!\I can fight alone!\However...\ljust don't like you making my friends yourfodder! response:	All talk.
context: What?!\Without your comrades,\you're so lonely, you can't bearit.\Shaddup!\I can fight alone!\However...\ljust don't like you making my friends yourfodder!\All talk. response:	The unbearable fear of being alone...
