context: I've never found this world fun. response:	Not even once.
context: They've entered an Orgonic-oscillation state...\An excess of Orgone energy has shorted out the Neural Maneuver System.\During trials, they performed better than expected.\I was able to move the manipulators and engines like my own limbs.\You were pretty rough on them...\The RD Chief is gonna cry.\We got a little carried away.\How long is it going to take? response:	To fix them?
context: An excess of Orgone energy has shorted out the Neural Maneuver System.\During trials, they performed better than expected.\I was able to move the manipulators and engines like my own limbs.\You were pretty rough on them...\The RD Chief is gonna cry.\We got a little carried away.\How long is it going to take?\To fix them? response:	What do you think?
context: During trials, they performed better than expected.\I was able to move the manipulators and engines like my own limbs.\You were pretty rough on them...\The RD Chief is gonna cry.\We got a little carried away.\How long is it going to take?\To fix them?\What do you think? response:	At best, two weeks...
context: I was able to move the manipulators and engines like my own limbs.\You were pretty rough on them...\The RD Chief is gonna cry.\We got a little carried away.\How long is it going to take?\To fix them?\What do you think?\At best, two weeks... response:	Two weeks.
context: You were pretty rough on them...\The RD Chief is gonna cry.\We got a little carried away.\How long is it going to take?\To fix them?\What do you think?\At best, two weeks...\Two weeks. response:	I'm sick of waiting.
context: The RD Chief is gonna cry.\We got a little carried away.\How long is it going to take?\To fix them?\What do you think?\At best, two weeks...\Two weeks.\I'm sick of waiting. response:	Yup.
context: We got a little carried away.\How long is it going to take?\To fix them?\What do you think?\At best, two weeks...\Two weeks.\I'm sick of waiting.\Yup. response:	We still have Setsuna's capsule.
context: How long is it going to take?\To fix them?\What do you think?\At best, two weeks...\Two weeks.\I'm sick of waiting.\Yup.\We still have Setsuna's capsule. response:	It's only our Machine Goodfellows that won't work.
context: To fix them?\What do you think?\At best, two weeks...\Two weeks.\I'm sick of waiting.\Yup.\We still have Setsuna's capsule.\It's only our Machine Goodfellows that won't work. response:	Then we'll go with Plan B!
context: What do you think?\At best, two weeks...\Two weeks.\I'm sick of waiting.\Yup.\We still have Setsuna's capsule.\It's only our Machine Goodfellows that won't work.\Then we'll go with Plan B! response:	Other than ours, all the Machine Goodfellows are in here.
context: At best, two weeks...\Two weeks.\I'm sick of waiting.\Yup.\We still have Setsuna's capsule.\It's only our Machine Goodfellows that won't work.\Then we'll go with Plan B!\Other than ours, all the Machine Goodfellows are in here. response:	And Puck's given us the data for the other five.
context: Two weeks.\I'm sick of waiting.\Yup.\We still have Setsuna's capsule.\It's only our Machine Goodfellows that won't work.\Then we'll go with Plan B!\Other than ours, all the Machine Goodfellows are in here.\And Puck's given us the data for the other five. response:	Let's go and see some old familiar faces.
context: I'm sick of waiting.\Yup.\We still have Setsuna's capsule.\It's only our Machine Goodfellows that won't work.\Then we'll go with Plan B!\Other than ours, all the Machine Goodfellows are in here.\And Puck's given us the data for the other five.\Let's go and see some old familiar faces. response:	Sign From the Dark
context: Yup.\We still have Setsuna's capsule.\It's only our Machine Goodfellows that won't work.\Then we'll go with Plan B!\Other than ours, all the Machine Goodfellows are in here.\And Puck's given us the data for the other five.\Let's go and see some old familiar faces.\Sign From the Dark response:	We've just arrived in Odaiba.
context: We still have Setsuna's capsule.\It's only our Machine Goodfellows that won't work.\Then we'll go with Plan B!\Other than ours, all the Machine Goodfellows are in here.\And Puck's given us the data for the other five.\Let's go and see some old familiar faces.\Sign From the Dark\We've just arrived in Odaiba. response:	Yes, they're getting ready now.
context: It's only our Machine Goodfellows that won't work.\Then we'll go with Plan B!\Other than ours, all the Machine Goodfellows are in here.\And Puck's given us the data for the other five.\Let's go and see some old familiar faces.\Sign From the Dark\We've just arrived in Odaiba.\Yes, they're getting ready now. response:	There will be a high-density libido event in Odaiba tomorrow?
context: Then we'll go with Plan B!\Other than ours, all the Machine Goodfellows are in here.\And Puck's given us the data for the other five.\Let's go and see some old familiar faces.\Sign From the Dark\We've just arrived in Odaiba.\Yes, they're getting ready now.\There will be a high-density libido event in Odaiba tomorrow? response:	That's what Pitz says.
context: Other than ours, all the Machine Goodfellows are in here.\And Puck's given us the data for the other five.\Let's go and see some old familiar faces.\Sign From the Dark\We've just arrived in Odaiba.\Yes, they're getting ready now.\There will be a high-density libido event in Odaiba tomorrow?\That's what Pitz says. response:	Why aren't they acting sooner?
context: And Puck's given us the data for the other five.\Let's go and see some old familiar faces.\Sign From the Dark\We've just arrived in Odaiba.\Yes, they're getting ready now.\There will be a high-density libido event in Odaiba tomorrow?\That's what Pitz says.\Why aren't they acting sooner? response:	Most likely, they can't.
context: Let's go and see some old familiar faces.\Sign From the Dark\We've just arrived in Odaiba.\Yes, they're getting ready now.\There will be a high-density libido event in Odaiba tomorrow?\That's what Pitz says.\Why aren't they acting sooner?\Most likely, they can't. response:	Alonzo's action-prediction simulation
context: Sign From the Dark\We've just arrived in Odaiba.\Yes, they're getting ready now.\There will be a high-density libido event in Odaiba tomorrow?\That's what Pitz says.\Why aren't they acting sooner?\Most likely, they can't.\Alonzo's action-prediction simulation response:	reached the same conclusion I did.
context: We've just arrived in Odaiba.\Yes, they're getting ready now.\There will be a high-density libido event in Odaiba tomorrow?\That's what Pitz says.\Why aren't they acting sooner?\Most likely, they can't.\Alonzo's action-prediction simulation\reached the same conclusion I did. response:	During the Kanda incident, development of eight Machine Goodfellows was confirmed.
context: Yes, they're getting ready now.\There will be a high-density libido event in Odaiba tomorrow?\That's what Pitz says.\Why aren't they acting sooner?\Most likely, they can't.\Alonzo's action-prediction simulation\reached the same conclusion I did.\During the Kanda incident, development of eight Machine Goodfellows was confirmed. response:	And the Machine Goodfellow Aramusha
context: There will be a high-density libido event in Odaiba tomorrow?\That's what Pitz says.\Why aren't they acting sooner?\Most likely, they can't.\Alonzo's action-prediction simulation\reached the same conclusion I did.\During the Kanda incident, development of eight Machine Goodfellows was confirmed.\And the Machine Goodfellow Aramusha response:	had a man-machine interface that only Teppei could use.
context: That's what Pitz says.\Why aren't they acting sooner?\Most likely, they can't.\Alonzo's action-prediction simulation\reached the same conclusion I did.\During the Kanda incident, development of eight Machine Goodfellows was confirmed.\And the Machine Goodfellow Aramusha\had a man-machine interface that only Teppei could use. response:	Amarok and Malkin...
context: Why aren't they acting sooner?\Most likely, they can't.\Alonzo's action-prediction simulation\reached the same conclusion I did.\During the Kanda incident, development of eight Machine Goodfellows was confirmed.\And the Machine Goodfellow Aramusha\had a man-machine interface that only Teppei could use.\Amarok and Malkin... response:	Their Machine Goodfellows were
context: Most likely, they can't.\Alonzo's action-prediction simulation\reached the same conclusion I did.\During the Kanda incident, development of eight Machine Goodfellows was confirmed.\And the Machine Goodfellow Aramusha\had a man-machine interface that only Teppei could use.\Amarok and Malkin...\Their Machine Goodfellows were response:	most likely disabled during the last battle.
context: Alonzo's action-prediction simulation\reached the same conclusion I did.\During the Kanda incident, development of eight Machine Goodfellows was confirmed.\And the Machine Goodfellow Aramusha\had a man-machine interface that only Teppei could use.\Amarok and Malkin...\Their Machine Goodfellows were\most likely disabled during the last battle. response:	Interesting...
context: reached the same conclusion I did.\During the Kanda incident, development of eight Machine Goodfellows was confirmed.\And the Machine Goodfellow Aramusha\had a man-machine interface that only Teppei could use.\Amarok and Malkin...\Their Machine Goodfellows were\most likely disabled during the last battle.\Interesting... response:	If we analyze that, we'll probably find all kinds of weak spots!
context: During the Kanda incident, development of eight Machine Goodfellows was confirmed.\And the Machine Goodfellow Aramusha\had a man-machine interface that only Teppei could use.\Amarok and Malkin...\Their Machine Goodfellows were\most likely disabled during the last battle.\Interesting...\If we analyze that, we'll probably find all kinds of weak spots! response:	But if there's going to be a high-density libido event anyway...
context: And the Machine Goodfellow Aramusha\had a man-machine interface that only Teppei could use.\Amarok and Malkin...\Their Machine Goodfellows were\most likely disabled during the last battle.\Interesting...\If we analyze that, we'll probably find all kinds of weak spots!\But if there's going to be a high-density libido event anyway... response:	They may try to make contact with the other five.
context: had a man-machine interface that only Teppei could use.\Amarok and Malkin...\Their Machine Goodfellows were\most likely disabled during the last battle.\Interesting...\If we analyze that, we'll probably find all kinds of weak spots!\But if there's going to be a high-density libido event anyway...\They may try to make contact with the other five. response:	Make contact...
context: Amarok and Malkin...\Their Machine Goodfellows were\most likely disabled during the last battle.\Interesting...\If we analyze that, we'll probably find all kinds of weak spots!\But if there's going to be a high-density libido event anyway...\They may try to make contact with the other five.\Make contact... response:	With the other five?
context: Their Machine Goodfellows were\most likely disabled during the last battle.\Interesting...\If we analyze that, we'll probably find all kinds of weak spots!\But if there's going to be a high-density libido event anyway...\They may try to make contact with the other five.\Make contact...\With the other five? response:	Do you know anything about the other designer children?
context: most likely disabled during the last battle.\Interesting...\If we analyze that, we'll probably find all kinds of weak spots!\But if there's going to be a high-density libido event anyway...\They may try to make contact with the other five.\Make contact...\With the other five?\Do you know anything about the other designer children? response:	I don't.
context: Interesting...\If we analyze that, we'll probably find all kinds of weak spots!\But if there's going to be a high-density libido event anyway...\They may try to make contact with the other five.\Make contact...\With the other five?\Do you know anything about the other designer children?\I don't. response:	I think we were all isolated from one another.
context: If we analyze that, we'll probably find all kinds of weak spots!\But if there's going to be a high-density libido event anyway...\They may try to make contact with the other five.\Make contact...\With the other five?\Do you know anything about the other designer children?\I don't.\I think we were all isolated from one another. response:	This data says there are two men and three women...
context: But if there's going to be a high-density libido event anyway...\They may try to make contact with the other five.\Make contact...\With the other five?\Do you know anything about the other designer children?\I don't.\I think we were all isolated from one another.\This data says there are two men and three women... response:	Do they not have their Kiltgang memories?
context: They may try to make contact with the other five.\Make contact...\With the other five?\Do you know anything about the other designer children?\I don't.\I think we were all isolated from one another.\This data says there are two men and three women...\Do they not have their Kiltgang memories? response:	I don't know.
context: Make contact...\With the other five?\Do you know anything about the other designer children?\I don't.\I think we were all isolated from one another.\This data says there are two men and three women...\Do they not have their Kiltgang memories?\I don't know. response:	But if they do what I did,
context: With the other five?\Do you know anything about the other designer children?\I don't.\I think we were all isolated from one another.\This data says there are two men and three women...\Do they not have their Kiltgang memories?\I don't know.\But if they do what I did, response:	and either touch Orgone energy
context: Do you know anything about the other designer children?\I don't.\I think we were all isolated from one another.\This data says there are two men and three women...\Do they not have their Kiltgang memories?\I don't know.\But if they do what I did,\and either touch Orgone energy response:	or come into a certain type of contact with another avatar who has memories,
context: I don't.\I think we were all isolated from one another.\This data says there are two men and three women...\Do they not have their Kiltgang memories?\I don't know.\But if they do what I did,\and either touch Orgone energy\or come into a certain type of contact with another avatar who has memories, response:	I believe their memories will return.
context: I think we were all isolated from one another.\This data says there are two men and three women...\Do they not have their Kiltgang memories?\I don't know.\But if they do what I did,\and either touch Orgone energy\or come into a certain type of contact with another avatar who has memories,\I believe their memories will return. response:	A certain type of contact?
context: This data says there are two men and three women...\Do they not have their Kiltgang memories?\I don't know.\But if they do what I did,\and either touch Orgone energy\or come into a certain type of contact with another avatar who has memories,\I believe their memories will return.\A certain type of contact? response:	Does the enemy know where the missing five are?
context: Do they not have their Kiltgang memories?\I don't know.\But if they do what I did,\and either touch Orgone energy\or come into a certain type of contact with another avatar who has memories,\I believe their memories will return.\A certain type of contact?\Does the enemy know where the missing five are? response:	They may be able to sense their general locations.
context: I don't know.\But if they do what I did,\and either touch Orgone energy\or come into a certain type of contact with another avatar who has memories,\I believe their memories will return.\A certain type of contact?\Does the enemy know where the missing five are?\They may be able to sense their general locations. response:	Since my Ego Block was destroyed,
context: But if they do what I did,\and either touch Orgone energy\or come into a certain type of contact with another avatar who has memories,\I believe their memories will return.\A certain type of contact?\Does the enemy know where the missing five are?\They may be able to sense their general locations.\Since my Ego Block was destroyed, response:	I've lost that sense.
context: and either touch Orgone energy\or come into a certain type of contact with another avatar who has memories,\I believe their memories will return.\A certain type of contact?\Does the enemy know where the missing five are?\They may be able to sense their general locations.\Since my Ego Block was destroyed,\I've lost that sense. response:	Anyway, the Earth Engine Impacter is undergoing repairs, but thankfully,
context: or come into a certain type of contact with another avatar who has memories,\I believe their memories will return.\A certain type of contact?\Does the enemy know where the missing five are?\They may be able to sense their general locations.\Since my Ego Block was destroyed,\I've lost that sense.\Anyway, the Earth Engine Impacter is undergoing repairs, but thankfully, response:	the Ordinary still functions.
context: I believe their memories will return.\A certain type of contact?\Does the enemy know where the missing five are?\They may be able to sense their general locations.\Since my Ego Block was destroyed,\I've lost that sense.\Anyway, the Earth Engine Impacter is undergoing repairs, but thankfully,\the Ordinary still functions. response:	Even if the low-orbit Impacters can repel them,
context: A certain type of contact?\Does the enemy know where the missing five are?\They may be able to sense their general locations.\Since my Ego Block was destroyed,\I've lost that sense.\Anyway, the Earth Engine Impacter is undergoing repairs, but thankfully,\the Ordinary still functions.\Even if the low-orbit Impacters can repel them, response:	Earth will sustain tremendous damage.
context: Does the enemy know where the missing five are?\They may be able to sense their general locations.\Since my Ego Block was destroyed,\I've lost that sense.\Anyway, the Earth Engine Impacter is undergoing repairs, but thankfully,\the Ordinary still functions.\Even if the low-orbit Impacters can repel them,\Earth will sustain tremendous damage. response:	Your mission is to secretly stop the others from becoming Kiltgangs.
context: They may be able to sense their general locations.\Since my Ego Block was destroyed,\I've lost that sense.\Anyway, the Earth Engine Impacter is undergoing repairs, but thankfully,\the Ordinary still functions.\Even if the low-orbit Impacters can repel them,\Earth will sustain tremendous damage.\Your mission is to secretly stop the others from becoming Kiltgangs. response:	And so, our first mission is in Odaiba, huh?
context: Since my Ego Block was destroyed,\I've lost that sense.\Anyway, the Earth Engine Impacter is undergoing repairs, but thankfully,\the Ordinary still functions.\Even if the low-orbit Impacters can repel them,\Earth will sustain tremendous damage.\Your mission is to secretly stop the others from becoming Kiltgangs.\And so, our first mission is in Odaiba, huh? response:	I'm coming in.
context: I've lost that sense.\Anyway, the Earth Engine Impacter is undergoing repairs, but thankfully,\the Ordinary still functions.\Even if the low-orbit Impacters can repel them,\Earth will sustain tremendous damage.\Your mission is to secretly stop the others from becoming Kiltgangs.\And so, our first mission is in Odaiba, huh?\I'm coming in. response:	Okay.
context: Anyway, the Earth Engine Impacter is undergoing repairs, but thankfully,\the Ordinary still functions.\Even if the low-orbit Impacters can repel them,\Earth will sustain tremendous damage.\Your mission is to secretly stop the others from becoming Kiltgangs.\And so, our first mission is in Odaiba, huh?\I'm coming in.\Okay. response:	Are you ready?
context: the Ordinary still functions.\Even if the low-orbit Impacters can repel them,\Earth will sustain tremendous damage.\Your mission is to secretly stop the others from becoming Kiltgangs.\And so, our first mission is in Odaiba, huh?\I'm coming in.\Okay.\Are you ready? response:	That's pretty nice.
context: Even if the low-orbit Impacters can repel them,\Earth will sustain tremendous damage.\Your mission is to secretly stop the others from becoming Kiltgangs.\And so, our first mission is in Odaiba, huh?\I'm coming in.\Okay.\Are you ready?\That's pretty nice. response:	How about the girls?
context: Earth will sustain tremendous damage.\Your mission is to secretly stop the others from becoming Kiltgangs.\And so, our first mission is in Odaiba, huh?\I'm coming in.\Okay.\Are you ready?\That's pretty nice.\How about the girls? response:	Okay!
context: Your mission is to secretly stop the others from becoming Kiltgangs.\And so, our first mission is in Odaiba, huh?\I'm coming in.\Okay.\Are you ready?\That's pretty nice.\How about the girls?\Okay! response:	Akari, this is a little tight.
context: And so, our first mission is in Odaiba, huh?\I'm coming in.\Okay.\Are you ready?\That's pretty nice.\How about the girls?\Okay!\Akari, this is a little tight. response:	Captain...
context: I'm coming in.\Okay.\Are you ready?\That's pretty nice.\How about the girls?\Okay!\Akari, this is a little tight.\Captain... response:	Are you going to keep calling me that?
context: Okay.\Are you ready?\That's pretty nice.\How about the girls?\Okay!\Akari, this is a little tight.\Captain...\Are you going to keep calling me that? response:	If Hana's prediction is correct,
context: Are you ready?\That's pretty nice.\How about the girls?\Okay!\Akari, this is a little tight.\Captain...\Are you going to keep calling me that?\If Hana's prediction is correct, response:	a Machine Goodfellow will appear tonight, in this area.
context: That's pretty nice.\How about the girls?\Okay!\Akari, this is a little tight.\Captain...\Are you going to keep calling me that?\If Hana's prediction is correct,\a Machine Goodfellow will appear tonight, in this area. response:	If they're bringing in that huge machine, I want to stop it before it activates.
context: How about the girls?\Okay!\Akari, this is a little tight.\Captain...\Are you going to keep calling me that?\If Hana's prediction is correct,\a Machine Goodfellow will appear tonight, in this area.\If they're bringing in that huge machine, I want to stop it before it activates. response:	What are you doing?
context: Okay!\Akari, this is a little tight.\Captain...\Are you going to keep calling me that?\If Hana's prediction is correct,\a Machine Goodfellow will appear tonight, in this area.\If they're bringing in that huge machine, I want to stop it before it activates.\What are you doing? response:	Gathering information.
context: Akari, this is a little tight.\Captain...\Are you going to keep calling me that?\If Hana's prediction is correct,\a Machine Goodfellow will appear tonight, in this area.\If they're bringing in that huge machine, I want to stop it before it activates.\What are you doing?\Gathering information. response:	Is it okay to leave the Japanese area's
context: Captain...\Are you going to keep calling me that?\If Hana's prediction is correct,\a Machine Goodfellow will appear tonight, in this area.\If they're bringing in that huge machine, I want to stop it before it activates.\What are you doing?\Gathering information.\Is it okay to leave the Japanese area's response:	independent attack force to kids like these?
context: Are you going to keep calling me that?\If Hana's prediction is correct,\a Machine Goodfellow will appear tonight, in this area.\If they're bringing in that huge machine, I want to stop it before it activates.\What are you doing?\Gathering information.\Is it okay to leave the Japanese area's\independent attack force to kids like these? response:	I heard another team is active, too.
context: If Hana's prediction is correct,\a Machine Goodfellow will appear tonight, in this area.\If they're bringing in that huge machine, I want to stop it before it activates.\What are you doing?\Gathering information.\Is it okay to leave the Japanese area's\independent attack force to kids like these?\I heard another team is active, too. response:	They can pull it off.
context: a Machine Goodfellow will appear tonight, in this area.\If they're bringing in that huge machine, I want to stop it before it activates.\What are you doing?\Gathering information.\Is it okay to leave the Japanese area's\independent attack force to kids like these?\I heard another team is active, too.\They can pull it off. response:	I'm not the type who believes in intuition, like the commander.
context: If they're bringing in that huge machine, I want to stop it before it activates.\What are you doing?\Gathering information.\Is it okay to leave the Japanese area's\independent attack force to kids like these?\I heard another team is active, too.\They can pull it off.\I'm not the type who believes in intuition, like the commander. response:	But given their individual skills, I think they're appropriate for the mission.
context: What are you doing?\Gathering information.\Is it okay to leave the Japanese area's\independent attack force to kids like these?\I heard another team is active, too.\They can pull it off.\I'm not the type who believes in intuition, like the commander.\But given their individual skills, I think they're appropriate for the mission. response:	I found it.
context: Gathering information.\Is it okay to leave the Japanese area's\independent attack force to kids like these?\I heard another team is active, too.\They can pull it off.\I'm not the type who believes in intuition, like the commander.\But given their individual skills, I think they're appropriate for the mission.\I found it. response:	This is it!
context: Is it okay to leave the Japanese area's\independent attack force to kids like these?\I heard another team is active, too.\They can pull it off.\I'm not the type who believes in intuition, like the commander.\But given their individual skills, I think they're appropriate for the mission.\I found it.\This is it! response:	Look, this is it.
context: independent attack force to kids like these?\I heard another team is active, too.\They can pull it off.\I'm not the type who believes in intuition, like the commander.\But given their individual skills, I think they're appropriate for the mission.\I found it.\This is it!\Look, this is it. response:	The fruit tart in the Orlando Casino's cafe.
context: I heard another team is active, too.\They can pull it off.\I'm not the type who believes in intuition, like the commander.\But given their individual skills, I think they're appropriate for the mission.\I found it.\This is it!\Look, this is it.\The fruit tart in the Orlando Casino's cafe. response:	That looks delicious!
context: They can pull it off.\I'm not the type who believes in intuition, like the commander.\But given their individual skills, I think they're appropriate for the mission.\I found it.\This is it!\Look, this is it.\The fruit tart in the Orlando Casino's cafe.\That looks delicious! response:	Let's go here first.
context: I'm not the type who believes in intuition, like the commander.\But given their individual skills, I think they're appropriate for the mission.\I found it.\This is it!\Look, this is it.\The fruit tart in the Orlando Casino's cafe.\That looks delicious!\Let's go here first. response:	Will they really be okay?
context: But given their individual skills, I think they're appropriate for the mission.\I found it.\This is it!\Look, this is it.\The fruit tart in the Orlando Casino's cafe.\That looks delicious!\Let's go here first.\Will they really be okay? response:	It's good!
context: I found it.\This is it!\Look, this is it.\The fruit tart in the Orlando Casino's cafe.\That looks delicious!\Let's go here first.\Will they really be okay?\It's good! response:	See?
context: This is it!\Look, this is it.\The fruit tart in the Orlando Casino's cafe.\That looks delicious!\Let's go here first.\Will they really be okay?\It's good!\See? response:	This was the right place to go, Captain.
context: Look, this is it.\The fruit tart in the Orlando Casino's cafe.\That looks delicious!\Let's go here first.\Will they really be okay?\It's good!\See?\This was the right place to go, Captain. response:	Hey, is everyone really going to keep calling me that?
context: The fruit tart in the Orlando Casino's cafe.\That looks delicious!\Let's go here first.\Will they really be okay?\It's good!\See?\This was the right place to go, Captain.\Hey, is everyone really going to keep calling me that? response:	No more bets.
context: That looks delicious!\Let's go here first.\Will they really be okay?\It's good!\See?\This was the right place to go, Captain.\Hey, is everyone really going to keep calling me that?\No more bets. response:	Now, then... We've come all the way to a casino,
context: Let's go here first.\Will they really be okay?\It's good!\See?\This was the right place to go, Captain.\Hey, is everyone really going to keep calling me that?\No more bets.\Now, then... We've come all the way to a casino, response:	so let's use Pitz's power to make some money.
context: Will they really be okay?\It's good!\See?\This was the right place to go, Captain.\Hey, is everyone really going to keep calling me that?\No more bets.\Now, then... We've come all the way to a casino,\so let's use Pitz's power to make some money. response:	I don't think that'll work.
context: It's good!\See?\This was the right place to go, Captain.\Hey, is everyone really going to keep calling me that?\No more bets.\Now, then... We've come all the way to a casino,\so let's use Pitz's power to make some money.\I don't think that'll work. response:	Pitz can only instinctively sense
context: See?\This was the right place to go, Captain.\Hey, is everyone really going to keep calling me that?\No more bets.\Now, then... We've come all the way to a casino,\so let's use Pitz's power to make some money.\I don't think that'll work.\Pitz can only instinctively sense response:	the flow or presence of Orgone energy.
context: This was the right place to go, Captain.\Hey, is everyone really going to keep calling me that?\No more bets.\Now, then... We've come all the way to a casino,\so let's use Pitz's power to make some money.\I don't think that'll work.\Pitz can only instinctively sense\the flow or presence of Orgone energy. response:	Oh...
context: Hey, is everyone really going to keep calling me that?\No more bets.\Now, then... We've come all the way to a casino,\so let's use Pitz's power to make some money.\I don't think that'll work.\Pitz can only instinctively sense\the flow or presence of Orgone energy.\Oh... response:	Was that why we came here?
context: No more bets.\Now, then... We've come all the way to a casino,\so let's use Pitz's power to make some money.\I don't think that'll work.\Pitz can only instinctively sense\the flow or presence of Orgone energy.\Oh...\Was that why we came here? response:	Excuse me.
context: Now, then... We've come all the way to a casino,\so let's use Pitz's power to make some money.\I don't think that'll work.\Pitz can only instinctively sense\the flow or presence of Orgone energy.\Oh...\Was that why we came here?\Excuse me. response:	Minors aren't allowed in this casino.
context: so let's use Pitz's power to make some money.\I don't think that'll work.\Pitz can only instinctively sense\the flow or presence of Orgone energy.\Oh...\Was that why we came here?\Excuse me.\Minors aren't allowed in this casino. response:	Well...
context: I don't think that'll work.\Pitz can only instinctively sense\the flow or presence of Orgone energy.\Oh...\Was that why we came here?\Excuse me.\Minors aren't allowed in this casino.\Well... response:	I told the manager we were observing for educational purposes,
context: Pitz can only instinctively sense\the flow or presence of Orgone energy.\Oh...\Was that why we came here?\Excuse me.\Minors aren't allowed in this casino.\Well...\I told the manager we were observing for educational purposes, response:	and he let us in with a smile!
context: the flow or presence of Orgone energy.\Oh...\Was that why we came here?\Excuse me.\Minors aren't allowed in this casino.\Well...\I told the manager we were observing for educational purposes,\and he let us in with a smile! response:	I did have to give him a sizable tip, though.
context: Oh...\Was that why we came here?\Excuse me.\Minors aren't allowed in this casino.\Well...\I told the manager we were observing for educational purposes,\and he let us in with a smile!\I did have to give him a sizable tip, though. response:	Tip?
context: Was that why we came here?\Excuse me.\Minors aren't allowed in this casino.\Well...\I told the manager we were observing for educational purposes,\and he let us in with a smile!\I did have to give him a sizable tip, though.\Tip? response:	What do you mean by tip?
context: Excuse me.\Minors aren't allowed in this casino.\Well...\I told the manager we were observing for educational purposes,\and he let us in with a smile!\I did have to give him a sizable tip, though.\Tip?\What do you mean by tip? response:	Don't worry about it, Captain.
