context: What's wrong? response:	Did you bite your tongue?
context: Really? What a happy coincidence.\My papa does modeling!\Wow!\Now, Sayaka!\Just a little.\When I was younger...\I think maybe I've seen you before in my company's catalog...\Really?! response:	Excuse me.
context: My papa does modeling!\Wow!\Now, Sayaka!\Just a little.\When I was younger...\I think maybe I've seen you before in my company's catalog...\Really?!\Excuse me. response:	If you don't mind my asking, what's the name of your company?
context: Wow!\Now, Sayaka!\Just a little.\When I was younger...\I think maybe I've seen you before in my company's catalog...\Really?!\Excuse me.\If you don't mind my asking, what's the name of your company? response:	That may be me!
context: Now, Sayaka!\Just a little.\When I was younger...\I think maybe I've seen you before in my company's catalog...\Really?!\Excuse me.\If you don't mind my asking, what's the name of your company?\That may be me! response:	I'm much obliged!
context: Just a little.\When I was younger...\I think maybe I've seen you before in my company's catalog...\Really?!\Excuse me.\If you don't mind my asking, what's the name of your company?\That may be me!\I'm much obliged! response:	Cheerful guy, isn't he?
context: When I was younger...\I think maybe I've seen you before in my company's catalog...\Really?!\Excuse me.\If you don't mind my asking, what's the name of your company?\That may be me!\I'm much obliged!\Cheerful guy, isn't he? response:	Now I'm embarrassed!
context: I think maybe I've seen you before in my company's catalog...\Really?!\Excuse me.\If you don't mind my asking, what's the name of your company?\That may be me!\I'm much obliged!\Cheerful guy, isn't he?\Now I'm embarrassed! response:	These days, I'm a manager for the same agency.
context: Really?!\Excuse me.\If you don't mind my asking, what's the name of your company?\That may be me!\I'm much obliged!\Cheerful guy, isn't he?\Now I'm embarrassed!\These days, I'm a manager for the same agency. response:	Oh, really?
context: Excuse me.\If you don't mind my asking, what's the name of your company?\That may be me!\I'm much obliged!\Cheerful guy, isn't he?\Now I'm embarrassed!\These days, I'm a manager for the same agency.\Oh, really? response:	It seems like kind of a waste...
context: If you don't mind my asking, what's the name of your company?\That may be me!\I'm much obliged!\Cheerful guy, isn't he?\Now I'm embarrassed!\These days, I'm a manager for the same agency.\Oh, really?\It seems like kind of a waste... response:	It's the kind of work where you can't really predict the hours or income,
context: That may be me!\I'm much obliged!\Cheerful guy, isn't he?\Now I'm embarrassed!\These days, I'm a manager for the same agency.\Oh, really?\It seems like kind of a waste...\It's the kind of work where you can't really predict the hours or income, response:	so when my daughter was born, I called it a day.
context: I'm much obliged!\Cheerful guy, isn't he?\Now I'm embarrassed!\These days, I'm a manager for the same agency.\Oh, really?\It seems like kind of a waste...\It's the kind of work where you can't really predict the hours or income,\so when my daughter was born, I called it a day. response:	Oh...
context: Cheerful guy, isn't he?\Now I'm embarrassed!\These days, I'm a manager for the same agency.\Oh, really?\It seems like kind of a waste...\It's the kind of work where you can't really predict the hours or income,\so when my daughter was born, I called it a day.\Oh... response:	At that time, I was drinking like every night, bitching about work...
context: Now I'm embarrassed!\These days, I'm a manager for the same agency.\Oh, really?\It seems like kind of a waste...\It's the kind of work where you can't really predict the hours or income,\so when my daughter was born, I called it a day.\Oh...\At that time, I was drinking like every night, bitching about work... response:	Hey, Mi-chan!
context: These days, I'm a manager for the same agency.\Oh, really?\It seems like kind of a waste...\It's the kind of work where you can't really predict the hours or income,\so when my daughter was born, I called it a day.\Oh...\At that time, I was drinking like every night, bitching about work...\Hey, Mi-chan! response:	Nabe-chin! Long time no see!
context: Oh, really?\It seems like kind of a waste...\It's the kind of work where you can't really predict the hours or income,\so when my daughter was born, I called it a day.\Oh...\At that time, I was drinking like every night, bitching about work...\Hey, Mi-chan!\Nabe-chin! Long time no see! response:	We were classmates.
context: It seems like kind of a waste...\It's the kind of work where you can't really predict the hours or income,\so when my daughter was born, I called it a day.\Oh...\At that time, I was drinking like every night, bitching about work...\Hey, Mi-chan!\Nabe-chin! Long time no see!\We were classmates. response:	We're both from the neighborhood.
context: It's the kind of work where you can't really predict the hours or income,\so when my daughter was born, I called it a day.\Oh...\At that time, I was drinking like every night, bitching about work...\Hey, Mi-chan!\Nabe-chin! Long time no see!\We were classmates.\We're both from the neighborhood. response:	He's got a boy in A Class.
context: so when my daughter was born, I called it a day.\Oh...\At that time, I was drinking like every night, bitching about work...\Hey, Mi-chan!\Nabe-chin! Long time no see!\We were classmates.\We're both from the neighborhood.\He's got a boy in A Class. response:	This is Rin-chan's father, Daikichi-san.
context: Oh...\At that time, I was drinking like every night, bitching about work...\Hey, Mi-chan!\Nabe-chin! Long time no see!\We were classmates.\We're both from the neighborhood.\He's got a boy in A Class.\This is Rin-chan's father, Daikichi-san. response:	He's the same age we are.
context: At that time, I was drinking like every night, bitching about work...\Hey, Mi-chan!\Nabe-chin! Long time no see!\We were classmates.\We're both from the neighborhood.\He's got a boy in A Class.\This is Rin-chan's father, Daikichi-san.\He's the same age we are. response:	Oh yeah? Nice to meet you!
context: Hey, Mi-chan!\Nabe-chin! Long time no see!\We were classmates.\We're both from the neighborhood.\He's got a boy in A Class.\This is Rin-chan's father, Daikichi-san.\He's the same age we are.\Oh yeah? Nice to meet you! response:	Likewise.
context: Nabe-chin! Long time no see!\We were classmates.\We're both from the neighborhood.\He's got a boy in A Class.\This is Rin-chan's father, Daikichi-san.\He's the same age we are.\Oh yeah? Nice to meet you!\Likewise. response:	These two are the type that protect their kids...
context: We were classmates.\We're both from the neighborhood.\He's got a boy in A Class.\This is Rin-chan's father, Daikichi-san.\He's the same age we are.\Oh yeah? Nice to meet you!\Likewise.\These two are the type that protect their kids... response:	Daikichi!
context: We're both from the neighborhood.\He's got a boy in A Class.\This is Rin-chan's father, Daikichi-san.\He's the same age we are.\Oh yeah? Nice to meet you!\Likewise.\These two are the type that protect their kids...\Daikichi! response:	I'm a butcher.
context: He's got a boy in A Class.\This is Rin-chan's father, Daikichi-san.\He's the same age we are.\Oh yeah? Nice to meet you!\Likewise.\These two are the type that protect their kids...\Daikichi!\I'm a butcher. response:	My shop's on the corner of that shopping street.
context: This is Rin-chan's father, Daikichi-san.\He's the same age we are.\Oh yeah? Nice to meet you!\Likewise.\These two are the type that protect their kids...\Daikichi!\I'm a butcher.\My shop's on the corner of that shopping street. response:	Rin and I often get take-out croquettes there.
context: He's the same age we are.\Oh yeah? Nice to meet you!\Likewise.\These two are the type that protect their kids...\Daikichi!\I'm a butcher.\My shop's on the corner of that shopping street.\Rin and I often get take-out croquettes there. response:	Really? That makes me feel good!
context: Oh yeah? Nice to meet you!\Likewise.\These two are the type that protect their kids...\Daikichi!\I'm a butcher.\My shop's on the corner of that shopping street.\Rin and I often get take-out croquettes there.\Really? That makes me feel good! response:	Me too! Me too!
context: Likewise.\These two are the type that protect their kids...\Daikichi!\I'm a butcher.\My shop's on the corner of that shopping street.\Rin and I often get take-out croquettes there.\Really? That makes me feel good!\Me too! Me too! response:	I know, I know!
context: These two are the type that protect their kids...\Daikichi!\I'm a butcher.\My shop's on the corner of that shopping street.\Rin and I often get take-out croquettes there.\Really? That makes me feel good!\Me too! Me too!\I know, I know! response:	I made fellow father-friends...
context: Daikichi!\I'm a butcher.\My shop's on the corner of that shopping street.\Rin and I often get take-out croquettes there.\Really? That makes me feel good!\Me too! Me too!\I know, I know!\I made fellow father-friends... response:	In a sense, the world may be wider here...
context: I'm a butcher.\My shop's on the corner of that shopping street.\Rin and I often get take-out croquettes there.\Really? That makes me feel good!\Me too! Me too!\I know, I know!\I made fellow father-friends...\In a sense, the world may be wider here... response:	Hello.
context: My shop's on the corner of that shopping street.\Rin and I often get take-out croquettes there.\Really? That makes me feel good!\Me too! Me too!\I know, I know!\I made fellow father-friends...\In a sense, the world may be wider here...\Hello. response:	Hello!
context: Rin and I often get take-out croquettes there.\Really? That makes me feel good!\Me too! Me too!\I know, I know!\I made fellow father-friends...\In a sense, the world may be wider here...\Hello.\Hello! response:	It's suddenly turned cold, hasn't it?
context: Really? That makes me feel good!\Me too! Me too!\I know, I know!\I made fellow father-friends...\In a sense, the world may be wider here...\Hello.\Hello!\It's suddenly turned cold, hasn't it? response:	Yes.
context: Me too! Me too!\I know, I know!\I made fellow father-friends...\In a sense, the world may be wider here...\Hello.\Hello!\It's suddenly turned cold, hasn't it?\Yes. response:	It seems the kids are already in the gym.
context: I know, I know!\I made fellow father-friends...\In a sense, the world may be wider here...\Hello.\Hello!\It's suddenly turned cold, hasn't it?\Yes.\It seems the kids are already in the gym. response:	I just hope he has his jacket on...
context: I made fellow father-friends...\In a sense, the world may be wider here...\Hello.\Hello!\It's suddenly turned cold, hasn't it?\Yes.\It seems the kids are already in the gym.\I just hope he has his jacket on... response:	Yeah...
context: In a sense, the world may be wider here...\Hello.\Hello!\It's suddenly turned cold, hasn't it?\Yes.\It seems the kids are already in the gym.\I just hope he has his jacket on...\Yeah... response:	Nitani Kouki
context: Hello.\Hello!\It's suddenly turned cold, hasn't it?\Yes.\It seems the kids are already in the gym.\I just hope he has his jacket on...\Yeah...\Nitani Kouki response:	Wow, he's quite the artist.
context: Hello!\It's suddenly turned cold, hasn't it?\Yes.\It seems the kids are already in the gym.\I just hope he has his jacket on...\Yeah...\Nitani Kouki\Wow, he's quite the artist. response:	Really?
context: It's suddenly turned cold, hasn't it?\Yes.\It seems the kids are already in the gym.\I just hope he has his jacket on...\Yeah...\Nitani Kouki\Wow, he's quite the artist.\Really? response:	I mean, you can tell he took a lot of time on it...
context: Yes.\It seems the kids are already in the gym.\I just hope he has his jacket on...\Yeah...\Nitani Kouki\Wow, he's quite the artist.\Really?\I mean, you can tell he took a lot of time on it... response:	You know what, all the kids are in the gym already.
context: It seems the kids are already in the gym.\I just hope he has his jacket on...\Yeah...\Nitani Kouki\Wow, he's quite the artist.\Really?\I mean, you can tell he took a lot of time on it...\You know what, all the kids are in the gym already. response:	Seriously?!
context: I just hope he has his jacket on...\Yeah...\Nitani Kouki\Wow, he's quite the artist.\Really?\I mean, you can tell he took a lot of time on it...\You know what, all the kids are in the gym already.\Seriously?! response:	Crap! My teacher's gonna get mad at me!
context: Yeah...\Nitani Kouki\Wow, he's quite the artist.\Really?\I mean, you can tell he took a lot of time on it...\You know what, all the kids are in the gym already.\Seriously?!\Crap! My teacher's gonna get mad at me! response:	Something I don't like about boys...
context: Nitani Kouki\Wow, he's quite the artist.\Really?\I mean, you can tell he took a lot of time on it...\You know what, all the kids are in the gym already.\Seriously?!\Crap! My teacher's gonna get mad at me!\Something I don't like about boys... response:	Oh, how adorable! How many months?
context: Wow, he's quite the artist.\Really?\I mean, you can tell he took a lot of time on it...\You know what, all the kids are in the gym already.\Seriously?!\Crap! My teacher's gonna get mad at me!\Something I don't like about boys...\Oh, how adorable! How many months? response:	Almost 10 months.
context: Really?\I mean, you can tell he took a lot of time on it...\You know what, all the kids are in the gym already.\Seriously?!\Crap! My teacher's gonna get mad at me!\Something I don't like about boys...\Oh, how adorable! How many months?\Almost 10 months. response:	I love babies!
context: I mean, you can tell he took a lot of time on it...\You know what, all the kids are in the gym already.\Seriously?!\Crap! My teacher's gonna get mad at me!\Something I don't like about boys...\Oh, how adorable! How many months?\Almost 10 months.\I love babies! response:	Makes me feel nostalgic...
context: You know what, all the kids are in the gym already.\Seriously?!\Crap! My teacher's gonna get mad at me!\Something I don't like about boys...\Oh, how adorable! How many months?\Almost 10 months.\I love babies!\Makes me feel nostalgic... response:	Well, my kid had the flu last week...
context: Seriously?!\Crap! My teacher's gonna get mad at me!\Something I don't like about boys...\Oh, how adorable! How many months?\Almost 10 months.\I love babies!\Makes me feel nostalgic...\Well, my kid had the flu last week... response:	I'm sorry I've kept you...
context: Crap! My teacher's gonna get mad at me!\Something I don't like about boys...\Oh, how adorable! How many months?\Almost 10 months.\I love babies!\Makes me feel nostalgic...\Well, my kid had the flu last week...\I'm sorry I've kept you... response:	Oh, really? That must've been rough.
context: Something I don't like about boys...\Oh, how adorable! How many months?\Almost 10 months.\I love babies!\Makes me feel nostalgic...\Well, my kid had the flu last week...\I'm sorry I've kept you...\Oh, really? That must've been rough. response:	Not at all!
context: Oh, how adorable! How many months?\Almost 10 months.\I love babies!\Makes me feel nostalgic...\Well, my kid had the flu last week...\I'm sorry I've kept you...\Oh, really? That must've been rough.\Not at all! response:	Is it that season already?
context: Almost 10 months.\I love babies!\Makes me feel nostalgic...\Well, my kid had the flu last week...\I'm sorry I've kept you...\Oh, really? That must've been rough.\Not at all!\Is it that season already? response:	With that, they have to stay home for two days even if the fever's down, right?
context: I love babies!\Makes me feel nostalgic...\Well, my kid had the flu last week...\I'm sorry I've kept you...\Oh, really? That must've been rough.\Not at all!\Is it that season already?\With that, they have to stay home for two days even if the fever's down, right? response:	So it doesn't spread...
context: Makes me feel nostalgic...\Well, my kid had the flu last week...\I'm sorry I've kept you...\Oh, really? That must've been rough.\Not at all!\Is it that season already?\With that, they have to stay home for two days even if the fever's down, right?\So it doesn't spread... response:	Yeah, but I sent him to school right after his temperature went down.
context: Well, my kid had the flu last week...\I'm sorry I've kept you...\Oh, really? That must've been rough.\Not at all!\Is it that season already?\With that, they have to stay home for two days even if the fever's down, right?\So it doesn't spread...\Yeah, but I sent him to school right after his temperature went down. response:	Well, what else could you do?
context: I'm sorry I've kept you...\Oh, really? That must've been rough.\Not at all!\Is it that season already?\With that, they have to stay home for two days even if the fever's down, right?\So it doesn't spread...\Yeah, but I sent him to school right after his temperature went down.\Well, what else could you do? response:	You don't wanna be fired at work.
context: Oh, really? That must've been rough.\Not at all!\Is it that season already?\With that, they have to stay home for two days even if the fever's down, right?\So it doesn't spread...\Yeah, but I sent him to school right after his temperature went down.\Well, what else could you do?\You don't wanna be fired at work. response:	Right, and he was getting better, so the virus was probably weakened.
context: Not at all!\Is it that season already?\With that, they have to stay home for two days even if the fever's down, right?\So it doesn't spread...\Yeah, but I sent him to school right after his temperature went down.\Well, what else could you do?\You don't wanna be fired at work.\Right, and he was getting better, so the virus was probably weakened. response:	Oh, I'm sure...
context: Is it that season already?\With that, they have to stay home for two days even if the fever's down, right?\So it doesn't spread...\Yeah, but I sent him to school right after his temperature went down.\Well, what else could you do?\You don't wanna be fired at work.\Right, and he was getting better, so the virus was probably weakened.\Oh, I'm sure... response:	Besides, even if he did pass it on, nobody would ever know who did it.
context: With that, they have to stay home for two days even if the fever's down, right?\So it doesn't spread...\Yeah, but I sent him to school right after his temperature went down.\Well, what else could you do?\You don't wanna be fired at work.\Right, and he was getting better, so the virus was probably weakened.\Oh, I'm sure...\Besides, even if he did pass it on, nobody would ever know who did it. response:	Shall we go?
context: So it doesn't spread...\Yeah, but I sent him to school right after his temperature went down.\Well, what else could you do?\You don't wanna be fired at work.\Right, and he was getting better, so the virus was probably weakened.\Oh, I'm sure...\Besides, even if he did pass it on, nobody would ever know who did it.\Shall we go? response:	Um... What those mothers were talking about kind of hit home...
context: Yeah, but I sent him to school right after his temperature went down.\Well, what else could you do?\You don't wanna be fired at work.\Right, and he was getting better, so the virus was probably weakened.\Oh, I'm sure...\Besides, even if he did pass it on, nobody would ever know who did it.\Shall we go?\Um... What those mothers were talking about kind of hit home... response:	And that makes me even more depressed...
context: Well, what else could you do?\You don't wanna be fired at work.\Right, and he was getting better, so the virus was probably weakened.\Oh, I'm sure...\Besides, even if he did pass it on, nobody would ever know who did it.\Shall we go?\Um... What those mothers were talking about kind of hit home...\And that makes me even more depressed... response:	Like about work, I can relate...
context: You don't wanna be fired at work.\Right, and he was getting better, so the virus was probably weakened.\Oh, I'm sure...\Besides, even if he did pass it on, nobody would ever know who did it.\Shall we go?\Um... What those mothers were talking about kind of hit home...\And that makes me even more depressed...\Like about work, I can relate... response:	Yeah, I know...
context: Right, and he was getting better, so the virus was probably weakened.\Oh, I'm sure...\Besides, even if he did pass it on, nobody would ever know who did it.\Shall we go?\Um... What those mothers were talking about kind of hit home...\And that makes me even more depressed...\Like about work, I can relate...\Yeah, I know... response:	When it gets cold out, I become a nervous wreck.
context: Oh, I'm sure...\Besides, even if he did pass it on, nobody would ever know who did it.\Shall we go?\Um... What those mothers were talking about kind of hit home...\And that makes me even more depressed...\Like about work, I can relate...\Yeah, I know...\When it gets cold out, I become a nervous wreck. response:	But Kouki, the way he is...
