context: Were you just singing? response:	I was on my way to pick up the uniform I ordered,
context: Are you all here together?\Hey, guys, are you okay with me calling you by your first names?\What are you doing now, Sakai-san?\I'd like if it you all called me by my first name.\Nothing. Probably going home.\You were singing, weren't you?\Uien, was it?\Nein! It's Wien. response:	See you later.
context: Hey, guys, are you okay with me calling you by your first names?\What are you doing now, Sakai-san?\I'd like if it you all called me by my first name.\Nothing. Probably going home.\You were singing, weren't you?\Uien, was it?\Nein! It's Wien.\See you later. response:	Ween.
context: What are you doing now, Sakai-san?\I'd like if it you all called me by my first name.\Nothing. Probably going home.\You were singing, weren't you?\Uien, was it?\Nein! It's Wien.\See you later.\Ween. response:	Wien.
context: I'd like if it you all called me by my first name.\Nothing. Probably going home.\You were singing, weren't you?\Uien, was it?\Nein! It's Wien.\See you later.\Ween.\Wien. response:	So, you were singing, right?
context: Nothing. Probably going home.\You were singing, weren't you?\Uien, was it?\Nein! It's Wien.\See you later.\Ween.\Wien.\So, you were singing, right? response:	Ween!
context: You were singing, weren't you?\Uien, was it?\Nein! It's Wien.\See you later.\Ween.\Wien.\So, you were singing, right?\Ween! response:	Wien.
context: Uien, was it?\Nein! It's Wien.\See you later.\Ween.\Wien.\So, you were singing, right?\Ween!\Wien. response:	Wien, got it!
context: Nein! It's Wien.\See you later.\Ween.\Wien.\So, you were singing, right?\Ween!\Wien.\Wien, got it! response:	Shut up!
context: See you later.\Ween.\Wien.\So, you were singing, right?\Ween!\Wien.\Wien, got it!\Shut up! response:	It all sounds the same!
context: Ween.\Wien.\So, you were singing, right?\Ween!\Wien.\Wien, got it!\Shut up!\It all sounds the same! response:	Tanaka-san, go show Wien around.
context: Wien.\So, you were singing, right?\Ween!\Wien.\Wien, got it!\Shut up!\It all sounds the same!\Tanaka-san, go show Wien around. response:	Wien.
context: So, you were singing, right?\Ween!\Wien.\Wien, got it!\Shut up!\It all sounds the same!\Tanaka-san, go show Wien around.\Wien. response:	Wien?
context: Ween!\Wien.\Wien, got it!\Shut up!\It all sounds the same!\Tanaka-san, go show Wien around.\Wien.\Wien? response:	Sakai-san, will you come over to my house for a bit?
context: Wien.\Wien, got it!\Shut up!\It all sounds the same!\Tanaka-san, go show Wien around.\Wien.\Wien?\Sakai-san, will you come over to my house for a bit? response:	Your house?
context: Wien, got it!\Shut up!\It all sounds the same!\Tanaka-san, go show Wien around.\Wien.\Wien?\Sakai-san, will you come over to my house for a bit?\Your house? response:	Episode 2 Gathering and Struggling
context: Shut up!\It all sounds the same!\Tanaka-san, go show Wien around.\Wien.\Wien?\Sakai-san, will you come over to my house for a bit?\Your house?\Episode 2 Gathering and Struggling response:	Sawa! Kona-chan!
context: It all sounds the same!\Tanaka-san, go show Wien around.\Wien.\Wien?\Sakai-san, will you come over to my house for a bit?\Your house?\Episode 2 Gathering and Struggling\Sawa! Kona-chan! response:	Aloha!
context: Tanaka-san, go show Wien around.\Wien.\Wien?\Sakai-san, will you come over to my house for a bit?\Your house?\Episode 2 Gathering and Struggling\Sawa! Kona-chan!\Aloha! response:	Hi, Shiho-san!
context: Wien.\Wien?\Sakai-san, will you come over to my house for a bit?\Your house?\Episode 2 Gathering and Struggling\Sawa! Kona-chan!\Aloha!\Hi, Shiho-san! response:	Heading to the beach?
context: Wien?\Sakai-san, will you come over to my house for a bit?\Your house?\Episode 2 Gathering and Struggling\Sawa! Kona-chan!\Aloha!\Hi, Shiho-san!\Heading to the beach? response:	Yup. She your friend?
context: Sakai-san, will you come over to my house for a bit?\Your house?\Episode 2 Gathering and Struggling\Sawa! Kona-chan!\Aloha!\Hi, Shiho-san!\Heading to the beach?\Yup. She your friend? response:	Yeah, Sakai Wakana-san. She's in my class.
context: Your house?\Episode 2 Gathering and Struggling\Sawa! Kona-chan!\Aloha!\Hi, Shiho-san!\Heading to the beach?\Yup. She your friend?\Yeah, Sakai Wakana-san. She's in my class. response:	I see. Well, you girls have fun.
context: Episode 2 Gathering and Struggling\Sawa! Kona-chan!\Aloha!\Hi, Shiho-san!\Heading to the beach?\Yup. She your friend?\Yeah, Sakai Wakana-san. She's in my class.\I see. Well, you girls have fun. response:	I'll be back by dinner.
context: Sawa! Kona-chan!\Aloha!\Hi, Shiho-san!\Heading to the beach?\Yup. She your friend?\Yeah, Sakai Wakana-san. She's in my class.\I see. Well, you girls have fun.\I'll be back by dinner. response:	Aloha!
context: Aloha!\Hi, Shiho-san!\Heading to the beach?\Yup. She your friend?\Yeah, Sakai Wakana-san. She's in my class.\I see. Well, you girls have fun.\I'll be back by dinner.\Aloha! response:	Your older sister?
context: Hi, Shiho-san!\Heading to the beach?\Yup. She your friend?\Yeah, Sakai Wakana-san. She's in my class.\I see. Well, you girls have fun.\I'll be back by dinner.\Aloha!\Your older sister? response:	My mom.
context: Heading to the beach?\Yup. She your friend?\Yeah, Sakai Wakana-san. She's in my class.\I see. Well, you girls have fun.\I'll be back by dinner.\Aloha!\Your older sister?\My mom. response:	That's it, Sabure!
context: Yup. She your friend?\Yeah, Sakai Wakana-san. She's in my class.\I see. Well, you girls have fun.\I'll be back by dinner.\Aloha!\Your older sister?\My mom.\That's it, Sabure! response:	You've gotta eat a lot, so you can grow up big and strong.
context: Yeah, Sakai Wakana-san. She's in my class.\I see. Well, you girls have fun.\I'll be back by dinner.\Aloha!\Your older sister?\My mom.\That's it, Sabure!\You've gotta eat a lot, so you can grow up big and strong. response:	So do you.
context: I see. Well, you girls have fun.\I'll be back by dinner.\Aloha!\Your older sister?\My mom.\That's it, Sabure!\You've gotta eat a lot, so you can grow up big and strong.\So do you. response:	Say what?
context: I'll be back by dinner.\Aloha!\Your older sister?\My mom.\That's it, Sabure!\You've gotta eat a lot, so you can grow up big and strong.\So do you.\Say what? response:	Why?
context: Aloha!\Your older sister?\My mom.\That's it, Sabure!\You've gotta eat a lot, so you can grow up big and strong.\So do you.\Say what?\Why? response:	She's my pet, too.
context: Your older sister?\My mom.\That's it, Sabure!\You've gotta eat a lot, so you can grow up big and strong.\So do you.\Say what?\Why?\She's my pet, too. response:	I'm home!
context: My mom.\That's it, Sabure!\You've gotta eat a lot, so you can grow up big and strong.\So do you.\Say what?\Why?\She's my pet, too.\I'm home! response:	Thank you for having me over.
context: That's it, Sabure!\You've gotta eat a lot, so you can grow up big and strong.\So do you.\Say what?\Why?\She's my pet, too.\I'm home!\Thank you for having me over. response:	Thank you for having me over.
context: You've gotta eat a lot, so you can grow up big and strong.\So do you.\Say what?\Why?\She's my pet, too.\I'm home!\Thank you for having me over.\Thank you for having me over. response:	Sorry about the moldy smell.
context: So do you.\Say what?\Why?\She's my pet, too.\I'm home!\Thank you for having me over.\Thank you for having me over.\Sorry about the moldy smell. response:	Huh?
context: Say what?\Why?\She's my pet, too.\I'm home!\Thank you for having me over.\Thank you for having me over.\Sorry about the moldy smell.\Huh? response:	So, Okita-san, is this temple your house?
context: Why?\She's my pet, too.\I'm home!\Thank you for having me over.\Thank you for having me over.\Sorry about the moldy smell.\Huh?\So, Okita-san, is this temple your house? response:	Yeah.
context: She's my pet, too.\I'm home!\Thank you for having me over.\Thank you for having me over.\Sorry about the moldy smell.\Huh?\So, Okita-san, is this temple your house?\Yeah. response:	And you can call me Sawa.
context: I'm home!\Thank you for having me over.\Thank you for having me over.\Sorry about the moldy smell.\Huh?\So, Okita-san, is this temple your house?\Yeah.\And you can call me Sawa. response:	Joint High School Recital
context: Thank you for having me over.\Thank you for having me over.\Sorry about the moldy smell.\Huh?\So, Okita-san, is this temple your house?\Yeah.\And you can call me Sawa.\Joint High School Recital response:	Have you seen this before?
context: Thank you for having me over.\Sorry about the moldy smell.\Huh?\So, Okita-san, is this temple your house?\Yeah.\And you can call me Sawa.\Joint High School Recital\Have you seen this before? response:	It's a recording of last year's recital.
context: Sorry about the moldy smell.\Huh?\So, Okita-san, is this temple your house?\Yeah.\And you can call me Sawa.\Joint High School Recital\Have you seen this before?\It's a recording of last year's recital. response:	Look, there's Konatsu.
context: Huh?\So, Okita-san, is this temple your house?\Yeah.\And you can call me Sawa.\Joint High School Recital\Have you seen this before?\It's a recording of last year's recital.\Look, there's Konatsu. response:	She was so nervous, she couldn't sing.
context: So, Okita-san, is this temple your house?\Yeah.\And you can call me Sawa.\Joint High School Recital\Have you seen this before?\It's a recording of last year's recital.\Look, there's Konatsu.\She was so nervous, she couldn't sing. response:	Sorry, I laughed again.
context: Yeah.\And you can call me Sawa.\Joint High School Recital\Have you seen this before?\It's a recording of last year's recital.\Look, there's Konatsu.\She was so nervous, she couldn't sing.\Sorry, I laughed again. response:	If you were too nervous to actually sing,
context: And you can call me Sawa.\Joint High School Recital\Have you seen this before?\It's a recording of last year's recital.\Look, there's Konatsu.\She was so nervous, she couldn't sing.\Sorry, I laughed again.\If you were too nervous to actually sing, response:	you could've just lip-synched
context: Joint High School Recital\Have you seen this before?\It's a recording of last year's recital.\Look, there's Konatsu.\She was so nervous, she couldn't sing.\Sorry, I laughed again.\If you were too nervous to actually sing,\you could've just lip-synched response:	until it was over.
context: Have you seen this before?\It's a recording of last year's recital.\Look, there's Konatsu.\She was so nervous, she couldn't sing.\Sorry, I laughed again.\If you were too nervous to actually sing,\you could've just lip-synched\until it was over. response:	The end result was a huge failure,
context: It's a recording of last year's recital.\Look, there's Konatsu.\She was so nervous, she couldn't sing.\Sorry, I laughed again.\If you were too nervous to actually sing,\you could've just lip-synched\until it was over.\The end result was a huge failure, response:	but I like what you did.
context: Look, there's Konatsu.\She was so nervous, she couldn't sing.\Sorry, I laughed again.\If you were too nervous to actually sing,\you could've just lip-synched\until it was over.\The end result was a huge failure,\but I like what you did. response:	It makes me laugh, every time.
context: She was so nervous, she couldn't sing.\Sorry, I laughed again.\If you were too nervous to actually sing,\you could've just lip-synched\until it was over.\The end result was a huge failure,\but I like what you did.\It makes me laugh, every time. response:	Sorry! I'm kidding!
context: Sorry, I laughed again.\If you were too nervous to actually sing,\you could've just lip-synched\until it was over.\The end result was a huge failure,\but I like what you did.\It makes me laugh, every time.\Sorry! I'm kidding! response:	Hey, Sakai-san, can we put your name down for the new choir club?
context: If you were too nervous to actually sing,\you could've just lip-synched\until it was over.\The end result was a huge failure,\but I like what you did.\It makes me laugh, every time.\Sorry! I'm kidding!\Hey, Sakai-san, can we put your name down for the new choir club? response:	She doesn't want this to be her last time singing,
context: you could've just lip-synched\until it was over.\The end result was a huge failure,\but I like what you did.\It makes me laugh, every time.\Sorry! I'm kidding!\Hey, Sakai-san, can we put your name down for the new choir club?\She doesn't want this to be her last time singing, response:	so she's been practicing hard all year.
context: until it was over.\The end result was a huge failure,\but I like what you did.\It makes me laugh, every time.\Sorry! I'm kidding!\Hey, Sakai-san, can we put your name down for the new choir club?\She doesn't want this to be her last time singing,\so she's been practicing hard all year. response:	No matter how slight her chances, I want to support her.
context: The end result was a huge failure,\but I like what you did.\It makes me laugh, every time.\Sorry! I'm kidding!\Hey, Sakai-san, can we put your name down for the new choir club?\She doesn't want this to be her last time singing,\so she's been practicing hard all year.\No matter how slight her chances, I want to support her. response:	So, please!
context: but I like what you did.\It makes me laugh, every time.\Sorry! I'm kidding!\Hey, Sakai-san, can we put your name down for the new choir club?\She doesn't want this to be her last time singing,\so she's been practicing hard all year.\No matter how slight her chances, I want to support her.\So, please! response:	We need at least five people to start a club.
context: It makes me laugh, every time.\Sorry! I'm kidding!\Hey, Sakai-san, can we put your name down for the new choir club?\She doesn't want this to be her last time singing,\so she's been practicing hard all year.\No matter how slight her chances, I want to support her.\So, please!\We need at least five people to start a club. response:	You don't have to actually participate, if you don't want to.
context: Sorry! I'm kidding!\Hey, Sakai-san, can we put your name down for the new choir club?\She doesn't want this to be her last time singing,\so she's been practicing hard all year.\No matter how slight her chances, I want to support her.\So, please!\We need at least five people to start a club.\You don't have to actually participate, if you don't want to. response:	Push too hard, and she'll just get mad again.
context: Hey, Sakai-san, can we put your name down for the new choir club?\She doesn't want this to be her last time singing,\so she's been practicing hard all year.\No matter how slight her chances, I want to support her.\So, please!\We need at least five people to start a club.\You don't have to actually participate, if you don't want to.\Push too hard, and she'll just get mad again. response:	If you just need my name, sure.
context: She doesn't want this to be her last time singing,\so she's been practicing hard all year.\No matter how slight her chances, I want to support her.\So, please!\We need at least five people to start a club.\You don't have to actually participate, if you don't want to.\Push too hard, and she'll just get mad again.\If you just need my name, sure. response:	Seriously?!
context: so she's been practicing hard all year.\No matter how slight her chances, I want to support her.\So, please!\We need at least five people to start a club.\You don't have to actually participate, if you don't want to.\Push too hard, and she'll just get mad again.\If you just need my name, sure.\Seriously?! response:	Awesome!
context: No matter how slight her chances, I want to support her.\So, please!\We need at least five people to start a club.\You don't have to actually participate, if you don't want to.\Push too hard, and she'll just get mad again.\If you just need my name, sure.\Seriously?!\Awesome! response:	Shimada Clothing
context: So, please!\We need at least five people to start a club.\You don't have to actually participate, if you don't want to.\Push too hard, and she'll just get mad again.\If you just need my name, sure.\Seriously?!\Awesome!\Shimada Clothing response:	Girls are pretty complex, huh.
context: We need at least five people to start a club.\You don't have to actually participate, if you don't want to.\Push too hard, and she'll just get mad again.\If you just need my name, sure.\Seriously?!\Awesome!\Shimada Clothing\Girls are pretty complex, huh. response:	And they wear the weirdest outfits on our days off.
context: You don't have to actually participate, if you don't want to.\Push too hard, and she'll just get mad again.\If you just need my name, sure.\Seriously?!\Awesome!\Shimada Clothing\Girls are pretty complex, huh.\And they wear the weirdest outfits on our days off. response:	You think so?
context: Push too hard, and she'll just get mad again.\If you just need my name, sure.\Seriously?!\Awesome!\Shimada Clothing\Girls are pretty complex, huh.\And they wear the weirdest outfits on our days off.\You think so? response:	Wanna grab some food?
context: If you just need my name, sure.\Seriously?!\Awesome!\Shimada Clothing\Girls are pretty complex, huh.\And they wear the weirdest outfits on our days off.\You think so?\Wanna grab some food? response:	Right now, it's just me and my sister at home,
context: Seriously?!\Awesome!\Shimada Clothing\Girls are pretty complex, huh.\And they wear the weirdest outfits on our days off.\You think so?\Wanna grab some food?\Right now, it's just me and my sister at home, response:	so there's no one around to cook a decent meal.
context: Awesome!\Shimada Clothing\Girls are pretty complex, huh.\And they wear the weirdest outfits on our days off.\You think so?\Wanna grab some food?\Right now, it's just me and my sister at home,\so there's no one around to cook a decent meal. response:	Sure.
context: Shimada Clothing\Girls are pretty complex, huh.\And they wear the weirdest outfits on our days off.\You think so?\Wanna grab some food?\Right now, it's just me and my sister at home,\so there's no one around to cook a decent meal.\Sure. response:	Could this possibly be...
context: Girls are pretty complex, huh.\And they wear the weirdest outfits on our days off.\You think so?\Wanna grab some food?\Right now, it's just me and my sister at home,\so there's no one around to cook a decent meal.\Sure.\Could this possibly be... response:	Thinly-sliced meat, cooked with vegetables in a light-but-savory sauce...
context: And they wear the weirdest outfits on our days off.\You think so?\Wanna grab some food?\Right now, it's just me and my sister at home,\so there's no one around to cook a decent meal.\Sure.\Could this possibly be...\Thinly-sliced meat, cooked with vegetables in a light-but-savory sauce... response:	A bastion of Japanese cuisine...
context: You think so?\Wanna grab some food?\Right now, it's just me and my sister at home,\so there's no one around to cook a decent meal.\Sure.\Could this possibly be...\Thinly-sliced meat, cooked with vegetables in a light-but-savory sauce...\A bastion of Japanese cuisine... response:	Yes! This is none other than sukiyaki!
context: Wanna grab some food?\Right now, it's just me and my sister at home,\so there's no one around to cook a decent meal.\Sure.\Could this possibly be...\Thinly-sliced meat, cooked with vegetables in a light-but-savory sauce...\A bastion of Japanese cuisine...\Yes! This is none other than sukiyaki! response:	It's a beef bowl.
context: Right now, it's just me and my sister at home,\so there's no one around to cook a decent meal.\Sure.\Could this possibly be...\Thinly-sliced meat, cooked with vegetables in a light-but-savory sauce...\A bastion of Japanese cuisine...\Yes! This is none other than sukiyaki!\It's a beef bowl. response:	Listen, let's eat, and then we'll go buy you a better book.
context: so there's no one around to cook a decent meal.\Sure.\Could this possibly be...\Thinly-sliced meat, cooked with vegetables in a light-but-savory sauce...\A bastion of Japanese cuisine...\Yes! This is none other than sukiyaki!\It's a beef bowl.\Listen, let's eat, and then we'll go buy you a better book. response:	Why don't you get your little brother to make his friends join?
context: Sure.\Could this possibly be...\Thinly-sliced meat, cooked with vegetables in a light-but-savory sauce...\A bastion of Japanese cuisine...\Yes! This is none other than sukiyaki!\It's a beef bowl.\Listen, let's eat, and then we'll go buy you a better book.\Why don't you get your little brother to make his friends join? response:	Good idea! Motion accepted!
context: Could this possibly be...\Thinly-sliced meat, cooked with vegetables in a light-but-savory sauce...\A bastion of Japanese cuisine...\Yes! This is none other than sukiyaki!\It's a beef bowl.\Listen, let's eat, and then we'll go buy you a better book.\Why don't you get your little brother to make his friends join?\Good idea! Motion accepted! response:	The dancing violinist Kumagai Tetsuji will be there,
context: Thinly-sliced meat, cooked with vegetables in a light-but-savory sauce...\A bastion of Japanese cuisine...\Yes! This is none other than sukiyaki!\It's a beef bowl.\Listen, let's eat, and then we'll go buy you a better book.\Why don't you get your little brother to make his friends join?\Good idea! Motion accepted!\The dancing violinist Kumagai Tetsuji will be there, response:	so you could try to recruit people who'd join because of him.
context: A bastion of Japanese cuisine...\Yes! This is none other than sukiyaki!\It's a beef bowl.\Listen, let's eat, and then we'll go buy you a better book.\Why don't you get your little brother to make his friends join?\Good idea! Motion accepted!\The dancing violinist Kumagai Tetsuji will be there,\so you could try to recruit people who'd join because of him. response:	We'll use that, too!
context: Yes! This is none other than sukiyaki!\It's a beef bowl.\Listen, let's eat, and then we'll go buy you a better book.\Why don't you get your little brother to make his friends join?\Good idea! Motion accepted!\The dancing violinist Kumagai Tetsuji will be there,\so you could try to recruit people who'd join because of him.\We'll use that, too! response:	I know him.
context: It's a beef bowl.\Listen, let's eat, and then we'll go buy you a better book.\Why don't you get your little brother to make his friends join?\Good idea! Motion accepted!\The dancing violinist Kumagai Tetsuji will be there,\so you could try to recruit people who'd join because of him.\We'll use that, too!\I know him. response:	He has a very weird style.
context: Listen, let's eat, and then we'll go buy you a better book.\Why don't you get your little brother to make his friends join?\Good idea! Motion accepted!\The dancing violinist Kumagai Tetsuji will be there,\so you could try to recruit people who'd join because of him.\We'll use that, too!\I know him.\He has a very weird style. response:	Oh! And we could get Shiho-san to make us some flyers.
context: Why don't you get your little brother to make his friends join?\Good idea! Motion accepted!\The dancing violinist Kumagai Tetsuji will be there,\so you could try to recruit people who'd join because of him.\We'll use that, too!\I know him.\He has a very weird style.\Oh! And we could get Shiho-san to make us some flyers. response:	You know she's going to go completely overboard.
context: Good idea! Motion accepted!\The dancing violinist Kumagai Tetsuji will be there,\so you could try to recruit people who'd join because of him.\We'll use that, too!\I know him.\He has a very weird style.\Oh! And we could get Shiho-san to make us some flyers.\You know she's going to go completely overboard. response:	Huh?
context: The dancing violinist Kumagai Tetsuji will be there,\so you could try to recruit people who'd join because of him.\We'll use that, too!\I know him.\He has a very weird style.\Oh! And we could get Shiho-san to make us some flyers.\You know she's going to go completely overboard.\Huh? response:	My mom gets asked to make illustrations and flyers all the time.
context: so you could try to recruit people who'd join because of him.\We'll use that, too!\I know him.\He has a very weird style.\Oh! And we could get Shiho-san to make us some flyers.\You know she's going to go completely overboard.\Huh?\My mom gets asked to make illustrations and flyers all the time. response:	Well, her drawings really pack a punch!
context: We'll use that, too!\I know him.\He has a very weird style.\Oh! And we could get Shiho-san to make us some flyers.\You know she's going to go completely overboard.\Huh?\My mom gets asked to make illustrations and flyers all the time.\Well, her drawings really pack a punch! response:	Makoto.
context: I know him.\He has a very weird style.\Oh! And we could get Shiho-san to make us some flyers.\You know she's going to go completely overboard.\Huh?\My mom gets asked to make illustrations and flyers all the time.\Well, her drawings really pack a punch!\Makoto. response:	Quit doing that!
context: He has a very weird style.\Oh! And we could get Shiho-san to make us some flyers.\You know she's going to go completely overboard.\Huh?\My mom gets asked to make illustrations and flyers all the time.\Well, her drawings really pack a punch!\Makoto.\Quit doing that! response:	I want you to invite your friends to join my choir club.
context: Oh! And we could get Shiho-san to make us some flyers.\You know she's going to go completely overboard.\Huh?\My mom gets asked to make illustrations and flyers all the time.\Well, her drawings really pack a punch!\Makoto.\Quit doing that!\I want you to invite your friends to join my choir club. response:	What? Not a chance.
context: You know she's going to go completely overboard.\Huh?\My mom gets asked to make illustrations and flyers all the time.\Well, her drawings really pack a punch!\Makoto.\Quit doing that!\I want you to invite your friends to join my choir club.\What? Not a chance. response:	Moving your porn stash to a new hiding spot won't help.
context: Huh?\My mom gets asked to make illustrations and flyers all the time.\Well, her drawings really pack a punch!\Makoto.\Quit doing that!\I want you to invite your friends to join my choir club.\What? Not a chance.\Moving your porn stash to a new hiding spot won't help. response:	Mom!
context: My mom gets asked to make illustrations and flyers all the time.\Well, her drawings really pack a punch!\Makoto.\Quit doing that!\I want you to invite your friends to join my choir club.\What? Not a chance.\Moving your porn stash to a new hiding spot won't help.\Mom! response:	Choir Club Join the Choir Club and meet Kumagai Tetsuji!
context: Well, her drawings really pack a punch!\Makoto.\Quit doing that!\I want you to invite your friends to join my choir club.\What? Not a chance.\Moving your porn stash to a new hiding spot won't help.\Mom!\Choir Club Join the Choir Club and meet Kumagai Tetsuji! response:	Please take one!
context: Makoto.\Quit doing that!\I want you to invite your friends to join my choir club.\What? Not a chance.\Moving your porn stash to a new hiding spot won't help.\Mom!\Choir Club Join the Choir Club and meet Kumagai Tetsuji!\Please take one! response:	We're starting a new choir club.
context: Quit doing that!\I want you to invite your friends to join my choir club.\What? Not a chance.\Moving your porn stash to a new hiding spot won't help.\Mom!\Choir Club Join the Choir Club and meet Kumagai Tetsuji!\Please take one!\We're starting a new choir club. response:	Thank you.
context: I want you to invite your friends to join my choir club.\What? Not a chance.\Moving your porn stash to a new hiding spot won't help.\Mom!\Choir Club Join the Choir Club and meet Kumagai Tetsuji!\Please take one!\We're starting a new choir club.\Thank you. response:	Have a flyer. It's for our choir club.
context: What? Not a chance.\Moving your porn stash to a new hiding spot won't help.\Mom!\Choir Club Join the Choir Club and meet Kumagai Tetsuji!\Please take one!\We're starting a new choir club.\Thank you.\Have a flyer. It's for our choir club. response:	Here.
context: Moving your porn stash to a new hiding spot won't help.\Mom!\Choir Club Join the Choir Club and meet Kumagai Tetsuji!\Please take one!\We're starting a new choir club.\Thank you.\Have a flyer. It's for our choir club.\Here. response:	Good job!
context: Mom!\Choir Club Join the Choir Club and meet Kumagai Tetsuji!\Please take one!\We're starting a new choir club.\Thank you.\Have a flyer. It's for our choir club.\Here.\Good job! response:	Yes, of course.
context: Choir Club Join the Choir Club and meet Kumagai Tetsuji!\Please take one!\We're starting a new choir club.\Thank you.\Have a flyer. It's for our choir club.\Here.\Good job!\Yes, of course. response:	I'll make the announcement at the next board meeting.
context: Please take one!\We're starting a new choir club.\Thank you.\Have a flyer. It's for our choir club.\Here.\Good job!\Yes, of course.\I'll make the announcement at the next board meeting. response:	Yes, yes.
context: We're starting a new choir club.\Thank you.\Have a flyer. It's for our choir club.\Here.\Good job!\Yes, of course.\I'll make the announcement at the next board meeting.\Yes, yes. response:	Thank you.
context: Thank you.\Have a flyer. It's for our choir club.\Here.\Good job!\Yes, of course.\I'll make the announcement at the next board meeting.\Yes, yes.\Thank you. response:	Yes, goodbye.
context: Have a flyer. It's for our choir club.\Here.\Good job!\Yes, of course.\I'll make the announcement at the next board meeting.\Yes, yes.\Thank you.\Yes, goodbye. response:	Come in.
context: Here.\Good job!\Yes, of course.\I'll make the announcement at the next board meeting.\Yes, yes.\Thank you.\Yes, goodbye.\Come in. response:	Thank you.
context: Good job!\Yes, of course.\I'll make the announcement at the next board meeting.\Yes, yes.\Thank you.\Yes, goodbye.\Come in.\Thank you. response:	Is there a problem with the current choir program?
context: Yes, of course.\I'll make the announcement at the next board meeting.\Yes, yes.\Thank you.\Yes, goodbye.\Come in.\Thank you.\Is there a problem with the current choir program? response:	Well, I'm not allowed to sing.
context: I'll make the announcement at the next board meeting.\Yes, yes.\Thank you.\Yes, goodbye.\Come in.\Thank you.\Is there a problem with the current choir program?\Well, I'm not allowed to sing. response:	I have enough members,
context: Yes, yes.\Thank you.\Yes, goodbye.\Come in.\Thank you.\Is there a problem with the current choir program?\Well, I'm not allowed to sing.\I have enough members, response:	and it won't be like the other choir.
context: Thank you.\Yes, goodbye.\Come in.\Thank you.\Is there a problem with the current choir program?\Well, I'm not allowed to sing.\I have enough members,\and it won't be like the other choir. response:	I want to perform at the recital with a completely new concept.
context: Yes, goodbye.\Come in.\Thank you.\Is there a problem with the current choir program?\Well, I'm not allowed to sing.\I have enough members,\and it won't be like the other choir.\I want to perform at the recital with a completely new concept. response:	I'm sure it'll create a big
context: Come in.\Thank you.\Is there a problem with the current choir program?\Well, I'm not allowed to sing.\I have enough members,\and it won't be like the other choir.\I want to perform at the recital with a completely new concept.\I'm sure it'll create a big response:	I'm sure the vice principal has her own ideas.
context: Thank you.\Is there a problem with the current choir program?\Well, I'm not allowed to sing.\I have enough members,\and it won't be like the other choir.\I want to perform at the recital with a completely new concept.\I'm sure it'll create a big\I'm sure the vice principal has her own ideas. response:	Performing at the joint recital with a random group is...
context: Is there a problem with the current choir program?\Well, I'm not allowed to sing.\I have enough members,\and it won't be like the other choir.\I want to perform at the recital with a completely new concept.\I'm sure it'll create a big\I'm sure the vice principal has her own ideas.\Performing at the joint recital with a random group is... response:	Club Application Choir Club Sakai Wakana Invited by a friend
