context: Spring... response:	A warm breeze stirs the cherry tree branches, and tickles my hair.
context: Little Sister\At least...\That's what I thought...\But it's my first day and I'm already in a bind!\Hey, little girl, you sure are sweet! You in high school?\Forget about school...\Come have some fun with us!\Wh-Whoa... wh-what am I gonna do? response:	I-I'm so scared! S-Somebody!
context: At least...\That's what I thought...\But it's my first day and I'm already in a bind!\Hey, little girl, you sure are sweet! You in high school?\Forget about school...\Come have some fun with us!\Wh-Whoa... wh-what am I gonna do?\I-I'm so scared! S-Somebody! response:	And since I went to an all-girls' junior high, I'm not comfortable around guys!
context: That's what I thought...\But it's my first day and I'm already in a bind!\Hey, little girl, you sure are sweet! You in high school?\Forget about school...\Come have some fun with us!\Wh-Whoa... wh-what am I gonna do?\I-I'm so scared! S-Somebody!\And since I went to an all-girls' junior high, I'm not comfortable around guys! response:	Come on, over here!
context: But it's my first day and I'm already in a bind!\Hey, little girl, you sure are sweet! You in high school?\Forget about school...\Come have some fun with us!\Wh-Whoa... wh-what am I gonna do?\I-I'm so scared! S-Somebody!\And since I went to an all-girls' junior high, I'm not comfortable around guys!\Come on, over here! response:	Ugh... It's no good...
context: Hey, little girl, you sure are sweet! You in high school?\Forget about school...\Come have some fun with us!\Wh-Whoa... wh-what am I gonna do?\I-I'm so scared! S-Somebody!\And since I went to an all-girls' junior high, I'm not comfortable around guys!\Come on, over here!\Ugh... It's no good... response:	I'm starting to pass out...
context: Forget about school...\Come have some fun with us!\Wh-Whoa... wh-what am I gonna do?\I-I'm so scared! S-Somebody!\And since I went to an all-girls' junior high, I'm not comfortable around guys!\Come on, over here!\Ugh... It's no good...\I'm starting to pass out... response:	Hey! Knock it off, you guys!
context: Come have some fun with us!\Wh-Whoa... wh-what am I gonna do?\I-I'm so scared! S-Somebody!\And since I went to an all-girls' junior high, I'm not comfortable around guys!\Come on, over here!\Ugh... It's no good...\I'm starting to pass out...\Hey! Knock it off, you guys! response:	Huh?
context: Wh-Whoa... wh-what am I gonna do?\I-I'm so scared! S-Somebody!\And since I went to an all-girls' junior high, I'm not comfortable around guys!\Come on, over here!\Ugh... It's no good...\I'm starting to pass out...\Hey! Knock it off, you guys!\Huh? response:	Can't you see she doesn't want to go with you?
context: I-I'm so scared! S-Somebody!\And since I went to an all-girls' junior high, I'm not comfortable around guys!\Come on, over here!\Ugh... It's no good...\I'm starting to pass out...\Hey! Knock it off, you guys!\Huh?\Can't you see she doesn't want to go with you? response:	Huh!? Who the hell are you!?
context: And since I went to an all-girls' junior high, I'm not comfortable around guys!\Come on, over here!\Ugh... It's no good...\I'm starting to pass out...\Hey! Knock it off, you guys!\Huh?\Can't you see she doesn't want to go with you?\Huh!? Who the hell are you!? response:	Wh-Who...? Saved... me...?
context: Come on, over here!\Ugh... It's no good...\I'm starting to pass out...\Hey! Knock it off, you guys!\Huh?\Can't you see she doesn't want to go with you?\Huh!? Who the hell are you!?\Wh-Who...? Saved... me...? response:	Stand up to us and we'll make you sorry, damn you!
context: Ugh... It's no good...\I'm starting to pass out...\Hey! Knock it off, you guys!\Huh?\Can't you see she doesn't want to go with you?\Huh!? Who the hell are you!?\Wh-Who...? Saved... me...?\Stand up to us and we'll make you sorry, damn you! response:	That's right!
context: I'm starting to pass out...\Hey! Knock it off, you guys!\Huh?\Can't you see she doesn't want to go with you?\Huh!? Who the hell are you!?\Wh-Who...? Saved... me...?\Stand up to us and we'll make you sorry, damn you!\That's right! response:	It's too early in the day for this.
context: Hey! Knock it off, you guys!\Huh?\Can't you see she doesn't want to go with you?\Huh!? Who the hell are you!?\Wh-Who...? Saved... me...?\Stand up to us and we'll make you sorry, damn you!\That's right!\It's too early in the day for this. response:	Come on, just chill, will you? Big bros...
context: Huh?\Can't you see she doesn't want to go with you?\Huh!? Who the hell are you!?\Wh-Who...? Saved... me...?\Stand up to us and we'll make you sorry, damn you!\That's right!\It's too early in the day for this.\Come on, just chill, will you? Big bros... response:	Oh... but I can't hold on anymore... I'm passing... out...
context: Can't you see she doesn't want to go with you?\Huh!? Who the hell are you!?\Wh-Who...? Saved... me...?\Stand up to us and we'll make you sorry, damn you!\That's right!\It's too early in the day for this.\Come on, just chill, will you? Big bros...\Oh... but I can't hold on anymore... I'm passing... out... response:	Young Master, you forgot this!
context: Huh!? Who the hell are you!?\Wh-Who...? Saved... me...?\Stand up to us and we'll make you sorry, damn you!\That's right!\It's too early in the day for this.\Come on, just chill, will you? Big bros...\Oh... but I can't hold on anymore... I'm passing... out...\Young Master, you forgot this! response:	Huh? What's up with these guys?
context: Wh-Who...? Saved... me...?\Stand up to us and we'll make you sorry, damn you!\That's right!\It's too early in the day for this.\Come on, just chill, will you? Big bros...\Oh... but I can't hold on anymore... I'm passing... out...\Young Master, you forgot this!\Huh? What's up with these guys? response:	Hey! You guys, I told you not to tag along...
context: Stand up to us and we'll make you sorry, damn you!\That's right!\It's too early in the day for this.\Come on, just chill, will you? Big bros...\Oh... but I can't hold on anymore... I'm passing... out...\Young Master, you forgot this!\Huh? What's up with these guys?\Hey! You guys, I told you not to tag along... response:	Whoa! Those guys are... R-Run!
context: That's right!\It's too early in the day for this.\Come on, just chill, will you? Big bros...\Oh... but I can't hold on anymore... I'm passing... out...\Young Master, you forgot this!\Huh? What's up with these guys?\Hey! You guys, I told you not to tag along...\Whoa! Those guys are... R-Run! response:	Are you all right?
context: It's too early in the day for this.\Come on, just chill, will you? Big bros...\Oh... but I can't hold on anymore... I'm passing... out...\Young Master, you forgot this!\Huh? What's up with these guys?\Hey! You guys, I told you not to tag along...\Whoa! Those guys are... R-Run!\Are you all right? response:	Hey, the kid's passed out.
context: Come on, just chill, will you? Big bros...\Oh... but I can't hold on anymore... I'm passing... out...\Young Master, you forgot this!\Huh? What's up with these guys?\Hey! You guys, I told you not to tag along...\Whoa! Those guys are... R-Run!\Are you all right?\Hey, the kid's passed out. response:	Who is this kid?
context: Oh... but I can't hold on anymore... I'm passing... out...\Young Master, you forgot this!\Huh? What's up with these guys?\Hey! You guys, I told you not to tag along...\Whoa! Those guys are... R-Run!\Are you all right?\Hey, the kid's passed out.\Who is this kid? response:	Oh, man, she must've been scared out of her life.
context: Young Master, you forgot this!\Huh? What's up with these guys?\Hey! You guys, I told you not to tag along...\Whoa! Those guys are... R-Run!\Are you all right?\Hey, the kid's passed out.\Who is this kid?\Oh, man, she must've been scared out of her life. response:	What should I do? I can't just leave her like this...
context: Huh? What's up with these guys?\Hey! You guys, I told you not to tag along...\Whoa! Those guys are... R-Run!\Are you all right?\Hey, the kid's passed out.\Who is this kid?\Oh, man, she must've been scared out of her life.\What should I do? I can't just leave her like this... response:	This uniform she's wearing - it's our school's, right?
context: Hey! You guys, I told you not to tag along...\Whoa! Those guys are... R-Run!\Are you all right?\Hey, the kid's passed out.\Who is this kid?\Oh, man, she must've been scared out of her life.\What should I do? I can't just leave her like this...\This uniform she's wearing - it's our school's, right? response:	Huh? Where am I?
context: Whoa! Those guys are... R-Run!\Are you all right?\Hey, the kid's passed out.\Who is this kid?\Oh, man, she must've been scared out of her life.\What should I do? I can't just leave her like this...\This uniform she's wearing - it's our school's, right?\Huh? Where am I? response:	What?
context: Are you all right?\Hey, the kid's passed out.\Who is this kid?\Oh, man, she must've been scared out of her life.\What should I do? I can't just leave her like this...\This uniform she's wearing - it's our school's, right?\Huh? Where am I?\What? response:	A prince?
context: Hey, the kid's passed out.\Who is this kid?\Oh, man, she must've been scared out of her life.\What should I do? I can't just leave her like this...\This uniform she's wearing - it's our school's, right?\Huh? Where am I?\What?\A prince? response:	You heard me!
context: Who is this kid?\Oh, man, she must've been scared out of her life.\What should I do? I can't just leave her like this...\This uniform she's wearing - it's our school's, right?\Huh? Where am I?\What?\A prince?\You heard me! response:	These other guys were bugging me, and he made a dashing entrance!
context: Oh, man, she must've been scared out of her life.\What should I do? I can't just leave her like this...\This uniform she's wearing - it's our school's, right?\Huh? Where am I?\What?\A prince?\You heard me!\These other guys were bugging me, and he made a dashing entrance! response:	Yelling, Knock it off!
context: What should I do? I can't just leave her like this...\This uniform she's wearing - it's our school's, right?\Huh? Where am I?\What?\A prince?\You heard me!\These other guys were bugging me, and he made a dashing entrance!\Yelling, Knock it off! response:	Boy, was he cool! I just know it was fate that brought us together!
context: This uniform she's wearing - it's our school's, right?\Huh? Where am I?\What?\A prince?\You heard me!\These other guys were bugging me, and he made a dashing entrance!\Yelling, Knock it off!\Boy, was he cool! I just know it was fate that brought us together! response:	On top of that, he carried me to the nurse's office when I fainted...
context: Huh? Where am I?\What?\A prince?\You heard me!\These other guys were bugging me, and he made a dashing entrance!\Yelling, Knock it off!\Boy, was he cool! I just know it was fate that brought us together!\On top of that, he carried me to the nurse's office when I fainted... response:	Seriously, how kind and gentle is that?
context: What?\A prince?\You heard me!\These other guys were bugging me, and he made a dashing entrance!\Yelling, Knock it off!\Boy, was he cool! I just know it was fate that brought us together!\On top of that, he carried me to the nurse's office when I fainted...\Seriously, how kind and gentle is that? response:	Oh? Is that why you ditched me this morning?
context: A prince?\You heard me!\These other guys were bugging me, and he made a dashing entrance!\Yelling, Knock it off!\Boy, was he cool! I just know it was fate that brought us together!\On top of that, he carried me to the nurse's office when I fainted...\Seriously, how kind and gentle is that?\Oh? Is that why you ditched me this morning? response:	I was waiting around forever... Well, I'm glad you're okay.
context: You heard me!\These other guys were bugging me, and he made a dashing entrance!\Yelling, Knock it off!\Boy, was he cool! I just know it was fate that brought us together!\On top of that, he carried me to the nurse's office when I fainted...\Seriously, how kind and gentle is that?\Oh? Is that why you ditched me this morning?\I was waiting around forever... Well, I'm glad you're okay. response:	Sorry, Fu. I never dreamed anything like that would happen...
context: These other guys were bugging me, and he made a dashing entrance!\Yelling, Knock it off!\Boy, was he cool! I just know it was fate that brought us together!\On top of that, he carried me to the nurse's office when I fainted...\Seriously, how kind and gentle is that?\Oh? Is that why you ditched me this morning?\I was waiting around forever... Well, I'm glad you're okay.\Sorry, Fu. I never dreamed anything like that would happen... response:	But you never saw his face, and you don't know his name, either, right?
context: Yelling, Knock it off!\Boy, was he cool! I just know it was fate that brought us together!\On top of that, he carried me to the nurse's office when I fainted...\Seriously, how kind and gentle is that?\Oh? Is that why you ditched me this morning?\I was waiting around forever... Well, I'm glad you're okay.\Sorry, Fu. I never dreamed anything like that would happen...\But you never saw his face, and you don't know his name, either, right? response:	You think you'll ever see him again?
context: Boy, was he cool! I just know it was fate that brought us together!\On top of that, he carried me to the nurse's office when I fainted...\Seriously, how kind and gentle is that?\Oh? Is that why you ditched me this morning?\I was waiting around forever... Well, I'm glad you're okay.\Sorry, Fu. I never dreamed anything like that would happen...\But you never saw his face, and you don't know his name, either, right?\You think you'll ever see him again? response:	Oh, I'll see him again, I'm sure of it...
context: On top of that, he carried me to the nurse's office when I fainted...\Seriously, how kind and gentle is that?\Oh? Is that why you ditched me this morning?\I was waiting around forever... Well, I'm glad you're okay.\Sorry, Fu. I never dreamed anything like that would happen...\But you never saw his face, and you don't know his name, either, right?\You think you'll ever see him again?\Oh, I'll see him again, I'm sure of it... response:	I mean, he was wearing our school's uniform. There's no question he's here at this school...
context: Seriously, how kind and gentle is that?\Oh? Is that why you ditched me this morning?\I was waiting around forever... Well, I'm glad you're okay.\Sorry, Fu. I never dreamed anything like that would happen...\But you never saw his face, and you don't know his name, either, right?\You think you'll ever see him again?\Oh, I'll see him again, I'm sure of it...\I mean, he was wearing our school's uniform. There's no question he's here at this school... response:	And it's not like I don't have any clues...
context: Oh? Is that why you ditched me this morning?\I was waiting around forever... Well, I'm glad you're okay.\Sorry, Fu. I never dreamed anything like that would happen...\But you never saw his face, and you don't know his name, either, right?\You think you'll ever see him again?\Oh, I'll see him again, I'm sure of it...\I mean, he was wearing our school's uniform. There's no question he's here at this school...\And it's not like I don't have any clues... response:	Oh, yeah?
context: I was waiting around forever... Well, I'm glad you're okay.\Sorry, Fu. I never dreamed anything like that would happen...\But you never saw his face, and you don't know his name, either, right?\You think you'll ever see him again?\Oh, I'll see him again, I'm sure of it...\I mean, he was wearing our school's uniform. There's no question he's here at this school...\And it's not like I don't have any clues...\Oh, yeah? response:	Will we ever meet again? Next time I see him, I've got to thank him properly...
context: Sorry, Fu. I never dreamed anything like that would happen...\But you never saw his face, and you don't know his name, either, right?\You think you'll ever see him again?\Oh, I'll see him again, I'm sure of it...\I mean, he was wearing our school's uniform. There's no question he's here at this school...\And it's not like I don't have any clues...\Oh, yeah?\Will we ever meet again? Next time I see him, I've got to thank him properly... response:	Hello! I'm going to be sitting here... so we're neighbors, right?
context: But you never saw his face, and you don't know his name, either, right?\You think you'll ever see him again?\Oh, I'll see him again, I'm sure of it...\I mean, he was wearing our school's uniform. There's no question he's here at this school...\And it's not like I don't have any clues...\Oh, yeah?\Will we ever meet again? Next time I see him, I've got to thank him properly...\Hello! I'm going to be sitting here... so we're neighbors, right? response:	It's so nice to meet...
context: You think you'll ever see him again?\Oh, I'll see him again, I'm sure of it...\I mean, he was wearing our school's uniform. There's no question he's here at this school...\And it's not like I don't have any clues...\Oh, yeah?\Will we ever meet again? Next time I see him, I've got to thank him properly...\Hello! I'm going to be sitting here... so we're neighbors, right?\It's so nice to meet... response:	Wait, huh? A foreigner?
context: Oh, I'll see him again, I'm sure of it...\I mean, he was wearing our school's uniform. There's no question he's here at this school...\And it's not like I don't have any clues...\Oh, yeah?\Will we ever meet again? Next time I see him, I've got to thank him properly...\Hello! I'm going to be sitting here... so we're neighbors, right?\It's so nice to meet...\Wait, huh? A foreigner? response:	Not only that, but she's gorgeous!
context: I mean, he was wearing our school's uniform. There's no question he's here at this school...\And it's not like I don't have any clues...\Oh, yeah?\Will we ever meet again? Next time I see him, I've got to thank him properly...\Hello! I'm going to be sitting here... so we're neighbors, right?\It's so nice to meet...\Wait, huh? A foreigner?\Not only that, but she's gorgeous! response:	Wonder if she understands Japanese...
context: And it's not like I don't have any clues...\Oh, yeah?\Will we ever meet again? Next time I see him, I've got to thank him properly...\Hello! I'm going to be sitting here... so we're neighbors, right?\It's so nice to meet...\Wait, huh? A foreigner?\Not only that, but she's gorgeous!\Wonder if she understands Japanese... response:	Uh... Um... What is your name...
context: Oh, yeah?\Will we ever meet again? Next time I see him, I've got to thank him properly...\Hello! I'm going to be sitting here... so we're neighbors, right?\It's so nice to meet...\Wait, huh? A foreigner?\Not only that, but she's gorgeous!\Wonder if she understands Japanese...\Uh... Um... What is your name... response:	It's Paula. Paula McCoy.
context: Will we ever meet again? Next time I see him, I've got to thank him properly...\Hello! I'm going to be sitting here... so we're neighbors, right?\It's so nice to meet...\Wait, huh? A foreigner?\Not only that, but she's gorgeous!\Wonder if she understands Japanese...\Uh... Um... What is your name...\It's Paula. Paula McCoy. response:	She speaks Japanese!
context: Hello! I'm going to be sitting here... so we're neighbors, right?\It's so nice to meet...\Wait, huh? A foreigner?\Not only that, but she's gorgeous!\Wonder if she understands Japanese...\Uh... Um... What is your name...\It's Paula. Paula McCoy.\She speaks Japanese! response:	Nice to meet you, Paula! My name is...
context: It's so nice to meet...\Wait, huh? A foreigner?\Not only that, but she's gorgeous!\Wonder if she understands Japanese...\Uh... Um... What is your name...\It's Paula. Paula McCoy.\She speaks Japanese!\Nice to meet you, Paula! My name is... response:	Oh, no need for you to tell me your name. Since I'm not gonna bother remembering it.
context: Wait, huh? A foreigner?\Not only that, but she's gorgeous!\Wonder if she understands Japanese...\Uh... Um... What is your name...\It's Paula. Paula McCoy.\She speaks Japanese!\Nice to meet you, Paula! My name is...\Oh, no need for you to tell me your name. Since I'm not gonna bother remembering it. response:	Huh?
context: Not only that, but she's gorgeous!\Wonder if she understands Japanese...\Uh... Um... What is your name...\It's Paula. Paula McCoy.\She speaks Japanese!\Nice to meet you, Paula! My name is...\Oh, no need for you to tell me your name. Since I'm not gonna bother remembering it.\Huh? response:	Wh-What kind of attitude is that?
context: Wonder if she understands Japanese...\Uh... Um... What is your name...\It's Paula. Paula McCoy.\She speaks Japanese!\Nice to meet you, Paula! My name is...\Oh, no need for you to tell me your name. Since I'm not gonna bother remembering it.\Huh?\Wh-What kind of attitude is that? response:	That was just a little too cold...
context: Uh... Um... What is your name...\It's Paula. Paula McCoy.\She speaks Japanese!\Nice to meet you, Paula! My name is...\Oh, no need for you to tell me your name. Since I'm not gonna bother remembering it.\Huh?\Wh-What kind of attitude is that?\That was just a little too cold... response:	Pardon me...
context: It's Paula. Paula McCoy.\She speaks Japanese!\Nice to meet you, Paula! My name is...\Oh, no need for you to tell me your name. Since I'm not gonna bother remembering it.\Huh?\Wh-What kind of attitude is that?\That was just a little too cold...\Pardon me... response:	Wh-What was that!? Was that a hand grenade!?
context: She speaks Japanese!\Nice to meet you, Paula! My name is...\Oh, no need for you to tell me your name. Since I'm not gonna bother remembering it.\Huh?\Wh-What kind of attitude is that?\That was just a little too cold...\Pardon me...\Wh-What was that!? Was that a hand grenade!? response:	It looked way too heavy to be a toy...
context: Nice to meet you, Paula! My name is...\Oh, no need for you to tell me your name. Since I'm not gonna bother remembering it.\Huh?\Wh-What kind of attitude is that?\That was just a little too cold...\Pardon me...\Wh-What was that!? Was that a hand grenade!?\It looked way too heavy to be a toy... response:	Could it be that she's actually really scary?
context: Oh, no need for you to tell me your name. Since I'm not gonna bother remembering it.\Huh?\Wh-What kind of attitude is that?\That was just a little too cold...\Pardon me...\Wh-What was that!? Was that a hand grenade!?\It looked way too heavy to be a toy...\Could it be that she's actually really scary? response:	Oh! Speaking of scary people! I almost forgot something important!
context: Huh?\Wh-What kind of attitude is that?\That was just a little too cold...\Pardon me...\Wh-What was that!? Was that a hand grenade!?\It looked way too heavy to be a toy...\Could it be that she's actually really scary?\Oh! Speaking of scary people! I almost forgot something important! response:	It may be important to search for that prince,
context: Wh-What kind of attitude is that?\That was just a little too cold...\Pardon me...\Wh-What was that!? Was that a hand grenade!?\It looked way too heavy to be a toy...\Could it be that she's actually really scary?\Oh! Speaking of scary people! I almost forgot something important!\It may be important to search for that prince, response:	but there's someone else I've got to hunt down, no matter what!
context: That was just a little too cold...\Pardon me...\Wh-What was that!? Was that a hand grenade!?\It looked way too heavy to be a toy...\Could it be that she's actually really scary?\Oh! Speaking of scary people! I almost forgot something important!\It may be important to search for that prince,\but there's someone else I've got to hunt down, no matter what! response:	I've got to find him or else...
context: Pardon me...\Wh-What was that!? Was that a hand grenade!?\It looked way too heavy to be a toy...\Could it be that she's actually really scary?\Oh! Speaking of scary people! I almost forgot something important!\It may be important to search for that prince,\but there's someone else I've got to hunt down, no matter what!\I've got to find him or else... response:	All right! All right!
context: Wh-What was that!? Was that a hand grenade!?\It looked way too heavy to be a toy...\Could it be that she's actually really scary?\Oh! Speaking of scary people! I almost forgot something important!\It may be important to search for that prince,\but there's someone else I've got to hunt down, no matter what!\I've got to find him or else...\All right! All right! response:	So anyway, just wait till you hear what happened after, it was awful!
context: It looked way too heavy to be a toy...\Could it be that she's actually really scary?\Oh! Speaking of scary people! I almost forgot something important!\It may be important to search for that prince,\but there's someone else I've got to hunt down, no matter what!\I've got to find him or else...\All right! All right!\So anyway, just wait till you hear what happened after, it was awful! response:	Hey, my bad.
context: Could it be that she's actually really scary?\Oh! Speaking of scary people! I almost forgot something important!\It may be important to search for that prince,\but there's someone else I've got to hunt down, no matter what!\I've got to find him or else...\All right! All right!\So anyway, just wait till you hear what happened after, it was awful!\Hey, my bad. response:	So tell me, what happened after that?
context: Oh! Speaking of scary people! I almost forgot something important!\It may be important to search for that prince,\but there's someone else I've got to hunt down, no matter what!\I've got to find him or else...\All right! All right!\So anyway, just wait till you hear what happened after, it was awful!\Hey, my bad.\So tell me, what happened after that? response:	Oh! Really, now!
context: It may be important to search for that prince,\but there's someone else I've got to hunt down, no matter what!\I've got to find him or else...\All right! All right!\So anyway, just wait till you hear what happened after, it was awful!\Hey, my bad.\So tell me, what happened after that?\Oh! Really, now! response:	What's that guy's problem? This is why I can't stand guys...
context: but there's someone else I've got to hunt down, no matter what!\I've got to find him or else...\All right! All right!\So anyway, just wait till you hear what happened after, it was awful!\Hey, my bad.\So tell me, what happened after that?\Oh! Really, now!\What's that guy's problem? This is why I can't stand guys... response:	Are you all right?
context: I've got to find him or else...\All right! All right!\So anyway, just wait till you hear what happened after, it was awful!\Hey, my bad.\So tell me, what happened after that?\Oh! Really, now!\What's that guy's problem? This is why I can't stand guys...\Are you all right? response:	Huh?
context: All right! All right!\So anyway, just wait till you hear what happened after, it was awful!\Hey, my bad.\So tell me, what happened after that?\Oh! Really, now!\What's that guy's problem? This is why I can't stand guys...\Are you all right?\Huh? response:	Hey, it's her...
context: So anyway, just wait till you hear what happened after, it was awful!\Hey, my bad.\So tell me, what happened after that?\Oh! Really, now!\What's that guy's problem? This is why I can't stand guys...\Are you all right?\Huh?\Hey, it's her... response:	I'm so sorry to make you help me like this...
context: Hey, my bad.\So tell me, what happened after that?\Oh! Really, now!\What's that guy's problem? This is why I can't stand guys...\Are you all right?\Huh?\Hey, it's her...\I'm so sorry to make you help me like this... response:	No problem. It's on my way, anyway.
context: So tell me, what happened after that?\Oh! Really, now!\What's that guy's problem? This is why I can't stand guys...\Are you all right?\Huh?\Hey, it's her...\I'm so sorry to make you help me like this...\No problem. It's on my way, anyway. response:	Judging from the color of your tie, you're a first-year, right?
context: Oh! Really, now!\What's that guy's problem? This is why I can't stand guys...\Are you all right?\Huh?\Hey, it's her...\I'm so sorry to make you help me like this...\No problem. It's on my way, anyway.\Judging from the color of your tie, you're a first-year, right? response:	Uh, yes! Um... And you?
context: What's that guy's problem? This is why I can't stand guys...\Are you all right?\Huh?\Hey, it's her...\I'm so sorry to make you help me like this...\No problem. It's on my way, anyway.\Judging from the color of your tie, you're a first-year, right?\Uh, yes! Um... And you? response:	You are an upperclassman, aren't you?
context: Are you all right?\Huh?\Hey, it's her...\I'm so sorry to make you help me like this...\No problem. It's on my way, anyway.\Judging from the color of your tie, you're a first-year, right?\Uh, yes! Um... And you?\You are an upperclassman, aren't you? response:	I'm a second-year. If you have any questions, ask me anything.
context: Huh?\Hey, it's her...\I'm so sorry to make you help me like this...\No problem. It's on my way, anyway.\Judging from the color of your tie, you're a first-year, right?\Uh, yes! Um... And you?\You are an upperclassman, aren't you?\I'm a second-year. If you have any questions, ask me anything. response:	You know... I think he looks like the guy from this morning...
context: Hey, it's her...\I'm so sorry to make you help me like this...\No problem. It's on my way, anyway.\Judging from the color of your tie, you're a first-year, right?\Uh, yes! Um... And you?\You are an upperclassman, aren't you?\I'm a second-year. If you have any questions, ask me anything.\You know... I think he looks like the guy from this morning... response:	But... No way, right?
context: I'm so sorry to make you help me like this...\No problem. It's on my way, anyway.\Judging from the color of your tie, you're a first-year, right?\Uh, yes! Um... And you?\You are an upperclassman, aren't you?\I'm a second-year. If you have any questions, ask me anything.\You know... I think he looks like the guy from this morning...\But... No way, right? response:	The way she's acting, looks like she doesn't remember me at all.
context: No problem. It's on my way, anyway.\Judging from the color of your tie, you're a first-year, right?\Uh, yes! Um... And you?\You are an upperclassman, aren't you?\I'm a second-year. If you have any questions, ask me anything.\You know... I think he looks like the guy from this morning...\But... No way, right?\The way she's acting, looks like she doesn't remember me at all. response:	Oh, well, whatever. No need to make her feel like she owes me anything.
context: Judging from the color of your tie, you're a first-year, right?\Uh, yes! Um... And you?\You are an upperclassman, aren't you?\I'm a second-year. If you have any questions, ask me anything.\You know... I think he looks like the guy from this morning...\But... No way, right?\The way she's acting, looks like she doesn't remember me at all.\Oh, well, whatever. No need to make her feel like she owes me anything. response:	I'm gonna keep my mouth shut.
