context: Tilarna! response:	What's your problem?
context: I'm more than happy with the one I've got now.\Well, I'm not happy! You freeloader!\I'm doing this for your sake-\All emergency vehicles.\Signal 32. A vehicle fled after being stopped by police.\It's a white truck. One Semanian male.\Code 3, head to the scene immediately.\Hey... response:	He's gonna pay for that!
context: Well, I'm not happy! You freeloader!\I'm doing this for your sake-\All emergency vehicles.\Signal 32. A vehicle fled after being stopped by police.\It's a white truck. One Semanian male.\Code 3, head to the scene immediately.\Hey...\He's gonna pay for that! response:	No more! Just kill me!
context: I'm doing this for your sake-\All emergency vehicles.\Signal 32. A vehicle fled after being stopped by police.\It's a white truck. One Semanian male.\Code 3, head to the scene immediately.\Hey...\He's gonna pay for that!\No more! Just kill me! response:	The window's right there! Jump out if you want to!
context: All emergency vehicles.\Signal 32. A vehicle fled after being stopped by police.\It's a white truck. One Semanian male.\Code 3, head to the scene immediately.\Hey...\He's gonna pay for that!\No more! Just kill me!\The window's right there! Jump out if you want to! response:	Yes!
context: Signal 32. A vehicle fled after being stopped by police.\It's a white truck. One Semanian male.\Code 3, head to the scene immediately.\Hey...\He's gonna pay for that!\No more! Just kill me!\The window's right there! Jump out if you want to!\Yes! response:	Watch the car.
context: It's a white truck. One Semanian male.\Code 3, head to the scene immediately.\Hey...\He's gonna pay for that!\No more! Just kill me!\The window's right there! Jump out if you want to!\Yes!\Watch the car. response:	He's not here.
context: Code 3, head to the scene immediately.\Hey...\He's gonna pay for that!\No more! Just kill me!\The window's right there! Jump out if you want to!\Yes!\Watch the car.\He's not here. response:	Shit.
context: Hey...\He's gonna pay for that!\No more! Just kill me!\The window's right there! Jump out if you want to!\Yes!\Watch the car.\He's not here.\Shit. response:	Can you move this car?
context: He's gonna pay for that!\No more! Just kill me!\The window's right there! Jump out if you want to!\Yes!\Watch the car.\He's not here.\Shit.\Can you move this car? response:	Sergeant Kei Matoba. With the Special Vice Squad.
context: No more! Just kill me!\The window's right there! Jump out if you want to!\Yes!\Watch the car.\He's not here.\Shit.\Can you move this car?\Sergeant Kei Matoba. With the Special Vice Squad. response:	Hello there.
context: The window's right there! Jump out if you want to!\Yes!\Watch the car.\He's not here.\Shit.\Can you move this car?\Sergeant Kei Matoba. With the Special Vice Squad.\Hello there. response:	Man, you sure made a mess.
context: Yes!\Watch the car.\He's not here.\Shit.\Can you move this car?\Sergeant Kei Matoba. With the Special Vice Squad.\Hello there.\Man, you sure made a mess. response:	Where's the perp?
context: Watch the car.\He's not here.\Shit.\Can you move this car?\Sergeant Kei Matoba. With the Special Vice Squad.\Hello there.\Man, you sure made a mess.\Where's the perp? response:	He split.
context: He's not here.\Shit.\Can you move this car?\Sergeant Kei Matoba. With the Special Vice Squad.\Hello there.\Man, you sure made a mess.\Where's the perp?\He split. response:	What is all this?
context: Shit.\Can you move this car?\Sergeant Kei Matoba. With the Special Vice Squad.\Hello there.\Man, you sure made a mess.\Where's the perp?\He split.\What is all this? response:	Porn.
context: Can you move this car?\Sergeant Kei Matoba. With the Special Vice Squad.\Hello there.\Man, you sure made a mess.\Where's the perp?\He split.\What is all this?\Porn. response:	Supposedly it was stolen from some warehouse...
context: Sergeant Kei Matoba. With the Special Vice Squad.\Hello there.\Man, you sure made a mess.\Where's the perp?\He split.\What is all this?\Porn.\Supposedly it was stolen from some warehouse... response:	And it's all porn magazines?
context: Hello there.\Man, you sure made a mess.\Where's the perp?\He split.\What is all this?\Porn.\Supposedly it was stolen from some warehouse...\And it's all porn magazines? response:	Legal porn.
context: Man, you sure made a mess.\Where's the perp?\He split.\What is all this?\Porn.\Supposedly it was stolen from some warehouse...\And it's all porn magazines?\Legal porn. response:	Nothing about it seems especially strange.
context: Where's the perp?\He split.\What is all this?\Porn.\Supposedly it was stolen from some warehouse...\And it's all porn magazines?\Legal porn.\Nothing about it seems especially strange. response:	Oh, but this one's pretty hardcore.
context: He split.\What is all this?\Porn.\Supposedly it was stolen from some warehouse...\And it's all porn magazines?\Legal porn.\Nothing about it seems especially strange.\Oh, but this one's pretty hardcore. response:	Which one?
context: What is all this?\Porn.\Supposedly it was stolen from some warehouse...\And it's all porn magazines?\Legal porn.\Nothing about it seems especially strange.\Oh, but this one's pretty hardcore.\Which one? response:	This one.
context: Porn.\Supposedly it was stolen from some warehouse...\And it's all porn magazines?\Legal porn.\Nothing about it seems especially strange.\Oh, but this one's pretty hardcore.\Which one?\This one. response:	No, that's normal.
context: Supposedly it was stolen from some warehouse...\And it's all porn magazines?\Legal porn.\Nothing about it seems especially strange.\Oh, but this one's pretty hardcore.\Which one?\This one.\No, that's normal. response:	You think?
context: And it's all porn magazines?\Legal porn.\Nothing about it seems especially strange.\Oh, but this one's pretty hardcore.\Which one?\This one.\No, that's normal.\You think? response:	But you could never ask your girlfriend to do this.
context: Legal porn.\Nothing about it seems especially strange.\Oh, but this one's pretty hardcore.\Which one?\This one.\No, that's normal.\You think?\But you could never ask your girlfriend to do this. response:	You've got a boring girlfriend.
context: Nothing about it seems especially strange.\Oh, but this one's pretty hardcore.\Which one?\This one.\No, that's normal.\You think?\But you could never ask your girlfriend to do this.\You've got a boring girlfriend. response:	I do not. She's normal!
context: Oh, but this one's pretty hardcore.\Which one?\This one.\No, that's normal.\You think?\But you could never ask your girlfriend to do this.\You've got a boring girlfriend.\I do not. She's normal! response:	-No, she's definitely boring. -Kei!
context: Which one?\This one.\No, that's normal.\You think?\But you could never ask your girlfriend to do this.\You've got a boring girlfriend.\I do not. She's normal!\-No, she's definitely boring. -Kei! response:	Um... What's up?
context: This one.\No, that's normal.\You think?\But you could never ask your girlfriend to do this.\You've got a boring girlfriend.\I do not. She's normal!\-No, she's definitely boring. -Kei!\Um... What's up? response:	They told me to move it, so I moved it.
context: No, that's normal.\You think?\But you could never ask your girlfriend to do this.\You've got a boring girlfriend.\I do not. She's normal!\-No, she's definitely boring. -Kei!\Um... What's up?\They told me to move it, so I moved it. response:	Move what?
context: You think?\But you could never ask your girlfriend to do this.\You've got a boring girlfriend.\I do not. She's normal!\-No, she's definitely boring. -Kei!\Um... What's up?\They told me to move it, so I moved it.\Move what? response:	The car.
context: But you could never ask your girlfriend to do this.\You've got a boring girlfriend.\I do not. She's normal!\-No, she's definitely boring. -Kei!\Um... What's up?\They told me to move it, so I moved it.\Move what?\The car. response:	You can drive?
context: You've got a boring girlfriend.\I do not. She's normal!\-No, she's definitely boring. -Kei!\Um... What's up?\They told me to move it, so I moved it.\Move what?\The car.\You can drive? response:	I've been practicing in secret.
context: I do not. She's normal!\-No, she's definitely boring. -Kei!\Um... What's up?\They told me to move it, so I moved it.\Move what?\The car.\You can drive?\I've been practicing in secret. response:	If you just want to move it a little, it's easy-
context: -No, she's definitely boring. -Kei!\Um... What's up?\They told me to move it, so I moved it.\Move what?\The car.\You can drive?\I've been practicing in secret.\If you just want to move it a little, it's easy- response:	Hey!
context: Um... What's up?\They told me to move it, so I moved it.\Move what?\The car.\You can drive?\I've been practicing in secret.\If you just want to move it a little, it's easy-\Hey! response:	Hey! Hey! Hey! Hey!
context: They told me to move it, so I moved it.\Move what?\The car.\You can drive?\I've been practicing in secret.\If you just want to move it a little, it's easy-\Hey!\Hey! Hey! Hey! Hey! response:	Doreany machines sure do burn!
context: Move what?\The car.\You can drive?\I've been practicing in secret.\If you just want to move it a little, it's easy-\Hey!\Hey! Hey! Hey! Hey!\Doreany machines sure do burn! response:	Can you two guess what I'm feeling right now?
context: The car.\You can drive?\I've been practicing in secret.\If you just want to move it a little, it's easy-\Hey!\Hey! Hey! Hey! Hey!\Doreany machines sure do burn!\Can you two guess what I'm feeling right now? response:	You look like you feel sick.
context: You can drive?\I've been practicing in secret.\If you just want to move it a little, it's easy-\Hey!\Hey! Hey! Hey! Hey!\Doreany machines sure do burn!\Can you two guess what I'm feeling right now?\You look like you feel sick. response:	I'm pissed! Do you know why?
context: I've been practicing in secret.\If you just want to move it a little, it's easy-\Hey!\Hey! Hey! Hey! Hey!\Doreany machines sure do burn!\Can you two guess what I'm feeling right now?\You look like you feel sick.\I'm pissed! Do you know why? response:	Because you're a pair of dumbass wannabe cowboys!
context: If you just want to move it a little, it's easy-\Hey!\Hey! Hey! Hey! Hey!\Doreany machines sure do burn!\Can you two guess what I'm feeling right now?\You look like you feel sick.\I'm pissed! Do you know why?\Because you're a pair of dumbass wannabe cowboys! response:	I've been getting complaints all day thanks to your little car chase stunt!
context: Hey!\Hey! Hey! Hey! Hey!\Doreany machines sure do burn!\Can you two guess what I'm feeling right now?\You look like you feel sick.\I'm pissed! Do you know why?\Because you're a pair of dumbass wannabe cowboys!\I've been getting complaints all day thanks to your little car chase stunt! response:	And not only that, they're telling me we have to take the case!
context: Hey! Hey! Hey! Hey!\Doreany machines sure do burn!\Can you two guess what I'm feeling right now?\You look like you feel sick.\I'm pissed! Do you know why?\Because you're a pair of dumbass wannabe cowboys!\I've been getting complaints all day thanks to your little car chase stunt!\And not only that, they're telling me we have to take the case! response:	Now I have to spend resources
context: Doreany machines sure do burn!\Can you two guess what I'm feeling right now?\You look like you feel sick.\I'm pissed! Do you know why?\Because you're a pair of dumbass wannabe cowboys!\I've been getting complaints all day thanks to your little car chase stunt!\And not only that, they're telling me we have to take the case!\Now I have to spend resources response:	to investigate a bunch of porn that could only turn on a middle school kid!
context: Can you two guess what I'm feeling right now?\You look like you feel sick.\I'm pissed! Do you know why?\Because you're a pair of dumbass wannabe cowboys!\I've been getting complaints all day thanks to your little car chase stunt!\And not only that, they're telling me we have to take the case!\Now I have to spend resources\to investigate a bunch of porn that could only turn on a middle school kid! response:	Do you understand my anger?
context: You look like you feel sick.\I'm pissed! Do you know why?\Because you're a pair of dumbass wannabe cowboys!\I've been getting complaints all day thanks to your little car chase stunt!\And not only that, they're telling me we have to take the case!\Now I have to spend resources\to investigate a bunch of porn that could only turn on a middle school kid!\Do you understand my anger? response:	Do you?
context: I'm pissed! Do you know why?\Because you're a pair of dumbass wannabe cowboys!\I've been getting complaints all day thanks to your little car chase stunt!\And not only that, they're telling me we have to take the case!\Now I have to spend resources\to investigate a bunch of porn that could only turn on a middle school kid!\Do you understand my anger?\Do you? response:	Well? Tell me?
context: Because you're a pair of dumbass wannabe cowboys!\I've been getting complaints all day thanks to your little car chase stunt!\And not only that, they're telling me we have to take the case!\Now I have to spend resources\to investigate a bunch of porn that could only turn on a middle school kid!\Do you understand my anger?\Do you?\Well? Tell me? response:	Then what happens to my car?
context: I've been getting complaints all day thanks to your little car chase stunt!\And not only that, they're telling me we have to take the case!\Now I have to spend resources\to investigate a bunch of porn that could only turn on a middle school kid!\Do you understand my anger?\Do you?\Well? Tell me?\Then what happens to my car? response:	I kept asking for a car for undercover missions, and you kept ignoring me!
context: And not only that, they're telling me we have to take the case!\Now I have to spend resources\to investigate a bunch of porn that could only turn on a middle school kid!\Do you understand my anger?\Do you?\Well? Tell me?\Then what happens to my car?\I kept asking for a car for undercover missions, and you kept ignoring me! response:	So I had to use my own damn car!
context: Now I have to spend resources\to investigate a bunch of porn that could only turn on a middle school kid!\Do you understand my anger?\Do you?\Well? Tell me?\Then what happens to my car?\I kept asking for a car for undercover missions, and you kept ignoring me!\So I had to use my own damn car! response:	And look what happened!
context: to investigate a bunch of porn that could only turn on a middle school kid!\Do you understand my anger?\Do you?\Well? Tell me?\Then what happens to my car?\I kept asking for a car for undercover missions, and you kept ignoring me!\So I had to use my own damn car!\And look what happened! response:	You paired me up with this alien,
context: Do you understand my anger?\Do you?\Well? Tell me?\Then what happens to my car?\I kept asking for a car for undercover missions, and you kept ignoring me!\So I had to use my own damn car!\And look what happened!\You paired me up with this alien, response:	and then I took my eyes off her for a second...
context: Do you?\Well? Tell me?\Then what happens to my car?\I kept asking for a car for undercover missions, and you kept ignoring me!\So I had to use my own damn car!\And look what happened!\You paired me up with this alien,\and then I took my eyes off her for a second... response:	And she... she left me!
context: Well? Tell me?\Then what happens to my car?\I kept asking for a car for undercover missions, and you kept ignoring me!\So I had to use my own damn car!\And look what happened!\You paired me up with this alien,\and then I took my eyes off her for a second...\And she... she left me! response:	Matoba?
context: Then what happens to my car?\I kept asking for a car for undercover missions, and you kept ignoring me!\So I had to use my own damn car!\And look what happened!\You paired me up with this alien,\and then I took my eyes off her for a second...\And she... she left me!\Matoba? response:	She was such a good car!
context: I kept asking for a car for undercover missions, and you kept ignoring me!\So I had to use my own damn car!\And look what happened!\You paired me up with this alien,\and then I took my eyes off her for a second...\And she... she left me!\Matoba?\She was such a good car! response:	She was a great partner, always there for me when things got rough!
context: So I had to use my own damn car!\And look what happened!\You paired me up with this alien,\and then I took my eyes off her for a second...\And she... she left me!\Matoba?\She was such a good car!\She was a great partner, always there for me when things got rough! response:	And now... and now...
context: And look what happened!\You paired me up with this alien,\and then I took my eyes off her for a second...\And she... she left me!\Matoba?\She was such a good car!\She was a great partner, always there for me when things got rough!\And now... and now... response:	Don't get so down.
context: You paired me up with this alien,\and then I took my eyes off her for a second...\And she... she left me!\Matoba?\She was such a good car!\She was a great partner, always there for me when things got rough!\And now... and now...\Don't get so down. response:	Shut up! You wrecked her, you alien!
context: and then I took my eyes off her for a second...\And she... she left me!\Matoba?\She was such a good car!\She was a great partner, always there for me when things got rough!\And now... and now...\Don't get so down.\Shut up! You wrecked her, you alien! response:	That's racist, Kei.
context: And she... she left me!\Matoba?\She was such a good car!\She was a great partner, always there for me when things got rough!\And now... and now...\Don't get so down.\Shut up! You wrecked her, you alien!\That's racist, Kei. response:	Take that back now, or-
context: Matoba?\She was such a good car!\She was a great partner, always there for me when things got rough!\And now... and now...\Don't get so down.\Shut up! You wrecked her, you alien!\That's racist, Kei.\Take that back now, or- response:	Or you'll what?
context: She was such a good car!\She was a great partner, always there for me when things got rough!\And now... and now...\Don't get so down.\Shut up! You wrecked her, you alien!\That's racist, Kei.\Take that back now, or-\Or you'll what? response:	Kill me too?
context: She was a great partner, always there for me when things got rough!\And now... and now...\Don't get so down.\Shut up! You wrecked her, you alien!\That's racist, Kei.\Take that back now, or-\Or you'll what?\Kill me too? response:	Fine, kill me! Just like you killed her!
context: And now... and now...\Don't get so down.\Shut up! You wrecked her, you alien!\That's racist, Kei.\Take that back now, or-\Or you'll what?\Kill me too?\Fine, kill me! Just like you killed her! response:	Throw me in front of a truck!
context: Don't get so down.\Shut up! You wrecked her, you alien!\That's racist, Kei.\Take that back now, or-\Or you'll what?\Kill me too?\Fine, kill me! Just like you killed her!\Throw me in front of a truck! response:	Then you'll be satisfied right? You murderer!
context: Shut up! You wrecked her, you alien!\That's racist, Kei.\Take that back now, or-\Or you'll what?\Kill me too?\Fine, kill me! Just like you killed her!\Throw me in front of a truck!\Then you'll be satisfied right? You murderer! response:	Matoba, calm down!
context: That's racist, Kei.\Take that back now, or-\Or you'll what?\Kill me too?\Fine, kill me! Just like you killed her!\Throw me in front of a truck!\Then you'll be satisfied right? You murderer!\Matoba, calm down! response:	I'm sorry! So don't cry!
context: Take that back now, or-\Or you'll what?\Kill me too?\Fine, kill me! Just like you killed her!\Throw me in front of a truck!\Then you'll be satisfied right? You murderer!\Matoba, calm down!\I'm sorry! So don't cry! response:	I'm not crying!
context: Or you'll what?\Kill me too?\Fine, kill me! Just like you killed her!\Throw me in front of a truck!\Then you'll be satisfied right? You murderer!\Matoba, calm down!\I'm sorry! So don't cry!\I'm not crying! response:	You pretty much are!
context: Kill me too?\Fine, kill me! Just like you killed her!\Throw me in front of a truck!\Then you'll be satisfied right? You murderer!\Matoba, calm down!\I'm sorry! So don't cry!\I'm not crying!\You pretty much are! response:	I'll try to find you a new car, so calm down!
context: Fine, kill me! Just like you killed her!\Throw me in front of a truck!\Then you'll be satisfied right? You murderer!\Matoba, calm down!\I'm sorry! So don't cry!\I'm not crying!\You pretty much are!\I'll try to find you a new car, so calm down! response:	Really?
context: Throw me in front of a truck!\Then you'll be satisfied right? You murderer!\Matoba, calm down!\I'm sorry! So don't cry!\I'm not crying!\You pretty much are!\I'll try to find you a new car, so calm down!\Really? response:	There's a police auction coming up!
context: Then you'll be satisfied right? You murderer!\Matoba, calm down!\I'm sorry! So don't cry!\I'm not crying!\You pretty much are!\I'll try to find you a new car, so calm down!\Really?\There's a police auction coming up! response:	If there's a good car, I'll see if I can't get it for you!
context: Matoba, calm down!\I'm sorry! So don't cry!\I'm not crying!\You pretty much are!\I'll try to find you a new car, so calm down!\Really?\There's a police auction coming up!\If there's a good car, I'll see if I can't get it for you! response:	That's what I wanted to hear, Chief!
context: I'm sorry! So don't cry!\I'm not crying!\You pretty much are!\I'll try to find you a new car, so calm down!\Really?\There's a police auction coming up!\If there's a good car, I'll see if I can't get it for you!\That's what I wanted to hear, Chief! response:	It's so wonderful when you've got a good boss!
context: I'm not crying!\You pretty much are!\I'll try to find you a new car, so calm down!\Really?\There's a police auction coming up!\If there's a good car, I'll see if I can't get it for you!\That's what I wanted to hear, Chief!\It's so wonderful when you've got a good boss! response:	You're like a little kid begging for a toy.
context: You pretty much are!\I'll try to find you a new car, so calm down!\Really?\There's a police auction coming up!\If there's a good car, I'll see if I can't get it for you!\That's what I wanted to hear, Chief!\It's so wonderful when you've got a good boss!\You're like a little kid begging for a toy. response:	Anyway, you're in charge of this porn theft case!
context: I'll try to find you a new car, so calm down!\Really?\There's a police auction coming up!\If there's a good car, I'll see if I can't get it for you!\That's what I wanted to hear, Chief!\It's so wonderful when you've got a good boss!\You're like a little kid begging for a toy.\Anyway, you're in charge of this porn theft case! response:	It's dumb as hell, but a crime's a crime!
context: Really?\There's a police auction coming up!\If there's a good car, I'll see if I can't get it for you!\That's what I wanted to hear, Chief!\It's so wonderful when you've got a good boss!\You're like a little kid begging for a toy.\Anyway, you're in charge of this porn theft case!\It's dumb as hell, but a crime's a crime! response:	You can ask someone for help if you want.
context: There's a police auction coming up!\If there's a good car, I'll see if I can't get it for you!\That's what I wanted to hear, Chief!\It's so wonderful when you've got a good boss!\You're like a little kid begging for a toy.\Anyway, you're in charge of this porn theft case!\It's dumb as hell, but a crime's a crime!\You can ask someone for help if you want. response:	And Exedilica.
context: If there's a good car, I'll see if I can't get it for you!\That's what I wanted to hear, Chief!\It's so wonderful when you've got a good boss!\You're like a little kid begging for a toy.\Anyway, you're in charge of this porn theft case!\It's dumb as hell, but a crime's a crime!\You can ask someone for help if you want.\And Exedilica. response:	Go get a damn license.
context: That's what I wanted to hear, Chief!\It's so wonderful when you've got a good boss!\You're like a little kid begging for a toy.\Anyway, you're in charge of this porn theft case!\It's dumb as hell, but a crime's a crime!\You can ask someone for help if you want.\And Exedilica.\Go get a damn license. response:	License?
context: It's so wonderful when you've got a good boss!\You're like a little kid begging for a toy.\Anyway, you're in charge of this porn theft case!\It's dumb as hell, but a crime's a crime!\You can ask someone for help if you want.\And Exedilica.\Go get a damn license.\License? response:	Yeah. A driver's license.
context: You're like a little kid begging for a toy.\Anyway, you're in charge of this porn theft case!\It's dumb as hell, but a crime's a crime!\You can ask someone for help if you want.\And Exedilica.\Go get a damn license.\License?\Yeah. A driver's license. response:	Honestly, I don't know why anybody would give you a driver's license.
context: Anyway, you're in charge of this porn theft case!\It's dumb as hell, but a crime's a crime!\You can ask someone for help if you want.\And Exedilica.\Go get a damn license.\License?\Yeah. A driver's license.\Honestly, I don't know why anybody would give you a driver's license. response:	It's like giving Jeffrey Dahmer a license to kill.
context: It's dumb as hell, but a crime's a crime!\You can ask someone for help if you want.\And Exedilica.\Go get a damn license.\License?\Yeah. A driver's license.\Honestly, I don't know why anybody would give you a driver's license.\It's like giving Jeffrey Dahmer a license to kill. response:	Who's that?
context: You can ask someone for help if you want.\And Exedilica.\Go get a damn license.\License?\Yeah. A driver's license.\Honestly, I don't know why anybody would give you a driver's license.\It's like giving Jeffrey Dahmer a license to kill.\Who's that? response:	Google it.
context: And Exedilica.\Go get a damn license.\License?\Yeah. A driver's license.\Honestly, I don't know why anybody would give you a driver's license.\It's like giving Jeffrey Dahmer a license to kill.\Who's that?\Google it. response:	Anyway, we need to get started on this porn thing...
context: Go get a damn license.\License?\Yeah. A driver's license.\Honestly, I don't know why anybody would give you a driver's license.\It's like giving Jeffrey Dahmer a license to kill.\Who's that?\Google it.\Anyway, we need to get started on this porn thing... response:	Kei, I have a question.
context: License?\Yeah. A driver's license.\Honestly, I don't know why anybody would give you a driver's license.\It's like giving Jeffrey Dahmer a license to kill.\Who's that?\Google it.\Anyway, we need to get started on this porn thing...\Kei, I have a question. response:	What?
context: Yeah. A driver's license.\Honestly, I don't know why anybody would give you a driver's license.\It's like giving Jeffrey Dahmer a license to kill.\Who's that?\Google it.\Anyway, we need to get started on this porn thing...\Kei, I have a question.\What? response:	What is porn?
context: Honestly, I don't know why anybody would give you a driver's license.\It's like giving Jeffrey Dahmer a license to kill.\Who's that?\Google it.\Anyway, we need to get started on this porn thing...\Kei, I have a question.\What?\What is porn? response:	This.
context: It's like giving Jeffrey Dahmer a license to kill.\Who's that?\Google it.\Anyway, we need to get started on this porn thing...\Kei, I have a question.\What?\What is porn?\This. response:	In addition to drugs and guns, we also handle prostitution and porno.
context: Who's that?\Google it.\Anyway, we need to get started on this porn thing...\Kei, I have a question.\What?\What is porn?\This.\In addition to drugs and guns, we also handle prostitution and porno. response:	That magazine's not illegal...
context: Google it.\Anyway, we need to get started on this porn thing...\Kei, I have a question.\What?\What is porn?\This.\In addition to drugs and guns, we also handle prostitution and porno.\That magazine's not illegal... response:	Th-This is so...
context: Anyway, we need to get started on this porn thing...\Kei, I have a question.\What?\What is porn?\This.\In addition to drugs and guns, we also handle prostitution and porno.\That magazine's not illegal...\Th-This is so... response:	I can't believe it!
context: Kei, I have a question.\What?\What is porn?\This.\In addition to drugs and guns, we also handle prostitution and porno.\That magazine's not illegal...\Th-This is so...\I can't believe it! response:	You really are barbarians!
context: What?\What is porn?\This.\In addition to drugs and guns, we also handle prostitution and porno.\That magazine's not illegal...\Th-This is so...\I can't believe it!\You really are barbarians! response:	You're all crazy!
