context: Psychics response:	Mobgle Search
context: You are the\visitor here.\Hello, I'm Rei gen Ara taka, the new star of the psychic world! Don't try to do it alone. Come talk to me!! Honest billing and various courses available!!!\Spirits and Such Consul tation Office Official HP\and a lot of requests for actual exorcisms started coming in.\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc..\Hello, I'm Rei gen Ara taka, the new star of the psychic world! Don't try to do it alone. Come talk to me!! Honest billing and various courses available!!! response:	Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?
context: visitor here.\Hello, I'm Rei gen Ara taka, the new star of the psychic world! Don't try to do it alone. Come talk to me!! Honest billing and various courses available!!!\Spirits and Such Consul tation Office Official HP\and a lot of requests for actual exorcisms started coming in.\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc..\Hello, I'm Rei gen Ara taka, the new star of the psychic world! Don't try to do it alone. Come talk to me!! Honest billing and various courses available!!!\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles? response:	Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc..
context: Hello, I'm Rei gen Ara taka, the new star of the psychic world! Don't try to do it alone. Come talk to me!! Honest billing and various courses available!!!\Spirits and Such Consul tation Office Official HP\and a lot of requests for actual exorcisms started coming in.\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc..\Hello, I'm Rei gen Ara taka, the new star of the psychic world! Don't try to do it alone. Come talk to me!! Honest billing and various courses available!!!\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc.. response:	Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?
context: Spirits and Such Consul tation Office Official HP\and a lot of requests for actual exorcisms started coming in.\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc..\Hello, I'm Rei gen Ara taka, the new star of the psychic world! Don't try to do it alone. Come talk to me!! Honest billing and various courses available!!!\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc..\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles? response:	Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses
context: and a lot of requests for actual exorcisms started coming in.\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc..\Hello, I'm Rei gen Ara taka, the new star of the psychic world! Don't try to do it alone. Come talk to me!! Honest billing and various courses available!!!\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc..\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses response:	Spirit Photography Evaluation I will also evaluate any other possible cursed items you have and exorcise them!
context: Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc..\Hello, I'm Rei gen Ara taka, the new star of the psychic world! Don't try to do it alone. Come talk to me!! Honest billing and various courses available!!!\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc..\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Spirit Photography Evaluation I will also evaluate any other possible cursed items you have and exorcise them! response:	Advice About Stigmatized Properties Deal with psychological defects before you move... In order to avoid real estate troubles and protect the value of your property
context: Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc..\Hello, I'm Rei gen Ara taka, the new star of the psychic world! Don't try to do it alone. Come talk to me!! Honest billing and various courses available!!!\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc..\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Spirit Photography Evaluation I will also evaluate any other possible cursed items you have and exorcise them!\Advice About Stigmatized Properties Deal with psychological defects before you move... In order to avoid real estate troubles and protect the value of your property response:	Modern Urban Legends The Dragger, Hanako-san, Kashima Reiko, Red Raincoat... Net lore: the modern form of urban legends
context: Hello, I'm Rei gen Ara taka, the new star of the psychic world! Don't try to do it alone. Come talk to me!! Honest billing and various courses available!!!\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc..\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Spirit Photography Evaluation I will also evaluate any other possible cursed items you have and exorcise them!\Advice About Stigmatized Properties Deal with psychological defects before you move... In order to avoid real estate troubles and protect the value of your property\Modern Urban Legends The Dragger, Hanako-san, Kashima Reiko, Red Raincoat... Net lore: the modern form of urban legends response:	Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses
context: Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc..\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Spirit Photography Evaluation I will also evaluate any other possible cursed items you have and exorcise them!\Advice About Stigmatized Properties Deal with psychological defects before you move... In order to avoid real estate troubles and protect the value of your property\Modern Urban Legends The Dragger, Hanako-san, Kashima Reiko, Red Raincoat... Net lore: the modern form of urban legends\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses response:	Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses
context: Those of you troubled with spiritual harm, are they causing you trouble with your neighbors!? Rapping sounds Paralyzed when you're trying to sleep Poltergeists, etc..\Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Spirit Photography Evaluation I will also evaluate any other possible cursed items you have and exorcise them!\Advice About Stigmatized Properties Deal with psychological defects before you move... In order to avoid real estate troubles and protect the value of your property\Modern Urban Legends The Dragger, Hanako-san, Kashima Reiko, Red Raincoat... Net lore: the modern form of urban legends\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses response:	Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses
context: Do you want to hear the voice of your loved one again...? Those able to do seances are considered modern-day necromancers. Why not put an end to those pesky inheritance battles?\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Spirit Photography Evaluation I will also evaluate any other possible cursed items you have and exorcise them!\Advice About Stigmatized Properties Deal with psychological defects before you move... In order to avoid real estate troubles and protect the value of your property\Modern Urban Legends The Dragger, Hanako-san, Kashima Reiko, Red Raincoat... Net lore: the modern form of urban legends\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses response:	Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses
context: Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Spirit Photography Evaluation I will also evaluate any other possible cursed items you have and exorcise them!\Advice About Stigmatized Properties Deal with psychological defects before you move... In order to avoid real estate troubles and protect the value of your property\Modern Urban Legends The Dragger, Hanako-san, Kashima Reiko, Red Raincoat... Net lore: the modern form of urban legends\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses response:	Executing the Exorcism!! We will do our best to reduce the spirit possessing you Option A Trial Course A Mere 2,000 yen (Tax Excluded) Outside Offer Period: 3,980 yen Option B Serious Course A Mere 5,000 yen (Tax Excluded) Outside of Offer Period: 8,980 Recommended Option C All-Out Course A Mere 12,000 yen (Tax Excluded) Outside of Offer Period: 19,880 yen Refer us to a friend now and get an extra 5 reduc tion!! Also get an add-on exorcism for 20 off!!
context: Spirit Photography Evaluation I will also evaluate any other possible cursed items you have and exorcise them!\Advice About Stigmatized Properties Deal with psychological defects before you move... In order to avoid real estate troubles and protect the value of your property\Modern Urban Legends The Dragger, Hanako-san, Kashima Reiko, Red Raincoat... Net lore: the modern form of urban legends\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Executing the Exorcism!! We will do our best to reduce the spirit possessing you Option A Trial Course A Mere 2,000 yen (Tax Excluded) Outside Offer Period: 3,980 yen Option B Serious Course A Mere 5,000 yen (Tax Excluded) Outside of Offer Period: 8,980 Recommended Option C All-Out Course A Mere 12,000 yen (Tax Excluded) Outside of Offer Period: 19,880 yen Refer us to a friend now and get an extra 5 reduc tion!! Also get an add-on exorcism for 20 off!! response:	Behold, Reigen Arataka's elegant special moves! Salt Splash Banishing Salt Punch Aroma Runaway Express
context: Advice About Stigmatized Properties Deal with psychological defects before you move... In order to avoid real estate troubles and protect the value of your property\Modern Urban Legends The Dragger, Hanako-san, Kashima Reiko, Red Raincoat... Net lore: the modern form of urban legends\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Executing the Exorcism!! We will do our best to reduce the spirit possessing you Option A Trial Course A Mere 2,000 yen (Tax Excluded) Outside Offer Period: 3,980 yen Option B Serious Course A Mere 5,000 yen (Tax Excluded) Outside of Offer Period: 8,980 Recommended Option C All-Out Course A Mere 12,000 yen (Tax Excluded) Outside of Offer Period: 19,880 yen Refer us to a friend now and get an extra 5 reduc tion!! Also get an add-on exorcism for 20 off!!\Behold, Reigen Arataka's elegant special moves! Salt Splash Banishing Salt Punch Aroma Runaway Express response:	Essence of Life Draft
context: Modern Urban Legends The Dragger, Hanako-san, Kashima Reiko, Red Raincoat... Net lore: the modern form of urban legends\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Executing the Exorcism!! We will do our best to reduce the spirit possessing you Option A Trial Course A Mere 2,000 yen (Tax Excluded) Outside Offer Period: 3,980 yen Option B Serious Course A Mere 5,000 yen (Tax Excluded) Outside of Offer Period: 8,980 Recommended Option C All-Out Course A Mere 12,000 yen (Tax Excluded) Outside of Offer Period: 19,880 yen Refer us to a friend now and get an extra 5 reduc tion!! Also get an add-on exorcism for 20 off!!\Behold, Reigen Arataka's elegant special moves! Salt Splash Banishing Salt Punch Aroma Runaway Express\Essence of Life Draft response:	Low Carbs
context: Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Executing the Exorcism!! We will do our best to reduce the spirit possessing you Option A Trial Course A Mere 2,000 yen (Tax Excluded) Outside Offer Period: 3,980 yen Option B Serious Course A Mere 5,000 yen (Tax Excluded) Outside of Offer Period: 8,980 Recommended Option C All-Out Course A Mere 12,000 yen (Tax Excluded) Outside of Offer Period: 19,880 yen Refer us to a friend now and get an extra 5 reduc tion!! Also get an add-on exorcism for 20 off!!\Behold, Reigen Arataka's elegant special moves! Salt Splash Banishing Salt Punch Aroma Runaway Express\Essence of Life Draft\Low Carbs response:	But that also meant
context: Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Executing the Exorcism!! We will do our best to reduce the spirit possessing you Option A Trial Course A Mere 2,000 yen (Tax Excluded) Outside Offer Period: 3,980 yen Option B Serious Course A Mere 5,000 yen (Tax Excluded) Outside of Offer Period: 8,980 Recommended Option C All-Out Course A Mere 12,000 yen (Tax Excluded) Outside of Offer Period: 19,880 yen Refer us to a friend now and get an extra 5 reduc tion!! Also get an add-on exorcism for 20 off!!\Behold, Reigen Arataka's elegant special moves! Salt Splash Banishing Salt Punch Aroma Runaway Express\Essence of Life Draft\Low Carbs\But that also meant response:	that some of the requests coming in
context: Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Executing the Exorcism!! We will do our best to reduce the spirit possessing you Option A Trial Course A Mere 2,000 yen (Tax Excluded) Outside Offer Period: 3,980 yen Option B Serious Course A Mere 5,000 yen (Tax Excluded) Outside of Offer Period: 8,980 Recommended Option C All-Out Course A Mere 12,000 yen (Tax Excluded) Outside of Offer Period: 19,880 yen Refer us to a friend now and get an extra 5 reduc tion!! Also get an add-on exorcism for 20 off!!\Behold, Reigen Arataka's elegant special moves! Salt Splash Banishing Salt Punch Aroma Runaway Express\Essence of Life Draft\Low Carbs\But that also meant\that some of the requests coming in response:	were the kind that could never be taken on.
context: Your stiff shoulders may be due to a spirit on your back... See us when you're not feeling well or for modern sicknesses\Executing the Exorcism!! We will do our best to reduce the spirit possessing you Option A Trial Course A Mere 2,000 yen (Tax Excluded) Outside Offer Period: 3,980 yen Option B Serious Course A Mere 5,000 yen (Tax Excluded) Outside of Offer Period: 8,980 Recommended Option C All-Out Course A Mere 12,000 yen (Tax Excluded) Outside of Offer Period: 19,880 yen Refer us to a friend now and get an extra 5 reduc tion!! Also get an add-on exorcism for 20 off!!\Behold, Reigen Arataka's elegant special moves! Salt Splash Banishing Salt Punch Aroma Runaway Express\Essence of Life Draft\Low Carbs\But that also meant\that some of the requests coming in\were the kind that could never be taken on. response:	Mob Psycho
context: Executing the Exorcism!! We will do our best to reduce the spirit possessing you Option A Trial Course A Mere 2,000 yen (Tax Excluded) Outside Offer Period: 3,980 yen Option B Serious Course A Mere 5,000 yen (Tax Excluded) Outside of Offer Period: 8,980 Recommended Option C All-Out Course A Mere 12,000 yen (Tax Excluded) Outside of Offer Period: 19,880 yen Refer us to a friend now and get an extra 5 reduc tion!! Also get an add-on exorcism for 20 off!!\Behold, Reigen Arataka's elegant special moves! Salt Splash Banishing Salt Punch Aroma Runaway Express\Essence of Life Draft\Low Carbs\But that also meant\that some of the requests coming in\were the kind that could never be taken on.\Mob Psycho response:	One Danger After Another Degeneration
context: Behold, Reigen Arataka's elegant special moves! Salt Splash Banishing Salt Punch Aroma Runaway Express\Essence of Life Draft\Low Carbs\But that also meant\that some of the requests coming in\were the kind that could never be taken on.\Mob Psycho\One Danger After Another Degeneration response:	Again...
context: Essence of Life Draft\Low Carbs\But that also meant\that some of the requests coming in\were the kind that could never be taken on.\Mob Psycho\One Danger After Another Degeneration\Again... response:	No matter how many times you ask, I'm not going to curse anyone for you.
context: Low Carbs\But that also meant\that some of the requests coming in\were the kind that could never be taken on.\Mob Psycho\One Danger After Another Degeneration\Again...\No matter how many times you ask, I'm not going to curse anyone for you. response:	Please leave.
context: But that also meant\that some of the requests coming in\were the kind that could never be taken on.\Mob Psycho\One Danger After Another Degeneration\Again...\No matter how many times you ask, I'm not going to curse anyone for you.\Please leave. response:	But you're a psychic, right? Come on, don't be so spoilsport.
context: that some of the requests coming in\were the kind that could never be taken on.\Mob Psycho\One Danger After Another Degeneration\Again...\No matter how many times you ask, I'm not going to curse anyone for you.\Please leave.\But you're a psychic, right? Come on, don't be so spoilsport. response:	I'm begging you. Curse this guy for me.
context: were the kind that could never be taken on.\Mob Psycho\One Danger After Another Degeneration\Again...\No matter how many times you ask, I'm not going to curse anyone for you.\Please leave.\But you're a psychic, right? Come on, don't be so spoilsport.\I'm begging you. Curse this guy for me. response:	I'm afraid I can't.
context: Mob Psycho\One Danger After Another Degeneration\Again...\No matter how many times you ask, I'm not going to curse anyone for you.\Please leave.\But you're a psychic, right? Come on, don't be so spoilsport.\I'm begging you. Curse this guy for me.\I'm afraid I can't. response:	You can't be serious! I traveled really far to come see you!
context: One Danger After Another Degeneration\Again...\No matter how many times you ask, I'm not going to curse anyone for you.\Please leave.\But you're a psychic, right? Come on, don't be so spoilsport.\I'm begging you. Curse this guy for me.\I'm afraid I can't.\You can't be serious! I traveled really far to come see you! response:	Nobody asked you to.
context: Again...\No matter how many times you ask, I'm not going to curse anyone for you.\Please leave.\But you're a psychic, right? Come on, don't be so spoilsport.\I'm begging you. Curse this guy for me.\I'm afraid I can't.\You can't be serious! I traveled really far to come see you!\Nobody asked you to. response:	What? Is that how you talk to a customer?!
context: No matter how many times you ask, I'm not going to curse anyone for you.\Please leave.\But you're a psychic, right? Come on, don't be so spoilsport.\I'm begging you. Curse this guy for me.\I'm afraid I can't.\You can't be serious! I traveled really far to come see you!\Nobody asked you to.\What? Is that how you talk to a customer?! response:	Are they going to fight?
context: Please leave.\But you're a psychic, right? Come on, don't be so spoilsport.\I'm begging you. Curse this guy for me.\I'm afraid I can't.\You can't be serious! I traveled really far to come see you!\Nobody asked you to.\What? Is that how you talk to a customer?!\Are they going to fight? response:	All right, all right! Fine, I'll do it.
