context: Bam! response:	Whoa!
context: Say something, Haruhiro.\Hm?\Oh... right.\Did you guys all sleep okay last night?\What the heck is that?\Yup. Nice and soundly.\Yeah.\When I opened my eyes, it was morning. response:	It's always like that, though.
context: Hm?\Oh... right.\Did you guys all sleep okay last night?\What the heck is that?\Yup. Nice and soundly.\Yeah.\When I opened my eyes, it was morning.\It's always like that, though. response:	Man, enough of this.
context: Oh... right.\Did you guys all sleep okay last night?\What the heck is that?\Yup. Nice and soundly.\Yeah.\When I opened my eyes, it was morning.\It's always like that, though.\Man, enough of this. response:	I didn't sleep that well.
context: Did you guys all sleep okay last night?\What the heck is that?\Yup. Nice and soundly.\Yeah.\When I opened my eyes, it was morning.\It's always like that, though.\Man, enough of this.\I didn't sleep that well. response:	Me neither.
context: What the heck is that?\Yup. Nice and soundly.\Yeah.\When I opened my eyes, it was morning.\It's always like that, though.\Man, enough of this.\I didn't sleep that well.\Me neither. response:	I was actually thinking about Manato.
context: Yup. Nice and soundly.\Yeah.\When I opened my eyes, it was morning.\It's always like that, though.\Man, enough of this.\I didn't sleep that well.\Me neither.\I was actually thinking about Manato. response:	I have a question... Haru.
context: Yeah.\When I opened my eyes, it was morning.\It's always like that, though.\Man, enough of this.\I didn't sleep that well.\Me neither.\I was actually thinking about Manato.\I have a question... Haru. response:	Haru ?!
context: When I opened my eyes, it was morning.\It's always like that, though.\Man, enough of this.\I didn't sleep that well.\Me neither.\I was actually thinking about Manato.\I have a question... Haru.\Haru ?! response:	Are you calm right now?
context: It's always like that, though.\Man, enough of this.\I didn't sleep that well.\Me neither.\I was actually thinking about Manato.\I have a question... Haru.\Haru ?!\Are you calm right now? response:	If I were on my own, and I knew I could avenge Manato...
context: Man, enough of this.\I didn't sleep that well.\Me neither.\I was actually thinking about Manato.\I have a question... Haru.\Haru ?!\Are you calm right now?\If I were on my own, and I knew I could avenge Manato... response:	It doesn't seem like me, huh.
context: I didn't sleep that well.\Me neither.\I was actually thinking about Manato.\I have a question... Haru.\Haru ?!\Are you calm right now?\If I were on my own, and I knew I could avenge Manato...\It doesn't seem like me, huh. response:	That's not... true.
context: Me neither.\I was actually thinking about Manato.\I have a question... Haru.\Haru ?!\Are you calm right now?\If I were on my own, and I knew I could avenge Manato...\It doesn't seem like me, huh.\That's not... true. response:	You're not alone, though.
context: I was actually thinking about Manato.\I have a question... Haru.\Haru ?!\Are you calm right now?\If I were on my own, and I knew I could avenge Manato...\It doesn't seem like me, huh.\That's not... true.\You're not alone, though. response:	Yeah.
context: I have a question... Haru.\Haru ?!\Are you calm right now?\If I were on my own, and I knew I could avenge Manato...\It doesn't seem like me, huh.\That's not... true.\You're not alone, though.\Yeah. response:	I'm not alone.
context: Haru ?!\Are you calm right now?\If I were on my own, and I knew I could avenge Manato...\It doesn't seem like me, huh.\That's not... true.\You're not alone, though.\Yeah.\I'm not alone. response:	You guys are here, and I'm here.
context: Are you calm right now?\If I were on my own, and I knew I could avenge Manato...\It doesn't seem like me, huh.\That's not... true.\You're not alone, though.\Yeah.\I'm not alone.\You guys are here, and I'm here. response:	So let's get out of here alive.
context: If I were on my own, and I knew I could avenge Manato...\It doesn't seem like me, huh.\That's not... true.\You're not alone, though.\Yeah.\I'm not alone.\You guys are here, and I'm here.\So let's get out of here alive. response:	Hey, hello? Haru ?
context: It doesn't seem like me, huh.\That's not... true.\You're not alone, though.\Yeah.\I'm not alone.\You guys are here, and I'm here.\So let's get out of here alive.\Hey, hello? Haru ? response:	Ranta, shush.
context: That's not... true.\You're not alone, though.\Yeah.\I'm not alone.\You guys are here, and I'm here.\So let's get out of here alive.\Hey, hello? Haru ?\Ranta, shush. response:	That day, we let Manato die.
context: You're not alone, though.\Yeah.\I'm not alone.\You guys are here, and I'm here.\So let's get out of here alive.\Hey, hello? Haru ?\Ranta, shush.\That day, we let Manato die. response:	I don't think I'll ever forget that pain.
context: Yeah.\I'm not alone.\You guys are here, and I'm here.\So let's get out of here alive.\Hey, hello? Haru ?\Ranta, shush.\That day, we let Manato die.\I don't think I'll ever forget that pain. response:	So we all have to get out of here alive.
context: I'm not alone.\You guys are here, and I'm here.\So let's get out of here alive.\Hey, hello? Haru ?\Ranta, shush.\That day, we let Manato die.\I don't think I'll ever forget that pain.\So we all have to get out of here alive. response:	We have everyone here now, and we have Merry, too.
context: You guys are here, and I'm here.\So let's get out of here alive.\Hey, hello? Haru ?\Ranta, shush.\That day, we let Manato die.\I don't think I'll ever forget that pain.\So we all have to get out of here alive.\We have everyone here now, and we have Merry, too. response:	I'm a Priest who let my friends die.
context: So let's get out of here alive.\Hey, hello? Haru ?\Ranta, shush.\That day, we let Manato die.\I don't think I'll ever forget that pain.\So we all have to get out of here alive.\We have everyone here now, and we have Merry, too.\I'm a Priest who let my friends die. response:	And we let our Priest die.
context: Hey, hello? Haru ?\Ranta, shush.\That day, we let Manato die.\I don't think I'll ever forget that pain.\So we all have to get out of here alive.\We have everyone here now, and we have Merry, too.\I'm a Priest who let my friends die.\And we let our Priest die. response:	So we won't let anyone else die.
context: Ranta, shush.\That day, we let Manato die.\I don't think I'll ever forget that pain.\So we all have to get out of here alive.\We have everyone here now, and we have Merry, too.\I'm a Priest who let my friends die.\And we let our Priest die.\So we won't let anyone else die. response:	Merry, you feel the same way, right?
context: That day, we let Manato die.\I don't think I'll ever forget that pain.\So we all have to get out of here alive.\We have everyone here now, and we have Merry, too.\I'm a Priest who let my friends die.\And we let our Priest die.\So we won't let anyone else die.\Merry, you feel the same way, right? response:	Okay.
context: I don't think I'll ever forget that pain.\So we all have to get out of here alive.\We have everyone here now, and we have Merry, too.\I'm a Priest who let my friends die.\And we let our Priest die.\So we won't let anyone else die.\Merry, you feel the same way, right?\Okay. response:	I will protect all of you.
context: So we all have to get out of here alive.\We have everyone here now, and we have Merry, too.\I'm a Priest who let my friends die.\And we let our Priest die.\So we won't let anyone else die.\Merry, you feel the same way, right?\Okay.\I will protect all of you. response:	I will never let another friend die.
context: We have everyone here now, and we have Merry, too.\I'm a Priest who let my friends die.\And we let our Priest die.\So we won't let anyone else die.\Merry, you feel the same way, right?\Okay.\I will protect all of you.\I will never let another friend die. response:	Fight!
context: I'm a Priest who let my friends die.\And we let our Priest die.\So we won't let anyone else die.\Merry, you feel the same way, right?\Okay.\I will protect all of you.\I will never let another friend die.\Fight! response:	Go all... out?
context: And we let our Priest die.\So we won't let anyone else die.\Merry, you feel the same way, right?\Okay.\I will protect all of you.\I will never let another friend die.\Fight!\Go all... out? response:	Go all out!
context: So we won't let anyone else die.\Merry, you feel the same way, right?\Okay.\I will protect all of you.\I will never let another friend die.\Fight!\Go all... out?\Go all out! response:	So, what with this Haru thing?
context: Merry, you feel the same way, right?\Okay.\I will protect all of you.\I will never let another friend die.\Fight!\Go all... out?\Go all out!\So, what with this Haru thing? response:	Huh?
context: Okay.\I will protect all of you.\I will never let another friend die.\Fight!\Go all... out?\Go all out!\So, what with this Haru thing?\Huh? response:	She was calling you that.
context: I will protect all of you.\I will never let another friend die.\Fight!\Go all... out?\Go all out!\So, what with this Haru thing?\Huh?\She was calling you that. response:	Who was?
context: I will never let another friend die.\Fight!\Go all... out?\Go all out!\So, what with this Haru thing?\Huh?\She was calling you that.\Who was? response:	What, you didn't notice?
context: Fight!\Go all... out?\Go all out!\So, what with this Haru thing?\Huh?\She was calling you that.\Who was?\What, you didn't notice? response:	Repeating a yesterday filled with scrapes,
context: Go all... out?\Go all out!\So, what with this Haru thing?\Huh?\She was calling you that.\Who was?\What, you didn't notice?\Repeating a yesterday filled with scrapes, response:	We clear the path to a hopeful tomorrow.
context: Go all out!\So, what with this Haru thing?\Huh?\She was calling you that.\Who was?\What, you didn't notice?\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow. response:	I wonder what remains
context: So, what with this Haru thing?\Huh?\She was calling you that.\Who was?\What, you didn't notice?\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains response:	in both these tiny hands?
context: Huh?\She was calling you that.\Who was?\What, you didn't notice?\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands? response:	The voice I raised upwards scattered into the air.
context: She was calling you that.\Who was?\What, you didn't notice?\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air. response:	The reality I've gamed is hazy,
context: Who was?\What, you didn't notice?\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy, response:	and even if I can't see ahead of me,
context: What, you didn't notice?\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me, response:	I can keep moving forward on this long road
context: Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road response:	if I'm with you.
context: We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you. response:	Connecting a bond covered in dust,
context: I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust, response:	We join back to back in the past and future.
context: in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future. response:	Repeating an answer full of mistakes,
context: The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes, response:	I will reach out my hands to seek the light, again and again.
context: The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again. response:	Got ya!
context: and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Got ya! response:	All clear.
context: I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Got ya!\All clear. response:	Here, too.
context: if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Got ya!\All clear.\Here, too. response:	Okay. To the stairs.
context: Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Got ya!\All clear.\Here, too.\Okay. To the stairs. response:	Hatred!
context: We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Got ya!\All clear.\Here, too.\Okay. To the stairs.\Hatred! response:	Thanks!
context: Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\Got ya!\All clear.\Here, too.\Okay. To the stairs.\Hatred!\Thanks! response:	To the top! Quickly!
context: I will reach out my hands to seek the light, again and again.\Got ya!\All clear.\Here, too.\Okay. To the stairs.\Hatred!\Thanks!\To the top! Quickly! response:	Did I get him?
context: Got ya!\All clear.\Here, too.\Okay. To the stairs.\Hatred!\Thanks!\To the top! Quickly!\Did I get him? response:	No, not yet.
context: All clear.\Here, too.\Okay. To the stairs.\Hatred!\Thanks!\To the top! Quickly!\Did I get him?\No, not yet. response:	He's coming!
context: Here, too.\Okay. To the stairs.\Hatred!\Thanks!\To the top! Quickly!\Did I get him?\No, not yet.\He's coming! response:	Exhaust!
context: Okay. To the stairs.\Hatred!\Thanks!\To the top! Quickly!\Did I get him?\No, not yet.\He's coming!\Exhaust! response:	Come on!
context: Hatred!\Thanks!\To the top! Quickly!\Did I get him?\No, not yet.\He's coming!\Exhaust!\Come on! response:	Huh?
context: Thanks!\To the top! Quickly!\Did I get him?\No, not yet.\He's coming!\Exhaust!\Come on!\Huh? response:	Why aren't they coming after me?
context: To the top! Quickly!\Did I get him?\No, not yet.\He's coming!\Exhaust!\Come on!\Huh?\Why aren't they coming after me? response:	'Cause you're too obvious!
context: Did I get him?\No, not yet.\He's coming!\Exhaust!\Come on!\Huh?\Why aren't they coming after me?\'Cause you're too obvious! response:	These guys know how humans fight.
context: No, not yet.\He's coming!\Exhaust!\Come on!\Huh?\Why aren't they coming after me?\'Cause you're too obvious!\These guys know how humans fight. response:	Om, Rel, Ect, Krom, Dash!
context: He's coming!\Exhaust!\Come on!\Huh?\Why aren't they coming after me?\'Cause you're too obvious!\These guys know how humans fight.\Om, Rel, Ect, Krom, Dash! response:	They understand our magic, too.
context: Exhaust!\Come on!\Huh?\Why aren't they coming after me?\'Cause you're too obvious!\These guys know how humans fight.\Om, Rel, Ect, Krom, Dash!\They understand our magic, too. response:	You bastard, you won't get away for hurting Yume!
context: Come on!\Huh?\Why aren't they coming after me?\'Cause you're too obvious!\These guys know how humans fight.\Om, Rel, Ect, Krom, Dash!\They understand our magic, too.\You bastard, you won't get away for hurting Yume! response:	It'll be hard on my own!
context: Huh?\Why aren't they coming after me?\'Cause you're too obvious!\These guys know how humans fight.\Om, Rel, Ect, Krom, Dash!\They understand our magic, too.\You bastard, you won't get away for hurting Yume!\It'll be hard on my own! response:	Haru!
context: Why aren't they coming after me?\'Cause you're too obvious!\These guys know how humans fight.\Om, Rel, Ect, Krom, Dash!\They understand our magic, too.\You bastard, you won't get away for hurting Yume!\It'll be hard on my own!\Haru! response:	Switch!
context: 'Cause you're too obvious!\These guys know how humans fight.\Om, Rel, Ect, Krom, Dash!\They understand our magic, too.\You bastard, you won't get away for hurting Yume!\It'll be hard on my own!\Haru!\Switch! response:	Haru?!
context: These guys know how humans fight.\Om, Rel, Ect, Krom, Dash!\They understand our magic, too.\You bastard, you won't get away for hurting Yume!\It'll be hard on my own!\Haru!\Switch!\Haru?! response:	I-I'm okay.
context: Om, Rel, Ect, Krom, Dash!\They understand our magic, too.\You bastard, you won't get away for hurting Yume!\It'll be hard on my own!\Haru!\Switch!\Haru?!\I-I'm okay. response:	O light, return to Lumiaris' divine protection. Heal!
context: They understand our magic, too.\You bastard, you won't get away for hurting Yume!\It'll be hard on my own!\Haru!\Switch!\Haru?!\I-I'm okay.\O light, return to Lumiaris' divine protection. Heal! response:	He got away.
context: You bastard, you won't get away for hurting Yume!\It'll be hard on my own!\Haru!\Switch!\Haru?!\I-I'm okay.\O light, return to Lumiaris' divine protection. Heal!\He got away. response:	Give me a hand here! Hurry!
context: It'll be hard on my own!\Haru!\Switch!\Haru?!\I-I'm okay.\O light, return to Lumiaris' divine protection. Heal!\He got away.\Give me a hand here! Hurry! response:	This is nothing!
context: Haru!\Switch!\Haru?!\I-I'm okay.\O light, return to Lumiaris' divine protection. Heal!\He got away.\Give me a hand here! Hurry!\This is nothing! response:	Nothing, I tell you!
context: Switch!\Haru?!\I-I'm okay.\O light, return to Lumiaris' divine protection. Heal!\He got away.\Give me a hand here! Hurry!\This is nothing!\Nothing, I tell you! response:	I'm as tough as can be!
context: Haru?!\I-I'm okay.\O light, return to Lumiaris' divine protection. Heal!\He got away.\Give me a hand here! Hurry!\This is nothing!\Nothing, I tell you!\I'm as tough as can be! response:	He seems like a different person.
context: I-I'm okay.\O light, return to Lumiaris' divine protection. Heal!\He got away.\Give me a hand here! Hurry!\This is nothing!\Nothing, I tell you!\I'm as tough as can be!\He seems like a different person. response:	Om, Rel, Ect, Well, Dash!
context: O light, return to Lumiaris' divine protection. Heal!\He got away.\Give me a hand here! Hurry!\This is nothing!\Nothing, I tell you!\I'm as tough as can be!\He seems like a different person.\Om, Rel, Ect, Well, Dash! response:	O light, return to Lumiaris' divine protection. Heal!
context: He got away.\Give me a hand here! Hurry!\This is nothing!\Nothing, I tell you!\I'm as tough as can be!\He seems like a different person.\Om, Rel, Ect, Well, Dash!\O light, return to Lumiaris' divine protection. Heal! response:	Om, Rel, Ect, Well, Dash!
context: Give me a hand here! Hurry!\This is nothing!\Nothing, I tell you!\I'm as tough as can be!\He seems like a different person.\Om, Rel, Ect, Well, Dash!\O light, return to Lumiaris' divine protection. Heal!\Om, Rel, Ect, Well, Dash! response:	Thanks!!
context: This is nothing!\Nothing, I tell you!\I'm as tough as can be!\He seems like a different person.\Om, Rel, Ect, Well, Dash!\O light, return to Lumiaris' divine protection. Heal!\Om, Rel, Ect, Well, Dash!\Thanks!! response:	Anger!
context: Nothing, I tell you!\I'm as tough as can be!\He seems like a different person.\Om, Rel, Ect, Well, Dash!\O light, return to Lumiaris' divine protection. Heal!\Om, Rel, Ect, Well, Dash!\Thanks!!\Anger! response:	All right!
context: I'm as tough as can be!\He seems like a different person.\Om, Rel, Ect, Well, Dash!\O light, return to Lumiaris' divine protection. Heal!\Om, Rel, Ect, Well, Dash!\Thanks!!\Anger!\All right! response:	Don't scare me like that.
context: He seems like a different person.\Om, Rel, Ect, Well, Dash!\O light, return to Lumiaris' divine protection. Heal!\Om, Rel, Ect, Well, Dash!\Thanks!!\Anger!\All right!\Don't scare me like that. response:	I-I thought I could get him if I got closer.
context: Om, Rel, Ect, Well, Dash!\O light, return to Lumiaris' divine protection. Heal!\Om, Rel, Ect, Well, Dash!\Thanks!!\Anger!\All right!\Don't scare me like that.\I-I thought I could get him if I got closer. response:	That was so reckless!
context: O light, return to Lumiaris' divine protection. Heal!\Om, Rel, Ect, Well, Dash!\Thanks!!\Anger!\All right!\Don't scare me like that.\I-I thought I could get him if I got closer.\That was so reckless! response:	But good job.
context: Om, Rel, Ect, Well, Dash!\Thanks!!\Anger!\All right!\Don't scare me like that.\I-I thought I could get him if I got closer.\That was so reckless!\But good job. response:	All right, just a little more.
context: Thanks!!\Anger!\All right!\Don't scare me like that.\I-I thought I could get him if I got closer.\That was so reckless!\But good job.\All right, just a little more. response:	Let's show them that what we've done so far wasn't for nothing!
context: Anger!\All right!\Don't scare me like that.\I-I thought I could get him if I got closer.\That was so reckless!\But good job.\All right, just a little more.\Let's show them that what we've done so far wasn't for nothing! response:	He's barely alive.
context: All right!\Don't scare me like that.\I-I thought I could get him if I got closer.\That was so reckless!\But good job.\All right, just a little more.\Let's show them that what we've done so far wasn't for nothing!\He's barely alive. response:	It's kill or be killed, no offense.
context: Don't scare me like that.\I-I thought I could get him if I got closer.\That was so reckless!\But good job.\All right, just a little more.\Let's show them that what we've done so far wasn't for nothing!\He's barely alive.\It's kill or be killed, no offense. response:	Merry!
context: I-I thought I could get him if I got closer.\That was so reckless!\But good job.\All right, just a little more.\Let's show them that what we've done so far wasn't for nothing!\He's barely alive.\It's kill or be killed, no offense.\Merry! response:	Damn it!
context: That was so reckless!\But good job.\All right, just a little more.\Let's show them that what we've done so far wasn't for nothing!\He's barely alive.\It's kill or be killed, no offense.\Merry!\Damn it! response:	No, this can't be happening!
context: But good job.\All right, just a little more.\Let's show them that what we've done so far wasn't for nothing!\He's barely alive.\It's kill or be killed, no offense.\Merry!\Damn it!\No, this can't be happening! response:	This is just like how Manato... damn it!
context: All right, just a little more.\Let's show them that what we've done so far wasn't for nothing!\He's barely alive.\It's kill or be killed, no offense.\Merry!\Damn it!\No, this can't be happening!\This is just like how Manato... damn it! response:	Damn it!
context: Let's show them that what we've done so far wasn't for nothing!\He's barely alive.\It's kill or be killed, no offense.\Merry!\Damn it!\No, this can't be happening!\This is just like how Manato... damn it!\Damn it! response:	Ranta!
context: He's barely alive.\It's kill or be killed, no offense.\Merry!\Damn it!\No, this can't be happening!\This is just like how Manato... damn it!\Damn it!\Ranta! response:	Did we get him?
context: It's kill or be killed, no offense.\Merry!\Damn it!\No, this can't be happening!\This is just like how Manato... damn it!\Damn it!\Ranta!\Did we get him? response:	Get down here, you bastard!
context: Merry!\Damn it!\No, this can't be happening!\This is just like how Manato... damn it!\Damn it!\Ranta!\Did we get him?\Get down here, you bastard! response:	Merry? Merry!
context: Damn it!\No, this can't be happening!\This is just like how Manato... damn it!\Damn it!\Ranta!\Did we get him?\Get down here, you bastard!\Merry? Merry! response:	Merry!
context: No, this can't be happening!\This is just like how Manato... damn it!\Damn it!\Ranta!\Did we get him?\Get down here, you bastard!\Merry? Merry!\Merry! response:	Sorry... tend to the wound.
context: This is just like how Manato... damn it!\Damn it!\Ranta!\Did we get him?\Get down here, you bastard!\Merry? Merry!\Merry!\Sorry... tend to the wound. response:	Just... hurts more than I thought.
context: Damn it!\Ranta!\Did we get him?\Get down here, you bastard!\Merry? Merry!\Merry!\Sorry... tend to the wound.\Just... hurts more than I thought. response:	Get back here, damn it!
context: Ranta!\Did we get him?\Get down here, you bastard!\Merry? Merry!\Merry!\Sorry... tend to the wound.\Just... hurts more than I thought.\Get back here, damn it! response:	I'll go.
context: Did we get him?\Get down here, you bastard!\Merry? Merry!\Merry!\Sorry... tend to the wound.\Just... hurts more than I thought.\Get back here, damn it!\I'll go. response:	He's on the rooftop, though!
context: Get down here, you bastard!\Merry? Merry!\Merry!\Sorry... tend to the wound.\Just... hurts more than I thought.\Get back here, damn it!\I'll go.\He's on the rooftop, though! response:	I can get up there.
context: Merry? Merry!\Merry!\Sorry... tend to the wound.\Just... hurts more than I thought.\Get back here, damn it!\I'll go.\He's on the rooftop, though!\I can get up there. response:	That dagger!
context: Merry!\Sorry... tend to the wound.\Just... hurts more than I thought.\Get back here, damn it!\I'll go.\He's on the rooftop, though!\I can get up there.\That dagger! response:	It was you!
context: Sorry... tend to the wound.\Just... hurts more than I thought.\Get back here, damn it!\I'll go.\He's on the rooftop, though!\I can get up there.\That dagger!\It was you! response:	Haru-kun!
context: Just... hurts more than I thought.\Get back here, damn it!\I'll go.\He's on the rooftop, though!\I can get up there.\That dagger!\It was you!\Haru-kun! response:	Thanks, Yume.
context: Get back here, damn it!\I'll go.\He's on the rooftop, though!\I can get up there.\That dagger!\It was you!\Haru-kun!\Thanks, Yume. response:	I'd been thinking this whole time about what to say to him once this day came.
context: I'll go.\He's on the rooftop, though!\I can get up there.\That dagger!\It was you!\Haru-kun!\Thanks, Yume.\I'd been thinking this whole time about what to say to him once this day came. response:	It seems like we spent a long time together...
context: He's on the rooftop, though!\I can get up there.\That dagger!\It was you!\Haru-kun!\Thanks, Yume.\I'd been thinking this whole time about what to say to him once this day came.\It seems like we spent a long time together... response:	It was actually pretty short.
context: I can get up there.\That dagger!\It was you!\Haru-kun!\Thanks, Yume.\I'd been thinking this whole time about what to say to him once this day came.\It seems like we spent a long time together...\It was actually pretty short. response:	Too short.
context: That dagger!\It was you!\Haru-kun!\Thanks, Yume.\I'd been thinking this whole time about what to say to him once this day came.\It seems like we spent a long time together...\It was actually pretty short.\Too short. response:	So I kind of know, but I kind of don't know what I want to say.
context: It was you!\Haru-kun!\Thanks, Yume.\I'd been thinking this whole time about what to say to him once this day came.\It seems like we spent a long time together...\It was actually pretty short.\Too short.\So I kind of know, but I kind of don't know what I want to say. response:	He was friendly, easy to talk to, and smart.
context: Haru-kun!\Thanks, Yume.\I'd been thinking this whole time about what to say to him once this day came.\It seems like we spent a long time together...\It was actually pretty short.\Too short.\So I kind of know, but I kind of don't know what I want to say.\He was friendly, easy to talk to, and smart. response:	He could do anything and was reliable.
context: Thanks, Yume.\I'd been thinking this whole time about what to say to him once this day came.\It seems like we spent a long time together...\It was actually pretty short.\Too short.\So I kind of know, but I kind of don't know what I want to say.\He was friendly, easy to talk to, and smart.\He could do anything and was reliable. response:	I thought he was perfect.
context: I'd been thinking this whole time about what to say to him once this day came.\It seems like we spent a long time together...\It was actually pretty short.\Too short.\So I kind of know, but I kind of don't know what I want to say.\He was friendly, easy to talk to, and smart.\He could do anything and was reliable.\I thought he was perfect. response:	But maybe I just didn't realize what his faults were.
