context: Eat it! response:	Why would you do that to me?!
context: What does cake really taste like?\It's so nasty, it makes me want to puke, so I can't tell,\but it's something that humans enjoy eating, isn't it?\What was it like, living a peaceful life?\One where you didn't need to live in fear of CCG and other ghouls?\Everything has sucked? Come off it.\Does that mean that everything since I was born has sucked?\Well, buddy? Tell me! response:	Tell me, oh tell me, the way it works
context: It's so nasty, it makes me want to puke, so I can't tell,\but it's something that humans enjoy eating, isn't it?\What was it like, living a peaceful life?\One where you didn't need to live in fear of CCG and other ghouls?\Everything has sucked? Come off it.\Does that mean that everything since I was born has sucked?\Well, buddy? Tell me!\Tell me, oh tell me, the way it works response:	Who is that inside of me?
context: but it's something that humans enjoy eating, isn't it?\What was it like, living a peaceful life?\One where you didn't need to live in fear of CCG and other ghouls?\Everything has sucked? Come off it.\Does that mean that everything since I was born has sucked?\Well, buddy? Tell me!\Tell me, oh tell me, the way it works\Who is that inside of me? response:	Here in this broken-down, broken-down world,
context: What was it like, living a peaceful life?\One where you didn't need to live in fear of CCG and other ghouls?\Everything has sucked? Come off it.\Does that mean that everything since I was born has sucked?\Well, buddy? Tell me!\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world, response:	you laugh, without seeing a thing
context: One where you didn't need to live in fear of CCG and other ghouls?\Everything has sucked? Come off it.\Does that mean that everything since I was born has sucked?\Well, buddy? Tell me!\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing response:	I'm just so damaged, I hold my breath and freeze
context: Everything has sucked? Come off it.\Does that mean that everything since I was born has sucked?\Well, buddy? Tell me!\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze response:	Breakable, unbreakable; shakable, unshakable
context: Does that mean that everything since I was born has sucked?\Well, buddy? Tell me!\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable response:	When I found you, it shook me
context: Well, buddy? Tell me!\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me response:	In this twisted world, I'm gradually growing transparent and vanishing
context: Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing response:	Don't look for me; don't look at me
context: Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me response:	I don't wish to hurt you in a world
context: Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world response:	of someone else's imagining
context: you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining response:	Remember who I am
context: I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am response:	I'm...
context: Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\I'm... response:	I'm human!
context: When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\I'm...\I'm human! response:	You're not a ghoul, that's for sure.
context: In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\I'm...\I'm human!\You're not a ghoul, that's for sure. response:	But you're not human, either.
context: Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\I'm...\I'm human!\You're not a ghoul, that's for sure.\But you're not human, either. response:	There's no place left for a half-and-half like you anywhere now.
context: I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\I'm...\I'm human!\You're not a ghoul, that's for sure.\But you're not human, either.\There's no place left for a half-and-half like you anywhere now. response:	If you want to be human so badly,
context: of someone else's imagining\Remember who I am\I'm...\I'm human!\You're not a ghoul, that's for sure.\But you're not human, either.\There's no place left for a half-and-half like you anywhere now.\If you want to be human so badly, response:	why don't you see how long you can starve?
context: Remember who I am\I'm...\I'm human!\You're not a ghoul, that's for sure.\But you're not human, either.\There's no place left for a half-and-half like you anywhere now.\If you want to be human so badly,\why don't you see how long you can starve? response:	I'll tell you right now,
context: I'm...\I'm human!\You're not a ghoul, that's for sure.\But you're not human, either.\There's no place left for a half-and-half like you anywhere now.\If you want to be human so badly,\why don't you see how long you can starve?\I'll tell you right now, response:	starvation for a ghoul is utter hell.
context: I'm human!\You're not a ghoul, that's for sure.\But you're not human, either.\There's no place left for a half-and-half like you anywhere now.\If you want to be human so badly,\why don't you see how long you can starve?\I'll tell you right now,\starvation for a ghoul is utter hell. response:	Toka, I think that's quite enough.
context: You're not a ghoul, that's for sure.\But you're not human, either.\There's no place left for a half-and-half like you anywhere now.\If you want to be human so badly,\why don't you see how long you can starve?\I'll tell you right now,\starvation for a ghoul is utter hell.\Toka, I think that's quite enough. response:	It must be hard on you, huh? Come with me.
context: But you're not human, either.\There's no place left for a half-and-half like you anywhere now.\If you want to be human so badly,\why don't you see how long you can starve?\I'll tell you right now,\starvation for a ghoul is utter hell.\Toka, I think that's quite enough.\It must be hard on you, huh? Come with me. response:	But sir, why?
context: There's no place left for a half-and-half like you anywhere now.\If you want to be human so badly,\why don't you see how long you can starve?\I'll tell you right now,\starvation for a ghoul is utter hell.\Toka, I think that's quite enough.\It must be hard on you, huh? Come with me.\But sir, why? response:	Toka...
context: If you want to be human so badly,\why don't you see how long you can starve?\I'll tell you right now,\starvation for a ghoul is utter hell.\Toka, I think that's quite enough.\It must be hard on you, huh? Come with me.\But sir, why?\Toka... response:	it's our policy to help out our fellow ghouls.
context: why don't you see how long you can starve?\I'll tell you right now,\starvation for a ghoul is utter hell.\Toka, I think that's quite enough.\It must be hard on you, huh? Come with me.\But sir, why?\Toka...\it's our policy to help out our fellow ghouls. response:	Thank you for waiting.
context: I'll tell you right now,\starvation for a ghoul is utter hell.\Toka, I think that's quite enough.\It must be hard on you, huh? Come with me.\But sir, why?\Toka...\it's our policy to help out our fellow ghouls.\Thank you for waiting. response:	Here you go.
context: starvation for a ghoul is utter hell.\Toka, I think that's quite enough.\It must be hard on you, huh? Come with me.\But sir, why?\Toka...\it's our policy to help out our fellow ghouls.\Thank you for waiting.\Here you go. response:	Do you not like coffee?
context: Toka, I think that's quite enough.\It must be hard on you, huh? Come with me.\But sir, why?\Toka...\it's our policy to help out our fellow ghouls.\Thank you for waiting.\Here you go.\Do you not like coffee? response:	It's not that, but...
context: It must be hard on you, huh? Come with me.\But sir, why?\Toka...\it's our policy to help out our fellow ghouls.\Thank you for waiting.\Here you go.\Do you not like coffee?\It's not that, but... response:	Kaneki, take a good look at this coffee.
context: But sir, why?\Toka...\it's our policy to help out our fellow ghouls.\Thank you for waiting.\Here you go.\Do you not like coffee?\It's not that, but...\Kaneki, take a good look at this coffee. response:	What do you think?
context: Toka...\it's our policy to help out our fellow ghouls.\Thank you for waiting.\Here you go.\Do you not like coffee?\It's not that, but...\Kaneki, take a good look at this coffee.\What do you think? response:	It looks quite delicious.
context: it's our policy to help out our fellow ghouls.\Thank you for waiting.\Here you go.\Do you not like coffee?\It's not that, but...\Kaneki, take a good look at this coffee.\What do you think?\It looks quite delicious. response:	It's regular coffee.
context: Thank you for waiting.\Here you go.\Do you not like coffee?\It's not that, but...\Kaneki, take a good look at this coffee.\What do you think?\It looks quite delicious.\It's regular coffee. response:	It's delicious. This is delicious!
context: Here you go.\Do you not like coffee?\It's not that, but...\Kaneki, take a good look at this coffee.\What do you think?\It looks quite delicious.\It's regular coffee.\It's delicious. This is delicious! response:	But no matter what I eat, it tastes awful...
context: Do you not like coffee?\It's not that, but...\Kaneki, take a good look at this coffee.\What do you think?\It looks quite delicious.\It's regular coffee.\It's delicious. This is delicious!\But no matter what I eat, it tastes awful... response:	Through the ages, coffee is the only thing
context: It's not that, but...\Kaneki, take a good look at this coffee.\What do you think?\It looks quite delicious.\It's regular coffee.\It's delicious. This is delicious!\But no matter what I eat, it tastes awful...\Through the ages, coffee is the only thing response:	that ghouls have been able to enjoy, the way humans do.
context: Kaneki, take a good look at this coffee.\What do you think?\It looks quite delicious.\It's regular coffee.\It's delicious. This is delicious!\But no matter what I eat, it tastes awful...\Through the ages, coffee is the only thing\that ghouls have been able to enjoy, the way humans do. response:	However, we cannot satisfy our hunger by drinking it alone.
context: What do you think?\It looks quite delicious.\It's regular coffee.\It's delicious. This is delicious!\But no matter what I eat, it tastes awful...\Through the ages, coffee is the only thing\that ghouls have been able to enjoy, the way humans do.\However, we cannot satisfy our hunger by drinking it alone. response:	Which is why...
context: It looks quite delicious.\It's regular coffee.\It's delicious. This is delicious!\But no matter what I eat, it tastes awful...\Through the ages, coffee is the only thing\that ghouls have been able to enjoy, the way humans do.\However, we cannot satisfy our hunger by drinking it alone.\Which is why... response:	What is it?
context: It's regular coffee.\It's delicious. This is delicious!\But no matter what I eat, it tastes awful...\Through the ages, coffee is the only thing\that ghouls have been able to enjoy, the way humans do.\However, we cannot satisfy our hunger by drinking it alone.\Which is why...\What is it? response:	When you need more, come on back. You need not hesitate.
context: It's delicious. This is delicious!\But no matter what I eat, it tastes awful...\Through the ages, coffee is the only thing\that ghouls have been able to enjoy, the way humans do.\However, we cannot satisfy our hunger by drinking it alone.\Which is why...\What is it?\When you need more, come on back. You need not hesitate. response:	Sir, why did you help that guy?
context: But no matter what I eat, it tastes awful...\Through the ages, coffee is the only thing\that ghouls have been able to enjoy, the way humans do.\However, we cannot satisfy our hunger by drinking it alone.\Which is why...\What is it?\When you need more, come on back. You need not hesitate.\Sir, why did you help that guy? response:	Toka,
context: Through the ages, coffee is the only thing\that ghouls have been able to enjoy, the way humans do.\However, we cannot satisfy our hunger by drinking it alone.\Which is why...\What is it?\When you need more, come on back. You need not hesitate.\Sir, why did you help that guy?\Toka, response:	a little while ago,
context: that ghouls have been able to enjoy, the way humans do.\However, we cannot satisfy our hunger by drinking it alone.\Which is why...\What is it?\When you need more, come on back. You need not hesitate.\Sir, why did you help that guy?\Toka,\a little while ago, response:	there was a story about an organ transplant on the news, remember?
context: However, we cannot satisfy our hunger by drinking it alone.\Which is why...\What is it?\When you need more, come on back. You need not hesitate.\Sir, why did you help that guy?\Toka,\a little while ago,\there was a story about an organ transplant on the news, remember? response:	Some steel beams fell, and two students were crushed beneath them.
context: Which is why...\What is it?\When you need more, come on back. You need not hesitate.\Sir, why did you help that guy?\Toka,\a little while ago,\there was a story about an organ transplant on the news, remember?\Some steel beams fell, and two students were crushed beneath them. response:	The doctor took it upon himself to transplant the organs
context: What is it?\When you need more, come on back. You need not hesitate.\Sir, why did you help that guy?\Toka,\a little while ago,\there was a story about an organ transplant on the news, remember?\Some steel beams fell, and two students were crushed beneath them.\The doctor took it upon himself to transplant the organs response:	from the deceased girl into the surviving young man's body.
context: When you need more, come on back. You need not hesitate.\Sir, why did you help that guy?\Toka,\a little while ago,\there was a story about an organ transplant on the news, remember?\Some steel beams fell, and two students were crushed beneath them.\The doctor took it upon himself to transplant the organs\from the deceased girl into the surviving young man's body. response:	But the girl that died in that accident was...
context: Sir, why did you help that guy?\Toka,\a little while ago,\there was a story about an organ transplant on the news, remember?\Some steel beams fell, and two students were crushed beneath them.\The doctor took it upon himself to transplant the organs\from the deceased girl into the surviving young man's body.\But the girl that died in that accident was... response:	It was Rize.
context: Toka,\a little while ago,\there was a story about an organ transplant on the news, remember?\Some steel beams fell, and two students were crushed beneath them.\The doctor took it upon himself to transplant the organs\from the deceased girl into the surviving young man's body.\But the girl that died in that accident was...\It was Rize. response:	Then, you don't mean...
context: a little while ago,\there was a story about an organ transplant on the news, remember?\Some steel beams fell, and two students were crushed beneath them.\The doctor took it upon himself to transplant the organs\from the deceased girl into the surviving young man's body.\But the girl that died in that accident was...\It was Rize.\Then, you don't mean... response:	Yes. He is that young man.
context: there was a story about an organ transplant on the news, remember?\Some steel beams fell, and two students were crushed beneath them.\The doctor took it upon himself to transplant the organs\from the deceased girl into the surviving young man's body.\But the girl that died in that accident was...\It was Rize.\Then, you don't mean...\Yes. He is that young man. response:	He has had ghoul organs transplanted into him.
context: Some steel beams fell, and two students were crushed beneath them.\The doctor took it upon himself to transplant the organs\from the deceased girl into the surviving young man's body.\But the girl that died in that accident was...\It was Rize.\Then, you don't mean...\Yes. He is that young man.\He has had ghoul organs transplanted into him. response:	That's preposterous.
context: The doctor took it upon himself to transplant the organs\from the deceased girl into the surviving young man's body.\But the girl that died in that accident was...\It was Rize.\Then, you don't mean...\Yes. He is that young man.\He has had ghoul organs transplanted into him.\That's preposterous. response:	It's the first time I've seen this happen,
context: from the deceased girl into the surviving young man's body.\But the girl that died in that accident was...\It was Rize.\Then, you don't mean...\Yes. He is that young man.\He has had ghoul organs transplanted into him.\That's preposterous.\It's the first time I've seen this happen, response:	but his body may be becoming like ours.
context: But the girl that died in that accident was...\It was Rize.\Then, you don't mean...\Yes. He is that young man.\He has had ghoul organs transplanted into him.\That's preposterous.\It's the first time I've seen this happen,\but his body may be becoming like ours. response:	Flesh... Flesh... Flesh... Flesh...
context: It was Rize.\Then, you don't mean...\Yes. He is that young man.\He has had ghoul organs transplanted into him.\That's preposterous.\It's the first time I've seen this happen,\but his body may be becoming like ours.\Flesh... Flesh... Flesh... Flesh... response:	Flesh... Flesh... Flesh...
context: Then, you don't mean...\Yes. He is that young man.\He has had ghoul organs transplanted into him.\That's preposterous.\It's the first time I've seen this happen,\but his body may be becoming like ours.\Flesh... Flesh... Flesh... Flesh...\Flesh... Flesh... Flesh... response:	Flesh... Flesh... Flesh... Flesh...
context: Yes. He is that young man.\He has had ghoul organs transplanted into him.\That's preposterous.\It's the first time I've seen this happen,\but his body may be becoming like ours.\Flesh... Flesh... Flesh... Flesh...\Flesh... Flesh... Flesh...\Flesh... Flesh... Flesh... Flesh... response:	You're neither a ghoul, nor a human.
context: He has had ghoul organs transplanted into him.\That's preposterous.\It's the first time I've seen this happen,\but his body may be becoming like ours.\Flesh... Flesh... Flesh... Flesh...\Flesh... Flesh... Flesh...\Flesh... Flesh... Flesh... Flesh...\You're neither a ghoul, nor a human. response:	There's no place left for a half-and-half like you anywhere now.
context: That's preposterous.\It's the first time I've seen this happen,\but his body may be becoming like ours.\Flesh... Flesh... Flesh... Flesh...\Flesh... Flesh... Flesh...\Flesh... Flesh... Flesh... Flesh...\You're neither a ghoul, nor a human.\There's no place left for a half-and-half like you anywhere now. response:	Who cares if you're a half-and-half?
context: It's the first time I've seen this happen,\but his body may be becoming like ours.\Flesh... Flesh... Flesh... Flesh...\Flesh... Flesh... Flesh...\Flesh... Flesh... Flesh... Flesh...\You're neither a ghoul, nor a human.\There's no place left for a half-and-half like you anywhere now.\Who cares if you're a half-and-half? response:	Neither a human, nor a ghoul...
context: but his body may be becoming like ours.\Flesh... Flesh... Flesh... Flesh...\Flesh... Flesh... Flesh...\Flesh... Flesh... Flesh... Flesh...\You're neither a ghoul, nor a human.\There's no place left for a half-and-half like you anywhere now.\Who cares if you're a half-and-half?\Neither a human, nor a ghoul... response:	You're still you.
context: Flesh... Flesh... Flesh... Flesh...\Flesh... Flesh... Flesh...\Flesh... Flesh... Flesh... Flesh...\You're neither a ghoul, nor a human.\There's no place left for a half-and-half like you anywhere now.\Who cares if you're a half-and-half?\Neither a human, nor a ghoul...\You're still you. response:	Enjoy being a half-and-half. That delicious flesh is waiting for you.
context: Flesh... Flesh... Flesh...\Flesh... Flesh... Flesh... Flesh...\You're neither a ghoul, nor a human.\There's no place left for a half-and-half like you anywhere now.\Who cares if you're a half-and-half?\Neither a human, nor a ghoul...\You're still you.\Enjoy being a half-and-half. That delicious flesh is waiting for you. response:	It's so delicious, it's tantalizing.
context: Flesh... Flesh... Flesh... Flesh...\You're neither a ghoul, nor a human.\There's no place left for a half-and-half like you anywhere now.\Who cares if you're a half-and-half?\Neither a human, nor a ghoul...\You're still you.\Enjoy being a half-and-half. That delicious flesh is waiting for you.\It's so delicious, it's tantalizing. response:	Once you start eating it, you won't be able to stop.
context: You're neither a ghoul, nor a human.\There's no place left for a half-and-half like you anywhere now.\Who cares if you're a half-and-half?\Neither a human, nor a ghoul...\You're still you.\Enjoy being a half-and-half. That delicious flesh is waiting for you.\It's so delicious, it's tantalizing.\Once you start eating it, you won't be able to stop. response:	It will put any steak to shame.
context: There's no place left for a half-and-half like you anywhere now.\Who cares if you're a half-and-half?\Neither a human, nor a ghoul...\You're still you.\Enjoy being a half-and-half. That delicious flesh is waiting for you.\It's so delicious, it's tantalizing.\Once you start eating it, you won't be able to stop.\It will put any steak to shame. response:	Now, go on. Wolf it down.
context: Who cares if you're a half-and-half?\Neither a human, nor a ghoul...\You're still you.\Enjoy being a half-and-half. That delicious flesh is waiting for you.\It's so delicious, it's tantalizing.\Once you start eating it, you won't be able to stop.\It will put any steak to shame.\Now, go on. Wolf it down. response:	It's prepared extra-specially rare.
context: Neither a human, nor a ghoul...\You're still you.\Enjoy being a half-and-half. That delicious flesh is waiting for you.\It's so delicious, it's tantalizing.\Once you start eating it, you won't be able to stop.\It will put any steak to shame.\Now, go on. Wolf it down.\It's prepared extra-specially rare. response:	New message Hide Sub: You're gonna die alone
context: You're still you.\Enjoy being a half-and-half. That delicious flesh is waiting for you.\It's so delicious, it's tantalizing.\Once you start eating it, you won't be able to stop.\It will put any steak to shame.\Now, go on. Wolf it down.\It's prepared extra-specially rare.\New message Hide Sub: You're gonna die alone response:	Missing you a bunch in Asian History... You need my notes?
context: Enjoy being a half-and-half. That delicious flesh is waiting for you.\It's so delicious, it's tantalizing.\Once you start eating it, you won't be able to stop.\It will put any steak to shame.\Now, go on. Wolf it down.\It's prepared extra-specially rare.\New message Hide Sub: You're gonna die alone\Missing you a bunch in Asian History... You need my notes? response:	Missing you a bunch in Asian History... You need my notes?
context: It's so delicious, it's tantalizing.\Once you start eating it, you won't be able to stop.\It will put any steak to shame.\Now, go on. Wolf it down.\It's prepared extra-specially rare.\New message Hide Sub: You're gonna die alone\Missing you a bunch in Asian History... You need my notes?\Missing you a bunch in Asian History... You need my notes? response:	Hide...
context: Once you start eating it, you won't be able to stop.\It will put any steak to shame.\Now, go on. Wolf it down.\It's prepared extra-specially rare.\New message Hide Sub: You're gonna die alone\Missing you a bunch in Asian History... You need my notes?\Missing you a bunch in Asian History... You need my notes?\Hide... response:	Have you ever been to the sweets shop in front of the station?
context: It will put any steak to shame.\Now, go on. Wolf it down.\It's prepared extra-specially rare.\New message Hide Sub: You're gonna die alone\Missing you a bunch in Asian History... You need my notes?\Missing you a bunch in Asian History... You need my notes?\Hide...\Have you ever been to the sweets shop in front of the station? response:	That place has the tastiest stuff, huh?
context: Now, go on. Wolf it down.\It's prepared extra-specially rare.\New message Hide Sub: You're gonna die alone\Missing you a bunch in Asian History... You need my notes?\Missing you a bunch in Asian History... You need my notes?\Hide...\Have you ever been to the sweets shop in front of the station?\That place has the tastiest stuff, huh? response:	Hey, you, Kaneki! How long are you gonna skip class, you jerk?!
context: It's prepared extra-specially rare.\New message Hide Sub: You're gonna die alone\Missing you a bunch in Asian History... You need my notes?\Missing you a bunch in Asian History... You need my notes?\Hide...\Have you ever been to the sweets shop in front of the station?\That place has the tastiest stuff, huh?\Hey, you, Kaneki! How long are you gonna skip class, you jerk?! response:	Put yourself in my shoes! When rabbits get lonely, they can die!
context: New message Hide Sub: You're gonna die alone\Missing you a bunch in Asian History... You need my notes?\Missing you a bunch in Asian History... You need my notes?\Hide...\Have you ever been to the sweets shop in front of the station?\That place has the tastiest stuff, huh?\Hey, you, Kaneki! How long are you gonna skip class, you jerk?!\Put yourself in my shoes! When rabbits get lonely, they can die! response:	Hide, I'm sorry, I'm sorry.
context: Missing you a bunch in Asian History... You need my notes?\Missing you a bunch in Asian History... You need my notes?\Hide...\Have you ever been to the sweets shop in front of the station?\That place has the tastiest stuff, huh?\Hey, you, Kaneki! How long are you gonna skip class, you jerk?!\Put yourself in my shoes! When rabbits get lonely, they can die!\Hide, I'm sorry, I'm sorry. response:	And what's up with the eye patch? You styling it up?
context: Missing you a bunch in Asian History... You need my notes?\Hide...\Have you ever been to the sweets shop in front of the station?\That place has the tastiest stuff, huh?\Hey, you, Kaneki! How long are you gonna skip class, you jerk?!\Put yourself in my shoes! When rabbits get lonely, they can die!\Hide, I'm sorry, I'm sorry.\And what's up with the eye patch? You styling it up? response:	While you were gone, I was so bored that before I knew it,
context: Hide...\Have you ever been to the sweets shop in front of the station?\That place has the tastiest stuff, huh?\Hey, you, Kaneki! How long are you gonna skip class, you jerk?!\Put yourself in my shoes! When rabbits get lonely, they can die!\Hide, I'm sorry, I'm sorry.\And what's up with the eye patch? You styling it up?\While you were gone, I was so bored that before I knew it, response:	-I'm sorry? Huh? When was it? -I'd joined the school festival planning committee...
context: Have you ever been to the sweets shop in front of the station?\That place has the tastiest stuff, huh?\Hey, you, Kaneki! How long are you gonna skip class, you jerk?!\Put yourself in my shoes! When rabbits get lonely, they can die!\Hide, I'm sorry, I'm sorry.\And what's up with the eye patch? You styling it up?\While you were gone, I was so bored that before I knew it,\-I'm sorry? Huh? When was it? -I'd joined the school festival planning committee... response:	Seems like this happened before once...
context: That place has the tastiest stuff, huh?\Hey, you, Kaneki! How long are you gonna skip class, you jerk?!\Put yourself in my shoes! When rabbits get lonely, they can die!\Hide, I'm sorry, I'm sorry.\And what's up with the eye patch? You styling it up?\While you were gone, I was so bored that before I knew it,\-I'm sorry? Huh? When was it? -I'd joined the school festival planning committee...\Seems like this happened before once... response:	Hey, Kaneki! How long are you gonna stay home?!
context: Hey, you, Kaneki! How long are you gonna skip class, you jerk?!\Put yourself in my shoes! When rabbits get lonely, they can die!\Hide, I'm sorry, I'm sorry.\And what's up with the eye patch? You styling it up?\While you were gone, I was so bored that before I knew it,\-I'm sorry? Huh? When was it? -I'd joined the school festival planning committee...\Seems like this happened before once...\Hey, Kaneki! How long are you gonna stay home?! response:	Do you know how hard it is for me when you stay home like this?!
context: Put yourself in my shoes! When rabbits get lonely, they can die!\Hide, I'm sorry, I'm sorry.\And what's up with the eye patch? You styling it up?\While you were gone, I was so bored that before I knew it,\-I'm sorry? Huh? When was it? -I'd joined the school festival planning committee...\Seems like this happened before once...\Hey, Kaneki! How long are you gonna stay home?!\Do you know how hard it is for me when you stay home like this?! response:	Hey, are you listening to me, Kaneki?
context: Hide, I'm sorry, I'm sorry.\And what's up with the eye patch? You styling it up?\While you were gone, I was so bored that before I knew it,\-I'm sorry? Huh? When was it? -I'd joined the school festival planning committee...\Seems like this happened before once...\Hey, Kaneki! How long are you gonna stay home?!\Do you know how hard it is for me when you stay home like this?!\Hey, are you listening to me, Kaneki? response:	Oh, sorry. What'd you say?
context: And what's up with the eye patch? You styling it up?\While you were gone, I was so bored that before I knew it,\-I'm sorry? Huh? When was it? -I'd joined the school festival planning committee...\Seems like this happened before once...\Hey, Kaneki! How long are you gonna stay home?!\Do you know how hard it is for me when you stay home like this?!\Hey, are you listening to me, Kaneki?\Oh, sorry. What'd you say? response:	Anyhow, I've got to go see that upperclassman with the sharp tongue
