context: What's that? response:	Is this like the entrance exam where the lessors already started?
context: And he's not here?\I wonder if he'll come if we kill some kids?\What the pro heroes fight against...\What? Villains?\No way...\There's no way they could get into a hero school!\Teacher, what about the trespasser sensors?\We have them, of course, but... response:	Did they only appear here, or around the whole school?
context: I wonder if he'll come if we kill some kids?\What the pro heroes fight against...\What? Villains?\No way...\There's no way they could get into a hero school!\Teacher, what about the trespasser sensors?\We have them, of course, but...\Did they only appear here, or around the whole school? response:	Either way, if the sensors are not responding...
context: What the pro heroes fight against...\What? Villains?\No way...\There's no way they could get into a hero school!\Teacher, what about the trespasser sensors?\We have them, of course, but...\Did they only appear here, or around the whole school?\Either way, if the sensors are not responding... response:	An isolated area separated from the main campus
context: What? Villains?\No way...\There's no way they could get into a hero school!\Teacher, what about the trespasser sensors?\We have them, of course, but...\Did they only appear here, or around the whole school?\Either way, if the sensors are not responding...\An isolated area separated from the main campus response:	during a time when a class is supposed to be here.
context: No way...\There's no way they could get into a hero school!\Teacher, what about the trespasser sensors?\We have them, of course, but...\Did they only appear here, or around the whole school?\Either way, if the sensors are not responding...\An isolated area separated from the main campus\during a time when a class is supposed to be here. response:	They might be fools, but they're not dumb.
context: There's no way they could get into a hero school!\Teacher, what about the trespasser sensors?\We have them, of course, but...\Did they only appear here, or around the whole school?\Either way, if the sensors are not responding...\An isolated area separated from the main campus\during a time when a class is supposed to be here.\They might be fools, but they're not dumb. response:	This surprise attack was carefully planned with some sort of goal in mind.
context: Teacher, what about the trespasser sensors?\We have them, of course, but...\Did they only appear here, or around the whole school?\Either way, if the sensors are not responding...\An isolated area separated from the main campus\during a time when a class is supposed to be here.\They might be fools, but they're not dumb.\This surprise attack was carefully planned with some sort of goal in mind. response:	Thirteen, start the evacuation.
context: We have them, of course, but...\Did they only appear here, or around the whole school?\Either way, if the sensors are not responding...\An isolated area separated from the main campus\during a time when a class is supposed to be here.\They might be fools, but they're not dumb.\This surprise attack was carefully planned with some sort of goal in mind.\Thirteen, start the evacuation. response:	Try calling the school.
context: Did they only appear here, or around the whole school?\Either way, if the sensors are not responding...\An isolated area separated from the main campus\during a time when a class is supposed to be here.\They might be fools, but they're not dumb.\This surprise attack was carefully planned with some sort of goal in mind.\Thirteen, start the evacuation.\Try calling the school. response:	These villains even had something to counteract the sensors.
context: Either way, if the sensors are not responding...\An isolated area separated from the main campus\during a time when a class is supposed to be here.\They might be fools, but they're not dumb.\This surprise attack was carefully planned with some sort of goal in mind.\Thirteen, start the evacuation.\Try calling the school.\These villains even had something to counteract the sensors. response:	It's possible someone with radio-wave-type powers is interfering.
context: An isolated area separated from the main campus\during a time when a class is supposed to be here.\They might be fools, but they're not dumb.\This surprise attack was carefully planned with some sort of goal in mind.\Thirteen, start the evacuation.\Try calling the school.\These villains even had something to counteract the sensors.\It's possible someone with radio-wave-type powers is interfering. response:	Kaminari.
context: during a time when a class is supposed to be here.\They might be fools, but they're not dumb.\This surprise attack was carefully planned with some sort of goal in mind.\Thirteen, start the evacuation.\Try calling the school.\These villains even had something to counteract the sensors.\It's possible someone with radio-wave-type powers is interfering.\Kaminari. response:	You try contacting the school with your Quirk, too.
context: They might be fools, but they're not dumb.\This surprise attack was carefully planned with some sort of goal in mind.\Thirteen, start the evacuation.\Try calling the school.\These villains even had something to counteract the sensors.\It's possible someone with radio-wave-type powers is interfering.\Kaminari.\You try contacting the school with your Quirk, too. response:	Yessir.
context: This surprise attack was carefully planned with some sort of goal in mind.\Thirteen, start the evacuation.\Try calling the school.\These villains even had something to counteract the sensors.\It's possible someone with radio-wave-type powers is interfering.\Kaminari.\You try contacting the school with your Quirk, too.\Yessir. response:	What about you, sir?
context: Thirteen, start the evacuation.\Try calling the school.\These villains even had something to counteract the sensors.\It's possible someone with radio-wave-type powers is interfering.\Kaminari.\You try contacting the school with your Quirk, too.\Yessir.\What about you, sir? response:	Will you fight by yourself?
context: Try calling the school.\These villains even had something to counteract the sensors.\It's possible someone with radio-wave-type powers is interfering.\Kaminari.\You try contacting the school with your Quirk, too.\Yessir.\What about you, sir?\Will you fight by yourself? response:	With that many, even if you can erase their Quirks...
context: These villains even had something to counteract the sensors.\It's possible someone with radio-wave-type powers is interfering.\Kaminari.\You try contacting the school with your Quirk, too.\Yessir.\What about you, sir?\Will you fight by yourself?\With that many, even if you can erase their Quirks... response:	Eraser Head's fighting style is capturing after erasing the enemy's Quirk.
context: It's possible someone with radio-wave-type powers is interfering.\Kaminari.\You try contacting the school with your Quirk, too.\Yessir.\What about you, sir?\Will you fight by yourself?\With that many, even if you can erase their Quirks...\Eraser Head's fighting style is capturing after erasing the enemy's Quirk. response:	A frontal battle is...
context: Kaminari.\You try contacting the school with your Quirk, too.\Yessir.\What about you, sir?\Will you fight by yourself?\With that many, even if you can erase their Quirks...\Eraser Head's fighting style is capturing after erasing the enemy's Quirk.\A frontal battle is... response:	You can't be a hero with just one trick.
context: You try contacting the school with your Quirk, too.\Yessir.\What about you, sir?\Will you fight by yourself?\With that many, even if you can erase their Quirks...\Eraser Head's fighting style is capturing after erasing the enemy's Quirk.\A frontal battle is...\You can't be a hero with just one trick. response:	I'm leaving it to you, Thirteen.
context: Yessir.\What about you, sir?\Will you fight by yourself?\With that many, even if you can erase their Quirks...\Eraser Head's fighting style is capturing after erasing the enemy's Quirk.\A frontal battle is...\You can't be a hero with just one trick.\I'm leaving it to you, Thirteen. response:	Shooting squad, let's go.
context: What about you, sir?\Will you fight by yourself?\With that many, even if you can erase their Quirks...\Eraser Head's fighting style is capturing after erasing the enemy's Quirk.\A frontal battle is...\You can't be a hero with just one trick.\I'm leaving it to you, Thirteen.\Shooting squad, let's go. response:	Didn't our intel say it would just be Thirteen and All Might?
context: Will you fight by yourself?\With that many, even if you can erase their Quirks...\Eraser Head's fighting style is capturing after erasing the enemy's Quirk.\A frontal battle is...\You can't be a hero with just one trick.\I'm leaving it to you, Thirteen.\Shooting squad, let's go.\Didn't our intel say it would just be Thirteen and All Might? response:	Who's that?!
context: With that many, even if you can erase their Quirks...\Eraser Head's fighting style is capturing after erasing the enemy's Quirk.\A frontal battle is...\You can't be a hero with just one trick.\I'm leaving it to you, Thirteen.\Shooting squad, let's go.\Didn't our intel say it would just be Thirteen and All Might?\Who's that?! response:	I don't know!
context: Eraser Head's fighting style is capturing after erasing the enemy's Quirk.\A frontal battle is...\You can't be a hero with just one trick.\I'm leaving it to you, Thirteen.\Shooting squad, let's go.\Didn't our intel say it would just be Thirteen and All Might?\Who's that?!\I don't know! response:	But if he thinks he can come at us from the front by himself...
context: A frontal battle is...\You can't be a hero with just one trick.\I'm leaving it to you, Thirteen.\Shooting squad, let's go.\Didn't our intel say it would just be Thirteen and All Might?\Who's that?!\I don't know!\But if he thinks he can come at us from the front by himself... response:	Huh?
context: You can't be a hero with just one trick.\I'm leaving it to you, Thirteen.\Shooting squad, let's go.\Didn't our intel say it would just be Thirteen and All Might?\Who's that?!\I don't know!\But if he thinks he can come at us from the front by himself...\Huh? response:	My Quirk...!
context: I'm leaving it to you, Thirteen.\Shooting squad, let's go.\Didn't our intel say it would just be Thirteen and All Might?\Who's that?!\I don't know!\But if he thinks he can come at us from the front by himself...\Huh?\My Quirk...! response:	The bullets won't come out?!
context: Shooting squad, let's go.\Didn't our intel say it would just be Thirteen and All Might?\Who's that?!\I don't know!\But if he thinks he can come at us from the front by himself...\Huh?\My Quirk...!\The bullets won't come out?! response:	Idiots!
context: Didn't our intel say it would just be Thirteen and All Might?\Who's that?!\I don't know!\But if he thinks he can come at us from the front by himself...\Huh?\My Quirk...!\The bullets won't come out?!\Idiots! response:	He can erase Quirks just by looking at them!
context: Who's that?!\I don't know!\But if he thinks he can come at us from the front by himself...\Huh?\My Quirk...!\The bullets won't come out?!\Idiots!\He can erase Quirks just by looking at them! response:	It's a Eraser Head!
context: I don't know!\But if he thinks he can come at us from the front by himself...\Huh?\My Quirk...!\The bullets won't come out?!\Idiots!\He can erase Quirks just by looking at them!\It's a Eraser Head! response:	Erase?
context: But if he thinks he can come at us from the front by himself...\Huh?\My Quirk...!\The bullets won't come out?!\Idiots!\He can erase Quirks just by looking at them!\It's a Eraser Head!\Erase? response:	Are you gonna erase the Quirks of heteromorphic-type villains like us, too?
context: Huh?\My Quirk...!\The bullets won't come out?!\Idiots!\He can erase Quirks just by looking at them!\It's a Eraser Head!\Erase?\Are you gonna erase the Quirks of heteromorphic-type villains like us, too? response:	No, I can't!
context: My Quirk...!\The bullets won't come out?!\Idiots!\He can erase Quirks just by looking at them!\It's a Eraser Head!\Erase?\Are you gonna erase the Quirks of heteromorphic-type villains like us, too?\No, I can't! response:	But the skills of guys like you...
context: The bullets won't come out?!\Idiots!\He can erase Quirks just by looking at them!\It's a Eraser Head!\Erase?\Are you gonna erase the Quirks of heteromorphic-type villains like us, too?\No, I can't!\But the skills of guys like you... response:	He's also strong in hand-to-hand combat.
context: Idiots!\He can erase Quirks just by looking at them!\It's a Eraser Head!\Erase?\Are you gonna erase the Quirks of heteromorphic-type villains like us, too?\No, I can't!\But the skills of guys like you...\He's also strong in hand-to-hand combat. response:	And since he's hiding his eyes with goggles...
context: He can erase Quirks just by looking at them!\It's a Eraser Head!\Erase?\Are you gonna erase the Quirks of heteromorphic-type villains like us, too?\No, I can't!\But the skills of guys like you...\He's also strong in hand-to-hand combat.\And since he's hiding his eyes with goggles... response:	When he fights against a group, that makes it harder for them to work together.
context: It's a Eraser Head!\Erase?\Are you gonna erase the Quirks of heteromorphic-type villains like us, too?\No, I can't!\But the skills of guys like you...\He's also strong in hand-to-hand combat.\And since he's hiding his eyes with goggles...\When he fights against a group, that makes it harder for them to work together. response:	I see.
context: Erase?\Are you gonna erase the Quirks of heteromorphic-type villains like us, too?\No, I can't!\But the skills of guys like you...\He's also strong in hand-to-hand combat.\And since he's hiding his eyes with goggles...\When he fights against a group, that makes it harder for them to work together.\I see. response:	I hate pro heroes.
context: Are you gonna erase the Quirks of heteromorphic-type villains like us, too?\No, I can't!\But the skills of guys like you...\He's also strong in hand-to-hand combat.\And since he's hiding his eyes with goggles...\When he fights against a group, that makes it harder for them to work together.\I see.\I hate pro heroes. response:	The masses don't stand a chance against them.
context: No, I can't!\But the skills of guys like you...\He's also strong in hand-to-hand combat.\And since he's hiding his eyes with goggles...\When he fights against a group, that makes it harder for them to work together.\I see.\I hate pro heroes.\The masses don't stand a chance against them. response:	Wow...
context: But the skills of guys like you...\He's also strong in hand-to-hand combat.\And since he's hiding his eyes with goggles...\When he fights against a group, that makes it harder for them to work together.\I see.\I hate pro heroes.\The masses don't stand a chance against them.\Wow... response:	Teacher actually good at fighting by himself against a lot of people, huh?
context: He's also strong in hand-to-hand combat.\And since he's hiding his eyes with goggles...\When he fights against a group, that makes it harder for them to work together.\I see.\I hate pro heroes.\The masses don't stand a chance against them.\Wow...\Teacher actually good at fighting by himself against a lot of people, huh? response:	This is no time for analysis!
context: And since he's hiding his eyes with goggles...\When he fights against a group, that makes it harder for them to work together.\I see.\I hate pro heroes.\The masses don't stand a chance against them.\Wow...\Teacher actually good at fighting by himself against a lot of people, huh?\This is no time for analysis! response:	Hurry up and take shelter!
context: When he fights against a group, that makes it harder for them to work together.\I see.\I hate pro heroes.\The masses don't stand a chance against them.\Wow...\Teacher actually good at fighting by himself against a lot of people, huh?\This is no time for analysis!\Hurry up and take shelter! response:	I won't let you.
context: I see.\I hate pro heroes.\The masses don't stand a chance against them.\Wow...\Teacher actually good at fighting by himself against a lot of people, huh?\This is no time for analysis!\Hurry up and take shelter!\I won't let you. response:	Damn!
context: I hate pro heroes.\The masses don't stand a chance against them.\Wow...\Teacher actually good at fighting by himself against a lot of people, huh?\This is no time for analysis!\Hurry up and take shelter!\I won't let you.\Damn! response:	I just blinked once and the guy who looks like the most trouble got away...
context: The masses don't stand a chance against them.\Wow...\Teacher actually good at fighting by himself against a lot of people, huh?\This is no time for analysis!\Hurry up and take shelter!\I won't let you.\Damn!\I just blinked once and the guy who looks like the most trouble got away... response:	Nice to meet you.
context: Wow...\Teacher actually good at fighting by himself against a lot of people, huh?\This is no time for analysis!\Hurry up and take shelter!\I won't let you.\Damn!\I just blinked once and the guy who looks like the most trouble got away...\Nice to meet you. response:	We are the League of Villains.
context: Teacher actually good at fighting by himself against a lot of people, huh?\This is no time for analysis!\Hurry up and take shelter!\I won't let you.\Damn!\I just blinked once and the guy who looks like the most trouble got away...\Nice to meet you.\We are the League of Villains. response:	It may be presumptuous of us...
context: This is no time for analysis!\Hurry up and take shelter!\I won't let you.\Damn!\I just blinked once and the guy who looks like the most trouble got away...\Nice to meet you.\We are the League of Villains.\It may be presumptuous of us... response:	but we have invited ourselves in to the home of the heroes, U.A. High School...
context: Hurry up and take shelter!\I won't let you.\Damn!\I just blinked once and the guy who looks like the most trouble got away...\Nice to meet you.\We are the League of Villains.\It may be presumptuous of us...\but we have invited ourselves in to the home of the heroes, U.A. High School... response:	Huh?
context: I won't let you.\Damn!\I just blinked once and the guy who looks like the most trouble got away...\Nice to meet you.\We are the League of Villains.\It may be presumptuous of us...\but we have invited ourselves in to the home of the heroes, U.A. High School...\Huh? response:	I believe All Might should have been here.
context: Damn!\I just blinked once and the guy who looks like the most trouble got away...\Nice to meet you.\We are the League of Villains.\It may be presumptuous of us...\but we have invited ourselves in to the home of the heroes, U.A. High School...\Huh?\I believe All Might should have been here. response:	Has there been some kind of change?
context: I just blinked once and the guy who looks like the most trouble got away...\Nice to meet you.\We are the League of Villains.\It may be presumptuous of us...\but we have invited ourselves in to the home of the heroes, U.A. High School...\Huh?\I believe All Might should have been here.\Has there been some kind of change? response:	Well, that is neither here nor there.
context: Nice to meet you.\We are the League of Villains.\It may be presumptuous of us...\but we have invited ourselves in to the home of the heroes, U.A. High School...\Huh?\I believe All Might should have been here.\Has there been some kind of change?\Well, that is neither here nor there. response:	This is the part I am to play.
context: We are the League of Villains.\It may be presumptuous of us...\but we have invited ourselves in to the home of the heroes, U.A. High School...\Huh?\I believe All Might should have been here.\Has there been some kind of change?\Well, that is neither here nor there.\This is the part I am to play. response:	Did you consider that you'd get beaten by us before you did it?!
context: It may be presumptuous of us...\but we have invited ourselves in to the home of the heroes, U.A. High School...\Huh?\I believe All Might should have been here.\Has there been some kind of change?\Well, that is neither here nor there.\This is the part I am to play.\Did you consider that you'd get beaten by us before you did it?! response:	Oh dear, that's dangerous.
context: but we have invited ourselves in to the home of the heroes, U.A. High School...\Huh?\I believe All Might should have been here.\Has there been some kind of change?\Well, that is neither here nor there.\This is the part I am to play.\Did you consider that you'd get beaten by us before you did it?!\Oh dear, that's dangerous. response:	That's right.
context: Huh?\I believe All Might should have been here.\Has there been some kind of change?\Well, that is neither here nor there.\This is the part I am to play.\Did you consider that you'd get beaten by us before you did it?!\Oh dear, that's dangerous.\That's right. response:	Even if you are students, you are excellent golden eggs.
context: I believe All Might should have been here.\Has there been some kind of change?\Well, that is neither here nor there.\This is the part I am to play.\Did you consider that you'd get beaten by us before you did it?!\Oh dear, that's dangerous.\That's right.\Even if you are students, you are excellent golden eggs. response:	This is bad!
context: Has there been some kind of change?\Well, that is neither here nor there.\This is the part I am to play.\Did you consider that you'd get beaten by us before you did it?!\Oh dear, that's dangerous.\That's right.\Even if you are students, you are excellent golden eggs.\This is bad! response:	Move away, you two!
context: Well, that is neither here nor there.\This is the part I am to play.\Did you consider that you'd get beaten by us before you did it?!\Oh dear, that's dangerous.\That's right.\Even if you are students, you are excellent golden eggs.\This is bad!\Move away, you two! response:	My job is to scatter you all and torture you to death!
context: This is the part I am to play.\Did you consider that you'd get beaten by us before you did it?!\Oh dear, that's dangerous.\That's right.\Even if you are students, you are excellent golden eggs.\This is bad!\Move away, you two!\My job is to scatter you all and torture you to death! response:	What the?!
context: Did you consider that you'd get beaten by us before you did it?!\Oh dear, that's dangerous.\That's right.\Even if you are students, you are excellent golden eggs.\This is bad!\Move away, you two!\My job is to scatter you all and torture you to death!\What the?! response:	Ribbit...
context: Oh dear, that's dangerous.\That's right.\Even if you are students, you are excellent golden eggs.\This is bad!\Move away, you two!\My job is to scatter you all and torture you to death!\What the?!\Ribbit... response:	Everyone...!
context: That's right.\Even if you are students, you are excellent golden eggs.\This is bad!\Move away, you two!\My job is to scatter you all and torture you to death!\What the?!\Ribbit...\Everyone...! response:	A warp?
context: Even if you are students, you are excellent golden eggs.\This is bad!\Move away, you two!\My job is to scatter you all and torture you to death!\What the?!\Ribbit...\Everyone...!\A warp? response:	Is that his Quirk?
context: This is bad!\Move away, you two!\My job is to scatter you all and torture you to death!\What the?!\Ribbit...\Everyone...!\A warp?\Is that his Quirk? response:	They want to kill All Might?
context: Move away, you two!\My job is to scatter you all and torture you to death!\What the?!\Ribbit...\Everyone...!\A warp?\Is that his Quirk?\They want to kill All Might? response:	What in the world is going on?
context: My job is to scatter you all and torture you to death!\What the?!\Ribbit...\Everyone...!\A warp?\Is that his Quirk?\They want to kill All Might?\What in the world is going on? response:	What the heck?
context: What the?!\Ribbit...\Everyone...!\A warp?\Is that his Quirk?\They want to kill All Might?\What in the world is going on?\What the heck? response:	Here he comes!
context: Ribbit...\Everyone...!\A warp?\Is that his Quirk?\They want to kill All Might?\What in the world is going on?\What the heck?\Here he comes! response:	I don't have anything against you, but see ya!
context: Everyone...!\A warp?\Is that his Quirk?\They want to kill All Might?\What in the world is going on?\What the heck?\Here he comes!\I don't have anything against you, but see ya! response:	Midoriya!
context: A warp?\Is that his Quirk?\They want to kill All Might?\What in the world is going on?\What the heck?\Here he comes!\I don't have anything against you, but see ya!\Midoriya! response:	Ribbit!
context: Is that his Quirk?\They want to kill All Might?\What in the world is going on?\What the heck?\Here he comes!\I don't have anything against you, but see ya!\Midoriya!\Ribbit! response:	See ya...
context: They want to kill All Might?\What in the world is going on?\What the heck?\Here he comes!\I don't have anything against you, but see ya!\Midoriya!\Ribbit!\See ya... response:	See ya.
context: What in the world is going on?\What the heck?\Here he comes!\I don't have anything against you, but see ya!\Midoriya!\Ribbit!\See ya...\See ya. response:	For a frog, they are pretty big...
context: What the heck?\Here he comes!\I don't have anything against you, but see ya!\Midoriya!\Ribbit!\See ya...\See ya.\For a frog, they are pretty big... response:	Ribbit.
context: Here he comes!\I don't have anything against you, but see ya!\Midoriya!\Ribbit!\See ya...\See ya.\For a frog, they are pretty big...\Ribbit. response:	Thanks, Asui.
context: I don't have anything against you, but see ya!\Midoriya!\Ribbit!\See ya...\See ya.\For a frog, they are pretty big...\Ribbit.\Thanks, Asui. response:	Call me Tsu.
context: Midoriya!\Ribbit!\See ya...\See ya.\For a frog, they are pretty big...\Ribbit.\Thanks, Asui.\Call me Tsu. response:	Asui Tsuyu!
context: Ribbit!\See ya...\See ya.\For a frog, they are pretty big...\Ribbit.\Thanks, Asui.\Call me Tsu.\Asui Tsuyu! response:	Quirk: Frog!
context: See ya...\See ya.\For a frog, they are pretty big...\Ribbit.\Thanks, Asui.\Call me Tsu.\Asui Tsuyu!\Quirk: Frog! response:	T-T-T-T-Tsu, thanks!
context: See ya.\For a frog, they are pretty big...\Ribbit.\Thanks, Asui.\Call me Tsu.\Asui Tsuyu!\Quirk: Frog!\T-T-T-T-Tsu, thanks! response:	She can do pretty much anything a frog can!
context: For a frog, they are pretty big...\Ribbit.\Thanks, Asui.\Call me Tsu.\Asui Tsuyu!\Quirk: Frog!\T-T-T-T-Tsu, thanks!\She can do pretty much anything a frog can! response:	As expected!
context: Ribbit.\Thanks, Asui.\Call me Tsu.\Asui Tsuyu!\Quirk: Frog!\T-T-T-T-Tsu, thanks!\She can do pretty much anything a frog can!\As expected! response:	This has turned into a bad situation, though.
context: Thanks, Asui.\Call me Tsu.\Asui Tsuyu!\Quirk: Frog!\T-T-T-T-Tsu, thanks!\She can do pretty much anything a frog can!\As expected!\This has turned into a bad situation, though. response:	Yeah.
context: Call me Tsu.\Asui Tsuyu!\Quirk: Frog!\T-T-T-T-Tsu, thanks!\She can do pretty much anything a frog can!\As expected!\This has turned into a bad situation, though.\Yeah. response:	What the villain said earlier...
context: Asui Tsuyu!\Quirk: Frog!\T-T-T-T-Tsu, thanks!\She can do pretty much anything a frog can!\As expected!\This has turned into a bad situation, though.\Yeah.\What the villain said earlier... response:	All Might should have been here.
context: Quirk: Frog!\T-T-T-T-Tsu, thanks!\She can do pretty much anything a frog can!\As expected!\This has turned into a bad situation, though.\Yeah.\What the villain said earlier...\All Might should have been here. response:	Has there been some kind of change?
context: T-T-T-T-Tsu, thanks!\She can do pretty much anything a frog can!\As expected!\This has turned into a bad situation, though.\Yeah.\What the villain said earlier...\All Might should have been here.\Has there been some kind of change? response:	They knew U.A.'s schedule!
context: She can do pretty much anything a frog can!\As expected!\This has turned into a bad situation, though.\Yeah.\What the villain said earlier...\All Might should have been here.\Has there been some kind of change?\They knew U.A.'s schedule! response:	Looking at the big picture,
context: As expected!\This has turned into a bad situation, though.\Yeah.\What the villain said earlier...\All Might should have been here.\Has there been some kind of change?\They knew U.A.'s schedule!\Looking at the big picture, response:	those guys must have set up the media intrusion the other day to get information.
context: This has turned into a bad situation, though.\Yeah.\What the villain said earlier...\All Might should have been here.\Has there been some kind of change?\They knew U.A.'s schedule!\Looking at the big picture,\those guys must have set up the media intrusion the other day to get information. response:	They were waiting to pounce, just as Todoroki said.
context: Yeah.\What the villain said earlier...\All Might should have been here.\Has there been some kind of change?\They knew U.A.'s schedule!\Looking at the big picture,\those guys must have set up the media intrusion the other day to get information.\They were waiting to pounce, just as Todoroki said. response:	But, but!
context: What the villain said earlier...\All Might should have been here.\Has there been some kind of change?\They knew U.A.'s schedule!\Looking at the big picture,\those guys must have set up the media intrusion the other day to get information.\They were waiting to pounce, just as Todoroki said.\But, but! response:	It's not like they can kill All Might!
context: All Might should have been here.\Has there been some kind of change?\They knew U.A.'s schedule!\Looking at the big picture,\those guys must have set up the media intrusion the other day to get information.\They were waiting to pounce, just as Todoroki said.\But, but!\It's not like they can kill All Might! response:	Once All Might comes, he'll pound those guys!
context: Has there been some kind of change?\They knew U.A.'s schedule!\Looking at the big picture,\those guys must have set up the media intrusion the other day to get information.\They were waiting to pounce, just as Todoroki said.\But, but!\It's not like they can kill All Might!\Once All Might comes, he'll pound those guys! response:	Mineta.
context: They knew U.A.'s schedule!\Looking at the big picture,\those guys must have set up the media intrusion the other day to get information.\They were waiting to pounce, just as Todoroki said.\But, but!\It's not like they can kill All Might!\Once All Might comes, he'll pound those guys!\Mineta. response:	Huh?
context: Looking at the big picture,\those guys must have set up the media intrusion the other day to get information.\They were waiting to pounce, just as Todoroki said.\But, but!\It's not like they can kill All Might!\Once All Might comes, he'll pound those guys!\Mineta.\Huh? response:	Don't you think they are trying so hard because they have a way to kill him?
context: those guys must have set up the media intrusion the other day to get information.\They were waiting to pounce, just as Todoroki said.\But, but!\It's not like they can kill All Might!\Once All Might comes, he'll pound those guys!\Mineta.\Huh?\Don't you think they are trying so hard because they have a way to kill him? response:	Guys that strong just told us they would torture us to death, you know.
context: They were waiting to pounce, just as Todoroki said.\But, but!\It's not like they can kill All Might!\Once All Might comes, he'll pound those guys!\Mineta.\Huh?\Don't you think they are trying so hard because they have a way to kill him?\Guys that strong just told us they would torture us to death, you know. response:	I wonder if we'll be able to hold out until All Might arrives...
context: But, but!\It's not like they can kill All Might!\Once All Might comes, he'll pound those guys!\Mineta.\Huh?\Don't you think they are trying so hard because they have a way to kill him?\Guys that strong just told us they would torture us to death, you know.\I wonder if we'll be able to hold out until All Might arrives... response:	Even if All Might comes, I wonder if we will all make it out in one piece...
context: It's not like they can kill All Might!\Once All Might comes, he'll pound those guys!\Mineta.\Huh?\Don't you think they are trying so hard because they have a way to kill him?\Guys that strong just told us they would torture us to death, you know.\I wonder if we'll be able to hold out until All Might arrives...\Even if All Might comes, I wonder if we will all make it out in one piece... response:	M-M-Midoriya!
context: Once All Might comes, he'll pound those guys!\Mineta.\Huh?\Don't you think they are trying so hard because they have a way to kill him?\Guys that strong just told us they would torture us to death, you know.\I wonder if we'll be able to hold out until All Might arrives...\Even if All Might comes, I wonder if we will all make it out in one piece...\M-M-Midoriya! response:	What the heck is that?
context: Mineta.\Huh?\Don't you think they are trying so hard because they have a way to kill him?\Guys that strong just told us they would torture us to death, you know.\I wonder if we'll be able to hold out until All Might arrives...\Even if All Might comes, I wonder if we will all make it out in one piece...\M-M-Midoriya!\What the heck is that? response:	Ribbit!
