context: Hyakkimaru got injured due to the sudden return of his hearing. response:	A girl named Mio took him in.
context: Perfect, help me out here.\Are you okay?\His leg!\He shouldn't have fought with that injury. The demon got it.\Does it hurt?\Huh? That voice...\Yes, he lost his leg but got his voice back.\Hyakkimaru's voice...? response:	Party is over
context: Are you okay?\His leg!\He shouldn't have fought with that injury. The demon got it.\Does it hurt?\Huh? That voice...\Yes, he lost his leg but got his voice back.\Hyakkimaru's voice...?\Party is over response:	But I still wanna dance
context: His leg!\He shouldn't have fought with that injury. The demon got it.\Does it hurt?\Huh? That voice...\Yes, he lost his leg but got his voice back.\Hyakkimaru's voice...?\Party is over\But I still wanna dance response:	I can't even sleep
context: He shouldn't have fought with that injury. The demon got it.\Does it hurt?\Huh? That voice...\Yes, he lost his leg but got his voice back.\Hyakkimaru's voice...?\Party is over\But I still wanna dance\I can't even sleep response:	Someday, one day my passion's fire will
context: Does it hurt?\Huh? That voice...\Yes, he lost his leg but got his voice back.\Hyakkimaru's voice...?\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will response:	From the beginning I knew
context: Huh? That voice...\Yes, he lost his leg but got his voice back.\Hyakkimaru's voice...?\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew response:	One day the flames would die out
context: Yes, he lost his leg but got his voice back.\Hyakkimaru's voice...?\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out response:	Hey, I thought I didn't need anything
context: Hyakkimaru's voice...?\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything response:	But even now, I'm so serious
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious response:	Ah... I still have time to make it
context: But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it response:	Ah... but I'm gonna burn it up, baby
context: I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby response:	Sorry darling, it's not that easy
context: Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy response:	But surely it's not that bad either
context: From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either response:	Give me fire
context: One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	Party is over
context: But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it response:	Give me fire
context: Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	6 The story of the Moriko Song, part 2
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\6 The story of the Moriko Song, part 2 response:	Mio!
context: Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\6 The story of the Moriko Song, part 2\Mio! response:	You're home.
context: Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\6 The story of the Moriko Song, part 2\Mio!\You're home. response:	Hi there.
context: Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\6 The story of the Moriko Song, part 2\Mio!\You're home.\Hi there. response:	Ow...
context: Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\6 The story of the Moriko Song, part 2\Mio!\You're home.\Hi there.\Ow... response:	What did you do? You're hurt.
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\6 The story of the Moriko Song, part 2\Mio!\You're home.\Hi there.\Ow...\What did you do? You're hurt. response:	It's nothing, I just tripped.
context: Light it up, baby. I'm gonna burn it up, yeah\6 The story of the Moriko Song, part 2\Mio!\You're home.\Hi there.\Ow...\What did you do? You're hurt.\It's nothing, I just tripped. response:	Are you okay? You need to rest up.
context: 6 The story of the Moriko Song, part 2\Mio!\You're home.\Hi there.\Ow...\What did you do? You're hurt.\It's nothing, I just tripped.\Are you okay? You need to rest up. response:	I told you that you shouldn't work at both camps.
context: Mio!\You're home.\Hi there.\Ow...\What did you do? You're hurt.\It's nothing, I just tripped.\Are you okay? You need to rest up.\I told you that you shouldn't work at both camps. response:	Stop going...
context: You're home.\Hi there.\Ow...\What did you do? You're hurt.\It's nothing, I just tripped.\Are you okay? You need to rest up.\I told you that you shouldn't work at both camps.\Stop going... response:	What's that?
context: Hi there.\Ow...\What did you do? You're hurt.\It's nothing, I just tripped.\Are you okay? You need to rest up.\I told you that you shouldn't work at both camps.\Stop going...\What's that? response:	Oh. Well, you see...
context: Ow...\What did you do? You're hurt.\It's nothing, I just tripped.\Are you okay? You need to rest up.\I told you that you shouldn't work at both camps.\Stop going...\What's that?\Oh. Well, you see... response:	Hyakkimaru!
context: What did you do? You're hurt.\It's nothing, I just tripped.\Are you okay? You need to rest up.\I told you that you shouldn't work at both camps.\Stop going...\What's that?\Oh. Well, you see...\Hyakkimaru! response:	What happened?
context: It's nothing, I just tripped.\Are you okay? You need to rest up.\I told you that you shouldn't work at both camps.\Stop going...\What's that?\Oh. Well, you see...\Hyakkimaru!\What happened? response:	It won't kill him.
context: Are you okay? You need to rest up.\I told you that you shouldn't work at both camps.\Stop going...\What's that?\Oh. Well, you see...\Hyakkimaru!\What happened?\It won't kill him. response:	It was just too early for him to fight.
context: I told you that you shouldn't work at both camps.\Stop going...\What's that?\Oh. Well, you see...\Hyakkimaru!\What happened?\It won't kill him.\It was just too early for him to fight. response:	Mio, never mind him. Get some sleep.
context: Stop going...\What's that?\Oh. Well, you see...\Hyakkimaru!\What happened?\It won't kill him.\It was just too early for him to fight.\Mio, never mind him. Get some sleep. response:	It's okay, I'm used to this.
context: What's that?\Oh. Well, you see...\Hyakkimaru!\What happened?\It won't kill him.\It was just too early for him to fight.\Mio, never mind him. Get some sleep.\It's okay, I'm used to this. response:	You get food ready for everyone.
context: Oh. Well, you see...\Hyakkimaru!\What happened?\It won't kill him.\It was just too early for him to fight.\Mio, never mind him. Get some sleep.\It's okay, I'm used to this.\You get food ready for everyone. response:	Dammit!
context: Hyakkimaru!\What happened?\It won't kill him.\It was just too early for him to fight.\Mio, never mind him. Get some sleep.\It's okay, I'm used to this.\You get food ready for everyone.\Dammit! response:	What, shouldn't you be keeping watch over your guy?
context: What happened?\It won't kill him.\It was just too early for him to fight.\Mio, never mind him. Get some sleep.\It's okay, I'm used to this.\You get food ready for everyone.\Dammit!\What, shouldn't you be keeping watch over your guy? response:	Yeah...
context: It won't kill him.\It was just too early for him to fight.\Mio, never mind him. Get some sleep.\It's okay, I'm used to this.\You get food ready for everyone.\Dammit!\What, shouldn't you be keeping watch over your guy?\Yeah... response:	But Mio will take good care of him.
context: It was just too early for him to fight.\Mio, never mind him. Get some sleep.\It's okay, I'm used to this.\You get food ready for everyone.\Dammit!\What, shouldn't you be keeping watch over your guy?\Yeah...\But Mio will take good care of him. response:	Jeez, Mio sure likes to take care of people.
context: Mio, never mind him. Get some sleep.\It's okay, I'm used to this.\You get food ready for everyone.\Dammit!\What, shouldn't you be keeping watch over your guy?\Yeah...\But Mio will take good care of him.\Jeez, Mio sure likes to take care of people. response:	After working all night.
context: It's okay, I'm used to this.\You get food ready for everyone.\Dammit!\What, shouldn't you be keeping watch over your guy?\Yeah...\But Mio will take good care of him.\Jeez, Mio sure likes to take care of people.\After working all night. response:	Take, have you ever seen your sis at work?
context: You get food ready for everyone.\Dammit!\What, shouldn't you be keeping watch over your guy?\Yeah...\But Mio will take good care of him.\Jeez, Mio sure likes to take care of people.\After working all night.\Take, have you ever seen your sis at work? response:	I always stay home.
context: Dammit!\What, shouldn't you be keeping watch over your guy?\Yeah...\But Mio will take good care of him.\Jeez, Mio sure likes to take care of people.\After working all night.\Take, have you ever seen your sis at work?\I always stay home. response:	Can't leave the little ones alone.
context: What, shouldn't you be keeping watch over your guy?\Yeah...\But Mio will take good care of him.\Jeez, Mio sure likes to take care of people.\After working all night.\Take, have you ever seen your sis at work?\I always stay home.\Can't leave the little ones alone. response:	Right.
context: Yeah...\But Mio will take good care of him.\Jeez, Mio sure likes to take care of people.\After working all night.\Take, have you ever seen your sis at work?\I always stay home.\Can't leave the little ones alone.\Right. response:	I mean, we have to rely on her or we'll all starve to death.
context: But Mio will take good care of him.\Jeez, Mio sure likes to take care of people.\After working all night.\Take, have you ever seen your sis at work?\I always stay home.\Can't leave the little ones alone.\Right.\I mean, we have to rely on her or we'll all starve to death. response:	I'm not blaming you or anything.
context: Jeez, Mio sure likes to take care of people.\After working all night.\Take, have you ever seen your sis at work?\I always stay home.\Can't leave the little ones alone.\Right.\I mean, we have to rely on her or we'll all starve to death.\I'm not blaming you or anything. response:	We all made a promise together to someday own our own rice paddy.
context: After working all night.\Take, have you ever seen your sis at work?\I always stay home.\Can't leave the little ones alone.\Right.\I mean, we have to rely on her or we'll all starve to death.\I'm not blaming you or anything.\We all made a promise together to someday own our own rice paddy. response:	Rice paddy?
context: Take, have you ever seen your sis at work?\I always stay home.\Can't leave the little ones alone.\Right.\I mean, we have to rely on her or we'll all starve to death.\I'm not blaming you or anything.\We all made a promise together to someday own our own rice paddy.\Rice paddy? response:	It's gonna be all green in the summer and golden in the fall.
context: I always stay home.\Can't leave the little ones alone.\Right.\I mean, we have to rely on her or we'll all starve to death.\I'm not blaming you or anything.\We all made a promise together to someday own our own rice paddy.\Rice paddy?\It's gonna be all green in the summer and golden in the fall. response:	Golden, you know?
context: Can't leave the little ones alone.\Right.\I mean, we have to rely on her or we'll all starve to death.\I'm not blaming you or anything.\We all made a promise together to someday own our own rice paddy.\Rice paddy?\It's gonna be all green in the summer and golden in the fall.\Golden, you know? response:	We'll grow more rice than we can eat.
context: Right.\I mean, we have to rely on her or we'll all starve to death.\I'm not blaming you or anything.\We all made a promise together to someday own our own rice paddy.\Rice paddy?\It's gonna be all green in the summer and golden in the fall.\Golden, you know?\We'll grow more rice than we can eat. response:	We've only seen rice paddies burnt by war or dried up by droughts.
context: I mean, we have to rely on her or we'll all starve to death.\I'm not blaming you or anything.\We all made a promise together to someday own our own rice paddy.\Rice paddy?\It's gonna be all green in the summer and golden in the fall.\Golden, you know?\We'll grow more rice than we can eat.\We've only seen rice paddies burnt by war or dried up by droughts. response:	But Mio said they all used to be golden.
context: I'm not blaming you or anything.\We all made a promise together to someday own our own rice paddy.\Rice paddy?\It's gonna be all green in the summer and golden in the fall.\Golden, you know?\We'll grow more rice than we can eat.\We've only seen rice paddies burnt by war or dried up by droughts.\But Mio said they all used to be golden. response:	Let's make our very own rice paddy some day.
context: We all made a promise together to someday own our own rice paddy.\Rice paddy?\It's gonna be all green in the summer and golden in the fall.\Golden, you know?\We'll grow more rice than we can eat.\We've only seen rice paddies burnt by war or dried up by droughts.\But Mio said they all used to be golden.\Let's make our very own rice paddy some day. response:	Green and golden. And all ours.
context: Rice paddy?\It's gonna be all green in the summer and golden in the fall.\Golden, you know?\We'll grow more rice than we can eat.\We've only seen rice paddies burnt by war or dried up by droughts.\But Mio said they all used to be golden.\Let's make our very own rice paddy some day.\Green and golden. And all ours. response:	I'll be able to work too in a little bit, so Mio won't have to work so hard.
context: It's gonna be all green in the summer and golden in the fall.\Golden, you know?\We'll grow more rice than we can eat.\We've only seen rice paddies burnt by war or dried up by droughts.\But Mio said they all used to be golden.\Let's make our very own rice paddy some day.\Green and golden. And all ours.\I'll be able to work too in a little bit, so Mio won't have to work so hard. response:	Hey, Take.
context: Golden, you know?\We'll grow more rice than we can eat.\We've only seen rice paddies burnt by war or dried up by droughts.\But Mio said they all used to be golden.\Let's make our very own rice paddy some day.\Green and golden. And all ours.\I'll be able to work too in a little bit, so Mio won't have to work so hard.\Hey, Take. response:	Coming.
context: We'll grow more rice than we can eat.\We've only seen rice paddies burnt by war or dried up by droughts.\But Mio said they all used to be golden.\Let's make our very own rice paddy some day.\Green and golden. And all ours.\I'll be able to work too in a little bit, so Mio won't have to work so hard.\Hey, Take.\Coming. response:	Don't worry.
context: We've only seen rice paddies burnt by war or dried up by droughts.\But Mio said they all used to be golden.\Let's make our very own rice paddy some day.\Green and golden. And all ours.\I'll be able to work too in a little bit, so Mio won't have to work so hard.\Hey, Take.\Coming.\Don't worry. response:	War took a lot from us, so let's get it back.
context: But Mio said they all used to be golden.\Let's make our very own rice paddy some day.\Green and golden. And all ours.\I'll be able to work too in a little bit, so Mio won't have to work so hard.\Hey, Take.\Coming.\Don't worry.\War took a lot from us, so let's get it back. response:	We need a good rain.
context: Let's make our very own rice paddy some day.\Green and golden. And all ours.\I'll be able to work too in a little bit, so Mio won't have to work so hard.\Hey, Take.\Coming.\Don't worry.\War took a lot from us, so let's get it back.\We need a good rain. response:	Don't worry. We're blessed by rains every year.
context: Green and golden. And all ours.\I'll be able to work too in a little bit, so Mio won't have to work so hard.\Hey, Take.\Coming.\Don't worry.\War took a lot from us, so let's get it back.\We need a good rain.\Don't worry. We're blessed by rains every year. response:	See? There are clouds coming up.
context: I'll be able to work too in a little bit, so Mio won't have to work so hard.\Hey, Take.\Coming.\Don't worry.\War took a lot from us, so let's get it back.\We need a good rain.\Don't worry. We're blessed by rains every year.\See? There are clouds coming up. response:	Please, Father.
context: Hey, Take.\Coming.\Don't worry.\War took a lot from us, so let's get it back.\We need a good rain.\Don't worry. We're blessed by rains every year.\See? There are clouds coming up.\Please, Father. response:	Let me join the army to suppress the Sakai clan.
context: Coming.\Don't worry.\War took a lot from us, so let's get it back.\We need a good rain.\Don't worry. We're blessed by rains every year.\See? There are clouds coming up.\Please, Father.\Let me join the army to suppress the Sakai clan. response:	I'll crush that little domain like it's nothing.
context: Don't worry.\War took a lot from us, so let's get it back.\We need a good rain.\Don't worry. We're blessed by rains every year.\See? There are clouds coming up.\Please, Father.\Let me join the army to suppress the Sakai clan.\I'll crush that little domain like it's nothing. response:	Never underestimate wars.
context: War took a lot from us, so let's get it back.\We need a good rain.\Don't worry. We're blessed by rains every year.\See? There are clouds coming up.\Please, Father.\Let me join the army to suppress the Sakai clan.\I'll crush that little domain like it's nothing.\Never underestimate wars. response:	If that's how you think, it's too early for you. Back to your training.
context: We need a good rain.\Don't worry. We're blessed by rains every year.\See? There are clouds coming up.\Please, Father.\Let me join the army to suppress the Sakai clan.\I'll crush that little domain like it's nothing.\Never underestimate wars.\If that's how you think, it's too early for you. Back to your training. response:	-Father! -Tahomaru.
context: Don't worry. We're blessed by rains every year.\See? There are clouds coming up.\Please, Father.\Let me join the army to suppress the Sakai clan.\I'll crush that little domain like it's nothing.\Never underestimate wars.\If that's how you think, it's too early for you. Back to your training.\-Father! -Tahomaru. response:	Mother.
context: See? There are clouds coming up.\Please, Father.\Let me join the army to suppress the Sakai clan.\I'll crush that little domain like it's nothing.\Never underestimate wars.\If that's how you think, it's too early for you. Back to your training.\-Father! -Tahomaru.\Mother. response:	Mother, please tell Father to let me go to war.
context: Please, Father.\Let me join the army to suppress the Sakai clan.\I'll crush that little domain like it's nothing.\Never underestimate wars.\If that's how you think, it's too early for you. Back to your training.\-Father! -Tahomaru.\Mother.\Mother, please tell Father to let me go to war. response:	Your father just said no.
context: Let me join the army to suppress the Sakai clan.\I'll crush that little domain like it's nothing.\Never underestimate wars.\If that's how you think, it's too early for you. Back to your training.\-Father! -Tahomaru.\Mother.\Mother, please tell Father to let me go to war.\Your father just said no. response:	Then no it is, no matter what I say.
context: I'll crush that little domain like it's nothing.\Never underestimate wars.\If that's how you think, it's too early for you. Back to your training.\-Father! -Tahomaru.\Mother.\Mother, please tell Father to let me go to war.\Your father just said no.\Then no it is, no matter what I say. response:	Father doesn't understand!
context: Never underestimate wars.\If that's how you think, it's too early for you. Back to your training.\-Father! -Tahomaru.\Mother.\Mother, please tell Father to let me go to war.\Your father just said no.\Then no it is, no matter what I say.\Father doesn't understand! response:	If only he'd let me go,
context: If that's how you think, it's too early for you. Back to your training.\-Father! -Tahomaru.\Mother.\Mother, please tell Father to let me go to war.\Your father just said no.\Then no it is, no matter what I say.\Father doesn't understand!\If only he'd let me go, response:	I know I'd distinguish myself in battle and make you proud.
context: -Father! -Tahomaru.\Mother.\Mother, please tell Father to let me go to war.\Your father just said no.\Then no it is, no matter what I say.\Father doesn't understand!\If only he'd let me go,\I know I'd distinguish myself in battle and make you proud. response:	Of all things...
context: Mother.\Mother, please tell Father to let me go to war.\Your father just said no.\Then no it is, no matter what I say.\Father doesn't understand!\If only he'd let me go,\I know I'd distinguish myself in battle and make you proud.\Of all things... response:	My feats wouldn't impress you?
context: Mother, please tell Father to let me go to war.\Your father just said no.\Then no it is, no matter what I say.\Father doesn't understand!\If only he'd let me go,\I know I'd distinguish myself in battle and make you proud.\Of all things...\My feats wouldn't impress you? response:	That's not what I mean.
context: Your father just said no.\Then no it is, no matter what I say.\Father doesn't understand!\If only he'd let me go,\I know I'd distinguish myself in battle and make you proud.\Of all things...\My feats wouldn't impress you?\That's not what I mean. response:	No, you are always like that, Mother.
context: Then no it is, no matter what I say.\Father doesn't understand!\If only he'd let me go,\I know I'd distinguish myself in battle and make you proud.\Of all things...\My feats wouldn't impress you?\That's not what I mean.\No, you are always like that, Mother. response:	No matter what prize I hunt down or how great I am at martial arts,
context: Father doesn't understand!\If only he'd let me go,\I know I'd distinguish myself in battle and make you proud.\Of all things...\My feats wouldn't impress you?\That's not what I mean.\No, you are always like that, Mother.\No matter what prize I hunt down or how great I am at martial arts, response:	you never care.
context: If only he'd let me go,\I know I'd distinguish myself in battle and make you proud.\Of all things...\My feats wouldn't impress you?\That's not what I mean.\No, you are always like that, Mother.\No matter what prize I hunt down or how great I am at martial arts,\you never care. response:	I just...
context: I know I'd distinguish myself in battle and make you proud.\Of all things...\My feats wouldn't impress you?\That's not what I mean.\No, you are always like that, Mother.\No matter what prize I hunt down or how great I am at martial arts,\you never care.\I just... response:	I do not like things to do with war.
context: Of all things...\My feats wouldn't impress you?\That's not what I mean.\No, you are always like that, Mother.\No matter what prize I hunt down or how great I am at martial arts,\you never care.\I just...\I do not like things to do with war. response:	It is not war you do not like, but me.
context: My feats wouldn't impress you?\That's not what I mean.\No, you are always like that, Mother.\No matter what prize I hunt down or how great I am at martial arts,\you never care.\I just...\I do not like things to do with war.\It is not war you do not like, but me. response:	How can you say that?
context: That's not what I mean.\No, you are always like that, Mother.\No matter what prize I hunt down or how great I am at martial arts,\you never care.\I just...\I do not like things to do with war.\It is not war you do not like, but me.\How can you say that? response:	Tahomaru, what mother would not love her child?
context: No, you are always like that, Mother.\No matter what prize I hunt down or how great I am at martial arts,\you never care.\I just...\I do not like things to do with war.\It is not war you do not like, but me.\How can you say that?\Tahomaru, what mother would not love her child? response:	Hyogo, Mutsu. I wish to go riding. Bring the horses.
context: No matter what prize I hunt down or how great I am at martial arts,\you never care.\I just...\I do not like things to do with war.\It is not war you do not like, but me.\How can you say that?\Tahomaru, what mother would not love her child?\Hyogo, Mutsu. I wish to go riding. Bring the horses. response:	Young Master!
context: you never care.\I just...\I do not like things to do with war.\It is not war you do not like, but me.\How can you say that?\Tahomaru, what mother would not love her child?\Hyogo, Mutsu. I wish to go riding. Bring the horses.\Young Master! response:	You don't have to say it. I was being a bit childish.
context: I just...\I do not like things to do with war.\It is not war you do not like, but me.\How can you say that?\Tahomaru, what mother would not love her child?\Hyogo, Mutsu. I wish to go riding. Bring the horses.\Young Master!\You don't have to say it. I was being a bit childish. response:	A bit?
context: I do not like things to do with war.\It is not war you do not like, but me.\How can you say that?\Tahomaru, what mother would not love her child?\Hyogo, Mutsu. I wish to go riding. Bring the horses.\Young Master!\You don't have to say it. I was being a bit childish.\A bit? response:	Her lady is kind. Especially to you, always.
context: It is not war you do not like, but me.\How can you say that?\Tahomaru, what mother would not love her child?\Hyogo, Mutsu. I wish to go riding. Bring the horses.\Young Master!\You don't have to say it. I was being a bit childish.\A bit?\Her lady is kind. Especially to you, always. response:	I heard you already!
context: How can you say that?\Tahomaru, what mother would not love her child?\Hyogo, Mutsu. I wish to go riding. Bring the horses.\Young Master!\You don't have to say it. I was being a bit childish.\A bit?\Her lady is kind. Especially to you, always.\I heard you already! response:	Mother has never been unkind to me. Yet...
context: Tahomaru, what mother would not love her child?\Hyogo, Mutsu. I wish to go riding. Bring the horses.\Young Master!\You don't have to say it. I was being a bit childish.\A bit?\Her lady is kind. Especially to you, always.\I heard you already!\Mother has never been unkind to me. Yet... response:	Young Master, please, that is dangerous!
context: Hyogo, Mutsu. I wish to go riding. Bring the horses.\Young Master!\You don't have to say it. I was being a bit childish.\A bit?\Her lady is kind. Especially to you, always.\I heard you already!\Mother has never been unkind to me. Yet...\Young Master, please, that is dangerous! response:	You shall get hurt!
context: Young Master!\You don't have to say it. I was being a bit childish.\A bit?\Her lady is kind. Especially to you, always.\I heard you already!\Mother has never been unkind to me. Yet...\Young Master, please, that is dangerous!\You shall get hurt! response:	Hyogo, Mutsu, help him down!
context: You don't have to say it. I was being a bit childish.\A bit?\Her lady is kind. Especially to you, always.\I heard you already!\Mother has never been unkind to me. Yet...\Young Master, please, that is dangerous!\You shall get hurt!\Hyogo, Mutsu, help him down! response:	Mother, look at me!
context: A bit?\Her lady is kind. Especially to you, always.\I heard you already!\Mother has never been unkind to me. Yet...\Young Master, please, that is dangerous!\You shall get hurt!\Hyogo, Mutsu, help him down!\Mother, look at me! response:	-Please, Young Master! -Do come down!
context: Her lady is kind. Especially to you, always.\I heard you already!\Mother has never been unkind to me. Yet...\Young Master, please, that is dangerous!\You shall get hurt!\Hyogo, Mutsu, help him down!\Mother, look at me!\-Please, Young Master! -Do come down! response:	Young Master!
context: I heard you already!\Mother has never been unkind to me. Yet...\Young Master, please, that is dangerous!\You shall get hurt!\Hyogo, Mutsu, help him down!\Mother, look at me!\-Please, Young Master! -Do come down!\Young Master! response:	Please, you mustn't be up there!
context: Mother has never been unkind to me. Yet...\Young Master, please, that is dangerous!\You shall get hurt!\Hyogo, Mutsu, help him down!\Mother, look at me!\-Please, Young Master! -Do come down!\Young Master!\Please, you mustn't be up there! response:	Do you hear me?
context: Young Master, please, that is dangerous!\You shall get hurt!\Hyogo, Mutsu, help him down!\Mother, look at me!\-Please, Young Master! -Do come down!\Young Master!\Please, you mustn't be up there!\Do you hear me? response:	There is something else that Mother cares for much more in this world.
context: You shall get hurt!\Hyogo, Mutsu, help him down!\Mother, look at me!\-Please, Young Master! -Do come down!\Young Master!\Please, you mustn't be up there!\Do you hear me?\There is something else that Mother cares for much more in this world. response:	She will never say it, but she is hiding something.
