context: Why now, of all times?! response:	Where is my brother? Where is Big Brother Dallas?
context: Trouble... trouble, trouble...\Trouble... What is it? What's going on in the dining car?!\Are they killing? Are they getting killed? Really, which is it?\Hey, this is getting me excited! Hey, hey, hey, hey, hey, hey!\What is this?!\Having our take stolen is one thing,\but you think you can fool me with this ridiculous story?!\But it's the truth! response:	It was a pair of robbers, wearing Babe Ruth and Ty Cobb uniforms.
context: Trouble... What is it? What's going on in the dining car?!\Are they killing? Are they getting killed? Really, which is it?\Hey, this is getting me excited! Hey, hey, hey, hey, hey, hey!\What is this?!\Having our take stolen is one thing,\but you think you can fool me with this ridiculous story?!\But it's the truth!\It was a pair of robbers, wearing Babe Ruth and Ty Cobb uniforms. response:	Wham!
context: Are they killing? Are they getting killed? Really, which is it?\Hey, this is getting me excited! Hey, hey, hey, hey, hey, hey!\What is this?!\Having our take stolen is one thing,\but you think you can fool me with this ridiculous story?!\But it's the truth!\It was a pair of robbers, wearing Babe Ruth and Ty Cobb uniforms.\Wham! response:	Impossible!
context: Hey, this is getting me excited! Hey, hey, hey, hey, hey, hey!\What is this?!\Having our take stolen is one thing,\but you think you can fool me with this ridiculous story?!\But it's the truth!\It was a pair of robbers, wearing Babe Ruth and Ty Cobb uniforms.\Wham!\Impossible! response:	The thing is, we interrogated the bag man who was careless,
context: What is this?!\Having our take stolen is one thing,\but you think you can fool me with this ridiculous story?!\But it's the truth!\It was a pair of robbers, wearing Babe Ruth and Ty Cobb uniforms.\Wham!\Impossible!\The thing is, we interrogated the bag man who was careless, response:	and he doesn't appear to be lying.
context: Having our take stolen is one thing,\but you think you can fool me with this ridiculous story?!\But it's the truth!\It was a pair of robbers, wearing Babe Ruth and Ty Cobb uniforms.\Wham!\Impossible!\The thing is, we interrogated the bag man who was careless,\and he doesn't appear to be lying. response:	Ha. And to top things off, Sidaris screwed up, too?!
context: but you think you can fool me with this ridiculous story?!\But it's the truth!\It was a pair of robbers, wearing Babe Ruth and Ty Cobb uniforms.\Wham!\Impossible!\The thing is, we interrogated the bag man who was careless,\and he doesn't appear to be lying.\Ha. And to top things off, Sidaris screwed up, too?! response:	Yes...
context: But it's the truth!\It was a pair of robbers, wearing Babe Ruth and Ty Cobb uniforms.\Wham!\Impossible!\The thing is, we interrogated the bag man who was careless,\and he doesn't appear to be lying.\Ha. And to top things off, Sidaris screwed up, too?!\Yes... response:	It was on the outskirts of the factory district... and...
context: It was a pair of robbers, wearing Babe Ruth and Ty Cobb uniforms.\Wham!\Impossible!\The thing is, we interrogated the bag man who was careless,\and he doesn't appear to be lying.\Ha. And to top things off, Sidaris screwed up, too?!\Yes...\It was on the outskirts of the factory district... and... response:	what was left of him barely even looked human...
context: Wham!\Impossible!\The thing is, we interrogated the bag man who was careless,\and he doesn't appear to be lying.\Ha. And to top things off, Sidaris screwed up, too?!\Yes...\It was on the outskirts of the factory district... and...\what was left of him barely even looked human... response:	From the likes of a delinquent like this?!
context: Impossible!\The thing is, we interrogated the bag man who was careless,\and he doesn't appear to be lying.\Ha. And to top things off, Sidaris screwed up, too?!\Yes...\It was on the outskirts of the factory district... and...\what was left of him barely even looked human...\From the likes of a delinquent like this?! response:	That bunch is quite formidable. Elsewhere, they've been spotted-
context: The thing is, we interrogated the bag man who was careless,\and he doesn't appear to be lying.\Ha. And to top things off, Sidaris screwed up, too?!\Yes...\It was on the outskirts of the factory district... and...\what was left of him barely even looked human...\From the likes of a delinquent like this?!\That bunch is quite formidable. Elsewhere, they've been spotted- response:	Enough! This small-timer is making too much trouble!
context: and he doesn't appear to be lying.\Ha. And to top things off, Sidaris screwed up, too?!\Yes...\It was on the outskirts of the factory district... and...\what was left of him barely even looked human...\From the likes of a delinquent like this?!\That bunch is quite formidable. Elsewhere, they've been spotted-\Enough! This small-timer is making too much trouble! response:	We'll start with those crazy robbers!
context: Ha. And to top things off, Sidaris screwed up, too?!\Yes...\It was on the outskirts of the factory district... and...\what was left of him barely even looked human...\From the likes of a delinquent like this?!\That bunch is quite formidable. Elsewhere, they've been spotted-\Enough! This small-timer is making too much trouble!\We'll start with those crazy robbers! response:	We're gonna put the squeeze on every couple there is in the city!
context: Yes...\It was on the outskirts of the factory district... and...\what was left of him barely even looked human...\From the likes of a delinquent like this?!\That bunch is quite formidable. Elsewhere, they've been spotted-\Enough! This small-timer is making too much trouble!\We'll start with those crazy robbers!\We're gonna put the squeeze on every couple there is in the city! response:	Hold on, Uncle. If you do that,
context: It was on the outskirts of the factory district... and...\what was left of him barely even looked human...\From the likes of a delinquent like this?!\That bunch is quite formidable. Elsewhere, they've been spotted-\Enough! This small-timer is making too much trouble!\We'll start with those crazy robbers!\We're gonna put the squeeze on every couple there is in the city!\Hold on, Uncle. If you do that, response:	people are going to think you're an unpopular old man with a complex.
context: what was left of him barely even looked human...\From the likes of a delinquent like this?!\That bunch is quite formidable. Elsewhere, they've been spotted-\Enough! This small-timer is making too much trouble!\We'll start with those crazy robbers!\We're gonna put the squeeze on every couple there is in the city!\Hold on, Uncle. If you do that,\people are going to think you're an unpopular old man with a complex. response:	Hmph, Ladd! I don't have time to mess around with you right now.
context: From the likes of a delinquent like this?!\That bunch is quite formidable. Elsewhere, they've been spotted-\Enough! This small-timer is making too much trouble!\We'll start with those crazy robbers!\We're gonna put the squeeze on every couple there is in the city!\Hold on, Uncle. If you do that,\people are going to think you're an unpopular old man with a complex.\Hmph, Ladd! I don't have time to mess around with you right now. response:	Now scram!
context: That bunch is quite formidable. Elsewhere, they've been spotted-\Enough! This small-timer is making too much trouble!\We'll start with those crazy robbers!\We're gonna put the squeeze on every couple there is in the city!\Hold on, Uncle. If you do that,\people are going to think you're an unpopular old man with a complex.\Hmph, Ladd! I don't have time to mess around with you right now.\Now scram! response:	Oh? What a cold thing to say to me, Uncle.
context: Enough! This small-timer is making too much trouble!\We'll start with those crazy robbers!\We're gonna put the squeeze on every couple there is in the city!\Hold on, Uncle. If you do that,\people are going to think you're an unpopular old man with a complex.\Hmph, Ladd! I don't have time to mess around with you right now.\Now scram!\Oh? What a cold thing to say to me, Uncle. response:	You've had some money, which you hold almost as dear as your life, taken from you, right?
context: We'll start with those crazy robbers!\We're gonna put the squeeze on every couple there is in the city!\Hold on, Uncle. If you do that,\people are going to think you're an unpopular old man with a complex.\Hmph, Ladd! I don't have time to mess around with you right now.\Now scram!\Oh? What a cold thing to say to me, Uncle.\You've had some money, which you hold almost as dear as your life, taken from you, right? response:	And here, I'm bringing you some good news.
context: We're gonna put the squeeze on every couple there is in the city!\Hold on, Uncle. If you do that,\people are going to think you're an unpopular old man with a complex.\Hmph, Ladd! I don't have time to mess around with you right now.\Now scram!\Oh? What a cold thing to say to me, Uncle.\You've had some money, which you hold almost as dear as your life, taken from you, right?\And here, I'm bringing you some good news. response:	I don't want to hear any of your good news.
context: Hold on, Uncle. If you do that,\people are going to think you're an unpopular old man with a complex.\Hmph, Ladd! I don't have time to mess around with you right now.\Now scram!\Oh? What a cold thing to say to me, Uncle.\You've had some money, which you hold almost as dear as your life, taken from you, right?\And here, I'm bringing you some good news.\I don't want to hear any of your good news. response:	So you might say, uncle, but what you're planning to do
context: people are going to think you're an unpopular old man with a complex.\Hmph, Ladd! I don't have time to mess around with you right now.\Now scram!\Oh? What a cold thing to say to me, Uncle.\You've had some money, which you hold almost as dear as your life, taken from you, right?\And here, I'm bringing you some good news.\I don't want to hear any of your good news.\So you might say, uncle, but what you're planning to do response:	is turn over every stone looking for the culprits,
context: Hmph, Ladd! I don't have time to mess around with you right now.\Now scram!\Oh? What a cold thing to say to me, Uncle.\You've had some money, which you hold almost as dear as your life, taken from you, right?\And here, I'm bringing you some good news.\I don't want to hear any of your good news.\So you might say, uncle, but what you're planning to do\is turn over every stone looking for the culprits, response:	squeeze them by their necks, and squeeze, and squeeze,
context: Now scram!\Oh? What a cold thing to say to me, Uncle.\You've had some money, which you hold almost as dear as your life, taken from you, right?\And here, I'm bringing you some good news.\I don't want to hear any of your good news.\So you might say, uncle, but what you're planning to do\is turn over every stone looking for the culprits,\squeeze them by their necks, and squeeze, and squeeze, response:	and squeeze, and squeeze,
context: Oh? What a cold thing to say to me, Uncle.\You've had some money, which you hold almost as dear as your life, taken from you, right?\And here, I'm bringing you some good news.\I don't want to hear any of your good news.\So you might say, uncle, but what you're planning to do\is turn over every stone looking for the culprits,\squeeze them by their necks, and squeeze, and squeeze,\and squeeze, and squeeze, response:	and even when they start to foam, you squeeze, and squeeze,
context: You've had some money, which you hold almost as dear as your life, taken from you, right?\And here, I'm bringing you some good news.\I don't want to hear any of your good news.\So you might say, uncle, but what you're planning to do\is turn over every stone looking for the culprits,\squeeze them by their necks, and squeeze, and squeeze,\and squeeze, and squeeze,\and even when they start to foam, you squeeze, and squeeze, response:	and when their eyes are about to pop out, you keep squeezing...
context: And here, I'm bringing you some good news.\I don't want to hear any of your good news.\So you might say, uncle, but what you're planning to do\is turn over every stone looking for the culprits,\squeeze them by their necks, and squeeze, and squeeze,\and squeeze, and squeeze,\and even when they start to foam, you squeeze, and squeeze,\and when their eyes are about to pop out, you keep squeezing... response:	Then, finally...
context: I don't want to hear any of your good news.\So you might say, uncle, but what you're planning to do\is turn over every stone looking for the culprits,\squeeze them by their necks, and squeeze, and squeeze,\and squeeze, and squeeze,\and even when they start to foam, you squeeze, and squeeze,\and when their eyes are about to pop out, you keep squeezing...\Then, finally... response:	there, farewell.
context: So you might say, uncle, but what you're planning to do\is turn over every stone looking for the culprits,\squeeze them by their necks, and squeeze, and squeeze,\and squeeze, and squeeze,\and even when they start to foam, you squeeze, and squeeze,\and when their eyes are about to pop out, you keep squeezing...\Then, finally...\there, farewell. response:	That it?
context: is turn over every stone looking for the culprits,\squeeze them by their necks, and squeeze, and squeeze,\and squeeze, and squeeze,\and even when they start to foam, you squeeze, and squeeze,\and when their eyes are about to pop out, you keep squeezing...\Then, finally...\there, farewell.\That it? response:	Ladd, you homicidal maniac...
context: squeeze them by their necks, and squeeze, and squeeze,\and squeeze, and squeeze,\and even when they start to foam, you squeeze, and squeeze,\and when their eyes are about to pop out, you keep squeezing...\Then, finally...\there, farewell.\That it?\Ladd, you homicidal maniac... response:	You sure do say the unkindest things,
context: and squeeze, and squeeze,\and even when they start to foam, you squeeze, and squeeze,\and when their eyes are about to pop out, you keep squeezing...\Then, finally...\there, farewell.\That it?\Ladd, you homicidal maniac...\You sure do say the unkindest things, response:	to me, the greatest assassin the Russo Family ever had.
context: and even when they start to foam, you squeeze, and squeeze,\and when their eyes are about to pop out, you keep squeezing...\Then, finally...\there, farewell.\That it?\Ladd, you homicidal maniac...\You sure do say the unkindest things,\to me, the greatest assassin the Russo Family ever had. response:	That's because you've got no other use besides being a killer!
context: and when their eyes are about to pop out, you keep squeezing...\Then, finally...\there, farewell.\That it?\Ladd, you homicidal maniac...\You sure do say the unkindest things,\to me, the greatest assassin the Russo Family ever had.\That's because you've got no other use besides being a killer! response:	Have you ever considered that I'm the only one you can count on,
context: Then, finally...\there, farewell.\That it?\Ladd, you homicidal maniac...\You sure do say the unkindest things,\to me, the greatest assassin the Russo Family ever had.\That's because you've got no other use besides being a killer!\Have you ever considered that I'm the only one you can count on, response:	Uncle?
context: there, farewell.\That it?\Ladd, you homicidal maniac...\You sure do say the unkindest things,\to me, the greatest assassin the Russo Family ever had.\That's because you've got no other use besides being a killer!\Have you ever considered that I'm the only one you can count on,\Uncle? response:	Now, listen. There's a special express
context: That it?\Ladd, you homicidal maniac...\You sure do say the unkindest things,\to me, the greatest assassin the Russo Family ever had.\That's because you've got no other use besides being a killer!\Have you ever considered that I'm the only one you can count on,\Uncle?\Now, listen. There's a special express response:	- the Flying Pussyfoot, was it- that leaves Chicago Union this evening.
context: Ladd, you homicidal maniac...\You sure do say the unkindest things,\to me, the greatest assassin the Russo Family ever had.\That's because you've got no other use besides being a killer!\Have you ever considered that I'm the only one you can count on,\Uncle?\Now, listen. There's a special express\- the Flying Pussyfoot, was it- that leaves Chicago Union this evening. response:	It's a nonstop that goes directly to New York.
context: You sure do say the unkindest things,\to me, the greatest assassin the Russo Family ever had.\That's because you've got no other use besides being a killer!\Have you ever considered that I'm the only one you can count on,\Uncle?\Now, listen. There's a special express\- the Flying Pussyfoot, was it- that leaves Chicago Union this evening.\It's a nonstop that goes directly to New York. response:	I was just thinking of hijacking it,
context: to me, the greatest assassin the Russo Family ever had.\That's because you've got no other use besides being a killer!\Have you ever considered that I'm the only one you can count on,\Uncle?\Now, listen. There's a special express\- the Flying Pussyfoot, was it- that leaves Chicago Union this evening.\It's a nonstop that goes directly to New York.\I was just thinking of hijacking it, response:	and running it right into the middle of Manhattan.
context: That's because you've got no other use besides being a killer!\Have you ever considered that I'm the only one you can count on,\Uncle?\Now, listen. There's a special express\- the Flying Pussyfoot, was it- that leaves Chicago Union this evening.\It's a nonstop that goes directly to New York.\I was just thinking of hijacking it,\and running it right into the middle of Manhattan. response:	But that's just a bluff. I'll just threaten that at first.
context: Have you ever considered that I'm the only one you can count on,\Uncle?\Now, listen. There's a special express\- the Flying Pussyfoot, was it- that leaves Chicago Union this evening.\It's a nonstop that goes directly to New York.\I was just thinking of hijacking it,\and running it right into the middle of Manhattan.\But that's just a bluff. I'll just threaten that at first. response:	Then, if they don't pay me any money,
context: Uncle?\Now, listen. There's a special express\- the Flying Pussyfoot, was it- that leaves Chicago Union this evening.\It's a nonstop that goes directly to New York.\I was just thinking of hijacking it,\and running it right into the middle of Manhattan.\But that's just a bluff. I'll just threaten that at first.\Then, if they don't pay me any money, response:	I'll just switch it to a passenger kidnapping.
context: Now, listen. There's a special express\- the Flying Pussyfoot, was it- that leaves Chicago Union this evening.\It's a nonstop that goes directly to New York.\I was just thinking of hijacking it,\and running it right into the middle of Manhattan.\But that's just a bluff. I'll just threaten that at first.\Then, if they don't pay me any money,\I'll just switch it to a passenger kidnapping. response:	Oh, but then, if I kill half of the passengers,
context: - the Flying Pussyfoot, was it- that leaves Chicago Union this evening.\It's a nonstop that goes directly to New York.\I was just thinking of hijacking it,\and running it right into the middle of Manhattan.\But that's just a bluff. I'll just threaten that at first.\Then, if they don't pay me any money,\I'll just switch it to a passenger kidnapping.\Oh, but then, if I kill half of the passengers, response:	I think that the railroad company will pay me money.
context: It's a nonstop that goes directly to New York.\I was just thinking of hijacking it,\and running it right into the middle of Manhattan.\But that's just a bluff. I'll just threaten that at first.\Then, if they don't pay me any money,\I'll just switch it to a passenger kidnapping.\Oh, but then, if I kill half of the passengers,\I think that the railroad company will pay me money. response:	I get to kill people, and we get some money.
context: I was just thinking of hijacking it,\and running it right into the middle of Manhattan.\But that's just a bluff. I'll just threaten that at first.\Then, if they don't pay me any money,\I'll just switch it to a passenger kidnapping.\Oh, but then, if I kill half of the passengers,\I think that the railroad company will pay me money.\I get to kill people, and we get some money. response:	Good idea, isn't it, Uncle?
context: and running it right into the middle of Manhattan.\But that's just a bluff. I'll just threaten that at first.\Then, if they don't pay me any money,\I'll just switch it to a passenger kidnapping.\Oh, but then, if I kill half of the passengers,\I think that the railroad company will pay me money.\I get to kill people, and we get some money.\Good idea, isn't it, Uncle? response:	Get out!
context: But that's just a bluff. I'll just threaten that at first.\Then, if they don't pay me any money,\I'll just switch it to a passenger kidnapping.\Oh, but then, if I kill half of the passengers,\I think that the railroad company will pay me money.\I get to kill people, and we get some money.\Good idea, isn't it, Uncle?\Get out! response:	Hey, somebody throw him out of here!
context: Then, if they don't pay me any money,\I'll just switch it to a passenger kidnapping.\Oh, but then, if I kill half of the passengers,\I think that the railroad company will pay me money.\I get to kill people, and we get some money.\Good idea, isn't it, Uncle?\Get out!\Hey, somebody throw him out of here! response:	Okay, okay.
context: I'll just switch it to a passenger kidnapping.\Oh, but then, if I kill half of the passengers,\I think that the railroad company will pay me money.\I get to kill people, and we get some money.\Good idea, isn't it, Uncle?\Get out!\Hey, somebody throw him out of here!\Okay, okay. response:	Who are you?!
context: Oh, but then, if I kill half of the passengers,\I think that the railroad company will pay me money.\I get to kill people, and we get some money.\Good idea, isn't it, Uncle?\Get out!\Hey, somebody throw him out of here!\Okay, okay.\Who are you?! response:	They're my men. Friends, who share the same tastes.
context: I think that the railroad company will pay me money.\I get to kill people, and we get some money.\Good idea, isn't it, Uncle?\Get out!\Hey, somebody throw him out of here!\Okay, okay.\Who are you?!\They're my men. Friends, who share the same tastes. response:	Oh, by the way, this woman is Lua.
context: I get to kill people, and we get some money.\Good idea, isn't it, Uncle?\Get out!\Hey, somebody throw him out of here!\Okay, okay.\Who are you?!\They're my men. Friends, who share the same tastes.\Oh, by the way, this woman is Lua. response:	She's my lover, my girlfriend, and my fiancee, so your regards, Uncle.
context: Good idea, isn't it, Uncle?\Get out!\Hey, somebody throw him out of here!\Okay, okay.\Who are you?!\They're my men. Friends, who share the same tastes.\Oh, by the way, this woman is Lua.\She's my lover, my girlfriend, and my fiancee, so your regards, Uncle. response:	U-Um, hi there.
context: Get out!\Hey, somebody throw him out of here!\Okay, okay.\Who are you?!\They're my men. Friends, who share the same tastes.\Oh, by the way, this woman is Lua.\She's my lover, my girlfriend, and my fiancee, so your regards, Uncle.\U-Um, hi there. response:	She's kind of a timid thing.
context: Hey, somebody throw him out of here!\Okay, okay.\Who are you?!\They're my men. Friends, who share the same tastes.\Oh, by the way, this woman is Lua.\She's my lover, my girlfriend, and my fiancee, so your regards, Uncle.\U-Um, hi there.\She's kind of a timid thing. response:	Although, that's just what I need to soothe my excitability.
context: Okay, okay.\Who are you?!\They're my men. Friends, who share the same tastes.\Oh, by the way, this woman is Lua.\She's my lover, my girlfriend, and my fiancee, so your regards, Uncle.\U-Um, hi there.\She's kind of a timid thing.\Although, that's just what I need to soothe my excitability. response:	Silence, you filthy brat!
context: Who are you?!\They're my men. Friends, who share the same tastes.\Oh, by the way, this woman is Lua.\She's my lover, my girlfriend, and my fiancee, so your regards, Uncle.\U-Um, hi there.\She's kind of a timid thing.\Although, that's just what I need to soothe my excitability.\Silence, you filthy brat! response:	Now look, go ahead and kidnap, kill, and do whatever else you want,
context: They're my men. Friends, who share the same tastes.\Oh, by the way, this woman is Lua.\She's my lover, my girlfriend, and my fiancee, so your regards, Uncle.\U-Um, hi there.\She's kind of a timid thing.\Although, that's just what I need to soothe my excitability.\Silence, you filthy brat!\Now look, go ahead and kidnap, kill, and do whatever else you want, response:	but I will not allow you to bring our name into it!
context: Oh, by the way, this woman is Lua.\She's my lover, my girlfriend, and my fiancee, so your regards, Uncle.\U-Um, hi there.\She's kind of a timid thing.\Although, that's just what I need to soothe my excitability.\Silence, you filthy brat!\Now look, go ahead and kidnap, kill, and do whatever else you want,\but I will not allow you to bring our name into it! response:	You're gonna act like nobody anyone knows, kill whoever, and die-
context: She's my lover, my girlfriend, and my fiancee, so your regards, Uncle.\U-Um, hi there.\She's kind of a timid thing.\Although, that's just what I need to soothe my excitability.\Silence, you filthy brat!\Now look, go ahead and kidnap, kill, and do whatever else you want,\but I will not allow you to bring our name into it!\You're gonna act like nobody anyone knows, kill whoever, and die- response:	All right, already!
context: U-Um, hi there.\She's kind of a timid thing.\Although, that's just what I need to soothe my excitability.\Silence, you filthy brat!\Now look, go ahead and kidnap, kill, and do whatever else you want,\but I will not allow you to bring our name into it!\You're gonna act like nobody anyone knows, kill whoever, and die-\All right, already! response:	Killing ends up being more fun when I do it for my own pleasure.
context: She's kind of a timid thing.\Although, that's just what I need to soothe my excitability.\Silence, you filthy brat!\Now look, go ahead and kidnap, kill, and do whatever else you want,\but I will not allow you to bring our name into it!\You're gonna act like nobody anyone knows, kill whoever, and die-\All right, already!\Killing ends up being more fun when I do it for my own pleasure. response:	Ladd...
context: Although, that's just what I need to soothe my excitability.\Silence, you filthy brat!\Now look, go ahead and kidnap, kill, and do whatever else you want,\but I will not allow you to bring our name into it!\You're gonna act like nobody anyone knows, kill whoever, and die-\All right, already!\Killing ends up being more fun when I do it for my own pleasure.\Ladd... response:	You know, Uncle,
context: Silence, you filthy brat!\Now look, go ahead and kidnap, kill, and do whatever else you want,\but I will not allow you to bring our name into it!\You're gonna act like nobody anyone knows, kill whoever, and die-\All right, already!\Killing ends up being more fun when I do it for my own pleasure.\Ladd...\You know, Uncle, response:	there's a certain type of folk that I especially like to kill.
context: Now look, go ahead and kidnap, kill, and do whatever else you want,\but I will not allow you to bring our name into it!\You're gonna act like nobody anyone knows, kill whoever, and die-\All right, already!\Killing ends up being more fun when I do it for my own pleasure.\Ladd...\You know, Uncle,\there's a certain type of folk that I especially like to kill. response:	It doesn't have to do with whether they're weak or strong.
context: but I will not allow you to bring our name into it!\You're gonna act like nobody anyone knows, kill whoever, and die-\All right, already!\Killing ends up being more fun when I do it for my own pleasure.\Ladd...\You know, Uncle,\there's a certain type of folk that I especially like to kill.\It doesn't have to do with whether they're weak or strong. response:	The ones that I kill... the ones that I enjoy killing...
context: You're gonna act like nobody anyone knows, kill whoever, and die-\All right, already!\Killing ends up being more fun when I do it for my own pleasure.\Ladd...\You know, Uncle,\there's a certain type of folk that I especially like to kill.\It doesn't have to do with whether they're weak or strong.\The ones that I kill... the ones that I enjoy killing... response:	are the ones who are most off-guard. You get me?
context: All right, already!\Killing ends up being more fun when I do it for my own pleasure.\Ladd...\You know, Uncle,\there's a certain type of folk that I especially like to kill.\It doesn't have to do with whether they're weak or strong.\The ones that I kill... the ones that I enjoy killing...\are the ones who are most off-guard. You get me? response:	The folks who think they are in an absolutely safe location,
context: Killing ends up being more fun when I do it for my own pleasure.\Ladd...\You know, Uncle,\there's a certain type of folk that I especially like to kill.\It doesn't have to do with whether they're weak or strong.\The ones that I kill... the ones that I enjoy killing...\are the ones who are most off-guard. You get me?\The folks who think they are in an absolutely safe location, response:	never even thinking that they might die in the next instant.
context: Ladd...\You know, Uncle,\there's a certain type of folk that I especially like to kill.\It doesn't have to do with whether they're weak or strong.\The ones that I kill... the ones that I enjoy killing...\are the ones who are most off-guard. You get me?\The folks who think they are in an absolutely safe location,\never even thinking that they might die in the next instant. response:	Those types of folks. In other words,
context: You know, Uncle,\there's a certain type of folk that I especially like to kill.\It doesn't have to do with whether they're weak or strong.\The ones that I kill... the ones that I enjoy killing...\are the ones who are most off-guard. You get me?\The folks who think they are in an absolutely safe location,\never even thinking that they might die in the next instant.\Those types of folks. In other words, response:	the type of person that you are now, Uncle.
context: there's a certain type of folk that I especially like to kill.\It doesn't have to do with whether they're weak or strong.\The ones that I kill... the ones that I enjoy killing...\are the ones who are most off-guard. You get me?\The folks who think they are in an absolutely safe location,\never even thinking that they might die in the next instant.\Those types of folks. In other words,\the type of person that you are now, Uncle. response:	Please, don't do it!
context: It doesn't have to do with whether they're weak or strong.\The ones that I kill... the ones that I enjoy killing...\are the ones who are most off-guard. You get me?\The folks who think they are in an absolutely safe location,\never even thinking that they might die in the next instant.\Those types of folks. In other words,\the type of person that you are now, Uncle.\Please, don't do it! response:	There's no way I'd kill you, you know. It's not even loaded.
context: The ones that I kill... the ones that I enjoy killing...\are the ones who are most off-guard. You get me?\The folks who think they are in an absolutely safe location,\never even thinking that they might die in the next instant.\Those types of folks. In other words,\the type of person that you are now, Uncle.\Please, don't do it!\There's no way I'd kill you, you know. It's not even loaded. response:	Uncle, you've been looking out for me all this time.
