context: Opening response:	Signs
context: Ah, this feels great!\The water gets deeper that way, so be careful.\You okay?\Yeah.\What do you think you're looking at? There's a damsel in distress here!\Sorry! Sorry!\Togashi, you perv!\Aw, stop it! response:	Togashi, you perv!
context: The water gets deeper that way, so be careful.\You okay?\Yeah.\What do you think you're looking at? There's a damsel in distress here!\Sorry! Sorry!\Togashi, you perv!\Aw, stop it!\Togashi, you perv! response:	Stop it!
context: You okay?\Yeah.\What do you think you're looking at? There's a damsel in distress here!\Sorry! Sorry!\Togashi, you perv!\Aw, stop it!\Togashi, you perv!\Stop it! response:	You perv!
context: Yeah.\What do you think you're looking at? There's a damsel in distress here!\Sorry! Sorry!\Togashi, you perv!\Aw, stop it!\Togashi, you perv!\Stop it!\You perv! response:	Stop it, please!
context: What do you think you're looking at? There's a damsel in distress here!\Sorry! Sorry!\Togashi, you perv!\Aw, stop it!\Togashi, you perv!\Stop it!\You perv!\Stop it, please! response:	Stop it!
context: Sorry! Sorry!\Togashi, you perv!\Aw, stop it!\Togashi, you perv!\Stop it!\You perv!\Stop it, please!\Stop it! response:	You've finally come back to us.
context: Togashi, you perv!\Aw, stop it!\Togashi, you perv!\Stop it!\You perv!\Stop it, please!\Stop it!\You've finally come back to us. response:	What's that you're holding?
context: Aw, stop it!\Togashi, you perv!\Stop it!\You perv!\Stop it, please!\Stop it!\You've finally come back to us.\What's that you're holding? response:	The Heidrich Buster!
context: Togashi, you perv!\Stop it!\You perv!\Stop it, please!\Stop it!\You've finally come back to us.\What's that you're holding?\The Heidrich Buster! response:	Pressure rising in the mana chamber.
context: Stop it!\You perv!\Stop it, please!\Stop it!\You've finally come back to us.\What's that you're holding?\The Heidrich Buster!\Pressure rising in the mana chamber. response:	Energy charging, 120...
context: You perv!\Stop it, please!\Stop it!\You've finally come back to us.\What's that you're holding?\The Heidrich Buster!\Pressure rising in the mana chamber.\Energy charging, 120... response:	So that was you?!
context: Stop it, please!\Stop it!\You've finally come back to us.\What's that you're holding?\The Heidrich Buster!\Pressure rising in the mana chamber.\Energy charging, 120...\So that was you?! response:	What happened to your forehead?
context: Stop it!\You've finally come back to us.\What's that you're holding?\The Heidrich Buster!\Pressure rising in the mana chamber.\Energy charging, 120...\So that was you?!\What happened to your forehead? response:	My forehead?
context: You've finally come back to us.\What's that you're holding?\The Heidrich Buster!\Pressure rising in the mana chamber.\Energy charging, 120...\So that was you?!\What happened to your forehead?\My forehead? response:	I was caught up in a fierce battle last night, and
context: What's that you're holding?\The Heidrich Buster!\Pressure rising in the mana chamber.\Energy charging, 120...\So that was you?!\What happened to your forehead?\My forehead?\I was caught up in a fierce battle last night, and response:	Ah, it'd be safer for you not to know.
context: The Heidrich Buster!\Pressure rising in the mana chamber.\Energy charging, 120...\So that was you?!\What happened to your forehead?\My forehead?\I was caught up in a fierce battle last night, and\Ah, it'd be safer for you not to know. response:	Eighth-grader syndrome is a real pain to deal with.
context: Pressure rising in the mana chamber.\Energy charging, 120...\So that was you?!\What happened to your forehead?\My forehead?\I was caught up in a fierce battle last night, and\Ah, it'd be safer for you not to know.\Eighth-grader syndrome is a real pain to deal with. response:	A cat?
context: Energy charging, 120...\So that was you?!\What happened to your forehead?\My forehead?\I was caught up in a fierce battle last night, and\Ah, it'd be safer for you not to know.\Eighth-grader syndrome is a real pain to deal with.\A cat? response:	Meow!
context: So that was you?!\What happened to your forehead?\My forehead?\I was caught up in a fierce battle last night, and\Ah, it'd be safer for you not to know.\Eighth-grader syndrome is a real pain to deal with.\A cat?\Meow! response:	A chimera?
context: What happened to your forehead?\My forehead?\I was caught up in a fierce battle last night, and\Ah, it'd be safer for you not to know.\Eighth-grader syndrome is a real pain to deal with.\A cat?\Meow!\A chimera? response:	You mean the monster from Greek mythology and video games?
context: My forehead?\I was caught up in a fierce battle last night, and\Ah, it'd be safer for you not to know.\Eighth-grader syndrome is a real pain to deal with.\A cat?\Meow!\A chimera?\You mean the monster from Greek mythology and video games? response:	Yeah. Last night I was investigating the Ethereal Horizon, when suddenly...
context: I was caught up in a fierce battle last night, and\Ah, it'd be safer for you not to know.\Eighth-grader syndrome is a real pain to deal with.\A cat?\Meow!\A chimera?\You mean the monster from Greek mythology and video games?\Yeah. Last night I was investigating the Ethereal Horizon, when suddenly... response:	I caught it!
context: Ah, it'd be safer for you not to know.\Eighth-grader syndrome is a real pain to deal with.\A cat?\Meow!\A chimera?\You mean the monster from Greek mythology and video games?\Yeah. Last night I was investigating the Ethereal Horizon, when suddenly...\I caught it! response:	You want to keep it?
context: Eighth-grader syndrome is a real pain to deal with.\A cat?\Meow!\A chimera?\You mean the monster from Greek mythology and video games?\Yeah. Last night I was investigating the Ethereal Horizon, when suddenly...\I caught it!\You want to keep it? response:	Yes.
context: A cat?\Meow!\A chimera?\You mean the monster from Greek mythology and video games?\Yeah. Last night I was investigating the Ethereal Horizon, when suddenly...\I caught it!\You want to keep it?\Yes. response:	This beast will serve as my familiar.
context: Meow!\A chimera?\You mean the monster from Greek mythology and video games?\Yeah. Last night I was investigating the Ethereal Horizon, when suddenly...\I caught it!\You want to keep it?\Yes.\This beast will serve as my familiar. response:	A chimera from the depths of oblivion should prove invaluable in my search for the Ethereal Horizon.
context: A chimera?\You mean the monster from Greek mythology and video games?\Yeah. Last night I was investigating the Ethereal Horizon, when suddenly...\I caught it!\You want to keep it?\Yes.\This beast will serve as my familiar.\A chimera from the depths of oblivion should prove invaluable in my search for the Ethereal Horizon. response:	But there's one problem.
context: You mean the monster from Greek mythology and video games?\Yeah. Last night I was investigating the Ethereal Horizon, when suddenly...\I caught it!\You want to keep it?\Yes.\This beast will serve as my familiar.\A chimera from the depths of oblivion should prove invaluable in my search for the Ethereal Horizon.\But there's one problem. response:	What problem?
context: Yeah. Last night I was investigating the Ethereal Horizon, when suddenly...\I caught it!\You want to keep it?\Yes.\This beast will serve as my familiar.\A chimera from the depths of oblivion should prove invaluable in my search for the Ethereal Horizon.\But there's one problem.\What problem? response:	The priestess of the Ethereal Horizon Overseers displays immune hyperreaction to chimeras.
context: I caught it!\You want to keep it?\Yes.\This beast will serve as my familiar.\A chimera from the depths of oblivion should prove invaluable in my search for the Ethereal Horizon.\But there's one problem.\What problem?\The priestess of the Ethereal Horizon Overseers displays immune hyperreaction to chimeras. response:	You mean your sister is allergic to cats?
context: You want to keep it?\Yes.\This beast will serve as my familiar.\A chimera from the depths of oblivion should prove invaluable in my search for the Ethereal Horizon.\But there's one problem.\What problem?\The priestess of the Ethereal Horizon Overseers displays immune hyperreaction to chimeras.\You mean your sister is allergic to cats? response:	And thus I enlist the help of my comrade, the Dark Flame Mas
context: Yes.\This beast will serve as my familiar.\A chimera from the depths of oblivion should prove invaluable in my search for the Ethereal Horizon.\But there's one problem.\What problem?\The priestess of the Ethereal Horizon Overseers displays immune hyperreaction to chimeras.\You mean your sister is allergic to cats?\And thus I enlist the help of my comrade, the Dark Flame Mas response:	Not a chance.
context: This beast will serve as my familiar.\A chimera from the depths of oblivion should prove invaluable in my search for the Ethereal Horizon.\But there's one problem.\What problem?\The priestess of the Ethereal Horizon Overseers displays immune hyperreaction to chimeras.\You mean your sister is allergic to cats?\And thus I enlist the help of my comrade, the Dark Flame Mas\Not a chance. response:	A week has passed since I started high school.
context: A chimera from the depths of oblivion should prove invaluable in my search for the Ethereal Horizon.\But there's one problem.\What problem?\The priestess of the Ethereal Horizon Overseers displays immune hyperreaction to chimeras.\You mean your sister is allergic to cats?\And thus I enlist the help of my comrade, the Dark Flame Mas\Not a chance.\A week has passed since I started high school. response:	All right, thanks in advance.
context: But there's one problem.\What problem?\The priestess of the Ethereal Horizon Overseers displays immune hyperreaction to chimeras.\You mean your sister is allergic to cats?\And thus I enlist the help of my comrade, the Dark Flame Mas\Not a chance.\A week has passed since I started high school.\All right, thanks in advance. response:	Hey, Dark Flame Master...
context: What problem?\The priestess of the Ethereal Horizon Overseers displays immune hyperreaction to chimeras.\You mean your sister is allergic to cats?\And thus I enlist the help of my comrade, the Dark Flame Mas\Not a chance.\A week has passed since I started high school.\All right, thanks in advance.\Hey, Dark Flame Master... response:	Dark Flame Master!
context: The priestess of the Ethereal Horizon Overseers displays immune hyperreaction to chimeras.\You mean your sister is allergic to cats?\And thus I enlist the help of my comrade, the Dark Flame Mas\Not a chance.\A week has passed since I started high school.\All right, thanks in advance.\Hey, Dark Flame Master...\Dark Flame Master! response:	Shut up!
context: You mean your sister is allergic to cats?\And thus I enlist the help of my comrade, the Dark Flame Mas\Not a chance.\A week has passed since I started high school.\All right, thanks in advance.\Hey, Dark Flame Master...\Dark Flame Master!\Shut up! response:	Over time, I got used to dealing with this serious case of eighth-grader syndrome.
context: And thus I enlist the help of my comrade, the Dark Flame Mas\Not a chance.\A week has passed since I started high school.\All right, thanks in advance.\Hey, Dark Flame Master...\Dark Flame Master!\Shut up!\Over time, I got used to dealing with this serious case of eighth-grader syndrome. response:	Yuuta...
context: Not a chance.\A week has passed since I started high school.\All right, thanks in advance.\Hey, Dark Flame Master...\Dark Flame Master!\Shut up!\Over time, I got used to dealing with this serious case of eighth-grader syndrome.\Yuuta... response:	No means no!
context: A week has passed since I started high school.\All right, thanks in advance.\Hey, Dark Flame Master...\Dark Flame Master!\Shut up!\Over time, I got used to dealing with this serious case of eighth-grader syndrome.\Yuuta...\No means no! response:	Kuzuha and Yumeha both love animals,
context: All right, thanks in advance.\Hey, Dark Flame Master...\Dark Flame Master!\Shut up!\Over time, I got used to dealing with this serious case of eighth-grader syndrome.\Yuuta...\No means no!\Kuzuha and Yumeha both love animals, response:	and Mom wouldn't object either,
context: Hey, Dark Flame Master...\Dark Flame Master!\Shut up!\Over time, I got used to dealing with this serious case of eighth-grader syndrome.\Yuuta...\No means no!\Kuzuha and Yumeha both love animals,\and Mom wouldn't object either, response:	but doing what you want is against my principles.
context: Dark Flame Master!\Shut up!\Over time, I got used to dealing with this serious case of eighth-grader syndrome.\Yuuta...\No means no!\Kuzuha and Yumeha both love animals,\and Mom wouldn't object either,\but doing what you want is against my principles. response:	Yuuta, you're so mean.
context: Shut up!\Over time, I got used to dealing with this serious case of eighth-grader syndrome.\Yuuta...\No means no!\Kuzuha and Yumeha both love animals,\and Mom wouldn't object either,\but doing what you want is against my principles.\Yuuta, you're so mean. response:	By the way, where's your dad?
context: Over time, I got used to dealing with this serious case of eighth-grader syndrome.\Yuuta...\No means no!\Kuzuha and Yumeha both love animals,\and Mom wouldn't object either,\but doing what you want is against my principles.\Yuuta, you're so mean.\By the way, where's your dad? response:	He's working in Jakarta.
context: Yuuta...\No means no!\Kuzuha and Yumeha both love animals,\and Mom wouldn't object either,\but doing what you want is against my principles.\Yuuta, you're so mean.\By the way, where's your dad?\He's working in Jakarta. response:	I see...
context: No means no!\Kuzuha and Yumeha both love animals,\and Mom wouldn't object either,\but doing what you want is against my principles.\Yuuta, you're so mean.\By the way, where's your dad?\He's working in Jakarta.\I see... response:	Did you know that Jakarta is the origin of the Japanese word for potato?
context: Kuzuha and Yumeha both love animals,\and Mom wouldn't object either,\but doing what you want is against my principles.\Yuuta, you're so mean.\By the way, where's your dad?\He's working in Jakarta.\I see...\Did you know that Jakarta is the origin of the Japanese word for potato? response:	I must be careful not to let anything slip about my past,
context: and Mom wouldn't object either,\but doing what you want is against my principles.\Yuuta, you're so mean.\By the way, where's your dad?\He's working in Jakarta.\I see...\Did you know that Jakarta is the origin of the Japanese word for potato?\I must be careful not to let anything slip about my past, response:	but at least for now I've managed to blend into my class without any problems.
context: but doing what you want is against my principles.\Yuuta, you're so mean.\By the way, where's your dad?\He's working in Jakarta.\I see...\Did you know that Jakarta is the origin of the Japanese word for potato?\I must be careful not to let anything slip about my past,\but at least for now I've managed to blend into my class without any problems. response:	Well then, Hirakata, you're class librarian.
context: Yuuta, you're so mean.\By the way, where's your dad?\He's working in Jakarta.\I see...\Did you know that Jakarta is the origin of the Japanese word for potato?\I must be careful not to let anything slip about my past,\but at least for now I've managed to blend into my class without any problems.\Well then, Hirakata, you're class librarian. response:	In the end I was so over-conscious about my behavior that I ended up as one of the class reps,
context: By the way, where's your dad?\He's working in Jakarta.\I see...\Did you know that Jakarta is the origin of the Japanese word for potato?\I must be careful not to let anything slip about my past,\but at least for now I've managed to blend into my class without any problems.\Well then, Hirakata, you're class librarian.\In the end I was so over-conscious about my behavior that I ended up as one of the class reps, response:	but that might not be such a bad thing at all.
context: He's working in Jakarta.\I see...\Did you know that Jakarta is the origin of the Japanese word for potato?\I must be careful not to let anything slip about my past,\but at least for now I've managed to blend into my class without any problems.\Well then, Hirakata, you're class librarian.\In the end I was so over-conscious about my behavior that I ended up as one of the class reps,\but that might not be such a bad thing at all. response:	All right, we're finished.
context: I see...\Did you know that Jakarta is the origin of the Japanese word for potato?\I must be careful not to let anything slip about my past,\but at least for now I've managed to blend into my class without any problems.\Well then, Hirakata, you're class librarian.\In the end I was so over-conscious about my behavior that I ended up as one of the class reps,\but that might not be such a bad thing at all.\All right, we're finished. response:	Thanks! Well done.
context: Did you know that Jakarta is the origin of the Japanese word for potato?\I must be careful not to let anything slip about my past,\but at least for now I've managed to blend into my class without any problems.\Well then, Hirakata, you're class librarian.\In the end I was so over-conscious about my behavior that I ended up as one of the class reps,\but that might not be such a bad thing at all.\All right, we're finished.\Thanks! Well done. response:	Homeroom's over.
context: I must be careful not to let anything slip about my past,\but at least for now I've managed to blend into my class without any problems.\Well then, Hirakata, you're class librarian.\In the end I was so over-conscious about my behavior that I ended up as one of the class reps,\but that might not be such a bad thing at all.\All right, we're finished.\Thanks! Well done.\Homeroom's over. response:	Nice job, man.
context: but at least for now I've managed to blend into my class without any problems.\Well then, Hirakata, you're class librarian.\In the end I was so over-conscious about my behavior that I ended up as one of the class reps,\but that might not be such a bad thing at all.\All right, we're finished.\Thanks! Well done.\Homeroom's over.\Nice job, man. response:	It's tough work being a class rep.
context: Well then, Hirakata, you're class librarian.\In the end I was so over-conscious about my behavior that I ended up as one of the class reps,\but that might not be such a bad thing at all.\All right, we're finished.\Thanks! Well done.\Homeroom's over.\Nice job, man.\It's tough work being a class rep. response:	Like you can say that.
context: In the end I was so over-conscious about my behavior that I ended up as one of the class reps,\but that might not be such a bad thing at all.\All right, we're finished.\Thanks! Well done.\Homeroom's over.\Nice job, man.\It's tough work being a class rep.\Like you can say that. response:	Yeah, yeah. Oh, who're you gonna vote for?
context: but that might not be such a bad thing at all.\All right, we're finished.\Thanks! Well done.\Homeroom's over.\Nice job, man.\It's tough work being a class rep.\Like you can say that.\Yeah, yeah. Oh, who're you gonna vote for? response:	I'd like to open the poll soon.
context: All right, we're finished.\Thanks! Well done.\Homeroom's over.\Nice job, man.\It's tough work being a class rep.\Like you can say that.\Yeah, yeah. Oh, who're you gonna vote for?\I'd like to open the poll soon. response:	What poll?
context: Thanks! Well done.\Homeroom's over.\Nice job, man.\It's tough work being a class rep.\Like you can say that.\Yeah, yeah. Oh, who're you gonna vote for?\I'd like to open the poll soon.\What poll? response:	The cutie poll!
context: Homeroom's over.\Nice job, man.\It's tough work being a class rep.\Like you can say that.\Yeah, yeah. Oh, who're you gonna vote for?\I'd like to open the poll soon.\What poll?\The cutie poll! response:	I told you about it, didn't I? We guys are gonna vote to decide who's the cutest in the class!
context: Nice job, man.\It's tough work being a class rep.\Like you can say that.\Yeah, yeah. Oh, who're you gonna vote for?\I'd like to open the poll soon.\What poll?\The cutie poll!\I told you about it, didn't I? We guys are gonna vote to decide who's the cutest in the class! response:	Who're you going with?
context: It's tough work being a class rep.\Like you can say that.\Yeah, yeah. Oh, who're you gonna vote for?\I'd like to open the poll soon.\What poll?\The cutie poll!\I told you about it, didn't I? We guys are gonna vote to decide who's the cutest in the class!\Who're you going with? response:	Are you sure that'll be all right?
context: Like you can say that.\Yeah, yeah. Oh, who're you gonna vote for?\I'd like to open the poll soon.\What poll?\The cutie poll!\I told you about it, didn't I? We guys are gonna vote to decide who's the cutest in the class!\Who're you going with?\Are you sure that'll be all right? response:	The girls won't be impressed if they find out.
context: Yeah, yeah. Oh, who're you gonna vote for?\I'd like to open the poll soon.\What poll?\The cutie poll!\I told you about it, didn't I? We guys are gonna vote to decide who's the cutest in the class!\Who're you going with?\Are you sure that'll be all right?\The girls won't be impressed if they find out. response:	Don't worry, they won't!
context: I'd like to open the poll soon.\What poll?\The cutie poll!\I told you about it, didn't I? We guys are gonna vote to decide who's the cutest in the class!\Who're you going with?\Are you sure that'll be all right?\The girls won't be impressed if they find out.\Don't worry, they won't! response:	For things like these, nothing's stronger than the bonds we share as men!
context: What poll?\The cutie poll!\I told you about it, didn't I? We guys are gonna vote to decide who's the cutest in the class!\Who're you going with?\Are you sure that'll be all right?\The girls won't be impressed if they find out.\Don't worry, they won't!\For things like these, nothing's stronger than the bonds we share as men! response:	Togashi!
context: The cutie poll!\I told you about it, didn't I? We guys are gonna vote to decide who's the cutest in the class!\Who're you going with?\Are you sure that'll be all right?\The girls won't be impressed if they find out.\Don't worry, they won't!\For things like these, nothing's stronger than the bonds we share as men!\Togashi! response:	Yeah?
context: I told you about it, didn't I? We guys are gonna vote to decide who's the cutest in the class!\Who're you going with?\Are you sure that'll be all right?\The girls won't be impressed if they find out.\Don't worry, they won't!\For things like these, nothing's stronger than the bonds we share as men!\Togashi!\Yeah? response:	Could you come to the science lab during lunch break?
context: Who're you going with?\Are you sure that'll be all right?\The girls won't be impressed if they find out.\Don't worry, they won't!\For things like these, nothing's stronger than the bonds we share as men!\Togashi!\Yeah?\Could you come to the science lab during lunch break? response:	Remember? The science teacher asked us for help.
context: Are you sure that'll be all right?\The girls won't be impressed if they find out.\Don't worry, they won't!\For things like these, nothing's stronger than the bonds we share as men!\Togashi!\Yeah?\Could you come to the science lab during lunch break?\Remember? The science teacher asked us for help. response:	We gotta check the equipment.
context: The girls won't be impressed if they find out.\Don't worry, they won't!\For things like these, nothing's stronger than the bonds we share as men!\Togashi!\Yeah?\Could you come to the science lab during lunch break?\Remember? The science teacher asked us for help.\We gotta check the equipment. response:	Seven, eight, nine, ten... There's twelve of these.
context: Don't worry, they won't!\For things like these, nothing's stronger than the bonds we share as men!\Togashi!\Yeah?\Could you come to the science lab during lunch break?\Remember? The science teacher asked us for help.\We gotta check the equipment.\Seven, eight, nine, ten... There's twelve of these. response:	Okay, twelve it is.
context: For things like these, nothing's stronger than the bonds we share as men!\Togashi!\Yeah?\Could you come to the science lab during lunch break?\Remember? The science teacher asked us for help.\We gotta check the equipment.\Seven, eight, nine, ten... There's twelve of these.\Okay, twelve it is. response:	All right, that's it for this shelf.
context: Togashi!\Yeah?\Could you come to the science lab during lunch break?\Remember? The science teacher asked us for help.\We gotta check the equipment.\Seven, eight, nine, ten... There's twelve of these.\Okay, twelve it is.\All right, that's it for this shelf. response:	This aroma... is it Asience? Petal Sassoon?
context: Yeah?\Could you come to the science lab during lunch break?\Remember? The science teacher asked us for help.\We gotta check the equipment.\Seven, eight, nine, ten... There's twelve of these.\Okay, twelve it is.\All right, that's it for this shelf.\This aroma... is it Asience? Petal Sassoon? response:	Have you gotten used to being a class rep?
context: Could you come to the science lab during lunch break?\Remember? The science teacher asked us for help.\We gotta check the equipment.\Seven, eight, nine, ten... There's twelve of these.\Okay, twelve it is.\All right, that's it for this shelf.\This aroma... is it Asience? Petal Sassoon?\Have you gotten used to being a class rep? response:	It's all pretty new to me still.
context: Remember? The science teacher asked us for help.\We gotta check the equipment.\Seven, eight, nine, ten... There's twelve of these.\Okay, twelve it is.\All right, that's it for this shelf.\This aroma... is it Asience? Petal Sassoon?\Have you gotten used to being a class rep?\It's all pretty new to me still. response:	If you notice anything, please let me know.
context: We gotta check the equipment.\Seven, eight, nine, ten... There's twelve of these.\Okay, twelve it is.\All right, that's it for this shelf.\This aroma... is it Asience? Petal Sassoon?\Have you gotten used to being a class rep?\It's all pretty new to me still.\If you notice anything, please let me know. response:	I tend to forget stuff, you see.
context: Seven, eight, nine, ten... There's twelve of these.\Okay, twelve it is.\All right, that's it for this shelf.\This aroma... is it Asience? Petal Sassoon?\Have you gotten used to being a class rep?\It's all pretty new to me still.\If you notice anything, please let me know.\I tend to forget stuff, you see. response:	Really? You didn't strike me as absent-minded.
context: Okay, twelve it is.\All right, that's it for this shelf.\This aroma... is it Asience? Petal Sassoon?\Have you gotten used to being a class rep?\It's all pretty new to me still.\If you notice anything, please let me know.\I tend to forget stuff, you see.\Really? You didn't strike me as absent-minded. response:	I pay special attention to making sure I don't come across that way.
context: All right, that's it for this shelf.\This aroma... is it Asience? Petal Sassoon?\Have you gotten used to being a class rep?\It's all pretty new to me still.\If you notice anything, please let me know.\I tend to forget stuff, you see.\Really? You didn't strike me as absent-minded.\I pay special attention to making sure I don't come across that way. response:	I'm a class rep, after all.
context: This aroma... is it Asience? Petal Sassoon?\Have you gotten used to being a class rep?\It's all pretty new to me still.\If you notice anything, please let me know.\I tend to forget stuff, you see.\Really? You didn't strike me as absent-minded.\I pay special attention to making sure I don't come across that way.\I'm a class rep, after all. response:	R-Really?
context: Have you gotten used to being a class rep?\It's all pretty new to me still.\If you notice anything, please let me know.\I tend to forget stuff, you see.\Really? You didn't strike me as absent-minded.\I pay special attention to making sure I don't come across that way.\I'm a class rep, after all.\R-Really? response:	You always seem so calm and collected.
context: It's all pretty new to me still.\If you notice anything, please let me know.\I tend to forget stuff, you see.\Really? You didn't strike me as absent-minded.\I pay special attention to making sure I don't come across that way.\I'm a class rep, after all.\R-Really?\You always seem so calm and collected. response:	You've been class rep a bunch of times before, right?
context: If you notice anything, please let me know.\I tend to forget stuff, you see.\Really? You didn't strike me as absent-minded.\I pay special attention to making sure I don't come across that way.\I'm a class rep, after all.\R-Really?\You always seem so calm and collected.\You've been class rep a bunch of times before, right? response:	Yeah, kinda.
context: I tend to forget stuff, you see.\Really? You didn't strike me as absent-minded.\I pay special attention to making sure I don't come across that way.\I'm a class rep, after all.\R-Really?\You always seem so calm and collected.\You've been class rep a bunch of times before, right?\Yeah, kinda. response:	But you got recommended. You must have experience too.
context: Really? You didn't strike me as absent-minded.\I pay special attention to making sure I don't come across that way.\I'm a class rep, after all.\R-Really?\You always seem so calm and collected.\You've been class rep a bunch of times before, right?\Yeah, kinda.\But you got recommended. You must have experience too. response:	Me? Not at all.
context: I pay special attention to making sure I don't come across that way.\I'm a class rep, after all.\R-Really?\You always seem so calm and collected.\You've been class rep a bunch of times before, right?\Yeah, kinda.\But you got recommended. You must have experience too.\Me? Not at all. response:	I might've done it once back in elementary school,
context: I'm a class rep, after all.\R-Really?\You always seem so calm and collected.\You've been class rep a bunch of times before, right?\Yeah, kinda.\But you got recommended. You must have experience too.\Me? Not at all.\I might've done it once back in elementary school, response:	but mostly I preferred not to stand out.
context: R-Really?\You always seem so calm and collected.\You've been class rep a bunch of times before, right?\Yeah, kinda.\But you got recommended. You must have experience too.\Me? Not at all.\I might've done it once back in elementary school,\but mostly I preferred not to stand out. response:	Really?
context: You always seem so calm and collected.\You've been class rep a bunch of times before, right?\Yeah, kinda.\But you got recommended. You must have experience too.\Me? Not at all.\I might've done it once back in elementary school,\but mostly I preferred not to stand out.\Really? response:	When we first met, I was thinking how alike we were.
context: You've been class rep a bunch of times before, right?\Yeah, kinda.\But you got recommended. You must have experience too.\Me? Not at all.\I might've done it once back in elementary school,\but mostly I preferred not to stand out.\Really?\When we first met, I was thinking how alike we were. response:	Remember? It was at the station, on the day of the entrance ceremony.
context: Yeah, kinda.\But you got recommended. You must have experience too.\Me? Not at all.\I might've done it once back in elementary school,\but mostly I preferred not to stand out.\Really?\When we first met, I was thinking how alike we were.\Remember? It was at the station, on the day of the entrance ceremony. response:	You remember that?
context: But you got recommended. You must have experience too.\Me? Not at all.\I might've done it once back in elementary school,\but mostly I preferred not to stand out.\Really?\When we first met, I was thinking how alike we were.\Remember? It was at the station, on the day of the entrance ceremony.\You remember that? response:	Of course! Why wouldn't I?
context: Me? Not at all.\I might've done it once back in elementary school,\but mostly I preferred not to stand out.\Really?\When we first met, I was thinking how alike we were.\Remember? It was at the station, on the day of the entrance ceremony.\You remember that?\Of course! Why wouldn't I? response:	But you didn't even know my class or name then.
context: I might've done it once back in elementary school,\but mostly I preferred not to stand out.\Really?\When we first met, I was thinking how alike we were.\Remember? It was at the station, on the day of the entrance ceremony.\You remember that?\Of course! Why wouldn't I?\But you didn't even know my class or name then. response:	Yeah, but when I got to class and saw you,
context: but mostly I preferred not to stand out.\Really?\When we first met, I was thinking how alike we were.\Remember? It was at the station, on the day of the entrance ceremony.\You remember that?\Of course! Why wouldn't I?\But you didn't even know my class or name then.\Yeah, but when I got to class and saw you, response:	I thought Oh, it's him!
