context: Hey, they're broken? But I hid them! response:	I guess they dried up?
context: That she'd introduce me to a friend from when she was studying abroad.\Hey, you're thinking global!\Go to hell!\Give it your all!\Right.\Leave the prefecture, leave the country. Go wherever you want, for all I care!\You moron, it's all the same to me whether you're around or not...\If it's all the same to you whether I'm here or not... response:	So you're the type who can't hide her uncertainty.
context: Hey, you're thinking global!\Go to hell!\Give it your all!\Right.\Leave the prefecture, leave the country. Go wherever you want, for all I care!\You moron, it's all the same to me whether you're around or not...\If it's all the same to you whether I'm here or not...\So you're the type who can't hide her uncertainty. response:	6 meters, 21 centimeters.
context: Go to hell!\Give it your all!\Right.\Leave the prefecture, leave the country. Go wherever you want, for all I care!\You moron, it's all the same to me whether you're around or not...\If it's all the same to you whether I'm here or not...\So you're the type who can't hide her uncertainty.\6 meters, 21 centimeters. response:	I can read you like a book.
context: Give it your all!\Right.\Leave the prefecture, leave the country. Go wherever you want, for all I care!\You moron, it's all the same to me whether you're around or not...\If it's all the same to you whether I'm here or not...\So you're the type who can't hide her uncertainty.\6 meters, 21 centimeters.\I can read you like a book. response:	Holy crap! That's a school record!
context: Right.\Leave the prefecture, leave the country. Go wherever you want, for all I care!\You moron, it's all the same to me whether you're around or not...\If it's all the same to you whether I'm here or not...\So you're the type who can't hide her uncertainty.\6 meters, 21 centimeters.\I can read you like a book.\Holy crap! That's a school record! response:	You're covered in scrapes and bruises.
context: Leave the prefecture, leave the country. Go wherever you want, for all I care!\You moron, it's all the same to me whether you're around or not...\If it's all the same to you whether I'm here or not...\So you're the type who can't hide her uncertainty.\6 meters, 21 centimeters.\I can read you like a book.\Holy crap! That's a school record!\You're covered in scrapes and bruises. response:	A Band-Aid on your forehead...
context: You moron, it's all the same to me whether you're around or not...\If it's all the same to you whether I'm here or not...\So you're the type who can't hide her uncertainty.\6 meters, 21 centimeters.\I can read you like a book.\Holy crap! That's a school record!\You're covered in scrapes and bruises.\A Band-Aid on your forehead... response:	You guys are laughing too hard.
context: If it's all the same to you whether I'm here or not...\So you're the type who can't hide her uncertainty.\6 meters, 21 centimeters.\I can read you like a book.\Holy crap! That's a school record!\You're covered in scrapes and bruises.\A Band-Aid on your forehead...\You guys are laughing too hard. response:	I'm humiliated.
context: So you're the type who can't hide her uncertainty.\6 meters, 21 centimeters.\I can read you like a book.\Holy crap! That's a school record!\You're covered in scrapes and bruises.\A Band-Aid on your forehead...\You guys are laughing too hard.\I'm humiliated. response:	You're gonna kill us!
context: 6 meters, 21 centimeters.\I can read you like a book.\Holy crap! That's a school record!\You're covered in scrapes and bruises.\A Band-Aid on your forehead...\You guys are laughing too hard.\I'm humiliated.\You're gonna kill us! response:	Freakin' scary!
context: I can read you like a book.\Holy crap! That's a school record!\You're covered in scrapes and bruises.\A Band-Aid on your forehead...\You guys are laughing too hard.\I'm humiliated.\You're gonna kill us!\Freakin' scary! response:	Tsubaki's been acting weird lately, don't you think?
context: Holy crap! That's a school record!\You're covered in scrapes and bruises.\A Band-Aid on your forehead...\You guys are laughing too hard.\I'm humiliated.\You're gonna kill us!\Freakin' scary!\Tsubaki's been acting weird lately, don't you think? response:	Listen to you!
context: You're covered in scrapes and bruises.\A Band-Aid on your forehead...\You guys are laughing too hard.\I'm humiliated.\You're gonna kill us!\Freakin' scary!\Tsubaki's been acting weird lately, don't you think?\Listen to you! response:	Why don't you leave her alone?
context: A Band-Aid on your forehead...\You guys are laughing too hard.\I'm humiliated.\You're gonna kill us!\Freakin' scary!\Tsubaki's been acting weird lately, don't you think?\Listen to you!\Why don't you leave her alone? response:	Well, excuse me for my horrible face.
context: You guys are laughing too hard.\I'm humiliated.\You're gonna kill us!\Freakin' scary!\Tsubaki's been acting weird lately, don't you think?\Listen to you!\Why don't you leave her alone?\Well, excuse me for my horrible face. response:	For being covered with Band-Aids!
context: I'm humiliated.\You're gonna kill us!\Freakin' scary!\Tsubaki's been acting weird lately, don't you think?\Listen to you!\Why don't you leave her alone?\Well, excuse me for my horrible face.\For being covered with Band-Aids! response:	Laughing at me with that nonchalant look on his face!
context: You're gonna kill us!\Freakin' scary!\Tsubaki's been acting weird lately, don't you think?\Listen to you!\Why don't you leave her alone?\Well, excuse me for my horrible face.\For being covered with Band-Aids!\Laughing at me with that nonchalant look on his face! response:	I was hoping you'd praise me.
context: Freakin' scary!\Tsubaki's been acting weird lately, don't you think?\Listen to you!\Why don't you leave her alone?\Well, excuse me for my horrible face.\For being covered with Band-Aids!\Laughing at me with that nonchalant look on his face!\I was hoping you'd praise me. response:	I'm leaving home.
context: Tsubaki's been acting weird lately, don't you think?\Listen to you!\Why don't you leave her alone?\Well, excuse me for my horrible face.\For being covered with Band-Aids!\Laughing at me with that nonchalant look on his face!\I was hoping you'd praise me.\I'm leaving home. response:	Talking to you either makes me feel sad, or it sets my mind at ease...
context: Listen to you!\Why don't you leave her alone?\Well, excuse me for my horrible face.\For being covered with Band-Aids!\Laughing at me with that nonchalant look on his face!\I was hoping you'd praise me.\I'm leaving home.\Talking to you either makes me feel sad, or it sets my mind at ease... response:	I'm such a mess... How lame is that?
context: Why don't you leave her alone?\Well, excuse me for my horrible face.\For being covered with Band-Aids!\Laughing at me with that nonchalant look on his face!\I was hoping you'd praise me.\I'm leaving home.\Talking to you either makes me feel sad, or it sets my mind at ease...\I'm such a mess... How lame is that? response:	Big Wheel!
context: Well, excuse me for my horrible face.\For being covered with Band-Aids!\Laughing at me with that nonchalant look on his face!\I was hoping you'd praise me.\I'm leaving home.\Talking to you either makes me feel sad, or it sets my mind at ease...\I'm such a mess... How lame is that?\Big Wheel! response:	Tsubaki?
context: For being covered with Band-Aids!\Laughing at me with that nonchalant look on his face!\I was hoping you'd praise me.\I'm leaving home.\Talking to you either makes me feel sad, or it sets my mind at ease...\I'm such a mess... How lame is that?\Big Wheel!\Tsubaki? response:	It's just that your feet are huge.
context: Laughing at me with that nonchalant look on his face!\I was hoping you'd praise me.\I'm leaving home.\Talking to you either makes me feel sad, or it sets my mind at ease...\I'm such a mess... How lame is that?\Big Wheel!\Tsubaki?\It's just that your feet are huge. response:	Are you trying to jinx yourself by chanting that kid brother, kid brother curse?
context: I was hoping you'd praise me.\I'm leaving home.\Talking to you either makes me feel sad, or it sets my mind at ease...\I'm such a mess... How lame is that?\Big Wheel!\Tsubaki?\It's just that your feet are huge.\Are you trying to jinx yourself by chanting that kid brother, kid brother curse? response:	Because you're too scared not to.
context: I'm leaving home.\Talking to you either makes me feel sad, or it sets my mind at ease...\I'm such a mess... How lame is that?\Big Wheel!\Tsubaki?\It's just that your feet are huge.\Are you trying to jinx yourself by chanting that kid brother, kid brother curse?\Because you're too scared not to. response:	Uh...
context: Talking to you either makes me feel sad, or it sets my mind at ease...\I'm such a mess... How lame is that?\Big Wheel!\Tsubaki?\It's just that your feet are huge.\Are you trying to jinx yourself by chanting that kid brother, kid brother curse?\Because you're too scared not to.\Uh... response:	Senpai?
context: I'm such a mess... How lame is that?\Big Wheel!\Tsubaki?\It's just that your feet are huge.\Are you trying to jinx yourself by chanting that kid brother, kid brother curse?\Because you're too scared not to.\Uh...\Senpai? response:	Hey...
context: Big Wheel!\Tsubaki?\It's just that your feet are huge.\Are you trying to jinx yourself by chanting that kid brother, kid brother curse?\Because you're too scared not to.\Uh...\Senpai?\Hey... response:	I met someone that I like.
context: Tsubaki?\It's just that your feet are huge.\Are you trying to jinx yourself by chanting that kid brother, kid brother curse?\Because you're too scared not to.\Uh...\Senpai?\Hey...\I met someone that I like. response:	Huh?
context: It's just that your feet are huge.\Are you trying to jinx yourself by chanting that kid brother, kid brother curse?\Because you're too scared not to.\Uh...\Senpai?\Hey...\I met someone that I like.\Huh? response:	See, she's older, the manager of the baseball team.
context: Are you trying to jinx yourself by chanting that kid brother, kid brother curse?\Because you're too scared not to.\Uh...\Senpai?\Hey...\I met someone that I like.\Huh?\See, she's older, the manager of the baseball team. response:	She's really grounded, and she's got long hair.
context: Because you're too scared not to.\Uh...\Senpai?\Hey...\I met someone that I like.\Huh?\See, she's older, the manager of the baseball team.\She's really grounded, and she's got long hair. response:	She's the kind of person who eats potato chips with chopsticks.
context: Uh...\Senpai?\Hey...\I met someone that I like.\Huh?\See, she's older, the manager of the baseball team.\She's really grounded, and she's got long hair.\She's the kind of person who eats potato chips with chopsticks. response:	Hey, come on, you know we're too alike.
context: Senpai?\Hey...\I met someone that I like.\Huh?\See, she's older, the manager of the baseball team.\She's really grounded, and she's got long hair.\She's the kind of person who eats potato chips with chopsticks.\Hey, come on, you know we're too alike. response:	I mean, we're both infielders, we've got short hair, and we're both rough...
context: Hey...\I met someone that I like.\Huh?\See, she's older, the manager of the baseball team.\She's really grounded, and she's got long hair.\She's the kind of person who eats potato chips with chopsticks.\Hey, come on, you know we're too alike.\I mean, we're both infielders, we've got short hair, and we're both rough... response:	And you always seem so uncomfortable being by my side, Sawabe.
context: I met someone that I like.\Huh?\See, she's older, the manager of the baseball team.\She's really grounded, and she's got long hair.\She's the kind of person who eats potato chips with chopsticks.\Hey, come on, you know we're too alike.\I mean, we're both infielders, we've got short hair, and we're both rough...\And you always seem so uncomfortable being by my side, Sawabe. response:	I mean, you're always laughing like you don't know what to do.
context: Huh?\See, she's older, the manager of the baseball team.\She's really grounded, and she's got long hair.\She's the kind of person who eats potato chips with chopsticks.\Hey, come on, you know we're too alike.\I mean, we're both infielders, we've got short hair, and we're both rough...\And you always seem so uncomfortable being by my side, Sawabe.\I mean, you're always laughing like you don't know what to do. response:	You and I...
context: See, she's older, the manager of the baseball team.\She's really grounded, and she's got long hair.\She's the kind of person who eats potato chips with chopsticks.\Hey, come on, you know we're too alike.\I mean, we're both infielders, we've got short hair, and we're both rough...\And you always seem so uncomfortable being by my side, Sawabe.\I mean, you're always laughing like you don't know what to do.\You and I... response:	We should be with people who are the total opposite, probably.
context: She's really grounded, and she's got long hair.\She's the kind of person who eats potato chips with chopsticks.\Hey, come on, you know we're too alike.\I mean, we're both infielders, we've got short hair, and we're both rough...\And you always seem so uncomfortable being by my side, Sawabe.\I mean, you're always laughing like you don't know what to do.\You and I...\We should be with people who are the total opposite, probably. response:	Uh... um... I...
context: She's the kind of person who eats potato chips with chopsticks.\Hey, come on, you know we're too alike.\I mean, we're both infielders, we've got short hair, and we're both rough...\And you always seem so uncomfortable being by my side, Sawabe.\I mean, you're always laughing like you don't know what to do.\You and I...\We should be with people who are the total opposite, probably.\Uh... um... I... response:	It's not our style to get all emotional, right?
context: Hey, come on, you know we're too alike.\I mean, we're both infielders, we've got short hair, and we're both rough...\And you always seem so uncomfortable being by my side, Sawabe.\I mean, you're always laughing like you don't know what to do.\You and I...\We should be with people who are the total opposite, probably.\Uh... um... I...\It's not our style to get all emotional, right? response:	So let's be ourselves breaking up.
context: I mean, we're both infielders, we've got short hair, and we're both rough...\And you always seem so uncomfortable being by my side, Sawabe.\I mean, you're always laughing like you don't know what to do.\You and I...\We should be with people who are the total opposite, probably.\Uh... um... I...\It's not our style to get all emotional, right?\So let's be ourselves breaking up. response:	Sorry...
context: And you always seem so uncomfortable being by my side, Sawabe.\I mean, you're always laughing like you don't know what to do.\You and I...\We should be with people who are the total opposite, probably.\Uh... um... I...\It's not our style to get all emotional, right?\So let's be ourselves breaking up.\Sorry... response:	I'm sorry.
context: I mean, you're always laughing like you don't know what to do.\You and I...\We should be with people who are the total opposite, probably.\Uh... um... I...\It's not our style to get all emotional, right?\So let's be ourselves breaking up.\Sorry...\I'm sorry. response:	I'm sorry.
context: You and I...\We should be with people who are the total opposite, probably.\Uh... um... I...\It's not our style to get all emotional, right?\So let's be ourselves breaking up.\Sorry...\I'm sorry.\I'm sorry. response:	What's up with that? I'm the one who's dumping you.
context: We should be with people who are the total opposite, probably.\Uh... um... I...\It's not our style to get all emotional, right?\So let's be ourselves breaking up.\Sorry...\I'm sorry.\I'm sorry.\What's up with that? I'm the one who's dumping you. response:	Why are you apologizing, Sawabe?
context: Uh... um... I...\It's not our style to get all emotional, right?\So let's be ourselves breaking up.\Sorry...\I'm sorry.\I'm sorry.\What's up with that? I'm the one who's dumping you.\Why are you apologizing, Sawabe? response:	Thanks, Sawabe.
context: It's not our style to get all emotional, right?\So let's be ourselves breaking up.\Sorry...\I'm sorry.\I'm sorry.\What's up with that? I'm the one who's dumping you.\Why are you apologizing, Sawabe?\Thanks, Sawabe. response:	For being my girlfriend.
context: So let's be ourselves breaking up.\Sorry...\I'm sorry.\I'm sorry.\What's up with that? I'm the one who's dumping you.\Why are you apologizing, Sawabe?\Thanks, Sawabe.\For being my girlfriend. response:	Hey.
context: Sorry...\I'm sorry.\I'm sorry.\What's up with that? I'm the one who's dumping you.\Why are you apologizing, Sawabe?\Thanks, Sawabe.\For being my girlfriend.\Hey. response:	Scoot over, I've got to practice.
context: I'm sorry.\I'm sorry.\What's up with that? I'm the one who's dumping you.\Why are you apologizing, Sawabe?\Thanks, Sawabe.\For being my girlfriend.\Hey.\Scoot over, I've got to practice. response:	Don't push me! I'll fall off the bench!
context: I'm sorry.\What's up with that? I'm the one who's dumping you.\Why are you apologizing, Sawabe?\Thanks, Sawabe.\For being my girlfriend.\Hey.\Scoot over, I've got to practice.\Don't push me! I'll fall off the bench! response:	I thought I heard the piano making some strange sounds. So it was you, after all.
context: What's up with that? I'm the one who's dumping you.\Why are you apologizing, Sawabe?\Thanks, Sawabe.\For being my girlfriend.\Hey.\Scoot over, I've got to practice.\Don't push me! I'll fall off the bench!\I thought I heard the piano making some strange sounds. So it was you, after all. response:	What do you mean, after all?
context: Why are you apologizing, Sawabe?\Thanks, Sawabe.\For being my girlfriend.\Hey.\Scoot over, I've got to practice.\Don't push me! I'll fall off the bench!\I thought I heard the piano making some strange sounds. So it was you, after all.\What do you mean, after all? response:	You're not asking me anything.
context: Thanks, Sawabe.\For being my girlfriend.\Hey.\Scoot over, I've got to practice.\Don't push me! I'll fall off the bench!\I thought I heard the piano making some strange sounds. So it was you, after all.\What do you mean, after all?\You're not asking me anything. response:	If you want to talk about it, I'm listening.
context: For being my girlfriend.\Hey.\Scoot over, I've got to practice.\Don't push me! I'll fall off the bench!\I thought I heard the piano making some strange sounds. So it was you, after all.\What do you mean, after all?\You're not asking me anything.\If you want to talk about it, I'm listening. response:	I just got dumped.
context: Hey.\Scoot over, I've got to practice.\Don't push me! I'll fall off the bench!\I thought I heard the piano making some strange sounds. So it was you, after all.\What do you mean, after all?\You're not asking me anything.\If you want to talk about it, I'm listening.\I just got dumped. response:	He was an older guy that I've always looked up to...
context: Scoot over, I've got to practice.\Don't push me! I'll fall off the bench!\I thought I heard the piano making some strange sounds. So it was you, after all.\What do you mean, after all?\You're not asking me anything.\If you want to talk about it, I'm listening.\I just got dumped.\He was an older guy that I've always looked up to... response:	So good-looking and sweet...
context: Don't push me! I'll fall off the bench!\I thought I heard the piano making some strange sounds. So it was you, after all.\What do you mean, after all?\You're not asking me anything.\If you want to talk about it, I'm listening.\I just got dumped.\He was an older guy that I've always looked up to...\So good-looking and sweet... response:	He was like premium ice cream to me. No, not like ice cream...
context: I thought I heard the piano making some strange sounds. So it was you, after all.\What do you mean, after all?\You're not asking me anything.\If you want to talk about it, I'm listening.\I just got dumped.\He was an older guy that I've always looked up to...\So good-looking and sweet...\He was like premium ice cream to me. No, not like ice cream... response:	More like a fancy,
context: What do you mean, after all?\You're not asking me anything.\If you want to talk about it, I'm listening.\I just got dumped.\He was an older guy that I've always looked up to...\So good-looking and sweet...\He was like premium ice cream to me. No, not like ice cream...\More like a fancy, response:	120 ml...
context: You're not asking me anything.\If you want to talk about it, I'm listening.\I just got dumped.\He was an older guy that I've always looked up to...\So good-looking and sweet...\He was like premium ice cream to me. No, not like ice cream...\More like a fancy,\120 ml... response:	The kind of ice cream that's not my style.
context: If you want to talk about it, I'm listening.\I just got dumped.\He was an older guy that I've always looked up to...\So good-looking and sweet...\He was like premium ice cream to me. No, not like ice cream...\More like a fancy,\120 ml...\The kind of ice cream that's not my style. response:	He told me he liked me...
context: I just got dumped.\He was an older guy that I've always looked up to...\So good-looking and sweet...\He was like premium ice cream to me. No, not like ice cream...\More like a fancy,\120 ml...\The kind of ice cream that's not my style.\He told me he liked me... response:	I got ahead of myself... I got stubborn...
context: He was an older guy that I've always looked up to...\So good-looking and sweet...\He was like premium ice cream to me. No, not like ice cream...\More like a fancy,\120 ml...\The kind of ice cream that's not my style.\He told me he liked me...\I got ahead of myself... I got stubborn... response:	And then I got dumped.
context: So good-looking and sweet...\He was like premium ice cream to me. No, not like ice cream...\More like a fancy,\120 ml...\The kind of ice cream that's not my style.\He told me he liked me...\I got ahead of myself... I got stubborn...\And then I got dumped. response:	And I...
context: He was like premium ice cream to me. No, not like ice cream...\More like a fancy,\120 ml...\The kind of ice cream that's not my style.\He told me he liked me...\I got ahead of myself... I got stubborn...\And then I got dumped.\And I... response:	I'm such an idiot, I had no idea about my own feelings.
context: More like a fancy,\120 ml...\The kind of ice cream that's not my style.\He told me he liked me...\I got ahead of myself... I got stubborn...\And then I got dumped.\And I...\I'm such an idiot, I had no idea about my own feelings. response:	I wish I'd never realized...
context: 120 ml...\The kind of ice cream that's not my style.\He told me he liked me...\I got ahead of myself... I got stubborn...\And then I got dumped.\And I...\I'm such an idiot, I had no idea about my own feelings.\I wish I'd never realized... response:	Because I wanted things to go on just like this.
context: The kind of ice cream that's not my style.\He told me he liked me...\I got ahead of myself... I got stubborn...\And then I got dumped.\And I...\I'm such an idiot, I had no idea about my own feelings.\I wish I'd never realized...\Because I wanted things to go on just like this. response:	But...
context: He told me he liked me...\I got ahead of myself... I got stubborn...\And then I got dumped.\And I...\I'm such an idiot, I had no idea about my own feelings.\I wish I'd never realized...\Because I wanted things to go on just like this.\But... response:	I missed my chance to become a star.
context: I got ahead of myself... I got stubborn...\And then I got dumped.\And I...\I'm such an idiot, I had no idea about my own feelings.\I wish I'd never realized...\Because I wanted things to go on just like this.\But...\I missed my chance to become a star. response:	I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.
context: And then I got dumped.\And I...\I'm such an idiot, I had no idea about my own feelings.\I wish I'd never realized...\Because I wanted things to go on just like this.\But...\I missed my chance to become a star.\I'd like to take the entrance exam for Okutsu College of Music Affiliated High School. response:	Time keeps flowing...
context: And I...\I'm such an idiot, I had no idea about my own feelings.\I wish I'd never realized...\Because I wanted things to go on just like this.\But...\I missed my chance to become a star.\I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.\Time keeps flowing... response:	Both Watari...
context: I'm such an idiot, I had no idea about my own feelings.\I wish I'd never realized...\Because I wanted things to go on just like this.\But...\I missed my chance to become a star.\I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.\Time keeps flowing...\Both Watari... response:	and Kousei...
context: I wish I'd never realized...\Because I wanted things to go on just like this.\But...\I missed my chance to become a star.\I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.\Time keeps flowing...\Both Watari...\and Kousei... response:	Even if they're afraid, even if it's painful,
context: Because I wanted things to go on just like this.\But...\I missed my chance to become a star.\I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.\Time keeps flowing...\Both Watari...\and Kousei...\Even if they're afraid, even if it's painful, response:	even if they can't see ahead, still seeking something...
context: But...\I missed my chance to become a star.\I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.\Time keeps flowing...\Both Watari...\and Kousei...\Even if they're afraid, even if it's painful,\even if they can't see ahead, still seeking something... response:	they take one step after another, mustering the courage to go on...
context: I missed my chance to become a star.\I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.\Time keeps flowing...\Both Watari...\and Kousei...\Even if they're afraid, even if it's painful,\even if they can't see ahead, still seeking something...\they take one step after another, mustering the courage to go on... response:	inspiring each other, supporting each other, they try to move on.
context: I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.\Time keeps flowing...\Both Watari...\and Kousei...\Even if they're afraid, even if it's painful,\even if they can't see ahead, still seeking something...\they take one step after another, mustering the courage to go on...\inspiring each other, supporting each other, they try to move on. response:	I'm the only one who can't take that first step.
context: Time keeps flowing...\Both Watari...\and Kousei...\Even if they're afraid, even if it's painful,\even if they can't see ahead, still seeking something...\they take one step after another, mustering the courage to go on...\inspiring each other, supporting each other, they try to move on.\I'm the only one who can't take that first step. response:	Time does stop, doesn't it?
context: Both Watari...\and Kousei...\Even if they're afraid, even if it's painful,\even if they can't see ahead, still seeking something...\they take one step after another, mustering the courage to go on...\inspiring each other, supporting each other, they try to move on.\I'm the only one who can't take that first step.\Time does stop, doesn't it? response:	I'm the only one who's frozen in time...
context: and Kousei...\Even if they're afraid, even if it's painful,\even if they can't see ahead, still seeking something...\they take one step after another, mustering the courage to go on...\inspiring each other, supporting each other, they try to move on.\I'm the only one who can't take that first step.\Time does stop, doesn't it?\I'm the only one who's frozen in time... response:	What's your problem anyway? All you do is play the piano!
context: Even if they're afraid, even if it's painful,\even if they can't see ahead, still seeking something...\they take one step after another, mustering the courage to go on...\inspiring each other, supporting each other, they try to move on.\I'm the only one who can't take that first step.\Time does stop, doesn't it?\I'm the only one who's frozen in time...\What's your problem anyway? All you do is play the piano! response:	Music nerd! Can't you at least try to comfort me, you useless jerk?
context: even if they can't see ahead, still seeking something...\they take one step after another, mustering the courage to go on...\inspiring each other, supporting each other, they try to move on.\I'm the only one who can't take that first step.\Time does stop, doesn't it?\I'm the only one who's frozen in time...\What's your problem anyway? All you do is play the piano!\Music nerd! Can't you at least try to comfort me, you useless jerk? response:	It's all the same to me whether you're around or not!
