context: Thou Who Hast Gathered the Seven Balls... Now Speak Forth the Password response:	I wonder if I look any stronger.
context: Please, let me be make it in time!\I have to tell Kuririn-san and the others about the password as soon as possible!\There they are!\Strange.\I don't feel any Ki.\I'm too late!\Kuririn-san!\It's not him! response:	Okay then, where is Kuririn-san?
context: I have to tell Kuririn-san and the others about the password as soon as possible!\There they are!\Strange.\I don't feel any Ki.\I'm too late!\Kuririn-san!\It's not him!\Okay then, where is Kuririn-san? response:	Kakarrot.
context: There they are!\Strange.\I don't feel any Ki.\I'm too late!\Kuririn-san!\It's not him!\Okay then, where is Kuririn-san?\Kakarrot. response:	Once Freeza is out of the way, you're next. Until then, I need you on my side.
context: Strange.\I don't feel any Ki.\I'm too late!\Kuririn-san!\It's not him!\Okay then, where is Kuririn-san?\Kakarrot.\Once Freeza is out of the way, you're next. Until then, I need you on my side. response:	I can't believe I've let myself come to this.
context: I don't feel any Ki.\I'm too late!\Kuririn-san!\It's not him!\Okay then, where is Kuririn-san?\Kakarrot.\Once Freeza is out of the way, you're next. Until then, I need you on my side.\I can't believe I've let myself come to this. response:	I'll sleep for thirty minutes.That should be enough to allow me to count on my full power.
context: I'm too late!\Kuririn-san!\It's not him!\Okay then, where is Kuririn-san?\Kakarrot.\Once Freeza is out of the way, you're next. Until then, I need you on my side.\I can't believe I've let myself come to this.\I'll sleep for thirty minutes.That should be enough to allow me to count on my full power. response:	When I open my eyes again, I will be able to obtain eternal life and youth for myself.
context: Kuririn-san!\It's not him!\Okay then, where is Kuririn-san?\Kakarrot.\Once Freeza is out of the way, you're next. Until then, I need you on my side.\I can't believe I've let myself come to this.\I'll sleep for thirty minutes.That should be enough to allow me to count on my full power.\When I open my eyes again, I will be able to obtain eternal life and youth for myself. response:	That should make for some pleasant dreams.
context: It's not him!\Okay then, where is Kuririn-san?\Kakarrot.\Once Freeza is out of the way, you're next. Until then, I need you on my side.\I can't believe I've let myself come to this.\I'll sleep for thirty minutes.That should be enough to allow me to count on my full power.\When I open my eyes again, I will be able to obtain eternal life and youth for myself.\That should make for some pleasant dreams. response:	Freeza could show up at any minute. He's got a lot of nerve going to sleep.
context: Okay then, where is Kuririn-san?\Kakarrot.\Once Freeza is out of the way, you're next. Until then, I need you on my side.\I can't believe I've let myself come to this.\I'll sleep for thirty minutes.That should be enough to allow me to count on my full power.\When I open my eyes again, I will be able to obtain eternal life and youth for myself.\That should make for some pleasant dreams.\Freeza could show up at any minute. He's got a lot of nerve going to sleep. response:	I am only using my left hand, yet you have still done so poorly.
context: Kakarrot.\Once Freeza is out of the way, you're next. Until then, I need you on my side.\I can't believe I've let myself come to this.\I'll sleep for thirty minutes.That should be enough to allow me to count on my full power.\When I open my eyes again, I will be able to obtain eternal life and youth for myself.\That should make for some pleasant dreams.\Freeza could show up at any minute. He's got a lot of nerve going to sleep.\I am only using my left hand, yet you have still done so poorly. response:	Surely now you see there is no way you can win.
context: Once Freeza is out of the way, you're next. Until then, I need you on my side.\I can't believe I've let myself come to this.\I'll sleep for thirty minutes.That should be enough to allow me to count on my full power.\When I open my eyes again, I will be able to obtain eternal life and youth for myself.\That should make for some pleasant dreams.\Freeza could show up at any minute. He's got a lot of nerve going to sleep.\I am only using my left hand, yet you have still done so poorly.\Surely now you see there is no way you can win. response:	How about speakin to me now? Tell me how the Dragonballs grant my wish.
context: I can't believe I've let myself come to this.\I'll sleep for thirty minutes.That should be enough to allow me to count on my full power.\When I open my eyes again, I will be able to obtain eternal life and youth for myself.\That should make for some pleasant dreams.\Freeza could show up at any minute. He's got a lot of nerve going to sleep.\I am only using my left hand, yet you have still done so poorly.\Surely now you see there is no way you can win.\How about speakin to me now? Tell me how the Dragonballs grant my wish. response:	You have continued to expend your energies so pointlessly.
context: I'll sleep for thirty minutes.That should be enough to allow me to count on my full power.\When I open my eyes again, I will be able to obtain eternal life and youth for myself.\That should make for some pleasant dreams.\Freeza could show up at any minute. He's got a lot of nerve going to sleep.\I am only using my left hand, yet you have still done so poorly.\Surely now you see there is no way you can win.\How about speakin to me now? Tell me how the Dragonballs grant my wish.\You have continued to expend your energies so pointlessly. response:	Such actions cannot possibly work against me, can they? Have you not fully realized this yet?
context: When I open my eyes again, I will be able to obtain eternal life and youth for myself.\That should make for some pleasant dreams.\Freeza could show up at any minute. He's got a lot of nerve going to sleep.\I am only using my left hand, yet you have still done so poorly.\Surely now you see there is no way you can win.\How about speakin to me now? Tell me how the Dragonballs grant my wish.\You have continued to expend your energies so pointlessly.\Such actions cannot possibly work against me, can they? Have you not fully realized this yet? response:	I cannot understand why you continue to defy me, when you must certainly know you are beaten?
context: That should make for some pleasant dreams.\Freeza could show up at any minute. He's got a lot of nerve going to sleep.\I am only using my left hand, yet you have still done so poorly.\Surely now you see there is no way you can win.\How about speakin to me now? Tell me how the Dragonballs grant my wish.\You have continued to expend your energies so pointlessly.\Such actions cannot possibly work against me, can they? Have you not fully realized this yet?\I cannot understand why you continue to defy me, when you must certainly know you are beaten? response:	Is it because your friends have been killed? Or perhaps, is it due to common stubbornness?
context: Freeza could show up at any minute. He's got a lot of nerve going to sleep.\I am only using my left hand, yet you have still done so poorly.\Surely now you see there is no way you can win.\How about speakin to me now? Tell me how the Dragonballs grant my wish.\You have continued to expend your energies so pointlessly.\Such actions cannot possibly work against me, can they? Have you not fully realized this yet?\I cannot understand why you continue to defy me, when you must certainly know you are beaten?\Is it because your friends have been killed? Or perhaps, is it due to common stubbornness? response:	Let me make this my final warning. Tell me how the Dragonballs grant wishes.
context: I am only using my left hand, yet you have still done so poorly.\Surely now you see there is no way you can win.\How about speakin to me now? Tell me how the Dragonballs grant my wish.\You have continued to expend your energies so pointlessly.\Such actions cannot possibly work against me, can they? Have you not fully realized this yet?\I cannot understand why you continue to defy me, when you must certainly know you are beaten?\Is it because your friends have been killed? Or perhaps, is it due to common stubbornness?\Let me make this my final warning. Tell me how the Dragonballs grant wishes. response:	You will die, otherwise.
context: Surely now you see there is no way you can win.\How about speakin to me now? Tell me how the Dragonballs grant my wish.\You have continued to expend your energies so pointlessly.\Such actions cannot possibly work against me, can they? Have you not fully realized this yet?\I cannot understand why you continue to defy me, when you must certainly know you are beaten?\Is it because your friends have been killed? Or perhaps, is it due to common stubbornness?\Let me make this my final warning. Tell me how the Dragonballs grant wishes.\You will die, otherwise. response:	Even if you were to find out, by now, it no longer matters.
context: How about speakin to me now? Tell me how the Dragonballs grant my wish.\You have continued to expend your energies so pointlessly.\Such actions cannot possibly work against me, can they? Have you not fully realized this yet?\I cannot understand why you continue to defy me, when you must certainly know you are beaten?\Is it because your friends have been killed? Or perhaps, is it due to common stubbornness?\Let me make this my final warning. Tell me how the Dragonballs grant wishes.\You will die, otherwise.\Even if you were to find out, by now, it no longer matters. response:	Very soon, Dende will arrive at the... location where the... Earthlings are.
context: You have continued to expend your energies so pointlessly.\Such actions cannot possibly work against me, can they? Have you not fully realized this yet?\I cannot understand why you continue to defy me, when you must certainly know you are beaten?\Is it because your friends have been killed? Or perhaps, is it due to common stubbornness?\Let me make this my final warning. Tell me how the Dragonballs grant wishes.\You will die, otherwise.\Even if you were to find out, by now, it no longer matters.\Very soon, Dende will arrive at the... location where the... Earthlings are. response:	He is there to tell them... the very same password you're after!
context: Such actions cannot possibly work against me, can they? Have you not fully realized this yet?\I cannot understand why you continue to defy me, when you must certainly know you are beaten?\Is it because your friends have been killed? Or perhaps, is it due to common stubbornness?\Let me make this my final warning. Tell me how the Dragonballs grant wishes.\You will die, otherwise.\Even if you were to find out, by now, it no longer matters.\Very soon, Dende will arrive at the... location where the... Earthlings are.\He is there to tell them... the very same password you're after! response:	What!?
context: I cannot understand why you continue to defy me, when you must certainly know you are beaten?\Is it because your friends have been killed? Or perhaps, is it due to common stubbornness?\Let me make this my final warning. Tell me how the Dragonballs grant wishes.\You will die, otherwise.\Even if you were to find out, by now, it no longer matters.\Very soon, Dende will arrive at the... location where the... Earthlings are.\He is there to tell them... the very same password you're after!\What!? response:	Him?
context: Is it because your friends have been killed? Or perhaps, is it due to common stubbornness?\Let me make this my final warning. Tell me how the Dragonballs grant wishes.\You will die, otherwise.\Even if you were to find out, by now, it no longer matters.\Very soon, Dende will arrive at the... location where the... Earthlings are.\He is there to tell them... the very same password you're after!\What!?\Him? response:	Why you! You've just been buying time for him!?
context: Let me make this my final warning. Tell me how the Dragonballs grant wishes.\You will die, otherwise.\Even if you were to find out, by now, it no longer matters.\Very soon, Dende will arrive at the... location where the... Earthlings are.\He is there to tell them... the very same password you're after!\What!?\Him?\Why you! You've just been buying time for him!? response:	The Ginyu Special Corps -I get no reading on them!
context: You will die, otherwise.\Even if you were to find out, by now, it no longer matters.\Very soon, Dende will arrive at the... location where the... Earthlings are.\He is there to tell them... the very same password you're after!\What!?\Him?\Why you! You've just been buying time for him!?\The Ginyu Special Corps -I get no reading on them! response:	Can it be that all five of them have been eliminated?
context: Even if you were to find out, by now, it no longer matters.\Very soon, Dende will arrive at the... location where the... Earthlings are.\He is there to tell them... the very same password you're after!\What!?\Him?\Why you! You've just been buying time for him!?\The Ginyu Special Corps -I get no reading on them!\Can it be that all five of them have been eliminated? response:	In any case, something's happened between Vegeta, the Earthlings, and the Ginyu Special Corps!
context: Very soon, Dende will arrive at the... location where the... Earthlings are.\He is there to tell them... the very same password you're after!\What!?\Him?\Why you! You've just been buying time for him!?\The Ginyu Special Corps -I get no reading on them!\Can it be that all five of them have been eliminated?\In any case, something's happened between Vegeta, the Earthlings, and the Ginyu Special Corps! response:	So what's happened to the Dragonballs!?
context: He is there to tell them... the very same password you're after!\What!?\Him?\Why you! You've just been buying time for him!?\The Ginyu Special Corps -I get no reading on them!\Can it be that all five of them have been eliminated?\In any case, something's happened between Vegeta, the Earthlings, and the Ginyu Special Corps!\So what's happened to the Dragonballs!? response:	Rotten punks! It will be to me, Freeza-sama, that that wish is granted!
context: What!?\Him?\Why you! You've just been buying time for him!?\The Ginyu Special Corps -I get no reading on them!\Can it be that all five of them have been eliminated?\In any case, something's happened between Vegeta, the Earthlings, and the Ginyu Special Corps!\So what's happened to the Dragonballs!?\Rotten punks! It will be to me, Freeza-sama, that that wish is granted! response:	It will not be to you lower life forms!
context: Him?\Why you! You've just been buying time for him!?\The Ginyu Special Corps -I get no reading on them!\Can it be that all five of them have been eliminated?\In any case, something's happened between Vegeta, the Earthlings, and the Ginyu Special Corps!\So what's happened to the Dragonballs!?\Rotten punks! It will be to me, Freeza-sama, that that wish is granted!\It will not be to you lower life forms! response:	How regrettable that it must come to this. I should have told the Earthlings the password when I had the chance.
context: Why you! You've just been buying time for him!?\The Ginyu Special Corps -I get no reading on them!\Can it be that all five of them have been eliminated?\In any case, something's happened between Vegeta, the Earthlings, and the Ginyu Special Corps!\So what's happened to the Dragonballs!?\Rotten punks! It will be to me, Freeza-sama, that that wish is granted!\It will not be to you lower life forms!\How regrettable that it must come to this. I should have told the Earthlings the password when I had the chance. response:	Now I've caused Nail to suffer so terribly.
context: The Ginyu Special Corps -I get no reading on them!\Can it be that all five of them have been eliminated?\In any case, something's happened between Vegeta, the Earthlings, and the Ginyu Special Corps!\So what's happened to the Dragonballs!?\Rotten punks! It will be to me, Freeza-sama, that that wish is granted!\It will not be to you lower life forms!\How regrettable that it must come to this. I should have told the Earthlings the password when I had the chance.\Now I've caused Nail to suffer so terribly. response:	Move swiftly, Dende. It seems my end has drawn near.
context: Can it be that all five of them have been eliminated?\In any case, something's happened between Vegeta, the Earthlings, and the Ginyu Special Corps!\So what's happened to the Dragonballs!?\Rotten punks! It will be to me, Freeza-sama, that that wish is granted!\It will not be to you lower life forms!\How regrettable that it must come to this. I should have told the Earthlings the password when I had the chance.\Now I've caused Nail to suffer so terribly.\Move swiftly, Dende. It seems my end has drawn near. response:	Kuririn-san!
context: In any case, something's happened between Vegeta, the Earthlings, and the Ginyu Special Corps!\So what's happened to the Dragonballs!?\Rotten punks! It will be to me, Freeza-sama, that that wish is granted!\It will not be to you lower life forms!\How regrettable that it must come to this. I should have told the Earthlings the password when I had the chance.\Now I've caused Nail to suffer so terribly.\Move swiftly, Dende. It seems my end has drawn near.\Kuririn-san! response:	Gohan-san!
context: So what's happened to the Dragonballs!?\Rotten punks! It will be to me, Freeza-sama, that that wish is granted!\It will not be to you lower life forms!\How regrettable that it must come to this. I should have told the Earthlings the password when I had the chance.\Now I've caused Nail to suffer so terribly.\Move swiftly, Dende. It seems my end has drawn near.\Kuririn-san!\Gohan-san! response:	I wonder if it really will take Kuririn-san two whole hours to get to the Grand Elder-san and back.
context: Rotten punks! It will be to me, Freeza-sama, that that wish is granted!\It will not be to you lower life forms!\How regrettable that it must come to this. I should have told the Earthlings the password when I had the chance.\Now I've caused Nail to suffer so terribly.\Move swiftly, Dende. It seems my end has drawn near.\Kuririn-san!\Gohan-san!\I wonder if it really will take Kuririn-san two whole hours to get to the Grand Elder-san and back. response:	What am I supposed to do if Freeza comes back before then?
context: It will not be to you lower life forms!\How regrettable that it must come to this. I should have told the Earthlings the password when I had the chance.\Now I've caused Nail to suffer so terribly.\Move swiftly, Dende. It seems my end has drawn near.\Kuririn-san!\Gohan-san!\I wonder if it really will take Kuririn-san two whole hours to get to the Grand Elder-san and back.\What am I supposed to do if Freeza comes back before then? response:	I hope Kuririn-san gets back soon.
context: How regrettable that it must come to this. I should have told the Earthlings the password when I had the chance.\Now I've caused Nail to suffer so terribly.\Move swiftly, Dende. It seems my end has drawn near.\Kuririn-san!\Gohan-san!\I wonder if it really will take Kuririn-san two whole hours to get to the Grand Elder-san and back.\What am I supposed to do if Freeza comes back before then?\I hope Kuririn-san gets back soon. response:	A Ki!
context: Now I've caused Nail to suffer so terribly.\Move swiftly, Dende. It seems my end has drawn near.\Kuririn-san!\Gohan-san!\I wonder if it really will take Kuririn-san two whole hours to get to the Grand Elder-san and back.\What am I supposed to do if Freeza comes back before then?\I hope Kuririn-san gets back soon.\A Ki! response:	Someone is flying towards Goku's direction.
context: Move swiftly, Dende. It seems my end has drawn near.\Kuririn-san!\Gohan-san!\I wonder if it really will take Kuririn-san two whole hours to get to the Grand Elder-san and back.\What am I supposed to do if Freeza comes back before then?\I hope Kuririn-san gets back soon.\A Ki!\Someone is flying towards Goku's direction. response:	I recognize this Ki.
context: Kuririn-san!\Gohan-san!\I wonder if it really will take Kuririn-san two whole hours to get to the Grand Elder-san and back.\What am I supposed to do if Freeza comes back before then?\I hope Kuririn-san gets back soon.\A Ki!\Someone is flying towards Goku's direction.\I recognize this Ki. response:	I knew it! It's Dende!
context: Gohan-san!\I wonder if it really will take Kuririn-san two whole hours to get to the Grand Elder-san and back.\What am I supposed to do if Freeza comes back before then?\I hope Kuririn-san gets back soon.\A Ki!\Someone is flying towards Goku's direction.\I recognize this Ki.\I knew it! It's Dende! response:	HEY!
context: I wonder if it really will take Kuririn-san two whole hours to get to the Grand Elder-san and back.\What am I supposed to do if Freeza comes back before then?\I hope Kuririn-san gets back soon.\A Ki!\Someone is flying towards Goku's direction.\I recognize this Ki.\I knew it! It's Dende!\HEY! response:	It's me, it's me! I'm just dressed this way is all.
context: What am I supposed to do if Freeza comes back before then?\I hope Kuririn-san gets back soon.\A Ki!\Someone is flying towards Goku's direction.\I recognize this Ki.\I knew it! It's Dende!\HEY!\It's me, it's me! I'm just dressed this way is all. response:	Kuririn-san!
context: I hope Kuririn-san gets back soon.\A Ki!\Someone is flying towards Goku's direction.\I recognize this Ki.\I knew it! It's Dende!\HEY!\It's me, it's me! I'm just dressed this way is all.\Kuririn-san! response:	Thank goodness!
context: A Ki!\Someone is flying towards Goku's direction.\I recognize this Ki.\I knew it! It's Dende!\HEY!\It's me, it's me! I'm just dressed this way is all.\Kuririn-san!\Thank goodness! response:	Hey, you...
context: Someone is flying towards Goku's direction.\I recognize this Ki.\I knew it! It's Dende!\HEY!\It's me, it's me! I'm just dressed this way is all.\Kuririn-san!\Thank goodness!\Hey, you... response:	You're that bad Ginyu fellow, who took over my father's body and such, aren't you?
context: I recognize this Ki.\I knew it! It's Dende!\HEY!\It's me, it's me! I'm just dressed this way is all.\Kuririn-san!\Thank goodness!\Hey, you...\You're that bad Ginyu fellow, who took over my father's body and such, aren't you? response:	I knew it! Come here, you!
context: I knew it! It's Dende!\HEY!\It's me, it's me! I'm just dressed this way is all.\Kuririn-san!\Thank goodness!\Hey, you...\You're that bad Ginyu fellow, who took over my father's body and such, aren't you?\I knew it! Come here, you! response:	You can't do anymore bad stuff now.
context: HEY!\It's me, it's me! I'm just dressed this way is all.\Kuririn-san!\Thank goodness!\Hey, you...\You're that bad Ginyu fellow, who took over my father's body and such, aren't you?\I knew it! Come here, you!\You can't do anymore bad stuff now. response:	This really saves our necks. We've gotten all the Dragonballs together, but we couldn't get Shenlong to appear,
context: It's me, it's me! I'm just dressed this way is all.\Kuririn-san!\Thank goodness!\Hey, you...\You're that bad Ginyu fellow, who took over my father's body and such, aren't you?\I knew it! Come here, you!\You can't do anymore bad stuff now.\This really saves our necks. We've gotten all the Dragonballs together, but we couldn't get Shenlong to appear, response:	So I was just on my way to the Grand Elder-san's place to find out what the password is.
context: Kuririn-san!\Thank goodness!\Hey, you...\You're that bad Ginyu fellow, who took over my father's body and such, aren't you?\I knew it! Come here, you!\You can't do anymore bad stuff now.\This really saves our necks. We've gotten all the Dragonballs together, but we couldn't get Shenlong to appear,\So I was just on my way to the Grand Elder-san's place to find out what the password is. response:	That's what I thought. I was told by the Grand Elder-sama to find you and tell you how to get your wish granted.
context: Thank goodness!\Hey, you...\You're that bad Ginyu fellow, who took over my father's body and such, aren't you?\I knew it! Come here, you!\You can't do anymore bad stuff now.\This really saves our necks. We've gotten all the Dragonballs together, but we couldn't get Shenlong to appear,\So I was just on my way to the Grand Elder-san's place to find out what the password is.\That's what I thought. I was told by the Grand Elder-sama to find you and tell you how to get your wish granted. response:	Oh, really? So, what is it were supposed to say?
context: Hey, you...\You're that bad Ginyu fellow, who took over my father's body and such, aren't you?\I knew it! Come here, you!\You can't do anymore bad stuff now.\This really saves our necks. We've gotten all the Dragonballs together, but we couldn't get Shenlong to appear,\So I was just on my way to the Grand Elder-san's place to find out what the password is.\That's what I thought. I was told by the Grand Elder-sama to find you and tell you how to get your wish granted.\Oh, really? So, what is it were supposed to say? response:	The password must be spoken in the Namekian language, or else the wish will not be granted.
context: You're that bad Ginyu fellow, who took over my father's body and such, aren't you?\I knew it! Come here, you!\You can't do anymore bad stuff now.\This really saves our necks. We've gotten all the Dragonballs together, but we couldn't get Shenlong to appear,\So I was just on my way to the Grand Elder-san's place to find out what the password is.\That's what I thought. I was told by the Grand Elder-sama to find you and tell you how to get your wish granted.\Oh, really? So, what is it were supposed to say?\The password must be spoken in the Namekian language, or else the wish will not be granted. response:	Namekian, huh? That makes sense.
context: I knew it! Come here, you!\You can't do anymore bad stuff now.\This really saves our necks. We've gotten all the Dragonballs together, but we couldn't get Shenlong to appear,\So I was just on my way to the Grand Elder-san's place to find out what the password is.\That's what I thought. I was told by the Grand Elder-sama to find you and tell you how to get your wish granted.\Oh, really? So, what is it were supposed to say?\The password must be spoken in the Namekian language, or else the wish will not be granted.\Namekian, huh? That makes sense. response:	The Grand Elder-san isn't very good with people, or else he could have told us that while we were there.
context: You can't do anymore bad stuff now.\This really saves our necks. We've gotten all the Dragonballs together, but we couldn't get Shenlong to appear,\So I was just on my way to the Grand Elder-san's place to find out what the password is.\That's what I thought. I was told by the Grand Elder-sama to find you and tell you how to get your wish granted.\Oh, really? So, what is it were supposed to say?\The password must be spoken in the Namekian language, or else the wish will not be granted.\Namekian, huh? That makes sense.\The Grand Elder-san isn't very good with people, or else he could have told us that while we were there. response:	He must not have thought you were going to be able to get all the Dragonballs together, or he would have.
context: This really saves our necks. We've gotten all the Dragonballs together, but we couldn't get Shenlong to appear,\So I was just on my way to the Grand Elder-san's place to find out what the password is.\That's what I thought. I was told by the Grand Elder-sama to find you and tell you how to get your wish granted.\Oh, really? So, what is it were supposed to say?\The password must be spoken in the Namekian language, or else the wish will not be granted.\Namekian, huh? That makes sense.\The Grand Elder-san isn't very good with people, or else he could have told us that while we were there.\He must not have thought you were going to be able to get all the Dragonballs together, or he would have. response:	Maybe so.
context: So I was just on my way to the Grand Elder-san's place to find out what the password is.\That's what I thought. I was told by the Grand Elder-sama to find you and tell you how to get your wish granted.\Oh, really? So, what is it were supposed to say?\The password must be spoken in the Namekian language, or else the wish will not be granted.\Namekian, huh? That makes sense.\The Grand Elder-san isn't very good with people, or else he could have told us that while we were there.\He must not have thought you were going to be able to get all the Dragonballs together, or he would have.\Maybe so. response:	Never mind that, we must hurry! The Grand Elder-sama's life is nearly at an end.
context: That's what I thought. I was told by the Grand Elder-sama to find you and tell you how to get your wish granted.\Oh, really? So, what is it were supposed to say?\The password must be spoken in the Namekian language, or else the wish will not be granted.\Namekian, huh? That makes sense.\The Grand Elder-san isn't very good with people, or else he could have told us that while we were there.\He must not have thought you were going to be able to get all the Dragonballs together, or he would have.\Maybe so.\Never mind that, we must hurry! The Grand Elder-sama's life is nearly at an end. response:	Freeza might be on his way, as well.
