context: Huh?! response:	Come out. I've known you were there for some time now.
context: since you handed over your Sacred Jewel to me.\Just a while longer...\Soon, the Jewel will become whole.\Kikyo willingly handed over the Sacred Jewel to me.\Why Kikyo?!\With the Sacred Jewel you gave him...\Naraku has increased his evil powers.\Just what were you thinking?! response:	Do you still hate me so much...Kikyo?
context: Just a while longer...\Soon, the Jewel will become whole.\Kikyo willingly handed over the Sacred Jewel to me.\Why Kikyo?!\With the Sacred Jewel you gave him...\Naraku has increased his evil powers.\Just what were you thinking?!\Do you still hate me so much...Kikyo? response:	Kikyo!
context: Soon, the Jewel will become whole.\Kikyo willingly handed over the Sacred Jewel to me.\Why Kikyo?!\With the Sacred Jewel you gave him...\Naraku has increased his evil powers.\Just what were you thinking?!\Do you still hate me so much...Kikyo?\Kikyo! response:	Inuyasha! Are you in pain?!
context: Kikyo willingly handed over the Sacred Jewel to me.\Why Kikyo?!\With the Sacred Jewel you gave him...\Naraku has increased his evil powers.\Just what were you thinking?!\Do you still hate me so much...Kikyo?\Kikyo!\Inuyasha! Are you in pain?! response:	It's to be expected.
context: Why Kikyo?!\With the Sacred Jewel you gave him...\Naraku has increased his evil powers.\Just what were you thinking?!\Do you still hate me so much...Kikyo?\Kikyo!\Inuyasha! Are you in pain?!\It's to be expected. response:	The Tetsusaiga protected you...
context: With the Sacred Jewel you gave him...\Naraku has increased his evil powers.\Just what were you thinking?!\Do you still hate me so much...Kikyo?\Kikyo!\Inuyasha! Are you in pain?!\It's to be expected.\The Tetsusaiga protected you... response:	but you still took the full force of the Wind Scar.
context: Naraku has increased his evil powers.\Just what were you thinking?!\Do you still hate me so much...Kikyo?\Kikyo!\Inuyasha! Are you in pain?!\It's to be expected.\The Tetsusaiga protected you...\but you still took the full force of the Wind Scar. response:	Even Sango...
context: Just what were you thinking?!\Do you still hate me so much...Kikyo?\Kikyo!\Inuyasha! Are you in pain?!\It's to be expected.\The Tetsusaiga protected you...\but you still took the full force of the Wind Scar.\Even Sango... response:	She shouldn't be moved for a while longer.
context: Do you still hate me so much...Kikyo?\Kikyo!\Inuyasha! Are you in pain?!\It's to be expected.\The Tetsusaiga protected you...\but you still took the full force of the Wind Scar.\Even Sango...\She shouldn't be moved for a while longer. response:	She acts brave, but she got hit with the Hiraikotsu.
context: Kikyo!\Inuyasha! Are you in pain?!\It's to be expected.\The Tetsusaiga protected you...\but you still took the full force of the Wind Scar.\Even Sango...\She shouldn't be moved for a while longer.\She acts brave, but she got hit with the Hiraikotsu. response:	Where's Kagome?
context: Inuyasha! Are you in pain?!\It's to be expected.\The Tetsusaiga protected you...\but you still took the full force of the Wind Scar.\Even Sango...\She shouldn't be moved for a while longer.\She acts brave, but she got hit with the Hiraikotsu.\Where's Kagome? response:	She and Miroku went in search of food and more medicinal herbs.
context: It's to be expected.\The Tetsusaiga protected you...\but you still took the full force of the Wind Scar.\Even Sango...\She shouldn't be moved for a while longer.\She acts brave, but she got hit with the Hiraikotsu.\Where's Kagome?\She and Miroku went in search of food and more medicinal herbs. response:	Wait, Kirara.
context: The Tetsusaiga protected you...\but you still took the full force of the Wind Scar.\Even Sango...\She shouldn't be moved for a while longer.\She acts brave, but she got hit with the Hiraikotsu.\Where's Kagome?\She and Miroku went in search of food and more medicinal herbs.\Wait, Kirara. response:	I'll go and get some cool water.
context: but you still took the full force of the Wind Scar.\Even Sango...\She shouldn't be moved for a while longer.\She acts brave, but she got hit with the Hiraikotsu.\Where's Kagome?\She and Miroku went in search of food and more medicinal herbs.\Wait, Kirara.\I'll go and get some cool water. response:	Inuyasha and Sango are injured badly.
context: Even Sango...\She shouldn't be moved for a while longer.\She acts brave, but she got hit with the Hiraikotsu.\Where's Kagome?\She and Miroku went in search of food and more medicinal herbs.\Wait, Kirara.\I'll go and get some cool water.\Inuyasha and Sango are injured badly. response:	And Naraku has created two frightening demons...
context: She shouldn't be moved for a while longer.\She acts brave, but she got hit with the Hiraikotsu.\Where's Kagome?\She and Miroku went in search of food and more medicinal herbs.\Wait, Kirara.\I'll go and get some cool water.\Inuyasha and Sango are injured badly.\And Naraku has created two frightening demons... response:	out of his own body.
context: She acts brave, but she got hit with the Hiraikotsu.\Where's Kagome?\She and Miroku went in search of food and more medicinal herbs.\Wait, Kirara.\I'll go and get some cool water.\Inuyasha and Sango are injured badly.\And Naraku has created two frightening demons...\out of his own body. response:	What's going to happen?!
context: Where's Kagome?\She and Miroku went in search of food and more medicinal herbs.\Wait, Kirara.\I'll go and get some cool water.\Inuyasha and Sango are injured badly.\And Naraku has created two frightening demons...\out of his own body.\What's going to happen?! response:	Soul Collectors!
context: She and Miroku went in search of food and more medicinal herbs.\Wait, Kirara.\I'll go and get some cool water.\Inuyasha and Sango are injured badly.\And Naraku has created two frightening demons...\out of his own body.\What's going to happen?!\Soul Collectors! response:	Is Kikyo near?
context: Wait, Kirara.\I'll go and get some cool water.\Inuyasha and Sango are injured badly.\And Naraku has created two frightening demons...\out of his own body.\What's going to happen?!\Soul Collectors!\Is Kikyo near? response:	Leggo!
context: I'll go and get some cool water.\Inuyasha and Sango are injured badly.\And Naraku has created two frightening demons...\out of his own body.\What's going to happen?!\Soul Collectors!\Is Kikyo near?\Leggo! response:	Inuyasha!
context: Inuyasha and Sango are injured badly.\And Naraku has created two frightening demons...\out of his own body.\What's going to happen?!\Soul Collectors!\Is Kikyo near?\Leggo!\Inuyasha! response:	Kikyo!
context: And Naraku has created two frightening demons...\out of his own body.\What's going to happen?!\Soul Collectors!\Is Kikyo near?\Leggo!\Inuyasha!\Kikyo! response:	Don't go! You'll be killed!
context: out of his own body.\What's going to happen?!\Soul Collectors!\Is Kikyo near?\Leggo!\Inuyasha!\Kikyo!\Don't go! You'll be killed! response:	Inuyasha! Inuyasha!
context: What's going to happen?!\Soul Collectors!\Is Kikyo near?\Leggo!\Inuyasha!\Kikyo!\Don't go! You'll be killed!\Inuyasha! Inuyasha! response:	Kikyo...
context: Soul Collectors!\Is Kikyo near?\Leggo!\Inuyasha!\Kikyo!\Don't go! You'll be killed!\Inuyasha! Inuyasha!\Kikyo... response:	I must see you!
context: Is Kikyo near?\Leggo!\Inuyasha!\Kikyo!\Don't go! You'll be killed!\Inuyasha! Inuyasha!\Kikyo...\I must see you! response:	Inuyasha...
context: Leggo!\Inuyasha!\Kikyo!\Don't go! You'll be killed!\Inuyasha! Inuyasha!\Kikyo...\I must see you!\Inuyasha... response:	Inuyasha...
context: Inuyasha!\Kikyo!\Don't go! You'll be killed!\Inuyasha! Inuyasha!\Kikyo...\I must see you!\Inuyasha...\Inuyasha... response:	Ki... kyo!
context: Kikyo!\Don't go! You'll be killed!\Inuyasha! Inuyasha!\Kikyo...\I must see you!\Inuyasha...\Inuyasha...\Ki... kyo! response:	You are alive, Inuyasha.
context: Don't go! You'll be killed!\Inuyasha! Inuyasha!\Kikyo...\I must see you!\Inuyasha...\Inuyasha...\Ki... kyo!\You are alive, Inuyasha. response:	I'm glad.
context: Inuyasha! Inuyasha!\Kikyo...\I must see you!\Inuyasha...\Inuyasha...\Ki... kyo!\You are alive, Inuyasha.\I'm glad. response:	Kikyo! What're you up to?!
context: Kikyo...\I must see you!\Inuyasha...\Inuyasha...\Ki... kyo!\You are alive, Inuyasha.\I'm glad.\Kikyo! What're you up to?! response:	Did you...
context: I must see you!\Inuyasha...\Inuyasha...\Ki... kyo!\You are alive, Inuyasha.\I'm glad.\Kikyo! What're you up to?!\Did you... response:	really hand over your Sacred Jewel to Naraku?!
context: Inuyasha...\Inuyasha...\Ki... kyo!\You are alive, Inuyasha.\I'm glad.\Kikyo! What're you up to?!\Did you...\really hand over your Sacred Jewel to Naraku?! response:	I did. In order to cast Naraku into oblivion.
context: Inuyasha...\Ki... kyo!\You are alive, Inuyasha.\I'm glad.\Kikyo! What're you up to?!\Did you...\really hand over your Sacred Jewel to Naraku?!\I did. In order to cast Naraku into oblivion. response:	Whaddya mean?!
context: Ki... kyo!\You are alive, Inuyasha.\I'm glad.\Kikyo! What're you up to?!\Did you...\really hand over your Sacred Jewel to Naraku?!\I did. In order to cast Naraku into oblivion.\Whaddya mean?! response:	Naraku is increasing his powers now!
context: You are alive, Inuyasha.\I'm glad.\Kikyo! What're you up to?!\Did you...\really hand over your Sacred Jewel to Naraku?!\I did. In order to cast Naraku into oblivion.\Whaddya mean?!\Naraku is increasing his powers now! response:	He's already created two more demons out of his own body...
context: I'm glad.\Kikyo! What're you up to?!\Did you...\really hand over your Sacred Jewel to Naraku?!\I did. In order to cast Naraku into oblivion.\Whaddya mean?!\Naraku is increasing his powers now!\He's already created two more demons out of his own body... response:	Kagura of the Wind and Kanna of the Void!
context: Kikyo! What're you up to?!\Did you...\really hand over your Sacred Jewel to Naraku?!\I did. In order to cast Naraku into oblivion.\Whaddya mean?!\Naraku is increasing his powers now!\He's already created two more demons out of his own body...\Kagura of the Wind and Kanna of the Void! response:	So Inuyasha and that Kikyo know each other.
context: Did you...\really hand over your Sacred Jewel to Naraku?!\I did. In order to cast Naraku into oblivion.\Whaddya mean?!\Naraku is increasing his powers now!\He's already created two more demons out of his own body...\Kagura of the Wind and Kanna of the Void!\So Inuyasha and that Kikyo know each other. response:	Kagura, follow Kikyo and find out what she's up to.
context: really hand over your Sacred Jewel to Naraku?!\I did. In order to cast Naraku into oblivion.\Whaddya mean?!\Naraku is increasing his powers now!\He's already created two more demons out of his own body...\Kagura of the Wind and Kanna of the Void!\So Inuyasha and that Kikyo know each other.\Kagura, follow Kikyo and find out what she's up to. response:	She can't be trusted.
context: I did. In order to cast Naraku into oblivion.\Whaddya mean?!\Naraku is increasing his powers now!\He's already created two more demons out of his own body...\Kagura of the Wind and Kanna of the Void!\So Inuyasha and that Kikyo know each other.\Kagura, follow Kikyo and find out what she's up to.\She can't be trusted. response:	You wanted to kill me.
context: Whaddya mean?!\Naraku is increasing his powers now!\He's already created two more demons out of his own body...\Kagura of the Wind and Kanna of the Void!\So Inuyasha and that Kikyo know each other.\Kagura, follow Kikyo and find out what she's up to.\She can't be trusted.\You wanted to kill me. response:	Isn't that why you gave Naraku your Sacred Jewel?!
context: Naraku is increasing his powers now!\He's already created two more demons out of his own body...\Kagura of the Wind and Kanna of the Void!\So Inuyasha and that Kikyo know each other.\Kagura, follow Kikyo and find out what she's up to.\She can't be trusted.\You wanted to kill me.\Isn't that why you gave Naraku your Sacred Jewel?! response:	As if I'd let the likes of Naraku take your life!
context: He's already created two more demons out of his own body...\Kagura of the Wind and Kanna of the Void!\So Inuyasha and that Kikyo know each other.\Kagura, follow Kikyo and find out what she's up to.\She can't be trusted.\You wanted to kill me.\Isn't that why you gave Naraku your Sacred Jewel?!\As if I'd let the likes of Naraku take your life! response:	Do not forget this, Inuyasha!
context: Kagura of the Wind and Kanna of the Void!\So Inuyasha and that Kikyo know each other.\Kagura, follow Kikyo and find out what she's up to.\She can't be trusted.\You wanted to kill me.\Isn't that why you gave Naraku your Sacred Jewel?!\As if I'd let the likes of Naraku take your life!\Do not forget this, Inuyasha! response:	Naraku is our bitterest enemy.
context: So Inuyasha and that Kikyo know each other.\Kagura, follow Kikyo and find out what she's up to.\She can't be trusted.\You wanted to kill me.\Isn't that why you gave Naraku your Sacred Jewel?!\As if I'd let the likes of Naraku take your life!\Do not forget this, Inuyasha!\Naraku is our bitterest enemy. response:	It's no fun just spying on them.
context: Kagura, follow Kikyo and find out what she's up to.\She can't be trusted.\You wanted to kill me.\Isn't that why you gave Naraku your Sacred Jewel?!\As if I'd let the likes of Naraku take your life!\Do not forget this, Inuyasha!\Naraku is our bitterest enemy.\It's no fun just spying on them. response:	Inuyasha is half-dead.
context: She can't be trusted.\You wanted to kill me.\Isn't that why you gave Naraku your Sacred Jewel?!\As if I'd let the likes of Naraku take your life!\Do not forget this, Inuyasha!\Naraku is our bitterest enemy.\It's no fun just spying on them.\Inuyasha is half-dead. response:	He hasn't even picked up on my scent.
context: You wanted to kill me.\Isn't that why you gave Naraku your Sacred Jewel?!\As if I'd let the likes of Naraku take your life!\Do not forget this, Inuyasha!\Naraku is our bitterest enemy.\It's no fun just spying on them.\Inuyasha is half-dead.\He hasn't even picked up on my scent. response:	I'll kill him and Kikyo both!
context: Isn't that why you gave Naraku your Sacred Jewel?!\As if I'd let the likes of Naraku take your life!\Do not forget this, Inuyasha!\Naraku is our bitterest enemy.\It's no fun just spying on them.\Inuyasha is half-dead.\He hasn't even picked up on my scent.\I'll kill him and Kikyo both! response:	K-Kagura!
context: As if I'd let the likes of Naraku take your life!\Do not forget this, Inuyasha!\Naraku is our bitterest enemy.\It's no fun just spying on them.\Inuyasha is half-dead.\He hasn't even picked up on my scent.\I'll kill him and Kikyo both!\K-Kagura! response:	Next is your head.
context: Do not forget this, Inuyasha!\Naraku is our bitterest enemy.\It's no fun just spying on them.\Inuyasha is half-dead.\He hasn't even picked up on my scent.\I'll kill him and Kikyo both!\K-Kagura!\Next is your head. response:	She escaped...
context: Naraku is our bitterest enemy.\It's no fun just spying on them.\Inuyasha is half-dead.\He hasn't even picked up on my scent.\I'll kill him and Kikyo both!\K-Kagura!\Next is your head.\She escaped... response:	Inuyasha, Naraku will only grow stronger and stronger.
context: It's no fun just spying on them.\Inuyasha is half-dead.\He hasn't even picked up on my scent.\I'll kill him and Kikyo both!\K-Kagura!\Next is your head.\She escaped...\Inuyasha, Naraku will only grow stronger and stronger. response:	Do not let him kill you!
context: Inuyasha is half-dead.\He hasn't even picked up on my scent.\I'll kill him and Kikyo both!\K-Kagura!\Next is your head.\She escaped...\Inuyasha, Naraku will only grow stronger and stronger.\Do not let him kill you! response:	Until I am able to cast both Naraku and the Jewel out of this world...
context: He hasn't even picked up on my scent.\I'll kill him and Kikyo both!\K-Kagura!\Next is your head.\She escaped...\Inuyasha, Naraku will only grow stronger and stronger.\Do not let him kill you!\Until I am able to cast both Naraku and the Jewel out of this world... response:	your life is mine. No one will have you!
context: I'll kill him and Kikyo both!\K-Kagura!\Next is your head.\She escaped...\Inuyasha, Naraku will only grow stronger and stronger.\Do not let him kill you!\Until I am able to cast both Naraku and the Jewel out of this world...\your life is mine. No one will have you! response:	Kikyo...
context: K-Kagura!\Next is your head.\She escaped...\Inuyasha, Naraku will only grow stronger and stronger.\Do not let him kill you!\Until I am able to cast both Naraku and the Jewel out of this world...\your life is mine. No one will have you!\Kikyo... response:	Shippo, are you sure?
context: Next is your head.\She escaped...\Inuyasha, Naraku will only grow stronger and stronger.\Do not let him kill you!\Until I am able to cast both Naraku and the Jewel out of this world...\your life is mine. No one will have you!\Kikyo...\Shippo, are you sure? response:	Did Kikyo's Soul Collectors really appear?
context: She escaped...\Inuyasha, Naraku will only grow stronger and stronger.\Do not let him kill you!\Until I am able to cast both Naraku and the Jewel out of this world...\your life is mine. No one will have you!\Kikyo...\Shippo, are you sure?\Did Kikyo's Soul Collectors really appear? response:	Inuyasha was lured out by them!
context: Inuyasha, Naraku will only grow stronger and stronger.\Do not let him kill you!\Until I am able to cast both Naraku and the Jewel out of this world...\your life is mine. No one will have you!\Kikyo...\Shippo, are you sure?\Did Kikyo's Soul Collectors really appear?\Inuyasha was lured out by them! response:	Inuyasha... did you go to see Kikyo?!
context: Do not let him kill you!\Until I am able to cast both Naraku and the Jewel out of this world...\your life is mine. No one will have you!\Kikyo...\Shippo, are you sure?\Did Kikyo's Soul Collectors really appear?\Inuyasha was lured out by them!\Inuyasha... did you go to see Kikyo?! response:	Kagome...
context: Until I am able to cast both Naraku and the Jewel out of this world...\your life is mine. No one will have you!\Kikyo...\Shippo, are you sure?\Did Kikyo's Soul Collectors really appear?\Inuyasha was lured out by them!\Inuyasha... did you go to see Kikyo?!\Kagome... response:	Inuyasha!
context: your life is mine. No one will have you!\Kikyo...\Shippo, are you sure?\Did Kikyo's Soul Collectors really appear?\Inuyasha was lured out by them!\Inuyasha... did you go to see Kikyo?!\Kagome...\Inuyasha! response:	Are you all right?
context: Kikyo...\Shippo, are you sure?\Did Kikyo's Soul Collectors really appear?\Inuyasha was lured out by them!\Inuyasha... did you go to see Kikyo?!\Kagome...\Inuyasha!\Are you all right? response:	Ah, yeah...
context: Shippo, are you sure?\Did Kikyo's Soul Collectors really appear?\Inuyasha was lured out by them!\Inuyasha... did you go to see Kikyo?!\Kagome...\Inuyasha!\Are you all right?\Ah, yeah... response:	Say! Oh, sorry.
context: Did Kikyo's Soul Collectors really appear?\Inuyasha was lured out by them!\Inuyasha... did you go to see Kikyo?!\Kagome...\Inuyasha!\Are you all right?\Ah, yeah...\Say! Oh, sorry. response:	You did see Kikyo! It's written all over your face!
context: Inuyasha was lured out by them!\Inuyasha... did you go to see Kikyo?!\Kagome...\Inuyasha!\Are you all right?\Ah, yeah...\Say! Oh, sorry.\You did see Kikyo! It's written all over your face! response:	You can't even look me in the eye!
context: Inuyasha... did you go to see Kikyo?!\Kagome...\Inuyasha!\Are you all right?\Ah, yeah...\Say! Oh, sorry.\You did see Kikyo! It's written all over your face!\You can't even look me in the eye! response:	You're always like that!
context: Kagome...\Inuyasha!\Are you all right?\Ah, yeah...\Say! Oh, sorry.\You did see Kikyo! It's written all over your face!\You can't even look me in the eye!\You're always like that! response:	Hey! It wasn't a rendezvous or anything like that!
context: Inuyasha!\Are you all right?\Ah, yeah...\Say! Oh, sorry.\You did see Kikyo! It's written all over your face!\You can't even look me in the eye!\You're always like that!\Hey! It wasn't a rendezvous or anything like that! response:	So he did see her!
context: Are you all right?\Ah, yeah...\Say! Oh, sorry.\You did see Kikyo! It's written all over your face!\You can't even look me in the eye!\You're always like that!\Hey! It wasn't a rendezvous or anything like that!\So he did see her! response:	l-I know that, stupid!
context: Ah, yeah...\Say! Oh, sorry.\You did see Kikyo! It's written all over your face!\You can't even look me in the eye!\You're always like that!\Hey! It wasn't a rendezvous or anything like that!\So he did see her!\l-I know that, stupid! response:	Oh dear...
context: Say! Oh, sorry.\You did see Kikyo! It's written all over your face!\You can't even look me in the eye!\You're always like that!\Hey! It wasn't a rendezvous or anything like that!\So he did see her!\l-I know that, stupid!\Oh dear... response:	I can understand Inuyasha's hesitancy...
context: You did see Kikyo! It's written all over your face!\You can't even look me in the eye!\You're always like that!\Hey! It wasn't a rendezvous or anything like that!\So he did see her!\l-I know that, stupid!\Oh dear...\I can understand Inuyasha's hesitancy... response:	And what did you find out, Inuyasha?
context: You can't even look me in the eye!\You're always like that!\Hey! It wasn't a rendezvous or anything like that!\So he did see her!\l-I know that, stupid!\Oh dear...\I can understand Inuyasha's hesitancy...\And what did you find out, Inuyasha? response:	Did Kikyo really give Naraku her Sacred Jewel?
context: You're always like that!\Hey! It wasn't a rendezvous or anything like that!\So he did see her!\l-I know that, stupid!\Oh dear...\I can understand Inuyasha's hesitancy...\And what did you find out, Inuyasha?\Did Kikyo really give Naraku her Sacred Jewel? response:	Yeah...
context: Hey! It wasn't a rendezvous or anything like that!\So he did see her!\l-I know that, stupid!\Oh dear...\I can understand Inuyasha's hesitancy...\And what did you find out, Inuyasha?\Did Kikyo really give Naraku her Sacred Jewel?\Yeah... response:	In other words, Kikyo has joined forces with Naraku?
context: So he did see her!\l-I know that, stupid!\Oh dear...\I can understand Inuyasha's hesitancy...\And what did you find out, Inuyasha?\Did Kikyo really give Naraku her Sacred Jewel?\Yeah...\In other words, Kikyo has joined forces with Naraku? response:	No!
context: l-I know that, stupid!\Oh dear...\I can understand Inuyasha's hesitancy...\And what did you find out, Inuyasha?\Did Kikyo really give Naraku her Sacred Jewel?\Yeah...\In other words, Kikyo has joined forces with Naraku?\No! response:	I don't know what Kikyo intends to do...
context: Oh dear...\I can understand Inuyasha's hesitancy...\And what did you find out, Inuyasha?\Did Kikyo really give Naraku her Sacred Jewel?\Yeah...\In other words, Kikyo has joined forces with Naraku?\No!\I don't know what Kikyo intends to do... response:	but...
context: I can understand Inuyasha's hesitancy...\And what did you find out, Inuyasha?\Did Kikyo really give Naraku her Sacred Jewel?\Yeah...\In other words, Kikyo has joined forces with Naraku?\No!\I don't know what Kikyo intends to do...\but... response:	Kagome. What's wrong with her?
context: And what did you find out, Inuyasha?\Did Kikyo really give Naraku her Sacred Jewel?\Yeah...\In other words, Kikyo has joined forces with Naraku?\No!\I don't know what Kikyo intends to do...\but...\Kagome. What's wrong with her? response:	What're you doing?!
context: Did Kikyo really give Naraku her Sacred Jewel?\Yeah...\In other words, Kikyo has joined forces with Naraku?\No!\I don't know what Kikyo intends to do...\but...\Kagome. What's wrong with her?\What're you doing?! response:	Poor Kagome...
context: Yeah...\In other words, Kikyo has joined forces with Naraku?\No!\I don't know what Kikyo intends to do...\but...\Kagome. What's wrong with her?\What're you doing?!\Poor Kagome... response:	I'll say!
context: In other words, Kikyo has joined forces with Naraku?\No!\I don't know what Kikyo intends to do...\but...\Kagome. What's wrong with her?\What're you doing?!\Poor Kagome...\I'll say! response:	When she's been so worried about you, Inuyasha! Right?
context: No!\I don't know what Kikyo intends to do...\but...\Kagome. What's wrong with her?\What're you doing?!\Poor Kagome...\I'll say!\When she's been so worried about you, Inuyasha! Right? response:	Inuyasha was hurt so badly...
context: I don't know what Kikyo intends to do...\but...\Kagome. What's wrong with her?\What're you doing?!\Poor Kagome...\I'll say!\When she's been so worried about you, Inuyasha! Right?\Inuyasha was hurt so badly... response:	all because Kikyo gave Naraku the Sacred Jewel.
context: but...\Kagome. What's wrong with her?\What're you doing?!\Poor Kagome...\I'll say!\When she's been so worried about you, Inuyasha! Right?\Inuyasha was hurt so badly...\all because Kikyo gave Naraku the Sacred Jewel. response:	Yet he still defends her!
context: Kagome. What's wrong with her?\What're you doing?!\Poor Kagome...\I'll say!\When she's been so worried about you, Inuyasha! Right?\Inuyasha was hurt so badly...\all because Kikyo gave Naraku the Sacred Jewel.\Yet he still defends her! response:	Inuyasha, you fool!
context: What're you doing?!\Poor Kagome...\I'll say!\When she's been so worried about you, Inuyasha! Right?\Inuyasha was hurt so badly...\all because Kikyo gave Naraku the Sacred Jewel.\Yet he still defends her!\Inuyasha, you fool! response:	W-what's that?!
context: Poor Kagome...\I'll say!\When she's been so worried about you, Inuyasha! Right?\Inuyasha was hurt so badly...\all because Kikyo gave Naraku the Sacred Jewel.\Yet he still defends her!\Inuyasha, you fool!\W-what's that?! response:	Something's going on in the barn.
context: I'll say!\When she's been so worried about you, Inuyasha! Right?\Inuyasha was hurt so badly...\all because Kikyo gave Naraku the Sacred Jewel.\Yet he still defends her!\Inuyasha, you fool!\W-what's that?!\Something's going on in the barn. response:	Let's go and check!
context: When she's been so worried about you, Inuyasha! Right?\Inuyasha was hurt so badly...\all because Kikyo gave Naraku the Sacred Jewel.\Yet he still defends her!\Inuyasha, you fool!\W-what's that?!\Something's going on in the barn.\Let's go and check! response:	- A demon! - It's eating the horse!
context: Inuyasha was hurt so badly...\all because Kikyo gave Naraku the Sacred Jewel.\Yet he still defends her!\Inuyasha, you fool!\W-what's that?!\Something's going on in the barn.\Let's go and check!\- A demon! - It's eating the horse! response:	Damn...what's this demon?
context: all because Kikyo gave Naraku the Sacred Jewel.\Yet he still defends her!\Inuyasha, you fool!\W-what's that?!\Something's going on in the barn.\Let's go and check!\- A demon! - It's eating the horse!\Damn...what's this demon? response:	Some brainless glutton!
context: Yet he still defends her!\Inuyasha, you fool!\W-what's that?!\Something's going on in the barn.\Let's go and check!\- A demon! - It's eating the horse!\Damn...what's this demon?\Some brainless glutton! response:	Sister. Did you just call me a brainless glutton?
context: Inuyasha, you fool!\W-what's that?!\Something's going on in the barn.\Let's go and check!\- A demon! - It's eating the horse!\Damn...what's this demon?\Some brainless glutton!\Sister. Did you just call me a brainless glutton? response:	He's toying with me! He can read my mind!
context: W-what's that?!\Something's going on in the barn.\Let's go and check!\- A demon! - It's eating the horse!\Damn...what's this demon?\Some brainless glutton!\Sister. Did you just call me a brainless glutton?\He's toying with me! He can read my mind! response:	Sango, are you able to move now?
context: Something's going on in the barn.\Let's go and check!\- A demon! - It's eating the horse!\Damn...what's this demon?\Some brainless glutton!\Sister. Did you just call me a brainless glutton?\He's toying with me! He can read my mind!\Sango, are you able to move now? response:	I can manage...
context: Let's go and check!\- A demon! - It's eating the horse!\Damn...what's this demon?\Some brainless glutton!\Sister. Did you just call me a brainless glutton?\He's toying with me! He can read my mind!\Sango, are you able to move now?\I can manage... response:	Don't push yourself!
context: - A demon! - It's eating the horse!\Damn...what's this demon?\Some brainless glutton!\Sister. Did you just call me a brainless glutton?\He's toying with me! He can read my mind!\Sango, are you able to move now?\I can manage...\Don't push yourself! response:	Would you like a little more medicine for the pain?
context: Damn...what's this demon?\Some brainless glutton!\Sister. Did you just call me a brainless glutton?\He's toying with me! He can read my mind!\Sango, are you able to move now?\I can manage...\Don't push yourself!\Would you like a little more medicine for the pain? response:	I'm okay. Besides, isn't it dangerous to stay here?
context: Some brainless glutton!\Sister. Did you just call me a brainless glutton?\He's toying with me! He can read my mind!\Sango, are you able to move now?\I can manage...\Don't push yourself!\Would you like a little more medicine for the pain?\I'm okay. Besides, isn't it dangerous to stay here? response:	Kagura was nearby...
context: Sister. Did you just call me a brainless glutton?\He's toying with me! He can read my mind!\Sango, are you able to move now?\I can manage...\Don't push yourself!\Would you like a little more medicine for the pain?\I'm okay. Besides, isn't it dangerous to stay here?\Kagura was nearby... response:	I'm all right. Kagome, go tend to Inuyasha.
