context: We're going to be third-years starting next week. response:	We're the most senior people at school.
context: hhhhhh950-1100 yen (trial period)hhhhhh\hhhHours:hhh\At least 4 hours between 8 AM to 8 PM (negotiable)hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh\So...\I'm glad you saw the ad and decided to come in for an interview.\Why are you trying to work here?!\I want to know why she's here, too.\I'd love to hire both of you, but we only need one. response:	If Uesugi-kun were to quit...
context: hhhHours:hhh\At least 4 hours between 8 AM to 8 PM (negotiable)hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh\So...\I'm glad you saw the ad and decided to come in for an interview.\Why are you trying to work here?!\I want to know why she's here, too.\I'd love to hire both of you, but we only need one.\If Uesugi-kun were to quit... response:	Oh, come on, Boss...
context: At least 4 hours between 8 AM to 8 PM (negotiable)hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh\So...\I'm glad you saw the ad and decided to come in for an interview.\Why are you trying to work here?!\I want to know why she's here, too.\I'd love to hire both of you, but we only need one.\If Uesugi-kun were to quit...\Oh, come on, Boss... response:	I'd like to make cakes.
context: So...\I'm glad you saw the ad and decided to come in for an interview.\Why are you trying to work here?!\I want to know why she's here, too.\I'd love to hire both of you, but we only need one.\If Uesugi-kun were to quit...\Oh, come on, Boss...\I'd like to make cakes. response:	You're good at it, huh?
context: I'm glad you saw the ad and decided to come in for an interview.\Why are you trying to work here?!\I want to know why she's here, too.\I'd love to hire both of you, but we only need one.\If Uesugi-kun were to quit...\Oh, come on, Boss...\I'd like to make cakes.\You're good at it, huh? response:	Then you can...
context: Why are you trying to work here?!\I want to know why she's here, too.\I'd love to hire both of you, but we only need one.\If Uesugi-kun were to quit...\Oh, come on, Boss...\I'd like to make cakes.\You're good at it, huh?\Then you can... response:	H-Hey!
context: I want to know why she's here, too.\I'd love to hire both of you, but we only need one.\If Uesugi-kun were to quit...\Oh, come on, Boss...\I'd like to make cakes.\You're good at it, huh?\Then you can...\H-Hey! response:	I'm better than her!
context: I'd love to hire both of you, but we only need one.\If Uesugi-kun were to quit...\Oh, come on, Boss...\I'd like to make cakes.\You're good at it, huh?\Then you can...\H-Hey!\I'm better than her! response:	I've made chocolates tons of times this year.
context: If Uesugi-kun were to quit...\Oh, come on, Boss...\I'd like to make cakes.\You're good at it, huh?\Then you can...\H-Hey!\I'm better than her!\I've made chocolates tons of times this year. response:	Seriously? That was with my help!
context: Oh, come on, Boss...\I'd like to make cakes.\You're good at it, huh?\Then you can...\H-Hey!\I'm better than her!\I've made chocolates tons of times this year.\Seriously? That was with my help! response:	I managed to make it on my own in the end.
context: I'd like to make cakes.\You're good at it, huh?\Then you can...\H-Hey!\I'm better than her!\I've made chocolates tons of times this year.\Seriously? That was with my help!\I managed to make it on my own in the end. response:	These girls are your friends, aren't they?
context: You're good at it, huh?\Then you can...\H-Hey!\I'm better than her!\I've made chocolates tons of times this year.\Seriously? That was with my help!\I managed to make it on my own in the end.\These girls are your friends, aren't they? response:	Huh? I guess.
context: Then you can...\H-Hey!\I'm better than her!\I've made chocolates tons of times this year.\Seriously? That was with my help!\I managed to make it on my own in the end.\These girls are your friends, aren't they?\Huh? I guess. response:	You deal with it.
context: H-Hey!\I'm better than her!\I've made chocolates tons of times this year.\Seriously? That was with my help!\I managed to make it on my own in the end.\These girls are your friends, aren't they?\Huh? I guess.\You deal with it. response:	What?!
context: I'm better than her!\I've made chocolates tons of times this year.\Seriously? That was with my help!\I managed to make it on my own in the end.\These girls are your friends, aren't they?\Huh? I guess.\You deal with it.\What?! response:	Futaro, what are you going to do?
context: I've made chocolates tons of times this year.\Seriously? That was with my help!\I managed to make it on my own in the end.\These girls are your friends, aren't they?\Huh? I guess.\You deal with it.\What?!\Futaro, what are you going to do? response:	You'd obviously choose me, right?
context: Seriously? That was with my help!\I managed to make it on my own in the end.\These girls are your friends, aren't they?\Huh? I guess.\You deal with it.\What?!\Futaro, what are you going to do?\You'd obviously choose me, right? response:	I'll do anything you need.
context: I managed to make it on my own in the end.\These girls are your friends, aren't they?\Huh? I guess.\You deal with it.\What?!\Futaro, what are you going to do?\You'd obviously choose me, right?\I'll do anything you need. response:	So choose me.
context: These girls are your friends, aren't they?\Huh? I guess.\You deal with it.\What?!\Futaro, what are you going to do?\You'd obviously choose me, right?\I'll do anything you need.\So choose me. response:	So choose me.
context: Huh? I guess.\You deal with it.\What?!\Futaro, what are you going to do?\You'd obviously choose me, right?\I'll do anything you need.\So choose me.\So choose me. response:	Okay, I look forward to working with you starting next week.
context: You deal with it.\What?!\Futaro, what are you going to do?\You'd obviously choose me, right?\I'll do anything you need.\So choose me.\So choose me.\Okay, I look forward to working with you starting next week. response:	I lost.
context: What?!\Futaro, what are you going to do?\You'd obviously choose me, right?\I'll do anything you need.\So choose me.\So choose me.\Okay, I look forward to working with you starting next week.\I lost. response:	You shouldn't have asked for a cook-off.
context: Futaro, what are you going to do?\You'd obviously choose me, right?\I'll do anything you need.\So choose me.\So choose me.\Okay, I look forward to working with you starting next week.\I lost.\You shouldn't have asked for a cook-off. response:	Did you seriously think you could win?
context: You'd obviously choose me, right?\I'll do anything you need.\So choose me.\So choose me.\Okay, I look forward to working with you starting next week.\I lost.\You shouldn't have asked for a cook-off.\Did you seriously think you could win? response:	I do feel bad, though.
context: I'll do anything you need.\So choose me.\So choose me.\Okay, I look forward to working with you starting next week.\I lost.\You shouldn't have asked for a cook-off.\Did you seriously think you could win?\I do feel bad, though. response:	The bakery across the street is hiring, too.
context: So choose me.\So choose me.\Okay, I look forward to working with you starting next week.\I lost.\You shouldn't have asked for a cook-off.\Did you seriously think you could win?\I do feel bad, though.\The bakery across the street is hiring, too. response:	I think I'll work there.
context: So choose me.\Okay, I look forward to working with you starting next week.\I lost.\You shouldn't have asked for a cook-off.\Did you seriously think you could win?\I do feel bad, though.\The bakery across the street is hiring, too.\I think I'll work there. response:	You moved on surprisingly quickly.
context: Okay, I look forward to working with you starting next week.\I lost.\You shouldn't have asked for a cook-off.\Did you seriously think you could win?\I do feel bad, though.\The bakery across the street is hiring, too.\I think I'll work there.\You moved on surprisingly quickly. response:	Are you sure? You won't get to work with him there.
context: I lost.\You shouldn't have asked for a cook-off.\Did you seriously think you could win?\I do feel bad, though.\The bakery across the street is hiring, too.\I think I'll work there.\You moved on surprisingly quickly.\Are you sure? You won't get to work with him there. response:	Yeah.
context: You shouldn't have asked for a cook-off.\Did you seriously think you could win?\I do feel bad, though.\The bakery across the street is hiring, too.\I think I'll work there.\You moved on surprisingly quickly.\Are you sure? You won't get to work with him there.\Yeah. response:	Futaro isn't my objective.
context: Did you seriously think you could win?\I do feel bad, though.\The bakery across the street is hiring, too.\I think I'll work there.\You moved on surprisingly quickly.\Are you sure? You won't get to work with him there.\Yeah.\Futaro isn't my objective. response:	I realized when I made that cake today...
context: I do feel bad, though.\The bakery across the street is hiring, too.\I think I'll work there.\You moved on surprisingly quickly.\Are you sure? You won't get to work with him there.\Yeah.\Futaro isn't my objective.\I realized when I made that cake today... response:	It doesn't taste bad, though, really...
context: The bakery across the street is hiring, too.\I think I'll work there.\You moved on surprisingly quickly.\Are you sure? You won't get to work with him there.\Yeah.\Futaro isn't my objective.\I realized when I made that cake today...\It doesn't taste bad, though, really... response:	I like making things.
context: I think I'll work there.\You moved on surprisingly quickly.\Are you sure? You won't get to work with him there.\Yeah.\Futaro isn't my objective.\I realized when I made that cake today...\It doesn't taste bad, though, really...\I like making things. response:	Besides...
context: You moved on surprisingly quickly.\Are you sure? You won't get to work with him there.\Yeah.\Futaro isn't my objective.\I realized when I made that cake today...\It doesn't taste bad, though, really...\I like making things.\Besides... response:	Always cheerful
context: Are you sure? You won't get to work with him there.\Yeah.\Futaro isn't my objective.\I realized when I made that cake today...\It doesn't taste bad, though, really...\I like making things.\Besides...\Always cheerful response:	Good at cooking
context: Yeah.\Futaro isn't my objective.\I realized when I made that cake today...\It doesn't taste bad, though, really...\I like making things.\Besides...\Always cheerful\Good at cooking response:	I'm going to become a version of me that Futaro would fall in love with.
context: Futaro isn't my objective.\I realized when I made that cake today...\It doesn't taste bad, though, really...\I like making things.\Besides...\Always cheerful\Good at cooking\I'm going to become a version of me that Futaro would fall in love with. response:	I don't feel like I've won.
context: I realized when I made that cake today...\It doesn't taste bad, though, really...\I like making things.\Besides...\Always cheerful\Good at cooking\I'm going to become a version of me that Futaro would fall in love with.\I don't feel like I've won. response:	But I'm going to make him fall for me at this job.
context: It doesn't taste bad, though, really...\I like making things.\Besides...\Always cheerful\Good at cooking\I'm going to become a version of me that Futaro would fall in love with.\I don't feel like I've won.\But I'm going to make him fall for me at this job. response:	Oh, yeah?
context: I like making things.\Besides...\Always cheerful\Good at cooking\I'm going to become a version of me that Futaro would fall in love with.\I don't feel like I've won.\But I'm going to make him fall for me at this job.\Oh, yeah? response:	I wonder if I've caused them trouble with what I said.
context: Besides...\Always cheerful\Good at cooking\I'm going to become a version of me that Futaro would fall in love with.\I don't feel like I've won.\But I'm going to make him fall for me at this job.\Oh, yeah?\I wonder if I've caused them trouble with what I said. response:	Do you not make enough on your own to get by?
context: Always cheerful\Good at cooking\I'm going to become a version of me that Futaro would fall in love with.\I don't feel like I've won.\But I'm going to make him fall for me at this job.\Oh, yeah?\I wonder if I've caused them trouble with what I said.\Do you not make enough on your own to get by? response:	We can make it work, just barely.
context: Good at cooking\I'm going to become a version of me that Futaro would fall in love with.\I don't feel like I've won.\But I'm going to make him fall for me at this job.\Oh, yeah?\I wonder if I've caused them trouble with what I said.\Do you not make enough on your own to get by?\We can make it work, just barely. response:	But I've been focusing on surefire gigs so that I can make rent.
context: I'm going to become a version of me that Futaro would fall in love with.\I don't feel like I've won.\But I'm going to make him fall for me at this job.\Oh, yeah?\I wonder if I've caused them trouble with what I said.\Do you not make enough on your own to get by?\We can make it work, just barely.\But I've been focusing on surefire gigs so that I can make rent. response:	And I want to move on to stuff that'll really challenge and motivate me.
context: I don't feel like I've won.\But I'm going to make him fall for me at this job.\Oh, yeah?\I wonder if I've caused them trouble with what I said.\Do you not make enough on your own to get by?\We can make it work, just barely.\But I've been focusing on surefire gigs so that I can make rent.\And I want to move on to stuff that'll really challenge and motivate me. response:	I see.
context: But I'm going to make him fall for me at this job.\Oh, yeah?\I wonder if I've caused them trouble with what I said.\Do you not make enough on your own to get by?\We can make it work, just barely.\But I've been focusing on surefire gigs so that I can make rent.\And I want to move on to stuff that'll really challenge and motivate me.\I see. response:	I heard Yotsuba got hired, too.
context: Oh, yeah?\I wonder if I've caused them trouble with what I said.\Do you not make enough on your own to get by?\We can make it work, just barely.\But I've been focusing on surefire gigs so that I can make rent.\And I want to move on to stuff that'll really challenge and motivate me.\I see.\I heard Yotsuba got hired, too. response:	She'd been cleaning my room,
context: I wonder if I've caused them trouble with what I said.\Do you not make enough on your own to get by?\We can make it work, just barely.\But I've been focusing on surefire gigs so that I can make rent.\And I want to move on to stuff that'll really challenge and motivate me.\I see.\I heard Yotsuba got hired, too.\She'd been cleaning my room, response:	so she's already an expert.
context: Do you not make enough on your own to get by?\We can make it work, just barely.\But I've been focusing on surefire gigs so that I can make rent.\And I want to move on to stuff that'll really challenge and motivate me.\I see.\I heard Yotsuba got hired, too.\She'd been cleaning my room,\so she's already an expert. response:	Itsuki-chan's still struggling to make her first move, but she'll be fine.
context: We can make it work, just barely.\But I've been focusing on surefire gigs so that I can make rent.\And I want to move on to stuff that'll really challenge and motivate me.\I see.\I heard Yotsuba got hired, too.\She'd been cleaning my room,\so she's already an expert.\Itsuki-chan's still struggling to make her first move, but she'll be fine. response:	I don't care what you do, as long as you don't fail.
context: But I've been focusing on surefire gigs so that I can make rent.\And I want to move on to stuff that'll really challenge and motivate me.\I see.\I heard Yotsuba got hired, too.\She'd been cleaning my room,\so she's already an expert.\Itsuki-chan's still struggling to make her first move, but she'll be fine.\I don't care what you do, as long as you don't fail. response:	I wouldn't want to fail after we've come so far.
context: And I want to move on to stuff that'll really challenge and motivate me.\I see.\I heard Yotsuba got hired, too.\She'd been cleaning my room,\so she's already an expert.\Itsuki-chan's still struggling to make her first move, but she'll be fine.\I don't care what you do, as long as you don't fail.\I wouldn't want to fail after we've come so far. response:	I'm counting on you, Sensei.
context: I see.\I heard Yotsuba got hired, too.\She'd been cleaning my room,\so she's already an expert.\Itsuki-chan's still struggling to make her first move, but she'll be fine.\I don't care what you do, as long as you don't fail.\I wouldn't want to fail after we've come so far.\I'm counting on you, Sensei. response:	Is something wrong?
context: I heard Yotsuba got hired, too.\She'd been cleaning my room,\so she's already an expert.\Itsuki-chan's still struggling to make her first move, but she'll be fine.\I don't care what you do, as long as you don't fail.\I wouldn't want to fail after we've come so far.\I'm counting on you, Sensei.\Is something wrong? response:	No.
context: She'd been cleaning my room,\so she's already an expert.\Itsuki-chan's still struggling to make her first move, but she'll be fine.\I don't care what you do, as long as you don't fail.\I wouldn't want to fail after we've come so far.\I'm counting on you, Sensei.\Is something wrong?\No. response:	You know, though...
context: so she's already an expert.\Itsuki-chan's still struggling to make her first move, but she'll be fine.\I don't care what you do, as long as you don't fail.\I wouldn't want to fail after we've come so far.\I'm counting on you, Sensei.\Is something wrong?\No.\You know, though... response:	I know it was my idea, but it makes me a little sad.
context: Itsuki-chan's still struggling to make her first move, but she'll be fine.\I don't care what you do, as long as you don't fail.\I wouldn't want to fail after we've come so far.\I'm counting on you, Sensei.\Is something wrong?\No.\You know, though...\I know it was my idea, but it makes me a little sad. response:	Everyone's going to be busy.
context: I don't care what you do, as long as you don't fail.\I wouldn't want to fail after we've come so far.\I'm counting on you, Sensei.\Is something wrong?\No.\You know, though...\I know it was my idea, but it makes me a little sad.\Everyone's going to be busy. response:	We won't have as many opportunities to be together.
context: I wouldn't want to fail after we've come so far.\I'm counting on you, Sensei.\Is something wrong?\No.\You know, though...\I know it was my idea, but it makes me a little sad.\Everyone's going to be busy.\We won't have as many opportunities to be together. response:	I wonder if this is how we're going to grow up and drift apart.
context: I'm counting on you, Sensei.\Is something wrong?\No.\You know, though...\I know it was my idea, but it makes me a little sad.\Everyone's going to be busy.\We won't have as many opportunities to be together.\I wonder if this is how we're going to grow up and drift apart. response:	Dunno.
context: Is something wrong?\No.\You know, though...\I know it was my idea, but it makes me a little sad.\Everyone's going to be busy.\We won't have as many opportunities to be together.\I wonder if this is how we're going to grow up and drift apart.\Dunno. response:	But I'm sure it's not a bad thing.
context: No.\You know, though...\I know it was my idea, but it makes me a little sad.\Everyone's going to be busy.\We won't have as many opportunities to be together.\I wonder if this is how we're going to grow up and drift apart.\Dunno.\But I'm sure it's not a bad thing. response:	You're right.
context: You know, though...\I know it was my idea, but it makes me a little sad.\Everyone's going to be busy.\We won't have as many opportunities to be together.\I wonder if this is how we're going to grow up and drift apart.\Dunno.\But I'm sure it's not a bad thing.\You're right. response:	Long story short, this concern would prove to be short-lived.
context: I know it was my idea, but it makes me a little sad.\Everyone's going to be busy.\We won't have as many opportunities to be together.\I wonder if this is how we're going to grow up and drift apart.\Dunno.\But I'm sure it's not a bad thing.\You're right.\Long story short, this concern would prove to be short-lived. response:	The bond between these five turned out to be far stronger than I'd imagined.
context: Everyone's going to be busy.\We won't have as many opportunities to be together.\I wonder if this is how we're going to grow up and drift apart.\Dunno.\But I'm sure it's not a bad thing.\You're right.\Long story short, this concern would prove to be short-lived.\The bond between these five turned out to be far stronger than I'd imagined. response:	Class 1 1. Uesugi Futaro 2. Ueda Tomoya 3. Ohi Emi 4. Okegawa Shoryu 5. Kato Satoshi
context: We won't have as many opportunities to be together.\I wonder if this is how we're going to grow up and drift apart.\Dunno.\But I'm sure it's not a bad thing.\You're right.\Long story short, this concern would prove to be short-lived.\The bond between these five turned out to be far stronger than I'd imagined.\Class 1 1. Uesugi Futaro 2. Ueda Tomoya 3. Ohi Emi 4. Okegawa Shoryu 5. Kato Satoshi response:	They're quintuplets!
context: I wonder if this is how we're going to grow up and drift apart.\Dunno.\But I'm sure it's not a bad thing.\You're right.\Long story short, this concern would prove to be short-lived.\The bond between these five turned out to be far stronger than I'd imagined.\Class 1 1. Uesugi Futaro 2. Ueda Tomoya 3. Ohi Emi 4. Okegawa Shoryu 5. Kato Satoshi\They're quintuplets! response:	Insane.
context: Dunno.\But I'm sure it's not a bad thing.\You're right.\Long story short, this concern would prove to be short-lived.\The bond between these five turned out to be far stronger than I'd imagined.\Class 1 1. Uesugi Futaro 2. Ueda Tomoya 3. Ohi Emi 4. Okegawa Shoryu 5. Kato Satoshi\They're quintuplets!\Insane. response:	Nakano Ichika
context: But I'm sure it's not a bad thing.\You're right.\Long story short, this concern would prove to be short-lived.\The bond between these five turned out to be far stronger than I'd imagined.\Class 1 1. Uesugi Futaro 2. Ueda Tomoya 3. Ohi Emi 4. Okegawa Shoryu 5. Kato Satoshi\They're quintuplets!\Insane.\Nakano Ichika response:	Nakano Itsuki
context: You're right.\Long story short, this concern would prove to be short-lived.\The bond between these five turned out to be far stronger than I'd imagined.\Class 1 1. Uesugi Futaro 2. Ueda Tomoya 3. Ohi Emi 4. Okegawa Shoryu 5. Kato Satoshi\They're quintuplets!\Insane.\Nakano Ichika\Nakano Itsuki response:	Nakano Nino
context: Long story short, this concern would prove to be short-lived.\The bond between these five turned out to be far stronger than I'd imagined.\Class 1 1. Uesugi Futaro 2. Ueda Tomoya 3. Ohi Emi 4. Okegawa Shoryu 5. Kato Satoshi\They're quintuplets!\Insane.\Nakano Ichika\Nakano Itsuki\Nakano Nino response:	Nakano Miku
context: The bond between these five turned out to be far stronger than I'd imagined.\Class 1 1. Uesugi Futaro 2. Ueda Tomoya 3. Ohi Emi 4. Okegawa Shoryu 5. Kato Satoshi\They're quintuplets!\Insane.\Nakano Ichika\Nakano Itsuki\Nakano Nino\Nakano Miku response:	Nakano Yotsuba
context: Class 1 1. Uesugi Futaro 2. Ueda Tomoya 3. Ohi Emi 4. Okegawa Shoryu 5. Kato Satoshi\They're quintuplets!\Insane.\Nakano Ichika\Nakano Itsuki\Nakano Nino\Nakano Miku\Nakano Yotsuba response:	It's enough that you look the same.
context: They're quintuplets!\Insane.\Nakano Ichika\Nakano Itsuki\Nakano Nino\Nakano Miku\Nakano Yotsuba\It's enough that you look the same. response:	I knew the Nakanos were quintuplets...
context: Insane.\Nakano Ichika\Nakano Itsuki\Nakano Nino\Nakano Miku\Nakano Yotsuba\It's enough that you look the same.\I knew the Nakanos were quintuplets... response:	But seeing them together in person is pretty amazing.
context: Nakano Ichika\Nakano Itsuki\Nakano Nino\Nakano Miku\Nakano Yotsuba\It's enough that you look the same.\I knew the Nakanos were quintuplets...\But seeing them together in person is pretty amazing. response:	Can I call you by your first name, so it's not so confusing?
context: Nakano Itsuki\Nakano Nino\Nakano Miku\Nakano Yotsuba\It's enough that you look the same.\I knew the Nakanos were quintuplets...\But seeing them together in person is pretty amazing.\Can I call you by your first name, so it's not so confusing? response:	Sure, we'd appreciate that, too.
context: Nakano Nino\Nakano Miku\Nakano Yotsuba\It's enough that you look the same.\I knew the Nakanos were quintuplets...\But seeing them together in person is pretty amazing.\Can I call you by your first name, so it's not so confusing?\Sure, we'd appreciate that, too. response:	Do that trick where you guess the same card together.
context: Nakano Miku\Nakano Yotsuba\It's enough that you look the same.\I knew the Nakanos were quintuplets...\But seeing them together in person is pretty amazing.\Can I call you by your first name, so it's not so confusing?\Sure, we'd appreciate that, too.\Do that trick where you guess the same card together. response:	Sorry, we don't have telepathy or anything.
context: Nakano Yotsuba\It's enough that you look the same.\I knew the Nakanos were quintuplets...\But seeing them together in person is pretty amazing.\Can I call you by your first name, so it's not so confusing?\Sure, we'd appreciate that, too.\Do that trick where you guess the same card together.\Sorry, we don't have telepathy or anything. response:	You look like them, too, don't you, Miku-chan?
context: It's enough that you look the same.\I knew the Nakanos were quintuplets...\But seeing them together in person is pretty amazing.\Can I call you by your first name, so it's not so confusing?\Sure, we'd appreciate that, too.\Do that trick where you guess the same card together.\Sorry, we don't have telepathy or anything.\You look like them, too, don't you, Miku-chan? response:	Show me your face more!
context: I knew the Nakanos were quintuplets...\But seeing them together in person is pretty amazing.\Can I call you by your first name, so it's not so confusing?\Sure, we'd appreciate that, too.\Do that trick where you guess the same card together.\Sorry, we don't have telepathy or anything.\You look like them, too, don't you, Miku-chan?\Show me your face more! response:	Please, everyone, calm down.
context: But seeing them together in person is pretty amazing.\Can I call you by your first name, so it's not so confusing?\Sure, we'd appreciate that, too.\Do that trick where you guess the same card together.\Sorry, we don't have telepathy or anything.\You look like them, too, don't you, Miku-chan?\Show me your face more!\Please, everyone, calm down. response:	Move.
context: Can I call you by your first name, so it's not so confusing?\Sure, we'd appreciate that, too.\Do that trick where you guess the same card together.\Sorry, we don't have telepathy or anything.\You look like them, too, don't you, Miku-chan?\Show me your face more!\Please, everyone, calm down.\Move. response:	What?
context: Sure, we'd appreciate that, too.\Do that trick where you guess the same card together.\Sorry, we don't have telepathy or anything.\You look like them, too, don't you, Miku-chan?\Show me your face more!\Please, everyone, calm down.\Move.\What? response:	Are you curious about them, too, Uesugi-kun?
context: Do that trick where you guess the same card together.\Sorry, we don't have telepathy or anything.\You look like them, too, don't you, Miku-chan?\Show me your face more!\Please, everyone, calm down.\Move.\What?\Are you curious about them, too, Uesugi-kun? response:	Bathroom.
context: Sorry, we don't have telepathy or anything.\You look like them, too, don't you, Miku-chan?\Show me your face more!\Please, everyone, calm down.\Move.\What?\Are you curious about them, too, Uesugi-kun?\Bathroom. response:	You're in my way. Move.
context: You look like them, too, don't you, Miku-chan?\Show me your face more!\Please, everyone, calm down.\Move.\What?\Are you curious about them, too, Uesugi-kun?\Bathroom.\You're in my way. Move. response:	What's wrong with him?
context: Show me your face more!\Please, everyone, calm down.\Move.\What?\Are you curious about them, too, Uesugi-kun?\Bathroom.\You're in my way. Move.\What's wrong with him? response:	What an ass.
context: Please, everyone, calm down.\Move.\What?\Are you curious about them, too, Uesugi-kun?\Bathroom.\You're in my way. Move.\What's wrong with him?\What an ass. response:	He walked right past us.
context: Move.\What?\Are you curious about them, too, Uesugi-kun?\Bathroom.\You're in my way. Move.\What's wrong with him?\What an ass.\He walked right past us. response:	Business as usual.
context: What?\Are you curious about them, too, Uesugi-kun?\Bathroom.\You're in my way. Move.\What's wrong with him?\What an ass.\He walked right past us.\Business as usual. response:	Uesugi-kun's been like that since second year.
context: Are you curious about them, too, Uesugi-kun?\Bathroom.\You're in my way. Move.\What's wrong with him?\What an ass.\He walked right past us.\Business as usual.\Uesugi-kun's been like that since second year. response:	He seems to be deliberately trying not to involve himself with his classmates.
context: Bathroom.\You're in my way. Move.\What's wrong with him?\What an ass.\He walked right past us.\Business as usual.\Uesugi-kun's been like that since second year.\He seems to be deliberately trying not to involve himself with his classmates. response:	Oh, yeah, he tried to do his duties at school camp on his own.
