context: Big Brother... response:	Mm-hmm, this one's dead.
context: I did so know!\It doesn't look like he's carrying anything worth any money.\Big Brother, over there!\All right, we will reap something!\Awesome!\That's mine...\Did he die again?\He doesn't look injured, huh? response:	You're right.
context: It doesn't look like he's carrying anything worth any money.\Big Brother, over there!\All right, we will reap something!\Awesome!\That's mine...\Did he die again?\He doesn't look injured, huh?\You're right. response:	He's coming around.
context: Big Brother, over there!\All right, we will reap something!\Awesome!\That's mine...\Did he die again?\He doesn't look injured, huh?\You're right.\He's coming around. response:	-Um... -I'm Rom.
context: All right, we will reap something!\Awesome!\That's mine...\Did he die again?\He doesn't look injured, huh?\You're right.\He's coming around.\-Um... -I'm Rom. response:	Nice to meet you.
context: Awesome!\That's mine...\Did he die again?\He doesn't look injured, huh?\You're right.\He's coming around.\-Um... -I'm Rom.\Nice to meet you. response:	I'm his sister, Chiko. Who are you?
context: That's mine...\Did he die again?\He doesn't look injured, huh?\You're right.\He's coming around.\-Um... -I'm Rom.\Nice to meet you.\I'm his sister, Chiko. Who are you? response:	I'm Son Gohan.
context: Did he die again?\He doesn't look injured, huh?\You're right.\He's coming around.\-Um... -I'm Rom.\Nice to meet you.\I'm his sister, Chiko. Who are you?\I'm Son Gohan. response:	How old are you?
context: He doesn't look injured, huh?\You're right.\He's coming around.\-Um... -I'm Rom.\Nice to meet you.\I'm his sister, Chiko. Who are you?\I'm Son Gohan.\How old are you? response:	Four.
context: You're right.\He's coming around.\-Um... -I'm Rom.\Nice to meet you.\I'm his sister, Chiko. Who are you?\I'm Son Gohan.\How old are you?\Four. response:	Hooray! You're younger than me!
context: He's coming around.\-Um... -I'm Rom.\Nice to meet you.\I'm his sister, Chiko. Who are you?\I'm Son Gohan.\How old are you?\Four.\Hooray! You're younger than me! response:	Where are we?
context: -Um... -I'm Rom.\Nice to meet you.\I'm his sister, Chiko. Who are you?\I'm Son Gohan.\How old are you?\Four.\Hooray! You're younger than me!\Where are we? response:	This is our cottage.
context: Nice to meet you.\I'm his sister, Chiko. Who are you?\I'm Son Gohan.\How old are you?\Four.\Hooray! You're younger than me!\Where are we?\This is our cottage. response:	Not bad, huh? Where did you come from?
context: I'm his sister, Chiko. Who are you?\I'm Son Gohan.\How old are you?\Four.\Hooray! You're younger than me!\Where are we?\This is our cottage.\Not bad, huh? Where did you come from? response:	I don't know. I think it was a desert somewhere.
context: I'm Son Gohan.\How old are you?\Four.\Hooray! You're younger than me!\Where are we?\This is our cottage.\Not bad, huh? Where did you come from?\I don't know. I think it was a desert somewhere. response:	Well, no matter. In any case, as of today, you're one of us.
context: How old are you?\Four.\Hooray! You're younger than me!\Where are we?\This is our cottage.\Not bad, huh? Where did you come from?\I don't know. I think it was a desert somewhere.\Well, no matter. In any case, as of today, you're one of us. response:	It might be rough, but don't cry, the way Chiko does.
context: Four.\Hooray! You're younger than me!\Where are we?\This is our cottage.\Not bad, huh? Where did you come from?\I don't know. I think it was a desert somewhere.\Well, no matter. In any case, as of today, you're one of us.\It might be rough, but don't cry, the way Chiko does. response:	Mom! Where have you gone!?
context: Hooray! You're younger than me!\Where are we?\This is our cottage.\Not bad, huh? Where did you come from?\I don't know. I think it was a desert somewhere.\Well, no matter. In any case, as of today, you're one of us.\It might be rough, but don't cry, the way Chiko does.\Mom! Where have you gone!? response:	I don't cry anymore!
context: Where are we?\This is our cottage.\Not bad, huh? Where did you come from?\I don't know. I think it was a desert somewhere.\Well, no matter. In any case, as of today, you're one of us.\It might be rough, but don't cry, the way Chiko does.\Mom! Where have you gone!?\I don't cry anymore! response:	Um, I...
context: This is our cottage.\Not bad, huh? Where did you come from?\I don't know. I think it was a desert somewhere.\Well, no matter. In any case, as of today, you're one of us.\It might be rough, but don't cry, the way Chiko does.\Mom! Where have you gone!?\I don't cry anymore!\Um, I... response:	Listen, from now on, you have to call me Big Sister.
context: Not bad, huh? Where did you come from?\I don't know. I think it was a desert somewhere.\Well, no matter. In any case, as of today, you're one of us.\It might be rough, but don't cry, the way Chiko does.\Mom! Where have you gone!?\I don't cry anymore!\Um, I...\Listen, from now on, you have to call me Big Sister. response:	There's no need to be shy.
context: I don't know. I think it was a desert somewhere.\Well, no matter. In any case, as of today, you're one of us.\It might be rough, but don't cry, the way Chiko does.\Mom! Where have you gone!?\I don't cry anymore!\Um, I...\Listen, from now on, you have to call me Big Sister.\There's no need to be shy. response:	Without any parents, we all have to help each other.
context: Well, no matter. In any case, as of today, you're one of us.\It might be rough, but don't cry, the way Chiko does.\Mom! Where have you gone!?\I don't cry anymore!\Um, I...\Listen, from now on, you have to call me Big Sister.\There's no need to be shy.\Without any parents, we all have to help each other. response:	What's the matter? If you want to tell us something, speak up.
context: It might be rough, but don't cry, the way Chiko does.\Mom! Where have you gone!?\I don't cry anymore!\Um, I...\Listen, from now on, you have to call me Big Sister.\There's no need to be shy.\Without any parents, we all have to help each other.\What's the matter? If you want to tell us something, speak up. response:	I'm sorry. It's been a long time since I talked to anyone.
context: Mom! Where have you gone!?\I don't cry anymore!\Um, I...\Listen, from now on, you have to call me Big Sister.\There's no need to be shy.\Without any parents, we all have to help each other.\What's the matter? If you want to tell us something, speak up.\I'm sorry. It's been a long time since I talked to anyone. response:	I can't speak that well.
context: I don't cry anymore!\Um, I...\Listen, from now on, you have to call me Big Sister.\There's no need to be shy.\Without any parents, we all have to help each other.\What's the matter? If you want to tell us something, speak up.\I'm sorry. It's been a long time since I talked to anyone.\I can't speak that well. response:	About two years ago, there was this gigantic tsunami.
context: Um, I...\Listen, from now on, you have to call me Big Sister.\There's no need to be shy.\Without any parents, we all have to help each other.\What's the matter? If you want to tell us something, speak up.\I'm sorry. It's been a long time since I talked to anyone.\I can't speak that well.\About two years ago, there was this gigantic tsunami. response:	It swallowed up the whole city!
context: Listen, from now on, you have to call me Big Sister.\There's no need to be shy.\Without any parents, we all have to help each other.\What's the matter? If you want to tell us something, speak up.\I'm sorry. It's been a long time since I talked to anyone.\I can't speak that well.\About two years ago, there was this gigantic tsunami.\It swallowed up the whole city! response:	It was scary!
context: There's no need to be shy.\Without any parents, we all have to help each other.\What's the matter? If you want to tell us something, speak up.\I'm sorry. It's been a long time since I talked to anyone.\I can't speak that well.\About two years ago, there was this gigantic tsunami.\It swallowed up the whole city!\It was scary! response:	This place is packed with kids like us that don't have homes.
context: Without any parents, we all have to help each other.\What's the matter? If you want to tell us something, speak up.\I'm sorry. It's been a long time since I talked to anyone.\I can't speak that well.\About two years ago, there was this gigantic tsunami.\It swallowed up the whole city!\It was scary!\This place is packed with kids like us that don't have homes. response:	Um, but I...
context: What's the matter? If you want to tell us something, speak up.\I'm sorry. It's been a long time since I talked to anyone.\I can't speak that well.\About two years ago, there was this gigantic tsunami.\It swallowed up the whole city!\It was scary!\This place is packed with kids like us that don't have homes.\Um, but I... response:	Uh-oh, they're making their regular stop.
context: I'm sorry. It's been a long time since I talked to anyone.\I can't speak that well.\About two years ago, there was this gigantic tsunami.\It swallowed up the whole city!\It was scary!\This place is packed with kids like us that don't have homes.\Um, but I...\Uh-oh, they're making their regular stop. response:	Regular stop?
context: I can't speak that well.\About two years ago, there was this gigantic tsunami.\It swallowed up the whole city!\It was scary!\This place is packed with kids like us that don't have homes.\Um, but I...\Uh-oh, they're making their regular stop.\Regular stop? response:	Uh-huh! Hurry!
context: About two years ago, there was this gigantic tsunami.\It swallowed up the whole city!\It was scary!\This place is packed with kids like us that don't have homes.\Um, but I...\Uh-oh, they're making their regular stop.\Regular stop?\Uh-huh! Hurry! response:	Hurry! They'll catch you!
context: It swallowed up the whole city!\It was scary!\This place is packed with kids like us that don't have homes.\Um, but I...\Uh-oh, they're making their regular stop.\Regular stop?\Uh-huh! Hurry!\Hurry! They'll catch you! response:	Wait here. Once I take Chiko across, I'll be right back for you.
context: It was scary!\This place is packed with kids like us that don't have homes.\Um, but I...\Uh-oh, they're making their regular stop.\Regular stop?\Uh-huh! Hurry!\Hurry! They'll catch you!\Wait here. Once I take Chiko across, I'll be right back for you. response:	Come on...
context: This place is packed with kids like us that don't have homes.\Um, but I...\Uh-oh, they're making their regular stop.\Regular stop?\Uh-huh! Hurry!\Hurry! They'll catch you!\Wait here. Once I take Chiko across, I'll be right back for you.\Come on... response:	Take that! You guys can't catch us!
context: Um, but I...\Uh-oh, they're making their regular stop.\Regular stop?\Uh-huh! Hurry!\Hurry! They'll catch you!\Wait here. Once I take Chiko across, I'll be right back for you.\Come on...\Take that! You guys can't catch us! response:	Dammit!
context: Uh-oh, they're making their regular stop.\Regular stop?\Uh-huh! Hurry!\Hurry! They'll catch you!\Wait here. Once I take Chiko across, I'll be right back for you.\Come on...\Take that! You guys can't catch us!\Dammit! response:	They make sure to come here once every day.
context: Regular stop?\Uh-huh! Hurry!\Hurry! They'll catch you!\Wait here. Once I take Chiko across, I'll be right back for you.\Come on...\Take that! You guys can't catch us!\Dammit!\They make sure to come here once every day. response:	Who are they?
context: Uh-huh! Hurry!\Hurry! They'll catch you!\Wait here. Once I take Chiko across, I'll be right back for you.\Come on...\Take that! You guys can't catch us!\Dammit!\They make sure to come here once every day.\Who are they? response:	The guys from the institution.
context: Hurry! They'll catch you!\Wait here. Once I take Chiko across, I'll be right back for you.\Come on...\Take that! You guys can't catch us!\Dammit!\They make sure to come here once every day.\Who are they?\The guys from the institution. response:	They're trying to catch us and toss us in the pokey.
context: Wait here. Once I take Chiko across, I'll be right back for you.\Come on...\Take that! You guys can't catch us!\Dammit!\They make sure to come here once every day.\Who are they?\The guys from the institution.\They're trying to catch us and toss us in the pokey. response:	Is that a scary place?
context: Come on...\Take that! You guys can't catch us!\Dammit!\They make sure to come here once every day.\Who are they?\The guys from the institution.\They're trying to catch us and toss us in the pokey.\Is that a scary place? response:	According to the folks who escaped from there,
context: Take that! You guys can't catch us!\Dammit!\They make sure to come here once every day.\Who are they?\The guys from the institution.\They're trying to catch us and toss us in the pokey.\Is that a scary place?\According to the folks who escaped from there, response:	they were picked on every day, and got smacked with slippers.
context: Dammit!\They make sure to come here once every day.\Who are they?\The guys from the institution.\They're trying to catch us and toss us in the pokey.\Is that a scary place?\According to the folks who escaped from there,\they were picked on every day, and got smacked with slippers. response:	You can't come out of there for the rest of your life, that's for sure.
context: They make sure to come here once every day.\Who are they?\The guys from the institution.\They're trying to catch us and toss us in the pokey.\Is that a scary place?\According to the folks who escaped from there,\they were picked on every day, and got smacked with slippers.\You can't come out of there for the rest of your life, that's for sure. response:	On top of that, they cut your nails every night!
context: Who are they?\The guys from the institution.\They're trying to catch us and toss us in the pokey.\Is that a scary place?\According to the folks who escaped from there,\they were picked on every day, and got smacked with slippers.\You can't come out of there for the rest of your life, that's for sure.\On top of that, they cut your nails every night! response:	Let go of me! No! Oww!
context: The guys from the institution.\They're trying to catch us and toss us in the pokey.\Is that a scary place?\According to the folks who escaped from there,\they were picked on every day, and got smacked with slippers.\You can't come out of there for the rest of your life, that's for sure.\On top of that, they cut your nails every night!\Let go of me! No! Oww! response:	Stop it! You're hurting me, I tell you!
context: They're trying to catch us and toss us in the pokey.\Is that a scary place?\According to the folks who escaped from there,\they were picked on every day, and got smacked with slippers.\You can't come out of there for the rest of your life, that's for sure.\On top of that, they cut your nails every night!\Let go of me! No! Oww!\Stop it! You're hurting me, I tell you! response:	Piegero!
context: Is that a scary place?\According to the folks who escaped from there,\they were picked on every day, and got smacked with slippers.\You can't come out of there for the rest of your life, that's for sure.\On top of that, they cut your nails every night!\Let go of me! No! Oww!\Stop it! You're hurting me, I tell you!\Piegero! response:	She doesn't want to go. Cut it out!
context: According to the folks who escaped from there,\they were picked on every day, and got smacked with slippers.\You can't come out of there for the rest of your life, that's for sure.\On top of that, they cut your nails every night!\Let go of me! No! Oww!\Stop it! You're hurting me, I tell you!\Piegero!\She doesn't want to go. Cut it out! response:	You again!? Come on, now!
context: they were picked on every day, and got smacked with slippers.\You can't come out of there for the rest of your life, that's for sure.\On top of that, they cut your nails every night!\Let go of me! No! Oww!\Stop it! You're hurting me, I tell you!\Piegero!\She doesn't want to go. Cut it out!\You again!? Come on, now! response:	Why, you-!
context: You can't come out of there for the rest of your life, that's for sure.\On top of that, they cut your nails every night!\Let go of me! No! Oww!\Stop it! You're hurting me, I tell you!\Piegero!\She doesn't want to go. Cut it out!\You again!? Come on, now!\Why, you-! response:	Stop that!
context: On top of that, they cut your nails every night!\Let go of me! No! Oww!\Stop it! You're hurting me, I tell you!\Piegero!\She doesn't want to go. Cut it out!\You again!? Come on, now!\Why, you-!\Stop that! response:	You children up in the tree, come on down here!
context: Let go of me! No! Oww!\Stop it! You're hurting me, I tell you!\Piegero!\She doesn't want to go. Cut it out!\You again!? Come on, now!\Why, you-!\Stop that!\You children up in the tree, come on down here! response:	If you do, you'll get new clothes, a clean room, and a hot meal!
context: Stop it! You're hurting me, I tell you!\Piegero!\She doesn't want to go. Cut it out!\You again!? Come on, now!\Why, you-!\Stop that!\You children up in the tree, come on down here!\If you do, you'll get new clothes, a clean room, and a hot meal! response:	Really?
context: Piegero!\She doesn't want to go. Cut it out!\You again!? Come on, now!\Why, you-!\Stop that!\You children up in the tree, come on down here!\If you do, you'll get new clothes, a clean room, and a hot meal!\Really? response:	Dummy! Don't be fooled!
context: She doesn't want to go. Cut it out!\You again!? Come on, now!\Why, you-!\Stop that!\You children up in the tree, come on down here!\If you do, you'll get new clothes, a clean room, and a hot meal!\Really?\Dummy! Don't be fooled! response:	We don't want any of that! Get out of here!
context: You again!? Come on, now!\Why, you-!\Stop that!\You children up in the tree, come on down here!\If you do, you'll get new clothes, a clean room, and a hot meal!\Really?\Dummy! Don't be fooled!\We don't want any of that! Get out of here! response:	So then, do you plan to go on living in a place like this forever?
context: Why, you-!\Stop that!\You children up in the tree, come on down here!\If you do, you'll get new clothes, a clean room, and a hot meal!\Really?\Dummy! Don't be fooled!\We don't want any of that! Get out of here!\So then, do you plan to go on living in a place like this forever? response:	You think we're about to put ourselves in your care!?
context: Stop that!\You children up in the tree, come on down here!\If you do, you'll get new clothes, a clean room, and a hot meal!\Really?\Dummy! Don't be fooled!\We don't want any of that! Get out of here!\So then, do you plan to go on living in a place like this forever?\You think we're about to put ourselves in your care!? response:	We'll go on living by ourselves just fine!
context: You children up in the tree, come on down here!\If you do, you'll get new clothes, a clean room, and a hot meal!\Really?\Dummy! Don't be fooled!\We don't want any of that! Get out of here!\So then, do you plan to go on living in a place like this forever?\You think we're about to put ourselves in your care!?\We'll go on living by ourselves just fine! response:	Yeah! Yeah! Get out of here! Get out of here!
context: If you do, you'll get new clothes, a clean room, and a hot meal!\Really?\Dummy! Don't be fooled!\We don't want any of that! Get out of here!\So then, do you plan to go on living in a place like this forever?\You think we're about to put ourselves in your care!?\We'll go on living by ourselves just fine!\Yeah! Yeah! Get out of here! Get out of here! response:	Get out of here! Get out of here!
context: Really?\Dummy! Don't be fooled!\We don't want any of that! Get out of here!\So then, do you plan to go on living in a place like this forever?\You think we're about to put ourselves in your care!?\We'll go on living by ourselves just fine!\Yeah! Yeah! Get out of here! Get out of here!\Get out of here! Get out of here! response:	Yay! And don't come back!
context: Dummy! Don't be fooled!\We don't want any of that! Get out of here!\So then, do you plan to go on living in a place like this forever?\You think we're about to put ourselves in your care!?\We'll go on living by ourselves just fine!\Yeah! Yeah! Get out of here! Get out of here!\Get out of here! Get out of here!\Yay! And don't come back! response:	We have a new kid?
context: We don't want any of that! Get out of here!\So then, do you plan to go on living in a place like this forever?\You think we're about to put ourselves in your care!?\We'll go on living by ourselves just fine!\Yeah! Yeah! Get out of here! Get out of here!\Get out of here! Get out of here!\Yay! And don't come back!\We have a new kid? response:	Apparently, he got shipwrecked out at sea, and washed up here.
context: So then, do you plan to go on living in a place like this forever?\You think we're about to put ourselves in your care!?\We'll go on living by ourselves just fine!\Yeah! Yeah! Get out of here! Get out of here!\Get out of here! Get out of here!\Yay! And don't come back!\We have a new kid?\Apparently, he got shipwrecked out at sea, and washed up here. response:	I'm Son Gohan. Nice to meet you.
context: You think we're about to put ourselves in your care!?\We'll go on living by ourselves just fine!\Yeah! Yeah! Get out of here! Get out of here!\Get out of here! Get out of here!\Yay! And don't come back!\We have a new kid?\Apparently, he got shipwrecked out at sea, and washed up here.\I'm Son Gohan. Nice to meet you. response:	Hey, this boy is still little, so give him a comparable share of food.
context: We'll go on living by ourselves just fine!\Yeah! Yeah! Get out of here! Get out of here!\Get out of here! Get out of here!\Yay! And don't come back!\We have a new kid?\Apparently, he got shipwrecked out at sea, and washed up here.\I'm Son Gohan. Nice to meet you.\Hey, this boy is still little, so give him a comparable share of food. response:	Look who's talking. The same goes for you, doesn't it?
context: Yeah! Yeah! Get out of here! Get out of here!\Get out of here! Get out of here!\Yay! And don't come back!\We have a new kid?\Apparently, he got shipwrecked out at sea, and washed up here.\I'm Son Gohan. Nice to meet you.\Hey, this boy is still little, so give him a comparable share of food.\Look who's talking. The same goes for you, doesn't it? response:	I guess so.
context: Get out of here! Get out of here!\Yay! And don't come back!\We have a new kid?\Apparently, he got shipwrecked out at sea, and washed up here.\I'm Son Gohan. Nice to meet you.\Hey, this boy is still little, so give him a comparable share of food.\Look who's talking. The same goes for you, doesn't it?\I guess so. response:	Well, anyhow, as a fellow person without any family, let's stick together.
context: Yay! And don't come back!\We have a new kid?\Apparently, he got shipwrecked out at sea, and washed up here.\I'm Son Gohan. Nice to meet you.\Hey, this boy is still little, so give him a comparable share of food.\Look who's talking. The same goes for you, doesn't it?\I guess so.\Well, anyhow, as a fellow person without any family, let's stick together. response:	Come on over, come on over! Delicious stuff!
context: We have a new kid?\Apparently, he got shipwrecked out at sea, and washed up here.\I'm Son Gohan. Nice to meet you.\Hey, this boy is still little, so give him a comparable share of food.\Look who's talking. The same goes for you, doesn't it?\I guess so.\Well, anyhow, as a fellow person without any family, let's stick together.\Come on over, come on over! Delicious stuff! response:	Yow!
context: Apparently, he got shipwrecked out at sea, and washed up here.\I'm Son Gohan. Nice to meet you.\Hey, this boy is still little, so give him a comparable share of food.\Look who's talking. The same goes for you, doesn't it?\I guess so.\Well, anyhow, as a fellow person without any family, let's stick together.\Come on over, come on over! Delicious stuff!\Yow! response:	Yow-ow-ow-ow!
context: I'm Son Gohan. Nice to meet you.\Hey, this boy is still little, so give him a comparable share of food.\Look who's talking. The same goes for you, doesn't it?\I guess so.\Well, anyhow, as a fellow person without any family, let's stick together.\Come on over, come on over! Delicious stuff!\Yow!\Yow-ow-ow-ow! response:	What's the matter, son?
context: Hey, this boy is still little, so give him a comparable share of food.\Look who's talking. The same goes for you, doesn't it?\I guess so.\Well, anyhow, as a fellow person without any family, let's stick together.\Come on over, come on over! Delicious stuff!\Yow!\Yow-ow-ow-ow!\What's the matter, son? response:	It hurts! It hurts! It hurts!
context: Look who's talking. The same goes for you, doesn't it?\I guess so.\Well, anyhow, as a fellow person without any family, let's stick together.\Come on over, come on over! Delicious stuff!\Yow!\Yow-ow-ow-ow!\What's the matter, son?\It hurts! It hurts! It hurts! response:	-All right, now! -Okay.
context: I guess so.\Well, anyhow, as a fellow person without any family, let's stick together.\Come on over, come on over! Delicious stuff!\Yow!\Yow-ow-ow-ow!\What's the matter, son?\It hurts! It hurts! It hurts!\-All right, now! -Okay. response:	It hurts! It hurts!
context: Well, anyhow, as a fellow person without any family, let's stick together.\Come on over, come on over! Delicious stuff!\Yow!\Yow-ow-ow-ow!\What's the matter, son?\It hurts! It hurts! It hurts!\-All right, now! -Okay.\It hurts! It hurts! response:	What's the matter?
context: Come on over, come on over! Delicious stuff!\Yow!\Yow-ow-ow-ow!\What's the matter, son?\It hurts! It hurts! It hurts!\-All right, now! -Okay.\It hurts! It hurts!\What's the matter? response:	It hurts! It hurts!
context: Yow!\Yow-ow-ow-ow!\What's the matter, son?\It hurts! It hurts! It hurts!\-All right, now! -Okay.\It hurts! It hurts!\What's the matter?\It hurts! It hurts! response:	It hurts!
context: Yow-ow-ow-ow!\What's the matter, son?\It hurts! It hurts! It hurts!\-All right, now! -Okay.\It hurts! It hurts!\What's the matter?\It hurts! It hurts!\It hurts! response:	Where does it hurt?
context: What's the matter, son?\It hurts! It hurts! It hurts!\-All right, now! -Okay.\It hurts! It hurts!\What's the matter?\It hurts! It hurts!\It hurts!\Where does it hurt? response:	It hurts!
context: It hurts! It hurts! It hurts!\-All right, now! -Okay.\It hurts! It hurts!\What's the matter?\It hurts! It hurts!\It hurts!\Where does it hurt?\It hurts! response:	It hurts! It hurts! It hurts! It hurts! It hurts! It hurts!
context: -All right, now! -Okay.\It hurts! It hurts!\What's the matter?\It hurts! It hurts!\It hurts!\Where does it hurt?\It hurts!\It hurts! It hurts! It hurts! It hurts! It hurts! It hurts! response:	So, it's you guys! Hold it!
context: It hurts! It hurts!\What's the matter?\It hurts! It hurts!\It hurts!\Where does it hurt?\It hurts!\It hurts! It hurts! It hurts! It hurts! It hurts! It hurts!\So, it's you guys! Hold it! response:	It hurts!
context: What's the matter?\It hurts! It hurts!\It hurts!\Where does it hurt?\It hurts!\It hurts! It hurts! It hurts! It hurts! It hurts! It hurts!\So, it's you guys! Hold it!\It hurts! response:	You bastards!
context: It hurts! It hurts!\It hurts!\Where does it hurt?\It hurts!\It hurts! It hurts! It hurts! It hurts! It hurts! It hurts!\So, it's you guys! Hold it!\It hurts!\You bastards! response:	Hold it!
context: It hurts!\Where does it hurt?\It hurts!\It hurts! It hurts! It hurts! It hurts! It hurts! It hurts!\So, it's you guys! Hold it!\It hurts!\You bastards!\Hold it! response:	You hold it!
context: Where does it hurt?\It hurts!\It hurts! It hurts! It hurts! It hurts! It hurts! It hurts!\So, it's you guys! Hold it!\It hurts!\You bastards!\Hold it!\You hold it! response:	Dammit!
context: It hurts!\It hurts! It hurts! It hurts! It hurts! It hurts! It hurts!\So, it's you guys! Hold it!\It hurts!\You bastards!\Hold it!\You hold it!\Dammit! response:	Thieves!
context: It hurts! It hurts! It hurts! It hurts! It hurts! It hurts!\So, it's you guys! Hold it!\It hurts!\You bastards!\Hold it!\You hold it!\Dammit!\Thieves! response:	Hey, you!
context: So, it's you guys! Hold it!\It hurts!\You bastards!\Hold it!\You hold it!\Dammit!\Thieves!\Hey, you! response:	Hold it!
context: It hurts!\You bastards!\Hold it!\You hold it!\Dammit!\Thieves!\Hey, you!\Hold it! response:	Take that!
context: You bastards!\Hold it!\You hold it!\Dammit!\Thieves!\Hey, you!\Hold it!\Take that! response:	Why, you-! Hey!
context: Hold it!\You hold it!\Dammit!\Thieves!\Hey, you!\Hold it!\Take that!\Why, you-! Hey! response:	See? That was pretty fun, wasn't it?
context: You hold it!\Dammit!\Thieves!\Hey, you!\Hold it!\Take that!\Why, you-! Hey!\See? That was pretty fun, wasn't it? response:	Uh-huh!
context: Dammit!\Thieves!\Hey, you!\Hold it!\Take that!\Why, you-! Hey!\See? That was pretty fun, wasn't it?\Uh-huh! response:	Even without parents, children still grow up!
context: Thieves!\Hey, you!\Hold it!\Take that!\Why, you-! Hey!\See? That was pretty fun, wasn't it?\Uh-huh!\Even without parents, children still grow up! response:	Yeah, yeah!
context: Hey, you!\Hold it!\Take that!\Why, you-! Hey!\See? That was pretty fun, wasn't it?\Uh-huh!\Even without parents, children still grow up!\Yeah, yeah! response:	Well said! We're growing up fine, huh?
context: Hold it!\Take that!\Why, you-! Hey!\See? That was pretty fun, wasn't it?\Uh-huh!\Even without parents, children still grow up!\Yeah, yeah!\Well said! We're growing up fine, huh? response:	What's the matter?
context: Take that!\Why, you-! Hey!\See? That was pretty fun, wasn't it?\Uh-huh!\Even without parents, children still grow up!\Yeah, yeah!\Well said! We're growing up fine, huh?\What's the matter? response:	Hmm? Nothing.
context: Why, you-! Hey!\See? That was pretty fun, wasn't it?\Uh-huh!\Even without parents, children still grow up!\Yeah, yeah!\Well said! We're growing up fine, huh?\What's the matter?\Hmm? Nothing. response:	What's the matter? Need to pee?
context: See? That was pretty fun, wasn't it?\Uh-huh!\Even without parents, children still grow up!\Yeah, yeah!\Well said! We're growing up fine, huh?\What's the matter?\Hmm? Nothing.\What's the matter? Need to pee? response:	What are you doing?
context: Uh-huh!\Even without parents, children still grow up!\Yeah, yeah!\Well said! We're growing up fine, huh?\What's the matter?\Hmm? Nothing.\What's the matter? Need to pee?\What are you doing? response:	Standing watch. We've been causing trouble all over, after all.
context: Even without parents, children still grow up!\Yeah, yeah!\Well said! We're growing up fine, huh?\What's the matter?\Hmm? Nothing.\What's the matter? Need to pee?\What are you doing?\Standing watch. We've been causing trouble all over, after all. response:	Sometimes there are people that come after us at night here.
context: Yeah, yeah!\Well said! We're growing up fine, huh?\What's the matter?\Hmm? Nothing.\What's the matter? Need to pee?\What are you doing?\Standing watch. We've been causing trouble all over, after all.\Sometimes there are people that come after us at night here. response:	What is it, if you didn't come out here to pee?
context: Well said! We're growing up fine, huh?\What's the matter?\Hmm? Nothing.\What's the matter? Need to pee?\What are you doing?\Standing watch. We've been causing trouble all over, after all.\Sometimes there are people that come after us at night here.\What is it, if you didn't come out here to pee? response:	I'm not an orphan. I have a mother, and I was actually on my way home to her.
context: What's the matter?\Hmm? Nothing.\What's the matter? Need to pee?\What are you doing?\Standing watch. We've been causing trouble all over, after all.\Sometimes there are people that come after us at night here.\What is it, if you didn't come out here to pee?\I'm not an orphan. I have a mother, and I was actually on my way home to her. response:	Oh, so the little boy has a home, huh?
context: Hmm? Nothing.\What's the matter? Need to pee?\What are you doing?\Standing watch. We've been causing trouble all over, after all.\Sometimes there are people that come after us at night here.\What is it, if you didn't come out here to pee?\I'm not an orphan. I have a mother, and I was actually on my way home to her.\Oh, so the little boy has a home, huh? response:	I'm sorry, I just couldn't say anything.
