context: Suicide. response:	The act of taking one's own life,
context: which I'll tell you later!\There's a girl who's about to plunge to her death!\The navy blue ribbon of a new student flutters in the wind.\Here, the road forks and the story's plot must continue on one of two paths.\On one path, the protagonist becomes an active character\and helps move the story along.\On the other, the protagonist remains passive\and leaves the story to carry itself. response:	Normally, I would have remained a passive character,
context: There's a girl who's about to plunge to her death!\The navy blue ribbon of a new student flutters in the wind.\Here, the road forks and the story's plot must continue on one of two paths.\On one path, the protagonist becomes an active character\and helps move the story along.\On the other, the protagonist remains passive\and leaves the story to carry itself.\Normally, I would have remained a passive character, response:	but for whatever reason, I chose to take the former path!
context: The navy blue ribbon of a new student flutters in the wind.\Here, the road forks and the story's plot must continue on one of two paths.\On one path, the protagonist becomes an active character\and helps move the story along.\On the other, the protagonist remains passive\and leaves the story to carry itself.\Normally, I would have remained a passive character,\but for whatever reason, I chose to take the former path! response:	E-Excuse me!
context: Here, the road forks and the story's plot must continue on one of two paths.\On one path, the protagonist becomes an active character\and helps move the story along.\On the other, the protagonist remains passive\and leaves the story to carry itself.\Normally, I would have remained a passive character,\but for whatever reason, I chose to take the former path!\E-Excuse me! response:	I'll leave out the exact words I chose at the moment, but...
context: On one path, the protagonist becomes an active character\and helps move the story along.\On the other, the protagonist remains passive\and leaves the story to carry itself.\Normally, I would have remained a passive character,\but for whatever reason, I chose to take the former path!\E-Excuse me!\I'll leave out the exact words I chose at the moment, but... response:	Either way, someone who looks as good in glasses as you do...
context: and helps move the story along.\On the other, the protagonist remains passive\and leaves the story to carry itself.\Normally, I would have remained a passive character,\but for whatever reason, I chose to take the former path!\E-Excuse me!\I'll leave out the exact words I chose at the moment, but...\Either way, someone who looks as good in glasses as you do... response:	just doesn't deserve to die!
context: On the other, the protagonist remains passive\and leaves the story to carry itself.\Normally, I would have remained a passive character,\but for whatever reason, I chose to take the former path!\E-Excuse me!\I'll leave out the exact words I chose at the moment, but...\Either way, someone who looks as good in glasses as you do...\just doesn't deserve to die! response:	I laid my feelings bare as I said something along those lines.
context: and leaves the story to carry itself.\Normally, I would have remained a passive character,\but for whatever reason, I chose to take the former path!\E-Excuse me!\I'll leave out the exact words I chose at the moment, but...\Either way, someone who looks as good in glasses as you do...\just doesn't deserve to die!\I laid my feelings bare as I said something along those lines. response:	Then, I poured as much emotion as I could
context: Normally, I would have remained a passive character,\but for whatever reason, I chose to take the former path!\E-Excuse me!\I'll leave out the exact words I chose at the moment, but...\Either way, someone who looks as good in glasses as you do...\just doesn't deserve to die!\I laid my feelings bare as I said something along those lines.\Then, I poured as much emotion as I could response:	into one, big finale.
context: but for whatever reason, I chose to take the former path!\E-Excuse me!\I'll leave out the exact words I chose at the moment, but...\Either way, someone who looks as good in glasses as you do...\just doesn't deserve to die!\I laid my feelings bare as I said something along those lines.\Then, I poured as much emotion as I could\into one, big finale. response:	In short, I love girls with glasses!
context: E-Excuse me!\I'll leave out the exact words I chose at the moment, but...\Either way, someone who looks as good in glasses as you do...\just doesn't deserve to die!\I laid my feelings bare as I said something along those lines.\Then, I poured as much emotion as I could\into one, big finale.\In short, I love girls with glasses! response:	How unpleasant.
context: I'll leave out the exact words I chose at the moment, but...\Either way, someone who looks as good in glasses as you do...\just doesn't deserve to die!\I laid my feelings bare as I said something along those lines.\Then, I poured as much emotion as I could\into one, big finale.\In short, I love girls with glasses!\How unpleasant. response:	You
context: Either way, someone who looks as good in glasses as you do...\just doesn't deserve to die!\I laid my feelings bare as I said something along those lines.\Then, I poured as much emotion as I could\into one, big finale.\In short, I love girls with glasses!\How unpleasant.\You response:	I-I was too much for you.
context: just doesn't deserve to die!\I laid my feelings bare as I said something along those lines.\Then, I poured as much emotion as I could\into one, big finale.\In short, I love girls with glasses!\How unpleasant.\You\I-I was too much for you. response:	Uh...
context: I laid my feelings bare as I said something along those lines.\Then, I poured as much emotion as I could\into one, big finale.\In short, I love girls with glasses!\How unpleasant.\You\I-I was too much for you.\Uh... response:	Say...
context: Then, I poured as much emotion as I could\into one, big finale.\In short, I love girls with glasses!\How unpleasant.\You\I-I was too much for you.\Uh...\Say... response:	Do you think you could do something about this?
context: into one, big finale.\In short, I love girls with glasses!\How unpleasant.\You\I-I was too much for you.\Uh...\Say...\Do you think you could do something about this? response:	Pretty please?
context: In short, I love girls with glasses!\How unpleasant.\You\I-I was too much for you.\Uh...\Say...\Do you think you could do something about this?\Pretty please? response:	What in the world are you?
context: How unpleasant.\You\I-I was too much for you.\Uh...\Say...\Do you think you could do something about this?\Pretty please?\What in the world are you? response:	I-I could ask you the same right now.
context: You\I-I was too much for you.\Uh...\Say...\Do you think you could do something about this?\Pretty please?\What in the world are you?\I-I could ask you the same right now. response:	That's how I met Kuriyama Mirai.
context: I-I was too much for you.\Uh...\Say...\Do you think you could do something about this?\Pretty please?\What in the world are you?\I-I could ask you the same right now.\That's how I met Kuriyama Mirai. response:	If our storyif you could call it onecould've simply ended here,
context: Uh...\Say...\Do you think you could do something about this?\Pretty please?\What in the world are you?\I-I could ask you the same right now.\That's how I met Kuriyama Mirai.\If our storyif you could call it onecould've simply ended here, response:	then all the world's lore would've never come to be.
context: Say...\Do you think you could do something about this?\Pretty please?\What in the world are you?\I-I could ask you the same right now.\That's how I met Kuriyama Mirai.\If our storyif you could call it onecould've simply ended here,\then all the world's lore would've never come to be. response:	Could you put these glasses on?
context: Do you think you could do something about this?\Pretty please?\What in the world are you?\I-I could ask you the same right now.\That's how I met Kuriyama Mirai.\If our storyif you could call it onecould've simply ended here,\then all the world's lore would've never come to be.\Could you put these glasses on? response:	Loneliness makes my cheeks wet
context: Pretty please?\What in the world are you?\I-I could ask you the same right now.\That's how I met Kuriyama Mirai.\If our storyif you could call it onecould've simply ended here,\then all the world's lore would've never come to be.\Could you put these glasses on?\Loneliness makes my cheeks wet response:	Loneliness makes my cheeks wet
context: What in the world are you?\I-I could ask you the same right now.\That's how I met Kuriyama Mirai.\If our storyif you could call it onecould've simply ended here,\then all the world's lore would've never come to be.\Could you put these glasses on?\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet response:	kodoku ga hoho wo nurasu nurasu kedo
context: I-I could ask you the same right now.\That's how I met Kuriyama Mirai.\If our storyif you could call it onecould've simply ended here,\then all the world's lore would've never come to be.\Could you put these glasses on?\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo response:	kodoku ga hoho wo nurasu nurasu kedo
context: That's how I met Kuriyama Mirai.\If our storyif you could call it onecould've simply ended here,\then all the world's lore would've never come to be.\Could you put these glasses on?\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo response:	But when the dawn emerges in silence
context: If our storyif you could call it onecould've simply ended here,\then all the world's lore would've never come to be.\Could you put these glasses on?\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence response:	But when the dawn emerges in silence
context: then all the world's lore would've never come to be.\Could you put these glasses on?\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence response:	yoake no kehai ga shizuka ni michite
context: Could you put these glasses on?\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite response:	yoake no kehai ga shizuka ni michite
context: Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite response:	And carries me up into the skies
context: Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies response:	And carries me up into the skies
context: kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies response:	watashi wo sora e maneku yo
context: kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo response:	watashi wo sora e maneku yo
context: But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo response:	Hope awaits on the other side
context: But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side response:	Hope awaits on the other side
context: yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side response:	kibou ga kanata de matteru
context: yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru response:	kibou ga kanata de matteru
context: And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru response:	So here I go
context: And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go response:	So here I go
context: watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go response:	sou da yo iku yo
context: watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo response:	sou da yo iku yo
context: Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo response:	I've been wandering, trying to find you
context: Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you response:	I've been wandering, trying to find you
context: kibou ga kanata de matteru\kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you response:	mayoi nagara mo kimi wo sagasu tabi
context: kibou ga kanata de matteru\So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi response:	mayoi nagara mo kimi wo sagasu tabi
context: So here I go\So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi response:	We missed each other, but our hands touched
context: So here I go\sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched response:	We missed each other, but our hands touched
context: sou da yo iku yo\sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched response:	surechigau ishiki te ga fureta yo ne
context: sou da yo iku yo\I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne response:	surechigau ishiki te ga fureta yo ne
context: I've been wandering, trying to find you\I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne response:	I'll hold your hand tightly
context: I've been wandering, trying to find you\mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly response:	I'll hold your hand tightly
context: mayoi nagara mo kimi wo sagasu tabi\mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly response:	tsukaemaeru yo shikkari
context: mayoi nagara mo kimi wo sagasu tabi\We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari response:	tsukaemaeru yo shikkari
context: We missed each other, but our hands touched\We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari response:	Our mutual longing is
context: We missed each other, but our hands touched\surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is response:	Our mutual longing is
context: surechigau ishiki te ga fureta yo ne\surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is response:	motomeau kokoro
context: surechigau ishiki te ga fureta yo ne\I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro response:	motomeau kokoro
context: I'll hold your hand tightly\I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro response:	The first step toward our dream
context: I'll hold your hand tightly\tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream response:	The first step toward our dream
context: tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream response:	sore wa yume no akashi
context: tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi response:	sore wa yume no akashi
context: Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi response:	We're drawn closer as we begin to accept each other
context: Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other response:	We're drawn closer as we begin to accept each other
context: motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other response:	tagai wo uketomeru tabi ni hikareteku
context: motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku response:	tagai wo uketomeru tabi ni hikareteku
context: The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku response:	We won't need to spend our days in sadness anymore
context: The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore response:	We won't need to spend our days in sadness anymore
context: sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore response:	kanashii hibi wa mou iranai
context: sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai response:	kanashii hibi wa mou iranai
context: We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai response:	Because we'll have a great time together
context: We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together response:	Because we'll have a great time together
context: tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together response:	tagai wo uketomete ikiru yorokobi ni
context: tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni response:	tagai wo uketomete ikiru yorokobi ni
context: We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni response:	That I'm sure the two of us will
context: We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will response:	That I'm sure the two of us will
context: kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will response:	kitto kitto futari
context: kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari response:	kitto kitto futari
context: Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari response:	Learn to appreciate
context: Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate response:	Learn to appreciate
context: tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate response:	mezameru yo
context: tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo response:	mezameru yo
context: That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo response:	What matters is that I've finally found you
context: That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you response:	What matters is that I've finally found you
context: kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you response:	mayoi nagara mo kimi wo mitsuketa yo
context: kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo response:	mayoi nagara mo kimi wo mitsuketa yo
context: Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo response:	Literary Club
context: Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Literary Club response:	A dismembered body, huh?
context: mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Literary Club\A dismembered body, huh? response:	Carmine
context: mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Literary Club\A dismembered body, huh?\Carmine response:	Carmine
context: What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Literary Club\A dismembered body, huh?\Carmine\Carmine response:	Carmine
context: What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Literary Club\A dismembered body, huh?\Carmine\Carmine\Carmine response:	You won't be able to draw the readers in
context: mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Literary Club\A dismembered body, huh?\Carmine\Carmine\Carmine\You won't be able to draw the readers in response:	by simply making all of the murders extremely grotesque.
context: mayoi nagara mo kimi wo mitsuketa yo\Literary Club\A dismembered body, huh?\Carmine\Carmine\Carmine\You won't be able to draw the readers in\by simply making all of the murders extremely grotesque. response:	Then what type of murder should I go for?
context: Literary Club\A dismembered body, huh?\Carmine\Carmine\Carmine\You won't be able to draw the readers in\by simply making all of the murders extremely grotesque.\Then what type of murder should I go for? response:	We found the body torn to...
context: A dismembered body, huh?\Carmine\Carmine\Carmine\You won't be able to draw the readers in\by simply making all of the murders extremely grotesque.\Then what type of murder should I go for?\We found the body torn to... response:	It was hardly in any
context: Carmine\Carmine\Carmine\You won't be able to draw the readers in\by simply making all of the murders extremely grotesque.\Then what type of murder should I go for?\We found the body torn to...\It was hardly in any response:	condition for us to work on.
context: Carmine\Carmine\You won't be able to draw the readers in\by simply making all of the murders extremely grotesque.\Then what type of murder should I go for?\We found the body torn to...\It was hardly in any\condition for us to work on. response:	the crime.
context: Carmine\You won't be able to draw the readers in\by simply making all of the murders extremely grotesque.\Then what type of murder should I go for?\We found the body torn to...\It was hardly in any\condition for us to work on.\the crime. response:	We found the body torn to...
context: You won't be able to draw the readers in\by simply making all of the murders extremely grotesque.\Then what type of murder should I go for?\We found the body torn to...\It was hardly in any\condition for us to work on.\the crime.\We found the body torn to... response:	It was hardly in any
context: by simply making all of the murders extremely grotesque.\Then what type of murder should I go for?\We found the body torn to...\It was hardly in any\condition for us to work on.\the crime.\We found the body torn to...\It was hardly in any response:	condition for us to work on.
context: Then what type of murder should I go for?\We found the body torn to...\It was hardly in any\condition for us to work on.\the crime.\We found the body torn to...\It was hardly in any\condition for us to work on. response:	the crime.
context: We found the body torn to...\It was hardly in any\condition for us to work on.\the crime.\We found the body torn to...\It was hardly in any\condition for us to work on.\the crime. response:	I think that the murderer's actions and logic
context: It was hardly in any\condition for us to work on.\the crime.\We found the body torn to...\It was hardly in any\condition for us to work on.\the crime.\I think that the murderer's actions and logic response:	are what makes it interesting for the reader.
context: condition for us to work on.\the crime.\We found the body torn to...\It was hardly in any\condition for us to work on.\the crime.\I think that the murderer's actions and logic\are what makes it interesting for the reader. response:	I despise characters that go,
