context: Interviews with Monster Girls response:	Demi-chans Want to Try
context: The protractor? You're using the protractor, too?\The chalk... And the chalk, please!\I'm being educated!\Hello?\Sorry, were you asleep?\Ugaki-san?\No, I was studying some educational methods of discipline...\Oh? You're so dedicated, even on the weekends. response:	Anyway, what's this about, Ugaki-san?
context: The chalk... And the chalk, please!\I'm being educated!\Hello?\Sorry, were you asleep?\Ugaki-san?\No, I was studying some educational methods of discipline...\Oh? You're so dedicated, even on the weekends.\Anyway, what's this about, Ugaki-san? response:	Well, I was thinking about what happened the other day.
context: I'm being educated!\Hello?\Sorry, were you asleep?\Ugaki-san?\No, I was studying some educational methods of discipline...\Oh? You're so dedicated, even on the weekends.\Anyway, what's this about, Ugaki-san?\Well, I was thinking about what happened the other day. response:	The other day?
context: Hello?\Sorry, were you asleep?\Ugaki-san?\No, I was studying some educational methods of discipline...\Oh? You're so dedicated, even on the weekends.\Anyway, what's this about, Ugaki-san?\Well, I was thinking about what happened the other day.\The other day? response:	When you came to school with Kurtz-kun?
context: Sorry, were you asleep?\Ugaki-san?\No, I was studying some educational methods of discipline...\Oh? You're so dedicated, even on the weekends.\Anyway, what's this about, Ugaki-san?\Well, I was thinking about what happened the other day.\The other day?\When you came to school with Kurtz-kun? response:	The one you're interested in is Takahashi-sensei, isn't it?
context: Ugaki-san?\No, I was studying some educational methods of discipline...\Oh? You're so dedicated, even on the weekends.\Anyway, what's this about, Ugaki-san?\Well, I was thinking about what happened the other day.\The other day?\When you came to school with Kurtz-kun?\The one you're interested in is Takahashi-sensei, isn't it? response:	H-How did you...
context: No, I was studying some educational methods of discipline...\Oh? You're so dedicated, even on the weekends.\Anyway, what's this about, Ugaki-san?\Well, I was thinking about what happened the other day.\The other day?\When you came to school with Kurtz-kun?\The one you're interested in is Takahashi-sensei, isn't it?\H-How did you... response:	Bingo, huh?
context: Oh? You're so dedicated, even on the weekends.\Anyway, what's this about, Ugaki-san?\Well, I was thinking about what happened the other day.\The other day?\When you came to school with Kurtz-kun?\The one you're interested in is Takahashi-sensei, isn't it?\H-How did you...\Bingo, huh? response:	But knowing you,
context: Anyway, what's this about, Ugaki-san?\Well, I was thinking about what happened the other day.\The other day?\When you came to school with Kurtz-kun?\The one you're interested in is Takahashi-sensei, isn't it?\H-How did you...\Bingo, huh?\But knowing you, response:	you're standing by, doing nothing, instead of acting, right?
context: Well, I was thinking about what happened the other day.\The other day?\When you came to school with Kurtz-kun?\The one you're interested in is Takahashi-sensei, isn't it?\H-How did you...\Bingo, huh?\But knowing you,\you're standing by, doing nothing, instead of acting, right? response:	I'm not criticizing you, but I don't think you should go on like this.
context: The other day?\When you came to school with Kurtz-kun?\The one you're interested in is Takahashi-sensei, isn't it?\H-How did you...\Bingo, huh?\But knowing you,\you're standing by, doing nothing, instead of acting, right?\I'm not criticizing you, but I don't think you should go on like this. response:	The time has come, Sakie!
context: When you came to school with Kurtz-kun?\The one you're interested in is Takahashi-sensei, isn't it?\H-How did you...\Bingo, huh?\But knowing you,\you're standing by, doing nothing, instead of acting, right?\I'm not criticizing you, but I don't think you should go on like this.\The time has come, Sakie! response:	For you to show your true colors as a succubus!
context: The one you're interested in is Takahashi-sensei, isn't it?\H-How did you...\Bingo, huh?\But knowing you,\you're standing by, doing nothing, instead of acting, right?\I'm not criticizing you, but I don't think you should go on like this.\The time has come, Sakie!\For you to show your true colors as a succubus! response:	Uh-huh...
context: H-How did you...\Bingo, huh?\But knowing you,\you're standing by, doing nothing, instead of acting, right?\I'm not criticizing you, but I don't think you should go on like this.\The time has come, Sakie!\For you to show your true colors as a succubus!\Uh-huh... response:	To be blunt, the reason you're slow to act
context: Bingo, huh?\But knowing you,\you're standing by, doing nothing, instead of acting, right?\I'm not criticizing you, but I don't think you should go on like this.\The time has come, Sakie!\For you to show your true colors as a succubus!\Uh-huh...\To be blunt, the reason you're slow to act response:	is because you can't avoid your aphrodisiac effect in relationships.
context: But knowing you,\you're standing by, doing nothing, instead of acting, right?\I'm not criticizing you, but I don't think you should go on like this.\The time has come, Sakie!\For you to show your true colors as a succubus!\Uh-huh...\To be blunt, the reason you're slow to act\is because you can't avoid your aphrodisiac effect in relationships. response:	But you don't want it to influence how you enter into them, right?
context: you're standing by, doing nothing, instead of acting, right?\I'm not criticizing you, but I don't think you should go on like this.\The time has come, Sakie!\For you to show your true colors as a succubus!\Uh-huh...\To be blunt, the reason you're slow to act\is because you can't avoid your aphrodisiac effect in relationships.\But you don't want it to influence how you enter into them, right? response:	Right...
context: I'm not criticizing you, but I don't think you should go on like this.\The time has come, Sakie!\For you to show your true colors as a succubus!\Uh-huh...\To be blunt, the reason you're slow to act\is because you can't avoid your aphrodisiac effect in relationships.\But you don't want it to influence how you enter into them, right?\Right... response:	I know you've always made it a point not to use your aphrodisiac effect
context: The time has come, Sakie!\For you to show your true colors as a succubus!\Uh-huh...\To be blunt, the reason you're slow to act\is because you can't avoid your aphrodisiac effect in relationships.\But you don't want it to influence how you enter into them, right?\Right...\I know you've always made it a point not to use your aphrodisiac effect response:	on others for your own gain.
context: For you to show your true colors as a succubus!\Uh-huh...\To be blunt, the reason you're slow to act\is because you can't avoid your aphrodisiac effect in relationships.\But you don't want it to influence how you enter into them, right?\Right...\I know you've always made it a point not to use your aphrodisiac effect\on others for your own gain. response:	So I understand your hesitation.
context: Uh-huh...\To be blunt, the reason you're slow to act\is because you can't avoid your aphrodisiac effect in relationships.\But you don't want it to influence how you enter into them, right?\Right...\I know you've always made it a point not to use your aphrodisiac effect\on others for your own gain.\So I understand your hesitation. response:	But now that a man has won your heart,
context: To be blunt, the reason you're slow to act\is because you can't avoid your aphrodisiac effect in relationships.\But you don't want it to influence how you enter into them, right?\Right...\I know you've always made it a point not to use your aphrodisiac effect\on others for your own gain.\So I understand your hesitation.\But now that a man has won your heart, response:	you need to accustom yourself to using your wiles on him!
context: is because you can't avoid your aphrodisiac effect in relationships.\But you don't want it to influence how you enter into them, right?\Right...\I know you've always made it a point not to use your aphrodisiac effect\on others for your own gain.\So I understand your hesitation.\But now that a man has won your heart,\you need to accustom yourself to using your wiles on him! response:	Am I wrong?
context: But you don't want it to influence how you enter into them, right?\Right...\I know you've always made it a point not to use your aphrodisiac effect\on others for your own gain.\So I understand your hesitation.\But now that a man has won your heart,\you need to accustom yourself to using your wiles on him!\Am I wrong? response:	Call forth the instincts of the succubus who devours men, night after night!
context: Right...\I know you've always made it a point not to use your aphrodisiac effect\on others for your own gain.\So I understand your hesitation.\But now that a man has won your heart,\you need to accustom yourself to using your wiles on him!\Am I wrong?\Call forth the instincts of the succubus who devours men, night after night! response:	That's only in the legends.
context: I know you've always made it a point not to use your aphrodisiac effect\on others for your own gain.\So I understand your hesitation.\But now that a man has won your heart,\you need to accustom yourself to using your wiles on him!\Am I wrong?\Call forth the instincts of the succubus who devours men, night after night!\That's only in the legends. response:	Also, stop yelling.
context: on others for your own gain.\So I understand your hesitation.\But now that a man has won your heart,\you need to accustom yourself to using your wiles on him!\Am I wrong?\Call forth the instincts of the succubus who devours men, night after night!\That's only in the legends.\Also, stop yelling. response:	Still, you're right, Ugaki-san.
context: So I understand your hesitation.\But now that a man has won your heart,\you need to accustom yourself to using your wiles on him!\Am I wrong?\Call forth the instincts of the succubus who devours men, night after night!\That's only in the legends.\Also, stop yelling.\Still, you're right, Ugaki-san. response:	Huh?
context: But now that a man has won your heart,\you need to accustom yourself to using your wiles on him!\Am I wrong?\Call forth the instincts of the succubus who devours men, night after night!\That's only in the legends.\Also, stop yelling.\Still, you're right, Ugaki-san.\Huh? response:	I know I need to change.
context: you need to accustom yourself to using your wiles on him!\Am I wrong?\Call forth the instincts of the succubus who devours men, night after night!\That's only in the legends.\Also, stop yelling.\Still, you're right, Ugaki-san.\Huh?\I know I need to change. response:	So I can have a relationship.
context: Am I wrong?\Call forth the instincts of the succubus who devours men, night after night!\That's only in the legends.\Also, stop yelling.\Still, you're right, Ugaki-san.\Huh?\I know I need to change.\So I can have a relationship. response:	And so that I can come to terms with what it means to like someone.
context: Call forth the instincts of the succubus who devours men, night after night!\That's only in the legends.\Also, stop yelling.\Still, you're right, Ugaki-san.\Huh?\I know I need to change.\So I can have a relationship.\And so that I can come to terms with what it means to like someone. response:	I can't keep running from my aphrodisiac effect.
context: That's only in the legends.\Also, stop yelling.\Still, you're right, Ugaki-san.\Huh?\I know I need to change.\So I can have a relationship.\And so that I can come to terms with what it means to like someone.\I can't keep running from my aphrodisiac effect. response:	That's right.
context: Also, stop yelling.\Still, you're right, Ugaki-san.\Huh?\I know I need to change.\So I can have a relationship.\And so that I can come to terms with what it means to like someone.\I can't keep running from my aphrodisiac effect.\That's right. response:	This is a good opportunity to try some things out.
context: Still, you're right, Ugaki-san.\Huh?\I know I need to change.\So I can have a relationship.\And so that I can come to terms with what it means to like someone.\I can't keep running from my aphrodisiac effect.\That's right.\This is a good opportunity to try some things out. response:	So go ahead and start doing things to seduce Takahashi-sensei tomorrow!
context: Huh?\I know I need to change.\So I can have a relationship.\And so that I can come to terms with what it means to like someone.\I can't keep running from my aphrodisiac effect.\That's right.\This is a good opportunity to try some things out.\So go ahead and start doing things to seduce Takahashi-sensei tomorrow! response:	Do I have to?
context: I know I need to change.\So I can have a relationship.\And so that I can come to terms with what it means to like someone.\I can't keep running from my aphrodisiac effect.\That's right.\This is a good opportunity to try some things out.\So go ahead and start doing things to seduce Takahashi-sensei tomorrow!\Do I have to? response:	Of course you do!
context: So I can have a relationship.\And so that I can come to terms with what it means to like someone.\I can't keep running from my aphrodisiac effect.\That's right.\This is a good opportunity to try some things out.\So go ahead and start doing things to seduce Takahashi-sensei tomorrow!\Do I have to?\Of course you do! response:	The number of times you've seduced someone by chance is trivial, right?
context: And so that I can come to terms with what it means to like someone.\I can't keep running from my aphrodisiac effect.\That's right.\This is a good opportunity to try some things out.\So go ahead and start doing things to seduce Takahashi-sensei tomorrow!\Do I have to?\Of course you do!\The number of times you've seduced someone by chance is trivial, right? response:	He'll get a girlfriend before you get accustomed to using your effect!
context: I can't keep running from my aphrodisiac effect.\That's right.\This is a good opportunity to try some things out.\So go ahead and start doing things to seduce Takahashi-sensei tomorrow!\Do I have to?\Of course you do!\The number of times you've seduced someone by chance is trivial, right?\He'll get a girlfriend before you get accustomed to using your effect! response:	And being half-assed about it won't even change the look on his face.
context: That's right.\This is a good opportunity to try some things out.\So go ahead and start doing things to seduce Takahashi-sensei tomorrow!\Do I have to?\Of course you do!\The number of times you've seduced someone by chance is trivial, right?\He'll get a girlfriend before you get accustomed to using your effect!\And being half-assed about it won't even change the look on his face. response:	If he has no reaction, you'll get no experience!
context: This is a good opportunity to try some things out.\So go ahead and start doing things to seduce Takahashi-sensei tomorrow!\Do I have to?\Of course you do!\The number of times you've seduced someone by chance is trivial, right?\He'll get a girlfriend before you get accustomed to using your effect!\And being half-assed about it won't even change the look on his face.\If he has no reaction, you'll get no experience! response:	Which you need an individualistic approach to seducing him.
context: So go ahead and start doing things to seduce Takahashi-sensei tomorrow!\Do I have to?\Of course you do!\The number of times you've seduced someone by chance is trivial, right?\He'll get a girlfriend before you get accustomed to using your effect!\And being half-assed about it won't even change the look on his face.\If he has no reaction, you'll get no experience!\Which you need an individualistic approach to seducing him. response:	In theory, I get what you're saying, but...
context: Do I have to?\Of course you do!\The number of times you've seduced someone by chance is trivial, right?\He'll get a girlfriend before you get accustomed to using your effect!\And being half-assed about it won't even change the look on his face.\If he has no reaction, you'll get no experience!\Which you need an individualistic approach to seducing him.\In theory, I get what you're saying, but... response:	I mean, I won't force you, but aren't you curious to see
context: Of course you do!\The number of times you've seduced someone by chance is trivial, right?\He'll get a girlfriend before you get accustomed to using your effect!\And being half-assed about it won't even change the look on his face.\If he has no reaction, you'll get no experience!\Which you need an individualistic approach to seducing him.\In theory, I get what you're saying, but...\I mean, I won't force you, but aren't you curious to see response:	what Takahashi-sensei looks like when he's truly embarrassed?
context: The number of times you've seduced someone by chance is trivial, right?\He'll get a girlfriend before you get accustomed to using your effect!\And being half-assed about it won't even change the look on his face.\If he has no reaction, you'll get no experience!\Which you need an individualistic approach to seducing him.\In theory, I get what you're saying, but...\I mean, I won't force you, but aren't you curious to see\what Takahashi-sensei looks like when he's truly embarrassed? response:	Excuse me...
context: He'll get a girlfriend before you get accustomed to using your effect!\And being half-assed about it won't even change the look on his face.\If he has no reaction, you'll get no experience!\Which you need an individualistic approach to seducing him.\In theory, I get what you're saying, but...\I mean, I won't force you, but aren't you curious to see\what Takahashi-sensei looks like when he's truly embarrassed?\Excuse me... response:	Satou-sensei?
context: And being half-assed about it won't even change the look on his face.\If he has no reaction, you'll get no experience!\Which you need an individualistic approach to seducing him.\In theory, I get what you're saying, but...\I mean, I won't force you, but aren't you curious to see\what Takahashi-sensei looks like when he's truly embarrassed?\Excuse me...\Satou-sensei? response:	Sorry...
context: If he has no reaction, you'll get no experience!\Which you need an individualistic approach to seducing him.\In theory, I get what you're saying, but...\I mean, I won't force you, but aren't you curious to see\what Takahashi-sensei looks like when he's truly embarrassed?\Excuse me...\Satou-sensei?\Sorry... response:	I thought you were Hikari or someone.
context: Which you need an individualistic approach to seducing him.\In theory, I get what you're saying, but...\I mean, I won't force you, but aren't you curious to see\what Takahashi-sensei looks like when he's truly embarrassed?\Excuse me...\Satou-sensei?\Sorry...\I thought you were Hikari or someone. response:	No, I'm sorry for suddenly walking in.
context: In theory, I get what you're saying, but...\I mean, I won't force you, but aren't you curious to see\what Takahashi-sensei looks like when he's truly embarrassed?\Excuse me...\Satou-sensei?\Sorry...\I thought you were Hikari or someone.\No, I'm sorry for suddenly walking in. response:	Oh, please take these to eat with the tea.
context: I mean, I won't force you, but aren't you curious to see\what Takahashi-sensei looks like when he's truly embarrassed?\Excuse me...\Satou-sensei?\Sorry...\I thought you were Hikari or someone.\No, I'm sorry for suddenly walking in.\Oh, please take these to eat with the tea. response:	Shiba Shortbread
context: what Takahashi-sensei looks like when he's truly embarrassed?\Excuse me...\Satou-sensei?\Sorry...\I thought you were Hikari or someone.\No, I'm sorry for suddenly walking in.\Oh, please take these to eat with the tea.\Shiba Shortbread response:	So...
context: Excuse me...\Satou-sensei?\Sorry...\I thought you were Hikari or someone.\No, I'm sorry for suddenly walking in.\Oh, please take these to eat with the tea.\Shiba Shortbread\So... response:	I thought I should talk to you about succubi.
context: Satou-sensei?\Sorry...\I thought you were Hikari or someone.\No, I'm sorry for suddenly walking in.\Oh, please take these to eat with the tea.\Shiba Shortbread\So...\I thought I should talk to you about succubi. response:	I was hoping it would help you.
context: Sorry...\I thought you were Hikari or someone.\No, I'm sorry for suddenly walking in.\Oh, please take these to eat with the tea.\Shiba Shortbread\So...\I thought I should talk to you about succubi.\I was hoping it would help you. response:	People like Takahashi-sensei crave knowledge not found in books.
context: I thought you were Hikari or someone.\No, I'm sorry for suddenly walking in.\Oh, please take these to eat with the tea.\Shiba Shortbread\So...\I thought I should talk to you about succubi.\I was hoping it would help you.\People like Takahashi-sensei crave knowledge not found in books. response:	If you bring up the topic, he'll latch on!
context: No, I'm sorry for suddenly walking in.\Oh, please take these to eat with the tea.\Shiba Shortbread\So...\I thought I should talk to you about succubi.\I was hoping it would help you.\People like Takahashi-sensei crave knowledge not found in books.\If you bring up the topic, he'll latch on! response:	Huh? Really?
context: Oh, please take these to eat with the tea.\Shiba Shortbread\So...\I thought I should talk to you about succubi.\I was hoping it would help you.\People like Takahashi-sensei crave knowledge not found in books.\If you bring up the topic, he'll latch on!\Huh? Really? response:	I'm definitely interested.
context: Shiba Shortbread\So...\I thought I should talk to you about succubi.\I was hoping it would help you.\People like Takahashi-sensei crave knowledge not found in books.\If you bring up the topic, he'll latch on!\Huh? Really?\I'm definitely interested. response:	He latched on.
context: So...\I thought I should talk to you about succubi.\I was hoping it would help you.\People like Takahashi-sensei crave knowledge not found in books.\If you bring up the topic, he'll latch on!\Huh? Really?\I'm definitely interested.\He latched on. response:	I don't get too many chances to learn about succubi from a succubus.
context: I thought I should talk to you about succubi.\I was hoping it would help you.\People like Takahashi-sensei crave knowledge not found in books.\If you bring up the topic, he'll latch on!\Huh? Really?\I'm definitely interested.\He latched on.\I don't get too many chances to learn about succubi from a succubus. response:	I feel like books and documents just don't tell the whole story.
context: I was hoping it would help you.\People like Takahashi-sensei crave knowledge not found in books.\If you bring up the topic, he'll latch on!\Huh? Really?\I'm definitely interested.\He latched on.\I don't get too many chances to learn about succubi from a succubus.\I feel like books and documents just don't tell the whole story. response:	What really counts is your timing in bringing up the subject!
context: People like Takahashi-sensei crave knowledge not found in books.\If you bring up the topic, he'll latch on!\Huh? Really?\I'm definitely interested.\He latched on.\I don't get too many chances to learn about succubi from a succubus.\I feel like books and documents just don't tell the whole story.\What really counts is your timing in bringing up the subject! response:	Waste no time!
context: If you bring up the topic, he'll latch on!\Huh? Really?\I'm definitely interested.\He latched on.\I don't get too many chances to learn about succubi from a succubus.\I feel like books and documents just don't tell the whole story.\What really counts is your timing in bringing up the subject!\Waste no time! response:	Right!
context: Huh? Really?\I'm definitely interested.\He latched on.\I don't get too many chances to learn about succubi from a succubus.\I feel like books and documents just don't tell the whole story.\What really counts is your timing in bringing up the subject!\Waste no time!\Right! response:	Oh!
context: I'm definitely interested.\He latched on.\I don't get too many chances to learn about succubi from a succubus.\I feel like books and documents just don't tell the whole story.\What really counts is your timing in bringing up the subject!\Waste no time!\Right!\Oh! response:	Exactly like that!
context: He latched on.\I don't get too many chances to learn about succubi from a succubus.\I feel like books and documents just don't tell the whole story.\What really counts is your timing in bringing up the subject!\Waste no time!\Right!\Oh!\Exactly like that! response:	Then, would you like to experience a bit of the succubus aphrodisiac effect?
context: I don't get too many chances to learn about succubi from a succubus.\I feel like books and documents just don't tell the whole story.\What really counts is your timing in bringing up the subject!\Waste no time!\Right!\Oh!\Exactly like that!\Then, would you like to experience a bit of the succubus aphrodisiac effect? response:	Huh?
context: I feel like books and documents just don't tell the whole story.\What really counts is your timing in bringing up the subject!\Waste no time!\Right!\Oh!\Exactly like that!\Then, would you like to experience a bit of the succubus aphrodisiac effect?\Huh? response:	Okay, if you'll excuse me a moment...
context: What really counts is your timing in bringing up the subject!\Waste no time!\Right!\Oh!\Exactly like that!\Then, would you like to experience a bit of the succubus aphrodisiac effect?\Huh?\Okay, if you'll excuse me a moment... response:	Wait, what are you doing?
context: Waste no time!\Right!\Oh!\Exactly like that!\Then, would you like to experience a bit of the succubus aphrodisiac effect?\Huh?\Okay, if you'll excuse me a moment...\Wait, what are you doing? response:	Oh, I'm just taking off a layer. Don't worry.
context: Right!\Oh!\Exactly like that!\Then, would you like to experience a bit of the succubus aphrodisiac effect?\Huh?\Okay, if you'll excuse me a moment...\Wait, what are you doing?\Oh, I'm just taking off a layer. Don't worry. response:	Oh, you are...
context: Oh!\Exactly like that!\Then, would you like to experience a bit of the succubus aphrodisiac effect?\Huh?\Okay, if you'll excuse me a moment...\Wait, what are you doing?\Oh, I'm just taking off a layer. Don't worry.\Oh, you are... response:	Wait, you are?
context: Exactly like that!\Then, would you like to experience a bit of the succubus aphrodisiac effect?\Huh?\Okay, if you'll excuse me a moment...\Wait, what are you doing?\Oh, I'm just taking off a layer. Don't worry.\Oh, you are...\Wait, you are? response:	Yep!
context: Then, would you like to experience a bit of the succubus aphrodisiac effect?\Huh?\Okay, if you'll excuse me a moment...\Wait, what are you doing?\Oh, I'm just taking off a layer. Don't worry.\Oh, you are...\Wait, you are?\Yep! response:	Ta-dah!
context: Huh?\Okay, if you'll excuse me a moment...\Wait, what are you doing?\Oh, I'm just taking off a layer. Don't worry.\Oh, you are...\Wait, you are?\Yep!\Ta-dah! response:	Wh-What do you think?
context: Okay, if you'll excuse me a moment...\Wait, what are you doing?\Oh, I'm just taking off a layer. Don't worry.\Oh, you are...\Wait, you are?\Yep!\Ta-dah!\Wh-What do you think? response:	Kill me now!
context: Wait, what are you doing?\Oh, I'm just taking off a layer. Don't worry.\Oh, you are...\Wait, you are?\Yep!\Ta-dah!\Wh-What do you think?\Kill me now! response:	Uh... Well, I think you look very nice.
context: Oh, I'm just taking off a layer. Don't worry.\Oh, you are...\Wait, you are?\Yep!\Ta-dah!\Wh-What do you think?\Kill me now!\Uh... Well, I think you look very nice. response:	It completely changes your image, huh?
context: Oh, you are...\Wait, you are?\Yep!\Ta-dah!\Wh-What do you think?\Kill me now!\Uh... Well, I think you look very nice.\It completely changes your image, huh? response:	Thank you...
context: Wait, you are?\Yep!\Ta-dah!\Wh-What do you think?\Kill me now!\Uh... Well, I think you look very nice.\It completely changes your image, huh?\Thank you... response:	Hardly any reaction at all!
context: Yep!\Ta-dah!\Wh-What do you think?\Kill me now!\Uh... Well, I think you look very nice.\It completely changes your image, huh?\Thank you...\Hardly any reaction at all! response:	This doesn't feel anything like using my aphrodisiac effect.
context: Ta-dah!\Wh-What do you think?\Kill me now!\Uh... Well, I think you look very nice.\It completely changes your image, huh?\Thank you...\Hardly any reaction at all!\This doesn't feel anything like using my aphrodisiac effect. response:	It's just making me anxious...
context: Wh-What do you think?\Kill me now!\Uh... Well, I think you look very nice.\It completely changes your image, huh?\Thank you...\Hardly any reaction at all!\This doesn't feel anything like using my aphrodisiac effect.\It's just making me anxious... response:	Do I really even have an aphrodisiac effect?
context: Kill me now!\Uh... Well, I think you look very nice.\It completely changes your image, huh?\Thank you...\Hardly any reaction at all!\This doesn't feel anything like using my aphrodisiac effect.\It's just making me anxious...\Do I really even have an aphrodisiac effect? response:	Damn, she's sexy!
context: Uh... Well, I think you look very nice.\It completely changes your image, huh?\Thank you...\Hardly any reaction at all!\This doesn't feel anything like using my aphrodisiac effect.\It's just making me anxious...\Do I really even have an aphrodisiac effect?\Damn, she's sexy! response:	It's like I can physically see the sex appeal!
context: It completely changes your image, huh?\Thank you...\Hardly any reaction at all!\This doesn't feel anything like using my aphrodisiac effect.\It's just making me anxious...\Do I really even have an aphrodisiac effect?\Damn, she's sexy!\It's like I can physically see the sex appeal! response:	I actually feel like I've reverted back to a hormonal teenager.
context: Thank you...\Hardly any reaction at all!\This doesn't feel anything like using my aphrodisiac effect.\It's just making me anxious...\Do I really even have an aphrodisiac effect?\Damn, she's sexy!\It's like I can physically see the sex appeal!\I actually feel like I've reverted back to a hormonal teenager. response:	I'd better try not to look at her whole body like normal.
context: Hardly any reaction at all!\This doesn't feel anything like using my aphrodisiac effect.\It's just making me anxious...\Do I really even have an aphrodisiac effect?\Damn, she's sexy!\It's like I can physically see the sex appeal!\I actually feel like I've reverted back to a hormonal teenager.\I'd better try not to look at her whole body like normal. response:	I'll just focus on the spot right above her eyes...
context: This doesn't feel anything like using my aphrodisiac effect.\It's just making me anxious...\Do I really even have an aphrodisiac effect?\Damn, she's sexy!\It's like I can physically see the sex appeal!\I actually feel like I've reverted back to a hormonal teenager.\I'd better try not to look at her whole body like normal.\I'll just focus on the spot right above her eyes... response:	Wow, her hair looks so silky...
