context: Looks like we managed to break through the blockade. response:	I wish he'd hurry up and fill us in on the next part of the plan.
context: You know she has the same last name as Satomi, right?\Oh, right.\Akira-chan, we want to thank you for coming with us.\How about showing us your face?\You can't interact through texting forever, you know?\Stop that.\If you want to talk to Akira, you'll do it through me.\But we're pilots who fight side by side, so why won't she... response:	It's my duty to keep Akira safe.
context: Oh, right.\Akira-chan, we want to thank you for coming with us.\How about showing us your face?\You can't interact through texting forever, you know?\Stop that.\If you want to talk to Akira, you'll do it through me.\But we're pilots who fight side by side, so why won't she...\It's my duty to keep Akira safe. response:	As her family.
context: Akira-chan, we want to thank you for coming with us.\How about showing us your face?\You can't interact through texting forever, you know?\Stop that.\If you want to talk to Akira, you'll do it through me.\But we're pilots who fight side by side, so why won't she...\It's my duty to keep Akira safe.\As her family. response:	What about during a mission?
context: How about showing us your face?\You can't interact through texting forever, you know?\Stop that.\If you want to talk to Akira, you'll do it through me.\But we're pilots who fight side by side, so why won't she...\It's my duty to keep Akira safe.\As her family.\What about during a mission? response:	Do we have to go through you even then?
context: You can't interact through texting forever, you know?\Stop that.\If you want to talk to Akira, you'll do it through me.\But we're pilots who fight side by side, so why won't she...\It's my duty to keep Akira safe.\As her family.\What about during a mission?\Do we have to go through you even then? response:	No, that would be...
context: Stop that.\If you want to talk to Akira, you'll do it through me.\But we're pilots who fight side by side, so why won't she...\It's my duty to keep Akira safe.\As her family.\What about during a mission?\Do we have to go through you even then?\No, that would be... response:	Akira?
context: If you want to talk to Akira, you'll do it through me.\But we're pilots who fight side by side, so why won't she...\It's my duty to keep Akira safe.\As her family.\What about during a mission?\Do we have to go through you even then?\No, that would be...\Akira? response:	Oh shoot...
context: But we're pilots who fight side by side, so why won't she...\It's my duty to keep Akira safe.\As her family.\What about during a mission?\Do we have to go through you even then?\No, that would be...\Akira?\Oh shoot... response:	Get lost.
context: It's my duty to keep Akira safe.\As her family.\What about during a mission?\Do we have to go through you even then?\No, that would be...\Akira?\Oh shoot...\Get lost. response:	Akira?
context: As her family.\What about during a mission?\Do we have to go through you even then?\No, that would be...\Akira?\Oh shoot...\Get lost.\Akira? response:	Our destination is Earthspace,
context: What about during a mission?\Do we have to go through you even then?\No, that would be...\Akira?\Oh shoot...\Get lost.\Akira?\Our destination is Earthspace, response:	Old JIOR territory, Ookuma district.
context: Do we have to go through you even then?\No, that would be...\Akira?\Oh shoot...\Get lost.\Akira?\Our destination is Earthspace,\Old JIOR territory, Ookuma district. response:	So we're starting an operation to retake JIOR!
context: No, that would be...\Akira?\Oh shoot...\Get lost.\Akira?\Our destination is Earthspace,\Old JIOR territory, Ookuma district.\So we're starting an operation to retake JIOR! response:	This is a force recon, remember?
context: Akira?\Oh shoot...\Get lost.\Akira?\Our destination is Earthspace,\Old JIOR territory, Ookuma district.\So we're starting an operation to retake JIOR!\This is a force recon, remember? response:	Don't go changing the plan.
context: Oh shoot...\Get lost.\Akira?\Our destination is Earthspace,\Old JIOR territory, Ookuma district.\So we're starting an operation to retake JIOR!\This is a force recon, remember?\Don't go changing the plan. response:	Come on, they're pretty much the same thing.
context: Get lost.\Akira?\Our destination is Earthspace,\Old JIOR territory, Ookuma district.\So we're starting an operation to retake JIOR!\This is a force recon, remember?\Don't go changing the plan.\Come on, they're pretty much the same thing. response:	Descents to Earth are conducted using Follow Rings.
context: Akira?\Our destination is Earthspace,\Old JIOR territory, Ookuma district.\So we're starting an operation to retake JIOR!\This is a force recon, remember?\Don't go changing the plan.\Come on, they're pretty much the same thing.\Descents to Earth are conducted using Follow Rings. response:	If we borrow a drop shuttle in the entrance space and dock with it,
context: Our destination is Earthspace,\Old JIOR territory, Ookuma district.\So we're starting an operation to retake JIOR!\This is a force recon, remember?\Don't go changing the plan.\Come on, they're pretty much the same thing.\Descents to Earth are conducted using Follow Rings.\If we borrow a drop shuttle in the entrance space and dock with it, response:	all we have to do is follow instructions and proceed down the rings.
context: Old JIOR territory, Ookuma district.\So we're starting an operation to retake JIOR!\This is a force recon, remember?\Don't go changing the plan.\Come on, they're pretty much the same thing.\Descents to Earth are conducted using Follow Rings.\If we borrow a drop shuttle in the entrance space and dock with it,\all we have to do is follow instructions and proceed down the rings. response:	So basically, all we have to do is dive down through those rings, right?
context: So we're starting an operation to retake JIOR!\This is a force recon, remember?\Don't go changing the plan.\Come on, they're pretty much the same thing.\Descents to Earth are conducted using Follow Rings.\If we borrow a drop shuttle in the entrance space and dock with it,\all we have to do is follow instructions and proceed down the rings.\So basically, all we have to do is dive down through those rings, right? response:	Guidance inside the ring is handled automatically, so even a
context: This is a force recon, remember?\Don't go changing the plan.\Come on, they're pretty much the same thing.\Descents to Earth are conducted using Follow Rings.\If we borrow a drop shuttle in the entrance space and dock with it,\all we have to do is follow instructions and proceed down the rings.\So basically, all we have to do is dive down through those rings, right?\Guidance inside the ring is handled automatically, so even a response:	bunch of amateurs shouldn't have a problem.
context: Don't go changing the plan.\Come on, they're pretty much the same thing.\Descents to Earth are conducted using Follow Rings.\If we borrow a drop shuttle in the entrance space and dock with it,\all we have to do is follow instructions and proceed down the rings.\So basically, all we have to do is dive down through those rings, right?\Guidance inside the ring is handled automatically, so even a\bunch of amateurs shouldn't have a problem. response:	The one thing that worries me is that you need clearance for a drop.
context: Come on, they're pretty much the same thing.\Descents to Earth are conducted using Follow Rings.\If we borrow a drop shuttle in the entrance space and dock with it,\all we have to do is follow instructions and proceed down the rings.\So basically, all we have to do is dive down through those rings, right?\Guidance inside the ring is handled automatically, so even a\bunch of amateurs shouldn't have a problem.\The one thing that worries me is that you need clearance for a drop. response:	That isn't problem.
context: Descents to Earth are conducted using Follow Rings.\If we borrow a drop shuttle in the entrance space and dock with it,\all we have to do is follow instructions and proceed down the rings.\So basically, all we have to do is dive down through those rings, right?\Guidance inside the ring is handled automatically, so even a\bunch of amateurs shouldn't have a problem.\The one thing that worries me is that you need clearance for a drop.\That isn't problem. response:	Or so he says.
context: If we borrow a drop shuttle in the entrance space and dock with it,\all we have to do is follow instructions and proceed down the rings.\So basically, all we have to do is dive down through those rings, right?\Guidance inside the ring is handled automatically, so even a\bunch of amateurs shouldn't have a problem.\The one thing that worries me is that you need clearance for a drop.\That isn't problem.\Or so he says. response:	Ah.
context: all we have to do is follow instructions and proceed down the rings.\So basically, all we have to do is dive down through those rings, right?\Guidance inside the ring is handled automatically, so even a\bunch of amateurs shouldn't have a problem.\The one thing that worries me is that you need clearance for a drop.\That isn't problem.\Or so he says.\Ah. response:	All this stuff is over my head, so I'll leave it to you.
context: So basically, all we have to do is dive down through those rings, right?\Guidance inside the ring is handled automatically, so even a\bunch of amateurs shouldn't have a problem.\The one thing that worries me is that you need clearance for a drop.\That isn't problem.\Or so he says.\Ah.\All this stuff is over my head, so I'll leave it to you. response:	Could you show us again?
context: Guidance inside the ring is handled automatically, so even a\bunch of amateurs shouldn't have a problem.\The one thing that worries me is that you need clearance for a drop.\That isn't problem.\Or so he says.\Ah.\All this stuff is over my head, so I'll leave it to you.\Could you show us again? response:	What's the matter?
context: bunch of amateurs shouldn't have a problem.\The one thing that worries me is that you need clearance for a drop.\That isn't problem.\Or so he says.\Ah.\All this stuff is over my head, so I'll leave it to you.\Could you show us again?\What's the matter? response:	We have to hurry.
context: The one thing that worries me is that you need clearance for a drop.\That isn't problem.\Or so he says.\Ah.\All this stuff is over my head, so I'll leave it to you.\Could you show us again?\What's the matter?\We have to hurry. response:	While there's still time.
context: That isn't problem.\Or so he says.\Ah.\All this stuff is over my head, so I'll leave it to you.\Could you show us again?\What's the matter?\We have to hurry.\While there's still time. response:	Oh. You're right.
context: Or so he says.\Ah.\All this stuff is over my head, so I'll leave it to you.\Could you show us again?\What's the matter?\We have to hurry.\While there's still time.\Oh. You're right. response:	For now, all we can do is fight.
context: Ah.\All this stuff is over my head, so I'll leave it to you.\Could you show us again?\What's the matter?\We have to hurry.\While there's still time.\Oh. You're right.\For now, all we can do is fight. response:	It may be a curse, but it's also a power that we need.
context: All this stuff is over my head, so I'll leave it to you.\Could you show us again?\What's the matter?\We have to hurry.\While there's still time.\Oh. You're right.\For now, all we can do is fight.\It may be a curse, but it's also a power that we need. response:	I'm having trouble swallowing that.
context: Could you show us again?\What's the matter?\We have to hurry.\While there's still time.\Oh. You're right.\For now, all we can do is fight.\It may be a curse, but it's also a power that we need.\I'm having trouble swallowing that. response:	I'm telling you, I saw her myself!
context: What's the matter?\We have to hurry.\While there's still time.\Oh. You're right.\For now, all we can do is fight.\It may be a curse, but it's also a power that we need.\I'm having trouble swallowing that.\I'm telling you, I saw her myself! response:	She's an ultra-hot redhead!
context: We have to hurry.\While there's still time.\Oh. You're right.\For now, all we can do is fight.\It may be a curse, but it's also a power that we need.\I'm having trouble swallowing that.\I'm telling you, I saw her myself!\She's an ultra-hot redhead! response:	Liar.
context: While there's still time.\Oh. You're right.\For now, all we can do is fight.\It may be a curse, but it's also a power that we need.\I'm having trouble swallowing that.\I'm telling you, I saw her myself!\She's an ultra-hot redhead!\Liar. response:	The only ultra-hot girl recluses are the two-dimensional kind.
context: Oh. You're right.\For now, all we can do is fight.\It may be a curse, but it's also a power that we need.\I'm having trouble swallowing that.\I'm telling you, I saw her myself!\She's an ultra-hot redhead!\Liar.\The only ultra-hot girl recluses are the two-dimensional kind. response:	Not this one, guys!
context: For now, all we can do is fight.\It may be a curse, but it's also a power that we need.\I'm having trouble swallowing that.\I'm telling you, I saw her myself!\She's an ultra-hot redhead!\Liar.\The only ultra-hot girl recluses are the two-dimensional kind.\Not this one, guys! response:	Akira Renbokoji.
context: It may be a curse, but it's also a power that we need.\I'm having trouble swallowing that.\I'm telling you, I saw her myself!\She's an ultra-hot redhead!\Liar.\The only ultra-hot girl recluses are the two-dimensional kind.\Not this one, guys!\Akira Renbokoji. response:	Isn't the fact that Unit 6's pilot is the
context: I'm having trouble swallowing that.\I'm telling you, I saw her myself!\She's an ultra-hot redhead!\Liar.\The only ultra-hot girl recluses are the two-dimensional kind.\Not this one, guys!\Akira Renbokoji.\Isn't the fact that Unit 6's pilot is the response:	legendary Little Witch like something out of a dream?
context: I'm telling you, I saw her myself!\She's an ultra-hot redhead!\Liar.\The only ultra-hot girl recluses are the two-dimensional kind.\Not this one, guys!\Akira Renbokoji.\Isn't the fact that Unit 6's pilot is the\legendary Little Witch like something out of a dream? response:	If she's cute.
context: She's an ultra-hot redhead!\Liar.\The only ultra-hot girl recluses are the two-dimensional kind.\Not this one, guys!\Akira Renbokoji.\Isn't the fact that Unit 6's pilot is the\legendary Little Witch like something out of a dream?\If she's cute. response:	Do you think that legend is true?
context: Liar.\The only ultra-hot girl recluses are the two-dimensional kind.\Not this one, guys!\Akira Renbokoji.\Isn't the fact that Unit 6's pilot is the\legendary Little Witch like something out of a dream?\If she's cute.\Do you think that legend is true? response:	That she hacked the entrance exam to
context: The only ultra-hot girl recluses are the two-dimensional kind.\Not this one, guys!\Akira Renbokoji.\Isn't the fact that Unit 6's pilot is the\legendary Little Witch like something out of a dream?\If she's cute.\Do you think that legend is true?\That she hacked the entrance exam to response:	the national university's high school affiliate?
context: Not this one, guys!\Akira Renbokoji.\Isn't the fact that Unit 6's pilot is the\legendary Little Witch like something out of a dream?\If she's cute.\Do you think that legend is true?\That she hacked the entrance exam to\the national university's high school affiliate? response:	We're not talking about some S-class security level here.
context: Akira Renbokoji.\Isn't the fact that Unit 6's pilot is the\legendary Little Witch like something out of a dream?\If she's cute.\Do you think that legend is true?\That she hacked the entrance exam to\the national university's high school affiliate?\We're not talking about some S-class security level here. response:	If she really did that, she'd be a god.
context: Isn't the fact that Unit 6's pilot is the\legendary Little Witch like something out of a dream?\If she's cute.\Do you think that legend is true?\That she hacked the entrance exam to\the national university's high school affiliate?\We're not talking about some S-class security level here.\If she really did that, she'd be a god. response:	I guess that was the cause...
context: legendary Little Witch like something out of a dream?\If she's cute.\Do you think that legend is true?\That she hacked the entrance exam to\the national university's high school affiliate?\We're not talking about some S-class security level here.\If she really did that, she'd be a god.\I guess that was the cause... response:	Ah, the bullying.
context: If she's cute.\Do you think that legend is true?\That she hacked the entrance exam to\the national university's high school affiliate?\We're not talking about some S-class security level here.\If she really did that, she'd be a god.\I guess that was the cause...\Ah, the bullying. response:	Is that true, too?
context: Do you think that legend is true?\That she hacked the entrance exam to\the national university's high school affiliate?\We're not talking about some S-class security level here.\If she really did that, she'd be a god.\I guess that was the cause...\Ah, the bullying.\Is that true, too? response:	I can't believe that hacker was your little sister.
context: That she hacked the entrance exam to\the national university's high school affiliate?\We're not talking about some S-class security level here.\If she really did that, she'd be a god.\I guess that was the cause...\Ah, the bullying.\Is that true, too?\I can't believe that hacker was your little sister. response:	Why do you coddle her so much?
context: the national university's high school affiliate?\We're not talking about some S-class security level here.\If she really did that, she'd be a god.\I guess that was the cause...\Ah, the bullying.\Is that true, too?\I can't believe that hacker was your little sister.\Why do you coddle her so much? response:	Her own actions led her to be
context: We're not talking about some S-class security level here.\If she really did that, she'd be a god.\I guess that was the cause...\Ah, the bullying.\Is that true, too?\I can't believe that hacker was your little sister.\Why do you coddle her so much?\Her own actions led her to be response:	bullied and become a recluse,
context: If she really did that, she'd be a god.\I guess that was the cause...\Ah, the bullying.\Is that true, too?\I can't believe that hacker was your little sister.\Why do you coddle her so much?\Her own actions led her to be\bullied and become a recluse, response:	so she brought it all on herself.
context: I guess that was the cause...\Ah, the bullying.\Is that true, too?\I can't believe that hacker was your little sister.\Why do you coddle her so much?\Her own actions led her to be\bullied and become a recluse,\so she brought it all on herself. response:	What do you know about it?!
context: Ah, the bullying.\Is that true, too?\I can't believe that hacker was your little sister.\Why do you coddle her so much?\Her own actions led her to be\bullied and become a recluse,\so she brought it all on herself.\What do you know about it?! response:	I'm sorry.
context: Is that true, too?\I can't believe that hacker was your little sister.\Why do you coddle her so much?\Her own actions led her to be\bullied and become a recluse,\so she brought it all on herself.\What do you know about it?!\I'm sorry. response:	Satomi! Satomi!
context: I can't believe that hacker was your little sister.\Why do you coddle her so much?\Her own actions led her to be\bullied and become a recluse,\so she brought it all on herself.\What do you know about it?!\I'm sorry.\Satomi! Satomi! response:	Everybody tells me that my food doesn't
context: Why do you coddle her so much?\Her own actions led her to be\bullied and become a recluse,\so she brought it all on herself.\What do you know about it?!\I'm sorry.\Satomi! Satomi!\Everybody tells me that my food doesn't response:	look very appetizing, but trust me, it's delicious!
context: Her own actions led her to be\bullied and become a recluse,\so she brought it all on herself.\What do you know about it?!\I'm sorry.\Satomi! Satomi!\Everybody tells me that my food doesn't\look very appetizing, but trust me, it's delicious! response:	But putting soy-pickled vegetables on wafers is a bit strange.
context: bullied and become a recluse,\so she brought it all on herself.\What do you know about it?!\I'm sorry.\Satomi! Satomi!\Everybody tells me that my food doesn't\look very appetizing, but trust me, it's delicious!\But putting soy-pickled vegetables on wafers is a bit strange. response:	Trust me, it's delicious!
context: so she brought it all on herself.\What do you know about it?!\I'm sorry.\Satomi! Satomi!\Everybody tells me that my food doesn't\look very appetizing, but trust me, it's delicious!\But putting soy-pickled vegetables on wafers is a bit strange.\Trust me, it's delicious! response:	Take my word for it and give it a try!
context: What do you know about it?!\I'm sorry.\Satomi! Satomi!\Everybody tells me that my food doesn't\look very appetizing, but trust me, it's delicious!\But putting soy-pickled vegetables on wafers is a bit strange.\Trust me, it's delicious!\Take my word for it and give it a try! response:	There's all kinds of pickled vegetables,
context: I'm sorry.\Satomi! Satomi!\Everybody tells me that my food doesn't\look very appetizing, but trust me, it's delicious!\But putting soy-pickled vegetables on wafers is a bit strange.\Trust me, it's delicious!\Take my word for it and give it a try!\There's all kinds of pickled vegetables, response:	but the ones I recommend are the traditional JIOR Kurumaya recipe!
context: Satomi! Satomi!\Everybody tells me that my food doesn't\look very appetizing, but trust me, it's delicious!\But putting soy-pickled vegetables on wafers is a bit strange.\Trust me, it's delicious!\Take my word for it and give it a try!\There's all kinds of pickled vegetables,\but the ones I recommend are the traditional JIOR Kurumaya recipe! response:	They're a thing of beauty!
context: Everybody tells me that my food doesn't\look very appetizing, but trust me, it's delicious!\But putting soy-pickled vegetables on wafers is a bit strange.\Trust me, it's delicious!\Take my word for it and give it a try!\There's all kinds of pickled vegetables,\but the ones I recommend are the traditional JIOR Kurumaya recipe!\They're a thing of beauty! response:	They're great with dinner, but they're so good
context: look very appetizing, but trust me, it's delicious!\But putting soy-pickled vegetables on wafers is a bit strange.\Trust me, it's delicious!\Take my word for it and give it a try!\There's all kinds of pickled vegetables,\but the ones I recommend are the traditional JIOR Kurumaya recipe!\They're a thing of beauty!\They're great with dinner, but they're so good response:	that I figured they could be used with snacks!
context: But putting soy-pickled vegetables on wafers is a bit strange.\Trust me, it's delicious!\Take my word for it and give it a try!\There's all kinds of pickled vegetables,\but the ones I recommend are the traditional JIOR Kurumaya recipe!\They're a thing of beauty!\They're great with dinner, but they're so good\that I figured they could be used with snacks! response:	Ow!
context: Trust me, it's delicious!\Take my word for it and give it a try!\There's all kinds of pickled vegetables,\but the ones I recommend are the traditional JIOR Kurumaya recipe!\They're a thing of beauty!\They're great with dinner, but they're so good\that I figured they could be used with snacks!\Ow! response:	W-Where am I?
context: Take my word for it and give it a try!\There's all kinds of pickled vegetables,\but the ones I recommend are the traditional JIOR Kurumaya recipe!\They're a thing of beauty!\They're great with dinner, but they're so good\that I figured they could be used with snacks!\Ow!\W-Where am I? response:	Caught you.
context: There's all kinds of pickled vegetables,\but the ones I recommend are the traditional JIOR Kurumaya recipe!\They're a thing of beauty!\They're great with dinner, but they're so good\that I figured they could be used with snacks!\Ow!\W-Where am I?\Caught you. response:	Want one?
context: but the ones I recommend are the traditional JIOR Kurumaya recipe!\They're a thing of beauty!\They're great with dinner, but they're so good\that I figured they could be used with snacks!\Ow!\W-Where am I?\Caught you.\Want one? response:	They're awesome with picked veggies on them.
context: They're a thing of beauty!\They're great with dinner, but they're so good\that I figured they could be used with snacks!\Ow!\W-Where am I?\Caught you.\Want one?\They're awesome with picked veggies on them. response:	Shoko asked me to look out for you.
context: They're great with dinner, but they're so good\that I figured they could be used with snacks!\Ow!\W-Where am I?\Caught you.\Want one?\They're awesome with picked veggies on them.\Shoko asked me to look out for you. response:	She said you're a good person, but not used to people.
context: that I figured they could be used with snacks!\Ow!\W-Where am I?\Caught you.\Want one?\They're awesome with picked veggies on them.\Shoko asked me to look out for you.\She said you're a good person, but not used to people. response:	S-Shoko-chan did?
context: Ow!\W-Where am I?\Caught you.\Want one?\They're awesome with picked veggies on them.\Shoko asked me to look out for you.\She said you're a good person, but not used to people.\S-Shoko-chan did? response:	You're friends with Shoko, right?
context: W-Where am I?\Caught you.\Want one?\They're awesome with picked veggies on them.\Shoko asked me to look out for you.\She said you're a good person, but not used to people.\S-Shoko-chan did?\You're friends with Shoko, right? response:	That makes you friends with me, then.
context: Caught you.\Want one?\They're awesome with picked veggies on them.\Shoko asked me to look out for you.\She said you're a good person, but not used to people.\S-Shoko-chan did?\You're friends with Shoko, right?\That makes you friends with me, then. response:	The friend of my friend is my friend.
context: Want one?\They're awesome with picked veggies on them.\Shoko asked me to look out for you.\She said you're a good person, but not used to people.\S-Shoko-chan did?\You're friends with Shoko, right?\That makes you friends with me, then.\The friend of my friend is my friend. response:	I bet that's what Shoko would say.
context: They're awesome with picked veggies on them.\Shoko asked me to look out for you.\She said you're a good person, but not used to people.\S-Shoko-chan did?\You're friends with Shoko, right?\That makes you friends with me, then.\The friend of my friend is my friend.\I bet that's what Shoko would say. response:	F-Friends...
context: Shoko asked me to look out for you.\She said you're a good person, but not used to people.\S-Shoko-chan did?\You're friends with Shoko, right?\That makes you friends with me, then.\The friend of my friend is my friend.\I bet that's what Shoko would say.\F-Friends... response:	Yep. Friends.
context: She said you're a good person, but not used to people.\S-Shoko-chan did?\You're friends with Shoko, right?\That makes you friends with me, then.\The friend of my friend is my friend.\I bet that's what Shoko would say.\F-Friends...\Yep. Friends. response:	Satomi Renbokoji
context: S-Shoko-chan did?\You're friends with Shoko, right?\That makes you friends with me, then.\The friend of my friend is my friend.\I bet that's what Shoko would say.\F-Friends...\Yep. Friends.\Satomi Renbokoji response:	You hate your brother?
context: You're friends with Shoko, right?\That makes you friends with me, then.\The friend of my friend is my friend.\I bet that's what Shoko would say.\F-Friends...\Yep. Friends.\Satomi Renbokoji\You hate your brother? response:	H-He never tried to help me then, so why try to now?
context: That makes you friends with me, then.\The friend of my friend is my friend.\I bet that's what Shoko would say.\F-Friends...\Yep. Friends.\Satomi Renbokoji\You hate your brother?\H-He never tried to help me then, so why try to now? response:	T-That family stuff. Self-serving crap.
context: The friend of my friend is my friend.\I bet that's what Shoko would say.\F-Friends...\Yep. Friends.\Satomi Renbokoji\You hate your brother?\H-He never tried to help me then, so why try to now?\T-That family stuff. Self-serving crap. response:	Hate it. Nothing but bad memories.
context: I bet that's what Shoko would say.\F-Friends...\Yep. Friends.\Satomi Renbokoji\You hate your brother?\H-He never tried to help me then, so why try to now?\T-That family stuff. Self-serving crap.\Hate it. Nothing but bad memories. response:	Memories... Just be happy you have some.
context: F-Friends...\Yep. Friends.\Satomi Renbokoji\You hate your brother?\H-He never tried to help me then, so why try to now?\T-That family stuff. Self-serving crap.\Hate it. Nothing but bad memories.\Memories... Just be happy you have some. response:	If you don't have any, you can't even be sad.
context: Yep. Friends.\Satomi Renbokoji\You hate your brother?\H-He never tried to help me then, so why try to now?\T-That family stuff. Self-serving crap.\Hate it. Nothing but bad memories.\Memories... Just be happy you have some.\If you don't have any, you can't even be sad. response:	Yours are bigger.
context: Satomi Renbokoji\You hate your brother?\H-He never tried to help me then, so why try to now?\T-That family stuff. Self-serving crap.\Hate it. Nothing but bad memories.\Memories... Just be happy you have some.\If you don't have any, you can't even be sad.\Yours are bigger. response:	When we reach JIOR... reach Earth,
context: You hate your brother?\H-He never tried to help me then, so why try to now?\T-That family stuff. Self-serving crap.\Hate it. Nothing but bad memories.\Memories... Just be happy you have some.\If you don't have any, you can't even be sad.\Yours are bigger.\When we reach JIOR... reach Earth, response:	will I be able to remember anything?
context: H-He never tried to help me then, so why try to now?\T-That family stuff. Self-serving crap.\Hate it. Nothing but bad memories.\Memories... Just be happy you have some.\If you don't have any, you can't even be sad.\Yours are bigger.\When we reach JIOR... reach Earth,\will I be able to remember anything? response:	You're pretty as a picture, Highness!
context: T-That family stuff. Self-serving crap.\Hate it. Nothing but bad memories.\Memories... Just be happy you have some.\If you don't have any, you can't even be sad.\Yours are bigger.\When we reach JIOR... reach Earth,\will I be able to remember anything?\You're pretty as a picture, Highness! response:	Why don't you get a little exercise yourself, Q-vier?
context: Hate it. Nothing but bad memories.\Memories... Just be happy you have some.\If you don't have any, you can't even be sad.\Yours are bigger.\When we reach JIOR... reach Earth,\will I be able to remember anything?\You're pretty as a picture, Highness!\Why don't you get a little exercise yourself, Q-vier? response:	Thanks, but I'll pass!
context: Memories... Just be happy you have some.\If you don't have any, you can't even be sad.\Yours are bigger.\When we reach JIOR... reach Earth,\will I be able to remember anything?\You're pretty as a picture, Highness!\Why don't you get a little exercise yourself, Q-vier?\Thanks, but I'll pass! response:	Where did H-neun go?
context: If you don't have any, you can't even be sad.\Yours are bigger.\When we reach JIOR... reach Earth,\will I be able to remember anything?\You're pretty as a picture, Highness!\Why don't you get a little exercise yourself, Q-vier?\Thanks, but I'll pass!\Where did H-neun go? response:	He's been playing hooky all day!
context: Yours are bigger.\When we reach JIOR... reach Earth,\will I be able to remember anything?\You're pretty as a picture, Highness!\Why don't you get a little exercise yourself, Q-vier?\Thanks, but I'll pass!\Where did H-neun go?\He's been playing hooky all day! response:	He's this total straight-arrow with bobbed hair.
context: When we reach JIOR... reach Earth,\will I be able to remember anything?\You're pretty as a picture, Highness!\Why don't you get a little exercise yourself, Q-vier?\Thanks, but I'll pass!\Where did H-neun go?\He's been playing hooky all day!\He's this total straight-arrow with bobbed hair. response:	That guy is so uptight!
