context: Fireworks Festival response:	Good morning.
context: Seems like Hishiro-san's starting to change, too.\Morning, Arata-kun!\An! Jeez!\Morning, Hishiro-san!\Good morning, four-eyed braid girl.\I have a name. It's Onoya An.\Remember it already, Hishiro Chizuru-san.\It is far too early to be that hyper. response:	I have low blood pressure, so honestly, I envy you.
context: Morning, Arata-kun!\An! Jeez!\Morning, Hishiro-san!\Good morning, four-eyed braid girl.\I have a name. It's Onoya An.\Remember it already, Hishiro Chizuru-san.\It is far too early to be that hyper.\I have low blood pressure, so honestly, I envy you. response:	Whoa, even Hishiro-san gets jealous sometimes!
context: An! Jeez!\Morning, Hishiro-san!\Good morning, four-eyed braid girl.\I have a name. It's Onoya An.\Remember it already, Hishiro Chizuru-san.\It is far too early to be that hyper.\I have low blood pressure, so honestly, I envy you.\Whoa, even Hishiro-san gets jealous sometimes! response:	But is that really caused by low blood pressure?
context: Morning, Hishiro-san!\Good morning, four-eyed braid girl.\I have a name. It's Onoya An.\Remember it already, Hishiro Chizuru-san.\It is far too early to be that hyper.\I have low blood pressure, so honestly, I envy you.\Whoa, even Hishiro-san gets jealous sometimes!\But is that really caused by low blood pressure? response:	Onoya-san! Good morning!
context: Good morning, four-eyed braid girl.\I have a name. It's Onoya An.\Remember it already, Hishiro Chizuru-san.\It is far too early to be that hyper.\I have low blood pressure, so honestly, I envy you.\Whoa, even Hishiro-san gets jealous sometimes!\But is that really caused by low blood pressure?\Onoya-san! Good morning! response:	Got a minute?
context: I have a name. It's Onoya An.\Remember it already, Hishiro Chizuru-san.\It is far too early to be that hyper.\I have low blood pressure, so honestly, I envy you.\Whoa, even Hishiro-san gets jealous sometimes!\But is that really caused by low blood pressure?\Onoya-san! Good morning!\Got a minute? response:	What? Hey!
context: Remember it already, Hishiro Chizuru-san.\It is far too early to be that hyper.\I have low blood pressure, so honestly, I envy you.\Whoa, even Hishiro-san gets jealous sometimes!\But is that really caused by low blood pressure?\Onoya-san! Good morning!\Got a minute?\What? Hey! response:	Sorry, Hishiro-san!
context: It is far too early to be that hyper.\I have low blood pressure, so honestly, I envy you.\Whoa, even Hishiro-san gets jealous sometimes!\But is that really caused by low blood pressure?\Onoya-san! Good morning!\Got a minute?\What? Hey!\Sorry, Hishiro-san! response:	For the loud interruption.
context: I have low blood pressure, so honestly, I envy you.\Whoa, even Hishiro-san gets jealous sometimes!\But is that really caused by low blood pressure?\Onoya-san! Good morning!\Got a minute?\What? Hey!\Sorry, Hishiro-san!\For the loud interruption. response:	I'm gonna borrow her for a minute!
context: Whoa, even Hishiro-san gets jealous sometimes!\But is that really caused by low blood pressure?\Onoya-san! Good morning!\Got a minute?\What? Hey!\Sorry, Hishiro-san!\For the loud interruption.\I'm gonna borrow her for a minute! response:	Okay...
context: But is that really caused by low blood pressure?\Onoya-san! Good morning!\Got a minute?\What? Hey!\Sorry, Hishiro-san!\For the loud interruption.\I'm gonna borrow her for a minute!\Okay... response:	O-Ow! That hurts!
context: Onoya-san! Good morning!\Got a minute?\What? Hey!\Sorry, Hishiro-san!\For the loud interruption.\I'm gonna borrow her for a minute!\Okay...\O-Ow! That hurts! response:	Let go!
context: Got a minute?\What? Hey!\Sorry, Hishiro-san!\For the loud interruption.\I'm gonna borrow her for a minute!\Okay...\O-Ow! That hurts!\Let go! response:	I think that's the first time I've seen you talking to Yoake-kun.
context: What? Hey!\Sorry, Hishiro-san!\For the loud interruption.\I'm gonna borrow her for a minute!\Okay...\O-Ow! That hurts!\Let go!\I think that's the first time I've seen you talking to Yoake-kun. response:	You know each other?
context: Sorry, Hishiro-san!\For the loud interruption.\I'm gonna borrow her for a minute!\Okay...\O-Ow! That hurts!\Let go!\I think that's the first time I've seen you talking to Yoake-kun.\You know each other? response:	Ryo was in my class last year.
context: For the loud interruption.\I'm gonna borrow her for a minute!\Okay...\O-Ow! That hurts!\Let go!\I think that's the first time I've seen you talking to Yoake-kun.\You know each other?\Ryo was in my class last year. response:	Ryo?
context: I'm gonna borrow her for a minute!\Okay...\O-Ow! That hurts!\Let go!\I think that's the first time I've seen you talking to Yoake-kun.\You know each other?\Ryo was in my class last year.\Ryo? response:	W-Wait, you call Yoake-kun Ryo?
context: Okay...\O-Ow! That hurts!\Let go!\I think that's the first time I've seen you talking to Yoake-kun.\You know each other?\Ryo was in my class last year.\Ryo?\W-Wait, you call Yoake-kun Ryo? response:	Yes.
context: O-Ow! That hurts!\Let go!\I think that's the first time I've seen you talking to Yoake-kun.\You know each other?\Ryo was in my class last year.\Ryo?\W-Wait, you call Yoake-kun Ryo?\Yes. response:	He asked me to.
context: Let go!\I think that's the first time I've seen you talking to Yoake-kun.\You know each other?\Ryo was in my class last year.\Ryo?\W-Wait, you call Yoake-kun Ryo?\Yes.\He asked me to. response:	You're pretty close, huh?
context: I think that's the first time I've seen you talking to Yoake-kun.\You know each other?\Ryo was in my class last year.\Ryo?\W-Wait, you call Yoake-kun Ryo?\Yes.\He asked me to.\You're pretty close, huh? response:	Are we?
context: You know each other?\Ryo was in my class last year.\Ryo?\W-Wait, you call Yoake-kun Ryo?\Yes.\He asked me to.\You're pretty close, huh?\Are we? response:	Wait. Don't jump to conclusions.
context: Ryo was in my class last year.\Ryo?\W-Wait, you call Yoake-kun Ryo?\Yes.\He asked me to.\You're pretty close, huh?\Are we?\Wait. Don't jump to conclusions. response:	She calls Oga Kazu-kun like he told her to.
context: Ryo?\W-Wait, you call Yoake-kun Ryo?\Yes.\He asked me to.\You're pretty close, huh?\Are we?\Wait. Don't jump to conclusions.\She calls Oga Kazu-kun like he told her to. response:	But...
context: W-Wait, you call Yoake-kun Ryo?\Yes.\He asked me to.\You're pretty close, huh?\Are we?\Wait. Don't jump to conclusions.\She calls Oga Kazu-kun like he told her to.\But... response:	Ryo
context: Yes.\He asked me to.\You're pretty close, huh?\Are we?\Wait. Don't jump to conclusions.\She calls Oga Kazu-kun like he told her to.\But...\Ryo response:	Kazu-kun
context: He asked me to.\You're pretty close, huh?\Are we?\Wait. Don't jump to conclusions.\She calls Oga Kazu-kun like he told her to.\But...\Ryo\Kazu-kun response:	What's with this difference?
context: You're pretty close, huh?\Are we?\Wait. Don't jump to conclusions.\She calls Oga Kazu-kun like he told her to.\But...\Ryo\Kazu-kun\What's with this difference? response:	Kaizaki-san
context: Are we?\Wait. Don't jump to conclusions.\She calls Oga Kazu-kun like he told her to.\But...\Ryo\Kazu-kun\What's with this difference?\Kaizaki-san response:	I can't accept this!
context: Wait. Don't jump to conclusions.\She calls Oga Kazu-kun like he told her to.\But...\Ryo\Kazu-kun\What's with this difference?\Kaizaki-san\I can't accept this! response:	Th-Then call me Arata
context: She calls Oga Kazu-kun like he told her to.\But...\Ryo\Kazu-kun\What's with this difference?\Kaizaki-san\I can't accept this!\Th-Then call me Arata response:	Sorry. Never mind.
context: But...\Ryo\Kazu-kun\What's with this difference?\Kaizaki-san\I can't accept this!\Th-Then call me Arata\Sorry. Never mind. response:	Why?
context: Ryo\Kazu-kun\What's with this difference?\Kaizaki-san\I can't accept this!\Th-Then call me Arata\Sorry. Never mind.\Why? response:	It's just a name.
context: Kazu-kun\What's with this difference?\Kaizaki-san\I can't accept this!\Th-Then call me Arata\Sorry. Never mind.\Why?\It's just a name. response:	Double Panic
context: What's with this difference?\Kaizaki-san\I can't accept this!\Th-Then call me Arata\Sorry. Never mind.\Why?\It's just a name.\Double Panic response:	How old am I?
context: Kaizaki-san\I can't accept this!\Th-Then call me Arata\Sorry. Never mind.\Why?\It's just a name.\Double Panic\How old am I? response:	Summer vacation!
context: I can't accept this!\Th-Then call me Arata\Sorry. Never mind.\Why?\It's just a name.\Double Panic\How old am I?\Summer vacation! response:	You look super happy.
context: Th-Then call me Arata\Sorry. Never mind.\Why?\It's just a name.\Double Panic\How old am I?\Summer vacation!\You look super happy. response:	Damn straight I am!
context: Sorry. Never mind.\Why?\It's just a name.\Double Panic\How old am I?\Summer vacation!\You look super happy.\Damn straight I am! response:	These long vacations are to be treasured!
context: Why?\It's just a name.\Double Panic\How old am I?\Summer vacation!\You look super happy.\Damn straight I am!\These long vacations are to be treasured! response:	Do you even get that, young students?
context: It's just a name.\Double Panic\How old am I?\Summer vacation!\You look super happy.\Damn straight I am!\These long vacations are to be treasured!\Do you even get that, young students? response:	Oh yeah, Arata. You had to take make-ups after the finals, too.
context: Double Panic\How old am I?\Summer vacation!\You look super happy.\Damn straight I am!\These long vacations are to be treasured!\Do you even get that, young students?\Oh yeah, Arata. You had to take make-ups after the finals, too. response:	Have you passed them yet?
context: How old am I?\Summer vacation!\You look super happy.\Damn straight I am!\These long vacations are to be treasured!\Do you even get that, young students?\Oh yeah, Arata. You had to take make-ups after the finals, too.\Have you passed them yet? response:	Huh?
context: Summer vacation!\You look super happy.\Damn straight I am!\These long vacations are to be treasured!\Do you even get that, young students?\Oh yeah, Arata. You had to take make-ups after the finals, too.\Have you passed them yet?\Huh? response:	No, not yet.
context: You look super happy.\Damn straight I am!\These long vacations are to be treasured!\Do you even get that, young students?\Oh yeah, Arata. You had to take make-ups after the finals, too.\Have you passed them yet?\Huh?\No, not yet. response:	Then you'll be doing make-ups during summer vacation, too.
context: Damn straight I am!\These long vacations are to be treasured!\Do you even get that, young students?\Oh yeah, Arata. You had to take make-ups after the finals, too.\Have you passed them yet?\Huh?\No, not yet.\Then you'll be doing make-ups during summer vacation, too. response:	Even during summer vacation?!
context: These long vacations are to be treasured!\Do you even get that, young students?\Oh yeah, Arata. You had to take make-ups after the finals, too.\Have you passed them yet?\Huh?\No, not yet.\Then you'll be doing make-ups during summer vacation, too.\Even during summer vacation?! response:	So I hear.
context: Do you even get that, young students?\Oh yeah, Arata. You had to take make-ups after the finals, too.\Have you passed them yet?\Huh?\No, not yet.\Then you'll be doing make-ups during summer vacation, too.\Even during summer vacation?!\So I hear. response:	I've never had to take one myself.
context: Oh yeah, Arata. You had to take make-ups after the finals, too.\Have you passed them yet?\Huh?\No, not yet.\Then you'll be doing make-ups during summer vacation, too.\Even during summer vacation?!\So I hear.\I've never had to take one myself. response:	But I've been taking make-ups the entire first term...
context: Have you passed them yet?\Huh?\No, not yet.\Then you'll be doing make-ups during summer vacation, too.\Even during summer vacation?!\So I hear.\I've never had to take one myself.\But I've been taking make-ups the entire first term... response:	You reap what you sow.
context: Huh?\No, not yet.\Then you'll be doing make-ups during summer vacation, too.\Even during summer vacation?!\So I hear.\I've never had to take one myself.\But I've been taking make-ups the entire first term...\You reap what you sow. response:	I'll be coming to prep for entrance exams.
context: No, not yet.\Then you'll be doing make-ups during summer vacation, too.\Even during summer vacation?!\So I hear.\I've never had to take one myself.\But I've been taking make-ups the entire first term...\You reap what you sow.\I'll be coming to prep for entrance exams. response:	Let's eat lunch together.
context: Then you'll be doing make-ups during summer vacation, too.\Even during summer vacation?!\So I hear.\I've never had to take one myself.\But I've been taking make-ups the entire first term...\You reap what you sow.\I'll be coming to prep for entrance exams.\Let's eat lunch together. response:	Entrance exams?
context: Even during summer vacation?!\So I hear.\I've never had to take one myself.\But I've been taking make-ups the entire first term...\You reap what you sow.\I'll be coming to prep for entrance exams.\Let's eat lunch together.\Entrance exams? response:	Oga, you're going to some other college?
context: So I hear.\I've never had to take one myself.\But I've been taking make-ups the entire first term...\You reap what you sow.\I'll be coming to prep for entrance exams.\Let's eat lunch together.\Entrance exams?\Oga, you're going to some other college? response:	Hmm...
context: I've never had to take one myself.\But I've been taking make-ups the entire first term...\You reap what you sow.\I'll be coming to prep for entrance exams.\Let's eat lunch together.\Entrance exams?\Oga, you're going to some other college?\Hmm... response:	I'm still considering just going on to Aoba University,
context: But I've been taking make-ups the entire first term...\You reap what you sow.\I'll be coming to prep for entrance exams.\Let's eat lunch together.\Entrance exams?\Oga, you're going to some other college?\Hmm...\I'm still considering just going on to Aoba University, response:	but I'd like to keep my options open,
context: You reap what you sow.\I'll be coming to prep for entrance exams.\Let's eat lunch together.\Entrance exams?\Oga, you're going to some other college?\Hmm...\I'm still considering just going on to Aoba University,\but I'd like to keep my options open, response:	so I'm gonna take the Center Exam Prep Course.
context: I'll be coming to prep for entrance exams.\Let's eat lunch together.\Entrance exams?\Oga, you're going to some other college?\Hmm...\I'm still considering just going on to Aoba University,\but I'd like to keep my options open,\so I'm gonna take the Center Exam Prep Course. response:	Oh, I see...
context: Let's eat lunch together.\Entrance exams?\Oga, you're going to some other college?\Hmm...\I'm still considering just going on to Aoba University,\but I'd like to keep my options open,\so I'm gonna take the Center Exam Prep Course.\Oh, I see... response:	Okay, homeroom's starting.
context: Entrance exams?\Oga, you're going to some other college?\Hmm...\I'm still considering just going on to Aoba University,\but I'd like to keep my options open,\so I'm gonna take the Center Exam Prep Course.\Oh, I see...\Okay, homeroom's starting. response:	Oga-kun, Hishiro-san.
context: Oga, you're going to some other college?\Hmm...\I'm still considering just going on to Aoba University,\but I'd like to keep my options open,\so I'm gonna take the Center Exam Prep Course.\Oh, I see...\Okay, homeroom's starting.\Oga-kun, Hishiro-san. response:	A big hand for our first-term class reps.
context: Hmm...\I'm still considering just going on to Aoba University,\but I'd like to keep my options open,\so I'm gonna take the Center Exam Prep Course.\Oh, I see...\Okay, homeroom's starting.\Oga-kun, Hishiro-san.\A big hand for our first-term class reps. response:	Oh.
context: I'm still considering just going on to Aoba University,\but I'd like to keep my options open,\so I'm gonna take the Center Exam Prep Course.\Oh, I see...\Okay, homeroom's starting.\Oga-kun, Hishiro-san.\A big hand for our first-term class reps.\Oh. response:	Yoake-san mentioned this high school was affiliated to a college.
context: but I'd like to keep my options open,\so I'm gonna take the Center Exam Prep Course.\Oh, I see...\Okay, homeroom's starting.\Oga-kun, Hishiro-san.\A big hand for our first-term class reps.\Oh.\Yoake-san mentioned this high school was affiliated to a college. response:	Guess most of them go there.
context: so I'm gonna take the Center Exam Prep Course.\Oh, I see...\Okay, homeroom's starting.\Oga-kun, Hishiro-san.\A big hand for our first-term class reps.\Oh.\Yoake-san mentioned this high school was affiliated to a college.\Guess most of them go there. response:	Lucky them.
context: Oh, I see...\Okay, homeroom's starting.\Oga-kun, Hishiro-san.\A big hand for our first-term class reps.\Oh.\Yoake-san mentioned this high school was affiliated to a college.\Guess most of them go there.\Lucky them. response:	They get to be together in college, too.
context: Okay, homeroom's starting.\Oga-kun, Hishiro-san.\A big hand for our first-term class reps.\Oh.\Yoake-san mentioned this high school was affiliated to a college.\Guess most of them go there.\Lucky them.\They get to be together in college, too. response:	Lucky them? Come on.
context: Oga-kun, Hishiro-san.\A big hand for our first-term class reps.\Oh.\Yoake-san mentioned this high school was affiliated to a college.\Guess most of them go there.\Lucky them.\They get to be together in college, too.\Lucky them? Come on. response:	It has nothing to do with me.
context: A big hand for our first-term class reps.\Oh.\Yoake-san mentioned this high school was affiliated to a college.\Guess most of them go there.\Lucky them.\They get to be together in college, too.\Lucky them? Come on.\It has nothing to do with me. response:	So, to celebrate successfully surviving the first term...
context: Oh.\Yoake-san mentioned this high school was affiliated to a college.\Guess most of them go there.\Lucky them.\They get to be together in college, too.\Lucky them? Come on.\It has nothing to do with me.\So, to celebrate successfully surviving the first term... response:	Cheers!
context: Yoake-san mentioned this high school was affiliated to a college.\Guess most of them go there.\Lucky them.\They get to be together in college, too.\Lucky them? Come on.\It has nothing to do with me.\So, to celebrate successfully surviving the first term...\Cheers! response:	Cheers!
context: Guess most of them go there.\Lucky them.\They get to be together in college, too.\Lucky them? Come on.\It has nothing to do with me.\So, to celebrate successfully surviving the first term...\Cheers!\Cheers! response:	Again, how come we always have to drink at my place?
context: Lucky them.\They get to be together in college, too.\Lucky them? Come on.\It has nothing to do with me.\So, to celebrate successfully surviving the first term...\Cheers!\Cheers!\Again, how come we always have to drink at my place? response:	Well, looking like this, we can't go out to drink.
context: They get to be together in college, too.\Lucky them? Come on.\It has nothing to do with me.\So, to celebrate successfully surviving the first term...\Cheers!\Cheers!\Again, how come we always have to drink at my place?\Well, looking like this, we can't go out to drink. response:	Can't even buy booze!
context: Lucky them? Come on.\It has nothing to do with me.\So, to celebrate successfully surviving the first term...\Cheers!\Cheers!\Again, how come we always have to drink at my place?\Well, looking like this, we can't go out to drink.\Can't even buy booze! response:	But here, we can get the lab to deliver it!
context: It has nothing to do with me.\So, to celebrate successfully surviving the first term...\Cheers!\Cheers!\Again, how come we always have to drink at my place?\Well, looking like this, we can't go out to drink.\Can't even buy booze!\But here, we can get the lab to deliver it! response:	And we can expense it all!
context: So, to celebrate successfully surviving the first term...\Cheers!\Cheers!\Again, how come we always have to drink at my place?\Well, looking like this, we can't go out to drink.\Can't even buy booze!\But here, we can get the lab to deliver it!\And we can expense it all! response:	Such horrible grown-ups!
context: Cheers!\Cheers!\Again, how come we always have to drink at my place?\Well, looking like this, we can't go out to drink.\Can't even buy booze!\But here, we can get the lab to deliver it!\And we can expense it all!\Such horrible grown-ups! response:	Oh, sorry.
context: Cheers!\Again, how come we always have to drink at my place?\Well, looking like this, we can't go out to drink.\Can't even buy booze!\But here, we can get the lab to deliver it!\And we can expense it all!\Such horrible grown-ups!\Oh, sorry. response:	We'd like to know your summer vacation plans as soon as possible,
context: Again, how come we always have to drink at my place?\Well, looking like this, we can't go out to drink.\Can't even buy booze!\But here, we can get the lab to deliver it!\And we can expense it all!\Such horrible grown-ups!\Oh, sorry.\We'd like to know your summer vacation plans as soon as possible, response:	but you don't have any, right?
context: Well, looking like this, we can't go out to drink.\Can't even buy booze!\But here, we can get the lab to deliver it!\And we can expense it all!\Such horrible grown-ups!\Oh, sorry.\We'd like to know your summer vacation plans as soon as possible,\but you don't have any, right? response:	You're too busy taking make-ups to even visit your family!
context: Can't even buy booze!\But here, we can get the lab to deliver it!\And we can expense it all!\Such horrible grown-ups!\Oh, sorry.\We'd like to know your summer vacation plans as soon as possible,\but you don't have any, right?\You're too busy taking make-ups to even visit your family! response:	Can you pass before the vacation ends?
context: But here, we can get the lab to deliver it!\And we can expense it all!\Such horrible grown-ups!\Oh, sorry.\We'd like to know your summer vacation plans as soon as possible,\but you don't have any, right?\You're too busy taking make-ups to even visit your family!\Can you pass before the vacation ends? response:	You two...
context: And we can expense it all!\Such horrible grown-ups!\Oh, sorry.\We'd like to know your summer vacation plans as soon as possible,\but you don't have any, right?\You're too busy taking make-ups to even visit your family!\Can you pass before the vacation ends?\You two... response:	Anyway, if you do go anywhere, let us know ahead of time.
context: Such horrible grown-ups!\Oh, sorry.\We'd like to know your summer vacation plans as soon as possible,\but you don't have any, right?\You're too busy taking make-ups to even visit your family!\Can you pass before the vacation ends?\You two...\Anyway, if you do go anywhere, let us know ahead of time. response:	It may be a vacation, but we still have to observe.
context: Oh, sorry.\We'd like to know your summer vacation plans as soon as possible,\but you don't have any, right?\You're too busy taking make-ups to even visit your family!\Can you pass before the vacation ends?\You two...\Anyway, if you do go anywhere, let us know ahead of time.\It may be a vacation, but we still have to observe. response:	I know.
context: We'd like to know your summer vacation plans as soon as possible,\but you don't have any, right?\You're too busy taking make-ups to even visit your family!\Can you pass before the vacation ends?\You two...\Anyway, if you do go anywhere, let us know ahead of time.\It may be a vacation, but we still have to observe.\I know. response:	That said, Onoya and I will be joining in summer school,
context: but you don't have any, right?\You're too busy taking make-ups to even visit your family!\Can you pass before the vacation ends?\You two...\Anyway, if you do go anywhere, let us know ahead of time.\It may be a vacation, but we still have to observe.\I know.\That said, Onoya and I will be joining in summer school, response:	so we'll see you there.
context: You're too busy taking make-ups to even visit your family!\Can you pass before the vacation ends?\You two...\Anyway, if you do go anywhere, let us know ahead of time.\It may be a vacation, but we still have to observe.\I know.\That said, Onoya and I will be joining in summer school,\so we'll see you there. response:	Oh? You will?
context: Can you pass before the vacation ends?\You two...\Anyway, if you do go anywhere, let us know ahead of time.\It may be a vacation, but we still have to observe.\I know.\That said, Onoya and I will be joining in summer school,\so we'll see you there.\Oh? You will? response:	Part of our job is studying furiously
context: You two...\Anyway, if you do go anywhere, let us know ahead of time.\It may be a vacation, but we still have to observe.\I know.\That said, Onoya and I will be joining in summer school,\so we'll see you there.\Oh? You will?\Part of our job is studying furiously response:	so we can convincingly act like students.
context: Anyway, if you do go anywhere, let us know ahead of time.\It may be a vacation, but we still have to observe.\I know.\That said, Onoya and I will be joining in summer school,\so we'll see you there.\Oh? You will?\Part of our job is studying furiously\so we can convincingly act like students. response:	First Oga, now you two.
context: It may be a vacation, but we still have to observe.\I know.\That said, Onoya and I will be joining in summer school,\so we'll see you there.\Oh? You will?\Part of our job is studying furiously\so we can convincingly act like students.\First Oga, now you two. response:	Lots of ways to handle summer vacation.
context: I know.\That said, Onoya and I will be joining in summer school,\so we'll see you there.\Oh? You will?\Part of our job is studying furiously\so we can convincingly act like students.\First Oga, now you two.\Lots of ways to handle summer vacation. response:	Oh, yeah! Speaking of Oga-kun!
context: That said, Onoya and I will be joining in summer school,\so we'll see you there.\Oh? You will?\Part of our job is studying furiously\so we can convincingly act like students.\First Oga, now you two.\Lots of ways to handle summer vacation.\Oh, yeah! Speaking of Oga-kun! response:	He really hasn't noticed, has he?
context: so we'll see you there.\Oh? You will?\Part of our job is studying furiously\so we can convincingly act like students.\First Oga, now you two.\Lots of ways to handle summer vacation.\Oh, yeah! Speaking of Oga-kun!\He really hasn't noticed, has he? response:	How Kariu-san feels.
context: Oh? You will?\Part of our job is studying furiously\so we can convincingly act like students.\First Oga, now you two.\Lots of ways to handle summer vacation.\Oh, yeah! Speaking of Oga-kun!\He really hasn't noticed, has he?\How Kariu-san feels. response:	Apparently not.
context: Part of our job is studying furiously\so we can convincingly act like students.\First Oga, now you two.\Lots of ways to handle summer vacation.\Oh, yeah! Speaking of Oga-kun!\He really hasn't noticed, has he?\How Kariu-san feels.\Apparently not. response:	Unless the rest of us do something,
context: so we can convincingly act like students.\First Oga, now you two.\Lots of ways to handle summer vacation.\Oh, yeah! Speaking of Oga-kun!\He really hasn't noticed, has he?\How Kariu-san feels.\Apparently not.\Unless the rest of us do something, response:	those two will never get anywhere.
context: First Oga, now you two.\Lots of ways to handle summer vacation.\Oh, yeah! Speaking of Oga-kun!\He really hasn't noticed, has he?\How Kariu-san feels.\Apparently not.\Unless the rest of us do something,\those two will never get anywhere. response:	I know!
context: Lots of ways to handle summer vacation.\Oh, yeah! Speaking of Oga-kun!\He really hasn't noticed, has he?\How Kariu-san feels.\Apparently not.\Unless the rest of us do something,\those two will never get anywhere.\I know! response:	We need to make Oga feel some danger, you know?
context: Oh, yeah! Speaking of Oga-kun!\He really hasn't noticed, has he?\How Kariu-san feels.\Apparently not.\Unless the rest of us do something,\those two will never get anywhere.\I know!\We need to make Oga feel some danger, you know? response:	That's it!
context: He really hasn't noticed, has he?\How Kariu-san feels.\Apparently not.\Unless the rest of us do something,\those two will never get anywhere.\I know!\We need to make Oga feel some danger, you know?\That's it! response:	Okay, Senpai, go after Kariu-san!
context: How Kariu-san feels.\Apparently not.\Unless the rest of us do something,\those two will never get anywhere.\I know!\We need to make Oga feel some danger, you know?\That's it!\Okay, Senpai, go after Kariu-san! response:	With your adult charm!
context: Apparently not.\Unless the rest of us do something,\those two will never get anywhere.\I know!\We need to make Oga feel some danger, you know?\That's it!\Okay, Senpai, go after Kariu-san!\With your adult charm! response:	Listen to yourself.
context: Unless the rest of us do something,\those two will never get anywhere.\I know!\We need to make Oga feel some danger, you know?\That's it!\Okay, Senpai, go after Kariu-san!\With your adult charm!\Listen to yourself. response:	If another guy gets close to Kariu-san and tempts her,
context: those two will never get anywhere.\I know!\We need to make Oga feel some danger, you know?\That's it!\Okay, Senpai, go after Kariu-san!\With your adult charm!\Listen to yourself.\If another guy gets close to Kariu-san and tempts her, response:	even Oga would have to feel something!
context: I know!\We need to make Oga feel some danger, you know?\That's it!\Okay, Senpai, go after Kariu-san!\With your adult charm!\Listen to yourself.\If another guy gets close to Kariu-san and tempts her,\even Oga would have to feel something! response:	You know...
context: We need to make Oga feel some danger, you know?\That's it!\Okay, Senpai, go after Kariu-san!\With your adult charm!\Listen to yourself.\If another guy gets close to Kariu-san and tempts her,\even Oga would have to feel something!\You know... response:	Kariu-san is one thing, but how does Oga-kun feel?
context: That's it!\Okay, Senpai, go after Kariu-san!\With your adult charm!\Listen to yourself.\If another guy gets close to Kariu-san and tempts her,\even Oga would have to feel something!\You know...\Kariu-san is one thing, but how does Oga-kun feel? response:	Is this really something we should be getting worked up about?
context: Okay, Senpai, go after Kariu-san!\With your adult charm!\Listen to yourself.\If another guy gets close to Kariu-san and tempts her,\even Oga would have to feel something!\You know...\Kariu-san is one thing, but how does Oga-kun feel?\Is this really something we should be getting worked up about? response:	We're all old enough
