context: This castle was built about 450 years ago. response:	The castle is now a museum,
context: If I live in a place like that, I will become like a princess!\You'd be the last person to do that.\How come?! How do you know something like that?!\In the meantime, a princess doesn't act so impolitely, you know?\You're mean!\Touya. The bathroom is yours.\Okay.\But that must be nice. response:	Tomorrow's a holiday. Let's go somewhere.
context: You'd be the last person to do that.\How come?! How do you know something like that?!\In the meantime, a princess doesn't act so impolitely, you know?\You're mean!\Touya. The bathroom is yours.\Okay.\But that must be nice.\Tomorrow's a holiday. Let's go somewhere. response:	Sakura, are you sure it is okay for me to stop by your house today?
context: How come?! How do you know something like that?!\In the meantime, a princess doesn't act so impolitely, you know?\You're mean!\Touya. The bathroom is yours.\Okay.\But that must be nice.\Tomorrow's a holiday. Let's go somewhere.\Sakura, are you sure it is okay for me to stop by your house today? response:	Yeah, no problem. Come!
context: In the meantime, a princess doesn't act so impolitely, you know?\You're mean!\Touya. The bathroom is yours.\Okay.\But that must be nice.\Tomorrow's a holiday. Let's go somewhere.\Sakura, are you sure it is okay for me to stop by your house today?\Yeah, no problem. Come! response:	Then, I will bring a cake with me.
context: You're mean!\Touya. The bathroom is yours.\Okay.\But that must be nice.\Tomorrow's a holiday. Let's go somewhere.\Sakura, are you sure it is okay for me to stop by your house today?\Yeah, no problem. Come!\Then, I will bring a cake with me. response:	Really? I'm sure Kero will be so happy.
context: Touya. The bathroom is yours.\Okay.\But that must be nice.\Tomorrow's a holiday. Let's go somewhere.\Sakura, are you sure it is okay for me to stop by your house today?\Yeah, no problem. Come!\Then, I will bring a cake with me.\Really? I'm sure Kero will be so happy. response:	Really?
context: Okay.\But that must be nice.\Tomorrow's a holiday. Let's go somewhere.\Sakura, are you sure it is okay for me to stop by your house today?\Yeah, no problem. Come!\Then, I will bring a cake with me.\Really? I'm sure Kero will be so happy.\Really? response:	Because the cakes you make are really delicious.
context: But that must be nice.\Tomorrow's a holiday. Let's go somewhere.\Sakura, are you sure it is okay for me to stop by your house today?\Yeah, no problem. Come!\Then, I will bring a cake with me.\Really? I'm sure Kero will be so happy.\Really?\Because the cakes you make are really delicious. response:	Even I always wish I could have more.
context: Tomorrow's a holiday. Let's go somewhere.\Sakura, are you sure it is okay for me to stop by your house today?\Yeah, no problem. Come!\Then, I will bring a cake with me.\Really? I'm sure Kero will be so happy.\Really?\Because the cakes you make are really delicious.\Even I always wish I could have more. response:	I am glad that you like them.
context: Sakura, are you sure it is okay for me to stop by your house today?\Yeah, no problem. Come!\Then, I will bring a cake with me.\Really? I'm sure Kero will be so happy.\Really?\Because the cakes you make are really delicious.\Even I always wish I could have more.\I am glad that you like them. response:	Then, I will come by once I get home.
context: Yeah, no problem. Come!\Then, I will bring a cake with me.\Really? I'm sure Kero will be so happy.\Really?\Because the cakes you make are really delicious.\Even I always wish I could have more.\I am glad that you like them.\Then, I will come by once I get home. response:	Okay!
context: Then, I will bring a cake with me.\Really? I'm sure Kero will be so happy.\Really?\Because the cakes you make are really delicious.\Even I always wish I could have more.\I am glad that you like them.\Then, I will come by once I get home.\Okay! response:	Hello.
context: Really? I'm sure Kero will be so happy.\Really?\Because the cakes you make are really delicious.\Even I always wish I could have more.\I am glad that you like them.\Then, I will come by once I get home.\Okay!\Hello. response:	Come in. Come in!
context: Really?\Because the cakes you make are really delicious.\Even I always wish I could have more.\I am glad that you like them.\Then, I will come by once I get home.\Okay!\Hello.\Come in. Come in! response:	Touya and Father
context: Because the cakes you make are really delicious.\Even I always wish I could have more.\I am glad that you like them.\Then, I will come by once I get home.\Okay!\Hello.\Come in. Come in!\Touya and Father response:	are coming home late today.
context: Even I always wish I could have more.\I am glad that you like them.\Then, I will come by once I get home.\Okay!\Hello.\Come in. Come in!\Touya and Father\are coming home late today. response:	Kero, it's Tomoyo.
context: I am glad that you like them.\Then, I will come by once I get home.\Okay!\Hello.\Come in. Come in!\Touya and Father\are coming home late today.\Kero, it's Tomoyo. response:	Oh! You're here!
context: Then, I will come by once I get home.\Okay!\Hello.\Come in. Come in!\Touya and Father\are coming home late today.\Kero, it's Tomoyo.\Oh! You're here! response:	You are very cheerful today, Kero.
context: Okay!\Hello.\Come in. Come in!\Touya and Father\are coming home late today.\Kero, it's Tomoyo.\Oh! You're here!\You are very cheerful today, Kero. response:	He's been like that
context: Hello.\Come in. Come in!\Touya and Father\are coming home late today.\Kero, it's Tomoyo.\Oh! You're here!\You are very cheerful today, Kero.\He's been like that response:	ever since he found out you're bringing a cake with you.
context: Come in. Come in!\Touya and Father\are coming home late today.\Kero, it's Tomoyo.\Oh! You're here!\You are very cheerful today, Kero.\He's been like that\ever since he found out you're bringing a cake with you. response:	What did you bring?
context: Touya and Father\are coming home late today.\Kero, it's Tomoyo.\Oh! You're here!\You are very cheerful today, Kero.\He's been like that\ever since he found out you're bringing a cake with you.\What did you bring? response:	Isn't that a strawberry cake?
context: are coming home late today.\Kero, it's Tomoyo.\Oh! You're here!\You are very cheerful today, Kero.\He's been like that\ever since he found out you're bringing a cake with you.\What did you bring?\Isn't that a strawberry cake? response:	It looks great!
context: Kero, it's Tomoyo.\Oh! You're here!\You are very cheerful today, Kero.\He's been like that\ever since he found out you're bringing a cake with you.\What did you bring?\Isn't that a strawberry cake?\It looks great! response:	Hurry! Hurry!!
context: Oh! You're here!\You are very cheerful today, Kero.\He's been like that\ever since he found out you're bringing a cake with you.\What did you bring?\Isn't that a strawberry cake?\It looks great!\Hurry! Hurry!! response:	Not yet. You have to wait until we're done with what she needs from me.
context: You are very cheerful today, Kero.\He's been like that\ever since he found out you're bringing a cake with you.\What did you bring?\Isn't that a strawberry cake?\It looks great!\Hurry! Hurry!!\Not yet. You have to wait until we're done with what she needs from me. response:	So, what is it that you want me to do?
context: He's been like that\ever since he found out you're bringing a cake with you.\What did you bring?\Isn't that a strawberry cake?\It looks great!\Hurry! Hurry!!\Not yet. You have to wait until we're done with what she needs from me.\So, what is it that you want me to do? response:	I was hoping that I can take your measurements again for your costumes.
context: ever since he found out you're bringing a cake with you.\What did you bring?\Isn't that a strawberry cake?\It looks great!\Hurry! Hurry!!\Not yet. You have to wait until we're done with what she needs from me.\So, what is it that you want me to do?\I was hoping that I can take your measurements again for your costumes. response:	The ones you made me have always fitted okay.
context: What did you bring?\Isn't that a strawberry cake?\It looks great!\Hurry! Hurry!!\Not yet. You have to wait until we're done with what she needs from me.\So, what is it that you want me to do?\I was hoping that I can take your measurements again for your costumes.\The ones you made me have always fitted okay. response:	But you are in a period of growth.
context: Isn't that a strawberry cake?\It looks great!\Hurry! Hurry!!\Not yet. You have to wait until we're done with what she needs from me.\So, what is it that you want me to do?\I was hoping that I can take your measurements again for your costumes.\The ones you made me have always fitted okay.\But you are in a period of growth. response:	Sakura, could you please lift up your arms for me?
context: It looks great!\Hurry! Hurry!!\Not yet. You have to wait until we're done with what she needs from me.\So, what is it that you want me to do?\I was hoping that I can take your measurements again for your costumes.\The ones you made me have always fitted okay.\But you are in a period of growth.\Sakura, could you please lift up your arms for me? response:	Oh, okay.
context: Hurry! Hurry!!\Not yet. You have to wait until we're done with what she needs from me.\So, what is it that you want me to do?\I was hoping that I can take your measurements again for your costumes.\The ones you made me have always fitted okay.\But you are in a period of growth.\Sakura, could you please lift up your arms for me?\Oh, okay. response:	Sakura, you are the cutest girl, so I must make sure.
context: Not yet. You have to wait until we're done with what she needs from me.\So, what is it that you want me to do?\I was hoping that I can take your measurements again for your costumes.\The ones you made me have always fitted okay.\But you are in a period of growth.\Sakura, could you please lift up your arms for me?\Oh, okay.\Sakura, you are the cutest girl, so I must make sure. response:	Th' Thanks.
context: So, what is it that you want me to do?\I was hoping that I can take your measurements again for your costumes.\The ones you made me have always fitted okay.\But you are in a period of growth.\Sakura, could you please lift up your arms for me?\Oh, okay.\Sakura, you are the cutest girl, so I must make sure.\Th' Thanks. response:	As I thought, you are just too cute!
context: I was hoping that I can take your measurements again for your costumes.\The ones you made me have always fitted okay.\But you are in a period of growth.\Sakura, could you please lift up your arms for me?\Oh, okay.\Sakura, you are the cutest girl, so I must make sure.\Th' Thanks.\As I thought, you are just too cute! response:	I'm so embarrassed.
context: The ones you made me have always fitted okay.\But you are in a period of growth.\Sakura, could you please lift up your arms for me?\Oh, okay.\Sakura, you are the cutest girl, so I must make sure.\Th' Thanks.\As I thought, you are just too cute!\I'm so embarrassed. response:	You must not hang your head.
context: But you are in a period of growth.\Sakura, could you please lift up your arms for me?\Oh, okay.\Sakura, you are the cutest girl, so I must make sure.\Th' Thanks.\As I thought, you are just too cute!\I'm so embarrassed.\You must not hang your head. response:	You are the world's only Card Captor.
context: Sakura, could you please lift up your arms for me?\Oh, okay.\Sakura, you are the cutest girl, so I must make sure.\Th' Thanks.\As I thought, you are just too cute!\I'm so embarrassed.\You must not hang your head.\You are the world's only Card Captor. response:	To be able to film you wearing this costume'
context: Oh, okay.\Sakura, you are the cutest girl, so I must make sure.\Th' Thanks.\As I thought, you are just too cute!\I'm so embarrassed.\You must not hang your head.\You are the world's only Card Captor.\To be able to film you wearing this costume' response:	Let's go!
context: Sakura, you are the cutest girl, so I must make sure.\Th' Thanks.\As I thought, you are just too cute!\I'm so embarrassed.\You must not hang your head.\You are the world's only Card Captor.\To be able to film you wearing this costume'\Let's go! response:	I would be so touched!
context: Th' Thanks.\As I thought, you are just too cute!\I'm so embarrassed.\You must not hang your head.\You are the world's only Card Captor.\To be able to film you wearing this costume'\Let's go!\I would be so touched! response:	Tomoyo'
context: As I thought, you are just too cute!\I'm so embarrassed.\You must not hang your head.\You are the world's only Card Captor.\To be able to film you wearing this costume'\Let's go!\I would be so touched!\Tomoyo' response:	All right, just hurry and let me eat!
context: I'm so embarrassed.\You must not hang your head.\You are the world's only Card Captor.\To be able to film you wearing this costume'\Let's go!\I would be so touched!\Tomoyo'\All right, just hurry and let me eat! response:	I thought I sensed something just now'
context: You must not hang your head.\You are the world's only Card Captor.\To be able to film you wearing this costume'\Let's go!\I would be so touched!\Tomoyo'\All right, just hurry and let me eat!\I thought I sensed something just now' response:	I did too.
context: You are the world's only Card Captor.\To be able to film you wearing this costume'\Let's go!\I would be so touched!\Tomoyo'\All right, just hurry and let me eat!\I thought I sensed something just now'\I did too. response:	It's a Clow Card.
context: To be able to film you wearing this costume'\Let's go!\I would be so touched!\Tomoyo'\All right, just hurry and let me eat!\I thought I sensed something just now'\I did too.\It's a Clow Card. response:	It's here. Inside the house.
context: Let's go!\I would be so touched!\Tomoyo'\All right, just hurry and let me eat!\I thought I sensed something just now'\I did too.\It's a Clow Card.\It's here. Inside the house. response:	Yes.
context: I would be so touched!\Tomoyo'\All right, just hurry and let me eat!\I thought I sensed something just now'\I did too.\It's a Clow Card.\It's here. Inside the house.\Yes. response:	Key which hides the forces of darkness,
context: Tomoyo'\All right, just hurry and let me eat!\I thought I sensed something just now'\I did too.\It's a Clow Card.\It's here. Inside the house.\Yes.\Key which hides the forces of darkness, response:	reveal thy true form before me.
context: All right, just hurry and let me eat!\I thought I sensed something just now'\I did too.\It's a Clow Card.\It's here. Inside the house.\Yes.\Key which hides the forces of darkness,\reveal thy true form before me. response:	I, Sakura, command thee under contract.
context: I thought I sensed something just now'\I did too.\It's a Clow Card.\It's here. Inside the house.\Yes.\Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract. response:	Release!
context: I did too.\It's a Clow Card.\It's here. Inside the house.\Yes.\Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release! response:	Kero, stay with Tomoyo.
context: It's a Clow Card.\It's here. Inside the house.\Yes.\Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Kero, stay with Tomoyo. response:	Got it.
context: It's here. Inside the house.\Yes.\Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Kero, stay with Tomoyo.\Got it. response:	Please be careful.
context: Yes.\Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Kero, stay with Tomoyo.\Got it.\Please be careful. response:	It's from Father's room.
context: Key which hides the forces of darkness,\reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Kero, stay with Tomoyo.\Got it.\Please be careful.\It's from Father's room. response:	A Clow Card?
context: reveal thy true form before me.\I, Sakura, command thee under contract.\Release!\Kero, stay with Tomoyo.\Got it.\Please be careful.\It's from Father's room.\A Clow Card? response:	Sakura?
context: I, Sakura, command thee under contract.\Release!\Kero, stay with Tomoyo.\Got it.\Please be careful.\It's from Father's room.\A Clow Card?\Sakura? response:	Where' am I?
context: Release!\Kero, stay with Tomoyo.\Got it.\Please be careful.\It's from Father's room.\A Clow Card?\Sakura?\Where' am I? response:	Huh? Could I be underneath a chair?
context: Kero, stay with Tomoyo.\Got it.\Please be careful.\It's from Father's room.\A Clow Card?\Sakura?\Where' am I?\Huh? Could I be underneath a chair? response:	An organ?
context: Got it.\Please be careful.\It's from Father's room.\A Clow Card?\Sakura?\Where' am I?\Huh? Could I be underneath a chair?\An organ? response:	Did Father's room become this big?
context: Please be careful.\It's from Father's room.\A Clow Card?\Sakura?\Where' am I?\Huh? Could I be underneath a chair?\An organ?\Did Father's room become this big? response:	Could this be' the Key?
context: It's from Father's room.\A Clow Card?\Sakura?\Where' am I?\Huh? Could I be underneath a chair?\An organ?\Did Father's room become this big?\Could this be' the Key? response:	Then that means' I'm the one who has become small?!
context: A Clow Card?\Sakura?\Where' am I?\Huh? Could I be underneath a chair?\An organ?\Did Father's room become this big?\Could this be' the Key?\Then that means' I'm the one who has become small?! response:	It was that Clow Card's fault!
context: Sakura?\Where' am I?\Huh? Could I be underneath a chair?\An organ?\Did Father's room become this big?\Could this be' the Key?\Then that means' I'm the one who has become small?!\It was that Clow Card's fault! response:	Kero!!
context: Where' am I?\Huh? Could I be underneath a chair?\An organ?\Did Father's room become this big?\Could this be' the Key?\Then that means' I'm the one who has become small?!\It was that Clow Card's fault!\Kero!! response:	Tomoyo!!
context: Huh? Could I be underneath a chair?\An organ?\Did Father's room become this big?\Could this be' the Key?\Then that means' I'm the one who has become small?!\It was that Clow Card's fault!\Kero!!\Tomoyo!! response:	Sakura!
context: An organ?\Did Father's room become this big?\Could this be' the Key?\Then that means' I'm the one who has become small?!\It was that Clow Card's fault!\Kero!!\Tomoyo!!\Sakura! response:	Sakura's Key?
context: Did Father's room become this big?\Could this be' the Key?\Then that means' I'm the one who has become small?!\It was that Clow Card's fault!\Kero!!\Tomoyo!!\Sakura!\Sakura's Key? response:	Really!
context: Could this be' the Key?\Then that means' I'm the one who has become small?!\It was that Clow Card's fault!\Kero!!\Tomoyo!!\Sakura!\Sakura's Key?\Really! response:	Leaving something this important behind,
context: Then that means' I'm the one who has become small?!\It was that Clow Card's fault!\Kero!!\Tomoyo!!\Sakura!\Sakura's Key?\Really!\Leaving something this important behind, response:	where did she go?
context: It was that Clow Card's fault!\Kero!!\Tomoyo!!\Sakura!\Sakura's Key?\Really!\Leaving something this important behind,\where did she go? response:	Yo' You know, I'm not food.
context: Kero!!\Tomoyo!!\Sakura!\Sakura's Key?\Really!\Leaving something this important behind,\where did she go?\Yo' You know, I'm not food. response:	I was saved.
context: Tomoyo!!\Sakura!\Sakura's Key?\Really!\Leaving something this important behind,\where did she go?\Yo' You know, I'm not food.\I was saved. response:	These are the flowers Father planted.
context: Sakura!\Sakura's Key?\Really!\Leaving something this important behind,\where did she go?\Yo' You know, I'm not food.\I was saved.\These are the flowers Father planted. response:	Thank you so much, flowers. Thank you so much, Father.
context: Sakura's Key?\Really!\Leaving something this important behind,\where did she go?\Yo' You know, I'm not food.\I was saved.\These are the flowers Father planted.\Thank you so much, flowers. Thank you so much, Father. response:	It isn't the time for this.
context: Really!\Leaving something this important behind,\where did she go?\Yo' You know, I'm not food.\I was saved.\These are the flowers Father planted.\Thank you so much, flowers. Thank you so much, Father.\It isn't the time for this. response:	Without my wand, I can't use magic.
context: Leaving something this important behind,\where did she go?\Yo' You know, I'm not food.\I was saved.\These are the flowers Father planted.\Thank you so much, flowers. Thank you so much, Father.\It isn't the time for this.\Without my wand, I can't use magic. response:	I can't seal the card either.
context: where did she go?\Yo' You know, I'm not food.\I was saved.\These are the flowers Father planted.\Thank you so much, flowers. Thank you so much, Father.\It isn't the time for this.\Without my wand, I can't use magic.\I can't seal the card either. response:	What should I do?
context: Yo' You know, I'm not food.\I was saved.\These are the flowers Father planted.\Thank you so much, flowers. Thank you so much, Father.\It isn't the time for this.\Without my wand, I can't use magic.\I can't seal the card either.\What should I do? response:	Stay away from me!!
context: I was saved.\These are the flowers Father planted.\Thank you so much, flowers. Thank you so much, Father.\It isn't the time for this.\Without my wand, I can't use magic.\I can't seal the card either.\What should I do?\Stay away from me!! response:	Where the heck did Sakura go?
context: These are the flowers Father planted.\Thank you so much, flowers. Thank you so much, Father.\It isn't the time for this.\Without my wand, I can't use magic.\I can't seal the card either.\What should I do?\Stay away from me!!\Where the heck did Sakura go? response:	I am worried about her.
context: Thank you so much, flowers. Thank you so much, Father.\It isn't the time for this.\Without my wand, I can't use magic.\I can't seal the card either.\What should I do?\Stay away from me!!\Where the heck did Sakura go?\I am worried about her. response:	But I have a feeling that she hasn't left the house.
context: It isn't the time for this.\Without my wand, I can't use magic.\I can't seal the card either.\What should I do?\Stay away from me!!\Where the heck did Sakura go?\I am worried about her.\But I have a feeling that she hasn't left the house. response:	I'm back.
context: Without my wand, I can't use magic.\I can't seal the card either.\What should I do?\Stay away from me!!\Where the heck did Sakura go?\I am worried about her.\But I have a feeling that she hasn't left the house.\I'm back. response:	Hello!
context: I can't seal the card either.\What should I do?\Stay away from me!!\Where the heck did Sakura go?\I am worried about her.\But I have a feeling that she hasn't left the house.\I'm back.\Hello! response:	Oh no. It's the brother.
context: What should I do?\Stay away from me!!\Where the heck did Sakura go?\I am worried about her.\But I have a feeling that she hasn't left the house.\I'm back.\Hello!\Oh no. It's the brother. response:	Please hide!
context: Stay away from me!!\Where the heck did Sakura go?\I am worried about her.\But I have a feeling that she hasn't left the house.\I'm back.\Hello!\Oh no. It's the brother.\Please hide! response:	Oh, oh, oh, okay!
context: Where the heck did Sakura go?\I am worried about her.\But I have a feeling that she hasn't left the house.\I'm back.\Hello!\Oh no. It's the brother.\Please hide!\Oh, oh, oh, okay! response:	Eh!
context: I am worried about her.\But I have a feeling that she hasn't left the house.\I'm back.\Hello!\Oh no. It's the brother.\Please hide!\Oh, oh, oh, okay!\Eh! response:	Hello. Sorry to bother you.
context: But I have a feeling that she hasn't left the house.\I'm back.\Hello!\Oh no. It's the brother.\Please hide!\Oh, oh, oh, okay!\Eh!\Hello. Sorry to bother you. response:	Hello.
context: I'm back.\Hello!\Oh no. It's the brother.\Please hide!\Oh, oh, oh, okay!\Eh!\Hello. Sorry to bother you.\Hello. response:	Where's Sakura?
context: Hello!\Oh no. It's the brother.\Please hide!\Oh, oh, oh, okay!\Eh!\Hello. Sorry to bother you.\Hello.\Where's Sakura? response:	Sh' She went out to buy something.
context: Oh no. It's the brother.\Please hide!\Oh, oh, oh, okay!\Eh!\Hello. Sorry to bother you.\Hello.\Where's Sakura?\Sh' She went out to buy something. response:	What's she doing leaving her friend behind.
context: Please hide!\Oh, oh, oh, okay!\Eh!\Hello. Sorry to bother you.\Hello.\Where's Sakura?\Sh' She went out to buy something.\What's she doing leaving her friend behind. response:	She told me she would be back in a short while.
context: Oh, oh, oh, okay!\Eh!\Hello. Sorry to bother you.\Hello.\Where's Sakura?\Sh' She went out to buy something.\What's she doing leaving her friend behind.\She told me she would be back in a short while. response:	Where the heck did you go, Sakura?
context: Eh!\Hello. Sorry to bother you.\Hello.\Where's Sakura?\Sh' She went out to buy something.\What's she doing leaving her friend behind.\She told me she would be back in a short while.\Where the heck did you go, Sakura? response:	That was scary.
context: Hello. Sorry to bother you.\Hello.\Where's Sakura?\Sh' She went out to buy something.\What's she doing leaving her friend behind.\She told me she would be back in a short while.\Where the heck did you go, Sakura?\That was scary. response:	You're a Clow Card, aren't you?
context: Hello.\Where's Sakura?\Sh' She went out to buy something.\What's she doing leaving her friend behind.\She told me she would be back in a short while.\Where the heck did you go, Sakura?\That was scary.\You're a Clow Card, aren't you? response:	It was you who turned me this small, wasn't it?
context: Where's Sakura?\Sh' She went out to buy something.\What's she doing leaving her friend behind.\She told me she would be back in a short while.\Where the heck did you go, Sakura?\That was scary.\You're a Clow Card, aren't you?\It was you who turned me this small, wasn't it? response:	I was almost eaten by the cat and the mantis!
context: Sh' She went out to buy something.\What's she doing leaving her friend behind.\She told me she would be back in a short while.\Where the heck did you go, Sakura?\That was scary.\You're a Clow Card, aren't you?\It was you who turned me this small, wasn't it?\I was almost eaten by the cat and the mantis! response:	That is not funny!
context: What's she doing leaving her friend behind.\She told me she would be back in a short while.\Where the heck did you go, Sakura?\That was scary.\You're a Clow Card, aren't you?\It was you who turned me this small, wasn't it?\I was almost eaten by the cat and the mantis!\That is not funny! response:	Wait!
context: She told me she would be back in a short while.\Where the heck did you go, Sakura?\That was scary.\You're a Clow Card, aren't you?\It was you who turned me this small, wasn't it?\I was almost eaten by the cat and the mantis!\That is not funny!\Wait! response:	What should I do? What should I do? What should I do?
context: Where the heck did you go, Sakura?\That was scary.\You're a Clow Card, aren't you?\It was you who turned me this small, wasn't it?\I was almost eaten by the cat and the mantis!\That is not funny!\Wait!\What should I do? What should I do? What should I do? response:	I've got no choice.
context: That was scary.\You're a Clow Card, aren't you?\It was you who turned me this small, wasn't it?\I was almost eaten by the cat and the mantis!\That is not funny!\Wait!\What should I do? What should I do? What should I do?\I've got no choice. response:	Tomoyo, would you like cream and sugar?
context: You're a Clow Card, aren't you?\It was you who turned me this small, wasn't it?\I was almost eaten by the cat and the mantis!\That is not funny!\Wait!\What should I do? What should I do? What should I do?\I've got no choice.\Tomoyo, would you like cream and sugar? response:	I would like just cream please.
context: It was you who turned me this small, wasn't it?\I was almost eaten by the cat and the mantis!\That is not funny!\Wait!\What should I do? What should I do? What should I do?\I've got no choice.\Tomoyo, would you like cream and sugar?\I would like just cream please. response:	Thank you very much.
context: I was almost eaten by the cat and the mantis!\That is not funny!\Wait!\What should I do? What should I do? What should I do?\I've got no choice.\Tomoyo, would you like cream and sugar?\I would like just cream please.\Thank you very much. response:	Not at all.
context: That is not funny!\Wait!\What should I do? What should I do? What should I do?\I've got no choice.\Tomoyo, would you like cream and sugar?\I would like just cream please.\Thank you very much.\Not at all. response:	That's right. I brought a cake.
context: Wait!\What should I do? What should I do? What should I do?\I've got no choice.\Tomoyo, would you like cream and sugar?\I would like just cream please.\Thank you very much.\Not at all.\That's right. I brought a cake. response:	It is in Sakura's room. I will go get it.
context: What should I do? What should I do? What should I do?\I've got no choice.\Tomoyo, would you like cream and sugar?\I would like just cream please.\Thank you very much.\Not at all.\That's right. I brought a cake.\It is in Sakura's room. I will go get it. response:	I feel dizzy'
context: I've got no choice.\Tomoyo, would you like cream and sugar?\I would like just cream please.\Thank you very much.\Not at all.\That's right. I brought a cake.\It is in Sakura's room. I will go get it.\I feel dizzy' response:	I am fine now.
context: Tomoyo, would you like cream and sugar?\I would like just cream please.\Thank you very much.\Not at all.\That's right. I brought a cake.\It is in Sakura's room. I will go get it.\I feel dizzy'\I am fine now. response:	You deserve an Oscar award.
context: I would like just cream please.\Thank you very much.\Not at all.\That's right. I brought a cake.\It is in Sakura's room. I will go get it.\I feel dizzy'\I am fine now.\You deserve an Oscar award. response:	I was nervous.
