context: Everyone, over here! response:	Is anyone hurt?
context: And other people who I don't know,\all left for the surface for the ones they loved.\And among them was Ojoshi-sama.\Ojoshi-sama was crying.\What I was feeling in the shining sea\was the story that melted into the sea.\The story of the Sea God.\The Sea God came to love Ojoshi-sama, even though she was a sacrifice, response:	and things became painful.
context: all left for the surface for the ones they loved.\And among them was Ojoshi-sama.\Ojoshi-sama was crying.\What I was feeling in the shining sea\was the story that melted into the sea.\The story of the Sea God.\The Sea God came to love Ojoshi-sama, even though she was a sacrifice,\and things became painful. response:	The fact that before Ojoshi-sama became a sacrifice,
context: And among them was Ojoshi-sama.\Ojoshi-sama was crying.\What I was feeling in the shining sea\was the story that melted into the sea.\The story of the Sea God.\The Sea God came to love Ojoshi-sama, even though she was a sacrifice,\and things became painful.\The fact that before Ojoshi-sama became a sacrifice, response:	she was in love with someone on the surface.
context: Ojoshi-sama was crying.\What I was feeling in the shining sea\was the story that melted into the sea.\The story of the Sea God.\The Sea God came to love Ojoshi-sama, even though she was a sacrifice,\and things became painful.\The fact that before Ojoshi-sama became a sacrifice,\she was in love with someone on the surface. response:	The fact that he was the one who ripped them apart.
context: What I was feeling in the shining sea\was the story that melted into the sea.\The story of the Sea God.\The Sea God came to love Ojoshi-sama, even though she was a sacrifice,\and things became painful.\The fact that before Ojoshi-sama became a sacrifice,\she was in love with someone on the surface.\The fact that he was the one who ripped them apart. response:	But Ojoshi-sama never blamed him for that.
context: was the story that melted into the sea.\The story of the Sea God.\The Sea God came to love Ojoshi-sama, even though she was a sacrifice,\and things became painful.\The fact that before Ojoshi-sama became a sacrifice,\she was in love with someone on the surface.\The fact that he was the one who ripped them apart.\But Ojoshi-sama never blamed him for that. response:	However...
context: The story of the Sea God.\The Sea God came to love Ojoshi-sama, even though she was a sacrifice,\and things became painful.\The fact that before Ojoshi-sama became a sacrifice,\she was in love with someone on the surface.\The fact that he was the one who ripped them apart.\But Ojoshi-sama never blamed him for that.\However... response:	The more the Sea God fell in love with her,
context: The Sea God came to love Ojoshi-sama, even though she was a sacrifice,\and things became painful.\The fact that before Ojoshi-sama became a sacrifice,\she was in love with someone on the surface.\The fact that he was the one who ripped them apart.\But Ojoshi-sama never blamed him for that.\However...\The more the Sea God fell in love with her, response:	the more pain he felt.
context: and things became painful.\The fact that before Ojoshi-sama became a sacrifice,\she was in love with someone on the surface.\The fact that he was the one who ripped them apart.\But Ojoshi-sama never blamed him for that.\However...\The more the Sea God fell in love with her,\the more pain he felt. response:	Seeing her cry in secret
context: The fact that before Ojoshi-sama became a sacrifice,\she was in love with someone on the surface.\The fact that he was the one who ripped them apart.\But Ojoshi-sama never blamed him for that.\However...\The more the Sea God fell in love with her,\the more pain he felt.\Seeing her cry in secret response:	because she was unable to forget the one she loved,
context: she was in love with someone on the surface.\The fact that he was the one who ripped them apart.\But Ojoshi-sama never blamed him for that.\However...\The more the Sea God fell in love with her,\the more pain he felt.\Seeing her cry in secret\because she was unable to forget the one she loved, response:	he decided to return her to the surface...
context: The fact that he was the one who ripped them apart.\But Ojoshi-sama never blamed him for that.\However...\The more the Sea God fell in love with her,\the more pain he felt.\Seeing her cry in secret\because she was unable to forget the one she loved,\he decided to return her to the surface... response:	But the Sea God knew...
context: But Ojoshi-sama never blamed him for that.\However...\The more the Sea God fell in love with her,\the more pain he felt.\Seeing her cry in secret\because she was unable to forget the one she loved,\he decided to return her to the surface...\But the Sea God knew... response:	The one that the Ojoshi-sama left behind on the surface
context: However...\The more the Sea God fell in love with her,\the more pain he felt.\Seeing her cry in secret\because she was unable to forget the one she loved,\he decided to return her to the surface...\But the Sea God knew...\The one that the Ojoshi-sama left behind on the surface response:	couldn't bear the pain of losing the one he loved
context: The more the Sea God fell in love with her,\the more pain he felt.\Seeing her cry in secret\because she was unable to forget the one she loved,\he decided to return her to the surface...\But the Sea God knew...\The one that the Ojoshi-sama left behind on the surface\couldn't bear the pain of losing the one he loved response:	and was not of this world anymore.
context: the more pain he felt.\Seeing her cry in secret\because she was unable to forget the one she loved,\he decided to return her to the surface...\But the Sea God knew...\The one that the Ojoshi-sama left behind on the surface\couldn't bear the pain of losing the one he loved\and was not of this world anymore. response:	So, the Sea God took away the her ability to love anyone.
context: Seeing her cry in secret\because she was unable to forget the one she loved,\he decided to return her to the surface...\But the Sea God knew...\The one that the Ojoshi-sama left behind on the surface\couldn't bear the pain of losing the one he loved\and was not of this world anymore.\So, the Sea God took away the her ability to love anyone. response:	If she had those feelings,
context: because she was unable to forget the one she loved,\he decided to return her to the surface...\But the Sea God knew...\The one that the Ojoshi-sama left behind on the surface\couldn't bear the pain of losing the one he loved\and was not of this world anymore.\So, the Sea God took away the her ability to love anyone.\If she had those feelings, response:	she may follow in her love's foot steps,
context: he decided to return her to the surface...\But the Sea God knew...\The one that the Ojoshi-sama left behind on the surface\couldn't bear the pain of losing the one he loved\and was not of this world anymore.\So, the Sea God took away the her ability to love anyone.\If she had those feelings,\she may follow in her love's foot steps, response:	unable to bear with the despair of losing him.
context: But the Sea God knew...\The one that the Ojoshi-sama left behind on the surface\couldn't bear the pain of losing the one he loved\and was not of this world anymore.\So, the Sea God took away the her ability to love anyone.\If she had those feelings,\she may follow in her love's foot steps,\unable to bear with the despair of losing him. response:	The calmed sea is the Ojoshi-sama's heart.
context: The one that the Ojoshi-sama left behind on the surface\couldn't bear the pain of losing the one he loved\and was not of this world anymore.\So, the Sea God took away the her ability to love anyone.\If she had those feelings,\she may follow in her love's foot steps,\unable to bear with the despair of losing him.\The calmed sea is the Ojoshi-sama's heart. response:	A peaceful heart that lost its love,
context: couldn't bear the pain of losing the one he loved\and was not of this world anymore.\So, the Sea God took away the her ability to love anyone.\If she had those feelings,\she may follow in her love's foot steps,\unable to bear with the despair of losing him.\The calmed sea is the Ojoshi-sama's heart.\A peaceful heart that lost its love, response:	and will never storm again.
context: and was not of this world anymore.\So, the Sea God took away the her ability to love anyone.\If she had those feelings,\she may follow in her love's foot steps,\unable to bear with the despair of losing him.\The calmed sea is the Ojoshi-sama's heart.\A peaceful heart that lost its love,\and will never storm again. response:	Manaka!
context: So, the Sea God took away the her ability to love anyone.\If she had those feelings,\she may follow in her love's foot steps,\unable to bear with the despair of losing him.\The calmed sea is the Ojoshi-sama's heart.\A peaceful heart that lost its love,\and will never storm again.\Manaka! response:	Manaka!
context: If she had those feelings,\she may follow in her love's foot steps,\unable to bear with the despair of losing him.\The calmed sea is the Ojoshi-sama's heart.\A peaceful heart that lost its love,\and will never storm again.\Manaka!\Manaka! response:	Manaka!
context: she may follow in her love's foot steps,\unable to bear with the despair of losing him.\The calmed sea is the Ojoshi-sama's heart.\A peaceful heart that lost its love,\and will never storm again.\Manaka!\Manaka!\Manaka! response:	Chisaki! How's Manaka?!
context: unable to bear with the despair of losing him.\The calmed sea is the Ojoshi-sama's heart.\A peaceful heart that lost its love,\and will never storm again.\Manaka!\Manaka!\Manaka!\Chisaki! How's Manaka?! response:	Look, Chisaki!
context: The calmed sea is the Ojoshi-sama's heart.\A peaceful heart that lost its love,\and will never storm again.\Manaka!\Manaka!\Manaka!\Chisaki! How's Manaka?!\Look, Chisaki! response:	Ena.
context: A peaceful heart that lost its love,\and will never storm again.\Manaka!\Manaka!\Manaka!\Chisaki! How's Manaka?!\Look, Chisaki!\Ena. response:	Manaka!
context: and will never storm again.\Manaka!\Manaka!\Manaka!\Chisaki! How's Manaka?!\Look, Chisaki!\Ena.\Manaka! response:	Chii-chan.
context: Manaka!\Manaka!\Manaka!\Chisaki! How's Manaka?!\Look, Chisaki!\Ena.\Manaka!\Chii-chan. response:	Manaka! Thank goodness...
context: Manaka!\Manaka!\Chisaki! How's Manaka?!\Look, Chisaki!\Ena.\Manaka!\Chii-chan.\Manaka! Thank goodness... response:	The sea is... pretty.
context: Manaka!\Chisaki! How's Manaka?!\Look, Chisaki!\Ena.\Manaka!\Chii-chan.\Manaka! Thank goodness...\The sea is... pretty. response:	Miuna...
context: Chisaki! How's Manaka?!\Look, Chisaki!\Ena.\Manaka!\Chii-chan.\Manaka! Thank goodness...\The sea is... pretty.\Miuna... response:	the beautiful sea...
context: Look, Chisaki!\Ena.\Manaka!\Chii-chan.\Manaka! Thank goodness...\The sea is... pretty.\Miuna...\the beautiful sea... response:	It's so beautiful...
context: Ena.\Manaka!\Chii-chan.\Manaka! Thank goodness...\The sea is... pretty.\Miuna...\the beautiful sea...\It's so beautiful... response:	What on earth is going on?
context: Manaka!\Chii-chan.\Manaka! Thank goodness...\The sea is... pretty.\Miuna...\the beautiful sea...\It's so beautiful...\What on earth is going on? response:	The sea is speaking.
context: Chii-chan.\Manaka! Thank goodness...\The sea is... pretty.\Miuna...\the beautiful sea...\It's so beautiful...\What on earth is going on?\The sea is speaking. response:	Miuna!
context: Manaka! Thank goodness...\The sea is... pretty.\Miuna...\the beautiful sea...\It's so beautiful...\What on earth is going on?\The sea is speaking.\Miuna! response:	Miuna!
context: The sea is... pretty.\Miuna...\the beautiful sea...\It's so beautiful...\What on earth is going on?\The sea is speaking.\Miuna!\Miuna! response:	Miuna!
context: Miuna...\the beautiful sea...\It's so beautiful...\What on earth is going on?\The sea is speaking.\Miuna!\Miuna!\Miuna! response:	Hikari, wait!
context: the beautiful sea...\It's so beautiful...\What on earth is going on?\The sea is speaking.\Miuna!\Miuna!\Miuna!\Hikari, wait! response:	Stop.
context: It's so beautiful...\What on earth is going on?\The sea is speaking.\Miuna!\Miuna!\Miuna!\Hikari, wait!\Stop. response:	If we force her out now,
context: What on earth is going on?\The sea is speaking.\Miuna!\Miuna!\Miuna!\Hikari, wait!\Stop.\If we force her out now, response:	she'll end up just like Mukaido.
context: The sea is speaking.\Miuna!\Miuna!\Miuna!\Hikari, wait!\Stop.\If we force her out now,\she'll end up just like Mukaido. response:	So you want me to just sit here and watch?!
context: Miuna!\Miuna!\Miuna!\Hikari, wait!\Stop.\If we force her out now,\she'll end up just like Mukaido.\So you want me to just sit here and watch?! response:	Just helplessly...
context: Miuna!\Miuna!\Hikari, wait!\Stop.\If we force her out now,\she'll end up just like Mukaido.\So you want me to just sit here and watch?!\Just helplessly... response:	Miuna was always looking at the sea.
context: Miuna!\Hikari, wait!\Stop.\If we force her out now,\she'll end up just like Mukaido.\So you want me to just sit here and watch?!\Just helplessly...\Miuna was always looking at the sea. response:	What's up?
context: Hikari, wait!\Stop.\If we force her out now,\she'll end up just like Mukaido.\So you want me to just sit here and watch?!\Just helplessly...\Miuna was always looking at the sea.\What's up? response:	I'm waiting for Hikari.
context: Stop.\If we force her out now,\she'll end up just like Mukaido.\So you want me to just sit here and watch?!\Just helplessly...\Miuna was always looking at the sea.\What's up?\I'm waiting for Hikari. response:	I see.
context: If we force her out now,\she'll end up just like Mukaido.\So you want me to just sit here and watch?!\Just helplessly...\Miuna was always looking at the sea.\What's up?\I'm waiting for Hikari.\I see. response:	There has to be a way to save her.
context: she'll end up just like Mukaido.\So you want me to just sit here and watch?!\Just helplessly...\Miuna was always looking at the sea.\What's up?\I'm waiting for Hikari.\I see.\There has to be a way to save her. response:	It's better not to do anything rash.
context: So you want me to just sit here and watch?!\Just helplessly...\Miuna was always looking at the sea.\What's up?\I'm waiting for Hikari.\I see.\There has to be a way to save her.\It's better not to do anything rash. response:	I'll see if there is any change in the village.
context: Just helplessly...\Miuna was always looking at the sea.\What's up?\I'm waiting for Hikari.\I see.\There has to be a way to save her.\It's better not to do anything rash.\I'll see if there is any change in the village. response:	Looks like quite the ruckus has happened again.
context: Miuna was always looking at the sea.\What's up?\I'm waiting for Hikari.\I see.\There has to be a way to save her.\It's better not to do anything rash.\I'll see if there is any change in the village.\Looks like quite the ruckus has happened again. response:	Uroko-sama...
context: What's up?\I'm waiting for Hikari.\I see.\There has to be a way to save her.\It's better not to do anything rash.\I'll see if there is any change in the village.\Looks like quite the ruckus has happened again.\Uroko-sama... response:	what are you doing here?
context: I'm waiting for Hikari.\I see.\There has to be a way to save her.\It's better not to do anything rash.\I'll see if there is any change in the village.\Looks like quite the ruckus has happened again.\Uroko-sama...\what are you doing here? response:	The Sea God asked me to take him to Shishio.
context: I see.\There has to be a way to save her.\It's better not to do anything rash.\I'll see if there is any change in the village.\Looks like quite the ruckus has happened again.\Uroko-sama...\what are you doing here?\The Sea God asked me to take him to Shishio. response:	For Manaka to fall in love with me...
context: There has to be a way to save her.\It's better not to do anything rash.\I'll see if there is any change in the village.\Looks like quite the ruckus has happened again.\Uroko-sama...\what are you doing here?\The Sea God asked me to take him to Shishio.\For Manaka to fall in love with me... response:	I've always wished for that.
context: It's better not to do anything rash.\I'll see if there is any change in the village.\Looks like quite the ruckus has happened again.\Uroko-sama...\what are you doing here?\The Sea God asked me to take him to Shishio.\For Manaka to fall in love with me...\I've always wished for that. response:	I always wanted to be laughing the closest to her...
context: I'll see if there is any change in the village.\Looks like quite the ruckus has happened again.\Uroko-sama...\what are you doing here?\The Sea God asked me to take him to Shishio.\For Manaka to fall in love with me...\I've always wished for that.\I always wanted to be laughing the closest to her... response:	I wanted to protect Manaka's smile.
context: Looks like quite the ruckus has happened again.\Uroko-sama...\what are you doing here?\The Sea God asked me to take him to Shishio.\For Manaka to fall in love with me...\I've always wished for that.\I always wanted to be laughing the closest to her...\I wanted to protect Manaka's smile. response:	But the one who was the closest to me,
context: Uroko-sama...\what are you doing here?\The Sea God asked me to take him to Shishio.\For Manaka to fall in love with me...\I've always wished for that.\I always wanted to be laughing the closest to her...\I wanted to protect Manaka's smile.\But the one who was the closest to me, response:	and protected me when I came to the surface and felt
context: what are you doing here?\The Sea God asked me to take him to Shishio.\For Manaka to fall in love with me...\I've always wished for that.\I always wanted to be laughing the closest to her...\I wanted to protect Manaka's smile.\But the one who was the closest to me,\and protected me when I came to the surface and felt response:	like I was going to be crushed by anxiety was...
context: The Sea God asked me to take him to Shishio.\For Manaka to fall in love with me...\I've always wished for that.\I always wanted to be laughing the closest to her...\I wanted to protect Manaka's smile.\But the one who was the closest to me,\and protected me when I came to the surface and felt\like I was going to be crushed by anxiety was... response:	And yet I...
context: For Manaka to fall in love with me...\I've always wished for that.\I always wanted to be laughing the closest to her...\I wanted to protect Manaka's smile.\But the one who was the closest to me,\and protected me when I came to the surface and felt\like I was going to be crushed by anxiety was...\And yet I... response:	couldn't even realize your feelings.
context: I've always wished for that.\I always wanted to be laughing the closest to her...\I wanted to protect Manaka's smile.\But the one who was the closest to me,\and protected me when I came to the surface and felt\like I was going to be crushed by anxiety was...\And yet I...\couldn't even realize your feelings. response:	I'm in love with Manaka.
context: I always wanted to be laughing the closest to her...\I wanted to protect Manaka's smile.\But the one who was the closest to me,\and protected me when I came to the surface and felt\like I was going to be crushed by anxiety was...\And yet I...\couldn't even realize your feelings.\I'm in love with Manaka. response:	More!
context: I wanted to protect Manaka's smile.\But the one who was the closest to me,\and protected me when I came to the surface and felt\like I was going to be crushed by anxiety was...\And yet I...\couldn't even realize your feelings.\I'm in love with Manaka.\More! response:	I love Manaka!
context: But the one who was the closest to me,\and protected me when I came to the surface and felt\like I was going to be crushed by anxiety was...\And yet I...\couldn't even realize your feelings.\I'm in love with Manaka.\More!\I love Manaka! response:	More...
context: and protected me when I came to the surface and felt\like I was going to be crushed by anxiety was...\And yet I...\couldn't even realize your feelings.\I'm in love with Manaka.\More!\I love Manaka!\More... response:	More!
context: like I was going to be crushed by anxiety was...\And yet I...\couldn't even realize your feelings.\I'm in love with Manaka.\More!\I love Manaka!\More...\More! response:	I hurt you really badly...
context: And yet I...\couldn't even realize your feelings.\I'm in love with Manaka.\More!\I love Manaka!\More...\More!\I hurt you really badly... response:	What's with you?
context: couldn't even realize your feelings.\I'm in love with Manaka.\More!\I love Manaka!\More...\More!\I hurt you really badly...\What's with you? response:	You're an idiot, aren't you?
context: I'm in love with Manaka.\More!\I love Manaka!\More...\More!\I hurt you really badly...\What's with you?\You're an idiot, aren't you? response:	Why the heck would you fall in love with a guy like me?
context: More!\I love Manaka!\More...\More!\I hurt you really badly...\What's with you?\You're an idiot, aren't you?\Why the heck would you fall in love with a guy like me? response:	Even if Manaka feels the same way about me...
context: I love Manaka!\More...\More!\I hurt you really badly...\What's with you?\You're an idiot, aren't you?\Why the heck would you fall in love with a guy like me?\Even if Manaka feels the same way about me... response:	Miuna...
context: More...\More!\I hurt you really badly...\What's with you?\You're an idiot, aren't you?\Why the heck would you fall in love with a guy like me?\Even if Manaka feels the same way about me...\Miuna... response:	If you're gonna end up like this, it's no good!
context: More!\I hurt you really badly...\What's with you?\You're an idiot, aren't you?\Why the heck would you fall in love with a guy like me?\Even if Manaka feels the same way about me...\Miuna...\If you're gonna end up like this, it's no good! response:	Because you were able to love Akari,
context: I hurt you really badly...\What's with you?\You're an idiot, aren't you?\Why the heck would you fall in love with a guy like me?\Even if Manaka feels the same way about me...\Miuna...\If you're gonna end up like this, it's no good!\Because you were able to love Akari, response:	this happiness exists.
context: What's with you?\You're an idiot, aren't you?\Why the heck would you fall in love with a guy like me?\Even if Manaka feels the same way about me...\Miuna...\If you're gonna end up like this, it's no good!\Because you were able to love Akari,\this happiness exists. response:	That's why I want her to remember...
context: You're an idiot, aren't you?\Why the heck would you fall in love with a guy like me?\Even if Manaka feels the same way about me...\Miuna...\If you're gonna end up like this, it's no good!\Because you were able to love Akari,\this happiness exists.\That's why I want her to remember... response:	That was wrong.
context: Why the heck would you fall in love with a guy like me?\Even if Manaka feels the same way about me...\Miuna...\If you're gonna end up like this, it's no good!\Because you were able to love Akari,\this happiness exists.\That's why I want her to remember...\That was wrong. response:	You were right after all.
context: Even if Manaka feels the same way about me...\Miuna...\If you're gonna end up like this, it's no good!\Because you were able to love Akari,\this happiness exists.\That's why I want her to remember...\That was wrong.\You were right after all. response:	If I didn't love, I wouldn't be sad...
context: Miuna...\If you're gonna end up like this, it's no good!\Because you were able to love Akari,\this happiness exists.\That's why I want her to remember...\That was wrong.\You were right after all.\If I didn't love, I wouldn't be sad... response:	If you have feelings for someone, someone else will cry.
context: If you're gonna end up like this, it's no good!\Because you were able to love Akari,\this happiness exists.\That's why I want her to remember...\That was wrong.\You were right after all.\If I didn't love, I wouldn't be sad...\If you have feelings for someone, someone else will cry. response:	Someone will be sacrificed and get hurt.
context: Because you were able to love Akari,\this happiness exists.\That's why I want her to remember...\That was wrong.\You were right after all.\If I didn't love, I wouldn't be sad...\If you have feelings for someone, someone else will cry.\Someone will be sacrificed and get hurt. response:	If that's what love means...
context: this happiness exists.\That's why I want her to remember...\That was wrong.\You were right after all.\If I didn't love, I wouldn't be sad...\If you have feelings for someone, someone else will cry.\Someone will be sacrificed and get hurt.\If that's what love means... response:	Then it's horrible
context: That's why I want her to remember...\That was wrong.\You were right after all.\If I didn't love, I wouldn't be sad...\If you have feelings for someone, someone else will cry.\Someone will be sacrificed and get hurt.\If that's what love means...\Then it's horrible response:	to fall in love with someone.
context: That was wrong.\You were right after all.\If I didn't love, I wouldn't be sad...\If you have feelings for someone, someone else will cry.\Someone will be sacrificed and get hurt.\If that's what love means...\Then it's horrible\to fall in love with someone. response:	Come on, take it, Sea God!
context: You were right after all.\If I didn't love, I wouldn't be sad...\If you have feelings for someone, someone else will cry.\Someone will be sacrificed and get hurt.\If that's what love means...\Then it's horrible\to fall in love with someone.\Come on, take it, Sea God! response:	My ability to fall in love with someone...
context: If I didn't love, I wouldn't be sad...\If you have feelings for someone, someone else will cry.\Someone will be sacrificed and get hurt.\If that's what love means...\Then it's horrible\to fall in love with someone.\Come on, take it, Sea God!\My ability to fall in love with someone... response:	Take the whole damn thing!
context: If you have feelings for someone, someone else will cry.\Someone will be sacrificed and get hurt.\If that's what love means...\Then it's horrible\to fall in love with someone.\Come on, take it, Sea God!\My ability to fall in love with someone...\Take the whole damn thing! response:	And save Miuna in return!
context: Someone will be sacrificed and get hurt.\If that's what love means...\Then it's horrible\to fall in love with someone.\Come on, take it, Sea God!\My ability to fall in love with someone...\Take the whole damn thing!\And save Miuna in return! response:	Manaka...
context: If that's what love means...\Then it's horrible\to fall in love with someone.\Come on, take it, Sea God!\My ability to fall in love with someone...\Take the whole damn thing!\And save Miuna in return!\Manaka... response:	It's okay, Hii-kun.
context: Then it's horrible\to fall in love with someone.\Come on, take it, Sea God!\My ability to fall in love with someone...\Take the whole damn thing!\And save Miuna in return!\Manaka...\It's okay, Hii-kun. response:	Huh?
context: to fall in love with someone.\Come on, take it, Sea God!\My ability to fall in love with someone...\Take the whole damn thing!\And save Miuna in return!\Manaka...\It's okay, Hii-kun.\Huh? response:	Miuna-chan's feelings are...
context: Come on, take it, Sea God!\My ability to fall in love with someone...\Take the whole damn thing!\And save Miuna in return!\Manaka...\It's okay, Hii-kun.\Huh?\Miuna-chan's feelings are... response:	He's crying...
context: My ability to fall in love with someone...\Take the whole damn thing!\And save Miuna in return!\Manaka...\It's okay, Hii-kun.\Huh?\Miuna-chan's feelings are...\He's crying... response:	Aw...
context: Take the whole damn thing!\And save Miuna in return!\Manaka...\It's okay, Hii-kun.\Huh?\Miuna-chan's feelings are...\He's crying...\Aw... response:	Hikari's an idiot.
context: And save Miuna in return!\Manaka...\It's okay, Hii-kun.\Huh?\Miuna-chan's feelings are...\He's crying...\Aw...\Hikari's an idiot. response:	The Sea God is an idiot, too.
context: Manaka...\It's okay, Hii-kun.\Huh?\Miuna-chan's feelings are...\He's crying...\Aw...\Hikari's an idiot.\The Sea God is an idiot, too. response:	Sea God, why did you steal away Ojoshi-sama's heart?
context: It's okay, Hii-kun.\Huh?\Miuna-chan's feelings are...\He's crying...\Aw...\Hikari's an idiot.\The Sea God is an idiot, too.\Sea God, why did you steal away Ojoshi-sama's heart? response:	I mean, the Ojoshi-sama...
