context: When Elder Tale was a game, one goal was to make response:	the game world a one-half-scale model of Earth.
context: Serara is on\a Brigandia member's Friend List, right?\Yeah.\Her current hiding spot is within a private zone, so they can't find her.\But the minute she leaves, they'll locate her and send pursuit.\So she's gotta get out before they catch up.\Akatsuki, I'd like you to hide yourself with Sneak and Silent Move, please.\No please, my lord. response:	Sneak enables self-concealment, while Silent Move allows motion without any sound.
context: a Brigandia member's Friend List, right?\Yeah.\Her current hiding spot is within a private zone, so they can't find her.\But the minute she leaves, they'll locate her and send pursuit.\So she's gotta get out before they catch up.\Akatsuki, I'd like you to hide yourself with Sneak and Silent Move, please.\No please, my lord.\Sneak enables self-concealment, while Silent Move allows motion without any sound. response:	They're tracker-class skills.
context: Yeah.\Her current hiding spot is within a private zone, so they can't find her.\But the minute she leaves, they'll locate her and send pursuit.\So she's gotta get out before they catch up.\Akatsuki, I'd like you to hide yourself with Sneak and Silent Move, please.\No please, my lord.\Sneak enables self-concealment, while Silent Move allows motion without any sound.\They're tracker-class skills. response:	Then, let's get this plan in gear!
context: Her current hiding spot is within a private zone, so they can't find her.\But the minute she leaves, they'll locate her and send pursuit.\So she's gotta get out before they catch up.\Akatsuki, I'd like you to hide yourself with Sneak and Silent Move, please.\No please, my lord.\Sneak enables self-concealment, while Silent Move allows motion without any sound.\They're tracker-class skills.\Then, let's get this plan in gear! response:	Escape
context: But the minute she leaves, they'll locate her and send pursuit.\So she's gotta get out before they catch up.\Akatsuki, I'd like you to hide yourself with Sneak and Silent Move, please.\No please, my lord.\Sneak enables self-concealment, while Silent Move allows motion without any sound.\They're tracker-class skills.\Then, let's get this plan in gear!\Escape response:	Escape.
context: So she's gotta get out before they catch up.\Akatsuki, I'd like you to hide yourself with Sneak and Silent Move, please.\No please, my lord.\Sneak enables self-concealment, while Silent Move allows motion without any sound.\They're tracker-class skills.\Then, let's get this plan in gear!\Escape\Escape. response:	Location Search
context: Akatsuki, I'd like you to hide yourself with Sneak and Silent Move, please.\No please, my lord.\Sneak enables self-concealment, while Silent Move allows motion without any sound.\They're tracker-class skills.\Then, let's get this plan in gear!\Escape\Escape.\Location Search response:	Location Search Target Not Within Specified Area
context: No please, my lord.\Sneak enables self-concealment, while Silent Move allows motion without any sound.\They're tracker-class skills.\Then, let's get this plan in gear!\Escape\Escape.\Location Search\Location Search Target Not Within Specified Area response:	Where are you hiding, Serara?
context: Sneak enables self-concealment, while Silent Move allows motion without any sound.\They're tracker-class skills.\Then, let's get this plan in gear!\Escape\Escape.\Location Search\Location Search Target Not Within Specified Area\Where are you hiding, Serara? response:	How long are you going to obsess over that girl?
context: They're tracker-class skills.\Then, let's get this plan in gear!\Escape\Escape.\Location Search\Location Search Target Not Within Specified Area\Where are you hiding, Serara?\How long are you going to obsess over that girl? response:	You've gotta keep a tight lead on your pets...
context: Then, let's get this plan in gear!\Escape\Escape.\Location Search\Location Search Target Not Within Specified Area\Where are you hiding, Serara?\How long are you going to obsess over that girl?\You've gotta keep a tight lead on your pets... response:	Let them know who's boss.
context: Escape\Escape.\Location Search\Location Search Target Not Within Specified Area\Where are you hiding, Serara?\How long are you going to obsess over that girl?\You've gotta keep a tight lead on your pets...\Let them know who's boss. response:	Demikas!
context: Escape.\Location Search\Location Search Target Not Within Specified Area\Where are you hiding, Serara?\How long are you going to obsess over that girl?\You've gotta keep a tight lead on your pets...\Let them know who's boss.\Demikas! response:	What's wrong?
context: Location Search\Location Search Target Not Within Specified Area\Where are you hiding, Serara?\How long are you going to obsess over that girl?\You've gotta keep a tight lead on your pets...\Let them know who's boss.\Demikas!\What's wrong? response:	Well...
context: Location Search Target Not Within Specified Area\Where are you hiding, Serara?\How long are you going to obsess over that girl?\You've gotta keep a tight lead on your pets...\Let them know who's boss.\Demikas!\What's wrong?\Well... response:	Two guys you don't know?
context: Where are you hiding, Serara?\How long are you going to obsess over that girl?\You've gotta keep a tight lead on your pets...\Let them know who's boss.\Demikas!\What's wrong?\Well...\Two guys you don't know? response:	They appear to be outsiders.
context: How long are you going to obsess over that girl?\You've gotta keep a tight lead on your pets...\Let them know who's boss.\Demikas!\What's wrong?\Well...\Two guys you don't know?\They appear to be outsiders. response:	Displaying Serara's location
context: You've gotta keep a tight lead on your pets...\Let them know who's boss.\Demikas!\What's wrong?\Well...\Two guys you don't know?\They appear to be outsiders.\Displaying Serara's location response:	Displaying Serara's location Susukino: Corridors of Time
context: Let them know who's boss.\Demikas!\What's wrong?\Well...\Two guys you don't know?\They appear to be outsiders.\Displaying Serara's location\Displaying Serara's location Susukino: Corridors of Time response:	Looks like they noticed us.
context: Demikas!\What's wrong?\Well...\Two guys you don't know?\They appear to be outsiders.\Displaying Serara's location\Displaying Serara's location Susukino: Corridors of Time\Looks like they noticed us. response:	Yeah.
context: What's wrong?\Well...\Two guys you don't know?\They appear to be outsiders.\Displaying Serara's location\Displaying Serara's location Susukino: Corridors of Time\Looks like they noticed us.\Yeah. response:	Anyway, talk about a nasty atmosphere...
context: Well...\Two guys you don't know?\They appear to be outsiders.\Displaying Serara's location\Displaying Serara's location Susukino: Corridors of Time\Looks like they noticed us.\Yeah.\Anyway, talk about a nasty atmosphere... response:	This is the place.
context: Two guys you don't know?\They appear to be outsiders.\Displaying Serara's location\Displaying Serara's location Susukino: Corridors of Time\Looks like they noticed us.\Yeah.\Anyway, talk about a nasty atmosphere...\This is the place. response:	Akatsuki, keep watch.
context: They appear to be outsiders.\Displaying Serara's location\Displaying Serara's location Susukino: Corridors of Time\Looks like they noticed us.\Yeah.\Anyway, talk about a nasty atmosphere...\This is the place.\Akatsuki, keep watch. response:	Understood.
context: Displaying Serara's location\Displaying Serara's location Susukino: Corridors of Time\Looks like they noticed us.\Yeah.\Anyway, talk about a nasty atmosphere...\This is the place.\Akatsuki, keep watch.\Understood. response:	Naotsugu, you wait here.
context: Displaying Serara's location Susukino: Corridors of Time\Looks like they noticed us.\Yeah.\Anyway, talk about a nasty atmosphere...\This is the place.\Akatsuki, keep watch.\Understood.\Naotsugu, you wait here. response:	Roger.
context: Looks like they noticed us.\Yeah.\Anyway, talk about a nasty atmosphere...\This is the place.\Akatsuki, keep watch.\Understood.\Naotsugu, you wait here.\Roger. response:	U-Um...
context: Yeah.\Anyway, talk about a nasty atmosphere...\This is the place.\Akatsuki, keep watch.\Understood.\Naotsugu, you wait here.\Roger.\U-Um... response:	Serara Race/ Human Druid, Lv. 19
context: Anyway, talk about a nasty atmosphere...\This is the place.\Akatsuki, keep watch.\Understood.\Naotsugu, you wait here.\Roger.\U-Um...\Serara Race/ Human Druid, Lv. 19 response:	I'm Serara, of the Crescent Moon Alliance.
context: This is the place.\Akatsuki, keep watch.\Understood.\Naotsugu, you wait here.\Roger.\U-Um...\Serara Race/ Human Druid, Lv. 19\I'm Serara, of the Crescent Moon Alliance. response:	Um...
context: Akatsuki, keep watch.\Understood.\Naotsugu, you wait here.\Roger.\U-Um...\Serara Race/ Human Druid, Lv. 19\I'm Serara, of the Crescent Moon Alliance.\Um... response:	Thank you for coming!
context: Understood.\Naotsugu, you wait here.\Roger.\U-Um...\Serara Race/ Human Druid, Lv. 19\I'm Serara, of the Crescent Moon Alliance.\Um...\Thank you for coming! response:	Meow.
context: Naotsugu, you wait here.\Roger.\U-Um...\Serara Race/ Human Druid, Lv. 19\I'm Serara, of the Crescent Moon Alliance.\Um...\Thank you for coming!\Meow. response:	Wait...
context: Roger.\U-Um...\Serara Race/ Human Druid, Lv. 19\I'm Serara, of the Crescent Moon Alliance.\Um...\Thank you for coming!\Meow.\Wait... response:	Is that you, Chief?!
context: U-Um...\Serara Race/ Human Druid, Lv. 19\I'm Serara, of the Crescent Moon Alliance.\Um...\Thank you for coming!\Meow.\Wait...\Is that you, Chief?! response:	Meow.
context: Serara Race/ Human Druid, Lv. 19\I'm Serara, of the Crescent Moon Alliance.\Um...\Thank you for coming!\Meow.\Wait...\Is that you, Chief?!\Meow. response:	Oh, my... If it isn't little Shiroe.
context: I'm Serara, of the Crescent Moon Alliance.\Um...\Thank you for coming!\Meow.\Wait...\Is that you, Chief?!\Meow.\Oh, my... If it isn't little Shiroe. response:	Nyanta Race/ Cat-man Swashbuckler, Lv. 90
context: Um...\Thank you for coming!\Meow.\Wait...\Is that you, Chief?!\Meow.\Oh, my... If it isn't little Shiroe.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90 response:	That explains how you arrived so quickly.
context: Thank you for coming!\Meow.\Wait...\Is that you, Chief?!\Meow.\Oh, my... If it isn't little Shiroe.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\That explains how you arrived so quickly. response:	U-Um...
context: Meow.\Wait...\Is that you, Chief?!\Meow.\Oh, my... If it isn't little Shiroe.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\That explains how you arrived so quickly.\U-Um... response:	Ah, well...
context: Wait...\Is that you, Chief?!\Meow.\Oh, my... If it isn't little Shiroe.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\That explains how you arrived so quickly.\U-Um...\Ah, well... response:	I'm sorry, Serara.
context: Is that you, Chief?!\Meow.\Oh, my... If it isn't little Shiroe.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\That explains how you arrived so quickly.\U-Um...\Ah, well...\I'm sorry, Serara. response:	My name is Shiroe.
context: Meow.\Oh, my... If it isn't little Shiroe.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\That explains how you arrived so quickly.\U-Um...\Ah, well...\I'm sorry, Serara.\My name is Shiroe. response:	He's a very smart kid, and a very good one.
context: Oh, my... If it isn't little Shiroe.\Nyanta Race/ Cat-man Swashbuckler, Lv. 90\That explains how you arrived so quickly.\U-Um...\Ah, well...\I'm sorry, Serara.\My name is Shiroe.\He's a very smart kid, and a very good one. response:	If he's here, our plan is sure to work.
context: Nyanta Race/ Cat-man Swashbuckler, Lv. 90\That explains how you arrived so quickly.\U-Um...\Ah, well...\I'm sorry, Serara.\My name is Shiroe.\He's a very smart kid, and a very good one.\If he's here, our plan is sure to work. response:	I see you still meow all the time, Chief.
context: That explains how you arrived so quickly.\U-Um...\Ah, well...\I'm sorry, Serara.\My name is Shiroe.\He's a very smart kid, and a very good one.\If he's here, our plan is sure to work.\I see you still meow all the time, Chief. response:	What are you talking about?
context: U-Um...\Ah, well...\I'm sorry, Serara.\My name is Shiroe.\He's a very smart kid, and a very good one.\If he's here, our plan is sure to work.\I see you still meow all the time, Chief.\What are you talking about? response:	This is the correct way for cat people to talk.
context: Ah, well...\I'm sorry, Serara.\My name is Shiroe.\He's a very smart kid, and a very good one.\If he's here, our plan is sure to work.\I see you still meow all the time, Chief.\What are you talking about?\This is the correct way for cat people to talk. response:	D-Do you know each other?
context: I'm sorry, Serara.\My name is Shiroe.\He's a very smart kid, and a very good one.\If he's here, our plan is sure to work.\I see you still meow all the time, Chief.\What are you talking about?\This is the correct way for cat people to talk.\D-Do you know each other? response:	I suppose we do.
context: My name is Shiroe.\He's a very smart kid, and a very good one.\If he's here, our plan is sure to work.\I see you still meow all the time, Chief.\What are you talking about?\This is the correct way for cat people to talk.\D-Do you know each other?\I suppose we do. response:	Little Shiroe used to check me for fleas.
context: He's a very smart kid, and a very good one.\If he's here, our plan is sure to work.\I see you still meow all the time, Chief.\What are you talking about?\This is the correct way for cat people to talk.\D-Do you know each other?\I suppose we do.\Little Shiroe used to check me for fleas. response:	I did not.
context: If he's here, our plan is sure to work.\I see you still meow all the time, Chief.\What are you talking about?\This is the correct way for cat people to talk.\D-Do you know each other?\I suppose we do.\Little Shiroe used to check me for fleas.\I did not. response:	I can go back to Akihabara.
context: I see you still meow all the time, Chief.\What are you talking about?\This is the correct way for cat people to talk.\D-Do you know each other?\I suppose we do.\Little Shiroe used to check me for fleas.\I did not.\I can go back to Akihabara. response:	But what about Nyanta?
context: What are you talking about?\This is the correct way for cat people to talk.\D-Do you know each other?\I suppose we do.\Little Shiroe used to check me for fleas.\I did not.\I can go back to Akihabara.\But what about Nyanta? response:	Naotsugu is with me.
context: This is the correct way for cat people to talk.\D-Do you know each other?\I suppose we do.\Little Shiroe used to check me for fleas.\I did not.\I can go back to Akihabara.\But what about Nyanta?\Naotsugu is with me. response:	And one other, a girl named Akatsuki...
context: D-Do you know each other?\I suppose we do.\Little Shiroe used to check me for fleas.\I did not.\I can go back to Akihabara.\But what about Nyanta?\Naotsugu is with me.\And one other, a girl named Akatsuki... response:	A level-90 assassin.
context: I suppose we do.\Little Shiroe used to check me for fleas.\I did not.\I can go back to Akihabara.\But what about Nyanta?\Naotsugu is with me.\And one other, a girl named Akatsuki...\A level-90 assassin. response:	She's good.
context: Little Shiroe used to check me for fleas.\I did not.\I can go back to Akihabara.\But what about Nyanta?\Naotsugu is with me.\And one other, a girl named Akatsuki...\A level-90 assassin.\She's good. response:	Then little Naotsugu's here, too?
context: I did not.\I can go back to Akihabara.\But what about Nyanta?\Naotsugu is with me.\And one other, a girl named Akatsuki...\A level-90 assassin.\She's good.\Then little Naotsugu's here, too? response:	And a new friend?
context: I can go back to Akihabara.\But what about Nyanta?\Naotsugu is with me.\And one other, a girl named Akatsuki...\A level-90 assassin.\She's good.\Then little Naotsugu's here, too?\And a new friend? response:	I think it would be best if you came with us, Chief.
context: But what about Nyanta?\Naotsugu is with me.\And one other, a girl named Akatsuki...\A level-90 assassin.\She's good.\Then little Naotsugu's here, too?\And a new friend?\I think it would be best if you came with us, Chief. response:	That's fine.
context: Naotsugu is with me.\And one other, a girl named Akatsuki...\A level-90 assassin.\She's good.\Then little Naotsugu's here, too?\And a new friend?\I think it would be best if you came with us, Chief.\That's fine. response:	I have no reason to stay.
context: And one other, a girl named Akatsuki...\A level-90 assassin.\She's good.\Then little Naotsugu's here, too?\And a new friend?\I think it would be best if you came with us, Chief.\That's fine.\I have no reason to stay. response:	Perhaps it is a sign from above, telling me to go to Akihabara.
context: A level-90 assassin.\She's good.\Then little Naotsugu's here, too?\And a new friend?\I think it would be best if you came with us, Chief.\That's fine.\I have no reason to stay.\Perhaps it is a sign from above, telling me to go to Akihabara. response:	Then...
context: She's good.\Then little Naotsugu's here, too?\And a new friend?\I think it would be best if you came with us, Chief.\That's fine.\I have no reason to stay.\Perhaps it is a sign from above, telling me to go to Akihabara.\Then... response:	Meow.
context: Then little Naotsugu's here, too?\And a new friend?\I think it would be best if you came with us, Chief.\That's fine.\I have no reason to stay.\Perhaps it is a sign from above, telling me to go to Akihabara.\Then...\Meow. response:	Nyanta!
context: And a new friend?\I think it would be best if you came with us, Chief.\That's fine.\I have no reason to stay.\Perhaps it is a sign from above, telling me to go to Akihabara.\Then...\Meow.\Nyanta! response:	Akatsuki?
context: I think it would be best if you came with us, Chief.\That's fine.\I have no reason to stay.\Perhaps it is a sign from above, telling me to go to Akihabara.\Then...\Meow.\Nyanta!\Akatsuki? response:	Which direction?
context: That's fine.\I have no reason to stay.\Perhaps it is a sign from above, telling me to go to Akihabara.\Then...\Meow.\Nyanta!\Akatsuki?\Which direction? response:	They're coming from the north.
context: I have no reason to stay.\Perhaps it is a sign from above, telling me to go to Akihabara.\Then...\Meow.\Nyanta!\Akatsuki?\Which direction?\They're coming from the north. response:	On their way, they're searching the town.
context: Perhaps it is a sign from above, telling me to go to Akihabara.\Then...\Meow.\Nyanta!\Akatsuki?\Which direction?\They're coming from the north.\On their way, they're searching the town. response:	But they're close enough to be here in five minutes.
context: Then...\Meow.\Nyanta!\Akatsuki?\Which direction?\They're coming from the north.\On their way, they're searching the town.\But they're close enough to be here in five minutes. response:	Their leader seems to be an enormous martial artist.
context: Meow.\Nyanta!\Akatsuki?\Which direction?\They're coming from the north.\On their way, they're searching the town.\But they're close enough to be here in five minutes.\Their leader seems to be an enormous martial artist. response:	He's a monk, but...
context: Nyanta!\Akatsuki?\Which direction?\They're coming from the north.\On their way, they're searching the town.\But they're close enough to be here in five minutes.\Their leader seems to be an enormous martial artist.\He's a monk, but... response:	Like a bear carved out of wood?
context: Akatsuki?\Which direction?\They're coming from the north.\On their way, they're searching the town.\But they're close enough to be here in five minutes.\Their leader seems to be an enormous martial artist.\He's a monk, but...\Like a bear carved out of wood? response:	That would be Brigandia's guild master, Demikas.
context: Which direction?\They're coming from the north.\On their way, they're searching the town.\But they're close enough to be here in five minutes.\Their leader seems to be an enormous martial artist.\He's a monk, but...\Like a bear carved out of wood?\That would be Brigandia's guild master, Demikas. response:	Naotsugu...
context: They're coming from the north.\On their way, they're searching the town.\But they're close enough to be here in five minutes.\Their leader seems to be an enormous martial artist.\He's a monk, but...\Like a bear carved out of wood?\That would be Brigandia's guild master, Demikas.\Naotsugu... response:	I'm here.
context: On their way, they're searching the town.\But they're close enough to be here in five minutes.\Their leader seems to be an enormous martial artist.\He's a monk, but...\Like a bear carved out of wood?\That would be Brigandia's guild master, Demikas.\Naotsugu...\I'm here. response:	I see.
context: But they're close enough to be here in five minutes.\Their leader seems to be an enormous martial artist.\He's a monk, but...\Like a bear carved out of wood?\That would be Brigandia's guild master, Demikas.\Naotsugu...\I'm here.\I see. response:	Roger.
context: Their leader seems to be an enormous martial artist.\He's a monk, but...\Like a bear carved out of wood?\That would be Brigandia's guild master, Demikas.\Naotsugu...\I'm here.\I see.\Roger. response:	Thanks.
context: He's a monk, but...\Like a bear carved out of wood?\That would be Brigandia's guild master, Demikas.\Naotsugu...\I'm here.\I see.\Roger.\Thanks. response:	Let's go.
context: Like a bear carved out of wood?\That would be Brigandia's guild master, Demikas.\Naotsugu...\I'm here.\I see.\Roger.\Thanks.\Let's go. response:	We'll take the rear exit.
context: That would be Brigandia's guild master, Demikas.\Naotsugu...\I'm here.\I see.\Roger.\Thanks.\Let's go.\We'll take the rear exit. response:	Londark...
context: Naotsugu...\I'm here.\I see.\Roger.\Thanks.\Let's go.\We'll take the rear exit.\Londark... response:	Ah...
context: I'm here.\I see.\Roger.\Thanks.\Let's go.\We'll take the rear exit.\Londark...\Ah... response:	So the outsiders really were here for Serara.
context: I see.\Roger.\Thanks.\Let's go.\We'll take the rear exit.\Londark...\Ah...\So the outsiders really were here for Serara. response:	Yes.
context: Roger.\Thanks.\Let's go.\We'll take the rear exit.\Londark...\Ah...\So the outsiders really were here for Serara.\Yes. response:	The transport gate is shut down.
context: Thanks.\Let's go.\We'll take the rear exit.\Londark...\Ah...\So the outsiders really were here for Serara.\Yes.\The transport gate is shut down. response:	Where did they come from?
context: Let's go.\We'll take the rear exit.\Londark...\Ah...\So the outsiders really were here for Serara.\Yes.\The transport gate is shut down.\Where did they come from? response:	Interesting.
context: We'll take the rear exit.\Londark...\Ah...\So the outsiders really were here for Serara.\Yes.\The transport gate is shut down.\Where did they come from?\Interesting. response:	It's okay.
context: Londark...\Ah...\So the outsiders really were here for Serara.\Yes.\The transport gate is shut down.\Where did they come from?\Interesting.\It's okay. response:	They won't attack yet.
context: Ah...\So the outsiders really were here for Serara.\Yes.\The transport gate is shut down.\Where did they come from?\Interesting.\It's okay.\They won't attack yet. response:	Fighting isn't allowed within towns.
context: So the outsiders really were here for Serara.\Yes.\The transport gate is shut down.\Where did they come from?\Interesting.\It's okay.\They won't attack yet.\Fighting isn't allowed within towns. response:	They'll wait until we're outside to attack.
context: Yes.\The transport gate is shut down.\Where did they come from?\Interesting.\It's okay.\They won't attack yet.\Fighting isn't allowed within towns.\They'll wait until we're outside to attack. response:	Th-Then how will we escape?
context: The transport gate is shut down.\Where did they come from?\Interesting.\It's okay.\They won't attack yet.\Fighting isn't allowed within towns.\They'll wait until we're outside to attack.\Th-Then how will we escape? response:	Hmm...
context: Where did they come from?\Interesting.\It's okay.\They won't attack yet.\Fighting isn't allowed within towns.\They'll wait until we're outside to attack.\Th-Then how will we escape?\Hmm... response:	If they're letting us leave, then we just go.
context: Interesting.\It's okay.\They won't attack yet.\Fighting isn't allowed within towns.\They'll wait until we're outside to attack.\Th-Then how will we escape?\Hmm...\If they're letting us leave, then we just go. response:	That makes things easier...
context: It's okay.\They won't attack yet.\Fighting isn't allowed within towns.\They'll wait until we're outside to attack.\Th-Then how will we escape?\Hmm...\If they're letting us leave, then we just go.\That makes things easier... response:	B-But if we leave...
context: They won't attack yet.\Fighting isn't allowed within towns.\They'll wait until we're outside to attack.\Th-Then how will we escape?\Hmm...\If they're letting us leave, then we just go.\That makes things easier...\B-But if we leave... response:	They might attack us, right?
context: Fighting isn't allowed within towns.\They'll wait until we're outside to attack.\Th-Then how will we escape?\Hmm...\If they're letting us leave, then we just go.\That makes things easier...\B-But if we leave...\They might attack us, right? response:	Not might. They will.
context: They'll wait until we're outside to attack.\Th-Then how will we escape?\Hmm...\If they're letting us leave, then we just go.\That makes things easier...\B-But if we leave...\They might attack us, right?\Not might. They will. response:	Once we're outside the no-PvP zone, their plan is to surround and PK us.
context: Th-Then how will we escape?\Hmm...\If they're letting us leave, then we just go.\That makes things easier...\B-But if we leave...\They might attack us, right?\Not might. They will.\Once we're outside the no-PvP zone, their plan is to surround and PK us. response:	Their first priority will probably be your confederate, Chief Nyanta.
context: Hmm...\If they're letting us leave, then we just go.\That makes things easier...\B-But if we leave...\They might attack us, right?\Not might. They will.\Once we're outside the no-PvP zone, their plan is to surround and PK us.\Their first priority will probably be your confederate, Chief Nyanta. response:	That will destroy your will and put you under their control.
