context: Polishing my body and soul... response:	I want you...
context: Mr. Jiro.\I'm off to clean the backyard!\He's good at cleaning the bathhouse for some reason.\It probably combines fun and profit for him.\Minko, we should get going soon!\Minko!\That uniform's too big for you.\You look like you're dressing up as an elementary school student. response:	Wha-
context: I'm off to clean the backyard!\He's good at cleaning the bathhouse for some reason.\It probably combines fun and profit for him.\Minko, we should get going soon!\Minko!\That uniform's too big for you.\You look like you're dressing up as an elementary school student.\Wha- response:	Hey, Tohru.
context: He's good at cleaning the bathhouse for some reason.\It probably combines fun and profit for him.\Minko, we should get going soon!\Minko!\That uniform's too big for you.\You look like you're dressing up as an elementary school student.\Wha-\Hey, Tohru. response:	Where's the new dish you said you thought of?
context: It probably combines fun and profit for him.\Minko, we should get going soon!\Minko!\That uniform's too big for you.\You look like you're dressing up as an elementary school student.\Wha-\Hey, Tohru.\Where's the new dish you said you thought of? response:	You don't mind giving it a taste?!
context: Minko, we should get going soon!\Minko!\That uniform's too big for you.\You look like you're dressing up as an elementary school student.\Wha-\Hey, Tohru.\Where's the new dish you said you thought of?\You don't mind giving it a taste?! response:	What are you doing?
context: Minko!\That uniform's too big for you.\You look like you're dressing up as an elementary school student.\Wha-\Hey, Tohru.\Where's the new dish you said you thought of?\You don't mind giving it a taste?!\What are you doing? response:	I'm so nervous...
context: That uniform's too big for you.\You look like you're dressing up as an elementary school student.\Wha-\Hey, Tohru.\Where's the new dish you said you thought of?\You don't mind giving it a taste?!\What are you doing?\I'm so nervous... response:	You'll be fine.
context: You look like you're dressing up as an elementary school student.\Wha-\Hey, Tohru.\Where's the new dish you said you thought of?\You don't mind giving it a taste?!\What are you doing?\I'm so nervous...\You'll be fine. response:	I'm sure you'll make friends in no time.
context: Wha-\Hey, Tohru.\Where's the new dish you said you thought of?\You don't mind giving it a taste?!\What are you doing?\I'm so nervous...\You'll be fine.\I'm sure you'll make friends in no time. response:	I wish you had said that in front of Tohru.
context: Hey, Tohru.\Where's the new dish you said you thought of?\You don't mind giving it a taste?!\What are you doing?\I'm so nervous...\You'll be fine.\I'm sure you'll make friends in no time.\I wish you had said that in front of Tohru. response:	Huh?
context: Where's the new dish you said you thought of?\You don't mind giving it a taste?!\What are you doing?\I'm so nervous...\You'll be fine.\I'm sure you'll make friends in no time.\I wish you had said that in front of Tohru.\Huh? response:	Nothing.
context: You don't mind giving it a taste?!\What are you doing?\I'm so nervous...\You'll be fine.\I'm sure you'll make friends in no time.\I wish you had said that in front of Tohru.\Huh?\Nothing. response:	I hope I'm placed in the same class as you two!
context: What are you doing?\I'm so nervous...\You'll be fine.\I'm sure you'll make friends in no time.\I wish you had said that in front of Tohru.\Huh?\Nothing.\I hope I'm placed in the same class as you two! response:	Being in the same class with you would be so balut.
context: I'm so nervous...\You'll be fine.\I'm sure you'll make friends in no time.\I wish you had said that in front of Tohru.\Huh?\Nothing.\I hope I'm placed in the same class as you two!\Being in the same class with you would be so balut. response:	Isn't that word hard to use in everyday life?
context: You'll be fine.\I'm sure you'll make friends in no time.\I wish you had said that in front of Tohru.\Huh?\Nothing.\I hope I'm placed in the same class as you two!\Being in the same class with you would be so balut.\Isn't that word hard to use in everyday life? response:	Tough to tell whether you're referring to me or the situation.
context: I'm sure you'll make friends in no time.\I wish you had said that in front of Tohru.\Huh?\Nothing.\I hope I'm placed in the same class as you two!\Being in the same class with you would be so balut.\Isn't that word hard to use in everyday life?\Tough to tell whether you're referring to me or the situation. response:	Shut up, you balut-
context: I wish you had said that in front of Tohru.\Huh?\Nothing.\I hope I'm placed in the same class as you two!\Being in the same class with you would be so balut.\Isn't that word hard to use in everyday life?\Tough to tell whether you're referring to me or the situation.\Shut up, you balut- response:	Wow.
context: Huh?\Nothing.\I hope I'm placed in the same class as you two!\Being in the same class with you would be so balut.\Isn't that word hard to use in everyday life?\Tough to tell whether you're referring to me or the situation.\Shut up, you balut-\Wow. response:	It came from over there.
context: Nothing.\I hope I'm placed in the same class as you two!\Being in the same class with you would be so balut.\Isn't that word hard to use in everyday life?\Tough to tell whether you're referring to me or the situation.\Shut up, you balut-\Wow.\It came from over there. response:	Oh!
context: I hope I'm placed in the same class as you two!\Being in the same class with you would be so balut.\Isn't that word hard to use in everyday life?\Tough to tell whether you're referring to me or the situation.\Shut up, you balut-\Wow.\It came from over there.\Oh! response:	Fukuya is a famous hot spring inn, right?
context: Being in the same class with you would be so balut.\Isn't that word hard to use in everyday life?\Tough to tell whether you're referring to me or the situation.\Shut up, you balut-\Wow.\It came from over there.\Oh!\Fukuya is a famous hot spring inn, right? response:	Fukuya
context: Isn't that word hard to use in everyday life?\Tough to tell whether you're referring to me or the situation.\Shut up, you balut-\Wow.\It came from over there.\Oh!\Fukuya is a famous hot spring inn, right?\Fukuya response:	Yeah. It's also listed on many guidebooks.
context: Tough to tell whether you're referring to me or the situation.\Shut up, you balut-\Wow.\It came from over there.\Oh!\Fukuya is a famous hot spring inn, right?\Fukuya\Yeah. It's also listed on many guidebooks. response:	A powerful rival has appeared!
context: Shut up, you balut-\Wow.\It came from over there.\Oh!\Fukuya is a famous hot spring inn, right?\Fukuya\Yeah. It's also listed on many guidebooks.\A powerful rival has appeared! response:	Appeared?
context: Wow.\It came from over there.\Oh!\Fukuya is a famous hot spring inn, right?\Fukuya\Yeah. It's also listed on many guidebooks.\A powerful rival has appeared!\Appeared? response:	They've been around longer than our inn.
context: It came from over there.\Oh!\Fukuya is a famous hot spring inn, right?\Fukuya\Yeah. It's also listed on many guidebooks.\A powerful rival has appeared!\Appeared?\They've been around longer than our inn. response:	Wow!
context: Oh!\Fukuya is a famous hot spring inn, right?\Fukuya\Yeah. It's also listed on many guidebooks.\A powerful rival has appeared!\Appeared?\They've been around longer than our inn.\Wow! response:	So pretty!
context: Fukuya is a famous hot spring inn, right?\Fukuya\Yeah. It's also listed on many guidebooks.\A powerful rival has appeared!\Appeared?\They've been around longer than our inn.\Wow!\So pretty! response:	You look like you're having so much fun, Ohana.
context: Fukuya\Yeah. It's also listed on many guidebooks.\A powerful rival has appeared!\Appeared?\They've been around longer than our inn.\Wow!\So pretty!\You look like you're having so much fun, Ohana. response:	Look!
context: Yeah. It's also listed on many guidebooks.\A powerful rival has appeared!\Appeared?\They've been around longer than our inn.\Wow!\So pretty!\You look like you're having so much fun, Ohana.\Look! response:	Usually, when it's in this much bloom,
context: A powerful rival has appeared!\Appeared?\They've been around longer than our inn.\Wow!\So pretty!\You look like you're having so much fun, Ohana.\Look!\Usually, when it's in this much bloom, response:	there's so many people crowding around it-
context: Appeared?\They've been around longer than our inn.\Wow!\So pretty!\You look like you're having so much fun, Ohana.\Look!\Usually, when it's in this much bloom,\there's so many people crowding around it- response:	Wait for me, Ko!
context: They've been around longer than our inn.\Wow!\So pretty!\You look like you're having so much fun, Ohana.\Look!\Usually, when it's in this much bloom,\there's so many people crowding around it-\Wait for me, Ko! response:	My bag got stuck!
context: Wow!\So pretty!\You look like you're having so much fun, Ohana.\Look!\Usually, when it's in this much bloom,\there's so many people crowding around it-\Wait for me, Ko!\My bag got stuck! response:	Don't leave my side!
context: So pretty!\You look like you're having so much fun, Ohana.\Look!\Usually, when it's in this much bloom,\there's so many people crowding around it-\Wait for me, Ko!\My bag got stuck!\Don't leave my side! response:	This is a little embarrassing...
context: You look like you're having so much fun, Ohana.\Look!\Usually, when it's in this much bloom,\there's so many people crowding around it-\Wait for me, Ko!\My bag got stuck!\Don't leave my side!\This is a little embarrassing... response:	Then how about this?
context: Look!\Usually, when it's in this much bloom,\there's so many people crowding around it-\Wait for me, Ko!\My bag got stuck!\Don't leave my side!\This is a little embarrassing...\Then how about this? response:	I was always being protected by Ko.
context: Usually, when it's in this much bloom,\there's so many people crowding around it-\Wait for me, Ko!\My bag got stuck!\Don't leave my side!\This is a little embarrassing...\Then how about this?\I was always being protected by Ko. response:	Ohana?
context: there's so many people crowding around it-\Wait for me, Ko!\My bag got stuck!\Don't leave my side!\This is a little embarrassing...\Then how about this?\I was always being protected by Ko.\Ohana? response:	Something wrong?
context: Wait for me, Ko!\My bag got stuck!\Don't leave my side!\This is a little embarrassing...\Then how about this?\I was always being protected by Ko.\Ohana?\Something wrong? response:	N-No.
context: My bag got stuck!\Don't leave my side!\This is a little embarrassing...\Then how about this?\I was always being protected by Ko.\Ohana?\Something wrong?\N-No. response:	What should I do about my reply to his text...?
context: Don't leave my side!\This is a little embarrassing...\Then how about this?\I was always being protected by Ko.\Ohana?\Something wrong?\N-No.\What should I do about my reply to his text...? response:	Faculty Room
context: This is a little embarrassing...\Then how about this?\I was always being protected by Ko.\Ohana?\Something wrong?\N-No.\What should I do about my reply to his text...?\Faculty Room response:	You can handle the rest, right?
context: Then how about this?\I was always being protected by Ko.\Ohana?\Something wrong?\N-No.\What should I do about my reply to his text...?\Faculty Room\You can handle the rest, right? response:	Thanks, Nako.
context: I was always being protected by Ko.\Ohana?\Something wrong?\N-No.\What should I do about my reply to his text...?\Faculty Room\You can handle the rest, right?\Thanks, Nako. response:	No problem. Bye.
context: Ohana?\Something wrong?\N-No.\What should I do about my reply to his text...?\Faculty Room\You can handle the rest, right?\Thanks, Nako.\No problem. Bye. response:	Please let me be in the same class as them...
context: Something wrong?\N-No.\What should I do about my reply to his text...?\Faculty Room\You can handle the rest, right?\Thanks, Nako.\No problem. Bye.\Please let me be in the same class as them... response:	Please let me be in the same class as them...
context: N-No.\What should I do about my reply to his text...?\Faculty Room\You can handle the rest, right?\Thanks, Nako.\No problem. Bye.\Please let me be in the same class as them...\Please let me be in the same class as them... response:	For crying out loud!
context: What should I do about my reply to his text...?\Faculty Room\You can handle the rest, right?\Thanks, Nako.\No problem. Bye.\Please let me be in the same class as them...\Please let me be in the same class as them...\For crying out loud! response:	Please let me be in the same class as them...
context: Faculty Room\You can handle the rest, right?\Thanks, Nako.\No problem. Bye.\Please let me be in the same class as them...\Please let me be in the same class as them...\For crying out loud!\Please let me be in the same class as them... response:	Are you Matsumae?
context: You can handle the rest, right?\Thanks, Nako.\No problem. Bye.\Please let me be in the same class as them...\Please let me be in the same class as them...\For crying out loud!\Please let me be in the same class as them...\Are you Matsumae? response:	Y-Yes.
context: Thanks, Nako.\No problem. Bye.\Please let me be in the same class as them...\Please let me be in the same class as them...\For crying out loud!\Please let me be in the same class as them...\Are you Matsumae?\Y-Yes. response:	Umm...
context: No problem. Bye.\Please let me be in the same class as them...\Please let me be in the same class as them...\For crying out loud!\Please let me be in the same class as them...\Are you Matsumae?\Y-Yes.\Umm... response:	Matsumae... Ohana!
context: Please let me be in the same class as them...\Please let me be in the same class as them...\For crying out loud!\Please let me be in the same class as them...\Are you Matsumae?\Y-Yes.\Umm...\Matsumae... Ohana! response:	Ohana!
context: Please let me be in the same class as them...\For crying out loud!\Please let me be in the same class as them...\Are you Matsumae?\Y-Yes.\Umm...\Matsumae... Ohana!\Ohana! response:	It's the first day of a new trimester.
context: For crying out loud!\Please let me be in the same class as them...\Are you Matsumae?\Y-Yes.\Umm...\Matsumae... Ohana!\Ohana!\It's the first day of a new trimester. response:	Get your butts in your seats already!
context: Please let me be in the same class as them...\Are you Matsumae?\Y-Yes.\Umm...\Matsumae... Ohana!\Ohana!\It's the first day of a new trimester.\Get your butts in your seats already! response:	Good news for you all: a new student.
context: Are you Matsumae?\Y-Yes.\Umm...\Matsumae... Ohana!\Ohana!\It's the first day of a new trimester.\Get your butts in your seats already!\Good news for you all: a new student. response:	Attention!
context: Y-Yes.\Umm...\Matsumae... Ohana!\Ohana!\It's the first day of a new trimester.\Get your butts in your seats already!\Good news for you all: a new student.\Attention! response:	Introduce yourself, new kid!
context: Umm...\Matsumae... Ohana!\Ohana!\It's the first day of a new trimester.\Get your butts in your seats already!\Good news for you all: a new student.\Attention!\Introduce yourself, new kid! response:	U-Umm...
context: Matsumae... Ohana!\Ohana!\It's the first day of a new trimester.\Get your butts in your seats already!\Good news for you all: a new student.\Attention!\Introduce yourself, new kid!\U-Umm... response:	I'm Matsumae Ohana.
context: Ohana!\It's the first day of a new trimester.\Get your butts in your seats already!\Good news for you all: a new student.\Attention!\Introduce yourself, new kid!\U-Umm...\I'm Matsumae Ohana. response:	I came from Tokyo.
context: It's the first day of a new trimester.\Get your butts in your seats already!\Good news for you all: a new student.\Attention!\Introduce yourself, new kid!\U-Umm...\I'm Matsumae Ohana.\I came from Tokyo. response:	Awesome! Tokyo!
context: Get your butts in your seats already!\Good news for you all: a new student.\Attention!\Introduce yourself, new kid!\U-Umm...\I'm Matsumae Ohana.\I came from Tokyo.\Awesome! Tokyo! response:	I've seen that hairpin in a magazine before!
context: Good news for you all: a new student.\Attention!\Introduce yourself, new kid!\U-Umm...\I'm Matsumae Ohana.\I came from Tokyo.\Awesome! Tokyo!\I've seen that hairpin in a magazine before! response:	I bought it in a 300 yen shop.
context: Attention!\Introduce yourself, new kid!\U-Umm...\I'm Matsumae Ohana.\I came from Tokyo.\Awesome! Tokyo!\I've seen that hairpin in a magazine before!\I bought it in a 300 yen shop. response:	Her perm is like that of a young foreigner boy!
context: Introduce yourself, new kid!\U-Umm...\I'm Matsumae Ohana.\I came from Tokyo.\Awesome! Tokyo!\I've seen that hairpin in a magazine before!\I bought it in a 300 yen shop.\Her perm is like that of a young foreigner boy! response:	So fashionable!
context: U-Umm...\I'm Matsumae Ohana.\I came from Tokyo.\Awesome! Tokyo!\I've seen that hairpin in a magazine before!\I bought it in a 300 yen shop.\Her perm is like that of a young foreigner boy!\So fashionable! response:	I just have naturally wavy hair.
context: I'm Matsumae Ohana.\I came from Tokyo.\Awesome! Tokyo!\I've seen that hairpin in a magazine before!\I bought it in a 300 yen shop.\Her perm is like that of a young foreigner boy!\So fashionable!\I just have naturally wavy hair. response:	Her skirt's height is also adjusted!
context: I came from Tokyo.\Awesome! Tokyo!\I've seen that hairpin in a magazine before!\I bought it in a 300 yen shop.\Her perm is like that of a young foreigner boy!\So fashionable!\I just have naturally wavy hair.\Her skirt's height is also adjusted! response:	Thank Tohru for that.
context: Awesome! Tokyo!\I've seen that hairpin in a magazine before!\I bought it in a 300 yen shop.\Her perm is like that of a young foreigner boy!\So fashionable!\I just have naturally wavy hair.\Her skirt's height is also adjusted!\Thank Tohru for that. response:	Minko-
context: I've seen that hairpin in a magazine before!\I bought it in a 300 yen shop.\Her perm is like that of a young foreigner boy!\So fashionable!\I just have naturally wavy hair.\Her skirt's height is also adjusted!\Thank Tohru for that.\Minko- response:	Matsumae!
context: I bought it in a 300 yen shop.\Her perm is like that of a young foreigner boy!\So fashionable!\I just have naturally wavy hair.\Her skirt's height is also adjusted!\Thank Tohru for that.\Minko-\Matsumae! response:	Where in Tokyo are you from?!
context: Her perm is like that of a young foreigner boy!\So fashionable!\I just have naturally wavy hair.\Her skirt's height is also adjusted!\Thank Tohru for that.\Minko-\Matsumae!\Where in Tokyo are you from?! response:	Shinjuku? Harajuku? Shibuya? Odaiba?!
context: So fashionable!\I just have naturally wavy hair.\Her skirt's height is also adjusted!\Thank Tohru for that.\Minko-\Matsumae!\Where in Tokyo are you from?!\Shinjuku? Harajuku? Shibuya? Odaiba?! response:	People don't live in those places.
context: I just have naturally wavy hair.\Her skirt's height is also adjusted!\Thank Tohru for that.\Minko-\Matsumae!\Where in Tokyo are you from?!\Shinjuku? Harajuku? Shibuya? Odaiba?!\People don't live in those places. response:	No, they do.
context: Her skirt's height is also adjusted!\Thank Tohru for that.\Minko-\Matsumae!\Where in Tokyo are you from?!\Shinjuku? Harajuku? Shibuya? Odaiba?!\People don't live in those places.\No, they do. response:	Do you have a boyfriend?!
context: Thank Tohru for that.\Minko-\Matsumae!\Where in Tokyo are you from?!\Shinjuku? Harajuku? Shibuya? Odaiba?!\People don't live in those places.\No, they do.\Do you have a boyfriend?! response:	B-Boyfriend?
context: Minko-\Matsumae!\Where in Tokyo are you from?!\Shinjuku? Harajuku? Shibuya? Odaiba?!\People don't live in those places.\No, they do.\Do you have a boyfriend?!\B-Boyfriend? response:	K-Ko isn't really a...
context: Matsumae!\Where in Tokyo are you from?!\Shinjuku? Harajuku? Shibuya? Odaiba?!\People don't live in those places.\No, they do.\Do you have a boyfriend?!\B-Boyfriend?\K-Ko isn't really a... response:	Tsurugi works at the same inn as you, right?
context: Where in Tokyo are you from?!\Shinjuku? Harajuku? Shibuya? Odaiba?!\People don't live in those places.\No, they do.\Do you have a boyfriend?!\B-Boyfriend?\K-Ko isn't really a...\Tsurugi works at the same inn as you, right? response:	Minko?
context: Shinjuku? Harajuku? Shibuya? Odaiba?!\People don't live in those places.\No, they do.\Do you have a boyfriend?!\B-Boyfriend?\K-Ko isn't really a...\Tsurugi works at the same inn as you, right?\Minko? response:	Yeah.
context: People don't live in those places.\No, they do.\Do you have a boyfriend?!\B-Boyfriend?\K-Ko isn't really a...\Tsurugi works at the same inn as you, right?\Minko?\Yeah. response:	Yup.
context: No, they do.\Do you have a boyfriend?!\B-Boyfriend?\K-Ko isn't really a...\Tsurugi works at the same inn as you, right?\Minko?\Yeah.\Yup. response:	We live in the same room-
context: Do you have a boyfriend?!\B-Boyfriend?\K-Ko isn't really a...\Tsurugi works at the same inn as you, right?\Minko?\Yeah.\Yup.\We live in the same room- response:	Seriously?!
context: B-Boyfriend?\K-Ko isn't really a...\Tsurugi works at the same inn as you, right?\Minko?\Yeah.\Yup.\We live in the same room-\Seriously?! response:	You gotta tell me how
context: K-Ko isn't really a...\Tsurugi works at the same inn as you, right?\Minko?\Yeah.\Yup.\We live in the same room-\Seriously?!\You gotta tell me how response:	Princess Minko she looks outside of school!
context: Tsurugi works at the same inn as you, right?\Minko?\Yeah.\Yup.\We live in the same room-\Seriously?!\You gotta tell me how\Princess Minko she looks outside of school! response:	P-Princess Minko?
context: Minko?\Yeah.\Yup.\We live in the same room-\Seriously?!\You gotta tell me how\Princess Minko she looks outside of school!\P-Princess Minko? response:	Yeah!
context: Yeah.\Yup.\We live in the same room-\Seriously?!\You gotta tell me how\Princess Minko she looks outside of school!\P-Princess Minko?\Yeah! response:	How do I explain it...
context: Yup.\We live in the same room-\Seriously?!\You gotta tell me how\Princess Minko she looks outside of school!\P-Princess Minko?\Yeah!\How do I explain it... response:	She looks like a plateau girl
context: We live in the same room-\Seriously?!\You gotta tell me how\Princess Minko she looks outside of school!\P-Princess Minko?\Yeah!\How do I explain it...\She looks like a plateau girl response:	who would look well in a white dress!
context: Seriously?!\You gotta tell me how\Princess Minko she looks outside of school!\P-Princess Minko?\Yeah!\How do I explain it...\She looks like a plateau girl\who would look well in a white dress! response:	The fact that she seems a little stern and unshakeable
context: You gotta tell me how\Princess Minko she looks outside of school!\P-Princess Minko?\Yeah!\How do I explain it...\She looks like a plateau girl\who would look well in a white dress!\The fact that she seems a little stern and unshakeable response:	makes me think of an expensive flower!
context: Princess Minko she looks outside of school!\P-Princess Minko?\Yeah!\How do I explain it...\She looks like a plateau girl\who would look well in a white dress!\The fact that she seems a little stern and unshakeable\makes me think of an expensive flower! response:	She's usually just wearing a jersey and is
context: P-Princess Minko?\Yeah!\How do I explain it...\She looks like a plateau girl\who would look well in a white dress!\The fact that she seems a little stern and unshakeable\makes me think of an expensive flower!\She's usually just wearing a jersey and is response:	kind of awkward in expressing herself.
context: Yeah!\How do I explain it...\She looks like a plateau girl\who would look well in a white dress!\The fact that she seems a little stern and unshakeable\makes me think of an expensive flower!\She's usually just wearing a jersey and is\kind of awkward in expressing herself. response:	Do me a favor and take a picture of her outside of school!
context: How do I explain it...\She looks like a plateau girl\who would look well in a white dress!\The fact that she seems a little stern and unshakeable\makes me think of an expensive flower!\She's usually just wearing a jersey and is\kind of awkward in expressing herself.\Do me a favor and take a picture of her outside of school! response:	I'll pay you 3000 yen!
context: She looks like a plateau girl\who would look well in a white dress!\The fact that she seems a little stern and unshakeable\makes me think of an expensive flower!\She's usually just wearing a jersey and is\kind of awkward in expressing herself.\Do me a favor and take a picture of her outside of school!\I'll pay you 3000 yen! response:	What?!
context: who would look well in a white dress!\The fact that she seems a little stern and unshakeable\makes me think of an expensive flower!\She's usually just wearing a jersey and is\kind of awkward in expressing herself.\Do me a favor and take a picture of her outside of school!\I'll pay you 3000 yen!\What?! response:	If it's one of her right out of the shower,
context: The fact that she seems a little stern and unshakeable\makes me think of an expensive flower!\She's usually just wearing a jersey and is\kind of awkward in expressing herself.\Do me a favor and take a picture of her outside of school!\I'll pay you 3000 yen!\What?!\If it's one of her right out of the shower, response:	I'll pay you 3500 yen!
context: makes me think of an expensive flower!\She's usually just wearing a jersey and is\kind of awkward in expressing herself.\Do me a favor and take a picture of her outside of school!\I'll pay you 3000 yen!\What?!\If it's one of her right out of the shower,\I'll pay you 3500 yen! response:	How dare you look at the princess with dirty eyes!
context: She's usually just wearing a jersey and is\kind of awkward in expressing herself.\Do me a favor and take a picture of her outside of school!\I'll pay you 3000 yen!\What?!\If it's one of her right out of the shower,\I'll pay you 3500 yen!\How dare you look at the princess with dirty eyes! response:	We'll settle this on the rooftop!
context: kind of awkward in expressing herself.\Do me a favor and take a picture of her outside of school!\I'll pay you 3000 yen!\What?!\If it's one of her right out of the shower,\I'll pay you 3500 yen!\How dare you look at the princess with dirty eyes!\We'll settle this on the rooftop! response:	E-Excuse me...
context: Do me a favor and take a picture of her outside of school!\I'll pay you 3000 yen!\What?!\If it's one of her right out of the shower,\I'll pay you 3500 yen!\How dare you look at the princess with dirty eyes!\We'll settle this on the rooftop!\E-Excuse me... response:	Cut it out!
context: I'll pay you 3000 yen!\What?!\If it's one of her right out of the shower,\I'll pay you 3500 yen!\How dare you look at the princess with dirty eyes!\We'll settle this on the rooftop!\E-Excuse me...\Cut it out! response:	Y-Yuina!
context: What?!\If it's one of her right out of the shower,\I'll pay you 3500 yen!\How dare you look at the princess with dirty eyes!\We'll settle this on the rooftop!\E-Excuse me...\Cut it out!\Y-Yuina! response:	Geez, people!
context: If it's one of her right out of the shower,\I'll pay you 3500 yen!\How dare you look at the princess with dirty eyes!\We'll settle this on the rooftop!\E-Excuse me...\Cut it out!\Y-Yuina!\Geez, people! response:	You're troubling Ohana!
context: I'll pay you 3500 yen!\How dare you look at the princess with dirty eyes!\We'll settle this on the rooftop!\E-Excuse me...\Cut it out!\Y-Yuina!\Geez, people!\You're troubling Ohana! response:	Right!
context: How dare you look at the princess with dirty eyes!\We'll settle this on the rooftop!\E-Excuse me...\Cut it out!\Y-Yuina!\Geez, people!\You're troubling Ohana!\Right! response:	Ohana, our next class is Home Ec!
context: We'll settle this on the rooftop!\E-Excuse me...\Cut it out!\Y-Yuina!\Geez, people!\You're troubling Ohana!\Right!\Ohana, our next class is Home Ec! response:	We're going to be practicing!
context: E-Excuse me...\Cut it out!\Y-Yuina!\Geez, people!\You're troubling Ohana!\Right!\Ohana, our next class is Home Ec!\We're going to be practicing! response:	Let's go together, okay?
context: Cut it out!\Y-Yuina!\Geez, people!\You're troubling Ohana!\Right!\Ohana, our next class is Home Ec!\We're going to be practicing!\Let's go together, okay? response:	See you all later!
context: Y-Yuina!\Geez, people!\You're troubling Ohana!\Right!\Ohana, our next class is Home Ec!\We're going to be practicing!\Let's go together, okay?\See you all later! response:	I can't believe I'm in the same class
context: Geez, people!\You're troubling Ohana!\Right!\Ohana, our next class is Home Ec!\We're going to be practicing!\Let's go together, okay?\See you all later!\I can't believe I'm in the same class response:	at the two most popular girls in our grade!
context: You're troubling Ohana!\Right!\Ohana, our next class is Home Ec!\We're going to be practicing!\Let's go together, okay?\See you all later!\I can't believe I'm in the same class\at the two most popular girls in our grade! response:	I'm probably using up my lifetime's worth of good luck.
context: Right!\Ohana, our next class is Home Ec!\We're going to be practicing!\Let's go together, okay?\See you all later!\I can't believe I'm in the same class\at the two most popular girls in our grade!\I'm probably using up my lifetime's worth of good luck. response:	Umm...
context: Ohana, our next class is Home Ec!\We're going to be practicing!\Let's go together, okay?\See you all later!\I can't believe I'm in the same class\at the two most popular girls in our grade!\I'm probably using up my lifetime's worth of good luck.\Umm... response:	Sorry to drag you all this way.
context: We're going to be practicing!\Let's go together, okay?\See you all later!\I can't believe I'm in the same class\at the two most popular girls in our grade!\I'm probably using up my lifetime's worth of good luck.\Umm...\Sorry to drag you all this way. response:	They're a noisy bunch, aren't they?
context: Let's go together, okay?\See you all later!\I can't believe I'm in the same class\at the two most popular girls in our grade!\I'm probably using up my lifetime's worth of good luck.\Umm...\Sorry to drag you all this way.\They're a noisy bunch, aren't they? response:	But they're all nice. Please let it slide.
context: See you all later!\I can't believe I'm in the same class\at the two most popular girls in our grade!\I'm probably using up my lifetime's worth of good luck.\Umm...\Sorry to drag you all this way.\They're a noisy bunch, aren't they?\But they're all nice. Please let it slide. response:	So she was saving me from them...
