context: That night, we had jammed until very late. response:	Our neighbors in the building came to complain...
context: Who'd you hear that from?\- Ms. Yamada! - Who's that?\I don't know! An ageless woman!\In a nightgown, hair's done up in a twist, wearing a mountain of make-up!\Why is that?!\I wonder if she's entertaining some young man.\I really couldn't care less about Yamada!\But I'm curious! I wonder what he's like? response:	Do you think he's a bar host?
context: - Ms. Yamada! - Who's that?\I don't know! An ageless woman!\In a nightgown, hair's done up in a twist, wearing a mountain of make-up!\Why is that?!\I wonder if she's entertaining some young man.\I really couldn't care less about Yamada!\But I'm curious! I wonder what he's like?\Do you think he's a bar host? response:	So this woman Yamada told you
context: I don't know! An ageless woman!\In a nightgown, hair's done up in a twist, wearing a mountain of make-up!\Why is that?!\I wonder if she's entertaining some young man.\I really couldn't care less about Yamada!\But I'm curious! I wonder what he's like?\Do you think he's a bar host?\So this woman Yamada told you response:	that the person living here before us was murdered?!
context: In a nightgown, hair's done up in a twist, wearing a mountain of make-up!\Why is that?!\I wonder if she's entertaining some young man.\I really couldn't care less about Yamada!\But I'm curious! I wonder what he's like?\Do you think he's a bar host?\So this woman Yamada told you\that the person living here before us was murdered?! response:	Well no, she didn't exactly say it like that.
context: Why is that?!\I wonder if she's entertaining some young man.\I really couldn't care less about Yamada!\But I'm curious! I wonder what he's like?\Do you think he's a bar host?\So this woman Yamada told you\that the person living here before us was murdered?!\Well no, she didn't exactly say it like that. response:	Apparently they're not allowed to talk about it.
context: I wonder if she's entertaining some young man.\I really couldn't care less about Yamada!\But I'm curious! I wonder what he's like?\Do you think he's a bar host?\So this woman Yamada told you\that the person living here before us was murdered?!\Well no, she didn't exactly say it like that.\Apparently they're not allowed to talk about it. response:	But she did say, there's always trouble with apartment 707!
context: I really couldn't care less about Yamada!\But I'm curious! I wonder what he's like?\Do you think he's a bar host?\So this woman Yamada told you\that the person living here before us was murdered?!\Well no, she didn't exactly say it like that.\Apparently they're not allowed to talk about it.\But she did say, there's always trouble with apartment 707! response:	So that's got to be it! There was a murder case here!
context: But I'm curious! I wonder what he's like?\Do you think he's a bar host?\So this woman Yamada told you\that the person living here before us was murdered?!\Well no, she didn't exactly say it like that.\Apparently they're not allowed to talk about it.\But she did say, there's always trouble with apartment 707!\So that's got to be it! There was a murder case here! response:	Go to bed!
context: Do you think he's a bar host?\So this woman Yamada told you\that the person living here before us was murdered?!\Well no, she didn't exactly say it like that.\Apparently they're not allowed to talk about it.\But she did say, there's always trouble with apartment 707!\So that's got to be it! There was a murder case here!\Go to bed! response:	Did I say something I shouldn't have?
context: So this woman Yamada told you\that the person living here before us was murdered?!\Well no, she didn't exactly say it like that.\Apparently they're not allowed to talk about it.\But she did say, there's always trouble with apartment 707!\So that's got to be it! There was a murder case here!\Go to bed!\Did I say something I shouldn't have? response:	Ah, but the rent here is really cheap, right?
context: that the person living here before us was murdered?!\Well no, she didn't exactly say it like that.\Apparently they're not allowed to talk about it.\But she did say, there's always trouble with apartment 707!\So that's got to be it! There was a murder case here!\Go to bed!\Did I say something I shouldn't have?\Ah, but the rent here is really cheap, right? response:	It's not unthinkable.
context: Well no, she didn't exactly say it like that.\Apparently they're not allowed to talk about it.\But she did say, there's always trouble with apartment 707!\So that's got to be it! There was a murder case here!\Go to bed!\Did I say something I shouldn't have?\Ah, but the rent here is really cheap, right?\It's not unthinkable. response:	See? Don't you think so? You do think so don't you?
context: Apparently they're not allowed to talk about it.\But she did say, there's always trouble with apartment 707!\So that's got to be it! There was a murder case here!\Go to bed!\Did I say something I shouldn't have?\Ah, but the rent here is really cheap, right?\It's not unthinkable.\See? Don't you think so? You do think so don't you? response:	Oh no, what am I going to do? I'm too scared to sleep alone!
context: But she did say, there's always trouble with apartment 707!\So that's got to be it! There was a murder case here!\Go to bed!\Did I say something I shouldn't have?\Ah, but the rent here is really cheap, right?\It's not unthinkable.\See? Don't you think so? You do think so don't you?\Oh no, what am I going to do? I'm too scared to sleep alone! response:	Would you like me to sleep with you, Nana?
context: So that's got to be it! There was a murder case here!\Go to bed!\Did I say something I shouldn't have?\Ah, but the rent here is really cheap, right?\It's not unthinkable.\See? Don't you think so? You do think so don't you?\Oh no, what am I going to do? I'm too scared to sleep alone!\Would you like me to sleep with you, Nana? response:	No way!
context: Go to bed!\Did I say something I shouldn't have?\Ah, but the rent here is really cheap, right?\It's not unthinkable.\See? Don't you think so? You do think so don't you?\Oh no, what am I going to do? I'm too scared to sleep alone!\Would you like me to sleep with you, Nana?\No way! response:	Thank you for your kindness, but I do have a boyfriend!
context: Did I say something I shouldn't have?\Ah, but the rent here is really cheap, right?\It's not unthinkable.\See? Don't you think so? You do think so don't you?\Oh no, what am I going to do? I'm too scared to sleep alone!\Would you like me to sleep with you, Nana?\No way!\Thank you for your kindness, but I do have a boyfriend! response:	I was kidding.
context: Ah, but the rent here is really cheap, right?\It's not unthinkable.\See? Don't you think so? You do think so don't you?\Oh no, what am I going to do? I'm too scared to sleep alone!\Would you like me to sleep with you, Nana?\No way!\Thank you for your kindness, but I do have a boyfriend!\I was kidding. response:	I'm sleeping in Nana's room tonight,
context: It's not unthinkable.\See? Don't you think so? You do think so don't you?\Oh no, what am I going to do? I'm too scared to sleep alone!\Would you like me to sleep with you, Nana?\No way!\Thank you for your kindness, but I do have a boyfriend!\I was kidding.\I'm sleeping in Nana's room tonight, response:	so you can have my bed, Nobu.
context: See? Don't you think so? You do think so don't you?\Oh no, what am I going to do? I'm too scared to sleep alone!\Would you like me to sleep with you, Nana?\No way!\Thank you for your kindness, but I do have a boyfriend!\I was kidding.\I'm sleeping in Nana's room tonight,\so you can have my bed, Nobu. response:	You've had a long day, traveling and all.
context: Oh no, what am I going to do? I'm too scared to sleep alone!\Would you like me to sleep with you, Nana?\No way!\Thank you for your kindness, but I do have a boyfriend!\I was kidding.\I'm sleeping in Nana's room tonight,\so you can have my bed, Nobu.\You've had a long day, traveling and all. response:	Oh, no problem. I'll just crash somewhere out here.
context: Would you like me to sleep with you, Nana?\No way!\Thank you for your kindness, but I do have a boyfriend!\I was kidding.\I'm sleeping in Nana's room tonight,\so you can have my bed, Nobu.\You've had a long day, traveling and all.\Oh, no problem. I'll just crash somewhere out here. response:	No, you can't!
context: No way!\Thank you for your kindness, but I do have a boyfriend!\I was kidding.\I'm sleeping in Nana's room tonight,\so you can have my bed, Nobu.\You've had a long day, traveling and all.\Oh, no problem. I'll just crash somewhere out here.\No, you can't! response:	If you would just fall asleep on my bed,
context: Thank you for your kindness, but I do have a boyfriend!\I was kidding.\I'm sleeping in Nana's room tonight,\so you can have my bed, Nobu.\You've had a long day, traveling and all.\Oh, no problem. I'll just crash somewhere out here.\No, you can't!\If you would just fall asleep on my bed, response:	then Nana won't have any other choice but to let me into her room.
context: I was kidding.\I'm sleeping in Nana's room tonight,\so you can have my bed, Nobu.\You've had a long day, traveling and all.\Oh, no problem. I'll just crash somewhere out here.\No, you can't!\If you would just fall asleep on my bed,\then Nana won't have any other choice but to let me into her room. response:	Actually, she'd never let me sleep with her unless something like that happened.
context: I'm sleeping in Nana's room tonight,\so you can have my bed, Nobu.\You've had a long day, traveling and all.\Oh, no problem. I'll just crash somewhere out here.\No, you can't!\If you would just fall asleep on my bed,\then Nana won't have any other choice but to let me into her room.\Actually, she'd never let me sleep with her unless something like that happened. response:	I see. So that's it.
context: so you can have my bed, Nobu.\You've had a long day, traveling and all.\Oh, no problem. I'll just crash somewhere out here.\No, you can't!\If you would just fall asleep on my bed,\then Nana won't have any other choice but to let me into her room.\Actually, she'd never let me sleep with her unless something like that happened.\I see. So that's it. response:	Well then, if you don't mind, I'll take your bed.
context: You've had a long day, traveling and all.\Oh, no problem. I'll just crash somewhere out here.\No, you can't!\If you would just fall asleep on my bed,\then Nana won't have any other choice but to let me into her room.\Actually, she'd never let me sleep with her unless something like that happened.\I see. So that's it.\Well then, if you don't mind, I'll take your bed. response:	Thank you!
context: Oh, no problem. I'll just crash somewhere out here.\No, you can't!\If you would just fall asleep on my bed,\then Nana won't have any other choice but to let me into her room.\Actually, she'd never let me sleep with her unless something like that happened.\I see. So that's it.\Well then, if you don't mind, I'll take your bed.\Thank you! response:	Your bedroom's big, too.
context: No, you can't!\If you would just fall asleep on my bed,\then Nana won't have any other choice but to let me into her room.\Actually, she'd never let me sleep with her unless something like that happened.\I see. So that's it.\Well then, if you don't mind, I'll take your bed.\Thank you!\Your bedroom's big, too. response:	Oh... I have to work in the morning,
context: If you would just fall asleep on my bed,\then Nana won't have any other choice but to let me into her room.\Actually, she'd never let me sleep with her unless something like that happened.\I see. So that's it.\Well then, if you don't mind, I'll take your bed.\Thank you!\Your bedroom's big, too.\Oh... I have to work in the morning, response:	so I think I'll just get my clothes ready, seeing as they all arrived safely.
context: then Nana won't have any other choice but to let me into her room.\Actually, she'd never let me sleep with her unless something like that happened.\I see. So that's it.\Well then, if you don't mind, I'll take your bed.\Thank you!\Your bedroom's big, too.\Oh... I have to work in the morning,\so I think I'll just get my clothes ready, seeing as they all arrived safely. response:	- Work? - Yup.
context: Actually, she'd never let me sleep with her unless something like that happened.\I see. So that's it.\Well then, if you don't mind, I'll take your bed.\Thank you!\Your bedroom's big, too.\Oh... I have to work in the morning,\so I think I'll just get my clothes ready, seeing as they all arrived safely.\- Work? - Yup. response:	Oh, right. Then you've got an early morning.
context: I see. So that's it.\Well then, if you don't mind, I'll take your bed.\Thank you!\Your bedroom's big, too.\Oh... I have to work in the morning,\so I think I'll just get my clothes ready, seeing as they all arrived safely.\- Work? - Yup.\Oh, right. Then you've got an early morning. response:	Sorry for partying so late.
context: Well then, if you don't mind, I'll take your bed.\Thank you!\Your bedroom's big, too.\Oh... I have to work in the morning,\so I think I'll just get my clothes ready, seeing as they all arrived safely.\- Work? - Yup.\Oh, right. Then you've got an early morning.\Sorry for partying so late. response:	That's no problem. I can sleep in a bit, too.
context: Thank you!\Your bedroom's big, too.\Oh... I have to work in the morning,\so I think I'll just get my clothes ready, seeing as they all arrived safely.\- Work? - Yup.\Oh, right. Then you've got an early morning.\Sorry for partying so late.\That's no problem. I can sleep in a bit, too. response:	As long as I get there by around ten, I'll be okay.
context: Your bedroom's big, too.\Oh... I have to work in the morning,\so I think I'll just get my clothes ready, seeing as they all arrived safely.\- Work? - Yup.\Oh, right. Then you've got an early morning.\Sorry for partying so late.\That's no problem. I can sleep in a bit, too.\As long as I get there by around ten, I'll be okay. response:	Besides, I had a really good time tonight!
context: Oh... I have to work in the morning,\so I think I'll just get my clothes ready, seeing as they all arrived safely.\- Work? - Yup.\Oh, right. Then you've got an early morning.\Sorry for partying so late.\That's no problem. I can sleep in a bit, too.\As long as I get there by around ten, I'll be okay.\Besides, I had a really good time tonight! response:	I have never seen a live band up so close!
context: so I think I'll just get my clothes ready, seeing as they all arrived safely.\- Work? - Yup.\Oh, right. Then you've got an early morning.\Sorry for partying so late.\That's no problem. I can sleep in a bit, too.\As long as I get there by around ten, I'll be okay.\Besides, I had a really good time tonight!\I have never seen a live band up so close! response:	It was so exciting!
context: - Work? - Yup.\Oh, right. Then you've got an early morning.\Sorry for partying so late.\That's no problem. I can sleep in a bit, too.\As long as I get there by around ten, I'll be okay.\Besides, I had a really good time tonight!\I have never seen a live band up so close!\It was so exciting! response:	Wait until you see us with a drum and bass rhythm section.
context: Oh, right. Then you've got an early morning.\Sorry for partying so late.\That's no problem. I can sleep in a bit, too.\As long as I get there by around ten, I'll be okay.\Besides, I had a really good time tonight!\I have never seen a live band up so close!\It was so exciting!\Wait until you see us with a drum and bass rhythm section. response:	You ain't seen nothing yet.
context: Sorry for partying so late.\That's no problem. I can sleep in a bit, too.\As long as I get there by around ten, I'll be okay.\Besides, I had a really good time tonight!\I have never seen a live band up so close!\It was so exciting!\Wait until you see us with a drum and bass rhythm section.\You ain't seen nothing yet. response:	You can't really call us a band anyway, with just the two of us.
context: That's no problem. I can sleep in a bit, too.\As long as I get there by around ten, I'll be okay.\Besides, I had a really good time tonight!\I have never seen a live band up so close!\It was so exciting!\Wait until you see us with a drum and bass rhythm section.\You ain't seen nothing yet.\You can't really call us a band anyway, with just the two of us. response:	I can't wait until we find other members and do a real gig.
context: As long as I get there by around ten, I'll be okay.\Besides, I had a really good time tonight!\I have never seen a live band up so close!\It was so exciting!\Wait until you see us with a drum and bass rhythm section.\You ain't seen nothing yet.\You can't really call us a band anyway, with just the two of us.\I can't wait until we find other members and do a real gig. response:	Right. New members.
context: Besides, I had a really good time tonight!\I have never seen a live band up so close!\It was so exciting!\Wait until you see us with a drum and bass rhythm section.\You ain't seen nothing yet.\You can't really call us a band anyway, with just the two of us.\I can't wait until we find other members and do a real gig.\Right. New members. response:	I wish I could play the drums.
context: I have never seen a live band up so close!\It was so exciting!\Wait until you see us with a drum and bass rhythm section.\You ain't seen nothing yet.\You can't really call us a band anyway, with just the two of us.\I can't wait until we find other members and do a real gig.\Right. New members.\I wish I could play the drums. response:	I'm pretty good at the tambourine, though.
context: It was so exciting!\Wait until you see us with a drum and bass rhythm section.\You ain't seen nothing yet.\You can't really call us a band anyway, with just the two of us.\I can't wait until we find other members and do a real gig.\Right. New members.\I wish I could play the drums.\I'm pretty good at the tambourine, though. response:	The tambourine?
context: Wait until you see us with a drum and bass rhythm section.\You ain't seen nothing yet.\You can't really call us a band anyway, with just the two of us.\I can't wait until we find other members and do a real gig.\Right. New members.\I wish I could play the drums.\I'm pretty good at the tambourine, though.\The tambourine? response:	You know. They've always got them sitting around in the karaoke places.
context: You ain't seen nothing yet.\You can't really call us a band anyway, with just the two of us.\I can't wait until we find other members and do a real gig.\Right. New members.\I wish I could play the drums.\I'm pretty good at the tambourine, though.\The tambourine?\You know. They've always got them sitting around in the karaoke places. response:	Looks like a big ring.
context: You can't really call us a band anyway, with just the two of us.\I can't wait until we find other members and do a real gig.\Right. New members.\I wish I could play the drums.\I'm pretty good at the tambourine, though.\The tambourine?\You know. They've always got them sitting around in the karaoke places.\Looks like a big ring. response:	I'm pretty good.
context: I can't wait until we find other members and do a real gig.\Right. New members.\I wish I could play the drums.\I'm pretty good at the tambourine, though.\The tambourine?\You know. They've always got them sitting around in the karaoke places.\Looks like a big ring.\I'm pretty good. response:	I didn't take you as one to have rhythm.
context: Right. New members.\I wish I could play the drums.\I'm pretty good at the tambourine, though.\The tambourine?\You know. They've always got them sitting around in the karaoke places.\Looks like a big ring.\I'm pretty good.\I didn't take you as one to have rhythm. response:	What?!
context: I wish I could play the drums.\I'm pretty good at the tambourine, though.\The tambourine?\You know. They've always got them sitting around in the karaoke places.\Looks like a big ring.\I'm pretty good.\I didn't take you as one to have rhythm.\What?! response:	But actually I would really like Yasu on the drums.
context: I'm pretty good at the tambourine, though.\The tambourine?\You know. They've always got them sitting around in the karaoke places.\Looks like a big ring.\I'm pretty good.\I didn't take you as one to have rhythm.\What?!\But actually I would really like Yasu on the drums. response:	You don't find a drummer like that just anywhere.
context: The tambourine?\You know. They've always got them sitting around in the karaoke places.\Looks like a big ring.\I'm pretty good.\I didn't take you as one to have rhythm.\What?!\But actually I would really like Yasu on the drums.\You don't find a drummer like that just anywhere. response:	You mean that Yasu? So Yasu's a drummer.
context: You know. They've always got them sitting around in the karaoke places.\Looks like a big ring.\I'm pretty good.\I didn't take you as one to have rhythm.\What?!\But actually I would really like Yasu on the drums.\You don't find a drummer like that just anywhere.\You mean that Yasu? So Yasu's a drummer. response:	Then he should come out to Tokyo, too.
context: Looks like a big ring.\I'm pretty good.\I didn't take you as one to have rhythm.\What?!\But actually I would really like Yasu on the drums.\You don't find a drummer like that just anywhere.\You mean that Yasu? So Yasu's a drummer.\Then he should come out to Tokyo, too. response:	Yeah, but Yasu's got his work.
context: I'm pretty good.\I didn't take you as one to have rhythm.\What?!\But actually I would really like Yasu on the drums.\You don't find a drummer like that just anywhere.\You mean that Yasu? So Yasu's a drummer.\Then he should come out to Tokyo, too.\Yeah, but Yasu's got his work. response:	Besides, he told me he wasn't interested in gambling his life away trying to go pro.
context: I didn't take you as one to have rhythm.\What?!\But actually I would really like Yasu on the drums.\You don't find a drummer like that just anywhere.\You mean that Yasu? So Yasu's a drummer.\Then he should come out to Tokyo, too.\Yeah, but Yasu's got his work.\Besides, he told me he wasn't interested in gambling his life away trying to go pro. response:	Gambling?
context: What?!\But actually I would really like Yasu on the drums.\You don't find a drummer like that just anywhere.\You mean that Yasu? So Yasu's a drummer.\Then he should come out to Tokyo, too.\Yeah, but Yasu's got his work.\Besides, he told me he wasn't interested in gambling his life away trying to go pro.\Gambling? response:	Looking like that in a courtroom
context: But actually I would really like Yasu on the drums.\You don't find a drummer like that just anywhere.\You mean that Yasu? So Yasu's a drummer.\Then he should come out to Tokyo, too.\Yeah, but Yasu's got his work.\Besides, he told me he wasn't interested in gambling his life away trying to go pro.\Gambling?\Looking like that in a courtroom response:	seems a lot more like gambling if you ask me.
context: You don't find a drummer like that just anywhere.\You mean that Yasu? So Yasu's a drummer.\Then he should come out to Tokyo, too.\Yeah, but Yasu's got his work.\Besides, he told me he wasn't interested in gambling his life away trying to go pro.\Gambling?\Looking like that in a courtroom\seems a lot more like gambling if you ask me. response:	Then what about bass?
context: You mean that Yasu? So Yasu's a drummer.\Then he should come out to Tokyo, too.\Yeah, but Yasu's got his work.\Besides, he told me he wasn't interested in gambling his life away trying to go pro.\Gambling?\Looking like that in a courtroom\seems a lot more like gambling if you ask me.\Then what about bass? response:	Who was on bass?
context: Then he should come out to Tokyo, too.\Yeah, but Yasu's got his work.\Besides, he told me he wasn't interested in gambling his life away trying to go pro.\Gambling?\Looking like that in a courtroom\seems a lot more like gambling if you ask me.\Then what about bass?\Who was on bass? response:	Isn't that person interested in coming to Tokyo?
context: Yeah, but Yasu's got his work.\Besides, he told me he wasn't interested in gambling his life away trying to go pro.\Gambling?\Looking like that in a courtroom\seems a lot more like gambling if you ask me.\Then what about bass?\Who was on bass?\Isn't that person interested in coming to Tokyo? response:	Well, the bass player was also in another band,
context: Besides, he told me he wasn't interested in gambling his life away trying to go pro.\Gambling?\Looking like that in a courtroom\seems a lot more like gambling if you ask me.\Then what about bass?\Who was on bass?\Isn't that person interested in coming to Tokyo?\Well, the bass player was also in another band, response:	so he wasn't really an official member.
context: Gambling?\Looking like that in a courtroom\seems a lot more like gambling if you ask me.\Then what about bass?\Who was on bass?\Isn't that person interested in coming to Tokyo?\Well, the bass player was also in another band,\so he wasn't really an official member. response:	In another band?
context: Looking like that in a courtroom\seems a lot more like gambling if you ask me.\Then what about bass?\Who was on bass?\Isn't that person interested in coming to Tokyo?\Well, the bass player was also in another band,\so he wasn't really an official member.\In another band? response:	He had another band back home
context: seems a lot more like gambling if you ask me.\Then what about bass?\Who was on bass?\Isn't that person interested in coming to Tokyo?\Well, the bass player was also in another band,\so he wasn't really an official member.\In another band?\He had another band back home response:	and used to come and help us out at gigs and stuff.
context: Then what about bass?\Who was on bass?\Isn't that person interested in coming to Tokyo?\Well, the bass player was also in another band,\so he wasn't really an official member.\In another band?\He had another band back home\and used to come and help us out at gigs and stuff. response:	So that's fair game.
context: Who was on bass?\Isn't that person interested in coming to Tokyo?\Well, the bass player was also in another band,\so he wasn't really an official member.\In another band?\He had another band back home\and used to come and help us out at gigs and stuff.\So that's fair game. response:	I guess Nana hasn't told you anything.
context: Isn't that person interested in coming to Tokyo?\Well, the bass player was also in another band,\so he wasn't really an official member.\In another band?\He had another band back home\and used to come and help us out at gigs and stuff.\So that's fair game.\I guess Nana hasn't told you anything. response:	Yes?
context: Well, the bass player was also in another band,\so he wasn't really an official member.\In another band?\He had another band back home\and used to come and help us out at gigs and stuff.\So that's fair game.\I guess Nana hasn't told you anything.\Yes? response:	About the band or anything.
context: so he wasn't really an official member.\In another band?\He had another band back home\and used to come and help us out at gigs and stuff.\So that's fair game.\I guess Nana hasn't told you anything.\Yes?\About the band or anything. response:	Oh... No.
context: In another band?\He had another band back home\and used to come and help us out at gigs and stuff.\So that's fair game.\I guess Nana hasn't told you anything.\Yes?\About the band or anything.\Oh... No. response:	Nana doesn't talk about herself much.
