context: Final spurt! response:	Yes!
context: Naturally, so are runners.\Some are better at running on the track than on roads.\Some go for sprints while others excel at managing their pace.\Uphill, downhill. Everyone's good at something different.\So we shouldn't worry about it?\Uniqueness certainly sounds nice,\but doesn't that mean some people aren't suited to running at all?\I'm worried. response:	Times aren't everything.
context: Some are better at running on the track than on roads.\Some go for sprints while others excel at managing their pace.\Uphill, downhill. Everyone's good at something different.\So we shouldn't worry about it?\Uniqueness certainly sounds nice,\but doesn't that mean some people aren't suited to running at all?\I'm worried.\Times aren't everything. response:	But isn't that our goal?
context: Some go for sprints while others excel at managing their pace.\Uphill, downhill. Everyone's good at something different.\So we shouldn't worry about it?\Uniqueness certainly sounds nice,\but doesn't that mean some people aren't suited to running at all?\I'm worried.\Times aren't everything.\But isn't that our goal? response:	We need official records to run in the Hakone qualifier.
context: Uphill, downhill. Everyone's good at something different.\So we shouldn't worry about it?\Uniqueness certainly sounds nice,\but doesn't that mean some people aren't suited to running at all?\I'm worried.\Times aren't everything.\But isn't that our goal?\We need official records to run in the Hakone qualifier. response:	But as long as you feel it's working
context: So we shouldn't worry about it?\Uniqueness certainly sounds nice,\but doesn't that mean some people aren't suited to running at all?\I'm worried.\Times aren't everything.\But isn't that our goal?\We need official records to run in the Hakone qualifier.\But as long as you feel it's working response:	But we're amateurs.
context: Uniqueness certainly sounds nice,\but doesn't that mean some people aren't suited to running at all?\I'm worried.\Times aren't everything.\But isn't that our goal?\We need official records to run in the Hakone qualifier.\But as long as you feel it's working\But we're amateurs. response:	Unless you tell us what's working, we won't know what is.
context: but doesn't that mean some people aren't suited to running at all?\I'm worried.\Times aren't everything.\But isn't that our goal?\We need official records to run in the Hakone qualifier.\But as long as you feel it's working\But we're amateurs.\Unless you tell us what's working, we won't know what is. response:	True to its name, long distance running is a battle of endurance.
context: I'm worried.\Times aren't everything.\But isn't that our goal?\We need official records to run in the Hakone qualifier.\But as long as you feel it's working\But we're amateurs.\Unless you tell us what's working, we won't know what is.\True to its name, long distance running is a battle of endurance. response:	It's not easy to compare results.
context: Times aren't everything.\But isn't that our goal?\We need official records to run in the Hakone qualifier.\But as long as you feel it's working\But we're amateurs.\Unless you tell us what's working, we won't know what is.\True to its name, long distance running is a battle of endurance.\It's not easy to compare results. response:	Sorry, but I'm at my limit.
context: But isn't that our goal?\We need official records to run in the Hakone qualifier.\But as long as you feel it's working\But we're amateurs.\Unless you tell us what's working, we won't know what is.\True to its name, long distance running is a battle of endurance.\It's not easy to compare results.\Sorry, but I'm at my limit. response:	I meant with the water.
context: We need official records to run in the Hakone qualifier.\But as long as you feel it's working\But we're amateurs.\Unless you tell us what's working, we won't know what is.\True to its name, long distance running is a battle of endurance.\It's not easy to compare results.\Sorry, but I'm at my limit.\I meant with the water. response:	Overflowing Drops
context: But as long as you feel it's working\But we're amateurs.\Unless you tell us what's working, we won't know what is.\True to its name, long distance running is a battle of endurance.\It's not easy to compare results.\Sorry, but I'm at my limit.\I meant with the water.\Overflowing Drops response:	Can we even run in this?
context: But we're amateurs.\Unless you tell us what's working, we won't know what is.\True to its name, long distance running is a battle of endurance.\It's not easy to compare results.\Sorry, but I'm at my limit.\I meant with the water.\Overflowing Drops\Can we even run in this? response:	They're not very breatheable, but we don't have a choice.
context: Unless you tell us what's working, we won't know what is.\True to its name, long distance running is a battle of endurance.\It's not easy to compare results.\Sorry, but I'm at my limit.\I meant with the water.\Overflowing Drops\Can we even run in this?\They're not very breatheable, but we don't have a choice. response:	Some of you weren't wearing clothing suitable for rain.
context: True to its name, long distance running is a battle of endurance.\It's not easy to compare results.\Sorry, but I'm at my limit.\I meant with the water.\Overflowing Drops\Can we even run in this?\They're not very breatheable, but we don't have a choice.\Some of you weren't wearing clothing suitable for rain. response:	We should get proper matching ones already.
context: It's not easy to compare results.\Sorry, but I'm at my limit.\I meant with the water.\Overflowing Drops\Can we even run in this?\They're not very breatheable, but we don't have a choice.\Some of you weren't wearing clothing suitable for rain.\We should get proper matching ones already. response:	It can't be helped. This is temporary.
context: Sorry, but I'm at my limit.\I meant with the water.\Overflowing Drops\Can we even run in this?\They're not very breatheable, but we don't have a choice.\Some of you weren't wearing clothing suitable for rain.\We should get proper matching ones already.\It can't be helped. This is temporary. response:	Let's go.
context: I meant with the water.\Overflowing Drops\Can we even run in this?\They're not very breatheable, but we don't have a choice.\Some of you weren't wearing clothing suitable for rain.\We should get proper matching ones already.\It can't be helped. This is temporary.\Let's go. response:	Sorry, Nira. You need to stay home today.
context: Overflowing Drops\Can we even run in this?\They're not very breatheable, but we don't have a choice.\Some of you weren't wearing clothing suitable for rain.\We should get proper matching ones already.\It can't be helped. This is temporary.\Let's go.\Sorry, Nira. You need to stay home today. response:	So hot.
context: Can we even run in this?\They're not very breatheable, but we don't have a choice.\Some of you weren't wearing clothing suitable for rain.\We should get proper matching ones already.\It can't be helped. This is temporary.\Let's go.\Sorry, Nira. You need to stay home today.\So hot. response:	It's so stuffy, this is no different from getting rained on.
context: They're not very breatheable, but we don't have a choice.\Some of you weren't wearing clothing suitable for rain.\We should get proper matching ones already.\It can't be helped. This is temporary.\Let's go.\Sorry, Nira. You need to stay home today.\So hot.\It's so stuffy, this is no different from getting rained on. response:	Let's imagine that's the point of this practice.
context: Some of you weren't wearing clothing suitable for rain.\We should get proper matching ones already.\It can't be helped. This is temporary.\Let's go.\Sorry, Nira. You need to stay home today.\So hot.\It's so stuffy, this is no different from getting rained on.\Let's imagine that's the point of this practice. response:	I feel like I just came back from the pool.
context: We should get proper matching ones already.\It can't be helped. This is temporary.\Let's go.\Sorry, Nira. You need to stay home today.\So hot.\It's so stuffy, this is no different from getting rained on.\Let's imagine that's the point of this practice.\I feel like I just came back from the pool. response:	I know what you mean. I'm exhausted.
context: It can't be helped. This is temporary.\Let's go.\Sorry, Nira. You need to stay home today.\So hot.\It's so stuffy, this is no different from getting rained on.\Let's imagine that's the point of this practice.\I feel like I just came back from the pool.\I know what you mean. I'm exhausted. response:	If you don't dry off, you'll catch a cold.
context: Let's go.\Sorry, Nira. You need to stay home today.\So hot.\It's so stuffy, this is no different from getting rained on.\Let's imagine that's the point of this practice.\I feel like I just came back from the pool.\I know what you mean. I'm exhausted.\If you don't dry off, you'll catch a cold. response:	Should we count this as showering today?
context: Sorry, Nira. You need to stay home today.\So hot.\It's so stuffy, this is no different from getting rained on.\Let's imagine that's the point of this practice.\I feel like I just came back from the pool.\I know what you mean. I'm exhausted.\If you don't dry off, you'll catch a cold.\Should we count this as showering today? response:	Yeah, let's.
context: So hot.\It's so stuffy, this is no different from getting rained on.\Let's imagine that's the point of this practice.\I feel like I just came back from the pool.\I know what you mean. I'm exhausted.\If you don't dry off, you'll catch a cold.\Should we count this as showering today?\Yeah, let's. response:	Please go back to your own room!
context: It's so stuffy, this is no different from getting rained on.\Let's imagine that's the point of this practice.\I feel like I just came back from the pool.\I know what you mean. I'm exhausted.\If you don't dry off, you'll catch a cold.\Should we count this as showering today?\Yeah, let's.\Please go back to your own room! response:	Our room leaks when it rains.
context: Let's imagine that's the point of this practice.\I feel like I just came back from the pool.\I know what you mean. I'm exhausted.\If you don't dry off, you'll catch a cold.\Should we count this as showering today?\Yeah, let's.\Please go back to your own room!\Our room leaks when it rains. response:	I've got first period, so I'll see you guys later.
context: I feel like I just came back from the pool.\I know what you mean. I'm exhausted.\If you don't dry off, you'll catch a cold.\Should we count this as showering today?\Yeah, let's.\Please go back to your own room!\Our room leaks when it rains.\I've got first period, so I'll see you guys later. response:	See ya.
context: I know what you mean. I'm exhausted.\If you don't dry off, you'll catch a cold.\Should we count this as showering today?\Yeah, let's.\Please go back to your own room!\Our room leaks when it rains.\I've got first period, so I'll see you guys later.\See ya. response:	See you later.
context: If you don't dry off, you'll catch a cold.\Should we count this as showering today?\Yeah, let's.\Please go back to your own room!\Our room leaks when it rains.\I've got first period, so I'll see you guys later.\See ya.\See you later. response:	Shindo never skips class.
context: Should we count this as showering today?\Yeah, let's.\Please go back to your own room!\Our room leaks when it rains.\I've got first period, so I'll see you guys later.\See ya.\See you later.\Shindo never skips class. response:	Is he okay?
context: Yeah, let's.\Please go back to your own room!\Our room leaks when it rains.\I've got first period, so I'll see you guys later.\See ya.\See you later.\Shindo never skips class.\Is he okay? response:	What?
context: Please go back to your own room!\Our room leaks when it rains.\I've got first period, so I'll see you guys later.\See ya.\See you later.\Shindo never skips class.\Is he okay?\What? response:	He seemed pretty depressed after yesterday's meet.
context: Our room leaks when it rains.\I've got first period, so I'll see you guys later.\See ya.\See you later.\Shindo never skips class.\Is he okay?\What?\He seemed pretty depressed after yesterday's meet. response:	And he's so earnest.
context: I've got first period, so I'll see you guys later.\See ya.\See you later.\Shindo never skips class.\Is he okay?\What?\He seemed pretty depressed after yesterday's meet.\And he's so earnest. response:	But he has a girlfriend, right?
context: See ya.\See you later.\Shindo never skips class.\Is he okay?\What?\He seemed pretty depressed after yesterday's meet.\And he's so earnest.\But he has a girlfriend, right? response:	Hey, that's right.
context: See you later.\Shindo never skips class.\Is he okay?\What?\He seemed pretty depressed after yesterday's meet.\And he's so earnest.\But he has a girlfriend, right?\Hey, that's right. response:	Who cares, then? He's totally fine.
context: Shindo never skips class.\Is he okay?\What?\He seemed pretty depressed after yesterday's meet.\And he's so earnest.\But he has a girlfriend, right?\Hey, that's right.\Who cares, then? He's totally fine. response:	He's so busy. When does he get to see his girlfriend?
context: Is he okay?\What?\He seemed pretty depressed after yesterday's meet.\And he's so earnest.\But he has a girlfriend, right?\Hey, that's right.\Who cares, then? He's totally fine.\He's so busy. When does he get to see his girlfriend? response:	Maybe at school.
context: What?\He seemed pretty depressed after yesterday's meet.\And he's so earnest.\But he has a girlfriend, right?\Hey, that's right.\Who cares, then? He's totally fine.\He's so busy. When does he get to see his girlfriend?\Maybe at school. response:	Kansei University
context: He seemed pretty depressed after yesterday's meet.\And he's so earnest.\But he has a girlfriend, right?\Hey, that's right.\Who cares, then? He's totally fine.\He's so busy. When does he get to see his girlfriend?\Maybe at school.\Kansei University response:	What? You've seen his girlfriend?
context: And he's so earnest.\But he has a girlfriend, right?\Hey, that's right.\Who cares, then? He's totally fine.\He's so busy. When does he get to see his girlfriend?\Maybe at school.\Kansei University\What? You've seen his girlfriend? response:	Not a single time.
context: But he has a girlfriend, right?\Hey, that's right.\Who cares, then? He's totally fine.\He's so busy. When does he get to see his girlfriend?\Maybe at school.\Kansei University\What? You've seen his girlfriend?\Not a single time. response:	I don't think anyone's seen her yet.
context: Hey, that's right.\Who cares, then? He's totally fine.\He's so busy. When does he get to see his girlfriend?\Maybe at school.\Kansei University\What? You've seen his girlfriend?\Not a single time.\I don't think anyone's seen her yet. response:	Maybe Shindo pushed himself so hard...
context: Who cares, then? He's totally fine.\He's so busy. When does he get to see his girlfriend?\Maybe at school.\Kansei University\What? You've seen his girlfriend?\Not a single time.\I don't think anyone's seen her yet.\Maybe Shindo pushed himself so hard... response:	That he imagined a girlfriend who doesn't exist...
context: He's so busy. When does he get to see his girlfriend?\Maybe at school.\Kansei University\What? You've seen his girlfriend?\Not a single time.\I don't think anyone's seen her yet.\Maybe Shindo pushed himself so hard...\That he imagined a girlfriend who doesn't exist... response:	Hey, were you waiting long? Sorry.
context: Maybe at school.\Kansei University\What? You've seen his girlfriend?\Not a single time.\I don't think anyone's seen her yet.\Maybe Shindo pushed himself so hard...\That he imagined a girlfriend who doesn't exist...\Hey, were you waiting long? Sorry. response:	Come on! Don't sulk.
context: Kansei University\What? You've seen his girlfriend?\Not a single time.\I don't think anyone's seen her yet.\Maybe Shindo pushed himself so hard...\That he imagined a girlfriend who doesn't exist...\Hey, were you waiting long? Sorry.\Come on! Don't sulk. response:	Yikes!
context: What? You've seen his girlfriend?\Not a single time.\I don't think anyone's seen her yet.\Maybe Shindo pushed himself so hard...\That he imagined a girlfriend who doesn't exist...\Hey, were you waiting long? Sorry.\Come on! Don't sulk.\Yikes! response:	Monthly Track and Field Report
context: Not a single time.\I don't think anyone's seen her yet.\Maybe Shindo pushed himself so hard...\That he imagined a girlfriend who doesn't exist...\Hey, were you waiting long? Sorry.\Come on! Don't sulk.\Yikes!\Monthly Track and Field Report response:	Acupuncture/Massage
context: I don't think anyone's seen her yet.\Maybe Shindo pushed himself so hard...\That he imagined a girlfriend who doesn't exist...\Hey, were you waiting long? Sorry.\Come on! Don't sulk.\Yikes!\Monthly Track and Field Report\Acupuncture/Massage response:	Iimura Chiropractic Clinic
context: Maybe Shindo pushed himself so hard...\That he imagined a girlfriend who doesn't exist...\Hey, were you waiting long? Sorry.\Come on! Don't sulk.\Yikes!\Monthly Track and Field Report\Acupuncture/Massage\Iimura Chiropractic Clinic response:	You're protecting the opposite side.
context: That he imagined a girlfriend who doesn't exist...\Hey, were you waiting long? Sorry.\Come on! Don't sulk.\Yikes!\Monthly Track and Field Report\Acupuncture/Massage\Iimura Chiropractic Clinic\You're protecting the opposite side. response:	I've been trying to be conscious of it.
context: Hey, were you waiting long? Sorry.\Come on! Don't sulk.\Yikes!\Monthly Track and Field Report\Acupuncture/Massage\Iimura Chiropractic Clinic\You're protecting the opposite side.\I've been trying to be conscious of it. response:	Well, once something breaks,
context: Come on! Don't sulk.\Yikes!\Monthly Track and Field Report\Acupuncture/Massage\Iimura Chiropractic Clinic\You're protecting the opposite side.\I've been trying to be conscious of it.\Well, once something breaks, response:	you've got no choice except to take your time fixing it.
context: Yikes!\Monthly Track and Field Report\Acupuncture/Massage\Iimura Chiropractic Clinic\You're protecting the opposite side.\I've been trying to be conscious of it.\Well, once something breaks,\you've got no choice except to take your time fixing it. response:	Yes, sir.
context: Monthly Track and Field Report\Acupuncture/Massage\Iimura Chiropractic Clinic\You're protecting the opposite side.\I've been trying to be conscious of it.\Well, once something breaks,\you've got no choice except to take your time fixing it.\Yes, sir. response:	Monthly Track and Field Report
context: Acupuncture/Massage\Iimura Chiropractic Clinic\You're protecting the opposite side.\I've been trying to be conscious of it.\Well, once something breaks,\you've got no choice except to take your time fixing it.\Yes, sir.\Monthly Track and Field Report response:	Damn that Fujioka.
context: Iimura Chiropractic Clinic\You're protecting the opposite side.\I've been trying to be conscious of it.\Well, once something breaks,\you've got no choice except to take your time fixing it.\Yes, sir.\Monthly Track and Field Report\Damn that Fujioka. response:	Field Closed Due to Rain
context: You're protecting the opposite side.\I've been trying to be conscious of it.\Well, once something breaks,\you've got no choice except to take your time fixing it.\Yes, sir.\Monthly Track and Field Report\Damn that Fujioka.\Field Closed Due to Rain response:	Nope. It's closed today.
context: I've been trying to be conscious of it.\Well, once something breaks,\you've got no choice except to take your time fixing it.\Yes, sir.\Monthly Track and Field Report\Damn that Fujioka.\Field Closed Due to Rain\Nope. It's closed today. response:	Should we use the field? We can focus on just cross country today.
context: Well, once something breaks,\you've got no choice except to take your time fixing it.\Yes, sir.\Monthly Track and Field Report\Damn that Fujioka.\Field Closed Due to Rain\Nope. It's closed today.\Should we use the field? We can focus on just cross country today. response:	No way.
context: you've got no choice except to take your time fixing it.\Yes, sir.\Monthly Track and Field Report\Damn that Fujioka.\Field Closed Due to Rain\Nope. It's closed today.\Should we use the field? We can focus on just cross country today.\No way. response:	The mud makes it too hard to run. I'm against it.
context: Yes, sir.\Monthly Track and Field Report\Damn that Fujioka.\Field Closed Due to Rain\Nope. It's closed today.\Should we use the field? We can focus on just cross country today.\No way.\The mud makes it too hard to run. I'm against it. response:	You just don't want to get dirty.
context: Monthly Track and Field Report\Damn that Fujioka.\Field Closed Due to Rain\Nope. It's closed today.\Should we use the field? We can focus on just cross country today.\No way.\The mud makes it too hard to run. I'm against it.\You just don't want to get dirty. response:	What should we do?
context: Damn that Fujioka.\Field Closed Due to Rain\Nope. It's closed today.\Should we use the field? We can focus on just cross country today.\No way.\The mud makes it too hard to run. I'm against it.\You just don't want to get dirty.\What should we do? response:	Let's run on the roads.
context: Field Closed Due to Rain\Nope. It's closed today.\Should we use the field? We can focus on just cross country today.\No way.\The mud makes it too hard to run. I'm against it.\You just don't want to get dirty.\What should we do?\Let's run on the roads. response:	We just need to watch out for cars.
context: Nope. It's closed today.\Should we use the field? We can focus on just cross country today.\No way.\The mud makes it too hard to run. I'm against it.\You just don't want to get dirty.\What should we do?\Let's run on the roads.\We just need to watch out for cars. response:	Yeah. We'll choose the safests course we can.
context: Should we use the field? We can focus on just cross country today.\No way.\The mud makes it too hard to run. I'm against it.\You just don't want to get dirty.\What should we do?\Let's run on the roads.\We just need to watch out for cars.\Yeah. We'll choose the safests course we can. response:	Let's get this over with so we can go to Tsuru-no-yu.
context: No way.\The mud makes it too hard to run. I'm against it.\You just don't want to get dirty.\What should we do?\Let's run on the roads.\We just need to watch out for cars.\Yeah. We'll choose the safests course we can.\Let's get this over with so we can go to Tsuru-no-yu. response:	Nice.
context: The mud makes it too hard to run. I'm against it.\You just don't want to get dirty.\What should we do?\Let's run on the roads.\We just need to watch out for cars.\Yeah. We'll choose the safests course we can.\Let's get this over with so we can go to Tsuru-no-yu.\Nice. response:	Can't we at least use the club budget to buy rain coats?
context: You just don't want to get dirty.\What should we do?\Let's run on the roads.\We just need to watch out for cars.\Yeah. We'll choose the safests course we can.\Let's get this over with so we can go to Tsuru-no-yu.\Nice.\Can't we at least use the club budget to buy rain coats? response:	We should be using it in some meaningful way.
context: What should we do?\Let's run on the roads.\We just need to watch out for cars.\Yeah. We'll choose the safests course we can.\Let's get this over with so we can go to Tsuru-no-yu.\Nice.\Can't we at least use the club budget to buy rain coats?\We should be using it in some meaningful way. response:	They're supposed to be our fan club.
context: Let's run on the roads.\We just need to watch out for cars.\Yeah. We'll choose the safests course we can.\Let's get this over with so we can go to Tsuru-no-yu.\Nice.\Can't we at least use the club budget to buy rain coats?\We should be using it in some meaningful way.\They're supposed to be our fan club. response:	We still only have fifteen members.
context: We just need to watch out for cars.\Yeah. We'll choose the safests course we can.\Let's get this over with so we can go to Tsuru-no-yu.\Nice.\Can't we at least use the club budget to buy rain coats?\We should be using it in some meaningful way.\They're supposed to be our fan club.\We still only have fifteen members. response:	That's all?
context: Yeah. We'll choose the safests course we can.\Let's get this over with so we can go to Tsuru-no-yu.\Nice.\Can't we at least use the club budget to buy rain coats?\We should be using it in some meaningful way.\They're supposed to be our fan club.\We still only have fifteen members.\That's all? response:	We still don't have enough to buy matching track uniforms.
context: Let's get this over with so we can go to Tsuru-no-yu.\Nice.\Can't we at least use the club budget to buy rain coats?\We should be using it in some meaningful way.\They're supposed to be our fan club.\We still only have fifteen members.\That's all?\We still don't have enough to buy matching track uniforms. response:	We have the support of everyone at the shopping center,
context: Nice.\Can't we at least use the club budget to buy rain coats?\We should be using it in some meaningful way.\They're supposed to be our fan club.\We still only have fifteen members.\That's all?\We still don't have enough to buy matching track uniforms.\We have the support of everyone at the shopping center, response:	but we need a little more.
context: Can't we at least use the club budget to buy rain coats?\We should be using it in some meaningful way.\They're supposed to be our fan club.\We still only have fifteen members.\That's all?\We still don't have enough to buy matching track uniforms.\We have the support of everyone at the shopping center,\but we need a little more. response:	If only the Trans America Quiz was still on.
context: We should be using it in some meaningful way.\They're supposed to be our fan club.\We still only have fifteen members.\That's all?\We still don't have enough to buy matching track uniforms.\We have the support of everyone at the shopping center,\but we need a little more.\If only the Trans America Quiz was still on. response:	I'd win us some prize money.
context: They're supposed to be our fan club.\We still only have fifteen members.\That's all?\We still don't have enough to buy matching track uniforms.\We have the support of everyone at the shopping center,\but we need a little more.\If only the Trans America Quiz was still on.\I'd win us some prize money. response:	Perhaps we could win some kind of tournament.
context: We still only have fifteen members.\That's all?\We still don't have enough to buy matching track uniforms.\We have the support of everyone at the shopping center,\but we need a little more.\If only the Trans America Quiz was still on.\I'd win us some prize money.\Perhaps we could win some kind of tournament. response:	After all, we haven't achieved anything.
context: That's all?\We still don't have enough to buy matching track uniforms.\We have the support of everyone at the shopping center,\but we need a little more.\If only the Trans America Quiz was still on.\I'd win us some prize money.\Perhaps we could win some kind of tournament.\After all, we haven't achieved anything. response:	You're right.
context: We still don't have enough to buy matching track uniforms.\We have the support of everyone at the shopping center,\but we need a little more.\If only the Trans America Quiz was still on.\I'd win us some prize money.\Perhaps we could win some kind of tournament.\After all, we haven't achieved anything.\You're right. response:	Isn't there some kind of national event we could run in?
context: We have the support of everyone at the shopping center,\but we need a little more.\If only the Trans America Quiz was still on.\I'd win us some prize money.\Perhaps we could win some kind of tournament.\After all, we haven't achieved anything.\You're right.\Isn't there some kind of national event we could run in? response:	There is one.
context: but we need a little more.\If only the Trans America Quiz was still on.\I'd win us some prize money.\Perhaps we could win some kind of tournament.\After all, we haven't achieved anything.\You're right.\Isn't there some kind of national event we could run in?\There is one. response:	What's it called?
context: If only the Trans America Quiz was still on.\I'd win us some prize money.\Perhaps we could win some kind of tournament.\After all, we haven't achieved anything.\You're right.\Isn't there some kind of national event we could run in?\There is one.\What's it called? response:	The Inter-College.
context: I'd win us some prize money.\Perhaps we could win some kind of tournament.\After all, we haven't achieved anything.\You're right.\Isn't there some kind of national event we could run in?\There is one.\What's it called?\The Inter-College. response:	The All-Japan Intercollegiate Championship.
context: Perhaps we could win some kind of tournament.\After all, we haven't achieved anything.\You're right.\Isn't there some kind of national event we could run in?\There is one.\What's it called?\The Inter-College.\The All-Japan Intercollegiate Championship. response:	Kanto Track and Field Intercollegiate Championship
context: After all, we haven't achieved anything.\You're right.\Isn't there some kind of national event we could run in?\There is one.\What's it called?\The Inter-College.\The All-Japan Intercollegiate Championship.\Kanto Track and Field Intercollegiate Championship response:	Look, I found it.
context: You're right.\Isn't there some kind of national event we could run in?\There is one.\What's it called?\The Inter-College.\The All-Japan Intercollegiate Championship.\Kanto Track and Field Intercollegiate Championship\Look, I found it. response:	Huh. The Kanto meet was in May.
context: Isn't there some kind of national event we could run in?\There is one.\What's it called?\The Inter-College.\The All-Japan Intercollegiate Championship.\Kanto Track and Field Intercollegiate Championship\Look, I found it.\Huh. The Kanto meet was in May. response:	Did you read Fujioka's article?
context: There is one.\What's it called?\The Inter-College.\The All-Japan Intercollegiate Championship.\Kanto Track and Field Intercollegiate Championship\Look, I found it.\Huh. The Kanto meet was in May.\Did you read Fujioka's article? response:	I happen to have.
context: What's it called?\The Inter-College.\The All-Japan Intercollegiate Championship.\Kanto Track and Field Intercollegiate Championship\Look, I found it.\Huh. The Kanto meet was in May.\Did you read Fujioka's article?\I happen to have. response:	There were some curious things written in it.
context: The Inter-College.\The All-Japan Intercollegiate Championship.\Kanto Track and Field Intercollegiate Championship\Look, I found it.\Huh. The Kanto meet was in May.\Did you read Fujioka's article?\I happen to have.\There were some curious things written in it. response:	Fujioka Kazuma Runner Interview Boulder of a Race
context: The All-Japan Intercollegiate Championship.\Kanto Track and Field Intercollegiate Championship\Look, I found it.\Huh. The Kanto meet was in May.\Did you read Fujioka's article?\I happen to have.\There were some curious things written in it.\Fujioka Kazuma Runner Interview Boulder of a Race response:	I ran the race I wanted this time,
context: Kanto Track and Field Intercollegiate Championship\Look, I found it.\Huh. The Kanto meet was in May.\Did you read Fujioka's article?\I happen to have.\There were some curious things written in it.\Fujioka Kazuma Runner Interview Boulder of a Race\I ran the race I wanted this time, response:	but there are more strong runners hiding in Kanto.
context: Look, I found it.\Huh. The Kanto meet was in May.\Did you read Fujioka's article?\I happen to have.\There were some curious things written in it.\Fujioka Kazuma Runner Interview Boulder of a Race\I ran the race I wanted this time,\but there are more strong runners hiding in Kanto. response:	I believe they'll be ready by the time Ekiden season rolls around.
context: Huh. The Kanto meet was in May.\Did you read Fujioka's article?\I happen to have.\There were some curious things written in it.\Fujioka Kazuma Runner Interview Boulder of a Race\I ran the race I wanted this time,\but there are more strong runners hiding in Kanto.\I believe they'll be ready by the time Ekiden season rolls around. response:	I'll make sure not to underestimate them as I wait.
context: Did you read Fujioka's article?\I happen to have.\There were some curious things written in it.\Fujioka Kazuma Runner Interview Boulder of a Race\I ran the race I wanted this time,\but there are more strong runners hiding in Kanto.\I believe they'll be ready by the time Ekiden season rolls around.\I'll make sure not to underestimate them as I wait. response:	Kakeru,
context: I happen to have.\There were some curious things written in it.\Fujioka Kazuma Runner Interview Boulder of a Race\I ran the race I wanted this time,\but there are more strong runners hiding in Kanto.\I believe they'll be ready by the time Ekiden season rolls around.\I'll make sure not to underestimate them as I wait.\Kakeru, response:	do you know what the greatest compliment you can give a long distance runner is?
context: There were some curious things written in it.\Fujioka Kazuma Runner Interview Boulder of a Race\I ran the race I wanted this time,\but there are more strong runners hiding in Kanto.\I believe they'll be ready by the time Ekiden season rolls around.\I'll make sure not to underestimate them as I wait.\Kakeru,\do you know what the greatest compliment you can give a long distance runner is? response:	Is it to call him fast?
