context: Everybody on the continent, we have emergency news! response:	The tri-country alliance has launched an emergency attack in response
context: many animals are being attacked, but...\The True Dragons which control the power of nature live here.\If they're attacked and controlled,\it could cause a huge disaster.\Not just for this forest or the surrounding areas,\but potentially the whole continent.\So we and the Dragon Priestess will work together\to protect the true dragons response:	and destroy the dangerous demon.
context: The True Dragons which control the power of nature live here.\If they're attacked and controlled,\it could cause a huge disaster.\Not just for this forest or the surrounding areas,\but potentially the whole continent.\So we and the Dragon Priestess will work together\to protect the true dragons\and destroy the dangerous demon. response:	Don't worry.
context: If they're attacked and controlled,\it could cause a huge disaster.\Not just for this forest or the surrounding areas,\but potentially the whole continent.\So we and the Dragon Priestess will work together\to protect the true dragons\and destroy the dangerous demon.\Don't worry. response:	The rulers of the Three Countries and their Heroes
context: it could cause a huge disaster.\Not just for this forest or the surrounding areas,\but potentially the whole continent.\So we and the Dragon Priestess will work together\to protect the true dragons\and destroy the dangerous demon.\Don't worry.\The rulers of the Three Countries and their Heroes response:	all have their treasure swords.
context: Not just for this forest or the surrounding areas,\but potentially the whole continent.\So we and the Dragon Priestess will work together\to protect the true dragons\and destroy the dangerous demon.\Don't worry.\The rulers of the Three Countries and their Heroes\all have their treasure swords. response:	Once again it's time
context: but potentially the whole continent.\So we and the Dragon Priestess will work together\to protect the true dragons\and destroy the dangerous demon.\Don't worry.\The rulers of the Three Countries and their Heroes\all have their treasure swords.\Once again it's time response:	for the three countries to come together!
context: So we and the Dragon Priestess will work together\to protect the true dragons\and destroy the dangerous demon.\Don't worry.\The rulers of the Three Countries and their Heroes\all have their treasure swords.\Once again it's time\for the three countries to come together! response:	Today it's not a war game to entertain everyone.
context: to protect the true dragons\and destroy the dangerous demon.\Don't worry.\The rulers of the Three Countries and their Heroes\all have their treasure swords.\Once again it's time\for the three countries to come together!\Today it's not a war game to entertain everyone. response:	It's a war to protect everyone.
context: and destroy the dangerous demon.\Don't worry.\The rulers of the Three Countries and their Heroes\all have their treasure swords.\Once again it's time\for the three countries to come together!\Today it's not a war game to entertain everyone.\It's a war to protect everyone. response:	Everybody!
context: Don't worry.\The rulers of the Three Countries and their Heroes\all have their treasure swords.\Once again it's time\for the three countries to come together!\Today it's not a war game to entertain everyone.\It's a war to protect everyone.\Everybody! response:	Let's all do our best!
context: The rulers of the Three Countries and their Heroes\all have their treasure swords.\Once again it's time\for the three countries to come together!\Today it's not a war game to entertain everyone.\It's a war to protect everyone.\Everybody!\Let's all do our best! response:	We will protect the True Dragons.
context: all have their treasure swords.\Once again it's time\for the three countries to come together!\Today it's not a war game to entertain everyone.\It's a war to protect everyone.\Everybody!\Let's all do our best!\We will protect the True Dragons. response:	Galette will protect the Fire Dragon at the Volcano.
context: Once again it's time\for the three countries to come together!\Today it's not a war game to entertain everyone.\It's a war to protect everyone.\Everybody!\Let's all do our best!\We will protect the True Dragons.\Galette will protect the Fire Dragon at the Volcano. response:	Biscotti will protect the Thunder Dragon at the Spring.
context: for the three countries to come together!\Today it's not a war game to entertain everyone.\It's a war to protect everyone.\Everybody!\Let's all do our best!\We will protect the True Dragons.\Galette will protect the Fire Dragon at the Volcano.\Biscotti will protect the Thunder Dragon at the Spring. response:	Pastillage will protect the Harvest Dragon in the forest!
context: Today it's not a war game to entertain everyone.\It's a war to protect everyone.\Everybody!\Let's all do our best!\We will protect the True Dragons.\Galette will protect the Fire Dragon at the Volcano.\Biscotti will protect the Thunder Dragon at the Spring.\Pastillage will protect the Harvest Dragon in the forest! response:	And the Heroes will use their high speed
context: It's a war to protect everyone.\Everybody!\Let's all do our best!\We will protect the True Dragons.\Galette will protect the Fire Dragon at the Volcano.\Biscotti will protect the Thunder Dragon at the Spring.\Pastillage will protect the Harvest Dragon in the forest!\And the Heroes will use their high speed response:	to hunt down the demon along with the Dragon Priestess.
context: Everybody!\Let's all do our best!\We will protect the True Dragons.\Galette will protect the Fire Dragon at the Volcano.\Biscotti will protect the Thunder Dragon at the Spring.\Pastillage will protect the Harvest Dragon in the forest!\And the Heroes will use their high speed\to hunt down the demon along with the Dragon Priestess. response:	Yeah!
context: Let's all do our best!\We will protect the True Dragons.\Galette will protect the Fire Dragon at the Volcano.\Biscotti will protect the Thunder Dragon at the Spring.\Pastillage will protect the Harvest Dragon in the forest!\And the Heroes will use their high speed\to hunt down the demon along with the Dragon Priestess.\Yeah! response:	Priestess...
context: We will protect the True Dragons.\Galette will protect the Fire Dragon at the Volcano.\Biscotti will protect the Thunder Dragon at the Spring.\Pastillage will protect the Harvest Dragon in the forest!\And the Heroes will use their high speed\to hunt down the demon along with the Dragon Priestess.\Yeah!\Priestess... response:	Forgive us for allowing humans to run free
context: Galette will protect the Fire Dragon at the Volcano.\Biscotti will protect the Thunder Dragon at the Spring.\Pastillage will protect the Harvest Dragon in the forest!\And the Heroes will use their high speed\to hunt down the demon along with the Dragon Priestess.\Yeah!\Priestess...\Forgive us for allowing humans to run free response:	in the Dragon's Forest.
context: Biscotti will protect the Thunder Dragon at the Spring.\Pastillage will protect the Harvest Dragon in the forest!\And the Heroes will use their high speed\to hunt down the demon along with the Dragon Priestess.\Yeah!\Priestess...\Forgive us for allowing humans to run free\in the Dragon's Forest. response:	It's to keep this forest and the continent safe.
context: Pastillage will protect the Harvest Dragon in the forest!\And the Heroes will use their high speed\to hunt down the demon along with the Dragon Priestess.\Yeah!\Priestess...\Forgive us for allowing humans to run free\in the Dragon's Forest.\It's to keep this forest and the continent safe. response:	Please allow it for a short time.
context: And the Heroes will use their high speed\to hunt down the demon along with the Dragon Priestess.\Yeah!\Priestess...\Forgive us for allowing humans to run free\in the Dragon's Forest.\It's to keep this forest and the continent safe.\Please allow it for a short time. response:	All right.
context: to hunt down the demon along with the Dragon Priestess.\Yeah!\Priestess...\Forgive us for allowing humans to run free\in the Dragon's Forest.\It's to keep this forest and the continent safe.\Please allow it for a short time.\All right. response:	It's here.
context: Yeah!\Priestess...\Forgive us for allowing humans to run free\in the Dragon's Forest.\It's to keep this forest and the continent safe.\Please allow it for a short time.\All right.\It's here. response:	Okay!
context: Priestess...\Forgive us for allowing humans to run free\in the Dragon's Forest.\It's to keep this forest and the continent safe.\Please allow it for a short time.\All right.\It's here.\Okay! response:	No!
context: Forgive us for allowing humans to run free\in the Dragon's Forest.\It's to keep this forest and the continent safe.\Please allow it for a short time.\All right.\It's here.\Okay!\No! response:	Take this! Seven Tale!
context: in the Dragon's Forest.\It's to keep this forest and the continent safe.\Please allow it for a short time.\All right.\It's here.\Okay!\No!\Take this! Seven Tale! response:	Are you two okay?
context: It's to keep this forest and the continent safe.\Please allow it for a short time.\All right.\It's here.\Okay!\No!\Take this! Seven Tale!\Are you two okay? response:	I guess.
context: Please allow it for a short time.\All right.\It's here.\Okay!\No!\Take this! Seven Tale!\Are you two okay?\I guess. response:	These tentacles are slimy and nasty...
context: All right.\It's here.\Okay!\No!\Take this! Seven Tale!\Are you two okay?\I guess.\These tentacles are slimy and nasty... response:	There they are.
context: It's here.\Okay!\No!\Take this! Seven Tale!\Are you two okay?\I guess.\These tentacles are slimy and nasty...\There they are. response:	Demons sighted. There's an incredible number of them.
context: Okay!\No!\Take this! Seven Tale!\Are you two okay?\I guess.\These tentacles are slimy and nasty...\There they are.\Demons sighted. There's an incredible number of them. response:	We'll attack first!
context: No!\Take this! Seven Tale!\Are you two okay?\I guess.\These tentacles are slimy and nasty...\There they are.\Demons sighted. There's an incredible number of them.\We'll attack first! response:	Archers, ready!
context: Take this! Seven Tale!\Are you two okay?\I guess.\These tentacles are slimy and nasty...\There they are.\Demons sighted. There's an incredible number of them.\We'll attack first!\Archers, ready! response:	Pastillage Sky Knights Squad Two is beginning combat with the flyers!
context: Are you two okay?\I guess.\These tentacles are slimy and nasty...\There they are.\Demons sighted. There's an incredible number of them.\We'll attack first!\Archers, ready!\Pastillage Sky Knights Squad Two is beginning combat with the flyers! response:	Biscotti's main force has deployed their defenses.
context: I guess.\These tentacles are slimy and nasty...\There they are.\Demons sighted. There's an incredible number of them.\We'll attack first!\Archers, ready!\Pastillage Sky Knights Squad Two is beginning combat with the flyers!\Biscotti's main force has deployed their defenses. response:	The Pastillage Air Force is in combat with approximately 800 demons!
context: These tentacles are slimy and nasty...\There they are.\Demons sighted. There's an incredible number of them.\We'll attack first!\Archers, ready!\Pastillage Sky Knights Squad Two is beginning combat with the flyers!\Biscotti's main force has deployed their defenses.\The Pastillage Air Force is in combat with approximately 800 demons! response:	An army of demons has appeared in front of the Galette camp!
context: There they are.\Demons sighted. There's an incredible number of them.\We'll attack first!\Archers, ready!\Pastillage Sky Knights Squad Two is beginning combat with the flyers!\Biscotti's main force has deployed their defenses.\The Pastillage Air Force is in combat with approximately 800 demons!\An army of demons has appeared in front of the Galette camp! response:	1500 more!
context: Demons sighted. There's an incredible number of them.\We'll attack first!\Archers, ready!\Pastillage Sky Knights Squad Two is beginning combat with the flyers!\Biscotti's main force has deployed their defenses.\The Pastillage Air Force is in combat with approximately 800 demons!\An army of demons has appeared in front of the Galette camp!\1500 more! response:	More and more keep appearing.
context: We'll attack first!\Archers, ready!\Pastillage Sky Knights Squad Two is beginning combat with the flyers!\Biscotti's main force has deployed their defenses.\The Pastillage Air Force is in combat with approximately 800 demons!\An army of demons has appeared in front of the Galette camp!\1500 more!\More and more keep appearing. response:	There are about 10,000 in the allied armies,
context: Archers, ready!\Pastillage Sky Knights Squad Two is beginning combat with the flyers!\Biscotti's main force has deployed their defenses.\The Pastillage Air Force is in combat with approximately 800 demons!\An army of demons has appeared in front of the Galette camp!\1500 more!\More and more keep appearing.\There are about 10,000 in the allied armies, response:	so we still have the advantage, but...
context: Pastillage Sky Knights Squad Two is beginning combat with the flyers!\Biscotti's main force has deployed their defenses.\The Pastillage Air Force is in combat with approximately 800 demons!\An army of demons has appeared in front of the Galette camp!\1500 more!\More and more keep appearing.\There are about 10,000 in the allied armies,\so we still have the advantage, but... response:	If the number of demons goes above that...
context: Biscotti's main force has deployed their defenses.\The Pastillage Air Force is in combat with approximately 800 demons!\An army of demons has appeared in front of the Galette camp!\1500 more!\More and more keep appearing.\There are about 10,000 in the allied armies,\so we still have the advantage, but...\If the number of demons goes above that... response:	It's okay.
context: The Pastillage Air Force is in combat with approximately 800 demons!\An army of demons has appeared in front of the Galette camp!\1500 more!\More and more keep appearing.\There are about 10,000 in the allied armies,\so we still have the advantage, but...\If the number of demons goes above that...\It's okay. response:	We'll find the main demon before that!
context: An army of demons has appeared in front of the Galette camp!\1500 more!\More and more keep appearing.\There are about 10,000 in the allied armies,\so we still have the advantage, but...\If the number of demons goes above that...\It's okay.\We'll find the main demon before that! response:	Maintain defensive formation!
context: 1500 more!\More and more keep appearing.\There are about 10,000 in the allied armies,\so we still have the advantage, but...\If the number of demons goes above that...\It's okay.\We'll find the main demon before that!\Maintain defensive formation! response:	Only attack the demons that charge!
context: More and more keep appearing.\There are about 10,000 in the allied armies,\so we still have the advantage, but...\If the number of demons goes above that...\It's okay.\We'll find the main demon before that!\Maintain defensive formation!\Only attack the demons that charge! response:	Yes, sir!
context: There are about 10,000 in the allied armies,\so we still have the advantage, but...\If the number of demons goes above that...\It's okay.\We'll find the main demon before that!\Maintain defensive formation!\Only attack the demons that charge!\Yes, sir! response:	Hero Crystal... activate!
context: so we still have the advantage, but...\If the number of demons goes above that...\It's okay.\We'll find the main demon before that!\Maintain defensive formation!\Only attack the demons that charge!\Yes, sir!\Hero Crystal... activate! response:	Here I go!
context: If the number of demons goes above that...\It's okay.\We'll find the main demon before that!\Maintain defensive formation!\Only attack the demons that charge!\Yes, sir!\Hero Crystal... activate!\Here I go! response:	I'll crush you all!
context: It's okay.\We'll find the main demon before that!\Maintain defensive formation!\Only attack the demons that charge!\Yes, sir!\Hero Crystal... activate!\Here I go!\I'll crush you all! response:	Yukikaze-style Ninjutsu!
context: We'll find the main demon before that!\Maintain defensive formation!\Only attack the demons that charge!\Yes, sir!\Hero Crystal... activate!\Here I go!\I'll crush you all!\Yukikaze-style Ninjutsu! response:	Senka Reppuu!
context: Maintain defensive formation!\Only attack the demons that charge!\Yes, sir!\Hero Crystal... activate!\Here I go!\I'll crush you all!\Yukikaze-style Ninjutsu!\Senka Reppuu! response:	Eclair, are you okay?
context: Only attack the demons that charge!\Yes, sir!\Hero Crystal... activate!\Here I go!\I'll crush you all!\Yukikaze-style Ninjutsu!\Senka Reppuu!\Eclair, are you okay? response:	Yukki!
context: Yes, sir!\Hero Crystal... activate!\Here I go!\I'll crush you all!\Yukikaze-style Ninjutsu!\Senka Reppuu!\Eclair, are you okay?\Yukki! response:	I'm sorry I'm late!
context: Hero Crystal... activate!\Here I go!\I'll crush you all!\Yukikaze-style Ninjutsu!\Senka Reppuu!\Eclair, are you okay?\Yukki!\I'm sorry I'm late! response:	Sorry about this.
context: Here I go!\I'll crush you all!\Yukikaze-style Ninjutsu!\Senka Reppuu!\Eclair, are you okay?\Yukki!\I'm sorry I'm late!\Sorry about this. response:	You're taking something to the Heroes, right?
context: I'll crush you all!\Yukikaze-style Ninjutsu!\Senka Reppuu!\Eclair, are you okay?\Yukki!\I'm sorry I'm late!\Sorry about this.\You're taking something to the Heroes, right? response:	Fire support, second round, go!
context: Yukikaze-style Ninjutsu!\Senka Reppuu!\Eclair, are you okay?\Yukki!\I'm sorry I'm late!\Sorry about this.\You're taking something to the Heroes, right?\Fire support, second round, go! response:	Fire!
context: Senka Reppuu!\Eclair, are you okay?\Yukki!\I'm sorry I'm late!\Sorry about this.\You're taking something to the Heroes, right?\Fire support, second round, go!\Fire! response:	All right!
context: Eclair, are you okay?\Yukki!\I'm sorry I'm late!\Sorry about this.\You're taking something to the Heroes, right?\Fire support, second round, go!\Fire!\All right! response:	The chief's opened a path!
context: Yukki!\I'm sorry I'm late!\Sorry about this.\You're taking something to the Heroes, right?\Fire support, second round, go!\Fire!\All right!\The chief's opened a path! response:	Oh no!
context: I'm sorry I'm late!\Sorry about this.\You're taking something to the Heroes, right?\Fire support, second round, go!\Fire!\All right!\The chief's opened a path!\Oh no! response:	The True Dragons are crying!
context: Sorry about this.\You're taking something to the Heroes, right?\Fire support, second round, go!\Fire!\All right!\The chief's opened a path!\Oh no!\The True Dragons are crying! response:	True Dragon-san.
context: You're taking something to the Heroes, right?\Fire support, second round, go!\Fire!\All right!\The chief's opened a path!\Oh no!\The True Dragons are crying!\True Dragon-san. response:	The True Dragons are starting to turn into demons.
context: Fire support, second round, go!\Fire!\All right!\The chief's opened a path!\Oh no!\The True Dragons are crying!\True Dragon-san.\The True Dragons are starting to turn into demons. response:	Stopping that from happening is our job.
context: Fire!\All right!\The chief's opened a path!\Oh no!\The True Dragons are crying!\True Dragon-san.\The True Dragons are starting to turn into demons.\Stopping that from happening is our job. response:	It's okay.
context: All right!\The chief's opened a path!\Oh no!\The True Dragons are crying!\True Dragon-san.\The True Dragons are starting to turn into demons.\Stopping that from happening is our job.\It's okay. response:	I won't let you turn into Demons!
context: The chief's opened a path!\Oh no!\The True Dragons are crying!\True Dragon-san.\The True Dragons are starting to turn into demons.\Stopping that from happening is our job.\It's okay.\I won't let you turn into Demons! response:	I'm sorry.
context: Oh no!\The True Dragons are crying!\True Dragon-san.\The True Dragons are starting to turn into demons.\Stopping that from happening is our job.\It's okay.\I won't let you turn into Demons!\I'm sorry. response:	Please don't blame me for this.
context: The True Dragons are crying!\True Dragon-san.\The True Dragons are starting to turn into demons.\Stopping that from happening is our job.\It's okay.\I won't let you turn into Demons!\I'm sorry.\Please don't blame me for this. response:	Princess.
context: True Dragon-san.\The True Dragons are starting to turn into demons.\Stopping that from happening is our job.\It's okay.\I won't let you turn into Demons!\I'm sorry.\Please don't blame me for this.\Princess. response:	Lightning Dragon-san, I'll save you soon.
context: The True Dragons are starting to turn into demons.\Stopping that from happening is our job.\It's okay.\I won't let you turn into Demons!\I'm sorry.\Please don't blame me for this.\Princess.\Lightning Dragon-san, I'll save you soon. response:	So hang in there.
context: Stopping that from happening is our job.\It's okay.\I won't let you turn into Demons!\I'm sorry.\Please don't blame me for this.\Princess.\Lightning Dragon-san, I'll save you soon.\So hang in there. response:	You must be suffering,
context: It's okay.\I won't let you turn into Demons!\I'm sorry.\Please don't blame me for this.\Princess.\Lightning Dragon-san, I'll save you soon.\So hang in there.\You must be suffering, response:	but hang in just a little while longer.
context: I won't let you turn into Demons!\I'm sorry.\Please don't blame me for this.\Princess.\Lightning Dragon-san, I'll save you soon.\So hang in there.\You must be suffering,\but hang in just a little while longer. response:	Just stay there!
context: I'm sorry.\Please don't blame me for this.\Princess.\Lightning Dragon-san, I'll save you soon.\So hang in there.\You must be suffering,\but hang in just a little while longer.\Just stay there! response:	Lion King Exploding Thunder Slash!
context: Please don't blame me for this.\Princess.\Lightning Dragon-san, I'll save you soon.\So hang in there.\You must be suffering,\but hang in just a little while longer.\Just stay there!\Lion King Exploding Thunder Slash! response:	Hurry, Heroes!
context: Princess.\Lightning Dragon-san, I'll save you soon.\So hang in there.\You must be suffering,\but hang in just a little while longer.\Just stay there!\Lion King Exploding Thunder Slash!\Hurry, Heroes! response:	Can you see this?
context: Lightning Dragon-san, I'll save you soon.\So hang in there.\You must be suffering,\but hang in just a little while longer.\Just stay there!\Lion King Exploding Thunder Slash!\Hurry, Heroes!\Can you see this? response:	The battle is already getting fierce!
context: So hang in there.\You must be suffering,\but hang in just a little while longer.\Just stay there!\Lion King Exploding Thunder Slash!\Hurry, Heroes!\Can you see this?\The battle is already getting fierce! response:	The light you just saw near the volcano
context: You must be suffering,\but hang in just a little while longer.\Just stay there!\Lion King Exploding Thunder Slash!\Hurry, Heroes!\Can you see this?\The battle is already getting fierce!\The light you just saw near the volcano response:	was probably Leo's...
context: but hang in just a little while longer.\Just stay there!\Lion King Exploding Thunder Slash!\Hurry, Heroes!\Can you see this?\The battle is already getting fierce!\The light you just saw near the volcano\was probably Leo's... response:	The flyers have a wide range.
context: Just stay there!\Lion King Exploding Thunder Slash!\Hurry, Heroes!\Can you see this?\The battle is already getting fierce!\The light you just saw near the volcano\was probably Leo's...\The flyers have a wide range. response:	Squad Eight, lead the
context: Lion King Exploding Thunder Slash!\Hurry, Heroes!\Can you see this?\The battle is already getting fierce!\The light you just saw near the volcano\was probably Leo's...\The flyers have a wide range.\Squad Eight, lead the response:	reporters down to a safe altitude!
context: Hurry, Heroes!\Can you see this?\The battle is already getting fierce!\The light you just saw near the volcano\was probably Leo's...\The flyers have a wide range.\Squad Eight, lead the\reporters down to a safe altitude! response:	Okay!
context: Can you see this?\The battle is already getting fierce!\The light you just saw near the volcano\was probably Leo's...\The flyers have a wide range.\Squad Eight, lead the\reporters down to a safe altitude!\Okay! response:	Wow.
context: The battle is already getting fierce!\The light you just saw near the volcano\was probably Leo's...\The flyers have a wide range.\Squad Eight, lead the\reporters down to a safe altitude!\Okay!\Wow. response:	The humans are standing up to Dragons...
context: The light you just saw near the volcano\was probably Leo's...\The flyers have a wide range.\Squad Eight, lead the\reporters down to a safe altitude!\Okay!\Wow.\The humans are standing up to Dragons... response:	Those are our rulers, and we're very proud of them!
context: was probably Leo's...\The flyers have a wide range.\Squad Eight, lead the\reporters down to a safe altitude!\Okay!\Wow.\The humans are standing up to Dragons...\Those are our rulers, and we're very proud of them! response:	It's the ruler's job to protect the country.
context: The flyers have a wide range.\Squad Eight, lead the\reporters down to a safe altitude!\Okay!\Wow.\The humans are standing up to Dragons...\Those are our rulers, and we're very proud of them!\It's the ruler's job to protect the country. response:	And it's the Hero's job to save the country
context: Squad Eight, lead the\reporters down to a safe altitude!\Okay!\Wow.\The humans are standing up to Dragons...\Those are our rulers, and we're very proud of them!\It's the ruler's job to protect the country.\And it's the Hero's job to save the country response:	when it's in danger and bring smiles and happiness to everyone.
context: reporters down to a safe altitude!\Okay!\Wow.\The humans are standing up to Dragons...\Those are our rulers, and we're very proud of them!\It's the ruler's job to protect the country.\And it's the Hero's job to save the country\when it's in danger and bring smiles and happiness to everyone. response:	I want everybody to smile, so I'll do my best!
context: Okay!\Wow.\The humans are standing up to Dragons...\Those are our rulers, and we're very proud of them!\It's the ruler's job to protect the country.\And it's the Hero's job to save the country\when it's in danger and bring smiles and happiness to everyone.\I want everybody to smile, so I'll do my best! response:	We found the Dragon Eater.
context: Wow.\The humans are standing up to Dragons...\Those are our rulers, and we're very proud of them!\It's the ruler's job to protect the country.\And it's the Hero's job to save the country\when it's in danger and bring smiles and happiness to everyone.\I want everybody to smile, so I'll do my best!\We found the Dragon Eater. response:	Hero Rebecca, climb!
context: The humans are standing up to Dragons...\Those are our rulers, and we're very proud of them!\It's the ruler's job to protect the country.\And it's the Hero's job to save the country\when it's in danger and bring smiles and happiness to everyone.\I want everybody to smile, so I'll do my best!\We found the Dragon Eater.\Hero Rebecca, climb! response:	Right!
