context: Next up is the weather forecast for the Kanto Region. response:	Due to areas of low pressure coming in from the west,
context: Why are you leaving Sakura Hall?\I feel like, if I stay in Sakura Hall, I'll start to hate myself.\Hate yourself?\That's why I'm leaving Sakura Hall.\I intended to leave from the start.\Isn't the deadline for the New Artist Award coming up?\I'll be rooting for you!\Until I leave Sakura Hall, I'll still look after you. response:	Don't worry.
context: I feel like, if I stay in Sakura Hall, I'll start to hate myself.\Hate yourself?\That's why I'm leaving Sakura Hall.\I intended to leave from the start.\Isn't the deadline for the New Artist Award coming up?\I'll be rooting for you!\Until I leave Sakura Hall, I'll still look after you.\Don't worry. response:	Since then,
context: Hate yourself?\That's why I'm leaving Sakura Hall.\I intended to leave from the start.\Isn't the deadline for the New Artist Award coming up?\I'll be rooting for you!\Until I leave Sakura Hall, I'll still look after you.\Don't worry.\Since then, response:	Shiina has been working through the night, every night.
context: That's why I'm leaving Sakura Hall.\I intended to leave from the start.\Isn't the deadline for the New Artist Award coming up?\I'll be rooting for you!\Until I leave Sakura Hall, I'll still look after you.\Don't worry.\Since then,\Shiina has been working through the night, every night. response:	Drawing and redrawing...
context: I intended to leave from the start.\Isn't the deadline for the New Artist Award coming up?\I'll be rooting for you!\Until I leave Sakura Hall, I'll still look after you.\Don't worry.\Since then,\Shiina has been working through the night, every night.\Drawing and redrawing... response:	drawing and redrawing over and over again.
context: Isn't the deadline for the New Artist Award coming up?\I'll be rooting for you!\Until I leave Sakura Hall, I'll still look after you.\Don't worry.\Since then,\Shiina has been working through the night, every night.\Drawing and redrawing...\drawing and redrawing over and over again. response:	On the morning of the deadline for entries to the New Artist Award,
context: I'll be rooting for you!\Until I leave Sakura Hall, I'll still look after you.\Don't worry.\Since then,\Shiina has been working through the night, every night.\Drawing and redrawing...\drawing and redrawing over and over again.\On the morning of the deadline for entries to the New Artist Award, response:	she finally finished her manuscript.
context: Until I leave Sakura Hall, I'll still look after you.\Don't worry.\Since then,\Shiina has been working through the night, every night.\Drawing and redrawing...\drawing and redrawing over and over again.\On the morning of the deadline for entries to the New Artist Award,\she finally finished her manuscript. response:	After you eat, get some rest
context: Don't worry.\Since then,\Shiina has been working through the night, every night.\Drawing and redrawing...\drawing and redrawing over and over again.\On the morning of the deadline for entries to the New Artist Award,\she finally finished her manuscript.\After you eat, get some rest response:	The only cats who still need owners are Nozomi and Hikari.
context: Since then,\Shiina has been working through the night, every night.\Drawing and redrawing...\drawing and redrawing over and over again.\On the morning of the deadline for entries to the New Artist Award,\she finally finished her manuscript.\After you eat, get some rest\The only cats who still need owners are Nozomi and Hikari. response:	Goal: Escape from Sakura Hall!!
context: Shiina has been working through the night, every night.\Drawing and redrawing...\drawing and redrawing over and over again.\On the morning of the deadline for entries to the New Artist Award,\she finally finished her manuscript.\After you eat, get some rest\The only cats who still need owners are Nozomi and Hikari.\Goal: Escape from Sakura Hall!! response:	Unfortunately, the Milky Way will not be visible tonight...
context: Drawing and redrawing...\drawing and redrawing over and over again.\On the morning of the deadline for entries to the New Artist Award,\she finally finished her manuscript.\After you eat, get some rest\The only cats who still need owners are Nozomi and Hikari.\Goal: Escape from Sakura Hall!!\Unfortunately, the Milky Way will not be visible tonight... response:	I've finally taken the first step toward moving back...
context: drawing and redrawing over and over again.\On the morning of the deadline for entries to the New Artist Award,\she finally finished her manuscript.\After you eat, get some rest\The only cats who still need owners are Nozomi and Hikari.\Goal: Escape from Sakura Hall!!\Unfortunately, the Milky Way will not be visible tonight...\I've finally taken the first step toward moving back... response:	into the regular dorms...
context: On the morning of the deadline for entries to the New Artist Award,\she finally finished her manuscript.\After you eat, get some rest\The only cats who still need owners are Nozomi and Hikari.\Goal: Escape from Sakura Hall!!\Unfortunately, the Milky Way will not be visible tonight...\I've finally taken the first step toward moving back...\into the regular dorms... response:	Kouhai-kun!
context: she finally finished her manuscript.\After you eat, get some rest\The only cats who still need owners are Nozomi and Hikari.\Goal: Escape from Sakura Hall!!\Unfortunately, the Milky Way will not be visible tonight...\I've finally taken the first step toward moving back...\into the regular dorms...\Kouhai-kun! response:	Take this!
context: After you eat, get some rest\The only cats who still need owners are Nozomi and Hikari.\Goal: Escape from Sakura Hall!!\Unfortunately, the Milky Way will not be visible tonight...\I've finally taken the first step toward moving back...\into the regular dorms...\Kouhai-kun!\Take this! response:	Wh-Why are you dressed like that?
context: The only cats who still need owners are Nozomi and Hikari.\Goal: Escape from Sakura Hall!!\Unfortunately, the Milky Way will not be visible tonight...\I've finally taken the first step toward moving back...\into the regular dorms...\Kouhai-kun!\Take this!\Wh-Why are you dressed like that? response:	That's all you have to say?
context: Goal: Escape from Sakura Hall!!\Unfortunately, the Milky Way will not be visible tonight...\I've finally taken the first step toward moving back...\into the regular dorms...\Kouhai-kun!\Take this!\Wh-Why are you dressed like that?\That's all you have to say? response:	Huh?
context: Unfortunately, the Milky Way will not be visible tonight...\I've finally taken the first step toward moving back...\into the regular dorms...\Kouhai-kun!\Take this!\Wh-Why are you dressed like that?\That's all you have to say?\Huh? response:	You idiot!
context: I've finally taken the first step toward moving back...\into the regular dorms...\Kouhai-kun!\Take this!\Wh-Why are you dressed like that?\That's all you have to say?\Huh?\You idiot! response:	I hate you!
context: into the regular dorms...\Kouhai-kun!\Take this!\Wh-Why are you dressed like that?\That's all you have to say?\Huh?\You idiot!\I hate you! response:	What?
context: Kouhai-kun!\Take this!\Wh-Why are you dressed like that?\That's all you have to say?\Huh?\You idiot!\I hate you!\What? response:	Stupid...
context: Take this!\Wh-Why are you dressed like that?\That's all you have to say?\Huh?\You idiot!\I hate you!\What?\Stupid... response:	What's going on?
context: Wh-Why are you dressed like that?\That's all you have to say?\Huh?\You idiot!\I hate you!\What?\Stupid...\What's going on? response:	You're so naive.
context: That's all you have to say?\Huh?\You idiot!\I hate you!\What?\Stupid...\What's going on?\You're so naive. response:	She wanted you to tell her how cute she was, how you couldn't bear it,
context: Huh?\You idiot!\I hate you!\What?\Stupid...\What's going on?\You're so naive.\She wanted you to tell her how cute she was, how you couldn't bear it, response:	and how you wanted to play naughty administrator with her.
context: You idiot!\I hate you!\What?\Stupid...\What's going on?\You're so naive.\She wanted you to tell her how cute she was, how you couldn't bear it,\and how you wanted to play naughty administrator with her. response:	Some of that is definitely sexual harassment.
context: I hate you!\What?\Stupid...\What's going on?\You're so naive.\She wanted you to tell her how cute she was, how you couldn't bear it,\and how you wanted to play naughty administrator with her.\Some of that is definitely sexual harassment. response:	Here.
context: What?\Stupid...\What's going on?\You're so naive.\She wanted you to tell her how cute she was, how you couldn't bear it,\and how you wanted to play naughty administrator with her.\Some of that is definitely sexual harassment.\Here. response:	She said we're celebrating Tanabata.
context: Stupid...\What's going on?\You're so naive.\She wanted you to tell her how cute she was, how you couldn't bear it,\and how you wanted to play naughty administrator with her.\Some of that is definitely sexual harassment.\Here.\She said we're celebrating Tanabata. response:	For Kouhai-kun: Make a wish upon the night sky. What is your wish!?
context: What's going on?\You're so naive.\She wanted you to tell her how cute she was, how you couldn't bear it,\and how you wanted to play naughty administrator with her.\Some of that is definitely sexual harassment.\Here.\She said we're celebrating Tanabata.\For Kouhai-kun: Make a wish upon the night sky. What is your wish!? response:	Misaki gave me one for you, too.
context: You're so naive.\She wanted you to tell her how cute she was, how you couldn't bear it,\and how you wanted to play naughty administrator with her.\Some of that is definitely sexual harassment.\Here.\She said we're celebrating Tanabata.\For Kouhai-kun: Make a wish upon the night sky. What is your wish!?\Misaki gave me one for you, too. response:	What?
context: She wanted you to tell her how cute she was, how you couldn't bear it,\and how you wanted to play naughty administrator with her.\Some of that is definitely sexual harassment.\Here.\She said we're celebrating Tanabata.\For Kouhai-kun: Make a wish upon the night sky. What is your wish!?\Misaki gave me one for you, too.\What? response:	Sakura Hall Tanabata Festival
context: and how you wanted to play naughty administrator with her.\Some of that is definitely sexual harassment.\Here.\She said we're celebrating Tanabata.\For Kouhai-kun: Make a wish upon the night sky. What is your wish!?\Misaki gave me one for you, too.\What?\Sakura Hall Tanabata Festival response:	So...
context: Some of that is definitely sexual harassment.\Here.\She said we're celebrating Tanabata.\For Kouhai-kun: Make a wish upon the night sky. What is your wish!?\Misaki gave me one for you, too.\What?\Sakura Hall Tanabata Festival\So... response:	There are a lot of kids, aren't there?
context: Here.\She said we're celebrating Tanabata.\For Kouhai-kun: Make a wish upon the night sky. What is your wish!?\Misaki gave me one for you, too.\What?\Sakura Hall Tanabata Festival\So...\There are a lot of kids, aren't there? response:	Kids tend to flock to Kamiigusa.
context: She said we're celebrating Tanabata.\For Kouhai-kun: Make a wish upon the night sky. What is your wish!?\Misaki gave me one for you, too.\What?\Sakura Hall Tanabata Festival\So...\There are a lot of kids, aren't there?\Kids tend to flock to Kamiigusa. response:	Wow.
context: For Kouhai-kun: Make a wish upon the night sky. What is your wish!?\Misaki gave me one for you, too.\What?\Sakura Hall Tanabata Festival\So...\There are a lot of kids, aren't there?\Kids tend to flock to Kamiigusa.\Wow. response:	Does it really fire?
context: Misaki gave me one for you, too.\What?\Sakura Hall Tanabata Festival\So...\There are a lot of kids, aren't there?\Kids tend to flock to Kamiigusa.\Wow.\Does it really fire? response:	Maybe it's because her mental age is close to theirs.
context: What?\Sakura Hall Tanabata Festival\So...\There are a lot of kids, aren't there?\Kids tend to flock to Kamiigusa.\Wow.\Does it really fire?\Maybe it's because her mental age is close to theirs. response:	Onee-chan, I want to hang one up!
context: Sakura Hall Tanabata Festival\So...\There are a lot of kids, aren't there?\Kids tend to flock to Kamiigusa.\Wow.\Does it really fire?\Maybe it's because her mental age is close to theirs.\Onee-chan, I want to hang one up! response:	All right! I'll lift you up!
context: So...\There are a lot of kids, aren't there?\Kids tend to flock to Kamiigusa.\Wow.\Does it really fire?\Maybe it's because her mental age is close to theirs.\Onee-chan, I want to hang one up!\All right! I'll lift you up! response:	Higher!
context: There are a lot of kids, aren't there?\Kids tend to flock to Kamiigusa.\Wow.\Does it really fire?\Maybe it's because her mental age is close to theirs.\Onee-chan, I want to hang one up!\All right! I'll lift you up!\Higher! response:	Okay! Higher, you say?
context: Kids tend to flock to Kamiigusa.\Wow.\Does it really fire?\Maybe it's because her mental age is close to theirs.\Onee-chan, I want to hang one up!\All right! I'll lift you up!\Higher!\Okay! Higher, you say? response:	A little higher.
context: Wow.\Does it really fire?\Maybe it's because her mental age is close to theirs.\Onee-chan, I want to hang one up!\All right! I'll lift you up!\Higher!\Okay! Higher, you say?\A little higher. response:	If you touch her, you'll be crossing...
context: Does it really fire?\Maybe it's because her mental age is close to theirs.\Onee-chan, I want to hang one up!\All right! I'll lift you up!\Higher!\Okay! Higher, you say?\A little higher.\If you touch her, you'll be crossing... response:	the River Styx instead of the Milky Way.
context: Maybe it's because her mental age is close to theirs.\Onee-chan, I want to hang one up!\All right! I'll lift you up!\Higher!\Okay! Higher, you say?\A little higher.\If you touch her, you'll be crossing...\the River Styx instead of the Milky Way. response:	Jin! Come write something, too!
context: Onee-chan, I want to hang one up!\All right! I'll lift you up!\Higher!\Okay! Higher, you say?\A little higher.\If you touch her, you'll be crossing...\the River Styx instead of the Milky Way.\Jin! Come write something, too! response:	I want to hang mine over there!
context: All right! I'll lift you up!\Higher!\Okay! Higher, you say?\A little higher.\If you touch her, you'll be crossing...\the River Styx instead of the Milky Way.\Jin! Come write something, too!\I want to hang mine over there! response:	Okay! Let's go, let's go!
context: Higher!\Okay! Higher, you say?\A little higher.\If you touch her, you'll be crossing...\the River Styx instead of the Milky Way.\Jin! Come write something, too!\I want to hang mine over there!\Okay! Let's go, let's go! response:	I wish I could fire laser beams
context: Okay! Higher, you say?\A little higher.\If you touch her, you'll be crossing...\the River Styx instead of the Milky Way.\Jin! Come write something, too!\I want to hang mine over there!\Okay! Let's go, let's go!\I wish I could fire laser beams response:	Even though it's not signed, it's obvious who wrote this one.
context: A little higher.\If you touch her, you'll be crossing...\the River Styx instead of the Milky Way.\Jin! Come write something, too!\I want to hang mine over there!\Okay! Let's go, let's go!\I wish I could fire laser beams\Even though it's not signed, it's obvious who wrote this one. response:	How's this?
context: If you touch her, you'll be crossing...\the River Styx instead of the Milky Way.\Jin! Come write something, too!\I want to hang mine over there!\Okay! Let's go, let's go!\I wish I could fire laser beams\Even though it's not signed, it's obvious who wrote this one.\How's this? response:	A little more!
context: the River Styx instead of the Milky Way.\Jin! Come write something, too!\I want to hang mine over there!\Okay! Let's go, let's go!\I wish I could fire laser beams\Even though it's not signed, it's obvious who wrote this one.\How's this?\A little more! response:	A little higher!
context: Jin! Come write something, too!\I want to hang mine over there!\Okay! Let's go, let's go!\I wish I could fire laser beams\Even though it's not signed, it's obvious who wrote this one.\How's this?\A little more!\A little higher! response:	This isn't Tanabata anymore.
context: I want to hang mine over there!\Okay! Let's go, let's go!\I wish I could fire laser beams\Even though it's not signed, it's obvious who wrote this one.\How's this?\A little more!\A little higher!\This isn't Tanabata anymore. response:	What are you, a little kid?
context: Okay! Let's go, let's go!\I wish I could fire laser beams\Even though it's not signed, it's obvious who wrote this one.\How's this?\A little more!\A little higher!\This isn't Tanabata anymore.\What are you, a little kid? response:	You can do it! You can do it!
context: I wish I could fire laser beams\Even though it's not signed, it's obvious who wrote this one.\How's this?\A little more!\A little higher!\This isn't Tanabata anymore.\What are you, a little kid?\You can do it! You can do it! response:	I wish he would look at me someday
context: Even though it's not signed, it's obvious who wrote this one.\How's this?\A little more!\A little higher!\This isn't Tanabata anymore.\What are you, a little kid?\You can do it! You can do it!\I wish he would look at me someday response:	I wish he would look at me someday
context: How's this?\A little more!\A little higher!\This isn't Tanabata anymore.\What are you, a little kid?\You can do it! You can do it!\I wish he would look at me someday\I wish he would look at me someday response:	You don't know?
context: A little more!\A little higher!\This isn't Tanabata anymore.\What are you, a little kid?\You can do it! You can do it!\I wish he would look at me someday\I wish he would look at me someday\You don't know? response:	I don't know what to write.
context: A little higher!\This isn't Tanabata anymore.\What are you, a little kid?\You can do it! You can do it!\I wish he would look at me someday\I wish he would look at me someday\You don't know?\I don't know what to write. response:	You worked hard.
context: This isn't Tanabata anymore.\What are you, a little kid?\You can do it! You can do it!\I wish he would look at me someday\I wish he would look at me someday\You don't know?\I don't know what to write.\You worked hard. response:	Why don't you wish you'll win the New Artist Award?
context: What are you, a little kid?\You can do it! You can do it!\I wish he would look at me someday\I wish he would look at me someday\You don't know?\I don't know what to write.\You worked hard.\Why don't you wish you'll win the New Artist Award? response:	That's not necessary.
context: You can do it! You can do it!\I wish he would look at me someday\I wish he would look at me someday\You don't know?\I don't know what to write.\You worked hard.\Why don't you wish you'll win the New Artist Award?\That's not necessary. response:	I see. Why not?
context: I wish he would look at me someday\I wish he would look at me someday\You don't know?\I don't know what to write.\You worked hard.\Why don't you wish you'll win the New Artist Award?\That's not necessary.\I see. Why not? response:	I'll win it on my own.
context: I wish he would look at me someday\You don't know?\I don't know what to write.\You worked hard.\Why don't you wish you'll win the New Artist Award?\That's not necessary.\I see. Why not?\I'll win it on my own. response:	You're amazing.
context: You don't know?\I don't know what to write.\You worked hard.\Why don't you wish you'll win the New Artist Award?\That's not necessary.\I see. Why not?\I'll win it on my own.\You're amazing. response:	What's amazing about me?
context: I don't know what to write.\You worked hard.\Why don't you wish you'll win the New Artist Award?\That's not necessary.\I see. Why not?\I'll win it on my own.\You're amazing.\What's amazing about me? response:	You're just brilliant, that's all.
context: You worked hard.\Why don't you wish you'll win the New Artist Award?\That's not necessary.\I see. Why not?\I'll win it on my own.\You're amazing.\What's amazing about me?\You're just brilliant, that's all. response:	I can't see the stars.
context: Why don't you wish you'll win the New Artist Award?\That's not necessary.\I see. Why not?\I'll win it on my own.\You're amazing.\What's amazing about me?\You're just brilliant, that's all.\I can't see the stars. response:	You're right. We can't.
context: That's not necessary.\I see. Why not?\I'll win it on my own.\You're amazing.\What's amazing about me?\You're just brilliant, that's all.\I can't see the stars.\You're right. We can't. response:	The clouds are still in the way.
context: I see. Why not?\I'll win it on my own.\You're amazing.\What's amazing about me?\You're just brilliant, that's all.\I can't see the stars.\You're right. We can't.\The clouds are still in the way. response:	Still?
context: I'll win it on my own.\You're amazing.\What's amazing about me?\You're just brilliant, that's all.\I can't see the stars.\You're right. We can't.\The clouds are still in the way.\Still? response:	I'll go hang this on the tree.
context: You're amazing.\What's amazing about me?\You're just brilliant, that's all.\I can't see the stars.\You're right. We can't.\The clouds are still in the way.\Still?\I'll go hang this on the tree. response:	Huh?
context: What's amazing about me?\You're just brilliant, that's all.\I can't see the stars.\You're right. We can't.\The clouds are still in the way.\Still?\I'll go hang this on the tree.\Huh? response:	I want to hang one, too.
context: You're just brilliant, that's all.\I can't see the stars.\You're right. We can't.\The clouds are still in the way.\Still?\I'll go hang this on the tree.\Huh?\I want to hang one, too. response:	Do it, do it!
context: I can't see the stars.\You're right. We can't.\The clouds are still in the way.\Still?\I'll go hang this on the tree.\Huh?\I want to hang one, too.\Do it, do it! response:	I should've wished it wouldn't rain.
context: You're right. We can't.\The clouds are still in the way.\Still?\I'll go hang this on the tree.\Huh?\I want to hang one, too.\Do it, do it!\I should've wished it wouldn't rain. response:	I can't give this to her...
context: The clouds are still in the way.\Still?\I'll go hang this on the tree.\Huh?\I want to hang one, too.\Do it, do it!\I should've wished it wouldn't rain.\I can't give this to her... response:	Well, now Orihime won't get to see Hikoboshi!
context: Still?\I'll go hang this on the tree.\Huh?\I want to hang one, too.\Do it, do it!\I should've wished it wouldn't rain.\I can't give this to her...\Well, now Orihime won't get to see Hikoboshi! response:	And they'll live happily ever after!
context: I'll go hang this on the tree.\Huh?\I want to hang one, too.\Do it, do it!\I should've wished it wouldn't rain.\I can't give this to her...\Well, now Orihime won't get to see Hikoboshi!\And they'll live happily ever after! response:	Make sure you take a bath later.
context: Huh?\I want to hang one, too.\Do it, do it!\I should've wished it wouldn't rain.\I can't give this to her...\Well, now Orihime won't get to see Hikoboshi!\And they'll live happily ever after!\Make sure you take a bath later. response:	You'll catch cold.
context: I want to hang one, too.\Do it, do it!\I should've wished it wouldn't rain.\I can't give this to her...\Well, now Orihime won't get to see Hikoboshi!\And they'll live happily ever after!\Make sure you take a bath later.\You'll catch cold. response:	Incoming Call: Iida Ayano
context: Do it, do it!\I should've wished it wouldn't rain.\I can't give this to her...\Well, now Orihime won't get to see Hikoboshi!\And they'll live happily ever after!\Make sure you take a bath later.\You'll catch cold.\Incoming Call: Iida Ayano response:	Hello?
context: I should've wished it wouldn't rain.\I can't give this to her...\Well, now Orihime won't get to see Hikoboshi!\And they'll live happily ever after!\Make sure you take a bath later.\You'll catch cold.\Incoming Call: Iida Ayano\Hello? response:	Say, Mashiron...
context: I can't give this to her...\Well, now Orihime won't get to see Hikoboshi!\And they'll live happily ever after!\Make sure you take a bath later.\You'll catch cold.\Incoming Call: Iida Ayano\Hello?\Say, Mashiron... response:	She's not wearing that necklace.
context: Well, now Orihime won't get to see Hikoboshi!\And they'll live happily ever after!\Make sure you take a bath later.\You'll catch cold.\Incoming Call: Iida Ayano\Hello?\Say, Mashiron...\She's not wearing that necklace. response:	Huh? Oh, right.
context: And they'll live happily ever after!\Make sure you take a bath later.\You'll catch cold.\Incoming Call: Iida Ayano\Hello?\Say, Mashiron...\She's not wearing that necklace.\Huh? Oh, right. response:	But that wasn't a date, it was a misunderstanding...
context: Make sure you take a bath later.\You'll catch cold.\Incoming Call: Iida Ayano\Hello?\Say, Mashiron...\She's not wearing that necklace.\Huh? Oh, right.\But that wasn't a date, it was a misunderstanding... response:	I understand.
context: You'll catch cold.\Incoming Call: Iida Ayano\Hello?\Say, Mashiron...\She's not wearing that necklace.\Huh? Oh, right.\But that wasn't a date, it was a misunderstanding...\I understand. response:	Shiina?
context: Incoming Call: Iida Ayano\Hello?\Say, Mashiron...\She's not wearing that necklace.\Huh? Oh, right.\But that wasn't a date, it was a misunderstanding...\I understand.\Shiina? response:	I wasn't selected for the New Artist Award.
context: Hello?\Say, Mashiron...\She's not wearing that necklace.\Huh? Oh, right.\But that wasn't a date, it was a misunderstanding...\I understand.\Shiina?\I wasn't selected for the New Artist Award. response:	What?
context: Say, Mashiron...\She's not wearing that necklace.\Huh? Oh, right.\But that wasn't a date, it was a misunderstanding...\I understand.\Shiina?\I wasn't selected for the New Artist Award.\What? response:	I-It's okay.
context: She's not wearing that necklace.\Huh? Oh, right.\But that wasn't a date, it was a misunderstanding...\I understand.\Shiina?\I wasn't selected for the New Artist Award.\What?\I-It's okay. response:	I'm sure you'll do better next time.
context: Huh? Oh, right.\But that wasn't a date, it was a misunderstanding...\I understand.\Shiina?\I wasn't selected for the New Artist Award.\What?\I-It's okay.\I'm sure you'll do better next time. response:	There's no reason to dwell on the New Artist Award.
context: But that wasn't a date, it was a misunderstanding...\I understand.\Shiina?\I wasn't selected for the New Artist Award.\What?\I-It's okay.\I'm sure you'll do better next time.\There's no reason to dwell on the New Artist Award. response:	What am I saying?
context: I understand.\Shiina?\I wasn't selected for the New Artist Award.\What?\I-It's okay.\I'm sure you'll do better next time.\There's no reason to dwell on the New Artist Award.\What am I saying? response:	Besides, you've got an editor, don't you?
context: Shiina?\I wasn't selected for the New Artist Award.\What?\I-It's okay.\I'm sure you'll do better next time.\There's no reason to dwell on the New Artist Award.\What am I saying?\Besides, you've got an editor, don't you? response:	I don't want to say these things...
context: I wasn't selected for the New Artist Award.\What?\I-It's okay.\I'm sure you'll do better next time.\There's no reason to dwell on the New Artist Award.\What am I saying?\Besides, you've got an editor, don't you?\I don't want to say these things... response:	You're on a whole different level from those others guys.
context: What?\I-It's okay.\I'm sure you'll do better next time.\There's no reason to dwell on the New Artist Award.\What am I saying?\Besides, you've got an editor, don't you?\I don't want to say these things...\You're on a whole different level from those others guys. response:	So, it's no big deal if you don't win the New Artist
context: I-It's okay.\I'm sure you'll do better next time.\There's no reason to dwell on the New Artist Award.\What am I saying?\Besides, you've got an editor, don't you?\I don't want to say these things...\You're on a whole different level from those others guys.\So, it's no big deal if you don't win the New Artist response:	I'm going back to my room.
context: I'm sure you'll do better next time.\There's no reason to dwell on the New Artist Award.\What am I saying?\Besides, you've got an editor, don't you?\I don't want to say these things...\You're on a whole different level from those others guys.\So, it's no big deal if you don't win the New Artist\I'm going back to my room. response:	Mashiron...
context: There's no reason to dwell on the New Artist Award.\What am I saying?\Besides, you've got an editor, don't you?\I don't want to say these things...\You're on a whole different level from those others guys.\So, it's no big deal if you don't win the New Artist\I'm going back to my room.\Mashiron... response:	Kouhai-kun
context: What am I saying?\Besides, you've got an editor, don't you?\I don't want to say these things...\You're on a whole different level from those others guys.\So, it's no big deal if you don't win the New Artist\I'm going back to my room.\Mashiron...\Kouhai-kun response:	Hey! Kouhai-kun!
context: Besides, you've got an editor, don't you?\I don't want to say these things...\You're on a whole different level from those others guys.\So, it's no big deal if you don't win the New Artist\I'm going back to my room.\Mashiron...\Kouhai-kun\Hey! Kouhai-kun! response:	Jin...
context: I don't want to say these things...\You're on a whole different level from those others guys.\So, it's no big deal if you don't win the New Artist\I'm going back to my room.\Mashiron...\Kouhai-kun\Hey! Kouhai-kun!\Jin... response:	I'm the worst...
context: You're on a whole different level from those others guys.\So, it's no big deal if you don't win the New Artist\I'm going back to my room.\Mashiron...\Kouhai-kun\Hey! Kouhai-kun!\Jin...\I'm the worst... response:	What's so bad about you?
context: So, it's no big deal if you don't win the New Artist\I'm going back to my room.\Mashiron...\Kouhai-kun\Hey! Kouhai-kun!\Jin...\I'm the worst...\What's so bad about you? response:	Did you hear that Misaki's new anime...
context: I'm going back to my room.\Mashiron...\Kouhai-kun\Hey! Kouhai-kun!\Jin...\I'm the worst...\What's so bad about you?\Did you hear that Misaki's new anime... response:	had its public debut?
context: Mashiron...\Kouhai-kun\Hey! Kouhai-kun!\Jin...\I'm the worst...\What's so bad about you?\Did you hear that Misaki's new anime...\had its public debut? response:	Her new anime?
context: Kouhai-kun\Hey! Kouhai-kun!\Jin...\I'm the worst...\What's so bad about you?\Did you hear that Misaki's new anime...\had its public debut?\Her new anime? response:	That thing she showed us at Shiina's welcoming party?
context: Hey! Kouhai-kun!\Jin...\I'm the worst...\What's so bad about you?\Did you hear that Misaki's new anime...\had its public debut?\Her new anime?\That thing she showed us at Shiina's welcoming party? response:	It's been well-received.
context: Jin...\I'm the worst...\What's so bad about you?\Did you hear that Misaki's new anime...\had its public debut?\Her new anime?\That thing she showed us at Shiina's welcoming party?\It's been well-received. response:	Made it to a million hits in just three days.
context: I'm the worst...\What's so bad about you?\Did you hear that Misaki's new anime...\had its public debut?\Her new anime?\That thing she showed us at Shiina's welcoming party?\It's been well-received.\Made it to a million hits in just three days. response:	She's already received ten offers...
context: What's so bad about you?\Did you hear that Misaki's new anime...\had its public debut?\Her new anime?\That thing she showed us at Shiina's welcoming party?\It's been well-received.\Made it to a million hits in just three days.\She's already received ten offers... response:	to commercialize her five-minute anime.
context: Did you hear that Misaki's new anime...\had its public debut?\Her new anime?\That thing she showed us at Shiina's welcoming party?\It's been well-received.\Made it to a million hits in just three days.\She's already received ten offers...\to commercialize her five-minute anime. response:	Everyone was looking forward to Misaki's new work.
