context: She wants to replace Iwasawa? response:	Not a chance...
context: Really?\Yay!\I get to play with Hisako - san on guitar!\I can't get enough of her murderous riffs!\I want to know what goes through her head!\Cut.\Cut.\Did I say something bad? response:	We won't be able to pull off any big operations during the ball game tournament with the band in this state.
context: Yay!\I get to play with Hisako - san on guitar!\I can't get enough of her murderous riffs!\I want to know what goes through her head!\Cut.\Cut.\Did I say something bad?\We won't be able to pull off any big operations during the ball game tournament with the band in this state. response:	Ball game tournament?
context: I get to play with Hisako - san on guitar!\I can't get enough of her murderous riffs!\I want to know what goes through her head!\Cut.\Cut.\Did I say something bad?\We won't be able to pull off any big operations during the ball game tournament with the band in this state.\Ball game tournament? response:	They have those here?
context: I can't get enough of her murderous riffs!\I want to know what goes through her head!\Cut.\Cut.\Did I say something bad?\We won't be able to pull off any big operations during the ball game tournament with the band in this state.\Ball game tournament?\They have those here? response:	Of course. This is a normal school, after all.
context: I want to know what goes through her head!\Cut.\Cut.\Did I say something bad?\We won't be able to pull off any big operations during the ball game tournament with the band in this state.\Ball game tournament?\They have those here?\Of course. This is a normal school, after all. response:	Will we just be spectators then?
context: Cut.\Cut.\Did I say something bad?\We won't be able to pull off any big operations during the ball game tournament with the band in this state.\Ball game tournament?\They have those here?\Of course. This is a normal school, after all.\Will we just be spectators then? response:	We'll be participating, of course.
context: Cut.\Did I say something bad?\We won't be able to pull off any big operations during the ball game tournament with the band in this state.\Ball game tournament?\They have those here?\Of course. This is a normal school, after all.\Will we just be spectators then?\We'll be participating, of course. response:	Won't we disappear if we do that?
context: Did I say something bad?\We won't be able to pull off any big operations during the ball game tournament with the band in this state.\Ball game tournament?\They have those here?\Of course. This is a normal school, after all.\Will we just be spectators then?\We'll be participating, of course.\Won't we disappear if we do that? response:	We'll be participating illegally, of course.
context: We won't be able to pull off any big operations during the ball game tournament with the band in this state.\Ball game tournament?\They have those here?\Of course. This is a normal school, after all.\Will we just be spectators then?\We'll be participating, of course.\Won't we disappear if we do that?\We'll be participating illegally, of course. response:	This is the plan everyone.
context: Ball game tournament?\They have those here?\Of course. This is a normal school, after all.\Will we just be spectators then?\We'll be participating, of course.\Won't we disappear if we do that?\We'll be participating illegally, of course.\This is the plan everyone. response:	Go and gather people to make teams.
context: They have those here?\Of course. This is a normal school, after all.\Will we just be spectators then?\We'll be participating, of course.\Won't we disappear if we do that?\We'll be participating illegally, of course.\This is the plan everyone.\Go and gather people to make teams. response:	Any team which performs worse than the regular students...
context: Of course. This is a normal school, after all.\Will we just be spectators then?\We'll be participating, of course.\Won't we disappear if we do that?\We'll be participating illegally, of course.\This is the plan everyone.\Go and gather people to make teams.\Any team which performs worse than the regular students... response:	Stop ignoring me!
context: Will we just be spectators then?\We'll be participating, of course.\Won't we disappear if we do that?\We'll be participating illegally, of course.\This is the plan everyone.\Go and gather people to make teams.\Any team which performs worse than the regular students...\Stop ignoring me! response:	Isn't she just desperate for action since we can't do anything right now?
context: We'll be participating, of course.\Won't we disappear if we do that?\We'll be participating illegally, of course.\This is the plan everyone.\Go and gather people to make teams.\Any team which performs worse than the regular students...\Stop ignoring me!\Isn't she just desperate for action since we can't do anything right now? response:	It's part of our duties to stay in shape.
context: Won't we disappear if we do that?\We'll be participating illegally, of course.\This is the plan everyone.\Go and gather people to make teams.\Any team which performs worse than the regular students...\Stop ignoring me!\Isn't she just desperate for action since we can't do anything right now?\It's part of our duties to stay in shape. response:	This is just a test.
context: We'll be participating illegally, of course.\This is the plan everyone.\Go and gather people to make teams.\Any team which performs worse than the regular students...\Stop ignoring me!\Isn't she just desperate for action since we can't do anything right now?\It's part of our duties to stay in shape.\This is just a test. response:	Otonashi...
context: This is the plan everyone.\Go and gather people to make teams.\Any team which performs worse than the regular students...\Stop ignoring me!\Isn't she just desperate for action since we can't do anything right now?\It's part of our duties to stay in shape.\This is just a test.\Otonashi... response:	I need you.
context: Go and gather people to make teams.\Any team which performs worse than the regular students...\Stop ignoring me!\Isn't she just desperate for action since we can't do anything right now?\It's part of our duties to stay in shape.\This is just a test.\Otonashi...\I need you. response:	Are you...
context: Any team which performs worse than the regular students...\Stop ignoring me!\Isn't she just desperate for action since we can't do anything right now?\It's part of our duties to stay in shape.\This is just a test.\Otonashi...\I need you.\Are you... response:	No!!
context: Stop ignoring me!\Isn't she just desperate for action since we can't do anything right now?\It's part of our duties to stay in shape.\This is just a test.\Otonashi...\I need you.\Are you...\No!! response:	I'm talking about the team!
context: Isn't she just desperate for action since we can't do anything right now?\It's part of our duties to stay in shape.\This is just a test.\Otonashi...\I need you.\Are you...\No!!\I'm talking about the team! response:	Let's form a team, Otonashi!
context: It's part of our duties to stay in shape.\This is just a test.\Otonashi...\I need you.\Are you...\No!!\I'm talking about the team!\Let's form a team, Otonashi! response:	It'll be bad if we lose.
context: This is just a test.\Otonashi...\I need you.\Are you...\No!!\I'm talking about the team!\Let's form a team, Otonashi!\It'll be bad if we lose. response:	Yurippe is serious about this stuff.
context: Otonashi...\I need you.\Are you...\No!!\I'm talking about the team!\Let's form a team, Otonashi!\It'll be bad if we lose.\Yurippe is serious about this stuff. response:	Do you have other members in mind?
context: I need you.\Are you...\No!!\I'm talking about the team!\Let's form a team, Otonashi!\It'll be bad if we lose.\Yurippe is serious about this stuff.\Do you have other members in mind? response:	Leave it to me.
context: Are you...\No!!\I'm talking about the team!\Let's form a team, Otonashi!\It'll be bad if we lose.\Yurippe is serious about this stuff.\Do you have other members in mind?\Leave it to me. response:	I practically live on my popularity!
context: No!!\I'm talking about the team!\Let's form a team, Otonashi!\It'll be bad if we lose.\Yurippe is serious about this stuff.\Do you have other members in mind?\Leave it to me.\I practically live on my popularity! response:	I'll form the strongest team!
context: I'm talking about the team!\Let's form a team, Otonashi!\It'll be bad if we lose.\Yurippe is serious about this stuff.\Do you have other members in mind?\Leave it to me.\I practically live on my popularity!\I'll form the strongest team! response:	You've already joined Takamatsu's team?
context: Let's form a team, Otonashi!\It'll be bad if we lose.\Yurippe is serious about this stuff.\Do you have other members in mind?\Leave it to me.\I practically live on my popularity!\I'll form the strongest team!\You've already joined Takamatsu's team? response:	Yeah.
context: It'll be bad if we lose.\Yurippe is serious about this stuff.\Do you have other members in mind?\Leave it to me.\I practically live on my popularity!\I'll form the strongest team!\You've already joined Takamatsu's team?\Yeah. response:	I don't get it!
context: Yurippe is serious about this stuff.\Do you have other members in mind?\Leave it to me.\I practically live on my popularity!\I'll form the strongest team!\You've already joined Takamatsu's team?\Yeah.\I don't get it! response:	Why didn't you wait for me?
context: Do you have other members in mind?\Leave it to me.\I practically live on my popularity!\I'll form the strongest team!\You've already joined Takamatsu's team?\Yeah.\I don't get it!\Why didn't you wait for me? response:	I don't get why you think I'd wait for you.
context: Leave it to me.\I practically live on my popularity!\I'll form the strongest team!\You've already joined Takamatsu's team?\Yeah.\I don't get it!\Why didn't you wait for me?\I don't get why you think I'd wait for you. response:	And I'm sure Takamatsu's team will be better than yours anyway.
context: I practically live on my popularity!\I'll form the strongest team!\You've already joined Takamatsu's team?\Yeah.\I don't get it!\Why didn't you wait for me?\I don't get why you think I'd wait for you.\And I'm sure Takamatsu's team will be better than yours anyway. response:	That hurts, she's really athletic.
context: I'll form the strongest team!\You've already joined Takamatsu's team?\Yeah.\I don't get it!\Why didn't you wait for me?\I don't get why you think I'd wait for you.\And I'm sure Takamatsu's team will be better than yours anyway.\That hurts, she's really athletic. response:	That's some popularity alright.
context: You've already joined Takamatsu's team?\Yeah.\I don't get it!\Why didn't you wait for me?\I don't get why you think I'd wait for you.\And I'm sure Takamatsu's team will be better than yours anyway.\That hurts, she's really athletic.\That's some popularity alright. response:	No choice then.
context: Yeah.\I don't get it!\Why didn't you wait for me?\I don't get why you think I'd wait for you.\And I'm sure Takamatsu's team will be better than yours anyway.\That hurts, she's really athletic.\That's some popularity alright.\No choice then. response:	It's a little unfair, but let's ask the leader - like Matsushita.
context: I don't get it!\Why didn't you wait for me?\I don't get why you think I'd wait for you.\And I'm sure Takamatsu's team will be better than yours anyway.\That hurts, she's really athletic.\That's some popularity alright.\No choice then.\It's a little unfair, but let's ask the leader - like Matsushita. response:	I'm sure he's already joined a team.
context: Why didn't you wait for me?\I don't get why you think I'd wait for you.\And I'm sure Takamatsu's team will be better than yours anyway.\That hurts, she's really athletic.\That's some popularity alright.\No choice then.\It's a little unfair, but let's ask the leader - like Matsushita.\I'm sure he's already joined a team. response:	He'd wait for us.
context: I don't get why you think I'd wait for you.\And I'm sure Takamatsu's team will be better than yours anyway.\That hurts, she's really athletic.\That's some popularity alright.\No choice then.\It's a little unfair, but let's ask the leader - like Matsushita.\I'm sure he's already joined a team.\He'd wait for us. response:	After all, he's a real friend.
context: And I'm sure Takamatsu's team will be better than yours anyway.\That hurts, she's really athletic.\That's some popularity alright.\No choice then.\It's a little unfair, but let's ask the leader - like Matsushita.\I'm sure he's already joined a team.\He'd wait for us.\After all, he's a real friend. response:	That's embarrassing...
context: That hurts, she's really athletic.\That's some popularity alright.\No choice then.\It's a little unfair, but let's ask the leader - like Matsushita.\I'm sure he's already joined a team.\He'd wait for us.\After all, he's a real friend.\That's embarrassing... response:	Actually I've already joined Takeyama's team.
context: That's some popularity alright.\No choice then.\It's a little unfair, but let's ask the leader - like Matsushita.\I'm sure he's already joined a team.\He'd wait for us.\After all, he's a real friend.\That's embarrassing...\Actually I've already joined Takeyama's team. response:	What?!
context: No choice then.\It's a little unfair, but let's ask the leader - like Matsushita.\I'm sure he's already joined a team.\He'd wait for us.\After all, he's a real friend.\That's embarrassing...\Actually I've already joined Takeyama's team.\What?! response:	There wasn't any reason not to.
context: It's a little unfair, but let's ask the leader - like Matsushita.\I'm sure he's already joined a team.\He'd wait for us.\After all, he's a real friend.\That's embarrassing...\Actually I've already joined Takeyama's team.\What?!\There wasn't any reason not to. response:	Wait a second!
context: I'm sure he's already joined a team.\He'd wait for us.\After all, he's a real friend.\That's embarrassing...\Actually I've already joined Takeyama's team.\What?!\There wasn't any reason not to.\Wait a second! response:	Why?
context: He'd wait for us.\After all, he's a real friend.\That's embarrassing...\Actually I've already joined Takeyama's team.\What?!\There wasn't any reason not to.\Wait a second!\Why? response:	I believed in you, of all people!
context: After all, he's a real friend.\That's embarrassing...\Actually I've already joined Takeyama's team.\What?!\There wasn't any reason not to.\Wait a second!\Why?\I believed in you, of all people! response:	Well, he said that from now on he'd give me any meat udon meal tickets he picks up.
context: That's embarrassing...\Actually I've already joined Takeyama's team.\What?!\There wasn't any reason not to.\Wait a second!\Why?\I believed in you, of all people!\Well, he said that from now on he'd give me any meat udon meal tickets he picks up. response:	Meat...
context: Actually I've already joined Takeyama's team.\What?!\There wasn't any reason not to.\Wait a second!\Why?\I believed in you, of all people!\Well, he said that from now on he'd give me any meat udon meal tickets he picks up.\Meat... response:	Just now this guy was all like,
context: What?!\There wasn't any reason not to.\Wait a second!\Why?\I believed in you, of all people!\Well, he said that from now on he'd give me any meat udon meal tickets he picks up.\Meat...\Just now this guy was all like, response:	He's a real friend! So embarrassing! !
context: There wasn't any reason not to.\Wait a second!\Why?\I believed in you, of all people!\Well, he said that from now on he'd give me any meat udon meal tickets he picks up.\Meat...\Just now this guy was all like,\He's a real friend! So embarrassing! ! response:	about you.
context: Wait a second!\Why?\I believed in you, of all people!\Well, he said that from now on he'd give me any meat udon meal tickets he picks up.\Meat...\Just now this guy was all like,\He's a real friend! So embarrassing! !\about you. response:	Don't tell him!
context: Why?\I believed in you, of all people!\Well, he said that from now on he'd give me any meat udon meal tickets he picks up.\Meat...\Just now this guy was all like,\He's a real friend! So embarrassing! !\about you.\Don't tell him! response:	Dammit!
context: I believed in you, of all people!\Well, he said that from now on he'd give me any meat udon meal tickets he picks up.\Meat...\Just now this guy was all like,\He's a real friend! So embarrassing! !\about you.\Don't tell him!\Dammit! response:	We'll ask TK next.
context: Well, he said that from now on he'd give me any meat udon meal tickets he picks up.\Meat...\Just now this guy was all like,\He's a real friend! So embarrassing! !\about you.\Don't tell him!\Dammit!\We'll ask TK next. response:	Come on, TK!
context: Meat...\Just now this guy was all like,\He's a real friend! So embarrassing! !\about you.\Don't tell him!\Dammit!\We'll ask TK next.\Come on, TK! response:	By the way, why's he called TK?
context: Just now this guy was all like,\He's a real friend! So embarrassing! !\about you.\Don't tell him!\Dammit!\We'll ask TK next.\Come on, TK!\By the way, why's he called TK? response:	That's what he calls himself.
context: He's a real friend! So embarrassing! !\about you.\Don't tell him!\Dammit!\We'll ask TK next.\Come on, TK!\By the way, why's he called TK?\That's what he calls himself. response:	No one knows what his real name is.
context: about you.\Don't tell him!\Dammit!\We'll ask TK next.\Come on, TK!\By the way, why's he called TK?\That's what he calls himself.\No one knows what his real name is. response:	He's a complete mystery.
context: Don't tell him!\Dammit!\We'll ask TK next.\Come on, TK!\By the way, why's he called TK?\That's what he calls himself.\No one knows what his real name is.\He's a complete mystery. response:	But I trust that guy too.
context: Dammit!\We'll ask TK next.\Come on, TK!\By the way, why's he called TK?\That's what he calls himself.\No one knows what his real name is.\He's a complete mystery.\But I trust that guy too. response:	God damn!
context: We'll ask TK next.\Come on, TK!\By the way, why's he called TK?\That's what he calls himself.\No one knows what his real name is.\He's a complete mystery.\But I trust that guy too.\God damn! response:	Now you're starting to sound like him.
context: Come on, TK!\By the way, why's he called TK?\That's what he calls himself.\No one knows what his real name is.\He's a complete mystery.\But I trust that guy too.\God damn!\Now you're starting to sound like him. response:	Oh yeah, I didn't catch which ball game we're playing...
context: By the way, why's he called TK?\That's what he calls himself.\No one knows what his real name is.\He's a complete mystery.\But I trust that guy too.\God damn!\Now you're starting to sound like him.\Oh yeah, I didn't catch which ball game we're playing... response:	Baseball.
context: That's what he calls himself.\No one knows what his real name is.\He's a complete mystery.\But I trust that guy too.\God damn!\Now you're starting to sound like him.\Oh yeah, I didn't catch which ball game we're playing...\Baseball. response:	So we need seven more people...
context: No one knows what his real name is.\He's a complete mystery.\But I trust that guy too.\God damn!\Now you're starting to sound like him.\Oh yeah, I didn't catch which ball game we're playing...\Baseball.\So we need seven more people... response:	No way that's happening.
context: He's a complete mystery.\But I trust that guy too.\God damn!\Now you're starting to sound like him.\Oh yeah, I didn't catch which ball game we're playing...\Baseball.\So we need seven more people...\No way that's happening. response:	You seem to be in need of help!
context: But I trust that guy too.\God damn!\Now you're starting to sound like him.\Oh yeah, I didn't catch which ball game we're playing...\Baseball.\So we need seven more people...\No way that's happening.\You seem to be in need of help! response:	Oh, it's Miss Screaming Death Metal Vocalist.
context: God damn!\Now you're starting to sound like him.\Oh yeah, I didn't catch which ball game we're playing...\Baseball.\So we need seven more people...\No way that's happening.\You seem to be in need of help!\Oh, it's Miss Screaming Death Metal Vocalist. response:	Do I look like I'd put on a performance like that?!
context: Now you're starting to sound like him.\Oh yeah, I didn't catch which ball game we're playing...\Baseball.\So we need seven more people...\No way that's happening.\You seem to be in need of help!\Oh, it's Miss Screaming Death Metal Vocalist.\Do I look like I'd put on a performance like that?! response:	You really do.
context: Oh yeah, I didn't catch which ball game we're playing...\Baseball.\So we need seven more people...\No way that's happening.\You seem to be in need of help!\Oh, it's Miss Screaming Death Metal Vocalist.\Do I look like I'd put on a performance like that?!\You really do. response:	So, what do you want?
context: Baseball.\So we need seven more people...\No way that's happening.\You seem to be in need of help!\Oh, it's Miss Screaming Death Metal Vocalist.\Do I look like I'd put on a performance like that?!\You really do.\So, what do you want? response:	You're short on members, right?
context: So we need seven more people...\No way that's happening.\You seem to be in need of help!\Oh, it's Miss Screaming Death Metal Vocalist.\Do I look like I'd put on a performance like that?!\You really do.\So, what do you want?\You're short on members, right? response:	I could be useful to your team!
context: No way that's happening.\You seem to be in need of help!\Oh, it's Miss Screaming Death Metal Vocalist.\Do I look like I'd put on a performance like that?!\You really do.\So, what do you want?\You're short on members, right?\I could be useful to your team! response:	Useful?
context: You seem to be in need of help!\Oh, it's Miss Screaming Death Metal Vocalist.\Do I look like I'd put on a performance like that?!\You really do.\So, what do you want?\You're short on members, right?\I could be useful to your team!\Useful? response:	Wait, if she gets hit by the ball, it's a dead ball.
context: Oh, it's Miss Screaming Death Metal Vocalist.\Do I look like I'd put on a performance like that?!\You really do.\So, what do you want?\You're short on members, right?\I could be useful to your team!\Useful?\Wait, if she gets hit by the ball, it's a dead ball. response:	Then the other team's pitcher gets thrown out...
context: Do I look like I'd put on a performance like that?!\You really do.\So, what do you want?\You're short on members, right?\I could be useful to your team!\Useful?\Wait, if she gets hit by the ball, it's a dead ball.\Then the other team's pitcher gets thrown out... response:	So we just need her to get hit!
context: You really do.\So, what do you want?\You're short on members, right?\I could be useful to your team!\Useful?\Wait, if she gets hit by the ball, it's a dead ball.\Then the other team's pitcher gets thrown out...\So we just need her to get hit! response:	Alright, you're in!
context: So, what do you want?\You're short on members, right?\I could be useful to your team!\Useful?\Wait, if she gets hit by the ball, it's a dead ball.\Then the other team's pitcher gets thrown out...\So we just need her to get hit!\Alright, you're in! response:	Your line of reasoning just now is melting and dripping out of your nose!
context: You're short on members, right?\I could be useful to your team!\Useful?\Wait, if she gets hit by the ball, it's a dead ball.\Then the other team's pitcher gets thrown out...\So we just need her to get hit!\Alright, you're in!\Your line of reasoning just now is melting and dripping out of your nose! response:	I'm your senior, you know!
context: I could be useful to your team!\Useful?\Wait, if she gets hit by the ball, it's a dead ball.\Then the other team's pitcher gets thrown out...\So we just need her to get hit!\Alright, you're in!\Your line of reasoning just now is melting and dripping out of your nose!\I'm your senior, you know! response:	Oh I'm sorry.
context: Useful?\Wait, if she gets hit by the ball, it's a dead ball.\Then the other team's pitcher gets thrown out...\So we just need her to get hit!\Alright, you're in!\Your line of reasoning just now is melting and dripping out of your nose!\I'm your senior, you know!\Oh I'm sorry. response:	I meant to say, it would seem that the contents of your brain have melted and is dripping out your nose.
context: Wait, if she gets hit by the ball, it's a dead ball.\Then the other team's pitcher gets thrown out...\So we just need her to get hit!\Alright, you're in!\Your line of reasoning just now is melting and dripping out of your nose!\I'm your senior, you know!\Oh I'm sorry.\I meant to say, it would seem that the contents of your brain have melted and is dripping out your nose. response:	Like hell it is!
