context: All righty then! It's finally time for the last battle! response:	I like fish, but I can't stand dogs.
context: Fairy Tail begins the final battle of Tenroujima by joining together to fight.\The weather is taking a turn for the worse.\Lightning... I don't like this.\What's the matter, Lily?\Don't tell me... You're scared of thunder?\Looks like he's got some cute points.\Quiet, you!\Now then... response:	Let's go beat Hades!
context: The weather is taking a turn for the worse.\Lightning... I don't like this.\What's the matter, Lily?\Don't tell me... You're scared of thunder?\Looks like he's got some cute points.\Quiet, you!\Now then...\Let's go beat Hades! response:	Lucy! Happy!
context: Lightning... I don't like this.\What's the matter, Lily?\Don't tell me... You're scared of thunder?\Looks like he's got some cute points.\Quiet, you!\Now then...\Let's go beat Hades!\Lucy! Happy! response:	Aye, sir!
context: What's the matter, Lily?\Don't tell me... You're scared of thunder?\Looks like he's got some cute points.\Quiet, you!\Now then...\Let's go beat Hades!\Lucy! Happy!\Aye, sir! response:	M-Me?
context: Don't tell me... You're scared of thunder?\Looks like he's got some cute points.\Quiet, you!\Now then...\Let's go beat Hades!\Lucy! Happy!\Aye, sir!\M-Me? response:	Thunder Roar!
context: Looks like he's got some cute points.\Quiet, you!\Now then...\Let's go beat Hades!\Lucy! Happy!\Aye, sir!\M-Me?\Thunder Roar! response:	We're on the same team, right?
context: Quiet, you!\Now then...\Let's go beat Hades!\Lucy! Happy!\Aye, sir!\M-Me?\Thunder Roar!\We're on the same team, right? response:	I know, but wouldn't Fried be more suited...
context: Now then...\Let's go beat Hades!\Lucy! Happy!\Aye, sir!\M-Me?\Thunder Roar!\We're on the same team, right?\I know, but wouldn't Fried be more suited... response:	I have to stay here and draw runes.
context: Let's go beat Hades!\Lucy! Happy!\Aye, sir!\M-Me?\Thunder Roar!\We're on the same team, right?\I know, but wouldn't Fried be more suited...\I have to stay here and draw runes. response:	Leave the defense to us!
context: Lucy! Happy!\Aye, sir!\M-Me?\Thunder Roar!\We're on the same team, right?\I know, but wouldn't Fried be more suited...\I have to stay here and draw runes.\Leave the defense to us! response:	I'll go with Natsu-san and Lucy-san!
context: Aye, sir!\M-Me?\Thunder Roar!\We're on the same team, right?\I know, but wouldn't Fried be more suited...\I have to stay here and draw runes.\Leave the defense to us!\I'll go with Natsu-san and Lucy-san! response:	Wait, Wendy!
context: M-Me?\Thunder Roar!\We're on the same team, right?\I know, but wouldn't Fried be more suited...\I have to stay here and draw runes.\Leave the defense to us!\I'll go with Natsu-san and Lucy-san!\Wait, Wendy! response:	I think I can at least support Natsu-san!
context: Thunder Roar!\We're on the same team, right?\I know, but wouldn't Fried be more suited...\I have to stay here and draw runes.\Leave the defense to us!\I'll go with Natsu-san and Lucy-san!\Wait, Wendy!\I think I can at least support Natsu-san! response:	I-I'll go as well!
context: We're on the same team, right?\I know, but wouldn't Fried be more suited...\I have to stay here and draw runes.\Leave the defense to us!\I'll go with Natsu-san and Lucy-san!\Wait, Wendy!\I think I can at least support Natsu-san!\I-I'll go as well! response:	I have to pay them back for Gajeel.
context: I know, but wouldn't Fried be more suited...\I have to stay here and draw runes.\Leave the defense to us!\I'll go with Natsu-san and Lucy-san!\Wait, Wendy!\I think I can at least support Natsu-san!\I-I'll go as well!\I have to pay them back for Gajeel. response:	I'll stay here and help Fried with the runes.
context: I have to stay here and draw runes.\Leave the defense to us!\I'll go with Natsu-san and Lucy-san!\Wait, Wendy!\I think I can at least support Natsu-san!\I-I'll go as well!\I have to pay them back for Gajeel.\I'll stay here and help Fried with the runes. response:	I'll stay beside Mira-nee and Elf-niichan...
context: Leave the defense to us!\I'll go with Natsu-san and Lucy-san!\Wait, Wendy!\I think I can at least support Natsu-san!\I-I'll go as well!\I have to pay them back for Gajeel.\I'll stay here and help Fried with the runes.\I'll stay beside Mira-nee and Elf-niichan... response:	Then that decides things.
context: I'll go with Natsu-san and Lucy-san!\Wait, Wendy!\I think I can at least support Natsu-san!\I-I'll go as well!\I have to pay them back for Gajeel.\I'll stay here and help Fried with the runes.\I'll stay beside Mira-nee and Elf-niichan...\Then that decides things. response:	We will protect everyone, period!
context: Wait, Wendy!\I think I can at least support Natsu-san!\I-I'll go as well!\I have to pay them back for Gajeel.\I'll stay here and help Fried with the runes.\I'll stay beside Mira-nee and Elf-niichan...\Then that decides things.\We will protect everyone, period! response:	Lu-chan! Be careful.
context: I think I can at least support Natsu-san!\I-I'll go as well!\I have to pay them back for Gajeel.\I'll stay here and help Fried with the runes.\I'll stay beside Mira-nee and Elf-niichan...\Then that decides things.\We will protect everyone, period!\Lu-chan! Be careful. response:	I've recovered most of my magic power.
context: I-I'll go as well!\I have to pay them back for Gajeel.\I'll stay here and help Fried with the runes.\I'll stay beside Mira-nee and Elf-niichan...\Then that decides things.\We will protect everyone, period!\Lu-chan! Be careful.\I've recovered most of my magic power. response:	Hades is probably the only enemy left!
context: I have to pay them back for Gajeel.\I'll stay here and help Fried with the runes.\I'll stay beside Mira-nee and Elf-niichan...\Then that decides things.\We will protect everyone, period!\Lu-chan! Be careful.\I've recovered most of my magic power.\Hades is probably the only enemy left! response:	This looks to be the final battle...
context: I'll stay here and help Fried with the runes.\I'll stay beside Mira-nee and Elf-niichan...\Then that decides things.\We will protect everyone, period!\Lu-chan! Be careful.\I've recovered most of my magic power.\Hades is probably the only enemy left!\This looks to be the final battle... response:	We're gonna do our best, too!
context: I'll stay beside Mira-nee and Elf-niichan...\Then that decides things.\We will protect everyone, period!\Lu-chan! Be careful.\I've recovered most of my magic power.\Hades is probably the only enemy left!\This looks to be the final battle...\We're gonna do our best, too! response:	I got it already!
context: Then that decides things.\We will protect everyone, period!\Lu-chan! Be careful.\I've recovered most of my magic power.\Hades is probably the only enemy left!\This looks to be the final battle...\We're gonna do our best, too!\I got it already! response:	Exceed Squad... Move out...
context: We will protect everyone, period!\Lu-chan! Be careful.\I've recovered most of my magic power.\Hades is probably the only enemy left!\This looks to be the final battle...\We're gonna do our best, too!\I got it already!\Exceed Squad... Move out... response:	Let's get going!
context: Lu-chan! Be careful.\I've recovered most of my magic power.\Hades is probably the only enemy left!\This looks to be the final battle...\We're gonna do our best, too!\I got it already!\Exceed Squad... Move out...\Let's get going! response:	Yeah!
context: I've recovered most of my magic power.\Hades is probably the only enemy left!\This looks to be the final battle...\We're gonna do our best, too!\I got it already!\Exceed Squad... Move out...\Let's get going!\Yeah! response:	Lucy, wait a second!
context: Hades is probably the only enemy left!\This looks to be the final battle...\We're gonna do our best, too!\I got it already!\Exceed Squad... Move out...\Let's get going!\Yeah!\Lucy, wait a second! response:	Always stay by Natsu's side.
context: This looks to be the final battle...\We're gonna do our best, too!\I got it already!\Exceed Squad... Move out...\Let's get going!\Yeah!\Lucy, wait a second!\Always stay by Natsu's side. response:	When Natsu has a trusted friend beside him, he gets even stronger.
context: We're gonna do our best, too!\I got it already!\Exceed Squad... Move out...\Let's get going!\Yeah!\Lucy, wait a second!\Always stay by Natsu's side.\When Natsu has a trusted friend beside him, he gets even stronger. response:	Sure.
context: I got it already!\Exceed Squad... Move out...\Let's get going!\Yeah!\Lucy, wait a second!\Always stay by Natsu's side.\When Natsu has a trusted friend beside him, he gets even stronger.\Sure. response:	Wait... right... there...
context: Exceed Squad... Move out...\Let's get going!\Yeah!\Lucy, wait a second!\Always stay by Natsu's side.\When Natsu has a trusted friend beside him, he gets even stronger.\Sure.\Wait... right... there... response:	What the hell is she?
context: Let's get going!\Yeah!\Lucy, wait a second!\Always stay by Natsu's side.\When Natsu has a trusted friend beside him, he gets even stronger.\Sure.\Wait... right... there...\What the hell is she? response:	Hand Zeref over!
context: Yeah!\Lucy, wait a second!\Always stay by Natsu's side.\When Natsu has a trusted friend beside him, he gets even stronger.\Sure.\Wait... right... there...\What the hell is she?\Hand Zeref over! response:	What about the love or whatever you were talking about?
context: Lucy, wait a second!\Always stay by Natsu's side.\When Natsu has a trusted friend beside him, he gets even stronger.\Sure.\Wait... right... there...\What the hell is she?\Hand Zeref over!\What about the love or whatever you were talking about? response:	I don't want to fight you!
context: Always stay by Natsu's side.\When Natsu has a trusted friend beside him, he gets even stronger.\Sure.\Wait... right... there...\What the hell is she?\Hand Zeref over!\What about the love or whatever you were talking about?\I don't want to fight you! response:	Meldy.
context: When Natsu has a trusted friend beside him, he gets even stronger.\Sure.\Wait... right... there...\What the hell is she?\Hand Zeref over!\What about the love or whatever you were talking about?\I don't want to fight you!\Meldy. response:	Zancrow!
context: Sure.\Wait... right... there...\What the hell is she?\Hand Zeref over!\What about the love or whatever you were talking about?\I don't want to fight you!\Meldy.\Zancrow! response:	Where are you taking Zeref, huh?
context: Wait... right... there...\What the hell is she?\Hand Zeref over!\What about the love or whatever you were talking about?\I don't want to fight you!\Meldy.\Zancrow!\Where are you taking Zeref, huh? response:	I-I'm...
context: What the hell is she?\Hand Zeref over!\What about the love or whatever you were talking about?\I don't want to fight you!\Meldy.\Zancrow!\Where are you taking Zeref, huh?\I-I'm... response:	So you and Ultear-san are gonna betray us after all?
context: Hand Zeref over!\What about the love or whatever you were talking about?\I don't want to fight you!\Meldy.\Zancrow!\Where are you taking Zeref, huh?\I-I'm...\So you and Ultear-san are gonna betray us after all? response:	No!
context: What about the love or whatever you were talking about?\I don't want to fight you!\Meldy.\Zancrow!\Where are you taking Zeref, huh?\I-I'm...\So you and Ultear-san are gonna betray us after all?\No! response:	You ain't a member of Grimoire Heart any more!
context: I don't want to fight you!\Meldy.\Zancrow!\Where are you taking Zeref, huh?\I-I'm...\So you and Ultear-san are gonna betray us after all?\No!\You ain't a member of Grimoire Heart any more! response:	Zeref will be ours!
context: Meldy.\Zancrow!\Where are you taking Zeref, huh?\I-I'm...\So you and Ultear-san are gonna betray us after all?\No!\You ain't a member of Grimoire Heart any more!\Zeref will be ours! response:	Wait...
context: Zancrow!\Where are you taking Zeref, huh?\I-I'm...\So you and Ultear-san are gonna betray us after all?\No!\You ain't a member of Grimoire Heart any more!\Zeref will be ours!\Wait... response:	Zeref is Ultear's future...
context: Where are you taking Zeref, huh?\I-I'm...\So you and Ultear-san are gonna betray us after all?\No!\You ain't a member of Grimoire Heart any more!\Zeref will be ours!\Wait...\Zeref is Ultear's future... response:	My... future...
context: I-I'm...\So you and Ultear-san are gonna betray us after all?\No!\You ain't a member of Grimoire Heart any more!\Zeref will be ours!\Wait...\Zeref is Ultear's future...\My... future... response:	Naive fool!
context: So you and Ultear-san are gonna betray us after all?\No!\You ain't a member of Grimoire Heart any more!\Zeref will be ours!\Wait...\Zeref is Ultear's future...\My... future...\Naive fool! response:	How long are you gonna keep saying that?
context: No!\You ain't a member of Grimoire Heart any more!\Zeref will be ours!\Wait...\Zeref is Ultear's future...\My... future...\Naive fool!\How long are you gonna keep saying that? response:	Ultear promised me...
context: You ain't a member of Grimoire Heart any more!\Zeref will be ours!\Wait...\Zeref is Ultear's future...\My... future...\Naive fool!\How long are you gonna keep saying that?\Ultear promised me... response:	If we went to the World of Great Magic, she'd turn my town back to normal!
context: Zeref will be ours!\Wait...\Zeref is Ultear's future...\My... future...\Naive fool!\How long are you gonna keep saying that?\Ultear promised me...\If we went to the World of Great Magic, she'd turn my town back to normal! response:	Your town?
context: Wait...\Zeref is Ultear's future...\My... future...\Naive fool!\How long are you gonna keep saying that?\Ultear promised me...\If we went to the World of Great Magic, she'd turn my town back to normal!\Your town? response:	Oh, yeah... Hikaru and I were there back then, too.
context: Zeref is Ultear's future...\My... future...\Naive fool!\How long are you gonna keep saying that?\Ultear promised me...\If we went to the World of Great Magic, she'd turn my town back to normal!\Your town?\Oh, yeah... Hikaru and I were there back then, too. response:	Ultear-san promised?
context: My... future...\Naive fool!\How long are you gonna keep saying that?\Ultear promised me...\If we went to the World of Great Magic, she'd turn my town back to normal!\Your town?\Oh, yeah... Hikaru and I were there back then, too.\Ultear-san promised? response:	Except that it was Ultear-san who destroyed the town herself!
context: Naive fool!\How long are you gonna keep saying that?\Ultear promised me...\If we went to the World of Great Magic, she'd turn my town back to normal!\Your town?\Oh, yeah... Hikaru and I were there back then, too.\Ultear-san promised?\Except that it was Ultear-san who destroyed the town herself! response:	You're... lying.
context: How long are you gonna keep saying that?\Ultear promised me...\If we went to the World of Great Magic, she'd turn my town back to normal!\Your town?\Oh, yeah... Hikaru and I were there back then, too.\Ultear-san promised?\Except that it was Ultear-san who destroyed the town herself!\You're... lying. response:	Acnologia.
context: Ultear promised me...\If we went to the World of Great Magic, she'd turn my town back to normal!\Your town?\Oh, yeah... Hikaru and I were there back then, too.\Ultear-san promised?\Except that it was Ultear-san who destroyed the town herself!\You're... lying.\Acnologia. response:	I am sorry, man whose name I do not know.
context: If we went to the World of Great Magic, she'd turn my town back to normal!\Your town?\Oh, yeah... Hikaru and I were there back then, too.\Ultear-san promised?\Except that it was Ultear-san who destroyed the town herself!\You're... lying.\Acnologia.\I am sorry, man whose name I do not know. response:	I have burdened myself once again with darkness.
context: Your town?\Oh, yeah... Hikaru and I were there back then, too.\Ultear-san promised?\Except that it was Ultear-san who destroyed the town herself!\You're... lying.\Acnologia.\I am sorry, man whose name I do not know.\I have burdened myself once again with darkness. response:	Thank goodness... You two seem safe.
context: Oh, yeah... Hikaru and I were there back then, too.\Ultear-san promised?\Except that it was Ultear-san who destroyed the town herself!\You're... lying.\Acnologia.\I am sorry, man whose name I do not know.\I have burdened myself once again with darkness.\Thank goodness... You two seem safe. response:	You see, I have no intention of doing anything in this age.
context: Ultear-san promised?\Except that it was Ultear-san who destroyed the town herself!\You're... lying.\Acnologia.\I am sorry, man whose name I do not know.\I have burdened myself once again with darkness.\Thank goodness... You two seem safe.\You see, I have no intention of doing anything in this age. response:	I will become no one's ally, and no one's enemy.
context: Except that it was Ultear-san who destroyed the town herself!\You're... lying.\Acnologia.\I am sorry, man whose name I do not know.\I have burdened myself once again with darkness.\Thank goodness... You two seem safe.\You see, I have no intention of doing anything in this age.\I will become no one's ally, and no one's enemy. response:	However...
context: You're... lying.\Acnologia.\I am sorry, man whose name I do not know.\I have burdened myself once again with darkness.\Thank goodness... You two seem safe.\You see, I have no intention of doing anything in this age.\I will become no one's ally, and no one's enemy.\However... response:	If this age is now coming to an end...
context: Acnologia.\I am sorry, man whose name I do not know.\I have burdened myself once again with darkness.\Thank goodness... You two seem safe.\You see, I have no intention of doing anything in this age.\I will become no one's ally, and no one's enemy.\However...\If this age is now coming to an end... response:	I wanted you to destroy me before that happened...
context: I am sorry, man whose name I do not know.\I have burdened myself once again with darkness.\Thank goodness... You two seem safe.\You see, I have no intention of doing anything in this age.\I will become no one's ally, and no one's enemy.\However...\If this age is now coming to an end...\I wanted you to destroy me before that happened... response:	Natsu...
context: I have burdened myself once again with darkness.\Thank goodness... You two seem safe.\You see, I have no intention of doing anything in this age.\I will become no one's ally, and no one's enemy.\However...\If this age is now coming to an end...\I wanted you to destroy me before that happened...\Natsu... response:	That word he just said...
context: Thank goodness... You two seem safe.\You see, I have no intention of doing anything in this age.\I will become no one's ally, and no one's enemy.\However...\If this age is now coming to an end...\I wanted you to destroy me before that happened...\Natsu...\That word he just said... response:	Acnologia?
context: You see, I have no intention of doing anything in this age.\I will become no one's ally, and no one's enemy.\However...\If this age is now coming to an end...\I wanted you to destroy me before that happened...\Natsu...\That word he just said...\Acnologia? response:	Damn it...
context: I will become no one's ally, and no one's enemy.\However...\If this age is now coming to an end...\I wanted you to destroy me before that happened...\Natsu...\That word he just said...\Acnologia?\Damn it... response:	I can't keep my eyes open...
context: However...\If this age is now coming to an end...\I wanted you to destroy me before that happened...\Natsu...\That word he just said...\Acnologia?\Damn it...\I can't keep my eyes open... response:	I can't go on...
context: If this age is now coming to an end...\I wanted you to destroy me before that happened...\Natsu...\That word he just said...\Acnologia?\Damn it...\I can't keep my eyes open...\I can't go on... response:	Erza...
context: I wanted you to destroy me before that happened...\Natsu...\That word he just said...\Acnologia?\Damn it...\I can't keep my eyes open...\I can't go on...\Erza... response:	You okay?
context: Natsu...\That word he just said...\Acnologia?\Damn it...\I can't keep my eyes open...\I can't go on...\Erza...\You okay? response:	Looks like I keep getting saved by other people.
context: That word he just said...\Acnologia?\Damn it...\I can't keep my eyes open...\I can't go on...\Erza...\You okay?\Looks like I keep getting saved by other people. response:	I am no different.
context: Acnologia?\Damn it...\I can't keep my eyes open...\I can't go on...\Erza...\You okay?\Looks like I keep getting saved by other people.\I am no different. response:	Everyone!
context: Damn it...\I can't keep my eyes open...\I can't go on...\Erza...\You okay?\Looks like I keep getting saved by other people.\I am no different.\Everyone! response:	Gray!
context: I can't keep my eyes open...\I can't go on...\Erza...\You okay?\Looks like I keep getting saved by other people.\I am no different.\Everyone!\Gray! response:	Erza-san!
context: I can't go on...\Erza...\You okay?\Looks like I keep getting saved by other people.\I am no different.\Everyone!\Gray!\Erza-san! response:	Same with me!
context: Erza...\You okay?\Looks like I keep getting saved by other people.\I am no different.\Everyone!\Gray!\Erza-san!\Same with me! response:	To think that the 7 Kin of Purgatory and Bluenote would be done in...
context: You okay?\Looks like I keep getting saved by other people.\I am no different.\Everyone!\Gray!\Erza-san!\Same with me!\To think that the 7 Kin of Purgatory and Bluenote would be done in... response:	Perhaps I should just admit it, and praise Makarov's troops.
context: Looks like I keep getting saved by other people.\I am no different.\Everyone!\Gray!\Erza-san!\Same with me!\To think that the 7 Kin of Purgatory and Bluenote would be done in...\Perhaps I should just admit it, and praise Makarov's troops. response:	Honestly... Me, having to face these foot soldiers?
context: I am no different.\Everyone!\Gray!\Erza-san!\Same with me!\To think that the 7 Kin of Purgatory and Bluenote would be done in...\Perhaps I should just admit it, and praise Makarov's troops.\Honestly... Me, having to face these foot soldiers? response:	The games played between demon and fairy are now over.
context: Everyone!\Gray!\Erza-san!\Same with me!\To think that the 7 Kin of Purgatory and Bluenote would be done in...\Perhaps I should just admit it, and praise Makarov's troops.\Honestly... Me, having to face these foot soldiers?\The games played between demon and fairy are now over. response:	Well, now... Shall I play with you a bit?
context: Gray!\Erza-san!\Same with me!\To think that the 7 Kin of Purgatory and Bluenote would be done in...\Perhaps I should just admit it, and praise Makarov's troops.\Honestly... Me, having to face these foot soldiers?\The games played between demon and fairy are now over.\Well, now... Shall I play with you a bit? response:	The 3rd generation Fairy Tail!
context: Erza-san!\Same with me!\To think that the 7 Kin of Purgatory and Bluenote would be done in...\Perhaps I should just admit it, and praise Makarov's troops.\Honestly... Me, having to face these foot soldiers?\The games played between demon and fairy are now over.\Well, now... Shall I play with you a bit?\The 3rd generation Fairy Tail! response:	Come, if you dare, Makarov's brood!
context: Same with me!\To think that the 7 Kin of Purgatory and Bluenote would be done in...\Perhaps I should just admit it, and praise Makarov's troops.\Honestly... Me, having to face these foot soldiers?\The games played between demon and fairy are now over.\Well, now... Shall I play with you a bit?\The 3rd generation Fairy Tail!\Come, if you dare, Makarov's brood! response:	You come down here!
context: To think that the 7 Kin of Purgatory and Bluenote would be done in...\Perhaps I should just admit it, and praise Makarov's troops.\Honestly... Me, having to face these foot soldiers?\The games played between demon and fairy are now over.\Well, now... Shall I play with you a bit?\The 3rd generation Fairy Tail!\Come, if you dare, Makarov's brood!\You come down here! response:	He thinks he's all that!
context: Perhaps I should just admit it, and praise Makarov's troops.\Honestly... Me, having to face these foot soldiers?\The games played between demon and fairy are now over.\Well, now... Shall I play with you a bit?\The 3rd generation Fairy Tail!\Come, if you dare, Makarov's brood!\You come down here!\He thinks he's all that! response:	He's the one who hurt the Master!
context: Honestly... Me, having to face these foot soldiers?\The games played between demon and fairy are now over.\Well, now... Shall I play with you a bit?\The 3rd generation Fairy Tail!\Come, if you dare, Makarov's brood!\You come down here!\He thinks he's all that!\He's the one who hurt the Master! response:	If we can just teach that guy a lesson, then we can all leave the island safely, right?
context: The games played between demon and fairy are now over.\Well, now... Shall I play with you a bit?\The 3rd generation Fairy Tail!\Come, if you dare, Makarov's brood!\You come down here!\He thinks he's all that!\He's the one who hurt the Master!\If we can just teach that guy a lesson, then we can all leave the island safely, right? response:	Yup! We'll all get out of here!
context: Well, now... Shall I play with you a bit?\The 3rd generation Fairy Tail!\Come, if you dare, Makarov's brood!\You come down here!\He thinks he's all that!\He's the one who hurt the Master!\If we can just teach that guy a lesson, then we can all leave the island safely, right?\Yup! We'll all get out of here! response:	Happy... I have a request for you guys.
context: The 3rd generation Fairy Tail!\Come, if you dare, Makarov's brood!\You come down here!\He thinks he's all that!\He's the one who hurt the Master!\If we can just teach that guy a lesson, then we can all leave the island safely, right?\Yup! We'll all get out of here!\Happy... I have a request for you guys. response:	What is it?
context: Come, if you dare, Makarov's brood!\You come down here!\He thinks he's all that!\He's the one who hurt the Master!\If we can just teach that guy a lesson, then we can all leave the island safely, right?\Yup! We'll all get out of here!\Happy... I have a request for you guys.\What is it? response:	Search around the ship for the source of its power, and destroy it.
context: You come down here!\He thinks he's all that!\He's the one who hurt the Master!\If we can just teach that guy a lesson, then we can all leave the island safely, right?\Yup! We'll all get out of here!\Happy... I have a request for you guys.\What is it?\Search around the ship for the source of its power, and destroy it. response:	It'd be a problem if it started to fly again...
context: He thinks he's all that!\He's the one who hurt the Master!\If we can just teach that guy a lesson, then we can all leave the island safely, right?\Yup! We'll all get out of here!\Happy... I have a request for you guys.\What is it?\Search around the ship for the source of its power, and destroy it.\It'd be a problem if it started to fly again... response:	Understood.
context: He's the one who hurt the Master!\If we can just teach that guy a lesson, then we can all leave the island safely, right?\Yup! We'll all get out of here!\Happy... I have a request for you guys.\What is it?\Search around the ship for the source of its power, and destroy it.\It'd be a problem if it started to fly again...\Understood. response:	Leave that much to us.
context: If we can just teach that guy a lesson, then we can all leave the island safely, right?\Yup! We'll all get out of here!\Happy... I have a request for you guys.\What is it?\Search around the ship for the source of its power, and destroy it.\It'd be a problem if it started to fly again...\Understood.\Leave that much to us. response:	I'll cast Troia on you just in case.
context: Yup! We'll all get out of here!\Happy... I have a request for you guys.\What is it?\Search around the ship for the source of its power, and destroy it.\It'd be a problem if it started to fly again...\Understood.\Leave that much to us.\I'll cast Troia on you just in case. response:	Let's get this party started!
context: Happy... I have a request for you guys.\What is it?\Search around the ship for the source of its power, and destroy it.\It'd be a problem if it started to fly again...\Understood.\Leave that much to us.\I'll cast Troia on you just in case.\Let's get this party started! response:	Here we go!
context: What is it?\Search around the ship for the source of its power, and destroy it.\It'd be a problem if it started to fly again...\Understood.\Leave that much to us.\I'll cast Troia on you just in case.\Let's get this party started!\Here we go! response:	We'll head out, too!
context: Search around the ship for the source of its power, and destroy it.\It'd be a problem if it started to fly again...\Understood.\Leave that much to us.\I'll cast Troia on you just in case.\Let's get this party started!\Here we go!\We'll head out, too! response:	Infiltrate from the ship's bottom!
context: It'd be a problem if it started to fly again...\Understood.\Leave that much to us.\I'll cast Troia on you just in case.\Let's get this party started!\Here we go!\We'll head out, too!\Infiltrate from the ship's bottom! response:	He's a wizard on an even higher level than our Master!
context: Understood.\Leave that much to us.\I'll cast Troia on you just in case.\Let's get this party started!\Here we go!\We'll head out, too!\Infiltrate from the ship's bottom!\He's a wizard on an even higher level than our Master! response:	We're going to go all-out from the start, at the same time!
