context: Gashako? response:	TL note: Japs think you're supposed to eat KFC on Christmas.
context: yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Serialization Storyboard\Ashirogi Muto\(Temporary) Perfect Crime Club\I've never seen such a manga!! response:	Editor: Miura
context: kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Serialization Storyboard\Ashirogi Muto\(Temporary) Perfect Crime Club\I've never seen such a manga!!\Editor: Miura response:	Here it is!
context: tachiagatteikundayo nando tsumazuitatte\Dream of life\Serialization Storyboard\Ashirogi Muto\(Temporary) Perfect Crime Club\I've never seen such a manga!!\Editor: Miura\Here it is! response:	Perfect Crime Club?
context: Dream of life\Serialization Storyboard\Ashirogi Muto\(Temporary) Perfect Crime Club\I've never seen such a manga!!\Editor: Miura\Here it is!\Perfect Crime Club? response:	Is this really 100 times better than KTM?
context: Serialization Storyboard\Ashirogi Muto\(Temporary) Perfect Crime Club\I've never seen such a manga!!\Editor: Miura\Here it is!\Perfect Crime Club?\Is this really 100 times better than KTM? response:	Just read it!
context: Ashirogi Muto\(Temporary) Perfect Crime Club\I've never seen such a manga!!\Editor: Miura\Here it is!\Perfect Crime Club?\Is this really 100 times better than KTM?\Just read it! response:	Thanks for the food!
context: (Temporary) Perfect Crime Club\I've never seen such a manga!!\Editor: Miura\Here it is!\Perfect Crime Club?\Is this really 100 times better than KTM?\Just read it!\Thanks for the food! response:	At my school,
context: I've never seen such a manga!!\Editor: Miura\Here it is!\Perfect Crime Club?\Is this really 100 times better than KTM?\Just read it!\Thanks for the food!\At my school, response:	when lunch is over,
context: Editor: Miura\Here it is!\Perfect Crime Club?\Is this really 100 times better than KTM?\Just read it!\Thanks for the food!\At my school,\when lunch is over, response:	everyone puts their dishes in the bin on the table in front of the classroom.
context: Here it is!\Perfect Crime Club?\Is this really 100 times better than KTM?\Just read it!\Thanks for the food!\At my school,\when lunch is over,\everyone puts their dishes in the bin on the table in front of the classroom. response:	Then 80 of the students go to play on the playground,
context: Perfect Crime Club?\Is this really 100 times better than KTM?\Just read it!\Thanks for the food!\At my school,\when lunch is over,\everyone puts their dishes in the bin on the table in front of the classroom.\Then 80 of the students go to play on the playground, response:	while 20 remain at their desks.
context: Is this really 100 times better than KTM?\Just read it!\Thanks for the food!\At my school,\when lunch is over,\everyone puts their dishes in the bin on the table in front of the classroom.\Then 80 of the students go to play on the playground,\while 20 remain at their desks. response:	For example, Takahashi spends lunch break pretending to study.
context: Just read it!\Thanks for the food!\At my school,\when lunch is over,\everyone puts their dishes in the bin on the table in front of the classroom.\Then 80 of the students go to play on the playground,\while 20 remain at their desks.\For example, Takahashi spends lunch break pretending to study. response:	So, if I covertly place my dishes on Takahashi's desk
context: Thanks for the food!\At my school,\when lunch is over,\everyone puts their dishes in the bin on the table in front of the classroom.\Then 80 of the students go to play on the playground,\while 20 remain at their desks.\For example, Takahashi spends lunch break pretending to study.\So, if I covertly place my dishes on Takahashi's desk response:	while he disposes of his dishes...
context: At my school,\when lunch is over,\everyone puts their dishes in the bin on the table in front of the classroom.\Then 80 of the students go to play on the playground,\while 20 remain at their desks.\For example, Takahashi spends lunch break pretending to study.\So, if I covertly place my dishes on Takahashi's desk\while he disposes of his dishes... response:	It's a perfect crime!
context: when lunch is over,\everyone puts their dishes in the bin on the table in front of the classroom.\Then 80 of the students go to play on the playground,\while 20 remain at their desks.\For example, Takahashi spends lunch break pretending to study.\So, if I covertly place my dishes on Takahashi's desk\while he disposes of his dishes...\It's a perfect crime! response:	What's this?
context: everyone puts their dishes in the bin on the table in front of the classroom.\Then 80 of the students go to play on the playground,\while 20 remain at their desks.\For example, Takahashi spends lunch break pretending to study.\So, if I covertly place my dishes on Takahashi's desk\while he disposes of his dishes...\It's a perfect crime!\What's this? response:	Something this petty, a perfect crime?
context: Then 80 of the students go to play on the playground,\while 20 remain at their desks.\For example, Takahashi spends lunch break pretending to study.\So, if I covertly place my dishes on Takahashi's desk\while he disposes of his dishes...\It's a perfect crime!\What's this?\Something this petty, a perfect crime? response:	It doesn't really live up to its title...
context: while 20 remain at their desks.\For example, Takahashi spends lunch break pretending to study.\So, if I covertly place my dishes on Takahashi's desk\while he disposes of his dishes...\It's a perfect crime!\What's this?\Something this petty, a perfect crime?\It doesn't really live up to its title... response:	It's fine if he does petty things seriously.
context: For example, Takahashi spends lunch break pretending to study.\So, if I covertly place my dishes on Takahashi's desk\while he disposes of his dishes...\It's a perfect crime!\What's this?\Something this petty, a perfect crime?\It doesn't really live up to its title...\It's fine if he does petty things seriously. response:	Yeah, it's best to start out small.
context: So, if I covertly place my dishes on Takahashi's desk\while he disposes of his dishes...\It's a perfect crime!\What's this?\Something this petty, a perfect crime?\It doesn't really live up to its title...\It's fine if he does petty things seriously.\Yeah, it's best to start out small. response:	It's a perfect crime...
context: while he disposes of his dishes...\It's a perfect crime!\What's this?\Something this petty, a perfect crime?\It doesn't really live up to its title...\It's fine if he does petty things seriously.\Yeah, it's best to start out small.\It's a perfect crime... response:	But it wasn't!
context: It's a perfect crime!\What's this?\Something this petty, a perfect crime?\It doesn't really live up to its title...\It's fine if he does petty things seriously.\Yeah, it's best to start out small.\It's a perfect crime...\But it wasn't! response:	There was a witnessMinami.
context: What's this?\Something this petty, a perfect crime?\It doesn't really live up to its title...\It's fine if he does petty things seriously.\Yeah, it's best to start out small.\It's a perfect crime...\But it wasn't!\There was a witnessMinami. response:	But he just looked at me with a face that said I saw what you did
context: Something this petty, a perfect crime?\It doesn't really live up to its title...\It's fine if he does petty things seriously.\Yeah, it's best to start out small.\It's a perfect crime...\But it wasn't!\There was a witnessMinami.\But he just looked at me with a face that said I saw what you did response:	and laughed.
context: It doesn't really live up to its title...\It's fine if he does petty things seriously.\Yeah, it's best to start out small.\It's a perfect crime...\But it wasn't!\There was a witnessMinami.\But he just looked at me with a face that said I saw what you did\and laughed. response:	I was shocked...
context: It's fine if he does petty things seriously.\Yeah, it's best to start out small.\It's a perfect crime...\But it wasn't!\There was a witnessMinami.\But he just looked at me with a face that said I saw what you did\and laughed.\I was shocked... response:	It was the first time my perfect crime...
context: Yeah, it's best to start out small.\It's a perfect crime...\But it wasn't!\There was a witnessMinami.\But he just looked at me with a face that said I saw what you did\and laughed.\I was shocked...\It was the first time my perfect crime... response:	wasn't perfect.
context: It's a perfect crime...\But it wasn't!\There was a witnessMinami.\But he just looked at me with a face that said I saw what you did\and laughed.\I was shocked...\It was the first time my perfect crime...\wasn't perfect. response:	I'm home.
context: But it wasn't!\There was a witnessMinami.\But he just looked at me with a face that said I saw what you did\and laughed.\I was shocked...\It was the first time my perfect crime...\wasn't perfect.\I'm home. response:	Damn.
context: There was a witnessMinami.\But he just looked at me with a face that said I saw what you did\and laughed.\I was shocked...\It was the first time my perfect crime...\wasn't perfect.\I'm home.\Damn. response:	Maybe all the perfect crimes I've committed so far...
context: But he just looked at me with a face that said I saw what you did\and laughed.\I was shocked...\It was the first time my perfect crime...\wasn't perfect.\I'm home.\Damn.\Maybe all the perfect crimes I've committed so far... response:	Like finishing Yasuda's drill on my own,
context: and laughed.\I was shocked...\It was the first time my perfect crime...\wasn't perfect.\I'm home.\Damn.\Maybe all the perfect crimes I've committed so far...\Like finishing Yasuda's drill on my own, response:	or letting a sparrow loose in the classroom and disrupting class...
context: I was shocked...\It was the first time my perfect crime...\wasn't perfect.\I'm home.\Damn.\Maybe all the perfect crimes I've committed so far...\Like finishing Yasuda's drill on my own,\or letting a sparrow loose in the classroom and disrupting class... response:	Maybe he's seen them all...
context: It was the first time my perfect crime...\wasn't perfect.\I'm home.\Damn.\Maybe all the perfect crimes I've committed so far...\Like finishing Yasuda's drill on my own,\or letting a sparrow loose in the classroom and disrupting class...\Maybe he's seen them all... response:	I suddenly became interested in Minami,
context: wasn't perfect.\I'm home.\Damn.\Maybe all the perfect crimes I've committed so far...\Like finishing Yasuda's drill on my own,\or letting a sparrow loose in the classroom and disrupting class...\Maybe he's seen them all...\I suddenly became interested in Minami, response:	and I started observing him the following day.
context: I'm home.\Damn.\Maybe all the perfect crimes I've committed so far...\Like finishing Yasuda's drill on my own,\or letting a sparrow loose in the classroom and disrupting class...\Maybe he's seen them all...\I suddenly became interested in Minami,\and I started observing him the following day. response:	Huh? But I cleaned this up...
context: Damn.\Maybe all the perfect crimes I've committed so far...\Like finishing Yasuda's drill on my own,\or letting a sparrow loose in the classroom and disrupting class...\Maybe he's seen them all...\I suddenly became interested in Minami,\and I started observing him the following day.\Huh? But I cleaned this up... response:	When lunch ended, Minami did the same thing I did yesterday.
context: Maybe all the perfect crimes I've committed so far...\Like finishing Yasuda's drill on my own,\or letting a sparrow loose in the classroom and disrupting class...\Maybe he's seen them all...\I suddenly became interested in Minami,\and I started observing him the following day.\Huh? But I cleaned this up...\When lunch ended, Minami did the same thing I did yesterday. response:	Why is he copying me?
context: Like finishing Yasuda's drill on my own,\or letting a sparrow loose in the classroom and disrupting class...\Maybe he's seen them all...\I suddenly became interested in Minami,\and I started observing him the following day.\Huh? But I cleaned this up...\When lunch ended, Minami did the same thing I did yesterday.\Why is he copying me? response:	But I saw it.
context: or letting a sparrow loose in the classroom and disrupting class...\Maybe he's seen them all...\I suddenly became interested in Minami,\and I started observing him the following day.\Huh? But I cleaned this up...\When lunch ended, Minami did the same thing I did yesterday.\Why is he copying me?\But I saw it. response:	His wasn't a perfect crime, either.
context: Maybe he's seen them all...\I suddenly became interested in Minami,\and I started observing him the following day.\Huh? But I cleaned this up...\When lunch ended, Minami did the same thing I did yesterday.\Why is he copying me?\But I saw it.\His wasn't a perfect crime, either. response:	Even after school ended, I kept following him.
context: I suddenly became interested in Minami,\and I started observing him the following day.\Huh? But I cleaned this up...\When lunch ended, Minami did the same thing I did yesterday.\Why is he copying me?\But I saw it.\His wasn't a perfect crime, either.\Even after school ended, I kept following him. response:	To my surprise, Minami himself was following our classmate Kitamura!
context: and I started observing him the following day.\Huh? But I cleaned this up...\When lunch ended, Minami did the same thing I did yesterday.\Why is he copying me?\But I saw it.\His wasn't a perfect crime, either.\Even after school ended, I kept following him.\To my surprise, Minami himself was following our classmate Kitamura! response:	Tailing.
context: Huh? But I cleaned this up...\When lunch ended, Minami did the same thing I did yesterday.\Why is he copying me?\But I saw it.\His wasn't a perfect crime, either.\Even after school ended, I kept following him.\To my surprise, Minami himself was following our classmate Kitamura!\Tailing. response:	I had done it with a random person before.
context: When lunch ended, Minami did the same thing I did yesterday.\Why is he copying me?\But I saw it.\His wasn't a perfect crime, either.\Even after school ended, I kept following him.\To my surprise, Minami himself was following our classmate Kitamura!\Tailing.\I had done it with a random person before. response:	The next day, Minami tailed an upperclassman.
context: Why is he copying me?\But I saw it.\His wasn't a perfect crime, either.\Even after school ended, I kept following him.\To my surprise, Minami himself was following our classmate Kitamura!\Tailing.\I had done it with a random person before.\The next day, Minami tailed an upperclassman. response:	We kept this up every day for a week.
context: But I saw it.\His wasn't a perfect crime, either.\Even after school ended, I kept following him.\To my surprise, Minami himself was following our classmate Kitamura!\Tailing.\I had done it with a random person before.\The next day, Minami tailed an upperclassman.\We kept this up every day for a week. response:	Then Minami came up to me.
context: His wasn't a perfect crime, either.\Even after school ended, I kept following him.\To my surprise, Minami himself was following our classmate Kitamura!\Tailing.\I had done it with a random person before.\The next day, Minami tailed an upperclassman.\We kept this up every day for a week.\Then Minami came up to me. response:	Chimitsu.
context: Even after school ended, I kept following him.\To my surprise, Minami himself was following our classmate Kitamura!\Tailing.\I had done it with a random person before.\The next day, Minami tailed an upperclassman.\We kept this up every day for a week.\Then Minami came up to me.\Chimitsu. response:	Oh crap!
context: To my surprise, Minami himself was following our classmate Kitamura!\Tailing.\I had done it with a random person before.\The next day, Minami tailed an upperclassman.\We kept this up every day for a week.\Then Minami came up to me.\Chimitsu.\Oh crap! response:	I thought this was petty at first, but I'm getting drawn in by the realistic art and how serious these guys are.
context: Tailing.\I had done it with a random person before.\The next day, Minami tailed an upperclassman.\We kept this up every day for a week.\Then Minami came up to me.\Chimitsu.\Oh crap!\I thought this was petty at first, but I'm getting drawn in by the realistic art and how serious these guys are. response:	Because this is a kid's world, things like this are actually more realistic.
context: I had done it with a random person before.\The next day, Minami tailed an upperclassman.\We kept this up every day for a week.\Then Minami came up to me.\Chimitsu.\Oh crap!\I thought this was petty at first, but I'm getting drawn in by the realistic art and how serious these guys are.\Because this is a kid's world, things like this are actually more realistic. response:	I see.
context: The next day, Minami tailed an upperclassman.\We kept this up every day for a week.\Then Minami came up to me.\Chimitsu.\Oh crap!\I thought this was petty at first, but I'm getting drawn in by the realistic art and how serious these guys are.\Because this is a kid's world, things like this are actually more realistic.\I see. response:	And then...
context: We kept this up every day for a week.\Then Minami came up to me.\Chimitsu.\Oh crap!\I thought this was petty at first, but I'm getting drawn in by the realistic art and how serious these guys are.\Because this is a kid's world, things like this are actually more realistic.\I see.\And then... response:	I see! So that's how you'll do it!
context: Then Minami came up to me.\Chimitsu.\Oh crap!\I thought this was petty at first, but I'm getting drawn in by the realistic art and how serious these guys are.\Because this is a kid's world, things like this are actually more realistic.\I see.\And then...\I see! So that's how you'll do it! response:	And so, the Perfect Crime Club was formed.
context: Chimitsu.\Oh crap!\I thought this was petty at first, but I'm getting drawn in by the realistic art and how serious these guys are.\Because this is a kid's world, things like this are actually more realistic.\I see.\And then...\I see! So that's how you'll do it!\And so, the Perfect Crime Club was formed. response:	You did it!
context: Oh crap!\I thought this was petty at first, but I'm getting drawn in by the realistic art and how serious these guys are.\Because this is a kid's world, things like this are actually more realistic.\I see.\And then...\I see! So that's how you'll do it!\And so, the Perfect Crime Club was formed.\You did it! response:	It's 100 times better than KTM!
context: I thought this was petty at first, but I'm getting drawn in by the realistic art and how serious these guys are.\Because this is a kid's world, things like this are actually more realistic.\I see.\And then...\I see! So that's how you'll do it!\And so, the Perfect Crime Club was formed.\You did it!\It's 100 times better than KTM! response:	I've never seen anything this good.
context: Because this is a kid's world, things like this are actually more realistic.\I see.\And then...\I see! So that's how you'll do it!\And so, the Perfect Crime Club was formed.\You did it!\It's 100 times better than KTM!\I've never seen anything this good. response:	No, I can say it's an entirely new type of manga.
context: I see.\And then...\I see! So that's how you'll do it!\And so, the Perfect Crime Club was formed.\You did it!\It's 100 times better than KTM!\I've never seen anything this good.\No, I can say it's an entirely new type of manga. response:	I can see the gutsiness and serious humor clearly in this one!
context: And then...\I see! So that's how you'll do it!\And so, the Perfect Crime Club was formed.\You did it!\It's 100 times better than KTM!\I've never seen anything this good.\No, I can say it's an entirely new type of manga.\I can see the gutsiness and serious humor clearly in this one! response:	This is the best! The ultimate form of Ashirogi Muto!
context: I see! So that's how you'll do it!\And so, the Perfect Crime Club was formed.\You did it!\It's 100 times better than KTM!\I've never seen anything this good.\No, I can say it's an entirely new type of manga.\I can see the gutsiness and serious humor clearly in this one!\This is the best! The ultimate form of Ashirogi Muto! response:	Congratulations!
context: And so, the Perfect Crime Club was formed.\You did it!\It's 100 times better than KTM!\I've never seen anything this good.\No, I can say it's an entirely new type of manga.\I can see the gutsiness and serious humor clearly in this one!\This is the best! The ultimate form of Ashirogi Muto!\Congratulations! response:	Save that for when we're serialized and go head to head with Niizuma...
context: You did it!\It's 100 times better than KTM!\I've never seen anything this good.\No, I can say it's an entirely new type of manga.\I can see the gutsiness and serious humor clearly in this one!\This is the best! The ultimate form of Ashirogi Muto!\Congratulations!\Save that for when we're serialized and go head to head with Niizuma... response:	No, you'll do it!
context: It's 100 times better than KTM!\I've never seen anything this good.\No, I can say it's an entirely new type of manga.\I can see the gutsiness and serious humor clearly in this one!\This is the best! The ultimate form of Ashirogi Muto!\Congratulations!\Save that for when we're serialized and go head to head with Niizuma...\No, you'll do it! response:	But how'd you think this up?
context: I've never seen anything this good.\No, I can say it's an entirely new type of manga.\I can see the gutsiness and serious humor clearly in this one!\This is the best! The ultimate form of Ashirogi Muto!\Congratulations!\Save that for when we're serialized and go head to head with Niizuma...\No, you'll do it!\But how'd you think this up? response:	The events are strangely realistic.
context: No, I can say it's an entirely new type of manga.\I can see the gutsiness and serious humor clearly in this one!\This is the best! The ultimate form of Ashirogi Muto!\Congratulations!\Save that for when we're serialized and go head to head with Niizuma...\No, you'll do it!\But how'd you think this up?\The events are strangely realistic. response:	It's because we tried some of them out in real life.
context: I can see the gutsiness and serious humor clearly in this one!\This is the best! The ultimate form of Ashirogi Muto!\Congratulations!\Save that for when we're serialized and go head to head with Niizuma...\No, you'll do it!\But how'd you think this up?\The events are strangely realistic.\It's because we tried some of them out in real life. response:	You did? Like what?
context: This is the best! The ultimate form of Ashirogi Muto!\Congratulations!\Save that for when we're serialized and go head to head with Niizuma...\No, you'll do it!\But how'd you think this up?\The events are strangely realistic.\It's because we tried some of them out in real life.\You did? Like what? response:	I can't tell you... you know?
context: Congratulations!\Save that for when we're serialized and go head to head with Niizuma...\No, you'll do it!\But how'd you think this up?\The events are strangely realistic.\It's because we tried some of them out in real life.\You did? Like what?\I can't tell you... you know? response:	If we told you, it wouldn't be a perfect crime anymore.
context: Save that for when we're serialized and go head to head with Niizuma...\No, you'll do it!\But how'd you think this up?\The events are strangely realistic.\It's because we tried some of them out in real life.\You did? Like what?\I can't tell you... you know?\If we told you, it wouldn't be a perfect crime anymore. response:	I see.
context: No, you'll do it!\But how'd you think this up?\The events are strangely realistic.\It's because we tried some of them out in real life.\You did? Like what?\I can't tell you... you know?\If we told you, it wouldn't be a perfect crime anymore.\I see. response:	This suits Takagi!
context: But how'd you think this up?\The events are strangely realistic.\It's because we tried some of them out in real life.\You did? Like what?\I can't tell you... you know?\If we told you, it wouldn't be a perfect crime anymore.\I see.\This suits Takagi! response:	And unlike the unconventional manga you've done before, this isn't cynical!
context: The events are strangely realistic.\It's because we tried some of them out in real life.\You did? Like what?\I can't tell you... you know?\If we told you, it wouldn't be a perfect crime anymore.\I see.\This suits Takagi!\And unlike the unconventional manga you've done before, this isn't cynical! response:	Okay, we'll go with this for the first chapter.
context: It's because we tried some of them out in real life.\You did? Like what?\I can't tell you... you know?\If we told you, it wouldn't be a perfect crime anymore.\I see.\This suits Takagi!\And unlike the unconventional manga you've done before, this isn't cynical!\Okay, we'll go with this for the first chapter. response:	If you make any changes, keep them small.
context: You did? Like what?\I can't tell you... you know?\If we told you, it wouldn't be a perfect crime anymore.\I see.\This suits Takagi!\And unlike the unconventional manga you've done before, this isn't cynical!\Okay, we'll go with this for the first chapter.\If you make any changes, keep them small. response:	Actually, messing around with it might make it worse.
context: I can't tell you... you know?\If we told you, it wouldn't be a perfect crime anymore.\I see.\This suits Takagi!\And unlike the unconventional manga you've done before, this isn't cynical!\Okay, we'll go with this for the first chapter.\If you make any changes, keep them small.\Actually, messing around with it might make it worse. response:	Okay!
context: If we told you, it wouldn't be a perfect crime anymore.\I see.\This suits Takagi!\And unlike the unconventional manga you've done before, this isn't cynical!\Okay, we'll go with this for the first chapter.\If you make any changes, keep them small.\Actually, messing around with it might make it worse.\Okay! response:	I'll jump right into our plans for chapter two, then...
context: I see.\This suits Takagi!\And unlike the unconventional manga you've done before, this isn't cynical!\Okay, we'll go with this for the first chapter.\If you make any changes, keep them small.\Actually, messing around with it might make it worse.\Okay!\I'll jump right into our plans for chapter two, then... response:	A girl will join their group!
context: This suits Takagi!\And unlike the unconventional manga you've done before, this isn't cynical!\Okay, we'll go with this for the first chapter.\If you make any changes, keep them small.\Actually, messing around with it might make it worse.\Okay!\I'll jump right into our plans for chapter two, then...\A girl will join their group! response:	Oh, a heroine!
context: And unlike the unconventional manga you've done before, this isn't cynical!\Okay, we'll go with this for the first chapter.\If you make any changes, keep them small.\Actually, messing around with it might make it worse.\Okay!\I'll jump right into our plans for chapter two, then...\A girl will join their group!\Oh, a heroine! response:	Her name is Annojo Mai.
context: Okay, we'll go with this for the first chapter.\If you make any changes, keep them small.\Actually, messing around with it might make it worse.\Okay!\I'll jump right into our plans for chapter two, then...\A girl will join their group!\Oh, a heroine!\Her name is Annojo Mai. response:	Right, that's a heroine-like name.
context: If you make any changes, keep them small.\Actually, messing around with it might make it worse.\Okay!\I'll jump right into our plans for chapter two, then...\A girl will join their group!\Oh, a heroine!\Her name is Annojo Mai.\Right, that's a heroine-like name. response:	Mashiro came up with it.
context: Actually, messing around with it might make it worse.\Okay!\I'll jump right into our plans for chapter two, then...\A girl will join their group!\Oh, a heroine!\Her name is Annojo Mai.\Right, that's a heroine-like name.\Mashiro came up with it. response:	Nice naming sense.
context: Okay!\I'll jump right into our plans for chapter two, then...\A girl will join their group!\Oh, a heroine!\Her name is Annojo Mai.\Right, that's a heroine-like name.\Mashiro came up with it.\Nice naming sense. response:	Thanks.
context: I'll jump right into our plans for chapter two, then...\A girl will join their group!\Oh, a heroine!\Her name is Annojo Mai.\Right, that's a heroine-like name.\Mashiro came up with it.\Nice naming sense.\Thanks. response:	Mai is extremely calculating, and she loves mystery novels, so her deductive reasoning is excellent.
context: A girl will join their group!\Oh, a heroine!\Her name is Annojo Mai.\Right, that's a heroine-like name.\Mashiro came up with it.\Nice naming sense.\Thanks.\Mai is extremely calculating, and she loves mystery novels, so her deductive reasoning is excellent. response:	The current two members of the perfect crime club decide that they must have her abilities,
context: Oh, a heroine!\Her name is Annojo Mai.\Right, that's a heroine-like name.\Mashiro came up with it.\Nice naming sense.\Thanks.\Mai is extremely calculating, and she loves mystery novels, so her deductive reasoning is excellent.\The current two members of the perfect crime club decide that they must have her abilities, response:	so they thoroughly investigate her.
context: Her name is Annojo Mai.\Right, that's a heroine-like name.\Mashiro came up with it.\Nice naming sense.\Thanks.\Mai is extremely calculating, and she loves mystery novels, so her deductive reasoning is excellent.\The current two members of the perfect crime club decide that they must have her abilities,\so they thoroughly investigate her. response:	How will they get her to join?
context: Right, that's a heroine-like name.\Mashiro came up with it.\Nice naming sense.\Thanks.\Mai is extremely calculating, and she loves mystery novels, so her deductive reasoning is excellent.\The current two members of the perfect crime club decide that they must have her abilities,\so they thoroughly investigate her.\How will they get her to join? response:	It should be in a perfect crime-like way, right?
context: Mashiro came up with it.\Nice naming sense.\Thanks.\Mai is extremely calculating, and she loves mystery novels, so her deductive reasoning is excellent.\The current two members of the perfect crime club decide that they must have her abilities,\so they thoroughly investigate her.\How will they get her to join?\It should be in a perfect crime-like way, right? response:	They'll arrange a mysterious surprise for Mai's birthday,
context: Nice naming sense.\Thanks.\Mai is extremely calculating, and she loves mystery novels, so her deductive reasoning is excellent.\The current two members of the perfect crime club decide that they must have her abilities,\so they thoroughly investigate her.\How will they get her to join?\It should be in a perfect crime-like way, right?\They'll arrange a mysterious surprise for Mai's birthday, response:	which will lead her to investigate and eventually deduce their identities.
context: Thanks.\Mai is extremely calculating, and she loves mystery novels, so her deductive reasoning is excellent.\The current two members of the perfect crime club decide that they must have her abilities,\so they thoroughly investigate her.\How will they get her to join?\It should be in a perfect crime-like way, right?\They'll arrange a mysterious surprise for Mai's birthday,\which will lead her to investigate and eventually deduce their identities. response:	The serious humor can come from the usually unflappable Mai getting flustered,
