context: Instead, let's come up with some amazing gift, and go to New York! response:	It's all-out war...
context: Chief...\What is it?\If they have turned up in all of these photos,\why hasn't anyone been able to arrest them?\An understandable question,\but I will ask Mr. Sullivan to explain.\These are all photos that local people happened to shoot of them\because of their eccentric outfits. response:	Generally, they did not realize that they were robbers
context: What is it?\If they have turned up in all of these photos,\why hasn't anyone been able to arrest them?\An understandable question,\but I will ask Mr. Sullivan to explain.\These are all photos that local people happened to shoot of them\because of their eccentric outfits.\Generally, they did not realize that they were robbers response:	until after the pictures were taken.
context: If they have turned up in all of these photos,\why hasn't anyone been able to arrest them?\An understandable question,\but I will ask Mr. Sullivan to explain.\These are all photos that local people happened to shoot of them\because of their eccentric outfits.\Generally, they did not realize that they were robbers\until after the pictures were taken. response:	All of their crimes up to now have been petty offenses,
context: why hasn't anyone been able to arrest them?\An understandable question,\but I will ask Mr. Sullivan to explain.\These are all photos that local people happened to shoot of them\because of their eccentric outfits.\Generally, they did not realize that they were robbers\until after the pictures were taken.\All of their crimes up to now have been petty offenses, response:	not serious enough to get them on our wanted lists.
context: An understandable question,\but I will ask Mr. Sullivan to explain.\These are all photos that local people happened to shoot of them\because of their eccentric outfits.\Generally, they did not realize that they were robbers\until after the pictures were taken.\All of their crimes up to now have been petty offenses,\not serious enough to get them on our wanted lists. response:	Watches, chocolates, candy, and...
context: but I will ask Mr. Sullivan to explain.\These are all photos that local people happened to shoot of them\because of their eccentric outfits.\Generally, they did not realize that they were robbers\until after the pictures were taken.\All of their crimes up to now have been petty offenses,\not serious enough to get them on our wanted lists.\Watches, chocolates, candy, and... response:	They once stole the door to an art museum.
context: These are all photos that local people happened to shoot of them\because of their eccentric outfits.\Generally, they did not realize that they were robbers\until after the pictures were taken.\All of their crimes up to now have been petty offenses,\not serious enough to get them on our wanted lists.\Watches, chocolates, candy, and...\They once stole the door to an art museum. response:	In that case,
context: because of their eccentric outfits.\Generally, they did not realize that they were robbers\until after the pictures were taken.\All of their crimes up to now have been petty offenses,\not serious enough to get them on our wanted lists.\Watches, chocolates, candy, and...\They once stole the door to an art museum.\In that case, response:	wouldn't it be quicker to have their mamas chew them out?
context: Generally, they did not realize that they were robbers\until after the pictures were taken.\All of their crimes up to now have been petty offenses,\not serious enough to get them on our wanted lists.\Watches, chocolates, candy, and...\They once stole the door to an art museum.\In that case,\wouldn't it be quicker to have their mamas chew them out? response:	I'm afraid we can't settle for just that.
context: until after the pictures were taken.\All of their crimes up to now have been petty offenses,\not serious enough to get them on our wanted lists.\Watches, chocolates, candy, and...\They once stole the door to an art museum.\In that case,\wouldn't it be quicker to have their mamas chew them out?\I'm afraid we can't settle for just that. response:	The pair have made off with the entire inheritance
context: All of their crimes up to now have been petty offenses,\not serious enough to get them on our wanted lists.\Watches, chocolates, candy, and...\They once stole the door to an art museum.\In that case,\wouldn't it be quicker to have their mamas chew them out?\I'm afraid we can't settle for just that.\The pair have made off with the entire inheritance response:	of the New Jersey millionaire, Mr. Genoard.
context: not serious enough to get them on our wanted lists.\Watches, chocolates, candy, and...\They once stole the door to an art museum.\In that case,\wouldn't it be quicker to have their mamas chew them out?\I'm afraid we can't settle for just that.\The pair have made off with the entire inheritance\of the New Jersey millionaire, Mr. Genoard. response:	Chief...
context: Watches, chocolates, candy, and...\They once stole the door to an art museum.\In that case,\wouldn't it be quicker to have their mamas chew them out?\I'm afraid we can't settle for just that.\The pair have made off with the entire inheritance\of the New Jersey millionaire, Mr. Genoard.\Chief... response:	What is it?
context: They once stole the door to an art museum.\In that case,\wouldn't it be quicker to have their mamas chew them out?\I'm afraid we can't settle for just that.\The pair have made off with the entire inheritance\of the New Jersey millionaire, Mr. Genoard.\Chief...\What is it? response:	What could have suddenly come over them?
context: In that case,\wouldn't it be quicker to have their mamas chew them out?\I'm afraid we can't settle for just that.\The pair have made off with the entire inheritance\of the New Jersey millionaire, Mr. Genoard.\Chief...\What is it?\What could have suddenly come over them? response:	An understandable question, but if you ask me, I have no answer.
context: wouldn't it be quicker to have their mamas chew them out?\I'm afraid we can't settle for just that.\The pair have made off with the entire inheritance\of the New Jersey millionaire, Mr. Genoard.\Chief...\What is it?\What could have suddenly come over them?\An understandable question, but if you ask me, I have no answer. response:	You can ask them yourselves.
context: I'm afraid we can't settle for just that.\The pair have made off with the entire inheritance\of the New Jersey millionaire, Mr. Genoard.\Chief...\What is it?\What could have suddenly come over them?\An understandable question, but if you ask me, I have no answer.\You can ask them yourselves. response:	Oh, crap!
context: The pair have made off with the entire inheritance\of the New Jersey millionaire, Mr. Genoard.\Chief...\What is it?\What could have suddenly come over them?\An understandable question, but if you ask me, I have no answer.\You can ask them yourselves.\Oh, crap! response:	Miria! We've forgotten something awfully important!
context: of the New Jersey millionaire, Mr. Genoard.\Chief...\What is it?\What could have suddenly come over them?\An understandable question, but if you ask me, I have no answer.\You can ask them yourselves.\Oh, crap!\Miria! We've forgotten something awfully important! response:	What's that?
context: Chief...\What is it?\What could have suddenly come over them?\An understandable question, but if you ask me, I have no answer.\You can ask them yourselves.\Oh, crap!\Miria! We've forgotten something awfully important!\What's that? response:	Ennis's... Ennis's...
context: What is it?\What could have suddenly come over them?\An understandable question, but if you ask me, I have no answer.\You can ask them yourselves.\Oh, crap!\Miria! We've forgotten something awfully important!\What's that?\Ennis's... Ennis's... response:	W-W-What do we do?
context: What could have suddenly come over them?\An understandable question, but if you ask me, I have no answer.\You can ask them yourselves.\Oh, crap!\Miria! We've forgotten something awfully important!\What's that?\Ennis's... Ennis's...\W-W-What do we do? response:	What are we going to do?!
context: An understandable question, but if you ask me, I have no answer.\You can ask them yourselves.\Oh, crap!\Miria! We've forgotten something awfully important!\What's that?\Ennis's... Ennis's...\W-W-What do we do?\What are we going to do?! response:	Isaac!
context: You can ask them yourselves.\Oh, crap!\Miria! We've forgotten something awfully important!\What's that?\Ennis's... Ennis's...\W-W-What do we do?\What are we going to do?!\Isaac! response:	Miria!
context: Oh, crap!\Miria! We've forgotten something awfully important!\What's that?\Ennis's... Ennis's...\W-W-What do we do?\What are we going to do?!\Isaac!\Miria! response:	-We forgot to buy a gift for Ennis!! -We forgot to buy a gift for Ennis!!
context: Miria! We've forgotten something awfully important!\What's that?\Ennis's... Ennis's...\W-W-What do we do?\What are we going to do?!\Isaac!\Miria!\-We forgot to buy a gift for Ennis!! -We forgot to buy a gift for Ennis!! response:	Hey, guys.
context: What's that?\Ennis's... Ennis's...\W-W-What do we do?\What are we going to do?!\Isaac!\Miria!\-We forgot to buy a gift for Ennis!! -We forgot to buy a gift for Ennis!!\Hey, guys. response:	There's something up on the forward coupling.
context: Ennis's... Ennis's...\W-W-What do we do?\What are we going to do?!\Isaac!\Miria!\-We forgot to buy a gift for Ennis!! -We forgot to buy a gift for Ennis!!\Hey, guys.\There's something up on the forward coupling. response:	Ready, set...
context: W-W-What do we do?\What are we going to do?!\Isaac!\Miria!\-We forgot to buy a gift for Ennis!! -We forgot to buy a gift for Ennis!!\Hey, guys.\There's something up on the forward coupling.\Ready, set... response:	The Rail Tracer?
context: What are we going to do?!\Isaac!\Miria!\-We forgot to buy a gift for Ennis!! -We forgot to buy a gift for Ennis!!\Hey, guys.\There's something up on the forward coupling.\Ready, set...\The Rail Tracer? response:	I don't see it anymore.
context: Isaac!\Miria!\-We forgot to buy a gift for Ennis!! -We forgot to buy a gift for Ennis!!\Hey, guys.\There's something up on the forward coupling.\Ready, set...\The Rail Tracer?\I don't see it anymore. response:	Let's go.
context: Miria!\-We forgot to buy a gift for Ennis!! -We forgot to buy a gift for Ennis!!\Hey, guys.\There's something up on the forward coupling.\Ready, set...\The Rail Tracer?\I don't see it anymore.\Let's go. response:	Maybe...
context: -We forgot to buy a gift for Ennis!! -We forgot to buy a gift for Ennis!!\Hey, guys.\There's something up on the forward coupling.\Ready, set...\The Rail Tracer?\I don't see it anymore.\Let's go.\Maybe... response:	Let's go up and see.
context: Hey, guys.\There's something up on the forward coupling.\Ready, set...\The Rail Tracer?\I don't see it anymore.\Let's go.\Maybe...\Let's go up and see. response:	Donny, you head up the aisle down there,
context: There's something up on the forward coupling.\Ready, set...\The Rail Tracer?\I don't see it anymore.\Let's go.\Maybe...\Let's go up and see.\Donny, you head up the aisle down there, response:	and wait for us one coupling ahead.
context: Ready, set...\The Rail Tracer?\I don't see it anymore.\Let's go.\Maybe...\Let's go up and see.\Donny, you head up the aisle down there,\and wait for us one coupling ahead. response:	You can count on me.
context: The Rail Tracer?\I don't see it anymore.\Let's go.\Maybe...\Let's go up and see.\Donny, you head up the aisle down there,\and wait for us one coupling ahead.\You can count on me. response:	Be especially careful about the black suits.
context: I don't see it anymore.\Let's go.\Maybe...\Let's go up and see.\Donny, you head up the aisle down there,\and wait for us one coupling ahead.\You can count on me.\Be especially careful about the black suits. response:	Yeah.
context: Let's go.\Maybe...\Let's go up and see.\Donny, you head up the aisle down there,\and wait for us one coupling ahead.\You can count on me.\Be especially careful about the black suits.\Yeah. response:	Let's go!
context: Maybe...\Let's go up and see.\Donny, you head up the aisle down there,\and wait for us one coupling ahead.\You can count on me.\Be especially careful about the black suits.\Yeah.\Let's go! response:	Boss, you get the feeling that Jacuzzi is all worked up?
context: Let's go up and see.\Donny, you head up the aisle down there,\and wait for us one coupling ahead.\You can count on me.\Be especially careful about the black suits.\Yeah.\Let's go!\Boss, you get the feeling that Jacuzzi is all worked up? response:	He hasn't been like this since
context: Donny, you head up the aisle down there,\and wait for us one coupling ahead.\You can count on me.\Be especially careful about the black suits.\Yeah.\Let's go!\Boss, you get the feeling that Jacuzzi is all worked up?\He hasn't been like this since response:	those eight were killed by the Russo Family.
context: and wait for us one coupling ahead.\You can count on me.\Be especially careful about the black suits.\Yeah.\Let's go!\Boss, you get the feeling that Jacuzzi is all worked up?\He hasn't been like this since\those eight were killed by the Russo Family. response:	He was amazing back then, even as he was crying, huh?
context: You can count on me.\Be especially careful about the black suits.\Yeah.\Let's go!\Boss, you get the feeling that Jacuzzi is all worked up?\He hasn't been like this since\those eight were killed by the Russo Family.\He was amazing back then, even as he was crying, huh? response:	I wonder how far he'll go this time.
context: Be especially careful about the black suits.\Yeah.\Let's go!\Boss, you get the feeling that Jacuzzi is all worked up?\He hasn't been like this since\those eight were killed by the Russo Family.\He was amazing back then, even as he was crying, huh?\I wonder how far he'll go this time. response:	I am Gustavo Baggetta, of the Runorata Family.
context: Yeah.\Let's go!\Boss, you get the feeling that Jacuzzi is all worked up?\He hasn't been like this since\those eight were killed by the Russo Family.\He was amazing back then, even as he was crying, huh?\I wonder how far he'll go this time.\I am Gustavo Baggetta, of the Runorata Family. response:	We may have been rough with you,
context: Let's go!\Boss, you get the feeling that Jacuzzi is all worked up?\He hasn't been like this since\those eight were killed by the Russo Family.\He was amazing back then, even as he was crying, huh?\I wonder how far he'll go this time.\I am Gustavo Baggetta, of the Runorata Family.\We may have been rough with you, response:	but relax, we have no plans to take your life.
context: Boss, you get the feeling that Jacuzzi is all worked up?\He hasn't been like this since\those eight were killed by the Russo Family.\He was amazing back then, even as he was crying, huh?\I wonder how far he'll go this time.\I am Gustavo Baggetta, of the Runorata Family.\We may have been rough with you,\but relax, we have no plans to take your life. response:	Runorata... I've heard that name before.
context: He hasn't been like this since\those eight were killed by the Russo Family.\He was amazing back then, even as he was crying, huh?\I wonder how far he'll go this time.\I am Gustavo Baggetta, of the Runorata Family.\We may have been rough with you,\but relax, we have no plans to take your life.\Runorata... I've heard that name before. response:	Your granddad, father, and brother were all good friends with our boss.
context: those eight were killed by the Russo Family.\He was amazing back then, even as he was crying, huh?\I wonder how far he'll go this time.\I am Gustavo Baggetta, of the Runorata Family.\We may have been rough with you,\but relax, we have no plans to take your life.\Runorata... I've heard that name before.\Your granddad, father, and brother were all good friends with our boss. response:	Why are you doing this?
context: He was amazing back then, even as he was crying, huh?\I wonder how far he'll go this time.\I am Gustavo Baggetta, of the Runorata Family.\We may have been rough with you,\but relax, we have no plans to take your life.\Runorata... I've heard that name before.\Your granddad, father, and brother were all good friends with our boss.\Why are you doing this? response:	We have business with your other brother.
context: I wonder how far he'll go this time.\I am Gustavo Baggetta, of the Runorata Family.\We may have been rough with you,\but relax, we have no plans to take your life.\Runorata... I've heard that name before.\Your granddad, father, and brother were all good friends with our boss.\Why are you doing this?\We have business with your other brother. response:	With Big Brother Dallas?
context: I am Gustavo Baggetta, of the Runorata Family.\We may have been rough with you,\but relax, we have no plans to take your life.\Runorata... I've heard that name before.\Your granddad, father, and brother were all good friends with our boss.\Why are you doing this?\We have business with your other brother.\With Big Brother Dallas? response:	Your Big Brother Dallas has done something naughty.
context: We may have been rough with you,\but relax, we have no plans to take your life.\Runorata... I've heard that name before.\Your granddad, father, and brother were all good friends with our boss.\Why are you doing this?\We have business with your other brother.\With Big Brother Dallas?\Your Big Brother Dallas has done something naughty. response:	We have to tell him off, but we have no idea where he is.
context: but relax, we have no plans to take your life.\Runorata... I've heard that name before.\Your granddad, father, and brother were all good friends with our boss.\Why are you doing this?\We have business with your other brother.\With Big Brother Dallas?\Your Big Brother Dallas has done something naughty.\We have to tell him off, but we have no idea where he is. response:	So, we're going to hold you hostage.
context: Runorata... I've heard that name before.\Your granddad, father, and brother were all good friends with our boss.\Why are you doing this?\We have business with your other brother.\With Big Brother Dallas?\Your Big Brother Dallas has done something naughty.\We have to tell him off, but we have no idea where he is.\So, we're going to hold you hostage. response:	It's our way of calling the bastard out.
context: Your granddad, father, and brother were all good friends with our boss.\Why are you doing this?\We have business with your other brother.\With Big Brother Dallas?\Your Big Brother Dallas has done something naughty.\We have to tell him off, but we have no idea where he is.\So, we're going to hold you hostage.\It's our way of calling the bastard out. response:	You're going to stay with us for a while, like it or not.
context: Why are you doing this?\We have business with your other brother.\With Big Brother Dallas?\Your Big Brother Dallas has done something naughty.\We have to tell him off, but we have no idea where he is.\So, we're going to hold you hostage.\It's our way of calling the bastard out.\You're going to stay with us for a while, like it or not. response:	You scared?
context: We have business with your other brother.\With Big Brother Dallas?\Your Big Brother Dallas has done something naughty.\We have to tell him off, but we have no idea where he is.\So, we're going to hold you hostage.\It's our way of calling the bastard out.\You're going to stay with us for a while, like it or not.\You scared? response:	You're scared, aren't you?
context: With Big Brother Dallas?\Your Big Brother Dallas has done something naughty.\We have to tell him off, but we have no idea where he is.\So, we're going to hold you hostage.\It's our way of calling the bastard out.\You're going to stay with us for a while, like it or not.\You scared?\You're scared, aren't you? response:	You're a strong-willed little lady.
context: Your Big Brother Dallas has done something naughty.\We have to tell him off, but we have no idea where he is.\So, we're going to hold you hostage.\It's our way of calling the bastard out.\You're going to stay with us for a while, like it or not.\You scared?\You're scared, aren't you?\You're a strong-willed little lady. response:	You want me to tell you what kind of mischief your brother got into?
context: We have to tell him off, but we have no idea where he is.\So, we're going to hold you hostage.\It's our way of calling the bastard out.\You're going to stay with us for a while, like it or not.\You scared?\You're scared, aren't you?\You're a strong-willed little lady.\You want me to tell you what kind of mischief your brother got into? response:	He's blackmailing us. He says that your father and brother...
context: So, we're going to hold you hostage.\It's our way of calling the bastard out.\You're going to stay with us for a while, like it or not.\You scared?\You're scared, aren't you?\You're a strong-willed little lady.\You want me to tell you what kind of mischief your brother got into?\He's blackmailing us. He says that your father and brother... response:	Is that true? Did you really kill my father and Geoffrey?!
context: It's our way of calling the bastard out.\You're going to stay with us for a while, like it or not.\You scared?\You're scared, aren't you?\You're a strong-willed little lady.\You want me to tell you what kind of mischief your brother got into?\He's blackmailing us. He says that your father and brother...\Is that true? Did you really kill my father and Geoffrey?! response:	I'm not telling.
context: You're going to stay with us for a while, like it or not.\You scared?\You're scared, aren't you?\You're a strong-willed little lady.\You want me to tell you what kind of mischief your brother got into?\He's blackmailing us. He says that your father and brother...\Is that true? Did you really kill my father and Geoffrey?!\I'm not telling. response:	Are you really related to that good-for-nothing father
context: You scared?\You're scared, aren't you?\You're a strong-willed little lady.\You want me to tell you what kind of mischief your brother got into?\He's blackmailing us. He says that your father and brother...\Is that true? Did you really kill my father and Geoffrey?!\I'm not telling.\Are you really related to that good-for-nothing father response:	and good-for-nothing brother of yours?
context: You're scared, aren't you?\You're a strong-willed little lady.\You want me to tell you what kind of mischief your brother got into?\He's blackmailing us. He says that your father and brother...\Is that true? Did you really kill my father and Geoffrey?!\I'm not telling.\Are you really related to that good-for-nothing father\and good-for-nothing brother of yours? response:	If they'd had the strength of will that you have,
context: You're a strong-willed little lady.\You want me to tell you what kind of mischief your brother got into?\He's blackmailing us. He says that your father and brother...\Is that true? Did you really kill my father and Geoffrey?!\I'm not telling.\Are you really related to that good-for-nothing father\and good-for-nothing brother of yours?\If they'd had the strength of will that you have, response:	they might have lived another five minutes.
context: You want me to tell you what kind of mischief your brother got into?\He's blackmailing us. He says that your father and brother...\Is that true? Did you really kill my father and Geoffrey?!\I'm not telling.\Are you really related to that good-for-nothing father\and good-for-nothing brother of yours?\If they'd had the strength of will that you have,\they might have lived another five minutes. response:	Whoops, that just slipped out.
context: He's blackmailing us. He says that your father and brother...\Is that true? Did you really kill my father and Geoffrey?!\I'm not telling.\Are you really related to that good-for-nothing father\and good-for-nothing brother of yours?\If they'd had the strength of will that you have,\they might have lived another five minutes.\Whoops, that just slipped out. response:	God is going to punish people like you.
context: Is that true? Did you really kill my father and Geoffrey?!\I'm not telling.\Are you really related to that good-for-nothing father\and good-for-nothing brother of yours?\If they'd had the strength of will that you have,\they might have lived another five minutes.\Whoops, that just slipped out.\God is going to punish people like you. response:	God, huh?
context: I'm not telling.\Are you really related to that good-for-nothing father\and good-for-nothing brother of yours?\If they'd had the strength of will that you have,\they might have lived another five minutes.\Whoops, that just slipped out.\God is going to punish people like you.\God, huh? response:	The people with the power prevail. Such is the law of this world.
context: Are you really related to that good-for-nothing father\and good-for-nothing brother of yours?\If they'd had the strength of will that you have,\they might have lived another five minutes.\Whoops, that just slipped out.\God is going to punish people like you.\God, huh?\The people with the power prevail. Such is the law of this world. response:	That's not true!
context: and good-for-nothing brother of yours?\If they'd had the strength of will that you have,\they might have lived another five minutes.\Whoops, that just slipped out.\God is going to punish people like you.\God, huh?\The people with the power prevail. Such is the law of this world.\That's not true! response:	Big Brother Dallas...
context: If they'd had the strength of will that you have,\they might have lived another five minutes.\Whoops, that just slipped out.\God is going to punish people like you.\God, huh?\The people with the power prevail. Such is the law of this world.\That's not true!\Big Brother Dallas... response:	Hey, Miria...
context: they might have lived another five minutes.\Whoops, that just slipped out.\God is going to punish people like you.\God, huh?\The people with the power prevail. Such is the law of this world.\That's not true!\Big Brother Dallas...\Hey, Miria... response:	What, Isaac?
context: Whoops, that just slipped out.\God is going to punish people like you.\God, huh?\The people with the power prevail. Such is the law of this world.\That's not true!\Big Brother Dallas...\Hey, Miria...\What, Isaac? response:	She's crying.
context: God is going to punish people like you.\God, huh?\The people with the power prevail. Such is the law of this world.\That's not true!\Big Brother Dallas...\Hey, Miria...\What, Isaac?\She's crying. response:	She's crying, huh?
context: God, huh?\The people with the power prevail. Such is the law of this world.\That's not true!\Big Brother Dallas...\Hey, Miria...\What, Isaac?\She's crying.\She's crying, huh? response:	She's looking at the picture and crying.
context: The people with the power prevail. Such is the law of this world.\That's not true!\Big Brother Dallas...\Hey, Miria...\What, Isaac?\She's crying.\She's crying, huh?\She's looking at the picture and crying. response:	Photography.
context: That's not true!\Big Brother Dallas...\Hey, Miria...\What, Isaac?\She's crying.\She's crying, huh?\She's looking at the picture and crying.\Photography. response:	It must be her lover.
context: Big Brother Dallas...\Hey, Miria...\What, Isaac?\She's crying.\She's crying, huh?\She's looking at the picture and crying.\Photography.\It must be her lover. response:	Romance.
context: Hey, Miria...\What, Isaac?\She's crying.\She's crying, huh?\She's looking at the picture and crying.\Photography.\It must be her lover.\Romance. response:	They were lovey-dovey.
context: What, Isaac?\She's crying.\She's crying, huh?\She's looking at the picture and crying.\Photography.\It must be her lover.\Romance.\They were lovey-dovey. response:	Lovey-dovey.
context: She's crying.\She's crying, huh?\She's looking at the picture and crying.\Photography.\It must be her lover.\Romance.\They were lovey-dovey.\Lovey-dovey. response:	I wonder if they've been separated for life.
context: She's crying, huh?\She's looking at the picture and crying.\Photography.\It must be her lover.\Romance.\They were lovey-dovey.\Lovey-dovey.\I wonder if they've been separated for life. response:	I'm sure it must have been an incredibly sad farewell.
context: She's looking at the picture and crying.\Photography.\It must be her lover.\Romance.\They were lovey-dovey.\Lovey-dovey.\I wonder if they've been separated for life.\I'm sure it must have been an incredibly sad farewell. response:	Or maybe, they've been separated by death.
context: Photography.\It must be her lover.\Romance.\They were lovey-dovey.\Lovey-dovey.\I wonder if they've been separated for life.\I'm sure it must have been an incredibly sad farewell.\Or maybe, they've been separated by death. response:	How tragic.
context: It must be her lover.\Romance.\They were lovey-dovey.\Lovey-dovey.\I wonder if they've been separated for life.\I'm sure it must have been an incredibly sad farewell.\Or maybe, they've been separated by death.\How tragic. response:	Um...
context: Romance.\They were lovey-dovey.\Lovey-dovey.\I wonder if they've been separated for life.\I'm sure it must have been an incredibly sad farewell.\Or maybe, they've been separated by death.\How tragic.\Um... response:	How did you know?!
context: They were lovey-dovey.\Lovey-dovey.\I wonder if they've been separated for life.\I'm sure it must have been an incredibly sad farewell.\Or maybe, they've been separated by death.\How tragic.\Um...\How did you know?! response:	How could you tell?!
context: Lovey-dovey.\I wonder if they've been separated for life.\I'm sure it must have been an incredibly sad farewell.\Or maybe, they've been separated by death.\How tragic.\Um...\How did you know?!\How could you tell?! response:	I could hear you.
context: I wonder if they've been separated for life.\I'm sure it must have been an incredibly sad farewell.\Or maybe, they've been separated by death.\How tragic.\Um...\How did you know?!\How could you tell?!\I could hear you. response:	What do we do, Miria?
context: I'm sure it must have been an incredibly sad farewell.\Or maybe, they've been separated by death.\How tragic.\Um...\How did you know?!\How could you tell?!\I could hear you.\What do we do, Miria? response:	She's a formidable opponent.
context: Or maybe, they've been separated by death.\How tragic.\Um...\How did you know?!\How could you tell?!\I could hear you.\What do we do, Miria?\She's a formidable opponent. response:	We are robbers!
context: How tragic.\Um...\How did you know?!\How could you tell?!\I could hear you.\What do we do, Miria?\She's a formidable opponent.\We are robbers! response:	Robbers!
context: Um...\How did you know?!\How could you tell?!\I could hear you.\What do we do, Miria?\She's a formidable opponent.\We are robbers!\Robbers! response:	She's laughing.
context: How did you know?!\How could you tell?!\I could hear you.\What do we do, Miria?\She's a formidable opponent.\We are robbers!\Robbers!\She's laughing. response:	She's laughing, huh?
context: How could you tell?!\I could hear you.\What do we do, Miria?\She's a formidable opponent.\We are robbers!\Robbers!\She's laughing.\She's laughing, huh? response:	She was crying just a second ago.
