context: I see. response:	You wish to withdraw your investment in the research in question?
context: Supplementary Lesson This was famously said by Benjamin Franklin. Hayase, can you translate it?\This was famously said by Benjamin Franklin. Hayase, can you translate it?\Huh?\Um, give me just a minute!\Get your supplementary lesson done ASAP!\We're meeting at the lab to continue our search!\I can't do this ASAP!\I hate English! response:	Hmm. It seems to be taking you some time, Hayase.
context: This was famously said by Benjamin Franklin. Hayase, can you translate it?\Huh?\Um, give me just a minute!\Get your supplementary lesson done ASAP!\We're meeting at the lab to continue our search!\I can't do this ASAP!\I hate English!\Hmm. It seems to be taking you some time, Hayase. response:	Okay. Ichikawa?
context: Huh?\Um, give me just a minute!\Get your supplementary lesson done ASAP!\We're meeting at the lab to continue our search!\I can't do this ASAP!\I hate English!\Hmm. It seems to be taking you some time, Hayase.\Okay. Ichikawa? response:	It means that actions speak louder than words!
context: Um, give me just a minute!\Get your supplementary lesson done ASAP!\We're meeting at the lab to continue our search!\I can't do this ASAP!\I hate English!\Hmm. It seems to be taking you some time, Hayase.\Okay. Ichikawa?\It means that actions speak louder than words! response:	That answer is correct, but...
context: Get your supplementary lesson done ASAP!\We're meeting at the lab to continue our search!\I can't do this ASAP!\I hate English!\Hmm. It seems to be taking you some time, Hayase.\Okay. Ichikawa?\It means that actions speak louder than words!\That answer is correct, but... response:	Um, this is just...
context: We're meeting at the lab to continue our search!\I can't do this ASAP!\I hate English!\Hmm. It seems to be taking you some time, Hayase.\Okay. Ichikawa?\It means that actions speak louder than words!\That answer is correct, but...\Um, this is just... response:	This is not fair.
context: I can't do this ASAP!\I hate English!\Hmm. It seems to be taking you some time, Hayase.\Okay. Ichikawa?\It means that actions speak louder than words!\That answer is correct, but...\Um, this is just...\This is not fair. response:	This is not fair.
context: I hate English!\Hmm. It seems to be taking you some time, Hayase.\Okay. Ichikawa?\It means that actions speak louder than words!\That answer is correct, but...\Um, this is just...\This is not fair.\This is not fair. response:	Well, I think it's best to get your language translated in real time.
context: Hmm. It seems to be taking you some time, Hayase.\Okay. Ichikawa?\It means that actions speak louder than words!\That answer is correct, but...\Um, this is just...\This is not fair.\This is not fair.\Well, I think it's best to get your language translated in real time. response:	Real time translation?
context: Okay. Ichikawa?\It means that actions speak louder than words!\That answer is correct, but...\Um, this is just...\This is not fair.\This is not fair.\Well, I think it's best to get your language translated in real time.\Real time translation? response:	You do speak fluent English.
context: It means that actions speak louder than words!\That answer is correct, but...\Um, this is just...\This is not fair.\This is not fair.\Well, I think it's best to get your language translated in real time.\Real time translation?\You do speak fluent English. response:	But that's no reason not to study.
context: That answer is correct, but...\Um, this is just...\This is not fair.\This is not fair.\Well, I think it's best to get your language translated in real time.\Real time translation?\You do speak fluent English.\But that's no reason not to study. response:	I'm confiscating this.
context: Um, this is just...\This is not fair.\This is not fair.\Well, I think it's best to get your language translated in real time.\Real time translation?\You do speak fluent English.\But that's no reason not to study.\I'm confiscating this. response:	W-Wait, Mr. Sato! Wait!
context: This is not fair.\This is not fair.\Well, I think it's best to get your language translated in real time.\Real time translation?\You do speak fluent English.\But that's no reason not to study.\I'm confiscating this.\W-Wait, Mr. Sato! Wait! response:	You can't just go straight to the red card!
context: This is not fair.\Well, I think it's best to get your language translated in real time.\Real time translation?\You do speak fluent English.\But that's no reason not to study.\I'm confiscating this.\W-Wait, Mr. Sato! Wait!\You can't just go straight to the red card! response:	Mrs. Mizuki! You're home already?
context: Well, I think it's best to get your language translated in real time.\Real time translation?\You do speak fluent English.\But that's no reason not to study.\I'm confiscating this.\W-Wait, Mr. Sato! Wait!\You can't just go straight to the red card!\Mrs. Mizuki! You're home already? response:	Listen to this!
context: Real time translation?\You do speak fluent English.\But that's no reason not to study.\I'm confiscating this.\W-Wait, Mr. Sato! Wait!\You can't just go straight to the red card!\Mrs. Mizuki! You're home already?\Listen to this! response:	Ugh, Mom's home already?!
context: You do speak fluent English.\But that's no reason not to study.\I'm confiscating this.\W-Wait, Mr. Sato! Wait!\You can't just go straight to the red card!\Mrs. Mizuki! You're home already?\Listen to this!\Ugh, Mom's home already?! response:	I'm late! I'm late! I'm super late!
context: But that's no reason not to study.\I'm confiscating this.\W-Wait, Mr. Sato! Wait!\You can't just go straight to the red card!\Mrs. Mizuki! You're home already?\Listen to this!\Ugh, Mom's home already?!\I'm late! I'm late! I'm super late! response:	Huh? Mari?
context: I'm confiscating this.\W-Wait, Mr. Sato! Wait!\You can't just go straight to the red card!\Mrs. Mizuki! You're home already?\Listen to this!\Ugh, Mom's home already?!\I'm late! I'm late! I'm super late!\Huh? Mari? response:	Shun?
context: W-Wait, Mr. Sato! Wait!\You can't just go straight to the red card!\Mrs. Mizuki! You're home already?\Listen to this!\Ugh, Mom's home already?!\I'm late! I'm late! I'm super late!\Huh? Mari?\Shun? response:	You're coming too, Mari?
context: You can't just go straight to the red card!\Mrs. Mizuki! You're home already?\Listen to this!\Ugh, Mom's home already?!\I'm late! I'm late! I'm super late!\Huh? Mari?\Shun?\You're coming too, Mari? response:	Yeah.
context: Mrs. Mizuki! You're home already?\Listen to this!\Ugh, Mom's home already?!\I'm late! I'm late! I'm super late!\Huh? Mari?\Shun?\You're coming too, Mari?\Yeah. response:	Good day!
context: Listen to this!\Ugh, Mom's home already?!\I'm late! I'm late! I'm super late!\Huh? Mari?\Shun?\You're coming too, Mari?\Yeah.\Good day! response:	W-Waka?
context: Ugh, Mom's home already?!\I'm late! I'm late! I'm super late!\Huh? Mari?\Shun?\You're coming too, Mari?\Yeah.\Good day!\W-Waka? response:	What do you think? Does it suit me?
context: I'm late! I'm late! I'm super late!\Huh? Mari?\Shun?\You're coming too, Mari?\Yeah.\Good day!\W-Waka?\What do you think? Does it suit me? response:	You called us here for this?
context: Huh? Mari?\Shun?\You're coming too, Mari?\Yeah.\Good day!\W-Waka?\What do you think? Does it suit me?\You called us here for this? response:	Wow!
context: Shun?\You're coming too, Mari?\Yeah.\Good day!\W-Waka?\What do you think? Does it suit me?\You called us here for this?\Wow! response:	That's amazing, Waka!
context: You're coming too, Mari?\Yeah.\Good day!\W-Waka?\What do you think? Does it suit me?\You called us here for this?\Wow!\That's amazing, Waka! response:	That dress looks so good on you!
context: Yeah.\Good day!\W-Waka?\What do you think? Does it suit me?\You called us here for this?\Wow!\That's amazing, Waka!\That dress looks so good on you! response:	Thank you!
context: Good day!\W-Waka?\What do you think? Does it suit me?\You called us here for this?\Wow!\That's amazing, Waka!\That dress looks so good on you!\Thank you! response:	And these madelines and biscottis look really good!
context: W-Waka?\What do you think? Does it suit me?\You called us here for this?\Wow!\That's amazing, Waka!\That dress looks so good on you!\Thank you!\And these madelines and biscottis look really good! response:	But the cute tea set is the best part!
context: What do you think? Does it suit me?\You called us here for this?\Wow!\That's amazing, Waka!\That dress looks so good on you!\Thank you!\And these madelines and biscottis look really good!\But the cute tea set is the best part! response:	Isn't that Mom's antique tea set?
context: You called us here for this?\Wow!\That's amazing, Waka!\That dress looks so good on you!\Thank you!\And these madelines and biscottis look really good!\But the cute tea set is the best part!\Isn't that Mom's antique tea set? response:	Erk! Wh-What do you mean?
context: Wow!\That's amazing, Waka!\That dress looks so good on you!\Thank you!\And these madelines and biscottis look really good!\But the cute tea set is the best part!\Isn't that Mom's antique tea set?\Erk! Wh-What do you mean? response:	I just saw it looking lonely in the back of the cupboard,
context: That's amazing, Waka!\That dress looks so good on you!\Thank you!\And these madelines and biscottis look really good!\But the cute tea set is the best part!\Isn't that Mom's antique tea set?\Erk! Wh-What do you mean?\I just saw it looking lonely in the back of the cupboard, response:	and decided to help the poor thing.
context: That dress looks so good on you!\Thank you!\And these madelines and biscottis look really good!\But the cute tea set is the best part!\Isn't that Mom's antique tea set?\Erk! Wh-What do you mean?\I just saw it looking lonely in the back of the cupboard,\and decided to help the poor thing. response:	That's my Waka!
context: Thank you!\And these madelines and biscottis look really good!\But the cute tea set is the best part!\Isn't that Mom's antique tea set?\Erk! Wh-What do you mean?\I just saw it looking lonely in the back of the cupboard,\and decided to help the poor thing.\That's my Waka! response:	I bet the tea set must be so happy!
context: And these madelines and biscottis look really good!\But the cute tea set is the best part!\Isn't that Mom's antique tea set?\Erk! Wh-What do you mean?\I just saw it looking lonely in the back of the cupboard,\and decided to help the poor thing.\That's my Waka!\I bet the tea set must be so happy! response:	I hear good actions are the best!
context: But the cute tea set is the best part!\Isn't that Mom's antique tea set?\Erk! Wh-What do you mean?\I just saw it looking lonely in the back of the cupboard,\and decided to help the poor thing.\That's my Waka!\I bet the tea set must be so happy!\I hear good actions are the best! response:	Wh-Who said that?
context: Isn't that Mom's antique tea set?\Erk! Wh-What do you mean?\I just saw it looking lonely in the back of the cupboard,\and decided to help the poor thing.\That's my Waka!\I bet the tea set must be so happy!\I hear good actions are the best!\Wh-Who said that? response:	It's something we learned in our supplementary lesson today.
context: Erk! Wh-What do you mean?\I just saw it looking lonely in the back of the cupboard,\and decided to help the poor thing.\That's my Waka!\I bet the tea set must be so happy!\I hear good actions are the best!\Wh-Who said that?\It's something we learned in our supplementary lesson today. response:	Oh, that's right. My notes!
context: I just saw it looking lonely in the back of the cupboard,\and decided to help the poor thing.\That's my Waka!\I bet the tea set must be so happy!\I hear good actions are the best!\Wh-Who said that?\It's something we learned in our supplementary lesson today.\Oh, that's right. My notes! response:	Huh?
context: and decided to help the poor thing.\That's my Waka!\I bet the tea set must be so happy!\I hear good actions are the best!\Wh-Who said that?\It's something we learned in our supplementary lesson today.\Oh, that's right. My notes!\Huh? response:	Where are my notes?
context: That's my Waka!\I bet the tea set must be so happy!\I hear good actions are the best!\Wh-Who said that?\It's something we learned in our supplementary lesson today.\Oh, that's right. My notes!\Huh?\Where are my notes? response:	You can't find them?
context: I bet the tea set must be so happy!\I hear good actions are the best!\Wh-Who said that?\It's something we learned in our supplementary lesson today.\Oh, that's right. My notes!\Huh?\Where are my notes?\You can't find them? response:	Here?
context: I hear good actions are the best!\Wh-Who said that?\It's something we learned in our supplementary lesson today.\Oh, that's right. My notes!\Huh?\Where are my notes?\You can't find them?\Here? response:	As I thought, it's blank.
context: Wh-Who said that?\It's something we learned in our supplementary lesson today.\Oh, that's right. My notes!\Huh?\Where are my notes?\You can't find them?\Here?\As I thought, it's blank. response:	What kind of notes are these? I can't read them!
context: It's something we learned in our supplementary lesson today.\Oh, that's right. My notes!\Huh?\Where are my notes?\You can't find them?\Here?\As I thought, it's blank.\What kind of notes are these? I can't read them! response:	Huh? They're totally readable!
context: Oh, that's right. My notes!\Huh?\Where are my notes?\You can't find them?\Here?\As I thought, it's blank.\What kind of notes are these? I can't read them!\Huh? They're totally readable! response:	Not readable!
context: Huh?\Where are my notes?\You can't find them?\Here?\As I thought, it's blank.\What kind of notes are these? I can't read them!\Huh? They're totally readable!\Not readable! response:	Readable!
context: Where are my notes?\You can't find them?\Here?\As I thought, it's blank.\What kind of notes are these? I can't read them!\Huh? They're totally readable!\Not readable!\Readable! response:	Not readable!
context: You can't find them?\Here?\As I thought, it's blank.\What kind of notes are these? I can't read them!\Huh? They're totally readable!\Not readable!\Readable!\Not readable! response:	Readable!
context: Here?\As I thought, it's blank.\What kind of notes are these? I can't read them!\Huh? They're totally readable!\Not readable!\Readable!\Not readable!\Readable! response:	It's readable!
context: As I thought, it's blank.\What kind of notes are these? I can't read them!\Huh? They're totally readable!\Not readable!\Readable!\Not readable!\Readable!\It's readable! response:	See? Shun says they're readable!
context: What kind of notes are these? I can't read them!\Huh? They're totally readable!\Not readable!\Readable!\Not readable!\Readable!\It's readable!\See? Shun says they're readable! response:	It's readable!
context: Huh? They're totally readable!\Not readable!\Readable!\Not readable!\Readable!\It's readable!\See? Shun says they're readable!\It's readable! response:	B-Big brother?
context: Not readable!\Readable!\Not readable!\Readable!\It's readable!\See? Shun says they're readable!\It's readable!\B-Big brother? response:	The basement room?
context: Readable!\Not readable!\Readable!\It's readable!\See? Shun says they're readable!\It's readable!\B-Big brother?\The basement room? response:	Shun...
context: Not readable!\Readable!\It's readable!\See? Shun says they're readable!\It's readable!\B-Big brother?\The basement room?\Shun... response:	Brother...
context: Readable!\It's readable!\See? Shun says they're readable!\It's readable!\B-Big brother?\The basement room?\Shun...\Brother... response:	What is this?
context: It's readable!\See? Shun says they're readable!\It's readable!\B-Big brother?\The basement room?\Shun...\Brother...\What is this? response:	Wow!
context: See? Shun says they're readable!\It's readable!\B-Big brother?\The basement room?\Shun...\Brother...\What is this?\Wow! response:	What is it?
context: It's readable!\B-Big brother?\The basement room?\Shun...\Brother...\What is this?\Wow!\What is it? response:	Wow!
context: B-Big brother?\The basement room?\Shun...\Brother...\What is this?\Wow!\What is it?\Wow! response:	But why did it open now?
context: The basement room?\Shun...\Brother...\What is this?\Wow!\What is it?\Wow!\But why did it open now? response:	It could be related to Mari's pendant.
context: Shun...\Brother...\What is this?\Wow!\What is it?\Wow!\But why did it open now?\It could be related to Mari's pendant. response:	What? My pendant?
context: Brother...\What is this?\Wow!\What is it?\Wow!\But why did it open now?\It could be related to Mari's pendant.\What? My pendant? response:	Yes. The mechanism started spinning, right?
context: What is this?\Wow!\What is it?\Wow!\But why did it open now?\It could be related to Mari's pendant.\What? My pendant?\Yes. The mechanism started spinning, right? response:	I think it's still spinning.
context: Wow!\What is it?\Wow!\But why did it open now?\It could be related to Mari's pendant.\What? My pendant?\Yes. The mechanism started spinning, right?\I think it's still spinning. response:	That reminds me... when I traveled back to Mr. Gilbert's era,
context: What is it?\Wow!\But why did it open now?\It could be related to Mari's pendant.\What? My pendant?\Yes. The mechanism started spinning, right?\I think it's still spinning.\That reminds me... when I traveled back to Mr. Gilbert's era, response:	it did the same thing.
context: Wow!\But why did it open now?\It could be related to Mari's pendant.\What? My pendant?\Yes. The mechanism started spinning, right?\I think it's still spinning.\That reminds me... when I traveled back to Mr. Gilbert's era,\it did the same thing. response:	What is that pendant?
context: But why did it open now?\It could be related to Mari's pendant.\What? My pendant?\Yes. The mechanism started spinning, right?\I think it's still spinning.\That reminds me... when I traveled back to Mr. Gilbert's era,\it did the same thing.\What is that pendant? response:	I got it from my dad.
context: It could be related to Mari's pendant.\What? My pendant?\Yes. The mechanism started spinning, right?\I think it's still spinning.\That reminds me... when I traveled back to Mr. Gilbert's era,\it did the same thing.\What is that pendant?\I got it from my dad. response:	From the doctor?
context: What? My pendant?\Yes. The mechanism started spinning, right?\I think it's still spinning.\That reminds me... when I traveled back to Mr. Gilbert's era,\it did the same thing.\What is that pendant?\I got it from my dad.\From the doctor? response:	Anyway, if the book's readable now, the answer must be in there, right?
context: Yes. The mechanism started spinning, right?\I think it's still spinning.\That reminds me... when I traveled back to Mr. Gilbert's era,\it did the same thing.\What is that pendant?\I got it from my dad.\From the doctor?\Anyway, if the book's readable now, the answer must be in there, right? response:	But only the first part is readable.
context: I think it's still spinning.\That reminds me... when I traveled back to Mr. Gilbert's era,\it did the same thing.\What is that pendant?\I got it from my dad.\From the doctor?\Anyway, if the book's readable now, the answer must be in there, right?\But only the first part is readable. response:	Huh? How come?
context: That reminds me... when I traveled back to Mr. Gilbert's era,\it did the same thing.\What is that pendant?\I got it from my dad.\From the doctor?\Anyway, if the book's readable now, the answer must be in there, right?\But only the first part is readable.\Huh? How come? response:	I don't know. But I can read the Gilbert page.
context: it did the same thing.\What is that pendant?\I got it from my dad.\From the doctor?\Anyway, if the book's readable now, the answer must be in there, right?\But only the first part is readable.\Huh? How come?\I don't know. But I can read the Gilbert page. response:	Last time, I was flipping through this part...
context: What is that pendant?\I got it from my dad.\From the doctor?\Anyway, if the book's readable now, the answer must be in there, right?\But only the first part is readable.\Huh? How come?\I don't know. But I can read the Gilbert page.\Last time, I was flipping through this part... response:	Nothing happened.
context: I got it from my dad.\From the doctor?\Anyway, if the book's readable now, the answer must be in there, right?\But only the first part is readable.\Huh? How come?\I don't know. But I can read the Gilbert page.\Last time, I was flipping through this part...\Nothing happened. response:	That's right.
context: From the doctor?\Anyway, if the book's readable now, the answer must be in there, right?\But only the first part is readable.\Huh? How come?\I don't know. But I can read the Gilbert page.\Last time, I was flipping through this part...\Nothing happened.\That's right. response:	He's the guy from our lesson today!
context: Anyway, if the book's readable now, the answer must be in there, right?\But only the first part is readable.\Huh? How come?\I don't know. But I can read the Gilbert page.\Last time, I was flipping through this part...\Nothing happened.\That's right.\He's the guy from our lesson today! response:	Mari?
context: But only the first part is readable.\Huh? How come?\I don't know. But I can read the Gilbert page.\Last time, I was flipping through this part...\Nothing happened.\That's right.\He's the guy from our lesson today!\Mari? response:	Mari!
context: Huh? How come?\I don't know. But I can read the Gilbert page.\Last time, I was flipping through this part...\Nothing happened.\That's right.\He's the guy from our lesson today!\Mari?\Mari! response:	The Year 1752 (What is Now) Philadelphia, America
context: I don't know. But I can read the Gilbert page.\Last time, I was flipping through this part...\Nothing happened.\That's right.\He's the guy from our lesson today!\Mari?\Mari!\The Year 1752 (What is Now) Philadelphia, America response:	Hey, Peter, why the long face?
context: Last time, I was flipping through this part...\Nothing happened.\That's right.\He's the guy from our lesson today!\Mari?\Mari!\The Year 1752 (What is Now) Philadelphia, America\Hey, Peter, why the long face? response:	You're offending the girls.
context: Nothing happened.\That's right.\He's the guy from our lesson today!\Mari?\Mari!\The Year 1752 (What is Now) Philadelphia, America\Hey, Peter, why the long face?\You're offending the girls. response:	How can you stand it, Doctor?
context: That's right.\He's the guy from our lesson today!\Mari?\Mari!\The Year 1752 (What is Now) Philadelphia, America\Hey, Peter, why the long face?\You're offending the girls.\How can you stand it, Doctor? response:	Stand what?
context: He's the guy from our lesson today!\Mari?\Mari!\The Year 1752 (What is Now) Philadelphia, America\Hey, Peter, why the long face?\You're offending the girls.\How can you stand it, Doctor?\Stand what? response:	The way the church is acting!
context: Mari?\Mari!\The Year 1752 (What is Now) Philadelphia, America\Hey, Peter, why the long face?\You're offending the girls.\How can you stand it, Doctor?\Stand what?\The way the church is acting! response:	Exactly how would installing a lightning rod be an affront to God?
context: Mari!\The Year 1752 (What is Now) Philadelphia, America\Hey, Peter, why the long face?\You're offending the girls.\How can you stand it, Doctor?\Stand what?\The way the church is acting!\Exactly how would installing a lightning rod be an affront to God? response:	The church is the tallest building in town. If they hadn't refused to install it,
context: The Year 1752 (What is Now) Philadelphia, America\Hey, Peter, why the long face?\You're offending the girls.\How can you stand it, Doctor?\Stand what?\The way the church is acting!\Exactly how would installing a lightning rod be an affront to God?\The church is the tallest building in town. If they hadn't refused to install it, response:	we could have avoided some of the damage from the lightning!
context: Hey, Peter, why the long face?\You're offending the girls.\How can you stand it, Doctor?\Stand what?\The way the church is acting!\Exactly how would installing a lightning rod be an affront to God?\The church is the tallest building in town. If they hadn't refused to install it,\we could have avoided some of the damage from the lightning! response:	I guess they just don't trust me.
context: You're offending the girls.\How can you stand it, Doctor?\Stand what?\The way the church is acting!\Exactly how would installing a lightning rod be an affront to God?\The church is the tallest building in town. If they hadn't refused to install it,\we could have avoided some of the damage from the lightning!\I guess they just don't trust me. response:	How can you say that?
context: How can you stand it, Doctor?\Stand what?\The way the church is acting!\Exactly how would installing a lightning rod be an affront to God?\The church is the tallest building in town. If they hadn't refused to install it,\we could have avoided some of the damage from the lightning!\I guess they just don't trust me.\How can you say that? response:	You're a fantastic scientist!
context: Stand what?\The way the church is acting!\Exactly how would installing a lightning rod be an affront to God?\The church is the tallest building in town. If they hadn't refused to install it,\we could have avoided some of the damage from the lightning!\I guess they just don't trust me.\How can you say that?\You're a fantastic scientist! response:	And an amazing statesman, too!
context: The way the church is acting!\Exactly how would installing a lightning rod be an affront to God?\The church is the tallest building in town. If they hadn't refused to install it,\we could have avoided some of the damage from the lightning!\I guess they just don't trust me.\How can you say that?\You're a fantastic scientist!\And an amazing statesman, too! response:	Oh, you flatter me!
context: Exactly how would installing a lightning rod be an affront to God?\The church is the tallest building in town. If they hadn't refused to install it,\we could have avoided some of the damage from the lightning!\I guess they just don't trust me.\How can you say that?\You're a fantastic scientist!\And an amazing statesman, too!\Oh, you flatter me! response:	Look, listen to me!
context: The church is the tallest building in town. If they hadn't refused to install it,\we could have avoided some of the damage from the lightning!\I guess they just don't trust me.\How can you say that?\You're a fantastic scientist!\And an amazing statesman, too!\Oh, you flatter me!\Look, listen to me! response:	That sounded close...
context: we could have avoided some of the damage from the lightning!\I guess they just don't trust me.\How can you say that?\You're a fantastic scientist!\And an amazing statesman, too!\Oh, you flatter me!\Look, listen to me!\That sounded close... response:	Mari?!
context: I guess they just don't trust me.\How can you say that?\You're a fantastic scientist!\And an amazing statesman, too!\Oh, you flatter me!\Look, listen to me!\That sounded close...\Mari?! response:	Brother... look!
context: How can you say that?\You're a fantastic scientist!\And an amazing statesman, too!\Oh, you flatter me!\Look, listen to me!\That sounded close...\Mari?!\Brother... look! response:	Mari?
context: You're a fantastic scientist!\And an amazing statesman, too!\Oh, you flatter me!\Look, listen to me!\That sounded close...\Mari?!\Brother... look!\Mari? response:	What's going on?
context: And an amazing statesman, too!\Oh, you flatter me!\Look, listen to me!\That sounded close...\Mari?!\Brother... look!\Mari?\What's going on? response:	Are you okay?
context: Oh, you flatter me!\Look, listen to me!\That sounded close...\Mari?!\Brother... look!\Mari?\What's going on?\Are you okay? response:	Wh-Who are you?
context: Look, listen to me!\That sounded close...\Mari?!\Brother... look!\Mari?\What's going on?\Are you okay?\Wh-Who are you? response:	Huh? M-Me?
context: That sounded close...\Mari?!\Brother... look!\Mari?\What's going on?\Are you okay?\Wh-Who are you?\Huh? M-Me? response:	I'm John.
context: Mari?!\Brother... look!\Mari?\What's going on?\Are you okay?\Wh-Who are you?\Huh? M-Me?\I'm John. response:	John?
context: Brother... look!\Mari?\What's going on?\Are you okay?\Wh-Who are you?\Huh? M-Me?\I'm John.\John? response:	Um... who are you?
context: Mari?\What's going on?\Are you okay?\Wh-Who are you?\Huh? M-Me?\I'm John.\John?\Um... who are you? response:	I'm Mari.
context: What's going on?\Are you okay?\Wh-Who are you?\Huh? M-Me?\I'm John.\John?\Um... who are you?\I'm Mari. response:	Hey, where am I?
context: Are you okay?\Wh-Who are you?\Huh? M-Me?\I'm John.\John?\Um... who are you?\I'm Mari.\Hey, where am I? response:	Huh? The master's laboratory.
