context: What are you doing there? response:	H- huh? Who are you?
context: What was?\What did you come here for?\Oh, I was hoping to have you train me, Kaio- sama.\Train you!?\Go home now!\Anyone who hears a joke like that and doesn't laugh has a flawed character!\You expect me to train anyone like that!?\That was hilarious! I should have expected as much, Kaio- sama! response:	I ain't ever heard anything so funny!
context: What did you come here for?\Oh, I was hoping to have you train me, Kaio- sama.\Train you!?\Go home now!\Anyone who hears a joke like that and doesn't laugh has a flawed character!\You expect me to train anyone like that!?\That was hilarious! I should have expected as much, Kaio- sama!\I ain't ever heard anything so funny! response:	It was, wasn't it?
context: Oh, I was hoping to have you train me, Kaio- sama.\Train you!?\Go home now!\Anyone who hears a joke like that and doesn't laugh has a flawed character!\You expect me to train anyone like that!?\That was hilarious! I should have expected as much, Kaio- sama!\I ain't ever heard anything so funny!\It was, wasn't it? response:	You were just slow to notice it, that's all.
context: Train you!?\Go home now!\Anyone who hears a joke like that and doesn't laugh has a flawed character!\You expect me to train anyone like that!?\That was hilarious! I should have expected as much, Kaio- sama!\I ain't ever heard anything so funny!\It was, wasn't it?\You were just slow to notice it, that's all. response:	Are you going to train me?
context: Go home now!\Anyone who hears a joke like that and doesn't laugh has a flawed character!\You expect me to train anyone like that!?\That was hilarious! I should have expected as much, Kaio- sama!\I ain't ever heard anything so funny!\It was, wasn't it?\You were just slow to notice it, that's all.\Are you going to train me? response:	Train you, huh? I wouldn't mind doing that.
context: Anyone who hears a joke like that and doesn't laugh has a flawed character!\You expect me to train anyone like that!?\That was hilarious! I should have expected as much, Kaio- sama!\I ain't ever heard anything so funny!\It was, wasn't it?\You were just slow to notice it, that's all.\Are you going to train me?\Train you, huh? I wouldn't mind doing that. response:	Really!?
context: You expect me to train anyone like that!?\That was hilarious! I should have expected as much, Kaio- sama!\I ain't ever heard anything so funny!\It was, wasn't it?\You were just slow to notice it, that's all.\Are you going to train me?\Train you, huh? I wouldn't mind doing that.\Really!? response:	Provided that...
context: That was hilarious! I should have expected as much, Kaio- sama!\I ain't ever heard anything so funny!\It was, wasn't it?\You were just slow to notice it, that's all.\Are you going to train me?\Train you, huh? I wouldn't mind doing that.\Really!?\Provided that... response:	You have to make me, Kaio- sama, the mastermind of gags,
context: I ain't ever heard anything so funny!\It was, wasn't it?\You were just slow to notice it, that's all.\Are you going to train me?\Train you, huh? I wouldn't mind doing that.\Really!?\Provided that...\You have to make me, Kaio- sama, the mastermind of gags, response:	laugh at one of your plays on words.
context: It was, wasn't it?\You were just slow to notice it, that's all.\Are you going to train me?\Train you, huh? I wouldn't mind doing that.\Really!?\Provided that...\You have to make me, Kaio- sama, the mastermind of gags,\laugh at one of your plays on words. response:	I have to make a play on words!?
context: You were just slow to notice it, that's all.\Are you going to train me?\Train you, huh? I wouldn't mind doing that.\Really!?\Provided that...\You have to make me, Kaio- sama, the mastermind of gags,\laugh at one of your plays on words.\I have to make a play on words!? response:	Are you getting cold feet?
context: Are you going to train me?\Train you, huh? I wouldn't mind doing that.\Really!?\Provided that...\You have to make me, Kaio- sama, the mastermind of gags,\laugh at one of your plays on words.\I have to make a play on words!?\Are you getting cold feet? response:	If the pun is not at an adequate enough level, I won't laugh at it.
context: Train you, huh? I wouldn't mind doing that.\Really!?\Provided that...\You have to make me, Kaio- sama, the mastermind of gags,\laugh at one of your plays on words.\I have to make a play on words!?\Are you getting cold feet?\If the pun is not at an adequate enough level, I won't laugh at it. response:	Well, how about it?
context: Really!?\Provided that...\You have to make me, Kaio- sama, the mastermind of gags,\laugh at one of your plays on words.\I have to make a play on words!?\Are you getting cold feet?\If the pun is not at an adequate enough level, I won't laugh at it.\Well, how about it? response:	Apparently, you're not up to it. If that's so, then give up, and go home!
context: Provided that...\You have to make me, Kaio- sama, the mastermind of gags,\laugh at one of your plays on words.\I have to make a play on words!?\Are you getting cold feet?\If the pun is not at an adequate enough level, I won't laugh at it.\Well, how about it?\Apparently, you're not up to it. If that's so, then give up, and go home! response:	M- my futon...
context: You have to make me, Kaio- sama, the mastermind of gags,\laugh at one of your plays on words.\I have to make a play on words!?\Are you getting cold feet?\If the pun is not at an adequate enough level, I won't laugh at it.\Well, how about it?\Apparently, you're not up to it. If that's so, then give up, and go home!\M- my futon... response:	flew away, gone!
context: laugh at one of your plays on words.\I have to make a play on words!?\Are you getting cold feet?\If the pun is not at an adequate enough level, I won't laugh at it.\Well, how about it?\Apparently, you're not up to it. If that's so, then give up, and go home!\M- my futon...\flew away, gone! response:	Your futon... flew away gone!?
context: I have to make a play on words!?\Are you getting cold feet?\If the pun is not at an adequate enough level, I won't laugh at it.\Well, how about it?\Apparently, you're not up to it. If that's so, then give up, and go home!\M- my futon...\flew away, gone!\Your futon... flew away gone!? response:	Just a little more!
context: Are you getting cold feet?\If the pun is not at an adequate enough level, I won't laugh at it.\Well, how about it?\Apparently, you're not up to it. If that's so, then give up, and go home!\M- my futon...\flew away, gone!\Your futon... flew away gone!?\Just a little more! response:	My feline...
context: If the pun is not at an adequate enough level, I won't laugh at it.\Well, how about it?\Apparently, you're not up to it. If that's so, then give up, and go home!\M- my futon...\flew away, gone!\Your futon... flew away gone!?\Just a little more!\My feline... response:	My stylus is sightless!
context: Well, how about it?\Apparently, you're not up to it. If that's so, then give up, and go home!\M- my futon...\flew away, gone!\Your futon... flew away gone!?\Just a little more!\My feline...\My stylus is sightless! response:	Ah, you laughed! Kaio- sama, you laughed!
context: Apparently, you're not up to it. If that's so, then give up, and go home!\M- my futon...\flew away, gone!\Your futon... flew away gone!?\Just a little more!\My feline...\My stylus is sightless!\Ah, you laughed! Kaio- sama, you laughed! response:	My futon flew away, gone!
context: M- my futon...\flew away, gone!\Your futon... flew away gone!?\Just a little more!\My feline...\My stylus is sightless!\Ah, you laughed! Kaio- sama, you laughed!\My futon flew away, gone! response:	You're no slouch at this, huh? You're a pro, aren't you?
context: flew away, gone!\Your futon... flew away gone!?\Just a little more!\My feline...\My stylus is sightless!\Ah, you laughed! Kaio- sama, you laughed!\My futon flew away, gone!\You're no slouch at this, huh? You're a pro, aren't you? response:	Very well, I will give you my training. I will teach you...
context: Your futon... flew away gone!?\Just a little more!\My feline...\My stylus is sightless!\Ah, you laughed! Kaio- sama, you laughed!\My futon flew away, gone!\You're no slouch at this, huh? You're a pro, aren't you?\Very well, I will give you my training. I will teach you... response:	N- never mind the gags, teach me martial arts.
context: Just a little more!\My feline...\My stylus is sightless!\Ah, you laughed! Kaio- sama, you laughed!\My futon flew away, gone!\You're no slouch at this, huh? You're a pro, aren't you?\Very well, I will give you my training. I will teach you...\N- never mind the gags, teach me martial arts. response:	What, you want to learn martial arts? Why didn't you say so sooner?
context: My feline...\My stylus is sightless!\Ah, you laughed! Kaio- sama, you laughed!\My futon flew away, gone!\You're no slouch at this, huh? You're a pro, aren't you?\Very well, I will give you my training. I will teach you...\N- never mind the gags, teach me martial arts.\What, you want to learn martial arts? Why didn't you say so sooner? response:	All right, come at me! I want to see what kind of skill you possess.
context: My stylus is sightless!\Ah, you laughed! Kaio- sama, you laughed!\My futon flew away, gone!\You're no slouch at this, huh? You're a pro, aren't you?\Very well, I will give you my training. I will teach you...\N- never mind the gags, teach me martial arts.\What, you want to learn martial arts? Why didn't you say so sooner?\All right, come at me! I want to see what kind of skill you possess. response:	What's the matter!?
context: Ah, you laughed! Kaio- sama, you laughed!\My futon flew away, gone!\You're no slouch at this, huh? You're a pro, aren't you?\Very well, I will give you my training. I will teach you...\N- never mind the gags, teach me martial arts.\What, you want to learn martial arts? Why didn't you say so sooner?\All right, come at me! I want to see what kind of skill you possess.\What's the matter!? response:	It's just that there's something strange going on.
context: My futon flew away, gone!\You're no slouch at this, huh? You're a pro, aren't you?\Very well, I will give you my training. I will teach you...\N- never mind the gags, teach me martial arts.\What, you want to learn martial arts? Why didn't you say so sooner?\All right, come at me! I want to see what kind of skill you possess.\What's the matter!?\It's just that there's something strange going on. response:	It's awfully hard to move, and my body feels so heavy.
context: You're no slouch at this, huh? You're a pro, aren't you?\Very well, I will give you my training. I will teach you...\N- never mind the gags, teach me martial arts.\What, you want to learn martial arts? Why didn't you say so sooner?\All right, come at me! I want to see what kind of skill you possess.\What's the matter!?\It's just that there's something strange going on.\It's awfully hard to move, and my body feels so heavy. response:	Where did you come from, Earth?
context: Very well, I will give you my training. I will teach you...\N- never mind the gags, teach me martial arts.\What, you want to learn martial arts? Why didn't you say so sooner?\All right, come at me! I want to see what kind of skill you possess.\What's the matter!?\It's just that there's something strange going on.\It's awfully hard to move, and my body feels so heavy.\Where did you come from, Earth? response:	Then it would be heavy here, huh?
context: N- never mind the gags, teach me martial arts.\What, you want to learn martial arts? Why didn't you say so sooner?\All right, come at me! I want to see what kind of skill you possess.\What's the matter!?\It's just that there's something strange going on.\It's awfully hard to move, and my body feels so heavy.\Where did you come from, Earth?\Then it would be heavy here, huh? response:	This is a small planet, but it has incredible gravity, see?
context: What, you want to learn martial arts? Why didn't you say so sooner?\All right, come at me! I want to see what kind of skill you possess.\What's the matter!?\It's just that there's something strange going on.\It's awfully hard to move, and my body feels so heavy.\Where did you come from, Earth?\Then it would be heavy here, huh?\This is a small planet, but it has incredible gravity, see? response:	I'll bet it's about ten times what it is on your planet.
context: All right, come at me! I want to see what kind of skill you possess.\What's the matter!?\It's just that there's something strange going on.\It's awfully hard to move, and my body feels so heavy.\Where did you come from, Earth?\Then it would be heavy here, huh?\This is a small planet, but it has incredible gravity, see?\I'll bet it's about ten times what it is on your planet. response:	That means your own weight is ten times greater.
context: What's the matter!?\It's just that there's something strange going on.\It's awfully hard to move, and my body feels so heavy.\Where did you come from, Earth?\Then it would be heavy here, huh?\This is a small planet, but it has incredible gravity, see?\I'll bet it's about ten times what it is on your planet.\That means your own weight is ten times greater. response:	See how high you can jump. As hard as you can.
context: It's just that there's something strange going on.\It's awfully hard to move, and my body feels so heavy.\Where did you come from, Earth?\Then it would be heavy here, huh?\This is a small planet, but it has incredible gravity, see?\I'll bet it's about ten times what it is on your planet.\That means your own weight is ten times greater.\See how high you can jump. As hard as you can. response:	O- okay...
context: It's awfully hard to move, and my body feels so heavy.\Where did you come from, Earth?\Then it would be heavy here, huh?\This is a small planet, but it has incredible gravity, see?\I'll bet it's about ten times what it is on your planet.\That means your own weight is ten times greater.\See how high you can jump. As hard as you can.\O- okay... response:	It's no use! That little bit is as high as I can go!
context: Where did you come from, Earth?\Then it would be heavy here, huh?\This is a small planet, but it has incredible gravity, see?\I'll bet it's about ten times what it is on your planet.\That means your own weight is ten times greater.\See how high you can jump. As hard as you can.\O- okay...\It's no use! That little bit is as high as I can go! response:	lf he can jump that high in ten times his normal gravity...
context: Then it would be heavy here, huh?\This is a small planet, but it has incredible gravity, see?\I'll bet it's about ten times what it is on your planet.\That means your own weight is ten times greater.\See how high you can jump. As hard as you can.\O- okay...\It's no use! That little bit is as high as I can go!\lf he can jump that high in ten times his normal gravity... response:	This guy here has a lot of promise!
context: This is a small planet, but it has incredible gravity, see?\I'll bet it's about ten times what it is on your planet.\That means your own weight is ten times greater.\See how high you can jump. As hard as you can.\O- okay...\It's no use! That little bit is as high as I can go!\lf he can jump that high in ten times his normal gravity...\This guy here has a lot of promise! response:	Okay then, we will start your training.
context: I'll bet it's about ten times what it is on your planet.\That means your own weight is ten times greater.\See how high you can jump. As hard as you can.\O- okay...\It's no use! That little bit is as high as I can go!\lf he can jump that high in ten times his normal gravity...\This guy here has a lot of promise!\Okay then, we will start your training. response:	How much time do you plan to spend with me?
context: That means your own weight is ten times greater.\See how high you can jump. As hard as you can.\O- okay...\It's no use! That little bit is as high as I can go!\lf he can jump that high in ten times his normal gravity...\This guy here has a lot of promise!\Okay then, we will start your training.\How much time do you plan to spend with me? response:	I ain't sure how many days it took for me to run down the Serpentine Road...
context: See how high you can jump. As hard as you can.\O- okay...\It's no use! That little bit is as high as I can go!\lf he can jump that high in ten times his normal gravity...\This guy here has a lot of promise!\Okay then, we will start your training.\How much time do you plan to spend with me?\I ain't sure how many days it took for me to run down the Serpentine Road... response:	But I don't think I have much time.
context: O- okay...\It's no use! That little bit is as high as I can go!\lf he can jump that high in ten times his normal gravity...\This guy here has a lot of promise!\Okay then, we will start your training.\How much time do you plan to spend with me?\I ain't sure how many days it took for me to run down the Serpentine Road...\But I don't think I have much time. response:	I'm told that there are these Saiyan guys who are coming to our
context: It's no use! That little bit is as high as I can go!\lf he can jump that high in ten times his normal gravity...\This guy here has a lot of promise!\Okay then, we will start your training.\How much time do you plan to spend with me?\I ain't sure how many days it took for me to run down the Serpentine Road...\But I don't think I have much time.\I'm told that there are these Saiyan guys who are coming to our response:	planet to do some awful stuff.
context: lf he can jump that high in ten times his normal gravity...\This guy here has a lot of promise!\Okay then, we will start your training.\How much time do you plan to spend with me?\I ain't sure how many days it took for me to run down the Serpentine Road...\But I don't think I have much time.\I'm told that there are these Saiyan guys who are coming to our\planet to do some awful stuff. response:	So I'd like for you to train me until that time, however short it is!
context: This guy here has a lot of promise!\Okay then, we will start your training.\How much time do you plan to spend with me?\I ain't sure how many days it took for me to run down the Serpentine Road...\But I don't think I have much time.\I'm told that there are these Saiyan guys who are coming to our\planet to do some awful stuff.\So I'd like for you to train me until that time, however short it is! response:	Saiyans, huh?
context: Okay then, we will start your training.\How much time do you plan to spend with me?\I ain't sure how many days it took for me to run down the Serpentine Road...\But I don't think I have much time.\I'm told that there are these Saiyan guys who are coming to our\planet to do some awful stuff.\So I'd like for you to train me until that time, however short it is!\Saiyans, huh? response:	You've had some nasty folks set their sights on you, all right. Well then...
context: How much time do you plan to spend with me?\I ain't sure how many days it took for me to run down the Serpentine Road...\But I don't think I have much time.\I'm told that there are these Saiyan guys who are coming to our\planet to do some awful stuff.\So I'd like for you to train me until that time, however short it is!\Saiyans, huh?\You've had some nasty folks set their sights on you, all right. Well then... response:	I'll check into when these Saiyans are going to reach Earth for you.
context: I ain't sure how many days it took for me to run down the Serpentine Road...\But I don't think I have much time.\I'm told that there are these Saiyan guys who are coming to our\planet to do some awful stuff.\So I'd like for you to train me until that time, however short it is!\Saiyans, huh?\You've had some nasty folks set their sights on you, all right. Well then...\I'll check into when these Saiyans are going to reach Earth for you. response:	The Saiyans are flying that way, all right.
context: But I don't think I have much time.\I'm told that there are these Saiyan guys who are coming to our\planet to do some awful stuff.\So I'd like for you to train me until that time, however short it is!\Saiyans, huh?\You've had some nasty folks set their sights on you, all right. Well then...\I'll check into when these Saiyans are going to reach Earth for you.\The Saiyans are flying that way, all right. response:	They will arrive on Earth in... let's see... about 158 days, I'd say.
context: I'm told that there are these Saiyan guys who are coming to our\planet to do some awful stuff.\So I'd like for you to train me until that time, however short it is!\Saiyans, huh?\You've had some nasty folks set their sights on you, all right. Well then...\I'll check into when these Saiyans are going to reach Earth for you.\The Saiyans are flying that way, all right.\They will arrive on Earth in... let's see... about 158 days, I'd say. response:	Awesome! You can tell that!?
context: planet to do some awful stuff.\So I'd like for you to train me until that time, however short it is!\Saiyans, huh?\You've had some nasty folks set their sights on you, all right. Well then...\I'll check into when these Saiyans are going to reach Earth for you.\The Saiyans are flying that way, all right.\They will arrive on Earth in... let's see... about 158 days, I'd say.\Awesome! You can tell that!? response:	Yeah, these handy antenna are reliable, an' tenna some!
context: So I'd like for you to train me until that time, however short it is!\Saiyans, huh?\You've had some nasty folks set their sights on you, all right. Well then...\I'll check into when these Saiyans are going to reach Earth for you.\The Saiyans are flying that way, all right.\They will arrive on Earth in... let's see... about 158 days, I'd say.\Awesome! You can tell that!?\Yeah, these handy antenna are reliable, an' tenna some! response:	That was great!
context: Saiyans, huh?\You've had some nasty folks set their sights on you, all right. Well then...\I'll check into when these Saiyans are going to reach Earth for you.\The Saiyans are flying that way, all right.\They will arrive on Earth in... let's see... about 158 days, I'd say.\Awesome! You can tell that!?\Yeah, these handy antenna are reliable, an' tenna some!\That was great! response:	Maybe I should give up training you.
context: You've had some nasty folks set their sights on you, all right. Well then...\I'll check into when these Saiyans are going to reach Earth for you.\The Saiyans are flying that way, all right.\They will arrive on Earth in... let's see... about 158 days, I'd say.\Awesome! You can tell that!?\Yeah, these handy antenna are reliable, an' tenna some!\That was great!\Maybe I should give up training you. response:	That was great! That was great! That was great!
context: I'll check into when these Saiyans are going to reach Earth for you.\The Saiyans are flying that way, all right.\They will arrive on Earth in... let's see... about 158 days, I'd say.\Awesome! You can tell that!?\Yeah, these handy antenna are reliable, an' tenna some!\That was great!\Maybe I should give up training you.\That was great! That was great! That was great! response:	Wasn't it?
context: The Saiyans are flying that way, all right.\They will arrive on Earth in... let's see... about 158 days, I'd say.\Awesome! You can tell that!?\Yeah, these handy antenna are reliable, an' tenna some!\That was great!\Maybe I should give up training you.\That was great! That was great! That was great!\Wasn't it? response:	Still, there's only 158 days until the Saiyans arrive, huh?
context: They will arrive on Earth in... let's see... about 158 days, I'd say.\Awesome! You can tell that!?\Yeah, these handy antenna are reliable, an' tenna some!\That was great!\Maybe I should give up training you.\That was great! That was great! That was great!\Wasn't it?\Still, there's only 158 days until the Saiyans arrive, huh? response:	Hey, 158 days will be plenty.
context: Awesome! You can tell that!?\Yeah, these handy antenna are reliable, an' tenna some!\That was great!\Maybe I should give up training you.\That was great! That was great! That was great!\Wasn't it?\Still, there's only 158 days until the Saiyans arrive, huh?\Hey, 158 days will be plenty. response:	Me training you on this planet for 158 days will have the same value
context: Yeah, these handy antenna are reliable, an' tenna some!\That was great!\Maybe I should give up training you.\That was great! That was great! That was great!\Wasn't it?\Still, there's only 158 days until the Saiyans arrive, huh?\Hey, 158 days will be plenty.\Me training you on this planet for 158 days will have the same value response:	as if you trained for a thousand years on Earth.
context: That was great!\Maybe I should give up training you.\That was great! That was great! That was great!\Wasn't it?\Still, there's only 158 days until the Saiyans arrive, huh?\Hey, 158 days will be plenty.\Me training you on this planet for 158 days will have the same value\as if you trained for a thousand years on Earth. response:	Really!?
context: Maybe I should give up training you.\That was great! That was great! That was great!\Wasn't it?\Still, there's only 158 days until the Saiyans arrive, huh?\Hey, 158 days will be plenty.\Me training you on this planet for 158 days will have the same value\as if you trained for a thousand years on Earth.\Really!? response:	However...
context: That was great! That was great! That was great!\Wasn't it?\Still, there's only 158 days until the Saiyans arrive, huh?\Hey, 158 days will be plenty.\Me training you on this planet for 158 days will have the same value\as if you trained for a thousand years on Earth.\Really!?\However... response:	Even if you do train with me,
context: Wasn't it?\Still, there's only 158 days until the Saiyans arrive, huh?\Hey, 158 days will be plenty.\Me training you on this planet for 158 days will have the same value\as if you trained for a thousand years on Earth.\Really!?\However...\Even if you do train with me, response:	there's no guarantee that you will be able to beat the Saiyans.
context: Still, there's only 158 days until the Saiyans arrive, huh?\Hey, 158 days will be plenty.\Me training you on this planet for 158 days will have the same value\as if you trained for a thousand years on Earth.\Really!?\However...\Even if you do train with me,\there's no guarantee that you will be able to beat the Saiyans. response:	The two Saiyans that are headed for Earth have just that much awesome power.
context: Hey, 158 days will be plenty.\Me training you on this planet for 158 days will have the same value\as if you trained for a thousand years on Earth.\Really!?\However...\Even if you do train with me,\there's no guarantee that you will be able to beat the Saiyans.\The two Saiyans that are headed for Earth have just that much awesome power. response:	To be honest with you, their strength is even greater than my own.
context: Me training you on this planet for 158 days will have the same value\as if you trained for a thousand years on Earth.\Really!?\However...\Even if you do train with me,\there's no guarantee that you will be able to beat the Saiyans.\The two Saiyans that are headed for Earth have just that much awesome power.\To be honest with you, their strength is even greater than my own. response:	Even greater than yours, Kaio- sama!?
context: as if you trained for a thousand years on Earth.\Really!?\However...\Even if you do train with me,\there's no guarantee that you will be able to beat the Saiyans.\The two Saiyans that are headed for Earth have just that much awesome power.\To be honest with you, their strength is even greater than my own.\Even greater than yours, Kaio- sama!? response:	That's right.
context: Really!?\However...\Even if you do train with me,\there's no guarantee that you will be able to beat the Saiyans.\The two Saiyans that are headed for Earth have just that much awesome power.\To be honest with you, their strength is even greater than my own.\Even greater than yours, Kaio- sama!?\That's right. response:	Which means that if you cannot at least surpass me,
context: However...\Even if you do train with me,\there's no guarantee that you will be able to beat the Saiyans.\The two Saiyans that are headed for Earth have just that much awesome power.\To be honest with you, their strength is even greater than my own.\Even greater than yours, Kaio- sama!?\That's right.\Which means that if you cannot at least surpass me, response:	it will be impossible for you to beat the Saiyans.
context: Even if you do train with me,\there's no guarantee that you will be able to beat the Saiyans.\The two Saiyans that are headed for Earth have just that much awesome power.\To be honest with you, their strength is even greater than my own.\Even greater than yours, Kaio- sama!?\That's right.\Which means that if you cannot at least surpass me,\it will be impossible for you to beat the Saiyans. response:	Okay then, how about we get started right away?
context: there's no guarantee that you will be able to beat the Saiyans.\The two Saiyans that are headed for Earth have just that much awesome power.\To be honest with you, their strength is even greater than my own.\Even greater than yours, Kaio- sama!?\That's right.\Which means that if you cannot at least surpass me,\it will be impossible for you to beat the Saiyans.\Okay then, how about we get started right away? response:	Hey! Bubbles- kun!
context: The two Saiyans that are headed for Earth have just that much awesome power.\To be honest with you, their strength is even greater than my own.\Even greater than yours, Kaio- sama!?\That's right.\Which means that if you cannot at least surpass me,\it will be impossible for you to beat the Saiyans.\Okay then, how about we get started right away?\Hey! Bubbles- kun! response:	First off...
context: To be honest with you, their strength is even greater than my own.\Even greater than yours, Kaio- sama!?\That's right.\Which means that if you cannot at least surpass me,\it will be impossible for you to beat the Saiyans.\Okay then, how about we get started right away?\Hey! Bubbles- kun!\First off... response:	For the time being, until you can move fast enough to do that,
context: Even greater than yours, Kaio- sama!?\That's right.\Which means that if you cannot at least surpass me,\it will be impossible for you to beat the Saiyans.\Okay then, how about we get started right away?\Hey! Bubbles- kun!\First off...\For the time being, until you can move fast enough to do that, response:	nothing else will matter.
context: That's right.\Which means that if you cannot at least surpass me,\it will be impossible for you to beat the Saiyans.\Okay then, how about we get started right away?\Hey! Bubbles- kun!\First off...\For the time being, until you can move fast enough to do that,\nothing else will matter. response:	A- all right...
