context: White Storm (Part Two) response:	I wonder why?
context: Not at all. I'm glad the match is in my town.\My kimono hobby was finally of use to someone.\I'm honored that Meijin Souya is wearing one of them.\That'll be a family heirloom now.\It's strange.\He's supposed to be like a character who's always been in a book.\But now, he's sitting before me.\He's breathing and moving. response:	And he's going to play against me.
context: My kimono hobby was finally of use to someone.\I'm honored that Meijin Souya is wearing one of them.\That'll be a family heirloom now.\It's strange.\He's supposed to be like a character who's always been in a book.\But now, he's sitting before me.\He's breathing and moving.\And he's going to play against me. response:	Get it together.
context: I'm honored that Meijin Souya is wearing one of them.\That'll be a family heirloom now.\It's strange.\He's supposed to be like a character who's always been in a book.\But now, he's sitting before me.\He's breathing and moving.\And he's going to play against me.\Get it together. response:	Didn't you say it yourself last night?
context: That'll be a family heirloom now.\It's strange.\He's supposed to be like a character who's always been in a book.\But now, he's sitting before me.\He's breathing and moving.\And he's going to play against me.\Get it together.\Didn't you say it yourself last night? response:	I want to concentrate as I play so the match isn't over as soon as it's begun.
context: It's strange.\He's supposed to be like a character who's always been in a book.\But now, he's sitting before me.\He's breathing and moving.\And he's going to play against me.\Get it together.\Didn't you say it yourself last night?\I want to concentrate as I play so the match isn't over as soon as it's begun. response:	Right now, I have to cross paths with this person.
context: He's supposed to be like a character who's always been in a book.\But now, he's sitting before me.\He's breathing and moving.\And he's going to play against me.\Get it together.\Didn't you say it yourself last night?\I want to concentrate as I play so the match isn't over as soon as it's begun.\Right now, I have to cross paths with this person. response:	I'm well aware of the gap in our abilities.
context: But now, he's sitting before me.\He's breathing and moving.\And he's going to play against me.\Get it together.\Didn't you say it yourself last night?\I want to concentrate as I play so the match isn't over as soon as it's begun.\Right now, I have to cross paths with this person.\I'm well aware of the gap in our abilities. response:	But if I jump into this with anything other than the intention of winning,
context: He's breathing and moving.\And he's going to play against me.\Get it together.\Didn't you say it yourself last night?\I want to concentrate as I play so the match isn't over as soon as it's begun.\Right now, I have to cross paths with this person.\I'm well aware of the gap in our abilities.\But if I jump into this with anything other than the intention of winning, response:	my head will get blown off in an instant.
context: And he's going to play against me.\Get it together.\Didn't you say it yourself last night?\I want to concentrate as I play so the match isn't over as soon as it's begun.\Right now, I have to cross paths with this person.\I'm well aware of the gap in our abilities.\But if I jump into this with anything other than the intention of winning,\my head will get blown off in an instant. response:	Let's have a good game.
context: Get it together.\Didn't you say it yourself last night?\I want to concentrate as I play so the match isn't over as soon as it's begun.\Right now, I have to cross paths with this person.\I'm well aware of the gap in our abilities.\But if I jump into this with anything other than the intention of winning,\my head will get blown off in an instant.\Let's have a good game. response:	Double Fortress, huh?
context: Didn't you say it yourself last night?\I want to concentrate as I play so the match isn't over as soon as it's begun.\Right now, I have to cross paths with this person.\I'm well aware of the gap in our abilities.\But if I jump into this with anything other than the intention of winning,\my head will get blown off in an instant.\Let's have a good game.\Double Fortress, huh? response:	It's their first game together, after all.
context: I want to concentrate as I play so the match isn't over as soon as it's begun.\Right now, I have to cross paths with this person.\I'm well aware of the gap in our abilities.\But if I jump into this with anything other than the intention of winning,\my head will get blown off in an instant.\Let's have a good game.\Double Fortress, huh?\It's their first game together, after all. response:	Well, I suppose they both want to get to know each other.
context: Right now, I have to cross paths with this person.\I'm well aware of the gap in our abilities.\But if I jump into this with anything other than the intention of winning,\my head will get blown off in an instant.\Let's have a good game.\Double Fortress, huh?\It's their first game together, after all.\Well, I suppose they both want to get to know each other. response:	Maybe it just happened naturally during the course of play.
context: I'm well aware of the gap in our abilities.\But if I jump into this with anything other than the intention of winning,\my head will get blown off in an instant.\Let's have a good game.\Double Fortress, huh?\It's their first game together, after all.\Well, I suppose they both want to get to know each other.\Maybe it just happened naturally during the course of play. response:	Souya moved Silver to 2-8.
context: But if I jump into this with anything other than the intention of winning,\my head will get blown off in an instant.\Let's have a good game.\Double Fortress, huh?\It's their first game together, after all.\Well, I suppose they both want to get to know each other.\Maybe it just happened naturally during the course of play.\Souya moved Silver to 2-8. response:	Silver to 2-8?
context: my head will get blown off in an instant.\Let's have a good game.\Double Fortress, huh?\It's their first game together, after all.\Well, I suppose they both want to get to know each other.\Maybe it just happened naturally during the course of play.\Souya moved Silver to 2-8.\Silver to 2-8? response:	It's a question.
context: Let's have a good game.\Double Fortress, huh?\It's their first game together, after all.\Well, I suppose they both want to get to know each other.\Maybe it just happened naturally during the course of play.\Souya moved Silver to 2-8.\Silver to 2-8?\It's a question. response:	Souya is asking, Hello. Who are you?
context: Double Fortress, huh?\It's their first game together, after all.\Well, I suppose they both want to get to know each other.\Maybe it just happened naturally during the course of play.\Souya moved Silver to 2-8.\Silver to 2-8?\It's a question.\Souya is asking, Hello. Who are you? response:	Silver to 2-8.
context: It's their first game together, after all.\Well, I suppose they both want to get to know each other.\Maybe it just happened naturally during the course of play.\Souya moved Silver to 2-8.\Silver to 2-8?\It's a question.\Souya is asking, Hello. Who are you?\Silver to 2-8. response:	I haven't seen that move before. Is he testing me?
context: Well, I suppose they both want to get to know each other.\Maybe it just happened naturally during the course of play.\Souya moved Silver to 2-8.\Silver to 2-8?\It's a question.\Souya is asking, Hello. Who are you?\Silver to 2-8.\I haven't seen that move before. Is he testing me? response:	That means...
context: Maybe it just happened naturally during the course of play.\Souya moved Silver to 2-8.\Silver to 2-8?\It's a question.\Souya is asking, Hello. Who are you?\Silver to 2-8.\I haven't seen that move before. Is he testing me?\That means... response:	Rook to 3-8.
context: Souya moved Silver to 2-8.\Silver to 2-8?\It's a question.\Souya is asking, Hello. Who are you?\Silver to 2-8.\I haven't seen that move before. Is he testing me?\That means...\Rook to 3-8. response:	Silver to 1-9, promoted.
context: Silver to 2-8?\It's a question.\Souya is asking, Hello. Who are you?\Silver to 2-8.\I haven't seen that move before. Is he testing me?\That means...\Rook to 3-8.\Silver to 1-9, promoted. response:	Right Silver to 5-7.
context: It's a question.\Souya is asking, Hello. Who are you?\Silver to 2-8.\I haven't seen that move before. Is he testing me?\That means...\Rook to 3-8.\Silver to 1-9, promoted.\Right Silver to 5-7. response:	And Lance to 8-3.
context: Souya is asking, Hello. Who are you?\Silver to 2-8.\I haven't seen that move before. Is he testing me?\That means...\Rook to 3-8.\Silver to 1-9, promoted.\Right Silver to 5-7.\And Lance to 8-3. response:	Certainly it's a threat, but it's too straightforward.
context: Silver to 2-8.\I haven't seen that move before. Is he testing me?\That means...\Rook to 3-8.\Silver to 1-9, promoted.\Right Silver to 5-7.\And Lance to 8-3.\Certainly it's a threat, but it's too straightforward. response:	It's no problem as long as I avoid a direct attack.
context: I haven't seen that move before. Is he testing me?\That means...\Rook to 3-8.\Silver to 1-9, promoted.\Right Silver to 5-7.\And Lance to 8-3.\Certainly it's a threat, but it's too straightforward.\It's no problem as long as I avoid a direct attack. response:	In fact, I should be moving my pieces into a close formation.
context: That means...\Rook to 3-8.\Silver to 1-9, promoted.\Right Silver to 5-7.\And Lance to 8-3.\Certainly it's a threat, but it's too straightforward.\It's no problem as long as I avoid a direct attack.\In fact, I should be moving my pieces into a close formation. response:	That...
context: Rook to 3-8.\Silver to 1-9, promoted.\Right Silver to 5-7.\And Lance to 8-3.\Certainly it's a threat, but it's too straightforward.\It's no problem as long as I avoid a direct attack.\In fact, I should be moving my pieces into a close formation.\That... response:	Head of the Bishop.
context: Silver to 1-9, promoted.\Right Silver to 5-7.\And Lance to 8-3.\Certainly it's a threat, but it's too straightforward.\It's no problem as long as I avoid a direct attack.\In fact, I should be moving my pieces into a close formation.\That...\Head of the Bishop. response:	Still, Kiriyama is putting up a good fight.
context: Right Silver to 5-7.\And Lance to 8-3.\Certainly it's a threat, but it's too straightforward.\It's no problem as long as I avoid a direct attack.\In fact, I should be moving my pieces into a close formation.\That...\Head of the Bishop.\Still, Kiriyama is putting up a good fight. response:	As expected from the next professional from middle school after Souya.
context: And Lance to 8-3.\Certainly it's a threat, but it's too straightforward.\It's no problem as long as I avoid a direct attack.\In fact, I should be moving my pieces into a close formation.\That...\Head of the Bishop.\Still, Kiriyama is putting up a good fight.\As expected from the next professional from middle school after Souya. response:	Actually, at this stage, it looks like Kiriyama has the upper hand.
context: Certainly it's a threat, but it's too straightforward.\It's no problem as long as I avoid a direct attack.\In fact, I should be moving my pieces into a close formation.\That...\Head of the Bishop.\Still, Kiriyama is putting up a good fight.\As expected from the next professional from middle school after Souya.\Actually, at this stage, it looks like Kiriyama has the upper hand. response:	But if a newcomer 5th-Dan has the upper hand from the current Meijin,
context: It's no problem as long as I avoid a direct attack.\In fact, I should be moving my pieces into a close formation.\That...\Head of the Bishop.\Still, Kiriyama is putting up a good fight.\As expected from the next professional from middle school after Souya.\Actually, at this stage, it looks like Kiriyama has the upper hand.\But if a newcomer 5th-Dan has the upper hand from the current Meijin, response:	during the middle stage of the game,
context: In fact, I should be moving my pieces into a close formation.\That...\Head of the Bishop.\Still, Kiriyama is putting up a good fight.\As expected from the next professional from middle school after Souya.\Actually, at this stage, it looks like Kiriyama has the upper hand.\But if a newcomer 5th-Dan has the upper hand from the current Meijin,\during the middle stage of the game, response:	then, if it were a drama, that's the signal the newbie's going to lose.
context: That...\Head of the Bishop.\Still, Kiriyama is putting up a good fight.\As expected from the next professional from middle school after Souya.\Actually, at this stage, it looks like Kiriyama has the upper hand.\But if a newcomer 5th-Dan has the upper hand from the current Meijin,\during the middle stage of the game,\then, if it were a drama, that's the signal the newbie's going to lose. response:	Getting a discussion going shows how well he's doing.
context: Head of the Bishop.\Still, Kiriyama is putting up a good fight.\As expected from the next professional from middle school after Souya.\Actually, at this stage, it looks like Kiriyama has the upper hand.\But if a newcomer 5th-Dan has the upper hand from the current Meijin,\during the middle stage of the game,\then, if it were a drama, that's the signal the newbie's going to lose.\Getting a discussion going shows how well he's doing. response:	That alone shows the child has something going.
context: Still, Kiriyama is putting up a good fight.\As expected from the next professional from middle school after Souya.\Actually, at this stage, it looks like Kiriyama has the upper hand.\But if a newcomer 5th-Dan has the upper hand from the current Meijin,\during the middle stage of the game,\then, if it were a drama, that's the signal the newbie's going to lose.\Getting a discussion going shows how well he's doing.\That alone shows the child has something going. response:	That's right.
context: As expected from the next professional from middle school after Souya.\Actually, at this stage, it looks like Kiriyama has the upper hand.\But if a newcomer 5th-Dan has the upper hand from the current Meijin,\during the middle stage of the game,\then, if it were a drama, that's the signal the newbie's going to lose.\Getting a discussion going shows how well he's doing.\That alone shows the child has something going.\That's right. response:	Pawn to 5-5.
context: Actually, at this stage, it looks like Kiriyama has the upper hand.\But if a newcomer 5th-Dan has the upper hand from the current Meijin,\during the middle stage of the game,\then, if it were a drama, that's the signal the newbie's going to lose.\Getting a discussion going shows how well he's doing.\That alone shows the child has something going.\That's right.\Pawn to 5-5. response:	Left Silver, same.
context: But if a newcomer 5th-Dan has the upper hand from the current Meijin,\during the middle stage of the game,\then, if it were a drama, that's the signal the newbie's going to lose.\Getting a discussion going shows how well he's doing.\That alone shows the child has something going.\That's right.\Pawn to 5-5.\Left Silver, same. response:	Pawn to 7-5.
context: during the middle stage of the game,\then, if it were a drama, that's the signal the newbie's going to lose.\Getting a discussion going shows how well he's doing.\That alone shows the child has something going.\That's right.\Pawn to 5-5.\Left Silver, same.\Pawn to 7-5. response:	And then I aim for his head Bishop...
context: then, if it were a drama, that's the signal the newbie's going to lose.\Getting a discussion going shows how well he's doing.\That alone shows the child has something going.\That's right.\Pawn to 5-5.\Left Silver, same.\Pawn to 7-5.\And then I aim for his head Bishop... response:	Pawn to 7-4.
context: Getting a discussion going shows how well he's doing.\That alone shows the child has something going.\That's right.\Pawn to 5-5.\Left Silver, same.\Pawn to 7-5.\And then I aim for his head Bishop...\Pawn to 7-4. response:	Why did I feel a faint shooting pain in my fingertips when I let go of the piece?
context: That alone shows the child has something going.\That's right.\Pawn to 5-5.\Left Silver, same.\Pawn to 7-5.\And then I aim for his head Bishop...\Pawn to 7-4.\Why did I feel a faint shooting pain in my fingertips when I let go of the piece? response:	Pawn to 7-4.
context: That's right.\Pawn to 5-5.\Left Silver, same.\Pawn to 7-5.\And then I aim for his head Bishop...\Pawn to 7-4.\Why did I feel a faint shooting pain in my fingertips when I let go of the piece?\Pawn to 7-4. response:	No... What the hell am I doing?
context: Pawn to 5-5.\Left Silver, same.\Pawn to 7-5.\And then I aim for his head Bishop...\Pawn to 7-4.\Why did I feel a faint shooting pain in my fingertips when I let go of the piece?\Pawn to 7-4.\No... What the hell am I doing? response:	Why didn't I realize? There was Pawn to 8-6!
context: Left Silver, same.\Pawn to 7-5.\And then I aim for his head Bishop...\Pawn to 7-4.\Why did I feel a faint shooting pain in my fingertips when I let go of the piece?\Pawn to 7-4.\No... What the hell am I doing?\Why didn't I realize? There was Pawn to 8-6! response:	If he gets me for Pawn to 8-6, it's all over!
context: Pawn to 7-5.\And then I aim for his head Bishop...\Pawn to 7-4.\Why did I feel a faint shooting pain in my fingertips when I let go of the piece?\Pawn to 7-4.\No... What the hell am I doing?\Why didn't I realize? There was Pawn to 8-6!\If he gets me for Pawn to 8-6, it's all over! response:	Pawn to 8-6.
context: And then I aim for his head Bishop...\Pawn to 7-4.\Why did I feel a faint shooting pain in my fingertips when I let go of the piece?\Pawn to 7-4.\No... What the hell am I doing?\Why didn't I realize? There was Pawn to 8-6!\If he gets me for Pawn to 8-6, it's all over!\Pawn to 8-6. response:	Pawn, same.
context: Pawn to 7-4.\Why did I feel a faint shooting pain in my fingertips when I let go of the piece?\Pawn to 7-4.\No... What the hell am I doing?\Why didn't I realize? There was Pawn to 8-6!\If he gets me for Pawn to 8-6, it's all over!\Pawn to 8-6.\Pawn, same. response:	Bishop to 9-5.
context: Why did I feel a faint shooting pain in my fingertips when I let go of the piece?\Pawn to 7-4.\No... What the hell am I doing?\Why didn't I realize? There was Pawn to 8-6!\If he gets me for Pawn to 8-6, it's all over!\Pawn to 8-6.\Pawn, same.\Bishop to 9-5. response:	Closer Gold to 7-7.
context: Pawn to 7-4.\No... What the hell am I doing?\Why didn't I realize? There was Pawn to 8-6!\If he gets me for Pawn to 8-6, it's all over!\Pawn to 8-6.\Pawn, same.\Bishop to 9-5.\Closer Gold to 7-7. response:	Souya, Pawn to 8-5.
context: No... What the hell am I doing?\Why didn't I realize? There was Pawn to 8-6!\If he gets me for Pawn to 8-6, it's all over!\Pawn to 8-6.\Pawn, same.\Bishop to 9-5.\Closer Gold to 7-7.\Souya, Pawn to 8-5. response:	Kiriyama, this is a tough one.
context: Why didn't I realize? There was Pawn to 8-6!\If he gets me for Pawn to 8-6, it's all over!\Pawn to 8-6.\Pawn, same.\Bishop to 9-5.\Closer Gold to 7-7.\Souya, Pawn to 8-5.\Kiriyama, this is a tough one. response:	- What will you do? - Go with Pawn, same?
context: If he gets me for Pawn to 8-6, it's all over!\Pawn to 8-6.\Pawn, same.\Bishop to 9-5.\Closer Gold to 7-7.\Souya, Pawn to 8-5.\Kiriyama, this is a tough one.\- What will you do? - Go with Pawn, same? response:	Pawn to 9-6! Not Pawn, same!
context: Pawn to 8-6.\Pawn, same.\Bishop to 9-5.\Closer Gold to 7-7.\Souya, Pawn to 8-5.\Kiriyama, this is a tough one.\- What will you do? - Go with Pawn, same?\Pawn to 9-6! Not Pawn, same! response:	I see! If he took the 8-5 Pawn with Pawn, same, he would've been hit with the 9-3 Knight
context: Pawn, same.\Bishop to 9-5.\Closer Gold to 7-7.\Souya, Pawn to 8-5.\Kiriyama, this is a tough one.\- What will you do? - Go with Pawn, same?\Pawn to 9-6! Not Pawn, same!\I see! If he took the 8-5 Pawn with Pawn, same, he would've been hit with the 9-3 Knight response:	and then he can't support his King.
context: Bishop to 9-5.\Closer Gold to 7-7.\Souya, Pawn to 8-5.\Kiriyama, this is a tough one.\- What will you do? - Go with Pawn, same?\Pawn to 9-6! Not Pawn, same!\I see! If he took the 8-5 Pawn with Pawn, same, he would've been hit with the 9-3 Knight\and then he can't support his King. response:	It makes sense.
context: Closer Gold to 7-7.\Souya, Pawn to 8-5.\Kiriyama, this is a tough one.\- What will you do? - Go with Pawn, same?\Pawn to 9-6! Not Pawn, same!\I see! If he took the 8-5 Pawn with Pawn, same, he would've been hit with the 9-3 Knight\and then he can't support his King.\It makes sense. response:	But this might be it.
context: Souya, Pawn to 8-5.\Kiriyama, this is a tough one.\- What will you do? - Go with Pawn, same?\Pawn to 9-6! Not Pawn, same!\I see! If he took the 8-5 Pawn with Pawn, same, he would've been hit with the 9-3 Knight\and then he can't support his King.\It makes sense.\But this might be it. response:	That last Pawn to 7-4 hurt.
context: Kiriyama, this is a tough one.\- What will you do? - Go with Pawn, same?\Pawn to 9-6! Not Pawn, same!\I see! If he took the 8-5 Pawn with Pawn, same, he would've been hit with the 9-3 Knight\and then he can't support his King.\It makes sense.\But this might be it.\That last Pawn to 7-4 hurt. response:	Yeah, but still, he dodged Souya's 8-5 Pawn.
context: - What will you do? - Go with Pawn, same?\Pawn to 9-6! Not Pawn, same!\I see! If he took the 8-5 Pawn with Pawn, same, he would've been hit with the 9-3 Knight\and then he can't support his King.\It makes sense.\But this might be it.\That last Pawn to 7-4 hurt.\Yeah, but still, he dodged Souya's 8-5 Pawn. response:	Well, well, Silver to 6-8, promoted.
context: Pawn to 9-6! Not Pawn, same!\I see! If he took the 8-5 Pawn with Pawn, same, he would've been hit with the 9-3 Knight\and then he can't support his King.\It makes sense.\But this might be it.\That last Pawn to 7-4 hurt.\Yeah, but still, he dodged Souya's 8-5 Pawn.\Well, well, Silver to 6-8, promoted. response:	Now Souya's making interesting moves.
context: I see! If he took the 8-5 Pawn with Pawn, same, he would've been hit with the 9-3 Knight\and then he can't support his King.\It makes sense.\But this might be it.\That last Pawn to 7-4 hurt.\Yeah, but still, he dodged Souya's 8-5 Pawn.\Well, well, Silver to 6-8, promoted.\Now Souya's making interesting moves. response:	So Kiriyama 5th-Dan, would you take this promoted Lance with the Rook or not?
context: and then he can't support his King.\It makes sense.\But this might be it.\That last Pawn to 7-4 hurt.\Yeah, but still, he dodged Souya's 8-5 Pawn.\Well, well, Silver to 6-8, promoted.\Now Souya's making interesting moves.\So Kiriyama 5th-Dan, would you take this promoted Lance with the Rook or not? response:	The correct answer is...
context: It makes sense.\But this might be it.\That last Pawn to 7-4 hurt.\Yeah, but still, he dodged Souya's 8-5 Pawn.\Well, well, Silver to 6-8, promoted.\Now Souya's making interesting moves.\So Kiriyama 5th-Dan, would you take this promoted Lance with the Rook or not?\The correct answer is... response:	He didn't take the bait, but went with promoted Pawn to 7-3.
context: But this might be it.\That last Pawn to 7-4 hurt.\Yeah, but still, he dodged Souya's 8-5 Pawn.\Well, well, Silver to 6-8, promoted.\Now Souya's making interesting moves.\So Kiriyama 5th-Dan, would you take this promoted Lance with the Rook or not?\The correct answer is...\He didn't take the bait, but went with promoted Pawn to 7-3. response:	He's making the best moves in a matter-of-fact way.
context: That last Pawn to 7-4 hurt.\Yeah, but still, he dodged Souya's 8-5 Pawn.\Well, well, Silver to 6-8, promoted.\Now Souya's making interesting moves.\So Kiriyama 5th-Dan, would you take this promoted Lance with the Rook or not?\The correct answer is...\He didn't take the bait, but went with promoted Pawn to 7-3.\He's making the best moves in a matter-of-fact way. response:	Sheesh. That's what makes him interesting.
context: Yeah, but still, he dodged Souya's 8-5 Pawn.\Well, well, Silver to 6-8, promoted.\Now Souya's making interesting moves.\So Kiriyama 5th-Dan, would you take this promoted Lance with the Rook or not?\The correct answer is...\He didn't take the bait, but went with promoted Pawn to 7-3.\He's making the best moves in a matter-of-fact way.\Sheesh. That's what makes him interesting. response:	After that, I was absorbed in the game.
context: Well, well, Silver to 6-8, promoted.\Now Souya's making interesting moves.\So Kiriyama 5th-Dan, would you take this promoted Lance with the Rook or not?\The correct answer is...\He didn't take the bait, but went with promoted Pawn to 7-3.\He's making the best moves in a matter-of-fact way.\Sheesh. That's what makes him interesting.\After that, I was absorbed in the game. response:	The sound of each piece on the board was accompanied by a flash of light in my head.
context: Now Souya's making interesting moves.\So Kiriyama 5th-Dan, would you take this promoted Lance with the Rook or not?\The correct answer is...\He didn't take the bait, but went with promoted Pawn to 7-3.\He's making the best moves in a matter-of-fact way.\Sheesh. That's what makes him interesting.\After that, I was absorbed in the game.\The sound of each piece on the board was accompanied by a flash of light in my head. response:	I realized that something in my head was connecting all of the moves.
context: So Kiriyama 5th-Dan, would you take this promoted Lance with the Rook or not?\The correct answer is...\He didn't take the bait, but went with promoted Pawn to 7-3.\He's making the best moves in a matter-of-fact way.\Sheesh. That's what makes him interesting.\After that, I was absorbed in the game.\The sound of each piece on the board was accompanied by a flash of light in my head.\I realized that something in my head was connecting all of the moves. response:	It was like...
context: The correct answer is...\He didn't take the bait, but went with promoted Pawn to 7-3.\He's making the best moves in a matter-of-fact way.\Sheesh. That's what makes him interesting.\After that, I was absorbed in the game.\The sound of each piece on the board was accompanied by a flash of light in my head.\I realized that something in my head was connecting all of the moves.\It was like... response:	White Storm (Part Two)
context: He didn't take the bait, but went with promoted Pawn to 7-3.\He's making the best moves in a matter-of-fact way.\Sheesh. That's what makes him interesting.\After that, I was absorbed in the game.\The sound of each piece on the board was accompanied by a flash of light in my head.\I realized that something in my head was connecting all of the moves.\It was like...\White Storm (Part Two) response:	White Storm (Part Three)
context: He's making the best moves in a matter-of-fact way.\Sheesh. That's what makes him interesting.\After that, I was absorbed in the game.\The sound of each piece on the board was accompanied by a flash of light in my head.\I realized that something in my head was connecting all of the moves.\It was like...\White Storm (Part Two)\White Storm (Part Three) response:	When I let go of my 7-4 Pawn,
context: Sheesh. That's what makes him interesting.\After that, I was absorbed in the game.\The sound of each piece on the board was accompanied by a flash of light in my head.\I realized that something in my head was connecting all of the moves.\It was like...\White Storm (Part Two)\White Storm (Part Three)\When I let go of my 7-4 Pawn, response:	it felt like the surface of my fingers was being ripped off.
context: After that, I was absorbed in the game.\The sound of each piece on the board was accompanied by a flash of light in my head.\I realized that something in my head was connecting all of the moves.\It was like...\White Storm (Part Two)\White Storm (Part Three)\When I let go of my 7-4 Pawn,\it felt like the surface of my fingers was being ripped off. response:	The moment I took my hand away,
context: The sound of each piece on the board was accompanied by a flash of light in my head.\I realized that something in my head was connecting all of the moves.\It was like...\White Storm (Part Two)\White Storm (Part Three)\When I let go of my 7-4 Pawn,\it felt like the surface of my fingers was being ripped off.\The moment I took my hand away, response:	I realized it was the move that would cost me the game.
context: I realized that something in my head was connecting all of the moves.\It was like...\White Storm (Part Two)\White Storm (Part Three)\When I let go of my 7-4 Pawn,\it felt like the surface of my fingers was being ripped off.\The moment I took my hand away,\I realized it was the move that would cost me the game. response:	I knew it was over.
context: It was like...\White Storm (Part Two)\White Storm (Part Three)\When I let go of my 7-4 Pawn,\it felt like the surface of my fingers was being ripped off.\The moment I took my hand away,\I realized it was the move that would cost me the game.\I knew it was over. response:	But at the same time, it crossed my mind.
context: White Storm (Part Two)\White Storm (Part Three)\When I let go of my 7-4 Pawn,\it felt like the surface of my fingers was being ripped off.\The moment I took my hand away,\I realized it was the move that would cost me the game.\I knew it was over.\But at the same time, it crossed my mind. response:	If I only played the best moves from this point on,
context: White Storm (Part Three)\When I let go of my 7-4 Pawn,\it felt like the surface of my fingers was being ripped off.\The moment I took my hand away,\I realized it was the move that would cost me the game.\I knew it was over.\But at the same time, it crossed my mind.\If I only played the best moves from this point on, response:	how far could I go in that match?
context: When I let go of my 7-4 Pawn,\it felt like the surface of my fingers was being ripped off.\The moment I took my hand away,\I realized it was the move that would cost me the game.\I knew it was over.\But at the same time, it crossed my mind.\If I only played the best moves from this point on,\how far could I go in that match? response:	The wind is strong.
