context: Are you all right?! response:	Hang in there!
context: It's because I loved you that I edited the video\and sent out the emails.\Then the person who killed Meiko and Moena...\I was possessed by the spirit of the Qmay Group leader, Tsubouchi Qmay.\He's the one who killed them.\What's going on?\I made a contract with Tsubouchi's spirit.\In exchange for lending him my body, I would get my wish. response:	Your wish?
context: and sent out the emails.\Then the person who killed Meiko and Moena...\I was possessed by the spirit of the Qmay Group leader, Tsubouchi Qmay.\He's the one who killed them.\What's going on?\I made a contract with Tsubouchi's spirit.\In exchange for lending him my body, I would get my wish.\Your wish? response:	Revenge.
context: Then the person who killed Meiko and Moena...\I was possessed by the spirit of the Qmay Group leader, Tsubouchi Qmay.\He's the one who killed them.\What's going on?\I made a contract with Tsubouchi's spirit.\In exchange for lending him my body, I would get my wish.\Your wish?\Revenge. response:	I knew that
context: I was possessed by the spirit of the Qmay Group leader, Tsubouchi Qmay.\He's the one who killed them.\What's going on?\I made a contract with Tsubouchi's spirit.\In exchange for lending him my body, I would get my wish.\Your wish?\Revenge.\I knew that response:	Ito was being harassed at school.
context: He's the one who killed them.\What's going on?\I made a contract with Tsubouchi's spirit.\In exchange for lending him my body, I would get my wish.\Your wish?\Revenge.\I knew that\Ito was being harassed at school. response:	I couldn't forgive them.
context: What's going on?\I made a contract with Tsubouchi's spirit.\In exchange for lending him my body, I would get my wish.\Your wish?\Revenge.\I knew that\Ito was being harassed at school.\I couldn't forgive them. response:	I was destined to be with Ito.
context: I made a contract with Tsubouchi's spirit.\In exchange for lending him my body, I would get my wish.\Your wish?\Revenge.\I knew that\Ito was being harassed at school.\I couldn't forgive them.\I was destined to be with Ito. response:	The people in our class got in our way.
context: In exchange for lending him my body, I would get my wish.\Your wish?\Revenge.\I knew that\Ito was being harassed at school.\I couldn't forgive them.\I was destined to be with Ito.\The people in our class got in our way. response:	What are you talking about?
context: Your wish?\Revenge.\I knew that\Ito was being harassed at school.\I couldn't forgive them.\I was destined to be with Ito.\The people in our class got in our way.\What are you talking about? response:	You don't have to hide it.
context: Revenge.\I knew that\Ito was being harassed at school.\I couldn't forgive them.\I was destined to be with Ito.\The people in our class got in our way.\What are you talking about?\You don't have to hide it. response:	I knew you loved me.
context: I knew that\Ito was being harassed at school.\I couldn't forgive them.\I was destined to be with Ito.\The people in our class got in our way.\What are you talking about?\You don't have to hide it.\I knew you loved me. response:	In order to respond to your love, I have to punish them.
context: Ito was being harassed at school.\I couldn't forgive them.\I was destined to be with Ito.\The people in our class got in our way.\What are you talking about?\You don't have to hide it.\I knew you loved me.\In order to respond to your love, I have to punish them. response:	That's a true test of love, right?
context: I couldn't forgive them.\I was destined to be with Ito.\The people in our class got in our way.\What are you talking about?\You don't have to hide it.\I knew you loved me.\In order to respond to your love, I have to punish them.\That's a true test of love, right? response:	Isn't it?
context: I was destined to be with Ito.\The people in our class got in our way.\What are you talking about?\You don't have to hide it.\I knew you loved me.\In order to respond to your love, I have to punish them.\That's a true test of love, right?\Isn't it? response:	This guy gives me the chills.
context: The people in our class got in our way.\What are you talking about?\You don't have to hide it.\I knew you loved me.\In order to respond to your love, I have to punish them.\That's a true test of love, right?\Isn't it?\This guy gives me the chills. response:	Say, so that Tsubouchi's spirit is still inside you?
context: What are you talking about?\You don't have to hide it.\I knew you loved me.\In order to respond to your love, I have to punish them.\That's a true test of love, right?\Isn't it?\This guy gives me the chills.\Say, so that Tsubouchi's spirit is still inside you? response:	My body's useless to him as it is now.
context: You don't have to hide it.\I knew you loved me.\In order to respond to your love, I have to punish them.\That's a true test of love, right?\Isn't it?\This guy gives me the chills.\Say, so that Tsubouchi's spirit is still inside you?\My body's useless to him as it is now. response:	Because of the Yubafication.
context: I knew you loved me.\In order to respond to your love, I have to punish them.\That's a true test of love, right?\Isn't it?\This guy gives me the chills.\Say, so that Tsubouchi's spirit is still inside you?\My body's useless to him as it is now.\Because of the Yubafication. response:	You know about it?
context: In order to respond to your love, I have to punish them.\That's a true test of love, right?\Isn't it?\This guy gives me the chills.\Say, so that Tsubouchi's spirit is still inside you?\My body's useless to him as it is now.\Because of the Yubafication.\You know about it? response:	More accurately, it's Yubamenschification.
context: That's a true test of love, right?\Isn't it?\This guy gives me the chills.\Say, so that Tsubouchi's spirit is still inside you?\My body's useless to him as it is now.\Because of the Yubafication.\You know about it?\More accurately, it's Yubamenschification. response:	When you're infected with the so-called Hercules virus,
context: Isn't it?\This guy gives me the chills.\Say, so that Tsubouchi's spirit is still inside you?\My body's useless to him as it is now.\Because of the Yubafication.\You know about it?\More accurately, it's Yubamenschification.\When you're infected with the so-called Hercules virus, response:	you undergo epigenetic effects that toggle genetic switches.
context: This guy gives me the chills.\Say, so that Tsubouchi's spirit is still inside you?\My body's useless to him as it is now.\Because of the Yubafication.\You know about it?\More accurately, it's Yubamenschification.\When you're infected with the so-called Hercules virus,\you undergo epigenetic effects that toggle genetic switches. response:	It changes your body's composition,
context: Say, so that Tsubouchi's spirit is still inside you?\My body's useless to him as it is now.\Because of the Yubafication.\You know about it?\More accurately, it's Yubamenschification.\When you're infected with the so-called Hercules virus,\you undergo epigenetic effects that toggle genetic switches.\It changes your body's composition, response:	and you become able to exert power beyond your limits.
context: My body's useless to him as it is now.\Because of the Yubafication.\You know about it?\More accurately, it's Yubamenschification.\When you're infected with the so-called Hercules virus,\you undergo epigenetic effects that toggle genetic switches.\It changes your body's composition,\and you become able to exert power beyond your limits. response:	You can't do that all the time, though.
context: Because of the Yubafication.\You know about it?\More accurately, it's Yubamenschification.\When you're infected with the so-called Hercules virus,\you undergo epigenetic effects that toggle genetic switches.\It changes your body's composition,\and you become able to exert power beyond your limits.\You can't do that all the time, though. response:	Normally, there are limiters on it.
context: You know about it?\More accurately, it's Yubamenschification.\When you're infected with the so-called Hercules virus,\you undergo epigenetic effects that toggle genetic switches.\It changes your body's composition,\and you become able to exert power beyond your limits.\You can't do that all the time, though.\Normally, there are limiters on it. response:	When those limiters come off...
context: More accurately, it's Yubamenschification.\When you're infected with the so-called Hercules virus,\you undergo epigenetic effects that toggle genetic switches.\It changes your body's composition,\and you become able to exert power beyond your limits.\You can't do that all the time, though.\Normally, there are limiters on it.\When those limiters come off... response:	You Yubafy.
context: When you're infected with the so-called Hercules virus,\you undergo epigenetic effects that toggle genetic switches.\It changes your body's composition,\and you become able to exert power beyond your limits.\You can't do that all the time, though.\Normally, there are limiters on it.\When those limiters come off...\You Yubafy. response:	Right.
context: you undergo epigenetic effects that toggle genetic switches.\It changes your body's composition,\and you become able to exert power beyond your limits.\You can't do that all the time, though.\Normally, there are limiters on it.\When those limiters come off...\You Yubafy.\Right. response:	But Yubafying comes with huge risks.
context: It changes your body's composition,\and you become able to exert power beyond your limits.\You can't do that all the time, though.\Normally, there are limiters on it.\When those limiters come off...\You Yubafy.\Right.\But Yubafying comes with huge risks. response:	Doing it over and over
context: and you become able to exert power beyond your limits.\You can't do that all the time, though.\Normally, there are limiters on it.\When those limiters come off...\You Yubafy.\Right.\But Yubafying comes with huge risks.\Doing it over and over response:	causes severe damage and atrophy to the body.
context: You can't do that all the time, though.\Normally, there are limiters on it.\When those limiters come off...\You Yubafy.\Right.\But Yubafying comes with huge risks.\Doing it over and over\causes severe damage and atrophy to the body. response:	And then...
context: Normally, there are limiters on it.\When those limiters come off...\You Yubafy.\Right.\But Yubafying comes with huge risks.\Doing it over and over\causes severe damage and atrophy to the body.\And then... response:	You die.
context: When those limiters come off...\You Yubafy.\Right.\But Yubafying comes with huge risks.\Doing it over and over\causes severe damage and atrophy to the body.\And then...\You die. response:	That's what happened to Tsubouchi, as well.
context: You Yubafy.\Right.\But Yubafying comes with huge risks.\Doing it over and over\causes severe damage and atrophy to the body.\And then...\You die.\That's what happened to Tsubouchi, as well. response:	And that cub was created in order to allow his body to regenerate.
context: Right.\But Yubafying comes with huge risks.\Doing it over and over\causes severe damage and atrophy to the body.\And then...\You die.\That's what happened to Tsubouchi, as well.\And that cub was created in order to allow his body to regenerate. response:	With his extraordinary regenerative capacity,
context: But Yubafying comes with huge risks.\Doing it over and over\causes severe damage and atrophy to the body.\And then...\You die.\That's what happened to Tsubouchi, as well.\And that cub was created in order to allow his body to regenerate.\With his extraordinary regenerative capacity, response:	he could evade death and Yubafy regularly.
context: Doing it over and over\causes severe damage and atrophy to the body.\And then...\You die.\That's what happened to Tsubouchi, as well.\And that cub was created in order to allow his body to regenerate.\With his extraordinary regenerative capacity,\he could evade death and Yubafy regularly. response:	You disgust me.
context: causes severe damage and atrophy to the body.\And then...\You die.\That's what happened to Tsubouchi, as well.\And that cub was created in order to allow his body to regenerate.\With his extraordinary regenerative capacity,\he could evade death and Yubafy regularly.\You disgust me. response:	You're still so dishonest.
context: And then...\You die.\That's what happened to Tsubouchi, as well.\And that cub was created in order to allow his body to regenerate.\With his extraordinary regenerative capacity,\he could evade death and Yubafy regularly.\You disgust me.\You're still so dishonest. response:	Hey, I have one last wish.
context: You die.\That's what happened to Tsubouchi, as well.\And that cub was created in order to allow his body to regenerate.\With his extraordinary regenerative capacity,\he could evade death and Yubafy regularly.\You disgust me.\You're still so dishonest.\Hey, I have one last wish. response:	Ito, don't die.
context: That's what happened to Tsubouchi, as well.\And that cub was created in order to allow his body to regenerate.\With his extraordinary regenerative capacity,\he could evade death and Yubafy regularly.\You disgust me.\You're still so dishonest.\Hey, I have one last wish.\Ito, don't die. response:	Survive.
context: And that cub was created in order to allow his body to regenerate.\With his extraordinary regenerative capacity,\he could evade death and Yubafy regularly.\You disgust me.\You're still so dishonest.\Hey, I have one last wish.\Ito, don't die.\Survive. response:	That's my
context: With his extraordinary regenerative capacity,\he could evade death and Yubafy regularly.\You disgust me.\You're still so dishonest.\Hey, I have one last wish.\Ito, don't die.\Survive.\That's my response:	You're full of shit!
context: he could evade death and Yubafy regularly.\You disgust me.\You're still so dishonest.\Hey, I have one last wish.\Ito, don't die.\Survive.\That's my\You're full of shit! response:	Ito!
context: You disgust me.\You're still so dishonest.\Hey, I have one last wish.\Ito, don't die.\Survive.\That's my\You're full of shit!\Ito! response:	You pervert!
context: You're still so dishonest.\Hey, I have one last wish.\Ito, don't die.\Survive.\That's my\You're full of shit!\Ito!\You pervert! response:	How dare you say all that selfish crap?!
context: Hey, I have one last wish.\Ito, don't die.\Survive.\That's my\You're full of shit!\Ito!\You pervert!\How dare you say all that selfish crap?! response:	Stop!
context: Ito, don't die.\Survive.\That's my\You're full of shit!\Ito!\You pervert!\How dare you say all that selfish crap?!\Stop! response:	Possessed by a spirit, my ass!
context: Survive.\That's my\You're full of shit!\Ito!\You pervert!\How dare you say all that selfish crap?!\Stop!\Possessed by a spirit, my ass! response:	You seriously piss me off!
context: That's my\You're full of shit!\Ito!\You pervert!\How dare you say all that selfish crap?!\Stop!\Possessed by a spirit, my ass!\You seriously piss me off! response:	The Next Day
context: You're full of shit!\Ito!\You pervert!\How dare you say all that selfish crap?!\Stop!\Possessed by a spirit, my ass!\You seriously piss me off!\The Next Day response:	It's New Year's Eve! Meikaemon
context: Ito!\You pervert!\How dare you say all that selfish crap?!\Stop!\Possessed by a spirit, my ass!\You seriously piss me off!\The Next Day\It's New Year's Eve! Meikaemon response:	And... why are we having nagashi soba?
context: You pervert!\How dare you say all that selfish crap?!\Stop!\Possessed by a spirit, my ass!\You seriously piss me off!\The Next Day\It's New Year's Eve! Meikaemon\And... why are we having nagashi soba? response:	It's New Year's Eve. Soba is a mainstay.
context: How dare you say all that selfish crap?!\Stop!\Possessed by a spirit, my ass!\You seriously piss me off!\The Next Day\It's New Year's Eve! Meikaemon\And... why are we having nagashi soba?\It's New Year's Eve. Soba is a mainstay. response:	I get the soba part, but why nagashi?
context: Stop!\Possessed by a spirit, my ass!\You seriously piss me off!\The Next Day\It's New Year's Eve! Meikaemon\And... why are we having nagashi soba?\It's New Year's Eve. Soba is a mainstay.\I get the soba part, but why nagashi? response:	It's totally off-season.
context: Possessed by a spirit, my ass!\You seriously piss me off!\The Next Day\It's New Year's Eve! Meikaemon\And... why are we having nagashi soba?\It's New Year's Eve. Soba is a mainstay.\I get the soba part, but why nagashi?\It's totally off-season. response:	Isn't it, Ito?
context: You seriously piss me off!\The Next Day\It's New Year's Eve! Meikaemon\And... why are we having nagashi soba?\It's New Year's Eve. Soba is a mainstay.\I get the soba part, but why nagashi?\It's totally off-season.\Isn't it, Ito? response:	Whatever.
context: The Next Day\It's New Year's Eve! Meikaemon\And... why are we having nagashi soba?\It's New Year's Eve. Soba is a mainstay.\I get the soba part, but why nagashi?\It's totally off-season.\Isn't it, Ito?\Whatever. response:	It's New Year's Eve! Meikaemon
context: It's New Year's Eve! Meikaemon\And... why are we having nagashi soba?\It's New Year's Eve. Soba is a mainstay.\I get the soba part, but why nagashi?\It's totally off-season.\Isn't it, Ito?\Whatever.\It's New Year's Eve! Meikaemon response:	Why are you being so gloomy?
context: And... why are we having nagashi soba?\It's New Year's Eve. Soba is a mainstay.\I get the soba part, but why nagashi?\It's totally off-season.\Isn't it, Ito?\Whatever.\It's New Year's Eve! Meikaemon\Why are you being so gloomy? response:	Meika, can I ask you something?
context: It's New Year's Eve. Soba is a mainstay.\I get the soba part, but why nagashi?\It's totally off-season.\Isn't it, Ito?\Whatever.\It's New Year's Eve! Meikaemon\Why are you being so gloomy?\Meika, can I ask you something? response:	Are you sure it's all right?
context: I get the soba part, but why nagashi?\It's totally off-season.\Isn't it, Ito?\Whatever.\It's New Year's Eve! Meikaemon\Why are you being so gloomy?\Meika, can I ask you something?\Are you sure it's all right? response:	What's all right?
context: It's totally off-season.\Isn't it, Ito?\Whatever.\It's New Year's Eve! Meikaemon\Why are you being so gloomy?\Meika, can I ask you something?\Are you sure it's all right?\What's all right? response:	You know, the servers.
context: Isn't it, Ito?\Whatever.\It's New Year's Eve! Meikaemon\Why are you being so gloomy?\Meika, can I ask you something?\Are you sure it's all right?\What's all right?\You know, the servers. response:	At AFSPC.
context: Whatever.\It's New Year's Eve! Meikaemon\Why are you being so gloomy?\Meika, can I ask you something?\Are you sure it's all right?\What's all right?\You know, the servers.\At AFSPC. response:	I told you, I hacked into the U.S. military servers,
context: It's New Year's Eve! Meikaemon\Why are you being so gloomy?\Meika, can I ask you something?\Are you sure it's all right?\What's all right?\You know, the servers.\At AFSPC.\I told you, I hacked into the U.S. military servers, response:	but everything was normal.
context: Why are you being so gloomy?\Meika, can I ask you something?\Are you sure it's all right?\What's all right?\You know, the servers.\At AFSPC.\I told you, I hacked into the U.S. military servers,\but everything was normal. response:	Really...
