context: - What do you do on your days off? - I heard your radio show yesterday. response:	If you'd like, how about some tea later today?
context: Group torture? How terrible...\It's understandable... when she does stuff like that impulsively...\Ow..\Well... are you all right?\You have something to complain about? You were just watching.\Oh, the helper is going to appear.\What's with those wounds?\I just got tortured by a mob. response:	Are you all right? Shouldn't you go to a hospital?
context: It's understandable... when she does stuff like that impulsively...\Ow..\Well... are you all right?\You have something to complain about? You were just watching.\Oh, the helper is going to appear.\What's with those wounds?\I just got tortured by a mob.\Are you all right? Shouldn't you go to a hospital? response:	I'm used to it, so I'll be fine.
context: Ow..\Well... are you all right?\You have something to complain about? You were just watching.\Oh, the helper is going to appear.\What's with those wounds?\I just got tortured by a mob.\Are you all right? Shouldn't you go to a hospital?\I'm used to it, so I'll be fine. response:	Then, let's go pummel them all in return!
context: Well... are you all right?\You have something to complain about? You were just watching.\Oh, the helper is going to appear.\What's with those wounds?\I just got tortured by a mob.\Are you all right? Shouldn't you go to a hospital?\I'm used to it, so I'll be fine.\Then, let's go pummel them all in return! response:	I ain't going. That's too much of a hassle.
context: You have something to complain about? You were just watching.\Oh, the helper is going to appear.\What's with those wounds?\I just got tortured by a mob.\Are you all right? Shouldn't you go to a hospital?\I'm used to it, so I'll be fine.\Then, let's go pummel them all in return!\I ain't going. That's too much of a hassle. response:	You're so boring.
context: Oh, the helper is going to appear.\What's with those wounds?\I just got tortured by a mob.\Are you all right? Shouldn't you go to a hospital?\I'm used to it, so I'll be fine.\Then, let's go pummel them all in return!\I ain't going. That's too much of a hassle.\You're so boring. response:	The ability... is floating on air.
context: What's with those wounds?\I just got tortured by a mob.\Are you all right? Shouldn't you go to a hospital?\I'm used to it, so I'll be fine.\Then, let's go pummel them all in return!\I ain't going. That's too much of a hassle.\You're so boring.\The ability... is floating on air. response:	All right! We got this!
context: I just got tortured by a mob.\Are you all right? Shouldn't you go to a hospital?\I'm used to it, so I'll be fine.\Then, let's go pummel them all in return!\I ain't going. That's too much of a hassle.\You're so boring.\The ability... is floating on air.\All right! We got this! response:	It's this one!
context: Are you all right? Shouldn't you go to a hospital?\I'm used to it, so I'll be fine.\Then, let's go pummel them all in return!\I ain't going. That's too much of a hassle.\You're so boring.\The ability... is floating on air.\All right! We got this!\It's this one! response:	A flying humanoid is found in Japan as well?
context: I'm used to it, so I'll be fine.\Then, let's go pummel them all in return!\I ain't going. That's too much of a hassle.\You're so boring.\The ability... is floating on air.\All right! We got this!\It's this one!\A flying humanoid is found in Japan as well? response:	Is it saying that this black shadow is that person?
context: Then, let's go pummel them all in return!\I ain't going. That's too much of a hassle.\You're so boring.\The ability... is floating on air.\All right! We got this!\It's this one!\A flying humanoid is found in Japan as well?\Is it saying that this black shadow is that person? response:	For now, it's only a scoop on an occult magazine like this one.
context: I ain't going. That's too much of a hassle.\You're so boring.\The ability... is floating on air.\All right! We got this!\It's this one!\A flying humanoid is found in Japan as well?\Is it saying that this black shadow is that person?\For now, it's only a scoop on an occult magazine like this one. response:	But if we leave this alone, this will turn into a huge deal. Let's go.
context: You're so boring.\The ability... is floating on air.\All right! We got this!\It's this one!\A flying humanoid is found in Japan as well?\Is it saying that this black shadow is that person?\For now, it's only a scoop on an occult magazine like this one.\But if we leave this alone, this will turn into a huge deal. Let's go. response:	Where to?
context: The ability... is floating on air.\All right! We got this!\It's this one!\A flying humanoid is found in Japan as well?\Is it saying that this black shadow is that person?\For now, it's only a scoop on an occult magazine like this one.\But if we leave this alone, this will turn into a huge deal. Let's go.\Where to? response:	This is in the middle of the mountains.
context: All right! We got this!\It's this one!\A flying humanoid is found in Japan as well?\Is it saying that this black shadow is that person?\For now, it's only a scoop on an occult magazine like this one.\But if we leave this alone, this will turn into a huge deal. Let's go.\Where to?\This is in the middle of the mountains. response:	This is just speculation,
context: It's this one!\A flying humanoid is found in Japan as well?\Is it saying that this black shadow is that person?\For now, it's only a scoop on an occult magazine like this one.\But if we leave this alone, this will turn into a huge deal. Let's go.\Where to?\This is in the middle of the mountains.\This is just speculation, response:	but I think that's where this person is practicing how to fly.
context: A flying humanoid is found in Japan as well?\Is it saying that this black shadow is that person?\For now, it's only a scoop on an occult magazine like this one.\But if we leave this alone, this will turn into a huge deal. Let's go.\Where to?\This is in the middle of the mountains.\This is just speculation,\but I think that's where this person is practicing how to fly. response:	So, if we keep staking out at this location, that person should appear at some point.
context: Is it saying that this black shadow is that person?\For now, it's only a scoop on an occult magazine like this one.\But if we leave this alone, this will turn into a huge deal. Let's go.\Where to?\This is in the middle of the mountains.\This is just speculation,\but I think that's where this person is practicing how to fly.\So, if we keep staking out at this location, that person should appear at some point. response:	If we keep staking out? For how long are you talking about?
context: For now, it's only a scoop on an occult magazine like this one.\But if we leave this alone, this will turn into a huge deal. Let's go.\Where to?\This is in the middle of the mountains.\This is just speculation,\but I think that's where this person is practicing how to fly.\So, if we keep staking out at this location, that person should appear at some point.\If we keep staking out? For how long are you talking about? response:	Of course until this person shows up.
context: But if we leave this alone, this will turn into a huge deal. Let's go.\Where to?\This is in the middle of the mountains.\This is just speculation,\but I think that's where this person is practicing how to fly.\So, if we keep staking out at this location, that person should appear at some point.\If we keep staking out? For how long are you talking about?\Of course until this person shows up. response:	Don't make Yusarin say something like that!
context: Where to?\This is in the middle of the mountains.\This is just speculation,\but I think that's where this person is practicing how to fly.\So, if we keep staking out at this location, that person should appear at some point.\If we keep staking out? For how long are you talking about?\Of course until this person shows up.\Don't make Yusarin say something like that! response:	Then, to procure food for all of us, let's go to the supermarket.
context: This is in the middle of the mountains.\This is just speculation,\but I think that's where this person is practicing how to fly.\So, if we keep staking out at this location, that person should appear at some point.\If we keep staking out? For how long are you talking about?\Of course until this person shows up.\Don't make Yusarin say something like that!\Then, to procure food for all of us, let's go to the supermarket. response:	You serious?
context: This is just speculation,\but I think that's where this person is practicing how to fly.\So, if we keep staking out at this location, that person should appear at some point.\If we keep staking out? For how long are you talking about?\Of course until this person shows up.\Don't make Yusarin say something like that!\Then, to procure food for all of us, let's go to the supermarket.\You serious? response:	Um... can you go back to Yusa, please?
context: but I think that's where this person is practicing how to fly.\So, if we keep staking out at this location, that person should appear at some point.\If we keep staking out? For how long are you talking about?\Of course until this person shows up.\Don't make Yusarin say something like that!\Then, to procure food for all of us, let's go to the supermarket.\You serious?\Um... can you go back to Yusa, please? response:	That's something I'll decide! Why do I have to follow your orders?
context: So, if we keep staking out at this location, that person should appear at some point.\If we keep staking out? For how long are you talking about?\Of course until this person shows up.\Don't make Yusarin say something like that!\Then, to procure food for all of us, let's go to the supermarket.\You serious?\Um... can you go back to Yusa, please?\That's something I'll decide! Why do I have to follow your orders? response:	Because it ends up like this!
context: If we keep staking out? For how long are you talking about?\Of course until this person shows up.\Don't make Yusarin say something like that!\Then, to procure food for all of us, let's go to the supermarket.\You serious?\Um... can you go back to Yusa, please?\That's something I'll decide! Why do I have to follow your orders?\Because it ends up like this! response:	Huh? I'll burn you right here, you know?
context: Of course until this person shows up.\Don't make Yusarin say something like that!\Then, to procure food for all of us, let's go to the supermarket.\You serious?\Um... can you go back to Yusa, please?\That's something I'll decide! Why do I have to follow your orders?\Because it ends up like this!\Huh? I'll burn you right here, you know? response:	Is this team all right..?
context: Don't make Yusarin say something like that!\Then, to procure food for all of us, let's go to the supermarket.\You serious?\Um... can you go back to Yusa, please?\That's something I'll decide! Why do I have to follow your orders?\Because it ends up like this!\Huh? I'll burn you right here, you know?\Is this team all right..? response:	Hot! Hot! I'm sorry!
context: Then, to procure food for all of us, let's go to the supermarket.\You serious?\Um... can you go back to Yusa, please?\That's something I'll decide! Why do I have to follow your orders?\Because it ends up like this!\Huh? I'll burn you right here, you know?\Is this team all right..?\Hot! Hot! I'm sorry! response:	See here, I'll burn you now! See here!
context: You serious?\Um... can you go back to Yusa, please?\That's something I'll decide! Why do I have to follow your orders?\Because it ends up like this!\Huh? I'll burn you right here, you know?\Is this team all right..?\Hot! Hot! I'm sorry!\See here, I'll burn you now! See here! response:	You guys, let's go!
context: Um... can you go back to Yusa, please?\That's something I'll decide! Why do I have to follow your orders?\Because it ends up like this!\Huh? I'll burn you right here, you know?\Is this team all right..?\Hot! Hot! I'm sorry!\See here, I'll burn you now! See here!\You guys, let's go! response:	Why is it all corn?
context: That's something I'll decide! Why do I have to follow your orders?\Because it ends up like this!\Huh? I'll burn you right here, you know?\Is this team all right..?\Hot! Hot! I'm sorry!\See here, I'll burn you now! See here!\You guys, let's go!\Why is it all corn? response:	When you think barbeque, you gotta have roasted corn.
context: Because it ends up like this!\Huh? I'll burn you right here, you know?\Is this team all right..?\Hot! Hot! I'm sorry!\See here, I'll burn you now! See here!\You guys, let's go!\Why is it all corn?\When you think barbeque, you gotta have roasted corn. response:	Barbeque? If you do something like that, you'd get found out from the smoke!
context: Huh? I'll burn you right here, you know?\Is this team all right..?\Hot! Hot! I'm sorry!\See here, I'll burn you now! See here!\You guys, let's go!\Why is it all corn?\When you think barbeque, you gotta have roasted corn.\Barbeque? If you do something like that, you'd get found out from the smoke! response:	This person may decide to approach us instead, you know?
context: Is this team all right..?\Hot! Hot! I'm sorry!\See here, I'll burn you now! See here!\You guys, let's go!\Why is it all corn?\When you think barbeque, you gotta have roasted corn.\Barbeque? If you do something like that, you'd get found out from the smoke!\This person may decide to approach us instead, you know? response:	Is such a thing possible?
context: Hot! Hot! I'm sorry!\See here, I'll burn you now! See here!\You guys, let's go!\Why is it all corn?\When you think barbeque, you gotta have roasted corn.\Barbeque? If you do something like that, you'd get found out from the smoke!\This person may decide to approach us instead, you know?\Is such a thing possible? response:	What else? Steak meat, spare ribs, wieners...
context: See here, I'll burn you now! See here!\You guys, let's go!\Why is it all corn?\When you think barbeque, you gotta have roasted corn.\Barbeque? If you do something like that, you'd get found out from the smoke!\This person may decide to approach us instead, you know?\Is such a thing possible?\What else? Steak meat, spare ribs, wieners... response:	Come on, now you're thinking only about meat.
context: You guys, let's go!\Why is it all corn?\When you think barbeque, you gotta have roasted corn.\Barbeque? If you do something like that, you'd get found out from the smoke!\This person may decide to approach us instead, you know?\Is such a thing possible?\What else? Steak meat, spare ribs, wieners...\Come on, now you're thinking only about meat. response:	But meat is good...
context: Why is it all corn?\When you think barbeque, you gotta have roasted corn.\Barbeque? If you do something like that, you'd get found out from the smoke!\This person may decide to approach us instead, you know?\Is such a thing possible?\What else? Steak meat, spare ribs, wieners...\Come on, now you're thinking only about meat.\But meat is good... response:	No, no, no...
context: When you think barbeque, you gotta have roasted corn.\Barbeque? If you do something like that, you'd get found out from the smoke!\This person may decide to approach us instead, you know?\Is such a thing possible?\What else? Steak meat, spare ribs, wieners...\Come on, now you're thinking only about meat.\But meat is good...\No, no, no... response:	Shishito peppers?
context: Barbeque? If you do something like that, you'd get found out from the smoke!\This person may decide to approach us instead, you know?\Is such a thing possible?\What else? Steak meat, spare ribs, wieners...\Come on, now you're thinking only about meat.\But meat is good...\No, no, no...\Shishito peppers? response:	The spice gives a nice accent to flavors.
context: This person may decide to approach us instead, you know?\Is such a thing possible?\What else? Steak meat, spare ribs, wieners...\Come on, now you're thinking only about meat.\But meat is good...\No, no, no...\Shishito peppers?\The spice gives a nice accent to flavors. response:	If you're going to eat them all, then that's fine with me.
context: Is such a thing possible?\What else? Steak meat, spare ribs, wieners...\Come on, now you're thinking only about meat.\But meat is good...\No, no, no...\Shishito peppers?\The spice gives a nice accent to flavors.\If you're going to eat them all, then that's fine with me. response:	Those two get along very well. Can they be dating each other?
context: What else? Steak meat, spare ribs, wieners...\Come on, now you're thinking only about meat.\But meat is good...\No, no, no...\Shishito peppers?\The spice gives a nice accent to flavors.\If you're going to eat them all, then that's fine with me.\Those two get along very well. Can they be dating each other? response:	Let's buy more hams and stuff.
context: Come on, now you're thinking only about meat.\But meat is good...\No, no, no...\Shishito peppers?\The spice gives a nice accent to flavors.\If you're going to eat them all, then that's fine with me.\Those two get along very well. Can they be dating each other?\Let's buy more hams and stuff. response:	It hasn't been long since they first met, so I don't think it's gone that far.
context: But meat is good...\No, no, no...\Shishito peppers?\The spice gives a nice accent to flavors.\If you're going to eat them all, then that's fine with me.\Those two get along very well. Can they be dating each other?\Let's buy more hams and stuff.\It hasn't been long since they first met, so I don't think it's gone that far. response:	No, no. We should get pumpkins instead.
context: No, no, no...\Shishito peppers?\The spice gives a nice accent to flavors.\If you're going to eat them all, then that's fine with me.\Those two get along very well. Can they be dating each other?\Let's buy more hams and stuff.\It hasn't been long since they first met, so I don't think it's gone that far.\No, no. We should get pumpkins instead. response:	But well, they are a couple that is pleasant to watch.
context: Shishito peppers?\The spice gives a nice accent to flavors.\If you're going to eat them all, then that's fine with me.\Those two get along very well. Can they be dating each other?\Let's buy more hams and stuff.\It hasn't been long since they first met, so I don't think it's gone that far.\No, no. We should get pumpkins instead.\But well, they are a couple that is pleasant to watch. response:	Like, no way!
context: The spice gives a nice accent to flavors.\If you're going to eat them all, then that's fine with me.\Those two get along very well. Can they be dating each other?\Let's buy more hams and stuff.\It hasn't been long since they first met, so I don't think it's gone that far.\No, no. We should get pumpkins instead.\But well, they are a couple that is pleasant to watch.\Like, no way! response:	Yes, I think they're well suited for each other, too!
context: If you're going to eat them all, then that's fine with me.\Those two get along very well. Can they be dating each other?\Let's buy more hams and stuff.\It hasn't been long since they first met, so I don't think it's gone that far.\No, no. We should get pumpkins instead.\But well, they are a couple that is pleasant to watch.\Like, no way!\Yes, I think they're well suited for each other, too! response:	All alone with Yusarin! I'm glad I'm alive!
context: Those two get along very well. Can they be dating each other?\Let's buy more hams and stuff.\It hasn't been long since they first met, so I don't think it's gone that far.\No, no. We should get pumpkins instead.\But well, they are a couple that is pleasant to watch.\Like, no way!\Yes, I think they're well suited for each other, too!\All alone with Yusarin! I'm glad I'm alive! response:	All right. Boys, grab the tent and the barbeque grill.
context: Let's buy more hams and stuff.\It hasn't been long since they first met, so I don't think it's gone that far.\No, no. We should get pumpkins instead.\But well, they are a couple that is pleasant to watch.\Like, no way!\Yes, I think they're well suited for each other, too!\All alone with Yusarin! I'm glad I'm alive!\All right. Boys, grab the tent and the barbeque grill. response:	Kurobane and I will grab the food.
context: It hasn't been long since they first met, so I don't think it's gone that far.\No, no. We should get pumpkins instead.\But well, they are a couple that is pleasant to watch.\Like, no way!\Yes, I think they're well suited for each other, too!\All alone with Yusarin! I'm glad I'm alive!\All right. Boys, grab the tent and the barbeque grill.\Kurobane and I will grab the food. response:	A tent? So we're going to spend the night?
context: No, no. We should get pumpkins instead.\But well, they are a couple that is pleasant to watch.\Like, no way!\Yes, I think they're well suited for each other, too!\All alone with Yusarin! I'm glad I'm alive!\All right. Boys, grab the tent and the barbeque grill.\Kurobane and I will grab the food.\A tent? So we're going to spend the night? response:	I told you that we're going to keep staking out until the ability wielder shows up.
context: But well, they are a couple that is pleasant to watch.\Like, no way!\Yes, I think they're well suited for each other, too!\All alone with Yusarin! I'm glad I'm alive!\All right. Boys, grab the tent and the barbeque grill.\Kurobane and I will grab the food.\A tent? So we're going to spend the night?\I told you that we're going to keep staking out until the ability wielder shows up. response:	Um, I didn't bring any change of clothing...
context: Like, no way!\Yes, I think they're well suited for each other, too!\All alone with Yusarin! I'm glad I'm alive!\All right. Boys, grab the tent and the barbeque grill.\Kurobane and I will grab the food.\A tent? So we're going to spend the night?\I told you that we're going to keep staking out until the ability wielder shows up.\Um, I didn't bring any change of clothing... response:	You won't die even if you don't change clothes.
context: Yes, I think they're well suited for each other, too!\All alone with Yusarin! I'm glad I'm alive!\All right. Boys, grab the tent and the barbeque grill.\Kurobane and I will grab the food.\A tent? So we're going to spend the night?\I told you that we're going to keep staking out until the ability wielder shows up.\Um, I didn't bring any change of clothing...\You won't die even if you don't change clothes. response:	Now, let's go.
context: All alone with Yusarin! I'm glad I'm alive!\All right. Boys, grab the tent and the barbeque grill.\Kurobane and I will grab the food.\A tent? So we're going to spend the night?\I told you that we're going to keep staking out until the ability wielder shows up.\Um, I didn't bring any change of clothing...\You won't die even if you don't change clothes.\Now, let's go. response:	All right, we're here.
context: All right. Boys, grab the tent and the barbeque grill.\Kurobane and I will grab the food.\A tent? So we're going to spend the night?\I told you that we're going to keep staking out until the ability wielder shows up.\Um, I didn't bring any change of clothing...\You won't die even if you don't change clothes.\Now, let's go.\All right, we're here. response:	I guess we should set up the tent before dark.
context: Kurobane and I will grab the food.\A tent? So we're going to spend the night?\I told you that we're going to keep staking out until the ability wielder shows up.\Um, I didn't bring any change of clothing...\You won't die even if you don't change clothes.\Now, let's go.\All right, we're here.\I guess we should set up the tent before dark. response:	Right.
context: A tent? So we're going to spend the night?\I told you that we're going to keep staking out until the ability wielder shows up.\Um, I didn't bring any change of clothing...\You won't die even if you don't change clothes.\Now, let's go.\All right, we're here.\I guess we should set up the tent before dark.\Right. response:	Oh, it's dangerous over there.
context: I told you that we're going to keep staking out until the ability wielder shows up.\Um, I didn't bring any change of clothing...\You won't die even if you don't change clothes.\Now, let's go.\All right, we're here.\I guess we should set up the tent before dark.\Right.\Oh, it's dangerous over there. response:	What hole is this?
context: Um, I didn't bring any change of clothing...\You won't die even if you don't change clothes.\Now, let's go.\All right, we're here.\I guess we should set up the tent before dark.\Right.\Oh, it's dangerous over there.\What hole is this? response:	It's the remnants of a well!
context: You won't die even if you don't change clothes.\Now, let's go.\All right, we're here.\I guess we should set up the tent before dark.\Right.\Oh, it's dangerous over there.\What hole is this?\It's the remnants of a well! response:	If you knew about it, you could have told me about it earlier!
context: Now, let's go.\All right, we're here.\I guess we should set up the tent before dark.\Right.\Oh, it's dangerous over there.\What hole is this?\It's the remnants of a well!\If you knew about it, you could have told me about it earlier! response:	Well, if you fell, that would have been funny in a way.
context: All right, we're here.\I guess we should set up the tent before dark.\Right.\Oh, it's dangerous over there.\What hole is this?\It's the remnants of a well!\If you knew about it, you could have told me about it earlier!\Well, if you fell, that would have been funny in a way. response:	Don't make jokes that involve life-or-death situations...
context: I guess we should set up the tent before dark.\Right.\Oh, it's dangerous over there.\What hole is this?\It's the remnants of a well!\If you knew about it, you could have told me about it earlier!\Well, if you fell, that would have been funny in a way.\Don't make jokes that involve life-or-death situations... response:	Then, let's set it up a bit further that way!
context: Right.\Oh, it's dangerous over there.\What hole is this?\It's the remnants of a well!\If you knew about it, you could have told me about it earlier!\Well, if you fell, that would have been funny in a way.\Don't make jokes that involve life-or-death situations...\Then, let's set it up a bit further that way! response:	Got it!
context: Oh, it's dangerous over there.\What hole is this?\It's the remnants of a well!\If you knew about it, you could have told me about it earlier!\Well, if you fell, that would have been funny in a way.\Don't make jokes that involve life-or-death situations...\Then, let's set it up a bit further that way!\Got it! response:	Rest assured, I'll take responsibility and plug up that hole.
context: What hole is this?\It's the remnants of a well!\If you knew about it, you could have told me about it earlier!\Well, if you fell, that would have been funny in a way.\Don't make jokes that involve life-or-death situations...\Then, let's set it up a bit further that way!\Got it!\Rest assured, I'll take responsibility and plug up that hole. response:	I'm sorry, but there's a student council camp so I don't think I can go home tonight.
context: It's the remnants of a well!\If you knew about it, you could have told me about it earlier!\Well, if you fell, that would have been funny in a way.\Don't make jokes that involve life-or-death situations...\Then, let's set it up a bit further that way!\Got it!\Rest assured, I'll take responsibility and plug up that hole.\I'm sorry, but there's a student council camp so I don't think I can go home tonight. response:	This suddenly? You can't come home?
context: If you knew about it, you could have told me about it earlier!\Well, if you fell, that would have been funny in a way.\Don't make jokes that involve life-or-death situations...\Then, let's set it up a bit further that way!\Got it!\Rest assured, I'll take responsibility and plug up that hole.\I'm sorry, but there's a student council camp so I don't think I can go home tonight.\This suddenly? You can't come home? response:	Yeah. That's why I'm sorry.
context: Well, if you fell, that would have been funny in a way.\Don't make jokes that involve life-or-death situations...\Then, let's set it up a bit further that way!\Got it!\Rest assured, I'll take responsibility and plug up that hole.\I'm sorry, but there's a student council camp so I don't think I can go home tonight.\This suddenly? You can't come home?\Yeah. That's why I'm sorry. response:	Are you all right?
context: Don't make jokes that involve life-or-death situations...\Then, let's set it up a bit further that way!\Got it!\Rest assured, I'll take responsibility and plug up that hole.\I'm sorry, but there's a student council camp so I don't think I can go home tonight.\This suddenly? You can't come home?\Yeah. That's why I'm sorry.\Are you all right? response:	No, no, I'm all right.
context: Then, let's set it up a bit further that way!\Got it!\Rest assured, I'll take responsibility and plug up that hole.\I'm sorry, but there's a student council camp so I don't think I can go home tonight.\This suddenly? You can't come home?\Yeah. That's why I'm sorry.\Are you all right?\No, no, I'm all right. response:	See you.
context: Got it!\Rest assured, I'll take responsibility and plug up that hole.\I'm sorry, but there's a student council camp so I don't think I can go home tonight.\This suddenly? You can't come home?\Yeah. That's why I'm sorry.\Are you all right?\No, no, I'm all right.\See you. response:	Roger that.
context: Rest assured, I'll take responsibility and plug up that hole.\I'm sorry, but there's a student council camp so I don't think I can go home tonight.\This suddenly? You can't come home?\Yeah. That's why I'm sorry.\Are you all right?\No, no, I'm all right.\See you.\Roger that. response:	This is useful...
context: I'm sorry, but there's a student council camp so I don't think I can go home tonight.\This suddenly? You can't come home?\Yeah. That's why I'm sorry.\Are you all right?\No, no, I'm all right.\See you.\Roger that.\This is useful... response:	Don't use me as a lighter! How senseless are you?
context: This suddenly? You can't come home?\Yeah. That's why I'm sorry.\Are you all right?\No, no, I'm all right.\See you.\Roger that.\This is useful...\Don't use me as a lighter! How senseless are you? response:	What are you thinking? This makes us stand out way too much.
context: Yeah. That's why I'm sorry.\Are you all right?\No, no, I'm all right.\See you.\Roger that.\This is useful...\Don't use me as a lighter! How senseless are you?\What are you thinking? This makes us stand out way too much. response:	Roasted corn is so delicious!
context: Are you all right?\No, no, I'm all right.\See you.\Roger that.\This is useful...\Don't use me as a lighter! How senseless are you?\What are you thinking? This makes us stand out way too much.\Roasted corn is so delicious! response:	Now, everyone, eat up.
context: No, no, I'm all right.\See you.\Roger that.\This is useful...\Don't use me as a lighter! How senseless are you?\What are you thinking? This makes us stand out way too much.\Roasted corn is so delicious!\Now, everyone, eat up. response:	I guess I'll yield this to her.
context: See you.\Roger that.\This is useful...\Don't use me as a lighter! How senseless are you?\What are you thinking? This makes us stand out way too much.\Roasted corn is so delicious!\Now, everyone, eat up.\I guess I'll yield this to her. response:	Huh?
context: Roger that.\This is useful...\Don't use me as a lighter! How senseless are you?\What are you thinking? This makes us stand out way too much.\Roasted corn is so delicious!\Now, everyone, eat up.\I guess I'll yield this to her.\Huh? response:	Here you go, have some roasted corn!
context: This is useful...\Don't use me as a lighter! How senseless are you?\What are you thinking? This makes us stand out way too much.\Roasted corn is so delicious!\Now, everyone, eat up.\I guess I'll yield this to her.\Huh?\Here you go, have some roasted corn! response:	Thank you so much!
context: Don't use me as a lighter! How senseless are you?\What are you thinking? This makes us stand out way too much.\Roasted corn is so delicious!\Now, everyone, eat up.\I guess I'll yield this to her.\Huh?\Here you go, have some roasted corn!\Thank you so much! response:	This is delicious!
context: What are you thinking? This makes us stand out way too much.\Roasted corn is so delicious!\Now, everyone, eat up.\I guess I'll yield this to her.\Huh?\Here you go, have some roasted corn!\Thank you so much!\This is delicious! response:	Isn't it? Leave it to me if it's about roasted corn!
context: Roasted corn is so delicious!\Now, everyone, eat up.\I guess I'll yield this to her.\Huh?\Here you go, have some roasted corn!\Thank you so much!\This is delicious!\Isn't it? Leave it to me if it's about roasted corn! response:	After this... Meat! Meat!
context: Now, everyone, eat up.\I guess I'll yield this to her.\Huh?\Here you go, have some roasted corn!\Thank you so much!\This is delicious!\Isn't it? Leave it to me if it's about roasted corn!\After this... Meat! Meat! response:	Eat vegetables, too.
context: I guess I'll yield this to her.\Huh?\Here you go, have some roasted corn!\Thank you so much!\This is delicious!\Isn't it? Leave it to me if it's about roasted corn!\After this... Meat! Meat!\Eat vegetables, too. response:	Spare ribs are so yummy!
