context: Now then... response:	let's check out the state of the world...
context: Huh?! Hey Kagome!\Where are you off to?!\School... where else?\Dang it! I thought up a good illness!\Impertinent child!\What is Grandpa talking about?\Oh no! I forgot my math book!\What're you doing, Kagome? response:	Hurry and borrow a book from the class next door.
context: Where are you off to?!\School... where else?\Dang it! I thought up a good illness!\Impertinent child!\What is Grandpa talking about?\Oh no! I forgot my math book!\What're you doing, Kagome?\Hurry and borrow a book from the class next door. response:	I forgot my language, science and history books too!
context: School... where else?\Dang it! I thought up a good illness!\Impertinent child!\What is Grandpa talking about?\Oh no! I forgot my math book!\What're you doing, Kagome?\Hurry and borrow a book from the class next door.\I forgot my language, science and history books too! response:	You finally come to class and you're a mess!
context: Dang it! I thought up a good illness!\Impertinent child!\What is Grandpa talking about?\Oh no! I forgot my math book!\What're you doing, Kagome?\Hurry and borrow a book from the class next door.\I forgot my language, science and history books too!\You finally come to class and you're a mess! response:	My writing instruments are in the Feudal Era!
context: Impertinent child!\What is Grandpa talking about?\Oh no! I forgot my math book!\What're you doing, Kagome?\Hurry and borrow a book from the class next door.\I forgot my language, science and history books too!\You finally come to class and you're a mess!\My writing instruments are in the Feudal Era! response:	Is Higurashi here?
context: What is Grandpa talking about?\Oh no! I forgot my math book!\What're you doing, Kagome?\Hurry and borrow a book from the class next door.\I forgot my language, science and history books too!\You finally come to class and you're a mess!\My writing instruments are in the Feudal Era!\Is Higurashi here? response:	Kagome, they're things you forgot!
context: Oh no! I forgot my math book!\What're you doing, Kagome?\Hurry and borrow a book from the class next door.\I forgot my language, science and history books too!\You finally come to class and you're a mess!\My writing instruments are in the Feudal Era!\Is Higurashi here?\Kagome, they're things you forgot! response:	Your younger brother just dropped them off.
context: What're you doing, Kagome?\Hurry and borrow a book from the class next door.\I forgot my language, science and history books too!\You finally come to class and you're a mess!\My writing instruments are in the Feudal Era!\Is Higurashi here?\Kagome, they're things you forgot!\Your younger brother just dropped them off. response:	He said to pardon you for being so hopeless.
context: Hurry and borrow a book from the class next door.\I forgot my language, science and history books too!\You finally come to class and you're a mess!\My writing instruments are in the Feudal Era!\Is Higurashi here?\Kagome, they're things you forgot!\Your younger brother just dropped them off.\He said to pardon you for being so hopeless. response:	Your younger brother is such a capable kid!
context: I forgot my language, science and history books too!\You finally come to class and you're a mess!\My writing instruments are in the Feudal Era!\Is Higurashi here?\Kagome, they're things you forgot!\Your younger brother just dropped them off.\He said to pardon you for being so hopeless.\Your younger brother is such a capable kid! response:	It's been quite some time since...
context: You finally come to class and you're a mess!\My writing instruments are in the Feudal Era!\Is Higurashi here?\Kagome, they're things you forgot!\Your younger brother just dropped them off.\He said to pardon you for being so hopeless.\Your younger brother is such a capable kid!\It's been quite some time since... response:	I, an average middle-school student, began...
context: My writing instruments are in the Feudal Era!\Is Higurashi here?\Kagome, they're things you forgot!\Your younger brother just dropped them off.\He said to pardon you for being so hopeless.\Your younger brother is such a capable kid!\It's been quite some time since...\I, an average middle-school student, began... response:	going to the Feudal Era.
context: Is Higurashi here?\Kagome, they're things you forgot!\Your younger brother just dropped them off.\He said to pardon you for being so hopeless.\Your younger brother is such a capable kid!\It's been quite some time since...\I, an average middle-school student, began...\going to the Feudal Era. response:	In the Feudal Era...
context: Kagome, they're things you forgot!\Your younger brother just dropped them off.\He said to pardon you for being so hopeless.\Your younger brother is such a capable kid!\It's been quite some time since...\I, an average middle-school student, began...\going to the Feudal Era.\In the Feudal Era... response:	I have Inuyasha, Miroku and old Kaede to help me.
context: Your younger brother just dropped them off.\He said to pardon you for being so hopeless.\Your younger brother is such a capable kid!\It's been quite some time since...\I, an average middle-school student, began...\going to the Feudal Era.\In the Feudal Era...\I have Inuyasha, Miroku and old Kaede to help me. response:	But here, with high school entrance exams looming...
context: He said to pardon you for being so hopeless.\Your younger brother is such a capable kid!\It's been quite some time since...\I, an average middle-school student, began...\going to the Feudal Era.\In the Feudal Era...\I have Inuyasha, Miroku and old Kaede to help me.\But here, with high school entrance exams looming... response:	I have to manage on my own.
context: Your younger brother is such a capable kid!\It's been quite some time since...\I, an average middle-school student, began...\going to the Feudal Era.\In the Feudal Era...\I have Inuyasha, Miroku and old Kaede to help me.\But here, with high school entrance exams looming...\I have to manage on my own. response:	Well...not quite.
context: It's been quite some time since...\I, an average middle-school student, began...\going to the Feudal Era.\In the Feudal Era...\I have Inuyasha, Miroku and old Kaede to help me.\But here, with high school entrance exams looming...\I have to manage on my own.\Well...not quite. response:	I've been getting help in this world, too.
context: I, an average middle-school student, began...\going to the Feudal Era.\In the Feudal Era...\I have Inuyasha, Miroku and old Kaede to help me.\But here, with high school entrance exams looming...\I have to manage on my own.\Well...not quite.\I've been getting help in this world, too. response:	Eri, thanks for the notes. They were a big help!
context: going to the Feudal Era.\In the Feudal Era...\I have Inuyasha, Miroku and old Kaede to help me.\But here, with high school entrance exams looming...\I have to manage on my own.\Well...not quite.\I've been getting help in this world, too.\Eri, thanks for the notes. They were a big help! response:	Your brother Sota asked me to keep notes.
context: In the Feudal Era...\I have Inuyasha, Miroku and old Kaede to help me.\But here, with high school entrance exams looming...\I have to manage on my own.\Well...not quite.\I've been getting help in this world, too.\Eri, thanks for the notes. They were a big help!\Your brother Sota asked me to keep notes. response:	He said you tend to fall behind in math.
context: I have Inuyasha, Miroku and old Kaede to help me.\But here, with high school entrance exams looming...\I have to manage on my own.\Well...not quite.\I've been getting help in this world, too.\Eri, thanks for the notes. They were a big help!\Your brother Sota asked me to keep notes.\He said you tend to fall behind in math. response:	Huh? Sota said that?
context: But here, with high school entrance exams looming...\I have to manage on my own.\Well...not quite.\I've been getting help in this world, too.\Eri, thanks for the notes. They were a big help!\Your brother Sota asked me to keep notes.\He said you tend to fall behind in math.\Huh? Sota said that? response:	My sister forgot this.
context: I have to manage on my own.\Well...not quite.\I've been getting help in this world, too.\Eri, thanks for the notes. They were a big help!\Your brother Sota asked me to keep notes.\He said you tend to fall behind in math.\Huh? Sota said that?\My sister forgot this. response:	May I ask you to give this to her?
context: Well...not quite.\I've been getting help in this world, too.\Eri, thanks for the notes. They were a big help!\Your brother Sota asked me to keep notes.\He said you tend to fall behind in math.\Huh? Sota said that?\My sister forgot this.\May I ask you to give this to her? response:	What?! There's a test coming up?
context: I've been getting help in this world, too.\Eri, thanks for the notes. They were a big help!\Your brother Sota asked me to keep notes.\He said you tend to fall behind in math.\Huh? Sota said that?\My sister forgot this.\May I ask you to give this to her?\What?! There's a test coming up? response:	Oh no! I'd better tell Sis!
context: Eri, thanks for the notes. They were a big help!\Your brother Sota asked me to keep notes.\He said you tend to fall behind in math.\Huh? Sota said that?\My sister forgot this.\May I ask you to give this to her?\What?! There's a test coming up?\Oh no! I'd better tell Sis! response:	Thank you! Please keep me informed!
context: Your brother Sota asked me to keep notes.\He said you tend to fall behind in math.\Huh? Sota said that?\My sister forgot this.\May I ask you to give this to her?\What?! There's a test coming up?\Oh no! I'd better tell Sis!\Thank you! Please keep me informed! response:	That Sota!
context: He said you tend to fall behind in math.\Huh? Sota said that?\My sister forgot this.\May I ask you to give this to her?\What?! There's a test coming up?\Oh no! I'd better tell Sis!\Thank you! Please keep me informed!\That Sota! response:	Good Sota!
context: Huh? Sota said that?\My sister forgot this.\May I ask you to give this to her?\What?! There's a test coming up?\Oh no! I'd better tell Sis!\Thank you! Please keep me informed!\That Sota!\Good Sota! response:	I see.
context: My sister forgot this.\May I ask you to give this to her?\What?! There's a test coming up?\Oh no! I'd better tell Sis!\Thank you! Please keep me informed!\That Sota!\Good Sota!\I see. response:	Inuyasha killed them with one swing of Tetsusaiga?
context: May I ask you to give this to her?\What?! There's a test coming up?\Oh no! I'd better tell Sis!\Thank you! Please keep me informed!\That Sota!\Good Sota!\I see.\Inuyasha killed them with one swing of Tetsusaiga? response:	Rather than sending 100 demons...
context: What?! There's a test coming up?\Oh no! I'd better tell Sis!\Thank you! Please keep me informed!\That Sota!\Good Sota!\I see.\Inuyasha killed them with one swing of Tetsusaiga?\Rather than sending 100 demons... response:	send one he cannot kill.
context: Oh no! I'd better tell Sis!\Thank you! Please keep me informed!\That Sota!\Good Sota!\I see.\Inuyasha killed them with one swing of Tetsusaiga?\Rather than sending 100 demons...\send one he cannot kill. response:	Well, kill or miss...
context: Thank you! Please keep me informed!\That Sota!\Good Sota!\I see.\Inuyasha killed them with one swing of Tetsusaiga?\Rather than sending 100 demons...\send one he cannot kill.\Well, kill or miss... response:	I intend to use you. Are you agreeable?
context: That Sota!\Good Sota!\I see.\Inuyasha killed them with one swing of Tetsusaiga?\Rather than sending 100 demons...\send one he cannot kill.\Well, kill or miss...\I intend to use you. Are you agreeable? response:	Are you able to move your body now?
context: Good Sota!\I see.\Inuyasha killed them with one swing of Tetsusaiga?\Rather than sending 100 demons...\send one he cannot kill.\Well, kill or miss...\I intend to use you. Are you agreeable?\Are you able to move your body now? response:	Yes, Master Naraku.
context: I see.\Inuyasha killed them with one swing of Tetsusaiga?\Rather than sending 100 demons...\send one he cannot kill.\Well, kill or miss...\I intend to use you. Are you agreeable?\Are you able to move your body now?\Yes, Master Naraku. response:	Can you kill them?
context: Inuyasha killed them with one swing of Tetsusaiga?\Rather than sending 100 demons...\send one he cannot kill.\Well, kill or miss...\I intend to use you. Are you agreeable?\Are you able to move your body now?\Yes, Master Naraku.\Can you kill them? response:	Yes, Master Naraku.
context: Rather than sending 100 demons...\send one he cannot kill.\Well, kill or miss...\I intend to use you. Are you agreeable?\Are you able to move your body now?\Yes, Master Naraku.\Can you kill them?\Yes, Master Naraku. response:	Inuyasha, Miroku...
context: send one he cannot kill.\Well, kill or miss...\I intend to use you. Are you agreeable?\Are you able to move your body now?\Yes, Master Naraku.\Can you kill them?\Yes, Master Naraku.\Inuyasha, Miroku... response:	and Sango.
context: Well, kill or miss...\I intend to use you. Are you agreeable?\Are you able to move your body now?\Yes, Master Naraku.\Can you kill them?\Yes, Master Naraku.\Inuyasha, Miroku...\and Sango. response:	Yes, Master Naraku.
context: I intend to use you. Are you agreeable?\Are you able to move your body now?\Yes, Master Naraku.\Can you kill them?\Yes, Master Naraku.\Inuyasha, Miroku...\and Sango.\Yes, Master Naraku. response:	Ready!
context: Are you able to move your body now?\Yes, Master Naraku.\Can you kill them?\Yes, Master Naraku.\Inuyasha, Miroku...\and Sango.\Yes, Master Naraku.\Ready! response:	Huh? Damn!
context: Yes, Master Naraku.\Can you kill them?\Yes, Master Naraku.\Inuyasha, Miroku...\and Sango.\Yes, Master Naraku.\Ready!\Huh? Damn! response:	How do I extract Tetsusaiga's ultimate power?
context: Can you kill them?\Yes, Master Naraku.\Inuyasha, Miroku...\and Sango.\Yes, Master Naraku.\Ready!\Huh? Damn!\How do I extract Tetsusaiga's ultimate power? response:	Don't be disheartened.
context: Yes, Master Naraku.\Inuyasha, Miroku...\and Sango.\Yes, Master Naraku.\Ready!\Huh? Damn!\How do I extract Tetsusaiga's ultimate power?\Don't be disheartened. response:	Even if it was sheer luck, you saved us all.
context: Inuyasha, Miroku...\and Sango.\Yes, Master Naraku.\Ready!\Huh? Damn!\How do I extract Tetsusaiga's ultimate power?\Don't be disheartened.\Even if it was sheer luck, you saved us all. response:	Next time, just get lucky again.
context: and Sango.\Yes, Master Naraku.\Ready!\Huh? Damn!\How do I extract Tetsusaiga's ultimate power?\Don't be disheartened.\Even if it was sheer luck, you saved us all.\Next time, just get lucky again. response:	Tetsusaiga!
context: Yes, Master Naraku.\Ready!\Huh? Damn!\How do I extract Tetsusaiga's ultimate power?\Don't be disheartened.\Even if it was sheer luck, you saved us all.\Next time, just get lucky again.\Tetsusaiga! response:	Hey Inuyasha! Do you want to kill me?!
context: Ready!\Huh? Damn!\How do I extract Tetsusaiga's ultimate power?\Don't be disheartened.\Even if it was sheer luck, you saved us all.\Next time, just get lucky again.\Tetsusaiga!\Hey Inuyasha! Do you want to kill me?! response:	Is it luck, after all?
context: Huh? Damn!\How do I extract Tetsusaiga's ultimate power?\Don't be disheartened.\Even if it was sheer luck, you saved us all.\Next time, just get lucky again.\Tetsusaiga!\Hey Inuyasha! Do you want to kill me?!\Is it luck, after all? response:	Are you listening to me?
context: How do I extract Tetsusaiga's ultimate power?\Don't be disheartened.\Even if it was sheer luck, you saved us all.\Next time, just get lucky again.\Tetsusaiga!\Hey Inuyasha! Do you want to kill me?!\Is it luck, after all?\Are you listening to me? response:	Don't get lucky now!
context: Don't be disheartened.\Even if it was sheer luck, you saved us all.\Next time, just get lucky again.\Tetsusaiga!\Hey Inuyasha! Do you want to kill me?!\Is it luck, after all?\Are you listening to me?\Don't get lucky now! response:	Shut up!
context: Even if it was sheer luck, you saved us all.\Next time, just get lucky again.\Tetsusaiga!\Hey Inuyasha! Do you want to kill me?!\Is it luck, after all?\Are you listening to me?\Don't get lucky now!\Shut up! response:	And quit calling it luck!
context: Next time, just get lucky again.\Tetsusaiga!\Hey Inuyasha! Do you want to kill me?!\Is it luck, after all?\Are you listening to me?\Don't get lucky now!\Shut up!\And quit calling it luck! response:	Naraku took the offensive.
context: Tetsusaiga!\Hey Inuyasha! Do you want to kill me?!\Is it luck, after all?\Are you listening to me?\Don't get lucky now!\Shut up!\And quit calling it luck!\Naraku took the offensive. response:	If he's keeping a watch on us from somewhere...
context: Hey Inuyasha! Do you want to kill me?!\Is it luck, after all?\Are you listening to me?\Don't get lucky now!\Shut up!\And quit calling it luck!\Naraku took the offensive.\If he's keeping a watch on us from somewhere... response:	it'll be hard to make a move.
context: Is it luck, after all?\Are you listening to me?\Don't get lucky now!\Shut up!\And quit calling it luck!\Naraku took the offensive.\If he's keeping a watch on us from somewhere...\it'll be hard to make a move. response:	It'll save us time looking for him.
context: Are you listening to me?\Don't get lucky now!\Shut up!\And quit calling it luck!\Naraku took the offensive.\If he's keeping a watch on us from somewhere...\it'll be hard to make a move.\It'll save us time looking for him. response:	That bastard, let him come and attack anytime, anywhere!
context: Don't get lucky now!\Shut up!\And quit calling it luck!\Naraku took the offensive.\If he's keeping a watch on us from somewhere...\it'll be hard to make a move.\It'll save us time looking for him.\That bastard, let him come and attack anytime, anywhere! response:	Miroku, what're you laughing about?!
context: Shut up!\And quit calling it luck!\Naraku took the offensive.\If he's keeping a watch on us from somewhere...\it'll be hard to make a move.\It'll save us time looking for him.\That bastard, let him come and attack anytime, anywhere!\Miroku, what're you laughing about?! response:	Sorry...
context: And quit calling it luck!\Naraku took the offensive.\If he's keeping a watch on us from somewhere...\it'll be hard to make a move.\It'll save us time looking for him.\That bastard, let him come and attack anytime, anywhere!\Miroku, what're you laughing about?!\Sorry... response:	I won't be able to use my Wind Tunnel for a while.
context: Naraku took the offensive.\If he's keeping a watch on us from somewhere...\it'll be hard to make a move.\It'll save us time looking for him.\That bastard, let him come and attack anytime, anywhere!\Miroku, what're you laughing about?!\Sorry...\I won't be able to use my Wind Tunnel for a while. response:	Hearing you talk with such confidence is gratifying.
context: If he's keeping a watch on us from somewhere...\it'll be hard to make a move.\It'll save us time looking for him.\That bastard, let him come and attack anytime, anywhere!\Miroku, what're you laughing about?!\Sorry...\I won't be able to use my Wind Tunnel for a while.\Hearing you talk with such confidence is gratifying. response:	Well, sit back and relax.
context: it'll be hard to make a move.\It'll save us time looking for him.\That bastard, let him come and attack anytime, anywhere!\Miroku, what're you laughing about?!\Sorry...\I won't be able to use my Wind Tunnel for a while.\Hearing you talk with such confidence is gratifying.\Well, sit back and relax. response:	I'll slice Naraku in two with Tetsusaiga.
context: It'll save us time looking for him.\That bastard, let him come and attack anytime, anywhere!\Miroku, what're you laughing about?!\Sorry...\I won't be able to use my Wind Tunnel for a while.\Hearing you talk with such confidence is gratifying.\Well, sit back and relax.\I'll slice Naraku in two with Tetsusaiga. response:	I don't care if it's luck or whatever.
context: That bastard, let him come and attack anytime, anywhere!\Miroku, what're you laughing about?!\Sorry...\I won't be able to use my Wind Tunnel for a while.\Hearing you talk with such confidence is gratifying.\Well, sit back and relax.\I'll slice Naraku in two with Tetsusaiga.\I don't care if it's luck or whatever. response:	If I have Tetsusaiga's true power, I can beat Naraku.
context: Miroku, what're you laughing about?!\Sorry...\I won't be able to use my Wind Tunnel for a while.\Hearing you talk with such confidence is gratifying.\Well, sit back and relax.\I'll slice Naraku in two with Tetsusaiga.\I don't care if it's luck or whatever.\If I have Tetsusaiga's true power, I can beat Naraku. response:	I swear to master this sword... the Tetsusaiga.
context: Sorry...\I won't be able to use my Wind Tunnel for a while.\Hearing you talk with such confidence is gratifying.\Well, sit back and relax.\I'll slice Naraku in two with Tetsusaiga.\I don't care if it's luck or whatever.\If I have Tetsusaiga's true power, I can beat Naraku.\I swear to master this sword... the Tetsusaiga. response:	Well Shippo?
context: I won't be able to use my Wind Tunnel for a while.\Hearing you talk with such confidence is gratifying.\Well, sit back and relax.\I'll slice Naraku in two with Tetsusaiga.\I don't care if it's luck or whatever.\If I have Tetsusaiga's true power, I can beat Naraku.\I swear to master this sword... the Tetsusaiga.\Well Shippo? response:	They're in deep conversation.
context: Hearing you talk with such confidence is gratifying.\Well, sit back and relax.\I'll slice Naraku in two with Tetsusaiga.\I don't care if it's luck or whatever.\If I have Tetsusaiga's true power, I can beat Naraku.\I swear to master this sword... the Tetsusaiga.\Well Shippo?\They're in deep conversation. response:	Really?
context: Well, sit back and relax.\I'll slice Naraku in two with Tetsusaiga.\I don't care if it's luck or whatever.\If I have Tetsusaiga's true power, I can beat Naraku.\I swear to master this sword... the Tetsusaiga.\Well Shippo?\They're in deep conversation.\Really? response:	Let's go and bathe in the hot springs now.
context: I'll slice Naraku in two with Tetsusaiga.\I don't care if it's luck or whatever.\If I have Tetsusaiga's true power, I can beat Naraku.\I swear to master this sword... the Tetsusaiga.\Well Shippo?\They're in deep conversation.\Really?\Let's go and bathe in the hot springs now. response:	I understand about the monk...
context: I don't care if it's luck or whatever.\If I have Tetsusaiga's true power, I can beat Naraku.\I swear to master this sword... the Tetsusaiga.\Well Shippo?\They're in deep conversation.\Really?\Let's go and bathe in the hot springs now.\I understand about the monk... response:	but will Inuyasha take a peek, too?
context: If I have Tetsusaiga's true power, I can beat Naraku.\I swear to master this sword... the Tetsusaiga.\Well Shippo?\They're in deep conversation.\Really?\Let's go and bathe in the hot springs now.\I understand about the monk...\but will Inuyasha take a peek, too? response:	No way! He's so standoffish!
context: I swear to master this sword... the Tetsusaiga.\Well Shippo?\They're in deep conversation.\Really?\Let's go and bathe in the hot springs now.\I understand about the monk...\but will Inuyasha take a peek, too?\No way! He's so standoffish! response:	Do you want him to look?
context: Well Shippo?\They're in deep conversation.\Really?\Let's go and bathe in the hot springs now.\I understand about the monk...\but will Inuyasha take a peek, too?\No way! He's so standoffish!\Do you want him to look? response:	Those scars...
context: They're in deep conversation.\Really?\Let's go and bathe in the hot springs now.\I understand about the monk...\but will Inuyasha take a peek, too?\No way! He's so standoffish!\Do you want him to look?\Those scars... response:	Yeah... they didn't heal completely.
context: Really?\Let's go and bathe in the hot springs now.\I understand about the monk...\but will Inuyasha take a peek, too?\No way! He's so standoffish!\Do you want him to look?\Those scars...\Yeah... they didn't heal completely. response:	Were they from the demons?
context: Let's go and bathe in the hot springs now.\I understand about the monk...\but will Inuyasha take a peek, too?\No way! He's so standoffish!\Do you want him to look?\Those scars...\Yeah... they didn't heal completely.\Were they from the demons? response:	No...
context: I understand about the monk...\but will Inuyasha take a peek, too?\No way! He's so standoffish!\Do you want him to look?\Those scars...\Yeah... they didn't heal completely.\Were they from the demons?\No... response:	I got these scars...
context: but will Inuyasha take a peek, too?\No way! He's so standoffish!\Do you want him to look?\Those scars...\Yeah... they didn't heal completely.\Were they from the demons?\No...\I got these scars... response:	from my dead younger brother.
context: No way! He's so standoffish!\Do you want him to look?\Those scars...\Yeah... they didn't heal completely.\Were they from the demons?\No...\I got these scars...\from my dead younger brother. response:	If only I had realized it sooner, I could have prevented it all.
context: Do you want him to look?\Those scars...\Yeah... they didn't heal completely.\Were they from the demons?\No...\I got these scars...\from my dead younger brother.\If only I had realized it sooner, I could have prevented it all. response:	Kohaku was a weak, gentle boy.
context: Those scars...\Yeah... they didn't heal completely.\Were they from the demons?\No...\I got these scars...\from my dead younger brother.\If only I had realized it sooner, I could have prevented it all.\Kohaku was a weak, gentle boy. response:	Perhaps, he wasn't suited to be a slayer.
context: Yeah... they didn't heal completely.\Were they from the demons?\No...\I got these scars...\from my dead younger brother.\If only I had realized it sooner, I could have prevented it all.\Kohaku was a weak, gentle boy.\Perhaps, he wasn't suited to be a slayer. response:	I'm sorry to make you remember such sad memories.
context: Were they from the demons?\No...\I got these scars...\from my dead younger brother.\If only I had realized it sooner, I could have prevented it all.\Kohaku was a weak, gentle boy.\Perhaps, he wasn't suited to be a slayer.\I'm sorry to make you remember such sad memories. response:	It's all right.
context: No...\I got these scars...\from my dead younger brother.\If only I had realized it sooner, I could have prevented it all.\Kohaku was a weak, gentle boy.\Perhaps, he wasn't suited to be a slayer.\I'm sorry to make you remember such sad memories.\It's all right. response:	Before he died, Kohaku had reverted to his old self.
context: I got these scars...\from my dead younger brother.\If only I had realized it sooner, I could have prevented it all.\Kohaku was a weak, gentle boy.\Perhaps, he wasn't suited to be a slayer.\I'm sorry to make you remember such sad memories.\It's all right.\Before he died, Kohaku had reverted to his old self. response:	I'm sad, but that has somewhat eased the pain.
context: from my dead younger brother.\If only I had realized it sooner, I could have prevented it all.\Kohaku was a weak, gentle boy.\Perhaps, he wasn't suited to be a slayer.\I'm sorry to make you remember such sad memories.\It's all right.\Before he died, Kohaku had reverted to his old self.\I'm sad, but that has somewhat eased the pain. response:	I'm a Demon Slayer. It can't be helped.
context: If only I had realized it sooner, I could have prevented it all.\Kohaku was a weak, gentle boy.\Perhaps, he wasn't suited to be a slayer.\I'm sorry to make you remember such sad memories.\It's all right.\Before he died, Kohaku had reverted to his old self.\I'm sad, but that has somewhat eased the pain.\I'm a Demon Slayer. It can't be helped. response:	Everyone else has a reason for being here, right?
context: Kohaku was a weak, gentle boy.\Perhaps, he wasn't suited to be a slayer.\I'm sorry to make you remember such sad memories.\It's all right.\Before he died, Kohaku had reverted to his old self.\I'm sad, but that has somewhat eased the pain.\I'm a Demon Slayer. It can't be helped.\Everyone else has a reason for being here, right? response:	Kagome, why are you gathering Sacred Jewel fragments?
context: Perhaps, he wasn't suited to be a slayer.\I'm sorry to make you remember such sad memories.\It's all right.\Before he died, Kohaku had reverted to his old self.\I'm sad, but that has somewhat eased the pain.\I'm a Demon Slayer. It can't be helped.\Everyone else has a reason for being here, right?\Kagome, why are you gathering Sacred Jewel fragments? response:	Huh?
context: I'm sorry to make you remember such sad memories.\It's all right.\Before he died, Kohaku had reverted to his old self.\I'm sad, but that has somewhat eased the pain.\I'm a Demon Slayer. It can't be helped.\Everyone else has a reason for being here, right?\Kagome, why are you gathering Sacred Jewel fragments?\Huh? response:	Err... well, I feel bad about my involvement...
context: It's all right.\Before he died, Kohaku had reverted to his old self.\I'm sad, but that has somewhat eased the pain.\I'm a Demon Slayer. It can't be helped.\Everyone else has a reason for being here, right?\Kagome, why are you gathering Sacred Jewel fragments?\Huh?\Err... well, I feel bad about my involvement... response:	You broke the Jewel?!
context: Before he died, Kohaku had reverted to his old self.\I'm sad, but that has somewhat eased the pain.\I'm a Demon Slayer. It can't be helped.\Everyone else has a reason for being here, right?\Kagome, why are you gathering Sacred Jewel fragments?\Huh?\Err... well, I feel bad about my involvement...\You broke the Jewel?! response:	I'm sorry.
context: I'm sad, but that has somewhat eased the pain.\I'm a Demon Slayer. It can't be helped.\Everyone else has a reason for being here, right?\Kagome, why are you gathering Sacred Jewel fragments?\Huh?\Err... well, I feel bad about my involvement...\You broke the Jewel?!\I'm sorry. response:	I really did something horrible.
context: I'm a Demon Slayer. It can't be helped.\Everyone else has a reason for being here, right?\Kagome, why are you gathering Sacred Jewel fragments?\Huh?\Err... well, I feel bad about my involvement...\You broke the Jewel?!\I'm sorry.\I really did something horrible. response:	But you were trying to take it back from a demon...
