context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land J
context: of becoming a Pokemon master.\Last time, Ash defeated the Vermilion City Gym Leader\and earned a thunder badge.\Hm?\- Hey. - Pikachu.\Has Ash's ship finally come in,\or will our heroes be cruisin' for a bruisin'?\Battle Aboard The St. Anne response:	- Pika! - Wow!
context: Last time, Ash defeated the Vermilion City Gym Leader\and earned a thunder badge.\Hm?\- Hey. - Pikachu.\Has Ash's ship finally come in,\or will our heroes be cruisin' for a bruisin'?\Battle Aboard The St. Anne\- Pika! - Wow! response:	Beautiful.
context: and earned a thunder badge.\Hm?\- Hey. - Pikachu.\Has Ash's ship finally come in,\or will our heroes be cruisin' for a bruisin'?\Battle Aboard The St. Anne\- Pika! - Wow!\Beautiful. response:	Oh, man, I'd love to cross the ocean on a ship like this.
context: Hm?\- Hey. - Pikachu.\Has Ash's ship finally come in,\or will our heroes be cruisin' for a bruisin'?\Battle Aboard The St. Anne\- Pika! - Wow!\Beautiful.\Oh, man, I'd love to cross the ocean on a ship like this. response:	Yeah, just think of all the Pokemon we'd be able to see along the way.
context: - Hey. - Pikachu.\Has Ash's ship finally come in,\or will our heroes be cruisin' for a bruisin'?\Battle Aboard The St. Anne\- Pika! - Wow!\Beautiful.\Oh, man, I'd love to cross the ocean on a ship like this.\Yeah, just think of all the Pokemon we'd be able to see along the way. response:	Oh, for sure.
context: Has Ash's ship finally come in,\or will our heroes be cruisin' for a bruisin'?\Battle Aboard The St. Anne\- Pika! - Wow!\Beautiful.\Oh, man, I'd love to cross the ocean on a ship like this.\Yeah, just think of all the Pokemon we'd be able to see along the way.\Oh, for sure. response:	Just imagine, sunbathing on deck all day.
context: or will our heroes be cruisin' for a bruisin'?\Battle Aboard The St. Anne\- Pika! - Wow!\Beautiful.\Oh, man, I'd love to cross the ocean on a ship like this.\Yeah, just think of all the Pokemon we'd be able to see along the way.\Oh, for sure.\Just imagine, sunbathing on deck all day. response:	Just a nice, long, relaxing cruise.
context: Battle Aboard The St. Anne\- Pika! - Wow!\Beautiful.\Oh, man, I'd love to cross the ocean on a ship like this.\Yeah, just think of all the Pokemon we'd be able to see along the way.\Oh, for sure.\Just imagine, sunbathing on deck all day.\Just a nice, long, relaxing cruise. response:	-We could never afford a cruise like that. -Oh.
context: - Pika! - Wow!\Beautiful.\Oh, man, I'd love to cross the ocean on a ship like this.\Yeah, just think of all the Pokemon we'd be able to see along the way.\Oh, for sure.\Just imagine, sunbathing on deck all day.\Just a nice, long, relaxing cruise.\-We could never afford a cruise like that. -Oh. response:	Reality can really bum you out.
context: Beautiful.\Oh, man, I'd love to cross the ocean on a ship like this.\Yeah, just think of all the Pokemon we'd be able to see along the way.\Oh, for sure.\Just imagine, sunbathing on deck all day.\Just a nice, long, relaxing cruise.\-We could never afford a cruise like that. -Oh.\Reality can really bum you out. response:	Congratulations! You guys are way lucky. You can go on a super deluxe sea cruise!
context: Oh, man, I'd love to cross the ocean on a ship like this.\Yeah, just think of all the Pokemon we'd be able to see along the way.\Oh, for sure.\Just imagine, sunbathing on deck all day.\Just a nice, long, relaxing cruise.\-We could never afford a cruise like that. -Oh.\Reality can really bum you out.\Congratulations! You guys are way lucky. You can go on a super deluxe sea cruise! response:	A sea cruise?
context: Yeah, just think of all the Pokemon we'd be able to see along the way.\Oh, for sure.\Just imagine, sunbathing on deck all day.\Just a nice, long, relaxing cruise.\-We could never afford a cruise like that. -Oh.\Reality can really bum you out.\Congratulations! You guys are way lucky. You can go on a super deluxe sea cruise!\A sea cruise? response:	Well, it's, like, you know, we have these incredible,
context: Oh, for sure.\Just imagine, sunbathing on deck all day.\Just a nice, long, relaxing cruise.\-We could never afford a cruise like that. -Oh.\Reality can really bum you out.\Congratulations! You guys are way lucky. You can go on a super deluxe sea cruise!\A sea cruise?\Well, it's, like, you know, we have these incredible, response:	-super cool tickets for you. -Cool.
context: Just imagine, sunbathing on deck all day.\Just a nice, long, relaxing cruise.\-We could never afford a cruise like that. -Oh.\Reality can really bum you out.\Congratulations! You guys are way lucky. You can go on a super deluxe sea cruise!\A sea cruise?\Well, it's, like, you know, we have these incredible,\-super cool tickets for you. -Cool. response:	-Cool, huh? - What?
context: Just a nice, long, relaxing cruise.\-We could never afford a cruise like that. -Oh.\Reality can really bum you out.\Congratulations! You guys are way lucky. You can go on a super deluxe sea cruise!\A sea cruise?\Well, it's, like, you know, we have these incredible,\-super cool tickets for you. -Cool.\-Cool, huh? - What? response:	These are tickets for the biggest party ever, on board the St. Anne cruise liner.
context: -We could never afford a cruise like that. -Oh.\Reality can really bum you out.\Congratulations! You guys are way lucky. You can go on a super deluxe sea cruise!\A sea cruise?\Well, it's, like, you know, we have these incredible,\-super cool tickets for you. -Cool.\-Cool, huh? - What?\These are tickets for the biggest party ever, on board the St. Anne cruise liner. response:	The famous St. Anne?
context: Reality can really bum you out.\Congratulations! You guys are way lucky. You can go on a super deluxe sea cruise!\A sea cruise?\Well, it's, like, you know, we have these incredible,\-super cool tickets for you. -Cool.\-Cool, huh? - What?\These are tickets for the biggest party ever, on board the St. Anne cruise liner.\The famous St. Anne? response:	-Cool. -The coolest ship on the sea.
context: Congratulations! You guys are way lucky. You can go on a super deluxe sea cruise!\A sea cruise?\Well, it's, like, you know, we have these incredible,\-super cool tickets for you. -Cool.\-Cool, huh? - What?\These are tickets for the biggest party ever, on board the St. Anne cruise liner.\The famous St. Anne?\-Cool. -The coolest ship on the sea. response:	Everyone's going to be together and, like, have the coolest party.
context: A sea cruise?\Well, it's, like, you know, we have these incredible,\-super cool tickets for you. -Cool.\-Cool, huh? - What?\These are tickets for the biggest party ever, on board the St. Anne cruise liner.\The famous St. Anne?\-Cool. -The coolest ship on the sea.\Everyone's going to be together and, like, have the coolest party. response:	Cool.
context: Well, it's, like, you know, we have these incredible,\-super cool tickets for you. -Cool.\-Cool, huh? - What?\These are tickets for the biggest party ever, on board the St. Anne cruise liner.\The famous St. Anne?\-Cool. -The coolest ship on the sea.\Everyone's going to be together and, like, have the coolest party.\Cool. response:	And the party's for Pokemon trainers only.
context: -super cool tickets for you. -Cool.\-Cool, huh? - What?\These are tickets for the biggest party ever, on board the St. Anne cruise liner.\The famous St. Anne?\-Cool. -The coolest ship on the sea.\Everyone's going to be together and, like, have the coolest party.\Cool.\And the party's for Pokemon trainers only. response:	Cool.
context: -Cool, huh? - What?\These are tickets for the biggest party ever, on board the St. Anne cruise liner.\The famous St. Anne?\-Cool. -The coolest ship on the sea.\Everyone's going to be together and, like, have the coolest party.\Cool.\And the party's for Pokemon trainers only.\Cool. response:	-Step this way. -
context: These are tickets for the biggest party ever, on board the St. Anne cruise liner.\The famous St. Anne?\-Cool. -The coolest ship on the sea.\Everyone's going to be together and, like, have the coolest party.\Cool.\And the party's for Pokemon trainers only.\Cool.\-Step this way. - response:	It'll be a radical party. All the most radical Pokemon trainers will be there.
context: The famous St. Anne?\-Cool. -The coolest ship on the sea.\Everyone's going to be together and, like, have the coolest party.\Cool.\And the party's for Pokemon trainers only.\Cool.\-Step this way. -\It'll be a radical party. All the most radical Pokemon trainers will be there. response:	Do you know anybody who says radical anymore?
context: -Cool. -The coolest ship on the sea.\Everyone's going to be together and, like, have the coolest party.\Cool.\And the party's for Pokemon trainers only.\Cool.\-Step this way. -\It'll be a radical party. All the most radical Pokemon trainers will be there.\Do you know anybody who says radical anymore? response:	Uh-uh.
context: Everyone's going to be together and, like, have the coolest party.\Cool.\And the party's for Pokemon trainers only.\Cool.\-Step this way. -\It'll be a radical party. All the most radical Pokemon trainers will be there.\Do you know anybody who says radical anymore?\Uh-uh. response:	Okay, dudes, here are your tickets.
context: Cool.\And the party's for Pokemon trainers only.\Cool.\-Step this way. -\It'll be a radical party. All the most radical Pokemon trainers will be there.\Do you know anybody who says radical anymore?\Uh-uh.\Okay, dudes, here are your tickets. response:	We'd love to go on the Pokemon trainer cruise,
context: And the party's for Pokemon trainers only.\Cool.\-Step this way. -\It'll be a radical party. All the most radical Pokemon trainers will be there.\Do you know anybody who says radical anymore?\Uh-uh.\Okay, dudes, here are your tickets.\We'd love to go on the Pokemon trainer cruise, response:	but we really don't have the money to pay for it.
context: Cool.\-Step this way. -\It'll be a radical party. All the most radical Pokemon trainers will be there.\Do you know anybody who says radical anymore?\Uh-uh.\Okay, dudes, here are your tickets.\We'd love to go on the Pokemon trainer cruise,\but we really don't have the money to pay for it. response:	Oh, whoa, like, you don't understand.
context: -Step this way. -\It'll be a radical party. All the most radical Pokemon trainers will be there.\Do you know anybody who says radical anymore?\Uh-uh.\Okay, dudes, here are your tickets.\We'd love to go on the Pokemon trainer cruise,\but we really don't have the money to pay for it.\Oh, whoa, like, you don't understand. response:	-Cool. -They're totally free.
context: It'll be a radical party. All the most radical Pokemon trainers will be there.\Do you know anybody who says radical anymore?\Uh-uh.\Okay, dudes, here are your tickets.\We'd love to go on the Pokemon trainer cruise,\but we really don't have the money to pay for it.\Oh, whoa, like, you don't understand.\-Cool. -They're totally free. response:	-Huh? -Totally free.
context: Do you know anybody who says radical anymore?\Uh-uh.\Okay, dudes, here are your tickets.\We'd love to go on the Pokemon trainer cruise,\but we really don't have the money to pay for it.\Oh, whoa, like, you don't understand.\-Cool. -They're totally free.\-Huh? -Totally free. response:	Totally free.
context: Uh-uh.\Okay, dudes, here are your tickets.\We'd love to go on the Pokemon trainer cruise,\but we really don't have the money to pay for it.\Oh, whoa, like, you don't understand.\-Cool. -They're totally free.\-Huh? -Totally free.\Totally free. response:	For free? Why are you giving them away?
context: Okay, dudes, here are your tickets.\We'd love to go on the Pokemon trainer cruise,\but we really don't have the money to pay for it.\Oh, whoa, like, you don't understand.\-Cool. -They're totally free.\-Huh? -Totally free.\Totally free.\For free? Why are you giving them away? response:	Well, like, we have to go out with our boyfriends,
context: We'd love to go on the Pokemon trainer cruise,\but we really don't have the money to pay for it.\Oh, whoa, like, you don't understand.\-Cool. -They're totally free.\-Huh? -Totally free.\Totally free.\For free? Why are you giving them away?\Well, like, we have to go out with our boyfriends, response:	but we wanted to give our tickets to cool Pokemon fans.
context: but we really don't have the money to pay for it.\Oh, whoa, like, you don't understand.\-Cool. -They're totally free.\-Huh? -Totally free.\Totally free.\For free? Why are you giving them away?\Well, like, we have to go out with our boyfriends,\but we wanted to give our tickets to cool Pokemon fans. response:	Cool.
context: Oh, whoa, like, you don't understand.\-Cool. -They're totally free.\-Huh? -Totally free.\Totally free.\For free? Why are you giving them away?\Well, like, we have to go out with our boyfriends,\but we wanted to give our tickets to cool Pokemon fans.\Cool. response:	We saw you and thought you looked really cool.
context: -Cool. -They're totally free.\-Huh? -Totally free.\Totally free.\For free? Why are you giving them away?\Well, like, we have to go out with our boyfriends,\but we wanted to give our tickets to cool Pokemon fans.\Cool.\We saw you and thought you looked really cool. response:	Just take these and have a really cool time.
context: -Huh? -Totally free.\Totally free.\For free? Why are you giving them away?\Well, like, we have to go out with our boyfriends,\but we wanted to give our tickets to cool Pokemon fans.\Cool.\We saw you and thought you looked really cool.\Just take these and have a really cool time. response:	-Thanks a lot. -No sweat.
context: Totally free.\For free? Why are you giving them away?\Well, like, we have to go out with our boyfriends,\but we wanted to give our tickets to cool Pokemon fans.\Cool.\We saw you and thought you looked really cool.\Just take these and have a really cool time.\-Thanks a lot. -No sweat. response:	-Cool. -Have a nice day, for sure.
context: For free? Why are you giving them away?\Well, like, we have to go out with our boyfriends,\but we wanted to give our tickets to cool Pokemon fans.\Cool.\We saw you and thought you looked really cool.\Just take these and have a really cool time.\-Thanks a lot. -No sweat.\-Cool. -Have a nice day, for sure. response:	All right. This really is cool, Isn't it?
context: Well, like, we have to go out with our boyfriends,\but we wanted to give our tickets to cool Pokemon fans.\Cool.\We saw you and thought you looked really cool.\Just take these and have a really cool time.\-Thanks a lot. -No sweat.\-Cool. -Have a nice day, for sure.\All right. This really is cool, Isn't it? response:	Pikachu.
context: but we wanted to give our tickets to cool Pokemon fans.\Cool.\We saw you and thought you looked really cool.\Just take these and have a really cool time.\-Thanks a lot. -No sweat.\-Cool. -Have a nice day, for sure.\All right. This really is cool, Isn't it?\Pikachu. response:	The St. Anne. Wow!
context: Cool.\We saw you and thought you looked really cool.\Just take these and have a really cool time.\-Thanks a lot. -No sweat.\-Cool. -Have a nice day, for sure.\All right. This really is cool, Isn't it?\Pikachu.\The St. Anne. Wow! response:	Yeah and that Pokemon party.
context: We saw you and thought you looked really cool.\Just take these and have a really cool time.\-Thanks a lot. -No sweat.\-Cool. -Have a nice day, for sure.\All right. This really is cool, Isn't it?\Pikachu.\The St. Anne. Wow!\Yeah and that Pokemon party. response:	I wonder which one of these ships is the St. Anne.
context: Just take these and have a really cool time.\-Thanks a lot. -No sweat.\-Cool. -Have a nice day, for sure.\All right. This really is cool, Isn't it?\Pikachu.\The St. Anne. Wow!\Yeah and that Pokemon party.\I wonder which one of these ships is the St. Anne. response:	-I think that's it. -Huh?
context: -Thanks a lot. -No sweat.\-Cool. -Have a nice day, for sure.\All right. This really is cool, Isn't it?\Pikachu.\The St. Anne. Wow!\Yeah and that Pokemon party.\I wonder which one of these ships is the St. Anne.\-I think that's it. -Huh? response:	Wow. That's incredible.
context: -Cool. -Have a nice day, for sure.\All right. This really is cool, Isn't it?\Pikachu.\The St. Anne. Wow!\Yeah and that Pokemon party.\I wonder which one of these ships is the St. Anne.\-I think that's it. -Huh?\Wow. That's incredible. response:	It's huge.
context: All right. This really is cool, Isn't it?\Pikachu.\The St. Anne. Wow!\Yeah and that Pokemon party.\I wonder which one of these ships is the St. Anne.\-I think that's it. -Huh?\Wow. That's incredible.\It's huge. response:	Pika.
context: Pikachu.\The St. Anne. Wow!\Yeah and that Pokemon party.\I wonder which one of these ships is the St. Anne.\-I think that's it. -Huh?\Wow. That's incredible.\It's huge.\Pika. response:	We did it. We got them.
context: The St. Anne. Wow!\Yeah and that Pokemon party.\I wonder which one of these ships is the St. Anne.\-I think that's it. -Huh?\Wow. That's incredible.\It's huge.\Pika.\We did it. We got them. response:	Like, wow, don't I make, like, the coolest girl?
context: Yeah and that Pokemon party.\I wonder which one of these ships is the St. Anne.\-I think that's it. -Huh?\Wow. That's incredible.\It's huge.\Pika.\We did it. We got them.\Like, wow, don't I make, like, the coolest girl? response:	- -Stop acting like an ignoramus.
context: I wonder which one of these ships is the St. Anne.\-I think that's it. -Huh?\Wow. That's incredible.\It's huge.\Pika.\We did it. We got them.\Like, wow, don't I make, like, the coolest girl?\- -Stop acting like an ignoramus. response:	Ow.
context: -I think that's it. -Huh?\Wow. That's incredible.\It's huge.\Pika.\We did it. We got them.\Like, wow, don't I make, like, the coolest girl?\- -Stop acting like an ignoramus.\Ow. response:	We got a call from the boss.
context: Wow. That's incredible.\It's huge.\Pika.\We did it. We got them.\Like, wow, don't I make, like, the coolest girl?\- -Stop acting like an ignoramus.\Ow.\We got a call from the boss. response:	Greetings, sir.
context: It's huge.\Pika.\We did it. We got them.\Like, wow, don't I make, like, the coolest girl?\- -Stop acting like an ignoramus.\Ow.\We got a call from the boss.\Greetings, sir. response:	So the team is all there.
context: Pika.\We did it. We got them.\Like, wow, don't I make, like, the coolest girl?\- -Stop acting like an ignoramus.\Ow.\We got a call from the boss.\Greetings, sir.\So the team is all there. response:	Sir.
context: We did it. We got them.\Like, wow, don't I make, like, the coolest girl?\- -Stop acting like an ignoramus.\Ow.\We got a call from the boss.\Greetings, sir.\So the team is all there.\Sir. response:	Meow! What's with the Persian?
context: Like, wow, don't I make, like, the coolest girl?\- -Stop acting like an ignoramus.\Ow.\We got a call from the boss.\Greetings, sir.\So the team is all there.\Sir.\Meow! What's with the Persian? response:	Hey, boss, what about Meowth? Ain't I your favorite anymore?
context: - -Stop acting like an ignoramus.\Ow.\We got a call from the boss.\Greetings, sir.\So the team is all there.\Sir.\Meow! What's with the Persian?\Hey, boss, what about Meowth? Ain't I your favorite anymore? response:	I'm totally disgusted watching you fail me when I expect total perfection.
context: Ow.\We got a call from the boss.\Greetings, sir.\So the team is all there.\Sir.\Meow! What's with the Persian?\Hey, boss, what about Meowth? Ain't I your favorite anymore?\I'm totally disgusted watching you fail me when I expect total perfection. response:	-Purr-fection like this beautiful Persian. -
context: We got a call from the boss.\Greetings, sir.\So the team is all there.\Sir.\Meow! What's with the Persian?\Hey, boss, what about Meowth? Ain't I your favorite anymore?\I'm totally disgusted watching you fail me when I expect total perfection.\-Purr-fection like this beautiful Persian. - response:	But... Meowth.
context: Greetings, sir.\So the team is all there.\Sir.\Meow! What's with the Persian?\Hey, boss, what about Meowth? Ain't I your favorite anymore?\I'm totally disgusted watching you fail me when I expect total perfection.\-Purr-fection like this beautiful Persian. -\But... Meowth. response:	If you want to make me happy,
context: So the team is all there.\Sir.\Meow! What's with the Persian?\Hey, boss, what about Meowth? Ain't I your favorite anymore?\I'm totally disgusted watching you fail me when I expect total perfection.\-Purr-fection like this beautiful Persian. -\But... Meowth.\If you want to make me happy, response:	you can make sure our latest plan succeeds.
context: Sir.\Meow! What's with the Persian?\Hey, boss, what about Meowth? Ain't I your favorite anymore?\I'm totally disgusted watching you fail me when I expect total perfection.\-Purr-fection like this beautiful Persian. -\But... Meowth.\If you want to make me happy,\you can make sure our latest plan succeeds. response:	Meow!
context: Meow! What's with the Persian?\Hey, boss, what about Meowth? Ain't I your favorite anymore?\I'm totally disgusted watching you fail me when I expect total perfection.\-Purr-fection like this beautiful Persian. -\But... Meowth.\If you want to make me happy,\you can make sure our latest plan succeeds.\Meow! response:	Have you handed out all of the tickets to the St. Anne cruise?
context: Hey, boss, what about Meowth? Ain't I your favorite anymore?\I'm totally disgusted watching you fail me when I expect total perfection.\-Purr-fection like this beautiful Persian. -\But... Meowth.\If you want to make me happy,\you can make sure our latest plan succeeds.\Meow!\Have you handed out all of the tickets to the St. Anne cruise? response:	Yes.
context: I'm totally disgusted watching you fail me when I expect total perfection.\-Purr-fection like this beautiful Persian. -\But... Meowth.\If you want to make me happy,\you can make sure our latest plan succeeds.\Meow!\Have you handed out all of the tickets to the St. Anne cruise?\Yes. response:	All of the Pokemon trainers were delighted to take them.
context: -Purr-fection like this beautiful Persian. -\But... Meowth.\If you want to make me happy,\you can make sure our latest plan succeeds.\Meow!\Have you handed out all of the tickets to the St. Anne cruise?\Yes.\All of the Pokemon trainers were delighted to take them. response:	Was it really all right for us to give out all those tickets for free?
context: But... Meowth.\If you want to make me happy,\you can make sure our latest plan succeeds.\Meow!\Have you handed out all of the tickets to the St. Anne cruise?\Yes.\All of the Pokemon trainers were delighted to take them.\Was it really all right for us to give out all those tickets for free? response:	A small price to pay for what I'll get in return.
context: If you want to make me happy,\you can make sure our latest plan succeeds.\Meow!\Have you handed out all of the tickets to the St. Anne cruise?\Yes.\All of the Pokemon trainers were delighted to take them.\Was it really all right for us to give out all those tickets for free?\A small price to pay for what I'll get in return. response:	Oh.
context: you can make sure our latest plan succeeds.\Meow!\Have you handed out all of the tickets to the St. Anne cruise?\Yes.\All of the Pokemon trainers were delighted to take them.\Was it really all right for us to give out all those tickets for free?\A small price to pay for what I'll get in return.\Oh. response:	My men have already secretly boarded the St. Anne.
context: Meow!\Have you handed out all of the tickets to the St. Anne cruise?\Yes.\All of the Pokemon trainers were delighted to take them.\Was it really all right for us to give out all those tickets for free?\A small price to pay for what I'll get in return.\Oh.\My men have already secretly boarded the St. Anne. response:	When I give them the signal, they will take the Pokemon
context: Have you handed out all of the tickets to the St. Anne cruise?\Yes.\All of the Pokemon trainers were delighted to take them.\Was it really all right for us to give out all those tickets for free?\A small price to pay for what I'll get in return.\Oh.\My men have already secretly boarded the St. Anne.\When I give them the signal, they will take the Pokemon response:	from all of the trainers we tricked into boarding the ship.
context: Yes.\All of the Pokemon trainers were delighted to take them.\Was it really all right for us to give out all those tickets for free?\A small price to pay for what I'll get in return.\Oh.\My men have already secretly boarded the St. Anne.\When I give them the signal, they will take the Pokemon\from all of the trainers we tricked into boarding the ship. response:	That's the boss for you, a real genius.
context: All of the Pokemon trainers were delighted to take them.\Was it really all right for us to give out all those tickets for free?\A small price to pay for what I'll get in return.\Oh.\My men have already secretly boarded the St. Anne.\When I give them the signal, they will take the Pokemon\from all of the trainers we tricked into boarding the ship.\That's the boss for you, a real genius. response:	This time, failure is out of the question.
context: Was it really all right for us to give out all those tickets for free?\A small price to pay for what I'll get in return.\Oh.\My men have already secretly boarded the St. Anne.\When I give them the signal, they will take the Pokemon\from all of the trainers we tricked into boarding the ship.\That's the boss for you, a real genius.\This time, failure is out of the question. response:	Aye-aye, sir.
context: A small price to pay for what I'll get in return.\Oh.\My men have already secretly boarded the St. Anne.\When I give them the signal, they will take the Pokemon\from all of the trainers we tricked into boarding the ship.\That's the boss for you, a real genius.\This time, failure is out of the question.\Aye-aye, sir. response:	We can do it.
context: Oh.\My men have already secretly boarded the St. Anne.\When I give them the signal, they will take the Pokemon\from all of the trainers we tricked into boarding the ship.\That's the boss for you, a real genius.\This time, failure is out of the question.\Aye-aye, sir.\We can do it. response:	What an awesome ship.
context: My men have already secretly boarded the St. Anne.\When I give them the signal, they will take the Pokemon\from all of the trainers we tricked into boarding the ship.\That's the boss for you, a real genius.\This time, failure is out of the question.\Aye-aye, sir.\We can do it.\What an awesome ship. response:	I'd like to travel around the whole world in this.
context: When I give them the signal, they will take the Pokemon\from all of the trainers we tricked into boarding the ship.\That's the boss for you, a real genius.\This time, failure is out of the question.\Aye-aye, sir.\We can do it.\What an awesome ship.\I'd like to travel around the whole world in this. response:	This way.
context: from all of the trainers we tricked into boarding the ship.\That's the boss for you, a real genius.\This time, failure is out of the question.\Aye-aye, sir.\We can do it.\What an awesome ship.\I'd like to travel around the whole world in this.\This way. response:	Wow! Look at this!
context: That's the boss for you, a real genius.\This time, failure is out of the question.\Aye-aye, sir.\We can do it.\What an awesome ship.\I'd like to travel around the whole world in this.\This way.\Wow! Look at this! response:	Come one, come all.
context: This time, failure is out of the question.\Aye-aye, sir.\We can do it.\What an awesome ship.\I'd like to travel around the whole world in this.\This way.\Wow! Look at this!\Come one, come all. response:	Oh. It's so cute.
context: Aye-aye, sir.\We can do it.\What an awesome ship.\I'd like to travel around the whole world in this.\This way.\Wow! Look at this!\Come one, come all.\Oh. It's so cute. response:	It's like a giant Pokemon convention.
context: We can do it.\What an awesome ship.\I'd like to travel around the whole world in this.\This way.\Wow! Look at this!\Come one, come all.\Oh. It's so cute.\It's like a giant Pokemon convention. response:	Everyone's a Pokemon trainer.
