context: I'm counting on you then, Millihi-nee. response:	Sure.
context: I'm glad to hear it.\And what did you do today?\We played catch\and then we both got on Mercurius and rode through the sky.\That does indeed sound like fun.\It was!\Thank you very much.\We'll get in the bath ourselves, response:	so you may all go ahead and take a break.
context: And what did you do today?\We played catch\and then we both got on Mercurius and rode through the sky.\That does indeed sound like fun.\It was!\Thank you very much.\We'll get in the bath ourselves,\so you may all go ahead and take a break. response:	Yes.
context: We played catch\and then we both got on Mercurius and rode through the sky.\That does indeed sound like fun.\It was!\Thank you very much.\We'll get in the bath ourselves,\so you may all go ahead and take a break.\Yes. response:	I do apologize though.
context: and then we both got on Mercurius and rode through the sky.\That does indeed sound like fun.\It was!\Thank you very much.\We'll get in the bath ourselves,\so you may all go ahead and take a break.\Yes.\I do apologize though. response:	I know your morning walk
context: That does indeed sound like fun.\It was!\Thank you very much.\We'll get in the bath ourselves,\so you may all go ahead and take a break.\Yes.\I do apologize though.\I know your morning walk response:	is your time to go out together with Sink.
context: It was!\Thank you very much.\We'll get in the bath ourselves,\so you may all go ahead and take a break.\Yes.\I do apologize though.\I know your morning walk\is your time to go out together with Sink. response:	I have fun with you, too.
context: Thank you very much.\We'll get in the bath ourselves,\so you may all go ahead and take a break.\Yes.\I do apologize though.\I know your morning walk\is your time to go out together with Sink.\I have fun with you, too. response:	Really?
context: We'll get in the bath ourselves,\so you may all go ahead and take a break.\Yes.\I do apologize though.\I know your morning walk\is your time to go out together with Sink.\I have fun with you, too.\Really? response:	Of course!
context: so you may all go ahead and take a break.\Yes.\I do apologize though.\I know your morning walk\is your time to go out together with Sink.\I have fun with you, too.\Really?\Of course! response:	That reminds me.
context: Yes.\I do apologize though.\I know your morning walk\is your time to go out together with Sink.\I have fun with you, too.\Really?\Of course!\That reminds me. response:	You're not spending as much time with Sink as I expected.
context: I do apologize though.\I know your morning walk\is your time to go out together with Sink.\I have fun with you, too.\Really?\Of course!\That reminds me.\You're not spending as much time with Sink as I expected. response:	Yes. His work and my work are just so completely different.
context: I know your morning walk\is your time to go out together with Sink.\I have fun with you, too.\Really?\Of course!\That reminds me.\You're not spending as much time with Sink as I expected.\Yes. His work and my work are just so completely different. response:	But every day this summer,
context: is your time to go out together with Sink.\I have fun with you, too.\Really?\Of course!\That reminds me.\You're not spending as much time with Sink as I expected.\Yes. His work and my work are just so completely different.\But every day this summer, response:	we've made sure to begin and end the day together.
context: I have fun with you, too.\Really?\Of course!\That reminds me.\You're not spending as much time with Sink as I expected.\Yes. His work and my work are just so completely different.\But every day this summer,\we've made sure to begin and end the day together. response:	In the morning we take our walk,
context: Really?\Of course!\That reminds me.\You're not spending as much time with Sink as I expected.\Yes. His work and my work are just so completely different.\But every day this summer,\we've made sure to begin and end the day together.\In the morning we take our walk, response:	and in the evening we study together.
context: Of course!\That reminds me.\You're not spending as much time with Sink as I expected.\Yes. His work and my work are just so completely different.\But every day this summer,\we've made sure to begin and end the day together.\In the morning we take our walk,\and in the evening we study together. response:	We enjoy each day.
context: That reminds me.\You're not spending as much time with Sink as I expected.\Yes. His work and my work are just so completely different.\But every day this summer,\we've made sure to begin and end the day together.\In the morning we take our walk,\and in the evening we study together.\We enjoy each day. response:	Oh, yeah.
context: You're not spending as much time with Sink as I expected.\Yes. His work and my work are just so completely different.\But every day this summer,\we've made sure to begin and end the day together.\In the morning we take our walk,\and in the evening we study together.\We enjoy each day.\Oh, yeah. response:	You study in your room, don't you?
context: Yes. His work and my work are just so completely different.\But every day this summer,\we've made sure to begin and end the day together.\In the morning we take our walk,\and in the evening we study together.\We enjoy each day.\Oh, yeah.\You study in your room, don't you? response:	I can already write all the hiragana and the alphabet.
context: But every day this summer,\we've made sure to begin and end the day together.\In the morning we take our walk,\and in the evening we study together.\We enjoy each day.\Oh, yeah.\You study in your room, don't you?\I can already write all the hiragana and the alphabet. response:	That's great!
context: we've made sure to begin and end the day together.\In the morning we take our walk,\and in the evening we study together.\We enjoy each day.\Oh, yeah.\You study in your room, don't you?\I can already write all the hiragana and the alphabet.\That's great! response:	I always think I'm very lucky to have Sink as our hero.
context: In the morning we take our walk,\and in the evening we study together.\We enjoy each day.\Oh, yeah.\You study in your room, don't you?\I can already write all the hiragana and the alphabet.\That's great!\I always think I'm very lucky to have Sink as our hero. response:	Yeah!
context: and in the evening we study together.\We enjoy each day.\Oh, yeah.\You study in your room, don't you?\I can already write all the hiragana and the alphabet.\That's great!\I always think I'm very lucky to have Sink as our hero.\Yeah! response:	So Princess...
context: We enjoy each day.\Oh, yeah.\You study in your room, don't you?\I can already write all the hiragana and the alphabet.\That's great!\I always think I'm very lucky to have Sink as our hero.\Yeah!\So Princess... response:	Yes?
context: Oh, yeah.\You study in your room, don't you?\I can already write all the hiragana and the alphabet.\That's great!\I always think I'm very lucky to have Sink as our hero.\Yeah!\So Princess...\Yes? response:	Have you ever thought you might like to marry Sink at some point?
context: You study in your room, don't you?\I can already write all the hiragana and the alphabet.\That's great!\I always think I'm very lucky to have Sink as our hero.\Yeah!\So Princess...\Yes?\Have you ever thought you might like to marry Sink at some point? response:	Rebecca-san!
context: I can already write all the hiragana and the alphabet.\That's great!\I always think I'm very lucky to have Sink as our hero.\Yeah!\So Princess...\Yes?\Have you ever thought you might like to marry Sink at some point?\Rebecca-san! response:	I still haven't... I haven't even considered such a thing.
context: That's great!\I always think I'm very lucky to have Sink as our hero.\Yeah!\So Princess...\Yes?\Have you ever thought you might like to marry Sink at some point?\Rebecca-san!\I still haven't... I haven't even considered such a thing. response:	You say still, so does that mean
context: I always think I'm very lucky to have Sink as our hero.\Yeah!\So Princess...\Yes?\Have you ever thought you might like to marry Sink at some point?\Rebecca-san!\I still haven't... I haven't even considered such a thing.\You say still, so does that mean response:	you'd consider it in the future?
context: Yeah!\So Princess...\Yes?\Have you ever thought you might like to marry Sink at some point?\Rebecca-san!\I still haven't... I haven't even considered such a thing.\You say still, so does that mean\you'd consider it in the future? response:	That's not what I meant.
context: So Princess...\Yes?\Have you ever thought you might like to marry Sink at some point?\Rebecca-san!\I still haven't... I haven't even considered such a thing.\You say still, so does that mean\you'd consider it in the future?\That's not what I meant. response:	No need to be shy.
context: Yes?\Have you ever thought you might like to marry Sink at some point?\Rebecca-san!\I still haven't... I haven't even considered such a thing.\You say still, so does that mean\you'd consider it in the future?\That's not what I meant.\No need to be shy. response:	I think it would be nice, if it happened,
context: Have you ever thought you might like to marry Sink at some point?\Rebecca-san!\I still haven't... I haven't even considered such a thing.\You say still, so does that mean\you'd consider it in the future?\That's not what I meant.\No need to be shy.\I think it would be nice, if it happened, response:	but Sink is from Earth after all.
context: Rebecca-san!\I still haven't... I haven't even considered such a thing.\You say still, so does that mean\you'd consider it in the future?\That's not what I meant.\No need to be shy.\I think it would be nice, if it happened,\but Sink is from Earth after all. response:	You're here, too.
context: I still haven't... I haven't even considered such a thing.\You say still, so does that mean\you'd consider it in the future?\That's not what I meant.\No need to be shy.\I think it would be nice, if it happened,\but Sink is from Earth after all.\You're here, too. response:	It doesn't bother me at all.
context: You say still, so does that mean\you'd consider it in the future?\That's not what I meant.\No need to be shy.\I think it would be nice, if it happened,\but Sink is from Earth after all.\You're here, too.\It doesn't bother me at all. response:	If you love Sink and he loves you,
context: you'd consider it in the future?\That's not what I meant.\No need to be shy.\I think it would be nice, if it happened,\but Sink is from Earth after all.\You're here, too.\It doesn't bother me at all.\If you love Sink and he loves you, response:	then I support you both with all my heart.
context: That's not what I meant.\No need to be shy.\I think it would be nice, if it happened,\but Sink is from Earth after all.\You're here, too.\It doesn't bother me at all.\If you love Sink and he loves you,\then I support you both with all my heart. response:	That's not okay!
context: No need to be shy.\I think it would be nice, if it happened,\but Sink is from Earth after all.\You're here, too.\It doesn't bother me at all.\If you love Sink and he loves you,\then I support you both with all my heart.\That's not okay! response:	After all, you love him, too.
context: I think it would be nice, if it happened,\but Sink is from Earth after all.\You're here, too.\It doesn't bother me at all.\If you love Sink and he loves you,\then I support you both with all my heart.\That's not okay!\After all, you love him, too. response:	Huh?
context: but Sink is from Earth after all.\You're here, too.\It doesn't bother me at all.\If you love Sink and he loves you,\then I support you both with all my heart.\That's not okay!\After all, you love him, too.\Huh? response:	You say you're all right with it,
context: You're here, too.\It doesn't bother me at all.\If you love Sink and he loves you,\then I support you both with all my heart.\That's not okay!\After all, you love him, too.\Huh?\You say you're all right with it, response:	but I bet you'd be very sad if it ever actually happened.
context: It doesn't bother me at all.\If you love Sink and he loves you,\then I support you both with all my heart.\That's not okay!\After all, you love him, too.\Huh?\You say you're all right with it,\but I bet you'd be very sad if it ever actually happened. response:	I guess it would be a lie if I said it wouldn't make me feel lonely at all.
context: If you love Sink and he loves you,\then I support you both with all my heart.\That's not okay!\After all, you love him, too.\Huh?\You say you're all right with it,\but I bet you'd be very sad if it ever actually happened.\I guess it would be a lie if I said it wouldn't make me feel lonely at all. response:	Sink and I are basically family.
context: then I support you both with all my heart.\That's not okay!\After all, you love him, too.\Huh?\You say you're all right with it,\but I bet you'd be very sad if it ever actually happened.\I guess it would be a lie if I said it wouldn't make me feel lonely at all.\Sink and I are basically family. response:	It guess I'm also afraid of changing what we have now...
context: That's not okay!\After all, you love him, too.\Huh?\You say you're all right with it,\but I bet you'd be very sad if it ever actually happened.\I guess it would be a lie if I said it wouldn't make me feel lonely at all.\Sink and I are basically family.\It guess I'm also afraid of changing what we have now... response:	Yes.
context: After all, you love him, too.\Huh?\You say you're all right with it,\but I bet you'd be very sad if it ever actually happened.\I guess it would be a lie if I said it wouldn't make me feel lonely at all.\Sink and I are basically family.\It guess I'm also afraid of changing what we have now...\Yes. response:	The truth is, I really like our relationship right now, too.
context: Huh?\You say you're all right with it,\but I bet you'd be very sad if it ever actually happened.\I guess it would be a lie if I said it wouldn't make me feel lonely at all.\Sink and I are basically family.\It guess I'm also afraid of changing what we have now...\Yes.\The truth is, I really like our relationship right now, too. response:	It's so warm, and exciting, and just plain nice.
context: You say you're all right with it,\but I bet you'd be very sad if it ever actually happened.\I guess it would be a lie if I said it wouldn't make me feel lonely at all.\Sink and I are basically family.\It guess I'm also afraid of changing what we have now...\Yes.\The truth is, I really like our relationship right now, too.\It's so warm, and exciting, and just plain nice. response:	Being together is so fun and pleasant.
context: but I bet you'd be very sad if it ever actually happened.\I guess it would be a lie if I said it wouldn't make me feel lonely at all.\Sink and I are basically family.\It guess I'm also afraid of changing what we have now...\Yes.\The truth is, I really like our relationship right now, too.\It's so warm, and exciting, and just plain nice.\Being together is so fun and pleasant. response:	Exactly.
context: I guess it would be a lie if I said it wouldn't make me feel lonely at all.\Sink and I are basically family.\It guess I'm also afraid of changing what we have now...\Yes.\The truth is, I really like our relationship right now, too.\It's so warm, and exciting, and just plain nice.\Being together is so fun and pleasant.\Exactly. response:	So I'm afraid that we might lose that,
context: Sink and I are basically family.\It guess I'm also afraid of changing what we have now...\Yes.\The truth is, I really like our relationship right now, too.\It's so warm, and exciting, and just plain nice.\Being together is so fun and pleasant.\Exactly.\So I'm afraid that we might lose that, response:	if I try to change something,
context: It guess I'm also afraid of changing what we have now...\Yes.\The truth is, I really like our relationship right now, too.\It's so warm, and exciting, and just plain nice.\Being together is so fun and pleasant.\Exactly.\So I'm afraid that we might lose that,\if I try to change something, response:	and I wouldn't know what to do then...
context: Yes.\The truth is, I really like our relationship right now, too.\It's so warm, and exciting, and just plain nice.\Being together is so fun and pleasant.\Exactly.\So I'm afraid that we might lose that,\if I try to change something,\and I wouldn't know what to do then... response:	That's exactly what I mean!
context: The truth is, I really like our relationship right now, too.\It's so warm, and exciting, and just plain nice.\Being together is so fun and pleasant.\Exactly.\So I'm afraid that we might lose that,\if I try to change something,\and I wouldn't know what to do then...\That's exactly what I mean! response:	I bet Sink wants to focus on athletics
context: It's so warm, and exciting, and just plain nice.\Being together is so fun and pleasant.\Exactly.\So I'm afraid that we might lose that,\if I try to change something,\and I wouldn't know what to do then...\That's exactly what I mean!\I bet Sink wants to focus on athletics response:	and his role as Hero for a while.
context: Being together is so fun and pleasant.\Exactly.\So I'm afraid that we might lose that,\if I try to change something,\and I wouldn't know what to do then...\That's exactly what I mean!\I bet Sink wants to focus on athletics\and his role as Hero for a while. response:	I know what you mean.
context: Exactly.\So I'm afraid that we might lose that,\if I try to change something,\and I wouldn't know what to do then...\That's exactly what I mean!\I bet Sink wants to focus on athletics\and his role as Hero for a while.\I know what you mean. response:	That's why I let a few years go by without being able to say anything.
context: So I'm afraid that we might lose that,\if I try to change something,\and I wouldn't know what to do then...\That's exactly what I mean!\I bet Sink wants to focus on athletics\and his role as Hero for a while.\I know what you mean.\That's why I let a few years go by without being able to say anything. response:	That's me.
context: if I try to change something,\and I wouldn't know what to do then...\That's exactly what I mean!\I bet Sink wants to focus on athletics\and his role as Hero for a while.\I know what you mean.\That's why I let a few years go by without being able to say anything.\That's me. response:	Still, I actually like the way we are now, too.
context: and I wouldn't know what to do then...\That's exactly what I mean!\I bet Sink wants to focus on athletics\and his role as Hero for a while.\I know what you mean.\That's why I let a few years go by without being able to say anything.\That's me.\Still, I actually like the way we are now, too. response:	We're childhood friends who are more than friends,
context: That's exactly what I mean!\I bet Sink wants to focus on athletics\and his role as Hero for a while.\I know what you mean.\That's why I let a few years go by without being able to say anything.\That's me.\Still, I actually like the way we are now, too.\We're childhood friends who are more than friends, response:	but not quite family...
context: I bet Sink wants to focus on athletics\and his role as Hero for a while.\I know what you mean.\That's why I let a few years go by without being able to say anything.\That's me.\Still, I actually like the way we are now, too.\We're childhood friends who are more than friends,\but not quite family... response:	I get just a little bit of special treatment...
context: and his role as Hero for a while.\I know what you mean.\That's why I let a few years go by without being able to say anything.\That's me.\Still, I actually like the way we are now, too.\We're childhood friends who are more than friends,\but not quite family...\I get just a little bit of special treatment... response:	What used to scare me the most
context: I know what you mean.\That's why I let a few years go by without being able to say anything.\That's me.\Still, I actually like the way we are now, too.\We're childhood friends who are more than friends,\but not quite family...\I get just a little bit of special treatment...\What used to scare me the most response:	was being the third wheel,
context: That's why I let a few years go by without being able to say anything.\That's me.\Still, I actually like the way we are now, too.\We're childhood friends who are more than friends,\but not quite family...\I get just a little bit of special treatment...\What used to scare me the most\was being the third wheel, response:	if he ever fell in love with someone.
context: That's me.\Still, I actually like the way we are now, too.\We're childhood friends who are more than friends,\but not quite family...\I get just a little bit of special treatment...\What used to scare me the most\was being the third wheel,\if he ever fell in love with someone. response:	That I'd have to keep my distance and give up a lot of things...
context: Still, I actually like the way we are now, too.\We're childhood friends who are more than friends,\but not quite family...\I get just a little bit of special treatment...\What used to scare me the most\was being the third wheel,\if he ever fell in love with someone.\That I'd have to keep my distance and give up a lot of things... response:	Yes.
context: We're childhood friends who are more than friends,\but not quite family...\I get just a little bit of special treatment...\What used to scare me the most\was being the third wheel,\if he ever fell in love with someone.\That I'd have to keep my distance and give up a lot of things...\Yes. response:	Which is why you have to be
context: but not quite family...\I get just a little bit of special treatment...\What used to scare me the most\was being the third wheel,\if he ever fell in love with someone.\That I'd have to keep my distance and give up a lot of things...\Yes.\Which is why you have to be response:	that most important person for him.
context: I get just a little bit of special treatment...\What used to scare me the most\was being the third wheel,\if he ever fell in love with someone.\That I'd have to keep my distance and give up a lot of things...\Yes.\Which is why you have to be\that most important person for him. response:	It's not easy though.
context: What used to scare me the most\was being the third wheel,\if he ever fell in love with someone.\That I'd have to keep my distance and give up a lot of things...\Yes.\Which is why you have to be\that most important person for him.\It's not easy though. response:	I've gotten to like you so much, too.
context: was being the third wheel,\if he ever fell in love with someone.\That I'd have to keep my distance and give up a lot of things...\Yes.\Which is why you have to be\that most important person for him.\It's not easy though.\I've gotten to like you so much, too. response:	You're so kind, Princess.
context: if he ever fell in love with someone.\That I'd have to keep my distance and give up a lot of things...\Yes.\Which is why you have to be\that most important person for him.\It's not easy though.\I've gotten to like you so much, too.\You're so kind, Princess. response:	I love you, too!
context: That I'd have to keep my distance and give up a lot of things...\Yes.\Which is why you have to be\that most important person for him.\It's not easy though.\I've gotten to like you so much, too.\You're so kind, Princess.\I love you, too! response:	In the end, it's all up to Sink,
context: Yes.\Which is why you have to be\that most important person for him.\It's not easy though.\I've gotten to like you so much, too.\You're so kind, Princess.\I love you, too!\In the end, it's all up to Sink, response:	but he just loves everybody he meets.
context: Which is why you have to be\that most important person for him.\It's not easy though.\I've gotten to like you so much, too.\You're so kind, Princess.\I love you, too!\In the end, it's all up to Sink,\but he just loves everybody he meets. response:	That's what's so wonderful about him.
context: that most important person for him.\It's not easy though.\I've gotten to like you so much, too.\You're so kind, Princess.\I love you, too!\In the end, it's all up to Sink,\but he just loves everybody he meets.\That's what's so wonderful about him. response:	He loves everyone,
context: It's not easy though.\I've gotten to like you so much, too.\You're so kind, Princess.\I love you, too!\In the end, it's all up to Sink,\but he just loves everybody he meets.\That's what's so wonderful about him.\He loves everyone, response:	he's always so positive, and that's what I love about him.
context: I've gotten to like you so much, too.\You're so kind, Princess.\I love you, too!\In the end, it's all up to Sink,\but he just loves everybody he meets.\That's what's so wonderful about him.\He loves everyone,\he's always so positive, and that's what I love about him. response:	Yeah. Me, too.
context: You're so kind, Princess.\I love you, too!\In the end, it's all up to Sink,\but he just loves everybody he meets.\That's what's so wonderful about him.\He loves everyone,\he's always so positive, and that's what I love about him.\Yeah. Me, too. response:	Then again, it's not like I don't have my problems with him.
context: I love you, too!\In the end, it's all up to Sink,\but he just loves everybody he meets.\That's what's so wonderful about him.\He loves everyone,\he's always so positive, and that's what I love about him.\Yeah. Me, too.\Then again, it's not like I don't have my problems with him. response:	Really? Like what?
context: In the end, it's all up to Sink,\but he just loves everybody he meets.\That's what's so wonderful about him.\He loves everyone,\he's always so positive, and that's what I love about him.\Yeah. Me, too.\Then again, it's not like I don't have my problems with him.\Really? Like what? response:	Like... but this is between us, okay?
context: but he just loves everybody he meets.\That's what's so wonderful about him.\He loves everyone,\he's always so positive, and that's what I love about him.\Yeah. Me, too.\Then again, it's not like I don't have my problems with him.\Really? Like what?\Like... but this is between us, okay? response:	Oh really. I can see that.
context: That's what's so wonderful about him.\He loves everyone,\he's always so positive, and that's what I love about him.\Yeah. Me, too.\Then again, it's not like I don't have my problems with him.\Really? Like what?\Like... but this is between us, okay?\Oh really. I can see that. response:	Well, I just hope he notices one day.
context: He loves everyone,\he's always so positive, and that's what I love about him.\Yeah. Me, too.\Then again, it's not like I don't have my problems with him.\Really? Like what?\Like... but this is between us, okay?\Oh really. I can see that.\Well, I just hope he notices one day. response:	We can't tell him though.
context: he's always so positive, and that's what I love about him.\Yeah. Me, too.\Then again, it's not like I don't have my problems with him.\Really? Like what?\Like... but this is between us, okay?\Oh really. I can see that.\Well, I just hope he notices one day.\We can't tell him though. response:	I promise I'll keep it a secret,
context: Yeah. Me, too.\Then again, it's not like I don't have my problems with him.\Really? Like what?\Like... but this is between us, okay?\Oh really. I can see that.\Well, I just hope he notices one day.\We can't tell him though.\I promise I'll keep it a secret, response:	so that maybe he'll see it himself.
context: Then again, it's not like I don't have my problems with him.\Really? Like what?\Like... but this is between us, okay?\Oh really. I can see that.\Well, I just hope he notices one day.\We can't tell him though.\I promise I'll keep it a secret,\so that maybe he'll see it himself. response:	Yeah. It'll be our secret.
context: Really? Like what?\Like... but this is between us, okay?\Oh really. I can see that.\Well, I just hope he notices one day.\We can't tell him though.\I promise I'll keep it a secret,\so that maybe he'll see it himself.\Yeah. It'll be our secret. response:	Galette Northeast - Near the Border Mithha Mountain
context: Like... but this is between us, okay?\Oh really. I can see that.\Well, I just hope he notices one day.\We can't tell him though.\I promise I'll keep it a secret,\so that maybe he'll see it himself.\Yeah. It'll be our secret.\Galette Northeast - Near the Border Mithha Mountain response:	Looks like a band of highwayman-rabbits to me.
context: Oh really. I can see that.\Well, I just hope he notices one day.\We can't tell him though.\I promise I'll keep it a secret,\so that maybe he'll see it himself.\Yeah. It'll be our secret.\Galette Northeast - Near the Border Mithha Mountain\Looks like a band of highwayman-rabbits to me. response:	They seem to be peaceful though.
context: Well, I just hope he notices one day.\We can't tell him though.\I promise I'll keep it a secret,\so that maybe he'll see it himself.\Yeah. It'll be our secret.\Galette Northeast - Near the Border Mithha Mountain\Looks like a band of highwayman-rabbits to me.\They seem to be peaceful though. response:	Nanami and I caught the ones who stumbled into Ayase.
context: We can't tell him though.\I promise I'll keep it a secret,\so that maybe he'll see it himself.\Yeah. It'll be our secret.\Galette Northeast - Near the Border Mithha Mountain\Looks like a band of highwayman-rabbits to me.\They seem to be peaceful though.\Nanami and I caught the ones who stumbled into Ayase. response:	This is their original habitat, so we just brought them back.
context: I promise I'll keep it a secret,\so that maybe he'll see it himself.\Yeah. It'll be our secret.\Galette Northeast - Near the Border Mithha Mountain\Looks like a band of highwayman-rabbits to me.\They seem to be peaceful though.\Nanami and I caught the ones who stumbled into Ayase.\This is their original habitat, so we just brought them back. response:	Their boss looks sick or something.
