context: Perfect. response:	Tea and Distance
context: May I ask that you exit, the second your class ends?\No problem.\And then, would you stay with me after that?\Easy.\You really are a kind and wonderful person.\Huh?\I think I just got played...\Watch out! response:	I'm so sorry!
context: No problem.\And then, would you stay with me after that?\Easy.\You really are a kind and wonderful person.\Huh?\I think I just got played...\Watch out!\I'm so sorry! response:	Quite all right.
context: And then, would you stay with me after that?\Easy.\You really are a kind and wonderful person.\Huh?\I think I just got played...\Watch out!\I'm so sorry!\Quite all right. response:	Thank you so much.
context: Easy.\You really are a kind and wonderful person.\Huh?\I think I just got played...\Watch out!\I'm so sorry!\Quite all right.\Thank you so much. response:	Is your hand okay?
context: You really are a kind and wonderful person.\Huh?\I think I just got played...\Watch out!\I'm so sorry!\Quite all right.\Thank you so much.\Is your hand okay? response:	It's fine.
context: Huh?\I think I just got played...\Watch out!\I'm so sorry!\Quite all right.\Thank you so much.\Is your hand okay?\It's fine. response:	Are you sure?
context: I think I just got played...\Watch out!\I'm so sorry!\Quite all right.\Thank you so much.\Is your hand okay?\It's fine.\Are you sure? response:	You need not worry about me.
context: Watch out!\I'm so sorry!\Quite all right.\Thank you so much.\Is your hand okay?\It's fine.\Are you sure?\You need not worry about me. response:	I am your bodyguard precisely for moments like these.
context: I'm so sorry!\Quite all right.\Thank you so much.\Is your hand okay?\It's fine.\Are you sure?\You need not worry about me.\I am your bodyguard precisely for moments like these. response:	It is my honor to be your shield.
context: Quite all right.\Thank you so much.\Is your hand okay?\It's fine.\Are you sure?\You need not worry about me.\I am your bodyguard precisely for moments like these.\It is my honor to be your shield. response:	I still can't figure out
context: Thank you so much.\Is your hand okay?\It's fine.\Are you sure?\You need not worry about me.\I am your bodyguard precisely for moments like these.\It is my honor to be your shield.\I still can't figure out response:	why he feels the need to humble himself to that degree...
context: Is your hand okay?\It's fine.\Are you sure?\You need not worry about me.\I am your bodyguard precisely for moments like these.\It is my honor to be your shield.\I still can't figure out\why he feels the need to humble himself to that degree... response:	Watanuki.
context: It's fine.\Are you sure?\You need not worry about me.\I am your bodyguard precisely for moments like these.\It is my honor to be your shield.\I still can't figure out\why he feels the need to humble himself to that degree...\Watanuki. response:	Did you train today, too?
context: Are you sure?\You need not worry about me.\I am your bodyguard precisely for moments like these.\It is my honor to be your shield.\I still can't figure out\why he feels the need to humble himself to that degree...\Watanuki.\Did you train today, too? response:	Yup.
context: You need not worry about me.\I am your bodyguard precisely for moments like these.\It is my honor to be your shield.\I still can't figure out\why he feels the need to humble himself to that degree...\Watanuki.\Did you train today, too?\Yup. response:	I ran all the way to school.
context: I am your bodyguard precisely for moments like these.\It is my honor to be your shield.\I still can't figure out\why he feels the need to humble himself to that degree...\Watanuki.\Did you train today, too?\Yup.\I ran all the way to school. response:	That's all?
context: It is my honor to be your shield.\I still can't figure out\why he feels the need to humble himself to that degree...\Watanuki.\Did you train today, too?\Yup.\I ran all the way to school.\That's all? response:	Well, I was really...
context: I still can't figure out\why he feels the need to humble himself to that degree...\Watanuki.\Did you train today, too?\Yup.\I ran all the way to school.\That's all?\Well, I was really... response:	I feel as though the other bodyguard-clients
context: why he feels the need to humble himself to that degree...\Watanuki.\Did you train today, too?\Yup.\I ran all the way to school.\That's all?\Well, I was really...\I feel as though the other bodyguard-clients response:	are far more like friends.
context: Watanuki.\Did you train today, too?\Yup.\I ran all the way to school.\That's all?\Well, I was really...\I feel as though the other bodyguard-clients\are far more like friends. response:	Does anyone know the answer?
context: Did you train today, too?\Yup.\I ran all the way to school.\That's all?\Well, I was really...\I feel as though the other bodyguard-clients\are far more like friends.\Does anyone know the answer? response:	You're pretty gung-ho about participating,
context: Yup.\I ran all the way to school.\That's all?\Well, I was really...\I feel as though the other bodyguard-clients\are far more like friends.\Does anyone know the answer?\You're pretty gung-ho about participating, response:	for such a delinquent.
context: I ran all the way to school.\That's all?\Well, I was really...\I feel as though the other bodyguard-clients\are far more like friends.\Does anyone know the answer?\You're pretty gung-ho about participating,\for such a delinquent. response:	You dropped this.
context: That's all?\Well, I was really...\I feel as though the other bodyguard-clients\are far more like friends.\Does anyone know the answer?\You're pretty gung-ho about participating,\for such a delinquent.\You dropped this. response:	Thank you!
context: Well, I was really...\I feel as though the other bodyguard-clients\are far more like friends.\Does anyone know the answer?\You're pretty gung-ho about participating,\for such a delinquent.\You dropped this.\Thank you! response:	You're pretty kind, for such a delinquent.
context: I feel as though the other bodyguard-clients\are far more like friends.\Does anyone know the answer?\You're pretty gung-ho about participating,\for such a delinquent.\You dropped this.\Thank you!\You're pretty kind, for such a delinquent. response:	Cafeteria
context: are far more like friends.\Does anyone know the answer?\You're pretty gung-ho about participating,\for such a delinquent.\You dropped this.\Thank you!\You're pretty kind, for such a delinquent.\Cafeteria response:	Here's your change.
context: Does anyone know the answer?\You're pretty gung-ho about participating,\for such a delinquent.\You dropped this.\Thank you!\You're pretty kind, for such a delinquent.\Cafeteria\Here's your change. response:	Thank you.
context: You're pretty gung-ho about participating,\for such a delinquent.\You dropped this.\Thank you!\You're pretty kind, for such a delinquent.\Cafeteria\Here's your change.\Thank you. response:	You gave me ten yen too much.
context: for such a delinquent.\You dropped this.\Thank you!\You're pretty kind, for such a delinquent.\Cafeteria\Here's your change.\Thank you.\You gave me ten yen too much. response:	Oh, my!
context: You dropped this.\Thank you!\You're pretty kind, for such a delinquent.\Cafeteria\Here's your change.\Thank you.\You gave me ten yen too much.\Oh, my! response:	You're pretty honest, for such a delinquent.
context: Thank you!\You're pretty kind, for such a delinquent.\Cafeteria\Here's your change.\Thank you.\You gave me ten yen too much.\Oh, my!\You're pretty honest, for such a delinquent. response:	What are you talking about?
context: You're pretty kind, for such a delinquent.\Cafeteria\Here's your change.\Thank you.\You gave me ten yen too much.\Oh, my!\You're pretty honest, for such a delinquent.\What are you talking about? response:	He used to serve him.
context: Cafeteria\Here's your change.\Thank you.\You gave me ten yen too much.\Oh, my!\You're pretty honest, for such a delinquent.\What are you talking about?\He used to serve him. response:	I'm not honest at all!
context: Here's your change.\Thank you.\You gave me ten yen too much.\Oh, my!\You're pretty honest, for such a delinquent.\What are you talking about?\He used to serve him.\I'm not honest at all! response:	That's why he knew who I was.
context: Thank you.\You gave me ten yen too much.\Oh, my!\You're pretty honest, for such a delinquent.\What are you talking about?\He used to serve him.\I'm not honest at all!\That's why he knew who I was. response:	Because I'm that man's fiancee.
context: You gave me ten yen too much.\Oh, my!\You're pretty honest, for such a delinquent.\What are you talking about?\He used to serve him.\I'm not honest at all!\That's why he knew who I was.\Because I'm that man's fiancee. response:	He said that I saved him.
context: Oh, my!\You're pretty honest, for such a delinquent.\What are you talking about?\He used to serve him.\I'm not honest at all!\That's why he knew who I was.\Because I'm that man's fiancee.\He said that I saved him. response:	I wonder if it has anything to do with that.
context: You're pretty honest, for such a delinquent.\What are you talking about?\He used to serve him.\I'm not honest at all!\That's why he knew who I was.\Because I'm that man's fiancee.\He said that I saved him.\I wonder if it has anything to do with that. response:	Shirakiin, you're next.
context: What are you talking about?\He used to serve him.\I'm not honest at all!\That's why he knew who I was.\Because I'm that man's fiancee.\He said that I saved him.\I wonder if it has anything to do with that.\Shirakiin, you're next. response:	Roromiya, you're next.
context: He used to serve him.\I'm not honest at all!\That's why he knew who I was.\Because I'm that man's fiancee.\He said that I saved him.\I wonder if it has anything to do with that.\Shirakiin, you're next.\Roromiya, you're next. response:	Oh, wow!
context: I'm not honest at all!\That's why he knew who I was.\Because I'm that man's fiancee.\He said that I saved him.\I wonder if it has anything to do with that.\Shirakiin, you're next.\Roromiya, you're next.\Oh, wow! response:	Miss!
context: That's why he knew who I was.\Because I'm that man's fiancee.\He said that I saved him.\I wonder if it has anything to do with that.\Shirakiin, you're next.\Roromiya, you're next.\Oh, wow!\Miss! response:	Roromiya's eating a taiyaki.
context: Because I'm that man's fiancee.\He said that I saved him.\I wonder if it has anything to do with that.\Shirakiin, you're next.\Roromiya, you're next.\Oh, wow!\Miss!\Roromiya's eating a taiyaki. response:	No. I'm the problem...
context: He said that I saved him.\I wonder if it has anything to do with that.\Shirakiin, you're next.\Roromiya, you're next.\Oh, wow!\Miss!\Roromiya's eating a taiyaki.\No. I'm the problem... response:	He always notices everything about me,
context: I wonder if it has anything to do with that.\Shirakiin, you're next.\Roromiya, you're next.\Oh, wow!\Miss!\Roromiya's eating a taiyaki.\No. I'm the problem...\He always notices everything about me, response:	but I don't know anything about him.
context: Shirakiin, you're next.\Roromiya, you're next.\Oh, wow!\Miss!\Roromiya's eating a taiyaki.\No. I'm the problem...\He always notices everything about me,\but I don't know anything about him. response:	What are you drawing?
context: Roromiya, you're next.\Oh, wow!\Miss!\Roromiya's eating a taiyaki.\No. I'm the problem...\He always notices everything about me,\but I don't know anything about him.\What are you drawing? response:	Meat and potatoes.
context: Oh, wow!\Miss!\Roromiya's eating a taiyaki.\No. I'm the problem...\He always notices everything about me,\but I don't know anything about him.\What are you drawing?\Meat and potatoes. response:	Yeah, but why?
context: Miss!\Roromiya's eating a taiyaki.\No. I'm the problem...\He always notices everything about me,\but I don't know anything about him.\What are you drawing?\Meat and potatoes.\Yeah, but why? response:	What can I do,
context: Roromiya's eating a taiyaki.\No. I'm the problem...\He always notices everything about me,\but I don't know anything about him.\What are you drawing?\Meat and potatoes.\Yeah, but why?\What can I do, response:	Understand him.
context: No. I'm the problem...\He always notices everything about me,\but I don't know anything about him.\What are you drawing?\Meat and potatoes.\Yeah, but why?\What can I do,\Understand him. response:	to better understand him?
context: He always notices everything about me,\but I don't know anything about him.\What are you drawing?\Meat and potatoes.\Yeah, but why?\What can I do,\Understand him.\to better understand him? response:	I've been waiting for you here,
context: but I don't know anything about him.\What are you drawing?\Meat and potatoes.\Yeah, but why?\What can I do,\Understand him.\to better understand him?\I've been waiting for you here, response:	and even this short distance felt like a thousand miles.
context: What are you drawing?\Meat and potatoes.\Yeah, but why?\What can I do,\Understand him.\to better understand him?\I've been waiting for you here,\and even this short distance felt like a thousand miles. response:	How unfortunate.
context: Meat and potatoes.\Yeah, but why?\What can I do,\Understand him.\to better understand him?\I've been waiting for you here,\and even this short distance felt like a thousand miles.\How unfortunate. response:	So, where are we going?
context: Yeah, but why?\What can I do,\Understand him.\to better understand him?\I've been waiting for you here,\and even this short distance felt like a thousand miles.\How unfortunate.\So, where are we going? response:	Where would you like to go?
context: What can I do,\Understand him.\to better understand him?\I've been waiting for you here,\and even this short distance felt like a thousand miles.\How unfortunate.\So, where are we going?\Where would you like to go? response:	You said you wanted to be with me after school.
context: Understand him.\to better understand him?\I've been waiting for you here,\and even this short distance felt like a thousand miles.\How unfortunate.\So, where are we going?\Where would you like to go?\You said you wanted to be with me after school. response:	Doesn't that mean you had somewhere you wanted to go?
context: to better understand him?\I've been waiting for you here,\and even this short distance felt like a thousand miles.\How unfortunate.\So, where are we going?\Where would you like to go?\You said you wanted to be with me after school.\Doesn't that mean you had somewhere you wanted to go? response:	This morning, you cunningly made me agree to it.
context: I've been waiting for you here,\and even this short distance felt like a thousand miles.\How unfortunate.\So, where are we going?\Where would you like to go?\You said you wanted to be with me after school.\Doesn't that mean you had somewhere you wanted to go?\This morning, you cunningly made me agree to it. response:	You misunderstand.
context: and even this short distance felt like a thousand miles.\How unfortunate.\So, where are we going?\Where would you like to go?\You said you wanted to be with me after school.\Doesn't that mean you had somewhere you wanted to go?\This morning, you cunningly made me agree to it.\You misunderstand. response:	It is impossible for me to expect you to go anywhere for me.
context: How unfortunate.\So, where are we going?\Where would you like to go?\You said you wanted to be with me after school.\Doesn't that mean you had somewhere you wanted to go?\This morning, you cunningly made me agree to it.\You misunderstand.\It is impossible for me to expect you to go anywhere for me. response:	All I want is to be with you.
context: So, where are we going?\Where would you like to go?\You said you wanted to be with me after school.\Doesn't that mean you had somewhere you wanted to go?\This morning, you cunningly made me agree to it.\You misunderstand.\It is impossible for me to expect you to go anywhere for me.\All I want is to be with you. response:	It's that gorgeous car again...
context: Where would you like to go?\You said you wanted to be with me after school.\Doesn't that mean you had somewhere you wanted to go?\This morning, you cunningly made me agree to it.\You misunderstand.\It is impossible for me to expect you to go anywhere for me.\All I want is to be with you.\It's that gorgeous car again... response:	Wow!
context: You said you wanted to be with me after school.\Doesn't that mean you had somewhere you wanted to go?\This morning, you cunningly made me agree to it.\You misunderstand.\It is impossible for me to expect you to go anywhere for me.\All I want is to be with you.\It's that gorgeous car again...\Wow! response:	Is he devious, or is he really pure?
context: Doesn't that mean you had somewhere you wanted to go?\This morning, you cunningly made me agree to it.\You misunderstand.\It is impossible for me to expect you to go anywhere for me.\All I want is to be with you.\It's that gorgeous car again...\Wow!\Is he devious, or is he really pure? response:	So, what did you actually do while you were alone?
context: This morning, you cunningly made me agree to it.\You misunderstand.\It is impossible for me to expect you to go anywhere for me.\All I want is to be with you.\It's that gorgeous car again...\Wow!\Is he devious, or is he really pure?\So, what did you actually do while you were alone? response:	Well, today I spent the morning
context: You misunderstand.\It is impossible for me to expect you to go anywhere for me.\All I want is to be with you.\It's that gorgeous car again...\Wow!\Is he devious, or is he really pure?\So, what did you actually do while you were alone?\Well, today I spent the morning response:	reading the message you sent me.
context: It is impossible for me to expect you to go anywhere for me.\All I want is to be with you.\It's that gorgeous car again...\Wow!\Is he devious, or is he really pure?\So, what did you actually do while you were alone?\Well, today I spent the morning\reading the message you sent me. response:	The entire time?!
context: All I want is to be with you.\It's that gorgeous car again...\Wow!\Is he devious, or is he really pure?\So, what did you actually do while you were alone?\Well, today I spent the morning\reading the message you sent me.\The entire time?! response:	How was school, Miss Ririchiyo?
context: It's that gorgeous car again...\Wow!\Is he devious, or is he really pure?\So, what did you actually do while you were alone?\Well, today I spent the morning\reading the message you sent me.\The entire time?!\How was school, Miss Ririchiyo? response:	Fine.
context: Wow!\Is he devious, or is he really pure?\So, what did you actually do while you were alone?\Well, today I spent the morning\reading the message you sent me.\The entire time?!\How was school, Miss Ririchiyo?\Fine. response:	Really?
context: Is he devious, or is he really pure?\So, what did you actually do while you were alone?\Well, today I spent the morning\reading the message you sent me.\The entire time?!\How was school, Miss Ririchiyo?\Fine.\Really? response:	I've noticed I spend a lot of time with Roromiya and Watanuki.
context: So, what did you actually do while you were alone?\Well, today I spent the morning\reading the message you sent me.\The entire time?!\How was school, Miss Ririchiyo?\Fine.\Really?\I've noticed I spend a lot of time with Roromiya and Watanuki. response:	Food tastes better when you eat together.
context: Well, today I spent the morning\reading the message you sent me.\The entire time?!\How was school, Miss Ririchiyo?\Fine.\Really?\I've noticed I spend a lot of time with Roromiya and Watanuki.\Food tastes better when you eat together. response:	It tastes the same.
context: reading the message you sent me.\The entire time?!\How was school, Miss Ririchiyo?\Fine.\Really?\I've noticed I spend a lot of time with Roromiya and Watanuki.\Food tastes better when you eat together.\It tastes the same. response:	You're so rigid.
context: The entire time?!\How was school, Miss Ririchiyo?\Fine.\Really?\I've noticed I spend a lot of time with Roromiya and Watanuki.\Food tastes better when you eat together.\It tastes the same.\You're so rigid. response:	It's not really in my nature to mingle.
context: How was school, Miss Ririchiyo?\Fine.\Really?\I've noticed I spend a lot of time with Roromiya and Watanuki.\Food tastes better when you eat together.\It tastes the same.\You're so rigid.\It's not really in my nature to mingle. response:	That sounds like fun.
context: Fine.\Really?\I've noticed I spend a lot of time with Roromiya and Watanuki.\Food tastes better when you eat together.\It tastes the same.\You're so rigid.\It's not really in my nature to mingle.\That sounds like fun. response:	Hardly.
context: Really?\I've noticed I spend a lot of time with Roromiya and Watanuki.\Food tastes better when you eat together.\It tastes the same.\You're so rigid.\It's not really in my nature to mingle.\That sounds like fun.\Hardly. response:	But Watanuki always has a really fancy lunch.
context: I've noticed I spend a lot of time with Roromiya and Watanuki.\Food tastes better when you eat together.\It tastes the same.\You're so rigid.\It's not really in my nature to mingle.\That sounds like fun.\Hardly.\But Watanuki always has a really fancy lunch. response:	Watanuki's grandpa always brings it for him.
context: Food tastes better when you eat together.\It tastes the same.\You're so rigid.\It's not really in my nature to mingle.\That sounds like fun.\Hardly.\But Watanuki always has a really fancy lunch.\Watanuki's grandpa always brings it for him. response:	What a spoiled little rich boy...
context: It tastes the same.\You're so rigid.\It's not really in my nature to mingle.\That sounds like fun.\Hardly.\But Watanuki always has a really fancy lunch.\Watanuki's grandpa always brings it for him.\What a spoiled little rich boy... response:	I'm a delinquent!
context: You're so rigid.\It's not really in my nature to mingle.\That sounds like fun.\Hardly.\But Watanuki always has a really fancy lunch.\Watanuki's grandpa always brings it for him.\What a spoiled little rich boy...\I'm a delinquent! response:	Roromiya's always trying to feed me.
context: It's not really in my nature to mingle.\That sounds like fun.\Hardly.\But Watanuki always has a really fancy lunch.\Watanuki's grandpa always brings it for him.\What a spoiled little rich boy...\I'm a delinquent!\Roromiya's always trying to feed me. response:	Say Ahh...
context: That sounds like fun.\Hardly.\But Watanuki always has a really fancy lunch.\Watanuki's grandpa always brings it for him.\What a spoiled little rich boy...\I'm a delinquent!\Roromiya's always trying to feed me.\Say Ahh... response:	As you can see, it isn't fun at all.
context: Hardly.\But Watanuki always has a really fancy lunch.\Watanuki's grandpa always brings it for him.\What a spoiled little rich boy...\I'm a delinquent!\Roromiya's always trying to feed me.\Say Ahh...\As you can see, it isn't fun at all. response:	I'm so glad to hear that,
context: But Watanuki always has a really fancy lunch.\Watanuki's grandpa always brings it for him.\What a spoiled little rich boy...\I'm a delinquent!\Roromiya's always trying to feed me.\Say Ahh...\As you can see, it isn't fun at all.\I'm so glad to hear that, response:	Miss Ririchiyo.
context: Watanuki's grandpa always brings it for him.\What a spoiled little rich boy...\I'm a delinquent!\Roromiya's always trying to feed me.\Say Ahh...\As you can see, it isn't fun at all.\I'm so glad to hear that,\Miss Ririchiyo. response:	I guess he did notice
context: What a spoiled little rich boy...\I'm a delinquent!\Roromiya's always trying to feed me.\Say Ahh...\As you can see, it isn't fun at all.\I'm so glad to hear that,\Miss Ririchiyo.\I guess he did notice response:	that I was worrying about school...
context: I'm a delinquent!\Roromiya's always trying to feed me.\Say Ahh...\As you can see, it isn't fun at all.\I'm so glad to hear that,\Miss Ririchiyo.\I guess he did notice\that I was worrying about school... response:	And how I'm actually really glad
context: Roromiya's always trying to feed me.\Say Ahh...\As you can see, it isn't fun at all.\I'm so glad to hear that,\Miss Ririchiyo.\I guess he did notice\that I was worrying about school...\And how I'm actually really glad response:	that Roromiya and Watanuki are around.
context: Say Ahh...\As you can see, it isn't fun at all.\I'm so glad to hear that,\Miss Ririchiyo.\I guess he did notice\that I was worrying about school...\And how I'm actually really glad\that Roromiya and Watanuki are around. response:	I never say what I mean, but he still notices.
context: As you can see, it isn't fun at all.\I'm so glad to hear that,\Miss Ririchiyo.\I guess he did notice\that I was worrying about school...\And how I'm actually really glad\that Roromiya and Watanuki are around.\I never say what I mean, but he still notices. response:	Even though I don't know anything about him.
context: I'm so glad to hear that,\Miss Ririchiyo.\I guess he did notice\that I was worrying about school...\And how I'm actually really glad\that Roromiya and Watanuki are around.\I never say what I mean, but he still notices.\Even though I don't know anything about him. response:	I want to reciprocate.
context: Miss Ririchiyo.\I guess he did notice\that I was worrying about school...\And how I'm actually really glad\that Roromiya and Watanuki are around.\I never say what I mean, but he still notices.\Even though I don't know anything about him.\I want to reciprocate. response:	I want to notice.
context: I guess he did notice\that I was worrying about school...\And how I'm actually really glad\that Roromiya and Watanuki are around.\I never say what I mean, but he still notices.\Even though I don't know anything about him.\I want to reciprocate.\I want to notice. response:	I want to understand him, too.
context: that I was worrying about school...\And how I'm actually really glad\that Roromiya and Watanuki are around.\I never say what I mean, but he still notices.\Even though I don't know anything about him.\I want to reciprocate.\I want to notice.\I want to understand him, too. response:	I want to understand him, too.
context: And how I'm actually really glad\that Roromiya and Watanuki are around.\I never say what I mean, but he still notices.\Even though I don't know anything about him.\I want to reciprocate.\I want to notice.\I want to understand him, too.\I want to understand him, too. response:	Want to eat together, Chiyo?
context: that Roromiya and Watanuki are around.\I never say what I mean, but he still notices.\Even though I don't know anything about him.\I want to reciprocate.\I want to notice.\I want to understand him, too.\I want to understand him, too.\Want to eat together, Chiyo? response:	Again?
context: I never say what I mean, but he still notices.\Even though I don't know anything about him.\I want to reciprocate.\I want to notice.\I want to understand him, too.\I want to understand him, too.\Want to eat together, Chiyo?\Again? response:	Do you like eating with me or something?
context: Even though I don't know anything about him.\I want to reciprocate.\I want to notice.\I want to understand him, too.\I want to understand him, too.\Want to eat together, Chiyo?\Again?\Do you like eating with me or something? response:	That's weird.
context: I want to reciprocate.\I want to notice.\I want to understand him, too.\I want to understand him, too.\Want to eat together, Chiyo?\Again?\Do you like eating with me or something?\That's weird. response:	Says the one who already has everything prepared.
