context: Quit part-time job response:	Thanks for your support so far.
context: Nice to meet you. I am Shoko Nishimiya.\I want to be friends with you all with the help of this notebook.\Please use the notebook to talk with me.\I can't hear.\Unbelievable...\Weird!\Hi, Nishimiya-san. I am Miki Kawai.\Hi, nice to meet you. response:	Hey, Nishimiya-san, do you speak Japanese?
context: I want to be friends with you all with the help of this notebook.\Please use the notebook to talk with me.\I can't hear.\Unbelievable...\Weird!\Hi, Nishimiya-san. I am Miki Kawai.\Hi, nice to meet you.\Hey, Nishimiya-san, do you speak Japanese? response:	Nao-chan, how do you say...
context: Please use the notebook to talk with me.\I can't hear.\Unbelievable...\Weird!\Hi, Nishimiya-san. I am Miki Kawai.\Hi, nice to meet you.\Hey, Nishimiya-san, do you speak Japanese?\Nao-chan, how do you say... response:	Once again, please.
context: I can't hear.\Unbelievable...\Weird!\Hi, Nishimiya-san. I am Miki Kawai.\Hi, nice to meet you.\Hey, Nishimiya-san, do you speak Japanese?\Nao-chan, how do you say...\Once again, please. response:	Aha...
context: Unbelievable...\Weird!\Hi, Nishimiya-san. I am Miki Kawai.\Hi, nice to meet you.\Hey, Nishimiya-san, do you speak Japanese?\Nao-chan, how do you say...\Once again, please.\Aha... response:	Huh?
context: Weird!\Hi, Nishimiya-san. I am Miki Kawai.\Hi, nice to meet you.\Hey, Nishimiya-san, do you speak Japanese?\Nao-chan, how do you say...\Once again, please.\Aha...\Huh? response:	Okay.
context: Hi, Nishimiya-san. I am Miki Kawai.\Hi, nice to meet you.\Hey, Nishimiya-san, do you speak Japanese?\Nao-chan, how do you say...\Once again, please.\Aha...\Huh?\Okay. response:	How do your friends call you?
context: Hi, nice to meet you.\Hey, Nishimiya-san, do you speak Japanese?\Nao-chan, how do you say...\Once again, please.\Aha...\Huh?\Okay.\How do your friends call you? response:	Give up, give up!
context: Hey, Nishimiya-san, do you speak Japanese?\Nao-chan, how do you say...\Once again, please.\Aha...\Huh?\Okay.\How do your friends call you?\Give up, give up! response:	I see, Sho-chan.
context: Nao-chan, how do you say...\Once again, please.\Aha...\Huh?\Okay.\How do your friends call you?\Give up, give up!\I see, Sho-chan. response:	Huh?
context: Once again, please.\Aha...\Huh?\Okay.\How do your friends call you?\Give up, give up!\I see, Sho-chan.\Huh? response:	That's identical with Ishida.
context: Aha...\Huh?\Okay.\How do your friends call you?\Give up, give up!\I see, Sho-chan.\Huh?\That's identical with Ishida. response:	She is called Sho-chan, too.
context: Huh?\Okay.\How do your friends call you?\Give up, give up!\I see, Sho-chan.\Huh?\That's identical with Ishida.\She is called Sho-chan, too. response:	That's funny.
context: Okay.\How do your friends call you?\Give up, give up!\I see, Sho-chan.\Huh?\That's identical with Ishida.\She is called Sho-chan, too.\That's funny. response:	What? Not funny at all!
context: How do your friends call you?\Give up, give up!\I see, Sho-chan.\Huh?\That's identical with Ishida.\She is called Sho-chan, too.\That's funny.\What? Not funny at all! response:	Please write down what I'm saying.
context: Give up, give up!\I see, Sho-chan.\Huh?\That's identical with Ishida.\She is called Sho-chan, too.\That's funny.\What? Not funny at all!\Please write down what I'm saying. response:	From page 20 to 25, and parts of page 32
context: I see, Sho-chan.\Huh?\That's identical with Ishida.\She is called Sho-chan, too.\That's funny.\What? Not funny at all!\Please write down what I'm saying.\From page 20 to 25, and parts of page 32 response:	cover the scope of the next small test.
context: Huh?\That's identical with Ishida.\She is called Sho-chan, too.\That's funny.\What? Not funny at all!\Please write down what I'm saying.\From page 20 to 25, and parts of page 32\cover the scope of the next small test. response:	Hey.
context: That's identical with Ishida.\She is called Sho-chan, too.\That's funny.\What? Not funny at all!\Please write down what I'm saying.\From page 20 to 25, and parts of page 32\cover the scope of the next small test.\Hey. response:	Give me your notebook.
context: She is called Sho-chan, too.\That's funny.\What? Not funny at all!\Please write down what I'm saying.\From page 20 to 25, and parts of page 32\cover the scope of the next small test.\Hey.\Give me your notebook. response:	First, the fulcrum. The pivot point that supports the lever.
context: That's funny.\What? Not funny at all!\Please write down what I'm saying.\From page 20 to 25, and parts of page 32\cover the scope of the next small test.\Hey.\Give me your notebook.\First, the fulcrum. The pivot point that supports the lever. response:	Next, the effort point. The position where force is applied.
context: What? Not funny at all!\Please write down what I'm saying.\From page 20 to 25, and parts of page 32\cover the scope of the next small test.\Hey.\Give me your notebook.\First, the fulcrum. The pivot point that supports the lever.\Next, the effort point. The position where force is applied. response:	The position that carries the weight is the load point.
context: Please write down what I'm saying.\From page 20 to 25, and parts of page 32\cover the scope of the next small test.\Hey.\Give me your notebook.\First, the fulcrum. The pivot point that supports the lever.\Next, the effort point. The position where force is applied.\The position that carries the weight is the load point. response:	With these 3 points,
context: From page 20 to 25, and parts of page 32\cover the scope of the next small test.\Hey.\Give me your notebook.\First, the fulcrum. The pivot point that supports the lever.\Next, the effort point. The position where force is applied.\The position that carries the weight is the load point.\With these 3 points, response:	Nishimiya-san,
context: cover the scope of the next small test.\Hey.\Give me your notebook.\First, the fulcrum. The pivot point that supports the lever.\Next, the effort point. The position where force is applied.\The position that carries the weight is the load point.\With these 3 points,\Nishimiya-san, response:	You started too soon.
context: Hey.\Give me your notebook.\First, the fulcrum. The pivot point that supports the lever.\Next, the effort point. The position where force is applied.\The position that carries the weight is the load point.\With these 3 points,\Nishimiya-san,\You started too soon. response:	I will
context: Give me your notebook.\First, the fulcrum. The pivot point that supports the lever.\Next, the effort point. The position where force is applied.\The position that carries the weight is the load point.\With these 3 points,\Nishimiya-san,\You started too soon.\I will response:	teach you the timing, okay?
context: First, the fulcrum. The pivot point that supports the lever.\Next, the effort point. The position where force is applied.\The position that carries the weight is the load point.\With these 3 points,\Nishimiya-san,\You started too soon.\I will\teach you the timing, okay? response:	Then, let's start again from the beginning.
context: Next, the effort point. The position where force is applied.\The position that carries the weight is the load point.\With these 3 points,\Nishimiya-san,\You started too soon.\I will\teach you the timing, okay?\Then, let's start again from the beginning. response:	How can we participate in the coming chorus competition?
context: The position that carries the weight is the load point.\With these 3 points,\Nishimiya-san,\You started too soon.\I will\teach you the timing, okay?\Then, let's start again from the beginning.\How can we participate in the coming chorus competition? response:	We already lost, didn't we?
context: With these 3 points,\Nishimiya-san,\You started too soon.\I will\teach you the timing, okay?\Then, let's start again from the beginning.\How can we participate in the coming chorus competition?\We already lost, didn't we? response:	That's the penalty for saying weird things!
context: Nishimiya-san,\You started too soon.\I will\teach you the timing, okay?\Then, let's start again from the beginning.\How can we participate in the coming chorus competition?\We already lost, didn't we?\That's the penalty for saying weird things! response:	Ouch, ouch!
context: You started too soon.\I will\teach you the timing, okay?\Then, let's start again from the beginning.\How can we participate in the coming chorus competition?\We already lost, didn't we?\That's the penalty for saying weird things!\Ouch, ouch! response:	Ouch!
context: I will\teach you the timing, okay?\Then, let's start again from the beginning.\How can we participate in the coming chorus competition?\We already lost, didn't we?\That's the penalty for saying weird things!\Ouch, ouch!\Ouch! response:	So today
context: teach you the timing, okay?\Then, let's start again from the beginning.\How can we participate in the coming chorus competition?\We already lost, didn't we?\That's the penalty for saying weird things!\Ouch, ouch!\Ouch!\So today response:	I missed what the teacher said again, due to her...
context: Then, let's start again from the beginning.\How can we participate in the coming chorus competition?\We already lost, didn't we?\That's the penalty for saying weird things!\Ouch, ouch!\Ouch!\So today\I missed what the teacher said again, due to her... response:	I'll lend you my notebook.
context: How can we participate in the coming chorus competition?\We already lost, didn't we?\That's the penalty for saying weird things!\Ouch, ouch!\Ouch!\So today\I missed what the teacher said again, due to her...\I'll lend you my notebook. response:	Thank you.
context: We already lost, didn't we?\That's the penalty for saying weird things!\Ouch, ouch!\Ouch!\So today\I missed what the teacher said again, due to her...\I'll lend you my notebook.\Thank you. response:	I am not wrong.
context: That's the penalty for saying weird things!\Ouch, ouch!\Ouch!\So today\I missed what the teacher said again, due to her...\I'll lend you my notebook.\Thank you.\I am not wrong. response:	That's why I will never apologize.
context: Ouch, ouch!\Ouch!\So today\I missed what the teacher said again, due to her...\I'll lend you my notebook.\Thank you.\I am not wrong.\That's why I will never apologize. response:	What a poor reading performance, Ueno.
context: Ouch!\So today\I missed what the teacher said again, due to her...\I'll lend you my notebook.\Thank you.\I am not wrong.\That's why I will never apologize.\What a poor reading performance, Ueno. response:	Oh...
context: So today\I missed what the teacher said again, due to her...\I'll lend you my notebook.\Thank you.\I am not wrong.\That's why I will never apologize.\What a poor reading performance, Ueno.\Oh... response:	Damn. That's enough. Next.
context: I missed what the teacher said again, due to her...\I'll lend you my notebook.\Thank you.\I am not wrong.\That's why I will never apologize.\What a poor reading performance, Ueno.\Oh...\Damn. That's enough. Next. response:	The hell with it, ugly-glasses.
context: I'll lend you my notebook.\Thank you.\I am not wrong.\That's why I will never apologize.\What a poor reading performance, Ueno.\Oh...\Damn. That's enough. Next.\The hell with it, ugly-glasses. response:	Nishimiya.
context: Thank you.\I am not wrong.\That's why I will never apologize.\What a poor reading performance, Ueno.\Oh...\Damn. That's enough. Next.\The hell with it, ugly-glasses.\Nishimiya. response:	From this sentence.
context: I am not wrong.\That's why I will never apologize.\What a poor reading performance, Ueno.\Oh...\Damn. That's enough. Next.\The hell with it, ugly-glasses.\Nishimiya.\From this sentence. response:	Stop to be ztubborn about zuch zings,
context: That's why I will never apologize.\What a poor reading performance, Ueno.\Oh...\Damn. That's enough. Next.\The hell with it, ugly-glasses.\Nishimiya.\From this sentence.\Stop to be ztubborn about zuch zings, response:	Mom zayz dizguzdingly,
context: What a poor reading performance, Ueno.\Oh...\Damn. That's enough. Next.\The hell with it, ugly-glasses.\Nishimiya.\From this sentence.\Stop to be ztubborn about zuch zings,\Mom zayz dizguzdingly, response:	but I have no indenzion to zay zorry.
context: Oh...\Damn. That's enough. Next.\The hell with it, ugly-glasses.\Nishimiya.\From this sentence.\Stop to be ztubborn about zuch zings,\Mom zayz dizguzdingly,\but I have no indenzion to zay zorry. response:	Okay. Good. Next, Ishida.
context: Damn. That's enough. Next.\The hell with it, ugly-glasses.\Nishimiya.\From this sentence.\Stop to be ztubborn about zuch zings,\Mom zayz dizguzdingly,\but I have no indenzion to zay zorry.\Okay. Good. Next, Ishida. response:	Really? Unbelievable.
context: The hell with it, ugly-glasses.\Nishimiya.\From this sentence.\Stop to be ztubborn about zuch zings,\Mom zayz dizguzdingly,\but I have no indenzion to zay zorry.\Okay. Good. Next, Ishida.\Really? Unbelievable. response:	Hey, Ishida!
context: Nishimiya.\From this sentence.\Stop to be ztubborn about zuch zings,\Mom zayz dizguzdingly,\but I have no indenzion to zay zorry.\Okay. Good. Next, Ishida.\Really? Unbelievable.\Hey, Ishida! response:	Please let me know what you are talking about.
context: From this sentence.\Stop to be ztubborn about zuch zings,\Mom zayz dizguzdingly,\but I have no indenzion to zay zorry.\Okay. Good. Next, Ishida.\Really? Unbelievable.\Hey, Ishida!\Please let me know what you are talking about. response:	Let's go home.
context: Stop to be ztubborn about zuch zings,\Mom zayz dizguzdingly,\but I have no indenzion to zay zorry.\Okay. Good. Next, Ishida.\Really? Unbelievable.\Hey, Ishida!\Please let me know what you are talking about.\Let's go home. response:	Bye-bye, Nishimiya-san.
context: Mom zayz dizguzdingly,\but I have no indenzion to zay zorry.\Okay. Good. Next, Ishida.\Really? Unbelievable.\Hey, Ishida!\Please let me know what you are talking about.\Let's go home.\Bye-bye, Nishimiya-san. response:	Hey you,
context: but I have no indenzion to zay zorry.\Okay. Good. Next, Ishida.\Really? Unbelievable.\Hey, Ishida!\Please let me know what you are talking about.\Let's go home.\Bye-bye, Nishimiya-san.\Hey you, response:	If you keep this up, won't you frustrate all classmates?
context: Okay. Good. Next, Ishida.\Really? Unbelievable.\Hey, Ishida!\Please let me know what you are talking about.\Let's go home.\Bye-bye, Nishimiya-san.\Hey you,\If you keep this up, won't you frustrate all classmates? response:	What?
context: Really? Unbelievable.\Hey, Ishida!\Please let me know what you are talking about.\Let's go home.\Bye-bye, Nishimiya-san.\Hey you,\If you keep this up, won't you frustrate all classmates?\What? response:	frie-nds...
context: Hey, Ishida!\Please let me know what you are talking about.\Let's go home.\Bye-bye, Nishimiya-san.\Hey you,\If you keep this up, won't you frustrate all classmates?\What?\frie-nds... response:	What?
context: Please let me know what you are talking about.\Let's go home.\Bye-bye, Nishimiya-san.\Hey you,\If you keep this up, won't you frustrate all classmates?\What?\frie-nds...\What? response:	Disgusting!
context: Let's go home.\Bye-bye, Nishimiya-san.\Hey you,\If you keep this up, won't you frustrate all classmates?\What?\frie-nds...\What?\Disgusting! response:	I'm Kita, from a special education class.
context: Bye-bye, Nishimiya-san.\Hey you,\If you keep this up, won't you frustrate all classmates?\What?\frie-nds...\What?\Disgusting!\I'm Kita, from a special education class. response:	Today I want to talk about Shuwa - sign language.
context: Hey you,\If you keep this up, won't you frustrate all classmates?\What?\frie-nds...\What?\Disgusting!\I'm Kita, from a special education class.\Today I want to talk about Shuwa - sign language. response:	Written as speaking with hands and pronounced Shu-wa.
context: If you keep this up, won't you frustrate all classmates?\What?\frie-nds...\What?\Disgusting!\I'm Kita, from a special education class.\Today I want to talk about Shuwa - sign language.\Written as speaking with hands and pronounced Shu-wa. response:	As the word says, Shuwa means speaking using your hands.
context: What?\frie-nds...\What?\Disgusting!\I'm Kita, from a special education class.\Today I want to talk about Shuwa - sign language.\Written as speaking with hands and pronounced Shu-wa.\As the word says, Shuwa means speaking using your hands. response:	Isn't it amazing?
context: frie-nds...\What?\Disgusting!\I'm Kita, from a special education class.\Today I want to talk about Shuwa - sign language.\Written as speaking with hands and pronounced Shu-wa.\As the word says, Shuwa means speaking using your hands.\Isn't it amazing? response:	Sign... language...
context: What?\Disgusting!\I'm Kita, from a special education class.\Today I want to talk about Shuwa - sign language.\Written as speaking with hands and pronounced Shu-wa.\As the word says, Shuwa means speaking using your hands.\Isn't it amazing?\Sign... language... response:	So I propose a 3-minute lesson of sign language everyday morning,
context: Disgusting!\I'm Kita, from a special education class.\Today I want to talk about Shuwa - sign language.\Written as speaking with hands and pronounced Shu-wa.\As the word says, Shuwa means speaking using your hands.\Isn't it amazing?\Sign... language...\So I propose a 3-minute lesson of sign language everyday morning, response:	to understand Shoko-chan even better.
context: I'm Kita, from a special education class.\Today I want to talk about Shuwa - sign language.\Written as speaking with hands and pronounced Shu-wa.\As the word says, Shuwa means speaking using your hands.\Isn't it amazing?\Sign... language...\So I propose a 3-minute lesson of sign language everyday morning,\to understand Shoko-chan even better. response:	Teacher.
context: Today I want to talk about Shuwa - sign language.\Written as speaking with hands and pronounced Shu-wa.\As the word says, Shuwa means speaking using your hands.\Isn't it amazing?\Sign... language...\So I propose a 3-minute lesson of sign language everyday morning,\to understand Shoko-chan even better.\Teacher. response:	Yes?
context: Written as speaking with hands and pronounced Shu-wa.\As the word says, Shuwa means speaking using your hands.\Isn't it amazing?\Sign... language...\So I propose a 3-minute lesson of sign language everyday morning,\to understand Shoko-chan even better.\Teacher.\Yes? response:	Isn't it enough to use her notebook?
context: As the word says, Shuwa means speaking using your hands.\Isn't it amazing?\Sign... language...\So I propose a 3-minute lesson of sign language everyday morning,\to understand Shoko-chan even better.\Teacher.\Yes?\Isn't it enough to use her notebook? response:	It's easier for Shoko-chan to use sign language.
context: Isn't it amazing?\Sign... language...\So I propose a 3-minute lesson of sign language everyday morning,\to understand Shoko-chan even better.\Teacher.\Yes?\Isn't it enough to use her notebook?\It's easier for Shoko-chan to use sign language. response:	It's easier for me to use the notebook.
context: Sign... language...\So I propose a 3-minute lesson of sign language everyday morning,\to understand Shoko-chan even better.\Teacher.\Yes?\Isn't it enough to use her notebook?\It's easier for Shoko-chan to use sign language.\It's easier for me to use the notebook. response:	I'll learn sign language.
context: So I propose a 3-minute lesson of sign language everyday morning,\to understand Shoko-chan even better.\Teacher.\Yes?\Isn't it enough to use her notebook?\It's easier for Shoko-chan to use sign language.\It's easier for me to use the notebook.\I'll learn sign language. response:	Teach me the signs for Sahara Miyoko
context: to understand Shoko-chan even better.\Teacher.\Yes?\Isn't it enough to use her notebook?\It's easier for Shoko-chan to use sign language.\It's easier for me to use the notebook.\I'll learn sign language.\Teach me the signs for Sahara Miyoko response:	Sa - ara
context: Teacher.\Yes?\Isn't it enough to use her notebook?\It's easier for Shoko-chan to use sign language.\It's easier for me to use the notebook.\I'll learn sign language.\Teach me the signs for Sahara Miyoko\Sa - ara response:	Got it!
context: Yes?\Isn't it enough to use her notebook?\It's easier for Shoko-chan to use sign language.\It's easier for me to use the notebook.\I'll learn sign language.\Teach me the signs for Sahara Miyoko\Sa - ara\Got it! response:	Sa - a...
context: Isn't it enough to use her notebook?\It's easier for Shoko-chan to use sign language.\It's easier for me to use the notebook.\I'll learn sign language.\Teach me the signs for Sahara Miyoko\Sa - ara\Got it!\Sa - a... response:	Good job getting brownie points.
context: It's easier for Shoko-chan to use sign language.\It's easier for me to use the notebook.\I'll learn sign language.\Teach me the signs for Sahara Miyoko\Sa - ara\Got it!\Sa - a...\Good job getting brownie points. response:	I love him so much. He is so handsome.
context: It's easier for me to use the notebook.\I'll learn sign language.\Teach me the signs for Sahara Miyoko\Sa - ara\Got it!\Sa - a...\Good job getting brownie points.\I love him so much. He is so handsome. response:	Agree!
context: I'll learn sign language.\Teach me the signs for Sahara Miyoko\Sa - ara\Got it!\Sa - a...\Good job getting brownie points.\I love him so much. He is so handsome.\Agree! response:	He will be in the drama next week. Must watch!
context: Teach me the signs for Sahara Miyoko\Sa - ara\Got it!\Sa - a...\Good job getting brownie points.\I love him so much. He is so handsome.\Agree!\He will be in the drama next week. Must watch! response:	Don't you think her clothes are ugly?
context: Sa - ara\Got it!\Sa - a...\Good job getting brownie points.\I love him so much. He is so handsome.\Agree!\He will be in the drama next week. Must watch!\Don't you think her clothes are ugly? response:	Stop it, Nao-chan.
context: Got it!\Sa - a...\Good job getting brownie points.\I love him so much. He is so handsome.\Agree!\He will be in the drama next week. Must watch!\Don't you think her clothes are ugly?\Stop it, Nao-chan. response:	The author described through this work,...
context: Sa - a...\Good job getting brownie points.\I love him so much. He is so handsome.\Agree!\He will be in the drama next week. Must watch!\Don't you think her clothes are ugly?\Stop it, Nao-chan.\The author described through this work,... response:	After the experiment, manganese dioxide should be...
context: Good job getting brownie points.\I love him so much. He is so handsome.\Agree!\He will be in the drama next week. Must watch!\Don't you think her clothes are ugly?\Stop it, Nao-chan.\The author described through this work,...\After the experiment, manganese dioxide should be... response:	Hirose, you write on that side.
context: I love him so much. He is so handsome.\Agree!\He will be in the drama next week. Must watch!\Don't you think her clothes are ugly?\Stop it, Nao-chan.\The author described through this work,...\After the experiment, manganese dioxide should be...\Hirose, you write on that side. response:	Ni-shi-mi-ya.
context: Agree!\He will be in the drama next week. Must watch!\Don't you think her clothes are ugly?\Stop it, Nao-chan.\The author described through this work,...\After the experiment, manganese dioxide should be...\Hirose, you write on that side.\Ni-shi-mi-ya. response:	What are you doing, Ishida?
context: He will be in the drama next week. Must watch!\Don't you think her clothes are ugly?\Stop it, Nao-chan.\The author described through this work,...\After the experiment, manganese dioxide should be...\Hirose, you write on that side.\Ni-shi-mi-ya.\What are you doing, Ishida? response:	Isn't it better to stop that?
context: Don't you think her clothes are ugly?\Stop it, Nao-chan.\The author described through this work,...\After the experiment, manganese dioxide should be...\Hirose, you write on that side.\Ni-shi-mi-ya.\What are you doing, Ishida?\Isn't it better to stop that? response:	Star.
context: Stop it, Nao-chan.\The author described through this work,...\After the experiment, manganese dioxide should be...\Hirose, you write on that side.\Ni-shi-mi-ya.\What are you doing, Ishida?\Isn't it better to stop that?\Star. response:	Ishida, you overdid it.
context: The author described through this work,...\After the experiment, manganese dioxide should be...\Hirose, you write on that side.\Ni-shi-mi-ya.\What are you doing, Ishida?\Isn't it better to stop that?\Star.\Ishida, you overdid it. response:	No, no, that's how it should be.
context: After the experiment, manganese dioxide should be...\Hirose, you write on that side.\Ni-shi-mi-ya.\What are you doing, Ishida?\Isn't it better to stop that?\Star.\Ishida, you overdid it.\No, no, that's how it should be. response:	You're a bad guy.
context: Hirose, you write on that side.\Ni-shi-mi-ya.\What are you doing, Ishida?\Isn't it better to stop that?\Star.\Ishida, you overdid it.\No, no, that's how it should be.\You're a bad guy. response:	Nice, nice.
context: Ni-shi-mi-ya.\What are you doing, Ishida?\Isn't it better to stop that?\Star.\Ishida, you overdid it.\No, no, that's how it should be.\You're a bad guy.\Nice, nice. response:	It's really nice.
context: What are you doing, Ishida?\Isn't it better to stop that?\Star.\Ishida, you overdid it.\No, no, that's how it should be.\You're a bad guy.\Nice, nice.\It's really nice. response:	Congrats, Nishimiya-san. Sahara-san went away because of you!
context: Isn't it better to stop that?\Star.\Ishida, you overdid it.\No, no, that's how it should be.\You're a bad guy.\Nice, nice.\It's really nice.\Congrats, Nishimiya-san. Sahara-san went away because of you! response:	Congrats, Nishimiya-san. Sahara-san went away because of you!
context: Star.\Ishida, you overdid it.\No, no, that's how it should be.\You're a bad guy.\Nice, nice.\It's really nice.\Congrats, Nishimiya-san. Sahara-san went away because of you!\Congrats, Nishimiya-san. Sahara-san went away because of you! response:	That's so mean! Who would write such nasty things!
context: Ishida, you overdid it.\No, no, that's how it should be.\You're a bad guy.\Nice, nice.\It's really nice.\Congrats, Nishimiya-san. Sahara-san went away because of you!\Congrats, Nishimiya-san. Sahara-san went away because of you!\That's so mean! Who would write such nasty things! response:	So awful!
context: No, no, that's how it should be.\You're a bad guy.\Nice, nice.\It's really nice.\Congrats, Nishimiya-san. Sahara-san went away because of you!\Congrats, Nishimiya-san. Sahara-san went away because of you!\That's so mean! Who would write such nasty things!\So awful! response:	erase... it... for... you...
context: You're a bad guy.\Nice, nice.\It's really nice.\Congrats, Nishimiya-san. Sahara-san went away because of you!\Congrats, Nishimiya-san. Sahara-san went away because of you!\That's so mean! Who would write such nasty things!\So awful!\erase... it... for... you... response:	Okay.
context: Nice, nice.\It's really nice.\Congrats, Nishimiya-san. Sahara-san went away because of you!\Congrats, Nishimiya-san. Sahara-san went away because of you!\That's so mean! Who would write such nasty things!\So awful!\erase... it... for... you...\Okay. response:	All erased.
context: It's really nice.\Congrats, Nishimiya-san. Sahara-san went away because of you!\Congrats, Nishimiya-san. Sahara-san went away because of you!\That's so mean! Who would write such nasty things!\So awful!\erase... it... for... you...\Okay.\All erased. response:	Thank you.
context: Congrats, Nishimiya-san. Sahara-san went away because of you!\Congrats, Nishimiya-san. Sahara-san went away because of you!\That's so mean! Who would write such nasty things!\So awful!\erase... it... for... you...\Okay.\All erased.\Thank you. response:	Let's go.
context: Congrats, Nishimiya-san. Sahara-san went away because of you!\That's so mean! Who would write such nasty things!\So awful!\erase... it... for... you...\Okay.\All erased.\Thank you.\Let's go. response:	Joumon-era was...
context: That's so mean! Who would write such nasty things!\So awful!\erase... it... for... you...\Okay.\All erased.\Thank you.\Let's go.\Joumon-era was... response:	Hey, Ishida.
context: So awful!\erase... it... for... you...\Okay.\All erased.\Thank you.\Let's go.\Joumon-era was...\Hey, Ishida. response:	Class is not over.
