context: Sorry, but they suddenly response:	asked me to help out at
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 7...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 7... response:	U-Umm... I was going to an all-you-can-eat cake buffet with Mizu-chin and Taka-chan.
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 7...\U-Umm... I was going to an all-you-can-eat cake buffet with Mizu-chin and Taka-chan. response:	Ah... I see.
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 7...\U-Umm... I was going to an all-you-can-eat cake buffet with Mizu-chin and Taka-chan.\Ah... I see. response:	She's broke whenever she's with me, and she hates having me pay for her, so she only asks for fruit milk...
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 7...\U-Umm... I was going to an all-you-can-eat cake buffet with Mizu-chin and Taka-chan.\Ah... I see.\She's broke whenever she's with me, and she hates having me pay for her, so she only asks for fruit milk... response:	Yano!
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 7...\U-Umm... I was going to an all-you-can-eat cake buffet with Mizu-chin and Taka-chan.\Ah... I see.\She's broke whenever she's with me, and she hates having me pay for her, so she only asks for fruit milk...\Yano! response:	Mizu-chin
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 7...\U-Umm... I was going to an all-you-can-eat cake buffet with Mizu-chin and Taka-chan.\Ah... I see.\She's broke whenever she's with me, and she hates having me pay for her, so she only asks for fruit milk...\Yano!\Mizu-chin response:	Weren't you guys going to an all-you-can-eat cake place or something?
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 7...\U-Umm... I was going to an all-you-can-eat cake buffet with Mizu-chin and Taka-chan.\Ah... I see.\She's broke whenever she's with me, and she hates having me pay for her, so she only asks for fruit milk...\Yano!\Mizu-chin\Weren't you guys going to an all-you-can-eat cake place or something? response:	All-you-can-eat cake?
context: Episode 7...\U-Umm... I was going to an all-you-can-eat cake buffet with Mizu-chin and Taka-chan.\Ah... I see.\She's broke whenever she's with me, and she hates having me pay for her, so she only asks for fruit milk...\Yano!\Mizu-chin\Weren't you guys going to an all-you-can-eat cake place or something?\All-you-can-eat cake? response:	Ah, yeah, we went last week.
context: U-Umm... I was going to an all-you-can-eat cake buffet with Mizu-chin and Taka-chan.\Ah... I see.\She's broke whenever she's with me, and she hates having me pay for her, so she only asks for fruit milk...\Yano!\Mizu-chin\Weren't you guys going to an all-you-can-eat cake place or something?\All-you-can-eat cake?\Ah, yeah, we went last week. response:	Nana couldn't go, because she didn't have any money or something.
context: Ah... I see.\She's broke whenever she's with me, and she hates having me pay for her, so she only asks for fruit milk...\Yano!\Mizu-chin\Weren't you guys going to an all-you-can-eat cake place or something?\All-you-can-eat cake?\Ah, yeah, we went last week.\Nana couldn't go, because she didn't have any money or something. response:	She was pretty green with envy, so why don't you go with her sometime?
context: She's broke whenever she's with me, and she hates having me pay for her, so she only asks for fruit milk...\Yano!\Mizu-chin\Weren't you guys going to an all-you-can-eat cake place or something?\All-you-can-eat cake?\Ah, yeah, we went last week.\Nana couldn't go, because she didn't have any money or something.\She was pretty green with envy, so why don't you go with her sometime? response:	Yano, where are you headed? I couldn't get Takeuchi.
context: Yano!\Mizu-chin\Weren't you guys going to an all-you-can-eat cake place or something?\All-you-can-eat cake?\Ah, yeah, we went last week.\Nana couldn't go, because she didn't have any money or something.\She was pretty green with envy, so why don't you go with her sometime?\Yano, where are you headed? I couldn't get Takeuchi. response:	Don't follow me.
context: Mizu-chin\Weren't you guys going to an all-you-can-eat cake place or something?\All-you-can-eat cake?\Ah, yeah, we went last week.\Nana couldn't go, because she didn't have any money or something.\She was pretty green with envy, so why don't you go with her sometime?\Yano, where are you headed? I couldn't get Takeuchi.\Don't follow me. response:	W-What are you doing?
context: Weren't you guys going to an all-you-can-eat cake place or something?\All-you-can-eat cake?\Ah, yeah, we went last week.\Nana couldn't go, because she didn't have any money or something.\She was pretty green with envy, so why don't you go with her sometime?\Yano, where are you headed? I couldn't get Takeuchi.\Don't follow me.\W-What are you doing? response:	Can't you tell?
context: All-you-can-eat cake?\Ah, yeah, we went last week.\Nana couldn't go, because she didn't have any money or something.\She was pretty green with envy, so why don't you go with her sometime?\Yano, where are you headed? I couldn't get Takeuchi.\Don't follow me.\W-What are you doing?\Can't you tell? response:	I'm in the middle of...
context: Ah, yeah, we went last week.\Nana couldn't go, because she didn't have any money or something.\She was pretty green with envy, so why don't you go with her sometime?\Yano, where are you headed? I couldn't get Takeuchi.\Don't follow me.\W-What are you doing?\Can't you tell?\I'm in the middle of... response:	Huh? For a Christmas present?
context: Nana couldn't go, because she didn't have any money or something.\She was pretty green with envy, so why don't you go with her sometime?\Yano, where are you headed? I couldn't get Takeuchi.\Don't follow me.\W-What are you doing?\Can't you tell?\I'm in the middle of...\Huh? For a Christmas present? response:	Yeah, I thought you'd know what Yano likes, Takeuchi-kun, so I was hoping we could go shopping for a bit.
context: She was pretty green with envy, so why don't you go with her sometime?\Yano, where are you headed? I couldn't get Takeuchi.\Don't follow me.\W-What are you doing?\Can't you tell?\I'm in the middle of...\Huh? For a Christmas present?\Yeah, I thought you'd know what Yano likes, Takeuchi-kun, so I was hoping we could go shopping for a bit. response:	I'm sure he'd be happy with anything you picked out yourself, Takahashi.
context: Yano, where are you headed? I couldn't get Takeuchi.\Don't follow me.\W-What are you doing?\Can't you tell?\I'm in the middle of...\Huh? For a Christmas present?\Yeah, I thought you'd know what Yano likes, Takeuchi-kun, so I was hoping we could go shopping for a bit.\I'm sure he'd be happy with anything you picked out yourself, Takahashi. response:	Don't say that!
context: Don't follow me.\W-What are you doing?\Can't you tell?\I'm in the middle of...\Huh? For a Christmas present?\Yeah, I thought you'd know what Yano likes, Takeuchi-kun, so I was hoping we could go shopping for a bit.\I'm sure he'd be happy with anything you picked out yourself, Takahashi.\Don't say that! response:	Please!
context: W-What are you doing?\Can't you tell?\I'm in the middle of...\Huh? For a Christmas present?\Yeah, I thought you'd know what Yano likes, Takeuchi-kun, so I was hoping we could go shopping for a bit.\I'm sure he'd be happy with anything you picked out yourself, Takahashi.\Don't say that!\Please! response:	Takeuchi-kun?
context: Can't you tell?\I'm in the middle of...\Huh? For a Christmas present?\Yeah, I thought you'd know what Yano likes, Takeuchi-kun, so I was hoping we could go shopping for a bit.\I'm sure he'd be happy with anything you picked out yourself, Takahashi.\Don't say that!\Please!\Takeuchi-kun? response:	What? You can't make it? Why not?
context: I'm in the middle of...\Huh? For a Christmas present?\Yeah, I thought you'd know what Yano likes, Takeuchi-kun, so I was hoping we could go shopping for a bit.\I'm sure he'd be happy with anything you picked out yourself, Takahashi.\Don't say that!\Please!\Takeuchi-kun?\What? You can't make it? Why not? response:	I really think Yano will like something you pick out yourself a lot more.
context: Huh? For a Christmas present?\Yeah, I thought you'd know what Yano likes, Takeuchi-kun, so I was hoping we could go shopping for a bit.\I'm sure he'd be happy with anything you picked out yourself, Takahashi.\Don't say that!\Please!\Takeuchi-kun?\What? You can't make it? Why not?\I really think Yano will like something you pick out yourself a lot more. response:	But I have no sense for those things...
context: Yeah, I thought you'd know what Yano likes, Takeuchi-kun, so I was hoping we could go shopping for a bit.\I'm sure he'd be happy with anything you picked out yourself, Takahashi.\Don't say that!\Please!\Takeuchi-kun?\What? You can't make it? Why not?\I really think Yano will like something you pick out yourself a lot more.\But I have no sense for those things... response:	Think about it this way. If Yano got you a present...
context: I'm sure he'd be happy with anything you picked out yourself, Takahashi.\Don't say that!\Please!\Takeuchi-kun?\What? You can't make it? Why not?\I really think Yano will like something you pick out yourself a lot more.\But I have no sense for those things...\Think about it this way. If Yano got you a present... response:	Which would make you happier?
context: Don't say that!\Please!\Takeuchi-kun?\What? You can't make it? Why not?\I really think Yano will like something you pick out yourself a lot more.\But I have no sense for those things...\Think about it this way. If Yano got you a present...\Which would make you happier? response:	Well...
context: Please!\Takeuchi-kun?\What? You can't make it? Why not?\I really think Yano will like something you pick out yourself a lot more.\But I have no sense for those things...\Think about it this way. If Yano got you a present...\Which would make you happier?\Well... response:	Of course, the one that Yano picked out himself...
context: Takeuchi-kun?\What? You can't make it? Why not?\I really think Yano will like something you pick out yourself a lot more.\But I have no sense for those things...\Think about it this way. If Yano got you a present...\Which would make you happier?\Well...\Of course, the one that Yano picked out himself... response:	See?
context: What? You can't make it? Why not?\I really think Yano will like something you pick out yourself a lot more.\But I have no sense for those things...\Think about it this way. If Yano got you a present...\Which would make you happier?\Well...\Of course, the one that Yano picked out himself...\See? response:	She's on the move again.
context: I really think Yano will like something you pick out yourself a lot more.\But I have no sense for those things...\Think about it this way. If Yano got you a present...\Which would make you happier?\Well...\Of course, the one that Yano picked out himself...\See?\She's on the move again. response:	Ah, she slipped.
context: But I have no sense for those things...\Think about it this way. If Yano got you a present...\Which would make you happier?\Well...\Of course, the one that Yano picked out himself...\See?\She's on the move again.\Ah, she slipped. response:	What's she doing, really?
context: Think about it this way. If Yano got you a present...\Which would make you happier?\Well...\Of course, the one that Yano picked out himself...\See?\She's on the move again.\Ah, she slipped.\What's she doing, really? response:	I could ask you the same question.
context: Which would make you happier?\Well...\Of course, the one that Yano picked out himself...\See?\She's on the move again.\Ah, she slipped.\What's she doing, really?\I could ask you the same question. response:	What? She must be out buying you a present.
context: Well...\Of course, the one that Yano picked out himself...\See?\She's on the move again.\Ah, she slipped.\What's she doing, really?\I could ask you the same question.\What? She must be out buying you a present. response:	Even though you're penniless...
context: Of course, the one that Yano picked out himself...\See?\She's on the move again.\Ah, she slipped.\What's she doing, really?\I could ask you the same question.\What? She must be out buying you a present.\Even though you're penniless... response:	You big dummy.
context: See?\She's on the move again.\Ah, she slipped.\What's she doing, really?\I could ask you the same question.\What? She must be out buying you a present.\Even though you're penniless...\You big dummy. response:	So what's going on with Takeuchi?
context: She's on the move again.\Ah, she slipped.\What's she doing, really?\I could ask you the same question.\What? She must be out buying you a present.\Even though you're penniless...\You big dummy.\So what's going on with Takeuchi? response:	Ah, he said he had to help out at the store, so he couldn't come.
context: Ah, she slipped.\What's she doing, really?\I could ask you the same question.\What? She must be out buying you a present.\Even though you're penniless...\You big dummy.\So what's going on with Takeuchi?\Ah, he said he had to help out at the store, so he couldn't come. response:	It's the end of the year, so it makes sense.
context: What's she doing, really?\I could ask you the same question.\What? She must be out buying you a present.\Even though you're penniless...\You big dummy.\So what's going on with Takeuchi?\Ah, he said he had to help out at the store, so he couldn't come.\It's the end of the year, so it makes sense. response:	I see.
context: I could ask you the same question.\What? She must be out buying you a present.\Even though you're penniless...\You big dummy.\So what's going on with Takeuchi?\Ah, he said he had to help out at the store, so he couldn't come.\It's the end of the year, so it makes sense.\I see. response:	I was just overreacting.
context: What? She must be out buying you a present.\Even though you're penniless...\You big dummy.\So what's going on with Takeuchi?\Ah, he said he had to help out at the store, so he couldn't come.\It's the end of the year, so it makes sense.\I see.\I was just overreacting. response:	Ah, here she comes.
context: Even though you're penniless...\You big dummy.\So what's going on with Takeuchi?\Ah, he said he had to help out at the store, so he couldn't come.\It's the end of the year, so it makes sense.\I see.\I was just overreacting.\Ah, here she comes. response:	And she has a bag.
context: You big dummy.\So what's going on with Takeuchi?\Ah, he said he had to help out at the store, so he couldn't come.\It's the end of the year, so it makes sense.\I see.\I was just overreacting.\Ah, here she comes.\And she has a bag. response:	All right!
context: So what's going on with Takeuchi?\Ah, he said he had to help out at the store, so he couldn't come.\It's the end of the year, so it makes sense.\I see.\I was just overreacting.\Ah, here she comes.\And she has a bag.\All right! response:	That ends today's stalking!
context: Ah, he said he had to help out at the store, so he couldn't come.\It's the end of the year, so it makes sense.\I see.\I was just overreacting.\Ah, here she comes.\And she has a bag.\All right!\That ends today's stalking! response:	I-Idiot! She'll notice us!
context: It's the end of the year, so it makes sense.\I see.\I was just overreacting.\Ah, here she comes.\And she has a bag.\All right!\That ends today's stalking!\I-Idiot! She'll notice us! response:	I thought you couldn't make it...
context: I see.\I was just overreacting.\Ah, here she comes.\And she has a bag.\All right!\That ends today's stalking!\I-Idiot! She'll notice us!\I thought you couldn't make it... response:	I was worried that you might not've been able to get anything.
context: I was just overreacting.\Ah, here she comes.\And she has a bag.\All right!\That ends today's stalking!\I-Idiot! She'll notice us!\I thought you couldn't make it...\I was worried that you might not've been able to get anything. response:	But I see you did. I'm glad.
context: Ah, here she comes.\And she has a bag.\All right!\That ends today's stalking!\I-Idiot! She'll notice us!\I thought you couldn't make it...\I was worried that you might not've been able to get anything.\But I see you did. I'm glad. response:	That was it. See you later.
context: And she has a bag.\All right!\That ends today's stalking!\I-Idiot! She'll notice us!\I thought you couldn't make it...\I was worried that you might not've been able to get anything.\But I see you did. I'm glad.\That was it. See you later. response:	Ah! Since you're out this way, wanna get something to drink?
context: All right!\That ends today's stalking!\I-Idiot! She'll notice us!\I thought you couldn't make it...\I was worried that you might not've been able to get anything.\But I see you did. I'm glad.\That was it. See you later.\Ah! Since you're out this way, wanna get something to drink? response:	Ah, it's okay. That's really all I came for.
context: That ends today's stalking!\I-Idiot! She'll notice us!\I thought you couldn't make it...\I was worried that you might not've been able to get anything.\But I see you did. I'm glad.\That was it. See you later.\Ah! Since you're out this way, wanna get something to drink?\Ah, it's okay. That's really all I came for. response:	It's so tiny...
context: I-Idiot! She'll notice us!\I thought you couldn't make it...\I was worried that you might not've been able to get anything.\But I see you did. I'm glad.\That was it. See you later.\Ah! Since you're out this way, wanna get something to drink?\Ah, it's okay. That's really all I came for.\It's so tiny... response:	I heard from Masa...
context: I thought you couldn't make it...\I was worried that you might not've been able to get anything.\But I see you did. I'm glad.\That was it. See you later.\Ah! Since you're out this way, wanna get something to drink?\Ah, it's okay. That's really all I came for.\It's so tiny...\I heard from Masa... response:	That girl who was in the accident last year... she was your girlfriend at that time?
context: I was worried that you might not've been able to get anything.\But I see you did. I'm glad.\That was it. See you later.\Ah! Since you're out this way, wanna get something to drink?\Ah, it's okay. That's really all I came for.\It's so tiny...\I heard from Masa...\That girl who was in the accident last year... she was your girlfriend at that time? response:	I also heard that you haven't even visited her grave yet, either?
context: But I see you did. I'm glad.\That was it. See you later.\Ah! Since you're out this way, wanna get something to drink?\Ah, it's okay. That's really all I came for.\It's so tiny...\I heard from Masa...\That girl who was in the accident last year... she was your girlfriend at that time?\I also heard that you haven't even visited her grave yet, either? response:	You can't do stuff like that.
context: That was it. See you later.\Ah! Since you're out this way, wanna get something to drink?\Ah, it's okay. That's really all I came for.\It's so tiny...\I heard from Masa...\That girl who was in the accident last year... she was your girlfriend at that time?\I also heard that you haven't even visited her grave yet, either?\You can't do stuff like that. response:	Why not?
context: Ah! Since you're out this way, wanna get something to drink?\Ah, it's okay. That's really all I came for.\It's so tiny...\I heard from Masa...\That girl who was in the accident last year... she was your girlfriend at that time?\I also heard that you haven't even visited her grave yet, either?\You can't do stuff like that.\Why not? response:	I'm not saying this for your girlfriend's benefit. I'm saying this for yours.
context: Ah, it's okay. That's really all I came for.\It's so tiny...\I heard from Masa...\That girl who was in the accident last year... she was your girlfriend at that time?\I also heard that you haven't even visited her grave yet, either?\You can't do stuff like that.\Why not?\I'm not saying this for your girlfriend's benefit. I'm saying this for yours. response:	Go buy some flowers she liked, some water, and get out there, Motoharu.
context: It's so tiny...\I heard from Masa...\That girl who was in the accident last year... she was your girlfriend at that time?\I also heard that you haven't even visited her grave yet, either?\You can't do stuff like that.\Why not?\I'm not saying this for your girlfriend's benefit. I'm saying this for yours.\Go buy some flowers she liked, some water, and get out there, Motoharu. response:	People need to cry every now and then-
context: I heard from Masa...\That girl who was in the accident last year... she was your girlfriend at that time?\I also heard that you haven't even visited her grave yet, either?\You can't do stuff like that.\Why not?\I'm not saying this for your girlfriend's benefit. I'm saying this for yours.\Go buy some flowers she liked, some water, and get out there, Motoharu.\People need to cry every now and then- response:	I don't want to hear it!
context: That girl who was in the accident last year... she was your girlfriend at that time?\I also heard that you haven't even visited her grave yet, either?\You can't do stuff like that.\Why not?\I'm not saying this for your girlfriend's benefit. I'm saying this for yours.\Go buy some flowers she liked, some water, and get out there, Motoharu.\People need to cry every now and then-\I don't want to hear it! response:	She was a stupid bitch.
context: I also heard that you haven't even visited her grave yet, either?\You can't do stuff like that.\Why not?\I'm not saying this for your girlfriend's benefit. I'm saying this for yours.\Go buy some flowers she liked, some water, and get out there, Motoharu.\People need to cry every now and then-\I don't want to hear it!\She was a stupid bitch. response:	Moto!
context: You can't do stuff like that.\Why not?\I'm not saying this for your girlfriend's benefit. I'm saying this for yours.\Go buy some flowers she liked, some water, and get out there, Motoharu.\People need to cry every now and then-\I don't want to hear it!\She was a stupid bitch.\Moto! response:	Even stupid bitches feel regret.
context: Why not?\I'm not saying this for your girlfriend's benefit. I'm saying this for yours.\Go buy some flowers she liked, some water, and get out there, Motoharu.\People need to cry every now and then-\I don't want to hear it!\She was a stupid bitch.\Moto!\Even stupid bitches feel regret. response:	Even if she does regret it, it's too late!
context: I'm not saying this for your girlfriend's benefit. I'm saying this for yours.\Go buy some flowers she liked, some water, and get out there, Motoharu.\People need to cry every now and then-\I don't want to hear it!\She was a stupid bitch.\Moto!\Even stupid bitches feel regret.\Even if she does regret it, it's too late! response:	Closing Ceremonies
context: Go buy some flowers she liked, some water, and get out there, Motoharu.\People need to cry every now and then-\I don't want to hear it!\She was a stupid bitch.\Moto!\Even stupid bitches feel regret.\Even if she does regret it, it's too late!\Closing Ceremonies response:	Clean-up Snow shoveling
context: People need to cry every now and then-\I don't want to hear it!\She was a stupid bitch.\Moto!\Even stupid bitches feel regret.\Even if she does regret it, it's too late!\Closing Ceremonies\Clean-up Snow shoveling response:	December 24
context: I don't want to hear it!\She was a stupid bitch.\Moto!\Even stupid bitches feel regret.\Even if she does regret it, it's too late!\Closing Ceremonies\Clean-up Snow shoveling\December 24 response:	Hey, boys! Take this seriously!
context: She was a stupid bitch.\Moto!\Even stupid bitches feel regret.\Even if she does regret it, it's too late!\Closing Ceremonies\Clean-up Snow shoveling\December 24\Hey, boys! Take this seriously! response:	Don't have a snowball fight!
context: Moto!\Even stupid bitches feel regret.\Even if she does regret it, it's too late!\Closing Ceremonies\Clean-up Snow shoveling\December 24\Hey, boys! Take this seriously!\Don't have a snowball fight! response:	It's so cold!
context: Even stupid bitches feel regret.\Even if she does regret it, it's too late!\Closing Ceremonies\Clean-up Snow shoveling\December 24\Hey, boys! Take this seriously!\Don't have a snowball fight!\It's so cold! response:	Geez! We'll never finish like this!
context: Even if she does regret it, it's too late!\Closing Ceremonies\Clean-up Snow shoveling\December 24\Hey, boys! Take this seriously!\Don't have a snowball fight!\It's so cold!\Geez! We'll never finish like this! response:	Yano hasn't looked at me once today.
context: Closing Ceremonies\Clean-up Snow shoveling\December 24\Hey, boys! Take this seriously!\Don't have a snowball fight!\It's so cold!\Geez! We'll never finish like this!\Yano hasn't looked at me once today. response:	Is it just my imagination?
context: Clean-up Snow shoveling\December 24\Hey, boys! Take this seriously!\Don't have a snowball fight!\It's so cold!\Geez! We'll never finish like this!\Yano hasn't looked at me once today.\Is it just my imagination? response:	It... isn't my imagination!
context: December 24\Hey, boys! Take this seriously!\Don't have a snowball fight!\It's so cold!\Geez! We'll never finish like this!\Yano hasn't looked at me once today.\Is it just my imagination?\It... isn't my imagination! response:	Yano!
context: Hey, boys! Take this seriously!\Don't have a snowball fight!\It's so cold!\Geez! We'll never finish like this!\Yano hasn't looked at me once today.\Is it just my imagination?\It... isn't my imagination!\Yano! response:	Come on!
context: Don't have a snowball fight!\It's so cold!\Geez! We'll never finish like this!\Yano hasn't looked at me once today.\Is it just my imagination?\It... isn't my imagination!\Yano!\Come on! response:	What's he so mad about?
context: It's so cold!\Geez! We'll never finish like this!\Yano hasn't looked at me once today.\Is it just my imagination?\It... isn't my imagination!\Yano!\Come on!\What's he so mad about? response:	Yano!
context: Geez! We'll never finish like this!\Yano hasn't looked at me once today.\Is it just my imagination?\It... isn't my imagination!\Yano!\Come on!\What's he so mad about?\Yano! response:	Takahashi.
