context: This is your last chance. response:	He's gone.
context: I never thought he'd bring up transferring.\Now I really can't afford to fail.\I'm sorry for getting you caught up in our family matters.\I don't want to transfer.\But that's not my concern.\Whether it's your circumstances, or your family's circumstances,\or your previous school, or this transfer ultimatum...\None of it matters. response:	I'm going to do as I please.
context: Now I really can't afford to fail.\I'm sorry for getting you caught up in our family matters.\I don't want to transfer.\But that's not my concern.\Whether it's your circumstances, or your family's circumstances,\or your previous school, or this transfer ultimatum...\None of it matters.\I'm going to do as I please. response:	And I'm going to make you all pass!
context: I'm sorry for getting you caught up in our family matters.\I don't want to transfer.\But that's not my concern.\Whether it's your circumstances, or your family's circumstances,\or your previous school, or this transfer ultimatum...\None of it matters.\I'm going to do as I please.\And I'm going to make you all pass! response:	I'm going to make you all graduate with your heads held high.
context: I don't want to transfer.\But that's not my concern.\Whether it's your circumstances, or your family's circumstances,\or your previous school, or this transfer ultimatum...\None of it matters.\I'm going to do as I please.\And I'm going to make you all pass!\I'm going to make you all graduate with your heads held high. response:	That's all I'm thinking about!
context: But that's not my concern.\Whether it's your circumstances, or your family's circumstances,\or your previous school, or this transfer ultimatum...\None of it matters.\I'm going to do as I please.\And I'm going to make you all pass!\I'm going to make you all graduate with your heads held high.\That's all I'm thinking about! response:	That's encouraging.
context: Whether it's your circumstances, or your family's circumstances,\or your previous school, or this transfer ultimatum...\None of it matters.\I'm going to do as I please.\And I'm going to make you all pass!\I'm going to make you all graduate with your heads held high.\That's all I'm thinking about!\That's encouraging. response:	The Last Exam
context: or your previous school, or this transfer ultimatum...\None of it matters.\I'm going to do as I please.\And I'm going to make you all pass!\I'm going to make you all graduate with your heads held high.\That's all I'm thinking about!\That's encouraging.\The Last Exam response:	Final Exams
context: None of it matters.\I'm going to do as I please.\And I'm going to make you all pass!\I'm going to make you all graduate with your heads held high.\That's all I'm thinking about!\That's encouraging.\The Last Exam\Final Exams response:	I have my promise with Father,
context: I'm going to do as I please.\And I'm going to make you all pass!\I'm going to make you all graduate with your heads held high.\That's all I'm thinking about!\That's encouraging.\The Last Exam\Final Exams\I have my promise with Father, response:	but unless I can pass this exam and move on to the next grade,
context: And I'm going to make you all pass!\I'm going to make you all graduate with your heads held high.\That's all I'm thinking about!\That's encouraging.\The Last Exam\Final Exams\I have my promise with Father,\but unless I can pass this exam and move on to the next grade, response:	my dreams won't matter.
context: I'm going to make you all graduate with your heads held high.\That's all I'm thinking about!\That's encouraging.\The Last Exam\Final Exams\I have my promise with Father,\but unless I can pass this exam and move on to the next grade,\my dreams won't matter. response:	Passing isn't my only goal on this exam.
context: That's all I'm thinking about!\That's encouraging.\The Last Exam\Final Exams\I have my promise with Father,\but unless I can pass this exam and move on to the next grade,\my dreams won't matter.\Passing isn't my only goal on this exam. response:	I decided back on that day that I would beat my sisters.
context: That's encouraging.\The Last Exam\Final Exams\I have my promise with Father,\but unless I can pass this exam and move on to the next grade,\my dreams won't matter.\Passing isn't my only goal on this exam.\I decided back on that day that I would beat my sisters. response:	Don't think about anything else.
context: The Last Exam\Final Exams\I have my promise with Father,\but unless I can pass this exam and move on to the next grade,\my dreams won't matter.\Passing isn't my only goal on this exam.\I decided back on that day that I would beat my sisters.\Don't think about anything else. response:	I need to focus on passing.
context: Final Exams\I have my promise with Father,\but unless I can pass this exam and move on to the next grade,\my dreams won't matter.\Passing isn't my only goal on this exam.\I decided back on that day that I would beat my sisters.\Don't think about anything else.\I need to focus on passing. response:	This can't be...
context: I have my promise with Father,\but unless I can pass this exam and move on to the next grade,\my dreams won't matter.\Passing isn't my only goal on this exam.\I decided back on that day that I would beat my sisters.\Don't think about anything else.\I need to focus on passing.\This can't be... response:	This can't be happening.
context: but unless I can pass this exam and move on to the next grade,\my dreams won't matter.\Passing isn't my only goal on this exam.\I decided back on that day that I would beat my sisters.\Don't think about anything else.\I need to focus on passing.\This can't be...\This can't be happening. response:	Me? With him, of all people?
context: my dreams won't matter.\Passing isn't my only goal on this exam.\I decided back on that day that I would beat my sisters.\Don't think about anything else.\I need to focus on passing.\This can't be...\This can't be happening.\Me? With him, of all people? response:	I've kept messing up until now.
context: Passing isn't my only goal on this exam.\I decided back on that day that I would beat my sisters.\Don't think about anything else.\I need to focus on passing.\This can't be...\This can't be happening.\Me? With him, of all people?\I've kept messing up until now. response:	But please, gods of studying, give me your strength this time.
context: I decided back on that day that I would beat my sisters.\Don't think about anything else.\I need to focus on passing.\This can't be...\This can't be happening.\Me? With him, of all people?\I've kept messing up until now.\But please, gods of studying, give me your strength this time. response:	We all worked so hard together!
context: Don't think about anything else.\I need to focus on passing.\This can't be...\This can't be happening.\Me? With him, of all people?\I've kept messing up until now.\But please, gods of studying, give me your strength this time.\We all worked so hard together! response:	We have two months until final exams.
context: I need to focus on passing.\This can't be...\This can't be happening.\Me? With him, of all people?\I've kept messing up until now.\But please, gods of studying, give me your strength this time.\We all worked so hard together!\We have two months until final exams. response:	Let's get started with our lessons, everyone!
context: This can't be...\This can't be happening.\Me? With him, of all people?\I've kept messing up until now.\But please, gods of studying, give me your strength this time.\We all worked so hard together!\We have two months until final exams.\Let's get started with our lessons, everyone! response:	Please do begin!
context: This can't be happening.\Me? With him, of all people?\I've kept messing up until now.\But please, gods of studying, give me your strength this time.\We all worked so hard together!\We have two months until final exams.\Let's get started with our lessons, everyone!\Please do begin! response:	And find out for us what we need to do to pass the exams!
context: Me? With him, of all people?\I've kept messing up until now.\But please, gods of studying, give me your strength this time.\We all worked so hard together!\We have two months until final exams.\Let's get started with our lessons, everyone!\Please do begin!\And find out for us what we need to do to pass the exams! response:	Y-Yeah.
context: I've kept messing up until now.\But please, gods of studying, give me your strength this time.\We all worked so hard together!\We have two months until final exams.\Let's get started with our lessons, everyone!\Please do begin!\And find out for us what we need to do to pass the exams!\Y-Yeah. response:	I'm glad you're enthusiastic.
context: But please, gods of studying, give me your strength this time.\We all worked so hard together!\We have two months until final exams.\Let's get started with our lessons, everyone!\Please do begin!\And find out for us what we need to do to pass the exams!\Y-Yeah.\I'm glad you're enthusiastic. response:	Anyway, let's start.
context: We all worked so hard together!\We have two months until final exams.\Let's get started with our lessons, everyone!\Please do begin!\And find out for us what we need to do to pass the exams!\Y-Yeah.\I'm glad you're enthusiastic.\Anyway, let's start. response:	Our goal is to get over 30 percent!
context: We have two months until final exams.\Let's get started with our lessons, everyone!\Please do begin!\And find out for us what we need to do to pass the exams!\Y-Yeah.\I'm glad you're enthusiastic.\Anyway, let's start.\Our goal is to get over 30 percent! response:	What's the matter?
context: Let's get started with our lessons, everyone!\Please do begin!\And find out for us what we need to do to pass the exams!\Y-Yeah.\I'm glad you're enthusiastic.\Anyway, let's start.\Our goal is to get over 30 percent!\What's the matter? response:	Maybe he's been reading something dirty.
context: Please do begin!\And find out for us what we need to do to pass the exams!\Y-Yeah.\I'm glad you're enthusiastic.\Anyway, let's start.\Our goal is to get over 30 percent!\What's the matter?\Maybe he's been reading something dirty. response:	It's her fault.
context: And find out for us what we need to do to pass the exams!\Y-Yeah.\I'm glad you're enthusiastic.\Anyway, let's start.\Our goal is to get over 30 percent!\What's the matter?\Maybe he's been reading something dirty.\It's her fault. response:	She's been force feeding me chocolates lately for some reason.
context: Y-Yeah.\I'm glad you're enthusiastic.\Anyway, let's start.\Our goal is to get over 30 percent!\What's the matter?\Maybe he's been reading something dirty.\It's her fault.\She's been force feeding me chocolates lately for some reason. response:	I brought some again.
context: I'm glad you're enthusiastic.\Anyway, let's start.\Our goal is to get over 30 percent!\What's the matter?\Maybe he's been reading something dirty.\It's her fault.\She's been force feeding me chocolates lately for some reason.\I brought some again. response:	Hey, I've been craving something sweet.
context: Anyway, let's start.\Our goal is to get over 30 percent!\What's the matter?\Maybe he's been reading something dirty.\It's her fault.\She's been force feeding me chocolates lately for some reason.\I brought some again.\Hey, I've been craving something sweet. response:	I'm not giving you any.
context: Our goal is to get over 30 percent!\What's the matter?\Maybe he's been reading something dirty.\It's her fault.\She's been force feeding me chocolates lately for some reason.\I brought some again.\Hey, I've been craving something sweet.\I'm not giving you any. response:	What? Quit being so greedy.
context: What's the matter?\Maybe he's been reading something dirty.\It's her fault.\She's been force feeding me chocolates lately for some reason.\I brought some again.\Hey, I've been craving something sweet.\I'm not giving you any.\What? Quit being so greedy. response:	I'm not.
context: Maybe he's been reading something dirty.\It's her fault.\She's been force feeding me chocolates lately for some reason.\I brought some again.\Hey, I've been craving something sweet.\I'm not giving you any.\What? Quit being so greedy.\I'm not. response:	Not yet.
context: It's her fault.\She's been force feeding me chocolates lately for some reason.\I brought some again.\Hey, I've been craving something sweet.\I'm not giving you any.\What? Quit being so greedy.\I'm not.\Not yet. response:	Have all of these and tell me what you think.
context: She's been force feeding me chocolates lately for some reason.\I brought some again.\Hey, I've been craving something sweet.\I'm not giving you any.\What? Quit being so greedy.\I'm not.\Not yet.\Have all of these and tell me what you think. response:	What kind of punishment is this?
context: I brought some again.\Hey, I've been craving something sweet.\I'm not giving you any.\What? Quit being so greedy.\I'm not.\Not yet.\Have all of these and tell me what you think.\What kind of punishment is this? response:	You're still up?
context: Hey, I've been craving something sweet.\I'm not giving you any.\What? Quit being so greedy.\I'm not.\Not yet.\Have all of these and tell me what you think.\What kind of punishment is this?\You're still up? response:	Ichika.
context: I'm not giving you any.\What? Quit being so greedy.\I'm not.\Not yet.\Have all of these and tell me what you think.\What kind of punishment is this?\You're still up?\Ichika. response:	Did I wake you? Sorry.
context: What? Quit being so greedy.\I'm not.\Not yet.\Have all of these and tell me what you think.\What kind of punishment is this?\You're still up?\Ichika.\Did I wake you? Sorry. response:	You must have a good idea of Futaro-kun's tastes by now.
context: I'm not.\Not yet.\Have all of these and tell me what you think.\What kind of punishment is this?\You're still up?\Ichika.\Did I wake you? Sorry.\You must have a good idea of Futaro-kun's tastes by now. response:	So you realized.
context: Not yet.\Have all of these and tell me what you think.\What kind of punishment is this?\You're still up?\Ichika.\Did I wake you? Sorry.\You must have a good idea of Futaro-kun's tastes by now.\So you realized. response:	I don't like sweet stuff, so I don't know what to do.
context: Have all of these and tell me what you think.\What kind of punishment is this?\You're still up?\Ichika.\Did I wake you? Sorry.\You must have a good idea of Futaro-kun's tastes by now.\So you realized.\I don't like sweet stuff, so I don't know what to do. response:	I'm making test batches.
context: What kind of punishment is this?\You're still up?\Ichika.\Did I wake you? Sorry.\You must have a good idea of Futaro-kun's tastes by now.\So you realized.\I don't like sweet stuff, so I don't know what to do.\I'm making test batches. response:	Uh...
context: You're still up?\Ichika.\Did I wake you? Sorry.\You must have a good idea of Futaro-kun's tastes by now.\So you realized.\I don't like sweet stuff, so I don't know what to do.\I'm making test batches.\Uh... response:	I see a skull icon.
context: Ichika.\Did I wake you? Sorry.\You must have a good idea of Futaro-kun's tastes by now.\So you realized.\I don't like sweet stuff, so I don't know what to do.\I'm making test batches.\Uh...\I see a skull icon. response:	This is the safe kind of skull icon.
context: Did I wake you? Sorry.\You must have a good idea of Futaro-kun's tastes by now.\So you realized.\I don't like sweet stuff, so I don't know what to do.\I'm making test batches.\Uh...\I see a skull icon.\This is the safe kind of skull icon. response:	What's a safe kind of skull icon?
context: You must have a good idea of Futaro-kun's tastes by now.\So you realized.\I don't like sweet stuff, so I don't know what to do.\I'm making test batches.\Uh...\I see a skull icon.\This is the safe kind of skull icon.\What's a safe kind of skull icon? response:	Why don't you try a simpler recipe?
context: So you realized.\I don't like sweet stuff, so I don't know what to do.\I'm making test batches.\Uh...\I see a skull icon.\This is the safe kind of skull icon.\What's a safe kind of skull icon?\Why don't you try a simpler recipe? response:	Just melt and mold it.
context: I don't like sweet stuff, so I don't know what to do.\I'm making test batches.\Uh...\I see a skull icon.\This is the safe kind of skull icon.\What's a safe kind of skull icon?\Why don't you try a simpler recipe?\Just melt and mold it. response:	I'm not particularly good at cooking, either.
context: I'm making test batches.\Uh...\I see a skull icon.\This is the safe kind of skull icon.\What's a safe kind of skull icon?\Why don't you try a simpler recipe?\Just melt and mold it.\I'm not particularly good at cooking, either. response:	Oh, right.
context: Uh...\I see a skull icon.\This is the safe kind of skull icon.\What's a safe kind of skull icon?\Why don't you try a simpler recipe?\Just melt and mold it.\I'm not particularly good at cooking, either.\Oh, right. response:	I know someone who's a great cook.
context: I see a skull icon.\This is the safe kind of skull icon.\What's a safe kind of skull icon?\Why don't you try a simpler recipe?\Just melt and mold it.\I'm not particularly good at cooking, either.\Oh, right.\I know someone who's a great cook. response:	Why don't you have them teach you?
context: This is the safe kind of skull icon.\What's a safe kind of skull icon?\Why don't you try a simpler recipe?\Just melt and mold it.\I'm not particularly good at cooking, either.\Oh, right.\I know someone who's a great cook.\Why don't you have them teach you? response:	We're a week into the third term.
context: What's a safe kind of skull icon?\Why don't you try a simpler recipe?\Just melt and mold it.\I'm not particularly good at cooking, either.\Oh, right.\I know someone who's a great cook.\Why don't you have them teach you?\We're a week into the third term. response:	We have a Sunday to work with.
context: Why don't you try a simpler recipe?\Just melt and mold it.\I'm not particularly good at cooking, either.\Oh, right.\I know someone who's a great cook.\Why don't you have them teach you?\We're a week into the third term.\We have a Sunday to work with. response:	Now's the time to buckle down.
context: Just melt and mold it.\I'm not particularly good at cooking, either.\Oh, right.\I know someone who's a great cook.\Why don't you have them teach you?\We're a week into the third term.\We have a Sunday to work with.\Now's the time to buckle down. response:	So why isn't Itsuki here?!
context: I'm not particularly good at cooking, either.\Oh, right.\I know someone who's a great cook.\Why don't you have them teach you?\We're a week into the third term.\We have a Sunday to work with.\Now's the time to buckle down.\So why isn't Itsuki here?! response:	Please do begin!
context: Oh, right.\I know someone who's a great cook.\Why don't you have them teach you?\We're a week into the third term.\We have a Sunday to work with.\Now's the time to buckle down.\So why isn't Itsuki here?!\Please do begin! response:	And find out for us...
context: I know someone who's a great cook.\Why don't you have them teach you?\We're a week into the third term.\We have a Sunday to work with.\Now's the time to buckle down.\So why isn't Itsuki here?!\Please do begin!\And find out for us... response:	What ever happened to that?!
context: Why don't you have them teach you?\We're a week into the third term.\We have a Sunday to work with.\Now's the time to buckle down.\So why isn't Itsuki here?!\Please do begin!\And find out for us...\What ever happened to that?! response:	There, there.
context: We're a week into the third term.\We have a Sunday to work with.\Now's the time to buckle down.\So why isn't Itsuki here?!\Please do begin!\And find out for us...\What ever happened to that?!\There, there. response:	Calm down.
context: We have a Sunday to work with.\Now's the time to buckle down.\So why isn't Itsuki here?!\Please do begin!\And find out for us...\What ever happened to that?!\There, there.\Calm down. response:	Where did she go, though?
context: Now's the time to buckle down.\So why isn't Itsuki here?!\Please do begin!\And find out for us...\What ever happened to that?!\There, there.\Calm down.\Where did she go, though? response:	Itsuki has that thing, remember?
context: So why isn't Itsuki here?!\Please do begin!\And find out for us...\What ever happened to that?!\There, there.\Calm down.\Where did she go, though?\Itsuki has that thing, remember? response:	It's that day for her.
context: Please do begin!\And find out for us...\What ever happened to that?!\There, there.\Calm down.\Where did she go, though?\Itsuki has that thing, remember?\It's that day for her. response:	Huh? What are you talking about?
context: And find out for us...\What ever happened to that?!\There, there.\Calm down.\Where did she go, though?\Itsuki has that thing, remember?\It's that day for her.\Huh? What are you talking about? response:	Just say it!
context: What ever happened to that?!\There, there.\Calm down.\Where did she go, though?\Itsuki has that thing, remember?\It's that day for her.\Huh? What are you talking about?\Just say it! response:	He's asking straight-up.
context: There, there.\Calm down.\Where did she go, though?\Itsuki has that thing, remember?\It's that day for her.\Huh? What are you talking about?\Just say it!\He's asking straight-up. response:	You sure are insensitive, aren't you?
context: Calm down.\Where did she go, though?\Itsuki has that thing, remember?\It's that day for her.\Huh? What are you talking about?\Just say it!\He's asking straight-up.\You sure are insensitive, aren't you? response:	Well, it's hard to talk about, but...
context: Where did she go, though?\Itsuki has that thing, remember?\It's that day for her.\Huh? What are you talking about?\Just say it!\He's asking straight-up.\You sure are insensitive, aren't you?\Well, it's hard to talk about, but... response:	What is it?
context: Itsuki has that thing, remember?\It's that day for her.\Huh? What are you talking about?\Just say it!\He's asking straight-up.\You sure are insensitive, aren't you?\Well, it's hard to talk about, but...\What is it? response:	Is it more important than exams?
context: It's that day for her.\Huh? What are you talking about?\Just say it!\He's asking straight-up.\You sure are insensitive, aren't you?\Well, it's hard to talk about, but...\What is it?\Is it more important than exams? response:	If it isn't, I'll kill her.
context: Huh? What are you talking about?\Just say it!\He's asking straight-up.\You sure are insensitive, aren't you?\Well, it's hard to talk about, but...\What is it?\Is it more important than exams?\If it isn't, I'll kill her. response:	Well...
context: Just say it!\He's asking straight-up.\You sure are insensitive, aren't you?\Well, it's hard to talk about, but...\What is it?\Is it more important than exams?\If it isn't, I'll kill her.\Well... response:	A girl has...
context: He's asking straight-up.\You sure are insensitive, aren't you?\Well, it's hard to talk about, but...\What is it?\Is it more important than exams?\If it isn't, I'll kill her.\Well...\A girl has... response:	No, it's the day Mother died.
context: You sure are insensitive, aren't you?\Well, it's hard to talk about, but...\What is it?\Is it more important than exams?\If it isn't, I'll kill her.\Well...\A girl has...\No, it's the day Mother died. response:	But wait, she was your mother, too.
context: Well, it's hard to talk about, but...\What is it?\Is it more important than exams?\If it isn't, I'll kill her.\Well...\A girl has...\No, it's the day Mother died.\But wait, she was your mother, too. response:	To be accurate, it isn't today.
context: What is it?\Is it more important than exams?\If it isn't, I'll kill her.\Well...\A girl has...\No, it's the day Mother died.\But wait, she was your mother, too.\To be accurate, it isn't today. response:	Mother passed away on August 14th.
context: Is it more important than exams?\If it isn't, I'll kill her.\Well...\A girl has...\No, it's the day Mother died.\But wait, she was your mother, too.\To be accurate, it isn't today.\Mother passed away on August 14th. response:	So, like, the monthiversary?
context: If it isn't, I'll kill her.\Well...\A girl has...\No, it's the day Mother died.\But wait, she was your mother, too.\To be accurate, it isn't today.\Mother passed away on August 14th.\So, like, the monthiversary? response:	Yeah.
context: Well...\A girl has...\No, it's the day Mother died.\But wait, she was your mother, too.\To be accurate, it isn't today.\Mother passed away on August 14th.\So, like, the monthiversary?\Yeah. response:	She's devoted to visiting her grave every month on the fourteenth.
context: A girl has...\No, it's the day Mother died.\But wait, she was your mother, too.\To be accurate, it isn't today.\Mother passed away on August 14th.\So, like, the monthiversary?\Yeah.\She's devoted to visiting her grave every month on the fourteenth. response:	Devoted, huh?
context: No, it's the day Mother died.\But wait, she was your mother, too.\To be accurate, it isn't today.\Mother passed away on August 14th.\So, like, the monthiversary?\Yeah.\She's devoted to visiting her grave every month on the fourteenth.\Devoted, huh? response:	Itsuki, is that really the only reason?
context: But wait, she was your mother, too.\To be accurate, it isn't today.\Mother passed away on August 14th.\So, like, the monthiversary?\Yeah.\She's devoted to visiting her grave every month on the fourteenth.\Devoted, huh?\Itsuki, is that really the only reason? response:	Am I ever going to be like you, Mother?
context: To be accurate, it isn't today.\Mother passed away on August 14th.\So, like, the monthiversary?\Yeah.\She's devoted to visiting her grave every month on the fourteenth.\Devoted, huh?\Itsuki, is that really the only reason?\Am I ever going to be like you, Mother? response:	Hey, I don't see other people here often.
context: Mother passed away on August 14th.\So, like, the monthiversary?\Yeah.\She's devoted to visiting her grave every month on the fourteenth.\Devoted, huh?\Itsuki, is that really the only reason?\Am I ever going to be like you, Mother?\Hey, I don't see other people here often. response:	Um...
context: So, like, the monthiversary?\Yeah.\She's devoted to visiting her grave every month on the fourteenth.\Devoted, huh?\Itsuki, is that really the only reason?\Am I ever going to be like you, Mother?\Hey, I don't see other people here often.\Um... response:	Nice to meet you.
context: Yeah.\She's devoted to visiting her grave every month on the fourteenth.\Devoted, huh?\Itsuki, is that really the only reason?\Am I ever going to be like you, Mother?\Hey, I don't see other people here often.\Um...\Nice to meet you. response:	Sensei?
context: She's devoted to visiting her grave every month on the fourteenth.\Devoted, huh?\Itsuki, is that really the only reason?\Am I ever going to be like you, Mother?\Hey, I don't see other people here often.\Um...\Nice to meet you.\Sensei? response:	Sorry, you look so much like Sensei, I thought you were her.
context: Devoted, huh?\Itsuki, is that really the only reason?\Am I ever going to be like you, Mother?\Hey, I don't see other people here often.\Um...\Nice to meet you.\Sensei?\Sorry, you look so much like Sensei, I thought you were her. response:	But thinking about it, she's been dead for a long time.
context: Itsuki, is that really the only reason?\Am I ever going to be like you, Mother?\Hey, I don't see other people here often.\Um...\Nice to meet you.\Sensei?\Sorry, you look so much like Sensei, I thought you were her.\But thinking about it, she's been dead for a long time. response:	That's not a nice thing to say in front of her daughter, huh?
context: Am I ever going to be like you, Mother?\Hey, I don't see other people here often.\Um...\Nice to meet you.\Sensei?\Sorry, you look so much like Sensei, I thought you were her.\But thinking about it, she's been dead for a long time.\That's not a nice thing to say in front of her daughter, huh? response:	Forgive me.
context: Hey, I don't see other people here often.\Um...\Nice to meet you.\Sensei?\Sorry, you look so much like Sensei, I thought you were her.\But thinking about it, she's been dead for a long time.\That's not a nice thing to say in front of her daughter, huh?\Forgive me. response:	There must be a reason we bumped into each other here.
context: Um...\Nice to meet you.\Sensei?\Sorry, you look so much like Sensei, I thought you were her.\But thinking about it, she's been dead for a long time.\That's not a nice thing to say in front of her daughter, huh?\Forgive me.\There must be a reason we bumped into each other here. response:	I'll buy you as much as you like, to show my appreciation for your mother.
context: Nice to meet you.\Sensei?\Sorry, you look so much like Sensei, I thought you were her.\But thinking about it, she's been dead for a long time.\That's not a nice thing to say in front of her daughter, huh?\Forgive me.\There must be a reason we bumped into each other here.\I'll buy you as much as you like, to show my appreciation for your mother. response:	A-As much as I like?!
context: Sensei?\Sorry, you look so much like Sensei, I thought you were her.\But thinking about it, she's been dead for a long time.\That's not a nice thing to say in front of her daughter, huh?\Forgive me.\There must be a reason we bumped into each other here.\I'll buy you as much as you like, to show my appreciation for your mother.\A-As much as I like?! response:	U-Um...
context: Sorry, you look so much like Sensei, I thought you were her.\But thinking about it, she's been dead for a long time.\That's not a nice thing to say in front of her daughter, huh?\Forgive me.\There must be a reason we bumped into each other here.\I'll buy you as much as you like, to show my appreciation for your mother.\A-As much as I like?!\U-Um... response:	Shimoda-san, are you my mother's...
context: But thinking about it, she's been dead for a long time.\That's not a nice thing to say in front of her daughter, huh?\Forgive me.\There must be a reason we bumped into each other here.\I'll buy you as much as you like, to show my appreciation for your mother.\A-As much as I like?!\U-Um...\Shimoda-san, are you my mother's... response:	I was her student.
context: That's not a nice thing to say in front of her daughter, huh?\Forgive me.\There must be a reason we bumped into each other here.\I'll buy you as much as you like, to show my appreciation for your mother.\A-As much as I like?!\U-Um...\Shimoda-san, are you my mother's...\I was her student. response:	I've lost count of how many times she smacked me.
context: Forgive me.\There must be a reason we bumped into each other here.\I'll buy you as much as you like, to show my appreciation for your mother.\A-As much as I like?!\U-Um...\Shimoda-san, are you my mother's...\I was her student.\I've lost count of how many times she smacked me. response:	That's the thing.
context: There must be a reason we bumped into each other here.\I'll buy you as much as you like, to show my appreciation for your mother.\A-As much as I like?!\U-Um...\Shimoda-san, are you my mother's...\I was her student.\I've lost count of how many times she smacked me.\That's the thing. response:	Could you please tell me what kind of person my mother was?
context: I'll buy you as much as you like, to show my appreciation for your mother.\A-As much as I like?!\U-Um...\Shimoda-san, are you my mother's...\I was her student.\I've lost count of how many times she smacked me.\That's the thing.\Could you please tell me what kind of person my mother was? response:	You don't remember?
context: A-As much as I like?!\U-Um...\Shimoda-san, are you my mother's...\I was her student.\I've lost count of how many times she smacked me.\That's the thing.\Could you please tell me what kind of person my mother was?\You don't remember? response:	It was only five years ago. Surely you were old enough.
context: U-Um...\Shimoda-san, are you my mother's...\I was her student.\I've lost count of how many times she smacked me.\That's the thing.\Could you please tell me what kind of person my mother was?\You don't remember?\It was only five years ago. Surely you were old enough. response:	Yes, but...
context: Shimoda-san, are you my mother's...\I was her student.\I've lost count of how many times she smacked me.\That's the thing.\Could you please tell me what kind of person my mother was?\You don't remember?\It was only five years ago. Surely you were old enough.\Yes, but... response:	I only know how my mother was at home.
context: I was her student.\I've lost count of how many times she smacked me.\That's the thing.\Could you please tell me what kind of person my mother was?\You don't remember?\It was only five years ago. Surely you were old enough.\Yes, but...\I only know how my mother was at home. response:	I want to know what kind of person she was as a teacher.
context: I've lost count of how many times she smacked me.\That's the thing.\Could you please tell me what kind of person my mother was?\You don't remember?\It was only five years ago. Surely you were old enough.\Yes, but...\I only know how my mother was at home.\I want to know what kind of person she was as a teacher. response:	She was unfriendly. She never tried to be nice to students.
context: That's the thing.\Could you please tell me what kind of person my mother was?\You don't remember?\It was only five years ago. Surely you were old enough.\Yes, but...\I only know how my mother was at home.\I want to know what kind of person she was as a teacher.\She was unfriendly. She never tried to be nice to students. response:	I never saw her smile at school.
context: Could you please tell me what kind of person my mother was?\You don't remember?\It was only five years ago. Surely you were old enough.\Yes, but...\I only know how my mother was at home.\I want to know what kind of person she was as a teacher.\She was unfriendly. She never tried to be nice to students.\I never saw her smile at school. response:	The students must have been terrified of her, then.
context: You don't remember?\It was only five years ago. Surely you were old enough.\Yes, but...\I only know how my mother was at home.\I want to know what kind of person she was as a teacher.\She was unfriendly. She never tried to be nice to students.\I never saw her smile at school.\The students must have been terrified of her, then. response:	Nope. Believe it or not, we weren't.
context: It was only five years ago. Surely you were old enough.\Yes, but...\I only know how my mother was at home.\I want to know what kind of person she was as a teacher.\She was unfriendly. She never tried to be nice to students.\I never saw her smile at school.\The students must have been terrified of her, then.\Nope. Believe it or not, we weren't. response:	She could be as fierce and expressionless as she pleased.
