context: Man, that was the best! response:	A Guy You Like, or a Guy from the Past?
context: I just got back.\You've grown taller.\I'm 185cm now.\Really?!\I'm taller than you now.\You sure are!\Boy, this brings back memories.\I've got to get going. response:	Huh?
context: You've grown taller.\I'm 185cm now.\Really?!\I'm taller than you now.\You sure are!\Boy, this brings back memories.\I've got to get going.\Huh? response:	Wait... Otani?
context: I'm 185cm now.\Really?!\I'm taller than you now.\You sure are!\Boy, this brings back memories.\I've got to get going.\Huh?\Wait... Otani? response:	It sure does bring back memories!
context: Really?!\I'm taller than you now.\You sure are!\Boy, this brings back memories.\I've got to get going.\Huh?\Wait... Otani?\It sure does bring back memories! response:	How's your mom doing?
context: I'm taller than you now.\You sure are!\Boy, this brings back memories.\I've got to get going.\Huh?\Wait... Otani?\It sure does bring back memories!\How's your mom doing? response:	Good. How's your family?
context: You sure are!\Boy, this brings back memories.\I've got to get going.\Huh?\Wait... Otani?\It sure does bring back memories!\How's your mom doing?\Good. How's your family? response:	My family? Everyone's doing pretty well.
context: Boy, this brings back memories.\I've got to get going.\Huh?\Wait... Otani?\It sure does bring back memories!\How's your mom doing?\Good. How's your family?\My family? Everyone's doing pretty well. response:	Is that so?
context: I've got to get going.\Huh?\Wait... Otani?\It sure does bring back memories!\How's your mom doing?\Good. How's your family?\My family? Everyone's doing pretty well.\Is that so? response:	Which school are you going to now, Risa?
context: Huh?\Wait... Otani?\It sure does bring back memories!\How's your mom doing?\Good. How's your family?\My family? Everyone's doing pretty well.\Is that so?\Which school are you going to now, Risa? response:	Oh, Maido High.
context: Wait... Otani?\It sure does bring back memories!\How's your mom doing?\Good. How's your family?\My family? Everyone's doing pretty well.\Is that so?\Which school are you going to now, Risa?\Oh, Maido High. response:	Oh, so you're going there.
context: It sure does bring back memories!\How's your mom doing?\Good. How's your family?\My family? Everyone's doing pretty well.\Is that so?\Which school are you going to now, Risa?\Oh, Maido High.\Oh, so you're going there. response:	Everyone! Happy New Year!
context: How's your mom doing?\Good. How's your family?\My family? Everyone's doing pretty well.\Is that so?\Which school are you going to now, Risa?\Oh, Maido High.\Oh, so you're going there.\Everyone! Happy New Year! response:	Happy New Year!
context: Good. How's your family?\My family? Everyone's doing pretty well.\Is that so?\Which school are you going to now, Risa?\Oh, Maido High.\Oh, so you're going there.\Everyone! Happy New Year!\Happy New Year! response:	Yo! I haven't seen you for a while. You're getting even taller.
context: My family? Everyone's doing pretty well.\Is that so?\Which school are you going to now, Risa?\Oh, Maido High.\Oh, so you're going there.\Everyone! Happy New Year!\Happy New Year!\Yo! I haven't seen you for a while. You're getting even taller. response:	I am not!
context: Is that so?\Which school are you going to now, Risa?\Oh, Maido High.\Oh, so you're going there.\Everyone! Happy New Year!\Happy New Year!\Yo! I haven't seen you for a while. You're getting even taller.\I am not! response:	How are things going with your ex-girlfriend these days?
context: Which school are you going to now, Risa?\Oh, Maido High.\Oh, so you're going there.\Everyone! Happy New Year!\Happy New Year!\Yo! I haven't seen you for a while. You're getting even taller.\I am not!\How are things going with your ex-girlfriend these days? response:	They're not.
context: Oh, Maido High.\Oh, so you're going there.\Everyone! Happy New Year!\Happy New Year!\Yo! I haven't seen you for a while. You're getting even taller.\I am not!\How are things going with your ex-girlfriend these days?\They're not. response:	How about you, Koizumi? Who was that guy?
context: Oh, so you're going there.\Everyone! Happy New Year!\Happy New Year!\Yo! I haven't seen you for a while. You're getting even taller.\I am not!\How are things going with your ex-girlfriend these days?\They're not.\How about you, Koizumi? Who was that guy? response:	That guy?
context: Everyone! Happy New Year!\Happy New Year!\Yo! I haven't seen you for a while. You're getting even taller.\I am not!\How are things going with your ex-girlfriend these days?\They're not.\How about you, Koizumi? Who was that guy?\That guy? response:	The guy that suddenly hugged you in the middle of the street.
context: Happy New Year!\Yo! I haven't seen you for a while. You're getting even taller.\I am not!\How are things going with your ex-girlfriend these days?\They're not.\How about you, Koizumi? Who was that guy?\That guy?\The guy that suddenly hugged you in the middle of the street. response:	Oh, Haruka?
context: Yo! I haven't seen you for a while. You're getting even taller.\I am not!\How are things going with your ex-girlfriend these days?\They're not.\How about you, Koizumi? Who was that guy?\That guy?\The guy that suddenly hugged you in the middle of the street.\Oh, Haruka? response:	He's a childhood friend of mine.
context: I am not!\How are things going with your ex-girlfriend these days?\They're not.\How about you, Koizumi? Who was that guy?\That guy?\The guy that suddenly hugged you in the middle of the street.\Oh, Haruka?\He's a childhood friend of mine. response:	He moved overseas when we were in the fifth grade.
context: How are things going with your ex-girlfriend these days?\They're not.\How about you, Koizumi? Who was that guy?\That guy?\The guy that suddenly hugged you in the middle of the street.\Oh, Haruka?\He's a childhood friend of mine.\He moved overseas when we were in the fifth grade. response:	Do you actually care?
context: They're not.\How about you, Koizumi? Who was that guy?\That guy?\The guy that suddenly hugged you in the middle of the street.\Oh, Haruka?\He's a childhood friend of mine.\He moved overseas when we were in the fifth grade.\Do you actually care? response:	You're the one who's always saying ex this, and ex that.
context: How about you, Koizumi? Who was that guy?\That guy?\The guy that suddenly hugged you in the middle of the street.\Oh, Haruka?\He's a childhood friend of mine.\He moved overseas when we were in the fifth grade.\Do you actually care?\You're the one who's always saying ex this, and ex that. response:	Please bless me with a boyfriend this year.
context: That guy?\The guy that suddenly hugged you in the middle of the street.\Oh, Haruka?\He's a childhood friend of mine.\He moved overseas when we were in the fifth grade.\Do you actually care?\You're the one who's always saying ex this, and ex that.\Please bless me with a boyfriend this year. response:	Hey, something's coming out of you.
context: The guy that suddenly hugged you in the middle of the street.\Oh, Haruka?\He's a childhood friend of mine.\He moved overseas when we were in the fifth grade.\Do you actually care?\You're the one who's always saying ex this, and ex that.\Please bless me with a boyfriend this year.\Hey, something's coming out of you. response:	Shut up!
context: Oh, Haruka?\He's a childhood friend of mine.\He moved overseas when we were in the fifth grade.\Do you actually care?\You're the one who's always saying ex this, and ex that.\Please bless me with a boyfriend this year.\Hey, something's coming out of you.\Shut up! response:	This way. Come on, this way.
context: He's a childhood friend of mine.\He moved overseas when we were in the fifth grade.\Do you actually care?\You're the one who's always saying ex this, and ex that.\Please bless me with a boyfriend this year.\Hey, something's coming out of you.\Shut up!\This way. Come on, this way. response:	What are you doing?
context: He moved overseas when we were in the fifth grade.\Do you actually care?\You're the one who's always saying ex this, and ex that.\Please bless me with a boyfriend this year.\Hey, something's coming out of you.\Shut up!\This way. Come on, this way.\What are you doing? response:	Go on, go on, Otani.
context: Do you actually care?\You're the one who's always saying ex this, and ex that.\Please bless me with a boyfriend this year.\Hey, something's coming out of you.\Shut up!\This way. Come on, this way.\What are you doing?\Go on, go on, Otani. response:	What?
context: You're the one who's always saying ex this, and ex that.\Please bless me with a boyfriend this year.\Hey, something's coming out of you.\Shut up!\This way. Come on, this way.\What are you doing?\Go on, go on, Otani.\What? response:	Kanzaki...
context: Please bless me with a boyfriend this year.\Hey, something's coming out of you.\Shut up!\This way. Come on, this way.\What are you doing?\Go on, go on, Otani.\What?\Kanzaki... response:	Atsushi-kun.
context: Hey, something's coming out of you.\Shut up!\This way. Come on, this way.\What are you doing?\Go on, go on, Otani.\What?\Kanzaki...\Atsushi-kun. response:	Uh... H-How are you?
context: Shut up!\This way. Come on, this way.\What are you doing?\Go on, go on, Otani.\What?\Kanzaki...\Atsushi-kun.\Uh... H-How are you? response:	Good.
context: This way. Come on, this way.\What are you doing?\Go on, go on, Otani.\What?\Kanzaki...\Atsushi-kun.\Uh... H-How are you?\Good. response:	Is this the girl you went to the Christmas concert with?
context: What are you doing?\Go on, go on, Otani.\What?\Kanzaki...\Atsushi-kun.\Uh... H-How are you?\Good.\Is this the girl you went to the Christmas concert with? response:	I'm Koizumi Risa.
context: Go on, go on, Otani.\What?\Kanzaki...\Atsushi-kun.\Uh... H-How are you?\Good.\Is this the girl you went to the Christmas concert with?\I'm Koizumi Risa. response:	Sorry to cause all that trouble a few days back.
context: What?\Kanzaki...\Atsushi-kun.\Uh... H-How are you?\Good.\Is this the girl you went to the Christmas concert with?\I'm Koizumi Risa.\Sorry to cause all that trouble a few days back. response:	I'm sorry! I didn't realize that Atsushi-kun was seeing someone already.
context: Kanzaki...\Atsushi-kun.\Uh... H-How are you?\Good.\Is this the girl you went to the Christmas concert with?\I'm Koizumi Risa.\Sorry to cause all that trouble a few days back.\I'm sorry! I didn't realize that Atsushi-kun was seeing someone already. response:	Huh?!
context: Atsushi-kun.\Uh... H-How are you?\Good.\Is this the girl you went to the Christmas concert with?\I'm Koizumi Risa.\Sorry to cause all that trouble a few days back.\I'm sorry! I didn't realize that Atsushi-kun was seeing someone already.\Huh?! response:	No, no, no! No, no, no!
context: Uh... H-How are you?\Good.\Is this the girl you went to the Christmas concert with?\I'm Koizumi Risa.\Sorry to cause all that trouble a few days back.\I'm sorry! I didn't realize that Atsushi-kun was seeing someone already.\Huh?!\No, no, no! No, no, no! response:	There's absolutely nothing going on between me and Otani!
context: Good.\Is this the girl you went to the Christmas concert with?\I'm Koizumi Risa.\Sorry to cause all that trouble a few days back.\I'm sorry! I didn't realize that Atsushi-kun was seeing someone already.\Huh?!\No, no, no! No, no, no!\There's absolutely nothing going on between me and Otani! response:	There's no love between us at all.
context: Is this the girl you went to the Christmas concert with?\I'm Koizumi Risa.\Sorry to cause all that trouble a few days back.\I'm sorry! I didn't realize that Atsushi-kun was seeing someone already.\Huh?!\No, no, no! No, no, no!\There's absolutely nothing going on between me and Otani!\There's no love between us at all. response:	So if there's something you want to tell Otani,
context: I'm Koizumi Risa.\Sorry to cause all that trouble a few days back.\I'm sorry! I didn't realize that Atsushi-kun was seeing someone already.\Huh?!\No, no, no! No, no, no!\There's absolutely nothing going on between me and Otani!\There's no love between us at all.\So if there's something you want to tell Otani, response:	Okay?! Okay?! Okay?!
context: Sorry to cause all that trouble a few days back.\I'm sorry! I didn't realize that Atsushi-kun was seeing someone already.\Huh?!\No, no, no! No, no, no!\There's absolutely nothing going on between me and Otani!\There's no love between us at all.\So if there's something you want to tell Otani,\Okay?! Okay?! Okay?! response:	I'll do everything I can to support you!
context: I'm sorry! I didn't realize that Atsushi-kun was seeing someone already.\Huh?!\No, no, no! No, no, no!\There's absolutely nothing going on between me and Otani!\There's no love between us at all.\So if there's something you want to tell Otani,\Okay?! Okay?! Okay?!\I'll do everything I can to support you! response:	I don't know exactly what happened between you two, but I'll support
context: Huh?!\No, no, no! No, no, no!\There's absolutely nothing going on between me and Otani!\There's no love between us at all.\So if there's something you want to tell Otani,\Okay?! Okay?! Okay?!\I'll do everything I can to support you!\I don't know exactly what happened between you two, but I'll support response:	What the hell did you say just now?!
context: No, no, no! No, no, no!\There's absolutely nothing going on between me and Otani!\There's no love between us at all.\So if there's something you want to tell Otani,\Okay?! Okay?! Okay?!\I'll do everything I can to support you!\I don't know exactly what happened between you two, but I'll support\What the hell did you say just now?! response:	What's your problem?!
context: There's absolutely nothing going on between me and Otani!\There's no love between us at all.\So if there's something you want to tell Otani,\Okay?! Okay?! Okay?!\I'll do everything I can to support you!\I don't know exactly what happened between you two, but I'll support\What the hell did you say just now?!\What's your problem?! response:	This is important to you, isn't it?!
context: There's no love between us at all.\So if there's something you want to tell Otani,\Okay?! Okay?! Okay?!\I'll do everything I can to support you!\I don't know exactly what happened between you two, but I'll support\What the hell did you say just now?!\What's your problem?!\This is important to you, isn't it?! response:	Just hear her out, okay.
context: So if there's something you want to tell Otani,\Okay?! Okay?! Okay?!\I'll do everything I can to support you!\I don't know exactly what happened between you two, but I'll support\What the hell did you say just now?!\What's your problem?!\This is important to you, isn't it?!\Just hear her out, okay. response:	It's none of your business!
context: Okay?! Okay?! Okay?!\I'll do everything I can to support you!\I don't know exactly what happened between you two, but I'll support\What the hell did you say just now?!\What's your problem?!\This is important to you, isn't it?!\Just hear her out, okay.\It's none of your business! response:	Um...
context: I'll do everything I can to support you!\I don't know exactly what happened between you two, but I'll support\What the hell did you say just now?!\What's your problem?!\This is important to you, isn't it?!\Just hear her out, okay.\It's none of your business!\Um... response:	Um...
context: I don't know exactly what happened between you two, but I'll support\What the hell did you say just now?!\What's your problem?!\This is important to you, isn't it?!\Just hear her out, okay.\It's none of your business!\Um...\Um... response:	I didn't choose him because of his height!
context: What the hell did you say just now?!\What's your problem?!\This is important to you, isn't it?!\Just hear her out, okay.\It's none of your business!\Um...\Um...\I didn't choose him because of his height! response:	Huh?
context: What's your problem?!\This is important to you, isn't it?!\Just hear her out, okay.\It's none of your business!\Um...\Um...\I didn't choose him because of his height!\Huh? response:	It's just that the person I liked happened to be tall.
context: This is important to you, isn't it?!\Just hear her out, okay.\It's none of your business!\Um...\Um...\I didn't choose him because of his height!\Huh?\It's just that the person I liked happened to be tall. response:	I don't dislike Atsushi-kun because he's short.
context: Just hear her out, okay.\It's none of your business!\Um...\Um...\I didn't choose him because of his height!\Huh?\It's just that the person I liked happened to be tall.\I don't dislike Atsushi-kun because he's short. response:	Huh?
context: It's none of your business!\Um...\Um...\I didn't choose him because of his height!\Huh?\It's just that the person I liked happened to be tall.\I don't dislike Atsushi-kun because he's short.\Huh? response:	Later when I thought about it, I realized it looked like I'd done something awful.
context: Um...\Um...\I didn't choose him because of his height!\Huh?\It's just that the person I liked happened to be tall.\I don't dislike Atsushi-kun because he's short.\Huh?\Later when I thought about it, I realized it looked like I'd done something awful. response:	But even so, I felt really awkward about explaining it to you.
context: Um...\I didn't choose him because of his height!\Huh?\It's just that the person I liked happened to be tall.\I don't dislike Atsushi-kun because he's short.\Huh?\Later when I thought about it, I realized it looked like I'd done something awful.\But even so, I felt really awkward about explaining it to you. response:	Um... I'm sorry.
context: I didn't choose him because of his height!\Huh?\It's just that the person I liked happened to be tall.\I don't dislike Atsushi-kun because he's short.\Huh?\Later when I thought about it, I realized it looked like I'd done something awful.\But even so, I felt really awkward about explaining it to you.\Um... I'm sorry. response:	I'm a little confused now, but...
context: Huh?\It's just that the person I liked happened to be tall.\I don't dislike Atsushi-kun because he's short.\Huh?\Later when I thought about it, I realized it looked like I'd done something awful.\But even so, I felt really awkward about explaining it to you.\Um... I'm sorry.\I'm a little confused now, but... response:	Yes.
context: It's just that the person I liked happened to be tall.\I don't dislike Atsushi-kun because he's short.\Huh?\Later when I thought about it, I realized it looked like I'd done something awful.\But even so, I felt really awkward about explaining it to you.\Um... I'm sorry.\I'm a little confused now, but...\Yes. response:	It was good to get it off my chest.
context: I don't dislike Atsushi-kun because he's short.\Huh?\Later when I thought about it, I realized it looked like I'd done something awful.\But even so, I felt really awkward about explaining it to you.\Um... I'm sorry.\I'm a little confused now, but...\Yes.\It was good to get it off my chest. response:	I feel much better now!
context: Huh?\Later when I thought about it, I realized it looked like I'd done something awful.\But even so, I felt really awkward about explaining it to you.\Um... I'm sorry.\I'm a little confused now, but...\Yes.\It was good to get it off my chest.\I feel much better now! response:	Bye then.
context: Later when I thought about it, I realized it looked like I'd done something awful.\But even so, I felt really awkward about explaining it to you.\Um... I'm sorry.\I'm a little confused now, but...\Yes.\It was good to get it off my chest.\I feel much better now!\Bye then. response:	So... Sorry, Otani!
context: But even so, I felt really awkward about explaining it to you.\Um... I'm sorry.\I'm a little confused now, but...\Yes.\It was good to get it off my chest.\I feel much better now!\Bye then.\So... Sorry, Otani! response:	I'm so sorry! Truly sorry! Extremely sorry!
context: Um... I'm sorry.\I'm a little confused now, but...\Yes.\It was good to get it off my chest.\I feel much better now!\Bye then.\So... Sorry, Otani!\I'm so sorry! Truly sorry! Extremely sorry! response:	Huh?
context: I'm a little confused now, but...\Yes.\It was good to get it off my chest.\I feel much better now!\Bye then.\So... Sorry, Otani!\I'm so sorry! Truly sorry! Extremely sorry!\Huh? response:	I know.
context: Yes.\It was good to get it off my chest.\I feel much better now!\Bye then.\So... Sorry, Otani!\I'm so sorry! Truly sorry! Extremely sorry!\Huh?\I know. response:	You can hit me, kick me, do whatever you want to me.
context: It was good to get it off my chest.\I feel much better now!\Bye then.\So... Sorry, Otani!\I'm so sorry! Truly sorry! Extremely sorry!\Huh?\I know.\You can hit me, kick me, do whatever you want to me. response:	Koizumi...
context: I feel much better now!\Bye then.\So... Sorry, Otani!\I'm so sorry! Truly sorry! Extremely sorry!\Huh?\I know.\You can hit me, kick me, do whatever you want to me.\Koizumi... response:	I'm sorry!
context: Bye then.\So... Sorry, Otani!\I'm so sorry! Truly sorry! Extremely sorry!\Huh?\I know.\You can hit me, kick me, do whatever you want to me.\Koizumi...\I'm sorry! response:	I had no idea that was what she wanted to say.
context: So... Sorry, Otani!\I'm so sorry! Truly sorry! Extremely sorry!\Huh?\I know.\You can hit me, kick me, do whatever you want to me.\Koizumi...\I'm sorry!\I had no idea that was what she wanted to say. response:	I though she wanted to get back together with you.
context: I'm so sorry! Truly sorry! Extremely sorry!\Huh?\I know.\You can hit me, kick me, do whatever you want to me.\Koizumi...\I'm sorry!\I had no idea that was what she wanted to say.\I though she wanted to get back together with you. response:	It was really none of my business.
context: Huh?\I know.\You can hit me, kick me, do whatever you want to me.\Koizumi...\I'm sorry!\I had no idea that was what she wanted to say.\I though she wanted to get back together with you.\It was really none of my business. response:	Thanks.
context: I know.\You can hit me, kick me, do whatever you want to me.\Koizumi...\I'm sorry!\I had no idea that was what she wanted to say.\I though she wanted to get back together with you.\It was really none of my business.\Thanks. response:	Thanks to you, I heard what she had to say.
context: You can hit me, kick me, do whatever you want to me.\Koizumi...\I'm sorry!\I had no idea that was what she wanted to say.\I though she wanted to get back together with you.\It was really none of my business.\Thanks.\Thanks to you, I heard what she had to say. response:	Wh-what?
context: Koizumi...\I'm sorry!\I had no idea that was what she wanted to say.\I though she wanted to get back together with you.\It was really none of my business.\Thanks.\Thanks to you, I heard what she had to say.\Wh-what? response:	You should be more upset! What I did was
context: I'm sorry!\I had no idea that was what she wanted to say.\I though she wanted to get back together with you.\It was really none of my business.\Thanks.\Thanks to you, I heard what she had to say.\Wh-what?\You should be more upset! What I did was response:	That's enough, okay!
context: I had no idea that was what she wanted to say.\I though she wanted to get back together with you.\It was really none of my business.\Thanks.\Thanks to you, I heard what she had to say.\Wh-what?\You should be more upset! What I did was\That's enough, okay! response:	That's enough.
context: I though she wanted to get back together with you.\It was really none of my business.\Thanks.\Thanks to you, I heard what she had to say.\Wh-what?\You should be more upset! What I did was\That's enough, okay!\That's enough. response:	To tell the truth, I was holding onto a bit of hope,
context: It was really none of my business.\Thanks.\Thanks to you, I heard what she had to say.\Wh-what?\You should be more upset! What I did was\That's enough, okay!\That's enough.\To tell the truth, I was holding onto a bit of hope, response:	I'm just saying that, though.
context: Thanks.\Thanks to you, I heard what she had to say.\Wh-what?\You should be more upset! What I did was\That's enough, okay!\That's enough.\To tell the truth, I was holding onto a bit of hope,\I'm just saying that, though. response:	What... do you mean?
context: Thanks to you, I heard what she had to say.\Wh-what?\You should be more upset! What I did was\That's enough, okay!\That's enough.\To tell the truth, I was holding onto a bit of hope,\I'm just saying that, though.\What... do you mean? response:	Oh, there! There they are.
context: Wh-what?\You should be more upset! What I did was\That's enough, okay!\That's enough.\To tell the truth, I was holding onto a bit of hope,\I'm just saying that, though.\What... do you mean?\Oh, there! There they are. response:	Hey, want to go get some lunch?
context: You should be more upset! What I did was\That's enough, okay!\That's enough.\To tell the truth, I was holding onto a bit of hope,\I'm just saying that, though.\What... do you mean?\Oh, there! There they are.\Hey, want to go get some lunch? response:	Let's go!
context: That's enough, okay!\That's enough.\To tell the truth, I was holding onto a bit of hope,\I'm just saying that, though.\What... do you mean?\Oh, there! There they are.\Hey, want to go get some lunch?\Let's go! response:	In the end, the boyfriend/girlfriend challenge didn't go anywhere.
context: That's enough.\To tell the truth, I was holding onto a bit of hope,\I'm just saying that, though.\What... do you mean?\Oh, there! There they are.\Hey, want to go get some lunch?\Let's go!\In the end, the boyfriend/girlfriend challenge didn't go anywhere. response:	When I finally realized that, it was already Valentines Day.
context: To tell the truth, I was holding onto a bit of hope,\I'm just saying that, though.\What... do you mean?\Oh, there! There they are.\Hey, want to go get some lunch?\Let's go!\In the end, the boyfriend/girlfriend challenge didn't go anywhere.\When I finally realized that, it was already Valentines Day. response:	Chiharu-chan...
context: I'm just saying that, though.\What... do you mean?\Oh, there! There they are.\Hey, want to go get some lunch?\Let's go!\In the end, the boyfriend/girlfriend challenge didn't go anywhere.\When I finally realized that, it was already Valentines Day.\Chiharu-chan... response:	Which is better?
context: What... do you mean?\Oh, there! There they are.\Hey, want to go get some lunch?\Let's go!\In the end, the boyfriend/girlfriend challenge didn't go anywhere.\When I finally realized that, it was already Valentines Day.\Chiharu-chan...\Which is better? response:	Cookies are much easier to make.
