context: A curse corrodes Tomoe's body. response:	Did you remember?
context: A fox youkai has taken refuge in this house!\Youkai.\Don't say such ridiculous things. There's no way something like that could be in our house.\Isn't that right, Yukiji?\Yes, father.\Yukiji is indeed lowborn, but I adopted her because of her beautiful face.\Right now, she's getting proposals from nobles and rich men.\Youkai or whatnot, such strange rumors are intolerable. response:	Her image before marriage is important after all.
context: Youkai.\Don't say such ridiculous things. There's no way something like that could be in our house.\Isn't that right, Yukiji?\Yes, father.\Yukiji is indeed lowborn, but I adopted her because of her beautiful face.\Right now, she's getting proposals from nobles and rich men.\Youkai or whatnot, such strange rumors are intolerable.\Her image before marriage is important after all. response:	No one in this house is on Tomoe's side, except me.
context: Don't say such ridiculous things. There's no way something like that could be in our house.\Isn't that right, Yukiji?\Yes, father.\Yukiji is indeed lowborn, but I adopted her because of her beautiful face.\Right now, she's getting proposals from nobles and rich men.\Youkai or whatnot, such strange rumors are intolerable.\Her image before marriage is important after all.\No one in this house is on Tomoe's side, except me. response:	The wound hasn't healed yet.
context: Isn't that right, Yukiji?\Yes, father.\Yukiji is indeed lowborn, but I adopted her because of her beautiful face.\Right now, she's getting proposals from nobles and rich men.\Youkai or whatnot, such strange rumors are intolerable.\Her image before marriage is important after all.\No one in this house is on Tomoe's side, except me.\The wound hasn't healed yet. response:	Exactly what is this wound from?
context: Yes, father.\Yukiji is indeed lowborn, but I adopted her because of her beautiful face.\Right now, she's getting proposals from nobles and rich men.\Youkai or whatnot, such strange rumors are intolerable.\Her image before marriage is important after all.\No one in this house is on Tomoe's side, except me.\The wound hasn't healed yet.\Exactly what is this wound from? response:	At this rate, he won't last long.
context: Yukiji is indeed lowborn, but I adopted her because of her beautiful face.\Right now, she's getting proposals from nobles and rich men.\Youkai or whatnot, such strange rumors are intolerable.\Her image before marriage is important after all.\No one in this house is on Tomoe's side, except me.\The wound hasn't healed yet.\Exactly what is this wound from?\At this rate, he won't last long. response:	I'm an outsider.
context: Right now, she's getting proposals from nobles and rich men.\Youkai or whatnot, such strange rumors are intolerable.\Her image before marriage is important after all.\No one in this house is on Tomoe's side, except me.\The wound hasn't healed yet.\Exactly what is this wound from?\At this rate, he won't last long.\I'm an outsider. response:	I shouldn't interfere with the past.
context: Youkai or whatnot, such strange rumors are intolerable.\Her image before marriage is important after all.\No one in this house is on Tomoe's side, except me.\The wound hasn't healed yet.\Exactly what is this wound from?\At this rate, he won't last long.\I'm an outsider.\I shouldn't interfere with the past. response:	So please...
context: Her image before marriage is important after all.\No one in this house is on Tomoe's side, except me.\The wound hasn't healed yet.\Exactly what is this wound from?\At this rate, he won't last long.\I'm an outsider.\I shouldn't interfere with the past.\So please... response:	Tomoe!
context: No one in this house is on Tomoe's side, except me.\The wound hasn't healed yet.\Exactly what is this wound from?\At this rate, he won't last long.\I'm an outsider.\I shouldn't interfere with the past.\So please...\Tomoe! response:	Open your eyes!
context: The wound hasn't healed yet.\Exactly what is this wound from?\At this rate, he won't last long.\I'm an outsider.\I shouldn't interfere with the past.\So please...\Tomoe!\Open your eyes! response:	The Fox Falls in Love
context: Exactly what is this wound from?\At this rate, he won't last long.\I'm an outsider.\I shouldn't interfere with the past.\So please...\Tomoe!\Open your eyes!\The Fox Falls in Love response:	It's hot.
context: At this rate, he won't last long.\I'm an outsider.\I shouldn't interfere with the past.\So please...\Tomoe!\Open your eyes!\The Fox Falls in Love\It's hot. response:	It's hot.
context: I'm an outsider.\I shouldn't interfere with the past.\So please...\Tomoe!\Open your eyes!\The Fox Falls in Love\It's hot.\It's hot. response:	The wound's not healing.
context: I shouldn't interfere with the past.\So please...\Tomoe!\Open your eyes!\The Fox Falls in Love\It's hot.\It's hot.\The wound's not healing. response:	What's this?
context: So please...\Tomoe!\Open your eyes!\The Fox Falls in Love\It's hot.\It's hot.\The wound's not healing.\What's this? response:	My body suddenly feels lighter.
context: Tomoe!\Open your eyes!\The Fox Falls in Love\It's hot.\It's hot.\The wound's not healing.\What's this?\My body suddenly feels lighter. response:	Woman.
context: Open your eyes!\The Fox Falls in Love\It's hot.\It's hot.\The wound's not healing.\What's this?\My body suddenly feels lighter.\Woman. response:	What did you do?
context: The Fox Falls in Love\It's hot.\It's hot.\The wound's not healing.\What's this?\My body suddenly feels lighter.\Woman.\What did you do? response:	Lady Yukiji!
context: It's hot.\It's hot.\The wound's not healing.\What's this?\My body suddenly feels lighter.\Woman.\What did you do?\Lady Yukiji! response:	What's the matter?
context: It's hot.\The wound's not healing.\What's this?\My body suddenly feels lighter.\Woman.\What did you do?\Lady Yukiji!\What's the matter? response:	Nothing. And where had you gone leaving this boy behind?
context: The wound's not healing.\What's this?\My body suddenly feels lighter.\Woman.\What did you do?\Lady Yukiji!\What's the matter?\Nothing. And where had you gone leaving this boy behind? response:	For medicine.
context: What's this?\My body suddenly feels lighter.\Woman.\What did you do?\Lady Yukiji!\What's the matter?\Nothing. And where had you gone leaving this boy behind?\For medicine. response:	Nanami has a very effective medicine for injuries.
context: My body suddenly feels lighter.\Woman.\What did you do?\Lady Yukiji!\What's the matter?\Nothing. And where had you gone leaving this boy behind?\For medicine.\Nanami has a very effective medicine for injuries. response:	I thought of giving it to him.
context: Woman.\What did you do?\Lady Yukiji!\What's the matter?\Nothing. And where had you gone leaving this boy behind?\For medicine.\Nanami has a very effective medicine for injuries.\I thought of giving it to him. response:	Oh...?
context: What did you do?\Lady Yukiji!\What's the matter?\Nothing. And where had you gone leaving this boy behind?\For medicine.\Nanami has a very effective medicine for injuries.\I thought of giving it to him.\Oh...? response:	Nanami.
context: Lady Yukiji!\What's the matter?\Nothing. And where had you gone leaving this boy behind?\For medicine.\Nanami has a very effective medicine for injuries.\I thought of giving it to him.\Oh...?\Nanami. response:	Yu-Yukiji-san!
context: What's the matter?\Nothing. And where had you gone leaving this boy behind?\For medicine.\Nanami has a very effective medicine for injuries.\I thought of giving it to him.\Oh...?\Nanami.\Yu-Yukiji-san! response:	Tomo-! I mean, how is Himetaro's condition?
context: Nothing. And where had you gone leaving this boy behind?\For medicine.\Nanami has a very effective medicine for injuries.\I thought of giving it to him.\Oh...?\Nanami.\Yu-Yukiji-san!\Tomo-! I mean, how is Himetaro's condition? response:	Right now, Fuuta is giving him the medicine.
context: For medicine.\Nanami has a very effective medicine for injuries.\I thought of giving it to him.\Oh...?\Nanami.\Yu-Yukiji-san!\Tomo-! I mean, how is Himetaro's condition?\Right now, Fuuta is giving him the medicine. response:	And you, why are you sitting in a place like this?
context: Nanami has a very effective medicine for injuries.\I thought of giving it to him.\Oh...?\Nanami.\Yu-Yukiji-san!\Tomo-! I mean, how is Himetaro's condition?\Right now, Fuuta is giving him the medicine.\And you, why are you sitting in a place like this? response:	It's okay to watch over him from up close.
context: I thought of giving it to him.\Oh...?\Nanami.\Yu-Yukiji-san!\Tomo-! I mean, how is Himetaro's condition?\Right now, Fuuta is giving him the medicine.\And you, why are you sitting in a place like this?\It's okay to watch over him from up close. response:	No. I...
context: Oh...?\Nanami.\Yu-Yukiji-san!\Tomo-! I mean, how is Himetaro's condition?\Right now, Fuuta is giving him the medicine.\And you, why are you sitting in a place like this?\It's okay to watch over him from up close.\No. I... response:	That kid would feel relieved if he sees you, won't he?
context: Nanami.\Yu-Yukiji-san!\Tomo-! I mean, how is Himetaro's condition?\Right now, Fuuta is giving him the medicine.\And you, why are you sitting in a place like this?\It's okay to watch over him from up close.\No. I...\That kid would feel relieved if he sees you, won't he? response:	You know that kid, right?
context: Yu-Yukiji-san!\Tomo-! I mean, how is Himetaro's condition?\Right now, Fuuta is giving him the medicine.\And you, why are you sitting in a place like this?\It's okay to watch over him from up close.\No. I...\That kid would feel relieved if he sees you, won't he?\You know that kid, right? response:	Yes.
context: Tomo-! I mean, how is Himetaro's condition?\Right now, Fuuta is giving him the medicine.\And you, why are you sitting in a place like this?\It's okay to watch over him from up close.\No. I...\That kid would feel relieved if he sees you, won't he?\You know that kid, right?\Yes. response:	I can't appear before him.
context: Right now, Fuuta is giving him the medicine.\And you, why are you sitting in a place like this?\It's okay to watch over him from up close.\No. I...\That kid would feel relieved if he sees you, won't he?\You know that kid, right?\Yes.\I can't appear before him. response:	Because I can't meddle with the past.
context: And you, why are you sitting in a place like this?\It's okay to watch over him from up close.\No. I...\That kid would feel relieved if he sees you, won't he?\You know that kid, right?\Yes.\I can't appear before him.\Because I can't meddle with the past. response:	I must go to the capital tomorrow on father's order.
context: It's okay to watch over him from up close.\No. I...\That kid would feel relieved if he sees you, won't he?\You know that kid, right?\Yes.\I can't appear before him.\Because I can't meddle with the past.\I must go to the capital tomorrow on father's order. response:	I'll return after work's finished.
context: No. I...\That kid would feel relieved if he sees you, won't he?\You know that kid, right?\Yes.\I can't appear before him.\Because I can't meddle with the past.\I must go to the capital tomorrow on father's order.\I'll return after work's finished. response:	I'm leaving Fuuta to help you, so rest assured.
context: That kid would feel relieved if he sees you, won't he?\You know that kid, right?\Yes.\I can't appear before him.\Because I can't meddle with the past.\I must go to the capital tomorrow on father's order.\I'll return after work's finished.\I'm leaving Fuuta to help you, so rest assured. response:	It's nothing important.
context: You know that kid, right?\Yes.\I can't appear before him.\Because I can't meddle with the past.\I must go to the capital tomorrow on father's order.\I'll return after work's finished.\I'm leaving Fuuta to help you, so rest assured.\It's nothing important. response:	Seems like the landlord, who proposed marriage, wants to see me.
context: Yes.\I can't appear before him.\Because I can't meddle with the past.\I must go to the capital tomorrow on father's order.\I'll return after work's finished.\I'm leaving Fuuta to help you, so rest assured.\It's nothing important.\Seems like the landlord, who proposed marriage, wants to see me. response:	To accept his generous betrothal money, I'll dress myself as best as I can and go to him.
context: I can't appear before him.\Because I can't meddle with the past.\I must go to the capital tomorrow on father's order.\I'll return after work's finished.\I'm leaving Fuuta to help you, so rest assured.\It's nothing important.\Seems like the landlord, who proposed marriage, wants to see me.\To accept his generous betrothal money, I'll dress myself as best as I can and go to him. response:	A-Are you getting married, Yukiji-san!?
context: Because I can't meddle with the past.\I must go to the capital tomorrow on father's order.\I'll return after work's finished.\I'm leaving Fuuta to help you, so rest assured.\It's nothing important.\Seems like the landlord, who proposed marriage, wants to see me.\To accept his generous betrothal money, I'll dress myself as best as I can and go to him.\A-Are you getting married, Yukiji-san!? response:	Only if he likes me.
context: I must go to the capital tomorrow on father's order.\I'll return after work's finished.\I'm leaving Fuuta to help you, so rest assured.\It's nothing important.\Seems like the landlord, who proposed marriage, wants to see me.\To accept his generous betrothal money, I'll dress myself as best as I can and go to him.\A-Are you getting married, Yukiji-san!?\Only if he likes me. response:	Don't make such a worried face, Nanami.
context: I'll return after work's finished.\I'm leaving Fuuta to help you, so rest assured.\It's nothing important.\Seems like the landlord, who proposed marriage, wants to see me.\To accept his generous betrothal money, I'll dress myself as best as I can and go to him.\A-Are you getting married, Yukiji-san!?\Only if he likes me.\Don't make such a worried face, Nanami. response:	My hometown was attacked by a youkai one day, and everything burned to the ground.
context: I'm leaving Fuuta to help you, so rest assured.\It's nothing important.\Seems like the landlord, who proposed marriage, wants to see me.\To accept his generous betrothal money, I'll dress myself as best as I can and go to him.\A-Are you getting married, Yukiji-san!?\Only if he likes me.\Don't make such a worried face, Nanami.\My hometown was attacked by a youkai one day, and everything burned to the ground. response:	That's why, my parents, siblings and people related to me by blood, no one's in this world now.
context: It's nothing important.\Seems like the landlord, who proposed marriage, wants to see me.\To accept his generous betrothal money, I'll dress myself as best as I can and go to him.\A-Are you getting married, Yukiji-san!?\Only if he likes me.\Don't make such a worried face, Nanami.\My hometown was attacked by a youkai one day, and everything burned to the ground.\That's why, my parents, siblings and people related to me by blood, no one's in this world now. response:	However...
context: Seems like the landlord, who proposed marriage, wants to see me.\To accept his generous betrothal money, I'll dress myself as best as I can and go to him.\A-Are you getting married, Yukiji-san!?\Only if he likes me.\Don't make such a worried face, Nanami.\My hometown was attacked by a youkai one day, and everything burned to the ground.\That's why, my parents, siblings and people related to me by blood, no one's in this world now.\However... response:	I wonder why, with you here, I feel the nostalgic warmth and affection of those bygone days.
context: To accept his generous betrothal money, I'll dress myself as best as I can and go to him.\A-Are you getting married, Yukiji-san!?\Only if he likes me.\Don't make such a worried face, Nanami.\My hometown was attacked by a youkai one day, and everything burned to the ground.\That's why, my parents, siblings and people related to me by blood, no one's in this world now.\However...\I wonder why, with you here, I feel the nostalgic warmth and affection of those bygone days. response:	Nanami,
context: A-Are you getting married, Yukiji-san!?\Only if he likes me.\Don't make such a worried face, Nanami.\My hometown was attacked by a youkai one day, and everything burned to the ground.\That's why, my parents, siblings and people related to me by blood, no one's in this world now.\However...\I wonder why, with you here, I feel the nostalgic warmth and affection of those bygone days.\Nanami, response:	marrying is a good thing.
context: Only if he likes me.\Don't make such a worried face, Nanami.\My hometown was attacked by a youkai one day, and everything burned to the ground.\That's why, my parents, siblings and people related to me by blood, no one's in this world now.\However...\I wonder why, with you here, I feel the nostalgic warmth and affection of those bygone days.\Nanami,\marrying is a good thing. response:	What's this?
context: Don't make such a worried face, Nanami.\My hometown was attacked by a youkai one day, and everything burned to the ground.\That's why, my parents, siblings and people related to me by blood, no one's in this world now.\However...\I wonder why, with you here, I feel the nostalgic warmth and affection of those bygone days.\Nanami,\marrying is a good thing.\What's this? response:	My fever... is going down.
context: My hometown was attacked by a youkai one day, and everything burned to the ground.\That's why, my parents, siblings and people related to me by blood, no one's in this world now.\However...\I wonder why, with you here, I feel the nostalgic warmth and affection of those bygone days.\Nanami,\marrying is a good thing.\What's this?\My fever... is going down. response:	Huh?
context: That's why, my parents, siblings and people related to me by blood, no one's in this world now.\However...\I wonder why, with you here, I feel the nostalgic warmth and affection of those bygone days.\Nanami,\marrying is a good thing.\What's this?\My fever... is going down.\Huh? response:	You've finally opened your eyes, Himetaro!?
context: However...\I wonder why, with you here, I feel the nostalgic warmth and affection of those bygone days.\Nanami,\marrying is a good thing.\What's this?\My fever... is going down.\Huh?\You've finally opened your eyes, Himetaro!? response:	Good for you!
context: I wonder why, with you here, I feel the nostalgic warmth and affection of those bygone days.\Nanami,\marrying is a good thing.\What's this?\My fever... is going down.\Huh?\You've finally opened your eyes, Himetaro!?\Good for you! response:	Who's he?
context: Nanami,\marrying is a good thing.\What's this?\My fever... is going down.\Huh?\You've finally opened your eyes, Himetaro!?\Good for you!\Who's he? response:	The medicine really worked, right!? You must be hungry, right Himeta!?
context: marrying is a good thing.\What's this?\My fever... is going down.\Huh?\You've finally opened your eyes, Himetaro!?\Good for you!\Who's he?\The medicine really worked, right!? You must be hungry, right Himeta!? response:	Here, your favourite *sasamochi.
context: What's this?\My fever... is going down.\Huh?\You've finally opened your eyes, Himetaro!?\Good for you!\Who's he?\The medicine really worked, right!? You must be hungry, right Himeta!?\Here, your favourite *sasamochi. response:	*Note: sasamochi= rice cake wrapped in bamboo (sasa) leaves
context: My fever... is going down.\Huh?\You've finally opened your eyes, Himetaro!?\Good for you!\Who's he?\The medicine really worked, right!? You must be hungry, right Himeta!?\Here, your favourite *sasamochi.\*Note: sasamochi= rice cake wrapped in bamboo (sasa) leaves response:	Eat this and wait for me.
context: Huh?\You've finally opened your eyes, Himetaro!?\Good for you!\Who's he?\The medicine really worked, right!? You must be hungry, right Himeta!?\Here, your favourite *sasamochi.\*Note: sasamochi= rice cake wrapped in bamboo (sasa) leaves\Eat this and wait for me. response:	I'll grill the fish I caught this morning.
context: You've finally opened your eyes, Himetaro!?\Good for you!\Who's he?\The medicine really worked, right!? You must be hungry, right Himeta!?\Here, your favourite *sasamochi.\*Note: sasamochi= rice cake wrapped in bamboo (sasa) leaves\Eat this and wait for me.\I'll grill the fish I caught this morning. response:	Where's the woman who made these rice cakes?
context: Good for you!\Who's he?\The medicine really worked, right!? You must be hungry, right Himeta!?\Here, your favourite *sasamochi.\*Note: sasamochi= rice cake wrapped in bamboo (sasa) leaves\Eat this and wait for me.\I'll grill the fish I caught this morning.\Where's the woman who made these rice cakes? response:	The woman who carried me here.
context: Who's he?\The medicine really worked, right!? You must be hungry, right Himeta!?\Here, your favourite *sasamochi.\*Note: sasamochi= rice cake wrapped in bamboo (sasa) leaves\Eat this and wait for me.\I'll grill the fish I caught this morning.\Where's the woman who made these rice cakes?\The woman who carried me here. response:	Umm...
context: The medicine really worked, right!? You must be hungry, right Himeta!?\Here, your favourite *sasamochi.\*Note: sasamochi= rice cake wrapped in bamboo (sasa) leaves\Eat this and wait for me.\I'll grill the fish I caught this morning.\Where's the woman who made these rice cakes?\The woman who carried me here.\Umm... response:	Please don't tell him anything about me.
context: Here, your favourite *sasamochi.\*Note: sasamochi= rice cake wrapped in bamboo (sasa) leaves\Eat this and wait for me.\I'll grill the fish I caught this morning.\Where's the woman who made these rice cakes?\The woman who carried me here.\Umm...\Please don't tell him anything about me. response:	The one who saved you is the lady of this house, Yukiji-sama.
context: *Note: sasamochi= rice cake wrapped in bamboo (sasa) leaves\Eat this and wait for me.\I'll grill the fish I caught this morning.\Where's the woman who made these rice cakes?\The woman who carried me here.\Umm...\Please don't tell him anything about me.\The one who saved you is the lady of this house, Yukiji-sama. response:	The lady is quite busy.
context: Eat this and wait for me.\I'll grill the fish I caught this morning.\Where's the woman who made these rice cakes?\The woman who carried me here.\Umm...\Please don't tell him anything about me.\The one who saved you is the lady of this house, Yukiji-sama.\The lady is quite busy. response:	You should rest now.
context: I'll grill the fish I caught this morning.\Where's the woman who made these rice cakes?\The woman who carried me here.\Umm...\Please don't tell him anything about me.\The one who saved you is the lady of this house, Yukiji-sama.\The lady is quite busy.\You should rest now. response:	That's right...
context: Where's the woman who made these rice cakes?\The woman who carried me here.\Umm...\Please don't tell him anything about me.\The one who saved you is the lady of this house, Yukiji-sama.\The lady is quite busy.\You should rest now.\That's right... response:	The wound that wouldn't heal...
context: The woman who carried me here.\Umm...\Please don't tell him anything about me.\The one who saved you is the lady of this house, Yukiji-sama.\The lady is quite busy.\You should rest now.\That's right...\The wound that wouldn't heal... response:	Just what kind of medicine did I take exactly?
