context: Ladies and gentlemen, good evening. response:	Everything lies in ruin.
context: Why aren't you saying anything?\Why aren't you answering me?\My words now fall on deaf ears.\Is... Is that what you're trying to say?!\There is no such thing as coincidence. I believe that is what I told you.\As I recall, it is the very first thing I told you.\Everything that happens does so out of necessity.\What are you trying to say? response:	Tell me, if Haidee were not a living witness to your father's true identity,
context: Why aren't you answering me?\My words now fall on deaf ears.\Is... Is that what you're trying to say?!\There is no such thing as coincidence. I believe that is what I told you.\As I recall, it is the very first thing I told you.\Everything that happens does so out of necessity.\What are you trying to say?\Tell me, if Haidee were not a living witness to your father's true identity, response:	Tell me, if you were not Mondego's son,
context: My words now fall on deaf ears.\Is... Is that what you're trying to say?!\There is no such thing as coincidence. I believe that is what I told you.\As I recall, it is the very first thing I told you.\Everything that happens does so out of necessity.\What are you trying to say?\Tell me, if Haidee were not a living witness to your father's true identity,\Tell me, if you were not Mondego's son, response:	It can't be...
context: Is... Is that what you're trying to say?!\There is no such thing as coincidence. I believe that is what I told you.\As I recall, it is the very first thing I told you.\Everything that happens does so out of necessity.\What are you trying to say?\Tell me, if Haidee were not a living witness to your father's true identity,\Tell me, if you were not Mondego's son,\It can't be... response:	From the very beginning, you were using me?
context: There is no such thing as coincidence. I believe that is what I told you.\As I recall, it is the very first thing I told you.\Everything that happens does so out of necessity.\What are you trying to say?\Tell me, if Haidee were not a living witness to your father's true identity,\Tell me, if you were not Mondego's son,\It can't be...\From the very beginning, you were using me? response:	Yes. I met you under the pretense of coincidence,
context: As I recall, it is the very first thing I told you.\Everything that happens does so out of necessity.\What are you trying to say?\Tell me, if Haidee were not a living witness to your father's true identity,\Tell me, if you were not Mondego's son,\It can't be...\From the very beginning, you were using me?\Yes. I met you under the pretense of coincidence, response:	That is what I am saying.
context: Everything that happens does so out of necessity.\What are you trying to say?\Tell me, if Haidee were not a living witness to your father's true identity,\Tell me, if you were not Mondego's son,\It can't be...\From the very beginning, you were using me?\Yes. I met you under the pretense of coincidence,\That is what I am saying. response:	I even used props such as that watch.
context: What are you trying to say?\Tell me, if Haidee were not a living witness to your father's true identity,\Tell me, if you were not Mondego's son,\It can't be...\From the very beginning, you were using me?\Yes. I met you under the pretense of coincidence,\That is what I am saying.\I even used props such as that watch. response:	It can't be...
context: Tell me, if Haidee were not a living witness to your father's true identity,\Tell me, if you were not Mondego's son,\It can't be...\From the very beginning, you were using me?\Yes. I met you under the pretense of coincidence,\That is what I am saying.\I even used props such as that watch.\It can't be... response:	From the very beginning, you were using me?
context: Tell me, if you were not Mondego's son,\It can't be...\From the very beginning, you were using me?\Yes. I met you under the pretense of coincidence,\That is what I am saying.\I even used props such as that watch.\It can't be...\From the very beginning, you were using me? response:	You're lying!
context: It can't be...\From the very beginning, you were using me?\Yes. I met you under the pretense of coincidence,\That is what I am saying.\I even used props such as that watch.\It can't be...\From the very beginning, you were using me?\You're lying! response:	You're lying! You're lying!
context: From the very beginning, you were using me?\Yes. I met you under the pretense of coincidence,\That is what I am saying.\I even used props such as that watch.\It can't be...\From the very beginning, you were using me?\You're lying!\You're lying! You're lying! response:	I can't believe that everything has been a setup since the very beginning!
context: Yes. I met you under the pretense of coincidence,\That is what I am saying.\I even used props such as that watch.\It can't be...\From the very beginning, you were using me?\You're lying!\You're lying! You're lying!\I can't believe that everything has been a setup since the very beginning! response:	I can't!
context: That is what I am saying.\I even used props such as that watch.\It can't be...\From the very beginning, you were using me?\You're lying!\You're lying! You're lying!\I can't believe that everything has been a setup since the very beginning!\I can't! response:	I mean, haven't you always helped me, Count?
context: I even used props such as that watch.\It can't be...\From the very beginning, you were using me?\You're lying!\You're lying! You're lying!\I can't believe that everything has been a setup since the very beginning!\I can't!\I mean, haven't you always helped me, Count? response:	Haven't you always been looking out for me?
context: It can't be...\From the very beginning, you were using me?\You're lying!\You're lying! You're lying!\I can't believe that everything has been a setup since the very beginning!\I can't!\I mean, haven't you always helped me, Count?\Haven't you always been looking out for me? response:	I don't believe that all the time we spent together was a lie!
context: From the very beginning, you were using me?\You're lying!\You're lying! You're lying!\I can't believe that everything has been a setup since the very beginning!\I can't!\I mean, haven't you always helped me, Count?\Haven't you always been looking out for me?\I don't believe that all the time we spent together was a lie! response:	Not one bit!
context: You're lying!\You're lying! You're lying!\I can't believe that everything has been a setup since the very beginning!\I can't!\I mean, haven't you always helped me, Count?\Haven't you always been looking out for me?\I don't believe that all the time we spent together was a lie!\Not one bit! response:	You poor, foolish boy.
context: You're lying! You're lying!\I can't believe that everything has been a setup since the very beginning!\I can't!\I mean, haven't you always helped me, Count?\Haven't you always been looking out for me?\I don't believe that all the time we spent together was a lie!\Not one bit!\You poor, foolish boy. response:	You still wish to remain immersed in those naive delusions of yours?
context: I can't believe that everything has been a setup since the very beginning!\I can't!\I mean, haven't you always helped me, Count?\Haven't you always been looking out for me?\I don't believe that all the time we spent together was a lie!\Not one bit!\You poor, foolish boy.\You still wish to remain immersed in those naive delusions of yours? response:	Is that what you are trying to say?
context: I can't!\I mean, haven't you always helped me, Count?\Haven't you always been looking out for me?\I don't believe that all the time we spent together was a lie!\Not one bit!\You poor, foolish boy.\You still wish to remain immersed in those naive delusions of yours?\Is that what you are trying to say? response:	Even if I deliberately brought you with me on that pleasure cruise that day,
context: I mean, haven't you always helped me, Count?\Haven't you always been looking out for me?\I don't believe that all the time we spent together was a lie!\Not one bit!\You poor, foolish boy.\You still wish to remain immersed in those naive delusions of yours?\Is that what you are trying to say?\Even if I deliberately brought you with me on that pleasure cruise that day, response:	I must thank you.
context: Haven't you always been looking out for me?\I don't believe that all the time we spent together was a lie!\Not one bit!\You poor, foolish boy.\You still wish to remain immersed in those naive delusions of yours?\Is that what you are trying to say?\Even if I deliberately brought you with me on that pleasure cruise that day,\I must thank you. response:	You have been most useful to me in the time we have known one another.
context: I don't believe that all the time we spent together was a lie!\Not one bit!\You poor, foolish boy.\You still wish to remain immersed in those naive delusions of yours?\Is that what you are trying to say?\Even if I deliberately brought you with me on that pleasure cruise that day,\I must thank you.\You have been most useful to me in the time we have known one another. response:	You have my gratitude. From the bottom of my heart.
context: Not one bit!\You poor, foolish boy.\You still wish to remain immersed in those naive delusions of yours?\Is that what you are trying to say?\Even if I deliberately brought you with me on that pleasure cruise that day,\I must thank you.\You have been most useful to me in the time we have known one another.\You have my gratitude. From the bottom of my heart. response:	I challenge you!
context: You poor, foolish boy.\You still wish to remain immersed in those naive delusions of yours?\Is that what you are trying to say?\Even if I deliberately brought you with me on that pleasure cruise that day,\I must thank you.\You have been most useful to me in the time we have known one another.\You have my gratitude. From the bottom of my heart.\I challenge you! response:	My, how old-fashioned.
context: You still wish to remain immersed in those naive delusions of yours?\Is that what you are trying to say?\Even if I deliberately brought you with me on that pleasure cruise that day,\I must thank you.\You have been most useful to me in the time we have known one another.\You have my gratitude. From the bottom of my heart.\I challenge you!\My, how old-fashioned. response:	The son of a soldier must act in accordance with tradition?
context: Is that what you are trying to say?\Even if I deliberately brought you with me on that pleasure cruise that day,\I must thank you.\You have been most useful to me in the time we have known one another.\You have my gratitude. From the bottom of my heart.\I challenge you!\My, how old-fashioned.\The son of a soldier must act in accordance with tradition? response:	Is that it?
context: Even if I deliberately brought you with me on that pleasure cruise that day,\I must thank you.\You have been most useful to me in the time we have known one another.\You have my gratitude. From the bottom of my heart.\I challenge you!\My, how old-fashioned.\The son of a soldier must act in accordance with tradition?\Is that it? response:	The time will be tomorrow morning at five.
context: I must thank you.\You have been most useful to me in the time we have known one another.\You have my gratitude. From the bottom of my heart.\I challenge you!\My, how old-fashioned.\The son of a soldier must act in accordance with tradition?\Is that it?\The time will be tomorrow morning at five. response:	In the forest of Boulogne.
context: You have been most useful to me in the time we have known one another.\You have my gratitude. From the bottom of my heart.\I challenge you!\My, how old-fashioned.\The son of a soldier must act in accordance with tradition?\Is that it?\The time will be tomorrow morning at five.\In the forest of Boulogne. response:	Weapons?
context: You have my gratitude. From the bottom of my heart.\I challenge you!\My, how old-fashioned.\The son of a soldier must act in accordance with tradition?\Is that it?\The time will be tomorrow morning at five.\In the forest of Boulogne.\Weapons? response:	Armor and bare steel!
context: I challenge you!\My, how old-fashioned.\The son of a soldier must act in accordance with tradition?\Is that it?\The time will be tomorrow morning at five.\In the forest of Boulogne.\Weapons?\Armor and bare steel! response:	Very well.
context: My, how old-fashioned.\The son of a soldier must act in accordance with tradition?\Is that it?\The time will be tomorrow morning at five.\In the forest of Boulogne.\Weapons?\Armor and bare steel!\Very well. response:	Bertuccio. You are my witness.
context: The son of a soldier must act in accordance with tradition?\Is that it?\The time will be tomorrow morning at five.\In the forest of Boulogne.\Weapons?\Armor and bare steel!\Very well.\Bertuccio. You are my witness. response:	Did you see the whole challenge from beginning to end?
context: Is that it?\The time will be tomorrow morning at five.\In the forest of Boulogne.\Weapons?\Armor and bare steel!\Very well.\Bertuccio. You are my witness.\Did you see the whole challenge from beginning to end? response:	Y-Yes, Excellency!
context: The time will be tomorrow morning at five.\In the forest of Boulogne.\Weapons?\Armor and bare steel!\Very well.\Bertuccio. You are my witness.\Did you see the whole challenge from beginning to end?\Y-Yes, Excellency! response:	Albert! I accept your challenge.
context: In the forest of Boulogne.\Weapons?\Armor and bare steel!\Very well.\Bertuccio. You are my witness.\Did you see the whole challenge from beginning to end?\Y-Yes, Excellency!\Albert! I accept your challenge. response:	In that case, we will meet at five tomorrow!
context: Weapons?\Armor and bare steel!\Very well.\Bertuccio. You are my witness.\Did you see the whole challenge from beginning to end?\Y-Yes, Excellency!\Albert! I accept your challenge.\In that case, we will meet at five tomorrow! response:	It will serve to freeze the memory of this day, this hour, in time.
context: Armor and bare steel!\Very well.\Bertuccio. You are my witness.\Did you see the whole challenge from beginning to end?\Y-Yes, Excellency!\Albert! I accept your challenge.\In that case, we will meet at five tomorrow!\It will serve to freeze the memory of this day, this hour, in time. response:	A memory which belongs to us alone.
context: Very well.\Bertuccio. You are my witness.\Did you see the whole challenge from beginning to end?\Y-Yes, Excellency!\Albert! I accept your challenge.\In that case, we will meet at five tomorrow!\It will serve to freeze the memory of this day, this hour, in time.\A memory which belongs to us alone. response:	I must go see him.
context: Bertuccio. You are my witness.\Did you see the whole challenge from beginning to end?\Y-Yes, Excellency!\Albert! I accept your challenge.\In that case, we will meet at five tomorrow!\It will serve to freeze the memory of this day, this hour, in time.\A memory which belongs to us alone.\I must go see him. response:	Count, is there nothing I can do to stop this duel between you and Albert?
context: Did you see the whole challenge from beginning to end?\Y-Yes, Excellency!\Albert! I accept your challenge.\In that case, we will meet at five tomorrow!\It will serve to freeze the memory of this day, this hour, in time.\A memory which belongs to us alone.\I must go see him.\Count, is there nothing I can do to stop this duel between you and Albert? response:	You told me that I am free.
context: Y-Yes, Excellency!\Albert! I accept your challenge.\In that case, we will meet at five tomorrow!\It will serve to freeze the memory of this day, this hour, in time.\A memory which belongs to us alone.\I must go see him.\Count, is there nothing I can do to stop this duel between you and Albert?\You told me that I am free. response:	That is what allowed me to live to this day without taking my own life.
context: Albert! I accept your challenge.\In that case, we will meet at five tomorrow!\It will serve to freeze the memory of this day, this hour, in time.\A memory which belongs to us alone.\I must go see him.\Count, is there nothing I can do to stop this duel between you and Albert?\You told me that I am free.\That is what allowed me to live to this day without taking my own life. response:	But if you... If you were to perish,
context: In that case, we will meet at five tomorrow!\It will serve to freeze the memory of this day, this hour, in time.\A memory which belongs to us alone.\I must go see him.\Count, is there nothing I can do to stop this duel between you and Albert?\You told me that I am free.\That is what allowed me to live to this day without taking my own life.\But if you... If you were to perish, response:	Gankutsuou...
context: It will serve to freeze the memory of this day, this hour, in time.\A memory which belongs to us alone.\I must go see him.\Count, is there nothing I can do to stop this duel between you and Albert?\You told me that I am free.\That is what allowed me to live to this day without taking my own life.\But if you... If you were to perish,\Gankutsuou... response:	Wait... Not yet!
context: A memory which belongs to us alone.\I must go see him.\Count, is there nothing I can do to stop this duel between you and Albert?\You told me that I am free.\That is what allowed me to live to this day without taking my own life.\But if you... If you were to perish,\Gankutsuou...\Wait... Not yet! response:	It is not yet time!
context: I must go see him.\Count, is there nothing I can do to stop this duel between you and Albert?\You told me that I am free.\That is what allowed me to live to this day without taking my own life.\But if you... If you were to perish,\Gankutsuou...\Wait... Not yet!\It is not yet time! response:	Franz?
context: Count, is there nothing I can do to stop this duel between you and Albert?\You told me that I am free.\That is what allowed me to live to this day without taking my own life.\But if you... If you were to perish,\Gankutsuou...\Wait... Not yet!\It is not yet time!\Franz? response:	Albert!
context: You told me that I am free.\That is what allowed me to live to this day without taking my own life.\But if you... If you were to perish,\Gankutsuou...\Wait... Not yet!\It is not yet time!\Franz?\Albert! response:	Franz...
context: That is what allowed me to live to this day without taking my own life.\But if you... If you were to perish,\Gankutsuou...\Wait... Not yet!\It is not yet time!\Franz?\Albert!\Franz... response:	You've always looked out for me,
context: But if you... If you were to perish,\Gankutsuou...\Wait... Not yet!\It is not yet time!\Franz?\Albert!\Franz...\You've always looked out for me, response:	I'm sorry... I'm so sorry, Franz.
context: Gankutsuou...\Wait... Not yet!\It is not yet time!\Franz?\Albert!\Franz...\You've always looked out for me,\I'm sorry... I'm so sorry, Franz. response:	I'm back.
context: Wait... Not yet!\It is not yet time!\Franz?\Albert!\Franz...\You've always looked out for me,\I'm sorry... I'm so sorry, Franz.\I'm back. response:	Geez, wipe the snot from your nose.
context: It is not yet time!\Franz?\Albert!\Franz...\You've always looked out for me,\I'm sorry... I'm so sorry, Franz.\I'm back.\Geez, wipe the snot from your nose. response:	Get off my back!
context: Franz?\Albert!\Franz...\You've always looked out for me,\I'm sorry... I'm so sorry, Franz.\I'm back.\Geez, wipe the snot from your nose.\Get off my back! response:	You total idiot! You played straight into his hands!
context: Albert!\Franz...\You've always looked out for me,\I'm sorry... I'm so sorry, Franz.\I'm back.\Geez, wipe the snot from your nose.\Get off my back!\You total idiot! You played straight into his hands! response:	You've got to call off this duel right now!
context: Franz...\You've always looked out for me,\I'm sorry... I'm so sorry, Franz.\I'm back.\Geez, wipe the snot from your nose.\Get off my back!\You total idiot! You played straight into his hands!\You've got to call off this duel right now! response:	Cut it out!
context: You've always looked out for me,\I'm sorry... I'm so sorry, Franz.\I'm back.\Geez, wipe the snot from your nose.\Get off my back!\You total idiot! You played straight into his hands!\You've got to call off this duel right now!\Cut it out! response:	You'll act as my second, right?
context: I'm sorry... I'm so sorry, Franz.\I'm back.\Geez, wipe the snot from your nose.\Get off my back!\You total idiot! You played straight into his hands!\You've got to call off this duel right now!\Cut it out!\You'll act as my second, right? response:	I don't blame you for being angry.
context: I'm back.\Geez, wipe the snot from your nose.\Get off my back!\You total idiot! You played straight into his hands!\You've got to call off this duel right now!\Cut it out!\You'll act as my second, right?\I don't blame you for being angry. response:	But this is one thing that I have to see through, no matter what!
context: Geez, wipe the snot from your nose.\Get off my back!\You total idiot! You played straight into his hands!\You've got to call off this duel right now!\Cut it out!\You'll act as my second, right?\I don't blame you for being angry.\But this is one thing that I have to see through, no matter what! response:	Listen to me, and listen good.
context: Get off my back!\You total idiot! You played straight into his hands!\You've got to call off this duel right now!\Cut it out!\You'll act as my second, right?\I don't blame you for being angry.\But this is one thing that I have to see through, no matter what!\Listen to me, and listen good. response:	The Count has been planning to kill you all along.
context: You total idiot! You played straight into his hands!\You've got to call off this duel right now!\Cut it out!\You'll act as my second, right?\I don't blame you for being angry.\But this is one thing that I have to see through, no matter what!\Listen to me, and listen good.\The Count has been planning to kill you all along. response:	Are you saying that you don't care if you end up getting killed in the name of his revenge?!
context: You've got to call off this duel right now!\Cut it out!\You'll act as my second, right?\I don't blame you for being angry.\But this is one thing that I have to see through, no matter what!\Listen to me, and listen good.\The Count has been planning to kill you all along.\Are you saying that you don't care if you end up getting killed in the name of his revenge?! response:	Franz.
context: Cut it out!\You'll act as my second, right?\I don't blame you for being angry.\But this is one thing that I have to see through, no matter what!\Listen to me, and listen good.\The Count has been planning to kill you all along.\Are you saying that you don't care if you end up getting killed in the name of his revenge?!\Franz. response:	That bastard deceived me and used dirty tricks to lure me in.
context: You'll act as my second, right?\I don't blame you for being angry.\But this is one thing that I have to see through, no matter what!\Listen to me, and listen good.\The Count has been planning to kill you all along.\Are you saying that you don't care if you end up getting killed in the name of his revenge?!\Franz.\That bastard deceived me and used dirty tricks to lure me in. response:	He used the most despicable means imaginable to toy with me...
context: I don't blame you for being angry.\But this is one thing that I have to see through, no matter what!\Listen to me, and listen good.\The Count has been planning to kill you all along.\Are you saying that you don't care if you end up getting killed in the name of his revenge?!\Franz.\That bastard deceived me and used dirty tricks to lure me in.\He used the most despicable means imaginable to toy with me... response:	And I can't... I can't let him get away with it!
context: But this is one thing that I have to see through, no matter what!\Listen to me, and listen good.\The Count has been planning to kill you all along.\Are you saying that you don't care if you end up getting killed in the name of his revenge?!\Franz.\That bastard deceived me and used dirty tricks to lure me in.\He used the most despicable means imaginable to toy with me...\And I can't... I can't let him get away with it! response:	Even if the Count used to be your mother's fiance?
context: Listen to me, and listen good.\The Count has been planning to kill you all along.\Are you saying that you don't care if you end up getting killed in the name of his revenge?!\Franz.\That bastard deceived me and used dirty tricks to lure me in.\He used the most despicable means imaginable to toy with me...\And I can't... I can't let him get away with it!\Even if the Count used to be your mother's fiance? response:	Your father was so in love with your mother...
context: The Count has been planning to kill you all along.\Are you saying that you don't care if you end up getting killed in the name of his revenge?!\Franz.\That bastard deceived me and used dirty tricks to lure me in.\He used the most despicable means imaginable to toy with me...\And I can't... I can't let him get away with it!\Even if the Count used to be your mother's fiance?\Your father was so in love with your mother... response:	Edmond Dantes?
context: Are you saying that you don't care if you end up getting killed in the name of his revenge?!\Franz.\That bastard deceived me and used dirty tricks to lure me in.\He used the most despicable means imaginable to toy with me...\And I can't... I can't let him get away with it!\Even if the Count used to be your mother's fiance?\Your father was so in love with your mother...\Edmond Dantes? response:	Mondego's wife is here to see you.
context: Franz.\That bastard deceived me and used dirty tricks to lure me in.\He used the most despicable means imaginable to toy with me...\And I can't... I can't let him get away with it!\Even if the Count used to be your mother's fiance?\Your father was so in love with your mother...\Edmond Dantes?\Mondego's wife is here to see you. response:	Edmond!
context: That bastard deceived me and used dirty tricks to lure me in.\He used the most despicable means imaginable to toy with me...\And I can't... I can't let him get away with it!\Even if the Count used to be your mother's fiance?\Your father was so in love with your mother...\Edmond Dantes?\Mondego's wife is here to see you.\Edmond! response:	No, Count...
context: He used the most despicable means imaginable to toy with me...\And I can't... I can't let him get away with it!\Even if the Count used to be your mother's fiance?\Your father was so in love with your mother...\Edmond Dantes?\Mondego's wife is here to see you.\Edmond!\No, Count... response:	You are really Edmond Dantes, aren't you?
context: And I can't... I can't let him get away with it!\Even if the Count used to be your mother's fiance?\Your father was so in love with your mother...\Edmond Dantes?\Mondego's wife is here to see you.\Edmond!\No, Count...\You are really Edmond Dantes, aren't you? response:	How I've missed you...
context: Even if the Count used to be your mother's fiance?\Your father was so in love with your mother...\Edmond Dantes?\Mondego's wife is here to see you.\Edmond!\No, Count...\You are really Edmond Dantes, aren't you?\How I've missed you... response:	These past 25 years, I haven't forgotten you for an instant.
context: Your father was so in love with your mother...\Edmond Dantes?\Mondego's wife is here to see you.\Edmond!\No, Count...\You are really Edmond Dantes, aren't you?\How I've missed you...\These past 25 years, I haven't forgotten you for an instant. response:	I know that you can never forgive what I've done.
context: Edmond Dantes?\Mondego's wife is here to see you.\Edmond!\No, Count...\You are really Edmond Dantes, aren't you?\How I've missed you...\These past 25 years, I haven't forgotten you for an instant.\I know that you can never forgive what I've done. response:	But... But even if only once, I wish I could speak with you as Edmond!
context: Mondego's wife is here to see you.\Edmond!\No, Count...\You are really Edmond Dantes, aren't you?\How I've missed you...\These past 25 years, I haven't forgotten you for an instant.\I know that you can never forgive what I've done.\But... But even if only once, I wish I could speak with you as Edmond! response:	Edmond... is dead.
context: Edmond!\No, Count...\You are really Edmond Dantes, aren't you?\How I've missed you...\These past 25 years, I haven't forgotten you for an instant.\I know that you can never forgive what I've done.\But... But even if only once, I wish I could speak with you as Edmond!\Edmond... is dead. response:	This body retains only his shape and appearance.
context: No, Count...\You are really Edmond Dantes, aren't you?\How I've missed you...\These past 25 years, I haven't forgotten you for an instant.\I know that you can never forgive what I've done.\But... But even if only once, I wish I could speak with you as Edmond!\Edmond... is dead.\This body retains only his shape and appearance. response:	There is no longer anything of Edmond himself left within it.
context: You are really Edmond Dantes, aren't you?\How I've missed you...\These past 25 years, I haven't forgotten you for an instant.\I know that you can never forgive what I've done.\But... But even if only once, I wish I could speak with you as Edmond!\Edmond... is dead.\This body retains only his shape and appearance.\There is no longer anything of Edmond himself left within it. response:	That's not true.
context: How I've missed you...\These past 25 years, I haven't forgotten you for an instant.\I know that you can never forgive what I've done.\But... But even if only once, I wish I could speak with you as Edmond!\Edmond... is dead.\This body retains only his shape and appearance.\There is no longer anything of Edmond himself left within it.\That's not true. response:	No, that isn't possible!
context: These past 25 years, I haven't forgotten you for an instant.\I know that you can never forgive what I've done.\But... But even if only once, I wish I could speak with you as Edmond!\Edmond... is dead.\This body retains only his shape and appearance.\There is no longer anything of Edmond himself left within it.\That's not true.\No, that isn't possible! response:	If that were so, why have I had the feeling ever since the day we met that you are Edmond?
context: I know that you can never forgive what I've done.\But... But even if only once, I wish I could speak with you as Edmond!\Edmond... is dead.\This body retains only his shape and appearance.\There is no longer anything of Edmond himself left within it.\That's not true.\No, that isn't possible!\If that were so, why have I had the feeling ever since the day we met that you are Edmond? response:	You refuse to be disturbed by the coldness of my hand...
context: But... But even if only once, I wish I could speak with you as Edmond!\Edmond... is dead.\This body retains only his shape and appearance.\There is no longer anything of Edmond himself left within it.\That's not true.\No, that isn't possible!\If that were so, why have I had the feeling ever since the day we met that you are Edmond?\You refuse to be disturbed by the coldness of my hand... response:	You leave me no choice, then.
context: Edmond... is dead.\This body retains only his shape and appearance.\There is no longer anything of Edmond himself left within it.\That's not true.\No, that isn't possible!\If that were so, why have I had the feeling ever since the day we met that you are Edmond?\You refuse to be disturbed by the coldness of my hand...\You leave me no choice, then. response:	I will show you proof that Edmond, the man you once loved, is now dead.
context: This body retains only his shape and appearance.\There is no longer anything of Edmond himself left within it.\That's not true.\No, that isn't possible!\If that were so, why have I had the feeling ever since the day we met that you are Edmond?\You refuse to be disturbed by the coldness of my hand...\You leave me no choice, then.\I will show you proof that Edmond, the man you once loved, is now dead. response:	I will await you at five tomorrow morning in the forest of Boulogne.
context: There is no longer anything of Edmond himself left within it.\That's not true.\No, that isn't possible!\If that were so, why have I had the feeling ever since the day we met that you are Edmond?\You refuse to be disturbed by the coldness of my hand...\You leave me no choice, then.\I will show you proof that Edmond, the man you once loved, is now dead.\I will await you at five tomorrow morning in the forest of Boulogne. response:	It's already too late for that, Franz.
context: That's not true.\No, that isn't possible!\If that were so, why have I had the feeling ever since the day we met that you are Edmond?\You refuse to be disturbed by the coldness of my hand...\You leave me no choice, then.\I will show you proof that Edmond, the man you once loved, is now dead.\I will await you at five tomorrow morning in the forest of Boulogne.\It's already too late for that, Franz. response:	It's too late to do anything!
context: No, that isn't possible!\If that were so, why have I had the feeling ever since the day we met that you are Edmond?\You refuse to be disturbed by the coldness of my hand...\You leave me no choice, then.\I will show you proof that Edmond, the man you once loved, is now dead.\I will await you at five tomorrow morning in the forest of Boulogne.\It's already too late for that, Franz.\It's too late to do anything! response:	Whatever happened between the Count and our fathers in the past,
context: If that were so, why have I had the feeling ever since the day we met that you are Edmond?\You refuse to be disturbed by the coldness of my hand...\You leave me no choice, then.\I will show you proof that Edmond, the man you once loved, is now dead.\I will await you at five tomorrow morning in the forest of Boulogne.\It's already too late for that, Franz.\It's too late to do anything!\Whatever happened between the Count and our fathers in the past, response:	I can't take back what happened between the Count and me.
