context: Episode 8 response:	The Second Plate
context: The horse mackerel, too.\Soma-kun!\Don't you think the other fish can wait until next time?\Oh, right.\Soma-kun, have you ever been here before?\Yeah, I came with my dad a lot.\Oh, there it is! Pacific saury!\I gotta say, this time I think the recipe testing process will be pretty smooth. response:	Yukihira Diner
context: Soma-kun!\Don't you think the other fish can wait until next time?\Oh, right.\Soma-kun, have you ever been here before?\Yeah, I came with my dad a lot.\Oh, there it is! Pacific saury!\I gotta say, this time I think the recipe testing process will be pretty smooth.\Yukihira Diner response:	Pacific saury was always on our fall menu at Yukihira.
context: Don't you think the other fish can wait until next time?\Oh, right.\Soma-kun, have you ever been here before?\Yeah, I came with my dad a lot.\Oh, there it is! Pacific saury!\I gotta say, this time I think the recipe testing process will be pretty smooth.\Yukihira Diner\Pacific saury was always on our fall menu at Yukihira. response:	Miso Mackerel Set Menu Grilled Fish Set Menu (Salmon, Mackerel, Atka Mackerel) Pacific Saury Set Meal Daily Special Set Menu
context: Oh, right.\Soma-kun, have you ever been here before?\Yeah, I came with my dad a lot.\Oh, there it is! Pacific saury!\I gotta say, this time I think the recipe testing process will be pretty smooth.\Yukihira Diner\Pacific saury was always on our fall menu at Yukihira.\Miso Mackerel Set Menu Grilled Fish Set Menu (Salmon, Mackerel, Atka Mackerel) Pacific Saury Set Meal Daily Special Set Menu response:	So I'm pretty confident when it comes to Pacific saury.
context: Soma-kun, have you ever been here before?\Yeah, I came with my dad a lot.\Oh, there it is! Pacific saury!\I gotta say, this time I think the recipe testing process will be pretty smooth.\Yukihira Diner\Pacific saury was always on our fall menu at Yukihira.\Miso Mackerel Set Menu Grilled Fish Set Menu (Salmon, Mackerel, Atka Mackerel) Pacific Saury Set Meal Daily Special Set Menu\So I'm pretty confident when it comes to Pacific saury. response:	Oh.
context: Yeah, I came with my dad a lot.\Oh, there it is! Pacific saury!\I gotta say, this time I think the recipe testing process will be pretty smooth.\Yukihira Diner\Pacific saury was always on our fall menu at Yukihira.\Miso Mackerel Set Menu Grilled Fish Set Menu (Salmon, Mackerel, Atka Mackerel) Pacific Saury Set Meal Daily Special Set Menu\So I'm pretty confident when it comes to Pacific saury.\Oh. response:	Kurokiba-kun, Nakiri-san?
context: Oh, there it is! Pacific saury!\I gotta say, this time I think the recipe testing process will be pretty smooth.\Yukihira Diner\Pacific saury was always on our fall menu at Yukihira.\Miso Mackerel Set Menu Grilled Fish Set Menu (Salmon, Mackerel, Atka Mackerel) Pacific Saury Set Meal Daily Special Set Menu\So I'm pretty confident when it comes to Pacific saury.\Oh.\Kurokiba-kun, Nakiri-san? response:	You came to look at Pacific saury, too?
context: I gotta say, this time I think the recipe testing process will be pretty smooth.\Yukihira Diner\Pacific saury was always on our fall menu at Yukihira.\Miso Mackerel Set Menu Grilled Fish Set Menu (Salmon, Mackerel, Atka Mackerel) Pacific Saury Set Meal Daily Special Set Menu\So I'm pretty confident when it comes to Pacific saury.\Oh.\Kurokiba-kun, Nakiri-san?\You came to look at Pacific saury, too? response:	What a coincidence!
context: Yukihira Diner\Pacific saury was always on our fall menu at Yukihira.\Miso Mackerel Set Menu Grilled Fish Set Menu (Salmon, Mackerel, Atka Mackerel) Pacific Saury Set Meal Daily Special Set Menu\So I'm pretty confident when it comes to Pacific saury.\Oh.\Kurokiba-kun, Nakiri-san?\You came to look at Pacific saury, too?\What a coincidence! response:	What coincidence?
context: Pacific saury was always on our fall menu at Yukihira.\Miso Mackerel Set Menu Grilled Fish Set Menu (Salmon, Mackerel, Atka Mackerel) Pacific Saury Set Meal Daily Special Set Menu\So I'm pretty confident when it comes to Pacific saury.\Oh.\Kurokiba-kun, Nakiri-san?\You came to look at Pacific saury, too?\What a coincidence!\What coincidence? response:	I've been coming here practically every day.
context: Miso Mackerel Set Menu Grilled Fish Set Menu (Salmon, Mackerel, Atka Mackerel) Pacific Saury Set Meal Daily Special Set Menu\So I'm pretty confident when it comes to Pacific saury.\Oh.\Kurokiba-kun, Nakiri-san?\You came to look at Pacific saury, too?\What a coincidence!\What coincidence?\I've been coming here practically every day. response:	Huh.
context: So I'm pretty confident when it comes to Pacific saury.\Oh.\Kurokiba-kun, Nakiri-san?\You came to look at Pacific saury, too?\What a coincidence!\What coincidence?\I've been coming here practically every day.\Huh. response:	Me, I only come sometimes.
context: Oh.\Kurokiba-kun, Nakiri-san?\You came to look at Pacific saury, too?\What a coincidence!\What coincidence?\I've been coming here practically every day.\Huh.\Me, I only come sometimes. response:	The fish market's open too early in the morning!
context: Kurokiba-kun, Nakiri-san?\You came to look at Pacific saury, too?\What a coincidence!\What coincidence?\I've been coming here practically every day.\Huh.\Me, I only come sometimes.\The fish market's open too early in the morning! response:	Oh, no!
context: You came to look at Pacific saury, too?\What a coincidence!\What coincidence?\I've been coming here practically every day.\Huh.\Me, I only come sometimes.\The fish market's open too early in the morning!\Oh, no! response:	Why'd we have to come face to face with his opponent?!
context: What a coincidence!\What coincidence?\I've been coming here practically every day.\Huh.\Me, I only come sometimes.\The fish market's open too early in the morning!\Oh, no!\Why'd we have to come face to face with his opponent?! response:	I can't take a back seat to you guys!
context: What coincidence?\I've been coming here practically every day.\Huh.\Me, I only come sometimes.\The fish market's open too early in the morning!\Oh, no!\Why'd we have to come face to face with his opponent?!\I can't take a back seat to you guys! response:	I'd better find myself some good Pacific saury, and get ahead!
context: I've been coming here practically every day.\Huh.\Me, I only come sometimes.\The fish market's open too early in the morning!\Oh, no!\Why'd we have to come face to face with his opponent?!\I can't take a back seat to you guys!\I'd better find myself some good Pacific saury, and get ahead! response:	Pacific saury should have a rounded body with taut flesh,
context: Huh.\Me, I only come sometimes.\The fish market's open too early in the morning!\Oh, no!\Why'd we have to come face to face with his opponent?!\I can't take a back seat to you guys!\I'd better find myself some good Pacific saury, and get ahead!\Pacific saury should have a rounded body with taut flesh, response:	eyes that are clear and bright,
context: Me, I only come sometimes.\The fish market's open too early in the morning!\Oh, no!\Why'd we have to come face to face with his opponent?!\I can't take a back seat to you guys!\I'd better find myself some good Pacific saury, and get ahead!\Pacific saury should have a rounded body with taut flesh,\eyes that are clear and bright, response:	and mouths with a yellow tip.
context: The fish market's open too early in the morning!\Oh, no!\Why'd we have to come face to face with his opponent?!\I can't take a back seat to you guys!\I'd better find myself some good Pacific saury, and get ahead!\Pacific saury should have a rounded body with taut flesh,\eyes that are clear and bright,\and mouths with a yellow tip. response:	It's said that means it's fresh and has good fat.
context: Oh, no!\Why'd we have to come face to face with his opponent?!\I can't take a back seat to you guys!\I'd better find myself some good Pacific saury, and get ahead!\Pacific saury should have a rounded body with taut flesh,\eyes that are clear and bright,\and mouths with a yellow tip.\It's said that means it's fresh and has good fat. response:	But it doesn't mean you should just spring for the freshest ones.
context: Why'd we have to come face to face with his opponent?!\I can't take a back seat to you guys!\I'd better find myself some good Pacific saury, and get ahead!\Pacific saury should have a rounded body with taut flesh,\eyes that are clear and bright,\and mouths with a yellow tip.\It's said that means it's fresh and has good fat.\But it doesn't mean you should just spring for the freshest ones. response:	Then their umami hasn't fully developed.
context: I can't take a back seat to you guys!\I'd better find myself some good Pacific saury, and get ahead!\Pacific saury should have a rounded body with taut flesh,\eyes that are clear and bright,\and mouths with a yellow tip.\It's said that means it's fresh and has good fat.\But it doesn't mean you should just spring for the freshest ones.\Then their umami hasn't fully developed. response:	Inosinic acid, the umami component in fish, increases over time.
context: I'd better find myself some good Pacific saury, and get ahead!\Pacific saury should have a rounded body with taut flesh,\eyes that are clear and bright,\and mouths with a yellow tip.\It's said that means it's fresh and has good fat.\But it doesn't mean you should just spring for the freshest ones.\Then their umami hasn't fully developed.\Inosinic acid, the umami component in fish, increases over time. response:	The amount and development rate of inosinic acid
context: Pacific saury should have a rounded body with taut flesh,\eyes that are clear and bright,\and mouths with a yellow tip.\It's said that means it's fresh and has good fat.\But it doesn't mean you should just spring for the freshest ones.\Then their umami hasn't fully developed.\Inosinic acid, the umami component in fish, increases over time.\The amount and development rate of inosinic acid response:	are dependent on the conditions when the fish was caught.
context: eyes that are clear and bright,\and mouths with a yellow tip.\It's said that means it's fresh and has good fat.\But it doesn't mean you should just spring for the freshest ones.\Then their umami hasn't fully developed.\Inosinic acid, the umami component in fish, increases over time.\The amount and development rate of inosinic acid\are dependent on the conditions when the fish was caught. response:	You need a certain amount of experience
context: and mouths with a yellow tip.\It's said that means it's fresh and has good fat.\But it doesn't mean you should just spring for the freshest ones.\Then their umami hasn't fully developed.\Inosinic acid, the umami component in fish, increases over time.\The amount and development rate of inosinic acid\are dependent on the conditions when the fish was caught.\You need a certain amount of experience response:	to gauge the fish's freshness and umami.
context: It's said that means it's fresh and has good fat.\But it doesn't mean you should just spring for the freshest ones.\Then their umami hasn't fully developed.\Inosinic acid, the umami component in fish, increases over time.\The amount and development rate of inosinic acid\are dependent on the conditions when the fish was caught.\You need a certain amount of experience\to gauge the fish's freshness and umami. response:	Oh, but it's not just about gauging with the eye.
context: But it doesn't mean you should just spring for the freshest ones.\Then their umami hasn't fully developed.\Inosinic acid, the umami component in fish, increases over time.\The amount and development rate of inosinic acid\are dependent on the conditions when the fish was caught.\You need a certain amount of experience\to gauge the fish's freshness and umami.\Oh, but it's not just about gauging with the eye. response:	There's a way to tell by feel, too!
context: Then their umami hasn't fully developed.\Inosinic acid, the umami component in fish, increases over time.\The amount and development rate of inosinic acid\are dependent on the conditions when the fish was caught.\You need a certain amount of experience\to gauge the fish's freshness and umami.\Oh, but it's not just about gauging with the eye.\There's a way to tell by feel, too! response:	Look!
context: Inosinic acid, the umami component in fish, increases over time.\The amount and development rate of inosinic acid\are dependent on the conditions when the fish was caught.\You need a certain amount of experience\to gauge the fish's freshness and umami.\Oh, but it's not just about gauging with the eye.\There's a way to tell by feel, too!\Look! response:	Oh, wow!
context: The amount and development rate of inosinic acid\are dependent on the conditions when the fish was caught.\You need a certain amount of experience\to gauge the fish's freshness and umami.\Oh, but it's not just about gauging with the eye.\There's a way to tell by feel, too!\Look!\Oh, wow! response:	Even though you're holding it by the tail,
context: are dependent on the conditions when the fish was caught.\You need a certain amount of experience\to gauge the fish's freshness and umami.\Oh, but it's not just about gauging with the eye.\There's a way to tell by feel, too!\Look!\Oh, wow!\Even though you're holding it by the tail, response:	it's standing straight up!
context: You need a certain amount of experience\to gauge the fish's freshness and umami.\Oh, but it's not just about gauging with the eye.\There's a way to tell by feel, too!\Look!\Oh, wow!\Even though you're holding it by the tail,\it's standing straight up! response:	It's proof that the flesh is still firm!
context: to gauge the fish's freshness and umami.\Oh, but it's not just about gauging with the eye.\There's a way to tell by feel, too!\Look!\Oh, wow!\Even though you're holding it by the tail,\it's standing straight up!\It's proof that the flesh is still firm! response:	The eyes and belly look fresh, too.
context: Oh, but it's not just about gauging with the eye.\There's a way to tell by feel, too!\Look!\Oh, wow!\Even though you're holding it by the tail,\it's standing straight up!\It's proof that the flesh is still firm!\The eyes and belly look fresh, too. response:	Without a doubt, this is the best Pacific saury this shop has to offer today!
context: There's a way to tell by feel, too!\Look!\Oh, wow!\Even though you're holding it by the tail,\it's standing straight up!\It's proof that the flesh is still firm!\The eyes and belly look fresh, too.\Without a doubt, this is the best Pacific saury this shop has to offer today! response:	You're wrong.
context: Look!\Oh, wow!\Even though you're holding it by the tail,\it's standing straight up!\It's proof that the flesh is still firm!\The eyes and belly look fresh, too.\Without a doubt, this is the best Pacific saury this shop has to offer today!\You're wrong. response:	I'll take this one.
context: Oh, wow!\Even though you're holding it by the tail,\it's standing straight up!\It's proof that the flesh is still firm!\The eyes and belly look fresh, too.\Without a doubt, this is the best Pacific saury this shop has to offer today!\You're wrong.\I'll take this one. response:	What?
context: Even though you're holding it by the tail,\it's standing straight up!\It's proof that the flesh is still firm!\The eyes and belly look fresh, too.\Without a doubt, this is the best Pacific saury this shop has to offer today!\You're wrong.\I'll take this one.\What? response:	That?
context: it's standing straight up!\It's proof that the flesh is still firm!\The eyes and belly look fresh, too.\Without a doubt, this is the best Pacific saury this shop has to offer today!\You're wrong.\I'll take this one.\What?\That? response:	It's smaller than Soma-kun's Pacific saury,
context: It's proof that the flesh is still firm!\The eyes and belly look fresh, too.\Without a doubt, this is the best Pacific saury this shop has to offer today!\You're wrong.\I'll take this one.\What?\That?\It's smaller than Soma-kun's Pacific saury, response:	and the belly's flatter than his, too.
context: The eyes and belly look fresh, too.\Without a doubt, this is the best Pacific saury this shop has to offer today!\You're wrong.\I'll take this one.\What?\That?\It's smaller than Soma-kun's Pacific saury,\and the belly's flatter than his, too. response:	You don't look convinced.
context: Without a doubt, this is the best Pacific saury this shop has to offer today!\You're wrong.\I'll take this one.\What?\That?\It's smaller than Soma-kun's Pacific saury,\and the belly's flatter than his, too.\You don't look convinced. response:	Do you want to put them to the test?
context: You're wrong.\I'll take this one.\What?\That?\It's smaller than Soma-kun's Pacific saury,\and the belly's flatter than his, too.\You don't look convinced.\Do you want to put them to the test? response:	If we make sashimi with these two fish,
context: I'll take this one.\What?\That?\It's smaller than Soma-kun's Pacific saury,\and the belly's flatter than his, too.\You don't look convinced.\Do you want to put them to the test?\If we make sashimi with these two fish, response:	you can tell which one's of higher quality,
context: What?\That?\It's smaller than Soma-kun's Pacific saury,\and the belly's flatter than his, too.\You don't look convinced.\Do you want to put them to the test?\If we make sashimi with these two fish,\you can tell which one's of higher quality, response:	and which one of us has the more discerning eye.
context: That?\It's smaller than Soma-kun's Pacific saury,\and the belly's flatter than his, too.\You don't look convinced.\Do you want to put them to the test?\If we make sashimi with these two fish,\you can tell which one's of higher quality,\and which one of us has the more discerning eye. response:	Sorry for doing this at your storefront.
context: It's smaller than Soma-kun's Pacific saury,\and the belly's flatter than his, too.\You don't look convinced.\Do you want to put them to the test?\If we make sashimi with these two fish,\you can tell which one's of higher quality,\and which one of us has the more discerning eye.\Sorry for doing this at your storefront. response:	Oh, it's fine, since they're Totsuki students.
context: and the belly's flatter than his, too.\You don't look convinced.\Do you want to put them to the test?\If we make sashimi with these two fish,\you can tell which one's of higher quality,\and which one of us has the more discerning eye.\Sorry for doing this at your storefront.\Oh, it's fine, since they're Totsuki students. response:	Try them, Tadokoro Megumi.
context: You don't look convinced.\Do you want to put them to the test?\If we make sashimi with these two fish,\you can tell which one's of higher quality,\and which one of us has the more discerning eye.\Sorry for doing this at your storefront.\Oh, it's fine, since they're Totsuki students.\Try them, Tadokoro Megumi. response:	Soma-kun's Pacific saury... is less firm.
context: Do you want to put them to the test?\If we make sashimi with these two fish,\you can tell which one's of higher quality,\and which one of us has the more discerning eye.\Sorry for doing this at your storefront.\Oh, it's fine, since they're Totsuki students.\Try them, Tadokoro Megumi.\Soma-kun's Pacific saury... is less firm. response:	Kurokiba-kun's Pacific saury has firmer flesh, but why?
context: If we make sashimi with these two fish,\you can tell which one's of higher quality,\and which one of us has the more discerning eye.\Sorry for doing this at your storefront.\Oh, it's fine, since they're Totsuki students.\Try them, Tadokoro Megumi.\Soma-kun's Pacific saury... is less firm.\Kurokiba-kun's Pacific saury has firmer flesh, but why? response:	That's why there is a time lag between that fish's rigor index
context: you can tell which one's of higher quality,\and which one of us has the more discerning eye.\Sorry for doing this at your storefront.\Oh, it's fine, since they're Totsuki students.\Try them, Tadokoro Megumi.\Soma-kun's Pacific saury... is less firm.\Kurokiba-kun's Pacific saury has firmer flesh, but why?\That's why there is a time lag between that fish's rigor index response:	and breaking strength of the fish's flesh.
context: and which one of us has the more discerning eye.\Sorry for doing this at your storefront.\Oh, it's fine, since they're Totsuki students.\Try them, Tadokoro Megumi.\Soma-kun's Pacific saury... is less firm.\Kurokiba-kun's Pacific saury has firmer flesh, but why?\That's why there is a time lag between that fish's rigor index\and breaking strength of the fish's flesh. response:	For Pacific saury, the rigor index, which is the indicator of how firm the flesh is,
context: Sorry for doing this at your storefront.\Oh, it's fine, since they're Totsuki students.\Try them, Tadokoro Megumi.\Soma-kun's Pacific saury... is less firm.\Kurokiba-kun's Pacific saury has firmer flesh, but why?\That's why there is a time lag between that fish's rigor index\and breaking strength of the fish's flesh.\For Pacific saury, the rigor index, which is the indicator of how firm the flesh is, response:	gradually decreases after an average of ten hours after the fish was subjected to ikejime.
context: Oh, it's fine, since they're Totsuki students.\Try them, Tadokoro Megumi.\Soma-kun's Pacific saury... is less firm.\Kurokiba-kun's Pacific saury has firmer flesh, but why?\That's why there is a time lag between that fish's rigor index\and breaking strength of the fish's flesh.\For Pacific saury, the rigor index, which is the indicator of how firm the flesh is,\gradually decreases after an average of ten hours after the fish was subjected to ikejime. response:	Rigor Index ()
context: Try them, Tadokoro Megumi.\Soma-kun's Pacific saury... is less firm.\Kurokiba-kun's Pacific saury has firmer flesh, but why?\That's why there is a time lag between that fish's rigor index\and breaking strength of the fish's flesh.\For Pacific saury, the rigor index, which is the indicator of how firm the flesh is,\gradually decreases after an average of ten hours after the fish was subjected to ikejime.\Rigor Index () response:	Time (hours)
context: Soma-kun's Pacific saury... is less firm.\Kurokiba-kun's Pacific saury has firmer flesh, but why?\That's why there is a time lag between that fish's rigor index\and breaking strength of the fish's flesh.\For Pacific saury, the rigor index, which is the indicator of how firm the flesh is,\gradually decreases after an average of ten hours after the fish was subjected to ikejime.\Rigor Index ()\Time (hours) response:	But what determines mouthfeel is the muscle's breaking strength.
context: Kurokiba-kun's Pacific saury has firmer flesh, but why?\That's why there is a time lag between that fish's rigor index\and breaking strength of the fish's flesh.\For Pacific saury, the rigor index, which is the indicator of how firm the flesh is,\gradually decreases after an average of ten hours after the fish was subjected to ikejime.\Rigor Index ()\Time (hours)\But what determines mouthfeel is the muscle's breaking strength. response:	That rapidly plummets after approximately five hours.
context: That's why there is a time lag between that fish's rigor index\and breaking strength of the fish's flesh.\For Pacific saury, the rigor index, which is the indicator of how firm the flesh is,\gradually decreases after an average of ten hours after the fish was subjected to ikejime.\Rigor Index ()\Time (hours)\But what determines mouthfeel is the muscle's breaking strength.\That rapidly plummets after approximately five hours. response:	That means, even if the flesh feels firm,
context: and breaking strength of the fish's flesh.\For Pacific saury, the rigor index, which is the indicator of how firm the flesh is,\gradually decreases after an average of ten hours after the fish was subjected to ikejime.\Rigor Index ()\Time (hours)\But what determines mouthfeel is the muscle's breaking strength.\That rapidly plummets after approximately five hours.\That means, even if the flesh feels firm, response:	it may already have poor mouthfeel if more than five hours have passed?
context: For Pacific saury, the rigor index, which is the indicator of how firm the flesh is,\gradually decreases after an average of ten hours after the fish was subjected to ikejime.\Rigor Index ()\Time (hours)\But what determines mouthfeel is the muscle's breaking strength.\That rapidly plummets after approximately five hours.\That means, even if the flesh feels firm,\it may already have poor mouthfeel if more than five hours have passed? response:	Yes, it's a pitfall when picking Pacific saury.
context: gradually decreases after an average of ten hours after the fish was subjected to ikejime.\Rigor Index ()\Time (hours)\But what determines mouthfeel is the muscle's breaking strength.\That rapidly plummets after approximately five hours.\That means, even if the flesh feels firm,\it may already have poor mouthfeel if more than five hours have passed?\Yes, it's a pitfall when picking Pacific saury. response:	Well, not that it matters to me.
context: Rigor Index ()\Time (hours)\But what determines mouthfeel is the muscle's breaking strength.\That rapidly plummets after approximately five hours.\That means, even if the flesh feels firm,\it may already have poor mouthfeel if more than five hours have passed?\Yes, it's a pitfall when picking Pacific saury.\Well, not that it matters to me. response:	What's with that?!
context: Time (hours)\But what determines mouthfeel is the muscle's breaking strength.\That rapidly plummets after approximately five hours.\That means, even if the flesh feels firm,\it may already have poor mouthfeel if more than five hours have passed?\Yes, it's a pitfall when picking Pacific saury.\Well, not that it matters to me.\What's with that?! response:	I went through the trouble of explaining it for you!
context: But what determines mouthfeel is the muscle's breaking strength.\That rapidly plummets after approximately five hours.\That means, even if the flesh feels firm,\it may already have poor mouthfeel if more than five hours have passed?\Yes, it's a pitfall when picking Pacific saury.\Well, not that it matters to me.\What's with that?!\I went through the trouble of explaining it for you! response:	I can tell by looking and touching it.
context: That rapidly plummets after approximately five hours.\That means, even if the flesh feels firm,\it may already have poor mouthfeel if more than five hours have passed?\Yes, it's a pitfall when picking Pacific saury.\Well, not that it matters to me.\What's with that?!\I went through the trouble of explaining it for you!\I can tell by looking and touching it. response:	I can tell how it was swimming in the sea,
context: That means, even if the flesh feels firm,\it may already have poor mouthfeel if more than five hours have passed?\Yes, it's a pitfall when picking Pacific saury.\Well, not that it matters to me.\What's with that?!\I went through the trouble of explaining it for you!\I can tell by looking and touching it.\I can tell how it was swimming in the sea, response:	how good the ikejime technique was,
context: it may already have poor mouthfeel if more than five hours have passed?\Yes, it's a pitfall when picking Pacific saury.\Well, not that it matters to me.\What's with that?!\I went through the trouble of explaining it for you!\I can tell by looking and touching it.\I can tell how it was swimming in the sea,\how good the ikejime technique was, response:	and whether enough ice was used when transporting the fish.
context: Yes, it's a pitfall when picking Pacific saury.\Well, not that it matters to me.\What's with that?!\I went through the trouble of explaining it for you!\I can tell by looking and touching it.\I can tell how it was swimming in the sea,\how good the ikejime technique was,\and whether enough ice was used when transporting the fish. response:	I can tell everything.
context: Well, not that it matters to me.\What's with that?!\I went through the trouble of explaining it for you!\I can tell by looking and touching it.\I can tell how it was swimming in the sea,\how good the ikejime technique was,\and whether enough ice was used when transporting the fish.\I can tell everything. response:	Listen, Yukihira.
context: What's with that?!\I went through the trouble of explaining it for you!\I can tell by looking and touching it.\I can tell how it was swimming in the sea,\how good the ikejime technique was,\and whether enough ice was used when transporting the fish.\I can tell everything.\Listen, Yukihira. response:	When something's in season, the quality of the ingredient and its flavor
context: I went through the trouble of explaining it for you!\I can tell by looking and touching it.\I can tell how it was swimming in the sea,\how good the ikejime technique was,\and whether enough ice was used when transporting the fish.\I can tell everything.\Listen, Yukihira.\When something's in season, the quality of the ingredient and its flavor response:	dramatically increase to incomparable levels.
context: I can tell by looking and touching it.\I can tell how it was swimming in the sea,\how good the ikejime technique was,\and whether enough ice was used when transporting the fish.\I can tell everything.\Listen, Yukihira.\When something's in season, the quality of the ingredient and its flavor\dramatically increase to incomparable levels. response:	The flip side of that is,
