context: We really did it right this time. response:	Akechi's character turned out really good.
context: I'm going to stay here and think for a while.\Oh, I see.\Well, thanks for your hard work.\Would you like more coffee?\5th place was Ally of Justice. 7th place was Road Racer Giri.\Below that it's a close battle.\But PCP got 4th place.\That's true. response:	Takahama-san and Fukuda-san put in a lot of effort.
context: Oh, I see.\Well, thanks for your hard work.\Would you like more coffee?\5th place was Ally of Justice. 7th place was Road Racer Giri.\Below that it's a close battle.\But PCP got 4th place.\That's true.\Takahama-san and Fukuda-san put in a lot of effort. response:	We can't let our guard down!
context: Well, thanks for your hard work.\Would you like more coffee?\5th place was Ally of Justice. 7th place was Road Racer Giri.\Below that it's a close battle.\But PCP got 4th place.\That's true.\Takahama-san and Fukuda-san put in a lot of effort.\We can't let our guard down! response:	Yeah.
context: Would you like more coffee?\5th place was Ally of Justice. 7th place was Road Racer Giri.\Below that it's a close battle.\But PCP got 4th place.\That's true.\Takahama-san and Fukuda-san put in a lot of effort.\We can't let our guard down!\Yeah. response:	Let's do our best to stay ahead!
context: 5th place was Ally of Justice. 7th place was Road Racer Giri.\Below that it's a close battle.\But PCP got 4th place.\That's true.\Takahama-san and Fukuda-san put in a lot of effort.\We can't let our guard down!\Yeah.\Let's do our best to stay ahead! response:	Huh?
context: Below that it's a close battle.\But PCP got 4th place.\That's true.\Takahama-san and Fukuda-san put in a lot of effort.\We can't let our guard down!\Yeah.\Let's do our best to stay ahead!\Huh? response:	Hattori-san?
context: But PCP got 4th place.\That's true.\Takahama-san and Fukuda-san put in a lot of effort.\We can't let our guard down!\Yeah.\Let's do our best to stay ahead!\Huh?\Hattori-san? response:	This is Mashiro.
context: That's true.\Takahama-san and Fukuda-san put in a lot of effort.\We can't let our guard down!\Yeah.\Let's do our best to stay ahead!\Huh?\Hattori-san?\This is Mashiro. response:	Eh? Yes.
context: Takahama-san and Fukuda-san put in a lot of effort.\We can't let our guard down!\Yeah.\Let's do our best to stay ahead!\Huh?\Hattori-san?\This is Mashiro.\Eh? Yes. response:	Understood.
context: We can't let our guard down!\Yeah.\Let's do our best to stay ahead!\Huh?\Hattori-san?\This is Mashiro.\Eh? Yes.\Understood. response:	He wants to have a meeting tonight.
context: Yeah.\Let's do our best to stay ahead!\Huh?\Hattori-san?\This is Mashiro.\Eh? Yes.\Understood.\He wants to have a meeting tonight. response:	Huh? We haven't finished the manuscript yet.
context: Let's do our best to stay ahead!\Huh?\Hattori-san?\This is Mashiro.\Eh? Yes.\Understood.\He wants to have a meeting tonight.\Huh? We haven't finished the manuscript yet. response:	He said something about really good news for PCP.
context: Huh?\Hattori-san?\This is Mashiro.\Eh? Yes.\Understood.\He wants to have a meeting tonight.\Huh? We haven't finished the manuscript yet.\He said something about really good news for PCP. response:	Good news...
context: Hattori-san?\This is Mashiro.\Eh? Yes.\Understood.\He wants to have a meeting tonight.\Huh? We haven't finished the manuscript yet.\He said something about really good news for PCP.\Good news... response:	Could it be an anime?!
context: This is Mashiro.\Eh? Yes.\Understood.\He wants to have a meeting tonight.\Huh? We haven't finished the manuscript yet.\He said something about really good news for PCP.\Good news...\Could it be an anime?! response:	I-it's a bit too soon for that.
context: Eh? Yes.\Understood.\He wants to have a meeting tonight.\Huh? We haven't finished the manuscript yet.\He said something about really good news for PCP.\Good news...\Could it be an anime?!\I-it's a bit too soon for that. response:	Who cares!
context: Understood.\He wants to have a meeting tonight.\Huh? We haven't finished the manuscript yet.\He said something about really good news for PCP.\Good news...\Could it be an anime?!\I-it's a bit too soon for that.\Who cares! response:	Our manga is popular!
context: He wants to have a meeting tonight.\Huh? We haven't finished the manuscript yet.\He said something about really good news for PCP.\Good news...\Could it be an anime?!\I-it's a bit too soon for that.\Who cares!\Our manga is popular! response:	An anime is what we've dreamed about!
context: Huh? We haven't finished the manuscript yet.\He said something about really good news for PCP.\Good news...\Could it be an anime?!\I-it's a bit too soon for that.\Who cares!\Our manga is popular!\An anime is what we've dreamed about! response:	Anime...
context: He said something about really good news for PCP.\Good news...\Could it be an anime?!\I-it's a bit too soon for that.\Who cares!\Our manga is popular!\An anime is what we've dreamed about!\Anime... response:	Drama CD?!
context: Good news...\Could it be an anime?!\I-it's a bit too soon for that.\Who cares!\Our manga is popular!\An anime is what we've dreamed about!\Anime...\Drama CD?! response:	That's right.
context: Could it be an anime?!\I-it's a bit too soon for that.\Who cares!\Our manga is popular!\An anime is what we've dreamed about!\Anime...\Drama CD?!\That's right. response:	That's the situation, so I thought you should know.
context: I-it's a bit too soon for that.\Who cares!\Our manga is popular!\An anime is what we've dreamed about!\Anime...\Drama CD?!\That's right.\That's the situation, so I thought you should know. response:	Y-yeah...
context: Who cares!\Our manga is popular!\An anime is what we've dreamed about!\Anime...\Drama CD?!\That's right.\That's the situation, so I thought you should know.\Y-yeah... response:	What's wrong? Aren't you happy?
context: Our manga is popular!\An anime is what we've dreamed about!\Anime...\Drama CD?!\That's right.\That's the situation, so I thought you should know.\Y-yeah...\What's wrong? Aren't you happy? response:	No, of course we're happy.
context: An anime is what we've dreamed about!\Anime...\Drama CD?!\That's right.\That's the situation, so I thought you should know.\Y-yeah...\What's wrong? Aren't you happy?\No, of course we're happy. response:	But... Crow and the others each got animes. We're just getting a drama CD.
context: Anime...\Drama CD?!\That's right.\That's the situation, so I thought you should know.\Y-yeah...\What's wrong? Aren't you happy?\No, of course we're happy.\But... Crow and the others each got animes. We're just getting a drama CD. response:	Because of the subject, it's pretty easy for PCP to get a drama CD.
context: Drama CD?!\That's right.\That's the situation, so I thought you should know.\Y-yeah...\What's wrong? Aren't you happy?\No, of course we're happy.\But... Crow and the others each got animes. We're just getting a drama CD.\Because of the subject, it's pretty easy for PCP to get a drama CD. response:	We've only been going for six months, so this is pretty good!
context: That's right.\That's the situation, so I thought you should know.\Y-yeah...\What's wrong? Aren't you happy?\No, of course we're happy.\But... Crow and the others each got animes. We're just getting a drama CD.\Because of the subject, it's pretty easy for PCP to get a drama CD.\We've only been going for six months, so this is pretty good! response:	Yeah, I get it.
context: That's the situation, so I thought you should know.\Y-yeah...\What's wrong? Aren't you happy?\No, of course we're happy.\But... Crow and the others each got animes. We're just getting a drama CD.\Because of the subject, it's pretty easy for PCP to get a drama CD.\We've only been going for six months, so this is pretty good!\Yeah, I get it. response:	We definitely want to do it.
context: Y-yeah...\What's wrong? Aren't you happy?\No, of course we're happy.\But... Crow and the others each got animes. We're just getting a drama CD.\Because of the subject, it's pretty easy for PCP to get a drama CD.\We've only been going for six months, so this is pretty good!\Yeah, I get it.\We definitely want to do it. response:	They don't want to spoil the characters, so it will be an original story line.
context: What's wrong? Aren't you happy?\No, of course we're happy.\But... Crow and the others each got animes. We're just getting a drama CD.\Because of the subject, it's pretty easy for PCP to get a drama CD.\We've only been going for six months, so this is pretty good!\Yeah, I get it.\We definitely want to do it.\They don't want to spoil the characters, so it will be an original story line. response:	Let me know if you have any requests.
context: No, of course we're happy.\But... Crow and the others each got animes. We're just getting a drama CD.\Because of the subject, it's pretty easy for PCP to get a drama CD.\We've only been going for six months, so this is pretty good!\Yeah, I get it.\We definitely want to do it.\They don't want to spoil the characters, so it will be an original story line.\Let me know if you have any requests. response:	Voice actors.
context: But... Crow and the others each got animes. We're just getting a drama CD.\Because of the subject, it's pretty easy for PCP to get a drama CD.\We've only been going for six months, so this is pretty good!\Yeah, I get it.\We definitely want to do it.\They don't want to spoil the characters, so it will be an original story line.\Let me know if you have any requests.\Voice actors. response:	Specifically for the role of Annojo Mai.
context: Because of the subject, it's pretty easy for PCP to get a drama CD.\We've only been going for six months, so this is pretty good!\Yeah, I get it.\We definitely want to do it.\They don't want to spoil the characters, so it will be an original story line.\Let me know if you have any requests.\Voice actors.\Specifically for the role of Annojo Mai. response:	Is it okay if I name the voice actor that I want for that role?
context: We've only been going for six months, so this is pretty good!\Yeah, I get it.\We definitely want to do it.\They don't want to spoil the characters, so it will be an original story line.\Let me know if you have any requests.\Voice actors.\Specifically for the role of Annojo Mai.\Is it okay if I name the voice actor that I want for that role? response:	That's exactly the kind of request I want.
context: Yeah, I get it.\We definitely want to do it.\They don't want to spoil the characters, so it will be an original story line.\Let me know if you have any requests.\Voice actors.\Specifically for the role of Annojo Mai.\Is it okay if I name the voice actor that I want for that role?\That's exactly the kind of request I want. response:	Just let me know who...
context: We definitely want to do it.\They don't want to spoil the characters, so it will be an original story line.\Let me know if you have any requests.\Voice actors.\Specifically for the role of Annojo Mai.\Is it okay if I name the voice actor that I want for that role?\That's exactly the kind of request I want.\Just let me know who... response:	The person who does the voice on the drama CD...
context: They don't want to spoil the characters, so it will be an original story line.\Let me know if you have any requests.\Voice actors.\Specifically for the role of Annojo Mai.\Is it okay if I name the voice actor that I want for that role?\That's exactly the kind of request I want.\Just let me know who...\The person who does the voice on the drama CD... response:	When we get an anime, will that person still do the voice?
context: Let me know if you have any requests.\Voice actors.\Specifically for the role of Annojo Mai.\Is it okay if I name the voice actor that I want for that role?\That's exactly the kind of request I want.\Just let me know who...\The person who does the voice on the drama CD...\When we get an anime, will that person still do the voice? response:	Anime?
context: Voice actors.\Specifically for the role of Annojo Mai.\Is it okay if I name the voice actor that I want for that role?\That's exactly the kind of request I want.\Just let me know who...\The person who does the voice on the drama CD...\When we get an anime, will that person still do the voice?\Anime? response:	Mashiro-kun, we aren't discussing an anime right now.
context: Specifically for the role of Annojo Mai.\Is it okay if I name the voice actor that I want for that role?\That's exactly the kind of request I want.\Just let me know who...\The person who does the voice on the drama CD...\When we get an anime, will that person still do the voice?\Anime?\Mashiro-kun, we aren't discussing an anime right now. response:	Ah... Sorry! It's a bit too early.
context: Is it okay if I name the voice actor that I want for that role?\That's exactly the kind of request I want.\Just let me know who...\The person who does the voice on the drama CD...\When we get an anime, will that person still do the voice?\Anime?\Mashiro-kun, we aren't discussing an anime right now.\Ah... Sorry! It's a bit too early. response:	But if we do eventually get an anime.
context: That's exactly the kind of request I want.\Just let me know who...\The person who does the voice on the drama CD...\When we get an anime, will that person still do the voice?\Anime?\Mashiro-kun, we aren't discussing an anime right now.\Ah... Sorry! It's a bit too early.\But if we do eventually get an anime. response:	As long as the drama CD does well and you do get an anime,
context: Just let me know who...\The person who does the voice on the drama CD...\When we get an anime, will that person still do the voice?\Anime?\Mashiro-kun, we aren't discussing an anime right now.\Ah... Sorry! It's a bit too early.\But if we do eventually get an anime.\As long as the drama CD does well and you do get an anime, response:	the chances of keeping the same voice actor are high.
context: The person who does the voice on the drama CD...\When we get an anime, will that person still do the voice?\Anime?\Mashiro-kun, we aren't discussing an anime right now.\Ah... Sorry! It's a bit too early.\But if we do eventually get an anime.\As long as the drama CD does well and you do get an anime,\the chances of keeping the same voice actor are high. response:	I knew it! It was a good idea to stop her from doing the +Natural role.
context: When we get an anime, will that person still do the voice?\Anime?\Mashiro-kun, we aren't discussing an anime right now.\Ah... Sorry! It's a bit too early.\But if we do eventually get an anime.\As long as the drama CD does well and you do get an anime,\the chances of keeping the same voice actor are high.\I knew it! It was a good idea to stop her from doing the +Natural role. response:	Huh? Well, who did you have in mind?
context: Anime?\Mashiro-kun, we aren't discussing an anime right now.\Ah... Sorry! It's a bit too early.\But if we do eventually get an anime.\As long as the drama CD does well and you do get an anime,\the chances of keeping the same voice actor are high.\I knew it! It was a good idea to stop her from doing the +Natural role.\Huh? Well, who did you have in mind? response:	Azuki Miho!
context: Mashiro-kun, we aren't discussing an anime right now.\Ah... Sorry! It's a bit too early.\But if we do eventually get an anime.\As long as the drama CD does well and you do get an anime,\the chances of keeping the same voice actor are high.\I knew it! It was a good idea to stop her from doing the +Natural role.\Huh? Well, who did you have in mind?\Azuki Miho! response:	Azuki Miho-san...
context: Ah... Sorry! It's a bit too early.\But if we do eventually get an anime.\As long as the drama CD does well and you do get an anime,\the chances of keeping the same voice actor are high.\I knew it! It was a good idea to stop her from doing the +Natural role.\Huh? Well, who did you have in mind?\Azuki Miho!\Azuki Miho-san... response:	Ah, sorry. I don't think I know her.
context: But if we do eventually get an anime.\As long as the drama CD does well and you do get an anime,\the chances of keeping the same voice actor are high.\I knew it! It was a good idea to stop her from doing the +Natural role.\Huh? Well, who did you have in mind?\Azuki Miho!\Azuki Miho-san...\Ah, sorry. I don't think I know her. response:	It's fine! She's a talented and dedicated voice actor!
context: As long as the drama CD does well and you do get an anime,\the chances of keeping the same voice actor are high.\I knew it! It was a good idea to stop her from doing the +Natural role.\Huh? Well, who did you have in mind?\Azuki Miho!\Azuki Miho-san...\Ah, sorry. I don't think I know her.\It's fine! She's a talented and dedicated voice actor! response:	O-okay. I'll pass that along.
context: the chances of keeping the same voice actor are high.\I knew it! It was a good idea to stop her from doing the +Natural role.\Huh? Well, who did you have in mind?\Azuki Miho!\Azuki Miho-san...\Ah, sorry. I don't think I know her.\It's fine! She's a talented and dedicated voice actor!\O-okay. I'll pass that along. response:	It's going to follow the creators' wishes as closely as possible.
context: I knew it! It was a good idea to stop her from doing the +Natural role.\Huh? Well, who did you have in mind?\Azuki Miho!\Azuki Miho-san...\Ah, sorry. I don't think I know her.\It's fine! She's a talented and dedicated voice actor!\O-okay. I'll pass that along.\It's going to follow the creators' wishes as closely as possible. response:	If I get Azuki onto the drama CD...
context: Huh? Well, who did you have in mind?\Azuki Miho!\Azuki Miho-san...\Ah, sorry. I don't think I know her.\It's fine! She's a talented and dedicated voice actor!\O-okay. I'll pass that along.\It's going to follow the creators' wishes as closely as possible.\If I get Azuki onto the drama CD... response:	We're almost there. PCP will definitely get an anime!
context: Azuki Miho!\Azuki Miho-san...\Ah, sorry. I don't think I know her.\It's fine! She's a talented and dedicated voice actor!\O-okay. I'll pass that along.\It's going to follow the creators' wishes as closely as possible.\If I get Azuki onto the drama CD...\We're almost there. PCP will definitely get an anime! response:	I heard about a drama CD opportunity.
context: Azuki Miho-san...\Ah, sorry. I don't think I know her.\It's fine! She's a talented and dedicated voice actor!\O-okay. I'll pass that along.\It's going to follow the creators' wishes as closely as possible.\If I get Azuki onto the drama CD...\We're almost there. PCP will definitely get an anime!\I heard about a drama CD opportunity. response:	Shonen Jack's PCP manga series. For the main heroine...
